Orthogroup	schistosoma_mansoni	opisthorchis_viverrini
OG0001593	Smp_162600.1	T265_05613
OG0001594	Smp_127600.1	T265_10080
OG0001595	Smp_300810.1	T265_11438
OG0001596	Smp_038080.1	T265_05252, T265_13230
OG0001597	Smp_027430.1	T265_02935
OG0001598	Smp_001410.1	T265_00351
OG0001599	Smp_087010.1	T265_10881
OG0001600	Smp_093220.1	T265_08507
OG0001601	Smp_246360.1	T265_12251, T265_13640
OG0001602	Smp_153640.1	T265_06910
OG0001604	Smp_332680.1	T265_10406
OG0001605	Smp_241450.1	T265_09891
OG0001606	Smp_241980.1	T265_10728
OG0001607	Smp_150680.1	T265_15554
OG0001608	Smp_082670.1	T265_08088
OG0001609	Smp_213490.1	T265_02340
OG0001610	Smp_342160.1	T265_05234
OG0001610	Smp_008260.1	T265_14531
OG0001611	Smp_137950.1, Smp_137950.2	T265_01454
OG0001612	Smp_021540.1	T265_06824
OG0001613	Smp_008710.1	T265_02844
OG0001614	Smp_148650.1	T265_06438, T265_00023, T265_08537
OG0001615	Smp_049500.1	T265_08538
OG0001617	Smp_047540.2, Smp_047540.1	T265_01771, T265_12207
OG0001618	Smp_170350.1	T265_02608
OG0001619	Smp_147560.1	T265_00098
OG0001620	Smp_136180.1	T265_07578, T265_07576
OG0001621	Smp_015690.1	T265_11273
OG0001622	Smp_143970.1	T265_12340, T265_16297
OG0001623	Smp_127280.1	T265_00228, T265_08047
OG0001624	Smp_161370.1	T265_09187
OG0001626	Smp_033710.1	T265_11931
OG0001627	Smp_149950.1	T265_02191
OG0001628	Smp_038030.1	T265_05566
OG0001629	Smp_188430.1	T265_01797
OG0001631	Smp_024900.1	T265_03790
OG0001632	Smp_122370.1	T265_14353
OG0001633	Smp_210370.1	T265_10187
OG0001634	Smp_172220.1	T265_00567
OG0001635	Smp_138610.1	T265_06410, T265_15946
OG0001636	Smp_145180.1	T265_05447
OG0001637	Smp_105680.1	T265_08784
OG0001638	Smp_096210.1	T265_05557
OG0001640	Smp_155030.1	T265_06192
OG0001641	Smp_087520.2, Smp_087520.1	T265_13439
OG0001642	Smp_346030.1, Smp_346030.2	T265_11396
OG0001643	Smp_121800.1, Smp_121800.2	T265_09518
OG0001644	Smp_157320.1	T265_04914
OG0001645	Smp_196880.1, Smp_196880.2	T265_10635
OG0001646	Smp_096520.1	T265_09167
OG0001647	Smp_157540.1	T265_04701
OG0001648	Smp_150300.2, Smp_150300.1, Smp_150300.3	T265_01727
OG0001649	Smp_163310.1	T265_04939
OG0001650	Smp_104870.1	T265_07849
OG0001652	Smp_103530.1	T265_14643
OG0001653	Smp_170060.1	T265_12692
OG0001655	Smp_167630.1, Smp_167630.2	T265_08873
OG0001656	Smp_158140.1	T265_01416
OG0001657	Smp_093540.1	T265_02579
OG0001659	Smp_078540.1, Smp_309610.1, Smp_319390.1	T265_05197
OG0001661	Smp_333880.1	T265_08837, T265_12365
OG0001668	Smp_035260.1	T265_09738
OG0001669	Smp_034090.1	T265_14607
OG0001670	Smp_045200.1	T265_08988, T265_08986, T265_16322, T265_08984, T265_08985, T265_08981
OG0001671	Smp_165980.1	T265_14634
OG0001672	Smp_085150.1	T265_00750
OG0001673	Smp_007550.1	T265_01379
OG0001675	Smp_030330.1	T265_12874
OG0001676	Smp_103100.1	T265_01615
OG0001677	Smp_169930.2, Smp_169930.1	T265_05762
OG0001680	Smp_035190.1	T265_09371
OG0001681	Smp_170170.1	T265_12663, T265_16018
OG0001682	Smp_347960.1	T265_15158
OG0001683	Smp_337440.1	T265_09590, T265_14893, T265_03749
OG0001684	Smp_346160.1, Smp_328240.1	T265_09014
OG0001685	Smp_244390.1, Smp_135250.1	T265_15090
OG0001686	Smp_173240.1	T265_09608, T265_15908
OG0001687	Smp_311790.1, Smp_311780.1	T265_07419
OG0001688	Smp_026540.1	T265_07388
OG0001689	Smp_345190.1, Smp_131580.1	T265_15368
OG0001690	Smp_246690.1	T265_04514
OG0001691	Smp_157100.1	T265_03200
OG0001692	Smp_126460.1	T265_13395
OG0001694	Smp_153350.1	T265_02240
OG0001695	Smp_006630.1	T265_10771
OG0001696	Smp_149640.1	T265_09913
OG0001697	Smp_057430.1	T265_05671
OG0001698	Smp_041750.1	T265_05919
OG0001699	Smp_346310.1	T265_08126
OG0001700	Smp_306140.3, Smp_306140.1, Smp_306140.2	T265_09892
OG0001701	Smp_013210.1, Smp_129310.1	T265_03185
OG0001702	Smp_131800.1	T265_01458
OG0001703	Smp_027970.1	T265_14685
OG0001704	Smp_135280.1	T265_10332
OG0001705	Smp_124340.1	T265_06950
OG0001706	Smp_140590.1	T265_00105
OG0001707	Smp_309430.1	T265_01410
OG0001708	Smp_332300.1	T265_02720
OG0001709	Smp_101820.1	T265_13976
OG0001710	Smp_336280.1	T265_05358
OG0001711	Smp_127810.2, Smp_127810.1	T265_05328
OG0001712	Smp_181160.1	T265_14005
OG0001713	Smp_098920.1	T265_08885
OG0001714	Smp_316660.1, Smp_316660.2	T265_14693
OG0001715	Smp_130980.1	T265_03710
OG0001716	Smp_142090.1	T265_12518
OG0001717	Smp_020370.1	T265_02968
OG0001718	Smp_350020.1, Smp_341720.1	T265_09214
OG0001719	Smp_125050.1	T265_04478
OG0001720	Smp_066760.1	T265_12689, T265_01853
OG0001721	Smp_032800.1, Smp_032820.1	T265_01466
OG0001722	Smp_143070.1, Smp_143070.2	T265_10430, T265_16265
OG0001723	Smp_165470.1	T265_12870
OG0001724	Smp_334100.1	T265_04056
OG0001725	Smp_026030.1	T265_09161
OG0001726	Smp_097490.1	T265_12576
OG0001726	Smp_212780.1	T265_01638
OG0001727	Smp_315490.1, Smp_315480.1	T265_10361
OG0001728	Smp_313810.1, Smp_341280.1	T265_03905
OG0001729	Smp_244630.2, Smp_244630.1	T265_01004
OG0001731	Smp_012720.1	T265_11635
OG0001732	Smp_310620.1	T265_02819
OG0001733	Smp_150470.1	T265_03326
OG0001734	Smp_164130.1	T265_07463
OG0001735	Smp_176010.1	T265_07057, T265_07056
OG0001736	Smp_267140.2, Smp_267140.1	T265_14980
OG0001737	Smp_009400.1	T265_05187
OG0001738	Smp_159160.1	T265_04467
OG0001739	Smp_072370.1	T265_09719
OG0001740	Smp_140760.1	T265_02848
OG0001741	Smp_348840.1, Smp_348840.2, Smp_007630.1, Smp_007630.2	T265_09400
OG0001742	Smp_211100.1	T265_01766
OG0001744	Smp_099930.1	T265_10654, T265_12595
OG0001745	Smp_133270.1	T265_05962
OG0001746	Smp_058050.1, Smp_058050.2	T265_12992
OG0001747	Smp_245100.1	T265_08419
OG0001748	Smp_029370.1	T265_02528
OG0001749	Smp_181050.1	T265_05162, T265_13920
OG0001750	Smp_139090.1	T265_14641, T265_08679
OG0001751	Smp_103160.1	T265_03745
OG0001752	Smp_101970.1	T265_08775
OG0001754	Smp_194730.1	T265_14140
OG0001755	Smp_085240.1	T265_08222, T265_10918
OG0001756	Smp_129630.1	T265_02705
OG0001757	Smp_171140.1, Smp_171140.2	T265_00117
OG0001758	Smp_143920.3, Smp_143920.1, Smp_143920.2	T265_08429, T265_16089, T265_08430
OG0001759	Smp_083990.1	T265_14874
OG0001760	Smp_000300.1	T265_13963
OG0001761	Smp_329130.1, Smp_171490.1	T265_11120
OG0001762	Smp_346390.1	T265_08963, T265_16323, T265_08964
OG0001763	Smp_120920.1	T265_11384
OG0001764	Smp_151310.1	T265_04595
OG0001765	Smp_019040.1	T265_00502
OG0001766	Smp_176410.2, Smp_176410.1	T265_14565
OG0001767	Smp_031050.1	T265_04548
OG0001768	Smp_331170.2, Smp_331170.1	T265_10297
OG0001769	Smp_125930.1	T265_03947
OG0001770	Smp_136110.1	T265_08230
OG0001771	Smp_049000.1	T265_13913
OG0001772	Smp_172530.1	T265_07572
OG0001773	Smp_084380.1	T265_00534
OG0001774	Smp_139980.1	T265_06888
OG0001775	Smp_130410.1	T265_09040
OG0001776	Smp_166660.1, Smp_166660.2	T265_11140
OG0001777	Smp_104720.1	T265_03011
OG0001778	Smp_154270.1, Smp_154270.2	T265_09376
OG0001780	Smp_035310.1	T265_06467
OG0001781	Smp_213810.1	T265_13075
OG0001782	Smp_030000.1	T265_03902
OG0001783	Smp_012860.1	T265_03631
OG0001784	Smp_122030.1	T265_04098, T265_15912
OG0001785	Smp_346470.1	T265_07505
OG0001786	Smp_156270.1	T265_02513
OG0001787	Smp_099310.1, Smp_099310.2	T265_13198
OG0001789	Smp_176080.1	T265_06187
OG0001790	Smp_059810.1	T265_13300
OG0001791	Smp_163970.1, Smp_172590.1	T265_08401, T265_08403
OG0001792	Smp_080100.1	T265_00418
OG0001793	Smp_149420.1	T265_07358
OG0001794	Smp_019030.1	T265_10719
OG0001801	Smp_340310.1	T265_04593
OG0001803	Smp_060660.1, Smp_154730.1	T265_09341
OG0001804	Smp_056930.1	T265_12618
OG0001805	Smp_143260.1, Smp_143260.2	T265_13514, T265_13513
OG0001806	Smp_315780.1, Smp_315780.2	T265_07409
OG0001807	Smp_018160.1	T265_11444
OG0001808	Smp_306810.1	T265_10905
OG0001809	Smp_126020.1	T265_13772
OG0001810	Smp_340650.1, Smp_340650.2	T265_07900
OG0001812	Smp_244230.1	T265_14122
OG0001813	Smp_333090.1	T265_09076
OG0001814	Smp_024660.1	T265_10976
OG0001815	Smp_124660.1	T265_06116
OG0001816	Smp_131030.1	T265_15353
OG0001817	Smp_054600.1	T265_13431
OG0001818	Smp_046810.1	T265_12286, T265_06859, T265_15980
OG0001819	Smp_039670.1, Smp_039670.2	T265_02288
OG0001820	Smp_018360.1	T265_04186
OG0001821	Smp_165490.1	T265_09614
OG0001821	Smp_030710.1	T265_03362
OG0001822	Smp_127940.1	T265_11066, T265_04529
OG0001823	Smp_163790.1	T265_11105
OG0001825	Smp_247360.1	T265_02352
OG0001826	Smp_166550.1	T265_00277
OG0001827	Smp_213070.1, Smp_213060.1	T265_12935
OG0001828	Smp_049140.1, Smp_049140.2, Smp_049140.3	T265_01213
OG0001829	Smp_120700.1	T265_11088
OG0001829	Smp_086590.1	T265_11086
OG0001830	Smp_159910.1	T265_15921
OG0001831	Smp_197480.1	T265_03336
OG0001834	Smp_156670.1	T265_00004
OG0001835	Smp_099030.1, Smp_099030.2	T265_06643, T265_14089
OG0001836	Smp_304090.1, Smp_304090.2, Smp_322130.1	T265_14559
OG0001837	Smp_136280.1, Smp_136280.3, Smp_136280.2	T265_08769
OG0001838	Smp_085830.1, Smp_085830.2	T265_03743
OG0001839	Smp_099630.1	T265_12526
OG0001840	Smp_142640.1, Smp_142640.3, Smp_142640.2	T265_13580
OG0001841	Smp_142770.1	T265_07181
OG0001842	Smp_144750.1	T265_15657
OG0001843	Smp_159150.1	T265_04469, T265_13561
OG0001844	Smp_180180.1, Smp_316540.1	T265_03040
OG0001845	Smp_134530.1	T265_14549
OG0001846	Smp_306640.1	T265_10397
OG0001847	Smp_134370.1	T265_11864
OG0001848	Smp_158730.1	T265_14403, T265_14401, T265_07830
OG0001849	Smp_214060.1	T265_00607
OG0001850	Smp_137040.1	T265_00010
OG0001851	Smp_049150.1	T265_01360
OG0001852	Smp_094870.1	T265_05433
OG0001853	Smp_171620.2, Smp_171620.1, Smp_028190.1	T265_02922, T265_11897
OG0001854	Smp_335950.1, Smp_332370.1, Smp_331960.1	T265_09648
OG0001855	Smp_179930.1	T265_00165
OG0001856	Smp_150890.1	T265_10021
OG0001857	Smp_174630.1	T265_04055
OG0001858	Smp_342620.1, Smp_342620.2	T265_02220, T265_04712
OG0001859	Smp_011980.1	T265_06498
OG0001860	Smp_165420.1	T265_03438, T265_03772, T265_13321
OG0001861	Smp_145310.1	T265_01225
OG0001862	Smp_304320.1	T265_10909
OG0001863	Smp_325900.1, Smp_324100.1, Smp_316850.1	T265_01043, T265_01044
OG0001864	Smp_042990.1	T265_01749
OG0001866	Smp_247980.2, Smp_247980.1	T265_09747
OG0001867	Smp_147330.1	T265_13218, T265_13219
OG0001868	Smp_348670.1, Smp_006920.1	T265_04412
OG0001869	Smp_155050.1	T265_05535
OG0001870	Smp_164540.1	T265_00132
OG0001871	Smp_152130.1	T265_13828
OG0001872	Smp_150590.1, Smp_340880.1, Smp_340880.2	T265_03393
OG0001873	Smp_115290.1	T265_08992
OG0001874	Smp_158430.1	T265_03234, T265_13196
OG0001875	Smp_168730.1	T265_15589, T265_15590, T265_11880, T265_11881
OG0001876	Smp_333400.2, Smp_333400.1, Smp_333400.3	T265_03702
OG0001877	Smp_084140.1	T265_10265, T265_14142
OG0001879	Smp_175950.1	T265_05975
OG0001880	Smp_076050.1	T265_15623, T265_15873
OG0001881	Smp_180520.1	T265_09881, T265_16342
OG0001882	Smp_344930.1, Smp_344930.2	T265_02934
OG0001883	Smp_028360.1	T265_00246
OG0001884	Smp_080700.1	T265_08008, T265_16260
OG0001885	Smp_157140.1	T265_03198
OG0001886	Smp_344270.1	T265_10249
OG0001887	Smp_105910.1	T265_05895, T265_07671
OG0001888	Smp_138500.1	T265_14220
OG0001889	Smp_344720.1	T265_11606
OG0001890	Smp_128210.2, Smp_128210.1	T265_08599
OG0001891	Smp_317620.1, Smp_131380.1, Smp_164040.1	T265_01391
OG0001892	Smp_055200.1, Smp_055200.2	T265_15428
OG0001893	Smp_303770.1, Smp_318850.1	T265_09740
OG0001894	Smp_154530.1	T265_12840
OG0001895	Smp_166290.1	T265_11728
OG0001896	Smp_012670.1	T265_09000
OG0001897	Smp_144920.1	T265_13908
OG0001898	Smp_311360.1, Smp_311360.2, Smp_311360.3	T265_04800
OG0001899	Smp_054610.1	T265_03996
OG0001900	Smp_211020.1, Smp_211020.2	T265_05713
OG0001901	Smp_165960.1	T265_07537
OG0001902	Smp_332570.1	T265_03661, T265_11899
OG0001903	Smp_040080.1, Smp_040080.2	T265_06552, T265_06554
OG0001904	Smp_058170.1	T265_10321
OG0001905	Smp_343200.1	T265_06569
OG0001906	Smp_172780.1	T265_13479
OG0001907	Smp_343350.1	T265_14805
OG0001908	Smp_134720.1, Smp_309500.1, Smp_309510.1, Smp_350060.1, Smp_335880.1	T265_04923
OG0001909	Smp_213800.1	T265_08757
OG0001910	Smp_071150.1	T265_11579
OG0001911	Smp_060900.1	T265_08739, T265_08740
OG0001912	Smp_150280.1	T265_05946
OG0001913	Smp_027450.1	T265_02936
OG0001914	Smp_018280.1	T265_04183
OG0001915	Smp_146720.1	T265_15891, T265_01652, T265_12174
OG0001916	Smp_162900.1, Smp_162900.2	T265_06670
OG0001917	Smp_145620.1	T265_14049
OG0001918	Smp_017230.1	T265_00471
OG0001919	Smp_000130.1	T265_02504
OG0001920	Smp_322710.1, Smp_322700.1, Smp_322700.2	T265_08481
OG0001921	Smp_048240.1	T265_06125
OG0001922	Smp_098980.1	T265_14503
OG0001923	Smp_332950.1	T265_07276
OG0001924	Smp_340680.1	T265_02681
OG0001925	Smp_340520.1, Smp_340520.2, Smp_327820.1, Smp_348910.1	T265_00852
OG0001926	Smp_056990.1	T265_02868
OG0001927	Smp_048540.1	T265_08673
OG0001929	Smp_045560.1	T265_16131, T265_00819
OG0001932	Smp_213390.1	T265_11747
OG0001941	Smp_141770.1	T265_02631
OG0001943	Smp_324060.1, Smp_306730.1, Smp_306740.1, Smp_306750.1, Smp_324080.1	T265_12963
OG0001944	Smp_100120.1	T265_01438
OG0001945	Smp_343310.1	T265_02757, T265_11309
OG0001946	Smp_246260.1	T265_08642
OG0001947	Smp_103950.1	T265_15378
OG0001948	Smp_147140.1	T265_09604
OG0001949	Smp_140020.1	T265_10788
OG0001950	Smp_039180.1	T265_14356
OG0001951	Smp_207000.1	T265_02488
OG0001952	Smp_122780.1	T265_01274
OG0001953	Smp_337580.1	T265_07588
OG0001954	Smp_024140.1	T265_05594, T265_10324, T265_10323
OG0001955	Smp_246880.1	T265_04533
OG0001956	Smp_153810.1	T265_00329
OG0001957	Smp_179380.1	T265_16364
OG0001958	Smp_010110.1	T265_12587
OG0001959	Smp_071550.1	T265_12030
OG0001960	Smp_020040.1	T265_03563
OG0001961	Smp_337010.1	T265_04189
OG0001962	Smp_149500.1, Smp_149500.2	T265_02258
OG0001963	Smp_079410.1	T265_07542
OG0001964	Smp_331440.1, Smp_331480.1, Smp_331460.1	T265_02635
OG0001965	Smp_039130.1	T265_15738, T265_09470, T265_16302
OG0001966	Smp_171870.1	T265_11898
OG0001967	Smp_345970.1, Smp_345970.2	T265_11018
OG0001968	Smp_246470.1	T265_12615
OG0001969	Smp_140800.1	T265_15599, T265_11986
OG0001970	Smp_083710.1	T265_06534
OG0001972	Smp_138310.1, Smp_138310.2	T265_06716
OG0001973	Smp_205760.1	T265_10631
OG0001974	Smp_247400.1	T265_03306
OG0001975	Smp_124390.1	T265_08820
OG0001978	Smp_247420.1, Smp_247420.2	T265_02840
OG0001979	Smp_156410.1	T265_00134
OG0001980	Smp_129430.1	T265_00639
OG0001981	Smp_320120.1, Smp_180200.1	T265_14563
OG0001982	Smp_094890.1, Smp_094890.2	T265_05804
OG0001983	Smp_343630.1	T265_16272, T265_10525
OG0001984	Smp_169980.1	T265_13337
OG0001985	Smp_151420.1	T265_05014
OG0001986	Smp_173880.1	T265_13071
OG0001987	Smp_165030.1	T265_11477
OG0001988	Smp_167500.1	T265_00178
OG0001989	Smp_174090.1	T265_00999
OG0001990	Smp_156720.1, Smp_156720.2	T265_14644
OG0001991	Smp_345070.1, Smp_345070.2	T265_09212
OG0001992	Smp_128110.1	T265_04048
OG0001993	Smp_042810.1	T265_14343
OG0001995	Smp_140030.1	T265_11523
OG0001996	Smp_069880.1	T265_10482
OG0001997	Smp_337290.1	T265_01011
OG0001998	Smp_016600.1	T265_05189
OG0001999	Smp_245680.1	T265_01760
OG0002000	Smp_347640.1	T265_10963
OG0002001	Smp_305490.1	T265_04575
OG0002002	Smp_301670.1	T265_11222
OG0002003	Smp_176290.1	T265_05270
OG0002004	Smp_007660.1, Smp_007660.2	T265_04351
OG0002006	Smp_042630.1	T265_11260
OG0002007	Smp_001095.1, Smp_001090.1	T265_01809
OG0002008	Smp_246610.1	T265_02030, T265_02029
OG0002009	Smp_136210.1	T265_07583
OG0002010	Smp_045230.1	T265_02865
OG0002011	Smp_150840.1	T265_15553
OG0002012	Smp_021460.1, Smp_133770.1	T265_01585
OG0002013	Smp_305560.1	T265_00133
OG0002014	Smp_156350.1	T265_02025
OG0002015	Smp_002280.1	T265_10154
OG0002016	Smp_308440.1	T265_07786
OG0002018	Smp_172090.1	T265_01252
OG0002019	Smp_052140.1	T265_14733
OG0002020	Smp_164590.1	T265_09353, T265_09354
OG0002021	Smp_312730.1	T265_02319
OG0002023	Smp_000190.1	T265_01173
OG0002024	Smp_152230.1	T265_11589
OG0002025	Smp_105960.1	T265_13824
OG0002026	Smp_134300.1	T265_14886
OG0002027	Smp_315010.2	T265_12826
OG0002028	Smp_148360.1	T265_06994
OG0002029	Smp_152860.1	T265_03894
OG0002030	Smp_013520.1	T265_00505
OG0002031	Smp_343880.1	T265_09865, T265_16204
OG0002032	Smp_127840.1	T265_02749
OG0002033	Smp_073940.1	T265_10134
OG0002034	Smp_169700.1	T265_02060
OG0002035	Smp_076390.1, Smp_076390.2	T265_04572
OG0002036	Smp_091650.1	T265_02637
OG0002037	Smp_147650.1	T265_00055
OG0002038	Smp_038870.1	T265_12805, T265_02077, T265_15831
OG0002039	Smp_124430.1	T265_08815
OG0002040	Smp_331650.3, Smp_331650.2, Smp_331650.4, Smp_331650.1, Smp_332860.1, Smp_332860.2	T265_03319
OG0002041	Smp_135500.1	T265_00833
OG0002042	Smp_076530.1	T265_10274
OG0002043	Smp_026390.1	T265_01128
OG0002045	Smp_166220.1	T265_07822
OG0002046	Smp_145210.1	T265_02662
OG0002047	Smp_039490.1	T265_04671
OG0002048	Smp_005020.1	T265_13011
OG0002050	Smp_146360.1	T265_11962
OG0002051	Smp_160870.1	T265_02963
OG0002052	Smp_051390.1	T265_01480
OG0002053	Smp_062520.1	T265_00451
OG0002054	Smp_036010.1	T265_13210
OG0002055	Smp_151720.1	T265_01146
OG0002056	Smp_214020.1, Smp_214020.2	T265_04164
OG0002057	Smp_211330.1	T265_11668
OG0002058	Smp_103740.1	T265_07761
OG0002059	Smp_135130.1	T265_11048
OG0002060	Smp_053420.1	T265_01393
OG0002061	Smp_022850.1	T265_08182
OG0002062	Smp_309210.1	T265_06808
OG0002063	Smp_245590.1	T265_08631
OG0002064	Smp_165790.1, Smp_165790.2	T265_15101
OG0002065	Smp_167840.1	T265_04710, T265_10542
OG0002066	Smp_043260.1, Smp_336110.1, Smp_336140.1, Smp_043290.1	T265_08198, T265_08199
OG0002073	Smp_144850.1	T265_09527
OG0002074	Smp_170150.1	T265_03665
OG0002075	Smp_094820.1	T265_09383
OG0002076	Smp_065610.1	T265_15233, T265_16097
OG0002077	Smp_153480.1	T265_03682
OG0002078	Smp_067140.1	T265_15041
OG0002079	Smp_060480.1	T265_06240
OG0002080	Smp_063530.1, Smp_063530.2	T265_00124
OG0002081	Smp_153410.1	T265_09555
OG0002082	Smp_335820.1, Smp_069120.1	T265_03148, T265_13172, T265_03149
OG0002083	Smp_044000.1	T265_08100
OG0002084	Smp_244080.1	T265_12471
OG0002085	Smp_018710.1	T265_01378
OG0002086	Smp_345280.1	T265_05643
OG0002087	Smp_173380.1, Smp_173380.2	T265_14114
OG0002088	Smp_083380.1	T265_14944
OG0002089	Smp_046190.1	T265_00465
OG0002090	Smp_047700.1	T265_05436
OG0002091	Smp_148410.1	T265_00837, T265_16066
OG0002092	Smp_170290.1	T265_15900
OG0002093	Smp_123830.1	T265_08579
OG0002094	Smp_030400.1	T265_04373, T265_13499
OG0002095	Smp_343550.1	T265_13010
OG0002096	Smp_133280.1	T265_03819
OG0002098	Smp_342700.1	T265_05615
OG0002099	Smp_332560.1	T265_04149, T265_04150
OG0002100	Smp_035360.1	T265_11580
OG0002101	Smp_051000.1, Smp_051000.2	T265_05374
OG0002102	Smp_319890.1	T265_13199
OG0002103	Smp_149660.1	T265_08800
OG0002104	Smp_128940.1	T265_08023
OG0002105	Smp_073610.1	T265_14195
OG0002106	Smp_158130.1	T265_12884
OG0002107	Smp_246970.1, Smp_246970.2	T265_06088
OG0002108	Smp_068510.1	T265_04775
OG0002108	Smp_158980.1, Smp_158990.1	T265_09456
OG0002109	Smp_343050.1	T265_03486
OG0002110	Smp_039010.1, Smp_149030.1	T265_12853
OG0002111	Smp_144130.1, Smp_144130.2	T265_12810
OG0002112	Smp_029360.1	T265_15351, T265_01166
OG0002113	Smp_340130.1, Smp_340130.2	T265_13848
OG0002114	Smp_196600.1	T265_08567
OG0002115	Smp_159190.1	T265_13872
OG0002116	Smp_340170.1	T265_15055
OG0002117	Smp_134450.1	T265_14145, T265_14146
OG0002118	Smp_241580.1	T265_03977
OG0002119	Smp_129320.1	T265_12990
OG0002120	Smp_174870.1	T265_10602
OG0002121	Smp_174890.1	T265_15200
OG0002122	Smp_073220.1	T265_16017, T265_13609, T265_06473, T265_07036
OG0002123	Smp_019950.1	T265_00741
OG0002124	Smp_077120.1	T265_13794
OG0002125	Smp_343290.1	T265_05313
OG0002126	Smp_322190.1	T265_05547, T265_13807
OG0002127	Smp_194680.1	T265_08051
OG0002128	Smp_146160.1	T265_04386
OG0002129	Smp_212990.1, Smp_213000.1	T265_04289, T265_04290
OG0002130	Smp_129610.1, Smp_129610.2	T265_05977
OG0002131	Smp_154740.1, Smp_154740.2	T265_08653
OG0002132	Smp_311770.1	T265_10351
OG0002133	Smp_242060.1	T265_05901
OG0002134	Smp_126620.1	T265_13573
OG0002135	Smp_164960.1	T265_11834
OG0002136	Smp_097320.1	T265_02078, T265_02076
OG0002137	Smp_055090.3, Smp_055090.1, Smp_055090.2	T265_04278
OG0002138	Smp_059980.1, Smp_154410.1	T265_11382, T265_11381
OG0002139	Smp_246450.1, Smp_335850.1	T265_07012
OG0002140	Smp_244940.1	T265_03075
OG0002141	Smp_138150.1	T265_12391, T265_14911, T265_16353
OG0002142	Smp_062070.1	T265_09176
OG0002143	Smp_349950.1, Smp_327610.1, Smp_327590.1	T265_01276
OG0002144	Smp_176000.1	T265_15470
OG0002145	Smp_246400.1	T265_04022
OG0002147	Smp_124440.1	T265_10180
OG0002148	Smp_120380.1	T265_12487
OG0002149	Smp_208050.1	T265_11302
OG0002150	Smp_197640.1	T265_01113
OG0002151	Smp_098570.1, Smp_136310.1	T265_14429, T265_15959
OG0002152	Smp_126800.1	T265_13875
OG0002153	Smp_244980.1	T265_02445
OG0002154	Smp_315790.1, Smp_315790.2	T265_13262
OG0002155	Smp_171040.1	T265_01069
OG0002156	Smp_138850.2, Smp_138850.1	T265_03544
OG0002157	Smp_181480.1	T265_00621, T265_00620
OG0002158	Smp_345890.1	T265_00081
OG0002159	Smp_248070.1	T265_13086, T265_13085
OG0002160	Smp_018620.1	T265_04782
OG0002162	Smp_053300.1	T265_05840
OG0002162	Smp_053390.1	T265_05840
OG0002162	Smp_194870.1	T265_05840
OG0002163	Smp_160730.1, Smp_160730.2	T265_08502
OG0002164	Smp_204730.1	T265_05843
OG0002165	Smp_141360.1	T265_03273, T265_16079, T265_03274
OG0002166	Smp_333940.1	T265_01946
OG0002167	Smp_113620.1	T265_02698
OG0002168	Smp_143470.1	T265_02435
OG0002169	Smp_243870.1	T265_03699
OG0002170	Smp_170760.1	T265_01262
OG0002171	Smp_006930.1	T265_08677
OG0002172	Smp_071380.1	T265_09344
OG0002173	Smp_019010.1	T265_09337
OG0002174	Smp_008660.1	T265_06747
OG0002175	Smp_340750.1, Smp_340750.2	T265_00392
OG0002176	Smp_247450.1	T265_06743
OG0002177	Smp_245230.1	T265_13224, T265_13225
OG0002178	Smp_247740.1	T265_13369, T265_15860
OG0002179	Smp_068280.1	T265_01562
OG0002180	Smp_160170.1	T265_03959
OG0002181	Smp_347740.1	T265_15583
OG0002182	Smp_340480.1	T265_12958
OG0002183	Smp_147370.1	T265_07962
OG0002184	Smp_131390.1, Smp_131390.2	T265_11281
OG0002185	Smp_134290.1	T265_00949
OG0002186	Smp_142850.1	T265_14166
OG0002187	Smp_045750.1	T265_15386
OG0002187	Smp_045760.1	T265_11248, T265_08829, T265_09036
OG0002188	Smp_122340.1	T265_09763
OG0002189	Smp_028050.1	T265_08728
OG0002190	Smp_017660.1	T265_03237
OG0002192	Smp_343270.1	T265_09919
OG0002193	Smp_155770.1	T265_15308
OG0002194	Smp_071540.1	T265_05011
OG0002195	Smp_012350.1, Smp_012350.2	T265_13134
OG0002196	Smp_000150.1	T265_03909
OG0002197	Smp_029390.1	T265_06567
OG0002198	Smp_035220.1	T265_14194
OG0002199	Smp_340700.1, Smp_141620.1, Smp_329090.1	T265_09839
OG0002200	Smp_086220.1	T265_15279
OG0002201	Smp_123000.1	T265_09904
OG0002202	Smp_194740.1	T265_10317
OG0002203	Smp_042420.1, Smp_042430.2, Smp_042430.1	T265_00149
OG0002204	Smp_341990.1	T265_05023
OG0002206	Smp_149370.1	T265_12890
OG0002208	Smp_242930.1, Smp_266810.1	T265_15258
OG0002212	Smp_125440.1	T265_15048
OG0002214	Smp_346360.1, Smp_337430.1	T265_04068
OG0002215	Smp_243150.1, Smp_243150.2	T265_01396
OG0002216	Smp_246630.1	T265_04024
OG0002217	Smp_346990.1	T265_06306
OG0002218	Smp_245220.1	T265_07284
OG0002219	Smp_084060.1	T265_10914
OG0002220	Smp_244780.1	T265_08525
OG0002221	Smp_059340.1	T265_09567
OG0002222	Smp_139530.1	T265_07622
OG0002223	Smp_333010.1	T265_02296, T265_02259, T265_03688, T265_00847, T265_00845, T265_00846
OG0002224	Smp_065980.1	T265_01855
OG0002225	Smp_342990.1, Smp_342990.2	T265_08736
OG0002226	Smp_175980.1	T265_14172
OG0002227	Smp_149740.1	T265_04117, T265_15786
