Orthogroup	schistosoma_mansoni	schistosoma_margrebowiei
OG0000379	Smp_320480.1	SMRG1_14140.1, SMRG1_14140.2
OG0000380	Smp_070380.1	SMRG1_20180.1, SMRG1_20170.1
OG0000380	Smp_075500.1	SMRG1_20150.1, SMRG1_20160.1
OG0000381	Smp_105410.1	SMRG1_53710.1
OG0000381	Smp_012440.1	SMRG1_53720.1
OG0000382	Smp_070250.1, Smp_336880.1, Smp_154260.1, Smp_176170.1, Smp_176160.1, Smp_154290.1	SMRG1_90850.1, SMRG1_90730.1, SMRG1_90760.1, SMRG1_90770.1
OG0000383	Smp_142650.2, Smp_142650.1	SMRG1_38170.3, SMRG1_38170.4, SMRG1_38170.1, SMRG1_38170.2
OG0000384	Smp_316270.1, Smp_315420.1	SMRG1_31980.2, SMRG1_31980.3, SMRG1_32010.1, SMRG1_32010.2, SMRG1_32010.4, SMRG1_32010.6, SMRG1_32010.3
OG0000385	Smp_326080.1	SMRG1_62850.1
OG0000385	Smp_326090.1	SMRG1_62860.1, SMRG1_62870.1
OG0000386	Smp_163760.1	SMRG1_20800.1, SMRG1_20800.2
OG0000387	Smp_169140.1, Smp_320670.1	SMRG1_2690.2, SMRG1_2690.3, SMRG1_2690.1
OG0000388	Smp_344630.1, Smp_344630.2	SMRG1_91230.1
OG0000389	Smp_137210.1	SMRG1_74170.1, SMRG1_74170.3, SMRG1_74170.2, SMRG1_74170.4, SMRG1_74170.5
OG0000390	Smp_069960.1	SMRG1_83930.5, SMRG1_83930.1, SMRG1_83930.2, SMRG1_83930.4, SMRG1_83930.3
OG0000391	Smp_163340.1	SMRG1_13370.1, SMRG1_13370.2, SMRG1_13370.3, SMRG1_13370.5, SMRG1_13370.4, SMRG1_13370.6, SMRG1_13370.7, SMRG1_13370.8
OG0000392	Smp_096020.1	SMRG1_62290.1
OG0000393	Smp_171540.1	SMRG1_46010.1
OG0000394	Smp_018760.1	SMRG1_59630.1, SMRG1_59630.2, SMRG1_59630.3, SMRG1_59630.4
OG0000395	Smp_149200.1	SMRG1_79930.6, SMRG1_79930.4, SMRG1_79930.3, SMRG1_79930.1, SMRG1_79930.2, SMRG1_79930.5
OG0000396	Smp_126300.1	SMRG1_4280.5, SMRG1_4280.1, SMRG1_4280.3, SMRG1_4280.2, SMRG1_4280.4
OG0000397	Smp_027390.1	SMRG1_79690.1, SMRG1_79690.2, SMRG1_79690.5, SMRG1_79690.3, SMRG1_79690.4
OG0000398	Smp_244150.1	SMRG1_19300.1
OG0000398	Smp_160360.1	SMRG1_21440.1
OG0000398	Smp_078930.1	SMRG1_21480.1
OG0000399	Smp_141290.4	SMRG1_28240.1
OG0000399	Smp_141290.2	SMRG1_28240.3
OG0000399	Smp_141290.3	SMRG1_28240.2
OG0000399	Smp_141390.1	SMRG1_28230.1
OG0000400	Smp_303270.1, Smp_303290.1	SMRG1_44890.1
OG0000400	Smp_173150.1	SMRG1_44870.1
OG0000401	Smp_144770.1	SMRG1_96000.3, SMRG1_96000.2, SMRG1_96000.1, SMRG1_96000.4
OG0000402	Smp_155420.1	SMRG1_10890.4, SMRG1_10890.5, SMRG1_10890.6, SMRG1_10890.7, SMRG1_10890.1, SMRG1_10890.2, SMRG1_10890.3
OG0000403	Smp_137580.1	SMRG1_3100.5, SMRG1_3100.6, SMRG1_3100.20, SMRG1_3100.21, SMRG1_3100.15, SMRG1_3100.13, SMRG1_3100.14, SMRG1_3100.18, SMRG1_3100.19, SMRG1_3100.3, SMRG1_3100.4, SMRG1_3100.12, SMRG1_3100.22, SMRG1_3100.23, SMRG1_3100.30, SMRG1_3100.8, SMRG1_3100.9, SMRG1_3100.27, SMRG1_3100.28, SMRG1_3100.10, SMRG1_3100.11, SMRG1_3100.16, SMRG1_3100.17, SMRG1_3100.26, SMRG1_3100.7, SMRG1_3100.1, SMRG1_3100.2, SMRG1_3100.24, SMRG1_3100.25, SMRG1_3100.29
OG0000404	Smp_303450.1, Smp_314670.1	SMRG1_84720.1, SMRG1_84700.1, SMRG1_84710.1
OG0000404	Smp_346850.1, Smp_346850.2	SMRG1_82550.1
OG0000405	Smp_068060.1	SMRG1_37850.1
OG0000406	Smp_143240.1	SMRG1_38680.3, SMRG1_38680.1, SMRG1_38680.4, SMRG1_38680.2
OG0000407	Smp_308420.1	SMRG1_62920.1, SMRG1_62920.2
OG0000408	Smp_345870.1	SMRG1_26580.4, SMRG1_26580.3, SMRG1_26580.1, SMRG1_26580.2
OG0000409	Smp_345840.1	SMRG1_89180.1
OG0000410	Smp_001040.1	SMRG1_68860.1, SMRG1_68860.2
OG0000411	Smp_080280.1	SMRG1_27310.5, SMRG1_27310.1, SMRG1_27310.6, SMRG1_27310.2, SMRG1_27310.4, SMRG1_27310.3
OG0000412	Smp_170800.1	SMRG1_72790.4, SMRG1_72790.1, SMRG1_72790.2, SMRG1_72790.3, SMRG1_72790.5, SMRG1_72790.6
OG0000413	Smp_132320.1	SMRG1_59800.1, SMRG1_59800.4, SMRG1_59800.5, SMRG1_59800.6, SMRG1_59800.7, SMRG1_59800.2, SMRG1_59800.3, SMRG1_59800.8
OG0000414	Smp_244610.1	SMRG1_10360.1, SMRG1_10380.1, SMRG1_10380.2, SMRG1_10380.3, SMRG1_10380.4, SMRG1_10380.5
OG0000415	Smp_012780.1	SMRG1_30840.6, SMRG1_30840.7, SMRG1_30840.1, SMRG1_30840.2, SMRG1_30840.3, SMRG1_30840.4, SMRG1_30840.5, SMRG1_30840.8, SMRG1_30840.9, SMRG1_30840.10
OG0000416	Smp_067480.1	SMRG1_88560.1
OG0000416	Smp_136640.1	SMRG1_92480.1
OG0000416	Smp_067490.1	SMRG1_88550.1
OG0000417	Smp_130000.1	SMRG1_52760.3, SMRG1_52760.1, SMRG1_52760.4, SMRG1_52760.2, SMRG1_52760.5
OG0000418	Smp_153010.1	SMRG1_95640.2, SMRG1_95640.4, SMRG1_95640.1, SMRG1_95640.3
OG0000419	Smp_153760.1	SMRG1_5820.1, SMRG1_5820.2, SMRG1_5820.3
OG0000420	Smp_310080.1	SMRG1_46110.1
OG0000421	Smp_000480.1, Smp_000480.2	SMRG1_67860.1
OG0000422	Smp_014010.1	SMRG1_50730.1, SMRG1_50730.3, SMRG1_50730.2
OG0000423	Smp_332510.1, Smp_060620.1	SMRG1_38020.1, SMRG1_38020.2
OG0000425	Smp_140950.1	SMRG1_29550.1, SMRG1_29550.2, SMRG1_29550.3
OG0000426	Smp_047650.1	SMRG1_54950.1
OG0000426	Smp_047680.1, Smp_311630.1, Smp_311640.1	SMRG1_54960.1, SMRG1_54970.1
OG0000426	Smp_047640.2, Smp_047640.1	SMRG1_54940.1
OG0000427	Smp_128770.1	SMRG1_53810.4, SMRG1_53810.10, SMRG1_53810.2, SMRG1_53810.1, SMRG1_53810.3, SMRG1_53810.9, SMRG1_53810.8, SMRG1_53810.5, SMRG1_53810.6, SMRG1_53810.7
OG0000428	Smp_302740.1	SMRG1_42410.11, SMRG1_42410.9, SMRG1_42410.8, SMRG1_42410.4, SMRG1_42410.7, SMRG1_42410.10, SMRG1_42410.6, SMRG1_42410.5, SMRG1_42410.1, SMRG1_42410.2, SMRG1_42410.3
OG0000429	Smp_300560.1	SMRG1_94200.1, SMRG1_94200.2
OG0000429	Smp_163090.1	SMRG1_45400.1
OG0000430	Smp_033760.1	SMRG1_32390.10, SMRG1_32390.13, SMRG1_32390.9, SMRG1_32390.12, SMRG1_32390.1, SMRG1_32390.7, SMRG1_32390.8, SMRG1_32390.2, SMRG1_32390.3, SMRG1_32390.11, SMRG1_32390.4, SMRG1_32390.5, SMRG1_32390.6
OG0000431	Smp_157350.1	SMRG1_49690.5, SMRG1_49690.1, SMRG1_49690.2, SMRG1_49690.4, SMRG1_49690.3
OG0000432	Smp_140120.1	SMRG1_95320.4, SMRG1_95320.1, SMRG1_95320.11, SMRG1_95320.6, SMRG1_95320.8, SMRG1_95320.9, SMRG1_95320.10, SMRG1_95320.2, SMRG1_95320.3, SMRG1_95320.5, SMRG1_95320.7
OG0000433	Smp_196260.1	SMRG1_40380.1
OG0000434	Smp_127820.1, Smp_127820.2	SMRG1_94820.2, SMRG1_94820.4, SMRG1_94820.3, SMRG1_94820.1
OG0000435	Smp_140640.1	SMRG1_55200.7, SMRG1_55200.4, SMRG1_55200.6, SMRG1_55200.3, SMRG1_55200.5, SMRG1_55200.1, SMRG1_55200.2
OG0000436	Smp_245820.1, Smp_245820.2	SMRG1_25710.4, SMRG1_25710.2, SMRG1_25710.5, SMRG1_25710.1, SMRG1_25710.3
OG0000437	Smp_028650.1	SMRG1_3020.1, SMRG1_3020.4, SMRG1_3020.5, SMRG1_3020.2, SMRG1_3020.3
OG0000438	Smp_007510.1	SMRG1_64210.2, SMRG1_64210.3, SMRG1_64210.7, SMRG1_64210.6, SMRG1_64210.1, SMRG1_64210.5, SMRG1_64210.4
OG0000439	Smp_061510.1	SMRG1_85280.6, SMRG1_85280.1, SMRG1_85280.4, SMRG1_85280.5, SMRG1_85280.2, SMRG1_85280.3
OG0000440	Smp_300210.1	SMRG1_92160.1
OG0000440	Smp_300200.1	SMRG1_92140.1
OG0000441	Smp_128480.1	SMRG1_8720.1
OG0000441	Smp_241420.1	SMRG1_13980.1
OG0000442	Smp_000030.1	SMRG1_36310.1, SMRG1_36310.6, SMRG1_36310.5, SMRG1_36310.7, SMRG1_36310.2, SMRG1_36310.4, SMRG1_36310.3
OG0000443	Smp_133530.1	SMRG1_5490.6, SMRG1_5490.2, SMRG1_5490.3, SMRG1_5490.1, SMRG1_5490.4, SMRG1_5490.5
OG0000444	Smp_148940.1, Smp_148940.2	SMRG1_72030.1
OG0000445	Smp_002840.1	SMRG1_66190.1, SMRG1_66190.2, SMRG1_66190.4, SMRG1_66190.3, SMRG1_66190.5, SMRG1_66190.7, SMRG1_66190.6
OG0000446	Smp_244750.1	SMRG1_8690.1, SMRG1_8830.1, SMRG1_8830.11, SMRG1_8830.2, SMRG1_8830.3, SMRG1_8830.10, SMRG1_8830.13, SMRG1_8830.12, SMRG1_8830.8, SMRG1_8830.9, SMRG1_8830.6, SMRG1_8830.7, SMRG1_8830.4, SMRG1_8830.5
OG0000447	Smp_312150.1	SMRG1_57650.6, SMRG1_57650.5, SMRG1_57650.1, SMRG1_57650.4, SMRG1_57650.3, SMRG1_57650.2
OG0000448	Smp_161790.1	SMRG1_31510.5, SMRG1_31510.6
OG0000449	Smp_246790.1, Smp_246790.3	SMRG1_58150.1, SMRG1_58150.6, SMRG1_58150.5, SMRG1_58150.2, SMRG1_58150.3, SMRG1_58150.4
OG0000450	Smp_003980.1	SMRG1_24940.7, SMRG1_24940.1, SMRG1_24940.6, SMRG1_24940.9, SMRG1_24940.2, SMRG1_24940.3, SMRG1_24940.4, SMRG1_24940.5, SMRG1_24940.8
OG0000451	Smp_267100.1	SMRG1_88780.1, SMRG1_88780.2, SMRG1_88780.4, SMRG1_88780.5, SMRG1_88780.6, SMRG1_88780.3, SMRG1_88780.7, SMRG1_88780.8
OG0000452	Smp_248190.1	SMRG1_39480.9, SMRG1_39480.8, SMRG1_39480.3, SMRG1_39480.1, SMRG1_39480.4, SMRG1_39480.2, SMRG1_39480.7, SMRG1_39480.5, SMRG1_39480.6
OG0000453	Smp_311970.1, Smp_311970.2	SMRG1_62780.1, SMRG1_62780.2, SMRG1_62780.3
OG0000454	Smp_158110.2, Smp_158110.1	SMRG1_70980.1
OG0000454	Smp_309480.1, Smp_314640.1	SMRG1_84580.1, SMRG1_84590.1
OG0000455	Smp_129160.1, Smp_157720.1	SMRG1_11960.1, SMRG1_11960.2, SMRG1_11960.6, SMRG1_11960.8, SMRG1_11960.5, SMRG1_11960.3, SMRG1_11960.4, SMRG1_11960.7, SMRG1_11960.9
OG0000456	Smp_149040.1	SMRG1_72230.11, SMRG1_72230.7, SMRG1_72230.1, SMRG1_72230.3, SMRG1_72230.4, SMRG1_72230.2, SMRG1_72230.8, SMRG1_72230.10, SMRG1_72230.5, SMRG1_72230.6
OG0000457	Smp_034980.1	SMRG1_28700.1, SMRG1_28700.2, SMRG1_28700.3, SMRG1_28700.4
OG0000458	Smp_345710.1	SMRG1_34350.4, SMRG1_34350.3, SMRG1_34350.1, SMRG1_34350.6, SMRG1_34350.2, SMRG1_34350.5
OG0000459	Smp_302920.1	SMRG1_9100.3, SMRG1_9100.7, SMRG1_9100.2, SMRG1_9100.8, SMRG1_9100.6, SMRG1_9100.10, SMRG1_9100.9, SMRG1_9100.1, SMRG1_9100.4, SMRG1_9100.5
OG0000460	Smp_323500.2, Smp_323490.1, Smp_323500.1, Smp_323510.1, Smp_336840.1, Smp_336850.1, Smp_178360.1, Smp_323480.1	SMRG1_12090.1, SMRG1_12120.1, SMRG1_12120.2
OG0000461	Smp_347140.2, Smp_347140.3	SMRG1_74650.3, SMRG1_74650.4, SMRG1_74650.7, SMRG1_74650.6
OG0000461	Smp_347140.5	SMRG1_74650.1, SMRG1_74650.5
OG0000462	Smp_328770.1, Smp_348940.1, Smp_348930.1, Smp_349400.1, Smp_350440.1, Smp_348950.1, Smp_348500.1, Smp_349820.1, Smp_349810.1	SMRG1_58010.3, SMRG1_58010.4, SMRG1_58010.1, SMRG1_58010.2
OG0000462	Smp_317990.1, Smp_317990.2	SMRG1_93850.2, SMRG1_93850.4, SMRG1_93850.1, SMRG1_93850.3
OG0000463	Smp_129980.1, Smp_014410.1	SMRG1_52730.2, SMRG1_52730.3, SMRG1_52730.1, SMRG1_52730.4, SMRG1_52730.6, SMRG1_52730.5, SMRG1_52730.12, SMRG1_52730.10, SMRG1_52730.11, SMRG1_52730.9, SMRG1_52730.7, SMRG1_52730.8
OG0000463	Smp_014430.1	SMRG1_52740.1, SMRG1_52740.2
OG0000464	Smp_047190.1	SMRG1_13620.11, SMRG1_13620.7, SMRG1_13620.2, SMRG1_13620.4, SMRG1_13620.6, SMRG1_13620.1, SMRG1_13620.10, SMRG1_13620.12, SMRG1_13620.3, SMRG1_13620.5, SMRG1_13620.8, SMRG1_13620.9
OG0000465	Smp_030760.1	SMRG1_76410.11, SMRG1_76410.12, SMRG1_76410.3, SMRG1_76410.6, SMRG1_76410.7, SMRG1_76410.8, SMRG1_76410.9, SMRG1_76410.13, SMRG1_76410.14, SMRG1_76410.4, SMRG1_76410.5, SMRG1_76410.1, SMRG1_76410.2, SMRG1_76410.10
OG0000466	Smp_245780.1	SMRG1_53850.4, SMRG1_53850.1, SMRG1_53850.3, SMRG1_53850.2
OG0000467	Smp_126540.1	SMRG1_37170.1, SMRG1_37170.2
OG0000468	Smp_141580.1	SMRG1_72520.5, SMRG1_72520.4, SMRG1_72520.3, SMRG1_72520.1, SMRG1_72520.2
OG0000469	Smp_031070.1, Smp_031070.2	SMRG1_3890.1, SMRG1_3880.2, SMRG1_3880.1, SMRG1_3880.3
OG0000470	Smp_156450.1	SMRG1_51930.3, SMRG1_51930.4, SMRG1_51930.2, SMRG1_51930.1
OG0000471	Smp_138860.1	SMRG1_89530.1
OG0000472	Smp_302020.1, Smp_126580.1, Smp_302030.1	SMRG1_37120.7, SMRG1_37120.9, SMRG1_37120.6, SMRG1_37120.8, SMRG1_37120.3, SMRG1_37120.2, SMRG1_37120.5, SMRG1_37120.1, SMRG1_37120.4
OG0000473	Smp_138590.1	SMRG1_4790.1, SMRG1_4790.2, SMRG1_4790.3, SMRG1_4790.4, SMRG1_4790.5
OG0000474	Smp_266840.1	SMRG1_20010.1
OG0000474	Smp_122810.1	SMRG1_46200.1, SMRG1_46200.2, SMRG1_46220.1
OG0000475	Smp_169800.1	SMRG1_64420.1, SMRG1_64420.2, SMRG1_64420.3
OG0000476	Smp_342610.1, Smp_342610.2	SMRG1_20350.1, SMRG1_20350.4, SMRG1_20350.3, SMRG1_20350.2
OG0000477	Smp_090450.1	SMRG1_46090.1
OG0000479	Smp_094330.1	SMRG1_31640.4, SMRG1_31640.1, SMRG1_31640.7, SMRG1_31640.2, SMRG1_31640.3, SMRG1_31640.5, SMRG1_31640.6
OG0000480	Smp_134950.1	SMRG1_64710.1
OG0000481	Smp_134880.1	SMRG1_65710.1
OG0000482	Smp_172280.1	SMRG1_9460.1
OG0000483	Smp_309950.1, Smp_309960.1	SMRG1_57740.1, SMRG1_57740.2, SMRG1_57740.3, SMRG1_57740.4
OG0000484	Smp_332380.1	SMRG1_97650.1, SMRG1_97650.2, SMRG1_97650.3, SMRG1_97650.4, SMRG1_97650.5, SMRG1_97610.1, SMRG1_97610.2, SMRG1_97610.3, SMRG1_97610.4, SMRG1_97610.5
OG0000485	Smp_058400.1	SMRG1_13050.2, SMRG1_13050.1, SMRG1_13050.3
OG0000487	Smp_125560.1	SMRG1_5920.5, SMRG1_5920.3, SMRG1_5920.8, SMRG1_5920.4, SMRG1_5920.2, SMRG1_5920.6, SMRG1_5920.7, SMRG1_5920.1
OG0000487	Smp_311350.1, Smp_266800.1	SMRG1_16880.1, SMRG1_16900.1
OG0000488	Smp_315060.1, Smp_337100.1, Smp_337100.4, Smp_337100.2, Smp_337100.3, Smp_337100.5	SMRG1_86800.1
OG0000488	Smp_334670.1, Smp_205300.1, Smp_316490.1, Smp_316490.2, Smp_331120.1, Smp_341290.1	SMRG1_86790.1, SMRG1_86790.2
OG0000489	Smp_179070.1	SMRG1_57660.1, SMRG1_57660.2, SMRG1_57660.3, SMRG1_57660.5, SMRG1_57660.4
OG0000491	Smp_081260.1	SMRG1_30310.1, SMRG1_30310.2, SMRG1_30310.3, SMRG1_30310.4
OG0000492	Smp_181440.1	SMRG1_63100.1, SMRG1_63100.3, SMRG1_63100.4, SMRG1_63100.2
OG0000493	Smp_004730.1	SMRG1_48120.1
OG0000493	Smp_340320.1	SMRG1_29110.1, SMRG1_29110.2
OG0000495	Smp_336640.1	SMRG1_3030.4, SMRG1_3030.1, SMRG1_3030.2, SMRG1_3030.3
OG0000496	Smp_092770.1	SMRG1_37920.2, SMRG1_37920.4, SMRG1_37920.3, SMRG1_37920.1
OG0000497	Smp_068920.1, Smp_068920.2, Smp_245240.1	SMRG1_5230.1, SMRG1_5240.1
OG0000498	Smp_124070.1	SMRG1_25340.1
OG0000498	Smp_331830.1	SMRG1_27320.1
OG0000499	Smp_343450.1	SMRG1_72560.1
OG0000500	Smp_347050.1	SMRG1_18650.1, SMRG1_18650.4, SMRG1_18650.7, SMRG1_18650.5, SMRG1_18650.2, SMRG1_18650.3, SMRG1_18650.6
OG0000501	Smp_161970.1, Smp_161970.2	SMRG1_25950.1, SMRG1_25950.3, SMRG1_25950.2, SMRG1_25950.4
OG0000502	Smp_137330.1	SMRG1_35730.5, SMRG1_35730.1, SMRG1_35730.2, SMRG1_35730.4, SMRG1_35730.3
OG0000503	Smp_022400.1	SMRG1_3670.1, SMRG1_3670.3, SMRG1_3670.2, SMRG1_3670.6, SMRG1_3670.4, SMRG1_3670.5
OG0000504	Smp_133710.1	SMRG1_47580.3, SMRG1_47580.8, SMRG1_47580.1, SMRG1_47580.7, SMRG1_47580.2, SMRG1_47580.4, SMRG1_47580.5, SMRG1_47580.6
OG0000505	Smp_072350.1	SMRG1_41370.1, SMRG1_41370.2
OG0000506	Smp_212200.1	SMRG1_8970.1
OG0000507	Smp_246510.1, Smp_246510.2	SMRG1_31350.1
OG0000508	Smp_024000.1	SMRG1_14640.4, SMRG1_14640.3, SMRG1_14640.1, SMRG1_14640.2
OG0000509	Smp_046790.1	SMRG1_50180.1
OG0000509	Smp_127200.1	SMRG1_51660.1, SMRG1_51660.3, SMRG1_51660.2
OG0000510	Smp_152500.1	SMRG1_79280.3, SMRG1_79280.1, SMRG1_79280.2
OG0000510	Smp_344480.2, Smp_344480.1	SMRG1_79300.1, SMRG1_79300.2
OG0000511	Smp_329270.1, Smp_336120.1, Smp_329280.1, Smp_149750.1, Smp_149750.2, Smp_149750.3	SMRG1_73230.1, SMRG1_73220.1, SMRG1_73220.2, SMRG1_73200.1, SMRG1_73210.1
OG0000512	Smp_166940.1	SMRG1_52150.1
OG0000513	Smp_333620.1	SMRG1_67820.1, SMRG1_67820.15, SMRG1_67820.3, SMRG1_67820.12, SMRG1_67820.5, SMRG1_67820.4, SMRG1_67820.13, SMRG1_67820.2, SMRG1_67820.14, SMRG1_67820.8, SMRG1_67820.11, SMRG1_67820.10, SMRG1_67820.7, SMRG1_67820.6, SMRG1_67820.9
OG0000514	Smp_122840.1	SMRG1_46100.1
OG0000515	Smp_153720.1	SMRG1_14260.1
OG0000516	Smp_129110.1	SMRG1_63790.1, SMRG1_63790.2, SMRG1_63790.3
OG0000517	Smp_161980.1	SMRG1_25980.3, SMRG1_25980.1, SMRG1_25980.2
OG0000520	Smp_247990.1	SMRG1_35790.1, SMRG1_35790.3, SMRG1_35790.4, SMRG1_35790.2, SMRG1_7160.1, SMRG1_7160.6, SMRG1_7160.5, SMRG1_7160.2, SMRG1_7160.3, SMRG1_7160.4, SMRG1_36320.3, SMRG1_36320.1, SMRG1_36320.2, SMRG1_62540.3, SMRG1_62540.1, SMRG1_62540.2, SMRG1_55880.1, SMRG1_55880.2, SMRG1_55880.3, SMRG1_15750.1, SMRG1_15750.2
OG0000521	Smp_316340.1	SMRG1_71550.1
OG0000522	Smp_166440.1	SMRG1_57510.1, SMRG1_22480.1, SMRG1_22340.1, SMRG1_22530.1, SMRG1_22360.1, SMRG1_57480.1, SMRG1_57500.1, SMRG1_57520.1
OG0000523	Smp_155750.1	SMRG1_77550.1
OG0000524	Smp_065810.1	SMRG1_12020.1, SMRG1_12020.2, SMRG1_12020.3
OG0000525	Smp_122900.1	SMRG1_51230.2, SMRG1_51230.4, SMRG1_51230.1, SMRG1_51230.3, SMRG1_51230.5
OG0000526	Smp_304370.1	SMRG1_18060.5, SMRG1_18060.2, SMRG1_18060.1, SMRG1_18060.3, SMRG1_18060.4
OG0000527	Smp_062680.1	SMRG1_18520.1, SMRG1_18520.2
OG0000528	Smp_140520.1	SMRG1_32190.2, SMRG1_32190.5, SMRG1_32190.1, SMRG1_32190.6, SMRG1_32190.3, SMRG1_32190.4
OG0000529	Smp_102160.1	SMRG1_15180.1
OG0000529	Smp_123870.1	SMRG1_25600.1
OG0000530	Smp_104310.1	SMRG1_94400.1
OG0000530	Smp_005670.1	SMRG1_97110.1
OG0000530	Smp_337130.1	SMRG1_97120.1
OG0000531	Smp_145090.1	SMRG1_78270.2, SMRG1_78270.1, SMRG1_78270.3
OG0000532	Smp_092880.1	SMRG1_4760.2, SMRG1_4760.3, SMRG1_4760.5, SMRG1_4760.1, SMRG1_4760.4
OG0000533	Smp_347530.1, Smp_347530.2	SMRG1_18710.1, SMRG1_18710.2, SMRG1_18710.3, SMRG1_18710.4
OG0000534	Smp_149080.1	SMRG1_72340.2, SMRG1_72340.3, SMRG1_72340.1, SMRG1_72340.8, SMRG1_72340.4, SMRG1_72340.6, SMRG1_72340.5, SMRG1_72340.7, SMRG1_72340.9
OG0000535	Smp_029470.1	SMRG1_59230.1
OG0000535	Smp_029500.1	SMRG1_59260.1
OG0000536	Smp_079740.1	SMRG1_66570.1
OG0000537	Smp_060860.1	SMRG1_54030.1
OG0000538	Smp_314170.1, Smp_303010.1, Smp_348060.1, Smp_332150.1, Smp_316790.1, Smp_335780.1, Smp_335930.1, Smp_317470.1, Smp_317470.3, Smp_317470.2, Smp_315690.1, Smp_315690.2, Smp_187410.1	SMRG1_86730.1, SMRG1_86740.1, SMRG1_70110.1, SMRG1_70100.1
OG0000539	Smp_021170.1, Smp_021170.3, Smp_021170.2	SMRG1_47460.4, SMRG1_47460.1, SMRG1_47460.3, SMRG1_47460.2
OG0000540	Smp_245200.1	SMRG1_5420.1
OG0000541	Smp_333760.1	SMRG1_28930.3, SMRG1_28930.4, SMRG1_28930.8, SMRG1_28930.9, SMRG1_28930.2, SMRG1_28930.7, SMRG1_28930.1, SMRG1_28930.6, SMRG1_28930.5
OG0000542	Smp_123290.1	SMRG1_88230.1
OG0000543	Smp_336650.1	SMRG1_14570.1, SMRG1_14570.2
OG0000544	Smp_090070.1	SMRG1_80270.1, SMRG1_80270.2
OG0000545	Smp_047900.1	SMRG1_47180.1
OG0000545	Smp_142050.1	SMRG1_70420.1, SMRG1_70420.2, SMRG1_70420.3, SMRG1_70420.5, SMRG1_70420.4
OG0000546	Smp_322440.1	SMRG1_29650.1, SMRG1_29650.2
OG0000547	Smp_169940.1	SMRG1_89720.3, SMRG1_89720.2, SMRG1_89720.4, SMRG1_89720.7, SMRG1_89720.10, SMRG1_89720.1, SMRG1_89720.11, SMRG1_89720.12, SMRG1_89720.5, SMRG1_89720.6, SMRG1_89720.9, SMRG1_89720.13, SMRG1_89720.8
OG0000548	Smp_140820.1	SMRG1_29760.1, SMRG1_29760.3, SMRG1_29760.2, SMRG1_29760.4
OG0000549	Smp_165440.2, Smp_165440.1	SMRG1_10600.3, SMRG1_10600.4, SMRG1_10600.6, SMRG1_10600.5, SMRG1_10600.1, SMRG1_10600.2
OG0000550	Smp_244030.1	SMRG1_16320.3, SMRG1_16320.2, SMRG1_16320.1
OG0000550	Smp_244040.1	SMRG1_16330.1
OG0000551	Smp_337740.1	SMRG1_66270.1
OG0000552	Smp_068950.1	SMRG1_5260.1
OG0000552	Smp_212260.1	SMRG1_87250.1
OG0000553	Smp_300840.1, Smp_300840.2	SMRG1_95900.1
OG0000554	Smp_078280.1	SMRG1_10700.2, SMRG1_10700.1, SMRG1_10700.3, SMRG1_10700.4
OG0000555	Smp_005500.1	SMRG1_43830.1, SMRG1_43830.2, SMRG1_43830.3
OG0000556	Smp_168160.1	SMRG1_66460.3, SMRG1_66460.2, SMRG1_66460.1
OG0000557	Smp_068070.1	SMRG1_37840.1, SMRG1_37840.4, SMRG1_37840.5, SMRG1_37840.3, SMRG1_37840.6, SMRG1_37840.2
OG0000558	Smp_044970.1	SMRG1_17220.1
OG0000559	Smp_347940.1	SMRG1_81510.1, SMRG1_81510.3, SMRG1_81510.7, SMRG1_81510.4, SMRG1_81510.8, SMRG1_81510.2, SMRG1_81510.5, SMRG1_81510.6
OG0000560	Smp_175780.1	SMRG1_97560.10, SMRG1_97560.6, SMRG1_97560.2, SMRG1_97560.3, SMRG1_97560.4, SMRG1_97560.5, SMRG1_97560.7, SMRG1_97560.8, SMRG1_97560.9, SMRG1_97560.1, SMRG1_97560.11
OG0000561	Smp_023010.1	SMRG1_96300.1
OG0000561	Smp_134510.1	SMRG1_96310.1
OG0000562	Smp_144020.1	SMRG1_85450.3, SMRG1_85450.1, SMRG1_85450.2
OG0000563	Smp_039870.1	SMRG1_19460.1, SMRG1_19460.2, SMRG1_19460.3
OG0000564	Smp_088950.1, Smp_088950.2	SMRG1_42220.1, SMRG1_42220.2
OG0000565	Smp_028210.2, Smp_028210.1	SMRG1_3330.1, SMRG1_3330.2
OG0000566	Smp_053060.1	SMRG1_82980.1, SMRG1_82980.4, SMRG1_82980.6, SMRG1_82980.7, SMRG1_82980.2, SMRG1_82980.3, SMRG1_82980.5
OG0000567	Smp_197370.1	SMRG1_66360.2, SMRG1_66360.3, SMRG1_66360.5, SMRG1_66360.1, SMRG1_66360.4
OG0000568	Smp_088650.1	SMRG1_57310.1
OG0000568	Smp_340020.1	SMRG1_67620.1
OG0000568	Smp_032180.1	SMRG1_35030.1
OG0000569	Smp_333030.1	SMRG1_9260.10, SMRG1_9260.1, SMRG1_9260.15, SMRG1_9260.6, SMRG1_9260.11, SMRG1_9260.13, SMRG1_9260.3, SMRG1_9260.4, SMRG1_9260.7, SMRG1_9260.8, SMRG1_9260.9, SMRG1_9260.12, SMRG1_9260.14, SMRG1_9260.2, SMRG1_9260.5
OG0000570	Smp_135790.1, Smp_135790.3, Smp_135790.2	SMRG1_12540.1, SMRG1_12540.2
