Orthogroup	schistosoma_mansoni	schistosoma_rodhaini
OG0000428	Smp_302740.1	SRDH2_42440.1, SRDH2_42430.1
OG0000429	Smp_300560.1	SRDH2_96250.1
OG0000429	Smp_163090.1	SRDH2_45470.1
OG0000430	Smp_033760.1	SRDH2_36260.1, SRDH2_36260.2, SRDH2_36260.3
OG0000431	Smp_157350.1	SRDH2_49750.12, SRDH2_49750.1, SRDH2_49750.8, SRDH2_49750.4, SRDH2_49750.11, SRDH2_49750.10, SRDH2_49750.9, SRDH2_49750.2, SRDH2_49750.6, SRDH2_49750.7, SRDH2_49750.13, SRDH2_49750.5, SRDH2_49750.3, SRDH2_49750.14
OG0000432	Smp_140120.1	SRDH2_97310.3, SRDH2_97310.1, SRDH2_97310.2, SRDH2_97310.4, SRDH2_97310.7, SRDH2_97310.5, SRDH2_97310.6
OG0000433	Smp_196260.1	SRDH2_40420.1
OG0000434	Smp_127820.1	SRDH2_96790.1, SRDH2_96790.6
OG0000434	Smp_127820.2	SRDH2_96790.4, SRDH2_96790.3, SRDH2_96790.2, SRDH2_96790.5
OG0000435	Smp_140640.1	SRDH2_55690.1
OG0000436	Smp_245820.1, Smp_245820.2	SRDH2_26020.11, SRDH2_26020.10, SRDH2_26020.8, SRDH2_26020.5, SRDH2_26020.2, SRDH2_26020.6, SRDH2_26020.7, SRDH2_26020.9, SRDH2_26020.4, SRDH2_26020.3, SRDH2_26020.1
OG0000437	Smp_028650.1	SRDH2_3210.1, SRDH2_3210.11, SRDH2_3210.3, SRDH2_3210.8, SRDH2_3210.9, SRDH2_3210.2, SRDH2_3210.7, SRDH2_3210.10, SRDH2_3210.6, SRDH2_3210.4, SRDH2_3210.5
OG0000438	Smp_007510.1	SRDH2_65210.4, SRDH2_65210.7, SRDH2_65210.6, SRDH2_65210.8, SRDH2_65210.9, SRDH2_65210.1, SRDH2_65210.5, SRDH2_65210.2, SRDH2_65210.3
OG0000439	Smp_061510.1	SRDH2_86960.5, SRDH2_86960.3, SRDH2_86960.7, SRDH2_86960.10, SRDH2_86960.11, SRDH2_86960.13, SRDH2_86960.2, SRDH2_86960.8, SRDH2_86960.9, SRDH2_86960.4, SRDH2_86960.1, SRDH2_86960.12, SRDH2_86960.6, SRDH2_86960.14
OG0000440	Smp_300220.1	SRDH2_93830.1, SRDH2_93850.1, SRDH2_93850.2, SRDH2_93850.3
OG0000440	Smp_300210.1	SRDH2_93840.1
OG0000440	Smp_300200.1	SRDH2_93820.1
OG0000441	Smp_128480.1	SRDH2_9330.7, SRDH2_9330.2, SRDH2_9330.6, SRDH2_9330.1, SRDH2_9330.3, SRDH2_9330.4, SRDH2_9330.5, SRDH2_9330.8, SRDH2_9330.9
OG0000441	Smp_241420.1	SRDH2_13430.3, SRDH2_13430.2, SRDH2_13430.1
OG0000442	Smp_000030.1	SRDH2_33820.6, SRDH2_33820.8, SRDH2_33820.9, SRDH2_33820.4, SRDH2_33820.5, SRDH2_33820.3, SRDH2_33820.1, SRDH2_33820.7, SRDH2_33820.2
OG0000443	Smp_133530.1	SRDH2_5800.2, SRDH2_5800.3, SRDH2_5800.4, SRDH2_5800.1
OG0000444	Smp_148940.1, Smp_148940.2	SRDH2_74510.3, SRDH2_74510.2, SRDH2_74510.4, SRDH2_74510.7, SRDH2_74510.5, SRDH2_74510.6, SRDH2_74510.1, SRDH2_74510.8
OG0000445	Smp_002840.1	SRDH2_66130.1, SRDH2_66130.2, SRDH2_66130.3, SRDH2_66130.4, SRDH2_66130.10, SRDH2_66130.5, SRDH2_66130.6, SRDH2_66130.8, SRDH2_66130.11, SRDH2_66130.7, SRDH2_66130.9
OG0000446	Smp_244750.1	SRDH2_9420.1, SRDH2_9420.4, SRDH2_9420.14, SRDH2_9420.19, SRDH2_9420.20, SRDH2_9420.21, SRDH2_9420.3, SRDH2_9420.17, SRDH2_9420.18, SRDH2_9420.10, SRDH2_9420.12, SRDH2_9420.8, SRDH2_9420.16, SRDH2_9420.13, SRDH2_9420.11, SRDH2_9420.15, SRDH2_9420.7, SRDH2_9420.9, SRDH2_9420.2, SRDH2_9420.5, SRDH2_9420.6
OG0000447	Smp_312150.1	SRDH2_56940.7, SRDH2_56940.4, SRDH2_56940.1, SRDH2_56940.11, SRDH2_56940.2, SRDH2_56940.5, SRDH2_56940.13, SRDH2_56940.3, SRDH2_56940.8, SRDH2_56940.6, SRDH2_56940.12, SRDH2_56940.10, SRDH2_56940.9
OG0000449	Smp_246790.1, Smp_246790.3	SRDH2_58900.3, SRDH2_58900.6, SRDH2_58900.4, SRDH2_58900.5, SRDH2_58900.1, SRDH2_58900.2
OG0000450	Smp_003980.1	SRDH2_25210.7, SRDH2_25210.1, SRDH2_25210.5, SRDH2_25210.3, SRDH2_25210.2, SRDH2_25210.4, SRDH2_25210.8, SRDH2_25210.6
OG0000451	Smp_267100.1	SRDH2_89250.1
OG0000451	Smp_267100.1	SRDH2_89250.2
OG0000451	Smp_267100.1	SRDH2_89250.3
OG0000451	Smp_267100.1	SRDH2_89250.4
OG0000451	Smp_267100.1	SRDH2_89250.5
OG0000451	Smp_267100.1	SRDH2_89250.6
OG0000451	Smp_267100.1	SRDH2_89250.7
OG0000451	Smp_267100.1	SRDH2_89250.8
OG0000451	Smp_267100.1	SRDH2_89250.9
OG0000452	Smp_248190.1	SRDH2_39570.11, SRDH2_39570.13, SRDH2_39570.4, SRDH2_39570.7, SRDH2_39570.10, SRDH2_39570.5, SRDH2_39570.8, SRDH2_39570.9, SRDH2_39570.3, SRDH2_39570.1, SRDH2_39570.2, SRDH2_39570.12, SRDH2_39570.14, SRDH2_39570.6
OG0000454	Smp_158110.2, Smp_158110.1	SRDH2_71690.1
OG0000454	Smp_309480.1, Smp_314640.1	SRDH2_86470.1
OG0000454	Smp_062900.2	SRDH2_73670.1
OG0000455	Smp_129160.1	SRDH2_64700.1
OG0000455	Smp_157720.1	SRDH2_14370.5, SRDH2_14370.4, SRDH2_14370.1, SRDH2_14370.3, SRDH2_14370.2, SRDH2_14370.7, SRDH2_14370.6
OG0000456	Smp_149040.1	SRDH2_74720.1
OG0000457	Smp_034980.1	SRDH2_29000.1, SRDH2_29000.2, SRDH2_29000.4, SRDH2_29000.5, SRDH2_29000.6, SRDH2_29000.7, SRDH2_29000.3, SRDH2_29000.8
OG0000458	Smp_345710.1	SRDH2_38280.1
OG0000459	Smp_302920.1	SRDH2_9770.1
OG0000460	Smp_323500.2, Smp_323490.1, Smp_323500.1, Smp_323510.1, Smp_336840.1, Smp_336850.1, Smp_178360.1, Smp_323480.1	SRDH2_14530.1, SRDH2_14540.1
OG0000461	Smp_347140.2, Smp_347140.3	SRDH2_75850.4, SRDH2_75850.1, SRDH2_75850.2, SRDH2_75850.3
OG0000461	Smp_347140.1, Smp_347140.4	SRDH2_75850.5
OG0000462	Smp_328770.1, Smp_348940.1	SRDH2_58600.1
OG0000462	Smp_348930.1	SRDH2_58610.1
OG0000462	Smp_348950.1	SRDH2_58620.1
OG0000462	Smp_317990.1, Smp_317990.2	SRDH2_95920.1
OG0000463	Smp_129980.1	SRDH2_53880.1
OG0000463	Smp_129980.1	SRDH2_53880.2
OG0000463	Smp_014410.1	SRDH2_53890.1
OG0000463	Smp_014430.1	SRDH2_53870.3, SRDH2_53870.4, SRDH2_53870.5, SRDH2_53870.1, SRDH2_53870.2
OG0000464	Smp_047190.1	SRDH2_13360.2, SRDH2_13360.5, SRDH2_13360.6, SRDH2_13360.4, SRDH2_13360.3, SRDH2_13360.1, SRDH2_13360.7
OG0000465	Smp_030760.1	SRDH2_77670.7, SRDH2_77670.2, SRDH2_77670.5, SRDH2_77670.1, SRDH2_77670.6, SRDH2_77670.8, SRDH2_77670.3, SRDH2_77670.4
OG0000466	Smp_245780.1	SRDH2_52790.8, SRDH2_52790.4, SRDH2_52790.7, SRDH2_52790.12, SRDH2_52790.14, SRDH2_52790.5, SRDH2_52790.6, SRDH2_52790.10, SRDH2_52790.1, SRDH2_52790.13, SRDH2_52790.9, SRDH2_52790.2, SRDH2_52790.3, SRDH2_52790.11
OG0000467	Smp_126540.1	SRDH2_37890.1
OG0000468	Smp_141580.1	SRDH2_74970.8, SRDH2_74970.7, SRDH2_74970.5, SRDH2_74970.2, SRDH2_74970.4, SRDH2_74970.6, SRDH2_74970.1, SRDH2_74970.3
OG0000469	Smp_031070.1	SRDH2_4070.10
OG0000469	Smp_031070.1	SRDH2_4070.13
OG0000469	Smp_031070.1	SRDH2_4070.15
OG0000469	Smp_031070.1	SRDH2_4070.2
OG0000469	Smp_031070.1	SRDH2_4070.3
OG0000469	Smp_031070.1	SRDH2_4070.4
OG0000469	Smp_031070.1	SRDH2_4070.8
OG0000469	Smp_031070.2	SRDH2_4070.19
OG0000469	Smp_031070.2	SRDH2_4070.20
OG0000469	Smp_031070.2	SRDH2_4070.6
OG0000469	Smp_031070.2	SRDH2_4070.7
OG0000469	Smp_031070.2	SRDH2_4070.9
OG0000470	Smp_156450.1	SRDH2_52300.10, SRDH2_52300.4, SRDH2_52300.3, SRDH2_52300.1, SRDH2_52300.2, SRDH2_52300.5, SRDH2_52300.7, SRDH2_52300.8, SRDH2_52300.9, SRDH2_52300.6, SRDH2_52300.11
OG0000471	Smp_138860.1	SRDH2_91310.9, SRDH2_91310.8, SRDH2_91310.1, SRDH2_91310.7, SRDH2_91310.2, SRDH2_91310.6, SRDH2_91310.3, SRDH2_91310.4, SRDH2_91310.5
OG0000472	Smp_302020.1, Smp_126580.1, Smp_302030.1	SRDH2_37940.1
OG0000473	Smp_138590.1	SRDH2_5050.3, SRDH2_5050.2, SRDH2_5050.4, SRDH2_5050.1
OG0000474	Smp_266840.1	SRDH2_21030.1
OG0000474	Smp_122810.1	SRDH2_46460.1, SRDH2_46460.2
OG0000475	Smp_169800.1	SRDH2_65440.5, SRDH2_65440.13, SRDH2_65440.8, SRDH2_65440.9, SRDH2_65440.1, SRDH2_65440.10, SRDH2_65440.12, SRDH2_65440.11, SRDH2_65440.7, SRDH2_65440.6, SRDH2_65440.2, SRDH2_65440.3, SRDH2_65440.4
OG0000476	Smp_342610.1, Smp_342610.2	SRDH2_22870.1
OG0000477	Smp_090450.1	SRDH2_46150.12, SRDH2_46150.9, SRDH2_46150.11, SRDH2_46150.15, SRDH2_46150.14, SRDH2_46150.16, SRDH2_46150.10, SRDH2_46150.5, SRDH2_46150.7, SRDH2_46150.2, SRDH2_46150.4, SRDH2_46150.1, SRDH2_46150.3, SRDH2_46150.6, SRDH2_46150.8, SRDH2_46150.13
OG0000478	Smp_096450.1	SRDH2_6490.1, SRDH2_6490.6, SRDH2_6490.11, SRDH2_6490.12, SRDH2_6490.15, SRDH2_6490.3, SRDH2_6490.4, SRDH2_6490.5
OG0000479	Smp_094330.1	SRDH2_36940.4, SRDH2_36940.5, SRDH2_36940.1, SRDH2_36940.2, SRDH2_36940.3, SRDH2_36940.6
OG0000480	Smp_134950.1	SRDH2_67600.1
OG0000481	Smp_134880.1	SRDH2_67500.1, SRDH2_67500.2, SRDH2_67500.3, SRDH2_67500.4, SRDH2_67500.5, SRDH2_67500.6
OG0000482	Smp_172280.1	SRDH2_10190.3
OG0000482	Smp_172280.1	SRDH2_10190.7
OG0000483	Smp_309950.1, Smp_309960.1	SRDH2_58470.1, SRDH2_58470.2, SRDH2_58470.3
OG0000484	Smp_332380.1	SRDH2_99680.1
OG0000485	Smp_058400.1	SRDH2_12680.4, SRDH2_12680.5, SRDH2_12680.2, SRDH2_12680.3, SRDH2_12680.7, SRDH2_12680.1, SRDH2_12680.6
OG0000487	Smp_125560.1	SRDH2_6250.2, SRDH2_6250.3, SRDH2_6250.1
OG0000487	Smp_311350.1, Smp_266800.1	SRDH2_18620.1
OG0000488	Smp_315060.1, Smp_337100.1, Smp_337100.4, Smp_337100.2, Smp_337100.3, Smp_337100.5	SRDH2_88750.1
OG0000488	Smp_205300.1	SRDH2_82710.1
OG0000488	Smp_316490.1, Smp_316490.2, Smp_331120.1	SRDH2_88760.1, SRDH2_88760.4, SRDH2_95880.1, SRDH2_95880.2, SRDH2_88760.2, SRDH2_88760.3
OG0000489	Smp_179070.1	SRDH2_56960.2, SRDH2_56960.5, SRDH2_56960.1, SRDH2_56960.8, SRDH2_56960.6, SRDH2_56960.3, SRDH2_56960.4, SRDH2_56960.7, SRDH2_56960.9
OG0000491	Smp_081260.1	SRDH2_30640.1
OG0000492	Smp_181440.1	SRDH2_64090.5, SRDH2_64090.1, SRDH2_64090.3, SRDH2_64090.4, SRDH2_64090.2
OG0000493	Smp_004730.1	SRDH2_48240.1
OG0000493	Smp_340320.1	SRDH2_29380.1
OG0000495	Smp_336640.1	SRDH2_3220.1
OG0000495	Smp_336640.1	SRDH2_3220.2
OG0000495	Smp_336640.1	SRDH2_3220.3
OG0000495	Smp_336640.1	SRDH2_3220.4
OG0000495	Smp_336640.1	SRDH2_3220.5
OG0000495	Smp_336640.1	SRDH2_3220.6
OG0000496	Smp_092770.1	SRDH2_37150.1, SRDH2_37150.3, SRDH2_37150.2
OG0000497	Smp_068920.1, Smp_068920.2, Smp_245240.1	SRDH2_5540.1, SRDH2_5550.1, SRDH2_5550.2
OG0000498	Smp_124070.1	SRDH2_25560.1, SRDH2_25560.2
OG0000498	Smp_331830.1	SRDH2_27590.2
OG0000499	Smp_343450.1	SRDH2_75010.1, SRDH2_75010.2, SRDH2_75010.3
OG0000500	Smp_347050.1	SRDH2_19600.1
OG0000501	Smp_161970.1, Smp_161970.2	SRDH2_26320.1, SRDH2_26320.12, SRDH2_26320.10, SRDH2_26320.11, SRDH2_26320.14, SRDH2_26320.3, SRDH2_26320.5, SRDH2_26320.6, SRDH2_26320.4, SRDH2_26320.8, SRDH2_26320.2, SRDH2_26320.7, SRDH2_26320.9, SRDH2_26320.13
OG0000502	Smp_137330.1	SRDH2_33170.1
OG0000503	Smp_022400.1	SRDH2_3890.1
OG0000504	Smp_133710.1	SRDH2_47660.3, SRDH2_47660.4, SRDH2_47660.5, SRDH2_47660.2, SRDH2_47660.1
OG0000505	Smp_072350.1	SRDH2_41400.1, SRDH2_41400.10, SRDH2_41400.11, SRDH2_41400.12, SRDH2_41400.13, SRDH2_41400.3, SRDH2_41400.4, SRDH2_41400.7, SRDH2_41400.8, SRDH2_41400.9, SRDH2_41400.5, SRDH2_41400.2, SRDH2_41400.6
OG0000506	Smp_212200.1	SRDH2_9620.1, SRDH2_101740.1
OG0000507	Smp_246510.1, Smp_246510.2	SRDH2_31620.7, SRDH2_31620.9, SRDH2_31620.14, SRDH2_31620.1, SRDH2_31620.10, SRDH2_31620.15, SRDH2_31620.5, SRDH2_31620.6, SRDH2_31620.2, SRDH2_31620.8, SRDH2_31620.13, SRDH2_31620.3, SRDH2_31620.4, SRDH2_31620.11, SRDH2_31620.12
OG0000508	Smp_024000.1	SRDH2_15710.7, SRDH2_15710.1, SRDH2_15710.5, SRDH2_15710.6, SRDH2_15710.2, SRDH2_15710.3, SRDH2_15710.4, SRDH2_15710.8, SRDH2_15710.9
OG0000509	Smp_046790.1	SRDH2_50240.1
OG0000509	Smp_127200.1	SRDH2_52020.1
OG0000510	Smp_152500.1	SRDH2_80780.1
OG0000510	Smp_344480.2, Smp_344480.1	SRDH2_80800.1, SRDH2_80800.2, SRDH2_80800.6, SRDH2_80800.4, SRDH2_80800.3, SRDH2_80800.7, SRDH2_80800.5
OG0000511	Smp_329270.1, Smp_336120.1, Smp_329280.1, Smp_149750.1, Smp_149750.2, Smp_149750.3	SRDH2_73140.1, SRDH2_73130.2, SRDH2_73100.1, SRDH2_73130.1, SRDH2_73160.1, SRDH2_73120.1, SRDH2_73120.2
OG0000512	Smp_166940.1	SRDH2_52510.11, SRDH2_52510.12, SRDH2_52510.3, SRDH2_52510.7, SRDH2_52510.8, SRDH2_52510.10, SRDH2_52510.5, SRDH2_52510.1, SRDH2_52510.13, SRDH2_52510.4, SRDH2_52510.6, SRDH2_52510.9, SRDH2_52510.2
OG0000513	Smp_333620.1	SRDH2_68910.11, SRDH2_68910.10, SRDH2_68910.9, SRDH2_68910.1, SRDH2_68910.3, SRDH2_68910.4, SRDH2_68910.5, SRDH2_68910.6, SRDH2_68910.8, SRDH2_68910.2, SRDH2_68910.7
OG0000514	Smp_122840.1	SRDH2_46160.1
OG0000514	Smp_122840.1	SRDH2_46160.3
OG0000515	Smp_153720.1	SRDH2_12440.1
OG0000516	Smp_129110.1	SRDH2_64790.1, SRDH2_64790.2
OG0000517	Smp_161980.1	SRDH2_26340.12, SRDH2_26340.13, SRDH2_26340.14, SRDH2_26340.1, SRDH2_26340.10, SRDH2_26340.2, SRDH2_26340.4, SRDH2_26340.5, SRDH2_26340.6, SRDH2_26340.3, SRDH2_26340.7, SRDH2_26340.9, SRDH2_26340.8, SRDH2_26340.11
OG0000521	Smp_316340.1	SRDH2_73990.1
OG0000522	Smp_166440.1	SRDH2_56850.1
OG0000523	Smp_155750.1	SRDH2_78970.1, SRDH2_78970.14, SRDH2_78970.5, SRDH2_78970.7, SRDH2_78970.2, SRDH2_78970.4, SRDH2_78970.9, SRDH2_78970.15, SRDH2_78970.3, SRDH2_78970.6, SRDH2_78970.8, SRDH2_78970.16, SRDH2_78970.10, SRDH2_78970.11, SRDH2_78970.12, SRDH2_78970.13
OG0000524	Smp_065810.1	SRDH2_14430.1, SRDH2_14430.2, SRDH2_14430.3
OG0000525	Smp_122900.1	SRDH2_51550.1
OG0000526	Smp_304370.1	SRDH2_17390.4, SRDH2_17390.5, SRDH2_17390.1, SRDH2_17390.2, SRDH2_17390.3, SRDH2_17390.7, SRDH2_17390.6
OG0000527	Smp_062680.1	SRDH2_19480.10, SRDH2_19480.11, SRDH2_19480.3, SRDH2_19480.4, SRDH2_19480.5, SRDH2_19480.7, SRDH2_19480.6, SRDH2_19480.8, SRDH2_19480.9, SRDH2_19480.1, SRDH2_19480.2
OG0000528	Smp_140520.1	SRDH2_36450.19, SRDH2_36450.11, SRDH2_36450.3, SRDH2_36450.4, SRDH2_36450.1, SRDH2_36450.10, SRDH2_36450.2, SRDH2_36450.5, SRDH2_36450.6, SRDH2_36450.8, SRDH2_36450.9, SRDH2_36450.12, SRDH2_36450.13, SRDH2_36450.7, SRDH2_36450.17, SRDH2_36450.18, SRDH2_36450.20, SRDH2_36450.16, SRDH2_36450.14, SRDH2_36450.15
OG0000529	Smp_102160.1	SRDH2_16190.1
OG0000529	Smp_123870.1	SRDH2_25910.1
OG0000530	Smp_104310.1	SRDH2_96420.1
OG0000530	Smp_005670.1	SRDH2_99210.1
OG0000530	Smp_349020.1	SRDH2_99230.1
OG0000530	Smp_337130.1	SRDH2_99220.1
OG0000531	Smp_145090.1	SRDH2_79680.3, SRDH2_79680.1, SRDH2_79680.4, SRDH2_79680.2
OG0000532	Smp_324710.1	SRDH2_140.1, SRDH2_140.2, SRDH2_140.3, SRDH2_140.4, SRDH2_140.5
OG0000532	Smp_092880.1	SRDH2_5000.7, SRDH2_5000.4, SRDH2_5000.5, SRDH2_5000.3, SRDH2_5000.2, SRDH2_5000.6, SRDH2_5000.8, SRDH2_5000.1
OG0000533	Smp_347530.1, Smp_347530.2	SRDH2_19650.11, SRDH2_19650.2, SRDH2_19650.3, SRDH2_19650.4, SRDH2_19650.7, SRDH2_19650.5, SRDH2_19650.6, SRDH2_19650.10, SRDH2_19650.8, SRDH2_19650.9, SRDH2_19650.1
OG0000534	Smp_149080.1	SRDH2_74790.1
OG0000535	Smp_029470.1	SRDH2_60400.1
OG0000535	Smp_029500.1	SRDH2_60440.1
OG0000536	Smp_079740.1	SRDH2_66490.11, SRDH2_66490.13, SRDH2_66490.6, SRDH2_66490.5, SRDH2_66490.7, SRDH2_66490.10, SRDH2_66490.9, SRDH2_66490.1, SRDH2_66490.12, SRDH2_66490.2, SRDH2_66490.3, SRDH2_66490.4, SRDH2_66490.8
OG0000537	Smp_060860.1	SRDH2_54400.3, SRDH2_54400.17, SRDH2_54400.1, SRDH2_54400.7, SRDH2_54400.14, SRDH2_54400.11, SRDH2_54400.6, SRDH2_54400.8, SRDH2_54400.15, SRDH2_54400.16, SRDH2_54400.10, SRDH2_54400.18, SRDH2_54400.5, SRDH2_54400.4, SRDH2_54400.9, SRDH2_54400.2, SRDH2_54400.13, SRDH2_54400.12
OG0000538	Smp_314170.1	SRDH2_95610.1
OG0000538	Smp_335780.1	SRDH2_101360.1, SRDH2_101360.2
OG0000538	Smp_335930.1	SRDH2_95630.1, SRDH2_71940.2, SRDH2_71940.4, SRDH2_71940.3, SRDH2_71940.1
OG0000538	Smp_317470.1, Smp_317470.3, Smp_317470.2, Smp_315690.1, Smp_315690.2	SRDH2_57040.1
OG0000538	Smp_187410.1	SRDH2_71970.1
OG0000539	Smp_021170.1, Smp_021170.3	SRDH2_47540.1, SRDH2_47540.2
OG0000539	Smp_021170.2	SRDH2_47540.3
OG0000540	Smp_245200.1	SRDH2_5770.4, SRDH2_5770.5, SRDH2_5770.1, SRDH2_5770.3, SRDH2_5770.2, SRDH2_5770.6, SRDH2_5770.8, SRDH2_5770.11, SRDH2_5770.7, SRDH2_5770.10, SRDH2_5770.12, SRDH2_5770.9
OG0000541	Smp_333760.1	SRDH2_29190.6, SRDH2_29190.7, SRDH2_29190.1, SRDH2_29190.3, SRDH2_29190.4, SRDH2_29190.2, SRDH2_29190.5
OG0000542	Smp_123290.1	SRDH2_90210.1
OG0000543	Smp_336650.1	SRDH2_15640.1, SRDH2_15640.2
OG0000544	Smp_090070.1	SRDH2_81940.6, SRDH2_81940.9, SRDH2_81940.1, SRDH2_81940.10, SRDH2_81940.2, SRDH2_81940.4, SRDH2_81940.5, SRDH2_81940.7, SRDH2_81940.8, SRDH2_81940.11, SRDH2_81940.3
OG0000545	Smp_047900.1	SRDH2_47320.1
OG0000545	Smp_142050.1	SRDH2_71540.1
OG0000546	Smp_322440.1	SRDH2_29920.2, SRDH2_29920.5
OG0000547	Smp_169940.1	SRDH2_91520.8, SRDH2_91520.5, SRDH2_91520.16, SRDH2_91520.15, SRDH2_91520.4, SRDH2_91520.7, SRDH2_91520.2, SRDH2_91520.14, SRDH2_91520.12, SRDH2_91520.1, SRDH2_91520.3, SRDH2_91520.6, SRDH2_91520.13, SRDH2_91520.11, SRDH2_91520.9, SRDH2_91520.10
OG0000548	Smp_140820.1	SRDH2_30030.5, SRDH2_30030.6, SRDH2_30030.8, SRDH2_30030.9, SRDH2_30030.10, SRDH2_30030.4, SRDH2_30030.1, SRDH2_30030.3, SRDH2_30030.7, SRDH2_30030.11, SRDH2_30030.12, SRDH2_30030.13, SRDH2_30030.2
OG0000549	Smp_165440.2, Smp_165440.1	SRDH2_11350.1, SRDH2_11350.2, SRDH2_11350.3
OG0000550	Smp_244030.1	SRDH2_19140.7, SRDH2_19140.3, SRDH2_19140.4, SRDH2_19140.5, SRDH2_19140.6
OG0000550	Smp_244040.1	SRDH2_19140.1, SRDH2_19140.2
OG0000551	Smp_337740.1	SRDH2_66230.1
OG0000551	Smp_086860.1	SRDH2_39430.1
OG0000552	Smp_068950.1	SRDH2_5570.1
OG0000552	Smp_212260.1	SRDH2_88960.1
OG0000553	Smp_300840.1	SRDH2_97900.2
OG0000553	Smp_300840.2	SRDH2_97900.1, SRDH2_97900.3
OG0000554	Smp_078280.1	SRDH2_11470.1
OG0000554	Smp_078280.1	SRDH2_11470.2
OG0000555	Smp_005500.1	SRDH2_43820.1, SRDH2_43820.2, SRDH2_43820.3
OG0000556	Smp_168160.1	SRDH2_66370.20, SRDH2_66370.1, SRDH2_66370.10, SRDH2_66370.11, SRDH2_66370.12, SRDH2_66370.13, SRDH2_66370.14, SRDH2_66370.15, SRDH2_66370.2, SRDH2_66370.3, SRDH2_66370.4, SRDH2_66370.5, SRDH2_66370.6, SRDH2_66370.7, SRDH2_66370.8, SRDH2_66370.9, SRDH2_66370.18, SRDH2_66370.16, SRDH2_66370.21, SRDH2_66370.22, SRDH2_66370.19, SRDH2_66370.17, SRDH2_66370.23, SRDH2_66370.26, SRDH2_66370.25, SRDH2_66370.27, SRDH2_66370.24
OG0000557	Smp_068070.1	SRDH2_37240.2
OG0000557	Smp_068070.1	SRDH2_37240.5
OG0000557	Smp_068070.1	SRDH2_37240.6
OG0000557	Smp_068070.1	SRDH2_37240.9
OG0000558	Smp_044970.1	SRDH2_18270.14, SRDH2_18270.9, SRDH2_18270.12, SRDH2_18270.13, SRDH2_18270.5, SRDH2_18270.1, SRDH2_18270.2, SRDH2_18270.3, SRDH2_18270.8, SRDH2_18270.6, SRDH2_18270.10, SRDH2_18270.11, SRDH2_18270.4, SRDH2_18270.7
OG0000559	Smp_347940.1	SRDH2_83450.1
OG0000559	Smp_347940.1	SRDH2_83450.2
OG0000559	Smp_347940.1	SRDH2_83450.4
OG0000559	Smp_347940.1	SRDH2_83450.5
OG0000560	Smp_175780.1	SRDH2_99630.1, SRDH2_99630.4, SRDH2_99630.7, SRDH2_99630.8, SRDH2_99630.2, SRDH2_99630.6, SRDH2_99630.3, SRDH2_99630.5
OG0000561	Smp_023010.1	SRDH2_98330.1
OG0000561	Smp_134510.1	SRDH2_98340.1
OG0000561	Smp_134510.1	SRDH2_98340.2
OG0000561	Smp_134510.1	SRDH2_98340.3
OG0000561	Smp_134510.1	SRDH2_98340.4
OG0000562	Smp_144020.1	SRDH2_87420.1
OG0000563	Smp_039870.1	SRDH2_20470.1, SRDH2_20470.2, SRDH2_20470.3, SRDH2_20470.4, SRDH2_20470.6, SRDH2_20470.5, SRDH2_20470.7, SRDH2_20470.8
OG0000564	Smp_088950.1, Smp_088950.2	SRDH2_42280.14, SRDH2_42280.8, SRDH2_42280.11, SRDH2_42280.1, SRDH2_42280.2, SRDH2_42280.12, SRDH2_42280.13, SRDH2_42280.4, SRDH2_42280.10, SRDH2_42280.5, SRDH2_42280.6, SRDH2_42280.3, SRDH2_42280.9, SRDH2_42280.7
OG0000565	Smp_028210.2, Smp_028210.1	SRDH2_3520.1
OG0000566	Smp_053060.1	SRDH2_84510.1
OG0000566	Smp_053060.1	SRDH2_84510.2
OG0000566	Smp_053060.1	SRDH2_84510.3
OG0000566	Smp_053060.1	SRDH2_84510.4
OG0000567	Smp_197370.1	SRDH2_66280.5, SRDH2_66280.2, SRDH2_66280.1, SRDH2_66280.4, SRDH2_66280.3
OG0000568	Smp_088650.1	SRDH2_58250.1
OG0000568	Smp_340020.1	SRDH2_69110.1
OG0000568	Smp_340020.1	SRDH2_69110.2
OG0000568	Smp_032180.1	SRDH2_32530.1
OG0000569	Smp_333030.1	SRDH2_9940.1
OG0000570	Smp_135790.1, Smp_135790.3, Smp_135790.2	SRDH2_14970.1
OG0000571	Smp_011680.1	SRDH2_9210.2
OG0000571	Smp_011680.1	SRDH2_9210.3
OG0000571	Smp_011680.1	SRDH2_9210.4
OG0000571	Smp_011680.1	SRDH2_9210.5
OG0000571	Smp_011680.2	SRDH2_9210.2
OG0000571	Smp_011680.2	SRDH2_9210.3
OG0000571	Smp_011680.2	SRDH2_9210.4
OG0000571	Smp_011680.2	SRDH2_9210.5
OG0000572	Smp_243200.1	SRDH2_60950.1
OG0000574	Smp_168310.1, Smp_168310.2	SRDH2_3030.2, SRDH2_3030.1
OG0000574	Smp_242540.1	SRDH2_3010.1
OG0000575	Smp_174240.3, Smp_174240.1, Smp_174240.2	SRDH2_97790.1
OG0000576	Smp_061590.1	SRDH2_44390.5, SRDH2_44390.3, SRDH2_44390.18, SRDH2_44390.16, SRDH2_44390.6, SRDH2_44390.1, SRDH2_44390.11, SRDH2_44390.7, SRDH2_44390.17, SRDH2_44390.10, SRDH2_44390.9, SRDH2_44390.15
