Orthogroup	schistosoma_mansoni	schistosoma_japonicum
OG0000892	Smp_045360.1	EWB00_003556
OG0000894	Smp_165000.1	EWB00_000728
OG0000895	Smp_155330.1	EWB00_004915
OG0000896	Smp_307090.1	EWB00_006414, EWB00_006410, EWB00_006413
OG0000897	Smp_159120.1, Smp_159130.1	EWB00_000466.1, EWB00_000466.2
OG0000898	Smp_213760.1	EWB00_002760.1, EWB00_002760.2
OG0000899	Smp_132180.1	EWB00_009349.1, EWB00_009349.2, EWB00_009349.3
OG0000900	Smp_304260.1, Smp_304250.1	EWB00_000867.4, EWB00_000867.1, EWB00_000867.2, EWB00_000867.3
OG0000902	Smp_194520.1	EWB00_002217
OG0000903	Smp_135270.1	EWB00_006459.1, EWB00_006459.4, EWB00_006459.3, EWB00_006459.2
OG0000904	Smp_331780.1	EWB00_008265.1, EWB00_008265.3, EWB00_008265.2
OG0000905	Smp_180790.1	EWB00_002656
OG0000906	Smp_213030.1	EWB00_010433
OG0000907	Smp_135490.1	EWB00_007247.3, EWB00_007247.1, EWB00_007247.2, EWB00_007247.4
OG0000908	Smp_337250.1	EWB00_005038.1, EWB00_005038.2
OG0000908	Smp_341790.1	EWB00_005040.1, EWB00_005039, EWB00_005040.2, EWB00_005040.3
OG0000908	Smp_323680.1, Smp_323710.1	EWB00_005037
OG0000910	Smp_078400.1	EWB00_008842
OG0000912	Smp_167950.1	EWB00_008987
OG0000913	Smp_210780.1	EWB00_004611, EWB00_002590, EWB00_004613
OG0000914	Smp_160760.1, Smp_160760.2	EWB00_010144
OG0000915	Smp_034660.3, Smp_034660.2, Smp_034660.1	EWB00_006060.2, EWB00_006060.3, EWB00_006060.1, EWB00_006060.4
OG0000916	Smp_147990.1	EWB00_006143.1, EWB00_006143.2
OG0000917	Smp_343610.1	EWB00_010169.1, EWB00_010169.2
OG0000918	Smp_246670.1	EWB00_005030
OG0000919	Smp_129210.1	EWB00_007296
OG0000920	Smp_300910.3, Smp_300910.1, Smp_300910.2	EWB00_001434
OG0000921	Smp_161530.1	EWB00_008259
OG0000922	Smp_032970.1	EWB00_008533
OG0000922	Smp_032980.1	EWB00_008534
OG0000923	Smp_099890.1	EWB00_004716.2, EWB00_004716.1
OG0000923	Smp_010370.1	EWB00_008972.4, EWB00_008972.1, EWB00_008972.3, EWB00_008972.2
OG0000925	Smp_090240.1	EWB00_002466.1, EWB00_002466.2
OG0000926	Smp_159780.1	EWB00_005002
OG0000927	Smp_143730.1	EWB00_010307.3, EWB00_010307.4, EWB00_010307.1, EWB00_010307.2
OG0000928	Smp_140430.1	EWB00_003409
OG0000929	Smp_026910.1	EWB00_002228.3, EWB00_002228.1, EWB00_002228.4, EWB00_002228.2
OG0000930	Smp_332630.1	EWB00_002801
OG0000931	Smp_148760.1	EWB00_002742.3, EWB00_002742.1, EWB00_002742.2
OG0000932	Smp_152400.1	EWB00_008012.1, EWB00_008012.2
OG0000933	Smp_048160.1	EWB00_004597
OG0000934	Smp_068270.1	EWB00_009195.1, EWB00_009195.2
OG0000935	Smp_027870.1	EWB00_008912
OG0000936	Smp_033260.1	EWB00_004757.1, EWB00_004757.2
OG0000937	Smp_213320.3, Smp_213320.1, Smp_213320.2	EWB00_008129.1, EWB00_008129.2
OG0000938	Smp_194650.1	EWB00_011164
OG0000939	Smp_170910.2, Smp_170910.1	EWB00_005274
OG0000940	Smp_347430.1	EWB00_002044
OG0000941	Smp_034000.1	EWB00_007844
OG0000942	Smp_151280.1	EWB00_003098, EWB00_003099
OG0000943	Smp_141040.1	EWB00_000645
OG0000944	Smp_246850.1, Smp_246840.1	EWB00_010860.1, EWB00_010860.2
OG0000945	Smp_155450.1	EWB00_004193.4, EWB00_004193.2, EWB00_004193.3, EWB00_004193.5, EWB00_004193.1
OG0000946	Smp_128680.1	EWB00_005652, EWB00_003083, EWB00_003088
OG0000947	Smp_054820.1	EWB00_009525
OG0000948	Smp_267060.1	EWB00_000140.1, EWB00_000140.3, EWB00_000140.2
OG0000949	Smp_038960.1, Smp_038950.1	EWB00_003119, EWB00_010161.4, EWB00_010161.1, EWB00_010161.2, EWB00_010161.3, EWB00_003117
OG0000950	Smp_082850.1	EWB00_005407
OG0000951	Smp_010290.1	EWB00_000581.1, EWB00_000581.2
OG0000952	Smp_034700.1	EWB00_006066
OG0000953	Smp_105860.1	EWB00_005901.1, EWB00_005901.4, EWB00_005901.2, EWB00_005901.3
OG0000954	Smp_053940.1	EWB00_003498.1, EWB00_003498.2, EWB00_003498.3
OG0000955	Smp_065770.2, Smp_065770.1, Smp_065770.3	EWB00_007686.3, EWB00_007686.4, EWB00_007686.1, EWB00_007686.2
OG0000958	Smp_058240.1, Smp_058240.2	EWB00_002301.1, EWB00_002301.4, EWB00_002301.3, EWB00_002301.2
OG0000959	Smp_316700.1	EWB00_001614
OG0000960	Smp_309140.1, Smp_327340.1, Smp_349040.1, Smp_319240.1, Smp_199340.1, Smp_328940.1	EWB00_005748.1, EWB00_005748.2
OG0000961	Smp_054730.1	EWB00_009526
OG0000962	Smp_024580.1	EWB00_007245
OG0000963	Smp_153150.1	EWB00_007898.1, EWB00_007898.2
OG0000964	Smp_168270.1	EWB00_007811
OG0000965	Smp_246430.3, Smp_246430.1, Smp_246430.2	EWB00_007102.3, EWB00_007102.1, EWB00_007102.2
OG0000966	Smp_019100.1	EWB00_004292
OG0000966	Smp_065180.1	EWB00_008737.2, EWB00_008737.1
OG0000967	Smp_028170.1	EWB00_006834.1, EWB00_006834.5, EWB00_006834.7, EWB00_006834.2, EWB00_006834.3, EWB00_006834.6, EWB00_006834.4
OG0000968	Smp_332870.1	EWB00_007585
OG0000969	Smp_334470.1	EWB00_004989
OG0000970	Smp_242690.1	EWB00_000530.1, EWB00_000530.2, EWB00_000530.3
OG0000971	Smp_142890.1	EWB00_008797
OG0000973	Smp_167830.1	EWB00_001144
OG0000974	Smp_142420.1	EWB00_003797
OG0000975	Smp_141860.1	EWB00_010836
OG0000976	Smp_165260.1	EWB00_009194.1, EWB00_009194.2
OG0000977	Smp_131950.1	EWB00_008954
OG0000978	Smp_077070.1	EWB00_006429.1, EWB00_006429.2
OG0000979	Smp_127050.1	EWB00_003435.1, EWB00_003435.3, EWB00_003435.2
OG0000980	Smp_045430.1, Smp_045430.2	EWB00_003545.3, EWB00_003545.1, EWB00_003545.2
OG0000981	Smp_049510.1	EWB00_003939
OG0000982	Smp_309360.1	EWB00_005588
OG0000983	Smp_306200.1	EWB00_001638, EWB00_009926, EWB00_009927
OG0000984	Smp_139520.1	EWB00_008168
OG0000985	Smp_038930.1	EWB00_003115.1, EWB00_003115.2
OG0000986	Smp_315730.1, Smp_315730.2	EWB00_006598
OG0000987	Smp_160090.1	EWB00_001667.1, EWB00_001667.2, EWB00_001667.3
OG0000988	Smp_210930.1, Smp_210920.1	EWB00_005167
OG0000989	Smp_063830.1	EWB00_007224
OG0000990	Smp_134360.1	EWB00_009083.1, EWB00_009083.2, EWB00_009083.3
OG0000991	Smp_333500.1, Smp_333500.2	EWB00_005269, EWB00_005270
OG0000992	Smp_212390.1	EWB00_000009
OG0000993	Smp_144930.1	EWB00_007390.1, EWB00_007390.2
OG0000994	Smp_172400.1	EWB00_001747
OG0000995	Smp_150980.1	EWB00_003486.1, EWB00_003486.2
OG0000996	Smp_040800.1	EWB00_004706
OG0000997	Smp_087440.1	EWB00_001985.1, EWB00_001985.3, EWB00_001985.4, EWB00_001985.5, EWB00_001985.6, EWB00_001985.7, EWB00_001985.2
OG0000998	Smp_178850.1	EWB00_008388.3, EWB00_008388.4, EWB00_008388.1, EWB00_008388.2, EWB00_008388.5
OG0000999	Smp_154640.1	EWB00_007695.1, EWB00_007695.2
OG0001000	Smp_142170.1	EWB00_007782
OG0001003	Smp_310470.1	EWB00_003403
OG0001004	Smp_020480.1	EWB00_010272
OG0001005	Smp_022890.1, Smp_022890.2	EWB00_000102
OG0001006	Smp_336200.1, Smp_317180.1, Smp_318030.1, Smp_336190.1, Smp_318060.1, Smp_318020.1, Smp_318040.1, Smp_318050.1, Smp_318070.1, Smp_318080.1, Smp_318090.1, Smp_318100.1, Smp_335540.1, Smp_330280.1, Smp_306680.1, Smp_317160.1, Smp_317170.1, Smp_330270.1, Smp_337500.1, Smp_317190.1, Smp_317200.1, Smp_330300.1, Smp_330310.1, Smp_330290.1, Smp_317270.1, Smp_314350.1	EWB00_008832, EWB00_008833
OG0001007	Smp_102780.1, Smp_331900.1, Smp_331900.2	EWB00_003196
OG0001009	Smp_078230.1	EWB00_000320.1, EWB00_000320.2
OG0001010	Smp_162100.1	EWB00_011274
OG0001012	Smp_174380.1	EWB00_008270.1, EWB00_008270.2
OG0001013	Smp_076560.1, Smp_076560.2	EWB00_004156.4, EWB00_004156.3, EWB00_004156.2, EWB00_004156.1
OG0001014	Smp_245360.1	EWB00_009023, EWB00_009024
OG0001015	Smp_332540.1	EWB00_004382
OG0001016	Smp_159050.1	EWB00_007712.1, EWB00_007712.2
OG0001017	Smp_241460.1	EWB00_004820.1, EWB00_004820.3, EWB00_004820.2
OG0001018	Smp_140790.1	EWB00_006039.1, EWB00_006039.2
OG0001019	Smp_194370.1, Smp_194370.2	EWB00_003231
OG0001020	Smp_103090.1	EWB00_005535.1, EWB00_005535.2
OG0001021	Smp_140940.1	EWB00_007945.1, EWB00_007945.2
OG0001022	Smp_163750.1	EWB00_006135
OG0001023	Smp_127480.1	EWB00_003959
OG0001024	Smp_343730.1	EWB00_007402
OG0001025	Smp_138900.1	EWB00_003052.1, EWB00_003052.3, EWB00_003052.2
OG0001026	Smp_046870.1	EWB00_007606.1, EWB00_007606.2
OG0001027	Smp_015850.1	EWB00_005674.1, EWB00_005674.2, EWB00_005674.3, EWB00_005674.4
OG0001028	Smp_037640.1, Smp_037640.2	EWB00_003804.4, EWB00_003804.1, EWB00_003804.3, EWB00_003804.5, EWB00_003804.2
OG0001029	Smp_346650.1	EWB00_003609.1, EWB00_003609.2
OG0001030	Smp_020300.1	EWB00_003286.1, EWB00_003286.2
OG0001031	Smp_309970.1	EWB00_008134
OG0001032	Smp_040770.1	EWB00_004704.1, EWB00_004704.2, EWB00_004704.3
OG0001033	Smp_156000.1	EWB00_002756.1, EWB00_002756.2
OG0001034	Smp_128520.1, Smp_128530.1	EWB00_001199.1, EWB00_001199.2
OG0001035	Smp_311670.1, Smp_311660.1, Smp_337730.1	EWB00_002168
OG0001036	Smp_167810.1	EWB00_006516
OG0001037	Smp_163780.1	EWB00_006132
OG0001038	Smp_064590.1	EWB00_005626.1, EWB00_005626.2
OG0001039	Smp_076960.1	EWB00_001147.1, EWB00_001147.2
OG0001040	Smp_242860.1, Smp_242860.2	EWB00_000155
OG0001041	Smp_057320.1	EWB00_003034
OG0001042	Smp_340300.1, Smp_340300.2	EWB00_002194.6, EWB00_002194.2, EWB00_002194.1, EWB00_002194.3, EWB00_002194.4, EWB00_002194.5
OG0001043	Smp_341110.1	EWB00_010705
OG0001044	Smp_312230.1	EWB00_005778
OG0001045	Smp_333610.1	EWB00_009843
OG0001046	Smp_009540.1	EWB00_006779
OG0001047	Smp_212300.1, Smp_212300.2	EWB00_006678
OG0001048	Smp_343740.1	EWB00_007395.2, EWB00_007395.1, EWB00_007395.3
OG0001049	Smp_194570.1	EWB00_002207
OG0001050	Smp_336680.1	EWB00_007741
OG0001051	Smp_158190.1	EWB00_000734
OG0001052	Smp_121600.2	EWB00_002209.4, EWB00_002209.1, EWB00_002209.3
OG0001052	Smp_121600.1	EWB00_002209.2
OG0001053	Smp_150210.1	EWB00_009221.2, EWB00_009221.3, EWB00_009221.1, EWB00_009222, EWB00_009221.4
OG0001054	Smp_147520.1	EWB00_008451.1, EWB00_008451.2
OG0001055	Smp_165040.1	EWB00_009534.1, EWB00_009534.3, EWB00_009534.2, EWB00_009534.4
OG0001056	Smp_345120.1	EWB00_010129, EWB00_005571
OG0001057	Smp_344960.1	EWB00_005060.1, EWB00_005060.2, EWB00_005060.4, EWB00_005060.3
OG0001058	Smp_337785.1, Smp_337780.1	EWB00_011337
OG0001059	Smp_121640.1	EWB00_000080.1, EWB00_000080.3, EWB00_000080.2
OG0001060	Smp_087620.1	EWB00_010427.1, EWB00_010427.2
OG0001061	Smp_343890.1, Smp_178760.1, Smp_242450.1	EWB00_005550, EWB00_005551, EWB00_011072
OG0001062	Smp_065420.1, Smp_157450.1	EWB00_004749
OG0001063	Smp_314740.1, Smp_314750.1	EWB00_004479
OG0001064	Smp_011150.1	EWB00_010816.1, EWB00_010816.2, EWB00_010816.3, EWB00_010816.4
OG0001065	Smp_133090.1	EWB00_009928
OG0001065	Smp_133080.1	EWB00_007939
OG0001065	Smp_342760.1	EWB00_007937
OG0001067	Smp_341850.3, Smp_341850.1, Smp_341850.2, Smp_166720.1, Smp_318370.1, Smp_166730.1, Smp_337810.1, Smp_337880.1, Smp_337890.1, Smp_337900.1, Smp_318340.1, Smp_318350.1, Smp_332340.1, Smp_337820.1, Smp_166690.1	EWB00_001456.1, EWB00_001456.3, EWB00_001456.2, EWB00_001456.4, EWB00_003350, EWB00_005939
OG0001068	Smp_058980.1	EWB00_009751.1, EWB00_009751.2
OG0001070	Smp_013060.1	EWB00_007136
OG0001070	Smp_212740.1	EWB00_010978.2
OG0001071	Smp_134910.1	EWB00_000924.2, EWB00_000924.1, EWB00_000924.3
OG0001072	Smp_121940.1	EWB00_003227
OG0001073	Smp_176580.1	EWB00_007640
OG0001074	Smp_175860.1	EWB00_007010
OG0001075	Smp_246600.1, Smp_246600.2	EWB00_004024.4, EWB00_004024.2, EWB00_004024.3, EWB00_004024.6, EWB00_004024.5, EWB00_004024.1
OG0001076	Smp_095910.1	EWB00_004053.3, EWB00_004053.1, EWB00_004053.2
OG0001077	Smp_129670.1, Smp_129670.2	EWB00_005346
OG0001078	Smp_336670.1	EWB00_011119, EWB00_011121
OG0001079	Smp_145460.1	EWB00_004521
OG0001080	Smp_009030.1	EWB00_010921.1, EWB00_010921.3, EWB00_010921.2
OG0001081	Smp_092020.1, Smp_092020.3, Smp_092020.2	EWB00_001752, EWB00_001750.1, EWB00_001750.3, EWB00_001750.2
OG0001082	Smp_171200.1	EWB00_008077
OG0001083	Smp_057530.1	EWB00_011190
OG0001084	Smp_051210.1	EWB00_006446.4, EWB00_006446.2, EWB00_006446.1, EWB00_006446.3
OG0001085	Smp_005880.1	EWB00_005838.2, EWB00_005838.1, EWB00_005838.3, EWB00_005838.4
OG0001086	Smp_344990.1	EWB00_007352
OG0001087	Smp_063640.1	EWB00_005325
OG0001087	Smp_010230.1	EWB00_004308
OG0001088	Smp_129590.1, Smp_129590.2, Smp_158540.1	EWB00_001106
OG0001089	Smp_023550.1	EWB00_000922.1, EWB00_000922.2
OG0001090	Smp_031690.1, Smp_031690.2	EWB00_006648.1, EWB00_006648.2, EWB00_006648.3
OG0001091	Smp_161170.1	EWB00_005418.1, EWB00_005418.2, EWB00_005418.3
OG0001092	Smp_334020.1	EWB00_008685.1, EWB00_008685.2
OG0001093	Smp_056810.1	EWB00_009235.1, EWB00_009235.2
OG0001094	Smp_337200.1	EWB00_004337
OG0001095	Smp_127180.1	EWB00_006786
OG0001096	Smp_163180.1	EWB00_010365
OG0001097	Smp_000790.1, Smp_000790.2	EWB00_010093, EWB00_010092, EWB00_010091
OG0001098	Smp_006760.1	EWB00_011219.5, EWB00_011219.2, EWB00_011219.4, EWB00_011219.1, EWB00_011219.3
OG0001099	Smp_077720.1, Smp_077720.2	EWB00_000377.1, EWB00_000377.2, EWB00_000377.3
OG0001100	Smp_309590.1, Smp_309590.2	EWB00_006265
OG0001101	Smp_122730.1, Smp_327640.1, Smp_327420.1	EWB00_003637.1, EWB00_003637.2
OG0001102	Smp_106130.1	EWB00_007726.1, EWB00_007726.3, EWB00_007726.4, EWB00_007726.2
OG0001103	Smp_057360.1	EWB00_003032.1, EWB00_003032.2, EWB00_003032.3
OG0001104	Smp_186670.1	EWB00_007728.1, EWB00_007728.3, EWB00_007728.2
OG0001105	Smp_140580.1	EWB00_011214.1, EWB00_011214.2
OG0001106	Smp_309660.1, Smp_309670.1	EWB00_008927
OG0001107	Smp_154320.1	EWB00_007219.2, EWB00_007219.4, EWB00_007219.3, EWB00_007219.1
OG0001108	Smp_141140.1	EWB00_001932, EWB00_003300
OG0001109	Smp_052790.1	EWB00_001760.1, EWB00_001760.2
OG0001110	Smp_241500.1	EWB00_009040.1, EWB00_009040.2
OG0001111	Smp_157360.1	EWB00_008730
OG0001112	Smp_005720.1	EWB00_004791.1, EWB00_004791.2
OG0001112	Smp_300990.1, Smp_332980.1	EWB00_004792, EWB00_004793
OG0001113	Smp_019840.1, Smp_019840.2	EWB00_004451.2, EWB00_004451.1, EWB00_004451.3
OG0001114	Smp_044550.1	EWB00_003819.1, EWB00_003819.2
OG0001115	Smp_344540.1, Smp_344540.2	EWB00_008941
OG0001116	Smp_347070.1	EWB00_004405
OG0001117	Smp_135170.1	EWB00_002363
OG0001118	Smp_148820.1, Smp_312580.1, Smp_332640.1	EWB00_002739.1, EWB00_002739.2
OG0001119	Smp_333660.1	EWB00_000920.1, EWB00_000920.2, EWB00_000920.4, EWB00_000920.3
OG0001120	Smp_161730.1	EWB00_002578
OG0001121	Smp_210250.1, Smp_210250.2	EWB00_005134.5, EWB00_005134.1, EWB00_005134.6, EWB00_005134.4, EWB00_005134.2, EWB00_005134.3
OG0001122	Smp_050470.1	EWB00_002290, EWB00_002289
OG0001123	Smp_064280.1	EWB00_005079
OG0001124	Smp_060570.1	EWB00_004927.2, EWB00_004927.3, EWB00_004927.4, EWB00_004927.5, EWB00_004927.7, EWB00_004927.8, EWB00_004927.1, EWB00_004927.6, EWB00_004927.9
OG0001125	Smp_306580.1, Smp_335110.1	EWB00_002307.1, EWB00_002307.2, EWB00_002309, EWB00_002308
OG0001127	Smp_344130.1	EWB00_003937.1, EWB00_003937.2
OG0001128	Smp_153990.2, Smp_153990.1, Smp_153990.5, Smp_153990.4, Smp_153990.3	EWB00_010960
OG0001130	Smp_340290.1	EWB00_008952
OG0001131	Smp_313110.1	EWB00_011067
OG0001131	Smp_313100.1	EWB00_010938, EWB00_010102, EWB00_011237
OG0001132	Smp_045590.1	EWB00_004513.1, EWB00_004513.2
OG0001133	Smp_008070.1	EWB00_006647.1, EWB00_006647.2
OG0001133	Smp_054470.1	EWB00_003100.1, EWB00_003100.2
OG0001134	Smp_123450.1	EWB00_010505
OG0001135	Smp_176420.1	EWB00_007857
OG0001136	Smp_245010.1	EWB00_007074
OG0001137	Smp_103570.1	EWB00_005385
OG0001138	Smp_061210.1	EWB00_002488.3, EWB00_002488.5, EWB00_002488.4, EWB00_002488.2, EWB00_002488.1
OG0001139	Smp_180740.1	EWB00_001288
OG0001140	Smp_159340.1	EWB00_004038.3, EWB00_004038.1, EWB00_004038.2, EWB00_004038.4
OG0001141	Smp_090080.1	EWB00_010581
OG0001142	Smp_323580.1	EWB00_010000, EWB00_009996, EWB00_009998
OG0001143	Smp_168340.1	EWB00_000397.1, EWB00_000397.2, EWB00_000397.3
OG0001144	Smp_132660.1	EWB00_004285
OG0001145	Smp_062240.1, Smp_123600.1	EWB00_010489
OG0001146	Smp_322350.1, Smp_322350.2	EWB00_004856.1, EWB00_004856.2
OG0001147	Smp_019760.1	EWB00_002095
OG0001148	Smp_086460.1	EWB00_000968
OG0001149	Smp_041770.1	EWB00_007400
OG0001150	Smp_045400.1	EWB00_003549.3, EWB00_003549.1, EWB00_003549.2, EWB00_003549.4
OG0001151	Smp_169870.1	EWB00_001919.1, EWB00_001919.2
OG0001153	Smp_000990.1	EWB00_010070.3, EWB00_010070.4, EWB00_010070.1, EWB00_010070.2, EWB00_010070.5
OG0001154	Smp_142270.2, Smp_142270.1	EWB00_000030
OG0001155	Smp_071880.1	EWB00_010700
OG0001156	Smp_019690.1, Smp_019690.2	EWB00_008591
OG0001157	Smp_010140.1	EWB00_000400.1, EWB00_000400.2, EWB00_000400.4, EWB00_000400.3
OG0001158	Smp_144080.1	EWB00_002800
OG0001159	Smp_077560.1	EWB00_006018, EWB00_004960
OG0001160	Smp_131460.1	EWB00_005699
OG0001161	Smp_123670.1, Smp_123670.2	EWB00_010476.1, EWB00_010476.2, EWB00_010476.3
OG0001162	Smp_180160.1	EWB00_006864.3, EWB00_006864.4, EWB00_006864.1, EWB00_006864.2
OG0001163	Smp_062530.1	EWB00_002010
OG0001164	Smp_341090.2, Smp_341090.1	EWB00_006769.1, EWB00_006769.3, EWB00_006769.2
OG0001165	Smp_161580.1	EWB00_011222.1, EWB00_011222.2
OG0001166	Smp_178740.1	EWB00_011074
OG0001167	Smp_180150.1	EWB00_006863
OG0001168	Smp_136040.1	EWB00_007693
OG0001169	Smp_129650.1	EWB00_005343
OG0001170	Smp_244570.1	EWB00_004194
OG0001171	Smp_024370.1	EWB00_004815.1, EWB00_004815.3, EWB00_004815.4, EWB00_004815.5, EWB00_004815.2
OG0001172	Smp_137890.2, Smp_137890.3, Smp_137890.1	EWB00_011304.3, EWB00_011304.1, EWB00_011304.4, EWB00_011304.2
OG0001173	Smp_145810.1	EWB00_003842
OG0001175	Smp_045480.1	EWB00_003539.1, EWB00_003539.2
OG0001176	Smp_027550.1, Smp_027550.2	EWB00_004549.3, EWB00_004549.1, EWB00_004549.2
OG0001177	Smp_341700.1	EWB00_001130.1, EWB00_001130.2
OG0001178	Smp_304060.1	EWB00_007871
OG0001178	Smp_125940.1	EWB00_007868, EWB00_007870
OG0001179	Smp_127680.1, Smp_127680.2	EWB00_008433.1, EWB00_008433.3, EWB00_008433.2, EWB00_008433.4, EWB00_008433.5
OG0001180	Smp_311140.1, Smp_180190.1	EWB00_009514, EWB00_002566
OG0001181	Smp_347830.1	EWB00_011225.1, EWB00_011225.3, EWB00_011225.4, EWB00_011225.2
OG0001182	Smp_019340.1	EWB00_004268.3, EWB00_004268.4, EWB00_004268.5, EWB00_004268.6, EWB00_004268.1, EWB00_004268.2, EWB00_004268.7
OG0001183	Smp_164410.1	EWB00_011081.1, EWB00_011081.2
OG0001184	Smp_171710.1	EWB00_000876
OG0001186	Smp_134250.1, Smp_134250.2	EWB00_006349
OG0001187	Smp_246500.1	EWB00_004626.1, EWB00_004626.2
OG0001188	Smp_121140.1	EWB00_004444, EWB00_005813, EWB00_004077
OG0001189	Smp_132170.1	EWB00_004208
OG0001190	Smp_132640.1	EWB00_004289.1, EWB00_004289.2
OG0001191	Smp_037190.1	EWB00_007772.1, EWB00_007772.2, EWB00_007772.3, EWB00_007772.4, EWB00_007772.5, EWB00_007772.6
OG0001192	Smp_040570.1, Smp_320200.1	EWB00_006404.1, EWB00_006404.2, EWB00_006404.3
OG0001193	Smp_058130.1	EWB00_008292.2, EWB00_008292.1, EWB00_008292.3
OG0001194	Smp_242400.1	EWB00_009245.1, EWB00_009245.2
OG0001197	Smp_316630.1	EWB00_005828.1, EWB00_005828.2
OG0001198	Smp_173230.1	EWB00_001493.1, EWB00_001493.2
OG0001199	Smp_346020.1, Smp_336180.1	EWB00_003335
OG0001199	Smp_314000.1, Smp_314010.1, Smp_314010.2	EWB00_009627, EWB00_009628
OG0001202	Smp_058450.1	EWB00_002669.3, EWB00_002669.1, EWB00_002669.2, EWB00_002669.4, EWB00_002669.5
OG0001203	Smp_175900.1	EWB00_005655
OG0001203	Smp_314630.1	EWB00_006758
OG0001204	Smp_030110.1	EWB00_009801
OG0001205	Smp_010250.1	EWB00_004310.1, EWB00_004310.2, EWB00_004310.3
OG0001207	Smp_045790.1	EWB00_002323.1, EWB00_002323.2, EWB00_002323.3
OG0001208	Smp_142620.1	EWB00_003148, EWB00_003150
OG0001209	Smp_301160.1	EWB00_008086
OG0001210	Smp_180400.1	EWB00_000580.2, EWB00_000580.1, EWB00_000580.3, EWB00_000580.4
OG0001211	Smp_244200.1	EWB00_006527.4, EWB00_006527.1, EWB00_006527.2, EWB00_006527.3
OG0001212	Smp_068990.1	EWB00_001093
OG0001213	Smp_139930.1	EWB00_008528
OG0001214	Smp_035150.1	EWB00_003313.1, EWB00_003313.2, EWB00_003313.3, EWB00_003313.4
OG0001215	Smp_243670.1	EWB00_010425.1, EWB00_010425.2, EWB00_010425.3, EWB00_010425.4
OG0001216	Smp_333210.1, Smp_333210.2	EWB00_005026.4, EWB00_005026.2, EWB00_005026.1, EWB00_005026.3
OG0001217	Smp_052280.1	EWB00_006632.3, EWB00_006632.1, EWB00_006632.2
OG0001218	Smp_157670.1, Smp_157670.2, Smp_157670.3	EWB00_010561, EWB00_007683.1, EWB00_007683.3, EWB00_007683.2
OG0001219	Smp_152370.1	EWB00_008004.1, EWB00_008004.2
OG0001220	Smp_041630.1	EWB00_001424
OG0001221	Smp_181460.1	EWB00_007723.1, EWB00_007723.2
OG0001222	Smp_300380.1, Smp_300390.1, Smp_300380.2, Smp_300390.2	EWB00_008570.6, EWB00_008570.4, EWB00_008570.5, EWB00_008570.1, EWB00_008570.3, EWB00_008570.2
OG0001223	Smp_152830.1, Smp_152830.2, Smp_152830.3	EWB00_005965
OG0001224	Smp_094630.1	EWB00_003782.1, EWB00_003782.2
OG0001225	Smp_138200.1	EWB00_005264
OG0001226	Smp_131630.1	EWB00_000188
OG0001227	Smp_145990.1	EWB00_004021.3, EWB00_004021.4, EWB00_004021.1, EWB00_004021.2
OG0001228	Smp_075800.1	EWB00_009722.2, EWB00_009722.1, EWB00_010025, EWB00_004885
OG0001229	Smp_071470.1	EWB00_006070
OG0001230	Smp_198530.1	EWB00_007647.2, EWB00_007647.3, EWB00_007647.1, EWB00_007647.4
OG0001231	Smp_048430.1	EWB00_006158.9, EWB00_006158.1, EWB00_006158.4, EWB00_006158.7, EWB00_006158.2, EWB00_006158.5, EWB00_006158.3, EWB00_006158.6, EWB00_006158.8
OG0001232	Smp_068000.1, Smp_315750.1, Smp_315750.2, Smp_315750.3	EWB00_006765.1, EWB00_006765.2
OG0001233	Smp_340710.1	EWB00_010835.1, EWB00_010835.2, EWB00_010835.7, EWB00_010835.5, EWB00_010835.3, EWB00_010835.6, EWB00_010835.4, EWB00_010835.9, EWB00_010835.10, EWB00_010835.8
OG0001234	Smp_165190.1	EWB00_004896.5, EWB00_004896.2, EWB00_004896.3, EWB00_004896.1, EWB00_004896.4
OG0001235	Smp_133210.1	EWB00_003285
OG0001235	Smp_020340.1	EWB00_003283
OG0001236	Smp_150220.1, Smp_150220.2	EWB00_009224, EWB00_009223
OG0001237	Smp_096790.1	EWB00_005036.3, EWB00_005036.1, EWB00_005036.2
OG0001237	Smp_323640.1	EWB00_005042.2, EWB00_005042.1, EWB00_005042.3
OG0001238	Smp_156880.1	EWB00_002187.3, EWB00_002187.1, EWB00_002187.2
OG0001239	Smp_341050.1	EWB00_007685
OG0001240	Smp_146310.1	EWB00_007766.1, EWB00_007766.2
OG0001241	Smp_194710.1	EWB00_003870
OG0001241	Smp_069240.1	EWB00_008223
OG0001242	Smp_095360.1	EWB00_007827
OG0001244	Smp_154250.1	EWB00_001945
OG0001245	Smp_305870.1	EWB00_008323
OG0001246	Smp_093950.1	EWB00_002955.1, EWB00_002955.3, EWB00_002955.4, EWB00_002955.2
OG0001247	Smp_041100.1	EWB00_001283.3, EWB00_001283.4, EWB00_001283.1, EWB00_001283.2
OG0001248	Smp_335650.1, Smp_067520.2, Smp_067520.1	EWB00_006329.3, EWB00_006329.1, EWB00_006329.2
OG0001249	Smp_342710.1	EWB00_004277
OG0001250	Smp_142980.1	EWB00_004653
OG0001251	Smp_247620.1	EWB00_001412.1, EWB00_001412.2
OG0001252	Smp_045260.1	EWB00_009341.3, EWB00_009341.2, EWB00_009341.1
OG0001253	Smp_140770.1	EWB00_000765.3, EWB00_000765.1, EWB00_000765.2
