Orthogroup	schistosoma_mansoni	fasciola_gigantica
OG0001374	Smp_132260.1	FGIG_01999
OG0001375	Smp_155840.1	FGIG_02028
OG0001376	Smp_089400.1	FGIG_02276
OG0001377	Smp_129500.1	FGIG_02347
OG0001378	Smp_028440.1	FGIG_02822, FGIG_02481
OG0001379	Smp_169430.1	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106
OG0001380	Smp_083480.1, Smp_083480.2	FGIG_02638
OG0001381	Smp_050830.1, Smp_050830.2	FGIG_02642, FGIG_12629
OG0001382	Smp_346350.1	FGIG_02925
OG0001383	Smp_139060.1	FGIG_03190
OG0001384	Smp_247890.1	FGIG_03272
OG0001385	Smp_244700.2, Smp_244700.5, Smp_244700.1, Smp_244700.3, Smp_244700.4	FGIG_03311, FGIG_03310
OG0001386	Smp_345600.1	FGIG_03534
OG0001387	Smp_123165.1	FGIG_03668
OG0001388	Smp_147390.1	FGIG_07823, FGIG_03697
OG0001389	Smp_245480.1	FGIG_03992
OG0001390	Smp_147890.1, Smp_147890.2	FGIG_04023
OG0001391	Smp_180810.1	FGIG_04025, FGIG_06537
OG0001392	Smp_025550.1, Smp_025550.3, Smp_025550.2	FGIG_04113
OG0001393	Smp_142700.1, Smp_037960.1	FGIG_04241
OG0001394	Smp_345220.1, Smp_350000.1	FGIG_04248
OG0001395	Smp_087940.1	FGIG_04272
OG0001395	Smp_073790.1	FGIG_12176
OG0001396	Smp_335960.1, Smp_146010.1	FGIG_04364
OG0001397	Smp_070710.1	FGIG_04602
OG0001398	Smp_155400.1	FGIG_04627
OG0001399	Smp_046780.1, Smp_009310.1	FGIG_04632, FGIG_05593
OG0001400	Smp_128070.1	FGIG_04740
OG0001401	Smp_245710.1	FGIG_05531, FGIG_04791
OG0001402	Smp_079400.1	FGIG_04917
OG0001403	Smp_137660.1	FGIG_05254, FGIG_05255
OG0001404	Smp_333330.1	FGIG_05319
OG0001405	Smp_066820.1	FGIG_05965
OG0001406	Smp_019900.1	FGIG_06203
OG0001408	Smp_152290.2, Smp_152290.1, Smp_152280.1	FGIG_06264, FGIG_07363
OG0001409	Smp_315850.1	FGIG_06287, FGIG_09995
OG0001410	Smp_319370.1, Smp_032230.1	FGIG_06538
OG0001411	Smp_141150.1	FGIG_06544
OG0001412	Smp_246000.1	FGIG_06774
OG0001413	Smp_152940.1, Smp_152940.2	FGIG_06924
OG0001414	Smp_347700.2, Smp_347700.1	FGIG_07348
OG0001415	Smp_073290.1	FGIG_07500
OG0001416	Smp_136580.1	FGIG_07696
OG0001417	Smp_157770.1	FGIG_07741, FGIG_12559
OG0001418	Smp_171720.1, Smp_171720.2	FGIG_07825
OG0001420	Smp_082560.1	FGIG_07881
OG0001421	Smp_319130.1	FGIG_07907
OG0001422	Smp_042670.1	FGIG_08355
OG0001423	Smp_343580.1	FGIG_08436
OG0001424	Smp_347330.1	FGIG_09248, FGIG_12263, FGIG_08684
OG0001425	Smp_003250.2, Smp_003250.1	FGIG_08864
OG0001426	Smp_006190.1	FGIG_09477
OG0001427	Smp_337460.1	FGIG_09959, FGIG_09960, FGIG_09551
OG0001428	Smp_304030.1, Smp_304040.1	FGIG_09685
OG0001429	Smp_181120.1	FGIG_09736
OG0001430	Smp_121580.1	FGIG_09780, FGIG_09781
OG0001431	Smp_123490.1	FGIG_09903
OG0001432	Smp_166080.1	FGIG_10624, FGIG_10046
OG0001433	Smp_051230.1, Smp_051230.2	FGIG_10236
OG0001434	Smp_166680.1	FGIG_10315
OG0001435	Smp_062420.1	FGIG_10602
OG0001436	Smp_042300.1	FGIG_10675
OG0001437	Smp_129700.1, Smp_328430.1	FGIG_11037
OG0001438	Smp_088250.1	FGIG_12188, FGIG_11078
OG0001439	Smp_053550.1, Smp_053550.2	FGIG_11413
OG0001440	Smp_301990.1, Smp_301990.2	FGIG_11566, FGIG_11647
OG0001441	Smp_025010.1	FGIG_11575
OG0001442	Smp_333550.1	FGIG_12309
OG0001443	Smp_076150.1	FGIG_12392
OG0001453	Smp_245870.1	FGIG_00007
OG0001454	Smp_058140.2, Smp_058140.1, Smp_058140.3	FGIG_00100
OG0001455	Smp_097560.1	FGIG_00375
OG0001456	Smp_342870.1	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394
OG0001457	Smp_166580.1	FGIG_00527
OG0001458	Smp_081200.1	FGIG_00598
OG0001459	Smp_327210.1, Smp_313440.1, Smp_327200.1, Smp_317020.1	FGIG_00625
OG0001460	Smp_132700.2, Smp_132700.1	FGIG_00746
OG0001461	Smp_035390.1	FGIG_00812
OG0001462	Smp_345300.1	FGIG_00838
OG0001463	Smp_345620.1	FGIG_00845, FGIG_00847, FGIG_00842
OG0001464	Smp_212080.1	FGIG_01002, FGIG_01001
OG0001465	Smp_145420.1	FGIG_01084, FGIG_01085, FGIG_01083
OG0001466	Smp_022110.1	FGIG_01468
OG0001467	Smp_326160.1, Smp_167880.2, Smp_167880.1	FGIG_01527
OG0001468	Smp_241470.1	FGIG_01678
OG0001469	Smp_150560.1	FGIG_02035
OG0001470	Smp_132550.1	FGIG_02478
OG0001471	Smp_029070.1	FGIG_02485
OG0001472	Smp_144370.1	FGIG_02729
OG0001473	Smp_008830.1	FGIG_02731
OG0001474	Smp_247270.1	FGIG_03047
OG0001475	Smp_311650.1	FGIG_03100
OG0001476	Smp_174230.1	FGIG_03317, FGIG_03318, FGIG_03319
OG0001477	Smp_105200.1	FGIG_05669, FGIG_03473
OG0001478	Smp_345630.1, Smp_345630.2	FGIG_03510
OG0001479	Smp_305050.1, Smp_305060.1	FGIG_03824, FGIG_03823
OG0001480	Smp_172810.1	FGIG_03902, FGIG_09394
OG0001481	Smp_310510.1, Smp_310510.2, Smp_310520.1	FGIG_03954
OG0001482	Smp_164010.1	FGIG_03987, FGIG_03989
OG0001483	Smp_341560.1	FGIG_04016, FGIG_04017
OG0001484	Smp_099160.1	FGIG_04029
OG0001485	Smp_172420.1	FGIG_04100
OG0001486	Smp_148460.1	FGIG_04199
OG0001487	Smp_129550.1, Smp_129580.1	FGIG_04338
OG0001488	Smp_132750.1	FGIG_10101
OG0001488	Smp_005790.1	FGIG_04424, FGIG_09377
OG0001489	Smp_003340.1	FGIG_04514
OG0001490	Smp_246460.1	FGIG_04737
OG0001491	Smp_320940.3, Smp_320940.1, Smp_320940.2, Smp_158740.1	FGIG_04881
OG0001492	Smp_161220.1	FGIG_05028
OG0001493	Smp_210300.1	FGIG_05082
OG0001494	Smp_181040.1	FGIG_05163
OG0001495	Smp_019680.1	FGIG_05214
OG0001496	Smp_334250.1	FGIG_05312
OG0001497	Smp_098760.1	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298
OG0001498	Smp_320530.1	FGIG_05326
OG0001499	Smp_199800.1	FGIG_05475
OG0001500	Smp_138330.1	FGIG_05484
OG0001501	Smp_130260.1	FGIG_05719
OG0001502	Smp_244820.1, Smp_244820.2	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911
OG0001503	Smp_154880.1	FGIG_05914, FGIG_05913, FGIG_12549
OG0001504	Smp_092810.1	FGIG_06003
OG0001505	Smp_127770.1	FGIG_06009, FGIG_06008, FGIG_11726
OG0001506	Smp_132090.1	FGIG_11884, FGIG_06191
OG0001507	Smp_130020.1	FGIG_06422
OG0001508	Smp_054800.1	FGIG_06515
OG0001509	Smp_153930.1, Smp_247860.1	FGIG_08725, FGIG_06689, FGIG_11470
OG0001510	Smp_065580.1	FGIG_09309
OG0001511	Smp_006590.1	FGIG_07488
OG0001512	Smp_092320.1	FGIG_07543, FGIG_08646
OG0001513	Smp_241410.1	FGIG_07584
OG0001514	Smp_340970.1	FGIG_11472, FGIG_07598
OG0001515	Smp_347370.1, Smp_021370.1	FGIG_07783
OG0001516	Smp_244160.1	FGIG_08344
OG0001516	Smp_143780.1	FGIG_08392
OG0001517	Smp_097790.1, Smp_097790.2	FGIG_08150
OG0001518	Smp_153870.1, Smp_153870.2	FGIG_08552, FGIG_08418
OG0001519	Smp_150850.1	FGIG_08498
OG0001520	Smp_012030.1	FGIG_08941
OG0001521	Smp_245950.1	FGIG_09187
OG0001522	Smp_345770.1	FGIG_09207
OG0001523	Smp_171270.1	FGIG_09296
OG0001524	Smp_247650.1	FGIG_09430
OG0001525	Smp_136160.1	FGIG_10654, FGIG_09632
OG0001526	Smp_344110.1	FGIG_09633
OG0001527	Smp_156160.1	FGIG_09634
OG0001528	Smp_152060.1	FGIG_09818, FGIG_10180
OG0001529	Smp_104520.1	FGIG_09837
OG0001530	Smp_133590.1, Smp_133590.2, Smp_133590.3	FGIG_09879
OG0001531	Smp_323830.2, Smp_323830.1	FGIG_10103
OG0001532	Smp_164820.1, Smp_322070.1	FGIG_10146, FGIG_10147
OG0001533	Smp_047720.1	FGIG_10179
OG0001534	Smp_156630.1	FGIG_10287
OG0001535	Smp_123320.1	FGIG_10930, FGIG_10298
OG0001536	Smp_149530.1	FGIG_10698
OG0001537	Smp_133900.1, Smp_133890.1	FGIG_11105
OG0001538	Smp_078240.1	FGIG_11361
OG0001539	Smp_156990.1	FGIG_11593
OG0001540	Smp_088460.1	FGIG_11704
OG0001541	Smp_039160.1	FGIG_11817
OG0001542	Smp_179010.1	FGIG_11924
OG0001543	Smp_321255.1	FGIG_11936
OG0001544	Smp_135990.1	FGIG_12130, FGIG_12131
OG0001554	Smp_129020.1	FGIG_07971, FGIG_07969
OG0001555	Smp_138810.1, Smp_153890.1	FGIG_00531, FGIG_00530, FGIG_00127
OG0001556	Smp_140440.1	FGIG_00492
OG0001557	Smp_161380.1	FGIG_00563
OG0001558	Smp_053900.1	FGIG_00593
OG0001560	Smp_013080.1	FGIG_00841
OG0001561	Smp_310170.1	FGIG_00934, FGIG_03387
OG0001562	Smp_342970.1	FGIG_01022
OG0001563	Smp_005390.1	FGIG_01149
OG0001564	Smp_310760.1, Smp_310750.1	FGIG_12337, FGIG_01165, FGIG_01166
OG0001565	Smp_026930.1	FGIG_01252
OG0001566	Smp_210660.1	FGIG_01332, FGIG_01331
OG0001567	Smp_169670.1	FGIG_01351, FGIG_02042
OG0001568	Smp_090140.1	FGIG_01381, FGIG_10926
OG0001569	Smp_136510.1, Smp_136510.2	FGIG_01430
OG0001570	Smp_312440.1, Smp_312460.1	FGIG_01497
OG0001571	Smp_015630.1	FGIG_08212
OG0001571	Smp_096480.1	FGIG_01541
OG0001572	Smp_127490.1	FGIG_01643
OG0001573	Smp_333140.1	FGIG_01771
OG0001574	Smp_005160.1, Smp_005160.2	FGIG_01776
OG0001575	Smp_158310.1, Smp_158310.3, Smp_158310.2	FGIG_01819
OG0001576	Smp_138880.1	FGIG_01874, FGIG_01873
OG0001577	Smp_133120.1	FGIG_02105
OG0001578	Smp_246050.4, Smp_246050.2, Smp_246050.5, Smp_246050.1, Smp_246050.3	FGIG_02177
OG0001579	Smp_267110.1	FGIG_02212
OG0001580	Smp_166370.1	FGIG_02237
OG0001581	Smp_151490.1, Smp_151490.2	FGIG_02435
OG0001582	Smp_021920.1	FGIG_02459
OG0001583	Smp_170570.1	FGIG_02462
OG0001584	Smp_139470.1	FGIG_02509, FGIG_02508
OG0001585	Smp_049580.1	FGIG_02700
OG0001586	Smp_015390.1	FGIG_02757
OG0001587	Smp_161080.1, Smp_161080.2	FGIG_02789, FGIG_08846
OG0001588	Smp_085080.1	FGIG_03013
OG0001589	Smp_150420.1	FGIG_03031
OG0001590	Smp_142210.1	FGIG_03074
OG0001591	Smp_332360.1	FGIG_03110
OG0001592	Smp_210520.1, Smp_210520.2	FGIG_03254
OG0001593	Smp_162600.1	FGIG_03389
OG0001594	Smp_127600.1	FGIG_03404
OG0001595	Smp_300810.1	FGIG_03681
OG0001596	Smp_038080.1	FGIG_03686
OG0001597	Smp_027430.1	FGIG_03710
OG0001598	Smp_001410.1	FGIG_03711
OG0001599	Smp_087010.1	FGIG_03826
OG0001600	Smp_093220.1	FGIG_03860
OG0001601	Smp_246360.1	FGIG_04047
OG0001602	Smp_153640.1	FGIG_04252
OG0001603	Smp_048830.1	FGIG_04384
OG0001604	Smp_332680.1	FGIG_04790
OG0001605	Smp_241450.1	FGIG_04843, FGIG_04842
OG0001606	Smp_241980.1	FGIG_09218, FGIG_09219, FGIG_05027
OG0001607	Smp_150680.1	FGIG_05053, FGIG_08672
OG0001608	Smp_082670.1	FGIG_05065
OG0001609	Smp_213490.1	FGIG_05088
OG0001610	Smp_342160.1	FGIG_07389
OG0001610	Smp_008260.1	FGIG_08349, FGIG_05093
OG0001611	Smp_137950.1, Smp_137950.2	FGIG_05457
OG0001612	Smp_021540.1	FGIG_05464
OG0001613	Smp_008710.1	FGIG_05500
OG0001614	Smp_148650.1	FGIG_05538, FGIG_05540
OG0001615	Smp_049500.1	FGIG_05541
OG0001616	Smp_212900.1	FGIG_05680
OG0001617	Smp_047540.2, Smp_047540.1	FGIG_05780
OG0001618	Smp_170350.1	FGIG_05781, FGIG_05782
OG0001619	Smp_147560.1	FGIG_05824
OG0001620	Smp_136180.1	FGIG_06091
OG0001621	Smp_015690.1	FGIG_06135
OG0001622	Smp_143970.1	FGIG_06211, FGIG_06210
OG0001623	Smp_127280.1	FGIG_06565
OG0001624	Smp_161370.1	FGIG_07374, FGIG_06649
OG0001625	Smp_308490.1, Smp_308480.1, Smp_308480.2, Smp_308470.1, Smp_308470.2	FGIG_11741, FGIG_06687
OG0001626	Smp_033710.1	FGIG_06845
OG0001627	Smp_149950.1	FGIG_06856
OG0001628	Smp_038030.1	FGIG_06970
OG0001629	Smp_188430.1	FGIG_07009
OG0001631	Smp_024900.1	FGIG_07316
OG0001632	Smp_122370.1	FGIG_07391
OG0001633	Smp_210370.1	FGIG_07448
OG0001634	Smp_172220.1	FGIG_07519
OG0001635	Smp_138610.1	FGIG_07538, FGIG_07539
OG0001636	Smp_145180.1	FGIG_07566
OG0001637	Smp_105680.1	FGIG_07660
OG0001638	Smp_096210.1	FGIG_07831
OG0001639	Smp_323820.1, Smp_323800.1, Smp_060210.1, Smp_060220.1	FGIG_08142
OG0001640	Smp_155030.1	FGIG_08389
OG0001641	Smp_087520.2, Smp_087520.1	FGIG_08605
OG0001643	Smp_121800.1, Smp_121800.2	FGIG_08854
OG0001644	Smp_157320.1	FGIG_09142
OG0001645	Smp_196880.1, Smp_196880.2	FGIG_09151, FGIG_10352
OG0001646	Smp_096520.1	FGIG_09195
OG0001647	Smp_157540.1	FGIG_09206
OG0001648	Smp_150300.2, Smp_150300.1, Smp_150300.3	FGIG_09300
OG0001649	Smp_163310.1	FGIG_09378
OG0001650	Smp_104870.1	FGIG_10424, FGIG_12069
OG0001651	Smp_343560.1	FGIG_10542
OG0001652	Smp_103530.1	FGIG_10655
OG0001653	Smp_170060.1	FGIG_10856
OG0001654	Smp_036720.1, Smp_141940.1	FGIG_11347
OG0001655	Smp_167630.1, Smp_167630.2	FGIG_11826
OG0001656	Smp_158140.1	FGIG_12138
OG0001657	Smp_093540.1	FGIG_12273
OG0001668	Smp_035260.1	FGIG_00343, FGIG_00341, FGIG_00342
OG0001669	Smp_034090.1	FGIG_00345
OG0001670	Smp_045200.1	FGIG_00362, FGIG_09303, FGIG_09302
OG0001671	Smp_165980.1	FGIG_00386
OG0001672	Smp_085150.1	FGIG_00594
OG0001673	Smp_007550.1	FGIG_00782
OG0001675	Smp_030330.1	FGIG_01158
OG0001676	Smp_103100.1	FGIG_01424
OG0001677	Smp_169930.2, Smp_169930.1	FGIG_01587
OG0001678	Smp_210200.1	FGIG_01613
OG0001679	Smp_143760.1	FGIG_01636
OG0001680	Smp_035190.1	FGIG_01674, FGIG_09657, FGIG_01673
OG0001681	Smp_170170.1	FGIG_10397, FGIG_01757
OG0001682	Smp_347960.1	FGIG_01772
OG0001683	Smp_337440.1	FGIG_09870, FGIG_01860, FGIG_09138, FGIG_09869
OG0001684	Smp_346160.1, Smp_328240.1	FGIG_06953, FGIG_02137
OG0001685	Smp_244390.1, Smp_135250.1	FGIG_02286
OG0001686	Smp_173240.1	FGIG_02332
OG0001687	Smp_311790.1, Smp_311780.1	FGIG_02344
OG0001688	Smp_026540.1	FGIG_02355, FGIG_02354
OG0001689	Smp_345190.1, Smp_131580.1	FGIG_02361
OG0001690	Smp_246690.1	FGIG_02412
OG0001691	Smp_157100.1	FGIG_02430
OG0001692	Smp_126460.1	FGIG_02603
OG0001693	Smp_153300.1	FGIG_02612
OG0001694	Smp_153350.1	FGIG_02613
OG0001695	Smp_006630.1	FGIG_02650
OG0001696	Smp_149640.1	FGIG_02668
OG0001697	Smp_057430.1	FGIG_02799
OG0001698	Smp_041750.1	FGIG_02827
OG0001699	Smp_346310.1	FGIG_08442, FGIG_12071, FGIG_02860
OG0001700	Smp_306140.3, Smp_306140.1, Smp_306140.2	FGIG_02948
OG0001701	Smp_013210.1, Smp_129310.1	FGIG_02954
OG0001702	Smp_131800.1	FGIG_03036
OG0001703	Smp_027970.1	FGIG_03206
OG0001704	Smp_135280.1	FGIG_03262
OG0001705	Smp_124340.1	FGIG_03312
OG0001706	Smp_140590.1	FGIG_03334
OG0001707	Smp_309430.1	FGIG_03346, FGIG_11546
OG0001708	Smp_332300.1	FGIG_07923, FGIG_03395
OG0001709	Smp_101820.1	FGIG_03643
OG0001710	Smp_336280.1	FGIG_03672
OG0001711	Smp_127810.2, Smp_127810.1	FGIG_03723, FGIG_09584, FGIG_05732, FGIG_12458
OG0001712	Smp_181160.1	FGIG_04007
OG0001713	Smp_098920.1	FGIG_04033
OG0001714	Smp_316660.1, Smp_316660.2	FGIG_04034
OG0001715	Smp_130980.1	FGIG_04340
OG0001716	Smp_142090.1	FGIG_04933, FGIG_04367
OG0001717	Smp_020370.1	FGIG_04529
OG0001718	Smp_350020.1, Smp_341720.1	FGIG_04552
OG0001719	Smp_125050.1	FGIG_04710, FGIG_04709
OG0001720	Smp_066760.1	FGIG_04866, FGIG_06080
OG0001721	Smp_032800.1, Smp_032820.1	FGIG_04876
OG0001722	Smp_143070.1, Smp_143070.2	FGIG_04965, FGIG_10318
OG0001723	Smp_165470.1	FGIG_05019
OG0001724	Smp_334100.1	FGIG_05138, FGIG_11352
OG0001725	Smp_026030.1	FGIG_05235
OG0001726	Smp_097490.1	FGIG_08225, FGIG_11396
OG0001726	Smp_212780.1	FGIG_05249
OG0001727	Smp_315490.1, Smp_315480.1	FGIG_05253
OG0001728	Smp_313810.1, Smp_341280.1	FGIG_05390
OG0001729	Smp_244630.2, Smp_244630.1	FGIG_05422
OG0001730	Smp_333240.1	FGIG_05448
OG0001731	Smp_012720.1	FGIG_05472
OG0001732	Smp_310620.1	FGIG_05692
OG0001733	Smp_150470.1	FGIG_05918
OG0001734	Smp_164130.1	FGIG_05951, FGIG_07347
OG0001735	Smp_176010.1	FGIG_06068
OG0001736	Smp_267140.2, Smp_267140.1	FGIG_06248, FGIG_09628
OG0001737	Smp_009400.1	FGIG_06314
OG0001738	Smp_159160.1	FGIG_06451, FGIG_06452
OG0001739	Smp_072370.1	FGIG_06589
OG0001740	Smp_140760.1	FGIG_06601
OG0001741	Smp_348840.1, Smp_348840.2, Smp_007630.1, Smp_007630.2	FGIG_06645
OG0001742	Smp_211100.1	FGIG_06724
OG0001743	Smp_156750.1	FGIG_06750
OG0001744	Smp_099930.1	FGIG_06776
OG0001745	Smp_133270.1	FGIG_10942, FGIG_06817
OG0001746	Smp_058050.1, Smp_058050.2	FGIG_07007, FGIG_11346
OG0001747	Smp_245100.1	FGIG_10446, FGIG_07087
OG0001748	Smp_029370.1	FGIG_07196
OG0001749	Smp_181050.1	FGIG_07207
OG0001750	Smp_139090.1	FGIG_07290, FGIG_11354
OG0001751	Smp_103160.1	FGIG_07350
OG0001752	Smp_101970.1	FGIG_07833, FGIG_07832, FGIG_07400
OG0001753	Smp_155480.1	FGIG_07740
OG0001754	Smp_194730.1	FGIG_07797, FGIG_07796
OG0001755	Smp_085240.1	FGIG_07829
OG0001756	Smp_129630.1	FGIG_08210
OG0001757	Smp_171140.1, Smp_171140.2	FGIG_08253
OG0001758	Smp_143920.3, Smp_143920.1, Smp_143920.2	FGIG_12341, FGIG_08329
OG0001759	Smp_083990.1	FGIG_12373, FGIG_08557, FGIG_11928
OG0001760	Smp_000300.1	FGIG_08695, FGIG_08696, FGIG_08694
OG0001761	Smp_329130.1, Smp_171490.1	FGIG_12460, FGIG_09474, FGIG_09475, FGIG_08736
OG0001762	Smp_346390.1	FGIG_08880, FGIG_11962
OG0001763	Smp_120920.1	FGIG_08936
OG0001764	Smp_151310.1	FGIG_09029, FGIG_09028
OG0001765	Smp_019040.1	FGIG_09205
OG0001766	Smp_176410.2, Smp_176410.1	FGIG_09234
OG0001767	Smp_031050.1	FGIG_12380, FGIG_09314
OG0001768	Smp_331170.2, Smp_331170.1	FGIG_09327
OG0001769	Smp_125930.1	FGIG_09331
OG0001770	Smp_136110.1	FGIG_09332
OG0001771	Smp_049000.1	FGIG_09366
OG0001772	Smp_172530.1	FGIG_09813
OG0001773	Smp_084380.1	FGIG_09836
OG0001774	Smp_139980.1	FGIG_09938
OG0001775	Smp_130410.1	FGIG_10075
OG0001776	Smp_166660.1, Smp_166660.2	FGIG_10105
OG0001777	Smp_104720.1	FGIG_10186
OG0001778	Smp_154270.1, Smp_154270.2	FGIG_10398
OG0001779	Smp_347280.1	FGIG_10521
OG0001780	Smp_035310.1	FGIG_10677
OG0001781	Smp_213810.1	FGIG_10803, FGIG_11244
OG0001782	Smp_030000.1	FGIG_10806
OG0001783	Smp_012860.1	FGIG_10960
OG0001784	Smp_122030.1	FGIG_11263
OG0001785	Smp_346470.1	FGIG_11277
OG0001786	Smp_156270.1	FGIG_11466
OG0001787	Smp_099310.1, Smp_099310.2	FGIG_11743
OG0001788	Smp_113630.1	FGIG_11918
OG0001789	Smp_176080.1	FGIG_12472
OG0001790	Smp_059810.1	FGIG_12557
OG0001800	Smp_340370.1	FGIG_00037
OG0001801	Smp_340310.1	FGIG_00130
OG0001802	Smp_341860.1	FGIG_00149
OG0001803	Smp_060660.1, Smp_154730.1	FGIG_00286
OG0001804	Smp_056930.1	FGIG_00398
OG0001805	Smp_143260.1, Smp_143260.2	FGIG_00507, FGIG_00508
OG0001806	Smp_315780.1, Smp_315780.2	FGIG_00525
OG0001807	Smp_018160.1	FGIG_00587
OG0001808	Smp_306810.1	FGIG_00700
OG0001809	Smp_126020.1	FGIG_00729
OG0001810	Smp_340650.1, Smp_340650.2	FGIG_00762
OG0001811	Smp_092500.1	FGIG_05656
OG0001811	Smp_322730.1	FGIG_00833
OG0001812	Smp_244230.1	FGIG_00836
OG0001813	Smp_333090.1	FGIG_00936
OG0001814	Smp_024660.1	FGIG_00962
OG0001815	Smp_124660.1	FGIG_01073, FGIG_01074
OG0001816	Smp_131030.1	FGIG_01170
OG0001817	Smp_054600.1	FGIG_01315
OG0001818	Smp_046810.1	FGIG_01476
OG0001819	Smp_039670.1, Smp_039670.2	FGIG_01638
OG0001820	Smp_018360.1	FGIG_01817, FGIG_01816
OG0001821	Smp_165490.1	FGIG_01822
OG0001821	Smp_030710.1	FGIG_03077
OG0001822	Smp_127940.1	FGIG_01856, FGIG_12355
OG0001823	Smp_163790.1	FGIG_02236, FGIG_05411
OG0001824	Smp_135240.1	FGIG_02287
OG0001825	Smp_247360.1	FGIG_02531
OG0001826	Smp_166550.1	FGIG_02634
OG0001827	Smp_213070.1, Smp_213060.1	FGIG_12499
OG0001828	Smp_049140.1, Smp_049140.2, Smp_049140.3	FGIG_02847
OG0001829	Smp_120700.1	FGIG_02872
OG0001829	Smp_086590.1	FGIG_03015
OG0001830	Smp_159910.1	FGIG_02879, FGIG_12693
OG0001831	Smp_197480.1	FGIG_02881
OG0001832	Smp_337380.1	FGIG_02973
OG0001833	Smp_243500.1, Smp_333450.1	FGIG_02974
OG0001834	Smp_156670.1	FGIG_02991
OG0001835	Smp_099030.1, Smp_099030.2	FGIG_11589, FGIG_03039
OG0001836	Smp_304090.1, Smp_304090.2, Smp_322130.1	FGIG_03199
OG0001837	Smp_136280.1, Smp_136280.3, Smp_136280.2	FGIG_03271
OG0001838	Smp_085830.1, Smp_085830.2	FGIG_03289
OG0001839	Smp_099630.1	FGIG_03331
OG0001840	Smp_142640.1, Smp_142640.3, Smp_142640.2	FGIG_03379
OG0001841	Smp_142770.1	FGIG_03429
OG0001842	Smp_144750.1	FGIG_03482, FGIG_12479
OG0001843	Smp_159150.1	FGIG_03549
OG0001844	Smp_180180.1, Smp_316540.1	FGIG_03580
OG0001845	Smp_134530.1	FGIG_03666
OG0001846	Smp_306640.1	FGIG_11334, FGIG_03780, FGIG_03781
OG0001847	Smp_134370.1	FGIG_03848
OG0001848	Smp_158730.1	FGIG_04380
OG0001849	Smp_214060.1	FGIG_04452
OG0001850	Smp_137040.1	FGIG_04633
OG0001851	Smp_049150.1	FGIG_04765
OG0001852	Smp_094870.1	FGIG_04961
OG0001853	Smp_171620.2, Smp_171620.1, Smp_028190.1	FGIG_05001
OG0001854	Smp_335950.1, Smp_332370.1, Smp_331960.1	FGIG_05079, FGIG_05080
OG0001855	Smp_179930.1	FGIG_05092
OG0001856	Smp_150890.1	FGIG_05147
OG0001857	Smp_174630.1	FGIG_05152
OG0001858	Smp_342620.1, Smp_342620.2	FGIG_05246
OG0001859	Smp_011980.1	FGIG_05352
OG0001860	Smp_165420.1	FGIG_12696, FGIG_05529, FGIG_08194
OG0001861	Smp_145310.1	FGIG_05537
OG0001862	Smp_304320.1	FGIG_05612
OG0001863	Smp_325900.1, Smp_324100.1, Smp_316850.1	FGIG_05675
OG0001864	Smp_042990.1	FGIG_05957, FGIG_05774, FGIG_05958
OG0001865	Smp_244970.1	FGIG_05792
OG0001866	Smp_247980.2, Smp_247980.1	FGIG_05934, FGIG_07819, FGIG_07820
OG0001867	Smp_147330.1	FGIG_06039
OG0001868	Smp_348670.1, Smp_006920.1	FGIG_06184
OG0001869	Smp_155050.1	FGIG_12654, FGIG_06195, FGIG_06196
OG0001870	Smp_164540.1	FGIG_06239
OG0001871	Smp_152130.1	FGIG_06490
OG0001872	Smp_150590.1, Smp_340880.1, Smp_340880.2	FGIG_06502, FGIG_08638
OG0001873	Smp_115290.1	FGIG_06583
OG0001874	Smp_158430.1	FGIG_06688, FGIG_07094
OG0001875	Smp_168730.1	FGIG_06832
OG0001876	Smp_333400.2, Smp_333400.1, Smp_333400.3	FGIG_06870
OG0001877	Smp_084140.1	FGIG_06876
OG0001878	Smp_343340.1	FGIG_07481, FGIG_07111
OG0001879	Smp_175950.1	FGIG_07185
OG0001880	Smp_076050.1	FGIG_07399
OG0001881	Smp_180520.1	FGIG_08617, FGIG_07427
OG0001882	Smp_344930.1, Smp_344930.2	FGIG_10254, FGIG_07480
OG0001883	Smp_028360.1	FGIG_07514
OG0001884	Smp_080700.1	FGIG_07616
OG0001885	Smp_157140.1	FGIG_07748
OG0001886	Smp_344270.1	FGIG_07805
OG0001887	Smp_105910.1	FGIG_07966
OG0001888	Smp_138500.1	FGIG_08128, FGIG_09905, FGIG_12317
OG0001889	Smp_344720.1	FGIG_08133
OG0001890	Smp_128210.2, Smp_128210.1	FGIG_08277
OG0001891	Smp_317620.1, Smp_131380.1, Smp_164040.1	FGIG_08290
OG0001892	Smp_055200.1, Smp_055200.2	FGIG_08312
OG0001893	Smp_303770.1, Smp_318850.1	FGIG_08493
OG0001894	Smp_154530.1	FGIG_08662
OG0001895	Smp_166290.1	FGIG_08712
OG0001896	Smp_012670.1	FGIG_08759
OG0001897	Smp_144920.1	FGIG_08889
OG0001898	Smp_311360.1, Smp_311360.2, Smp_311360.3	FGIG_09045
OG0001899	Smp_054610.1	FGIG_09165, FGIG_12532
OG0001900	Smp_211020.1, Smp_211020.2	FGIG_09208
