Orthogroup	schistosoma_mansoni	fasciola_hepatica
OG0001874	Smp_158430.1	FhHiC23_g10115.t1, FhHiC23_g10121.t1
OG0001875	Smp_168730.1	FhHiC23_g15834.t1, FhHiC23_g15834.t2
OG0001876	Smp_333400.2, Smp_333400.1, Smp_333400.3	FhHiC23_g15377.t1
OG0001877	Smp_084140.1	FhHiC23_g11175.t1, FhHiC23_g10759.t1, FhHiC23_g10759.t2, FhHiC23_g10759.t3
OG0001878	Smp_343340.1	FhHiC23_g3016.t1, FhHiC23_g3016.t2
OG0001879	Smp_175950.1	FhHiC23_g9269.t1, FhHiC23_g9269.t2
OG0001880	Smp_076050.1	FhHiC23_g11364.t1, FhHiC23_g11364.t2
OG0001881	Smp_180520.1	FhHiC23_g8316.t2, FhHiC23_g8316.t1
OG0001882	Smp_344930.1, Smp_344930.2	FhHiC23_g2292.t1, FhHiC23_g2292.t2
OG0001883	Smp_028360.1	FhHiC23_g13249.t1
OG0001884	Smp_080700.1	FhHiC23_g16349.t1
OG0001885	Smp_157140.1	FhHiC23_g11445.t2, FhHiC23_g11445.t1
OG0001886	Smp_344270.1	FhHiC23_g3216.t1, FhHiC23_g3216.t2, FhHiC23_g3216.t4, FhHiC23_g3216.t3
OG0001887	Smp_105910.1	FhHiC23_g7867.t1, FhHiC23_g7867.t2, FhHiC23_g6306.t1
OG0001888	Smp_138500.1	FhHiC23_g8407.t1
OG0001889	Smp_344720.1	FhHiC23_g4041.t1
OG0001890	Smp_128210.2, Smp_128210.1	FhHiC23_g1917.t1, FhHiC23_g1917.t2
OG0001891	Smp_317620.1, Smp_131380.1, Smp_164040.1	FhHiC23_g11651.t1
OG0001892	Smp_055200.1, Smp_055200.2	FhHiC23_g3111.t1
OG0001893	Smp_303770.1, Smp_318850.1	FhHiC23_g5922.t1
OG0001894	Smp_154530.1	FhHiC23_g3703.t1
OG0001895	Smp_166290.1	FhHiC23_g4928.t1, FhHiC23_g4928.t2
OG0001896	Smp_012670.1	FhHiC23_g6158.t1, FhHiC23_g6157.t1
OG0001897	Smp_144920.1	FhHiC23_g281.t2, FhHiC23_g281.t1
OG0001898	Smp_311360.1, Smp_311360.2, Smp_311360.3	FhHiC23_g7975.t1
OG0001899	Smp_054610.1	FhHiC23_g5660.t1
OG0001900	Smp_211020.1, Smp_211020.2	FhHiC23_g471.t1, FhHiC23_g471.t2
OG0001901	Smp_165960.1	FhHiC23_g5582.t1
OG0001902	Smp_332570.1	FhHiC23_g5658.t2, FhHiC23_g5658.t1, FhHiC23_g5658.t4, FhHiC23_g5658.t3
OG0001903	Smp_040080.1, Smp_040080.2	FhHiC23_g4117.t1
OG0001904	Smp_058170.1	FhHiC23_g15402.t1
OG0001905	Smp_343200.1	FhHiC23_g7776.t1, FhHiC23_g7776.t2, FhHiC23_g7776.t3
OG0001906	Smp_172780.1	FhHiC23_g6516.t1
OG0001907	Smp_343350.1	FhHiC23_g12171.t1, FhHiC23_g12171.t3, FhHiC23_g12171.t2
OG0001908	Smp_134720.1, Smp_309500.1, Smp_309510.1, Smp_350060.1, Smp_335880.1	FhHiC23_g6903.t1
OG0001909	Smp_213800.1	FhHiC23_g9250.t1
OG0001910	Smp_071150.1	FhHiC23_g5169.t2, FhHiC23_g5169.t1
OG0001911	Smp_060900.1	FhHiC23_g1053.t1, FhHiC23_g1053.t2
OG0001912	Smp_150280.1	FhHiC23_g948.t1
OG0001913	Smp_027450.1	FhHiC23_g2989.t2, FhHiC23_g2989.t1
OG0001914	Smp_018280.1	FhHiC23_g7090.t1
OG0001915	Smp_146720.1	FhHiC23_g4263.t1
OG0001916	Smp_162900.1, Smp_162900.2	FhHiC23_g15279.t2, FhHiC23_g15279.t1, FhHiC23_g15279.t3
OG0001917	Smp_145620.1	FhHiC23_g13657.t1
OG0001918	Smp_017230.1	FhHiC23_g2086.t1
OG0001919	Smp_000130.1	FhHiC23_g7730.t1
OG0001920	Smp_322710.1, Smp_322700.1, Smp_322700.2	FhHiC23_g10973.t1
OG0001921	Smp_048240.1	FhHiC23_g5705.t1
OG0001922	Smp_098980.1	FhHiC23_g6862.t2, FhHiC23_g6861.t1, FhHiC23_g6862.t1
OG0001923	Smp_332950.1	FhHiC23_g10687.t1
OG0001924	Smp_340680.1	FhHiC23_g1748.t1
OG0001925	Smp_340520.1, Smp_340520.2, Smp_327820.1, Smp_348910.1	FhHiC23_g15144.t1, FhHiC23_g15144.t2
OG0001926	Smp_056990.1	FhHiC23_g4632.t1
OG0001927	Smp_048540.1	FhHiC23_g12737.t1, FhHiC23_g12737.t2
OG0001928	Smp_169070.1	FhHiC23_g1934.t1, FhHiC23_g1934.t2, FhHiC23_g1934.t3
OG0001929	Smp_045560.1	FhHiC23_g2557.t1
OG0001930	Smp_081140.1	FhHiC23_g4656.t1, FhHiC23_g4655.t2, FhHiC23_g4655.t3, FhHiC23_g4655.t1
OG0001931	Smp_172790.1	FhHiC23_g6515.t1
OG0001941	Smp_141770.1	FhHiC23_g15993.t1
OG0001942	Smp_035620.1	FhHiC23_g9113.t1
OG0001943	Smp_324060.1, Smp_306730.1, Smp_306740.1, Smp_306750.1, Smp_324080.1	FhHiC23_g15301.t1, FhHiC23_g15300.t2, FhHiC23_g15300.t1
OG0001944	Smp_100120.1	FhHiC23_g7770.t1, FhHiC23_g7770.t2
OG0001945	Smp_343310.1	FhHiC23_g9779.t3, FhHiC23_g9779.t1, FhHiC23_g9779.t2, FhHiC23_g9779.t4
OG0001946	Smp_246260.1	FhHiC23_g4674.t1
OG0001947	Smp_103950.1	FhHiC23_g13900.t1, FhHiC23_g13899.t1
OG0001948	Smp_147140.1	FhHiC23_g16498.t1
OG0001950	Smp_039180.1	FhHiC23_g4286.t1
OG0001951	Smp_207000.1	FhHiC23_g12300.t2, FhHiC23_g12300.t1
OG0001952	Smp_122780.1	FhHiC23_g1163.t1
OG0001953	Smp_337580.1	FhHiC23_g5687.t1
OG0001954	Smp_024140.1	FhHiC23_g15182.t1, FhHiC23_g15182.t2
OG0001955	Smp_246880.1	FhHiC23_g12312.t1
OG0001956	Smp_153810.1	FhHiC23_g3434.t1, FhHiC23_g3440.t1, FhHiC23_g3445.t1, FhHiC23_g3437.t1, FhHiC23_g3386.t1, FhHiC23_g3431.t1
OG0001957	Smp_179380.1	FhHiC23_g15060.t1
OG0001958	Smp_010110.1	FhHiC23_g6748.t1
OG0001959	Smp_071550.1	FhHiC23_g6463.t1
OG0001960	Smp_020040.1	FhHiC23_g6308.t1, FhHiC23_g6308.t3, FhHiC23_g6308.t2, FhHiC23_g6308.t4
OG0001961	Smp_337010.1	FhHiC23_g8220.t1
OG0001962	Smp_149500.1, Smp_149500.2	FhHiC23_g15780.t1
OG0001963	Smp_079410.1	FhHiC23_g6087.t1
OG0001964	Smp_331440.1, Smp_331480.1, Smp_331460.1	FhHiC23_g16172.t1
OG0001965	Smp_039130.1	FhHiC23_g4213.t1
OG0001966	Smp_171870.1	FhHiC23_g12065.t2, FhHiC23_g12065.t3, FhHiC23_g12065.t1
OG0001967	Smp_345970.1, Smp_345970.2	FhHiC23_g9377.t1
OG0001968	Smp_246470.1	FhHiC23_g5825.t1
OG0001969	Smp_140800.1	FhHiC23_g5843.t1
OG0001970	Smp_083710.1	FhHiC23_g5749.t2, FhHiC23_g5749.t1, FhHiC23_g5749.t3
OG0001971	Smp_137930.1	FhHiC23_g7113.t1
OG0001972	Smp_138310.1, Smp_138310.2	FhHiC23_g7358.t2, FhHiC23_g7358.t1
OG0001973	Smp_205760.1	FhHiC23_g3868.t1
OG0001974	Smp_247400.1	FhHiC23_g2124.t1
OG0001975	Smp_124390.1	FhHiC23_g978.t1
OG0001976	Smp_031100.1, Smp_303540.1	FhHiC23_g12611.t1
OG0001977	Smp_128000.1	FhHiC23_g15843.t1
OG0001978	Smp_247420.1, Smp_247420.2	FhHiC23_g2582.t2, FhHiC23_g2582.t1
OG0001979	Smp_156410.1	FhHiC23_g140.t2, FhHiC23_g139.t1, FhHiC23_g140.t1
OG0001980	Smp_129430.1	FhHiC23_g7011.t1, FhHiC23_g7011.t2
OG0001981	Smp_320120.1, Smp_180200.1	FhHiC23_g14801.t1
OG0001982	Smp_094890.1, Smp_094890.2	FhHiC23_g5830.t3, FhHiC23_g5830.t1, FhHiC23_g5830.t2
OG0001983	Smp_343630.1	FhHiC23_g3854.t1
OG0001984	Smp_169980.1	FhHiC23_g16298.t1, FhHiC23_g16298.t2, FhHiC23_g16298.t3
OG0001985	Smp_151420.1	FhHiC23_g6071.t2, FhHiC23_g6071.t1
OG0001986	Smp_173880.1	FhHiC23_g1384.t1
OG0001987	Smp_165030.1	FhHiC23_g5790.t1
OG0001988	Smp_167500.1	FhHiC23_g8588.t1
OG0001989	Smp_174090.1	FhHiC23_g12525.t1
OG0001990	Smp_156720.1, Smp_156720.2	FhHiC23_g1929.t1
OG0001991	Smp_345070.1, Smp_345070.2	FhHiC23_g15023.t1
OG0001992	Smp_128110.1	FhHiC23_g1146.t2, FhHiC23_g1144.t1, FhHiC23_g1146.t1, FhHiC23_g1144.t2, FhHiC23_g1153.t1, FhHiC23_g1149.t1, FhHiC23_g1156.t1, FhHiC23_g1148.t1, FhHiC23_g1150.t1, FhHiC23_g1152.t1, FhHiC23_g1151.t1, FhHiC23_g1157.t1
OG0001993	Smp_042810.1	FhHiC23_g2799.t1
OG0001994	Smp_245470.1	FhHiC23_g15238.t1, FhHiC23_g15238.t2
OG0001995	Smp_140030.1	FhHiC23_g9037.t1
OG0001996	Smp_069880.1	FhHiC23_g3782.t1
OG0001996	Smp_069870.1	FhHiC23_g3781.t1
OG0001997	Smp_337290.1	FhHiC23_g13167.t1
OG0001998	Smp_016600.1	FhHiC23_g16082.t1, FhHiC23_g16082.t2
OG0001999	Smp_245680.1	FhHiC23_g103.t1
OG0002000	Smp_347640.1	FhHiC23_g12351.t3, FhHiC23_g12351.t2, FhHiC23_g12351.t4, FhHiC23_g12351.t1
OG0002001	Smp_305490.1	FhHiC23_g11927.t2, FhHiC23_g11927.t1
OG0002002	Smp_301670.1	FhHiC23_g14482.t1
OG0002003	Smp_176290.1	FhHiC23_g349.t1
OG0002004	Smp_007660.1, Smp_007660.2	FhHiC23_g2057.t1, FhHiC23_g2056.t1, FhHiC23_g13233.t1
OG0002005	Smp_104600.1	FhHiC23_g1005.t1, FhHiC23_g1005.t2
OG0002006	Smp_042630.1	FhHiC23_g3038.t1
OG0002007	Smp_001095.1, Smp_001090.1	FhHiC23_g8202.t1, FhHiC23_g8201.t1
OG0002008	Smp_246610.1	FhHiC23_g7314.t1
OG0002009	Smp_136210.1	FhHiC23_g5015.t1, FhHiC23_g5015.t2
OG0002010	Smp_045230.1	FhHiC23_g809.t3, FhHiC23_g809.t1, FhHiC23_g809.t2
OG0002011	Smp_150840.1	FhHiC23_g2466.t1
OG0002012	Smp_021460.1, Smp_133770.1	FhHiC23_g13035.t2, FhHiC23_g13035.t1
OG0002013	Smp_305560.1	FhHiC23_g142.t1
OG0002014	Smp_156350.1	FhHiC23_g2929.t1, FhHiC23_g2928.t1, FhHiC23_g14829.t1, FhHiC23_g7267.t1
OG0002015	Smp_002280.1	FhHiC23_g16291.t1, FhHiC23_g3888.t1
OG0002016	Smp_308440.1	FhHiC23_g6797.t1, FhHiC23_g6797.t2
OG0002017	Smp_123440.1	FhHiC23_g7278.t1
OG0002018	Smp_172090.1	FhHiC23_g1594.t1, FhHiC23_g1594.t2, FhHiC23_g1595.t2, FhHiC23_g1595.t1
OG0002019	Smp_052140.1	FhHiC23_g1538.t1, FhHiC23_g1538.t2
OG0002020	Smp_164590.1	FhHiC23_g7238.t1
OG0002021	Smp_312730.1	FhHiC23_g1667.t1
OG0002022	Smp_168500.1	FhHiC23_g859.t1
OG0002023	Smp_000190.1	FhHiC23_g15674.t1, FhHiC23_g15682.t2, FhHiC23_g15682.t1
OG0002024	Smp_152230.1	FhHiC23_g10216.t1
OG0002025	Smp_105960.1	FhHiC23_g7175.t1
OG0002026	Smp_134300.1	FhHiC23_g12798.t1
OG0002027	Smp_315010.2	FhHiC23_g4265.t1, FhHiC23_g4265.t2, FhHiC23_g4265.t3
OG0002028	Smp_148360.1	FhHiC23_g1192.t1, FhHiC23_g1193.t1
OG0002029	Smp_152860.1	FhHiC23_g4975.t1
OG0002030	Smp_013520.1	FhHiC23_g8282.t1, FhHiC23_g8282.t2
OG0002031	Smp_343880.1	FhHiC23_g13248.t2, FhHiC23_g9100.t1, FhHiC23_g13248.t1
OG0002032	Smp_127840.1	FhHiC23_g9372.t2, FhHiC23_g9372.t1, FhHiC23_g9372.t3
OG0002033	Smp_073940.1	FhHiC23_g6840.t1
OG0002034	Smp_169700.1	FhHiC23_g8189.t2, FhHiC23_g8189.t1
OG0002035	Smp_076390.1, Smp_076390.2	FhHiC23_g11958.t1
OG0002036	Smp_091650.1	FhHiC23_g15907.t1, FhHiC23_g15907.t2, FhHiC23_g15907.t3
OG0002037	Smp_147650.1	FhHiC23_g1870.t1, FhHiC23_g1870.t2
OG0002038	Smp_038870.1	FhHiC23_g14668.t2, FhHiC23_g14668.t1
OG0002039	Smp_124430.1	FhHiC23_g548.t1
OG0002040	Smp_331650.3, Smp_331650.2, Smp_331650.4, Smp_331650.1, Smp_332860.1, Smp_332860.2	FhHiC23_g12291.t1
OG0002041	Smp_135500.1	FhHiC23_g2388.t1
OG0002042	Smp_076530.1	FhHiC23_g11787.t1
OG0002043	Smp_026390.1	FhHiC23_g7264.t1
OG0002044	Smp_127270.1	FhHiC23_g11127.t1
OG0002045	Smp_166220.1	FhHiC23_g4266.t1
OG0002046	Smp_145210.1	FhHiC23_g2833.t1
OG0002047	Smp_039490.1	FhHiC23_g4023.t3, FhHiC23_g4023.t1, FhHiC23_g4023.t2, FhHiC23_g4023.t4
OG0002048	Smp_005020.1	FhHiC23_g11535.t1
OG0002049	Smp_315580.1	FhHiC23_g4356.t1
OG0002050	Smp_146360.1	FhHiC23_g1876.t1
OG0002051	Smp_160870.1	FhHiC23_g5368.t3, FhHiC23_g5368.t1, FhHiC23_g5368.t2
OG0002052	Smp_051390.1	FhHiC23_g14292.t1, FhHiC23_g14291.t1
OG0002053	Smp_062520.1	FhHiC23_g2700.t1
OG0002054	Smp_036010.1	FhHiC23_g2529.t2, FhHiC23_g2529.t1, FhHiC23_g2529.t3
OG0002055	Smp_151720.1	FhHiC23_g7715.t1, FhHiC23_g7715.t2
OG0002056	Smp_214020.1, Smp_214020.2	FhHiC23_g16367.t1, FhHiC23_g16367.t2
OG0002057	Smp_211330.1	FhHiC23_g1048.t1
OG0002058	Smp_103740.1	FhHiC23_g13342.t1
OG0002059	Smp_135130.1	FhHiC23_g14563.t1
OG0002060	Smp_053420.1	FhHiC23_g11718.t1
OG0002061	Smp_022850.1	FhHiC23_g11443.t1, FhHiC23_g11443.t2
OG0002062	Smp_309210.1	FhHiC23_g7404.t1, FhHiC23_g7404.t2
OG0002063	Smp_245590.1	FhHiC23_g14629.t1
OG0002064	Smp_165790.1, Smp_165790.2	FhHiC23_g10669.t1
OG0002065	Smp_167840.1, Smp_028860.1, Smp_138720.1	FhHiC23_g15789.t1
OG0002073	Smp_144850.1	FhHiC23_g9392.t1, FhHiC23_g9392.t2
OG0002074	Smp_170150.1	FhHiC23_g15435.t1
OG0002075	Smp_094820.1	FhHiC23_g13599.t1, FhHiC23_g13599.t2
OG0002076	Smp_065610.1	FhHiC23_g14486.t2, FhHiC23_g14486.t1
OG0002077	Smp_153480.1	FhHiC23_g15695.t1
OG0002078	Smp_067140.1	FhHiC23_g5428.t1, FhHiC23_g5428.t2
OG0002079	Smp_060480.1	FhHiC23_g5334.t1, FhHiC23_g5334.t2
OG0002080	Smp_063530.1, Smp_063530.2	FhHiC23_g86.t1, FhHiC23_g86.t2
OG0002081	Smp_153410.1	FhHiC23_g4179.t1
OG0002082	Smp_335820.1, Smp_069120.1	FhHiC23_g476.t1, FhHiC23_g8180.t1, FhHiC23_g8181.t1, FhHiC23_g474.t1
OG0002083	Smp_044000.1	FhHiC23_g14424.t1
OG0002084	Smp_244080.1	FhHiC23_g11013.t1, FhHiC23_g11013.t2
OG0002085	Smp_018710.1	FhHiC23_g7887.t1
OG0002086	Smp_345280.1	FhHiC23_g14568.t1
OG0002087	Smp_173380.1, Smp_173380.2	FhHiC23_g5509.t1, FhHiC23_g5509.t2
OG0002088	Smp_083380.1	FhHiC23_g5599.t1, FhHiC23_g5599.t2
OG0002089	Smp_046190.1	FhHiC23_g647.t1
OG0002090	Smp_047700.1	FhHiC23_g1871.t1
OG0002091	Smp_148410.1	FhHiC23_g522.t1, FhHiC23_g522.t2
OG0002092	Smp_170290.1	FhHiC23_g4857.t1
OG0002093	Smp_123830.1	FhHiC23_g9290.t1
OG0002094	Smp_030400.1	FhHiC23_g12765.t1
OG0002095	Smp_343550.1	FhHiC23_g12016.t1, FhHiC23_g12016.t2
OG0002096	Smp_133280.1	FhHiC23_g6303.t1
OG0002097	Smp_245280.2, Smp_245280.1	FhHiC23_g12898.t1
OG0002098	Smp_342700.1	FhHiC23_g8496.t1
OG0002099	Smp_332560.1	FhHiC23_g5651.t1, FhHiC23_g5651.t2, FhHiC23_g5651.t3
OG0002100	Smp_035360.1	FhHiC23_g4991.t1
OG0002101	Smp_051000.1, Smp_051000.2	FhHiC23_g16019.t1, FhHiC23_g16019.t2
OG0002102	Smp_124080.1	FhHiC23_g9810.t1, FhHiC23_g9642.t1
OG0002103	Smp_149660.1	FhHiC23_g14459.t1
OG0002104	Smp_128940.1	FhHiC23_g5000.t2, FhHiC23_g5000.t3, FhHiC23_g5000.t1
OG0002105	Smp_073610.1	FhHiC23_g5668.t1
OG0002106	Smp_158130.1	FhHiC23_g16408.t1
OG0002107	Smp_246970.1, Smp_246970.2	FhHiC23_g8357.t2, FhHiC23_g8357.t1
OG0002108	Smp_068510.1	FhHiC23_g4354.t1
OG0002108	Smp_158980.1, Smp_158990.1	FhHiC23_g3755.t1
OG0002109	Smp_343050.1	FhHiC23_g14497.t1, FhHiC23_g14497.t2
OG0002110	Smp_039010.1, Smp_149030.1	FhHiC23_g2595.t1
OG0002111	Smp_144130.1, Smp_144130.2	FhHiC23_g14851.t1, FhHiC23_g14851.t2, FhHiC23_g14851.t3
OG0002112	Smp_029360.1	FhHiC23_g7456.t1
OG0002113	Smp_340130.1, Smp_340130.2	FhHiC23_g16568.t1
OG0002114	Smp_196600.1	FhHiC23_g10380.t1, FhHiC23_g10381.t2, FhHiC23_g10381.t1
OG0002115	Smp_159190.1	FhHiC23_g853.t1, FhHiC23_g853.t2
OG0002116	Smp_340170.1	FhHiC23_g7126.t1, FhHiC23_g5578.t1
OG0002117	Smp_134450.1	FhHiC23_g12890.t1
OG0002118	Smp_241580.1	FhHiC23_g640.t1
OG0002118	Smp_181000.1	FhHiC23_g641.t1
OG0002119	Smp_129320.1	FhHiC23_g3486.t1
OG0002120	Smp_174870.1	FhHiC23_g11325.t1, FhHiC23_g11325.t2
OG0002121	Smp_174890.1	FhHiC23_g11327.t1, FhHiC23_g11327.t2
OG0002122	Smp_073220.1	FhHiC23_g6055.t2, FhHiC23_g6055.t1
OG0002124	Smp_077120.1	FhHiC23_g15456.t1
OG0002125	Smp_343290.1	FhHiC23_g9486.t1
OG0002126	Smp_322190.1	FhHiC23_g11756.t1, FhHiC23_g11756.t2, FhHiC23_g11756.t3
OG0002127	Smp_194680.1	FhHiC23_g8242.t1, FhHiC23_g8242.t2
OG0002128	Smp_146160.1	FhHiC23_g11067.t1, FhHiC23_g11067.t2
OG0002129	Smp_212990.1, Smp_213000.1	FhHiC23_g1721.t1, FhHiC23_g1722.t2, FhHiC23_g1722.t1
OG0002130	Smp_129610.1, Smp_129610.2	FhHiC23_g9538.t2, FhHiC23_g9538.t1, FhHiC23_g9538.t3
OG0002131	Smp_154740.1, Smp_154740.2	FhHiC23_g6361.t1
OG0002132	Smp_311770.1	FhHiC23_g1395.t1
OG0002133	Smp_242060.1	FhHiC23_g2067.t1
OG0002134	Smp_126620.1	FhHiC23_g14860.t1, FhHiC23_g14860.t2
OG0002135	Smp_164960.1	FhHiC23_g10027.t1, FhHiC23_g10027.t2, FhHiC23_g10027.t3, FhHiC23_g10027.t4
OG0002136	Smp_097320.1	FhHiC23_g9126.t1, FhHiC23_g9238.t1, FhHiC23_g9238.t2
OG0002137	Smp_055090.3, Smp_055090.1, Smp_055090.2	FhHiC23_g2517.t2, FhHiC23_g2517.t1
OG0002138	Smp_059980.1, Smp_154410.1	FhHiC23_g5130.t1
OG0002139	Smp_246450.1, Smp_335850.1	FhHiC23_g7390.t1
OG0002140	Smp_244940.1	FhHiC23_g11262.t1
OG0002141	Smp_138150.1	FhHiC23_g5791.t1, FhHiC23_g5791.t2, FhHiC23_g7287.t1, FhHiC23_g7287.t2
OG0002142	Smp_062070.1	FhHiC23_g16008.t1, FhHiC23_g16008.t2
OG0002143	Smp_349950.1, Smp_327610.1, Smp_327590.1	FhHiC23_g1165.t1
OG0002144	Smp_176000.1	FhHiC23_g9697.t1, FhHiC23_g9696.t1
OG0002145	Smp_246400.1	FhHiC23_g5600.t1
OG0002146	Smp_060190.1	FhHiC23_g11046.t1
OG0002147	Smp_124440.1	FhHiC23_g1777.t1
OG0002148	Smp_120380.1	FhHiC23_g10835.t1, FhHiC23_g10835.t2
OG0002149	Smp_208050.1	FhHiC23_g961.t1, FhHiC23_g962.t1
OG0002150	Smp_197640.1	FhHiC23_g7299.t2, FhHiC23_g7299.t1
OG0002151	Smp_098570.1, Smp_136310.1	FhHiC23_g3554.t1
OG0002152	Smp_126800.1	FhHiC23_g422.t2, FhHiC23_g422.t1
OG0002153	Smp_244980.1	FhHiC23_g10631.t1
OG0002154	Smp_315790.1, Smp_315790.2	FhHiC23_g14514.t1
OG0002155	Smp_171040.1	FhHiC23_g9645.t1, FhHiC23_g9645.t2
OG0002156	Smp_138850.2, Smp_138850.1	FhHiC23_g16405.t1
OG0002157	Smp_181480.1	FhHiC23_g7808.t1, FhHiC23_g7808.t2
OG0002158	Smp_345890.1	FhHiC23_g2293.t2, FhHiC23_g2293.t1
OG0002159	Smp_248070.1	FhHiC23_g2405.t1, FhHiC23_g2405.t2
OG0002160	Smp_018620.1	FhHiC23_g15886.t1
OG0002161	Smp_026830.1	FhHiC23_g14066.t1
OG0002163	Smp_160730.1, Smp_160730.2	FhHiC23_g5937.t1, FhHiC23_g5937.t2
OG0002164	Smp_204730.1	FhHiC23_g7245.t1
OG0002165	Smp_141360.1	FhHiC23_g9933.t1, FhHiC23_g9933.t2
OG0002166	Smp_333940.1	FhHiC23_g790.t1
OG0002167	Smp_113620.1	FhHiC23_g826.t1
OG0002168	Smp_143470.1	FhHiC23_g310.t1
OG0002169	Smp_243870.1	FhHiC23_g15324.t3, FhHiC23_g15324.t1, FhHiC23_g15324.t2
OG0002170	Smp_170760.1	FhHiC23_g2374.t1
OG0002171	Smp_006930.1	FhHiC23_g12321.t1
OG0002172	Smp_071380.1	FhHiC23_g4639.t1, FhHiC23_g4639.t3, FhHiC23_g4639.t2
OG0002173	Smp_019010.1	FhHiC23_g7653.t1
OG0002174	Smp_008660.1	FhHiC23_g2902.t1
OG0002175	Smp_340750.1, Smp_340750.2	FhHiC23_g2395.t1
OG0002176	Smp_247450.1	FhHiC23_g1529.t1, FhHiC23_g1529.t2
OG0002177	Smp_245230.1	FhHiC23_g12320.t1
OG0002178	Smp_247740.1	FhHiC23_g2938.t1
OG0002179	Smp_068280.1	FhHiC23_g13632.t1
OG0002180	Smp_160170.1	FhHiC23_g2941.t1, FhHiC23_g2941.t2, FhHiC23_g2940.t1
OG0002181	Smp_347740.1	FhHiC23_g1994.t1, FhHiC23_g1994.t2
OG0002182	Smp_340480.1	FhHiC23_g3094.t1, FhHiC23_g3094.t2
OG0002183	Smp_147370.1	FhHiC23_g13816.t1, FhHiC23_g13816.t2
OG0002184	Smp_131390.1, Smp_131390.2	FhHiC23_g16421.t1, FhHiC23_g16421.t2
OG0002185	Smp_134290.1	FhHiC23_g13223.t1, FhHiC23_g13223.t2
OG0002186	Smp_142850.1	FhHiC23_g10722.t2, FhHiC23_g10722.t1
OG0002187	Smp_045750.1	FhHiC23_g15295.t1
OG0002187	Smp_045760.1	FhHiC23_g15294.t1
OG0002188	Smp_122340.1	FhHiC23_g13463.t1, FhHiC23_g8076.t1
OG0002189	Smp_028050.1	FhHiC23_g4821.t1, FhHiC23_g4821.t2
OG0002190	Smp_017660.1	FhHiC23_g10307.t1, FhHiC23_g10307.t2
OG0002191	Smp_203635.1	FhHiC23_g12141.t1, FhHiC23_g12142.t1
OG0002192	Smp_343270.1	FhHiC23_g14822.t1, FhHiC23_g14822.t2
OG0002193	Smp_155770.1	FhHiC23_g2299.t1
OG0002194	Smp_071540.1	FhHiC23_g6461.t1, FhHiC23_g6461.t2
OG0002195	Smp_012350.1, Smp_012350.2	FhHiC23_g1976.t2, FhHiC23_g1976.t1
OG0002196	Smp_000150.1	FhHiC23_g7987.t2, FhHiC23_g7987.t1
OG0002197	Smp_029390.1	FhHiC23_g16677.t1, FhHiC23_g6820.t1
OG0002198	Smp_035220.1	FhHiC23_g5234.t1
OG0002199	Smp_340700.1, Smp_141620.1, Smp_329090.1	FhHiC23_g3002.t1, FhHiC23_g3002.t2
OG0002200	Smp_086220.1	FhHiC23_g1206.t1
OG0002201	Smp_123000.1	FhHiC23_g14460.t1, FhHiC23_g14461.t1, FhHiC23_g910.t1
OG0002202	Smp_194740.1	FhHiC23_g14835.t1
OG0002203	Smp_042420.1, Smp_042430.2, Smp_042430.1	FhHiC23_g1512.t2, FhHiC23_g1512.t1
OG0002204	Smp_341990.1	FhHiC23_g10466.t1, FhHiC23_g10466.t2
OG0002205	Smp_126370.1, Smp_126370.2	FhHiC23_g13503.t1, FhHiC23_g13503.t2
OG0002206	Smp_149370.1	FhHiC23_g16198.t1, FhHiC23_g16198.t2
OG0002207	Smp_178410.1	FhHiC23_g11935.t1, FhHiC23_g11935.t2
OG0002212	Smp_125440.1	FhHiC23_g9148.t2, FhHiC23_g9148.t1
OG0002214	Smp_346360.1, Smp_337430.1	FhHiC23_g14403.t1, FhHiC23_g14403.t2
OG0002215	Smp_243150.1, Smp_243150.2	FhHiC23_g11715.t1, FhHiC23_g11715.t3, FhHiC23_g11715.t2, FhHiC23_g11715.t4
OG0002217	Smp_346990.1	FhHiC23_g13117.t1, FhHiC23_g13117.t2
OG0002218	Smp_245220.1	FhHiC23_g13516.t1
OG0002219	Smp_084060.1	FhHiC23_g10683.t1
OG0002220	Smp_244780.1	FhHiC23_g13677.t1
OG0002221	Smp_059340.1	FhHiC23_g12324.t1
OG0002222	Smp_139530.1	FhHiC23_g6525.t2, FhHiC23_g6525.t1, FhHiC23_g6525.t3
OG0002223	Smp_333010.1	FhHiC23_g15165.t1, FhHiC23_g15165.t2, FhHiC23_g15337.t1
OG0002224	Smp_065980.1	FhHiC23_g11093.t1
OG0002225	Smp_342990.1, Smp_342990.2	FhHiC23_g4431.t1
OG0002226	Smp_175980.1	FhHiC23_g9721.t2, FhHiC23_g9721.t1
OG0002227	Smp_149740.1	FhHiC23_g14673.t1
OG0002228	Smp_144220.1	FhHiC23_g14041.t1, FhHiC23_g14040.t1, FhHiC23_g14040.t2
OG0002229	Smp_136570.1	FhHiC23_g11397.t1, FhHiC23_g11397.t2
OG0002230	Smp_123500.1	FhHiC23_g7066.t1, FhHiC23_g7066.t3
OG0002231	Smp_010100.1	FhHiC23_g6749.t2, FhHiC23_g6749.t1, FhHiC23_g6749.t3
OG0002232	Smp_059130.1	FhHiC23_g1517.t1, FhHiC23_g1517.t2, FhHiC23_g1517.t3, FhHiC23_g1517.t4
