Orthogroup	schistosoma_mansoni	schistosoma_guineensis
OG0000406	Smp_143240.1	SGUI1_38490.1, SGUI1_38490.2
OG0000407	Smp_308420.1	SGUI1_62760.2, SGUI1_62760.4, SGUI1_62760.6, SGUI1_62760.1, SGUI1_62760.8, SGUI1_62760.7, SGUI1_62760.5, SGUI1_62760.3
OG0000408	Smp_345870.1	SGUI1_26320.8, SGUI1_26320.1, SGUI1_26320.2, SGUI1_26320.5, SGUI1_26320.6, SGUI1_26320.7, SGUI1_26320.3, SGUI1_26320.4
OG0000409	Smp_345840.1	SGUI1_88530.12, SGUI1_88530.6, SGUI1_88530.4, SGUI1_88530.9, SGUI1_88530.1, SGUI1_88530.10, SGUI1_88530.5, SGUI1_88530.8, SGUI1_88530.2, SGUI1_88530.7, SGUI1_88530.11, SGUI1_88530.3
OG0000410	Smp_001040.1	SGUI1_69420.1
OG0000411	Smp_080280.1	SGUI1_26920.7, SGUI1_26920.4, SGUI1_26920.1, SGUI1_26920.2, SGUI1_26920.3, SGUI1_26920.6, SGUI1_26920.5
OG0000412	Smp_170800.1	SGUI1_72450.3, SGUI1_72450.1, SGUI1_72450.2, SGUI1_72450.4
OG0000413	Smp_132320.1	SGUI1_61390.1
OG0000414	Smp_244610.1	SGUI1_9960.1
OG0000415	Smp_012780.1	SGUI1_30570.1
OG0000416	Smp_067480.1	SGUI1_87880.1
OG0000416	Smp_136640.1	SGUI1_91730.1
OG0000416	Smp_067490.1	SGUI1_87870.1
OG0000417	Smp_130000.1	SGUI1_52310.2, SGUI1_52310.5, SGUI1_52310.4, SGUI1_52310.1, SGUI1_52310.3
OG0000418	Smp_153010.1	SGUI1_94690.4, SGUI1_94690.1, SGUI1_94690.3, SGUI1_94690.2
OG0000419	Smp_153760.1	SGUI1_5750.1, SGUI1_5750.2, SGUI1_5750.4, SGUI1_5750.3
OG0000420	Smp_310080.1	SGUI1_45640.3, SGUI1_45640.5, SGUI1_45640.6, SGUI1_45640.9, SGUI1_45640.1, SGUI1_45640.8, SGUI1_45640.2, SGUI1_45640.4, SGUI1_45640.10, SGUI1_45640.7
OG0000421	Smp_000480.1, Smp_000480.2	SGUI1_67680.1
OG0000422	Smp_014010.1	SGUI1_50010.13, SGUI1_50160.1
OG0000423	Smp_332510.1, Smp_060620.1	SGUI1_37820.1, SGUI1_37820.2
OG0000425	Smp_140950.1	SGUI1_29240.1, SGUI1_29240.2
OG0000426	Smp_047650.1	SGUI1_54640.1
OG0000426	Smp_047680.1, Smp_311630.1, Smp_311640.1	SGUI1_54650.1, SGUI1_54660.1
OG0000426	Smp_047640.2, Smp_047640.1	SGUI1_54630.1
OG0000427	Smp_128770.1	SGUI1_53380.5, SGUI1_53380.1, SGUI1_53380.2, SGUI1_53380.3, SGUI1_53380.4, SGUI1_53390.2, SGUI1_53390.1
OG0000428	Smp_302740.1	SGUI1_42120.6, SGUI1_42120.7, SGUI1_42120.4, SGUI1_42120.5, SGUI1_42120.8, SGUI1_42120.3, SGUI1_42120.1, SGUI1_42120.2
OG0000429	Smp_300560.1	SGUI1_93270.1
OG0000429	Smp_163090.1	SGUI1_45100.1
OG0000430	Smp_033760.1	SGUI1_32100.9, SGUI1_32100.8, SGUI1_32100.3, SGUI1_32100.5, SGUI1_32100.6, SGUI1_32100.1, SGUI1_32100.4, SGUI1_32100.2, SGUI1_32100.7
OG0000431	Smp_157350.1	SGUI1_49060.3, SGUI1_49060.5, SGUI1_49060.1, SGUI1_49060.2, SGUI1_49060.4
OG0000432	Smp_140120.1	SGUI1_94350.1
OG0000433	Smp_196260.1	SGUI1_40170.1
OG0000434	Smp_127820.1, Smp_127820.2	SGUI1_93870.1
OG0000435	Smp_140640.1	SGUI1_54900.1
OG0000436	Smp_245820.1, Smp_245820.2	SGUI1_25340.5, SGUI1_25340.1, SGUI1_25340.3, SGUI1_25340.2, SGUI1_25340.4
OG0000437	Smp_028650.1	SGUI1_3110.1, SGUI1_3110.2
OG0000438	Smp_007510.1	SGUI1_64000.1
OG0000439	Smp_061510.1	SGUI1_84880.4, SGUI1_84880.7, SGUI1_84880.8, SGUI1_84880.3, SGUI1_84880.1, SGUI1_84880.6, SGUI1_84880.2, SGUI1_84880.5
OG0000440	Smp_300210.1	SGUI1_91370.1
OG0000440	Smp_300200.1	SGUI1_91360.1
OG0000441	Smp_128480.1	SGUI1_8450.1
OG0000441	Smp_241420.1	SGUI1_14200.2, SGUI1_14200.1, SGUI1_14200.3
OG0000442	Smp_000030.1	SGUI1_36130.1
OG0000443	Smp_133530.1	SGUI1_5390.5, SGUI1_5390.1, SGUI1_5390.2, SGUI1_5390.4, SGUI1_5390.3
OG0000444	Smp_148940.1, Smp_148940.2	SGUI1_71520.1
OG0000445	Smp_002840.1	SGUI1_66020.1
OG0000446	Smp_244750.1	SGUI1_8350.1, SGUI1_8390.1
OG0000447	Smp_312150.1	SGUI1_57360.1
OG0000448	Smp_161790.1	SGUI1_31220.4, SGUI1_31220.1, SGUI1_31220.2
OG0000449	Smp_246790.1, Smp_246790.3	SGUI1_58000.3, SGUI1_58000.4, SGUI1_58000.1, SGUI1_58000.5, SGUI1_58000.7, SGUI1_58000.6, SGUI1_58000.2, SGUI1_58000.8
OG0000450	Smp_003980.1	SGUI1_24520.1, SGUI1_24520.6, SGUI1_24520.5, SGUI1_24520.2, SGUI1_24520.3, SGUI1_24520.4
OG0000451	Smp_267100.1	SGUI1_88120.1
OG0000452	Smp_248190.1	SGUI1_39360.1
OG0000453	Smp_311970.1, Smp_311970.2	SGUI1_62630.8, SGUI1_62630.6, SGUI1_62630.2, SGUI1_62630.3, SGUI1_62630.4, SGUI1_62630.1, SGUI1_62630.5, SGUI1_62630.7
OG0000454	Smp_158110.2, Smp_158110.1	SGUI1_70660.1
OG0000454	Smp_309480.1, Smp_314640.1	SGUI1_84380.1, SGUI1_84390.1
OG0000454	Smp_062900.2	SGUI1_72310.1
OG0000455	Smp_129160.1, Smp_157720.1	SGUI1_11520.2, SGUI1_11520.1, SGUI1_11520.4, SGUI1_11520.3
OG0000456	Smp_149040.1	SGUI1_71320.6, SGUI1_71320.2, SGUI1_71320.1, SGUI1_71320.5, SGUI1_71320.3, SGUI1_71320.4
OG0000457	Smp_034980.1	SGUI1_28290.4, SGUI1_28290.2, SGUI1_28290.3, SGUI1_28290.5, SGUI1_28290.9, SGUI1_28290.6, SGUI1_28290.1, SGUI1_28290.7, SGUI1_28290.8
OG0000458	Smp_345710.1	SGUI1_34120.12, SGUI1_34120.10, SGUI1_34120.5, SGUI1_34120.6, SGUI1_34120.4, SGUI1_34120.1, SGUI1_34120.13, SGUI1_34120.8, SGUI1_34120.9, SGUI1_34120.2, SGUI1_34120.3, SGUI1_34120.11, SGUI1_34120.7
OG0000459	Smp_302920.1	SGUI1_8770.1
OG0000460	Smp_323500.2, Smp_323490.1, Smp_323500.1, Smp_323510.1, Smp_336840.1, Smp_336850.1, Smp_178360.1, Smp_323480.1	SGUI1_11700.1, SGUI1_11700.2, SGUI1_11700.3, SGUI1_11700.4, SGUI1_11700.5, SGUI1_11700.6, SGUI1_11700.7, SGUI1_11700.8
OG0000461	Smp_347140.2, Smp_347140.3	SGUI1_74340.2
OG0000461	Smp_347140.5	SGUI1_74340.3
OG0000462	Smp_328770.1, Smp_348940.1, Smp_348930.1, Smp_349400.1, Smp_350440.1, Smp_348950.1, Smp_348500.1, Smp_349820.1, Smp_349810.1	SGUI1_57870.1, SGUI1_57680.1
OG0000462	Smp_317990.1, Smp_317990.2	SGUI1_92940.1
OG0000463	Smp_129980.1, Smp_014410.1	SGUI1_52280.1, SGUI1_52280.2, SGUI1_52280.3, SGUI1_52280.4
OG0000463	Smp_014430.1	SGUI1_52290.1
OG0000464	Smp_047190.1	SGUI1_13630.1
OG0000465	Smp_030760.1	SGUI1_76280.1
OG0000466	Smp_245780.1	SGUI1_53440.1
OG0000467	Smp_126540.1	SGUI1_36920.8, SGUI1_36920.9, SGUI1_36920.7, SGUI1_36920.2, SGUI1_36920.6, SGUI1_36920.1, SGUI1_36920.10, SGUI1_36920.4, SGUI1_36920.3, SGUI1_36920.5
OG0000468	Smp_141580.1	SGUI1_71050.7, SGUI1_71050.4, SGUI1_71050.3, SGUI1_71050.5, SGUI1_71050.2, SGUI1_71050.1, SGUI1_71050.6
OG0000470	Smp_156450.1	SGUI1_51460.1
OG0000471	Smp_138860.1	SGUI1_88870.1
OG0000472	Smp_302020.1, Smp_126580.1, Smp_302030.1	SGUI1_36870.1, SGUI1_36870.7, SGUI1_36870.6, SGUI1_36870.3, SGUI1_36870.5, SGUI1_36870.8, SGUI1_36870.4, SGUI1_36870.2, SGUI1_36870.10, SGUI1_36870.11, SGUI1_36870.9
OG0000473	Smp_138590.1	SGUI1_4730.3, SGUI1_4730.1, SGUI1_4730.5, SGUI1_4730.8, SGUI1_4730.9, SGUI1_4730.2, SGUI1_4730.7, SGUI1_4730.6, SGUI1_4730.4
OG0000474	Smp_266840.1	SGUI1_20130.1
OG0000474	Smp_122810.1	SGUI1_45720.1
OG0000475	Smp_169800.1	SGUI1_64270.5, SGUI1_64270.6, SGUI1_64270.8, SGUI1_64270.1, SGUI1_64270.2, SGUI1_64270.4, SGUI1_64270.7, SGUI1_64270.3
OG0000476	Smp_342610.1, Smp_342610.2	SGUI1_19300.1
OG0000477	Smp_090450.1	SGUI1_45620.1
OG0000478	Smp_096450.1	SGUI1_6100.1
OG0000479	Smp_094330.1	SGUI1_31370.1
OG0000480	Smp_134950.1	SGUI1_64560.1
OG0000481	Smp_134880.1	SGUI1_65530.1, SGUI1_65530.5, SGUI1_65530.2, SGUI1_65530.3, SGUI1_65530.4
OG0000482	Smp_172280.1	SGUI1_9140.1
OG0000483	Smp_309950.1, Smp_309960.1	SGUI1_130.1, SGUI1_130.2, SGUI1_130.3, SGUI1_57600.1
OG0000484	Smp_332380.1	SGUI1_96640.1, SGUI1_96630.1
OG0000485	Smp_058400.1	SGUI1_12820.1, SGUI1_12820.2, SGUI1_12820.3
OG0000487	Smp_125560.1	SGUI1_5850.1, SGUI1_5850.3, SGUI1_5850.2
OG0000487	Smp_311350.1, Smp_266800.1	SGUI1_17750.1
OG0000488	Smp_315060.1, Smp_337100.1, Smp_337100.4, Smp_337100.2, Smp_337100.3, Smp_337100.5	SGUI1_86140.1
OG0000488	Smp_334670.1, Smp_205300.1, Smp_316490.1, Smp_316490.2, Smp_331120.1, Smp_341290.1	SGUI1_86130.1
OG0000489	Smp_179070.1	SGUI1_57370.1
OG0000491	Smp_081260.1	SGUI1_30010.4, SGUI1_30010.5, SGUI1_30010.1, SGUI1_30010.2, SGUI1_30010.3, SGUI1_30010.6
OG0000492	Smp_181440.1	SGUI1_62940.1
OG0000493	Smp_004730.1	SGUI1_47430.1, SGUI1_47430.2
OG0000493	Smp_340320.1	SGUI1_28700.1, SGUI1_28700.2, SGUI1_28700.3, SGUI1_28690.1
OG0000495	Smp_336640.1	SGUI1_3120.1, SGUI1_3120.2
OG0000496	Smp_092770.1	SGUI1_37710.1
OG0000497	Smp_068920.1, Smp_068920.2, Smp_245240.1	SGUI1_5520.2, SGUI1_5530.1, SGUI1_5520.1, SGUI1_5530.2, SGUI1_5520.3
OG0000498	Smp_124070.1	SGUI1_24920.1
OG0000499	Smp_343450.1	SGUI1_70970.2, SGUI1_70970.1, SGUI1_70970.15, SGUI1_70970.8, SGUI1_70970.16, SGUI1_70970.12, SGUI1_70970.9, SGUI1_70970.11, SGUI1_70970.13, SGUI1_70970.10, SGUI1_70970.14, SGUI1_70970.5, SGUI1_70970.6, SGUI1_70970.3, SGUI1_70970.4, SGUI1_70970.7
OG0000500	Smp_347050.1	SGUI1_18780.2, SGUI1_18780.6, SGUI1_18780.1, SGUI1_18780.5, SGUI1_18780.4, SGUI1_18780.3
OG0000501	Smp_161970.1, Smp_161970.2	SGUI1_25610.1, SGUI1_25610.3, SGUI1_25610.2
OG0000502	Smp_137330.1	SGUI1_35470.4, SGUI1_35470.3, SGUI1_35470.1, SGUI1_35470.7, SGUI1_35470.2, SGUI1_35470.6, SGUI1_35470.5
OG0000503	Smp_022400.1	SGUI1_3810.1
OG0000504	Smp_133710.1	SGUI1_46850.3, SGUI1_46850.5, SGUI1_46850.4, SGUI1_46850.1, SGUI1_46850.2
OG0000505	Smp_072350.1	SGUI1_41120.1, SGUI1_41120.8, SGUI1_41120.9, SGUI1_41120.2, SGUI1_41120.10, SGUI1_41120.11, SGUI1_41120.3, SGUI1_41120.4, SGUI1_41120.5, SGUI1_41120.6, SGUI1_41120.7
OG0000506	Smp_212200.1	SGUI1_8630.2, SGUI1_8630.1, SGUI1_8630.13, SGUI1_8630.10, SGUI1_8630.12, SGUI1_8630.4, SGUI1_8630.5, SGUI1_8630.6, SGUI1_8630.7, SGUI1_8630.8, SGUI1_8630.9, SGUI1_8630.11, SGUI1_8630.3
OG0000507	Smp_246510.1, Smp_246510.2	SGUI1_31080.1
OG0000508	Smp_024000.1	SGUI1_14860.2, SGUI1_14860.3, SGUI1_14860.4, SGUI1_14860.1
OG0000509	Smp_046790.1	SGUI1_49530.1
OG0000509	Smp_127200.1	SGUI1_51120.1
OG0000510	Smp_152500.1	SGUI1_79290.3, SGUI1_79290.1, SGUI1_79290.2, SGUI1_79290.4
OG0000510	Smp_344480.2, Smp_344480.1	SGUI1_79310.1
OG0000511	Smp_329270.1, Smp_336120.1, Smp_329280.1, Smp_149750.1, Smp_149750.2, Smp_149750.3	SGUI1_72860.6, SGUI1_72860.3, SGUI1_72860.4, SGUI1_72860.1, SGUI1_72860.2, SGUI1_72860.5
OG0000512	Smp_166940.1	SGUI1_51700.8, SGUI1_51700.9, SGUI1_51700.2, SGUI1_51700.7, SGUI1_51700.10, SGUI1_51700.6, SGUI1_51700.1, SGUI1_51700.4, SGUI1_51700.3, SGUI1_51700.5
OG0000513	Smp_333620.1	SGUI1_67640.1
OG0000514	Smp_122840.1	SGUI1_45630.1, SGUI1_45630.4, SGUI1_45630.7, SGUI1_45630.6
OG0000515	Smp_153720.1	SGUI1_14460.1, SGUI1_14460.4, SGUI1_14460.6, SGUI1_14460.2, SGUI1_14460.3, SGUI1_14460.5
OG0000516	Smp_129110.1	SGUI1_63610.2, SGUI1_63610.4, SGUI1_63610.5, SGUI1_63610.7, SGUI1_63610.9, SGUI1_63610.10, SGUI1_63610.8, SGUI1_63610.3, SGUI1_63610.6, SGUI1_63610.1
OG0000517	Smp_161980.1	SGUI1_25650.1
OG0000520	Smp_247990.1	SGUI1_83280.2, SGUI1_83280.1, SGUI1_13350.1, SGUI1_39680.1, SGUI1_39680.2, SGUI1_89200.1, SGUI1_89200.2
OG0000521	Smp_316340.1	SGUI1_71990.8, SGUI1_71990.3, SGUI1_71990.7, SGUI1_71990.4, SGUI1_71990.6, SGUI1_71990.2, SGUI1_71990.1, SGUI1_71990.5
OG0000522	Smp_166440.1	SGUI1_57210.1, SGUI1_57230.1, SGUI1_57460.1, SGUI1_95930.1, SGUI1_95910.1
OG0000523	Smp_155750.1	SGUI1_77450.4, SGUI1_77450.1, SGUI1_77450.2, SGUI1_77450.3, SGUI1_77450.5, SGUI1_77450.7, SGUI1_77450.6
OG0000524	Smp_065810.1	SGUI1_11580.1, SGUI1_11580.2, SGUI1_11580.3, SGUI1_11580.4
OG0000525	Smp_122900.1	SGUI1_50690.9, SGUI1_50690.1, SGUI1_50690.6, SGUI1_50690.3, SGUI1_50690.2, SGUI1_50690.7, SGUI1_50690.8, SGUI1_50690.11, SGUI1_50690.10, SGUI1_50690.4, SGUI1_50690.5
OG0000526	Smp_304370.1	SGUI1_16520.1, SGUI1_16520.2
OG0000527	Smp_062680.1	SGUI1_18690.1
OG0000528	Smp_140520.1	SGUI1_31930.1, SGUI1_31930.2, SGUI1_31930.3, SGUI1_31930.4
OG0000529	Smp_102160.1	SGUI1_15360.1
OG0000529	Smp_123870.1	SGUI1_25220.1
OG0000530	Smp_104310.1	SGUI1_93440.1
OG0000530	Smp_005670.1	SGUI1_96160.1
OG0000530	Smp_337130.1	SGUI1_96180.1
OG0000531	Smp_145090.1	SGUI1_78190.1
OG0000532	Smp_092880.1	SGUI1_4720.3, SGUI1_4720.5, SGUI1_4720.4, SGUI1_4720.2, SGUI1_4720.1, SGUI1_4720.6
OG0000533	Smp_347530.1, Smp_347530.2	SGUI1_18830.1
OG0000534	Smp_149080.1	SGUI1_71240.1, SGUI1_71240.2, SGUI1_71240.3, SGUI1_71240.4, SGUI1_71240.5
OG0000535	Smp_029470.1	SGUI1_59100.1
OG0000535	Smp_029500.1	SGUI1_59150.1
OG0000536	Smp_079740.1	SGUI1_66400.7, SGUI1_66400.2, SGUI1_66400.8, SGUI1_66400.3, SGUI1_66400.1, SGUI1_66400.4, SGUI1_66400.6, SGUI1_66400.5
OG0000537	Smp_060860.1	SGUI1_53630.1
OG0000538	Smp_314170.1, Smp_303010.1, Smp_348060.1, Smp_332150.1, Smp_316790.1, Smp_335780.1, Smp_335930.1, Smp_317470.1, Smp_317470.3, Smp_317470.2, Smp_315690.1, Smp_315690.2, Smp_187410.1	SGUI1_92840.1, SGUI1_86080.1, SGUI1_86070.1
OG0000539	Smp_021170.1, Smp_021170.3, Smp_021170.2	SGUI1_46700.1, SGUI1_46700.4, SGUI1_46700.3, SGUI1_46700.6, SGUI1_46700.2, SGUI1_46700.5
OG0000540	Smp_245200.1	SGUI1_5370.1, SGUI1_5370.2, SGUI1_5350.1
OG0000541	Smp_333760.1	SGUI1_28500.6, SGUI1_28500.4, SGUI1_28500.2, SGUI1_28500.1, SGUI1_28500.3, SGUI1_28500.5
OG0000542	Smp_123290.1	SGUI1_87580.3, SGUI1_87580.5, SGUI1_87580.1, SGUI1_87580.2, SGUI1_87580.4, SGUI1_87580.6
OG0000543	Smp_336650.1	SGUI1_14790.1, SGUI1_14790.7, SGUI1_14790.8, SGUI1_14790.9, SGUI1_14790.6, SGUI1_14790.2, SGUI1_14790.3, SGUI1_14790.4, SGUI1_14790.5
OG0000544	Smp_090070.1	SGUI1_80310.1, SGUI1_80310.8, SGUI1_80310.4, SGUI1_80310.9, SGUI1_80310.12, SGUI1_80310.10, SGUI1_80310.11, SGUI1_80310.2, SGUI1_80310.3, SGUI1_80310.5, SGUI1_80310.6, SGUI1_80310.7
OG0000545	Smp_047900.1	SGUI1_46500.1
OG0000545	Smp_142050.1	SGUI1_70090.4, SGUI1_70090.1, SGUI1_70090.2, SGUI1_70090.6, SGUI1_70090.5, SGUI1_70090.3
OG0000547	Smp_169940.1	SGUI1_89060.3, SGUI1_89060.1, SGUI1_89060.2, SGUI1_89060.4, SGUI1_89060.5
OG0000548	Smp_140820.1	SGUI1_29420.1
OG0000549	Smp_165440.2, Smp_165440.1	SGUI1_10140.1, SGUI1_10140.2
OG0000550	Smp_244030.1	SGUI1_18330.1, SGUI1_18340.1
OG0000550	Smp_244040.1	SGUI1_18320.1
OG0000551	Smp_337740.1	SGUI1_66100.1
OG0000551	Smp_086860.1	SGUI1_39110.1
OG0000552	Smp_068950.1	SGUI1_5150.1
OG0000552	Smp_212260.1	SGUI1_86630.1
OG0000553	Smp_300840.1, Smp_300840.2	SGUI1_94940.1
OG0000554	Smp_078280.1	SGUI1_10240.1, SGUI1_10240.2
OG0000555	Smp_005500.1	SGUI1_43560.1
OG0000556	Smp_168160.1	SGUI1_66270.1
OG0000557	Smp_068070.1	SGUI1_37630.1
OG0000558	Smp_044970.1	SGUI1_17410.1
OG0000559	Smp_347940.1	SGUI1_82370.1, SGUI1_82370.2, SGUI1_82370.4, SGUI1_82370.5, SGUI1_82370.3
OG0000560	Smp_175780.1	SGUI1_96600.1, SGUI1_96590.1, SGUI1_96590.3, SGUI1_96590.2, SGUI1_96590.4
OG0000561	Smp_023010.1	SGUI1_95320.3, SGUI1_95320.4, SGUI1_95320.2, SGUI1_95320.1
OG0000561	Smp_134510.1	SGUI1_95340.1, SGUI1_95340.2, SGUI1_95340.3
OG0000562	Smp_144020.1	SGUI1_85070.1, SGUI1_85070.2
OG0000563	Smp_039870.1	SGUI1_20710.3, SGUI1_20710.4, SGUI1_20710.2, SGUI1_20710.1, SGUI1_20710.6, SGUI1_20710.7, SGUI1_20710.5
OG0000564	Smp_088950.1, Smp_088950.2	SGUI1_41980.1
OG0000565	Smp_028210.2, Smp_028210.1	SGUI1_3450.1, SGUI1_3450.2, SGUI1_3450.3
OG0000566	Smp_053060.1	SGUI1_82760.1, SGUI1_82760.5, SGUI1_82760.6, SGUI1_82760.2, SGUI1_82760.3, SGUI1_82760.4
OG0000567	Smp_197370.1	SGUI1_66190.1
OG0000568	Smp_088650.1	SGUI1_57030.1
OG0000568	Smp_340020.1	SGUI1_67450.1
OG0000568	Smp_032180.1	SGUI1_34750.1
OG0000569	Smp_333030.1	SGUI1_8870.1
OG0000570	Smp_135790.1, Smp_135790.3, Smp_135790.2	SGUI1_12100.1
OG0000571	Smp_011680.1, Smp_011680.2	SGUI1_8230.1
OG0000572	Smp_243200.1	SGUI1_59750.2, SGUI1_59750.7, SGUI1_59750.4, SGUI1_59750.3, SGUI1_59750.1, SGUI1_59750.5, SGUI1_59750.6, SGUI1_59750.8
OG0000574	Smp_168310.1, Smp_168310.2	SGUI1_2840.1
OG0000574	Smp_242540.1	SGUI1_2880.1
OG0000575	Smp_174240.3, Smp_174240.1, Smp_174240.2	SGUI1_94820.1
OG0000576	Smp_061590.1	SGUI1_44120.1
OG0000577	Smp_181080.1, Smp_181080.2	SGUI1_53220.3, SGUI1_53220.6, SGUI1_53220.4, SGUI1_53220.5, SGUI1_53220.7, SGUI1_53220.1, SGUI1_53220.2
OG0000579	Smp_043270.1	SGUI1_75950.1
OG0000579	Smp_134460.1, Smp_348040.1, Smp_043300.1	SGUI1_75990.1, SGUI1_76000.1
OG0000579	Smp_043340.1, Smp_043320.1	SGUI1_75970.1, SGUI1_75980.1, SGUI1_76030.1
OG0000580	Smp_125890.1	SGUI1_39050.1, SGUI1_39050.2
OG0000580	Smp_033700.1	SGUI1_32130.2, SGUI1_32130.1
OG0000581	Smp_246950.1	SGUI1_61490.4, SGUI1_61490.1, SGUI1_61490.2, SGUI1_61490.3, SGUI1_61490.5
OG0000582	Smp_146750.1	SGUI1_83560.1
OG0000582	Smp_045680.1	SGUI1_83570.1
OG0000583	Smp_341630.1	SGUI1_61100.1
OG0000584	Smp_343410.1, Smp_343410.2	SGUI1_28160.1
OG0000585	Smp_141830.1	SGUI1_5600.4, SGUI1_5600.1, SGUI1_5600.5, SGUI1_5600.2, SGUI1_5600.3, SGUI1_5600.6
OG0000586	Smp_194160.1	SGUI1_30850.1
OG0000587	Smp_333670.1	SGUI1_65370.1, SGUI1_65370.2
OG0000587	Smp_322850.1	SGUI1_8650.1
OG0000588	Smp_160370.1, Smp_160370.2, Smp_160370.3	SGUI1_22180.1
OG0000589	Smp_034410.1	SGUI1_55120.1, SGUI1_55120.2, SGUI1_55120.3
OG0000590	Smp_019990.1	SGUI1_28900.1
OG0000590	Smp_060700.1	SGUI1_40530.1
OG0000591	Smp_028200.1, Smp_028200.2	SGUI1_3460.1
OG0000592	Smp_128960.1	SGUI1_30690.5, SGUI1_30690.9, SGUI1_30690.8, SGUI1_30690.10, SGUI1_30690.1, SGUI1_30690.2, SGUI1_30690.3, SGUI1_30690.4, SGUI1_30690.6, SGUI1_30690.7
OG0000593	Smp_125790.1	SGUI1_31580.7, SGUI1_31580.2, SGUI1_31580.3, SGUI1_31580.5, SGUI1_31580.1, SGUI1_31580.4, SGUI1_31580.6
OG0000594	Smp_103810.1	SGUI1_49390.1
OG0000595	Smp_128150.1	SGUI1_47700.2, SGUI1_47700.1, SGUI1_47700.3, SGUI1_47700.6, SGUI1_47700.4, SGUI1_47700.5
OG0000597	Smp_310050.1, Smp_310050.2, Smp_310040.1, Smp_327280.1, Smp_138750.1	SGUI1_96810.1, SGUI1_57890.1, SGUI1_57890.2, SGUI1_57880.1
OG0000598	Smp_135900.1	SGUI1_11950.1, SGUI1_11950.8, SGUI1_11950.3, SGUI1_11950.2, SGUI1_11950.4, SGUI1_11950.5, SGUI1_11950.6, SGUI1_11950.7, SGUI1_11950.9
OG0000599	Smp_105930.1	SGUI1_63080.1, SGUI1_63070.1
OG0000600	Smp_187940.1	SGUI1_68040.1, SGUI1_68060.4, SGUI1_68060.1, SGUI1_68060.2, SGUI1_68060.5, SGUI1_68060.3
OG0000601	Smp_134600.1	SGUI1_95230.1, SGUI1_95240.1
OG0000601	Smp_172040.1	SGUI1_40930.1
OG0000602	Smp_346610.2, Smp_346610.3, Smp_346610.1, Smp_346610.4	SGUI1_14820.1
OG0000603	Smp_123010.1	SGUI1_50550.1, SGUI1_50550.2, SGUI1_50550.3
OG0000604	Smp_090930.1	SGUI1_39340.1
OG0000605	Smp_097750.1	SGUI1_27270.1
OG0000605	Smp_097800.1	SGUI1_27230.1
OG0000606	Smp_150540.1, Smp_074610.1, Smp_089860.1, Smp_026880.1, Smp_318950.1	SGUI1_48740.1
OG0000607	Smp_154420.1	SGUI1_30920.1
OG0000608	Smp_245720.1	SGUI1_50910.4, SGUI1_50910.5, SGUI1_50910.6, SGUI1_50910.1, SGUI1_50910.3, SGUI1_50910.2
OG0000609	Smp_163570.1, Smp_163570.2	SGUI1_27150.2, SGUI1_27150.1, SGUI1_27150.5, SGUI1_27150.3, SGUI1_27150.4
OG0000610	Smp_176600.1	SGUI1_22380.1, SGUI1_22380.2
OG0000611	Smp_320240.1	SGUI1_43180.1
OG0000611	Smp_051640.1	SGUI1_43200.1
OG0000611	Smp_331730.1	SGUI1_43190.1
OG0000612	Smp_213240.1	SGUI1_8200.1, SGUI1_8200.3, SGUI1_8200.2, SGUI1_8200.4
OG0000613	Smp_196510.1	SGUI1_36960.2, SGUI1_36960.1, SGUI1_36960.3, SGUI1_36960.4
OG0000614	Smp_097180.1, Smp_097180.2	SGUI1_44300.1
OG0000615	Smp_157150.1	SGUI1_12300.4, SGUI1_12300.2, SGUI1_12300.1, SGUI1_12300.3
OG0000616	Smp_341160.1, Smp_341160.2	SGUI1_60570.1, SGUI1_60570.3, SGUI1_60570.6, SGUI1_60570.2, SGUI1_60570.4, SGUI1_60570.5
OG0000617	Smp_136240.1	SGUI1_81490.7, SGUI1_81490.4, SGUI1_81490.5, SGUI1_81490.1, SGUI1_81490.2, SGUI1_81490.6, SGUI1_81490.3
OG0000618	Smp_127380.1, Smp_127380.2	SGUI1_36350.5, SGUI1_36350.6, SGUI1_36350.1, SGUI1_36350.3, SGUI1_36350.2, SGUI1_36350.4
OG0000620	Smp_135230.1	SGUI1_15020.1, SGUI1_15020.3, SGUI1_15020.2
OG0000620	Smp_171580.1	SGUI1_45590.1
OG0000621	Smp_208090.1	SGUI1_29800.1, SGUI1_29800.2, SGUI1_29800.4, SGUI1_29800.3
OG0000622	Smp_137080.1	SGUI1_73710.1
OG0000623	Smp_212030.1	SGUI1_12090.1, SGUI1_12080.1
OG0000624	Smp_133150.1	SGUI1_28660.1, SGUI1_28660.5, SGUI1_28660.2, SGUI1_28660.3, SGUI1_28660.4
OG0000625	Smp_167590.1	SGUI1_37340.1, SGUI1_37340.10, SGUI1_37340.11, SGUI1_37340.2, SGUI1_37340.3, SGUI1_37340.4, SGUI1_37340.5, SGUI1_37340.9, SGUI1_37340.8, SGUI1_37340.7, SGUI1_37340.6
OG0000626	Smp_245970.1	SGUI1_54950.1, SGUI1_54950.5, SGUI1_54950.3, SGUI1_54950.2, SGUI1_54950.6, SGUI1_54950.4
OG0000628	Smp_132450.1	SGUI1_61570.3, SGUI1_61570.2, SGUI1_61570.1, SGUI1_61570.4
