Orthogroup	schistosoma_japonicum	schistosoma_bovis
OG0000966	EWB00_004292	SBOV2_31460.1, SBOV2_31460.2, SBOV2_31460.3
OG0000966	EWB00_008737.2, EWB00_008737.1	SBOV2_48420.2, SBOV2_48420.3, SBOV2_48420.1
OG0000967	EWB00_006834.1, EWB00_006834.5, EWB00_006834.7, EWB00_006834.2, EWB00_006834.3, EWB00_006834.6, EWB00_006834.4	SBOV2_32250.1, SBOV2_32250.2
OG0000968	EWB00_007585	SBOV2_2890.3, SBOV2_2890.4, SBOV2_2890.5, SBOV2_2890.1, SBOV2_2890.2, SBOV2_2890.6
OG0000969	EWB00_004989	SBOV2_80720.1
OG0000970	EWB00_000530.1, EWB00_000530.2, EWB00_000530.3	SBOV2_68960.1, SBOV2_68950.1
OG0000971	EWB00_008797	SBOV2_1930.1
OG0000973	EWB00_001146	SBOV2_23590.1
OG0000974	EWB00_003797	SBOV2_50060.4, SBOV2_50060.3, SBOV2_50060.1, SBOV2_50060.2
OG0000975	EWB00_010836	SBOV2_5910.5, SBOV2_5910.1, SBOV2_5910.2, SBOV2_5910.3, SBOV2_5910.4
OG0000976	EWB00_009194.1, EWB00_009194.2	SBOV2_10060.3
OG0000977	EWB00_008954	SBOV2_11850.2, SBOV2_11850.1
OG0000978	EWB00_006429.1, EWB00_006429.2	SBOV2_20320.1
OG0000979	EWB00_003435.1, EWB00_003435.3, EWB00_003435.2	SBOV2_72860.2, SBOV2_72860.1, SBOV2_72860.3
OG0000980	EWB00_003545.3, EWB00_003545.1, EWB00_003545.2	SBOV2_53490.1, SBOV2_53490.2, SBOV2_53490.3
OG0000981	EWB00_003939	SBOV2_27710.1
OG0000982	EWB00_005588	SBOV2_63840.4, SBOV2_63840.1, SBOV2_63840.3, SBOV2_63840.2
OG0000983	EWB00_001638, EWB00_009926, EWB00_009927	SBOV2_15220.1
OG0000984	EWB00_008168	SBOV2_32840.4, SBOV2_32840.6, SBOV2_32840.5, SBOV2_32840.3, SBOV2_32840.1, SBOV2_32840.2
OG0000985	EWB00_003115.1, EWB00_003115.2	SBOV2_15730.2, SBOV2_15730.3, SBOV2_15730.9, SBOV2_15730.1, SBOV2_15730.10, SBOV2_15730.4, SBOV2_15730.5, SBOV2_15730.6, SBOV2_15730.7, SBOV2_15730.8
OG0000986	EWB00_006598	SBOV2_72030.5, SBOV2_72030.2, SBOV2_72030.3, SBOV2_72030.1, SBOV2_72030.4
OG0000987	EWB00_001667.1, EWB00_001667.2, EWB00_001667.3	SBOV2_82510.1, SBOV2_82510.2, SBOV2_82510.3, SBOV2_82510.4
OG0000988	EWB00_005167	SBOV2_56170.1, SBOV2_56170.2, SBOV2_56170.4, SBOV2_56170.3, SBOV2_56170.7, SBOV2_56170.8, SBOV2_56170.5, SBOV2_56170.6, SBOV2_56160.1
OG0000989	EWB00_007224	SBOV2_54140.3, SBOV2_54140.1, SBOV2_54140.2
OG0000990	EWB00_009083.1, EWB00_009083.2, EWB00_009083.3	SBOV2_4760.1
OG0000991	EWB00_005269, EWB00_005270	SBOV2_58340.15, SBOV2_58340.11, SBOV2_58340.10, SBOV2_58340.3, SBOV2_58340.8, SBOV2_58340.16, SBOV2_58340.9, SBOV2_58340.2, SBOV2_58340.17, SBOV2_58340.1, SBOV2_58340.6, SBOV2_58340.12, SBOV2_58340.13, SBOV2_58340.4, SBOV2_58340.14, SBOV2_58340.5, SBOV2_58340.7
OG0000992	EWB00_000009	SBOV2_43520.1
OG0000993	EWB00_007390.1, EWB00_007390.2	SBOV2_77160.2, SBOV2_77160.3, SBOV2_77160.1
OG0000994	EWB00_001747	SBOV2_33740.2, SBOV2_33740.3, SBOV2_33740.4, SBOV2_33740.1, SBOV2_33740.9, SBOV2_33740.8, SBOV2_33740.5, SBOV2_33740.6, SBOV2_33740.7
OG0000995	EWB00_003486.1, EWB00_003486.2	SBOV2_79480.5, SBOV2_79480.3, SBOV2_79480.1, SBOV2_79480.2, SBOV2_79480.4
OG0000996	EWB00_004706	SBOV2_63980.1, SBOV2_63980.2, SBOV2_63980.3, SBOV2_63980.4, SBOV2_63980.5
OG0000997	EWB00_001985.1, EWB00_001985.3, EWB00_001985.4, EWB00_001985.5, EWB00_001985.6, EWB00_001985.7, EWB00_001985.2	SBOV2_89340.10, SBOV2_89340.7, SBOV2_89340.8, SBOV2_89340.9, SBOV2_89340.1, SBOV2_89340.2, SBOV2_89340.3, SBOV2_89340.4, SBOV2_89340.5, SBOV2_89340.6
OG0000998	EWB00_008388.3, EWB00_008388.4, EWB00_008388.1, EWB00_008388.2, EWB00_008388.5	SBOV2_55040.1
OG0000999	EWB00_007695.1, EWB00_007695.2	SBOV2_29820.1, SBOV2_29820.2, SBOV2_29820.3, SBOV2_29820.5, SBOV2_29820.4
OG0001000	EWB00_007782	SBOV2_7000.2, SBOV2_7000.1
OG0001003	EWB00_003403	SBOV2_35430.1
OG0001004	EWB00_010272	SBOV2_15340.1, SBOV2_15340.11, SBOV2_15340.12, SBOV2_15340.13, SBOV2_15340.2, SBOV2_15340.3, SBOV2_15340.4, SBOV2_15340.5, SBOV2_15340.6, SBOV2_15340.7, SBOV2_15340.8, SBOV2_15340.9, SBOV2_15340.10
OG0001005	EWB00_000102	SBOV2_4660.1, SBOV2_4660.2, SBOV2_4660.3, SBOV2_4660.4, SBOV2_4660.5, SBOV2_4660.6
OG0001006	EWB00_008832, EWB00_008833	SBOV2_80680.1, SBOV2_80700.1
OG0001007	EWB00_003196	SBOV2_58980.1, SBOV2_59000.1
OG0001009	EWB00_000320.1, EWB00_000320.2	SBOV2_87130.3, SBOV2_87130.4, SBOV2_87130.1, SBOV2_87130.2
OG0001010	EWB00_011274	SBOV2_59860.4, SBOV2_59860.5, SBOV2_59860.6, SBOV2_59860.2, SBOV2_59860.3, SBOV2_59860.1, SBOV2_59860.7
OG0001011	EWB00_004592.3, EWB00_004592.6	SBOV2_28090.1, SBOV2_28120.1, SBOV2_28100.1
OG0001012	EWB00_008270.1, EWB00_008270.2	SBOV2_5140.2, SBOV2_5140.3, SBOV2_5140.4, SBOV2_5140.5, SBOV2_5140.7, SBOV2_5140.1, SBOV2_5140.6
OG0001013	EWB00_004156.4, EWB00_004156.3, EWB00_004156.2, EWB00_004156.1	SBOV2_13510.2, SBOV2_13510.3, SBOV2_13510.4, SBOV2_13510.1
OG0001014	EWB00_009023, EWB00_009024	SBOV2_4070.1
OG0001015	EWB00_004382	SBOV2_29360.2, SBOV2_29360.3, SBOV2_29360.4, SBOV2_29360.1
OG0001016	EWB00_007712.1, EWB00_007712.2	SBOV2_30010.1, SBOV2_30010.2
OG0001017	EWB00_004820.1, EWB00_004820.3, EWB00_004820.2	SBOV2_15200.1, SBOV2_15200.2, SBOV2_15200.3
OG0001018	EWB00_006039.1, EWB00_006039.2	SBOV2_37900.3, SBOV2_37900.1, SBOV2_37900.2
OG0001019	EWB00_003231	SBOV2_25690.1
OG0001020	EWB00_005535.1, EWB00_005535.2	SBOV2_10640.1, SBOV2_10640.2, SBOV2_10640.3
OG0001021	EWB00_007945.1, EWB00_007945.2	SBOV2_38130.2, SBOV2_38130.4, SBOV2_38130.5, SBOV2_38130.3, SBOV2_38130.1
OG0001022	EWB00_006135	SBOV2_20480.3, SBOV2_20480.2, SBOV2_20480.1
OG0001023	EWB00_003959	SBOV2_62660.1
OG0001024	EWB00_007402	SBOV2_77300.1, SBOV2_77300.3, SBOV2_77300.5, SBOV2_77300.6, SBOV2_77300.2, SBOV2_77300.4, SBOV2_77300.7, SBOV2_77300.8
OG0001025	EWB00_003052.1, EWB00_003052.3, EWB00_003052.2	SBOV2_87560.1, SBOV2_87560.2, SBOV2_87560.3
OG0001026	EWB00_007606.1, EWB00_007606.2	SBOV2_48960.1
OG0001027	EWB00_005674.1, EWB00_005674.2, EWB00_005674.3, EWB00_005674.4	SBOV2_1010.1, SBOV2_1010.3, SBOV2_1010.4, SBOV2_1010.5, SBOV2_1010.2
OG0001028	EWB00_003804.4, EWB00_003804.1, EWB00_003804.3, EWB00_003804.5, EWB00_003804.2	SBOV2_49990.3, SBOV2_49990.2, SBOV2_49990.1
OG0001029	EWB00_003609.1, EWB00_003609.2	SBOV2_49160.1, SBOV2_49160.2, SBOV2_49160.3, SBOV2_49160.4
OG0001030	EWB00_003286.1, EWB00_003286.2	SBOV2_38750.1
OG0001031	EWB00_008134	SBOV2_69950.1
OG0001032	EWB00_004704.1, EWB00_004704.2, EWB00_004704.3	SBOV2_64010.1
OG0001033	EWB00_002756.1, EWB00_002756.2	SBOV2_71360.1
OG0001034	EWB00_001199.1, EWB00_001199.2	SBOV2_51550.1, SBOV2_51560.1, SBOV2_51560.2, SBOV2_51560.3
OG0001035	EWB00_002168	SBOV2_51010.1
OG0001036	EWB00_006516	SBOV2_16940.1, SBOV2_16940.2, SBOV2_16940.3
OG0001037	EWB00_006132	SBOV2_20510.3, SBOV2_20510.1, SBOV2_20510.2
OG0001038	EWB00_005626.1, EWB00_005626.2	SBOV2_1590.3, SBOV2_1590.1, SBOV2_1590.2, SBOV2_1590.4
OG0001039	EWB00_001147.1, EWB00_001147.2	SBOV2_40240.1, SBOV2_40240.2
OG0001040	EWB00_000155	SBOV2_80980.11, SBOV2_80980.6, SBOV2_80980.1, SBOV2_80980.5, SBOV2_80980.3, SBOV2_80980.2, SBOV2_80980.4, SBOV2_80980.8, SBOV2_80980.10, SBOV2_80980.9, SBOV2_80980.7
OG0001041	EWB00_003034	SBOV2_93190.1
OG0001042	EWB00_002194.6, EWB00_002194.2, EWB00_002194.1, EWB00_002194.3, EWB00_002194.4, EWB00_002194.5	SBOV2_11720.1
OG0001043	EWB00_010705	SBOV2_47790.6, SBOV2_47790.1, SBOV2_47790.3, SBOV2_47790.2, SBOV2_47790.5, SBOV2_47790.4
OG0001044	EWB00_005778	SBOV2_66980.1, SBOV2_66980.2
OG0001045	EWB00_009843	SBOV2_66530.7, SBOV2_66530.3, SBOV2_66530.6, SBOV2_66530.4, SBOV2_66530.5, SBOV2_66530.1, SBOV2_66530.2
OG0001046	EWB00_006779	SBOV2_54450.8, SBOV2_54450.1, SBOV2_54450.2, SBOV2_54450.5, SBOV2_54450.4, SBOV2_54450.3, SBOV2_54450.6, SBOV2_54450.7
OG0001047	EWB00_006678	SBOV2_94750.1
OG0001048	EWB00_007395.2, EWB00_007395.1, EWB00_007395.3	SBOV2_77220.2, SBOV2_77220.3, SBOV2_77220.7, SBOV2_77220.6, SBOV2_77220.1, SBOV2_77220.8
OG0001049	EWB00_002207	SBOV2_50340.7, SBOV2_50340.5, SBOV2_50340.1, SBOV2_50340.2, SBOV2_50340.3, SBOV2_50340.4, SBOV2_50340.6
OG0001050	EWB00_007741	SBOV2_61840.2, SBOV2_61840.1
OG0001051	EWB00_000734	SBOV2_86990.1, SBOV2_86990.2, SBOV2_86990.3, SBOV2_86990.4, SBOV2_86990.5
OG0001052	EWB00_002209.4, EWB00_002209.1, EWB00_002209.3	SBOV2_50370.3, SBOV2_50370.2
OG0001052	EWB00_002209.2	SBOV2_50370.1
OG0001053	EWB00_009221.2, EWB00_009221.3, EWB00_009221.1, EWB00_009222, EWB00_009221.4	SBOV2_63060.3, SBOV2_63060.9, SBOV2_63060.7, SBOV2_63060.1, SBOV2_63060.6, SBOV2_63060.4, SBOV2_63060.10, SBOV2_63060.2, SBOV2_63060.5, SBOV2_63060.8
OG0001054	EWB00_008451.1, EWB00_008451.2	SBOV2_11480.2, SBOV2_11480.3, SBOV2_11450.1, SBOV2_11480.1
OG0001055	EWB00_009534.1, EWB00_009534.3, EWB00_009534.2, EWB00_009534.4	SBOV2_28980.1, SBOV2_28980.3, SBOV2_28980.2
OG0001056	EWB00_010129, EWB00_005571	SBOV2_57440.1, SBOV2_57440.5, SBOV2_57440.6, SBOV2_57440.2, SBOV2_57440.3, SBOV2_57440.4, SBOV2_57440.7
OG0001057	EWB00_005060.1, EWB00_005060.2, EWB00_005060.4, EWB00_005060.3	SBOV2_86810.1
OG0001058	EWB00_011337	SBOV2_60480.1, SBOV2_60480.2
OG0001059	EWB00_000080.1, EWB00_000080.3, EWB00_000080.2	SBOV2_16500.1
OG0001060	EWB00_010427.1, EWB00_010427.2	SBOV2_63330.1, SBOV2_63330.2, SBOV2_63340.1
OG0001061	EWB00_005550, EWB00_005551, EWB00_011072	SBOV2_10820.3, SBOV2_10820.1, SBOV2_10820.2, SBOV2_10820.6, SBOV2_10820.5, SBOV2_10810.1, SBOV2_10820.4
OG0001062	EWB00_004749	SBOV2_48260.1, SBOV2_48260.2, SBOV2_48260.3, SBOV2_48260.4
OG0001063	EWB00_004479	SBOV2_83800.1, SBOV2_83790.1, SBOV2_83810.1
OG0001064	EWB00_010816.1, EWB00_010816.2, EWB00_010816.3, EWB00_010816.4	SBOV2_47100.1, SBOV2_47100.2
OG0001065	EWB00_009928	SBOV2_38540.1
OG0001065	EWB00_007939	SBOV2_38530.1, SBOV2_38530.2, SBOV2_38530.3
OG0001065	EWB00_007937	SBOV2_38520.1
OG0001067	EWB00_001456.1, EWB00_001456.3, EWB00_001456.2, EWB00_001456.4, EWB00_003350, EWB00_005939	SBOV2_94350.1, SBOV2_94150.1, SBOV2_94140.2, SBOV2_94140.3, SBOV2_94140.1, SBOV2_94140.4, SBOV2_94140.5
OG0001068	EWB00_009751.1, EWB00_009751.2	SBOV2_74960.1
OG0001070	EWB00_007136	SBOV2_62710.1
OG0001070	EWB00_010978.2	SBOV2_75370.1
OG0001071	EWB00_000924.2, EWB00_000924.1, EWB00_000924.3	SBOV2_64710.4, SBOV2_64710.1, SBOV2_64710.2, SBOV2_64710.3
OG0001072	EWB00_003227	SBOV2_25650.3, SBOV2_25650.1, SBOV2_25650.4, SBOV2_25650.2, SBOV2_25650.6, SBOV2_25650.5, SBOV2_25650.7
OG0001073	EWB00_007640	SBOV2_16320.3, SBOV2_16320.4, SBOV2_16320.10, SBOV2_16320.12, SBOV2_16320.7, SBOV2_16320.1, SBOV2_16320.11, SBOV2_16320.2, SBOV2_16320.5, SBOV2_16320.6, SBOV2_16320.8, SBOV2_16320.9
OG0001074	EWB00_007010	SBOV2_40050.1
OG0001075	EWB00_004024.4, EWB00_004024.2, EWB00_004024.3, EWB00_004024.6, EWB00_004024.5, EWB00_004024.1	SBOV2_61450.1
OG0001076	EWB00_004053.3, EWB00_004053.1, EWB00_004053.2	SBOV2_45700.1, SBOV2_45700.3, SBOV2_45700.2
OG0001077	EWB00_005346	SBOV2_49460.3, SBOV2_49460.4, SBOV2_49460.1, SBOV2_49460.5, SBOV2_49460.2, SBOV2_49460.6, SBOV2_49460.7
OG0001078	EWB00_011119, EWB00_011121	SBOV2_60880.1, SBOV2_60880.2, SBOV2_60880.3
OG0001079	EWB00_004521	SBOV2_74440.1, SBOV2_74440.2, SBOV2_74440.3, SBOV2_74440.4
OG0001080	EWB00_010921.1, EWB00_010921.3, EWB00_010921.2	SBOV2_72980.3, SBOV2_72980.1, SBOV2_72980.2
OG0001081	EWB00_001752, EWB00_001750.1, EWB00_001750.3, EWB00_001750.2	SBOV2_33710.2, SBOV2_33710.1, SBOV2_33710.5, SBOV2_33710.3, SBOV2_33710.4, SBOV2_33700.1
OG0001082	EWB00_008077	SBOV2_48050.2, SBOV2_48050.1, SBOV2_48050.3
OG0001083	EWB00_011190	SBOV2_93340.5, SBOV2_93340.1, SBOV2_93340.2, SBOV2_93340.4, SBOV2_93340.3
OG0001084	EWB00_006446.4, EWB00_006446.2, EWB00_006446.1, EWB00_006446.3	SBOV2_20160.2, SBOV2_20160.3, SBOV2_20160.1, SBOV2_20160.4
OG0001085	EWB00_005838.2, EWB00_005838.1, EWB00_005838.3, EWB00_005838.4	SBOV2_94340.1, SBOV2_94340.2
OG0001086	EWB00_007352	SBOV2_71090.1
OG0001087	EWB00_005325	SBOV2_54230.1
OG0001088	EWB00_001106	SBOV2_96490.1, SBOV2_23040.1, SBOV2_24070.1
OG0001089	EWB00_000922.1, EWB00_000922.2	SBOV2_64690.3, SBOV2_64690.1, SBOV2_64690.2, SBOV2_64690.5, SBOV2_64690.4
OG0001090	EWB00_006648.1, EWB00_006648.2, EWB00_006648.3	SBOV2_95330.1, SBOV2_95330.2, SBOV2_95330.3, SBOV2_95330.4, SBOV2_95330.5, SBOV2_95330.6, SBOV2_95330.7, SBOV2_95330.8
OG0001091	EWB00_005418.1, EWB00_005418.2, EWB00_005418.3	SBOV2_47940.1, SBOV2_47940.2, SBOV2_47940.4, SBOV2_47940.5, SBOV2_47940.3, SBOV2_47940.6
OG0001092	EWB00_008685.1, EWB00_008685.2	SBOV2_96870.1, SBOV2_69170.1, SBOV2_69170.2, SBOV2_69170.3, SBOV2_69150.1
OG0001093	EWB00_009235.1, EWB00_009235.2	SBOV2_80560.5, SBOV2_80560.7, SBOV2_80560.8, SBOV2_80560.9, SBOV2_80560.6, SBOV2_80560.4, SBOV2_80560.2, SBOV2_80560.1, SBOV2_80560.3
OG0001094	EWB00_004337	SBOV2_31030.4, SBOV2_31030.3, SBOV2_31030.5, SBOV2_31030.1, SBOV2_31030.2, SBOV2_31030.6
OG0001095	EWB00_006786	SBOV2_54530.1
OG0001096	EWB00_010365	SBOV2_18900.5, SBOV2_18900.1, SBOV2_18900.2, SBOV2_18900.3, SBOV2_18900.4
OG0001097	EWB00_010093, EWB00_010092, EWB00_010091	SBOV2_68850.1
OG0001098	EWB00_011219.5, EWB00_011219.2, EWB00_011219.4, EWB00_011219.1, EWB00_011219.3	SBOV2_35700.6, SBOV2_35700.1, SBOV2_35700.2, SBOV2_35700.3, SBOV2_35700.4, SBOV2_35700.5
OG0001099	EWB00_000377.1, EWB00_000377.2, EWB00_000377.3	SBOV2_91350.1
OG0001100	EWB00_006265	SBOV2_67560.5, SBOV2_67560.3, SBOV2_67560.1, SBOV2_67560.2, SBOV2_67560.4
OG0001101	EWB00_003637.1, EWB00_003637.2	SBOV2_45150.1, SBOV2_45150.2
OG0001103	EWB00_003032.1, EWB00_003032.2, EWB00_003032.3	SBOV2_93210.1, SBOV2_93210.3, SBOV2_93210.4, SBOV2_93210.2
OG0001104	EWB00_007728.1, EWB00_007728.3, EWB00_007728.2	SBOV2_61970.1, SBOV2_61970.2
OG0001105	EWB00_011214.1, EWB00_011214.2	SBOV2_35630.1, SBOV2_35630.2, SBOV2_35630.4, SBOV2_35630.3
OG0001106	EWB00_008927	SBOV2_67850.6, SBOV2_67850.4, SBOV2_67850.1, SBOV2_67850.3, SBOV2_67850.2, SBOV2_67850.5
OG0001107	EWB00_007219.2, EWB00_007219.4, EWB00_007219.3, EWB00_007219.1	SBOV2_54110.1, SBOV2_54110.2, SBOV2_54110.3
OG0001108	EWB00_001932, EWB00_003300	SBOV2_39010.2, SBOV2_39010.1
OG0001109	EWB00_001760.1, EWB00_001760.2	SBOV2_33660.2, SBOV2_33660.6, SBOV2_33660.3, SBOV2_33660.4, SBOV2_33660.1, SBOV2_33660.5
OG0001110	EWB00_009040.1, EWB00_009040.2	SBOV2_3950.3, SBOV2_3950.1, SBOV2_3950.2
OG0001111	EWB00_008730	SBOV2_48370.1
OG0001112	EWB00_004791.1, EWB00_004791.2	SBOV2_94520.1
OG0001112	EWB00_004792, EWB00_004793	SBOV2_94500.1, SBOV2_94510.1
OG0001113	EWB00_004451.2, EWB00_004451.1, EWB00_004451.3	SBOV2_7630.1
OG0001115	EWB00_008941	SBOV2_93310.5, SBOV2_93310.8, SBOV2_93310.7, SBOV2_93310.4, SBOV2_93310.9, SBOV2_93310.3, SBOV2_93310.2, SBOV2_93310.10, SBOV2_93310.1, SBOV2_93310.6
OG0001116	EWB00_004405	SBOV2_81010.1
OG0001117	EWB00_002363	SBOV2_14860.4, SBOV2_14860.1, SBOV2_14860.3, SBOV2_14860.2
OG0001118	EWB00_002739.1, EWB00_002739.2	SBOV2_70730.1
OG0001119	EWB00_000920.1, EWB00_000920.2, EWB00_000920.4, EWB00_000920.3	SBOV2_64660.1
OG0001120	EWB00_002578	SBOV2_36030.4, SBOV2_36030.2, SBOV2_36030.1, SBOV2_36030.5, SBOV2_36030.3
OG0001121	EWB00_005134.5, EWB00_005134.1, EWB00_005134.6, EWB00_005134.4, EWB00_005134.2, EWB00_005134.3	SBOV2_56050.2, SBOV2_56050.6, SBOV2_56050.7, SBOV2_56050.1, SBOV2_56050.4, SBOV2_56050.5, SBOV2_56050.3
OG0001122	EWB00_002290, EWB00_002289	SBOV2_78480.1
OG0001123	EWB00_005079	SBOV2_87700.5, SBOV2_87700.8, SBOV2_87700.7, SBOV2_87700.1, SBOV2_87700.2, SBOV2_87700.3, SBOV2_87700.4, SBOV2_87700.6
OG0001124	EWB00_004927.2, EWB00_004927.3, EWB00_004927.4, EWB00_004927.5, EWB00_004927.7, EWB00_004927.8, EWB00_004927.1, EWB00_004927.6, EWB00_004927.9	SBOV2_29790.1
OG0001125	EWB00_002307.1, EWB00_002307.2, EWB00_002309, EWB00_002308	SBOV2_13490.1, SBOV2_13460.1
OG0001127	EWB00_003937.1, EWB00_003937.2	SBOV2_27660.10, SBOV2_27660.7, SBOV2_27660.8, SBOV2_27660.9, SBOV2_27660.4, SBOV2_27660.3, SBOV2_27660.1, SBOV2_27660.5, SBOV2_27660.6, SBOV2_27660.2
OG0001128	EWB00_010960	SBOV2_75220.1
OG0001130	EWB00_008952	SBOV2_11810.1
OG0001131	EWB00_011067	SBOV2_73130.1, SBOV2_73130.2
OG0001131	EWB00_010938, EWB00_010102, EWB00_011237	SBOV2_73120.1
OG0001132	EWB00_004513.1, EWB00_004513.2	SBOV2_82320.1
OG0001133	EWB00_006647.1, EWB00_006647.2	SBOV2_95350.1
OG0001133	EWB00_003100.1, EWB00_003100.2	SBOV2_15590.1
OG0001134	EWB00_010505	SBOV2_64870.3, SBOV2_64870.4, SBOV2_64870.5, SBOV2_64870.7, SBOV2_64870.1, SBOV2_64870.2, SBOV2_64870.6, SBOV2_65260.1, SBOV2_65260.2
OG0001135	EWB00_007857	SBOV2_33230.1, SBOV2_33230.2, SBOV2_33230.3, SBOV2_33230.4
OG0001136	EWB00_007074	SBOV2_23200.2, SBOV2_23200.3, SBOV2_23200.10, SBOV2_23200.7, SBOV2_23200.9, SBOV2_23200.4, SBOV2_23200.5, SBOV2_23200.6, SBOV2_23200.1, SBOV2_23200.8, SBOV2_23200.11
OG0001137	EWB00_005385	SBOV2_52080.1, SBOV2_52080.2, SBOV2_52090.1, SBOV2_52080.3
OG0001138	EWB00_002488.3, EWB00_002488.5, EWB00_002488.4, EWB00_002488.2, EWB00_002488.1	SBOV2_19980.5, SBOV2_19980.7, SBOV2_19980.9, SBOV2_19980.4, SBOV2_19980.6, SBOV2_19980.2, SBOV2_19980.1, SBOV2_19980.3, SBOV2_19980.8
OG0001139	EWB00_001288	SBOV2_30350.1, SBOV2_30350.2, SBOV2_30350.3
OG0001140	EWB00_004038.3, EWB00_004038.1, EWB00_004038.2, EWB00_004038.4	SBOV2_45630.1, SBOV2_45630.2
OG0001141	EWB00_010581	SBOV2_78890.2, SBOV2_78890.1
OG0001142	EWB00_010000, EWB00_009996, EWB00_009998	SBOV2_12770.1
OG0001143	EWB00_000397.1, EWB00_000397.2, EWB00_000397.3	SBOV2_62440.1
OG0001144	EWB00_004285	SBOV2_31540.1, SBOV2_31540.2, SBOV2_31540.3, SBOV2_31540.4
OG0001145	EWB00_010489	SBOV2_65020.1, SBOV2_65020.2, SBOV2_65020.3, SBOV2_65020.6, SBOV2_65020.4, SBOV2_65020.5
OG0001146	EWB00_004856.1, EWB00_004856.2	SBOV2_4430.1, SBOV2_4430.2
OG0001147	EWB00_002095	SBOV2_7750.1
OG0001148	EWB00_000968	SBOV2_70000.1
OG0001149	EWB00_007400	SBOV2_77240.1, SBOV2_77240.2, SBOV2_77240.3
OG0001150	EWB00_003549.3, EWB00_003549.1, EWB00_003549.2, EWB00_003549.4	SBOV2_53520.1, SBOV2_53520.6, SBOV2_53520.2, SBOV2_53520.3, SBOV2_53520.4, SBOV2_53520.5
OG0001151	EWB00_001919.1, EWB00_001919.2	SBOV2_88380.1, SBOV2_88380.2, SBOV2_88380.3
OG0001153	EWB00_010070.3, EWB00_010070.4, EWB00_010070.1, EWB00_010070.2, EWB00_010070.5	SBOV2_68670.4, SBOV2_68670.1, SBOV2_68670.2, SBOV2_68670.3
OG0001154	EWB00_000030	SBOV2_43220.1
OG0001155	EWB00_010700	SBOV2_47850.1
OG0001156	EWB00_008591	SBOV2_7800.1, SBOV2_7800.2
OG0001157	EWB00_000400.1, EWB00_000400.2, EWB00_000400.4, EWB00_000400.3	SBOV2_62470.1
OG0001158	EWB00_002800	SBOV2_41560.1, SBOV2_41560.2, SBOV2_41560.4, SBOV2_41560.5, SBOV2_41560.3
OG0001159	EWB00_006018, EWB00_004960	SBOV2_91190.2, SBOV2_91190.5, SBOV2_91190.1, SBOV2_91190.3, SBOV2_91190.4
OG0001160	EWB00_005699	SBOV2_20740.4, SBOV2_20740.3, SBOV2_20740.1, SBOV2_20740.2, SBOV2_20740.5, SBOV2_20740.6, SBOV2_20740.7
OG0001161	EWB00_008928	SBOV2_67860.1
OG0001161	EWB00_010476.1, EWB00_010476.2, EWB00_010476.3	SBOV2_65150.1, SBOV2_65150.2
OG0001162	EWB00_006864.3, EWB00_006864.4, EWB00_006864.1, EWB00_006864.2	SBOV2_31960.1, SBOV2_31960.2, SBOV2_31960.5, SBOV2_31960.3, SBOV2_31960.4, SBOV2_31960.6
OG0001163	EWB00_002010	SBOV2_76240.10, SBOV2_76240.1, SBOV2_76240.7, SBOV2_76240.4, SBOV2_76240.8, SBOV2_76240.2, SBOV2_76240.3, SBOV2_76240.6, SBOV2_76240.5, SBOV2_76240.9
OG0001164	EWB00_006769.1, EWB00_006769.3, EWB00_006769.2	SBOV2_80110.1
OG0001165	EWB00_011222.1, EWB00_011222.2	SBOV2_57200.2, SBOV2_57200.1, SBOV2_57200.3, SBOV2_57200.4
OG0001166	EWB00_011074	SBOV2_10790.3, SBOV2_10790.1, SBOV2_10790.2
OG0001167	EWB00_006863	SBOV2_31970.1, SBOV2_31970.3, SBOV2_31970.5, SBOV2_31970.2, SBOV2_31970.4
OG0001168	EWB00_007693	SBOV2_12380.4, SBOV2_12380.2, SBOV2_12380.3, SBOV2_12380.1
OG0001169	EWB00_005343	SBOV2_49490.1
OG0001170	EWB00_004194	SBOV2_11130.1, SBOV2_11130.3, SBOV2_11130.4, SBOV2_11130.5, SBOV2_11130.2
OG0001171	EWB00_004815.1, EWB00_004815.3, EWB00_004815.4, EWB00_004815.5, EWB00_004815.2	SBOV2_15150.1, SBOV2_15150.2
OG0001172	EWB00_011304.3, EWB00_011304.1, EWB00_011304.4, EWB00_011304.2	SBOV2_60080.1, SBOV2_60080.6, SBOV2_60080.2, SBOV2_60080.4, SBOV2_60080.5, SBOV2_60080.3
OG0001173	EWB00_003842	SBOV2_1790.1
OG0001175	EWB00_003539.1, EWB00_003539.2	SBOV2_53450.1, SBOV2_53450.3, SBOV2_53450.4, SBOV2_53450.5, SBOV2_53450.6, SBOV2_53450.2
OG0001176	EWB00_004549.3, EWB00_004549.1, EWB00_004549.2	SBOV2_72620.1, SBOV2_72620.2, SBOV2_72620.3, SBOV2_72620.4
OG0001177	EWB00_001130.1, EWB00_001130.2	SBOV2_24310.5, SBOV2_24310.6, SBOV2_24310.7, SBOV2_24310.2, SBOV2_24310.1, SBOV2_24310.3, SBOV2_24310.8, SBOV2_24310.4, SBOV2_24300.1
OG0001178	EWB00_007871	SBOV2_2650.1
OG0001178	EWB00_007868, EWB00_007870	SBOV2_2640.1
