Orthogroup	schistosoma_japonicum	schistosoma_guineensis
OG0000287	EWB00_001190.1, EWB00_001190.2, EWB00_001190.3	SGUI1_73380.1, SGUI1_73380.2, SGUI1_73380.3
OG0000288	EWB00_008053	SGUI1_87250.1, SGUI1_87250.2, SGUI1_87250.4, SGUI1_87250.5, SGUI1_87250.3, SGUI1_87250.6
OG0000289	EWB00_000082	SGUI1_16570.1
OG0000290	EWB00_010888.2, EWB00_010888.3, EWB00_010888.4, EWB00_010888.6, EWB00_010888.1, EWB00_010888.5	SGUI1_27130.2, SGUI1_27130.3, SGUI1_27130.1
OG0000290	EWB00_009745	SGUI1_21960.1
OG0000291	EWB00_006455	SGUI1_17620.2, SGUI1_17620.1, SGUI1_17620.4, SGUI1_17620.5, SGUI1_17620.6, SGUI1_17620.3
OG0000292	EWB00_007865	SGUI1_34170.3, SGUI1_34170.2, SGUI1_34170.1, SGUI1_34170.4, SGUI1_34170.10, SGUI1_34170.11, SGUI1_34170.13, SGUI1_34170.15, SGUI1_34170.7, SGUI1_34170.9, SGUI1_34170.8, SGUI1_34170.14, SGUI1_34170.12, SGUI1_34170.5, SGUI1_34170.6
OG0000293	EWB00_006949.2, EWB00_006949.1	SGUI1_27690.1
OG0000293	EWB00_000820	SGUI1_61050.1, SGUI1_61050.2
OG0000293	EWB00_007238	SGUI1_47510.1
OG0000294	EWB00_009046	SGUI1_13860.1, SGUI1_3870.1
OG0000295	EWB00_005285, EWB00_005283, EWB00_005284	SGUI1_86970.1, SGUI1_86980.1, SGUI1_86960.1, SGUI1_86990.1
OG0000297	EWB00_002278.3, EWB00_002278.2, EWB00_002278.1, EWB00_002278.4	SGUI1_79930.1, SGUI1_79930.3, SGUI1_79930.2
OG0000298	EWB00_001802, EWB00_001803	SGUI1_43320.1
OG0000298	EWB00_000994	SGUI1_44540.1
OG0000299	EWB00_007963.1, EWB00_007963.2	SGUI1_60550.1, SGUI1_60550.2, SGUI1_60550.3, SGUI1_60550.4, SGUI1_60550.5
OG0000300	EWB00_009379, EWB00_009380	SGUI1_10440.4, SGUI1_10440.7, SGUI1_10440.2, SGUI1_10440.1, SGUI1_10440.5, SGUI1_10440.3, SGUI1_10440.6
OG0000301	EWB00_004573.5	SGUI1_78300.7
OG0000302	EWB00_011256	SGUI1_59360.1
OG0000303	EWB00_004180	SGUI1_14470.9, SGUI1_14470.12, SGUI1_14470.11, SGUI1_14470.8, SGUI1_14470.10, SGUI1_14470.4, SGUI1_14470.3, SGUI1_14470.1, SGUI1_14470.2, SGUI1_14470.5, SGUI1_14470.7, SGUI1_14470.6
OG0000304	EWB00_009739.1, EWB00_009739.2	SGUI1_11790.1
OG0000305	EWB00_007763	SGUI1_51850.7, SGUI1_51850.1, SGUI1_51850.3, SGUI1_51850.6, SGUI1_51850.5, SGUI1_51850.9, SGUI1_51850.8, SGUI1_51850.2, SGUI1_51850.4
OG0000306	EWB00_002091.1, EWB00_002091.2	SGUI1_7230.19, SGUI1_7230.21, SGUI1_7230.20, SGUI1_7230.17, SGUI1_7230.8, SGUI1_7230.9, SGUI1_7230.13, SGUI1_7230.10, SGUI1_7230.12, SGUI1_7230.11, SGUI1_7230.5, SGUI1_7230.1, SGUI1_7230.14, SGUI1_7230.15, SGUI1_7230.3, SGUI1_7230.6, SGUI1_7230.7, SGUI1_7230.16, SGUI1_7230.18, SGUI1_7230.4, SGUI1_7230.2
OG0000307	EWB00_005330, EWB00_008525	SGUI1_6300.4, SGUI1_6300.2, SGUI1_6300.3, SGUI1_6300.1
OG0000307	EWB00_011426	SGUI1_91520.1
OG0000308	EWB00_007449, EWB00_007446, EWB00_007447	SGUI1_30830.1, SGUI1_610.2, SGUI1_610.4, SGUI1_610.6, SGUI1_610.8, SGUI1_610.9, SGUI1_610.1, SGUI1_610.5, SGUI1_610.7, SGUI1_610.3, SGUI1_620.1
OG0000310	EWB00_004381	SGUI1_38280.1, SGUI1_38270.1, SGUI1_38210.1, SGUI1_38230.1
OG0000311	EWB00_001060	SGUI1_18460.11, SGUI1_18460.1, SGUI1_18460.5, SGUI1_18460.9, SGUI1_18460.2, SGUI1_18460.3, SGUI1_18460.4, SGUI1_18460.6, SGUI1_18460.10, SGUI1_18460.12, SGUI1_18460.13, SGUI1_18460.14, SGUI1_18460.7, SGUI1_18460.8
OG0000312	EWB00_005964.1, EWB00_005964.2, EWB00_005964.3	SGUI1_32490.6, SGUI1_32490.2, SGUI1_32490.1, SGUI1_32490.3, SGUI1_32490.5, SGUI1_32490.4
OG0000313	EWB00_004170.1, EWB00_004170.2	SGUI1_14540.4, SGUI1_14540.5, SGUI1_14540.6, SGUI1_14540.1, SGUI1_14540.2, SGUI1_14540.3, SGUI1_14540.9, SGUI1_14540.8, SGUI1_14540.7
OG0000314	EWB00_007714.1, EWB00_007714.2	SGUI1_37540.1
OG0000315	EWB00_002931	SGUI1_33090.3, SGUI1_33090.7, SGUI1_33090.4, SGUI1_33090.6, SGUI1_33090.1, SGUI1_33090.2, SGUI1_33090.5
OG0000316	EWB00_005434.1, EWB00_005434.2, EWB00_005434.3	SGUI1_17840.1
OG0000317	EWB00_005657.1, EWB00_005657.2	SGUI1_1310.1, SGUI1_1310.2, SGUI1_1310.3, SGUI1_1310.4, SGUI1_1310.5, SGUI1_1310.6, SGUI1_1310.7, SGUI1_1310.8, SGUI1_1310.9
OG0000318	EWB00_008744	SGUI1_49170.1, SGUI1_49170.5, SGUI1_49170.7, SGUI1_49170.8, SGUI1_49170.6, SGUI1_49170.3, SGUI1_49170.2, SGUI1_49170.9, SGUI1_49170.10, SGUI1_49170.4
OG0000319	EWB00_007862	SGUI1_34200.2, SGUI1_34200.11, SGUI1_34200.12, SGUI1_34200.5, SGUI1_34200.1, SGUI1_34200.3, SGUI1_34200.6, SGUI1_34200.7, SGUI1_34200.10, SGUI1_34200.8, SGUI1_34200.4, SGUI1_34200.9
OG0000320	EWB00_002513	SGUI1_20370.1
OG0000320	EWB00_006052	SGUI1_29350.1
OG0000320	EWB00_003791.1, EWB00_003791.2	SGUI1_55680.1
OG0000321	EWB00_001296.1, EWB00_001296.2	SGUI1_37270.1, SGUI1_37270.2
OG0000322	EWB00_003360	SGUI1_27570.9, SGUI1_27570.2, SGUI1_27570.3, SGUI1_27570.4, SGUI1_27570.7, SGUI1_27570.1, SGUI1_27570.5, SGUI1_27570.6, SGUI1_27570.8
OG0000323	EWB00_003324	SGUI1_1610.1, SGUI1_1610.2, SGUI1_1610.3, SGUI1_1610.4, SGUI1_1610.5, SGUI1_1610.6, SGUI1_1610.8, SGUI1_1610.7
OG0000324	EWB00_002977	SGUI1_49500.1, SGUI1_49500.2, SGUI1_49500.3, SGUI1_49500.4
OG0000325	EWB00_003497.1, EWB00_003497.2, EWB00_003497.3	SGUI1_81060.1
OG0000326	EWB00_003851.1, EWB00_003851.3, EWB00_003851.2	SGUI1_59900.6, SGUI1_59900.2, SGUI1_59900.4, SGUI1_59900.7, SGUI1_59900.5, SGUI1_59900.1, SGUI1_59900.3
OG0000327	EWB00_000974, EWB00_000972, EWB00_000973	SGUI1_70830.1, SGUI1_70830.2, SGUI1_70830.3, SGUI1_70830.5, SGUI1_70830.7, SGUI1_70830.4, SGUI1_70830.6, SGUI1_70830.8, SGUI1_70820.1
OG0000328	EWB00_003307.1, EWB00_003307.2, EWB00_003309, EWB00_003308	SGUI1_28190.1, SGUI1_28190.2, SGUI1_28190.4, SGUI1_28190.9, SGUI1_28190.3, SGUI1_28190.5, SGUI1_28190.7, SGUI1_28190.8, SGUI1_28190.6
OG0000329	EWB00_000879, EWB00_009351.1, EWB00_009351.3, EWB00_009351.2, EWB00_009351.4, EWB00_009351.5, EWB00_009351.7, EWB00_009351.6	SGUI1_14150.11, SGUI1_14150.12, SGUI1_14150.5, SGUI1_14150.1, SGUI1_14150.4, SGUI1_14150.10, SGUI1_14150.8, SGUI1_14150.7, SGUI1_14150.3, SGUI1_14150.9, SGUI1_14150.13, SGUI1_14150.6, SGUI1_14150.2
OG0000332	EWB00_004112, EWB00_004113	SGUI1_66510.1, SGUI1_66510.2, SGUI1_66510.8, SGUI1_66510.4, SGUI1_66510.3, SGUI1_66510.5, SGUI1_66510.7, SGUI1_66510.6
OG0000333	EWB00_008457	SGUI1_5920.1, SGUI1_5920.2, SGUI1_5920.3, SGUI1_5920.4, SGUI1_5920.5
OG0000334	EWB00_007243.1, EWB00_007243.2	SGUI1_74890.6, SGUI1_74890.3, SGUI1_74890.5, SGUI1_74890.1, SGUI1_74890.2, SGUI1_74890.4
OG0000334	EWB00_008221.1, EWB00_008221.2	SGUI1_74880.1
OG0000335	EWB00_007904.1, EWB00_007904.2	SGUI1_2450.1, SGUI1_2440.1
OG0000336	EWB00_000600	SGUI1_17510.3, SGUI1_17510.1, SGUI1_17510.4, SGUI1_17510.2
OG0000337	EWB00_005375.2, EWB00_005375.1	SGUI1_53780.2, SGUI1_53780.3, SGUI1_53780.5, SGUI1_53780.4, SGUI1_53780.6, SGUI1_53780.1
OG0000337	EWB00_004252.1, EWB00_004252.5, EWB00_004252.3, EWB00_004252.6, EWB00_004252.2, EWB00_004252.7, EWB00_004252.4, EWB00_004252.8	SGUI1_35710.1, SGUI1_35710.2
OG0000339	EWB00_006069.1, EWB00_006069.2	SGUI1_30310.1
OG0000340	EWB00_009968.1, EWB00_009968.4, EWB00_009968.6	SGUI1_96300.2
OG0000342	EWB00_001054.1, EWB00_001054.2	SGUI1_18510.1
OG0000342	EWB00_000866.3, EWB00_000866.1, EWB00_000866.2	SGUI1_4500.1
OG0000342	EWB00_000044.1, EWB00_000044.2	SGUI1_18760.1
OG0000343	EWB00_005957.3, EWB00_005957.1, EWB00_005957.2	SGUI1_32400.3, SGUI1_32400.2
OG0000344	EWB00_009241.1, EWB00_009241.3, EWB00_009241.2, EWB00_009241.4, EWB00_009241.5, EWB00_009241.6, EWB00_009241.7, EWB00_009241.8, EWB00_009241.9, EWB00_009241.10	SGUI1_5710.1
OG0000345	EWB00_002967.8, EWB00_002967.4, EWB00_002967.7, EWB00_002967.1, EWB00_002967.5, EWB00_002967.3, EWB00_002967.6, EWB00_002967.2	SGUI1_56670.6, SGUI1_56670.4, SGUI1_56670.5, SGUI1_56670.1, SGUI1_56670.2, SGUI1_56670.3
OG0000346	EWB00_007409	SGUI1_93200.1
OG0000347	EWB00_006075.1, EWB00_006075.3, EWB00_006075.2, EWB00_006074.1, EWB00_006074.2, EWB00_006074.3	SGUI1_30260.1
OG0000348	EWB00_006331	SGUI1_5310.1, SGUI1_5310.2, SGUI1_5310.3
OG0000349	EWB00_005661	SGUI1_850.7, SGUI1_850.5, SGUI1_850.4, SGUI1_850.2, SGUI1_850.3, SGUI1_850.1, SGUI1_850.6, SGUI1_850.8, SGUI1_850.9
OG0000350	EWB00_009542.3, EWB00_009542.1, EWB00_009542.2	SGUI1_38540.1, SGUI1_38540.2, SGUI1_38540.4, SGUI1_38540.3, SGUI1_38540.5, SGUI1_38540.6, SGUI1_38540.7
OG0000351	EWB00_004665	SGUI1_8580.1, SGUI1_8590.1
OG0000352	EWB00_008371.1, EWB00_008371.2	SGUI1_34920.10, SGUI1_34920.9, SGUI1_34920.2, SGUI1_34920.4, SGUI1_34920.7, SGUI1_34920.8, SGUI1_34920.5, SGUI1_34920.6, SGUI1_34920.3, SGUI1_34920.1
OG0000353	EWB00_000949	SGUI1_71160.6, SGUI1_71160.2, SGUI1_71160.5, SGUI1_71160.9, SGUI1_71160.3, SGUI1_71160.1, SGUI1_71160.4, SGUI1_71160.7, SGUI1_71160.8
OG0000354	EWB00_007574.1, EWB00_007574.2	SGUI1_2890.1
OG0000355	EWB00_004441.1, EWB00_004441.2	SGUI1_7330.1, SGUI1_7330.2
OG0000356	EWB00_005497.1, EWB00_005494, EWB00_005497.2, EWB00_005497.3, EWB00_005497.4	SGUI1_6430.1
OG0000357	EWB00_006405.2	SGUI1_42750.3, SGUI1_42750.4, SGUI1_42750.1, SGUI1_42750.2
OG0000358	EWB00_003642	SGUI1_65170.1, SGUI1_65160.1
OG0000359	EWB00_010287.3, EWB00_010287.1, EWB00_010287.2	SGUI1_15530.1
OG0000360	EWB00_010308.1, EWB00_010308.2	SGUI1_21000.1
OG0000361	EWB00_008734, EWB00_008735	SGUI1_49080.6, SGUI1_49080.4, SGUI1_49080.2, SGUI1_49080.3, SGUI1_49080.1, SGUI1_49080.7, SGUI1_49080.5
OG0000362	EWB00_007742	SGUI1_62730.5, SGUI1_62730.1, SGUI1_62730.6, SGUI1_62730.3, SGUI1_62730.2, SGUI1_62730.7, SGUI1_62730.4
OG0000363	EWB00_006373	SGUI1_43060.3, SGUI1_43060.5, SGUI1_43060.1, SGUI1_43060.6, SGUI1_43060.4, SGUI1_43060.2, SGUI1_43060.7
OG0000364	EWB00_000344	SGUI1_25790.1
OG0000365	EWB00_002237, EWB00_002238.1, EWB00_002238.2	SGUI1_58870.4, SGUI1_58870.5, SGUI1_58870.1, SGUI1_58870.2, SGUI1_58870.3, SGUI1_58880.1, SGUI1_58880.2
OG0000366	EWB00_002980	SGUI1_49470.1, SGUI1_49470.4, SGUI1_49470.5, SGUI1_49470.2, SGUI1_49470.3
OG0000367	EWB00_002905	SGUI1_31650.10, SGUI1_31650.9, SGUI1_31650.8, SGUI1_31650.7, SGUI1_31650.13, SGUI1_31650.6, SGUI1_31650.4, SGUI1_31650.5, SGUI1_31650.15, SGUI1_31650.14, SGUI1_31650.11, SGUI1_31650.12, SGUI1_31650.2, SGUI1_31650.1, SGUI1_31650.3
OG0000368	EWB00_001036	SGUI1_18700.5, SGUI1_18700.3, SGUI1_18700.1, SGUI1_18700.2, SGUI1_18700.4
OG0000369	EWB00_009078.1, EWB00_009078.2, EWB00_009078.3	SGUI1_3660.1
OG0000370	EWB00_004595.5, EWB00_004595.1, EWB00_004595.2, EWB00_004595.3, EWB00_004595.4	SGUI1_39660.1
OG0000371	EWB00_010143	SGUI1_38420.6, SGUI1_38420.5, SGUI1_38420.3, SGUI1_38420.2, SGUI1_38420.1, SGUI1_38420.4
OG0000372	EWB00_000802	SGUI1_9060.1
OG0000373	EWB00_004686.1, EWB00_004686.2	SGUI1_11940.1, SGUI1_11940.4, SGUI1_11940.3, SGUI1_11940.5, SGUI1_11940.6, SGUI1_11940.2
OG0000374	EWB00_004719	SGUI1_41530.6, SGUI1_41530.5, SGUI1_41530.8, SGUI1_41530.2, SGUI1_41530.3, SGUI1_41530.4, SGUI1_41530.1, SGUI1_41530.7
OG0000376	EWB00_000822	SGUI1_61070.5, SGUI1_61070.6, SGUI1_61070.1, SGUI1_61070.3, SGUI1_61070.4, SGUI1_61070.2
OG0000377	EWB00_007751	SGUI1_51970.2, SGUI1_51970.3, SGUI1_51970.4, SGUI1_51970.5, SGUI1_51970.1, SGUI1_51970.6, SGUI1_51970.7
OG0000378	EWB00_001092.1, EWB00_001092.3, EWB00_001092.2	SGUI1_24190.3, SGUI1_24190.2, SGUI1_24190.1
OG0000379	EWB00_006139	SGUI1_9400.1, SGUI1_12340.1, SGUI1_48900.1, SGUI1_84600.1, SGUI1_78740.1, SGUI1_13790.1, SGUI1_84080.1, SGUI1_77460.1, SGUI1_59490.1, SGUI1_59370.1, SGUI1_71330.1, SGUI1_3370.1, SGUI1_10820.1, SGUI1_32580.1, SGUI1_13770.1, SGUI1_82690.1, SGUI1_13780.1, SGUI1_62260.1, SGUI1_52320.1, SGUI1_85330.1
OG0000380	EWB00_010793, EWB00_010794	SGUI1_21240.1, SGUI1_21220.1
OG0000381	EWB00_010680.1, EWB00_010680.2, EWB00_010680.3, EWB00_010680.4	SGUI1_53280.1, SGUI1_53280.4, SGUI1_53280.5, SGUI1_53280.6
OG0000381	EWB00_010681	SGUI1_53290.1
OG0000382	EWB00_002068, EWB00_009778	SGUI1_90140.1
OG0000383	EWB00_003144.1, EWB00_003144.2	SGUI1_38000.1
OG0000384	EWB00_011218	SGUI1_31770.1, SGUI1_31730.1
OG0000385	EWB00_009179	SGUI1_62680.1
OG0000385	EWB00_009180	SGUI1_62690.1, SGUI1_62700.1
OG0000386	EWB00_006133.1, EWB00_006133.2	SGUI1_19700.1, SGUI1_19700.3, SGUI1_19700.4, SGUI1_19700.5, SGUI1_19700.6, SGUI1_19700.7, SGUI1_19700.2
OG0000387	EWB00_007580.1, EWB00_007580.2	SGUI1_2790.1
OG0000388	EWB00_001878.1, EWB00_001878.2, EWB00_001878.3	SGUI1_90490.5, SGUI1_90490.1, SGUI1_90490.4, SGUI1_90490.2, SGUI1_90490.3, SGUI1_90490.6
OG0000389	EWB00_009230	SGUI1_73870.2, SGUI1_73870.3, SGUI1_73870.9, SGUI1_73870.5, SGUI1_73870.1, SGUI1_73870.11, SGUI1_73870.10, SGUI1_73870.4, SGUI1_73870.7, SGUI1_73870.6, SGUI1_73870.8
OG0000390	EWB00_007282.3, EWB00_007282.1, EWB00_007282.2	SGUI1_83700.4, SGUI1_83700.5, SGUI1_83700.1, SGUI1_83700.2, SGUI1_83700.3, SGUI1_83700.6
OG0000391	EWB00_010131, EWB00_005064, EWB00_009419	SGUI1_13360.1, SGUI1_13370.1
OG0000392	EWB00_006590.1, EWB00_006590.3, EWB00_006590.4	SGUI1_62140.1
OG0000393	EWB00_004074.5, EWB00_004074.1, EWB00_004074.2, EWB00_004074.3, EWB00_004074.4	SGUI1_45540.1, SGUI1_45540.6, SGUI1_45540.2, SGUI1_45540.3, SGUI1_45540.4, SGUI1_45540.5
OG0000394	EWB00_011094.1, EWB00_011094.2, EWB00_011094.3	SGUI1_61540.6, SGUI1_61540.1, SGUI1_61540.2, SGUI1_61540.3, SGUI1_61540.4, SGUI1_61540.5, SGUI1_61540.7
OG0000395	EWB00_002277.1, EWB00_002277.2, EWB00_002277.3	SGUI1_79990.1
OG0000396	EWB00_004864.1, EWB00_004864.3, EWB00_004864.2	SGUI1_4260.1
OG0000397	EWB00_008188	SGUI1_79730.1, SGUI1_79730.2, SGUI1_79730.3, SGUI1_79730.4
OG0000398	EWB00_010315.1, EWB00_010315.2	SGUI1_20930.1
OG0000398	EWB00_005760, EWB00_005757	SGUI1_22190.1, SGUI1_22190.2, SGUI1_22160.1
OG0000399	EWB00_006965.1	SGUI1_27830.1, SGUI1_27830.3
OG0000399	EWB00_006965.3, EWB00_006965.4	SGUI1_27830.4
OG0000399	EWB00_006964	SGUI1_27820.1
OG0000400	EWB00_004734	SGUI1_45490.1
OG0000400	EWB00_001015.1, EWB00_001015.2	SGUI1_44650.1
OG0000401	EWB00_000575	SGUI1_95030.5, SGUI1_95030.2, SGUI1_95030.4, SGUI1_95030.3, SGUI1_95030.1, SGUI1_95030.6
OG0000402	EWB00_004189, EWB00_004190	SGUI1_10450.2, SGUI1_10450.6, SGUI1_10450.1, SGUI1_10450.3, SGUI1_10450.7, SGUI1_10450.4, SGUI1_10450.5
OG0000403	EWB00_010108, EWB00_007326	SGUI1_3190.1, SGUI1_3200.1, SGUI1_3200.2, SGUI1_3200.4, SGUI1_3200.5, SGUI1_3200.6, SGUI1_3200.7, SGUI1_3200.8, SGUI1_3200.3
OG0000404	EWB00_010184	SGUI1_84500.6, SGUI1_84500.9, SGUI1_84500.10, SGUI1_84500.11, SGUI1_84500.8, SGUI1_84500.1, SGUI1_84500.7, SGUI1_84500.3, SGUI1_84500.2, SGUI1_84500.4, SGUI1_84500.5, SGUI1_81510.3, SGUI1_81510.5, SGUI1_81510.4, SGUI1_81510.2, SGUI1_81510.1, SGUI1_81500.1, SGUI1_81500.2
OG0000405	EWB00_007704	SGUI1_37640.1, SGUI1_37640.6, SGUI1_37640.7, SGUI1_37640.3, SGUI1_37640.5, SGUI1_37640.2, SGUI1_37640.4
OG0000406	EWB00_009549	SGUI1_38490.1, SGUI1_38490.2
OG0000407	EWB00_007739.3, EWB00_007739.1, EWB00_007739.2	SGUI1_62760.2, SGUI1_62760.4, SGUI1_62760.6, SGUI1_62760.1, SGUI1_62760.8, SGUI1_62760.7, SGUI1_62760.5, SGUI1_62760.3
OG0000408	EWB00_005048.1, EWB00_005048.2, EWB00_005048.5, EWB00_005048.3, EWB00_005048.4	SGUI1_26320.8, SGUI1_26320.1, SGUI1_26320.2, SGUI1_26320.5, SGUI1_26320.6, SGUI1_26320.7, SGUI1_26320.3, SGUI1_26320.4
OG0000409	EWB00_008991	SGUI1_88530.12, SGUI1_88530.6, SGUI1_88530.4, SGUI1_88530.9, SGUI1_88530.1, SGUI1_88530.10, SGUI1_88530.5, SGUI1_88530.8, SGUI1_88530.2, SGUI1_88530.7, SGUI1_88530.11, SGUI1_88530.3
OG0000410	EWB00_010063, EWB00_007265	SGUI1_69420.1
OG0000411	EWB00_000669	SGUI1_26920.7, SGUI1_26920.4, SGUI1_26920.1, SGUI1_26920.2, SGUI1_26920.3, SGUI1_26920.6, SGUI1_26920.5
OG0000412	EWB00_002751.1, EWB00_002751.2	SGUI1_72450.3, SGUI1_72450.1, SGUI1_72450.2, SGUI1_72450.4
OG0000413	EWB00_011342, EWB00_011343	SGUI1_61390.1
OG0000414	EWB00_004672.1, EWB00_004672.2, EWB00_004672.3	SGUI1_9960.1
OG0000415	EWB00_002898.1, EWB00_002898.4, EWB00_002898.2, EWB00_002898.3, EWB00_002898.5, EWB00_002898.6	SGUI1_30570.1
OG0000416	EWB00_007510.4	SGUI1_87880.1
OG0000416	EWB00_006715.1, EWB00_006715.2	SGUI1_91730.1
OG0000416	EWB00_007511.1, EWB00_007511.2, EWB00_007511.3	SGUI1_87870.1
OG0000417	EWB00_006824	SGUI1_52310.2, SGUI1_52310.5, SGUI1_52310.4, SGUI1_52310.1, SGUI1_52310.3
OG0000418	EWB00_008940.1, EWB00_008940.2, EWB00_008940.3	SGUI1_94690.4, SGUI1_94690.1, SGUI1_94690.3, SGUI1_94690.2
OG0000419	EWB00_010845	SGUI1_5750.1, SGUI1_5750.2, SGUI1_5750.4, SGUI1_5750.3
OG0000420	EWB00_004042	SGUI1_45640.3, SGUI1_45640.5, SGUI1_45640.6, SGUI1_45640.9, SGUI1_45640.1, SGUI1_45640.8, SGUI1_45640.2, SGUI1_45640.4, SGUI1_45640.10, SGUI1_45640.7
OG0000421	EWB00_005791.5, EWB00_005791.2, EWB00_005791.1, EWB00_005791.6, EWB00_005791.3, EWB00_005791.4, EWB00_005791.7	SGUI1_67680.1
OG0000422	EWB00_005355.3, EWB00_005355.4, EWB00_005355.6, EWB00_005355.1, EWB00_005355.7, EWB00_005355.2, EWB00_005355.5	SGUI1_50010.13, SGUI1_50160.1, SGUI1_50010.8
OG0000423	EWB00_004922, EWB00_003163, EWB00_003165, EWB00_003168, EWB00_003166	SGUI1_37820.1, SGUI1_37820.2
OG0000425	EWB00_007944.2, EWB00_007944.3, EWB00_007944.1	SGUI1_29240.1, SGUI1_29240.2
OG0000426	EWB00_002147	SGUI1_54640.1, SGUI1_54650.1, SGUI1_54660.1
OG0000427	EWB00_010690.1, EWB00_010690.2	SGUI1_53380.5, SGUI1_53380.1, SGUI1_53380.2, SGUI1_53380.3, SGUI1_53380.4, SGUI1_53390.2, SGUI1_53390.1
OG0000428	EWB00_003239.1, EWB00_003239.2	SGUI1_42120.6, SGUI1_42120.7, SGUI1_42120.4, SGUI1_42120.5, SGUI1_42120.8, SGUI1_42120.3, SGUI1_42120.1, SGUI1_42120.2
OG0000429	EWB00_002245, EWB00_002244	SGUI1_93270.1
OG0000429	EWB00_008214	SGUI1_45100.1
OG0000430	EWB00_003415	SGUI1_32100.9, SGUI1_32100.8, SGUI1_32100.3, SGUI1_32100.5, SGUI1_32100.6, SGUI1_32100.1, SGUI1_32100.4, SGUI1_32100.2, SGUI1_32100.7
OG0000431	EWB00_008732.1, EWB00_008732.2	SGUI1_49060.3, SGUI1_49060.5, SGUI1_49060.1, SGUI1_49060.2, SGUI1_49060.4
OG0000432	EWB00_004758	SGUI1_94350.1
OG0000433	EWB00_003929.2, EWB00_003929.1, EWB00_003929.3	SGUI1_40170.1
OG0000434	EWB00_005877	SGUI1_93870.1
OG0000435	EWB00_009645, EWB00_004584, EWB00_003007, EWB00_009646, EWB00_009651, EWB00_010296	SGUI1_54900.1
OG0000436	EWB00_000282.1, EWB00_000282.2	SGUI1_25340.5, SGUI1_25340.1, SGUI1_25340.3, SGUI1_25340.2, SGUI1_25340.4
OG0000437	EWB00_007320.2, EWB00_007320.1, EWB00_007320.3	SGUI1_3110.1, SGUI1_3110.2
OG0000438	EWB00_010404	SGUI1_64000.1
OG0000439	EWB00_007287.1, EWB00_007287.2	SGUI1_84880.4, SGUI1_84880.7, SGUI1_84880.8, SGUI1_84880.3, SGUI1_84880.1, SGUI1_84880.6, SGUI1_84880.2, SGUI1_84880.5
OG0000440	EWB00_011409	SGUI1_91380.1, SGUI1_91380.2, SGUI1_91370.1, SGUI1_91360.1
OG0000441	EWB00_009358.1, EWB00_009358.2	SGUI1_14200.2, SGUI1_14200.1, SGUI1_14200.3
OG0000442	EWB00_004296.1, EWB00_004296.2, EWB00_004296.3	SGUI1_36130.1
OG0000443	EWB00_002041	SGUI1_5390.5, SGUI1_5390.1, SGUI1_5390.2, SGUI1_5390.4, SGUI1_5390.3
OG0000444	EWB00_006083, EWB00_008676	SGUI1_71520.1
OG0000445	EWB00_010477.3, EWB00_010477.1, EWB00_010477.2	SGUI1_66020.1
OG0000446	EWB00_009918	SGUI1_8350.1, SGUI1_8390.1
OG0000447	EWB00_005165	SGUI1_57360.1
OG0000448	EWB00_004614.4, EWB00_004614.6, EWB00_004614.8	SGUI1_31220.4, SGUI1_31220.1, SGUI1_31220.2
OG0000449	EWB00_008853	SGUI1_58000.3, SGUI1_58000.4, SGUI1_58000.1, SGUI1_58000.5, SGUI1_58000.7, SGUI1_58000.6, SGUI1_58000.2, SGUI1_58000.8
OG0000450	EWB00_001128.4, EWB00_001128.3, EWB00_001128.1, EWB00_001128.2	SGUI1_24520.1, SGUI1_24520.6, SGUI1_24520.5, SGUI1_24520.2, SGUI1_24520.3, SGUI1_24520.4
OG0000451	EWB00_005055	SGUI1_88120.1
OG0000452	EWB00_006169	SGUI1_39360.1
OG0000453	EWB00_009174.3, EWB00_009174.1, EWB00_009174.2	SGUI1_62630.8, SGUI1_62630.6, SGUI1_62630.2, SGUI1_62630.3, SGUI1_62630.4, SGUI1_62630.1, SGUI1_62630.5, SGUI1_62630.7
OG0000454	EWB00_009448.1, EWB00_009448.2, EWB00_009449	SGUI1_84380.1, SGUI1_84390.1
OG0000454	EWB00_002766	SGUI1_72310.1
OG0000455	EWB00_007676.2, EWB00_007676.1, EWB00_007676.3	SGUI1_11520.2, SGUI1_11520.1, SGUI1_11520.4, SGUI1_11520.3
OG0000456	EWB00_006086	SGUI1_71320.6, SGUI1_71320.2, SGUI1_71320.1, SGUI1_71320.5, SGUI1_71320.3, SGUI1_71320.4
OG0000457	EWB00_003299.1, EWB00_003299.2	SGUI1_28290.4, SGUI1_28290.2, SGUI1_28290.3, SGUI1_28290.5, SGUI1_28290.9, SGUI1_28290.6, SGUI1_28290.1, SGUI1_28290.7, SGUI1_28290.8
OG0000458	EWB00_005936	SGUI1_34120.12, SGUI1_34120.10, SGUI1_34120.5, SGUI1_34120.6, SGUI1_34120.4, SGUI1_34120.1, SGUI1_34120.13, SGUI1_34120.8, SGUI1_34120.9, SGUI1_34120.2, SGUI1_34120.3, SGUI1_34120.11, SGUI1_34120.7
OG0000459	EWB00_000897.5, EWB00_000897.1, EWB00_000897.2, EWB00_000897.3, EWB00_000897.4, EWB00_000897.6	SGUI1_8770.1
OG0000460	EWB00_007690	SGUI1_11700.1, SGUI1_11700.2, SGUI1_11700.3, SGUI1_11700.4, SGUI1_11700.5, SGUI1_11700.6, SGUI1_11700.7, SGUI1_11700.8
