Orthogroup	schistosoma_japonicum	opisthorchis_viverrini
OG0001123	EWB00_005079	T265_01870
OG0001124	EWB00_004927.2, EWB00_004927.3, EWB00_004927.4, EWB00_004927.5, EWB00_004927.7, EWB00_004927.8, EWB00_004927.1, EWB00_004927.6, EWB00_004927.9	T265_12781
OG0001125	EWB00_002307.1, EWB00_002307.2, EWB00_002309, EWB00_002308	T265_05778
OG0001129	EWB00_009126	T265_03641
OG0001130	EWB00_008952	T265_02467
OG0001131	EWB00_011067, EWB00_010938, EWB00_010102, EWB00_011237	T265_08223
OG0001132	EWB00_004513.1, EWB00_004513.2	T265_02407
OG0001133	EWB00_003879.1, EWB00_003879.2, EWB00_003879.3, EWB00_006647.1, EWB00_006647.2	T265_03046
OG0001133	EWB00_003100.1, EWB00_003100.2	T265_14376, T265_07758, T265_14375
OG0001134	EWB00_010505	T265_10110
OG0001135	EWB00_007857	T265_08862
OG0001136	EWB00_007074	T265_05385
OG0001137	EWB00_005385	T265_00383
OG0001138	EWB00_002488.3, EWB00_002488.5, EWB00_002488.4, EWB00_002488.2, EWB00_002488.1	T265_10030
OG0001139	EWB00_001288	T265_13523
OG0001140	EWB00_004038.3, EWB00_004038.1, EWB00_004038.2, EWB00_004038.4	T265_04041
OG0001141	EWB00_008236, EWB00_010581	T265_05904
OG0001142	EWB00_010000, EWB00_009996, EWB00_009998	T265_08036
OG0001143	EWB00_000397.1, EWB00_000397.2, EWB00_000397.3	T265_00671
OG0001144	EWB00_004285	T265_07617
OG0001145	EWB00_010489	T265_00186
OG0001146	EWB00_004856.1, EWB00_004856.2	T265_06313
OG0001147	EWB00_002095	T265_07177
OG0001149	EWB00_007400	T265_05953
OG0001150	EWB00_003549.3, EWB00_003549.1, EWB00_003549.2, EWB00_003549.4	T265_00437
OG0001151	EWB00_001919.1, EWB00_001919.2	T265_15472, T265_13441
OG0001153	EWB00_010070.3, EWB00_010070.4, EWB00_010070.1, EWB00_010070.2, EWB00_010070.5	T265_01176
OG0001154	EWB00_000030, EWB00_000029	T265_04740
OG0001155	EWB00_010700	T265_04064
OG0001156	EWB00_008591	T265_06433
OG0001157	EWB00_000400.1, EWB00_000400.2, EWB00_000400.4, EWB00_000400.3	T265_14481
OG0001158	EWB00_002800	T265_06397
OG0001159	EWB00_006018, EWB00_004960	T265_09195
OG0001161	EWB00_008928, EWB00_010476.1, EWB00_010476.2, EWB00_010476.3	T265_00653, T265_08935, T265_08936, T265_13517
OG0001162	EWB00_006864.3, EWB00_006864.4, EWB00_006864.1, EWB00_006864.2	T265_04454
OG0001163	EWB00_002010	T265_07853
OG0001164	EWB00_006769.1, EWB00_006769.3, EWB00_006769.2	T265_12833
OG0001165	EWB00_011222.1, EWB00_011222.2	T265_08213
OG0001166	EWB00_011074	T265_05263, T265_09404
OG0001167	EWB00_006863	T265_08105
OG0001168	EWB00_007693	T265_15277
OG0001169	EWB00_005343	T265_08843, T265_16294
OG0001170	EWB00_004194	T265_01846
OG0001171	EWB00_004815.1, EWB00_004815.3, EWB00_004815.4, EWB00_004815.5, EWB00_004815.2	T265_10087, T265_11342
OG0001172	EWB00_011304.3, EWB00_011304.1, EWB00_011304.4, EWB00_011304.2	T265_08932, T265_15849
OG0001173	EWB00_003842	T265_14048, T265_14047
OG0001175	EWB00_003539.1, EWB00_003539.2	T265_01290
OG0001176	EWB00_004549.3, EWB00_004549.1, EWB00_004549.2	T265_00168
OG0001177	EWB00_001130.1, EWB00_001130.2	T265_09629
OG0001178	EWB00_007871, EWB00_007868, EWB00_007870	T265_13363
OG0001179	EWB00_008433.1, EWB00_008433.3, EWB00_008433.2, EWB00_008433.4, EWB00_008433.5	T265_05221
OG0001180	EWB00_009514, EWB00_002566	T265_13220
OG0001181	EWB00_011225.1, EWB00_011225.3, EWB00_011225.4, EWB00_011225.2	T265_11423
OG0001183	EWB00_011081.1, EWB00_011081.2	T265_02454
OG0001184	EWB00_000876	T265_00213
OG0001186	EWB00_006349	T265_12678
OG0001187	EWB00_004626.1, EWB00_004626.2	T265_02980
OG0001188	EWB00_004444, EWB00_005813, EWB00_004077	T265_15159
OG0001189	EWB00_004208	T265_00193
OG0001190	EWB00_004289.1, EWB00_004289.2, EWB00_004289.3	T265_11824
OG0001191	EWB00_007772.1, EWB00_007772.2, EWB00_007772.3, EWB00_007772.4, EWB00_007772.5, EWB00_007772.6	T265_07275
OG0001192	EWB00_006404.1, EWB00_006404.2, EWB00_006404.3	T265_07070
OG0001193	EWB00_008292.2, EWB00_008292.1, EWB00_008292.3	T265_15398, T265_11656, T265_03245, T265_13788
OG0001194	EWB00_009245.1, EWB00_009245.2	T265_06139, T265_06140
OG0001197	EWB00_005828.1, EWB00_005828.2	T265_11253
OG0001202	EWB00_002669.3, EWB00_002669.1, EWB00_002669.2, EWB00_002669.4, EWB00_002669.5	T265_05149
OG0001203	EWB00_005655	T265_05114
OG0001203	EWB00_006758	T265_07810
OG0001204	EWB00_009801	T265_10589
OG0001205	EWB00_004310.1, EWB00_004310.2, EWB00_004310.3	T265_10082
OG0001207	EWB00_002323.1, EWB00_002323.2, EWB00_002323.3	T265_11953
OG0001208	EWB00_003148, EWB00_003150	T265_11311
OG0001209	EWB00_008086	T265_08686
OG0001210	EWB00_000580.2, EWB00_000580.1, EWB00_000580.3, EWB00_000580.4	T265_04627
OG0001211	EWB00_006527.4, EWB00_006527.1, EWB00_006527.2, EWB00_006527.3	T265_10916
OG0001212	EWB00_001093	T265_05206
OG0001213	EWB00_008528	T265_03062
OG0001214	EWB00_003313.1, EWB00_003313.2, EWB00_003313.3, EWB00_003313.4	T265_01374
OG0001215	EWB00_010425.1, EWB00_010425.2, EWB00_010425.3, EWB00_010425.4	T265_09785
OG0001216	EWB00_005026.4, EWB00_005026.2, EWB00_005026.1, EWB00_005026.3	T265_01025
OG0001217	EWB00_006632.3, EWB00_006632.1, EWB00_006632.2	T265_15227
OG0001218	EWB00_010561, EWB00_007683.1, EWB00_007683.3, EWB00_007683.2	T265_03088
OG0001219	EWB00_008004.1, EWB00_008004.2	T265_06431
OG0001220	EWB00_001424	T265_12016, T265_12232
OG0001221	EWB00_007723.1, EWB00_007723.2	T265_15143
OG0001222	EWB00_008570.6, EWB00_008570.4, EWB00_008570.5, EWB00_008570.1, EWB00_008570.3, EWB00_008570.2	T265_02622
OG0001223	EWB00_005965	T265_00721
OG0001224	EWB00_003782.1, EWB00_003782.2	T265_14840
OG0001225	EWB00_005264	T265_15456
OG0001226	EWB00_000188	T265_12558
OG0001227	EWB00_004021.3, EWB00_004021.4, EWB00_004021.1, EWB00_004021.2	T265_08672
OG0001229	EWB00_006070	T265_13483
OG0001230	EWB00_007647.2, EWB00_007647.3, EWB00_007647.1, EWB00_007647.4	T265_06173
OG0001231	EWB00_006158.9, EWB00_006158.1, EWB00_006158.4, EWB00_006158.7, EWB00_006158.2, EWB00_006158.5, EWB00_006158.3, EWB00_006158.6, EWB00_006158.8	T265_11984
OG0001232	EWB00_006765.1, EWB00_006765.2	T265_02414, T265_08762, T265_14855
OG0001233	EWB00_010835.1, EWB00_010835.2, EWB00_010835.7, EWB00_010835.5, EWB00_010835.3, EWB00_010835.6, EWB00_010835.4, EWB00_010835.9, EWB00_010835.10, EWB00_010835.8	T265_12818
OG0001234	EWB00_004896.5, EWB00_004896.2, EWB00_004896.3, EWB00_004896.1, EWB00_004896.4	T265_09478
OG0001235	EWB00_003285, EWB00_003283	T265_03531
OG0001236	EWB00_009224, EWB00_009223	T265_13174
OG0001237	EWB00_005036.3, EWB00_005036.1, EWB00_005036.2, EWB00_005042.2, EWB00_005042.1, EWB00_005042.3	T265_13308
OG0001238	EWB00_002187.3, EWB00_002187.1, EWB00_002187.2	T265_01675
OG0001239	EWB00_007685	T265_03082
OG0001240	EWB00_007766.1, EWB00_007766.2	T265_08224
OG0001241	EWB00_003870	T265_00540
OG0001241	EWB00_008223	T265_00343
OG0001242	EWB00_007827	T265_00140, T265_06857
OG0001244	EWB00_001945	T265_13277
OG0001245	EWB00_008323	T265_14234
OG0001246	EWB00_002955.1, EWB00_002955.3, EWB00_002955.4, EWB00_002955.2	T265_02606
OG0001247	EWB00_001283.3, EWB00_001283.4, EWB00_001283.1, EWB00_001283.2	T265_04001
OG0001248	EWB00_006329.3, EWB00_006329.1, EWB00_006329.2	T265_13129
OG0001249	EWB00_004277	T265_06475
OG0001250	EWB00_004654.2, EWB00_004654.4, EWB00_004654.3, EWB00_004654.1, EWB00_004653	T265_08176
OG0001251	EWB00_001412.1, EWB00_001412.2	T265_12979
OG0001252	EWB00_009341.3, EWB00_009341.2, EWB00_009341.1	T265_02686
OG0001253	EWB00_000765.3, EWB00_000765.1, EWB00_000765.2	T265_13874
OG0001254	EWB00_005971, EWB00_005970	T265_11321
OG0001255	EWB00_000639.1, EWB00_000639.2	T265_13521
OG0001256	EWB00_010707	T265_02816
OG0001257	EWB00_005008.1, EWB00_005008.2	T265_11892, T265_16136
OG0001258	EWB00_007264	T265_13130
OG0001259	EWB00_003857	T265_09345, T265_09949, T265_09950
OG0001260	EWB00_005642.1, EWB00_005642.2	T265_14449, T265_07985, T265_15945
OG0001261	EWB00_004737	T265_14931
OG0001262	EWB00_008791	T265_09952
OG0001263	EWB00_001923.1, EWB00_001923.2, EWB00_001920	T265_04153
OG0001264	EWB00_006491.1, EWB00_006491.2	T265_03602
OG0001265	EWB00_011339	T265_14950
OG0001266	EWB00_000975.2, EWB00_000975.1, EWB00_000975.3	T265_01368
OG0001267	EWB00_010689.1, EWB00_010689.2	T265_02946
OG0001268	EWB00_000426	T265_10920
OG0001269	EWB00_007070.1, EWB00_007070.3, EWB00_007070.2	T265_04251
OG0001270	EWB00_001976	T265_15549
OG0001271	EWB00_000909	T265_01405
OG0001272	EWB00_007476.1, EWB00_007476.2	T265_09223
OG0001273	EWB00_003439.1, EWB00_003439.2	T265_12104
OG0001275	EWB00_002146.1, EWB00_002146.2, EWB00_002146.3	T265_07335, T265_10840, T265_11809
OG0001276	EWB00_004707.1, EWB00_004707.2, EWB00_004707.3	T265_00611
OG0001277	EWB00_007325.1, EWB00_007325.2	T265_00220
OG0001278	EWB00_000340.1, EWB00_000340.2, EWB00_000340.3	T265_01837
OG0001281	EWB00_001210, EWB00_001209, EWB00_001211	T265_03870, T265_13351
OG0001288	EWB00_009423.1, EWB00_009423.2, EWB00_009423.3	T265_04400
OG0001289	EWB00_006051.1, EWB00_006051.2, EWB00_006051.3	T265_07802
OG0001290	EWB00_006343	T265_06266
OG0001291	EWB00_007770	T265_02085
OG0001292	EWB00_007784.1, EWB00_007784.2	T265_15256
OG0001293	EWB00_003795	T265_08598, T265_02864
OG0001294	EWB00_007854.1, EWB00_007854.3, EWB00_007854.2	T265_10701, T265_16370
OG0001295	EWB00_008156.4, EWB00_008156.1, EWB00_008156.5, EWB00_008156.6, EWB00_008156.3, EWB00_008156.2	T265_09730
OG0001296	EWB00_008597	T265_08476
OG0001297	EWB00_003697	T265_04571
OG0001298	EWB00_004298.2, EWB00_004298.3, EWB00_004298.1	T265_07619
OG0001300	EWB00_009240	T265_08424
OG0001301	EWB00_002152.1, EWB00_002152.2, EWB00_002152.3, EWB00_002152.4	T265_00039
OG0001302	EWB00_007901.1, EWB00_007901.2, EWB00_007901.3	T265_12500
OG0001303	EWB00_008157.2, EWB00_008157.1	T265_10770
OG0001304	EWB00_004457.2, EWB00_004457.1, EWB00_004457.3, EWB00_004457.4	T265_03829
OG0001305	EWB00_005639	T265_07987
OG0001306	EWB00_011148	T265_00541
OG0001307	EWB00_008828.1, EWB00_008828.2, EWB00_008828.3, EWB00_008828.5, EWB00_008828.6, EWB00_008828.4	T265_01195
OG0001307	EWB00_008823.3, EWB00_008823.1, EWB00_008823.2	T265_01660
OG0001309	EWB00_011058.1, EWB00_011058.2	T265_13784
OG0001310	EWB00_010881.1, EWB00_010881.2	T265_05987
OG0001311	EWB00_004898	T265_11912
OG0001312	EWB00_002585.1, EWB00_002585.3, EWB00_002585.4, EWB00_002585.2	T265_09660, T265_12061
OG0001313	EWB00_008761	T265_13569, T265_16167
OG0001315	EWB00_002581	T265_13138
OG0001316	EWB00_008370	T265_04509
OG0001317	EWB00_002314.1, EWB00_002314.2, EWB00_002314.3, EWB00_002314.4, EWB00_002314.5	T265_09060
OG0001318	EWB00_010224	T265_13991
OG0001319	EWB00_006154.1, EWB00_006154.2	T265_06528
OG0001320	EWB00_008863	T265_08464
OG0001321	EWB00_008520, EWB00_008521	T265_00915
OG0001322	EWB00_010777	T265_03302
OG0001323	EWB00_005668	T265_12486
OG0001324	EWB00_008054.1, EWB00_008054.2	T265_14768
OG0001325	EWB00_003691, EWB00_005835	T265_13829
OG0001326	EWB00_006474.2, EWB00_006474.3, EWB00_006474.5, EWB00_006474.1, EWB00_006474.4	T265_12747
OG0001327	EWB00_011417	T265_04765
OG0001330	EWB00_004141.1, EWB00_004141.2	T265_02990
OG0001331	EWB00_010728.1, EWB00_010728.2	T265_13007
OG0001332	EWB00_000493.3, EWB00_000493.4, EWB00_000493.2, EWB00_000493.1	T265_10139
OG0001332	EWB00_002767	T265_00767
OG0001333	EWB00_008908	T265_03325
OG0001334	EWB00_005632.1, EWB00_005632.2, EWB00_005632.3	T265_06833
OG0001335	EWB00_010111	T265_08232
OG0001336	EWB00_004039	T265_08608, T265_14629
OG0001338	EWB00_005602	T265_14448
OG0001339	EWB00_009385	T265_15348
OG0001340	EWB00_009670, EWB00_009671	T265_10344
OG0001341	EWB00_003889	T265_12020
OG0001342	EWB00_010648.1, EWB00_010648.2	T265_14230
OG0001343	EWB00_002765.2, EWB00_002765.3, EWB00_002765.1	T265_13062
OG0001344	EWB00_009004	T265_10971
OG0001345	EWB00_002797	T265_01513
OG0001346	EWB00_009374.1, EWB00_009374.2, EWB00_009373	T265_14870
OG0001347	EWB00_001746.1, EWB00_001746.2, EWB00_001746.3	T265_13036
OG0001348	EWB00_004267.1, EWB00_004267.2	T265_01495
OG0001350	EWB00_007465	T265_14606
OG0001351	EWB00_007066.1, EWB00_007066.2	T265_13461
OG0001352	EWB00_007051.1, EWB00_007051.2	T265_05586
OG0001353	EWB00_005902.1, EWB00_005902.2, EWB00_005902.3	T265_04201
OG0001354	EWB00_009879.1, EWB00_009879.2	T265_07793
OG0001355	EWB00_003862.3, EWB00_003862.1, EWB00_003862.2	T265_14810, T265_10683
OG0001356	EWB00_002725	T265_02268, T265_01960
OG0001357	EWB00_006165	T265_02597, T265_15181
OG0001361	EWB00_003304	T265_09022
OG0001362	EWB00_002884.1, EWB00_002884.2	T265_07497
OG0001363	EWB00_001426.2, EWB00_001426.1	T265_13550
OG0001364	EWB00_001353	T265_11114
OG0001365	EWB00_007381	T265_06976, T265_16366
OG0001366	EWB00_005408.1, EWB00_005408.2	T265_09080
OG0001367	EWB00_004799.3, EWB00_004799.1, EWB00_004799.2	T265_06622
OG0001368	EWB00_006451.3, EWB00_006451.4, EWB00_006451.1, EWB00_006451.2	T265_00192
OG0001369	EWB00_011378.1, EWB00_011378.2, EWB00_011378.3	T265_01904, T265_15996
OG0001370	EWB00_002230, EWB00_002234	T265_14639
OG0001371	EWB00_004314.2, EWB00_004314.4, EWB00_004314.5, EWB00_004314.3, EWB00_004314.1	T265_04340
OG0001372	EWB00_001272, EWB00_005599.1, EWB00_005599.4, EWB00_001273, EWB00_005599.3, EWB00_005599.2	T265_07978, T265_16138
OG0001373	EWB00_001922, EWB00_007903.2, EWB00_007903.1, EWB00_007903.3	T265_00255
OG0001374	EWB00_011328	T265_12908
OG0001376	EWB00_009961, EWB00_004930.1, EWB00_004930.2	T265_03803
OG0001377	EWB00_009170	T265_11911
OG0001378	EWB00_007333.5, EWB00_007333.3, EWB00_007333.4, EWB00_007333.1, EWB00_007333.2, EWB00_007333.6	T265_12257
OG0001379	EWB00_008653	T265_00091
OG0001380	EWB00_000503.1, EWB00_000503.2	T265_12561
OG0001381	EWB00_004538	T265_12544, T265_00449
OG0001383	EWB00_009013, EWB00_009014	T265_11947
OG0001384	EWB00_009445.3, EWB00_009445.4, EWB00_009445.2, EWB00_009445.1	T265_09759
OG0001385	EWB00_001547	T265_01081
OG0001386	EWB00_004901, EWB00_004900	T265_07152
OG0001387	EWB00_008055	T265_14769
OG0001388	EWB00_009408	T265_14723, T265_14724
OG0001389	EWB00_000171	T265_12521
OG0001390	EWB00_004599	T265_02614
OG0001391	EWB00_003387.2, EWB00_003387.3, EWB00_003387.1	T265_01912
OG0001392	EWB00_007691	T265_10877
OG0001393	EWB00_003130, EWB00_003131	T265_06210, T265_06211
OG0001394	EWB00_010972.1, EWB00_010972.2	T265_00453
OG0001395	EWB00_000296.4, EWB00_000296.1, EWB00_000296.2, EWB00_000296.3	T265_05397
OG0001396	EWB00_010769	T265_04051
OG0001397	EWB00_007740	T265_05166
OG0001398	EWB00_009382.5, EWB00_009382.2, EWB00_009382.3, EWB00_009382.4, EWB00_009382.1	T265_14744
OG0001399	EWB00_008572	T265_07384
OG0001400	EWB00_000847	T265_13928
OG0001401	EWB00_008415, EWB00_008414	T265_02697
OG0001402	EWB00_005115.1, EWB00_005115.2, EWB00_005115.3, EWB00_005115.6, EWB00_005115.4, EWB00_005115.5	T265_07539, T265_03846
OG0001403	EWB00_002225	T265_11145
OG0001404	EWB00_010350.1, EWB00_010350.2	T265_08776
OG0001405	EWB00_002914	T265_06509, T265_12170
OG0001406	EWB00_009121.2, EWB00_009121.3, EWB00_009121.4, EWB00_009121.5, EWB00_009121.1, EWB00_009121.7, EWB00_009121.6	T265_02953
OG0001408	EWB00_006991, EWB00_006989.1, EWB00_006989.2, EWB00_006989.3	T265_01105
OG0001410	EWB00_008363.1, EWB00_008363.2, EWB00_008362.3, EWB00_008362.1, EWB00_008362.2	T265_01911
OG0001411	EWB00_003306.1, EWB00_003306.2, EWB00_003306.3	T265_09016
OG0001412	EWB00_003296.1, EWB00_003296.2	T265_15135, T265_15134
OG0001413	EWB00_003030.1, EWB00_003030.2	T265_15458
OG0001414	EWB00_004848, EWB00_004849, EWB00_004847	T265_06660
OG0001415	EWB00_004624	T265_12583
OG0001416	EWB00_009367.2, EWB00_009367.1	T265_15557
OG0001417	EWB00_000686.1, EWB00_000686.2	T265_01847
OG0001418	EWB00_010214.2, EWB00_010214.1, EWB00_010214.3, EWB00_010214.4, EWB00_010214.5	T265_05264
OG0001420	EWB00_001481.1, EWB00_001481.2, EWB00_001481.3	T265_16318
OG0001421	EWB00_004354	T265_06472
OG0001422	EWB00_001374.1, EWB00_001374.2	T265_11255
OG0001423	EWB00_003255	T265_04431
OG0001424	EWB00_005772.2, EWB00_005772.5, EWB00_005772.1, EWB00_005772.6, EWB00_005772.3, EWB00_005772.4	T265_03034
OG0001425	EWB00_000266.1, EWB00_000266.2, EWB00_000266.3, EWB00_000266.4	T265_07510
OG0001426	EWB00_011239.2, EWB00_011239.1, EWB00_011239.3	T265_14581
OG0001427	EWB00_004103	T265_05041
OG0001428	EWB00_004240	T265_02928
OG0001429	EWB00_010670.1, EWB00_010670.2	T265_12422
OG0001431	EWB00_010501.6, EWB00_010501.4, EWB00_010501.5, EWB00_010501.1, EWB00_010501.3, EWB00_010501.2	T265_01123
OG0001432	EWB00_002429.1, EWB00_002429.2	T265_10509
OG0001433	EWB00_006443	T265_15424
OG0001434	EWB00_003352, EWB00_003353	T265_04812
OG0001435	EWB00_001419, EWB00_001418	T265_14120
OG0001436	EWB00_004555.1, EWB00_004555.2, EWB00_004555.3, EWB00_004555.4	T265_10576
OG0001437	EWB00_004750.1, EWB00_004750.2, EWB00_005353, EWB00_002165	T265_12582
OG0001438	EWB00_001046.1, EWB00_001046.3, EWB00_001046.2	T265_03681
OG0001439	EWB00_007162.1, EWB00_007162.2	T265_02218
OG0001440	EWB00_001292	T265_02878
OG0001441	EWB00_001887.1, EWB00_001887.2, EWB00_001887.3, EWB00_001887.4, EWB00_001887.5, EWB00_001891.4, EWB00_001891.6, EWB00_001891.2, EWB00_001891.3, EWB00_001891.5, EWB00_001891.1	T265_07339
OG0001443	EWB00_008501.2, EWB00_008501.1, EWB00_008501.4, EWB00_008501.3	T265_09543
OG0001444	EWB00_004974.1, EWB00_004974.3, EWB00_004974.2, EWB00_004974.4	T265_13620
OG0001445	EWB00_003448.1, EWB00_003448.2	T265_09117
OG0001454	EWB00_008794.3, EWB00_008794.1, EWB00_008794.2, EWB00_008794.4, EWB00_008794.5	T265_02228
OG0001455	EWB00_006672	T265_11649
OG0001456	EWB00_009329.2, EWB00_009329.4, EWB00_009329.1, EWB00_009329.3	T265_05111
OG0001457	EWB00_006287	T265_04536
OG0001458	EWB00_005995	T265_04521
OG0001459	EWB00_003190	T265_15689
OG0001460	EWB00_004279	T265_14339
OG0001461	EWB00_010024.2, EWB00_010024.3, EWB00_010024.1, EWB00_010024.4	T265_06464
OG0001462	EWB00_005942.4, EWB00_005942.7, EWB00_005942.3, EWB00_005942.6, EWB00_005942.8, EWB00_005942.9, EWB00_005942.10, EWB00_005942.2, EWB00_005942.1, EWB00_005942.5	T265_07001
OG0001463	EWB00_003859	T265_03664, T265_08711, T265_05105
OG0001464	EWB00_005411	T265_09082
OG0001465	EWB00_001179.1, EWB00_001179.2, EWB00_001179.3	T265_07647
OG0001466	EWB00_006339.1, EWB00_006339.2, EWB00_006339.3, EWB00_006339.4	T265_14982
OG0001467	EWB00_000404.4, EWB00_000404.1, EWB00_000404.2, EWB00_000404.3	T265_00617
OG0001468	EWB00_000106	T265_06819
OG0001469	EWB00_001504	T265_01693
OG0001470	EWB00_009880.1, EWB00_009880.2	T265_14595, T265_15746
OG0001471	EWB00_000232, EWB00_000231, EWB00_000235	T265_15237
OG0001472	EWB00_004700	T265_08050
OG0001473	EWB00_011064.1, EWB00_011064.3, EWB00_011064.2	T265_00769
OG0001474	EWB00_003899	T265_11473
OG0001475	EWB00_002159.1, EWB00_002159.2, EWB00_002159.3	T265_14342
OG0001476	EWB00_009089, EWB00_009090	T265_05560
OG0001477	EWB00_008376.5, EWB00_008376.1, EWB00_008376.3, EWB00_008376.2, EWB00_008376.4	T265_06773
OG0001478	EWB00_011273, EWB00_002424.2, EWB00_002424.1, EWB00_002424.3	T265_00873
OG0001479	EWB00_010375.1, EWB00_010375.2	T265_08475
OG0001480	EWB00_004676	T265_01604
OG0001481	EWB00_010804	T265_14626, T265_14628, T265_14627
OG0001482	EWB00_000369	T265_05352
OG0001483	EWB00_007364.1, EWB00_007364.2, EWB00_007364.3	T265_01269, T265_01266
OG0001484	EWB00_007567.2, EWB00_007567.1, EWB00_007567.3, EWB00_007567.4	T265_10296
OG0001485	EWB00_001745.1, EWB00_001745.2, EWB00_001745.3, EWB00_001745.4, EWB00_001745.5	T265_10549
OG0001486	EWB00_010654	T265_02851
OG0001487	EWB00_001107.1, EWB00_001107.2, EWB00_001107.3	T265_09627, T265_15615
OG0001488	EWB00_004266	T265_01494
OG0001488	EWB00_004796	T265_04399, T265_08966
OG0001489	EWB00_000255.1, EWB00_000255.2, EWB00_000255.3	T265_05991
OG0001490	EWB00_002584	T265_13139
OG0001491	EWB00_006325.1, EWB00_006325.2	T265_07832
OG0001492	EWB00_010698	T265_04063, T265_04062
OG0001493	EWB00_000174	T265_03979
OG0001494	EWB00_008039.1, EWB00_008039.2	T265_14892, T265_09586
OG0001495	EWB00_008592.1, EWB00_008592.2	T265_06435
OG0001496	EWB00_007183.1, EWB00_007183.2, EWB00_007183.3	T265_01743
OG0001497	EWB00_003402	T265_02802
OG0001498	EWB00_009904	T265_03502
OG0001499	EWB00_005585	T265_01557
OG0001501	EWB00_007411	T265_04822
OG0001502	EWB00_010230	T265_16258
OG0001503	EWB00_006507.1, EWB00_006507.2, EWB00_006507.3, EWB00_006507.4, EWB00_006507.5	T265_05097, T265_12399
OG0001504	EWB00_007101.2, EWB00_007101.3, EWB00_007101.6, EWB00_007101.7, EWB00_007101.4, EWB00_007101.5, EWB00_007101.1	T265_03352
OG0001505	EWB00_005893, EWB00_005891	T265_15355, T265_15356, T265_16009, T265_11133, T265_11141
OG0001506	EWB00_009392.1, EWB00_009392.2	T265_13987
OG0001507	EWB00_006823	T265_01301
OG0001508	EWB00_009523	T265_14041
OG0001509	EWB00_010948	T265_09841, T265_15907
OG0001510	EWB00_008757.1, EWB00_008757.3, EWB00_008757.4, EWB00_008757.2	T265_10677
OG0001511	EWB00_010906.1, EWB00_010906.2, EWB00_010906.3, EWB00_010906.4	T265_10772
OG0001512	EWB00_007373	T265_05456
OG0001513	EWB00_009356.1, EWB00_009356.2	T265_14406
OG0001514	EWB00_003846.1, EWB00_003846.2	T265_02478
OG0001515	EWB00_009461	T265_03047, T265_13123
OG0001516	EWB00_010314.3, EWB00_010314.4, EWB00_010314.2	T265_07259
OG0001517	EWB00_010873.3, EWB00_010873.1, EWB00_010873.2, EWB00_010873.4	T265_05985
OG0001518	EWB00_007187	T265_01746
OG0001519	EWB00_007156, EWB00_007158.1, EWB00_007158.2, EWB00_007158.3	T265_08195
OG0001520	EWB00_008664.1, EWB00_008664.4, EWB00_008664.2, EWB00_008664.3	T265_06489
OG0001521	EWB00_011168.1, EWB00_011168.2	T265_01208, T265_16307
OG0001522	EWB00_000808.4, EWB00_000808.3, EWB00_000808.1, EWB00_000808.2	T265_14252
OG0001523	EWB00_008071	T265_11980
OG0001524	EWB00_008943.2, EWB00_008943.1, EWB00_008943.4, EWB00_008943.3	T265_02241
OG0001525	EWB00_001725	T265_08346
OG0001527	EWB00_000712, EWB00_004948	T265_12883
OG0001528	EWB00_006389	T265_08066
OG0001529	EWB00_011254.1, EWB00_011254.2	T265_12570
OG0001530	EWB00_002535.1, EWB00_009946, EWB00_002535.2, EWB00_002535.3	T265_09171
OG0001531	EWB00_002439.3, EWB00_002439.2, EWB00_002439.4, EWB00_002439.1	T265_04383
OG0001533	EWB00_010521	T265_09632
OG0001534	EWB00_011036.1, EWB00_011036.2	T265_02002
OG0001535	EWB00_006942	T265_00031
OG0001537	EWB00_005648	T265_07231, T265_07233
OG0001538	EWB00_000322	T265_04172
OG0001539	EWB00_005624.2, EWB00_005624.1	T265_03334
OG0001540	EWB00_006207.1, EWB00_006207.2, EWB00_006207.3, EWB00_006207.4	T265_04996
OG0001541	EWB00_010178.1, EWB00_010178.2, EWB00_010179	T265_13925
OG0001542	EWB00_010723.1, EWB00_010723.2	T265_07214
OG0001543	EWB00_008401.3, EWB00_008401.4, EWB00_008401.1, EWB00_008401.2	T265_07128
OG0001544	EWB00_009740.1, EWB00_009740.2	T265_12018
OG0001546	EWB00_004303	T265_03376
OG0001547	EWB00_004888.1, EWB00_004888.2, EWB00_004888.3	T265_04460
OG0001554	EWB00_002893	T265_03627
OG0001555	EWB00_007184	T265_12003
OG0001556	EWB00_003408.4, EWB00_003408.1, EWB00_003408.3, EWB00_003408.2	T265_05427
OG0001557	EWB00_001587	T265_02616
OG0001558	EWB00_004824, EWB00_009609.2, EWB00_009609.1	T265_05296
OG0001560	EWB00_007132.1, EWB00_007132.2, EWB00_007132.3	T265_03153
OG0001561	EWB00_000179, EWB00_000181	T265_00466
OG0001562	EWB00_001403, EWB00_001401	T265_07195, T265_14225, T265_14226, T265_14228
OG0001563	EWB00_001576	T265_08071
OG0001564	EWB00_008720, EWB00_008721	T265_09439, T265_09367, T265_15503
OG0001565	EWB00_003657.1, EWB00_003657.3, EWB00_003657.4, EWB00_003657.2	T265_13020, T265_13021
OG0001566	EWB00_003963.2, EWB00_003963.1, EWB00_003963.3	T265_01168
OG0001567	EWB00_008254.1, EWB00_008254.2	T265_11351
OG0001568	EWB00_009895, EWB00_010378	T265_08844
OG0001569	EWB00_002399, EWB00_002400	T265_08597, T265_06165
