Orthogroup	schistosoma_japonicum	schmidtea_mediterranea
OG0001436	EWB00_004555.1, EWB00_004555.2, EWB00_004555.3, EWB00_004555.4	h1SMcT0017995.4, h1SMcT0017995.5, h1SMcT0017995.1, h1SMcT0017995.2, h1SMcT0017995.3
OG0001438	EWB00_001046.1, EWB00_001046.3, EWB00_001046.2	h1SMcT0018374.1, h1SMcT0018374.2, h1SMcT0018374.3
OG0001440	EWB00_001292	h1SMcT0013788.2, h1SMcT0013788.3, h1SMcT0013788.1
OG0001441	EWB00_001887.1, EWB00_001887.2, EWB00_001887.3, EWB00_001887.4, EWB00_001887.5, EWB00_001891.4, EWB00_001891.6, EWB00_001891.2, EWB00_001891.3, EWB00_001891.5, EWB00_001891.1	h1SMcT0002761.1
OG0001442	EWB00_007731	h1SMcT0005223.3, h1SMcT0005223.1, h1SMcT0005223.2
OG0001444	EWB00_004974.1, EWB00_004974.3, EWB00_004974.2, EWB00_004974.4	h1SMcT0006915.1, h1SMcT0006915.2, h1SMcT0006915.3, h1SMcT0006915.4
OG0001449	EWB00_002956	h1SMcT0021207.2, h1SMcT0021207.1, h1SMcT0021207.3
OG0001454	EWB00_008794.3, EWB00_008794.1, EWB00_008794.2, EWB00_008794.4, EWB00_008794.5	h1SMcT0000780.1
OG0001455	EWB00_006672	h1SMcT0007602.1
OG0001456	EWB00_009329.2, EWB00_009329.4, EWB00_009329.1, EWB00_009329.3	h1SMcT0019184.1
OG0001457	EWB00_006287	h1SMcT0009495.2, h1SMcT0009495.1, h1SMcT0009495.3
OG0001458	EWB00_005995	h1SMcT0005935.1, h1SMcT0012577.1, h1SMcT0012577.2
OG0001459	EWB00_003190	h1SMcT0008943.1, h1SMcT0008943.2, h1SMcT0005464.4, h1SMcT0005464.2, h1SMcT0005464.1, h1SMcT0005464.3
OG0001460	EWB00_004279	h1SMcT0015241.1
OG0001461	EWB00_010024.2, EWB00_010024.3, EWB00_010024.1, EWB00_010024.4	h1SMcT0018386.1
OG0001462	EWB00_005942.4, EWB00_005942.7, EWB00_005942.3, EWB00_005942.6, EWB00_005942.8, EWB00_005942.9, EWB00_005942.10, EWB00_005942.2, EWB00_005942.1, EWB00_005942.5	h1SMcT0022524.1
OG0001463	EWB00_003859	h1SMcT0008338.1, h1SMcT0008338.2
OG0001464	EWB00_005411	h1SMcT0009630.5, h1SMcT0009630.6, h1SMcT0009630.8, h1SMcT0009630.7, h1SMcT0009630.4, h1SMcT0009630.2
OG0001465	EWB00_001179.1, EWB00_001179.2, EWB00_001179.3	h1SMcT0014154.1
OG0001466	EWB00_006339.1, EWB00_006339.2, EWB00_006339.3, EWB00_006339.4	h1SMcT0016902.1
OG0001467	EWB00_000404.4, EWB00_000404.1, EWB00_000404.2, EWB00_000404.3	h1SMcT0008460.1, h1SMcT0008460.2, h1SMcT0020856.1, h1SMcT0020855.2, h1SMcT0020855.4, h1SMcT0020855.1, h1SMcT0020855.3
OG0001468	EWB00_000106	h1SMcT0010099.1, h1SMcT0014322.1
OG0001469	EWB00_001504	h1SMcT0021871.2, h1SMcT0021871.1, h1SMcT0021871.3
OG0001470	EWB00_009880.1, EWB00_009880.2	h1SMcT0014172.1, h1SMcT0014172.2, h1SMcT0014172.3, h1SMcT0014172.4
OG0001472	EWB00_004700	h1SMcT0007921.1, h1SMcT0007921.2, h1SMcT0007921.3, h1SMcT0007921.4
OG0001473	EWB00_011064.1, EWB00_011064.3, EWB00_011064.2	h1SMcT0013163.1, h1SMcT0013166.1, h1SMcT0013166.2, h1SMcT0013177.1, h1SMcT0013178.1, h1SMcT0013179.1
OG0001475	EWB00_002159.1, EWB00_002159.2, EWB00_002159.3	h1SMcT0021270.1
OG0001476	EWB00_009089, EWB00_009090	h1SMcT0019733.2, h1SMcT0019733.3, h1SMcT0019733.4, h1SMcT0019733.1, h1SMcT0019733.5
OG0001479	EWB00_010375.1, EWB00_010375.2	h1SMcT0009862.1, h1SMcT0009862.2
OG0001481	EWB00_010804	h1SMcT0015903.1, h1SMcT0021086.1, h1SMcT0021086.2, h1SMcT0016775.1
OG0001482	EWB00_000369	h1SMcT0012176.1, h1SMcT0012176.2
OG0001483	EWB00_007364.1, EWB00_007364.2, EWB00_007364.3	h1SMcT0000736.1, h1SMcT0000736.3, h1SMcT0000736.5, h1SMcT0000736.2, h1SMcT0000736.4
OG0001485	EWB00_001745.1, EWB00_001745.2, EWB00_001745.3, EWB00_001745.4, EWB00_001745.5	h1SMcT0011857.3, h1SMcT0011857.2, h1SMcT0011857.1, h1SMcT0000533.1, h1SMcT0018805.1
OG0001486	EWB00_010654	h1SMcT0010412.2, h1SMcT0010412.1, h1SMcT0010412.3
OG0001488	EWB00_004266	h1SMcT0022183.1, h1SMcT0022183.2
OG0001488	EWB00_004796	h1SMcT0022047.1, h1SMcT0022047.2
OG0001489	EWB00_000255.1, EWB00_000255.2, EWB00_000255.3	h1SMcT0021635.1, h1SMcT0021635.5, h1SMcT0021635.2, h1SMcT0021635.3, h1SMcT0021635.4
OG0001490	EWB00_002584	h1SMcT0014203.3, h1SMcT0014203.5, h1SMcT0014203.4, h1SMcT0014203.6, h1SMcT0014203.7, h1SMcT0014203.1, h1SMcT0014203.2
OG0001492	EWB00_010698	h1SMcT0003534.1
OG0001493	EWB00_000174	h1SMcT0019791.1, h1SMcT0019791.2
OG0001494	EWB00_008039.1, EWB00_008039.2	h1SMcT0017253.1, h1SMcT0017253.2
OG0001496	EWB00_007183.1, EWB00_007183.2, EWB00_007183.3	h1SMcT0003218.1
OG0001497	EWB00_003402	h1SMcT0017554.1
OG0001498	EWB00_009904	h1SMcT0022452.1, h1SMcT0022452.4, h1SMcT0022452.2, h1SMcT0022452.3
OG0001500	EWB00_003991.3, EWB00_003991.1, EWB00_003991.2	h1SMcT0007630.1
OG0001502	EWB00_010230	h1SMcT0021616.1, h1SMcT0021616.3, h1SMcT0021616.2, h1SMcT0021616.4
OG0001503	EWB00_006507.1, EWB00_006507.2, EWB00_006507.3, EWB00_006507.4, EWB00_006507.5	h1SMcT0011287.1, h1SMcT0011287.2
OG0001504	EWB00_007101.2, EWB00_007101.3, EWB00_007101.6, EWB00_007101.7, EWB00_007101.4, EWB00_007101.5, EWB00_007101.1	h1SMcT0007770.1
OG0001505	EWB00_005893, EWB00_005891	h1SMcT0006436.1, h1SMcT0006436.2
OG0001506	EWB00_009392.1, EWB00_009392.2	h1SMcT0021094.1, h1SMcT0004396.1, h1SMcT0004396.2, h1SMcT0004396.3
OG0001508	EWB00_009523	h1SMcT0019286.1
OG0001509	EWB00_010948	h1SMcT0013921.1, h1SMcT0013921.3
OG0001511	EWB00_010906.1, EWB00_010906.2, EWB00_010906.3, EWB00_010906.4	h1SMcT0004279.1
OG0001512	EWB00_007373	h1SMcT0017028.1
OG0001513	EWB00_009356.1, EWB00_009356.2	h1SMcT0018540.1, h1SMcT0018540.2, h1SMcT0018540.3
OG0001514	EWB00_003846.1, EWB00_003846.2	h1SMcT0020380.2, h1SMcT0020380.3, h1SMcT0020380.1
OG0001515	EWB00_009461	h1SMcT0000870.1, h1SMcT0010058.1, h1SMcT0010058.2
OG0001516	EWB00_010316.1, EWB00_010316.2, EWB00_010314.3, EWB00_010314.4, EWB00_010314.2, EWB00_010314.1	h1SMcT0021462.1, h1SMcT0022718.1
OG0001517	EWB00_010873.3, EWB00_010873.1, EWB00_010873.2, EWB00_010873.4	h1SMcT0010241.1
OG0001518	EWB00_007187	h1SMcT0019738.1
OG0001519	EWB00_007156, EWB00_007158.1, EWB00_007158.2, EWB00_007158.3	h1SMcT0014015.1, h1SMcT0014015.2, h1SMcT0014015.3, h1SMcT0014015.4
OG0001522	EWB00_000808.4, EWB00_000808.3, EWB00_000808.1, EWB00_000808.2	h1SMcT0011111.1
OG0001523	EWB00_008071	h1SMcT0010801.1
OG0001524	EWB00_008943.2, EWB00_008943.1, EWB00_008943.4, EWB00_008943.3	h1SMcT0015153.1
OG0001527	EWB00_000712, EWB00_004948	h1SMcT0010521.1, h1SMcT0010521.2
OG0001529	EWB00_011254.1, EWB00_011254.2	h1SMcT0021637.1
OG0001530	EWB00_002535.1, EWB00_009946, EWB00_002535.2, EWB00_002535.3	h1SMcT0003859.1, h1SMcT0003859.2
OG0001531	EWB00_002439.3, EWB00_002439.2, EWB00_002439.4, EWB00_002439.1	h1SMcT0004453.2, h1SMcT0004453.5, h1SMcT0004453.6, h1SMcT0004453.1, h1SMcT0004453.3, h1SMcT0004453.4
OG0001533	EWB00_010521	h1SMcT0004368.1, h1SMcT0004368.2
OG0001534	EWB00_011036.1, EWB00_011036.2	h1SMcT0007642.1
OG0001535	EWB00_006942	h1SMcT0021900.1, h1SMcT0021900.2
OG0001536	EWB00_006442	h1SMcT0015301.1
OG0001537	EWB00_005648	h1SMcT0013792.1, h1SMcT0013792.2
OG0001538	EWB00_000322	h1SMcT0014530.1, h1SMcT0015324.1
OG0001539	EWB00_005624.2, EWB00_005624.1	h1SMcT0017958.1, h1SMcT0017958.2, h1SMcT0017958.3
OG0001540	EWB00_006207.1, EWB00_006207.2, EWB00_006207.3, EWB00_006207.4	h1SMcT0006384.1, h1SMcT0006384.2
OG0001541	EWB00_010178.1, EWB00_010178.2, EWB00_010179	h1SMcT0004722.1
OG0001542	EWB00_010723.1, EWB00_010723.2	h1SMcT0015832.1, h1SMcT0015832.2, h1SMcT0015832.3, h1SMcT0015832.4, h1SMcT0015832.5
OG0001554	EWB00_002893	h1SMcT0008486.1, h1SMcT0003478.1, h1SMcT0003500.1, h1SMcT0017344.1, h1SMcT0008950.1, h1SMcT0007092.1, h1SMcT0023035.1, h1SMcT0007094.1, h1SMcT0007094.2, h1SMcT0007093.1, h1SMcT0007095.1, h1SMcT0000396.1, h1SMcT0000426.1, h1SMcT0000426.2, h1SMcT0001582.1, h1SMcT0002457.1, h1SMcT0016082.1
OG0001555	EWB00_007184	h1SMcT0010539.1
OG0001556	EWB00_003408.4, EWB00_003408.1, EWB00_003408.3, EWB00_003408.2	h1SMcT0018243.1, h1SMcT0018243.2, h1SMcT0018243.3, h1SMcT0018243.4, h1SMcT0018243.5
OG0001557	EWB00_001587	h1SMcT0009780.1, h1SMcT0009780.2
OG0001558	EWB00_004824, EWB00_009609.2, EWB00_009609.1	h1SMcT0003178.1, h1SMcT0003178.2
OG0001559	EWB00_003678	h1SMcT0016843.2, h1SMcT0016843.1, h1SMcT0016843.3
OG0001560	EWB00_007132.1, EWB00_007132.2, EWB00_007132.3	h1SMcT0012518.1, h1SMcT0012518.2
OG0001561	EWB00_000179, EWB00_000181	h1SMcT0013876.1
OG0001562	EWB00_001403, EWB00_001401	h1SMcT0020801.1
OG0001563	EWB00_001576	h1SMcT0019159.1, h1SMcT0019159.2
OG0001564	EWB00_008720, EWB00_008721	h1SMcT0006456.1
OG0001565	EWB00_003657.1, EWB00_003657.3, EWB00_003657.4, EWB00_003657.2	h1SMcT0016970.1, h1SMcT0021524.1
OG0001566	EWB00_003963.2, EWB00_003963.1, EWB00_003963.3	h1SMcT0009524.1
OG0001567	EWB00_008254.1, EWB00_008254.2	h1SMcT0018183.1
OG0001570	EWB00_000946.4, EWB00_000946.1, EWB00_000946.3, EWB00_000946.2	h1SMcT0018002.5, h1SMcT0018002.2, h1SMcT0018002.7, h1SMcT0018002.4, h1SMcT0018002.9, h1SMcT0018002.12, h1SMcT0018002.13, h1SMcT0018002.11, h1SMcT0018002.8
OG0001571	EWB00_010226, EWB00_008986	h1SMcT0018536.1, h1SMcT0022616.1, h1SMcT0011762.1, h1SMcT0015483.1, h1SMcT0016767.1, h1SMcT0015482.1, h1SMcT0016538.1, h1SMcT0014564.1
OG0001572	EWB00_003961	h1SMcT0002800.1, h1SMcT0002800.2
OG0001574	EWB00_001475.1, EWB00_001475.2, EWB00_001475.3	h1SMcT0016307.1, h1SMcT0016307.2
OG0001575	EWB00_008443, EWB00_009866, EWB00_009867, EWB00_009869, EWB00_009868, EWB00_008442	h1SMcT0006105.3, h1SMcT0006105.1, h1SMcT0006105.2
OG0001576	EWB00_004468	h1SMcT0006666.2, h1SMcT0006666.1, h1SMcT0006666.3, h1SMcT0003104.2, h1SMcT0003104.3, h1SMcT0003104.1, h1SMcT0003104.5, h1SMcT0001180.1, h1SMcT0001180.2
OG0001577	EWB00_000631	h1SMcT0014297.1, h1SMcT0014297.2, h1SMcT0006524.2, h1SMcT0006524.5, h1SMcT0006524.3, h1SMcT0006524.6, h1SMcT0006524.1, h1SMcT0006524.4, h1SMcT0006517.1, h1SMcT0006523.1, h1SMcT0006523.3, h1SMcT0006523.2
OG0001578	EWB00_003565	h1SMcT0003020.4, h1SMcT0003020.3, h1SMcT0003020.5, h1SMcT0003020.6
OG0001579	EWB00_000084	h1SMcT0010551.1
OG0001580	EWB00_003247	h1SMcT0021337.1, h1SMcT0021337.2
OG0001581	EWB00_001247.1, EWB00_001247.2, EWB00_001247.6, EWB00_001247.4, EWB00_001247.3, EWB00_001247.5, EWB00_001247.7	h1SMcT0008604.4, h1SMcT0008604.7, h1SMcT0008604.3, h1SMcT0008604.2, h1SMcT0008604.1, h1SMcT0008604.5
OG0001582	EWB00_007839.2, EWB00_007839.3, EWB00_007839.4, EWB00_007839.5, EWB00_007839.6, EWB00_007839.7, EWB00_007839.8, EWB00_007839.10, EWB00_007839.11, EWB00_007839.12, EWB00_007839.13, EWB00_007839.14, EWB00_007839.9, EWB00_007839.1	h1SMcT0013798.1, h1SMcT0013798.2
OG0001588	EWB00_000393.4, EWB00_000393.3, EWB00_000393.2, EWB00_000393.1, EWB00_000393.5	h1SMcT0012021.1, h1SMcT0012021.2, h1SMcT0014683.1
OG0001589	EWB00_001764, EWB00_001763	h1SMcT0018334.3, h1SMcT0018334.1, h1SMcT0018334.2
OG0001590	EWB00_000529.1, EWB00_000529.2	h1SMcT0016705.1, h1SMcT0016705.2
OG0001592	EWB00_005480.1, EWB00_005480.2, EWB00_005480.3	h1SMcT0016376.1, h1SMcT0016376.2
OG0001593	EWB00_011133.1, EWB00_011133.2	h1SMcT0014525.1
OG0001595	EWB00_010479	h1SMcT0004004.1, h1SMcT0011696.3
OG0001596	EWB00_007492	h1SMcT0020657.1, h1SMcT0020657.2
OG0001597	EWB00_004539.1, EWB00_004539.2	h1SMcT0005317.1, h1SMcT0005317.2, h1SMcT0005317.4, h1SMcT0005317.3
OG0001598	EWB00_004044.2, EWB00_004044.3, EWB00_004044.4, EWB00_004044.6, EWB00_004044.5, EWB00_004044.1	h1SMcT0017652.1
OG0001599	EWB00_003665	h1SMcT0006535.1, h1SMcT0006580.1
OG0001600	EWB00_006003.1, EWB00_006003.2, EWB00_006003.3, EWB00_006003.5, EWB00_006003.4	h1SMcT0001572.1, h1SMcT0001572.2
OG0001601	EWB00_000474	h1SMcT0006626.1
OG0001602	EWB00_002672.1, EWB00_002672.2	h1SMcT0012475.2, h1SMcT0012475.3, h1SMcT0012475.4, h1SMcT0000699.4, h1SMcT0000699.2, h1SMcT0000699.1, h1SMcT0000699.3, h1SMcT0000699.5, h1SMcT0006969.1, h1SMcT0019456.1
OG0001606	EWB00_007547.1, EWB00_007547.2, EWB00_007547.3, EWB00_007547.4	h1SMcT0004111.2, h1SMcT0004111.3, h1SMcT0004111.1
OG0001607	EWB00_003884.1, EWB00_003884.3, EWB00_003884.2, EWB00_003884.4, EWB00_003884.5	h1SMcT0001333.2, h1SMcT0001333.1, h1SMcT0001333.3
OG0001608	EWB00_006512	h1SMcT0019002.1
OG0001609	EWB00_007367.7, EWB00_007367.5, EWB00_007367.2, EWB00_007367.3, EWB00_007367.4, EWB00_007367.1, EWB00_007367.6	h1SMcT0021762.3, h1SMcT0021762.2, h1SMcT0021762.1, h1SMcT0021762.4
OG0001610	EWB00_004368	h1SMcT0001133.1, h1SMcT0001133.2, h1SMcT0012922.1
OG0001611	EWB00_011295	h1SMcT0013941.1, h1SMcT0013941.2, h1SMcT0013941.3
OG0001612	EWB00_005638.1, EWB00_005638.2	h1SMcT0001592.1, h1SMcT0004919.1, h1SMcT0001590.1, h1SMcT0001590.2, h1SMcT0001590.3
OG0001613	EWB00_011053.1, EWB00_011053.2, EWB00_011053.3	h1SMcT0006904.1, h1SMcT0006904.2, h1SMcT0019166.1, h1SMcT0006559.1, h1SMcT0019019.1, h1SMcT0009343.1, h1SMcT0009343.2, h1SMcT0015213.1, h1SMcT0003392.1, h1SMcT0007271.1
OG0001614	EWB00_003941	h1SMcT0018858.1, h1SMcT0018858.2
OG0001615	EWB00_003940	h1SMcT0021119.1
OG0001616	EWB00_009486	h1SMcT0006305.1, h1SMcT0021522.1
OG0001618	EWB00_006198.1, EWB00_006198.2	h1SMcT0022622.4, h1SMcT0022622.8, h1SMcT0022622.1, h1SMcT0022622.2, h1SMcT0022622.9, h1SMcT0022622.7, h1SMcT0022622.3, h1SMcT0022622.5, h1SMcT0022622.6
OG0001619	EWB00_008116.1, EWB00_008116.2	h1SMcT0013335.1
OG0001620	EWB00_001728	h1SMcT0020514.4, h1SMcT0020514.5, h1SMcT0020514.6, h1SMcT0020516.1, h1SMcT0020514.1, h1SMcT0020514.2, h1SMcT0020632.1, h1SMcT0020514.3, h1SMcT0020519.1
OG0001622	EWB00_004499.1, EWB00_004499.2	h1SMcT0004565.1
OG0001623	EWB00_008598.2, EWB00_008598.1, EWB00_008598.3	h1SMcT0021134.1
OG0001626	EWB00_003418.1, EWB00_003418.2	h1SMcT0020664.1
OG0001627	EWB00_006592.1, EWB00_006592.2, EWB00_006592.3	h1SMcT0006211.1, h1SMcT0006211.2
OG0001628	EWB00_003126.2, EWB00_003126.1, EWB00_003126.3, EWB00_003126.5, EWB00_003126.4, EWB00_003126.6	h1SMcT0019709.1, h1SMcT0019709.4
OG0001629	EWB00_004656.1, EWB00_004656.2, EWB00_004656.4, EWB00_004656.5, EWB00_004656.6, EWB00_004656.3	h1SMcT0011452.1, h1SMcT0011452.2
OG0001631	EWB00_001898.1, EWB00_001898.2	h1SMcT0007603.1
OG0001632	EWB00_005797	h1SMcT0010514.1
OG0001633	EWB00_004781.3, EWB00_004781.1, EWB00_004781.2	h1SMcT0002014.5, h1SMcT0002014.6, h1SMcT0002014.3, h1SMcT0002014.1, h1SMcT0002014.2, h1SMcT0002014.4
OG0001634	EWB00_007518	h1SMcT0021810.2, h1SMcT0021810.1, h1SMcT0021810.3
OG0001635	EWB00_006335	h1SMcT0002693.1, h1SMcT0002693.2, h1SMcT0015943.1
OG0001636	EWB00_001392.2, EWB00_001392.3, EWB00_001392.1, EWB00_001392.4	h1SMcT0013635.1
OG0001637	EWB00_003455.3, EWB00_003455.1, EWB00_003455.2	h1SMcT0011724.1
OG0001639	EWB00_002443, EWB00_002442	h1SMcT0015128.1
OG0001640	EWB00_002491.1, EWB00_002491.2	h1SMcT0003502.4, h1SMcT0003502.3, h1SMcT0003502.1, h1SMcT0003502.2
OG0001641	EWB00_001978.1, EWB00_001978.2	h1SMcT0021693.1
OG0001642	EWB00_009266	h1SMcT0007955.1
OG0001643	EWB00_003874	h1SMcT0000482.1, h1SMcT0000482.2
OG0001644	EWB00_008738.1, EWB00_008738.2, EWB00_008738.3, EWB00_008738.4, EWB00_008738.5, EWB00_008738.6, EWB00_008738.7	h1SMcT0008832.1
OG0001645	EWB00_005858	h1SMcT0016250.1, h1SMcT0016250.2, h1SMcT0016250.3, h1SMcT0016250.4
OG0001646	EWB00_007841.1, EWB00_007841.2	h1SMcT0004929.1, h1SMcT0004929.2
OG0001648	EWB00_007501	h1SMcT0019063.4, h1SMcT0019063.5, h1SMcT0017672.3, h1SMcT0017672.4, h1SMcT0017672.2, h1SMcT0017672.1
OG0001649	EWB00_003693, EWB00_005061	h1SMcT0013727.1, h1SMcT0013727.2, h1SMcT0013729.1, h1SMcT0013729.4, h1SMcT0013729.2, h1SMcT0013729.3
OG0001651	EWB00_004648	h1SMcT0010863.1, h1SMcT0010863.2
OG0001653	EWB00_004667.1, EWB00_004667.2	h1SMcT0001479.1, h1SMcT0001479.2, h1SMcT0001479.3, h1SMcT0001479.4
OG0001655	EWB00_006237.1, EWB00_006237.2, EWB00_006237.3, EWB00_006237.4	h1SMcT0005253.1
OG0001656	EWB00_000311	h1SMcT0021826.1, h1SMcT0021826.2
OG0001657	EWB00_002910	h1SMcT0012718.1
OG0001661	EWB00_007215	h1SMcT0011068.1
OG0001671	EWB00_005987.1, EWB00_005987.2	h1SMcT0010251.1
OG0001672	EWB00_007942.1, EWB00_007942.2	h1SMcT0016081.3, h1SMcT0016081.1, h1SMcT0016081.2
OG0001673	EWB00_011109.1, EWB00_011109.2	h1SMcT0019728.1, h1SMcT0004485.1, h1SMcT0004485.4, h1SMcT0004485.2, h1SMcT0004485.3
OG0001675	EWB00_009829.1, EWB00_009829.2, EWB00_009829.3, EWB00_009829.4	h1SMcT0005280.1, h1SMcT0005279.1, h1SMcT0005279.2
OG0001676	EWB00_005536.1, EWB00_005536.2	h1SMcT0001921.1
OG0001677	EWB00_009285	h1SMcT0016893.2
OG0001678	EWB00_005559.1, EWB00_005559.3, EWB00_005559.4, EWB00_005559.2	h1SMcT0000851.1
OG0001679	EWB00_010312.1, EWB00_010312.3, EWB00_010312.2, EWB00_010312.4	h1SMcT0020429.5, h1SMcT0020429.6, h1SMcT0020429.2, h1SMcT0020429.1, h1SMcT0020429.3, h1SMcT0020429.4
OG0001680	EWB00_003316.3, EWB00_003316.2, EWB00_003316.1	h1SMcT0000730.1
OG0001681	EWB00_001043	h1SMcT0014199.1, h1SMcT0014199.2, h1SMcT0014199.3
OG0001682	EWB00_000072.1, EWB00_000072.2	h1SMcT0020485.1, h1SMcT0020485.2
OG0001687	EWB00_007842.4, EWB00_007842.1, EWB00_007842.3, EWB00_007842.2	h1SMcT0016944.2, h1SMcT0016944.1, h1SMcT0016944.4, h1SMcT0016944.9, h1SMcT0016944.5, h1SMcT0016944.6, h1SMcT0016944.7, h1SMcT0016944.8, h1SMcT0016944.3
OG0001688	EWB00_005820.1, EWB00_005820.2	h1SMcT0015247.5, h1SMcT0015247.4, h1SMcT0015247.3
OG0001689	EWB00_003512, EWB00_003511	h1SMcT0002487.1
OG0001690	EWB00_001748.1, EWB00_001748.4, EWB00_001748.3, EWB00_001748.2	h1SMcT0009279.3, h1SMcT0009279.4, h1SMcT0009279.1, h1SMcT0009279.2
OG0001691	EWB00_003815	h1SMcT0016928.1, h1SMcT0016928.2, h1SMcT0016928.3
OG0001694	EWB00_003684.1, EWB00_003684.4, EWB00_003684.2, EWB00_003684.3, EWB00_003684.5, EWB00_003684.6, EWB00_003684.7	h1SMcT0020178.1, h1SMcT0020178.2
OG0001697	EWB00_003024.1, EWB00_003024.2, EWB00_003024.3	h1SMcT0022488.1
OG0001699	EWB00_006586	h1SMcT0012548.1
OG0001700	EWB00_002364.1, EWB00_002364.2	h1SMcT0003410.1
OG0001702	EWB00_008286.2, EWB00_008286.4, EWB00_008286.1, EWB00_008286.3	h1SMcT0017051.2, h1SMcT0017051.3, h1SMcT0017051.4, h1SMcT0015306.1, h1SMcT0015306.6, h1SMcT0015306.2, h1SMcT0015306.7, h1SMcT0015306.5, h1SMcT0015306.4
OG0001703	EWB00_006853.1, EWB00_006853.2	h1SMcT0007280.1, h1SMcT0007280.2
OG0001704	EWB00_004801	h1SMcT0015605.1
OG0001707	EWB00_000916.1, EWB00_000916.2	h1SMcT0020760.1
OG0001708	EWB00_009638.2, EWB00_009638.3, EWB00_009638.1, EWB00_009638.4, EWB00_009638.5, EWB00_009638.6	h1SMcT0021084.7, h1SMcT0021084.6, h1SMcT0021084.1, h1SMcT0021084.2, h1SMcT0021084.5, h1SMcT0021084.3, h1SMcT0021084.4
OG0001710	EWB00_011363.1, EWB00_011363.3, EWB00_011363.4, EWB00_011363.2	h1SMcT0011023.1, h1SMcT0011023.2, h1SMcT0011023.3
OG0001711	EWB00_005879.3, EWB00_005879.1, EWB00_005879.2	h1SMcT0010492.1, h1SMcT0010492.2
OG0001712	EWB00_004726	h1SMcT0012477.1, h1SMcT0012477.2
OG0001713	EWB00_005183.1, EWB00_005183.2, EWB00_005183.3, EWB00_005183.4	h1SMcT0001773.1
OG0001714	EWB00_005184	h1SMcT0002980.7, h1SMcT0002980.1, h1SMcT0002980.2, h1SMcT0002980.4, h1SMcT0002980.6, h1SMcT0002980.5, h1SMcT0002980.3
OG0001715	EWB00_007067.2, EWB00_007067.4, EWB00_007067.1, EWB00_007067.3	h1SMcT0008469.1, h1SMcT0008469.2, h1SMcT0008469.3, h1SMcT0008469.4, h1SMcT0008469.5
OG0001717	EWB00_003282.3, EWB00_003282.1, EWB00_003282.2	h1SMcT0008155.3, h1SMcT0008155.4, h1SMcT0008155.2, h1SMcT0008155.5, h1SMcT0008155.1, h1SMcT0008155.6
OG0001718	EWB00_002352.1, EWB00_002352.2	h1SMcT0007968.1
OG0001720	EWB00_008445.1, EWB00_008445.2	h1SMcT0011139.1, h1SMcT0006364.1, h1SMcT0019514.1, h1SMcT0019514.3, h1SMcT0019514.2, h1SMcT0019514.4
OG0001721	EWB00_005126.2, EWB00_005126.1, EWB00_005126.3, EWB00_005126.4, EWB00_005128.1, EWB00_005128.2	h1SMcT0022008.1, h1SMcT0022008.2
OG0001722	EWB00_009862.4, EWB00_009862.3, EWB00_009862.2, EWB00_009862.1	h1SMcT0009778.1
OG0001724	EWB00_009579.1, EWB00_009579.2, EWB00_009579.4, EWB00_009579.3	h1SMcT0009947.1, h1SMcT0009947.2
OG0001725	EWB00_006118.1, EWB00_006118.2	h1SMcT0001865.2
OG0001726	EWB00_004248	h1SMcT0019260.1
OG0001726	EWB00_010136, EWB00_010137	h1SMcT0022247.1, h1SMcT0012356.1, h1SMcT0012356.2, h1SMcT0012356.3, h1SMcT0012356.4
OG0001727	EWB00_001981.1, EWB00_001981.2, EWB00_001981.3, EWB00_001982	h1SMcT0017294.1
OG0001728	EWB00_005587	h1SMcT0013659.2, h1SMcT0013659.1, h1SMcT0013659.3, h1SMcT0013659.4
OG0001729	EWB00_004669	h1SMcT0008021.1, h1SMcT0005984.1, h1SMcT0005984.2, h1SMcT0005984.3, h1SMcT0005984.4, h1SMcT0022620.1
OG0001730	EWB00_005425	h1SMcT0011395.1
OG0001731	EWB00_010113.1, EWB00_010113.2, EWB00_010113.3	h1SMcT0019144.1
OG0001732	EWB00_010708	h1SMcT0001016.1
OG0001733	EWB00_006579.1, EWB00_006579.2	h1SMcT0006755.1
OG0001734	EWB00_000355.1, EWB00_000355.2	h1SMcT0000991.2, h1SMcT0000991.6, h1SMcT0000991.4, h1SMcT0000991.8, h1SMcT0000991.5, h1SMcT0000991.3, h1SMcT0000991.1, h1SMcT0000991.7
OG0001736	EWB00_000076	h1SMcT0018349.1, h1SMcT0018349.2
OG0001738	EWB00_004730	h1SMcT0021483.1, h1SMcT0022809.1
OG0001739	EWB00_004148	h1SMcT0013839.1, h1SMcT0013839.2
OG0001741	EWB00_000113.2, EWB00_000113.1	h1SMcT0005296.1, h1SMcT0005291.1, h1SMcT0005291.2, h1SMcT0005291.3
OG0001744	EWB00_008931.1, EWB00_008931.2, EWB00_008931.3, EWB00_008931.5, EWB00_008931.4	h1SMcT0005035.1
OG0001745	EWB00_001325	h1SMcT0013160.1, h1SMcT0013160.2
OG0001746	EWB00_008300	h1SMcT0004010.1
OG0001747	EWB00_010827	h1SMcT0009037.1, h1SMcT0009037.2
OG0001748	EWB00_009580	h1SMcT0001235.1, h1SMcT0001235.2
OG0001750	EWB00_004829.1, EWB00_004829.2, EWB00_004830	h1SMcT0019885.1, h1SMcT0019885.2, h1SMcT0019885.5, h1SMcT0019885.3, h1SMcT0019885.4
