Orthogroup	schistosoma_japonicum	schistosoma_intercalatum
OG0001353	EWB00_005902.1, EWB00_005902.2, EWB00_005902.3	SINT1_62360.1, SINT1_62360.2, SINT1_62360.3
OG0001354	EWB00_009879.1, EWB00_009879.2	SINT1_64150.1, SINT1_64150.2, SINT1_64180.1
OG0001355	EWB00_003862.3, EWB00_003862.1, EWB00_003862.2	SINT1_59290.1, SINT1_59290.2
OG0001356	EWB00_002725	SINT1_71300.3, SINT1_71300.1, SINT1_71300.2
OG0001357	EWB00_006165	SINT1_39430.1
OG0001358	EWB00_001067.1, EWB00_001067.2, EWB00_001067.4, EWB00_001067.3	SINT1_87120.2, SINT1_87120.1, SINT1_87120.3
OG0001359	EWB00_006603	SINT1_71910.7, SINT1_71910.10, SINT1_71910.13, SINT1_71910.14, SINT1_71910.8, SINT1_71910.1, SINT1_71910.11, SINT1_71910.2, SINT1_71910.3, SINT1_71910.4, SINT1_71910.12, SINT1_71910.5, SINT1_71910.6, SINT1_71910.9
OG0001360	EWB00_007505	SINT1_52710.1
OG0001361	EWB00_003304	SINT1_28650.1, SINT1_28650.2
OG0001362	EWB00_002884.1, EWB00_002884.2	SINT1_30710.1
OG0001363	EWB00_001426.2, EWB00_001426.1	SINT1_93260.1
OG0001364	EWB00_001353	SINT1_83650.1, SINT1_83640.1
OG0001365	EWB00_007381	SINT1_76840.6, SINT1_76840.7, SINT1_76840.1, SINT1_76840.2, SINT1_76840.3, SINT1_76840.4, SINT1_76840.5
OG0001366	EWB00_005408.1, EWB00_005408.2	SINT1_53260.3, SINT1_53260.2, SINT1_53260.1
OG0001367	EWB00_004799.3, EWB00_004799.1, EWB00_004799.2	SINT1_93800.1
OG0001368	EWB00_006451.3, EWB00_006451.4, EWB00_006451.1, EWB00_006451.2	SINT1_18100.1, SINT1_18100.2, SINT1_18100.3, SINT1_18100.4
OG0001369	EWB00_011378.1, EWB00_011378.2, EWB00_011378.3	SINT1_87760.2, SINT1_87760.5, SINT1_87760.3, SINT1_87760.4, SINT1_87760.1
OG0001370	EWB00_002230, EWB00_002234	SINT1_58170.3, SINT1_58170.1, SINT1_58170.2
OG0001371	EWB00_004314.2, EWB00_004314.4, EWB00_004314.5, EWB00_004314.3, EWB00_004314.1	SINT1_36420.1, SINT1_36420.2
OG0001372	EWB00_001272, EWB00_005599.1, EWB00_005599.4, EWB00_001273, EWB00_005599.3, EWB00_005599.2	SINT1_37150.4, SINT1_37150.3, SINT1_37150.1, SINT1_37150.2
OG0001373	EWB00_001922, EWB00_007903.2, EWB00_007903.1, EWB00_007903.3	SINT1_2280.1
OG0001374	EWB00_011328	SINT1_60540.1
OG0001375	EWB00_002001	SINT1_76130.1, SINT1_76130.2
OG0001377	EWB00_009170	SINT1_61880.2, SINT1_61880.4, SINT1_61880.1, SINT1_61880.3
OG0001378	EWB00_007333.5, EWB00_007333.3, EWB00_007333.4, EWB00_007333.1, EWB00_007333.2, EWB00_007333.6	SINT1_3210.4, SINT1_3210.1, SINT1_3210.2, SINT1_3210.3
OG0001379	EWB00_008653	SINT1_69330.2, SINT1_69330.1, SINT1_69330.3
OG0001380	EWB00_000503.1, EWB00_000503.2	SINT1_59050.1, SINT1_59050.3, SINT1_59050.2
OG0001381	EWB00_004538	SINT1_72350.3, SINT1_72350.2, SINT1_72350.1
OG0001382	EWB00_005035.1, EWB00_005035.2	SINT1_26760.5, SINT1_26760.3, SINT1_26760.1, SINT1_26760.4, SINT1_26760.2
OG0001383	EWB00_009013, EWB00_009014	SINT1_4040.1
OG0001384	EWB00_009445.3, EWB00_009445.4, EWB00_009445.2, EWB00_009445.1	SINT1_86270.5, SINT1_86270.3, SINT1_86270.4, SINT1_86270.2, SINT1_86270.1
OG0001385	EWB00_001547	SINT1_23410.1
OG0001386	EWB00_004901, EWB00_004900	SINT1_44190.5, SINT1_44190.8, SINT1_44190.10, SINT1_44190.6, SINT1_44190.4, SINT1_44190.9, SINT1_44190.3, SINT1_44190.2, SINT1_44190.7, SINT1_44190.1
OG0001387	EWB00_008055	SINT1_85400.1, SINT1_85400.2, SINT1_85400.3
OG0001388	EWB00_009408	SINT1_11660.7, SINT1_11660.3, SINT1_11660.2, SINT1_11660.5, SINT1_11660.6, SINT1_11660.4, SINT1_11660.1
OG0001389	EWB00_000171	SINT1_45940.1
OG0001390	EWB00_004599	SINT1_39770.4, SINT1_39770.5, SINT1_39770.3, SINT1_39770.2, SINT1_39770.1
OG0001391	EWB00_003387.2, EWB00_003387.3, EWB00_003387.1	SINT1_34650.4, SINT1_34650.5, SINT1_34650.3, SINT1_34650.1, SINT1_34650.2
OG0001392	EWB00_007691	SINT1_12690.1, SINT1_12690.2, SINT1_12690.3
OG0001393	EWB00_003130	SINT1_16350.1, SINT1_16350.2
OG0001393	EWB00_003131	SINT1_16340.1, SINT1_16340.2
OG0001394	EWB00_010972.1, EWB00_010972.2	SINT1_75090.4, SINT1_75090.2, SINT1_75090.1, SINT1_75090.3
OG0001395	EWB00_004458	SINT1_87020.1, SINT1_87020.2
OG0001395	EWB00_000296.4, EWB00_000296.1, EWB00_000296.2, EWB00_000296.3	SINT1_25750.1
OG0001396	EWB00_010769	SINT1_47770.1, SINT1_47780.1
OG0001397	EWB00_007740	SINT1_62020.2, SINT1_62020.1
OG0001398	EWB00_009382.5, EWB00_009382.2, EWB00_009382.3, EWB00_009382.4, EWB00_009382.1	SINT1_11440.2, SINT1_11440.1
OG0001399	EWB00_008572	SINT1_90350.1
OG0001400	EWB00_000847	SINT1_79900.1
OG0001401	EWB00_008415, EWB00_008414	SINT1_50550.2, SINT1_50550.3, SINT1_50550.4, SINT1_50550.1
OG0001402	EWB00_005115.1, EWB00_005115.2, EWB00_005115.3, EWB00_005115.6, EWB00_005115.4, EWB00_005115.5	SINT1_26090.1, SINT1_26090.2, SINT1_26090.3
OG0001403	EWB00_002225	SINT1_54970.2, SINT1_54970.1, SINT1_54970.3
OG0001404	EWB00_010350.1, EWB00_010350.2	SINT1_19750.1
OG0001405	EWB00_002914	SINT1_33490.1, SINT1_33500.1, SINT1_46750.1
OG0001406	EWB00_009121.2, EWB00_009121.3, EWB00_009121.4, EWB00_009121.5, EWB00_009121.1, EWB00_009121.7, EWB00_009121.6	SINT1_29330.1, SINT1_29330.2, SINT1_29330.3, SINT1_29330.4, SINT1_29330.5, SINT1_29330.6
OG0001407	EWB00_004502	SINT1_83350.1, SINT1_83400.1, SINT1_84150.1
OG0001408	EWB00_006991	SINT1_24380.1
OG0001408	EWB00_006989.1, EWB00_006989.2, EWB00_006989.3	SINT1_24360.1, SINT1_24360.2
OG0001409	EWB00_007601	SINT1_49580.1, SINT1_49580.2, SINT1_49580.3, SINT1_49580.4, SINT1_49580.5
OG0001410	EWB00_008363.1, EWB00_008363.2, EWB00_008362.3, EWB00_008362.1, EWB00_008362.2	SINT1_35040.1, SINT1_35040.2, SINT1_35040.3, SINT1_35040.4, SINT1_35040.5, SINT1_35040.6, SINT1_35040.7, SINT1_35040.8, SINT1_35040.9, SINT1_35030.1
OG0001411	EWB00_003306.1, EWB00_003306.2, EWB00_003306.3	SINT1_28630.3, SINT1_28630.1, SINT1_28630.2, SINT1_28630.4
OG0001412	EWB00_003296.1, EWB00_003296.2	SINT1_28720.1, SINT1_28720.2
OG0001413	EWB00_003030.1, EWB00_003030.2	SINT1_92650.1, SINT1_92650.2, SINT1_92650.3
OG0001414	EWB00_004847	SINT1_4260.1
OG0001415	EWB00_004624	SINT1_31420.1, SINT1_31420.2, SINT1_31420.3
OG0001416	EWB00_009367.2, EWB00_009367.1	SINT1_14650.1
OG0001417	EWB00_000686.1, EWB00_000686.2	SINT1_12430.5, SINT1_12430.3, SINT1_12430.1, SINT1_12430.4, SINT1_12430.2
OG0001418	EWB00_010214.2, EWB00_010214.1, EWB00_010214.3, EWB00_010214.4, EWB00_010214.5	SINT1_210.1, SINT1_210.4, SINT1_210.2, SINT1_210.3
OG0001420	EWB00_001481.1, EWB00_001481.2, EWB00_001481.3	SINT1_81060.1
OG0001421	EWB00_004354	SINT1_36760.1, SINT1_36760.3, SINT1_36760.5, SINT1_36760.2, SINT1_36760.4
OG0001422	EWB00_001374.1, EWB00_001374.2	SINT1_73950.6, SINT1_73950.1, SINT1_73950.2, SINT1_73950.4, SINT1_73950.5, SINT1_73950.3
OG0001423	EWB00_003255	SINT1_11350.1, SINT1_11330.1
OG0001424	EWB00_005772.2, EWB00_005772.5, EWB00_005772.1, EWB00_005772.6, EWB00_005772.3, EWB00_005772.4	SINT1_9450.5, SINT1_9450.4, SINT1_9450.1, SINT1_9450.3, SINT1_9450.2
OG0001425	EWB00_000266.1, EWB00_000266.2, EWB00_000266.3, EWB00_000266.4	SINT1_25570.1, SINT1_25570.2, SINT1_25570.3, SINT1_25570.4
OG0001426	EWB00_011239.2, EWB00_011239.1, EWB00_011239.3	SINT1_6240.1, SINT1_6240.2
OG0001427	EWB00_004103	SINT1_26100.1
OG0001428	EWB00_004240	SINT1_2410.1, SINT1_2410.2, SINT1_2410.3, SINT1_2410.4, SINT1_2410.5, SINT1_2410.6
OG0001429	EWB00_010670.1, EWB00_010670.2	SINT1_52980.3, SINT1_52980.4, SINT1_52980.2, SINT1_52980.1, SINT1_52980.5
OG0001430	EWB00_002214	SINT1_55080.1
OG0001430	EWB00_002215	SINT1_55060.1
OG0001431	EWB00_010501.6, EWB00_010501.4, EWB00_010501.5, EWB00_010501.1, EWB00_010501.3, EWB00_010501.2	SINT1_64900.1
OG0001432	EWB00_002429.1, EWB00_002429.2	SINT1_21960.1
OG0001433	EWB00_006443	SINT1_20870.2, SINT1_20870.1, SINT1_20870.7, SINT1_20870.5, SINT1_20870.6, SINT1_20870.3, SINT1_20870.4
OG0001434	EWB00_003352, EWB00_003353	SINT1_93480.1
OG0001435	EWB00_001419, EWB00_001418	SINT1_76160.1
OG0001436	EWB00_004555.1, EWB00_004555.2, EWB00_004555.3, EWB00_004555.4	SINT1_76550.1, SINT1_76550.2, SINT1_76550.3
OG0001437	EWB00_005353	SINT1_50000.2, SINT1_50000.4, SINT1_50000.1, SINT1_50000.3
OG0001437	EWB00_002165	SINT1_54470.1
OG0001438	EWB00_001046.1, EWB00_001046.3, EWB00_001046.2	SINT1_19120.2, SINT1_19120.1
OG0001439	EWB00_007162.1, EWB00_007162.2	SINT1_74630.2, SINT1_74630.3, SINT1_74630.8, SINT1_74630.4, SINT1_74630.5, SINT1_74630.9, SINT1_74630.1, SINT1_74630.6, SINT1_74630.7
OG0001440	EWB00_001292	SINT1_37280.1, SINT1_37280.2, SINT1_37280.3
OG0001441	EWB00_001887.1, EWB00_001887.2, EWB00_001887.3, EWB00_001887.4, EWB00_001887.5, EWB00_001891.4, EWB00_001891.6, EWB00_001891.2, EWB00_001891.3, EWB00_001891.5, EWB00_001891.1	SINT1_88500.2, SINT1_88500.1, SINT1_88500.3
OG0001442	EWB00_007731	SINT1_62090.1, SINT1_62090.3, SINT1_62090.2
OG0001443	EWB00_008501.2, EWB00_008501.1, EWB00_008501.4, EWB00_008501.3	SINT1_19600.5, SINT1_19600.2, SINT1_19600.4, SINT1_19600.1, SINT1_19600.3
OG0001444	EWB00_004974.1, EWB00_004974.3, EWB00_004974.2, EWB00_004974.4	SINT1_71770.1, SINT1_71770.3, SINT1_71770.4, SINT1_71770.2
OG0001445	EWB00_003448.1, EWB00_003448.2	SINT1_72720.1, SINT1_72720.5, SINT1_72720.6, SINT1_72720.2, SINT1_72720.3, SINT1_72720.4
OG0001446	EWB00_010796	SINT1_44740.1
OG0001447	EWB00_010576.1, EWB00_010576.2	SINT1_78660.1
OG0001447	EWB00_010579	SINT1_78650.1
OG0001448	EWB00_010570	SINT1_78640.1
OG0001448	EWB00_010574.1, EWB00_010574.2, EWB00_010573.1, EWB00_010573.2	SINT1_78730.1
OG0001449	EWB00_002956	SINT1_33120.1
OG0001450	EWB00_000063.4, EWB00_000063.6, EWB00_000063.1, EWB00_000063.2, EWB00_000063.3, EWB00_000063.5	SINT1_17290.1
OG0001454	EWB00_008794.3, EWB00_008794.1, EWB00_008794.2, EWB00_008794.4, EWB00_008794.5	SINT1_81300.1, SINT1_81300.2
OG0001455	EWB00_006672	SINT1_94670.1, SINT1_94670.2, SINT1_94670.3
OG0001456	EWB00_009329.2, EWB00_009329.4, EWB00_009329.1, EWB00_009329.3	SINT1_68010.1, SINT1_68020.1, SINT1_68020.2, SINT1_95580.1
OG0001457	EWB00_006287	SINT1_5240.2, SINT1_5240.1
OG0001458	EWB00_005995	SINT1_30280.1
OG0001459	EWB00_003190	SINT1_56980.1, SINT1_56980.2, SINT1_56970.1
OG0001460	EWB00_004279	SINT1_36060.4, SINT1_36060.5, SINT1_36060.2, SINT1_36060.1, SINT1_36060.3
OG0001461	EWB00_010024.2, EWB00_010024.3, EWB00_010024.1, EWB00_010024.4	SINT1_28360.1, SINT1_28360.2, SINT1_28360.3, SINT1_28360.4, SINT1_28360.5, SINT1_28360.6
OG0001462	EWB00_005942.4, EWB00_005942.7, EWB00_005942.3, EWB00_005942.6, EWB00_005942.8, EWB00_005942.9, EWB00_005942.10, EWB00_005942.2, EWB00_005942.1, EWB00_005942.5	SINT1_57420.1, SINT1_57420.2
OG0001463	EWB00_003859	SINT1_59260.1
OG0001464	EWB00_005411	SINT1_53230.2, SINT1_53230.1, SINT1_53230.3
OG0001465	EWB00_001179.1, EWB00_001179.2, EWB00_001179.3	SINT1_74160.1
OG0001466	EWB00_006339.1, EWB00_006339.2, EWB00_006339.3, EWB00_006339.4	SINT1_5000.1, SINT1_5000.2, SINT1_5000.3, SINT1_5000.4, SINT1_5000.5
OG0001467	EWB00_000404.4, EWB00_000404.1, EWB00_000404.2, EWB00_000404.3	SINT1_62590.1, SINT1_62590.2
OG0001468	EWB00_000106	SINT1_4600.3, SINT1_4600.4, SINT1_4600.1, SINT1_4600.2
OG0001469	EWB00_001504	SINT1_80920.2, SINT1_80920.4, SINT1_80920.1, SINT1_80920.3, SINT1_80920.5
OG0001470	EWB00_009880.1, EWB00_009880.2	SINT1_64140.1, SINT1_64140.2
OG0001471	EWB00_000232, EWB00_000231, EWB00_000235	SINT1_60240.1
OG0001472	EWB00_004700	SINT1_64040.3, SINT1_64040.4, SINT1_64040.1, SINT1_64040.2
OG0001473	EWB00_011064.1, EWB00_011064.3, EWB00_011064.2	SINT1_73030.1, SINT1_73030.2, SINT1_73030.3, SINT1_73030.4, SINT1_73030.5
OG0001474	EWB00_003899	SINT1_40490.1
OG0001475	EWB00_002159.1, EWB00_002159.2, EWB00_002159.3	SINT1_54420.4, SINT1_54420.1, SINT1_54420.2, SINT1_54420.3
OG0001476	EWB00_009089, EWB00_009090	SINT1_8560.1
OG0001477	EWB00_008376.5, EWB00_008376.1, EWB00_008376.3, EWB00_008376.2, EWB00_008376.4	SINT1_55620.1, SINT1_55620.2, SINT1_55620.3
OG0001478	EWB00_011273, EWB00_002424.2, EWB00_002424.1, EWB00_002424.3	SINT1_22000.2, SINT1_22000.7, SINT1_22000.1, SINT1_22000.6, SINT1_22000.4, SINT1_22000.3, SINT1_22000.5
OG0001479	EWB00_010375.1, EWB00_010375.2	SINT1_9620.1, SINT1_9620.4, SINT1_9620.2, SINT1_9620.3, SINT1_9620.5, SINT1_9620.6
OG0001480	EWB00_004676	SINT1_10960.1, SINT1_10960.2, SINT1_10960.3
OG0001481	EWB00_010804	SINT1_47590.1, SINT1_47600.1
OG0001482	EWB00_000369	SINT1_90680.1, SINT1_90680.2
OG0001483	EWB00_007364.1, EWB00_007364.2, EWB00_007364.3	SINT1_70850.1
OG0001484	EWB00_007567.2, EWB00_007567.1, EWB00_007567.3, EWB00_007567.4	SINT1_22830.1, SINT1_22830.2, SINT1_22830.3
OG0001485	EWB00_001745.1, EWB00_001745.2, EWB00_001745.3, EWB00_001745.4, EWB00_001745.5	SINT1_33930.2, SINT1_33930.1, SINT1_33930.3
OG0001486	EWB00_010654	SINT1_52820.1, SINT1_52820.2
OG0001487	EWB00_001107.1, EWB00_001107.2, EWB00_001107.3	SINT1_24700.1
OG0001488	EWB00_004266	SINT1_35930.1, SINT1_35930.3, SINT1_35930.2
OG0001488	EWB00_004796	SINT1_93830.1
OG0001489	EWB00_000255.1, EWB00_000255.2, EWB00_000255.3	SINT1_25470.1, SINT1_25470.2
OG0001490	EWB00_002584	SINT1_31630.1
OG0001491	EWB00_006325.1, EWB00_006325.2	SINT1_5600.1
OG0001492	EWB00_010698	SINT1_48420.1, SINT1_95660.1
OG0001493	EWB00_000174	SINT1_45970.1, SINT1_45970.2
OG0001494	EWB00_008039.1, EWB00_008039.2	SINT1_26530.2, SINT1_26530.3, SINT1_26530.4, SINT1_26530.5, SINT1_26530.1
OG0001495	EWB00_008592.1, EWB00_008592.2	SINT1_7660.1, SINT1_7660.4, SINT1_7660.2, SINT1_7660.3
OG0001496	EWB00_007183.1, EWB00_007183.2, EWB00_007183.3	SINT1_74710.4, SINT1_74710.2, SINT1_74710.6, SINT1_74710.1, SINT1_74710.5, SINT1_74710.7, SINT1_74710.3
OG0001497	EWB00_003402	SINT1_34510.1, SINT1_34510.2
OG0001498	EWB00_009904	SINT1_45340.1
OG0001499	EWB00_005585	SINT1_62390.1, SINT1_63920.1
OG0001500	EWB00_003991.3, EWB00_003991.1, EWB00_003991.2	SINT1_65870.2, SINT1_65870.1
OG0001501	EWB00_007411	SINT1_91250.1, SINT1_91250.2, SINT1_91250.3, SINT1_91250.4, SINT1_91250.5, SINT1_91250.6, SINT1_91250.7, SINT1_91250.8, SINT1_91250.9
OG0001502	EWB00_010230	SINT1_96450.1, SINT1_650.1
OG0001503	EWB00_006507.1, EWB00_006507.2, EWB00_006507.3, EWB00_006507.4, EWB00_006507.5	SINT1_51620.1, SINT1_51620.2
OG0001504	EWB00_007101.2, EWB00_007101.3, EWB00_007101.6, EWB00_007101.7, EWB00_007101.4, EWB00_007101.5, EWB00_007101.1	SINT1_63070.1
OG0001505	EWB00_005893	SINT1_91760.2, SINT1_91750.1, SINT1_91760.1
OG0001506	EWB00_009392.1, EWB00_009392.2	SINT1_14360.1
OG0001507	EWB00_006823	SINT1_52120.1, SINT1_52120.2, SINT1_52120.3
OG0001508	EWB00_009523	SINT1_38890.1, SINT1_38890.2, SINT1_38890.3, SINT1_38890.5, SINT1_38890.4, SINT1_38890.6
OG0001509	EWB00_010948	SINT1_74900.1
OG0001510	EWB00_008757.1, EWB00_008757.3, EWB00_008757.4, EWB00_008757.2	SINT1_41770.1
OG0001511	EWB00_010906.1, EWB00_010906.2, EWB00_010906.3, EWB00_010906.4	SINT1_31850.1
OG0001512	EWB00_007373	SINT1_70760.2, SINT1_70760.3, SINT1_70760.1
OG0001513	EWB00_009356.1, EWB00_009356.2	SINT1_14570.1, SINT1_14560.1
OG0001514	EWB00_003846.1, EWB00_003846.2	SINT1_1610.2, SINT1_1610.1
OG0001515	EWB00_009461	SINT1_9320.1
OG0001516	EWB00_010316.1, EWB00_010316.2	SINT1_20010.1
OG0001516	EWB00_010314.3, EWB00_010314.4, EWB00_010314.2	SINT1_19990.1
OG0001517	EWB00_010873.3, EWB00_010873.1, EWB00_010873.2, EWB00_010873.4	SINT1_27610.1, SINT1_27610.2, SINT1_27610.3
OG0001518	EWB00_007187	SINT1_74760.3, SINT1_74760.6, SINT1_74760.5, SINT1_74760.4, SINT1_74760.1, SINT1_74760.2
OG0001519	EWB00_007156, EWB00_007158.1, EWB00_007158.2, EWB00_007158.3	SINT1_74590.1
OG0001520	EWB00_008664.1, EWB00_008664.4, EWB00_008664.2, EWB00_008664.3	SINT1_8680.2, SINT1_8680.3, SINT1_8680.1, SINT1_8680.4
OG0001521	EWB00_011168.1, EWB00_011168.2	SINT1_54800.1
OG0001522	EWB00_000808.4, EWB00_000808.3, EWB00_000808.1, EWB00_000808.2	SINT1_10010.2, SINT1_10010.1, SINT1_10010.3
OG0001523	EWB00_008071	SINT1_48510.5, SINT1_48510.6, SINT1_48510.1, SINT1_48510.2, SINT1_48510.3, SINT1_48510.4
OG0001524	EWB00_008943.2, EWB00_008943.1, EWB00_008943.4, EWB00_008943.3	SINT1_80610.2, SINT1_80610.3, SINT1_80610.4, SINT1_80610.5, SINT1_80610.1
OG0001525	EWB00_001725	SINT1_33830.1
OG0001527	EWB00_000712, EWB00_004948	SINT1_87820.1, SINT1_87820.7, SINT1_87820.3, SINT1_87820.5, SINT1_87820.4, SINT1_87820.2, SINT1_87820.6
OG0001528	EWB00_006389	SINT1_42910.1, SINT1_42910.4, SINT1_42910.5, SINT1_42910.6, SINT1_42910.3, SINT1_42910.2
OG0001529	EWB00_011254.1, EWB00_011254.2	SINT1_58690.1
OG0001530	EWB00_002535.1, EWB00_009946, EWB00_002535.2, EWB00_002535.3	SINT1_46570.1, SINT1_46570.2
OG0001531	EWB00_002439.3, EWB00_002439.2, EWB00_002439.4, EWB00_002439.1	SINT1_16730.1, SINT1_16730.2
OG0001532	EWB00_007573.1, EWB00_007573.2	SINT1_2870.1
OG0001533	EWB00_010521	SINT1_58420.1, SINT1_58420.3, SINT1_58420.2, SINT1_58420.4, SINT1_58420.5
OG0001534	EWB00_011036.1, EWB00_011036.2	SINT1_73330.1
OG0001535	EWB00_006942	SINT1_85760.4, SINT1_85760.5, SINT1_85760.1, SINT1_85760.2, SINT1_85760.3, SINT1_85760.6
OG0001536	EWB00_006442	SINT1_20880.2, SINT1_20880.1, SINT1_20880.4, SINT1_20880.3
OG0001537	EWB00_005648	SINT1_1360.2, SINT1_1360.1, SINT1_1370.3, SINT1_1370.2, SINT1_1370.1
OG0001538	EWB00_000322	SINT1_86460.1
OG0001539	EWB00_005624.2, EWB00_005624.1	SINT1_1510.1
OG0001540	EWB00_006207.1, EWB00_006207.2, EWB00_006207.3, EWB00_006207.4	SINT1_39100.1, SINT1_39080.1, SINT1_39080.2
OG0001541	EWB00_010178.1, EWB00_010178.2, EWB00_010179	SINT1_82720.1, SINT1_82720.3, SINT1_82720.2, SINT1_82720.4
OG0001542	EWB00_010723.1, EWB00_010723.2	SINT1_48160.1, SINT1_48160.2, SINT1_48160.3, SINT1_48160.4
OG0001543	EWB00_008401.3, EWB00_008401.4, EWB00_008401.1, EWB00_008401.2	SINT1_82580.1, SINT1_82580.2
OG0001544	EWB00_009740.1, EWB00_009740.2	SINT1_12760.1
OG0001545	EWB00_002078.1, EWB00_002078.2	SINT1_46950.1, SINT1_46950.2, SINT1_46950.3, SINT1_46950.4
OG0001546	EWB00_004303	SINT1_36280.1
OG0001547	EWB00_004888.1, EWB00_004888.2, EWB00_004888.3	SINT1_44960.1, SINT1_44960.2, SINT1_44970.1
OG0001548	EWB00_005068.3, EWB00_005068.1, EWB00_005068.2	SINT1_87940.1, SINT1_87940.2
OG0001549	EWB00_004742.3, EWB00_004742.1, EWB00_004742.2	SINT1_45470.5, SINT1_45470.1, SINT1_45470.4, SINT1_45470.2, SINT1_45470.3, SINT1_45470.6
OG0001554	EWB00_002893	SINT1_30790.1
OG0001555	EWB00_007184	SINT1_74740.1, SINT1_74720.1, SINT1_74720.2
OG0001556	EWB00_003408.4, EWB00_003408.1, EWB00_003408.3, EWB00_003408.2	SINT1_32290.2, SINT1_32290.3, SINT1_32290.1
OG0001557	EWB00_001587	SINT1_41130.1
OG0001558	EWB00_004824, EWB00_009609.2, EWB00_009609.1	SINT1_79380.1
OG0001559	EWB00_003678	SINT1_50750.1, SINT1_50740.1, SINT1_50720.1
OG0001560	EWB00_007132.1, EWB00_007132.2, EWB00_007132.3	SINT1_62820.1, SINT1_62820.2
OG0001562	EWB00_001403, EWB00_001401	SINT1_73710.1
OG0001563	EWB00_001576	SINT1_43750.1, SINT1_43750.2
OG0001564	EWB00_008720, EWB00_008721	SINT1_48860.1, SINT1_48850.1, SINT1_48870.1
OG0001565	EWB00_003657.1, EWB00_003657.3, EWB00_003657.4, EWB00_003657.2	SINT1_64460.1, SINT1_64460.2, SINT1_64460.3, SINT1_64460.4
OG0001566	EWB00_003963.2, EWB00_003963.1, EWB00_003963.3	SINT1_62720.1
OG0001567	EWB00_008254.1, EWB00_008254.2	SINT1_76430.3, SINT1_76430.1, SINT1_76430.2, SINT1_76430.4
OG0001568	EWB00_009895, EWB00_010378	SINT1_79030.6, SINT1_79030.8, SINT1_79030.2, SINT1_79030.7, SINT1_79030.1, SINT1_79030.3, SINT1_79030.4, SINT1_79030.5
OG0001569	EWB00_002399, EWB00_002400	SINT1_22420.1
OG0001570	EWB00_000946.4, EWB00_000946.1, EWB00_000946.3, EWB00_000946.2	SINT1_70080.1, SINT1_70080.2
OG0001571	EWB00_010226	SINT1_690.1
OG0001571	EWB00_008986	SINT1_6410.1
OG0001572	EWB00_003961	SINT1_62740.5, SINT1_62740.2, SINT1_62740.8, SINT1_62740.3, SINT1_62740.1, SINT1_62740.6, SINT1_62740.7, SINT1_62740.9, SINT1_62740.4
OG0001573	EWB00_005049.1, EWB00_005049.2, EWB00_005049.3	SINT1_26610.1, SINT1_26610.2, SINT1_26610.3
OG0001574	EWB00_001475.1, EWB00_001475.2, EWB00_001475.3	SINT1_35300.1
OG0001575	EWB00_008443, EWB00_009866, EWB00_009867, EWB00_009869, EWB00_009868, EWB00_008442	SINT1_11830.1
OG0001576	EWB00_004468	SINT1_86940.1
OG0001577	EWB00_000631	SINT1_29110.1, SINT1_29110.2
OG0001578	EWB00_003565	SINT1_56230.4, SINT1_56230.1, SINT1_56230.2, SINT1_56230.3
OG0001579	EWB00_000084	SINT1_17040.1, SINT1_17040.3, SINT1_17040.2
OG0001580	EWB00_003247	SINT1_42030.1, SINT1_42030.2
OG0001581	EWB00_001247.1, EWB00_001247.2, EWB00_001247.6, EWB00_001247.4, EWB00_001247.3, EWB00_001247.5, EWB00_001247.7	SINT1_77480.3, SINT1_77480.1, SINT1_77480.4, SINT1_77480.2
OG0001582	EWB00_007839.2, EWB00_007839.3, EWB00_007839.4, EWB00_007839.5, EWB00_007839.6, EWB00_007839.7, EWB00_007839.8, EWB00_007839.10, EWB00_007839.11, EWB00_007839.12, EWB00_007839.13, EWB00_007839.14, EWB00_007839.9, EWB00_007839.1	SINT1_55810.1, SINT1_55810.2, SINT1_55810.3
OG0001583	EWB00_008305	SINT1_41900.4, SINT1_41900.1, SINT1_41900.2, SINT1_41900.5, SINT1_41900.3
OG0001584	EWB00_003372.1, EWB00_003372.2	SINT1_34790.1, SINT1_34790.2, SINT1_34790.3, SINT1_34790.4
OG0001585	EWB00_003931	SINT1_40170.1
OG0001586	EWB00_000604	SINT1_18000.2, SINT1_18000.6, SINT1_18000.1, SINT1_18000.3, SINT1_18000.5, SINT1_18000.4
OG0001587	EWB00_001056.2, EWB00_001056.4, EWB00_001056.1, EWB00_001056.3	SINT1_18990.2, SINT1_18990.1, SINT1_18990.3
OG0001588	EWB00_000393.4, EWB00_000393.3, EWB00_000393.2, EWB00_000393.1, EWB00_000393.5	SINT1_62470.2, SINT1_62470.1
OG0001589	EWB00_001764, EWB00_001763	SINT1_34080.1, SINT1_34080.2, SINT1_34080.5, SINT1_34080.3, SINT1_34080.4
OG0001590	EWB00_000529.1, EWB00_000529.2	SINT1_68830.1, SINT1_68840.1, SINT1_68840.2
OG0001591	EWB00_001817, EWB00_001818	SINT1_94810.2, SINT1_94810.1, SINT1_94810.3, SINT1_94810.5, SINT1_94810.4
OG0001592	EWB00_005480.1, EWB00_005480.2, EWB00_005480.3	SINT1_18810.1, SINT1_18810.2
OG0001593	EWB00_011133.1, EWB00_011133.2	SINT1_61100.1, SINT1_61100.2, SINT1_61100.3, SINT1_61100.4, SINT1_61100.5
OG0001594	EWB00_004309.1, EWB00_004309.2	SINT1_36340.1
OG0001595	EWB00_010479	SINT1_65100.1
