Orthogroup	schistosoma_turkestanicum	schistosoma_japonicum
OG0001721	STRK1_97580.1	EWB00_005128.1, EWB00_005128.2
OG0001722	STRK1_10450.1, STRK1_10450.2, STRK1_10440.1, STRK1_10430.1	EWB00_009862.4, EWB00_009862.3, EWB00_009862.2, EWB00_009862.1
OG0001723	STRK1_10230.1, STRK1_10230.2	EWB00_005542
OG0001724	STRK1_70340.1	EWB00_009579.1, EWB00_009579.2, EWB00_009579.4, EWB00_009579.3
OG0001725	STRK1_68850.1	EWB00_006118.1, EWB00_006118.2
OG0001726	STRK1_30590.1	EWB00_004248
OG0001726	STRK1_80000.1	EWB00_010136, EWB00_010137
OG0001727	STRK1_85340.1	EWB00_001981.1, EWB00_001981.2, EWB00_001981.3, EWB00_001982
OG0001728	STRK1_58570.1, STRK1_58570.2, STRK1_58570.3	EWB00_005587
OG0001729	STRK1_10050.1	EWB00_004669
OG0001730	STRK1_2680.2, STRK1_2680.5, STRK1_2680.1, STRK1_2680.4, STRK1_2680.3	EWB00_005425
OG0001731	STRK1_29200.1	EWB00_010113.1, EWB00_010113.2, EWB00_010113.3
OG0001732	STRK1_50910.1	EWB00_010708
OG0001733	STRK1_57830.1, STRK1_104790.1	EWB00_006579.1, EWB00_006579.2
OG0001734	STRK1_89730.2, STRK1_89730.1, STRK1_89730.3, STRK1_89730.4, STRK1_102590.1	EWB00_000355.1, EWB00_000355.2
OG0001735	STRK1_26430.1	EWB00_008027
OG0001736	STRK1_14100.1	EWB00_000076
OG0001737	STRK1_98320.1, STRK1_89130.1, STRK1_102570.1, STRK1_89140.1	EWB00_008580
OG0001738	STRK1_39740.1	EWB00_004730
OG0001739	STRK1_39280.1	EWB00_004148
OG0001740	STRK1_48640.1	EWB00_000764
OG0001741	STRK1_15700.3, STRK1_15700.1, STRK1_15700.5, STRK1_15700.6, STRK1_15700.4, STRK1_15700.2	EWB00_000113.2, EWB00_000113.1
OG0001742	STRK1_47970.1	EWB00_009309
OG0001743	STRK1_85850.1	EWB00_005069.1, EWB00_005069.2
OG0001744	STRK1_66340.1	EWB00_008931.1, EWB00_008931.2, EWB00_008931.3, EWB00_008931.5, EWB00_008931.4
OG0001745	STRK1_97790.1, STRK1_27430.1, STRK1_27430.2	EWB00_001325
OG0001746	STRK1_80370.1, STRK1_80370.2	EWB00_008300
OG0001747	STRK1_3580.1	EWB00_010827
OG0001748	STRK1_56440.1	EWB00_009580
OG0001749	STRK1_26340.1	EWB00_008038.2, EWB00_008038.1, EWB00_008038.3
OG0001750	STRK1_16080.1, STRK1_16080.2, STRK1_16070.2, STRK1_16070.1, STRK1_16070.3	EWB00_004829.1, EWB00_004829.2, EWB00_004830
OG0001751	STRK1_26220.1	EWB00_005046.1, EWB00_005046.2
OG0001752	STRK1_9630.1, STRK1_9630.2	EWB00_009191.1, EWB00_009191.2
OG0001753	STRK1_10680.4, STRK1_10680.2, STRK1_10680.3, STRK1_10680.1	EWB00_004195
OG0001754	STRK1_57620.1	EWB00_003866
OG0001755	STRK1_16170.1, STRK1_16170.2, STRK1_16170.3, STRK1_16170.4	EWB00_009019.3, EWB00_009019.4, EWB00_009019.5, EWB00_009019.1, EWB00_009019.2
OG0001756	STRK1_49060.1, STRK1_49060.2	EWB00_005339.4, EWB00_005339.2, EWB00_005339.7, EWB00_005339.3, EWB00_005339.1, EWB00_005339.5, EWB00_005339.6
OG0001757	STRK1_50420.2, STRK1_50420.1, STRK1_50420.3	EWB00_008089.1, EWB00_008089.2
OG0001758	STRK1_82650.1	EWB00_008645.1, EWB00_008645.2
OG0001759	STRK1_65980.1	EWB00_006252
OG0001760	STRK1_61210.1	EWB00_009898, EWB00_005773
OG0001761	STRK1_79240.1, STRK1_79260.1, STRK1_79230.1, STRK1_79220.1	EWB00_011085, EWB00_008774.1, EWB00_008774.2
OG0001762	STRK1_90460.1	EWB00_006675.1, EWB00_006675.2
OG0001763	STRK1_32630.1	EWB00_007453.1, EWB00_007453.2
OG0001764	STRK1_14990.1	EWB00_003107
OG0001765	STRK1_65860.1	EWB00_006261
OG0001766	STRK1_35430.1, STRK1_35430.2	EWB00_003400
OG0001767	STRK1_16230.1	EWB00_009027
OG0001768	STRK1_83760.1, STRK1_83760.2, STRK1_110440.1, STRK1_90860.1, STRK1_83770.1	EWB00_011364.1, EWB00_011364.2, EWB00_011364.3
OG0001769	STRK1_17500.1	EWB00_007867
OG0001770	STRK1_34820.1	EWB00_008145.1, EWB00_008145.2
OG0001771	STRK1_47100.1	EWB00_010612
OG0001772	STRK1_86290.1	EWB00_001858
OG0001773	STRK1_64050.1, STRK1_64050.2	EWB00_008867
OG0001774	STRK1_6360.1	EWB00_008539
OG0001775	STRK1_2700.1	EWB00_005423
OG0001776	STRK1_93390.1	EWB00_001450
OG0001777	STRK1_15300.1	EWB00_006296.2, EWB00_006296.3, EWB00_006296.4, EWB00_006296.5, EWB00_010820.2, EWB00_006296.1, EWB00_010820.1
OG0001778	STRK1_86620.1, STRK1_86620.2, STRK1_109070.1	EWB00_001931.1, EWB00_001931.2, EWB00_001931.3
OG0001779	STRK1_22220.1	EWB00_007071.1, EWB00_007071.2
OG0001780	STRK1_26980.1	EWB00_003266
OG0001781	STRK1_93160.1, STRK1_93160.2	EWB00_005839.1, EWB00_005839.2
OG0001782	STRK1_63020.1, STRK1_63020.2, STRK1_63020.4, STRK1_63020.5, STRK1_63020.3	EWB00_009818.6, EWB00_009818.4, EWB00_009818.1, EWB00_009818.2, EWB00_009818.5, EWB00_009818.3
OG0001783	STRK1_29320.1, STRK1_29320.2	EWB00_002890
OG0001784	STRK1_37370.5, STRK1_37370.4, STRK1_37370.2, STRK1_37370.1, STRK1_37370.3	EWB00_002793.1, EWB00_002793.2, EWB00_002793.3, EWB00_002793.4, EWB00_002793.5, EWB00_002793.6
OG0001785	STRK1_105890.2, STRK1_105890.1, STRK1_106430.1, STRK1_21420.1, STRK1_21410.1, STRK1_21410.2, STRK1_21410.3, STRK1_21410.4	EWB00_007557
OG0001786	STRK1_63570.1, STRK1_63570.2	EWB00_010439
OG0001787	STRK1_21400.1, STRK1_21400.2, STRK1_102650.1	EWB00_007555
OG0001789	STRK1_20850.1, STRK1_20860.1, STRK1_20860.2	EWB00_008564.2, EWB00_008564.4, EWB00_008564.3, EWB00_008564.1, EWB00_008564.5
OG0001790	STRK1_38530.1, STRK1_38530.2	EWB00_003915.3, EWB00_003915.4, EWB00_003915.1, EWB00_003915.2, EWB00_003915.5
OG0001791	STRK1_89370.1, STRK1_89500.1	EWB00_004963.1, EWB00_004963.2, EWB00_004963.3
OG0001792	STRK1_73220.1	EWB00_001226.2, EWB00_001226.1, EWB00_001226.3
OG0001793	STRK1_87500.1, STRK1_87500.2	EWB00_011395.1, EWB00_011395.2
OG0001794	STRK1_65870.1, STRK1_65870.2	EWB00_006260.4, EWB00_006260.2, EWB00_006260.3, EWB00_006260.1, EWB00_006260.5
OG0001795	STRK1_49000.1, STRK1_48990.1	EWB00_004440, EWB00_005333
OG0001800	STRK1_53850.1	EWB00_000890.1, EWB00_000890.2
OG0001801	STRK1_5320.1	EWB00_009398
OG0001802	STRK1_31380.2, STRK1_31380.1, STRK1_31380.3, STRK1_31380.4	EWB00_004332.1, EWB00_004332.2
OG0001803	STRK1_38700.1	EWB00_002836
OG0001804	STRK1_34180.1	EWB00_002126
OG0001805	STRK1_40060.1, STRK1_108740.1	EWB00_000017.1, EWB00_000017.2, EWB00_000017.3
OG0001806	STRK1_92370.1	EWB00_006638
OG0001807	STRK1_5310.1	EWB00_004204
OG0001808	STRK1_3840.1	EWB00_000043, EWB00_001027
OG0001809	STRK1_34400.1	EWB00_002951.2, EWB00_002951.1, EWB00_002951.3
OG0001810	STRK1_90340.1	EWB00_002054.3, EWB00_002054.2, EWB00_002054.1
OG0001811	STRK1_66980.1	EWB00_010046.1, EWB00_010046.2
OG0001811	STRK1_12210.1	EWB00_003080.2, EWB00_003080.3, EWB00_003080.1, EWB00_003080.4, EWB00_003080.5
OG0001812	STRK1_74210.1, STRK1_74210.2, STRK1_74210.3, STRK1_74210.4	EWB00_001383.1, EWB00_001383.2
OG0001813	STRK1_10900.1, STRK1_10910.1	EWB00_008448, EWB00_008454
OG0001814	STRK1_108280.1	EWB00_007255.3, EWB00_007255.2, EWB00_007255.4, EWB00_007255.1
OG0001815	STRK1_45430.1	EWB00_006877
OG0001816	STRK1_45240.1, STRK1_45250.1	EWB00_008962
OG0001817	STRK1_28470.1	EWB00_006214.2, EWB00_006214.6, EWB00_006214.7, EWB00_006214.1, EWB00_006214.3, EWB00_006214.4, EWB00_006214.5
OG0001818	STRK1_49720.1, STRK1_49720.2	EWB00_007620.2, EWB00_007620.3, EWB00_007620.1
OG0001819	STRK1_18000.1, STRK1_18000.2, STRK1_18000.3	EWB00_010311.1, EWB00_010311.2
OG0001820	STRK1_55380.1	EWB00_011327.1, EWB00_011327.2
OG0001821	STRK1_56560.1	EWB00_003220.3
OG0001822	STRK1_92000.1, STRK1_77350.1	EWB00_000791
OG0001823	STRK1_19350.1	EWB00_006130
OG0001824	STRK1_4420.1	EWB00_002376
OG0001825	STRK1_52600.1	EWB00_005323.1, EWB00_005323.4, EWB00_005323.2, EWB00_005323.3
OG0001826	STRK1_15420.1	EWB00_006283
OG0001827	STRK1_74950.1	EWB00_004569
OG0001828	STRK1_47230.2, STRK1_47230.4, STRK1_47230.1, STRK1_47230.3	EWB00_010656
OG0001829	STRK1_23790.1	EWB00_003359
OG0001831	STRK1_58970.3, STRK1_58970.1, STRK1_58970.2	EWB00_008871
OG0001832	STRK1_78880.1	EWB00_006761
OG0001833	STRK1_78870.1, STRK1_78870.2	EWB00_006762
OG0001834	STRK1_75710.1	EWB00_011028
OG0001835	STRK1_14430.1	EWB00_007631
OG0001836	STRK1_17280.1	EWB00_007589.1, EWB00_007589.2, EWB00_007589.3
OG0001837	STRK1_79550.1	EWB00_008945.1, EWB00_008945.2
OG0001838	STRK1_26200.1, STRK1_26200.2	EWB00_005045.3, EWB00_005045.1, EWB00_005045.2, EWB00_005045.4, EWB00_005045.5
OG0001839	STRK1_51460.1	EWB00_005382.3, EWB00_005382.4, EWB00_005382.5, EWB00_005382.1, EWB00_005382.2
OG0001840	STRK1_32930.1, STRK1_32930.2, STRK1_32930.3	EWB00_003145.2, EWB00_003145.1, EWB00_003145.3, EWB00_003145.4
OG0001841	STRK1_14750.1, STRK1_14750.2	EWB00_003124, EWB00_009787
OG0001842	STRK1_90950.1	EWB00_000568.1, EWB00_000568.2, EWB00_000568.3
OG0001843	STRK1_106240.1, STRK1_39750.1	EWB00_004731.1, EWB00_004731.2
OG0001845	STRK1_94510.1	EWB00_001437
OG0001846	STRK1_25870.1	EWB00_005010.1, EWB00_005010.2
OG0001847	STRK1_6440.1	EWB00_009082
OG0001848	STRK1_3270.1	EWB00_006326
OG0001849	STRK1_61800.1	EWB00_009871.2, EWB00_009871.1, EWB00_009871.3, EWB00_009871.4
OG0001850	STRK1_71550.1	EWB00_004542
OG0001851	STRK1_47220.1	EWB00_010657.1, EWB00_010657.2
OG0001852	STRK1_36550.1, STRK1_36550.2	EWB00_009114
OG0001853	STRK1_16650.1, STRK1_16650.2	EWB00_001639.2, EWB00_001639.1, EWB00_001639.3, EWB00_001639.4, EWB00_001639.5, EWB00_001639.6
OG0001854	STRK1_90730.1	EWB00_003747
OG0001855	STRK1_69380.1, STRK1_69380.2, STRK1_69380.3, STRK1_69380.4	EWB00_001590.1, EWB00_001590.2
OG0001855	STRK1_69380.5	EWB00_001590.3
OG0001856	STRK1_73400.1	EWB00_007149.2, EWB00_007149.1
OG0001857	STRK1_72820.1	EWB00_011005.1, EWB00_011005.2
OG0001858	STRK1_42380.1, STRK1_42380.2, STRK1_42380.3	EWB00_008289.1, EWB00_008289.2
OG0001859	STRK1_12430.1, STRK1_108870.1, STRK1_12420.1	EWB00_008660
OG0001860	STRK1_25660.3, STRK1_25660.1, STRK1_25660.2	EWB00_010601, EWB00_000663.1, EWB00_000663.2
OG0001861	STRK1_71910.1	EWB00_001369.1, EWB00_001369.2
OG0001862	STRK1_15850.1, STRK1_15850.2	EWB00_004860
OG0001863	STRK1_25710.1	EWB00_000659
OG0001864	STRK1_72100.1, STRK1_72100.2	EWB00_001182.7, EWB00_001182.6, EWB00_001182.5, EWB00_001182.1, EWB00_001182.3, EWB00_001182.2, EWB00_001182.4
OG0001865	STRK1_15550.1, STRK1_15550.2, STRK1_15550.3, STRK1_15550.4	EWB00_007776.1, EWB00_007776.3, EWB00_007776.2
OG0001866	STRK1_86440.1	EWB00_001683.1, EWB00_001683.2, EWB00_001683.3
OG0001867	STRK1_49680.1	EWB00_007616.1, EWB00_007616.2
OG0001868	STRK1_17460.1	EWB00_007873.1
OG0001869	STRK1_18800.1, STRK1_18750.1	EWB00_002497, EWB00_002496
OG0001870	STRK1_52460.1	EWB00_005310.1, EWB00_005310.2
OG0001871	STRK1_40960.1, STRK1_97480.1	EWB00_006383
OG0001872	STRK1_80020.1	EWB00_001508.4, EWB00_001508.3, EWB00_001508.1, EWB00_001508.2
OG0001873	STRK1_34810.1	EWB00_008148.1, EWB00_008148.2, EWB00_008148.3
OG0001874	STRK1_21780.1, STRK1_21780.2, STRK1_21780.3	EWB00_001528.1, EWB00_001528.2
OG0001875	STRK1_88070.1	EWB00_008995.1, EWB00_008995.2, EWB00_008995.3
OG0001876	STRK1_20500.1	EWB00_002412.2, EWB00_002412.3, EWB00_002412.1, EWB00_002412.4
OG0001878	STRK1_98740.1, STRK1_53250.1, STRK1_109430.1, STRK1_98730.1	EWB00_005121, EWB00_005120, EWB00_005118, EWB00_011374, EWB00_005119.1, EWB00_005119.2
OG0001879	STRK1_26350.1	EWB00_008037.1, EWB00_008037.6, EWB00_008037.2, EWB00_008037.3, EWB00_008037.4, EWB00_008037.5
OG0001880	STRK1_17700.1	EWB00_010357.1, EWB00_010357.2
OG0001881	STRK1_57350.1	EWB00_011255
OG0001882	STRK1_75620.1	EWB00_010945
OG0001883	STRK1_16930.1	EWB00_007343
OG0001884	STRK1_88080.1	EWB00_003270
OG0001885	STRK1_8480.1, STRK1_102660.1	EWB00_009963, EWB00_009964, EWB00_004694
OG0001886	STRK1_70490.1, STRK1_70520.1	EWB00_004977.1, EWB00_004977.2
OG0001887	STRK1_111220.1	EWB00_005903.1, EWB00_005903.2
OG0001888	STRK1_64530.1	EWB00_003971
OG0001889	STRK1_81670.1	EWB00_009141.1, EWB00_009141.2
OG0001890	STRK1_45700.1	EWB00_010808.1, EWB00_010808.2, EWB00_010808.3
OG0001891	STRK1_88910.1, STRK1_88920.1, STRK1_89800.1	EWB00_002104
OG0001892	STRK1_76330.1	EWB00_001252.1, EWB00_001252.2, EWB00_001252.3, EWB00_001252.4
OG0001893	STRK1_34950.1, STRK1_34950.2, STRK1_34950.3	EWB00_001721.3, EWB00_001721.2, EWB00_001721.1
OG0001894	STRK1_79310.1, STRK1_79310.2, STRK1_79310.3, STRK1_79310.4	EWB00_003770
OG0001895	STRK1_42600.1, STRK1_42600.2, STRK1_42650.1	EWB00_009690, EWB00_009691
OG0001896	STRK1_29160.1, STRK1_29160.2	EWB00_004132
OG0001897	STRK1_72470.1	EWB00_007394.1, EWB00_007394.3, EWB00_007394.2
OG0001898	STRK1_56070.1	EWB00_005570
OG0001899	STRK1_28480.1, STRK1_28480.2	EWB00_006215
OG0001900	STRK1_73790.1, STRK1_73790.2	EWB00_007260.2, EWB00_007260.1
OG0001901	STRK1_29790.1, STRK1_29790.2	EWB00_005993
OG0001903	STRK1_81870.1	EWB00_004495.1, EWB00_004495.2, EWB00_004495.3
OG0001904	STRK1_11500.1	EWB00_002306
OG0001905	STRK1_104070.1, STRK1_56210.2, STRK1_56200.1, STRK1_56200.2, STRK1_56210.1, STRK1_53590.1	EWB00_010033, EWB00_010032
OG0001906	STRK1_36580.2, STRK1_36580.1, STRK1_36580.3	EWB00_009148.1, EWB00_009148.2, EWB00_009148.4, EWB00_009148.3
OG0001907	STRK1_6270.1	EWB00_008532.1, EWB00_008532.2, EWB00_008532.3
OG0001908	STRK1_62080.1, STRK1_62090.1	EWB00_000904.1, EWB00_000904.2
OG0001909	STRK1_93170.1	EWB00_005840.4, EWB00_005840.1, EWB00_005840.5, EWB00_005840.2, EWB00_005840.3
OG0001910	STRK1_28890.1	EWB00_004369.1, EWB00_004369.3, EWB00_004369.2
OG0001911	STRK1_47770.1, STRK1_47770.2	EWB00_005397.1, EWB00_005397.2, EWB00_005397.3, EWB00_005397.4
OG0001912	STRK1_76490.1, STRK1_76490.2, STRK1_76490.3	EWB00_007504
OG0001913	STRK1_71560.1	EWB00_004541.1, EWB00_004541.2, EWB00_004541.3, EWB00_004541.4, EWB00_004541.5
OG0001914	STRK1_60010.1	EWB00_011318.1, EWB00_011318.3, EWB00_011318.2
OG0001915	STRK1_80790.1	EWB00_007038
OG0001916	STRK1_6160.1	EWB00_010789
OG0001917	STRK1_12730.1, STRK1_12730.2, STRK1_12730.4, STRK1_12730.3	EWB00_008840.1, EWB00_008840.4, EWB00_008840.2, EWB00_008840.3
OG0001918	STRK1_43990.1, STRK1_43990.2	EWB00_000187.2, EWB00_000187.1, EWB00_000187.3
OG0001919	STRK1_66110.1, STRK1_66110.2	EWB00_006232.3, EWB00_006232.1, EWB00_006232.2
OG0001920	STRK1_100410.1, STRK1_12580.1, STRK1_12580.2, STRK1_12590.1	EWB00_010851.1, EWB00_010851.3, EWB00_010851.2
OG0001921	STRK1_38000.1	EWB00_004589, EWB00_006142
OG0001922	STRK1_102080.1	EWB00_005191.1, EWB00_005191.2
OG0001923	STRK1_15570.1	EWB00_007771
OG0001924	STRK1_48810.5, STRK1_48810.6, STRK1_48810.7, STRK1_48810.1, STRK1_48810.2, STRK1_48810.3, STRK1_48810.4	EWB00_000744.1, EWB00_000744.2, EWB00_000744.3
OG0001925	STRK1_20340.1, STRK1_20340.2	EWB00_002393.1, EWB00_002393.2, EWB00_002393.3
OG0001926	STRK1_34130.1	EWB00_002121.1, EWB00_002121.5, EWB00_002121.2, EWB00_002121.3, EWB00_002121.4
OG0001927	STRK1_80850.1, STRK1_80850.2	EWB00_003588
OG0001928	STRK1_52100.1, STRK1_52100.2, STRK1_52100.4, STRK1_52100.3	EWB00_003675.4, EWB00_003675.1, EWB00_003675.3, EWB00_003675.2
OG0001929	STRK1_70270.1, STRK1_70270.2, STRK1_70270.3	EWB00_008348
OG0001931	STRK1_36570.3, STRK1_36570.1, STRK1_36570.2	EWB00_009147
OG0001932	STRK1_61990.1	EWB00_003655.1, EWB00_003655.3
OG0001933	STRK1_22480.1, STRK1_22480.2	EWB00_000297.4, EWB00_000297.5, EWB00_000297.1, EWB00_000297.3, EWB00_000297.2
OG0001934	STRK1_37580.1	EWB00_002817.1, EWB00_002817.2, EWB00_002817.3
OG0001935	STRK1_7730.2, STRK1_7730.3, STRK1_7730.1, STRK1_7730.4	EWB00_008331
OG0001936	STRK1_10980.1	EWB00_008438.5, EWB00_008438.1, EWB00_008438.3, EWB00_008438.2, EWB00_008438.4
OG0001937	STRK1_4060.3, STRK1_4060.1, STRK1_4060.4, STRK1_4060.2, STRK1_4060.5	EWB00_006558
OG0001941	STRK1_87790.1	EWB00_003043
OG0001942	STRK1_23630.1	EWB00_006953.3, EWB00_006953.7, EWB00_006953.1, EWB00_006953.5, EWB00_006953.6, EWB00_006953.4, EWB00_006953.2
OG0001943	STRK1_13300.1, STRK1_13300.3, STRK1_13300.2, STRK1_13300.4	EWB00_001044.1, EWB00_001044.2, EWB00_001044.4, EWB00_001044.3
OG0001944	STRK1_66250.1	EWB00_009759
OG0001945	STRK1_92480.1, STRK1_92480.2	EWB00_009970.1, EWB00_009970.2, EWB00_009970.3
OG0001946	STRK1_29760.3, STRK1_29760.4, STRK1_29760.1, STRK1_29760.2, STRK1_29760.5	EWB00_005989
OG0001947	STRK1_37240.2, STRK1_37240.1	EWB00_003234.3, EWB00_003234.2, EWB00_003234.1
OG0001948	STRK1_87890.1	EWB00_004875.1, EWB00_004875.2
OG0001949	STRK1_90360.1	EWB00_002055
OG0001950	STRK1_81210.1	EWB00_010181.1, EWB00_010181.2
OG0001951	STRK1_5790.1, STRK1_5790.2, STRK1_5790.3, STRK1_5790.4	EWB00_010118.1, EWB00_010118.2, EWB00_010118.3
OG0001952	STRK1_43440.1, STRK1_43440.2	EWB00_003633
OG0001953	STRK1_31500.1	EWB00_003411
OG0001954	STRK1_4450.1	EWB00_002373.1, EWB00_002373.2
OG0001955	STRK1_15370.1	EWB00_006289.1, EWB00_006289.2
OG0001956	STRK1_75910.1, STRK1_75910.2	EWB00_011048
OG0001957	STRK1_4590.1, STRK1_4590.2, STRK1_4590.4, STRK1_4590.3	EWB00_002353.5, EWB00_002353.4, EWB00_002353.6, EWB00_002353.1, EWB00_002353.2, EWB00_002353.3
OG0001958	STRK1_63180.1, STRK1_63180.2, STRK1_63180.3, STRK1_63180.4, STRK1_63180.5, STRK1_63180.7, STRK1_63180.8, STRK1_63180.6	EWB00_000402.1, EWB00_000402.2
OG0001959	STRK1_29460.1	EWB00_002873.1, EWB00_002873.3, EWB00_002873.4, EWB00_002873.5, EWB00_002873.2, EWB00_007946
OG0001960	STRK1_36730.1, STRK1_36730.2, STRK1_36730.3, STRK1_36730.4	EWB00_007931.5, EWB00_007931.6, EWB00_007931.1, EWB00_007931.4, EWB00_007931.2, EWB00_007931.3
OG0001961	STRK1_66370.1, STRK1_66380.1	EWB00_008934
OG0001962	STRK1_19080.1, STRK1_19080.2	EWB00_006447.1, EWB00_006447.2
OG0001963	STRK1_26880.1, STRK1_26880.2	EWB00_005116
OG0001964	STRK1_88000.1	EWB00_004882
OG0001965	STRK1_81330.1, STRK1_81330.2	EWB00_010177
OG0001966	STRK1_7060.1	EWB00_007793
OG0001967	STRK1_92780.1, STRK1_92780.2	EWB00_006691.1, EWB00_006691.2
OG0001968	STRK1_32200.1	EWB00_002588.1, EWB00_002588.2
OG0001969	STRK1_98290.1, STRK1_30280.1	EWB00_006040
OG0001970	STRK1_33610.1, STRK1_33610.2	EWB00_001304.1, EWB00_001304.2
OG0001971	STRK1_61440.1, STRK1_61440.2	EWB00_011300
OG0001972	STRK1_62890.1, STRK1_62890.2, STRK1_62890.3	EWB00_003996
OG0001973	STRK1_78890.1	EWB00_006760.1, EWB00_006760.2
OG0001974	STRK1_45210.1	EWB00_006902
OG0001975	STRK1_49290.1, STRK1_49290.2, STRK1_49290.3, STRK1_49290.4	EWB00_006471.3, EWB00_006471.1, EWB00_006471.2
OG0001976	STRK1_16210.1	EWB00_009025
OG0001977	STRK1_87120.1	EWB00_009453.1, EWB00_009453.2, EWB00_009453.3
OG0001978	STRK1_77150.1	EWB00_008191.1, EWB00_008191.2
OG0001979	STRK1_52570.1, STRK1_52570.2	EWB00_005320.1, EWB00_005320.2
OG0001980	STRK1_61260.1	EWB00_000544.1, EWB00_000544.2
OG0001981	STRK1_37230.1	EWB00_003238, EWB00_003235.1, EWB00_003235.2
OG0001982	STRK1_35660.1, STRK1_103410.1	EWB00_003374.1, EWB00_003374.2
OG0001983	STRK1_81340.1, STRK1_105420.1, STRK1_81340.2	EWB00_010176
OG0001984	STRK1_87560.1, STRK1_105350.1, STRK1_40520.1	EWB00_004454.3, EWB00_004454.2, EWB00_004454.1, EWB00_004454.4
OG0001985	STRK1_28620.1	EWB00_006219
OG0001986	STRK1_47290.5, STRK1_47290.2, STRK1_47290.1, STRK1_47290.4, STRK1_47290.3	EWB00_010664.1, EWB00_010664.2, EWB00_010664.3
OG0001987	STRK1_28660.1	EWB00_009533
OG0001988	STRK1_56990.1, STRK1_56980.1, STRK1_56980.2	EWB00_000510
OG0001989	STRK1_9860.1	EWB00_009481
OG0001990	STRK1_49580.1, STRK1_99370.1	EWB00_007602
OG0001991	STRK1_102090.1, STRK1_107370.1	EWB00_002349
OG0001992	STRK1_45810.1	EWB00_010772.1, EWB00_010772.3, EWB00_010772.2
OG0001993	STRK1_71960.1	EWB00_001364.1, EWB00_001364.2
OG0001994	STRK1_18820.1, STRK1_101670.1	EWB00_006425
OG0001995	STRK1_90330.1	EWB00_008424.1, EWB00_008424.3, EWB00_008424.4, EWB00_008424.2, EWB00_008424.5
OG0001996	STRK1_93820.1	EWB00_001673
OG0001997	STRK1_12200.1	EWB00_003079
OG0001998	STRK1_86940.1	EWB00_006708
OG0001999	STRK1_49470.1	EWB00_003613
OG0002000	STRK1_8570.1, STRK1_8570.2	EWB00_003097
OG0002001	STRK1_11390.1, STRK1_11390.2	EWB00_004162, EWB00_004161
OG0002002	STRK1_30720.1	EWB00_004263.3, EWB00_004263.1, EWB00_004263.2
OG0002003	STRK1_49500.1	EWB00_007594.1, EWB00_007594.2
OG0002004	STRK1_15720.1, STRK1_15720.2	EWB00_000115
OG0002005	STRK1_53420.1, STRK1_53430.2, STRK1_53430.1, STRK1_53650.1	EWB00_008380.1, EWB00_008380.3, EWB00_008380.2, EWB00_008382
OG0002006	STRK1_70840.1	EWB00_001376.1, EWB00_001376.2
OG0002007	STRK1_67070.1	EWB00_010057, EWB00_010056
OG0002008	STRK1_65320.1	EWB00_004014.1, EWB00_004014.2, EWB00_004014.3
OG0002009	STRK1_35040.1	EWB00_001730
OG0002010	STRK1_46260.1	EWB00_009339
OG0002011	STRK1_73470.3, STRK1_73470.1, STRK1_73470.2, STRK1_73470.4	EWB00_007159
OG0002012	STRK1_8740.1	EWB00_009465.2, EWB00_009465.1, EWB00_009465.3
OG0002013	STRK1_52560.1	EWB00_005319.1, EWB00_005319.2
OG0002014	STRK1_58790.1, STRK1_58790.2	EWB00_008895.1, EWB00_008895.3, EWB00_008895.2
OG0002015	STRK1_85130.1, STRK1_85130.2, STRK1_85130.3, STRK1_85140.1	EWB00_006940
OG0002016	STRK1_59390.1	EWB00_005905
OG0002017	STRK1_62490.1	EWB00_010506.1, EWB00_010506.2
OG0002018	STRK1_69140.1	EWB00_008679
OG0002018	STRK1_69150.1	EWB00_008680
OG0002019	STRK1_70750.1, STRK1_70750.2	EWB00_006612
OG0002020	STRK1_63480.1	EWB00_010448, EWB00_010449
OG0002021	STRK1_96350.1, STRK1_69810.1	EWB00_002771
OG0002023	STRK1_66030.1	EWB00_006224.4, EWB00_006224.1, EWB00_006224.2, EWB00_006224.3
OG0002024	STRK1_106230.1, STRK1_100730.1, STRK1_103030.1, STRK1_108160.1	EWB00_001133.1, EWB00_001133.2, EWB00_001133.3
OG0002025	STRK1_59400.1	EWB00_005907.1, EWB00_005907.2
OG0002027	STRK1_83110.1	EWB00_010185
OG0002028	STRK1_47040.1, STRK1_47040.2, STRK1_47040.3, STRK1_47040.4, STRK1_47040.5	EWB00_010621
OG0002029	STRK1_33970.1	EWB00_005960
OG0002030	STRK1_59790.1, STRK1_59790.2, STRK1_59790.3, STRK1_59790.4, STRK1_59790.5	EWB00_009169.3, EWB00_009169.4, EWB00_009169.1, EWB00_009169.2
OG0002031	STRK1_1210.1, STRK1_1210.2	EWB00_003838.1, EWB00_003838.2
OG0002032	STRK1_91950.1, STRK1_91940.1	EWB00_005869.2, EWB00_005869.1, EWB00_005869.3, EWB00_005869.4
OG0002033	STRK1_58290.1, STRK1_58290.2	EWB00_011262.1, EWB00_011262.2
OG0002034	STRK1_65680.1	EWB00_006270.1, EWB00_006270.2, EWB00_006270.3
OG0002035	STRK1_11290.5, STRK1_11290.6	EWB00_003695.4, EWB00_003695.3, EWB00_003695.6, EWB00_003695.7, EWB00_003695.5, EWB00_003695.1
OG0002035	STRK1_11290.1, STRK1_11290.2, STRK1_11290.3, STRK1_11290.4	EWB00_003695.2
OG0002036	STRK1_85050.1	EWB00_007516.3, EWB00_007516.1, EWB00_007516.2
