Orthogroup	schistosoma_turkestanicum	s.mekongi
OG0001726	STRK1_80000.1	KAK4468354.1
OG0001727	STRK1_85340.1	KAK4468593.1
OG0001728	STRK1_58570.1, STRK1_58570.2, STRK1_58570.3	KAK4471793.1
OG0001729	STRK1_10050.1	KAK4475934.1
OG0001730	STRK1_2680.2, STRK1_2680.5, STRK1_2680.1, STRK1_2680.4, STRK1_2680.3	KAK4475220.1
OG0001731	STRK1_29200.1	KAK4472709.1
OG0001732	STRK1_50910.1	KAK4469561.1
OG0001733	STRK1_57830.1, STRK1_104790.1	KAK4471822.1
OG0001734	STRK1_89730.2, STRK1_89730.1, STRK1_89730.3, STRK1_89730.4, STRK1_102590.1	KAK4468884.1
OG0001735	STRK1_26430.1	KAK4472994.1
OG0001736	STRK1_14100.1	KAK4474877.1
OG0001737	STRK1_98320.1, STRK1_89130.1, STRK1_102570.1, STRK1_89140.1	KAK4468482.1
OG0001738	STRK1_39740.1	KAK4473402.1
OG0001739	STRK1_39280.1	KAK4473001.1, KAK4473011.1
OG0001740	STRK1_48640.1	KAK4469854.1
OG0001741	STRK1_15700.3, STRK1_15700.1, STRK1_15700.5, STRK1_15700.6, STRK1_15700.4, STRK1_15700.2	KAK4475742.1, KAK4467456.1
OG0001742	STRK1_47970.1	KAK4469913.1
OG0001743	STRK1_85850.1	KAK4468437.1
OG0001744	STRK1_66340.1	KAK4471501.1
OG0001745	STRK1_97790.1, STRK1_27430.1, STRK1_27430.2	KAK4472806.1
OG0001746	STRK1_80370.1, STRK1_80370.2	KAK4468263.1
OG0001747	STRK1_3580.1	KAK4475909.1
OG0001748	STRK1_56440.1	KAK4472108.1
OG0001749	STRK1_26340.1	KAK4472984.1
OG0001750	STRK1_16080.1, STRK1_16080.2, STRK1_16070.2, STRK1_16070.1, STRK1_16070.3	KAK4475699.1
OG0001751	STRK1_26220.1	KAK4472971.1
OG0001752	STRK1_9630.1, STRK1_9630.2	KAK4476299.1
OG0001753	STRK1_10680.4, STRK1_10680.2, STRK1_10680.3, STRK1_10680.1	KAK4474597.1
OG0001754	STRK1_57620.1	KAK4472010.1
OG0001755	STRK1_16170.1, STRK1_16170.2, STRK1_16170.3, STRK1_16170.4	KAK4475689.1
OG0001756	STRK1_49060.1, STRK1_49060.2	KAK4469397.1
OG0001758	STRK1_82650.1	KAK4468062.1
OG0001759	STRK1_65980.1	KAK4471546.1
OG0001760	STRK1_61210.1	KAK4471578.1
OG0001761	STRK1_79240.1, STRK1_79260.1, STRK1_79230.1, STRK1_79220.1	KAK4467949.1, KAK4468183.1
OG0001762	STRK1_90460.1	KAK4467819.1
OG0001763	STRK1_32630.1	KAK4472682.1
OG0001764	STRK1_14990.1	KAK4474785.1
OG0001765	STRK1_65860.1	KAK4471538.1
OG0001766	STRK1_35430.1, STRK1_35430.2	KAK4474197.1
OG0001767	STRK1_16230.1	KAK4475684.1, KAK4467389.1, KAK4475683.1
OG0001768	STRK1_83760.1, STRK1_83760.2, STRK1_110440.1, STRK1_90860.1, STRK1_83770.1	KAK4468897.1
OG0001769	STRK1_17500.1	KAK4475540.1
OG0001770	STRK1_34820.1	KAK4472315.1
OG0001771	STRK1_47100.1	KAK4469467.1
OG0001772	STRK1_86290.1	KAK4468517.1
OG0001773	STRK1_64050.1, STRK1_64050.2	KAK4471437.1
OG0001774	STRK1_6360.1	KAK4476044.1
OG0001775	STRK1_2700.1	KAK4475222.1
OG0001776	STRK1_93390.1	KAK4467656.1
OG0001777	STRK1_15300.1	KAK4474215.1, KAK4474211.1, KAK4474212.1
OG0001778	STRK1_86620.1, STRK1_86620.2, STRK1_109070.1	KAK4468568.1
OG0001779	STRK1_22220.1	KAK4473304.1
OG0001780	STRK1_26980.1	KAK4472870.1
OG0001781	STRK1_93160.1, STRK1_93160.2	KAK4467680.1
OG0001782	STRK1_63020.1, STRK1_63020.2, STRK1_63020.4, STRK1_63020.5, STRK1_63020.3	KAK4471070.1
OG0001783	STRK1_29320.1, STRK1_29320.2	KAK4472722.1
OG0001784	STRK1_37370.5, STRK1_37370.4, STRK1_37370.2, STRK1_37370.1, STRK1_37370.3	KAK4473465.1
OG0001785	STRK1_105890.2, STRK1_105890.1, STRK1_106430.1, STRK1_21420.1, STRK1_21410.1, STRK1_21410.2, STRK1_21410.3, STRK1_21410.4	KAK4473376.1
OG0001786	STRK1_63570.1, STRK1_63570.2	KAK4471290.1
OG0001787	STRK1_21400.1, STRK1_21400.2, STRK1_102650.1	KAK4473373.1
OG0001789	STRK1_20850.1, STRK1_20860.1, STRK1_20860.2	KAK4475490.1
OG0001790	STRK1_38530.1, STRK1_38530.2	KAK4473652.1
OG0001791	STRK1_89370.1, STRK1_89500.1	KAK4468701.1
OG0001792	STRK1_73220.1	KAK4470845.1
OG0001793	STRK1_87500.1, STRK1_87500.2	KAK4468939.1
OG0001794	STRK1_65870.1, STRK1_65870.2	KAK4471539.1
OG0001795	STRK1_49000.1, STRK1_48990.1	KAK4469403.1
OG0001801	STRK1_5320.1	KAK4474541.1
OG0001802	STRK1_31380.2, STRK1_31380.1, STRK1_31380.3, STRK1_31380.4	KAK4473993.1
OG0001803	STRK1_38700.1	KAK4473636.1
OG0001804	STRK1_34180.1	KAK4472388.1
OG0001805	STRK1_40060.1, STRK1_108740.1	KAK4472728.1
OG0001806	STRK1_92380.1, STRK1_92370.1	KAK4467839.1
OG0001807	STRK1_5310.1	KAK4474591.1
OG0001808	STRK1_3840.1	KAK4475115.1
OG0001809	STRK1_34400.1	KAK4472364.1
OG0001810	STRK1_90340.1	KAK4467749.1
OG0001811	STRK1_12210.1	KAK4476221.1
OG0001812	STRK1_74210.1, STRK1_74210.2, STRK1_74210.3, STRK1_74210.4	KAK4470365.1
OG0001813	STRK1_10900.1, STRK1_10910.1	KAK4474479.1
OG0001814	STRK1_108280.1	KAK4470457.1
OG0001815	STRK1_45430.1	KAK4469120.1, KAK4469121.1
OG0001816	STRK1_45240.1, STRK1_45250.1	KAK4469095.1
OG0001817	STRK1_28470.1	KAK4473773.1
OG0001818	STRK1_49720.1, STRK1_49720.2	KAK4469237.1
OG0001819	STRK1_18000.1, STRK1_18000.2, STRK1_18000.3	KAK4475051.1
OG0001820	STRK1_55380.1	KAK4471907.1
OG0001821	STRK1_56560.1	KAK4471167.1
OG0001822	STRK1_92000.1, STRK1_77350.1	KAK4467887.1
OG0001823	STRK1_19350.1	KAK4475370.1
OG0001824	STRK1_4420.1	KAK4475313.1
OG0001825	STRK1_52600.1	KAK4469644.1
OG0001826	STRK1_15420.1	KAK4475849.1
OG0001827	STRK1_74950.1	KAK4470784.1
OG0001828	STRK1_47230.2, STRK1_47230.4, STRK1_47230.1, STRK1_47230.3	KAK4469508.1
OG0001829	STRK1_23790.1	KAK4473132.1
OG0001830	STRK1_55870.1, STRK1_103100.1	KAK4471134.1
OG0001831	STRK1_58970.3, STRK1_58970.1, STRK1_58970.2	KAK4471442.1
OG0001832	STRK1_78880.1	KAK4468142.1
OG0001833	STRK1_78870.1, STRK1_78870.2	KAK4468153.1
OG0001834	STRK1_75710.1	KAK4470481.1
OG0001835	STRK1_14430.1	KAK4474848.1
OG0001836	STRK1_17280.1	KAK4475561.1
OG0001837	STRK1_79550.1	KAK4468362.1
OG0001838	STRK1_26200.1, STRK1_26200.2	KAK4472969.1
OG0001839	STRK1_51460.1	KAK4469356.1
OG0001840	STRK1_32930.1, STRK1_32930.2, STRK1_32930.3	KAK4473925.1
OG0001841	STRK1_14750.1, STRK1_14750.2	KAK4474803.1
OG0001842	STRK1_90950.1	KAK4467763.1
OG0001843	STRK1_106240.1, STRK1_39750.1	KAK4473403.1
OG0001845	STRK1_94510.1	KAK4467647.1
OG0001846	STRK1_25870.1	KAK4472936.1
OG0001847	STRK1_6440.1	KAK4475768.1
OG0001848	STRK1_3270.1	KAK4467434.1, KAK4475817.1
OG0001849	STRK1_61800.1	KAK4472068.1
OG0001850	STRK1_71550.1	KAK4470579.1
OG0001851	STRK1_47220.1	KAK4469509.1
OG0001852	STRK1_36550.1, STRK1_36550.2	KAK4472766.1
OG0001853	STRK1_16650.1, STRK1_16650.2	KAK4475630.1
OG0001854	STRK1_90730.1	KAK4467874.1
OG0001855	STRK1_69380.1, STRK1_69380.2, STRK1_69380.3, STRK1_69380.4	KAK4470152.1
OG0001856	STRK1_73400.1	KAK4470532.1
OG0001857	STRK1_72820.1	KAK4470721.1
OG0001858	STRK1_42380.1, STRK1_42380.2, STRK1_42380.3	KAK4472246.1
OG0001859	STRK1_12430.1, STRK1_108870.1, STRK1_12420.1	KAK4475995.1
OG0001861	STRK1_71910.1	KAK4470351.1
OG0001862	STRK1_15850.1, STRK1_15850.2	KAK4475729.1
OG0001863	STRK1_25710.1	KAK4472203.1
OG0001864	STRK1_72100.1, STRK1_72100.2	KAK4470331.1
OG0001865	STRK1_15550.1, STRK1_15550.2, STRK1_15550.3, STRK1_15550.4	KAK4476033.1
OG0001866	STRK1_86440.1	KAK4468647.1
OG0001867	STRK1_49680.1	KAK4469233.1
OG0001869	STRK1_18800.1, STRK1_18750.1	KAK4474991.1
OG0001870	STRK1_52460.1	KAK4469657.1
OG0001871	STRK1_40960.1, STRK1_97480.1	KAK4473524.1, KAK4473525.1
OG0001872	STRK1_80020.1	KAK4468296.1
OG0001873	STRK1_34810.1	KAK4472319.1
OG0001874	STRK1_21780.1, STRK1_21780.2, STRK1_21780.3	KAK4473349.1
OG0001875	STRK1_88070.1	KAK4468707.1
OG0001876	STRK1_20500.1	KAK4475467.1
OG0001877	STRK1_13680.1	KAK4474918.1
OG0001878	STRK1_98740.1, STRK1_53250.1, STRK1_109430.1, STRK1_98730.1	KAK4469747.1, KAK4468993.1
OG0001879	STRK1_26350.1	KAK4472985.1
OG0001880	STRK1_17700.1	KAK4475074.1
OG0001881	STRK1_57350.1	KAK4472071.1
OG0001882	STRK1_75620.1	KAK4470668.1
OG0001883	STRK1_16930.1	KAK4475612.1
OG0001884	STRK1_88080.1	KAK4468708.1
OG0001885	STRK1_8480.1, STRK1_102660.1	KAK4474684.1
OG0001886	STRK1_70490.1, STRK1_70520.1	KAK4470275.1
OG0001887	STRK1_111220.1	KAK4471695.1
OG0001888	STRK1_64530.1	KAK4471374.1
OG0001889	STRK1_81670.1	KAK4468130.1
OG0001890	STRK1_45700.1	KAK4469633.1
OG0001891	STRK1_88910.1, STRK1_88920.1, STRK1_89800.1	KAK4475263.1
OG0001892	STRK1_76330.1	KAK4470873.1
OG0001893	STRK1_34950.1, STRK1_34950.2, STRK1_34950.3	KAK4472302.1
OG0001894	STRK1_79310.1, STRK1_79310.2, STRK1_79310.3, STRK1_79310.4	KAK4467988.1
OG0001895	STRK1_42600.1, STRK1_42600.2, STRK1_42650.1	KAK4473815.1
OG0001896	STRK1_29160.1, STRK1_29160.2	KAK4472703.1
OG0001897	STRK1_72470.1	KAK4470818.1
OG0001898	STRK1_56070.1	KAK4471151.1
OG0001899	STRK1_28480.1, STRK1_28480.2	KAK4473774.1
OG0001900	STRK1_73790.1, STRK1_73790.2	KAK4467407.1, KAK4470453.1
OG0001901	STRK1_29790.1, STRK1_29790.2	KAK4472483.1
OG0001903	STRK1_81870.1	KAK4468115.1
OG0001904	STRK1_11500.1	KAK4475265.1
OG0001905	STRK1_104070.1, STRK1_56210.2, STRK1_56200.1, STRK1_56200.2, STRK1_56210.1, STRK1_53590.1	KAK4472113.1
OG0001906	STRK1_36580.2, STRK1_36580.1, STRK1_36580.3	KAK4472762.1
OG0001907	STRK1_6270.1	KAK4476050.1
OG0001908	STRK1_62080.1, STRK1_62090.1	KAK4471205.1
OG0001909	STRK1_93170.1	KAK4467679.1
OG0001910	STRK1_28890.1	KAK4473962.1
OG0001911	STRK1_47770.1, STRK1_47770.2	KAK4469345.1
OG0001912	STRK1_76490.1, STRK1_76490.2, STRK1_76490.3	KAK4470997.1
OG0001913	STRK1_71560.1	KAK4470578.1
OG0001914	STRK1_60010.1	KAK4471900.1
OG0001915	STRK1_80790.1	KAK4468220.1
OG0001916	STRK1_6160.1	KAK4475422.1
OG0001917	STRK1_12730.1, STRK1_12730.2, STRK1_12730.4, STRK1_12730.3	KAK4476132.1
OG0001918	STRK1_43990.1, STRK1_43990.2	KAK4469426.1
OG0001919	STRK1_66110.1, STRK1_66110.2	KAK4471565.1
OG0001921	STRK1_38000.1	KAK4473711.1
OG0001922	STRK1_102080.1	KAK4471100.1
OG0001923	STRK1_15570.1	KAK4476038.1
OG0001924	STRK1_48810.5, STRK1_48810.6, STRK1_48810.7, STRK1_48810.1, STRK1_48810.2, STRK1_48810.3, STRK1_48810.4	KAK4469867.1
OG0001925	STRK1_20340.1, STRK1_20340.2	KAK4475453.1
OG0001926	STRK1_34130.1	KAK4472393.1
OG0001927	STRK1_80850.1, STRK1_80850.2	KAK4475823.1
OG0001929	STRK1_70270.1, STRK1_70270.2, STRK1_70270.3	KAK4470263.1
OG0001930	STRK1_29860.1, STRK1_29860.2, STRK1_29860.3	KAK4472476.1
OG0001931	STRK1_36570.3, STRK1_36570.1, STRK1_36570.2	KAK4472761.1
OG0001932	STRK1_61990.1	KAK4471196.1
OG0001933	STRK1_22480.1, STRK1_22480.2	KAK4473276.1
OG0001934	STRK1_37580.1	KAK4473488.1
OG0001935	STRK1_7730.2, STRK1_7730.3, STRK1_7730.1, STRK1_7730.4	KAK4474444.1
OG0001936	STRK1_10980.1	KAK4474486.1
OG0001937	STRK1_4060.3, STRK1_4060.1, STRK1_4060.4, STRK1_4060.2, STRK1_4060.5	KAK4474951.1
OG0001941	STRK1_87790.1	KAK4468689.1
OG0001942	STRK1_23630.1	KAK4473117.1
OG0001943	STRK1_13300.1, STRK1_13300.3, STRK1_13300.2, STRK1_13300.4	KAK4475127.1
OG0001944	STRK1_66250.1	KAK4471518.1
OG0001945	STRK1_92480.1, STRK1_92480.2	KAK4467852.1
OG0001946	STRK1_29760.3, STRK1_29760.4, STRK1_29760.1, STRK1_29760.2, STRK1_29760.5	KAK4472486.1
OG0001947	STRK1_37240.2, STRK1_37240.1	KAK4473449.1
OG0001948	STRK1_87890.1	KAK4467243.1
OG0001949	STRK1_90360.1	KAK4467747.1
OG0001950	STRK1_81210.1	KAK4468166.1
OG0001951	STRK1_5790.1, STRK1_5790.2, STRK1_5790.3, STRK1_5790.4	KAK4476106.1
OG0001952	STRK1_43440.1, STRK1_43440.2	KAK4469665.1
OG0001953	STRK1_31500.1	KAK4474207.1
OG0001954	STRK1_4450.1	KAK4475309.1
OG0001955	STRK1_15370.1	KAK4475856.1
OG0001956	STRK1_75910.1, STRK1_75910.2	KAK4470495.1
OG0001957	STRK1_4590.1, STRK1_4590.2, STRK1_4590.4, STRK1_4590.3	KAK4475293.1
OG0001958	STRK1_63180.1, STRK1_63180.2, STRK1_63180.3, STRK1_63180.4, STRK1_63180.5, STRK1_63180.7, STRK1_63180.8, STRK1_63180.6	KAK4471673.1
OG0001959	STRK1_29460.1	KAK4472737.1
OG0001960	STRK1_36730.1, STRK1_36730.2, STRK1_36730.3, STRK1_36730.4	KAK4472754.1
OG0001961	STRK1_66370.1, STRK1_66380.1	KAK4471504.1
OG0001962	STRK1_19080.1, STRK1_19080.2	KAK4475333.1
OG0001963	STRK1_26880.1, STRK1_26880.2	KAK4472859.1
OG0001964	STRK1_88000.1	KAK4468700.1
OG0001966	STRK1_7060.1	KAK4476007.1
OG0001967	STRK1_92780.1, STRK1_92780.2	KAK4467803.1
OG0001968	STRK1_32200.1	KAK4472641.1
OG0001969	STRK1_98290.1, STRK1_30280.1	KAK4472435.1
OG0001970	STRK1_33610.1, STRK1_33610.2	KAK4473864.1
OG0001971	STRK1_61440.1, STRK1_61440.2	KAK4471883.1
OG0001973	STRK1_78890.1	KAK4468131.1
OG0001974	STRK1_45210.1	KAK4469098.1
OG0001975	STRK1_49290.1, STRK1_49290.2, STRK1_49290.3, STRK1_49290.4	KAK4469194.1
OG0001976	STRK1_16210.1	KAK4475685.1, KAK4467563.1
OG0001977	STRK1_87120.1	KAK4468424.1
OG0001978	STRK1_77150.1	KAK4470934.1
OG0001979	STRK1_52570.1, STRK1_52570.2	KAK4469647.1
OG0001980	STRK1_61260.1	KAK4471771.1
OG0001981	STRK1_37230.1	KAK4473448.1
OG0001982	STRK1_35660.1, STRK1_103410.1	KAK4474172.1
OG0001983	STRK1_81340.1, STRK1_105420.1, STRK1_81340.2	KAK4468169.1
OG0001984	STRK1_87560.1, STRK1_105350.1, STRK1_40520.1	KAK4468662.1
OG0001985	STRK1_28620.1	KAK4473778.1, KAK4473777.1
OG0001986	STRK1_47290.5, STRK1_47290.2, STRK1_47290.1, STRK1_47290.4, STRK1_47290.3	KAK4469517.1
OG0001987	STRK1_28660.1	KAK4473793.1
OG0001988	STRK1_56990.1, STRK1_56980.1, STRK1_56980.2	KAK4472054.1
OG0001990	STRK1_49580.1, STRK1_99370.1	KAK4469221.1
OG0001991	STRK1_102090.1, STRK1_107370.1	KAK4475289.1
OG0001992	STRK1_45810.1	KAK4469618.1
OG0001993	STRK1_71960.1	KAK4470345.1
OG0001994	STRK1_18820.1, STRK1_101670.1	KAK4475356.1
OG0001995	STRK1_90330.1	KAK4467750.1
OG0001996	STRK1_93830.1	KAK4468134.1
OG0001996	STRK1_93820.1	KAK4468135.1
OG0001997	STRK1_12200.1	KAK4476254.1
OG0001998	STRK1_86940.1	KAK4468442.1
OG0001999	STRK1_49470.1	KAK4469209.1
OG0002000	STRK1_8570.1, STRK1_8570.2	KAK4476201.1, KAK4476200.1
OG0002001	STRK1_11390.1, STRK1_11390.2	KAK4474623.1, KAK4474622.1, KAK4467249.1, KAK4467304.1, KAK4474624.1
OG0002002	STRK1_30720.1	KAK4474063.1
OG0002003	STRK1_49500.1	KAK4469214.1
OG0002004	STRK1_15720.1, STRK1_15720.2	KAK4475748.1, KAK4475740.1
OG0002005	STRK1_53420.1, STRK1_53430.2, STRK1_53430.1, STRK1_53650.1	KAK4469029.1
OG0002006	STRK1_70840.1	KAK4470357.1
OG0002007	STRK1_67070.1	KAK4471377.1
OG0002008	STRK1_65320.1	KAK4471781.1, KAK4471782.1
OG0002009	STRK1_35040.1	KAK4472290.1
OG0002010	STRK1_46260.1	KAK4469957.1, KAK4469956.1
OG0002011	STRK1_73470.3, STRK1_73470.1, STRK1_73470.2, STRK1_73470.4	KAK4470524.1
OG0002012	STRK1_8740.1	KAK4476215.1
OG0002013	STRK1_52560.1	KAK4469648.1
OG0002014	STRK1_58790.1, STRK1_58790.2	KAK4471464.1
OG0002015	STRK1_85130.1, STRK1_85130.2, STRK1_85130.3, STRK1_85140.1	KAK4468790.1
OG0002016	STRK1_59390.1	KAK4471697.1
OG0002017	STRK1_62490.1	KAK4471239.1
OG0002018	STRK1_69140.1	KAK4470098.1
OG0002018	STRK1_69150.1	KAK4470096.1, KAK4470097.1
OG0002020	STRK1_63480.1	KAK4471283.1
OG0002021	STRK1_96350.1, STRK1_69810.1	KAK4470191.1
OG0002023	STRK1_66030.1	KAK4471571.1
OG0002024	STRK1_106230.1, STRK1_100730.1, STRK1_103030.1, STRK1_108160.1	KAK4473063.1
OG0002025	STRK1_59400.1	KAK4471702.1, KAK4471701.1
OG0002026	STRK1_6580.1	KAK4475797.1
OG0002027	STRK1_83110.1	KAK4468162.1
OG0002028	STRK1_47040.1, STRK1_47040.2, STRK1_47040.3, STRK1_47040.4, STRK1_47040.5	KAK4469476.1
OG0002029	STRK1_33970.1	KAK4472515.1
OG0002030	STRK1_59790.1, STRK1_59790.2, STRK1_59790.3, STRK1_59790.4, STRK1_59790.5	KAK4471751.1
OG0002031	STRK1_1210.1, STRK1_1210.2	KAK4474999.1
OG0002032	STRK1_91950.1, STRK1_91940.1	KAK4467812.1
OG0002033	STRK1_58290.1, STRK1_58290.2	KAK4471857.1
OG0002034	STRK1_65680.1	KAK4471530.1
OG0002035	STRK1_11290.5, STRK1_11290.6, STRK1_11290.1, STRK1_11290.2, STRK1_11290.3, STRK1_11290.4	KAK4474516.1
OG0002036	STRK1_85050.1	KAK4468716.1
OG0002037	STRK1_48310.1, STRK1_48310.2, STRK1_48310.3, STRK1_48310.4, STRK1_48310.5	KAK4469881.1
OG0002038	STRK1_40110.1	KAK4472804.1, KAK4472815.1
OG0002039	STRK1_49390.1	KAK4469201.1
OG0002040	STRK1_17390.1	KAK4475548.1
OG0002041	STRK1_73740.1	KAK4470462.1
OG0002042	STRK1_11430.1	KAK4467451.1, KAK4474626.1
OG0002043	STRK1_64210.1	KAK4471410.1
OG0002044	STRK1_7260.2, STRK1_7260.3, STRK1_7260.1, STRK1_7260.4	KAK4475951.1
OG0002045	STRK1_102790.1, STRK1_82780.1	KAK4468047.1
OG0002046	STRK1_74240.1	KAK4470368.1
OG0002047	STRK1_101930.1, STRK1_104400.1	KAK4468073.1
OG0002048	STRK1_14740.1, STRK1_14740.2, STRK1_14740.3, STRK1_14740.4, STRK1_14740.5	KAK4474801.1
OG0002049	STRK1_88350.1	KAK4468631.1, KAK4468632.1
OG0002050	STRK1_51810.1	KAK4469176.1
OG0002051	STRK1_29610.1	KAK4472398.1
OG0002052	STRK1_40680.1	KAK4473552.1
OG0002053	STRK1_73920.1	KAK4470413.1
OG0002054	STRK1_68680.1, STRK1_68680.2	KAK4470566.1
OG0002055	STRK1_55820.1	KAK4471181.1
OG0002056	STRK1_86600.1, STRK1_86600.2, STRK1_86610.1	KAK4468569.1
OG0002057	STRK1_49220.1, STRK1_49220.2	KAK4469378.1
OG0002058	STRK1_12790.1, STRK1_12790.2, STRK1_12790.3	KAK4476128.1
OG0002059	STRK1_42640.1	KAK4473863.1
OG0002060	STRK1_7150.1, STRK1_7150.2, STRK1_7150.3	KAK4476192.1
OG0002061	STRK1_6390.1	KAK4475759.1, KAK4474345.1, KAK4467497.1
OG0002062	STRK1_65100.1, STRK1_65100.2	KAK4471589.1
OG0002063	STRK1_102420.1, STRK1_42750.1, STRK1_97310.1	KAK4473939.1
OG0002064	STRK1_9430.1	KAK4476178.1
OG0002065	STRK1_14270.1	KAK4474269.1
OG0002067	STRK1_57240.1	KAK4472033.1, KAK4472032.1
OG0002068	STRK1_7710.1, STRK1_7720.1	KAK4474448.1, KAK4474446.1, KAK4474445.1
OG0002073	STRK1_90760.1	KAK4467636.1
OG0002074	STRK1_3740.1	KAK4475125.1
OG0002075	STRK1_9920.1	KAK4476280.1
OG0002076	STRK1_41870.1, STRK1_41870.2	KAK4473421.1
OG0002077	STRK1_11530.1	KAK4475261.1
OG0002079	STRK1_33160.1	KAK4473900.1
OG0002080	STRK1_52540.1	KAK4469650.1
OG0002081	STRK1_80380.1, STRK1_90910.1, STRK1_106750.1	KAK4468262.1
OG0002082	STRK1_57490.1, STRK1_86050.1, STRK1_86060.1	KAK4472024.1
OG0002082	STRK1_57500.1	KAK4472023.1
OG0002083	STRK1_42540.1	KAK4474048.1
OG0002084	STRK1_4170.1	KAK4474963.1
OG0002085	STRK1_60360.1	KAK4471939.1
OG0002086	STRK1_39450.1	KAK4473220.1
OG0002087	STRK1_34790.1	KAK4472322.1
OG0002089	STRK1_43970.1	KAK4469525.1
OG0002090	STRK1_48180.1, STRK1_48190.1	KAK4469882.1
OG0002091	STRK1_47130.1	KAK4469677.1
OG0002092	STRK1_37170.1, STRK1_37140.1	KAK4473766.1
OG0002093	STRK1_22600.1, STRK1_22610.1	KAK4473261.1
OG0002094	STRK1_6730.1	KAK4475778.1, KAK4475781.1
OG0002095	STRK1_14760.1	KAK4474804.1
OG0002096	STRK1_27420.1	KAK4472805.1
OG0002097	STRK1_15270.1	KAK4475842.1
OG0002098	STRK1_61730.1	KAK4471107.1
OG0002099	STRK1_28520.1	KAK4473789.1
OG0002100	STRK1_110120.1, STRK1_110120.2, STRK1_110120.3, STRK1_26630.1, STRK1_26630.2, STRK1_26630.3	KAK4472869.1
OG0002101	STRK1_85600.1, STRK1_85610.1	KAK4468932.1
OG0002102	STRK1_25080.1	KAK4473050.1
OG0002102	STRK1_23070.1	KAK4473224.1
OG0002103	STRK1_99050.1, STRK1_100170.1	KAK4473535.1
OG0002104	STRK1_29110.1	KAK4472700.1
OG0002105	STRK1_26710.1	KAK4473098.1
OG0002106	STRK1_84750.1	KAK4468766.1
OG0002107	STRK1_58010.1	KAK4471848.1
OG0002108	STRK1_88340.1	KAK4468633.1
OG0002108	STRK1_78810.1	KAK4468195.1
OG0002109	STRK1_98690.1, STRK1_43220.1	KAK4473515.1
OG0002110	STRK1_68910.1	KAK4470107.1
OG0002111	STRK1_37490.1, STRK1_37490.2	KAK4473478.1
OG0002112	STRK1_106420.1, STRK1_106420.2, STRK1_106420.3, STRK1_106420.4	KAK4472109.1
OG0002113	STRK1_86010.1	KAK4468405.1
OG0002114	STRK1_24830.1, STRK1_96770.1	KAK4473071.1
OG0002115	STRK1_48360.3, STRK1_48360.2, STRK1_48360.1	KAK4469846.1
OG0002116	STRK1_33820.1	KAK4472527.1
OG0002117	STRK1_15680.1, STRK1_15680.2	KAK4475747.1, KAK4475750.1
OG0002118	STRK1_43840.1	KAK4469581.1
OG0002119	STRK1_103970.1, STRK1_81430.1, STRK1_101560.1	KAK4467453.1
OG0002120	STRK1_5850.1	KAK4476096.1
OG0002121	STRK1_5860.1	KAK4476097.1
OG0002122	STRK1_32260.1	KAK4472661.1
OG0002123	STRK1_100220.2, STRK1_100220.3, STRK1_100220.5, STRK1_100220.1, STRK1_100220.4	KAK4472764.1
OG0002124	STRK1_19270.1	KAK4475357.1
OG0002125	STRK1_90580.1, STRK1_56130.1, STRK1_96650.1, STRK1_105090.1	KAK4467836.1
OG0002126	STRK1_99190.1, STRK1_17010.1	KAK4475592.1
OG0002127	STRK1_57720.1, STRK1_57720.2, STRK1_57720.3, STRK1_57720.4, STRK1_57720.5, STRK1_57720.6	KAK4471999.1
OG0002128	STRK1_6110.1	KAK4476103.1
OG0002129	STRK1_46320.1, STRK1_46330.1	KAK4469724.1, KAK4469723.1
OG0002130	STRK1_24210.1, STRK1_24220.1	KAK4473162.1
OG0002131	STRK1_38710.1, STRK1_38710.3, STRK1_38710.2	KAK4473635.1
OG0002132	STRK1_96480.1, STRK1_54740.1, STRK1_54740.2, STRK1_54730.1, STRK1_110650.1, STRK1_54880.1	KAK4469828.1
OG0002133	STRK1_45290.1	KAK4469116.1
OG0002134	STRK1_28130.1	KAK4473819.1
OG0002135	STRK1_26940.1	KAK4472855.1
OG0002136	STRK1_93460.1	KAK4467912.1
OG0002138	STRK1_32610.1	KAK4472680.1
OG0002138	STRK1_32620.1	KAK4472681.1
OG0002139	STRK1_64460.1	KAK4471662.1
OG0002141	STRK1_104910.1, STRK1_56340.1	KAK4472097.1, KAK4472096.1
OG0002142	STRK1_83800.1, STRK1_96740.1	KAK4468905.1
OG0002143	STRK1_50090.1	KAK4469632.1
OG0002144	STRK1_26400.1, STRK1_26400.2	KAK4472990.1
OG0002145	STRK1_29480.1	KAK4467424.1, KAK4472412.1
OG0002146	STRK1_14510.1	KAK4474835.1
OG0002147	STRK1_49400.1	KAK4469203.1
OG0002148	STRK1_3700.1	KAK4475971.1, KAK4475972.1
OG0002149	STRK1_51580.2, STRK1_51580.1, STRK1_51590.1	KAK4468975.1
OG0002150	STRK1_65660.1	KAK4471531.1
OG0002151	STRK1_100800.1, STRK1_79470.1	KAK4468367.1
OG0002152	STRK1_101700.1, STRK1_98260.1, STRK1_99100.1, STRK1_97910.1	KAK4470651.1
OG0002153	STRK1_15530.1, STRK1_15540.1, STRK1_15540.2	KAK4476032.1
OG0002154	STRK1_31230.1, STRK1_31230.2	KAK4474009.1
OG0002155	STRK1_22360.1	KAK4473288.1
OG0002156	STRK1_87710.1	KAK4468672.1
OG0002157	STRK1_59540.1	KAK4471720.1
