Orthogroup	schistosoma_turkestanicum	schistosoma_spindale
OG0001421	STRK1_28270.1	SSPN1_34170.1, SSPN1_34170.2
OG0001422	STRK1_70820.1	SSPN1_72190.1
OG0001423	STRK1_10530.1	SSPN1_19330.1, SSPN1_19330.2
OG0001424	STRK1_8820.1	SSPN1_21460.1
OG0001425	STRK1_22670.1, STRK1_22670.2, STRK1_22670.3, STRK1_22670.4, STRK1_22670.5, STRK1_22670.6	SSPN1_24450.5
OG0001426	STRK1_5770.1, STRK1_90570.1	SSPN1_6120.1, SSPN1_6120.3, SSPN1_6120.2, SSPN1_6120.5, SSPN1_6120.8, SSPN1_6120.10, SSPN1_6120.6, SSPN1_6120.9, SSPN1_6120.4, SSPN1_6120.7
OG0001427	STRK1_26900.1	SSPN1_25010.6, SSPN1_25010.5, SSPN1_25010.4, SSPN1_25010.1, SSPN1_25010.2, SSPN1_25010.3
OG0001428	STRK1_17540.1	SSPN1_2490.1
OG0001429	STRK1_47360.1	SSPN1_51300.1, SSPN1_51300.2
OG0001430	STRK1_54750.1	SSPN1_53330.1, SSPN1_53320.1
OG0001431	STRK1_62540.1, STRK1_62540.2, STRK1_62540.3, STRK1_62540.4, STRK1_62540.5	SSPN1_59260.1
OG0001432	STRK1_105570.1, STRK1_105580.1, STRK1_20610.1	SSPN1_20960.1
OG0001433	STRK1_101710.1, STRK1_104940.1	SSPN1_10210.1, SSPN1_10210.3, SSPN1_10210.2
OG0001434	STRK1_93350.1	SSPN1_91600.1, SSPN1_91580.1, SSPN1_91580.2
OG0001435	STRK1_73840.1, STRK1_73840.2, STRK1_73840.3, STRK1_73840.4	SSPN1_74430.1, SSPN1_74430.3, SSPN1_74430.2
OG0001436	STRK1_74830.1	SSPN1_74810.1, SSPN1_74810.2, SSPN1_74810.3
OG0001437	STRK1_110490.1, STRK1_49140.1	SSPN1_48420.1
OG0001437	STRK1_48130.1	SSPN1_52790.1, SSPN1_52800.1
OG0001438	STRK1_105840.1, STRK1_13340.1	SSPN1_11790.1
OG0001439	STRK1_73520.1, STRK1_73520.3, STRK1_73520.2, STRK1_73520.4	SSPN1_72860.1
OG0001440	STRK1_33710.1, STRK1_33710.2, STRK1_33710.3	SSPN1_33650.1
OG0001441	STRK1_88590.1, STRK1_88600.1	SSPN1_86040.1
OG0001443	STRK1_1800.1	SSPN1_12290.1, SSPN1_12290.2, SSPN1_12290.3, SSPN1_12290.4
OG0001444	STRK1_70540.1, STRK1_70540.2, STRK1_70540.3	SSPN1_69830.1, SSPN1_69830.2
OG0001445	STRK1_108950.1, STRK1_108950.2	SSPN1_70830.1, SSPN1_70830.2
OG0001446	STRK1_101550.1, STRK1_42690.1	SSPN1_43250.1, SSPN1_43260.1, SSPN1_43270.1
OG0001447	STRK1_111190.1, STRK1_76740.1	SSPN1_76850.1, SSPN1_76850.2
OG0001447	STRK1_111170.1, STRK1_111160.1, STRK1_76760.1	SSPN1_76840.1
OG0001448	STRK1_111150.1	SSPN1_76930.1
OG0001449	STRK1_34340.1	SSPN1_37840.1
OG0001450	STRK1_13970.1	SSPN1_13600.1
OG0001454	STRK1_80440.1	SSPN1_79600.1
OG0001455	STRK1_90500.1	SSPN1_92760.1, SSPN1_92760.2, SSPN1_92760.3
OG0001456	STRK1_102150.1, STRK1_67470.1, STRK1_66620.1, STRK1_66630.1	SSPN1_66150.1
OG0001457	STRK1_15390.1	SSPN1_5160.3, SSPN1_5160.1, SSPN1_5160.2, SSPN1_5160.4
OG0001458	STRK1_29810.2, STRK1_29810.4, STRK1_29810.1, STRK1_29810.3	SSPN1_29110.2, SSPN1_29110.5, SSPN1_29110.3, SSPN1_29110.4, SSPN1_29110.1, SSPN1_29110.6, SSPN1_29110.8, SSPN1_29110.7
OG0001459	STRK1_56830.1	SSPN1_55200.1, SSPN1_55190.1
OG0001460	STRK1_30880.1	SSPN1_34850.1, SSPN1_34850.2
OG0001461	STRK1_26650.1, STRK1_26650.2	SSPN1_27150.1
OG0001462	STRK1_56150.1, STRK1_56150.2, STRK1_56150.3, STRK1_56150.4	SSPN1_55620.2, SSPN1_55620.3, SSPN1_55620.1
OG0001463	STRK1_57580.1, STRK1_57570.1, STRK1_99760.1, STRK1_98190.1, STRK1_98180.1	SSPN1_64680.1
OG0001464	STRK1_47630.1, STRK1_47610.1	SSPN1_51550.1, SSPN1_51550.3, SSPN1_51550.2
OG0001465	STRK1_72070.1, STRK1_72070.2	SSPN1_72410.1
OG0001466	STRK1_6740.1, STRK1_6740.2, STRK1_6740.3, STRK1_6740.4, STRK1_6740.5, STRK1_6740.6	SSPN1_4900.1, SSPN1_4900.2, SSPN1_4900.3
OG0001467	STRK1_63200.3, STRK1_63200.5, STRK1_63200.6, STRK1_63200.1, STRK1_63200.2, STRK1_63200.4	SSPN1_61230.1
OG0001468	STRK1_15650.1	SSPN1_4510.4, SSPN1_4510.3, SSPN1_4510.1, SSPN1_4510.2
OG0001469	STRK1_80110.1	SSPN1_79200.4, SSPN1_79200.2, SSPN1_79200.3, SSPN1_79200.1
OG0001470	STRK1_61780.1, STRK1_61740.1	SSPN1_59950.1, SSPN1_59950.2, SSPN1_59950.3, SSPN1_59950.5, SSPN1_59950.4
OG0001471	STRK1_61380.1, STRK1_61370.1, STRK1_61390.1	SSPN1_63650.1, SSPN1_63690.1, SSPN1_55050.3, SSPN1_63720.1, SSPN1_63710.1, SSPN1_81090.1, SSPN1_55050.2, SSPN1_55050.1, SSPN1_21180.1, SSPN1_63700.1
OG0001472	STRK1_61680.1, STRK1_61690.1, STRK1_111360.1	SSPN1_60060.3, SSPN1_60060.4, SSPN1_60060.1, SSPN1_60060.2
OG0001473	STRK1_75330.1	SSPN1_71160.1, SSPN1_71160.2
OG0001474	STRK1_106530.2, STRK1_106530.4, STRK1_106530.6, STRK1_106530.7, STRK1_106530.1, STRK1_106530.8, STRK1_106530.9, STRK1_106530.5, STRK1_106530.3	SSPN1_39250.1
OG0001475	STRK1_48250.3, STRK1_48250.1, STRK1_48250.4, STRK1_48250.5, STRK1_48250.2	SSPN1_52730.1, SSPN1_52730.3, SSPN1_52730.2
OG0001476	STRK1_12490.1	SSPN1_8350.5, SSPN1_8350.3, SSPN1_8350.1, SSPN1_8350.2, SSPN1_8350.4
OG0001477	STRK1_53700.1, STRK1_53700.2, STRK1_53700.3, STRK1_53700.4, STRK1_53700.5	SSPN1_53880.1
OG0001478	STRK1_20580.1, STRK1_20580.2	SSPN1_21000.1
OG0001479	STRK1_9000.1	SSPN1_21580.1, SSPN1_21580.2, SSPN1_21580.3, SSPN1_21580.4, SSPN1_21580.5
OG0001480	STRK1_10120.1	SSPN1_19700.1, SSPN1_19700.3, SSPN1_19700.2
OG0001481	STRK1_45590.1, STRK1_45600.1	SSPN1_46060.1, SSPN1_46050.1, SSPN1_46050.2, SSPN1_46060.2
OG0001482	STRK1_89840.1, STRK1_89840.2	SSPN1_88790.1
OG0001483	STRK1_69490.1, STRK1_69490.2	SSPN1_68870.1
OG0001484	STRK1_21560.1, STRK1_21560.2	SSPN1_22010.1, SSPN1_22010.2
OG0001485	STRK1_35100.1, STRK1_35100.2	SSPN1_37050.1
OG0001486	STRK1_47170.1, STRK1_47170.2	SSPN1_51120.1, SSPN1_51120.2, SSPN1_51120.4, SSPN1_51120.3, SSPN1_51130.2, SSPN1_51130.1
OG0001487	STRK1_24250.1, STRK1_24250.2, STRK1_24250.3	SSPN1_23650.1, SSPN1_23650.2
OG0001488	STRK1_30750.1	SSPN1_34980.1
OG0001488	STRK1_93010.1	SSPN1_91920.1
OG0001489	STRK1_22720.1	SSPN1_24370.1
OG0001490	STRK1_32140.1	SSPN1_30450.2, SSPN1_30450.7, SSPN1_30450.3, SSPN1_30450.4, SSPN1_30450.6, SSPN1_30450.1, SSPN1_30450.5, SSPN1_30450.10, SSPN1_30450.8, SSPN1_30450.9
OG0001491	STRK1_3240.1, STRK1_3240.2	SSPN1_5510.1, SSPN1_5510.2, SSPN1_5510.3, SSPN1_5510.4
OG0001492	STRK1_50790.1	SSPN1_46910.1, SSPN1_47090.1
OG0001493	STRK1_43880.1, STRK1_43880.2, STRK1_97930.1	SSPN1_44480.1
OG0001494	STRK1_26330.1, STRK1_26330.2, STRK1_26330.3	SSPN1_25380.3, SSPN1_25380.4, SSPN1_25380.1, SSPN1_25380.2
OG0001495	STRK1_7370.1	SSPN1_7550.1, SSPN1_7550.2, SSPN1_7550.4, SSPN1_7550.3
OG0001496	STRK1_73590.1	SSPN1_72940.1
OG0001497	STRK1_35420.1	SSPN1_36480.1, SSPN1_36480.2, SSPN1_36480.3
OG0001498	STRK1_42280.1, STRK1_42270.1, STRK1_42270.2	SSPN1_43850.1
OG0001499	STRK1_58560.1	SSPN1_60180.1
OG0001500	STRK1_62940.2, STRK1_62940.1, STRK1_62940.4, STRK1_62940.3	SSPN1_58350.2, SSPN1_58350.8, SSPN1_58350.3, SSPN1_58350.12, SSPN1_58350.11, SSPN1_58350.10, SSPN1_58350.4, SSPN1_58350.6, SSPN1_58350.5, SSPN1_58350.9, SSPN1_58350.7, SSPN1_58350.1
OG0001501	STRK1_93650.1	SSPN1_89320.1
OG0001502	STRK1_108690.1, STRK1_103250.1, STRK1_110.1, STRK1_130.1	SSPN1_990.1, SSPN1_980.1
OG0001503	STRK1_51900.1, STRK1_51900.2	SSPN1_49970.3, SSPN1_49970.1, SSPN1_49970.2
OG0001504	STRK1_63940.1	SSPN1_60710.1
OG0001505	STRK1_94340.1	SSPN1_89830.1, SSPN1_89840.1
OG0001506	STRK1_5390.1	SSPN1_16330.1
OG0001507	STRK1_46570.1, STRK1_46570.3, STRK1_46570.2	SSPN1_50450.4, SSPN1_50450.8, SSPN1_50450.5, SSPN1_50450.3, SSPN1_50450.6, SSPN1_50450.1, SSPN1_50450.2, SSPN1_50450.7
OG0001508	STRK1_28600.1	SSPN1_32160.1
OG0001509	STRK1_75970.1	SSPN1_73200.1
OG0001509	STRK1_74480.1	SSPN1_71850.4, SSPN1_71850.2, SSPN1_71850.1, SSPN1_71850.3
OG0001510	STRK1_41680.1	SSPN1_40490.4, SSPN1_40490.6, SSPN1_40490.7, SSPN1_40490.3
OG0001511	STRK1_31920.1	SSPN1_39070.1
OG0001512	STRK1_69410.1	SSPN1_68770.1, SSPN1_68770.3, SSPN1_68770.4, SSPN1_68770.2
OG0001513	STRK1_5200.1	SSPN1_16130.1, SSPN1_16120.1
OG0001514	STRK1_1130.1, STRK1_1130.2	SSPN1_1650.1, SSPN1_1650.2
OG0001515	STRK1_1730.1	SSPN1_2280.1
OG0001515	STRK1_8770.1	SSPN1_9100.1
OG0001516	STRK1_18060.1	SSPN1_12660.1
OG0001516	STRK1_18040.1	SSPN1_12640.1
OG0001517	STRK1_25210.1, STRK1_25230.1, STRK1_25230.2	SSPN1_26430.1, SSPN1_26430.2, SSPN1_26430.3
OG0001518	STRK1_75800.1	SSPN1_73000.1
OG0001519	STRK1_73460.1	SSPN1_72820.3, SSPN1_72820.4, SSPN1_72820.5, SSPN1_72820.1, SSPN1_72820.2, SSPN1_72820.6
OG0001520	STRK1_12380.1, STRK1_12380.3, STRK1_12380.2, STRK1_12380.4	SSPN1_8490.1
OG0001521	STRK1_48330.1	SSPN1_53100.1
OG0001522	STRK1_9290.1	SSPN1_20550.1, SSPN1_20560.1
OG0001523	STRK1_50640.1, STRK1_50640.2	SSPN1_47000.1
OG0001524	STRK1_79570.1	SSPN1_78910.2, SSPN1_78910.1, SSPN1_78910.3
OG0001525	STRK1_34990.1, STRK1_34990.2	SSPN1_37150.1, SSPN1_37150.2
OG0001526	STRK1_47150.1, STRK1_47150.2	SSPN1_51100.2, SSPN1_51100.3
OG0001527	STRK1_85710.1, STRK1_85700.1, STRK1_85720.1	SSPN1_86700.1, SSPN1_86700.2
OG0001528	STRK1_41000.1, STRK1_41000.2	SSPN1_41560.1
OG0001529	STRK1_93510.1, STRK1_93510.2	SSPN1_56980.1
OG0001530	STRK1_44640.1, STRK1_44650.1, STRK1_44630.1	SSPN1_45110.1
OG0001531	STRK1_98650.1, STRK1_98650.2	SSPN1_14100.1, SSPN1_14100.2, SSPN1_14100.3
OG0001532	STRK1_17150.1	SSPN1_2880.1, SSPN1_2880.2, SSPN1_2880.3
OG0001533	STRK1_56370.1, STRK1_56370.2	SSPN1_56790.1, SSPN1_56790.2, SSPN1_56790.3
OG0001534	STRK1_75680.1, STRK1_75680.2	SSPN1_71540.1, SSPN1_71540.5, SSPN1_71540.3, SSPN1_71540.4, SSPN1_71540.2
OG0001536	STRK1_18970.1, STRK1_18990.1	SSPN1_10200.1, SSPN1_10200.2
OG0001537	STRK1_820.1	SSPN1_1370.1, SSPN1_1370.2, SSPN1_1370.3, SSPN1_1370.4, SSPN1_1380.2, SSPN1_1380.1
OG0001538	STRK1_88150.1, STRK1_88150.2, STRK1_88150.3	SSPN1_84830.1, SSPN1_84830.2, SSPN1_84830.3, SSPN1_84830.4
OG0001539	STRK1_1000.1, STRK1_1000.2, STRK1_1000.3	SSPN1_1520.1, SSPN1_1520.2, SSPN1_1520.3, SSPN1_1520.5, SSPN1_1520.4
OG0001540	STRK1_41410.1, STRK1_41410.2	SSPN1_31920.1
OG0001541	STRK1_96640.1	SSPN1_81000.1
OG0001543	STRK1_41910.1, STRK1_41910.2	SSPN1_80880.1, SSPN1_80880.4, SSPN1_80880.5, SSPN1_80880.2, SSPN1_80880.3
OG0001544	STRK1_7990.1	SSPN1_17250.2, SSPN1_17250.5, SSPN1_17250.1, SSPN1_17250.3, SSPN1_17250.4
OG0001545	STRK1_45020.4, STRK1_45020.2, STRK1_45020.3, STRK1_45020.1	SSPN1_45450.2, SSPN1_45450.1, SSPN1_45450.3, SSPN1_45450.5, SSPN1_45450.6, SSPN1_45450.7, SSPN1_45450.4
OG0001547	STRK1_42450.1, STRK1_42450.2	SSPN1_43460.1, SSPN1_43460.2
OG0001548	STRK1_85840.1	SSPN1_86560.1
OG0001549	STRK1_43230.1, STRK1_80530.1, STRK1_107940.1	SSPN1_43960.1, SSPN1_43960.2
OG0001550	STRK1_88490.1, STRK1_88490.2, STRK1_88490.3, STRK1_88490.6, STRK1_88490.4, STRK1_88490.5	SSPN1_87060.1, SSPN1_87050.1
OG0001554	STRK1_29300.1	SSPN1_29630.1
OG0001555	STRK1_75770.1	SSPN1_72980.1, SSPN1_72960.1
OG0001556	STRK1_31530.3, STRK1_31530.4, STRK1_31530.1, STRK1_31530.2	SSPN1_38580.1
OG0001557	STRK1_39230.1, STRK1_39230.2	SSPN1_39810.1
OG0001558	STRK1_77800.1	SSPN1_77640.1
OG0001559	STRK1_52150.1	SSPN1_49140.1
OG0001560	STRK1_64310.1	SSPN1_60980.1, SSPN1_60980.3, SSPN1_60980.2, SSPN1_60980.4
OG0001562	STRK1_74430.1	SSPN1_71930.1
OG0001563	STRK1_40180.1, STRK1_95010.1, STRK1_95020.1	SSPN1_42320.1, SSPN1_42320.2
OG0001564	STRK1_50300.1, STRK1_50250.1	SSPN1_47330.1, SSPN1_47330.2, SSPN1_47330.3
OG0001565	STRK1_62010.1	SSPN1_59680.1
OG0001566	STRK1_64410.1	SSPN1_61120.1, SSPN1_61120.2
OG0001567	STRK1_74690.1, STRK1_74690.2	SSPN1_74690.1
OG0001568	STRK1_78010.1, STRK1_78010.2	SSPN1_77290.1
OG0001569	STRK1_20650.1, STRK1_20650.2	SSPN1_21160.1, SSPN1_21160.2
OG0001570	STRK1_68760.1	SSPN1_68100.1
OG0001571	STRK1_190.1	SSPN1_1030.1
OG0001571	STRK1_5920.1	SSPN1_6360.1
OG0001572	STRK1_64400.1, STRK1_64400.2	SSPN1_61100.1, SSPN1_61100.2
OG0001573	STRK1_26250.1	SSPN1_25460.1
OG0001574	STRK1_36460.1, STRK1_36460.2	SSPN1_35600.1, SSPN1_35600.5, SSPN1_35600.4, SSPN1_35600.3, SSPN1_35600.6, SSPN1_35600.2
OG0001575	STRK1_11000.1	SSPN1_18840.1
OG0001576	STRK1_106850.1, STRK1_108170.1, STRK1_87670.1, STRK1_87670.2	SSPN1_85290.3, SSPN1_85290.1, SSPN1_85290.2
OG0001577	STRK1_100980.1	SSPN1_27930.1, SSPN1_27930.2
OG0001578	STRK1_54270.1	SSPN1_54490.6, SSPN1_54490.5, SSPN1_54490.1, SSPN1_54490.2, SSPN1_54490.7, SSPN1_54490.3, SSPN1_54490.4
OG0001579	STRK1_14200.1	SSPN1_13800.1, SSPN1_13800.2
OG0001580	STRK1_41520.1	SSPN1_40730.1
OG0001581	STRK1_76260.1	SSPN1_75690.1
OG0001582	STRK1_53870.1	SSPN1_54100.1, SSPN1_54100.2, SSPN1_54100.3
OG0001583	STRK1_41710.1	SSPN1_40620.2, SSPN1_40620.3, SSPN1_40620.1
OG0001584	STRK1_35700.1	SSPN1_36180.1
OG0001585	STRK1_35170.1	SSPN1_30790.1, SSPN1_30790.2, SSPN1_30790.3
OG0001586	STRK1_4160.1, STRK1_4160.2	SSPN1_10680.1, SSPN1_10680.3, SSPN1_10680.5, SSPN1_10680.2, SSPN1_10680.4
OG0001587	STRK1_3980.1	SSPN1_11670.1
OG0001588	STRK1_59270.1	SSPN1_61360.1
OG0001589	STRK1_35310.1	SSPN1_36900.4, SSPN1_36900.5, SSPN1_36900.3, SSPN1_36900.1, SSPN1_36900.2
OG0001590	STRK1_67540.1	SSPN1_66920.1, SSPN1_66920.3, SSPN1_66920.2, SSPN1_66920.4
OG0001591	STRK1_108660.1, STRK1_90670.1	SSPN1_92940.3, SSPN1_92940.4, SSPN1_92940.1, SSPN1_92940.2
OG0001592	STRK1_2120.1, STRK1_2120.2, STRK1_2120.3, STRK1_2150.1	SSPN1_11500.1, SSPN1_11500.2, SSPN1_11500.3, SSPN1_11500.4
OG0001593	STRK1_60600.1, STRK1_60600.2	SSPN1_62850.1, SSPN1_62850.2
OG0001594	STRK1_31130.1	SSPN1_34590.2, SSPN1_34590.1, SSPN1_34590.3
OG0001595	STRK1_63310.1	SSPN1_59080.3, SSPN1_59080.1, SSPN1_59080.2
OG0001596	STRK1_77970.1, STRK1_77970.2	SSPN1_77120.3, SSPN1_77120.4, SSPN1_77120.1, SSPN1_77120.2, SSPN1_77120.5
OG0001597	STRK1_71580.1, STRK1_71580.2	SSPN1_70440.1, SSPN1_70440.2
OG0001598	STRK1_43360.1	SSPN1_44070.1, SSPN1_44070.2, SSPN1_44070.3
OG0001599	STRK1_67920.1	SSPN1_67350.1
OG0001600	STRK1_29910.1, STRK1_29910.2	SSPN1_29010.1, SSPN1_29010.2
OG0001601	STRK1_62790.1	SSPN1_58500.3, SSPN1_58500.2, SSPN1_58500.5, SSPN1_58500.6, SSPN1_58500.4, SSPN1_58500.1
OG0001602	STRK1_11740.1, STRK1_11740.2	SSPN1_17980.1
OG0001603	STRK1_46980.1	SSPN1_50880.1, SSPN1_50880.2, SSPN1_50880.3
OG0001604	STRK1_24290.1, STRK1_24280.1, STRK1_104820.1	SSPN1_23690.1
OG0001605	STRK1_2880.1	SSPN1_15070.1, SSPN1_15070.2
OG0001606	STRK1_102480.1	SSPN1_22240.1, SSPN1_22240.2
OG0001607	STRK1_68060.1	SSPN1_66880.1, SSPN1_66880.2
OG0001608	STRK1_51970.1	SSPN1_49880.3, SSPN1_49880.1, SSPN1_49880.2, SSPN1_49880.4
OG0001609	STRK1_106150.1, STRK1_106150.2, STRK1_69460.1, STRK1_69470.1	SSPN1_68830.1, SSPN1_68830.2, SSPN1_68830.3, SSPN1_68830.4, SSPN1_68830.5, SSPN1_68830.6
OG0001610	STRK1_93100.2	SSPN1_91860.1
OG0001610	STRK1_28140.1	SSPN1_34030.1
OG0001611	STRK1_61480.1	SSPN1_63840.2, SSPN1_63840.3, SSPN1_63840.5, SSPN1_63840.7, SSPN1_63840.6, SSPN1_63840.8, SSPN1_63840.1, SSPN1_63840.4
OG0001612	STRK1_910.1	SSPN1_1450.1, SSPN1_1450.2, SSPN1_1450.3
OG0001613	STRK1_75410.1, STRK1_75410.2	SSPN1_71250.1
OG0001614	STRK1_38380.1, STRK1_38380.2, STRK1_104090.1	SSPN1_30940.1
OG0001615	STRK1_38390.1	SSPN1_30930.1
OG0001616	STRK1_9810.1, STRK1_9810.2, STRK1_10310.3, STRK1_10310.1, STRK1_10310.2	SSPN1_20020.1
OG0001617	STRK1_47960.1, STRK1_47960.2	SSPN1_52500.1
OG0001618	STRK1_41270.1	SSPN1_31840.2, SSPN1_31840.1
OG0001619	STRK1_45970.1	SSPN1_52390.1
OG0001620	STRK1_35020.1, STRK1_35020.2	SSPN1_37120.1, SSPN1_37120.5, SSPN1_37120.6, SSPN1_37120.2, SSPN1_37120.3, SSPN1_37120.4
OG0001621	STRK1_250.1	SSPN1_1090.1, SSPN1_1090.2, SSPN1_1090.3
OG0001622	STRK1_53040.1, STRK1_107340.1, STRK1_53060.1, STRK1_81900.1, STRK1_81930.1, STRK1_81950.1, STRK1_81950.2, STRK1_81950.3	SSPN1_81620.1
OG0001623	STRK1_7290.1	SSPN1_7450.1
OG0001624	STRK1_39210.1	SSPN1_39790.1, SSPN1_39790.3, SSPN1_39790.5, SSPN1_39790.8, SSPN1_39790.10, SSPN1_39790.7, SSPN1_39790.4, SSPN1_39790.9, SSPN1_39790.2, SSPN1_39790.6
OG0001625	STRK1_88870.1	SSPN1_61470.1
OG0001626	STRK1_31440.1	SSPN1_38510.1
OG0001627	STRK1_70580.1, STRK1_70580.2	SSPN1_69890.1
OG0001628	STRK1_14770.1, STRK1_14770.2	SSPN1_14440.1, SSPN1_14440.2
OG0001629	STRK1_1590.1	SSPN1_1950.3, SSPN1_1950.1, SSPN1_1950.2
OG0001630	STRK1_8650.1, STRK1_8650.2	SSPN1_9050.2, SSPN1_9050.5, SSPN1_9050.1, SSPN1_9050.3, SSPN1_9050.4
OG0001631	STRK1_86880.1	SSPN1_86130.9, SSPN1_86130.2, SSPN1_86130.4, SSPN1_86130.5, SSPN1_86130.7, SSPN1_86130.1, SSPN1_86130.3, SSPN1_86130.6, SSPN1_86130.8
OG0001632	STRK1_65030.1	SSPN1_57680.1, SSPN1_57680.3, SSPN1_57680.4, SSPN1_57680.2
OG0001633	STRK1_101650.1, STRK1_97200.1, STRK1_107820.1, STRK1_90810.1	SSPN1_91230.1
OG0001634	STRK1_85060.1	SSPN1_84210.1, SSPN1_84210.2, SSPN1_84210.3
OG0001635	STRK1_6760.3, STRK1_6760.2, STRK1_6760.1	SSPN1_4930.1
OG0001636	STRK1_74280.1, STRK1_74270.1	SSPN1_72040.1, SSPN1_72040.3, SSPN1_72040.2
OG0001637	STRK1_55760.1	SSPN1_56150.2, SSPN1_56150.1, SSPN1_56150.3
OG0001638	STRK1_102600.1, STRK1_102600.2	SSPN1_6690.1, SSPN1_6690.2, SSPN1_6690.3
OG0001639	STRK1_14490.1	SSPN1_14140.1
OG0001640	STRK1_18840.1, STRK1_108140.1, STRK1_18850.1	SSPN1_13180.1
OG0001641	STRK1_85320.1	SSPN1_85670.2, SSPN1_85670.1, SSPN1_85670.3, SSPN1_85670.4
OG0001642	STRK1_43650.1, STRK1_43650.2	SSPN1_44250.2, SSPN1_44250.1, SSPN1_44250.3, SSPN1_44250.4, SSPN1_66850.1
OG0001643	STRK1_57690.1, STRK1_95450.1	SSPN1_64530.1
OG0001644	STRK1_50170.1, STRK1_50170.2, STRK1_50170.3	SSPN1_47500.1
OG0001645	STRK1_93300.1	SSPN1_91650.1
OG0001646	STRK1_53570.1, STRK1_53570.2	SSPN1_53760.1
OG0001647	STRK1_98150.1, STRK1_41820.1	SSPN1_40520.3, SSPN1_40520.4, SSPN1_40520.1, SSPN1_40520.2, SSPN1_40520.5
OG0001648	STRK1_77890.1	SSPN1_77070.2, SSPN1_77070.1, SSPN1_77070.3
OG0001649	STRK1_11310.1, STRK1_11310.2	SSPN1_18430.1
OG0001650	STRK1_71760.1, STRK1_71760.2, STRK1_71760.3, STRK1_71760.4, STRK1_71760.5	SSPN1_70210.1
OG0001651	STRK1_1530.1	SSPN1_2040.1
OG0001652	STRK1_69400.1, STRK1_69400.2, STRK1_69400.5, STRK1_69400.6, STRK1_69400.7, STRK1_69400.3, STRK1_69400.4	SSPN1_68730.1, SSPN1_68730.2, SSPN1_68730.3
OG0001653	STRK1_10030.1, STRK1_10030.4, STRK1_10030.2, STRK1_10030.3	SSPN1_19790.1, SSPN1_19790.2, SSPN1_19790.3
OG0001654	STRK1_88320.1	SSPN1_87390.1
OG0001654	STRK1_88250.1, STRK1_88260.1	SSPN1_87400.2, SSPN1_87400.1, SSPN1_87400.3, SSPN1_87400.4
OG0001655	STRK1_66140.1	SSPN1_64950.2, SSPN1_64950.1, SSPN1_64950.3
OG0001656	STRK1_84730.1	SSPN1_84730.2, SSPN1_84730.1, SSPN1_84730.4, SSPN1_84730.3, SSPN1_84730.5, SSPN1_84730.6
OG0001657	STRK1_34770.1	SSPN1_37440.1, SSPN1_37440.2
OG0001659	STRK1_35880.1	SSPN1_35990.1
OG0001661	STRK1_100780.1, STRK1_52790.1	SSPN1_49760.1, SSPN1_49760.2, SSPN1_49760.3, SSPN1_49760.4, SSPN1_49760.5, SSPN1_49760.6, SSPN1_49760.7
OG0001662	STRK1_3110.1, STRK1_3110.2	SSPN1_5400.1, SSPN1_5400.2
OG0001663	STRK1_10960.5, STRK1_10960.4, STRK1_10960.6, STRK1_10960.1, STRK1_10960.2, STRK1_10960.3	SSPN1_18870.1
OG0001668	STRK1_27040.1	SSPN1_27280.1, SSPN1_27280.3, SSPN1_27280.4, SSPN1_27280.2, SSPN1_27280.5
OG0001670	STRK1_28310.1	SSPN1_34210.1
OG0001671	STRK1_29740.1, STRK1_29740.2	SSPN1_29200.1
OG0001672	STRK1_36500.1, STRK1_36500.2	SSPN1_28360.1, SSPN1_28360.2, SSPN1_28360.3
OG0001673	STRK1_60910.1	SSPN1_62990.1, SSPN1_62990.2
OG0001675	STRK1_64620.1	SSPN1_57990.3, SSPN1_57990.5, SSPN1_57990.4, SSPN1_57990.6, SSPN1_57990.1, SSPN1_57990.2
OG0001676	STRK1_10170.1	SSPN1_19630.3, SSPN1_19630.1, SSPN1_19630.2, SSPN1_19630.4
OG0001677	STRK1_85500.1	SSPN1_85520.1
OG0001678	STRK1_55950.1, STRK1_55950.2	SSPN1_55840.1, SSPN1_55840.4, SSPN1_55840.2, SSPN1_55840.3, SSPN1_55840.5
OG0001679	STRK1_18010.1	SSPN1_12610.1, SSPN1_12610.2
OG0001680	STRK1_27080.1, STRK1_27080.2	SSPN1_27330.1, SSPN1_27330.2, SSPN1_27330.3, SSPN1_27330.4, SSPN1_27330.5
OG0001681	STRK1_3720.3, STRK1_3720.1, STRK1_3720.2	SSPN1_11820.1
OG0001682	STRK1_14060.1	SSPN1_13670.1, SSPN1_13670.2, SSPN1_13670.3
OG0001683	STRK1_22770.1, STRK1_22780.1, STRK1_80400.1, STRK1_106070.1, STRK1_22750.1, STRK1_106080.1	SSPN1_24340.1, SSPN1_24330.4, SSPN1_24330.3, SSPN1_24330.2, SSPN1_24330.1
OG0001684	STRK1_36590.1, STRK1_36600.1	SSPN1_28290.1
OG0001685	STRK1_4390.1	SSPN1_15270.1
OG0001685	STRK1_4410.1	SSPN1_15290.1
OG0001686	STRK1_80170.1, STRK1_90850.1	SSPN1_79290.1
OG0001687	STRK1_53610.1, STRK1_53510.1, STRK1_53550.1, STRK1_53560.1	SSPN1_53770.1
OG0001688	STRK1_20700.1	SSPN1_21210.3, SSPN1_21210.4, SSPN1_21210.1, SSPN1_21210.2
OG0001689	STRK1_97950.1, STRK1_20290.1, STRK1_89600.1	SSPN1_9560.1
OG0001689	STRK1_19880.1	SSPN1_9520.1
