Orthogroup	schistosoma_haematobium	fasciola_gigantica
OG0000516	SHAE2_67300.1, SHAE2_67300.2, SHAE2_67300.4, SHAE2_67300.3, SHAE2_67300.6, SHAE2_67300.7, SHAE2_67300.8, SHAE2_67300.5	FGIG_11912, FGIG_11911
OG0000517	SHAE2_28200.2, SHAE2_28200.3, SHAE2_28200.1, SHAE2_28200.4	FGIG_11937
OG0000521	SHAE2_76030.9, SHAE2_76030.2, SHAE2_76030.8, SHAE2_76030.1, SHAE2_76030.7, SHAE2_76030.4, SHAE2_76030.3, SHAE2_76030.5, SHAE2_76030.6	FGIG_00188
OG0000522	SHAE2_60770.1, SHAE2_60710.1, SHAE2_60950.1, SHAE2_60800.1, SHAE2_60550.1, SHAE2_60740.1, SHAE2_60780.1, SHAE2_60810.1, SHAE2_60960.1, SHAE2_60750.1, SHAE2_60690.1	FGIG_00655
OG0000523	SHAE2_81460.1, SHAE2_81460.2, SHAE2_81460.3, SHAE2_81460.4, SHAE2_81460.5, SHAE2_81460.6, SHAE2_81460.7, SHAE2_81460.8	FGIG_00791
OG0000524	SHAE2_14270.8, SHAE2_14270.6, SHAE2_14270.5, SHAE2_14270.7, SHAE2_14270.2, SHAE2_14270.3, SHAE2_14270.4, SHAE2_14270.1	FGIG_00872, FGIG_04807
OG0000525	SHAE2_53810.5, SHAE2_53810.6, SHAE2_53810.3, SHAE2_53810.2, SHAE2_53810.1, SHAE2_53810.4	FGIG_03698
OG0000526	SHAE2_19070.6, SHAE2_19070.1, SHAE2_19070.2, SHAE2_19070.3, SHAE2_19070.5, SHAE2_19070.4	FGIG_03947, FGIG_03948, FGIG_03949, FGIG_03950
OG0000527	SHAE2_102030.1, SHAE2_21260.5, SHAE2_21260.8, SHAE2_21260.1, SHAE2_21260.2, SHAE2_21260.3, SHAE2_21260.7, SHAE2_21260.9, SHAE2_21260.4, SHAE2_21260.6	FGIG_04305, FGIG_04306
OG0000528	SHAE2_34440.1	FGIG_05456, FGIG_05455
OG0000529	SHAE2_17700.1	FGIG_05544
OG0000529	SHAE2_27780.1	FGIG_08863
OG0000530	SHAE2_101290.1, SHAE2_101290.2, SHAE2_101310.1, SHAE2_101300.1	FGIG_05770
OG0000531	SHAE2_82200.4, SHAE2_82200.2, SHAE2_82200.5, SHAE2_82200.3, SHAE2_82200.1	FGIG_05789, FGIG_10492, FGIG_10493
OG0000532	SHAE2_5510.1	FGIG_07231
OG0000533	SHAE2_21390.1	FGIG_07562
OG0000534	SHAE2_75330.2, SHAE2_75330.5, SHAE2_75330.4, SHAE2_75330.6, SHAE2_75330.1, SHAE2_75330.3	FGIG_13988, FGIG_07681
OG0000535	SHAE2_62750.11, SHAE2_62750.8, SHAE2_62750.9, SHAE2_62750.6, SHAE2_62750.2, SHAE2_62750.1, SHAE2_62750.3, SHAE2_62750.4, SHAE2_62750.5, SHAE2_62750.7, SHAE2_62750.10	FGIG_12466, FGIG_08126, FGIG_08125
OG0000536	SHAE2_70230.1, SHAE2_70230.2, SHAE2_70230.11, SHAE2_70230.3, SHAE2_70230.5, SHAE2_70230.10, SHAE2_70230.12, SHAE2_70230.4, SHAE2_70230.6, SHAE2_70230.8, SHAE2_70230.9, SHAE2_70230.7	FGIG_08935, FGIG_08934
OG0000537	SHAE2_56720.1, SHAE2_56720.2, SHAE2_56720.3	FGIG_12232, FGIG_12182
OG0000539	SHAE2_50030.4, SHAE2_50030.3, SHAE2_50030.1, SHAE2_50030.2, SHAE2_50030.7, SHAE2_50030.6, SHAE2_50030.5, SHAE2_50030.8, SHAE2_50030.9	FGIG_00008
OG0000540	SHAE2_6210.3, SHAE2_6210.2, SHAE2_6210.1, SHAE2_6210.4	FGIG_00485, FGIG_00487
OG0000541	SHAE2_31090.1	FGIG_00810
OG0000542	SHAE2_92450.1, SHAE2_92450.8, SHAE2_92450.7, SHAE2_92450.6, SHAE2_92450.4, SHAE2_92450.3, SHAE2_92450.2, SHAE2_92450.5	FGIG_00859
OG0000543	SHAE2_17100.7, SHAE2_17100.6, SHAE2_17100.3, SHAE2_17100.1, SHAE2_17100.2, SHAE2_17100.4, SHAE2_17100.5, SHAE2_17100.8	FGIG_01118
OG0000544	SHAE2_84290.3, SHAE2_84290.6, SHAE2_84290.1, SHAE2_84290.2, SHAE2_84290.4, SHAE2_84290.5	FGIG_01478, FGIG_01480
OG0000545	SHAE2_49820.1	FGIG_02161
OG0000545	SHAE2_74160.3, SHAE2_74160.4, SHAE2_74160.1, SHAE2_74160.2	FGIG_04734
OG0000546	SHAE2_31850.9, SHAE2_31850.2, SHAE2_31850.5, SHAE2_31850.1, SHAE2_31850.3, SHAE2_31850.11, SHAE2_31850.12, SHAE2_31850.13, SHAE2_31850.4, SHAE2_31850.6, SHAE2_31850.7, SHAE2_31850.8, SHAE2_31850.10	FGIG_02171
OG0000547	SHAE2_94020.3, SHAE2_94020.2, SHAE2_94020.1	FGIG_02243
OG0000548	SHAE2_31750.4, SHAE2_31750.1, SHAE2_31750.3, SHAE2_31750.2	FGIG_02293
OG0000549	SHAE2_12790.1, SHAE2_12790.2, SHAE2_12790.3, SHAE2_12790.4, SHAE2_12790.5	FGIG_02503
OG0000550	SHAE2_20880.3, SHAE2_20880.1, SHAE2_20880.2, SHAE2_20870.1	FGIG_02524, FGIG_04548
OG0000551	SHAE2_51940.1	FGIG_11586
OG0000552	SHAE2_6030.2, SHAE2_6030.1	FGIG_03044
OG0000552	SHAE2_91550.2, SHAE2_91550.1	FGIG_10688
OG0000553	SHAE2_100050.1, SHAE2_100040.1	FGIG_06277, FGIG_03255
OG0000554	SHAE2_12940.5, SHAE2_12940.6, SHAE2_12940.4, SHAE2_12940.1, SHAE2_12940.3, SHAE2_12940.2	FGIG_03594, FGIG_03593, FGIG_09273
OG0000555	SHAE2_46400.2, SHAE2_46400.1, SHAE2_46400.3, SHAE2_46400.4	FGIG_06696, FGIG_03633, FGIG_07782
OG0000556	SHAE2_70100.1	FGIG_04270
OG0000557	SHAE2_40680.10, SHAE2_40680.8, SHAE2_40680.9, SHAE2_40680.6, SHAE2_40680.1, SHAE2_40680.2, SHAE2_40680.4, SHAE2_40680.5, SHAE2_40680.3, SHAE2_40680.7	FGIG_04408
OG0000558	SHAE2_19970.4, SHAE2_19970.1, SHAE2_19970.3, SHAE2_19970.5, SHAE2_19970.2, SHAE2_19970.6, SHAE2_19970.7, SHAE2_19970.8	FGIG_04989
OG0000559	SHAE2_85190.1, SHAE2_85190.2, SHAE2_85190.3, SHAE2_85190.4	FGIG_05022, FGIG_05024, FGIG_05023
OG0000560	SHAE2_102210.1, SHAE2_102210.3, SHAE2_102210.2, SHAE2_102210.4	FGIG_05328
OG0000561	SHAE2_100430.1	FGIG_05533
OG0000562	SHAE2_89950.1	FGIG_05555, FGIG_05553
OG0000563	SHAE2_23270.1, SHAE2_23270.7, SHAE2_23270.2, SHAE2_23270.3, SHAE2_23270.4, SHAE2_23270.5, SHAE2_23270.6	FGIG_06026
OG0000564	SHAE2_44830.5, SHAE2_44830.1, SHAE2_44830.2, SHAE2_44830.3, SHAE2_44830.4	FGIG_06399, FGIG_10134
OG0000565	SHAE2_3970.1, SHAE2_3970.2, SHAE2_3970.3	FGIG_06423
OG0000566	SHAE2_86660.1, SHAE2_86660.2	FGIG_06842
OG0000567	SHAE2_70010.5, SHAE2_70010.4, SHAE2_70010.12, SHAE2_70010.13, SHAE2_70010.11, SHAE2_70010.6, SHAE2_70010.3, SHAE2_70010.8, SHAE2_70010.10, SHAE2_70010.9, SHAE2_70010.1, SHAE2_70010.2, SHAE2_70010.14, SHAE2_70010.15, SHAE2_70010.7	FGIG_07651
OG0000568	SHAE2_60300.1	FGIG_08587
OG0000568	SHAE2_71330.1	FGIG_08255
OG0000568	SHAE2_37730.1	FGIG_08984
OG0000569	SHAE2_11430.9, SHAE2_11430.1, SHAE2_11430.5, SHAE2_11430.7, SHAE2_11430.2, SHAE2_11430.4, SHAE2_11430.6, SHAE2_11430.8	FGIG_08518
OG0000570	SHAE2_14780.10, SHAE2_14780.7, SHAE2_14780.5, SHAE2_14780.8, SHAE2_14780.3, SHAE2_14780.4, SHAE2_14780.9, SHAE2_14780.11, SHAE2_14780.2, SHAE2_14780.12, SHAE2_14780.1, SHAE2_14780.6, SHAE2_14780.17, SHAE2_14780.16, SHAE2_14780.18, SHAE2_14780.13, SHAE2_14780.15, SHAE2_14780.14	FGIG_11175, FGIG_11174, FGIG_08779
OG0000571	SHAE2_10760.1	FGIG_09381, FGIG_08972
OG0000572	SHAE2_63320.1, SHAE2_63320.9, SHAE2_63320.8, SHAE2_63320.2, SHAE2_63320.4, SHAE2_63320.6, SHAE2_63320.11, SHAE2_63320.10, SHAE2_63320.7, SHAE2_63320.3, SHAE2_63320.5, SHAE2_63320.13, SHAE2_63320.14, SHAE2_63320.12	FGIG_10316
OG0000574	SHAE2_3420.1, SHAE2_3420.4, SHAE2_3420.5, SHAE2_3420.2, SHAE2_3420.3, SHAE2_3420.8, SHAE2_3420.6, SHAE2_3420.7, SHAE2_3420.9, SHAE2_3420.10, SHAE2_3440.1, SHAE2_3440.2	FGIG_11179, FGIG_10756
OG0000575	SHAE2_99880.4, SHAE2_99880.12, SHAE2_99880.3, SHAE2_99880.7, SHAE2_99880.5, SHAE2_99880.8, SHAE2_99880.10, SHAE2_99880.9, SHAE2_99880.1, SHAE2_99880.2, SHAE2_99880.11, SHAE2_99880.6	FGIG_10778
OG0000576	SHAE2_46950.1	FGIG_11079
OG0000580	SHAE2_42150.2, SHAE2_42150.1, SHAE2_42150.3	FGIG_01348
OG0000580	SHAE2_34660.1, SHAE2_34660.2	FGIG_06846
OG0000581	SHAE2_65170.1, SHAE2_65170.2	FGIG_01599, FGIG_01600, FGIG_01602
OG0000582	SHAE2_87460.1, SHAE2_87470.1	FGIG_08180, FGIG_01623, FGIG_12483, FGIG_04914
OG0000582	SHAE2_87480.1	FGIG_04913
OG0000583	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2	FGIG_01854
OG0000584	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8	FGIG_02128
OG0000585	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5	FGIG_03970
OG0000586	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6	FGIG_04310
OG0000587	SHAE2_11250.1	FGIG_06053, FGIG_06054, FGIG_06186, FGIG_06185, FGIG_10628
OG0000588	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5, SHAE2_24650.3, SHAE2_24650.1, SHAE2_24650.2	FGIG_04873, FGIG_04872
OG0000589	SHAE2_58100.2, SHAE2_58100.3, SHAE2_58100.1	FGIG_05822
OG0000590	SHAE2_31460.1	FGIG_06108
OG0000590	SHAE2_43500.1	FGIG_09604
OG0000591	SHAE2_3980.1, SHAE2_3980.3, SHAE2_3980.8, SHAE2_3980.9, SHAE2_3980.2, SHAE2_3980.4, SHAE2_3980.5, SHAE2_3980.7, SHAE2_3980.6	FGIG_07049
OG0000592	SHAE2_33170.9, SHAE2_33170.4, SHAE2_33170.1, SHAE2_33170.2, SHAE2_33170.3, SHAE2_33170.6, SHAE2_33170.7, SHAE2_33170.5, SHAE2_33170.8	FGIG_07330
OG0000593	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19	FGIG_07487
OG0000594	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11	FGIG_09951
OG0000595	SHAE2_50990.3, SHAE2_50990.5, SHAE2_50990.6, SHAE2_50990.7, SHAE2_50990.2, SHAE2_50990.1, SHAE2_50990.4	FGIG_10443
OG0000599	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6	FGIG_00310
OG0000600	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2	FGIG_00415
OG0000601	SHAE2_100340.1, SHAE2_100340.3, SHAE2_100340.2, SHAE2_100340.4, SHAE2_100350.1	FGIG_00679, FGIG_00677
OG0000601	SHAE2_43860.1	FGIG_06993, FGIG_06994
OG0000602	SHAE2_17130.1	FGIG_07880, FGIG_00906
OG0000603	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4	FGIG_01276
OG0000604	SHAE2_42330.1, SHAE2_42330.2	FGIG_01861
OG0000605	SHAE2_29810.1, SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3	FGIG_04127, FGIG_05340, FGIG_08932, FGIG_04128, FGIG_06075, FGIG_02168, FGIG_09785, FGIG_11355, FGIG_08151
OG0000606	SHAE2_19310.1	FGIG_02582
OG0000606	SHAE2_19310.1	FGIG_04619
OG0000606	SHAE2_19310.1	FGIG_05706
OG0000606	SHAE2_5840.1	FGIG_11978
OG0000607	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7	FGIG_02390
OG0000608	SHAE2_54080.3, SHAE2_54080.4, SHAE2_54080.5, SHAE2_54080.6, SHAE2_54080.1, SHAE2_54080.2	FGIG_12153, FGIG_02513
OG0000609	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8	FGIG_03553
OG0000610	SHAE2_30510.1, SHAE2_30510.4, SHAE2_30510.2, SHAE2_30510.3	FGIG_06791
OG0000610	SHAE2_24960.1	FGIG_04026
OG0000611	SHAE2_46030.1, SHAE2_46070.1, SHAE2_46050.1, SHAE2_46040.1, SHAE2_46060.1	FGIG_04031, FGIG_04611, FGIG_04610
OG0000612	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2	FGIG_05075, FGIG_07356
OG0000613	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3	FGIG_05297
OG0000614	SHAE2_47130.1	FGIG_07551, FGIG_05357, FGIG_05708
OG0000615	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3	FGIG_05820
OG0000616	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4	FGIG_05900, FGIG_05899, FGIG_05901, FGIG_05902
OG0000617	SHAE2_86170.1	FGIG_06140
OG0000618	SHAE2_39350.1	FGIG_06230
OG0000620	SHAE2_17340.1	FGIG_06888
OG0000620	SHAE2_49400.1	FGIG_07590
OG0000621	SHAE2_32320.1, SHAE2_32320.3, SHAE2_32320.2	FGIG_08191
OG0000622	SHAE2_77860.1	FGIG_08378
OG0000623	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4	FGIG_08778
OG0000624	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8	FGIG_09639
OG0000625	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9	FGIG_12467, FGIG_09809
OG0000626	SHAE2_57930.2, SHAE2_57930.4, SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6	FGIG_10065
OG0000627	SHAE2_13710.6, SHAE2_13710.4, SHAE2_13710.8, SHAE2_13710.1, SHAE2_13710.3, SHAE2_13710.5, SHAE2_13710.2, SHAE2_13710.7	FGIG_10215, FGIG_11735
OG0000628	SHAE2_65260.1, SHAE2_65260.2	FGIG_10311
OG0000629	SHAE2_41780.1	FGIG_11102, FGIG_11404, FGIG_11103
OG0000630	SHAE2_62790.1	FGIG_11115
OG0000631	SHAE2_70150.1, SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4	FGIG_11204
OG0000632	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4	FGIG_11309
OG0000633	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8	FGIG_11961, FGIG_11512
OG0000636	SHAE2_100110.1	FGIG_00195, FGIG_00194
OG0000637	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17	FGIG_00401, FGIG_09972
OG0000638	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3	FGIG_00444, FGIG_00445
OG0000639	SHAE2_65930.1	FGIG_12024, FGIG_00548
OG0000640	SHAE2_90000.1, SHAE2_89970.1, SHAE2_89980.1	FGIG_07362, FGIG_01307
OG0000641	SHAE2_7200.1	FGIG_10155
OG0000641	SHAE2_5070.1	FGIG_06676
OG0000642	SHAE2_66000.2, SHAE2_66000.1, SHAE2_66000.3, SHAE2_66000.4	FGIG_01513
OG0000643	SHAE2_55330.1	FGIG_07634
OG0000643	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3	FGIG_01520
OG0000644	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2	FGIG_02755
OG0000645	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1	FGIG_03205, FGIG_03204
OG0000646	SHAE2_10750.1	FGIG_06464, FGIG_04063
OG0000647	SHAE2_66200.1	FGIG_04352
OG0000648	SHAE2_97430.1, SHAE2_97410.1	FGIG_04810
OG0000649	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3	FGIG_12167, FGIG_04864
OG0000650	SHAE2_82120.1	FGIG_05802
OG0000651	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5	FGIG_06711
OG0000652	SHAE2_43110.2, SHAE2_43110.7, SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9	FGIG_07451, FGIG_11251
OG0000653	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2	FGIG_08008
OG0000654	SHAE2_62100.1	FGIG_08135
OG0000655	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8	FGIG_08460
OG0000656	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9, SHAE2_79910.2, SHAE2_79910.8, SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6	FGIG_11331
OG0000657	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5	FGIG_12016
OG0000663	SHAE2_41020.4, SHAE2_41020.2, SHAE2_41020.1, SHAE2_41020.3, SHAE2_41020.7, SHAE2_41020.8, SHAE2_41020.6, SHAE2_41020.5	FGIG_00042
OG0000664	SHAE2_14180.5, SHAE2_14180.6, SHAE2_14180.7, SHAE2_14180.3, SHAE2_14180.4, SHAE2_14180.1, SHAE2_14180.2	FGIG_00049
OG0000665	SHAE2_77460.4, SHAE2_77460.1, SHAE2_77460.3, SHAE2_77460.2	FGIG_00160, FGIG_00161
OG0000666	SHAE2_65920.2, SHAE2_65920.1, SHAE2_65920.3, SHAE2_65920.4	FGIG_00549
OG0000667	SHAE2_6720.1	FGIG_01542
OG0000668	SHAE2_55720.1, SHAE2_55720.5, SHAE2_55720.2, SHAE2_55720.6, SHAE2_55720.7, SHAE2_55720.4, SHAE2_55720.3	FGIG_01730, FGIG_09027
OG0000669	SHAE2_72600.4, SHAE2_72600.9, SHAE2_72600.1, SHAE2_72600.2, SHAE2_72600.3, SHAE2_72600.5, SHAE2_72600.6, SHAE2_72600.7, SHAE2_72600.10, SHAE2_72600.8	FGIG_01837
OG0000671	SHAE2_81090.4, SHAE2_81090.3, SHAE2_81090.1, SHAE2_81090.2, SHAE2_81090.5	FGIG_08408, FGIG_02086
OG0000672	SHAE2_47050.2, SHAE2_47050.3, SHAE2_47050.4, SHAE2_47050.5, SHAE2_47050.1	FGIG_02238
OG0000673	SHAE2_18160.1	FGIG_09403, FGIG_02862, FGIG_11262
OG0000674	SHAE2_82650.3, SHAE2_82650.6, SHAE2_82650.1, SHAE2_82650.2, SHAE2_82650.4, SHAE2_82650.5, SHAE2_82650.7	FGIG_03748
OG0000675	SHAE2_76490.1	FGIG_04836
OG0000676	SHAE2_86060.1	FGIG_04981
OG0000677	SHAE2_5740.1	FGIG_08608, FGIG_05149
OG0000678	SHAE2_37280.1, SHAE2_37280.7, SHAE2_37280.5, SHAE2_37280.3, SHAE2_37280.4, SHAE2_37280.8, SHAE2_37280.2, SHAE2_37280.6	FGIG_05212, FGIG_08440
OG0000679	SHAE2_76550.4, SHAE2_76550.5, SHAE2_76550.8, SHAE2_76550.1, SHAE2_76550.3, SHAE2_76550.6, SHAE2_76550.2, SHAE2_76550.7	FGIG_05421
OG0000680	SHAE2_19060.1, SHAE2_19060.2, SHAE2_19060.3, SHAE2_19060.4, SHAE2_19060.5, SHAE2_19060.6	FGIG_06325
OG0000681	SHAE2_37660.4, SHAE2_37660.1, SHAE2_37660.5, SHAE2_37660.2, SHAE2_37660.3	FGIG_07672, FGIG_07674, FGIG_07673
OG0000682	SHAE2_45830.1, SHAE2_45830.4, SHAE2_45830.2, SHAE2_45830.3	FGIG_08671, FGIG_10440
OG0000683	SHAE2_58300.1, SHAE2_58300.2, SHAE2_58300.4, SHAE2_58300.5, SHAE2_58300.3	FGIG_08868
OG0000683	SHAE2_71530.2, SHAE2_71530.1	FGIG_11508
OG0000684	SHAE2_89870.1	FGIG_09603
OG0000685	SHAE2_79720.1, SHAE2_79720.2	FGIG_10349
OG0000686	SHAE2_64060.7, SHAE2_64060.1, SHAE2_64060.3, SHAE2_64060.4, SHAE2_64060.5, SHAE2_64060.6, SHAE2_64060.2, SHAE2_64060.8	FGIG_10794
OG0000687	SHAE2_29090.1	FGIG_10988
OG0000688	SHAE2_910.3, SHAE2_910.6, SHAE2_910.1, SHAE2_910.2, SHAE2_910.4, SHAE2_910.5, SHAE2_910.8, SHAE2_910.7	FGIG_11395
OG0000689	SHAE2_3430.5, SHAE2_3430.6, SHAE2_3430.7, SHAE2_3430.4, SHAE2_3430.1, SHAE2_3430.2, SHAE2_3430.3	FGIG_11959, FGIG_11996, FGIG_12497
OG0000695	SHAE2_101610.1	FGIG_01172
OG0000695	SHAE2_48520.1, SHAE2_48520.2, SHAE2_48520.3, SHAE2_48520.4	FGIG_00165
OG0000696	SHAE2_5960.2, SHAE2_5960.6, SHAE2_5960.3, SHAE2_5960.4, SHAE2_5960.5, SHAE2_5960.7, SHAE2_5960.1	FGIG_00322
OG0000697	SHAE2_43170.5, SHAE2_43170.6, SHAE2_43170.10, SHAE2_43170.11, SHAE2_43170.12, SHAE2_43170.13, SHAE2_43170.3, SHAE2_43170.4, SHAE2_43170.7, SHAE2_43170.9, SHAE2_43170.14, SHAE2_43170.2, SHAE2_43170.8, SHAE2_43170.1	FGIG_00451
OG0000698	SHAE2_20210.1	FGIG_00723
OG0000699	SHAE2_35900.1	FGIG_00957
OG0000699	SHAE2_49050.1, SHAE2_49060.1	FGIG_08660
OG0000700	SHAE2_30500.1, SHAE2_26390.1, SHAE2_26400.1, SHAE2_26410.1	FGIG_01249
OG0000701	SHAE2_64920.2, SHAE2_64920.4, SHAE2_64920.5, SHAE2_64920.3, SHAE2_64920.6, SHAE2_64920.1	FGIG_01998
OG0000702	SHAE2_92210.5, SHAE2_92210.7, SHAE2_92210.1, SHAE2_92210.2, SHAE2_92210.4, SHAE2_92210.3, SHAE2_92210.8, SHAE2_92210.6	FGIG_02188
OG0000703	SHAE2_150.1, SHAE2_150.2, SHAE2_150.3	FGIG_02284, FGIG_02283, FGIG_09761, FGIG_07532, FGIG_07531, FGIG_06144
OG0000704	SHAE2_51510.2, SHAE2_51510.4, SHAE2_51510.1, SHAE2_51510.3, SHAE2_51510.5, SHAE2_51510.6, SHAE2_51510.7, SHAE2_51510.8	FGIG_02296
OG0000705	SHAE2_6640.10, SHAE2_6640.3, SHAE2_6640.4, SHAE2_6640.5, SHAE2_6640.7, SHAE2_6640.8, SHAE2_6640.9, SHAE2_6640.2, SHAE2_6640.1, SHAE2_6640.6	FGIG_02537, FGIG_04858
OG0000706	SHAE2_46200.1	FGIG_03088
OG0000706	SHAE2_55630.3, SHAE2_55630.4, SHAE2_55630.1, SHAE2_55630.2	FGIG_06242
OG0000707	SHAE2_99610.1	FGIG_03479, FGIG_13999
OG0000708	SHAE2_40130.1	FGIG_03513, FGIG_05397
OG0000709	SHAE2_46460.1	FGIG_03634
OG0000710	SHAE2_8540.1, SHAE2_8550.9, SHAE2_8550.6, SHAE2_8550.7, SHAE2_8550.8, SHAE2_8550.2, SHAE2_8550.1, SHAE2_8550.3, SHAE2_8550.4, SHAE2_8550.5	FGIG_04123
OG0000711	SHAE2_78950.3, SHAE2_78950.4, SHAE2_78950.10, SHAE2_78950.2, SHAE2_78950.5, SHAE2_78950.9, SHAE2_78950.11, SHAE2_78950.6, SHAE2_78950.12, SHAE2_78950.13, SHAE2_78950.1, SHAE2_78950.14, SHAE2_78950.7, SHAE2_78950.8	FGIG_04685
