Orthogroup	schistosoma_haematobium	schistosoma_mattheei
OG0000568	SHAE2_60300.1	SMTH1_62980.1
OG0000568	SHAE2_71330.1	SMTH1_74490.1
OG0000568	SHAE2_37730.1	SMTH1_38760.1
OG0000569	SHAE2_11430.9, SHAE2_11430.1, SHAE2_11430.5, SHAE2_11430.7, SHAE2_11430.2, SHAE2_11430.4, SHAE2_11430.6, SHAE2_11430.8	SMTH1_10890.1, SMTH1_10890.2, SMTH1_10890.4, SMTH1_10890.6, SMTH1_10890.9, SMTH1_10890.8, SMTH1_10890.3, SMTH1_10890.5, SMTH1_10890.7
OG0000570	SHAE2_14780.10, SHAE2_14780.7, SHAE2_14780.5, SHAE2_14780.8, SHAE2_14780.3, SHAE2_14780.4, SHAE2_14780.9, SHAE2_14780.11, SHAE2_14780.2, SHAE2_14780.12, SHAE2_14780.1, SHAE2_14780.6, SHAE2_14780.17, SHAE2_14780.16, SHAE2_14780.18, SHAE2_14780.13, SHAE2_14780.15, SHAE2_14780.14	SMTH1_14530.1
OG0000571	SHAE2_10760.1	SMTH1_10100.1
OG0000572	SHAE2_63320.1, SHAE2_63320.9, SHAE2_63320.8, SHAE2_63320.2, SHAE2_63320.4, SHAE2_63320.6, SHAE2_63320.11, SHAE2_63320.10	SMTH1_65870.5, SMTH1_65870.1, SMTH1_65870.2, SMTH1_65870.4, SMTH1_65870.6, SMTH1_65870.3, SMTH1_65860.1, SMTH1_65860.2, SMTH1_65860.3
OG0000574	SHAE2_3420.1, SHAE2_3420.4, SHAE2_3420.5, SHAE2_3420.2, SHAE2_3420.3, SHAE2_3420.8, SHAE2_3420.6, SHAE2_3420.7, SHAE2_3420.9, SHAE2_3420.10	SMTH1_3480.1
OG0000574	SHAE2_3440.1, SHAE2_3440.2	SMTH1_3500.1
OG0000575	SHAE2_99880.4, SHAE2_99880.12, SHAE2_99880.3, SHAE2_99880.7, SHAE2_99880.5, SHAE2_99880.8, SHAE2_99880.10, SHAE2_99880.9, SHAE2_99880.1, SHAE2_99880.2, SHAE2_99880.11, SHAE2_99880.6	SMTH1_104880.1
OG0000576	SHAE2_46950.1	SMTH1_49120.1
OG0000577	SHAE2_56320.7	SMTH1_59160.1
OG0000579	SHAE2_80000.1	SMTH1_83930.1
OG0000579	SHAE2_80040.1	SMTH1_83970.1
OG0000579	SHAE2_80010.1, SHAE2_80020.1	SMTH1_83940.1, SMTH1_83960.1
OG0000579	SHAE2_80090.1	SMTH1_84010.1
OG0000580	SHAE2_42150.2, SHAE2_42150.1, SHAE2_42150.3	SMTH1_43580.1
OG0000580	SHAE2_34660.1, SHAE2_34660.2	SMTH1_35940.2, SMTH1_35940.3, SMTH1_35940.4
OG0000581	SHAE2_65170.1, SHAE2_65170.2	SMTH1_67870.1, SMTH1_67870.2
OG0000582	SHAE2_87460.1	SMTH1_92180.1, SMTH1_92180.2
OG0000582	SHAE2_87470.1	SMTH1_92190.1
OG0000583	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2	SMTH1_67460.4, SMTH1_67460.5, SMTH1_67460.2, SMTH1_67460.3, SMTH1_67460.1, SMTH1_67460.6
OG0000584	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8	SMTH1_31550.2, SMTH1_31550.3, SMTH1_31550.5, SMTH1_31550.6, SMTH1_31550.4, SMTH1_31550.1
OG0000585	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5	SMTH1_6770.3, SMTH1_6770.4, SMTH1_6770.1, SMTH1_6770.2
OG0000586	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6	SMTH1_34510.1
OG0000587	SHAE2_69230.1	SMTH1_72190.1
OG0000587	SHAE2_11250.1	SMTH1_10560.1, SMTH1_10560.2
OG0000588	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5	SMTH1_24940.1, SMTH1_24930.1
OG0000589	SHAE2_58100.1	SMTH1_61090.1
OG0000590	SHAE2_31460.1	SMTH1_32430.2
OG0000590	SHAE2_43500.2	SMTH1_45250.1
OG0000591	SHAE2_3980.1, SHAE2_3980.3, SHAE2_3980.8, SHAE2_3980.9, SHAE2_3980.2, SHAE2_3980.4, SHAE2_3980.5, SHAE2_3980.7, SHAE2_3980.6	SMTH1_4020.1, SMTH1_4020.4, SMTH1_4020.2, SMTH1_4020.3
OG0000592	SHAE2_33170.7	SMTH1_34320.1, SMTH1_34310.1
OG0000592	SHAE2_33170.5, SHAE2_33170.8	SMTH1_34330.1
OG0000593	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19	SMTH1_35300.1
OG0000594	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11	SMTH1_55170.8, SMTH1_55170.3, SMTH1_55170.4, SMTH1_55170.5, SMTH1_55170.1, SMTH1_55170.2, SMTH1_55170.6, SMTH1_55170.7
OG0000595	SHAE2_50990.3, SHAE2_50990.5, SHAE2_50990.6, SHAE2_50990.7, SHAE2_50990.2, SHAE2_50990.1, SHAE2_50990.4	SMTH1_53210.3, SMTH1_53210.5, SMTH1_53210.1, SMTH1_53210.6, SMTH1_53210.4, SMTH1_53210.2
OG0000597	SHAE2_61340.1	SMTH1_63800.1
OG0000597	SHAE2_61140.1	SMTH1_63610.1, SMTH1_63810.1
OG0000599	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6	SMTH1_69710.1, SMTH1_69710.2
OG0000600	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2	SMTH1_75120.1, SMTH1_75140.1
OG0000601	SHAE2_100340.1, SHAE2_100340.3, SHAE2_100340.2	SMTH1_105320.1
OG0000601	SHAE2_43860.1	SMTH1_45680.1
OG0000602	SHAE2_17130.1	SMTH1_16810.10, SMTH1_16810.9, SMTH1_16810.6, SMTH1_16810.1, SMTH1_16810.8, SMTH1_16810.2, SMTH1_16810.5, SMTH1_16810.7, SMTH1_16810.3, SMTH1_16810.4
OG0000603	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4	SMTH1_56310.3, SMTH1_56310.1, SMTH1_56310.2, SMTH1_56310.4
OG0000604	SHAE2_42330.1, SHAE2_42330.2	SMTH1_43830.1
OG0000605	SHAE2_29810.1	SMTH1_30500.1
OG0000605	SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3	SMTH1_30450.1
OG0000606	SHAE2_19310.1	SMTH1_18950.1
OG0000606	SHAE2_5840.1	SMTH1_6080.1
OG0000607	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7	SMTH1_34580.1
OG0000608	SHAE2_54080.3, SHAE2_54080.4, SHAE2_54080.5, SHAE2_54080.6, SHAE2_54080.1, SHAE2_54080.2	SMTH1_56740.1
OG0000609	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8	SMTH1_30340.1
OG0000610	SHAE2_30510.1, SHAE2_30510.4, SHAE2_30510.2, SHAE2_30510.3	SMTH1_31290.1, SMTH1_31300.1
OG0000610	SHAE2_24960.1	SMTH1_25200.1
OG0000611	SHAE2_46030.1	SMTH1_48130.1, SMTH1_48140.1
OG0000611	SHAE2_46050.1	SMTH1_48170.1
OG0000611	SHAE2_46040.1, SHAE2_46060.1	SMTH1_48160.1, SMTH1_48150.1
OG0000612	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2	SMTH1_10050.6, SMTH1_10050.1, SMTH1_10050.2, SMTH1_10050.3, SMTH1_10050.4, SMTH1_10050.5
OG0000613	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3	SMTH1_41020.1, SMTH1_41020.2
OG0000614	SHAE2_47130.1	SMTH1_49290.1
OG0000615	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3	SMTH1_14750.1
OG0000616	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4	SMTH1_66890.1
OG0000618	SHAE2_39350.1	SMTH1_40360.1
OG0000620	SHAE2_17340.1	SMTH1_17050.2, SMTH1_17050.1
OG0000620	SHAE2_49400.1	SMTH1_50860.1, SMTH1_50860.2
OG0000621	SHAE2_32320.1, SHAE2_32320.3	SMTH1_33280.3, SMTH1_33280.4
OG0000622	SHAE2_77860.1	SMTH1_81670.1
OG0000623	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4	SMTH1_14510.1, SMTH1_14500.1
OG0000624	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8	SMTH1_32160.7, SMTH1_32160.3, SMTH1_32160.4, SMTH1_32160.5, SMTH1_32160.1, SMTH1_32160.10, SMTH1_32160.2, SMTH1_32160.6, SMTH1_32160.8, SMTH1_32160.9
OG0000625	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9	SMTH1_41560.1, SMTH1_41560.2
OG0000626	SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6	SMTH1_60910.3, SMTH1_60910.1, SMTH1_60910.2
OG0000627	SHAE2_13710.6	SMTH1_13250.4, SMTH1_13250.5
OG0000628	SHAE2_65260.1, SHAE2_65260.2	SMTH1_67960.1
OG0000629	SHAE2_41780.1	SMTH1_43050.1, SMTH1_43040.1
OG0000630	SHAE2_62790.1	SMTH1_65340.1
OG0000631	SHAE2_70150.1	SMTH1_73250.1
OG0000631	SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4	SMTH1_68000.1, SMTH1_68010.1
OG0000632	SHAE2_15130.6, SHAE2_15130.5	SMTH1_14850.1
OG0000632	SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4	SMTH1_14860.1
OG0000633	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8	SMTH1_58580.10, SMTH1_58580.1, SMTH1_58580.13, SMTH1_58580.14, SMTH1_58580.2, SMTH1_58580.3, SMTH1_58580.5, SMTH1_58580.6, SMTH1_58580.7, SMTH1_58580.8, SMTH1_58580.9, SMTH1_58580.4, SMTH1_58580.11, SMTH1_58580.12
OG0000636	SHAE2_100110.1	SMTH1_105070.3, SMTH1_105070.6, SMTH1_105070.8, SMTH1_105070.2, SMTH1_105070.1, SMTH1_105070.4, SMTH1_105070.9, SMTH1_105070.7, SMTH1_105070.5
OG0000637	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17	SMTH1_55490.3, SMTH1_55490.1, SMTH1_55490.5, SMTH1_55490.2, SMTH1_55490.4
OG0000638	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3	SMTH1_71410.1
OG0000639	SHAE2_65930.1	SMTH1_68720.1, SMTH1_68720.2, SMTH1_68720.3, SMTH1_68720.4
OG0000640	SHAE2_90000.1	SMTH1_93960.1
OG0000640	SHAE2_89970.1, SHAE2_89980.1	SMTH1_93860.3, SMTH1_93860.1, SMTH1_93860.2, SMTH1_93860.4, SMTH1_93860.5, SMTH1_93860.6, SMTH1_93860.7, SMTH1_93870.1, SMTH1_93860.8
OG0000641	SHAE2_7200.1	SMTH1_7640.1
OG0000641	SHAE2_5070.1	SMTH1_5190.2, SMTH1_5190.3, SMTH1_5190.1, SMTH1_5190.4
OG0000642	SHAE2_66000.2	SMTH1_68800.1
OG0000643	SHAE2_55330.1	SMTH1_58010.1
OG0000643	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3	SMTH1_58000.1
OG0000644	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2	SMTH1_106090.1
OG0000645	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1	SMTH1_11730.1, SMTH1_11710.1
OG0000646	SHAE2_10750.1	SMTH1_10090.1, SMTH1_10080.1
OG0000647	SHAE2_66200.1	SMTH1_69000.1
OG0000648	SHAE2_97430.1, SHAE2_97410.1	SMTH1_102260.1, SMTH1_102260.2, SMTH1_102270.1
OG0000649	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3	SMTH1_66530.1, SMTH1_66530.2, SMTH1_66530.3
OG0000650	SHAE2_82120.1	SMTH1_86400.1, SMTH1_86400.5, SMTH1_86400.3, SMTH1_86400.2, SMTH1_86400.4
OG0000651	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5	SMTH1_46600.1, SMTH1_46590.3, SMTH1_46590.1, SMTH1_46590.2, SMTH1_46590.4
OG0000652	SHAE2_43110.2, SHAE2_43110.7, SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9	SMTH1_44810.1
OG0000653	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2	SMTH1_45460.1, SMTH1_45460.2, SMTH1_45460.3, SMTH1_45470.1
OG0000655	SHAE2_86110.1	SMTH1_90060.1
OG0000655	SHAE2_86110.1	SMTH1_90060.2
OG0000655	SHAE2_86110.1	SMTH1_90060.3
OG0000655	SHAE2_86110.1	SMTH1_90060.4
OG0000655	SHAE2_86110.2	SMTH1_90060.1
OG0000655	SHAE2_86110.2	SMTH1_90060.2
OG0000655	SHAE2_86110.2	SMTH1_90060.3
OG0000655	SHAE2_86110.2	SMTH1_90060.4
OG0000655	SHAE2_86110.3	SMTH1_90060.1
OG0000655	SHAE2_86110.3	SMTH1_90060.2
OG0000655	SHAE2_86110.3	SMTH1_90060.3
OG0000655	SHAE2_86110.3	SMTH1_90060.4
OG0000655	SHAE2_86110.4	SMTH1_90060.1
OG0000655	SHAE2_86110.4	SMTH1_90060.2
OG0000655	SHAE2_86110.4	SMTH1_90060.3
OG0000655	SHAE2_86110.4	SMTH1_90060.4
OG0000655	SHAE2_86110.6	SMTH1_90060.1
OG0000655	SHAE2_86110.6	SMTH1_90060.2
OG0000655	SHAE2_86110.6	SMTH1_90060.3
OG0000655	SHAE2_86110.6	SMTH1_90060.4
OG0000655	SHAE2_86110.7	SMTH1_90060.1
OG0000655	SHAE2_86110.7	SMTH1_90060.2
OG0000655	SHAE2_86110.7	SMTH1_90060.3
OG0000655	SHAE2_86110.7	SMTH1_90060.4
OG0000656	SHAE2_79910.2, SHAE2_79910.8	SMTH1_83840.4
OG0000656	SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6	SMTH1_83840.1, SMTH1_83840.2, SMTH1_83840.3
OG0000657	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5	SMTH1_100120.1
OG0000658	SHAE2_15610.1	SMTH1_72840.1, SMTH1_10950.1, SMTH1_21620.1, SMTH1_4640.1, SMTH1_59720.1, SMTH1_66590.1, SMTH1_91340.1, SMTH1_97400.1, SMTH1_97460.1, SMTH1_15550.1, SMTH1_79120.1, SMTH1_8310.1, SMTH1_17790.1
OG0000659	SHAE2_44630.5, SHAE2_44630.7, SHAE2_44630.2, SHAE2_44630.8, SHAE2_44630.1, SHAE2_44630.3, SHAE2_44630.6	SMTH1_46560.1
OG0000662	SHAE2_55530.2	SMTH1_58250.1
OG0000663	SHAE2_41020.4, SHAE2_41020.2, SHAE2_41020.1, SHAE2_41020.3, SHAE2_41020.7, SHAE2_41020.8, SHAE2_41020.6, SHAE2_41020.5	SMTH1_42170.6, SMTH1_42170.7, SMTH1_42170.5, SMTH1_42170.4, SMTH1_42170.3, SMTH1_42170.2
OG0000664	SHAE2_14180.4	SMTH1_13880.1
OG0000665	SHAE2_77460.4, SHAE2_77460.1, SHAE2_77460.3, SHAE2_77460.2	SMTH1_81270.4, SMTH1_81270.1, SMTH1_81270.2, SMTH1_81270.3, SMTH1_81270.5, SMTH1_81270.7, SMTH1_81270.6
OG0000666	SHAE2_65920.2	SMTH1_68710.1, SMTH1_68700.1
OG0000667	SHAE2_6720.1	SMTH1_7120.1, SMTH1_7120.2
OG0000668	SHAE2_55720.1, SHAE2_55720.5, SHAE2_55720.2, SHAE2_55720.6, SHAE2_55720.7	SMTH1_58460.1, SMTH1_58460.2, SMTH1_58460.3
OG0000669	SHAE2_72600.4, SHAE2_72600.9, SHAE2_72600.1, SHAE2_72600.2, SHAE2_72600.3, SHAE2_72600.5, SHAE2_72600.6, SHAE2_72600.7, SHAE2_72600.10, SHAE2_72600.8	SMTH1_75690.1, SMTH1_75710.1, SMTH1_75710.2, SMTH1_75710.3, SMTH1_75700.1
OG0000671	SHAE2_81090.4, SHAE2_81090.3, SHAE2_81090.1, SHAE2_81090.2, SHAE2_81090.5	SMTH1_85240.1, SMTH1_85230.1
OG0000672	SHAE2_47050.2, SHAE2_47050.3	SMTH1_49200.1
OG0000673	SHAE2_18160.1	SMTH1_17870.4, SMTH1_17870.3, SMTH1_17870.2, SMTH1_17870.1, SMTH1_17870.5
OG0000674	SHAE2_82650.3, SHAE2_82650.6, SHAE2_82650.1, SHAE2_82650.2, SHAE2_82650.4, SHAE2_82650.5, SHAE2_82650.7	SMTH1_86940.1
OG0000675	SHAE2_76490.1	SMTH1_80320.1
OG0000676	SHAE2_86060.1	SMTH1_90120.1
OG0000677	SHAE2_5740.1	SMTH1_5980.1
OG0000678	SHAE2_37280.1, SHAE2_37280.7, SHAE2_37280.5, SHAE2_37280.3, SHAE2_37280.4, SHAE2_37280.8, SHAE2_37280.2, SHAE2_37280.6	SMTH1_38270.2, SMTH1_38270.1, SMTH1_38270.3
OG0000679	SHAE2_76550.4, SHAE2_76550.5, SHAE2_76550.8, SHAE2_76550.1, SHAE2_76550.3, SHAE2_76550.6, SHAE2_76550.2	SMTH1_80420.1
OG0000679	SHAE2_76550.7	SMTH1_80410.1
OG0000680	SHAE2_19060.1, SHAE2_19060.2, SHAE2_19060.3, SHAE2_19060.4, SHAE2_19060.5, SHAE2_19060.6	SMTH1_18680.1
OG0000681	SHAE2_37660.4, SHAE2_37660.1, SHAE2_37660.5, SHAE2_37660.2, SHAE2_37660.3	SMTH1_38670.1, SMTH1_38680.1
OG0000682	SHAE2_45830.1, SHAE2_45830.4, SHAE2_45830.2, SHAE2_45830.3	SMTH1_47890.1
OG0000683	SHAE2_58300.1, SHAE2_58300.2, SHAE2_58300.4, SHAE2_58300.5, SHAE2_58300.3	SMTH1_61300.1
OG0000683	SHAE2_71530.2, SHAE2_71530.1	SMTH1_74680.1
OG0000684	SHAE2_89870.1	SMTH1_93730.1
OG0000685	SHAE2_79720.1, SHAE2_79720.2	SMTH1_83650.1, SMTH1_83650.2, SMTH1_83650.6, SMTH1_83650.7, SMTH1_83650.8, SMTH1_83650.3, SMTH1_83650.5, SMTH1_83650.4
OG0000686	SHAE2_64060.1, SHAE2_64060.3, SHAE2_64060.4, SHAE2_64060.5, SHAE2_64060.6	SMTH1_66800.1, SMTH1_66800.2, SMTH1_66800.3, SMTH1_66800.4, SMTH1_66800.5, SMTH1_66800.6
OG0000687	SHAE2_29090.1	SMTH1_29670.1
OG0000688	SHAE2_910.3, SHAE2_910.6	SMTH1_730.2, SMTH1_730.4
OG0000688	SHAE2_910.1, SHAE2_910.2, SHAE2_910.4, SHAE2_910.5, SHAE2_910.8, SHAE2_910.7	SMTH1_730.1, SMTH1_730.3, SMTH1_730.5, SMTH1_730.6
OG0000689	SHAE2_3430.5, SHAE2_3430.6, SHAE2_3430.7, SHAE2_3430.4, SHAE2_3430.1, SHAE2_3430.2, SHAE2_3430.3	SMTH1_3490.7, SMTH1_3490.1, SMTH1_3490.8, SMTH1_3490.3, SMTH1_3490.5, SMTH1_3490.4, SMTH1_3490.6, SMTH1_3490.2
OG0000690	SHAE2_25000.3, SHAE2_25000.1, SHAE2_25000.2, SHAE2_25000.4, SHAE2_25000.5	SMTH1_25250.2, SMTH1_25250.4, SMTH1_25250.1, SMTH1_25250.3
OG0000691	SHAE2_86430.1, SHAE2_78850.1, SHAE2_43640.1, SHAE2_22270.2, SHAE2_22270.1, SHAE2_37520.2, SHAE2_37520.1	SMTH1_54540.1, SMTH1_91410.1
OG0000691	SHAE2_10000.3, SHAE2_10000.2	SMTH1_107840.2
OG0000691	SHAE2_98260.1	SMTH1_67510.1, SMTH1_77070.1
OG0000691	SHAE2_98260.2	SMTH1_3210.1, SMTH1_107830.1, SMTH1_3220.1, SMTH1_42540.1
OG0000692	SHAE2_19230.3, SHAE2_19230.1, SHAE2_19230.2	SMTH1_18870.1, SMTH1_18870.2, SMTH1_18870.3, SMTH1_18870.5, SMTH1_18870.4
OG0000695	SHAE2_101610.1	SMTH1_106850.1
OG0000695	SHAE2_48520.1	SMTH1_50710.1
OG0000695	SHAE2_48520.2	SMTH1_50710.1
OG0000695	SHAE2_48520.3	SMTH1_50710.1
OG0000696	SHAE2_5960.1	SMTH1_6200.6
OG0000697	SHAE2_43170.5, SHAE2_43170.6, SHAE2_43170.10, SHAE2_43170.11, SHAE2_43170.12, SHAE2_43170.13, SHAE2_43170.3, SHAE2_43170.4, SHAE2_43170.7, SHAE2_43170.9, SHAE2_43170.14, SHAE2_43170.2, SHAE2_43170.8, SHAE2_43170.1	SMTH1_44870.1
OG0000698	SHAE2_20210.1	SMTH1_19950.1, SMTH1_19950.2, SMTH1_19950.3
OG0000699	SHAE2_35900.1	SMTH1_36690.1
OG0000699	SHAE2_49050.1, SHAE2_49060.1	SMTH1_51240.1
OG0000700	SHAE2_30500.1	SMTH1_31270.1
OG0000700	SHAE2_26390.1	SMTH1_26570.1
OG0000700	SHAE2_26400.1	SMTH1_26580.1
OG0000700	SHAE2_26410.1	SMTH1_26590.1
OG0000701	SHAE2_64920.2, SHAE2_64920.4, SHAE2_64920.5, SHAE2_64920.3, SHAE2_64920.6	SMTH1_67640.1, SMTH1_67640.4, SMTH1_67640.3, SMTH1_67640.5, SMTH1_67640.6
OG0000701	SHAE2_64920.1	SMTH1_67640.2
OG0000702	SHAE2_92210.5, SHAE2_92210.7, SHAE2_92210.1, SHAE2_92210.2, SHAE2_92210.4, SHAE2_92210.3, SHAE2_92210.8, SHAE2_92210.6	SMTH1_96450.1, SMTH1_96450.2
OG0000703	SHAE2_150.1, SHAE2_150.2, SHAE2_150.3	SMTH1_110.1, SMTH1_110.2, SMTH1_110.3, SMTH1_110.4
OG0000704	SHAE2_51510.2, SHAE2_51510.4, SHAE2_51510.1, SHAE2_51510.3, SHAE2_51510.5, SHAE2_51510.6, SHAE2_51510.7, SHAE2_51510.8	SMTH1_53940.1
OG0000705	SHAE2_6640.10, SHAE2_6640.3, SHAE2_6640.4, SHAE2_6640.5, SHAE2_6640.7, SHAE2_6640.8, SHAE2_6640.9, SHAE2_6640.2, SHAE2_6640.1, SHAE2_6640.6	SMTH1_7030.1
OG0000706	SHAE2_46200.1	SMTH1_48320.1
OG0000706	SHAE2_55630.3, SHAE2_55630.4, SHAE2_55630.1, SHAE2_55630.2	SMTH1_58350.1
OG0000707	SHAE2_99610.1	SMTH1_104690.1, SMTH1_104690.2
OG0000708	SHAE2_40130.1	SMTH1_41320.1, SMTH1_41320.2
OG0000709	SHAE2_46460.1	SMTH1_48660.1, SMTH1_48660.2
OG0000710	SHAE2_8540.1	SMTH1_9090.1
OG0000710	SHAE2_8540.1	SMTH1_9100.1
OG0000710	SHAE2_8550.9, SHAE2_8550.6, SHAE2_8550.7, SHAE2_8550.8, SHAE2_8550.2, SHAE2_8550.1, SHAE2_8550.3, SHAE2_8550.4, SHAE2_8550.5	SMTH1_9110.1
OG0000711	SHAE2_78950.3, SHAE2_78950.4, SHAE2_78950.10, SHAE2_78950.2, SHAE2_78950.5, SHAE2_78950.9, SHAE2_78950.11, SHAE2_78950.6, SHAE2_78950.12, SHAE2_78950.13, SHAE2_78950.1, SHAE2_78950.14, SHAE2_78950.7, SHAE2_78950.8	SMTH1_82820.1, SMTH1_82820.2
OG0000712	SHAE2_55980.6, SHAE2_55980.2, SHAE2_55980.4, SHAE2_55980.3, SHAE2_55980.8, SHAE2_55980.1, SHAE2_55980.7, SHAE2_55980.5	SMTH1_58770.1
OG0000713	SHAE2_76050.1, SHAE2_76050.2, SHAE2_76050.4, SHAE2_76050.8, SHAE2_76050.3, SHAE2_76050.5, SHAE2_76050.7, SHAE2_76050.6, SHAE2_76050.9	SMTH1_79750.1, SMTH1_79750.2, SMTH1_79750.3, SMTH1_79750.4, SMTH1_79750.6, SMTH1_79750.7, SMTH1_79750.5
OG0000714	SHAE2_48630.1, SHAE2_49500.7, SHAE2_48630.2, SHAE2_49500.8, SHAE2_49500.9, SHAE2_49500.3, SHAE2_49500.5, SHAE2_49500.6, SHAE2_49500.2, SHAE2_49500.1, SHAE2_49500.4	SMTH1_51560.3, SMTH1_51560.2, SMTH1_51560.1, SMTH1_107880.1, SMTH1_107880.2, SMTH1_107780.1, SMTH1_51570.1
