Orthogroup	schistosoma_haematobium	schistosoma_japonicum
OG0000582	SHAE2_87460.1	EWB00_007044, EWB00_009714
OG0000582	SHAE2_87470.1	EWB00_007043
OG0000582	SHAE2_87480.1	EWB00_007042
OG0000583	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2	EWB00_011310.1, EWB00_011310.2
OG0000584	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8	EWB00_003311
OG0000585	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5	EWB00_010839, EWB00_010840
OG0000586	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6	EWB00_007451.1, EWB00_007451.2
OG0000587	SHAE2_69230.1	EWB00_000903
OG0000587	SHAE2_11250.1	EWB00_005771
OG0000588	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5, SHAE2_24650.3, SHAE2_24650.1, SHAE2_24650.2	EWB00_005759.1, EWB00_005759.2
OG0000589	SHAE2_58100.2, SHAE2_58100.3, SHAE2_58100.1	EWB00_000767.3, EWB00_000767.4, EWB00_000767.1, EWB00_000767.2
OG0000590	SHAE2_31460.1	EWB00_007928
OG0000590	SHAE2_43500.1	EWB00_002833
OG0000591	SHAE2_3980.1, SHAE2_3980.3, SHAE2_3980.8, SHAE2_3980.9, SHAE2_3980.2, SHAE2_3980.4, SHAE2_3980.5, SHAE2_3980.7, SHAE2_3980.6	EWB00_001644.1, EWB00_001644.2
OG0000592	SHAE2_33170.9, SHAE2_33170.4, SHAE2_33170.1, SHAE2_33170.2, SHAE2_33170.3, SHAE2_33170.6, SHAE2_33170.7, SHAE2_33170.5, SHAE2_33170.8	EWB00_004130
OG0000593	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19	EWB00_009305, EWB00_010907
OG0000594	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11	EWB00_002991
OG0000595	SHAE2_50990.3, SHAE2_50990.5, SHAE2_50990.6, SHAE2_50990.7, SHAE2_50990.2, SHAE2_50990.1, SHAE2_50990.4	EWB00_010775
OG0000599	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6	EWB00_005904.1, EWB00_005904.2
OG0000600	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2	EWB00_006231.1, EWB00_006231.2
OG0000601	SHAE2_100340.1, SHAE2_100340.3, SHAE2_100340.2, SHAE2_100340.4, SHAE2_100350.1	EWB00_001427.1, EWB00_001427.2
OG0000601	SHAE2_43860.1	EWB00_007989, EWB00_007990
OG0000602	SHAE2_17130.1	EWB00_002351, EWB00_002350
OG0000603	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4	EWB00_004420.1, EWB00_004420.2
OG0000604	SHAE2_42330.1, SHAE2_42330.2	EWB00_006171.7, EWB00_006171.1, EWB00_006171.4, EWB00_006171.2, EWB00_006171.3, EWB00_006171.5, EWB00_006171.6
OG0000605	SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3	EWB00_010874.2
OG0000606	SHAE2_19310.1	EWB00_000068
OG0000606	SHAE2_19310.1	EWB00_008081
OG0000606	SHAE2_5840.1	EWB00_006291
OG0000607	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7	EWB00_007459.1, EWB00_007459.5, EWB00_007459.2, EWB00_007459.3, EWB00_007459.4
OG0000608	SHAE2_54080.3, SHAE2_54080.4, SHAE2_54080.5, SHAE2_54080.6, SHAE2_54080.1, SHAE2_54080.2	EWB00_003677
OG0000609	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8	EWB00_010886.1, EWB00_010886.2
OG0000610	SHAE2_24960.1	EWB00_007565.1, EWB00_007565.2, EWB00_007565.3
OG0000611	SHAE2_46030.1, SHAE2_46070.1, SHAE2_46050.1, SHAE2_46040.1, SHAE2_46060.1	EWB00_006356
OG0000612	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2	EWB00_003067
OG0000613	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3	EWB00_005606.2
OG0000614	SHAE2_47130.1	EWB00_009700.1, EWB00_009700.2, EWB00_009700.4, EWB00_009700.3
OG0000615	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3	EWB00_002696.1, EWB00_002696.2
OG0000616	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4	EWB00_007965
OG0000617	SHAE2_86170.1	EWB00_000154.3, EWB00_000154.9, EWB00_000154.4, EWB00_000154.1, EWB00_000154.2, EWB00_000154.6, EWB00_000154.7, EWB00_000154.8, EWB00_000154.5, EWB00_000154.12, EWB00_000154.10, EWB00_000154.11
OG0000618	SHAE2_39350.1	EWB00_004319.1, EWB00_004319.2, EWB00_004319.3
OG0000620	SHAE2_17340.1	EWB00_002375.1, EWB00_002375.3, EWB00_002375.2
OG0000620	SHAE2_49400.1	EWB00_004068.1, EWB00_004068.2
OG0000621	SHAE2_32320.1, SHAE2_32320.3, SHAE2_32320.2	EWB00_006007
OG0000622	SHAE2_77860.1	EWB00_004548
OG0000623	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4	EWB00_009348, EWB00_010005.2, EWB00_010005.1
OG0000624	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8	EWB00_000634
OG0000625	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9	EWB00_001308.1, EWB00_001308.2, EWB00_001308.3, EWB00_001308.4
OG0000626	SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6	EWB00_000746
OG0000627	SHAE2_13710.6, SHAE2_13710.4, SHAE2_13710.8, SHAE2_13710.1, SHAE2_13710.3, SHAE2_13710.5, SHAE2_13710.2, SHAE2_13710.7	EWB00_000167, EWB00_002190
OG0000628	SHAE2_65260.1, SHAE2_65260.2	EWB00_011095.1, EWB00_011095.2
OG0000629	SHAE2_41780.1	EWB00_009522, EWB00_006221
OG0000630	SHAE2_62790.1	EWB00_005268.2, EWB00_005268.1, EWB00_005268.3, EWB00_005268.4, EWB00_005268.5
OG0000631	SHAE2_70150.1	EWB00_008869.1, EWB00_008869.2
OG0000631	SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4	EWB00_011103, EWB00_011102
OG0000632	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4	EWB00_002685
OG0000633	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8	EWB00_010638
OG0000636	SHAE2_100110.1	EWB00_000571.1, EWB00_000571.2
OG0000637	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17	EWB00_007605.1, EWB00_007605.2
OG0000638	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3	EWB00_008903, EWB00_008904
OG0000639	SHAE2_65930.1	EWB00_001158
OG0000640	SHAE2_90000.1, SHAE2_89970.1, SHAE2_89980.1	EWB00_004497
OG0000641	SHAE2_7200.1	EWB00_005331, EWB00_011086.3, EWB00_010148, EWB00_011086.1, EWB00_011086.2, EWB00_011086.4
OG0000643	SHAE2_55330.1	EWB00_003546.3, EWB00_003546.1, EWB00_003546.2
OG0000643	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3	EWB00_003547.2, EWB00_003547.3, EWB00_003547.1
OG0000645	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1	EWB00_009473.1, EWB00_009473.2
OG0000646	SHAE2_10750.1	EWB00_003065.2, EWB00_003065.3, EWB00_003065.1
OG0000647	SHAE2_66200.1	EWB00_000545.3, EWB00_000545.6, EWB00_000545.1, EWB00_000545.2, EWB00_000545.5, EWB00_000545.4
OG0000648	SHAE2_97430.1, SHAE2_97410.1	EWB00_004964
OG0000649	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3	EWB00_006577
OG0000650	SHAE2_82120.1	EWB00_004553.2, EWB00_004553.1
OG0000651	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5	EWB00_008758
OG0000652	SHAE2_43110.2, SHAE2_43110.7, SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9	EWB00_003930.1, EWB00_003930.2, EWB00_003930.3
OG0000653	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2	EWB00_007802
OG0000654	SHAE2_62100.1	EWB00_005929.2, EWB00_005929.3, EWB00_005929.1, EWB00_005929.5, EWB00_005929.4
OG0000655	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8	EWB00_000149
OG0000656	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9, SHAE2_79910.2, SHAE2_79910.8, SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6	EWB00_010547.1, EWB00_010547.2, EWB00_010547.3
OG0000657	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5	EWB00_001860.1, EWB00_001860.2
OG0000659	SHAE2_44630.4, SHAE2_44630.5, SHAE2_44630.7, SHAE2_44630.2, SHAE2_44630.8, SHAE2_44630.1, SHAE2_44630.3, SHAE2_44630.6	EWB00_009331
OG0000662	SHAE2_55530.7, SHAE2_55530.1, SHAE2_55530.3, SHAE2_55530.2, SHAE2_55530.4, SHAE2_55530.5, SHAE2_55530.6	EWB00_006810.7, EWB00_006810.4, EWB00_006810.9, EWB00_006810.1, EWB00_006810.2, EWB00_006810.3, EWB00_006810.5, EWB00_006810.6, EWB00_006810.8
OG0000663	SHAE2_41020.4, SHAE2_41020.2, SHAE2_41020.1, SHAE2_41020.3, SHAE2_41020.7, SHAE2_41020.8, SHAE2_41020.6, SHAE2_41020.5	EWB00_003146
OG0000664	SHAE2_14180.5, SHAE2_14180.6, SHAE2_14180.7, SHAE2_14180.3, SHAE2_14180.4, SHAE2_14180.1, SHAE2_14180.2	EWB00_004155
OG0000665	SHAE2_77460.4, SHAE2_77460.1, SHAE2_77460.3, SHAE2_77460.2	EWB00_006628.2, EWB00_006628.3, EWB00_006628.1
OG0000666	SHAE2_65920.2, SHAE2_65920.1, SHAE2_65920.3, SHAE2_65920.4	EWB00_001159.3, EWB00_001159.1, EWB00_001159.2, EWB00_001159.4
OG0000667	SHAE2_6720.1	EWB00_008456.2, EWB00_008456.1
OG0000668	SHAE2_55720.1, SHAE2_55720.5, SHAE2_55720.2, SHAE2_55720.6, SHAE2_55720.7, SHAE2_55720.4, SHAE2_55720.3	EWB00_010649
OG0000669	SHAE2_72600.4, SHAE2_72600.9, SHAE2_72600.1, SHAE2_72600.2, SHAE2_72600.3, SHAE2_72600.5, SHAE2_72600.6, SHAE2_72600.7, SHAE2_72600.10, SHAE2_72600.8	EWB00_006275
OG0000670	SHAE2_47450.1, SHAE2_47450.2	EWB00_001008.8, EWB00_001008.5, EWB00_001008.1, EWB00_001008.2, EWB00_001008.4, EWB00_001008.6, EWB00_001008.7, EWB00_001008.3
OG0000671	SHAE2_81090.4, SHAE2_81090.3, SHAE2_81090.1, SHAE2_81090.2, SHAE2_81090.5	EWB00_011016
OG0000672	SHAE2_47050.2, SHAE2_47050.3, SHAE2_47050.4, SHAE2_47050.5, SHAE2_47050.1	EWB00_008803
OG0000673	SHAE2_18160.1	EWB00_003113.3, EWB00_003113.1, EWB00_003113.2
OG0000674	SHAE2_82650.3, SHAE2_82650.6, SHAE2_82650.1, SHAE2_82650.2, SHAE2_82650.4, SHAE2_82650.5, SHAE2_82650.7	EWB00_007398
OG0000675	SHAE2_76490.1	EWB00_002750
OG0000676	SHAE2_86060.1	EWB00_000145.1, EWB00_000145.2
OG0000677	SHAE2_5740.1	EWB00_006281
OG0000678	SHAE2_37280.1, SHAE2_37280.7, SHAE2_37280.5, SHAE2_37280.3, SHAE2_37280.4, SHAE2_37280.8, SHAE2_37280.2, SHAE2_37280.6	EWB00_003399
OG0000679	SHAE2_76550.4, SHAE2_76550.5, SHAE2_76550.8, SHAE2_76550.1, SHAE2_76550.3, SHAE2_76550.6, SHAE2_76550.2, SHAE2_76550.7	EWB00_002723
OG0000680	SHAE2_19060.1, SHAE2_19060.2, SHAE2_19060.3, SHAE2_19060.4, SHAE2_19060.5, SHAE2_19060.6	EWB00_007650.3, EWB00_007650.1, EWB00_007650.2
OG0000681	SHAE2_37660.4, SHAE2_37660.1, SHAE2_37660.5, SHAE2_37660.2, SHAE2_37660.3	EWB00_008171
OG0000682	SHAE2_45830.1, SHAE2_45830.4, SHAE2_45830.2, SHAE2_45830.3	EWB00_006378.1, EWB00_006378.2
OG0000683	SHAE2_58300.1, SHAE2_58300.2, SHAE2_58300.4, SHAE2_58300.5, SHAE2_58300.3	EWB00_002223.1, EWB00_002223.3, EWB00_002223.2
OG0000683	SHAE2_71530.2, SHAE2_71530.1	EWB00_005794.1, EWB00_005794.2
OG0000684	SHAE2_89870.1	EWB00_009748, EWB00_004484.1, EWB00_004484.2, EWB00_004484.3, EWB00_004484.4, EWB00_004484.5, EWB00_004484.6, EWB00_004484.7, EWB00_004484.8
OG0000685	SHAE2_79720.1, SHAE2_79720.2	EWB00_001176.4, EWB00_001176.3, EWB00_001176.1, EWB00_001176.2
OG0000686	SHAE2_64060.7, SHAE2_64060.1, SHAE2_64060.3, SHAE2_64060.4, SHAE2_64060.5, SHAE2_64060.6, SHAE2_64060.2, SHAE2_64060.8	EWB00_007957.1, EWB00_007957.2, EWB00_007957.3
OG0000687	SHAE2_29090.1	EWB00_005020.3, EWB00_005020.1, EWB00_005020.2
OG0000688	SHAE2_910.3, SHAE2_910.6, SHAE2_910.1, SHAE2_910.2, SHAE2_910.4, SHAE2_910.5, SHAE2_910.8, SHAE2_910.7	EWB00_010232.1, EWB00_010232.3, EWB00_010232.2
OG0000689	SHAE2_3430.5, SHAE2_3430.6, SHAE2_3430.7, SHAE2_3430.4, SHAE2_3430.1, SHAE2_3430.2, SHAE2_3430.3	EWB00_007577.1, EWB00_007577.2
OG0000690	SHAE2_25000.3, SHAE2_25000.1, SHAE2_25000.2, SHAE2_25000.4, SHAE2_25000.5	EWB00_007561.1, EWB00_007561.2
OG0000692	SHAE2_19230.3, SHAE2_19230.1, SHAE2_19230.2	EWB00_000073.1, EWB00_000073.5, EWB00_000073.6, EWB00_000073.7, EWB00_000073.9, EWB00_000073.4, EWB00_000073.3, EWB00_000073.8, EWB00_000073.2
OG0000695	SHAE2_101610.1	EWB00_006635
OG0000695	SHAE2_48520.1, SHAE2_48520.2, SHAE2_48520.3, SHAE2_48520.4	EWB00_004741.1, EWB00_004741.2
OG0000696	SHAE2_5960.2, SHAE2_5960.6, SHAE2_5960.3, SHAE2_5960.4, SHAE2_5960.5, SHAE2_5960.7, SHAE2_5960.1	EWB00_006308.1, EWB00_006308.2, EWB00_006308.3, EWB00_006308.4
OG0000697	SHAE2_43170.5, SHAE2_43170.6, SHAE2_43170.10, SHAE2_43170.11, SHAE2_43170.12, SHAE2_43170.13, SHAE2_43170.3, SHAE2_43170.4, SHAE2_43170.7, SHAE2_43170.9, SHAE2_43170.14, SHAE2_43170.2, SHAE2_43170.8, SHAE2_43170.1	EWB00_003926
OG0000698	SHAE2_20210.1	EWB00_006456
OG0000699	SHAE2_35900.1	EWB00_002135.2, EWB00_002135.1, EWB00_002135.3
OG0000699	SHAE2_49050.1, SHAE2_49060.1	EWB00_000170
OG0000700	SHAE2_30500.1	EWB00_006970
OG0000700	SHAE2_26390.1	EWB00_002860
OG0000700	SHAE2_26400.1, SHAE2_26410.1	EWB00_002862
OG0000701	SHAE2_64920.2, SHAE2_64920.4, SHAE2_64920.5, SHAE2_64920.3, SHAE2_64920.6, SHAE2_64920.1	EWB00_011329.2, EWB00_011329.1, EWB00_011329.4, EWB00_011329.3
OG0000702	SHAE2_92210.5, SHAE2_92210.7, SHAE2_92210.1, SHAE2_92210.2, SHAE2_92210.4, SHAE2_92210.3, SHAE2_92210.8, SHAE2_92210.6	EWB00_008044.2, EWB00_008044.1, EWB00_008044.3
OG0000703	SHAE2_150.1, SHAE2_150.2, SHAE2_150.3	EWB00_010218
OG0000704	SHAE2_51510.2, SHAE2_51510.4, SHAE2_51510.1, SHAE2_51510.3, SHAE2_51510.5, SHAE2_51510.6, SHAE2_51510.7, SHAE2_51510.8	EWB00_010719.1, EWB00_010719.3, EWB00_010719.2, EWB00_010719.4, EWB00_010719.6, EWB00_010719.5
OG0000705	SHAE2_6640.10, SHAE2_6640.3, SHAE2_6640.4, SHAE2_6640.5, SHAE2_6640.7, SHAE2_6640.8, SHAE2_6640.9, SHAE2_6640.2, SHAE2_6640.1, SHAE2_6640.6	EWB00_008978
OG0000706	SHAE2_46200.1	EWB00_001799.2, EWB00_001799.1, EWB00_001799.3
OG0000706	SHAE2_55630.3, SHAE2_55630.4, SHAE2_55630.1, SHAE2_55630.2	EWB00_006800.1, EWB00_006800.3, EWB00_006800.2
OG0000707	SHAE2_99610.1	EWB00_003028.1, EWB00_003028.4, EWB00_003028.3, EWB00_003028.2
OG0000708	SHAE2_40130.1	EWB00_001278
OG0000709	SHAE2_46460.1	EWB00_009252.1, EWB00_009252.3, EWB00_009252.2
OG0000710	SHAE2_8540.1, SHAE2_8550.9, SHAE2_8550.6, SHAE2_8550.7, SHAE2_8550.8, SHAE2_8550.2, SHAE2_8550.1, SHAE2_8550.3, SHAE2_8550.4, SHAE2_8550.5	EWB00_008709.4, EWB00_008709.5, EWB00_008709.2, EWB00_008709.1, EWB00_008709.3
OG0000711	SHAE2_78950.3, SHAE2_78950.4, SHAE2_78950.10, SHAE2_78950.2, SHAE2_78950.5, SHAE2_78950.9, SHAE2_78950.11, SHAE2_78950.6, SHAE2_78950.12, SHAE2_78950.13, SHAE2_78950.1, SHAE2_78950.14, SHAE2_78950.7, SHAE2_78950.8	EWB00_008229.1, EWB00_008229.2
OG0000712	SHAE2_55980.6, SHAE2_55980.2, SHAE2_55980.4, SHAE2_55980.3, SHAE2_55980.8, SHAE2_55980.1, SHAE2_55980.7, SHAE2_55980.5	EWB00_010618
OG0000713	SHAE2_76050.1, SHAE2_76050.2, SHAE2_76050.4, SHAE2_76050.8, SHAE2_76050.3, SHAE2_76050.5, SHAE2_76050.7, SHAE2_76050.6, SHAE2_76050.9	EWB00_007358
OG0000714	SHAE2_48630.1, SHAE2_49500.7, SHAE2_48630.2, SHAE2_49500.8, SHAE2_49500.9, SHAE2_49500.3, SHAE2_49500.5, SHAE2_49500.6, SHAE2_49500.2, SHAE2_49500.1, SHAE2_49500.4	EWB00_004030.2, EWB00_004030.1, EWB00_004030.3
OG0000715	SHAE2_29620.2, SHAE2_29620.1, SHAE2_29620.3, SHAE2_29620.6, SHAE2_29620.7, SHAE2_29620.8, SHAE2_29620.9, SHAE2_29620.4, SHAE2_29620.10, SHAE2_29620.5	EWB00_001149.4, EWB00_001149.1, EWB00_001149.2, EWB00_001149.3
OG0000716	SHAE2_13580.3, SHAE2_13580.2, SHAE2_13580.1, SHAE2_13580.5, SHAE2_13580.4	EWB00_008444
OG0000717	SHAE2_62980.1	EWB00_011258.1, EWB00_011258.2
OG0000718	SHAE2_79230.4, SHAE2_79230.2, SHAE2_79230.3, SHAE2_79230.1, SHAE2_79230.5, SHAE2_79230.6, SHAE2_79230.7, SHAE2_79230.8	EWB00_008239.3, EWB00_008239.1, EWB00_008239.2
OG0000719	SHAE2_58310.4, SHAE2_58310.6, SHAE2_58310.1, SHAE2_58310.3, SHAE2_58310.5, SHAE2_58310.2	EWB00_002222
OG0000720	SHAE2_81340.1	EWB00_003891
OG0000721	SHAE2_49250.1	EWB00_003628.1, EWB00_003628.2
OG0000722	SHAE2_5860.2, SHAE2_5860.3, SHAE2_5860.1, SHAE2_5860.4	EWB00_006294
OG0000723	SHAE2_81080.7, SHAE2_81080.2, SHAE2_81080.4, SHAE2_81080.5, SHAE2_81080.1, SHAE2_81080.8, SHAE2_81080.6, SHAE2_81080.3, SHAE2_81080.9	EWB00_011015.2, EWB00_011015.3, EWB00_011015.5, EWB00_011015.1, EWB00_011015.4, EWB00_011015.6
OG0000724	SHAE2_44700.1, SHAE2_44700.3, SHAE2_44700.4, SHAE2_44700.2, SHAE2_44700.5, SHAE2_44700.6	EWB00_008763
OG0000725	SHAE2_81420.9, SHAE2_81420.10, SHAE2_81420.3, SHAE2_81420.2, SHAE2_81420.8, SHAE2_81420.1, SHAE2_81420.5, SHAE2_81420.6, SHAE2_81420.7, SHAE2_81420.4, SHAE2_81420.11	EWB00_009002.1, EWB00_009002.2
OG0000726	SHAE2_32100.1	EWB00_006031.2, EWB00_006031.1, EWB00_006031.3
OG0000726	SHAE2_32110.1	EWB00_006030
OG0000727	SHAE2_41680.1	EWB00_009537.1, EWB00_009537.2
OG0000728	SHAE2_51660.2, SHAE2_51660.1, SHAE2_51660.8, SHAE2_51660.7, SHAE2_51660.6, SHAE2_51660.3, SHAE2_51660.4, SHAE2_51660.5	EWB00_010704
OG0000729	SHAE2_10680.7, SHAE2_10680.1, SHAE2_10680.8, SHAE2_10680.10, SHAE2_10680.9, SHAE2_10680.5, SHAE2_10680.6, SHAE2_10680.4, SHAE2_10680.3, SHAE2_10680.2	EWB00_003072
OG0000730	SHAE2_64100.4, SHAE2_64100.3, SHAE2_64100.2, SHAE2_64100.1	EWB00_007961.2, EWB00_007961.1, EWB00_007961.3
OG0000731	SHAE2_80720.1, SHAE2_80720.5, SHAE2_80720.3, SHAE2_80720.2, SHAE2_80720.4	EWB00_010974.1, EWB00_010974.2
OG0000733	SHAE2_3370.3, SHAE2_3370.1, SHAE2_3370.2, SHAE2_97590.1	EWB00_007581.1, EWB00_007581.2
OG0000736	SHAE2_82540.1	EWB00_007389
OG0000737	SHAE2_11710.8, SHAE2_11710.6, SHAE2_11710.7, SHAE2_11710.11, SHAE2_11710.3, SHAE2_11710.2, SHAE2_11710.1, SHAE2_11710.5, SHAE2_11710.4, SHAE2_11710.10, SHAE2_11710.9	EWB00_000803.1, EWB00_000803.2
OG0000738	SHAE2_74240.1	EWB00_001605
OG0000739	SHAE2_73900.1	EWB00_005150.4, EWB00_005150.1, EWB00_005150.2, EWB00_005150.3
OG0000740	SHAE2_10220.1, SHAE2_10220.2	EWB00_010848
OG0000741	SHAE2_89630.1, SHAE2_89630.2, SHAE2_89630.3, SHAE2_89630.4, SHAE2_89630.5, SHAE2_89630.6, SHAE2_89630.7, SHAE2_89630.10, SHAE2_89630.9, SHAE2_89630.8	EWB00_007304.1, EWB00_007304.2
OG0000743	SHAE2_24740.3, SHAE2_24740.4, SHAE2_24740.1, SHAE2_24740.2	EWB00_005764.1, EWB00_005764.2
OG0000744	SHAE2_4120.1	EWB00_000869.3, EWB00_000869.2, EWB00_000869.1
OG0000745	SHAE2_40970.6, SHAE2_40970.2, SHAE2_40970.3, SHAE2_40970.5, SHAE2_40970.1, SHAE2_40970.7, SHAE2_40970.4	EWB00_003153
OG0000746	SHAE2_64800.1	EWB00_011315.7, EWB00_011315.8, EWB00_011315.4, EWB00_011315.6, EWB00_011315.9, EWB00_011315.1, EWB00_011315.2, EWB00_011315.3
OG0000748	SHAE2_74660.1	EWB00_003887.1, EWB00_003887.3, EWB00_003887.4, EWB00_003887.5, EWB00_003887.6, EWB00_003887.2
OG0000749	SHAE2_74040.10, SHAE2_74040.9, SHAE2_74040.5, SHAE2_74040.11, SHAE2_74040.6, SHAE2_74040.7, SHAE2_74040.1, SHAE2_74040.3, SHAE2_74040.4, SHAE2_74040.8, SHAE2_74040.12, SHAE2_74040.2	EWB00_009166
OG0000750	SHAE2_78820.2, SHAE2_78820.4, SHAE2_78820.3, SHAE2_78820.1	EWB00_011039
OG0000751	SHAE2_5990.1	EWB00_006311
OG0000751	SHAE2_2890.1, SHAE2_2800.1	EWB00_004239
OG0000752	SHAE2_98130.2, SHAE2_98130.3, SHAE2_98130.1	EWB00_007429.1, EWB00_007429.2
OG0000752	SHAE2_102390.1	EWB00_007419
OG0000753	SHAE2_87310.1	EWB00_007023.1, EWB00_007023.2
OG0000754	SHAE2_53610.1, SHAE2_53610.2	EWB00_004424.1, EWB00_004424.2, EWB00_004424.3, EWB00_004424.5, EWB00_004424.4
OG0000755	SHAE2_79980.1, SHAE2_79980.3, SHAE2_79980.2	EWB00_010556
OG0000756	SHAE2_41950.5, SHAE2_41950.9, SHAE2_41950.6, SHAE2_41950.1, SHAE2_41950.3, SHAE2_41950.2, SHAE2_41950.4, SHAE2_41950.7, SHAE2_41950.8, SHAE2_41950.10	EWB00_006212.1, EWB00_006212.2, EWB00_006212.3
