Orthogroup	schistosoma_haematobium	s.mekongi
OG0001100	SHAE2_72500.3, SHAE2_72500.5, SHAE2_72500.4, SHAE2_72500.1, SHAE2_72500.2	KAK4471534.1
OG0001101	SHAE2_49190.1, SHAE2_49160.1	KAK4469623.1
OG0001102	SHAE2_66600.8	KAK4471719.1
OG0001103	SHAE2_99580.1, SHAE2_99580.2, SHAE2_99580.3, SHAE2_99580.4, SHAE2_99580.5	KAK4467708.1
OG0001104	SHAE2_66580.5, SHAE2_66580.4, SHAE2_66580.3, SHAE2_66580.2, SHAE2_66580.1, SHAE2_66580.6	KAK4471723.1
OG0001105	SHAE2_34300.1, SHAE2_34300.2, SHAE2_34300.4, SHAE2_34300.5, SHAE2_34300.6, SHAE2_34300.7, SHAE2_34300.8, SHAE2_34300.3	KAK4472587.1
OG0001106	SHAE2_72950.3, SHAE2_72950.6, SHAE2_72950.4, SHAE2_72950.1, SHAE2_72950.2, SHAE2_72950.5	KAK4471497.1
OG0001107	SHAE2_54690.1, SHAE2_54690.2, SHAE2_54690.3	KAK4469144.1, KAK4469142.1
OG0001108	SHAE2_30880.2, SHAE2_30880.3, SHAE2_30880.4, SHAE2_30880.1	KAK4472830.1
OG0001110	SHAE2_4450.2, SHAE2_4450.3, SHAE2_4450.1, SHAE2_4450.4	KAK4475672.1
OG0001111	SHAE2_52220.1	KAK4469284.1
OG0001112	SHAE2_101020.1	KAK4467791.1
OG0001112	SHAE2_100990.1, SHAE2_101000.1	KAK4467789.1, KAK4467788.1
OG0001113	SHAE2_8320.1, SHAE2_8320.3, SHAE2_8320.2	KAK4476086.1, KAK4476087.1
OG0001114	SHAE2_7160.1	KAK4476057.1
OG0001115	SHAE2_99680.1	KAK4467699.1
OG0001116	SHAE2_86210.1	KAK4468369.1
OG0001117	SHAE2_17240.3, SHAE2_17240.5, SHAE2_17240.7, SHAE2_17240.8, SHAE2_17240.1, SHAE2_17240.6, SHAE2_17240.4, SHAE2_17240.2	KAK4475302.1
OG0001118	SHAE2_75760.1, SHAE2_75770.1	KAK4470222.1
OG0001119	SHAE2_69390.1	KAK4471218.1
OG0001120	SHAE2_33860.3, SHAE2_33860.5, SHAE2_33860.1, SHAE2_33860.2, SHAE2_33860.4, SHAE2_33860.7, SHAE2_33860.6	KAK4472630.1, KAK4472629.1
OG0001121	SHAE2_60250.2, SHAE2_60250.1, SHAE2_60250.3, SHAE2_60250.4	KAK4467341.1
OG0001122	SHAE2_103440.1, SHAE2_103440.2	KAK4470945.1
OG0001123	SHAE2_95920.3, SHAE2_95920.1, SHAE2_95920.2	KAK4468721.1
OG0001124	SHAE2_40830.1	KAK4473908.1
OG0001125	SHAE2_15580.1, SHAE2_15620.1, SHAE2_15620.2	KAK4475252.1, KAK4475264.1
OG0001126	SHAE2_11970.11, SHAE2_11970.12, SHAE2_11970.1, SHAE2_11970.10, SHAE2_11970.13, SHAE2_11970.14, SHAE2_11970.17, SHAE2_11970.19, SHAE2_11970.7, SHAE2_11970.9, SHAE2_11970.15, SHAE2_11970.16, SHAE2_11970.18, SHAE2_11970.3, SHAE2_11970.4, SHAE2_11970.5, SHAE2_11970.6, SHAE2_11970.2, SHAE2_11970.8	KAK4476304.1
OG0001127	SHAE2_43070.1, SHAE2_43070.2, SHAE2_43070.3	KAK4473667.1
OG0001128	SHAE2_80610.1	KAK4470681.1
OG0001129	SHAE2_40500.1, SHAE2_40500.2, SHAE2_40520.3, SHAE2_40520.2, SHAE2_40520.1, SHAE2_40520.4	KAK4473880.1
OG0001130	SHAE2_13820.1, SHAE2_13820.2, SHAE2_13820.7, SHAE2_13820.6, SHAE2_13820.8, SHAE2_13820.9, SHAE2_13820.5, SHAE2_13820.3, SHAE2_13820.4	KAK4467488.1, KAK4467490.1, KAK4474435.1
OG0001131	SHAE2_78420.1	KAK4470638.1
OG0001131	SHAE2_78410.1	KAK4470637.1
OG0001132	SHAE2_87800.4, SHAE2_87800.6, SHAE2_87800.5, SHAE2_87800.1, SHAE2_87800.2, SHAE2_87800.3, SHAE2_87800.7	KAK4468209.1
OG0001133	SHAE2_18010.1	KAK4474780.1
OG0001134	SHAE2_69600.5, SHAE2_69600.1, SHAE2_69600.4, SHAE2_69600.2, SHAE2_69600.6, SHAE2_69600.3	KAK4471240.1
OG0001135	SHAE2_37250.3, SHAE2_37250.1, SHAE2_37250.2	KAK4472564.1
OG0001136	SHAE2_26110.1	KAK4473309.1
OG0001137	SHAE2_56760.3, SHAE2_56760.2, SHAE2_56760.5, SHAE2_56760.6, SHAE2_56760.7, SHAE2_56760.1, SHAE2_56760.4, SHAE2_56760.8	KAK4469354.1
OG0001138	SHAE2_22740.1	KAK4474983.1
OG0001139	SHAE2_40230.9, SHAE2_40230.1, SHAE2_40230.4, SHAE2_40230.5, SHAE2_40230.7, SHAE2_40230.8, SHAE2_40230.3, SHAE2_40230.6, SHAE2_40230.2	KAK4473852.1
OG0001140	SHAE2_49560.3, SHAE2_49560.4, SHAE2_49560.2, SHAE2_49560.1	KAK4469259.1
OG0001141	SHAE2_84270.1, SHAE2_84280.1	KAK4470986.1
OG0001142	SHAE2_14830.6, SHAE2_14830.5, SHAE2_14830.1, SHAE2_14830.3, SHAE2_14830.4, SHAE2_14830.2, SHAE2_14810.1	KAK4474696.1, KAK4474694.1
OG0001143	SHAE2_66990.9, SHAE2_66990.7, SHAE2_66990.10, SHAE2_66990.2, SHAE2_66990.8, SHAE2_66990.1, SHAE2_66990.5, SHAE2_66990.6, SHAE2_66990.3, SHAE2_66990.4	KAK4471679.1
OG0001144	SHAE2_39010.1, SHAE2_39010.2, SHAE2_39010.3, SHAE2_39010.4, SHAE2_39010.5, SHAE2_39010.6	KAK4474042.1
OG0001145	SHAE2_69750.2, SHAE2_69750.6, SHAE2_69750.1, SHAE2_69750.3, SHAE2_69750.4, SHAE2_69750.5	KAK4471255.1
OG0001146	SHAE2_4940.1, SHAE2_4940.4, SHAE2_4940.2, SHAE2_4940.3, SHAE2_4940.5, SHAE2_4940.6, SHAE2_4940.7, SHAE2_4940.8	KAK4475726.1
OG0001147	SHAE2_8220.1, SHAE2_8220.2, SHAE2_8220.3	KAK4474241.1
OG0001148	SHAE2_74940.2, SHAE2_74940.1, SHAE2_74940.3	KAK4470683.1
OG0001149	SHAE2_82610.1, SHAE2_82610.2, SHAE2_82610.5, SHAE2_82610.7, SHAE2_82610.6, SHAE2_82610.4, SHAE2_82610.3	KAK4470825.1
OG0001150	SHAE2_55310.1, SHAE2_55310.2, SHAE2_55310.3	KAK4469715.1
OG0001151	SHAE2_95190.2, SHAE2_95190.1	KAK4468560.1
OG0001153	SHAE2_73650.4, SHAE2_73650.6, SHAE2_73650.7, SHAE2_73650.5, SHAE2_73650.2, SHAE2_73650.1, SHAE2_73650.3	KAK4471271.1
OG0001154	SHAE2_46790.1, SHAE2_46820.1	KAK4472675.1
OG0001155	SHAE2_51710.1	KAK4469552.1
OG0001156	SHAE2_8160.1, SHAE2_8160.2	KAK4470111.1, KAK4475961.1
OG0001157	SHAE2_67020.1	KAK4471675.1
OG0001158	SHAE2_45240.1, SHAE2_45240.2, SHAE2_45240.3, SHAE2_45240.4	KAK4473471.1
OG0001159	SHAE2_97930.6, SHAE2_97930.7, SHAE2_97930.3, SHAE2_97930.4, SHAE2_97930.5, SHAE2_97930.8, SHAE2_97930.1, SHAE2_97930.2	KAK4468670.1
OG0001160	SHAE2_21980.1	KAK4475388.1
OG0001161	SHAE2_72940.1	KAK4471498.1
OG0001161	SHAE2_69860.1, SHAE2_69860.2	KAK4471267.1, KAK4471268.1
OG0001162	SHAE2_38550.3, SHAE2_38550.2, SHAE2_38550.4, SHAE2_38550.6, SHAE2_38550.1, SHAE2_38550.5	KAK4474084.1
OG0001163	SHAE2_81660.1, SHAE2_81660.5, SHAE2_81660.3, SHAE2_81660.2, SHAE2_81660.4	KAK4470411.1
OG0001164	SHAE2_85280.2, SHAE2_85280.1	KAK4468217.1
OG0001165	SHAE2_61540.1, SHAE2_61540.2	KAK4467564.1, KAK4467567.1
OG0001166	SHAE2_12840.1, SHAE2_12840.2, SHAE2_12840.5, SHAE2_12840.3, SHAE2_12840.4	KAK4474416.1
OG0001167	SHAE2_38540.6, SHAE2_38540.1, SHAE2_38540.2, SHAE2_38540.4, SHAE2_38540.5, SHAE2_38540.3, SHAE2_38540.7	KAK4474085.1
OG0001168	SHAE2_14400.1	KAK4467300.1, KAK4474652.1
OG0001169	SHAE2_53380.6, SHAE2_53380.8, SHAE2_53380.7, SHAE2_53380.10, SHAE2_53380.3, SHAE2_53380.4, SHAE2_53380.2, SHAE2_53380.9, SHAE2_53380.1, SHAE2_53380.5	KAK4469395.1
OG0001170	SHAE2_13210.3, SHAE2_13210.2, SHAE2_13210.1, SHAE2_13210.4	KAK4474599.1
OG0001171	SHAE2_17540.7, SHAE2_17540.3, SHAE2_17540.2, SHAE2_17540.4, SHAE2_17540.6, SHAE2_17540.1, SHAE2_17540.5	KAK4475235.1
OG0001172	SHAE2_64570.1	KAK4471888.1
OG0001173	SHAE2_2040.1	KAK4474895.1
OG0001174	SHAE2_11650.1	KAK4474366.1
OG0001176	SHAE2_77870.1, SHAE2_77870.2, SHAE2_77870.4, SHAE2_77870.3	KAK4470589.1
OG0001177	SHAE2_103260.1, SHAE2_27100.1, SHAE2_27100.2	KAK4473187.1
OG0001178	SHAE2_2920.1	KAK4475543.1
OG0001178	SHAE2_2910.1, SHAE2_2910.2, SHAE2_2910.4, SHAE2_2910.3	KAK4475541.1
OG0001179	SHAE2_98480.1, SHAE2_98480.2	KAK4467736.1, KAK4467737.1
OG0001180	SHAE2_11290.4, SHAE2_11290.1, SHAE2_11290.3, SHAE2_11290.6, SHAE2_11290.2, SHAE2_11290.5	KAK4476155.1
OG0001181	SHAE2_61600.1	KAK4471120.1
OG0001182	SHAE2_38800.1	KAK4474056.1
OG0001184	SHAE2_4040.1, SHAE2_4040.2, SHAE2_4040.3	KAK4475631.1, KAK4476071.1
OG0001185	SHAE2_12490.2, SHAE2_12490.1, SHAE2_12490.3	KAK4476220.1
OG0001186	SHAE2_5460.1, SHAE2_5460.2, SHAE2_5460.3	KAK4475791.1, KAK4467365.1
OG0001187	SHAE2_33600.3, SHAE2_33600.1, SHAE2_33600.2, SHAE2_33600.5, SHAE2_33600.4	KAK4472654.1
OG0001188	SHAE2_8460.1, SHAE2_8460.2, SHAE2_8460.3	KAK4476107.1
OG0001189	SHAE2_16220.1	KAK4474589.1
OG0001190	SHAE2_39030.1, SHAE2_39030.2, SHAE2_39030.3, SHAE2_39030.4, SHAE2_39030.6, SHAE2_39030.5	KAK4474039.1
OG0001191	SHAE2_7530.1, SHAE2_7530.9, SHAE2_7530.6, SHAE2_7530.7, SHAE2_7530.8, SHAE2_7530.2, SHAE2_7530.3, SHAE2_7530.4, SHAE2_7530.5	KAK4476037.1
OG0001192	SHAE2_45570.2, SHAE2_45570.1, SHAE2_45570.7, SHAE2_45570.8, SHAE2_45570.3, SHAE2_45570.4, SHAE2_45570.5, SHAE2_45570.6	KAK4473508.1
OG0001193	SHAE2_87070.4, SHAE2_87070.5, SHAE2_87070.2, SHAE2_87070.3, SHAE2_87070.1	KAK4468256.1, KAK4468257.1
OG0001194	SHAE2_7020.5, SHAE2_7020.6, SHAE2_7020.3, SHAE2_7020.4, SHAE2_7020.2, SHAE2_7020.7, SHAE2_7020.1	KAK4476093.1
OG0001197	SHAE2_24140.1, SHAE2_24140.3, SHAE2_24140.2, SHAE2_24140.4, SHAE2_24140.5	KAK4475434.1
OG0001198	SHAE2_86750.1, SHAE2_86750.2, SHAE2_86750.3, SHAE2_86750.4, SHAE2_86750.5	KAK4468283.1
OG0001199	SHAE2_84220.1, SHAE2_84210.1, SHAE2_84200.1, SHAE2_84190.1, SHAE2_84460.1	KAK4470046.1, KAK4470981.1, KAK4470980.1
OG0001202	SHAE2_15270.1, SHAE2_15270.2, SHAE2_15270.3	KAK4474738.1
OG0001203	SHAE2_1690.1	KAK4474544.1
OG0001203	SHAE2_85070.1	KAK4468110.1
OG0001204	SHAE2_70850.2, SHAE2_70850.4, SHAE2_70850.5, SHAE2_70850.1, SHAE2_70850.3	KAK4471653.1
OG0001205	SHAE2_39250.4, SHAE2_39250.5, SHAE2_39250.6, SHAE2_39250.1, SHAE2_39250.3, SHAE2_39250.2	KAK4474018.1, KAK4474017.1
OG0001207	SHAE2_16810.3, SHAE2_16810.4, SHAE2_16810.6, SHAE2_16810.5, SHAE2_16810.2, SHAE2_16810.7, SHAE2_16810.1	KAK4475278.1
OG0001208	SHAE2_41000.4, SHAE2_41000.1, SHAE2_41000.2, SHAE2_41000.3	KAK4473921.1, KAK4473920.1
OG0001210	SHAE2_98630.6, SHAE2_98630.1, SHAE2_98630.2, SHAE2_98630.4, SHAE2_98630.5, SHAE2_98630.3	KAK4467724.1
OG0001212	SHAE2_26780.1, SHAE2_26780.2, SHAE2_26780.3, SHAE2_26780.4, SHAE2_26780.5	KAK4473153.1
OG0001213	SHAE2_7340.1, SHAE2_7340.4, SHAE2_7340.6, SHAE2_7340.3, SHAE2_7340.2, SHAE2_7340.5	KAK4476051.1
OG0001214	SHAE2_30720.10, SHAE2_30720.11, SHAE2_30720.3, SHAE2_30720.4, SHAE2_30720.6, SHAE2_30720.9, SHAE2_30720.12, SHAE2_30720.2, SHAE2_30720.5, SHAE2_30720.7, SHAE2_30720.8, SHAE2_30720.1	KAK4472906.1
OG0001215	SHAE2_67950.2, SHAE2_67950.3, SHAE2_67950.1, SHAE2_67950.4	KAK4471303.1
OG0001216	SHAE2_28970.1	KAK4472954.1
OG0001217	SHAE2_77470.1, SHAE2_77470.2	KAK4470315.1
OG0001218	SHAE2_14300.1	KAK4474639.1
OG0001219	SHAE2_1490.1, SHAE2_1490.2, SHAE2_1490.3, SHAE2_1490.4	KAK4476080.1
OG0001220	SHAE2_100300.3, SHAE2_100300.4, SHAE2_100300.5, SHAE2_100300.1, SHAE2_100300.2, SHAE2_100300.6	KAK4467635.1
OG0001221	SHAE2_66630.4, SHAE2_66630.5, SHAE2_66630.1, SHAE2_66630.2, SHAE2_66630.3	KAK4471716.1
OG0001222	SHAE2_97330.1	KAK4468493.1
OG0001223	SHAE2_35000.4, SHAE2_35000.2, SHAE2_35000.3, SHAE2_35000.1	KAK4472509.1
OG0001224	SHAE2_86590.1, SHAE2_86590.2, SHAE2_86590.3, SHAE2_86590.4	KAK4468309.1
OG0001225	SHAE2_62820.6, SHAE2_62820.7, SHAE2_62820.3, SHAE2_62820.2, SHAE2_62820.4, SHAE2_62820.1, SHAE2_62820.5	KAK4472086.1
OG0001226	SHAE2_48780.1	KAK4469416.1
OG0001227	SHAE2_66010.5, SHAE2_66010.4, SHAE2_66010.2, SHAE2_66010.6, SHAE2_66010.1, SHAE2_66010.3	KAK4471789.1
OG0001228	SHAE2_47850.1	KAK4472331.1
OG0001229	SHAE2_32730.1, SHAE2_32730.2, SHAE2_32730.3, SHAE2_32730.4	KAK4472410.1
OG0001230	SHAE2_19040.6, SHAE2_19040.1, SHAE2_19040.5, SHAE2_19040.2, SHAE2_19040.3, SHAE2_19040.4	KAK4474860.1
OG0001231	SHAE2_42430.3, SHAE2_42430.4, SHAE2_42430.7, SHAE2_42430.8, SHAE2_42430.1, SHAE2_42430.2, SHAE2_42430.5, SHAE2_42430.6	KAK4473724.1
OG0001232	SHAE2_85210.1, SHAE2_85240.1	KAK4468184.1
OG0001233	SHAE2_6450.1, SHAE2_6450.2, SHAE2_6450.3	KAK4475904.1
OG0001234	SHAE2_47000.1, SHAE2_47000.2, SHAE2_47000.3, SHAE2_47000.4	KAK4472481.1, KAK4472579.1, KAK4472471.1
OG0001235	SHAE2_31120.1	KAK4472813.1
OG0001235	SHAE2_31110.1	KAK4472812.1
OG0001236	SHAE2_67670.1, SHAE2_67670.4, SHAE2_67670.2, SHAE2_67670.3	KAK4471432.1
OG0001237	SHAE2_28930.1	KAK4472962.1
OG0001238	SHAE2_89190.2, SHAE2_89190.1, SHAE2_89190.4, SHAE2_89190.3	KAK4468030.1
OG0001239	SHAE2_14320.1, SHAE2_14320.2, SHAE2_14320.3, SHAE2_14320.4	KAK4474642.1
OG0001240	SHAE2_57260.1, SHAE2_57260.3, SHAE2_57260.4, SHAE2_57260.2	KAK4469937.1
OG0001241	SHAE2_63670.1	KAK4472005.1
OG0001241	SHAE2_79010.1	KAK4470468.1
OG0001242	SHAE2_59820.1	KAK4469975.1
OG0001244	SHAE2_95030.5, SHAE2_95030.4, SHAE2_95030.3, SHAE2_95030.6, SHAE2_95030.1, SHAE2_95030.7, SHAE2_95030.2	KAK4468578.1
OG0001245	SHAE2_13960.1	KAK4474453.1, KAK4474454.1
OG0001246	SHAE2_36000.3, SHAE2_36000.1, SHAE2_36000.2	KAK4472369.1
OG0001247	SHAE2_40160.1	KAK4473847.1
OG0001248	SHAE2_6170.1	KAK4467435.1, KAK4475814.1
OG0001249	SHAE2_38900.3, SHAE2_38900.4, SHAE2_38910.3, SHAE2_38910.4, SHAE2_38900.1, SHAE2_38910.2, SHAE2_38900.2, SHAE2_38910.1	KAK4474050.1
OG0001250	SHAE2_2340.1, SHAE2_2340.2	KAK4475185.1
OG0001251	SHAE2_81830.1	KAK4470393.1
OG0001252	SHAE2_55170.1, SHAE2_55170.2, SHAE2_55170.3, SHAE2_55170.4, SHAE2_55170.5, SHAE2_55170.6	KAK4469959.1
OG0001253	SHAE2_58070.2, SHAE2_58070.1, SHAE2_58070.3	KAK4469853.1
OG0001254	SHAE2_35050.1, SHAE2_35060.1	KAK4472504.1, KAK4472506.1
OG0001255	SHAE2_31210.1	KAK4472793.1
OG0001256	SHAE2_51620.1	KAK4469560.1
OG0001258	SHAE2_81180.3, SHAE2_81180.2, SHAE2_81180.4	KAK4470450.1
OG0001259	SHAE2_63530.1, SHAE2_63530.2	KAK4472020.1
OG0001260	SHAE2_1770.1, SHAE2_1770.3, SHAE2_1770.2	KAK4474629.1
OG0001261	SHAE2_48500.1, SHAE2_48500.2, SHAE2_48500.3	KAK4473580.1
OG0001262	SHAE2_87120.3, SHAE2_87120.6, SHAE2_87120.5, SHAE2_87120.1, SHAE2_87120.2, SHAE2_87120.4	KAK4468252.1
OG0001263	SHAE2_95170.6, SHAE2_95170.3, SHAE2_95170.1, SHAE2_95170.2, SHAE2_95170.4, SHAE2_95170.5	KAK4468562.1
OG0001263	SHAE2_95180.1	KAK4468561.1
OG0001265	SHAE2_65030.1	KAK4471920.1
OG0001266	SHAE2_74880.1, SHAE2_74880.4, SHAE2_74880.2, SHAE2_74880.3, SHAE2_74880.5, SHAE2_74880.6	KAK4470747.1
OG0001267	SHAE2_56470.1	KAK4469544.1
OG0001268	SHAE2_94970.1	KAK4468580.1
OG0001268	SHAE2_8470.1	KAK4476115.1
OG0001269	SHAE2_26040.2, SHAE2_26040.1, SHAE2_26040.3	KAK4473303.1
OG0001270	SHAE2_94240.1	KAK4468598.1
OG0001271	SHAE2_69320.2, SHAE2_69320.4, SHAE2_69320.6, SHAE2_69320.1, SHAE2_69320.3, SHAE2_69320.5	KAK4471210.1
OG0001272	SHAE2_85010.4, SHAE2_85010.1, SHAE2_85010.2, SHAE2_85010.3	KAK4470053.1
OG0001273	SHAE2_78190.3, SHAE2_78190.1, SHAE2_78190.2	KAK4470612.1
OG0001274	SHAE2_72910.1, SHAE2_72910.4, SHAE2_72910.3, SHAE2_72910.5, SHAE2_72910.2	KAK4471502.1
OG0001275	SHAE2_57620.1, SHAE2_57620.2, SHAE2_57620.5, SHAE2_57620.6, SHAE2_57620.3, SHAE2_57620.4, SHAE2_57620.7	KAK4469887.1
OG0001276	SHAE2_68690.1	KAK4471898.1
OG0001277	SHAE2_3720.3, SHAE2_3720.4, SHAE2_3720.6, SHAE2_3720.14, SHAE2_3720.5, SHAE2_3720.8, SHAE2_3720.10, SHAE2_3720.2, SHAE2_3720.7, SHAE2_3720.9, SHAE2_3720.13, SHAE2_3720.12, SHAE2_3720.1, SHAE2_3720.11	KAK4475596.1
OG0001278	SHAE2_96240.1, SHAE2_96240.3, SHAE2_96240.2	KAK4468621.1
OG0001279	SHAE2_37770.1, SHAE2_37770.2, SHAE2_37770.3, SHAE2_37770.4, SHAE2_37770.6, SHAE2_37770.5	KAK4474150.1
OG0001280	SHAE2_55050.4, SHAE2_55050.7, SHAE2_55050.10, SHAE2_55050.5, SHAE2_55050.8, SHAE2_55050.1, SHAE2_55050.3, SHAE2_55050.2, SHAE2_55050.6, SHAE2_55050.9	KAK4469925.1
OG0001281	SHAE2_82730.1, SHAE2_82760.1, SHAE2_82740.1, SHAE2_82750.1	KAK4470830.1, KAK4470831.1
OG0001282	SHAE2_100160.1, SHAE2_100160.2, SHAE2_100160.6, SHAE2_100160.3, SHAE2_100160.4, SHAE2_100160.5	KAK4467754.1
OG0001283	SHAE2_38390.3, SHAE2_38390.1, SHAE2_38390.5, SHAE2_38390.2, SHAE2_38390.4	KAK4474099.1
OG0001284	SHAE2_19960.1	KAK4474955.1
OG0001285	SHAE2_940.1, SHAE2_1020.1, SHAE2_970.1, SHAE2_990.1, SHAE2_1000.1, SHAE2_960.1	KAK4475824.1
OG0001288	SHAE2_99370.1	KAK4467620.1
OG0001289	SHAE2_31810.2, SHAE2_31810.3, SHAE2_31810.1	KAK4472424.1
OG0001290	SHAE2_5520.7, SHAE2_5520.1, SHAE2_5520.6, SHAE2_5520.4, SHAE2_5520.2, SHAE2_5520.3, SHAE2_5520.5	KAK4475785.1
OG0001291	SHAE2_7520.6, SHAE2_7520.2, SHAE2_7520.4, SHAE2_7520.7, SHAE2_7520.1, SHAE2_7520.3, SHAE2_7520.5, SHAE2_7520.8	KAK4476039.1
OG0001292	SHAE2_7630.1	KAK4476023.1
OG0001293	SHAE2_58860.2, SHAE2_58860.3, SHAE2_58860.1, SHAE2_58830.1	KAK4469805.1
OG0001294	SHAE2_34490.1	KAK4472567.1
OG0001295	SHAE2_34090.1, SHAE2_34090.2, SHAE2_34090.3	KAK4472604.1
OG0001296	SHAE2_8030.2, SHAE2_8030.7, SHAE2_8030.4, SHAE2_8030.3, SHAE2_8030.1, SHAE2_8030.5, SHAE2_8030.6, SHAE2_8030.8	KAK4475956.1, KAK4475955.1
OG0001297	SHAE2_15850.2, SHAE2_15850.1, SHAE2_15850.3	KAK4474512.1
OG0001298	SHAE2_39130.1, SHAE2_39130.2, SHAE2_39130.3, SHAE2_39130.4, SHAE2_39130.6, SHAE2_39130.5	KAK4474031.1
OG0001300	SHAE2_6540.3, SHAE2_6540.1, SHAE2_6540.2	KAK4475917.1
OG0001301	SHAE2_57690.1, SHAE2_57690.2, SHAE2_57690.4, SHAE2_57690.5, SHAE2_57690.3	KAK4469880.1
OG0001302	SHAE2_2760.2, SHAE2_2760.1, SHAE2_2760.3, SHAE2_2760.4, SHAE2_2760.10, SHAE2_2760.12, SHAE2_2760.13, SHAE2_2760.8, SHAE2_2760.5, SHAE2_2760.6, SHAE2_2760.14, SHAE2_2760.15, SHAE2_2760.11, SHAE2_2760.9, SHAE2_2760.7	KAK4475526.1
OG0001303	SHAE2_34070.2, SHAE2_34070.4, SHAE2_34070.1, SHAE2_34070.3	KAK4472605.1, KAK4472606.1
OG0001304	SHAE2_93910.1	KAK4468665.1
OG0001305	SHAE2_1800.1, SHAE2_1800.2, SHAE2_1800.3, SHAE2_1800.4, SHAE2_1800.5, SHAE2_1800.7, SHAE2_1800.6	KAK4474662.1
OG0001306	SHAE2_65640.1, SHAE2_65640.2	KAK4471984.1
OG0001307	SHAE2_85860.1	KAK4468348.1
OG0001307	SHAE2_85840.1	KAK4468345.1
OG0001308	SHAE2_100270.1, SHAE2_100270.2	KAK4467630.1
OG0001309	SHAE2_78500.1, SHAE2_78500.5, SHAE2_78500.6, SHAE2_78500.7, SHAE2_78500.2, SHAE2_78500.3, SHAE2_78500.4, SHAE2_78500.8	KAK4470646.1
OG0001310	SHAE2_29730.1, SHAE2_29730.2, SHAE2_29730.3, SHAE2_29730.5, SHAE2_29730.4	KAK4473092.1
OG0001311	SHAE2_46990.1, SHAE2_46990.4, SHAE2_46990.2, SHAE2_46990.3	KAK4472492.1
OG0001312	SHAE2_33830.1	KAK4472637.1
OG0001313	SHAE2_44680.1, SHAE2_44680.5, SHAE2_44680.2, SHAE2_44680.3, SHAE2_44680.4	KAK4472134.1, KAK4473418.1
OG0001314	SHAE2_12350.1, SHAE2_12350.3, SHAE2_12350.2, SHAE2_12350.4, SHAE2_12350.5	KAK4476271.1
OG0001315	SHAE2_33790.1, SHAE2_33790.2, SHAE2_33790.3	KAK4472633.1
OG0001316	SHAE2_37860.1	KAK4474142.1
OG0001317	SHAE2_16720.1, SHAE2_16720.2	KAK4475271.1
OG0001319	SHAE2_42460.3, SHAE2_42460.7, SHAE2_42460.5, SHAE2_42460.6, SHAE2_42460.8, SHAE2_42460.10, SHAE2_42460.4, SHAE2_42480.1, SHAE2_42460.9	KAK4473722.1
OG0001320	SHAE2_67700.4, SHAE2_67700.1, SHAE2_67700.7, SHAE2_67700.8, SHAE2_67700.6, SHAE2_67700.2, SHAE2_67700.3, SHAE2_67700.5	KAK4471435.1
OG0001321	SHAE2_22040.1, SHAE2_22040.3, SHAE2_22040.2, SHAE2_22040.4	KAK4475382.1
OG0001322	SHAE2_51010.2, SHAE2_51010.1	KAK4469624.1
OG0001323	SHAE2_1220.1	KAK4474405.1
OG0001324	SHAE2_92110.1, SHAE2_92110.2, SHAE2_92110.3	KAK4468826.1
OG0001325	SHAE2_101660.1, SHAE2_101660.2, SHAE2_101660.3	KAK4467845.1
OG0001326	SHAE2_56970.1	KAK4469191.1
OG0001327	SHAE2_96570.1	KAK4468417.1
OG0001328	SHAE2_5060.6, SHAE2_5060.7, SHAE2_5060.3, SHAE2_5060.2, SHAE2_5060.1, SHAE2_5060.5, SHAE2_5060.4, SHAE2_5060.8, SHAE2_5060.9	KAK4467516.1, KAK4475737.1, KAK4467405.1
OG0001330	SHAE2_33230.1	KAK4472695.1
OG0001331	SHAE2_51410.1, SHAE2_51410.3, SHAE2_51410.2, SHAE2_51410.4	KAK4469579.1
OG0001332	SHAE2_76330.1	KAK4470197.1
OG0001333	SHAE2_68460.1, SHAE2_68460.2, SHAE2_68460.3	KAK4471477.1
OG0001334	SHAE2_1840.1, SHAE2_1840.2, SHAE2_1840.3, SHAE2_1840.4, SHAE2_1840.5, SHAE2_1840.6, SHAE2_1840.7, SHAE2_1840.10, SHAE2_1840.8, SHAE2_1840.9	KAK4474703.1
OG0001335	SHAE2_33060.1, SHAE2_33060.2, SHAE2_33060.3, SHAE2_33080.1	KAK4472711.1
OG0001336	SHAE2_49570.1, SHAE2_49580.1	KAK4469248.1
OG0001337	SHAE2_57090.1, SHAE2_57090.4, SHAE2_57090.8, SHAE2_57090.6, SHAE2_57090.2, SHAE2_57090.3, SHAE2_57090.7, SHAE2_57090.5	KAK4469179.1
OG0001338	SHAE2_40040.4, SHAE2_40040.2, SHAE2_40040.6, SHAE2_40040.3, SHAE2_40040.1, SHAE2_40040.7, SHAE2_40040.8, SHAE2_40040.5, SHAE2_40040.9	KAK4473835.1
OG0001339	SHAE2_13110.4, SHAE2_13110.2, SHAE2_13110.3, SHAE2_13110.1	KAK4474554.1
OG0001340	SHAE2_11560.1, SHAE2_11390.1	KAK4476161.1, KAK4476160.1
OG0001341	SHAE2_81370.3, SHAE2_81370.1, SHAE2_81370.2, SHAE2_81370.4, SHAE2_81370.5, SHAE2_81370.6	KAK4470433.1
OG0001342	SHAE2_55730.2, SHAE2_55730.1, SHAE2_55730.3	KAK4469498.1
OG0001343	SHAE2_76350.1, SHAE2_76350.2	KAK4470199.1, KAK4470200.1
