Orthogroup	schistosoma_haematobium	schistosoma_curassoni
OG0000272	SHAE2_16680.6	SCUR1_14900.4
OG0000272	SHAE2_16680.8	SCUR1_14900.4
OG0000272	SHAE2_16680.3	SCUR1_14900.2
OG0000272	SHAE2_16680.7	SCUR1_14900.2
OG0000272	SHAE2_16680.2	SCUR1_14900.1
OG0000272	SHAE2_16680.2	SCUR1_14900.3
OG0000273	SHAE2_7790.1	SCUR1_7170.1
OG0000274	SHAE2_84350.5, SHAE2_84350.3, SHAE2_84350.1, SHAE2_84350.2, SHAE2_84350.4	SCUR1_79340.9, SCUR1_79340.8, SCUR1_79340.6, SCUR1_79340.7, SCUR1_79340.2, SCUR1_79340.3, SCUR1_79340.5, SCUR1_79340.4, SCUR1_79340.1
OG0000275	SHAE2_40450.15, SHAE2_40450.20, SHAE2_40450.7, SHAE2_40450.18, SHAE2_40450.1, SHAE2_40450.2, SHAE2_40450.4, SHAE2_40450.8, SHAE2_40450.11, SHAE2_40450.13, SHAE2_40450.3, SHAE2_40450.12, SHAE2_40450.19, SHAE2_40450.16, SHAE2_40450.17, SHAE2_40450.10, SHAE2_40450.6, SHAE2_40450.9, SHAE2_40450.5, SHAE2_40450.14	SCUR1_37710.10, SCUR1_37710.2, SCUR1_37710.9, SCUR1_37710.3, SCUR1_37710.4, SCUR1_37710.1, SCUR1_37710.6, SCUR1_37710.7, SCUR1_37710.8, SCUR1_37710.5
OG0000276	SHAE2_77570.9, SHAE2_77570.3, SHAE2_77570.11, SHAE2_77570.6, SHAE2_77570.4, SHAE2_77570.5, SHAE2_77570.10, SHAE2_77570.7, SHAE2_77570.1, SHAE2_77570.2, SHAE2_77570.8	SCUR1_72350.1
OG0000277	SHAE2_97660.1, SHAE2_97660.3, SHAE2_97660.2, SHAE2_97660.4	SCUR1_91060.1
OG0000281	SHAE2_89300.1, SHAE2_89300.2	SCUR1_83010.1
OG0000281	SHAE2_17910.1	SCUR1_15940.1
OG0000281	SHAE2_5020.1, SHAE2_5020.2	SCUR1_4480.1, SCUR1_4480.4
OG0000282	SHAE2_57970.10, SHAE2_57970.5, SHAE2_57970.9, SHAE2_57970.1, SHAE2_57970.6, SHAE2_57970.8, SHAE2_57970.4, SHAE2_57970.2, SHAE2_57970.7, SHAE2_57970.3	SCUR1_54810.3, SCUR1_54810.8, SCUR1_54810.6, SCUR1_54810.2, SCUR1_54810.4, SCUR1_54810.5, SCUR1_54810.1, SCUR1_54810.7
OG0000283	SHAE2_65400.11, SHAE2_65400.13, SHAE2_65400.14, SHAE2_65400.15, SHAE2_65400.12, SHAE2_65400.10, SHAE2_65400.7, SHAE2_65400.9, SHAE2_65400.1, SHAE2_65400.8, SHAE2_65400.6, SHAE2_65400.4, SHAE2_65400.2, SHAE2_65400.3, SHAE2_65400.5	SCUR1_61180.1, SCUR1_61180.3, SCUR1_61180.5, SCUR1_100630.2, SCUR1_100630.1, SCUR1_61180.2, SCUR1_61180.4
OG0000284	SHAE2_45120.1	SCUR1_42410.1, SCUR1_42410.3, SCUR1_42410.10, SCUR1_42410.2, SCUR1_42410.5, SCUR1_42410.6, SCUR1_42410.8, SCUR1_42410.9, SCUR1_42410.4
OG0000285	SHAE2_39110.1	SCUR1_36380.7, SCUR1_36380.11, SCUR1_36380.18, SCUR1_36380.10, SCUR1_36380.13, SCUR1_36380.8, SCUR1_36380.17, SCUR1_36380.15, SCUR1_36380.16, SCUR1_36380.2, SCUR1_36380.3, SCUR1_36380.1, SCUR1_36380.4, SCUR1_36380.5, SCUR1_36380.19, SCUR1_36380.21, SCUR1_36380.6, SCUR1_36380.14, SCUR1_36380.9, SCUR1_36380.12, SCUR1_36380.20, SCUR1_36380.22
OG0000286	SHAE2_45510.4, SHAE2_45510.1, SHAE2_45510.2, SHAE2_45510.3, SHAE2_45510.5	SCUR1_42820.1, SCUR1_42830.1
OG0000286	SHAE2_45480.3, SHAE2_45480.1, SHAE2_45480.2, SHAE2_45480.4	SCUR1_42790.3, SCUR1_42790.2, SCUR1_42790.4, SCUR1_42790.1
OG0000287	SHAE2_77530.5, SHAE2_77530.6	SCUR1_72300.7
OG0000287	SHAE2_77530.1, SHAE2_77530.2, SHAE2_77530.3, SHAE2_77530.4, SHAE2_77530.7, SHAE2_77530.10, SHAE2_77530.9, SHAE2_77530.8	SCUR1_72300.3
OG0000288	SHAE2_92120.4, SHAE2_92120.1, SHAE2_92120.3, SHAE2_92120.2, SHAE2_92120.5, SHAE2_92120.7	SCUR1_96560.1, SCUR1_96560.2, SCUR1_96560.4
OG0000288	SHAE2_92120.6, SHAE2_92120.8, SHAE2_92120.10, SHAE2_92120.9	SCUR1_96560.3
OG0000289	SHAE2_19130.11, SHAE2_19130.13	SCUR1_16970.10, SCUR1_16970.4, SCUR1_16970.5
OG0000289	SHAE2_19130.1, SHAE2_19130.12, SHAE2_19130.4, SHAE2_19130.5, SHAE2_19130.7, SHAE2_19130.8, SHAE2_19130.9, SHAE2_19130.2, SHAE2_19130.6, SHAE2_19130.10, SHAE2_19130.3	SCUR1_16970.12, SCUR1_16970.2, SCUR1_16970.1, SCUR1_16970.11, SCUR1_16970.3, SCUR1_16970.6, SCUR1_16970.7, SCUR1_16970.8, SCUR1_16970.9
OG0000290	SHAE2_29660.1	SCUR1_27420.2, SCUR1_27420.3
OG0000290	SHAE2_29660.3	SCUR1_27420.1
OG0000290	SHAE2_24450.3, SHAE2_24450.2, SHAE2_24450.1	SCUR1_22320.1
OG0000291	SHAE2_20200.3, SHAE2_20200.4, SHAE2_20200.6, SHAE2_20200.7, SHAE2_20200.8, SHAE2_20200.5, SHAE2_20200.1, SHAE2_20200.2	SCUR1_18000.1
OG0000292	SHAE2_37160.1	SCUR1_34520.7, SCUR1_34520.4, SCUR1_34520.8, SCUR1_34520.10, SCUR1_34520.12, SCUR1_34520.9, SCUR1_34520.5, SCUR1_34520.11, SCUR1_34520.6, SCUR1_34520.1, SCUR1_34520.2, SCUR1_34520.3, SCUR1_34520.13, SCUR1_34520.14
OG0000293	SHAE2_30230.1	SCUR1_28030.1
OG0000293	SHAE2_64710.1	SCUR1_60480.1
OG0000293	SHAE2_64710.2	SCUR1_60480.2
OG0000293	SHAE2_50780.1	SCUR1_47630.1
OG0000294	SHAE2_4410.1, SHAE2_4410.7, SHAE2_4410.8, SHAE2_4410.9, SHAE2_4410.2, SHAE2_4410.5, SHAE2_4410.4, SHAE2_4410.3, SHAE2_4410.6	SCUR1_3830.2, SCUR1_3830.3, SCUR1_3830.1
OG0000295	SHAE2_91840.1	SCUR1_85350.1, SCUR1_85360.1
OG0000295	SHAE2_91830.1	SCUR1_85340.1
OG0000295	SHAE2_91850.1, SHAE2_91850.2	SCUR1_85400.1
OG0000296	SHAE2_11170.1	SCUR1_9190.1
OG0000296	SHAE2_11180.1	SCUR1_9190.1
OG0000296	SHAE2_11170.1	SCUR1_9200.1
OG0000296	SHAE2_11180.1	SCUR1_9200.1
OG0000297	SHAE2_83890.4	SCUR1_78850.1, SCUR1_78850.2, SCUR1_78850.3, SCUR1_78850.8
OG0000298	SHAE2_46170.3, SHAE2_46170.1, SHAE2_46170.2	SCUR1_43470.1
OG0000298	SHAE2_47390.2, SHAE2_47390.1	SCUR1_44710.2, SCUR1_44710.1, SCUR1_44710.3, SCUR1_44710.4, SCUR1_44710.5
OG0000299	SHAE2_64120.2, SHAE2_64120.3, SHAE2_64120.4, SHAE2_64120.5, SHAE2_64120.8, SHAE2_64120.1, SHAE2_64120.6, SHAE2_64120.9, SHAE2_64120.7, SHAE2_64120.10	SCUR1_59960.1
OG0000300	SHAE2_13160.1, SHAE2_13160.4, SHAE2_13160.3, SHAE2_13160.5, SHAE2_13160.2	SCUR1_11290.1
OG0000301	SHAE2_82310.3	SCUR1_77270.2
OG0000301	SHAE2_82310.2	SCUR1_77270.1
OG0000301	SHAE2_82310.1	SCUR1_77270.3
OG0000301	SHAE2_82310.4	SCUR1_77270.3
OG0000301	SHAE2_82310.5	SCUR1_77270.3
OG0000301	SHAE2_82310.1	SCUR1_77270.4
OG0000301	SHAE2_82310.4	SCUR1_77270.4
OG0000301	SHAE2_82310.5	SCUR1_77270.4
OG0000302	SHAE2_62960.1	SCUR1_58900.1
OG0000303	SHAE2_16570.1, SHAE2_16570.5	SCUR1_14810.16, SCUR1_14810.12, SCUR1_14810.15, SCUR1_14810.13, SCUR1_14810.10, SCUR1_14810.11, SCUR1_14810.14, SCUR1_14810.17, SCUR1_14810.9, SCUR1_14810.6, SCUR1_14810.4, SCUR1_14810.1, SCUR1_14810.7, SCUR1_14810.8, SCUR1_14810.2, SCUR1_14810.3, SCUR1_14810.5
OG0000303	SHAE2_16570.6, SHAE2_16570.3, SHAE2_16570.2, SHAE2_16570.4	SCUR1_14810.18, SCUR1_14810.19, SCUR1_14810.22, SCUR1_14810.20, SCUR1_14810.21, SCUR1_14810.23
OG0000304	SHAE2_14450.1, SHAE2_14450.11, SHAE2_14450.10, SHAE2_14450.2, SHAE2_14450.3, SHAE2_14450.4, SHAE2_14450.6, SHAE2_14450.7, SHAE2_14450.14, SHAE2_14450.16, SHAE2_14450.8, SHAE2_14450.9, SHAE2_14450.12, SHAE2_14450.13	SCUR1_12750.8, SCUR1_12750.1, SCUR1_12750.2, SCUR1_12750.3, SCUR1_12750.4, SCUR1_12750.5, SCUR1_12750.9, SCUR1_12750.10
OG0000304	SHAE2_14450.15, SHAE2_14450.5	SCUR1_12750.7, SCUR1_12750.6
OG0000305	SHAE2_54970.3	SCUR1_51650.10, SCUR1_51650.11
OG0000306	SHAE2_8260.2, SHAE2_8260.5	SCUR1_7600.1
OG0000307	SHAE2_7150.1	SCUR1_6570.1
OG0000307	SHAE2_96640.1, SHAE2_96640.2, SHAE2_96640.3	SCUR1_89860.1
OG0000308	SHAE2_33320.1	SCUR1_31010.1
OG0000308	SHAE2_870.1, SHAE2_850.1	SCUR1_580.1, SCUR1_570.1, SCUR1_570.2, SCUR1_570.3, SCUR1_570.4, SCUR1_570.5, SCUR1_570.7, SCUR1_570.6
OG0000310	SHAE2_41350.1	SCUR1_38590.1
OG0000310	SHAE2_41290.1, SHAE2_41320.1	SCUR1_38570.8, SCUR1_38570.5, SCUR1_38570.1, SCUR1_38570.3, SCUR1_38570.4, SCUR1_38570.2, SCUR1_38570.7, SCUR1_38570.6, SCUR1_38500.2, SCUR1_38500.6, SCUR1_38500.3, SCUR1_38500.4, SCUR1_38500.1, SCUR1_38500.5
OG0000312	SHAE2_34990.3, SHAE2_34990.1, SHAE2_34990.2	SCUR1_32790.3, SCUR1_32790.4, SCUR1_32790.5, SCUR1_32790.1, SCUR1_32790.2
OG0000313	SHAE2_16640.1	SCUR1_14870.3, SCUR1_14870.4, SCUR1_14870.5, SCUR1_14870.1, SCUR1_14870.2, SCUR1_14870.6, SCUR1_14870.7, SCUR1_14870.8
OG0000314	SHAE2_40590.3, SHAE2_40590.6, SHAE2_40590.1, SHAE2_40590.7, SHAE2_40590.5, SHAE2_40590.2	SCUR1_37850.10, SCUR1_37850.3, SCUR1_37850.4, SCUR1_37850.5, SCUR1_37850.9, SCUR1_37850.1, SCUR1_37850.6, SCUR1_37850.7, SCUR1_37850.8, SCUR1_37850.2
OG0000315	SHAE2_36220.3, SHAE2_36220.2, SHAE2_36220.1	SCUR1_33400.1
OG0000315	SHAE2_69220.2, SHAE2_69220.3	SCUR1_64750.1
OG0000315	SHAE2_69220.1	SCUR1_64750.2
OG0000316	SHAE2_20400.4, SHAE2_20400.2, SHAE2_20400.6, SHAE2_20400.5, SHAE2_20400.8, SHAE2_20400.1, SHAE2_20400.9, SHAE2_20400.3, SHAE2_20400.7	SCUR1_18190.11, SCUR1_18190.7, SCUR1_18190.9, SCUR1_18190.1, SCUR1_18190.10, SCUR1_18190.2, SCUR1_18190.3, SCUR1_18190.4, SCUR1_18190.5, SCUR1_18190.6, SCUR1_18190.8
OG0000317	SHAE2_1660.2, SHAE2_1660.4, SHAE2_1660.6, SHAE2_1660.1, SHAE2_1660.3, SHAE2_1660.5	SCUR1_1270.1, SCUR1_1270.2, SCUR1_1270.3
OG0000318	SHAE2_52340.1, SHAE2_52340.2, SHAE2_52340.7, SHAE2_52340.5	SCUR1_49130.2, SCUR1_49130.3
OG0000319	SHAE2_37190.8, SHAE2_37190.1, SHAE2_37190.10, SHAE2_37190.2, SHAE2_37190.3, SHAE2_37190.6, SHAE2_37190.9, SHAE2_37190.4, SHAE2_37190.7, SHAE2_37190.11, SHAE2_37190.5	SCUR1_34550.1
OG0000320	SHAE2_22920.1	SCUR1_20840.1
OG0000320	SHAE2_31820.1	SCUR1_29600.1
OG0000320	SHAE2_58600.1	SCUR1_55430.1
OG0000321	SHAE2_40280.1, SHAE2_40270.1	SCUR1_37530.1, SCUR1_37530.2, SCUR1_37530.5, SCUR1_37530.3, SCUR1_37530.4
OG0000322	SHAE2_30090.9	SCUR1_27890.1
OG0000322	SHAE2_30090.2, SHAE2_30090.7, SHAE2_30090.4, SHAE2_30090.5, SHAE2_30090.6, SHAE2_30090.3, SHAE2_30090.8, SHAE2_30090.1	SCUR1_27890.3, SCUR1_27890.5, SCUR1_27890.6, SCUR1_27890.2, SCUR1_27890.4, SCUR1_27890.7
OG0000323	SHAE2_1940.1, SHAE2_1940.4, SHAE2_1940.9, SHAE2_1940.5, SHAE2_1940.3, SHAE2_1940.10, SHAE2_1940.2, SHAE2_1940.6, SHAE2_1940.7, SHAE2_1940.8	SCUR1_1540.3, SCUR1_1540.1, SCUR1_1540.2, SCUR1_1540.4, SCUR1_1550.1
OG0000324	SHAE2_52670.1, SHAE2_52670.10, SHAE2_52670.9, SHAE2_52670.8, SHAE2_52670.12, SHAE2_52670.5, SHAE2_52670.2, SHAE2_52670.3, SHAE2_52670.11, SHAE2_52670.13, SHAE2_52670.14, SHAE2_52670.7, SHAE2_52670.4, SHAE2_52670.6	SCUR1_49500.1
OG0000325	SHAE2_84700.1	SCUR1_79880.9, SCUR1_79880.1, SCUR1_79880.2, SCUR1_79880.4, SCUR1_79880.5, SCUR1_79880.7, SCUR1_79880.3, SCUR1_79880.6, SCUR1_79880.8
OG0000326	SHAE2_63470.1	SCUR1_59350.1, SCUR1_59350.2, SCUR1_59350.3, SCUR1_59350.4, SCUR1_59350.5, SCUR1_59350.6
OG0000327	SHAE2_74870.2, SHAE2_74870.3, SHAE2_74860.1, SHAE2_74860.2, SHAE2_74870.1	SCUR1_69760.1, SCUR1_69770.1
OG0000328	SHAE2_30770.3, SHAE2_30770.1, SHAE2_30770.2	SCUR1_28580.1, SCUR1_28580.2, SCUR1_28580.5, SCUR1_28580.6, SCUR1_28580.9, SCUR1_28580.7, SCUR1_28580.8, SCUR1_28580.10, SCUR1_28580.11, SCUR1_28580.12, SCUR1_28580.3, SCUR1_28580.4
OG0000329	SHAE2_16270.1	SCUR1_14510.1
OG0000332	SHAE2_70390.7, SHAE2_70390.6, SHAE2_70390.10, SHAE2_70390.9	SCUR1_65850.5
OG0000333	SHAE2_6730.9, SHAE2_6730.3, SHAE2_6730.1, SHAE2_6730.10, SHAE2_6730.4, SHAE2_6730.5, SHAE2_6730.6, SHAE2_6730.7, SHAE2_6730.11, SHAE2_6730.2, SHAE2_6730.8	SCUR1_6190.1
OG0000334	SHAE2_79030.4	SCUR1_73790.4, SCUR1_73790.1
OG0000335	SHAE2_2740.2, SHAE2_2740.5, SHAE2_2740.3, SHAE2_2740.1, SHAE2_2740.4, SHAE2_2740.6	SCUR1_2270.3, SCUR1_2270.5, SCUR1_2270.6, SCUR1_2270.4, SCUR1_2270.7, SCUR1_2270.1, SCUR1_2270.2
OG0000336	SHAE2_4970.1, SHAE2_4970.2	SCUR1_4430.1, SCUR1_4430.2
OG0000336	SHAE2_20090.1	SCUR1_17880.1
OG0000337	SHAE2_56840.1	SCUR1_53600.4, SCUR1_53600.2, SCUR1_53600.3, SCUR1_53600.1
OG0000337	SHAE2_38670.1	SCUR1_35940.1
OG0000339	SHAE2_32740.1, SHAE2_32740.2	SCUR1_30470.1
OG0000340	SHAE2_101420.1	SCUR1_94570.3
OG0000340	SHAE2_101420.2	SCUR1_94570.4
OG0000342	SHAE2_21090.1	SCUR1_18860.1
OG0000342	SHAE2_5270.1	SCUR1_4710.1
OG0000342	SHAE2_21340.1	SCUR1_19150.1
OG0000343	SHAE2_34920.2, SHAE2_34920.3, SHAE2_34920.5, SHAE2_34920.4	SCUR1_32720.1
OG0000343	SHAE2_34920.1	SCUR1_32710.1
OG0000343	SHAE2_34930.1	SCUR1_32730.1
OG0000344	SHAE2_6550.1, SHAE2_6550.2, SHAE2_6550.3, SHAE2_6550.4, SHAE2_6550.5	SCUR1_6020.7, SCUR1_6020.2, SCUR1_6020.3, SCUR1_6020.4, SCUR1_6020.5, SCUR1_6020.6, SCUR1_6020.1
OG0000346	SHAE2_30580.1	SCUR1_28390.1, SCUR1_28390.2
OG0000346	SHAE2_98170.1	SCUR1_97660.2, SCUR1_97660.3, SCUR1_97660.1
OG0000347	SHAE2_32700.1, SHAE2_32700.11, SHAE2_32700.12, SHAE2_32700.3, SHAE2_32700.5, SHAE2_32700.7, SHAE2_32700.8, SHAE2_32700.9, SHAE2_32700.10, SHAE2_32700.4, SHAE2_32700.6, SHAE2_32700.2	SCUR1_30420.6, SCUR1_30420.4, SCUR1_30420.5, SCUR1_30420.7, SCUR1_30420.1, SCUR1_30420.2, SCUR1_30420.3
OG0000348	SHAE2_6190.8, SHAE2_6190.7, SHAE2_6190.6, SHAE2_6190.5, SHAE2_6190.1, SHAE2_6190.2, SHAE2_6190.3, SHAE2_6190.4	SCUR1_5700.5, SCUR1_5700.6, SCUR1_5700.1, SCUR1_5700.3, SCUR1_5700.2, SCUR1_5700.4
OG0000349	SHAE2_1170.1	SCUR1_99280.1, SCUR1_99270.1, SCUR1_97760.1, SCUR1_97760.2, SCUR1_97770.1
OG0000350	SHAE2_41620.8, SHAE2_41620.1, SHAE2_41620.10	SCUR1_38840.1
OG0000351	SHAE2_11130.7	SCUR1_9180.1
OG0000353	SHAE2_75260.1, SHAE2_75260.10, SHAE2_75260.11, SHAE2_75260.6, SHAE2_75260.7	SCUR1_70100.1
OG0000354	SHAE2_3450.11, SHAE2_3450.4, SHAE2_3450.3, SHAE2_3450.2, SHAE2_3450.10, SHAE2_3450.9, SHAE2_3450.7, SHAE2_3450.8, SHAE2_3450.1, SHAE2_3450.6, SHAE2_3450.5	SCUR1_2890.1, SCUR1_2900.1
OG0000355	SHAE2_8380.14, SHAE2_8380.17, SHAE2_8380.7, SHAE2_8380.18, SHAE2_8350.1	SCUR1_7700.1
OG0000355	SHAE2_8380.9, SHAE2_8380.1, SHAE2_8380.13, SHAE2_8380.10, SHAE2_8380.11, SHAE2_8380.3, SHAE2_8380.8, SHAE2_8380.16, SHAE2_8380.6, SHAE2_8380.20, SHAE2_8380.19	SCUR1_7720.1
OG0000356	SHAE2_7290.1	SCUR1_6720.1
OG0000357	SHAE2_45560.4	SCUR1_42870.4
OG0000357	SHAE2_45560.1	SCUR1_42870.3
OG0000357	SHAE2_45560.2	SCUR1_42870.1
OG0000357	SHAE2_45560.5	SCUR1_42870.6
OG0000357	SHAE2_45560.3	SCUR1_42870.2
OG0000357	SHAE2_45560.3	SCUR1_42870.5
OG0000358	SHAE2_68970.1	SCUR1_64570.1
OG0000358	SHAE2_69000.1, SHAE2_68990.1, SHAE2_68990.2	SCUR1_64560.1
OG0000359	SHAE2_17890.14, SHAE2_17890.10, SHAE2_17890.5, SHAE2_17890.13, SHAE2_17890.9, SHAE2_17890.2, SHAE2_17890.4, SHAE2_17890.8, SHAE2_17890.6, SHAE2_17890.1, SHAE2_17890.7, SHAE2_17890.3, SHAE2_17890.12, SHAE2_17890.11	SCUR1_15920.1
OG0000360	SHAE2_23520.4, SHAE2_23520.11, SHAE2_23520.9, SHAE2_23520.2, SHAE2_23520.1, SHAE2_23520.3, SHAE2_23520.10, SHAE2_23520.7, SHAE2_23520.5	SCUR1_21360.7, SCUR1_21360.6, SCUR1_21360.5, SCUR1_21360.8, SCUR1_21360.1
OG0000361	SHAE2_52250.1, SHAE2_52250.2, SHAE2_52250.4	SCUR1_49030.1
OG0000362	SHAE2_66470.7, SHAE2_66470.5, SHAE2_66470.3, SHAE2_66470.1, SHAE2_66470.4, SHAE2_66470.6, SHAE2_66470.2	SCUR1_62200.1, SCUR1_62200.2
OG0000363	SHAE2_45880.1, SHAE2_45880.3, SHAE2_45880.4, SHAE2_45880.5, SHAE2_45880.8, SHAE2_45880.9, SHAE2_45880.2, SHAE2_45880.10, SHAE2_45880.6, SHAE2_45880.7	SCUR1_43210.4, SCUR1_43210.1, SCUR1_43210.3, SCUR1_43210.2, SCUR1_43210.5, SCUR1_43210.6
OG0000364	SHAE2_28360.4, SHAE2_28360.9	SCUR1_26040.21
OG0000364	SHAE2_28360.1, SHAE2_28360.2, SHAE2_28360.3, SHAE2_28360.5, SHAE2_28360.6, SHAE2_28360.7, SHAE2_28360.8	SCUR1_26040.17, SCUR1_26040.10, SCUR1_26040.13, SCUR1_26040.20, SCUR1_26040.3, SCUR1_26040.4, SCUR1_26040.5, SCUR1_26040.7, SCUR1_26040.6, SCUR1_26040.1, SCUR1_26040.19, SCUR1_26040.12, SCUR1_26040.16, SCUR1_26040.18, SCUR1_26040.11, SCUR1_26040.15, SCUR1_26040.2, SCUR1_26040.8, SCUR1_26040.14, SCUR1_26040.9
OG0000365	SHAE2_62480.1	SCUR1_58490.1
OG0000365	SHAE2_62490.1	SCUR1_58500.4, SCUR1_58500.2, SCUR1_58500.1, SCUR1_58500.3, SCUR1_58500.5
OG0000366	SHAE2_52640.4, SHAE2_52640.5, SHAE2_52640.6, SHAE2_52640.3, SHAE2_52640.7, SHAE2_52640.1, SHAE2_52640.9, SHAE2_52640.8, SHAE2_52640.2	SCUR1_49470.1
OG0000367	SHAE2_34130.2, SHAE2_34130.5, SHAE2_34130.4, SHAE2_34130.6, SHAE2_34130.7, SHAE2_34130.8, SHAE2_34130.9, SHAE2_34130.3, SHAE2_34130.1	SCUR1_31890.1
OG0000368	SHAE2_21270.1, SHAE2_21270.2, SHAE2_21270.3, SHAE2_21270.4, SHAE2_21270.7, SHAE2_21270.5, SHAE2_21270.6	SCUR1_19080.1, SCUR1_19080.3, SCUR1_19080.6, SCUR1_19080.8, SCUR1_19080.4, SCUR1_19080.2, SCUR1_19080.7, SCUR1_19080.5
OG0000369	SHAE2_4220.3	SCUR1_3640.1
OG0000370	SHAE2_42660.1, SHAE2_42660.2	SCUR1_39920.6, SCUR1_39920.2, SCUR1_39920.3, SCUR1_39920.4, SCUR1_39920.5
OG0000370	SHAE2_42660.3, SHAE2_42660.4	SCUR1_39920.1
OG0000370	SHAE2_42660.5, SHAE2_42660.8, SHAE2_42660.9, SHAE2_42660.6	SCUR1_39920.7
OG0000371	SHAE2_41510.7, SHAE2_41510.9, SHAE2_41510.8	SCUR1_38740.6, SCUR1_38740.7, SCUR1_38740.2, SCUR1_38740.4, SCUR1_38740.3, SCUR1_38740.5, SCUR1_38740.8, SCUR1_38740.1
OG0000372	SHAE2_11690.1	SCUR1_9730.1
OG0000372	SHAE2_11670.12, SHAE2_11670.2, SHAE2_11670.6, SHAE2_11670.7, SHAE2_11670.8, SHAE2_11670.10, SHAE2_11670.9, SHAE2_11670.3, SHAE2_11670.4, SHAE2_11670.5, SHAE2_11670.11, SHAE2_11670.1, SHAE2_11670.13	SCUR1_9710.1
OG0000373	SHAE2_14620.2	SCUR1_12930.1
OG0000374	SHAE2_44410.5, SHAE2_44410.3, SHAE2_44410.7, SHAE2_44410.10, SHAE2_44410.4, SHAE2_44410.8, SHAE2_44410.9, SHAE2_44410.1, SHAE2_44410.2, SHAE2_44410.6	SCUR1_41680.3, SCUR1_41680.1, SCUR1_41680.4, SCUR1_41680.2, SCUR1_41680.5
OG0000375	SHAE2_5030.14, SHAE2_5030.9	SCUR1_4490.11
OG0000375	SHAE2_5030.12	SCUR1_4490.9
OG0000375	SHAE2_5030.5	SCUR1_4490.4, SCUR1_4490.3
OG0000376	SHAE2_64730.7, SHAE2_64730.8, SHAE2_64730.1, SHAE2_64730.2, SHAE2_64730.6, SHAE2_64730.4, SHAE2_64730.3, SHAE2_64730.5	SCUR1_60500.3, SCUR1_60500.1, SCUR1_60500.2
OG0000377	SHAE2_55090.1, SHAE2_55090.3, SHAE2_55090.2, SHAE2_55090.4, SHAE2_55090.6, SHAE2_55090.5, SHAE2_55090.7	SCUR1_51780.2, SCUR1_51780.1, SCUR1_51780.5, SCUR1_51780.3, SCUR1_51780.4
OG0000378	SHAE2_26770.6, SHAE2_26770.1, SHAE2_26770.2, SHAE2_26770.4, SHAE2_26770.3, SHAE2_26770.5	SCUR1_24470.1, SCUR1_24470.3, SCUR1_24470.2
OG0000380	SHAE2_23760.1	SCUR1_21630.1
OG0000380	SHAE2_23750.1	SCUR1_21620.1
OG0000380	SHAE2_23730.1	SCUR1_21600.1
OG0000380	SHAE2_23720.1, SHAE2_23740.1	SCUR1_21590.1, SCUR1_21610.1
OG0000381	SHAE2_56380.1, SHAE2_56380.2, SHAE2_56380.3, SHAE2_56380.5, SHAE2_56380.6	SCUR1_53120.1
OG0000381	SHAE2_56400.1	SCUR1_100850.1, SCUR1_53130.1
OG0000382	SHAE2_95150.1	SCUR1_88420.1
OG0000383	SHAE2_41040.4, SHAE2_41040.6, SHAE2_41040.2, SHAE2_41040.5, SHAE2_41040.3, SHAE2_41040.1, SHAE2_41040.7	SCUR1_38310.1, SCUR1_38310.3, SCUR1_38310.7, SCUR1_38310.6, SCUR1_38310.10, SCUR1_38310.13, SCUR1_38310.11, SCUR1_38310.9, SCUR1_38310.8, SCUR1_38310.12, SCUR1_38310.2, SCUR1_38310.4, SCUR1_38310.5
OG0000384	SHAE2_34220.1	SCUR1_32020.1
OG0000385	SHAE2_66390.1	SCUR1_62070.1
OG0000385	SHAE2_66400.1, SHAE2_66420.1	SCUR1_62160.1, SCUR1_62170.1
OG0000386	SHAE2_22220.1, SHAE2_22220.2, SHAE2_22220.3, SHAE2_22220.4, SHAE2_22220.5, SHAE2_22220.6, SHAE2_22220.7	SCUR1_20100.1, SCUR1_20100.10, SCUR1_20100.11, SCUR1_20100.12, SCUR1_20100.2, SCUR1_20100.3, SCUR1_20100.4, SCUR1_20100.5, SCUR1_20100.6, SCUR1_20100.7, SCUR1_20100.8, SCUR1_20100.9
OG0000387	SHAE2_3360.7, SHAE2_3360.1, SHAE2_3360.4, SHAE2_3360.2, SHAE2_3360.5, SHAE2_3360.6, SHAE2_3360.3, SHAE2_3360.8	SCUR1_2790.1
OG0000388	SHAE2_95530.1, SHAE2_95530.2, SHAE2_95530.3, SHAE2_95530.4	SCUR1_88850.1, SCUR1_88850.5, SCUR1_88850.2, SCUR1_88850.3, SCUR1_88850.4
OG0000389	SHAE2_78000.1	SCUR1_72750.10, SCUR1_72750.8, SCUR1_72750.13, SCUR1_72750.12, SCUR1_72750.2, SCUR1_72750.7, SCUR1_72750.11, SCUR1_72750.14, SCUR1_72750.4, SCUR1_72750.1, SCUR1_72750.3, SCUR1_72750.17, SCUR1_72750.15, SCUR1_72750.16, SCUR1_72750.9, SCUR1_72750.6, SCUR1_72750.5
OG0000390	SHAE2_87840.5, SHAE2_87840.2, SHAE2_87840.3, SHAE2_87840.4, SHAE2_87840.1, SHAE2_87840.6, SHAE2_87840.7, SHAE2_87840.8	SCUR1_82340.7, SCUR1_82340.1, SCUR1_82340.2, SCUR1_82340.3, SCUR1_82340.4, SCUR1_82340.5, SCUR1_82340.6
