Orthogroup	schistosoma_curassoni	schistosoma_intercalatum
OG0000521	SCUR1_70920.2, SCUR1_70920.1, SCUR1_70920.4, SCUR1_70920.3	SINT1_70870.2, SINT1_70870.1, SINT1_70870.3, SINT1_70870.4, SINT1_70870.5
OG0000522	SCUR1_98980.1, SCUR1_91180.1, SCUR1_91200.1	SINT1_94910.1, SINT1_94910.2
OG0000523	SCUR1_76420.1	SINT1_75840.1, SINT1_75840.3, SINT1_75840.4, SINT1_75840.5, SINT1_75840.6, SINT1_75840.2, SINT1_75840.7, SINT1_75840.10, SINT1_75840.9, SINT1_75840.8
OG0000524	SCUR1_12560.1, SCUR1_12560.5, SCUR1_12560.3, SCUR1_12560.4, SCUR1_12560.2	SINT1_12560.1, SINT1_12560.2, SINT1_12560.4, SINT1_12560.3, SINT1_12560.5
OG0000525	SCUR1_50590.5	SINT1_50460.1, SINT1_50460.5
OG0000525	SCUR1_50590.6, SCUR1_50590.4, SCUR1_50590.3, SCUR1_50590.1, SCUR1_50590.2	SINT1_50460.3, SINT1_50460.4, SINT1_50460.2, SINT1_50460.6
OG0000526	SCUR1_16920.7, SCUR1_16920.1, SCUR1_16920.2, SCUR1_16920.3, SCUR1_16920.4, SCUR1_16920.6, SCUR1_16920.8, SCUR1_16920.5	SINT1_17000.3, SINT1_17000.1, SINT1_17000.2, SINT1_17000.5, SINT1_17000.6, SINT1_17000.4
OG0000527	SCUR1_19070.1	SINT1_19220.1, SINT1_19220.3, SINT1_19220.2
OG0000528	SCUR1_32210.1, SCUR1_32210.2, SCUR1_32210.3	SINT1_32160.4, SINT1_32160.1, SINT1_32160.3, SINT1_32160.6, SINT1_32160.2, SINT1_32160.5
OG0000529	SCUR1_15730.1	SINT1_15790.1
OG0000529	SCUR1_25430.1	SINT1_25580.1, SINT1_25580.2
OG0000530	SCUR1_91800.2, SCUR1_91800.1	SINT1_91480.1
OG0000530	SCUR1_94420.1	SINT1_94180.1
OG0000530	SCUR1_94430.1	SINT1_94190.1
OG0000531	SCUR1_77150.1, SCUR1_77150.2, SCUR1_77150.3, SCUR1_77150.4, SCUR1_77150.6, SCUR1_77150.7, SCUR1_77150.8, SCUR1_77150.5, SCUR1_77150.9	SINT1_76590.4, SINT1_76590.7, SINT1_76590.3, SINT1_76590.2, SINT1_76590.6, SINT1_76590.1, SINT1_76590.5, SINT1_76590.8
OG0000532	SCUR1_4960.4, SCUR1_4960.6	SINT1_4940.2, SINT1_4940.3
OG0000533	SCUR1_19240.1, SCUR1_19240.2, SCUR1_19240.3	SINT1_19390.3, SINT1_19390.2, SINT1_19390.1, SINT1_19390.4
OG0000534	SCUR1_70170.1	SINT1_70120.3, SINT1_70120.2, SINT1_70120.1, SINT1_70120.4
OG0000535	SCUR1_58740.1	SINT1_58460.1
OG0000535	SCUR1_58740.10	SINT1_58490.1
OG0000536	SCUR1_97210.2, SCUR1_97210.1	SINT1_65460.1
OG0000537	SCUR1_53460.1	SINT1_53390.3, SINT1_53390.5, SINT1_53390.4, SINT1_53390.1, SINT1_53390.2, SINT1_53390.6
OG0000538	SCUR1_91100.1, SCUR1_91110.1, SCUR1_84610.1, SCUR1_91110.2, SCUR1_91120.1	SINT1_90900.1
OG0000539	SCUR1_46870.3, SCUR1_46870.7, SCUR1_46870.5, SCUR1_46870.2, SCUR1_46870.1, SCUR1_46870.4, SCUR1_46870.6, SCUR1_46870.8	SINT1_46700.1, SINT1_46700.2, SINT1_46700.3
OG0000540	SCUR1_5720.1, SCUR1_5720.2, SCUR1_5720.3, SCUR1_5720.5, SCUR1_5720.6, SCUR1_5720.7, SCUR1_5720.8, SCUR1_5720.9, SCUR1_5720.4	SINT1_5710.1, SINT1_5710.2, SINT1_5710.3, SINT1_5710.4
OG0000541	SCUR1_28910.1	SINT1_28900.2, SINT1_28900.1, SINT1_28900.4, SINT1_28900.3
OG0000542	SCUR1_85890.2, SCUR1_85890.3, SCUR1_85890.4	SINT1_85720.4, SINT1_85720.5
OG0000543	SCUR1_15120.1	SINT1_15140.1, SINT1_15140.2, SINT1_15140.3, SINT1_15140.4, SINT1_15140.6, SINT1_15140.5
OG0000544	SCUR1_79250.1, SCUR1_79250.2, SCUR1_79250.3, SCUR1_79250.4, SCUR1_79250.5, SCUR1_79250.6	SINT1_78690.1
OG0000545	SCUR1_46650.1	SINT1_46490.1
OG0000545	SCUR1_69030.1	SINT1_68990.1, SINT1_68990.2, SINT1_68990.3, SINT1_68990.5, SINT1_68990.4
OG0000546	SCUR1_29570.6	SINT1_29640.5
OG0000546	SCUR1_29570.4	SINT1_29640.2
OG0000546	SCUR1_29570.1	SINT1_29640.3
OG0000546	SCUR1_29570.5, SCUR1_29570.7, SCUR1_29570.2, SCUR1_29570.3	SINT1_29640.4
OG0000547	SCUR1_87400.6, SCUR1_87400.1, SCUR1_87400.2, SCUR1_87400.7, SCUR1_87400.5, SCUR1_87400.3, SCUR1_87400.4	SINT1_87170.1, SINT1_87170.2, SINT1_87170.3
OG0000548	SCUR1_29670.1, SCUR1_29670.2	SINT1_29740.4, SINT1_29740.5, SINT1_29740.3, SINT1_29740.6, SINT1_29740.7, SINT1_29740.1, SINT1_29740.2
OG0000549	SCUR1_10970.5	SINT1_11110.5
OG0000549	SCUR1_10970.1	SINT1_11110.4
OG0000550	SCUR1_18680.1	SINT1_18840.1
OG0000550	SCUR1_18670.1	SINT1_18830.1
OG0000552	SCUR1_5540.2	SINT1_5470.3, SINT1_5470.2
OG0000552	SCUR1_5540.1	SINT1_5470.1
OG0000552	SCUR1_5540.3	SINT1_5470.1
OG0000552	SCUR1_85080.1	SINT1_84830.1
OG0000553	SCUR1_93220.1	SINT1_92960.2, SINT1_92960.4, SINT1_92960.5, SINT1_92960.3, SINT1_92960.1
OG0000554	SCUR1_11100.3, SCUR1_11100.1, SCUR1_11100.2, SCUR1_11100.4	SINT1_11240.1
OG0000555	SCUR1_43710.3, SCUR1_43710.1, SCUR1_43710.4, SCUR1_43710.2	SINT1_43550.1, SINT1_43550.2
OG0000556	SCUR1_65620.1	SINT1_65350.1, SINT1_65350.3, SINT1_65350.2
OG0000557	SCUR1_37930.2, SCUR1_37930.3, SCUR1_37930.6, SCUR1_37930.1, SCUR1_37930.5, SCUR1_37930.7, SCUR1_37930.4	SINT1_37740.2, SINT1_37740.7, SINT1_37740.1, SINT1_37740.5, SINT1_37740.6, SINT1_37740.4, SINT1_37740.3
OG0000558	SCUR1_17760.1	SINT1_17920.1
OG0000559	SCUR1_81090.1, SCUR1_81090.2	SINT1_79590.1, SINT1_79590.3, SINT1_79590.2
OG0000560	SCUR1_94860.1, SCUR1_94860.2, SCUR1_94860.3, SCUR1_94860.4, SCUR1_94860.5, SCUR1_94860.6, SCUR1_94860.8, SCUR1_94860.7, SCUR1_94860.9	SINT1_94680.1, SINT1_94680.2, SINT1_94680.4, SINT1_94680.3
OG0000561	SCUR1_93670.1	SINT1_93360.1
OG0000561	SCUR1_93680.1	SINT1_93370.1, SINT1_93370.2
OG0000562	SCUR1_83680.1	SINT1_83240.1, SINT1_83240.3, SINT1_83240.4, SINT1_83240.2
OG0000562	SCUR1_100190.1, SCUR1_100190.2, SCUR1_100190.3, SCUR1_100190.4	SINT1_83320.3
OG0000563	SCUR1_21150.1, SCUR1_21150.2, SCUR1_21150.6	SINT1_20170.5
OG0000564	SCUR1_42150.2, SCUR1_42150.1, SCUR1_42150.3	SINT1_41960.1, SINT1_41960.2, SINT1_41960.3
OG0000565	SCUR1_3420.1, SCUR1_3420.4	SINT1_3380.1
OG0000565	SCUR1_3420.5	SINT1_3380.3
OG0000565	SCUR1_3420.2	SINT1_3380.2
OG0000566	SCUR1_81380.3, SCUR1_81380.4, SCUR1_81380.1, SCUR1_81380.2	SINT1_80910.4, SINT1_80910.1, SINT1_80910.5, SINT1_80910.2, SINT1_80910.3
OG0000567	SCUR1_65530.1, SCUR1_65530.3, SCUR1_65530.4, SCUR1_65530.2	SINT1_65260.1
OG0000568	SCUR1_56880.1	SINT1_56550.1
OG0000568	SCUR1_66650.1	SINT1_66460.1
OG0000568	SCUR1_35090.1	SINT1_34990.1
OG0000569	SCUR1_9560.1	SINT1_9740.1
OG0000570	SCUR1_13100.1	SINT1_13170.8, SINT1_13170.9, SINT1_13170.7, SINT1_13170.2, SINT1_13170.3, SINT1_13170.6, SINT1_13170.4, SINT1_13170.5, SINT1_13170.1
OG0000571	SCUR1_8830.2, SCUR1_8830.3, SCUR1_8830.4, SCUR1_8830.5	SINT1_9030.1
OG0000572	SCUR1_59220.6, SCUR1_59220.3, SCUR1_59220.2, SCUR1_59220.1, SCUR1_59220.4, SCUR1_59220.5, SCUR1_59220.7	SINT1_59080.1
OG0000574	SCUR1_2850.1, SCUR1_2850.5, SCUR1_2850.3, SCUR1_2850.2, SCUR1_2850.6, SCUR1_2850.4	SINT1_2810.1
OG0000574	SCUR1_2880.1	SINT1_2850.1
OG0000575	SCUR1_93110.2, SCUR1_93110.3, SCUR1_93110.1, SCUR1_97470.2, SCUR1_97470.3, SCUR1_97470.1, SCUR1_97470.4, SCUR1_97470.5	SINT1_92850.3, SINT1_92850.5, SINT1_92850.4, SINT1_92850.6, SINT1_92850.1, SINT1_92850.2
OG0000576	SCUR1_44270.7, SCUR1_44270.2, SCUR1_44270.3, SCUR1_44270.1, SCUR1_44270.8, SCUR1_44270.4, SCUR1_44270.5	SINT1_44160.3, SINT1_44160.5, SINT1_44160.7, SINT1_44160.2, SINT1_44160.1
OG0000576	SCUR1_44270.6	SINT1_44160.8, SINT1_44160.4, SINT1_44160.6
OG0000577	SCUR1_53070.1	SINT1_53010.4, SINT1_53010.7, SINT1_53010.3, SINT1_53010.2, SINT1_53010.1, SINT1_53010.5, SINT1_53010.6
OG0000579	SCUR1_74870.1	SINT1_74440.1
OG0000579	SCUR1_74900.1, SCUR1_74920.1	SINT1_74460.1
OG0000579	SCUR1_74880.1, SCUR1_74890.1	SINT1_74450.1
OG0000579	SCUR1_74940.1	SINT1_74480.1
OG0000580	SCUR1_39390.2, SCUR1_39390.1, SCUR1_39390.3, SCUR1_39390.4	SINT1_39230.1
OG0000580	SCUR1_32440.1	SINT1_32400.1, SINT1_32400.2
OG0000581	SCUR1_60990.1	SINT1_60760.6
OG0000582	SCUR1_82190.1	SINT1_81700.1
OG0000582	SCUR1_82200.1	SINT1_81710.1
OG0000582	SCUR1_82210.1	SINT1_81720.1
OG0000583	SCUR1_60530.1, SCUR1_60530.2	SINT1_60390.1, SINT1_60390.3, SINT1_60390.4, SINT1_60390.2
OG0000584	SCUR1_28550.1	SINT1_28560.3, SINT1_28560.4, SINT1_28560.5, SINT1_28560.1, SINT1_28560.2, SINT1_28560.6, SINT1_28560.7, SINT1_28560.11, SINT1_28560.10, SINT1_28560.8, SINT1_28560.9
OG0000585	SCUR1_5900.1	SINT1_5900.1
OG0000586	SCUR1_31040.6, SCUR1_31040.1, SCUR1_31040.8, SCUR1_31040.11, SCUR1_31040.12, SCUR1_31040.5, SCUR1_31040.7, SCUR1_31040.9, SCUR1_31040.2, SCUR1_31040.3, SCUR1_31040.4, SCUR1_31040.10	SINT1_31110.1
OG0000587	SCUR1_64760.1	SINT1_64510.1
OG0000587	SCUR1_9270.1	SINT1_9440.1
OG0000588	SCUR1_22490.4, SCUR1_22490.6	SINT1_96310.1, SINT1_96330.1, SINT1_96280.1, SINT1_96320.1
OG0000588	SCUR1_22490.5, SCUR1_22490.7, SCUR1_22490.1, SCUR1_22490.2, SCUR1_22490.9, SCUR1_22490.8, SCUR1_22490.3	SINT1_22680.1
OG0000589	SCUR1_54910.1	SINT1_54780.1
OG0000590	SCUR1_97370.1	SINT1_29290.1
OG0000590	SCUR1_97370.2	SINT1_29290.1
OG0000590	SCUR1_40720.6	SINT1_40570.1
OG0000591	SCUR1_3430.1	SINT1_3390.1, SINT1_3390.3, SINT1_3390.5, SINT1_3390.2, SINT1_3390.4
OG0000592	SCUR1_30850.1	SINT1_30950.1, SINT1_30950.2, SINT1_30950.4, SINT1_30950.6, SINT1_30950.7, SINT1_30950.8, SINT1_30950.3, SINT1_30950.5
OG0000593	SCUR1_31810.1	SINT1_31860.1
OG0000594	SCUR1_49370.2, SCUR1_49370.3, SCUR1_49370.5, SCUR1_49370.6, SCUR1_49370.7, SCUR1_49370.4, SCUR1_49370.1	SINT1_49270.1
OG0000595	SCUR1_47820.8, SCUR1_47820.3, SCUR1_47820.7, SCUR1_47820.5, SCUR1_47820.6, SCUR1_47820.9, SCUR1_47820.2, SCUR1_47820.1, SCUR1_47820.4	SINT1_47700.1
OG0000597	SCUR1_95420.1	SINT1_96390.1
OG0000597	SCUR1_57200.1, SCUR1_57200.6, SCUR1_57200.3, SCUR1_57200.4, SCUR1_57200.2, SCUR1_57200.5	SINT1_56900.1, SINT1_56900.2
OG0000597	SCUR1_57370.1	SINT1_95780.1, SINT1_57090.2, SINT1_57090.1, SINT1_56890.1
OG0000598	SCUR1_12940.6, SCUR1_12940.3, SCUR1_12940.4, SCUR1_12940.5, SCUR1_12940.1, SCUR1_12940.2	SINT1_12960.1
OG0000599	SCUR1_62520.7, SCUR1_62520.2, SCUR1_62520.6, SCUR1_62520.1, SCUR1_62520.4, SCUR1_62520.3, SCUR1_62520.5	SINT1_62340.1, SINT1_62340.2
OG0000600	SCUR1_100020.1, SCUR1_100010.1	SINT1_67100.1
OG0000600	SCUR1_100330.2, SCUR1_100330.1, SCUR1_100330.3, SCUR1_100330.4	SINT1_67110.1
OG0000601	SCUR1_93570.1	SINT1_93270.1, SINT1_93270.2, SINT1_93280.1
OG0000601	SCUR1_41110.1	SINT1_40980.1, SINT1_40980.2
OG0000602	SCUR1_15150.6, SCUR1_15150.1, SCUR1_15150.2, SCUR1_15150.4, SCUR1_15150.5, SCUR1_15150.3	SINT1_15170.1, SINT1_15170.2
OG0000603	SCUR1_50400.1, SCUR1_50400.2, SCUR1_50400.3, SCUR1_50400.4	SINT1_50300.4, SINT1_50300.5, SINT1_50300.2, SINT1_50300.1, SINT1_50300.3
OG0000604	SCUR1_39560.1	SINT1_39390.5, SINT1_39390.3, SINT1_39390.1, SINT1_39390.2, SINT1_39390.4
OG0000605	SCUR1_27570.1	SINT1_27640.1
OG0000605	SCUR1_27530.1	SINT1_27600.1
OG0000606	SCUR1_5340.1	SINT1_5290.1
OG0000607	SCUR1_31100.1	SINT1_31160.4, SINT1_31160.1, SINT1_31160.5, SINT1_31160.3, SINT1_31160.2
OG0000608	SCUR1_50770.3, SCUR1_50770.4, SCUR1_50770.1, SCUR1_50770.2	SINT1_50710.1, SINT1_50710.2, SINT1_50710.3, SINT1_50710.4, SINT1_50710.5
OG0000609	SCUR1_27440.2, SCUR1_27440.3, SCUR1_27440.5, SCUR1_27440.4, SCUR1_27440.1, SCUR1_27440.6	SINT1_27520.3, SINT1_27520.1, SINT1_27520.2
OG0000610	SCUR1_28320.1	SINT1_28330.1
OG0000610	SCUR1_22730.1, SCUR1_22730.2	SINT1_22860.1
OG0000611	SCUR1_43320.2, SCUR1_43320.1	SINT1_43150.1
OG0000611	SCUR1_43340.1	SINT1_43170.1
OG0000611	SCUR1_43330.1	SINT1_43160.1
OG0000612	SCUR1_8780.2, SCUR1_8780.1, SCUR1_8780.3	SINT1_8980.4, SINT1_8980.5, SINT1_8980.6, SINT1_8980.9, SINT1_8980.1, SINT1_8980.2, SINT1_8980.3, SINT1_8980.8, SINT1_8980.7
OG0000613	SCUR1_37250.2, SCUR1_37250.4, SCUR1_37250.6, SCUR1_37250.3, SCUR1_37250.5, SCUR1_37250.7, SCUR1_37250.1	SINT1_37050.2, SINT1_37050.1, SINT1_37050.3, SINT1_37050.4, SINT1_37050.5, SINT1_37050.6, SINT1_37050.7, SINT1_37050.8, SINT1_37050.9
OG0000614	SCUR1_44430.3, SCUR1_44430.4, SCUR1_44430.2	SINT1_44350.1
OG0000614	SCUR1_44430.1	SINT1_44350.2
OG0000615	SCUR1_13270.1	SINT1_13330.4, SINT1_13330.5, SINT1_13330.3
OG0000615	SCUR1_13270.5, SCUR1_13270.6, SCUR1_13270.3, SCUR1_13270.2, SCUR1_13270.4	SINT1_13330.1, SINT1_13330.2
OG0000617	SCUR1_80350.1	SINT1_80500.1
OG0000618	SCUR1_36610.4, SCUR1_36610.5, SCUR1_36610.1, SCUR1_36610.6, SCUR1_36610.7, SCUR1_36610.2, SCUR1_36610.3	SINT1_36450.1
OG0000619	SCUR1_600.1	SINT1_610.1, SINT1_610.2
OG0000620	SCUR1_15360.1	SINT1_15400.1
OG0000620	SCUR1_45740.1	SINT1_45690.1
OG0000621	SCUR1_30010.5	SINT1_30120.5
OG0000621	SCUR1_30010.3, SCUR1_30010.4	SINT1_30120.1, SINT1_30120.3, SINT1_30120.2, SINT1_30120.4
OG0000622	SCUR1_72600.1	SINT1_72460.10, SINT1_72460.9, SINT1_72460.1, SINT1_72460.3, SINT1_72460.7, SINT1_72460.5, SINT1_72460.4, SINT1_72460.2, SINT1_72460.6, SINT1_72460.8
OG0000623	SCUR1_13080.1, SCUR1_13090.10, SCUR1_13090.5, SCUR1_13090.3, SCUR1_13090.4, SCUR1_13090.2, SCUR1_13090.8, SCUR1_13090.1, SCUR1_13090.11, SCUR1_13090.6, SCUR1_13090.7, SCUR1_13090.9	SINT1_13130.6, SINT1_13130.1, SINT1_13130.2, SINT1_13130.5, SINT1_13130.3, SINT1_13130.4
OG0000624	SCUR1_29060.1, SCUR1_29060.2, SCUR1_29060.3	SINT1_29070.1, SINT1_29070.3, SINT1_29070.2, SINT1_29070.4, SINT1_29070.5, SINT1_29070.6, SINT1_29070.7, SINT1_29070.8
OG0000625	SCUR1_37660.2, SCUR1_37660.1	SINT1_37430.1
OG0000626	SCUR1_54770.1	SINT1_54610.2, SINT1_54610.3
OG0000627	SCUR1_11970.1, SCUR1_11970.4	SINT1_11970.3
OG0000628	SCUR1_100750.1, SCUR1_61060.4, SCUR1_61060.1, SCUR1_61060.2, SCUR1_61060.3, SCUR1_100750.2, SCUR1_100750.3	SINT1_60880.1, SINT1_60880.2
OG0000629	SCUR1_38980.1	SINT1_38880.1
OG0000630	SCUR1_58790.1	SINT1_58530.1
OG0000631	SCUR1_65660.1	SINT1_65390.1
OG0000631	SCUR1_100730.1, SCUR1_61080.1	SINT1_60910.1
OG0000632	SCUR1_13390.1	SINT1_13450.1
OG0000633	SCUR1_52530.1, SCUR1_52530.2	SINT1_52510.1, SINT1_52510.2
OG0000634	SCUR1_36040.1	SINT1_11210.1, SINT1_85830.1, SINT1_9490.1, SINT1_7140.1, SINT1_18690.1, SINT1_54010.1, SINT1_88970.1, SINT1_40260.1
OG0000636	SCUR1_93290.3, SCUR1_93290.1, SCUR1_93290.2, SCUR1_93290.4, SCUR1_93290.6, SCUR1_93290.5, SCUR1_93290.7	SINT1_93030.3, SINT1_93030.1, SINT1_93030.2
OG0000637	SCUR1_97250.2, SCUR1_97250.1, SCUR1_97250.3	SINT1_49540.1, SINT1_49540.2
OG0000638	SCUR1_64010.1	SINT1_63740.1, SINT1_63740.7, SINT1_63740.3, SINT1_63740.5, SINT1_63740.6, SINT1_63740.2, SINT1_63740.4
OG0000639	SCUR1_61730.3, SCUR1_61730.1, SCUR1_61730.2	SINT1_61530.3, SINT1_61530.1, SINT1_61530.2
OG0000640	SCUR1_83740.1, SCUR1_83780.1	SINT1_83270.2, SINT1_83270.3, SINT1_83270.4, SINT1_83270.5, SINT1_83270.1
OG0000640	SCUR1_95430.1	SINT1_83360.1
OG0000641	SCUR1_6620.1	SINT1_6660.1
OG0000641	SCUR1_4510.1	SINT1_4480.1
OG0000642	SCUR1_61800.10, SCUR1_61800.2, SCUR1_61800.4, SCUR1_61800.3	SINT1_61590.3, SINT1_61590.7, SINT1_61590.8
OG0000642	SCUR1_61800.7, SCUR1_61800.8, SCUR1_61800.9, SCUR1_61800.5, SCUR1_61800.1, SCUR1_61800.6	SINT1_61590.4, SINT1_61590.5, SINT1_61590.2, SINT1_61590.6
OG0000643	SCUR1_52030.1	SINT1_51960.1
OG0000643	SCUR1_52010.1, SCUR1_52010.2	SINT1_51950.1, SINT1_51950.2, SINT1_51950.4, SINT1_51950.3
OG0000644	SCUR1_98210.1, SCUR1_94200.3, SCUR1_94200.4, SCUR1_94200.1, SCUR1_94200.2	SINT1_93970.5, SINT1_93970.1, SINT1_93970.2, SINT1_93970.4, SINT1_93970.3
OG0000645	SCUR1_10390.1	SINT1_10530.1, SINT1_10530.4, SINT1_10530.3, SINT1_10530.2
OG0000646	SCUR1_8820.1	SINT1_9020.1
OG0000647	SCUR1_61960.4	SINT1_61770.1, SINT1_61770.2
OG0000647	SCUR1_61960.6	SINT1_61770.3, SINT1_61770.4
OG0000648	SCUR1_99180.3, SCUR1_99180.8, SCUR1_99180.9, SCUR1_99180.1, SCUR1_99180.4, SCUR1_99180.5, SCUR1_99180.6, SCUR1_99180.7, SCUR1_90710.1, SCUR1_99180.2	SINT1_90570.2, SINT1_90570.4, SINT1_90570.1, SINT1_90570.3, SINT1_90580.1
OG0000649	SCUR1_97590.1	SINT1_59570.1, SINT1_59570.2, SINT1_59570.3
OG0000650	SCUR1_77070.1, SCUR1_77070.4, SCUR1_77070.2, SCUR1_77070.3	SINT1_76520.4, SINT1_76520.1, SINT1_76520.2, SINT1_76520.3
OG0000651	SCUR1_41940.5, SCUR1_41940.2, SCUR1_41940.9, SCUR1_41940.1, SCUR1_41940.7, SCUR1_41940.8, SCUR1_41940.10, SCUR1_41940.6, SCUR1_41940.11, SCUR1_41940.3, SCUR1_41940.4	SINT1_41780.1, SINT1_41780.3, SINT1_41780.2, SINT1_41780.4, SINT1_41780.5
OG0000652	SCUR1_40340.1	SINT1_40190.3, SINT1_40190.4, SINT1_40190.5, SINT1_40190.1, SINT1_40190.2
OG0000653	SCUR1_40890.1, SCUR1_40910.1	SINT1_40760.1, SINT1_40760.3, SINT1_40760.4, SINT1_40760.5, SINT1_40760.2
OG0000654	SCUR1_58160.3, SCUR1_58160.4	SINT1_57870.6, SINT1_57870.7, SINT1_57870.5, SINT1_57870.3, SINT1_57870.4
OG0000654	SCUR1_58160.1, SCUR1_58160.2	SINT1_57870.9, SINT1_57870.8, SINT1_57870.2, SINT1_57870.1
OG0000655	SCUR1_80400.1, SCUR1_80400.2, SCUR1_80400.3, SCUR1_80400.4, SCUR1_80400.6, SCUR1_80400.8, SCUR1_80400.9, SCUR1_80400.10, SCUR1_80400.11, SCUR1_80400.5, SCUR1_80400.7	SINT1_80450.1, SINT1_80450.2, SINT1_80450.3, SINT1_80450.4, SINT1_80450.5, SINT1_80450.6, SINT1_80450.7
OG0000656	SCUR1_74780.1	SINT1_74340.4
OG0000657	SCUR1_88920.1, SCUR1_88920.2, SCUR1_88920.3	SINT1_88650.1, SINT1_88650.3, SINT1_88650.4, SINT1_88650.5, SINT1_88650.2
OG0000658	SCUR1_55620.1	SINT1_94510.1
OG0000658	SCUR1_64610.1, SCUR1_71320.1, SCUR1_2840.1	SINT1_1140.1
OG0000659	SCUR1_41920.1, SCUR1_41920.3, SCUR1_41920.4	SINT1_41750.1, SINT1_41750.5, SINT1_41750.2, SINT1_41750.3, SINT1_41750.4
OG0000662	SCUR1_52240.13, SCUR1_52240.4, SCUR1_52240.5, SCUR1_52240.6, SCUR1_52240.7, SCUR1_52240.8	SINT1_52210.9
OG0000662	SCUR1_52240.1, SCUR1_52240.10, SCUR1_52240.9, SCUR1_52240.11, SCUR1_52240.12, SCUR1_52240.3, SCUR1_52240.2	SINT1_52210.5, SINT1_52210.7, SINT1_52210.6, SINT1_52210.1, SINT1_52210.2, SINT1_52210.4, SINT1_52210.3, SINT1_52210.8
OG0000663	SCUR1_38280.1	SINT1_38150.2, SINT1_38150.1, SINT1_38150.4, SINT1_38150.3, SINT1_38150.5, SINT1_38150.6, SINT1_38150.7
OG0000664	SCUR1_12470.4, SCUR1_12470.2, SCUR1_12470.5, SCUR1_12470.1, SCUR1_12470.3	SINT1_12460.2, SINT1_12460.1, SINT1_12460.3, SINT1_12460.4
OG0000665	SCUR1_72230.1, SCUR1_72230.2	SINT1_72110.1, SINT1_72110.2, SINT1_72110.4, SINT1_72110.5, SINT1_72110.6, SINT1_72110.8, SINT1_72110.3, SINT1_72110.10, SINT1_72110.9
OG0000666	SCUR1_61720.1, SCUR1_61720.2, SCUR1_61720.3	SINT1_61520.4
OG0000667	SCUR1_6180.2, SCUR1_6180.3, SCUR1_6180.4	SINT1_6200.1
OG0000668	SCUR1_52420.1	SINT1_52430.4, SINT1_52430.2, SINT1_52430.3, SINT1_52430.1
OG0000669	SCUR1_67600.3, SCUR1_67600.4, SCUR1_67600.5, SCUR1_67600.1, SCUR1_67600.2, SCUR1_67600.6	SINT1_67530.4, SINT1_67530.1, SINT1_67530.5, SINT1_67530.6, SINT1_67530.2, SINT1_67530.3, SINT1_67530.7
OG0000670	SCUR1_44770.5, SCUR1_44770.6	SINT1_44650.4
OG0000670	SCUR1_44770.5, SCUR1_44770.6	SINT1_44650.5
OG0000670	SCUR1_44770.1	SINT1_44650.1
OG0000670	SCUR1_44770.1	SINT1_44650.2
OG0000670	SCUR1_44770.2	SINT1_44650.1
OG0000670	SCUR1_44770.2	SINT1_44650.2
OG0000670	SCUR1_44770.3	SINT1_44650.1
OG0000670	SCUR1_44770.3	SINT1_44650.2
OG0000670	SCUR1_44770.4	SINT1_44650.3
OG0000671	SCUR1_76030.4, SCUR1_76030.5, SCUR1_76030.6, SCUR1_76030.1, SCUR1_76030.2, SCUR1_76030.3, SCUR1_76030.7	SINT1_75460.1, SINT1_75460.2, SINT1_75460.3, SINT1_75460.4, SINT1_75460.5
OG0000673	SCUR1_16130.1, SCUR1_16130.3, SCUR1_16130.4, SCUR1_16130.2, SCUR1_16130.5, SCUR1_16130.6	SINT1_16200.3, SINT1_16200.1, SINT1_16200.2
OG0000674	SCUR1_77580.1	SINT1_77020.1, SINT1_77020.4, SINT1_77020.2, SINT1_77020.3
OG0000675	SCUR1_71380.6, SCUR1_71380.2, SCUR1_71380.3, SCUR1_71380.4, SCUR1_71380.5, SCUR1_71380.7	SINT1_71260.1, SINT1_71260.3
OG0000675	SCUR1_71380.1	SINT1_71260.2
OG0000676	SCUR1_80430.1, SCUR1_80430.2	SINT1_80390.1, SINT1_80390.2, SINT1_80390.3, SINT1_80390.4, SINT1_80390.5
OG0000677	SCUR1_5230.1	SINT1_5200.1, SINT1_5200.5, SINT1_5200.4, SINT1_5200.6, SINT1_5200.3, SINT1_5200.2
OG0000678	SCUR1_34640.1	SINT1_34540.1, SINT1_34540.2, SINT1_34540.3, SINT1_34540.4
OG0000679	SCUR1_71440.1, SCUR1_71440.3, SCUR1_71440.2	SINT1_71320.1, SINT1_71320.2, SINT1_71320.3, SINT1_71320.4, SINT1_71320.5
OG0000680	SCUR1_16910.6, SCUR1_16910.1, SCUR1_16910.2, SCUR1_16910.3, SCUR1_16910.4, SCUR1_16910.5	SINT1_16990.1, SINT1_16990.2, SINT1_16990.5, SINT1_16990.3, SINT1_16990.4
OG0000681	SCUR1_35030.1, SCUR1_35030.2, SCUR1_35030.3, SCUR1_35030.4, SCUR1_35030.7, SCUR1_35030.10, SCUR1_35030.8, SCUR1_35030.11, SCUR1_35030.5, SCUR1_35030.6, SCUR1_35030.12, SCUR1_35030.9	SINT1_34920.1, SINT1_34920.5, SINT1_34920.7, SINT1_34920.8, SINT1_34920.2, SINT1_34920.3, SINT1_34920.4, SINT1_34920.6
