Orthogroup	schistosoma_curassoni	schistosoma_mattheei
OG0000657	SCUR1_88920.1, SCUR1_88920.2, SCUR1_88920.3	SMTH1_100120.1
OG0000658	SCUR1_2840.1	SMTH1_72840.1, SMTH1_10950.1, SMTH1_21620.1, SMTH1_4640.1, SMTH1_59720.1, SMTH1_66590.1, SMTH1_91340.1, SMTH1_97400.1, SMTH1_97460.1, SMTH1_15550.1, SMTH1_79120.1, SMTH1_8310.1, SMTH1_17790.1
OG0000659	SCUR1_41920.1, SCUR1_41920.3, SCUR1_41920.4	SMTH1_46560.1
OG0000662	SCUR1_52240.1, SCUR1_52240.10, SCUR1_52240.9, SCUR1_52240.11, SCUR1_52240.12, SCUR1_52240.3, SCUR1_52240.2	SMTH1_58250.1
OG0000663	SCUR1_38280.1	SMTH1_42170.1, SMTH1_42170.6, SMTH1_42170.7, SMTH1_42170.5, SMTH1_42170.4, SMTH1_42170.3, SMTH1_42170.2
OG0000664	SCUR1_12470.1	SMTH1_13880.1
OG0000665	SCUR1_72230.1, SCUR1_72230.2	SMTH1_81270.4, SMTH1_81270.1, SMTH1_81270.2, SMTH1_81270.3, SMTH1_81270.5, SMTH1_81270.7, SMTH1_81270.6
OG0000666	SCUR1_61720.1, SCUR1_61720.2, SCUR1_61720.3	SMTH1_68710.1, SMTH1_68700.1
OG0000667	SCUR1_6180.1	SMTH1_7120.1, SMTH1_7120.2
OG0000668	SCUR1_52420.1	SMTH1_58460.1, SMTH1_58460.2, SMTH1_58460.3
OG0000669	SCUR1_67600.3, SCUR1_67600.4, SCUR1_67600.5, SCUR1_67600.1, SCUR1_67600.2, SCUR1_67600.6	SMTH1_75690.1, SMTH1_75710.1, SMTH1_75710.2, SMTH1_75710.3, SMTH1_75700.1
OG0000670	SCUR1_44770.1	SMTH1_49660.1
OG0000670	SCUR1_44770.1	SMTH1_49660.2
OG0000670	SCUR1_44770.2	SMTH1_49660.1
OG0000670	SCUR1_44770.2	SMTH1_49660.2
OG0000670	SCUR1_44770.3	SMTH1_49660.1
OG0000670	SCUR1_44770.3	SMTH1_49660.2
OG0000671	SCUR1_76030.4, SCUR1_76030.5, SCUR1_76030.6, SCUR1_76030.1, SCUR1_76030.2, SCUR1_76030.3, SCUR1_76030.7	SMTH1_85240.1, SMTH1_85230.1
OG0000672	SCUR1_44360.4, SCUR1_44360.5	SMTH1_49200.1
OG0000673	SCUR1_16130.7	SMTH1_17870.7, SMTH1_17870.6
OG0000673	SCUR1_16130.1, SCUR1_16130.3, SCUR1_16130.4, SCUR1_16130.2, SCUR1_16130.5, SCUR1_16130.6	SMTH1_17870.4, SMTH1_17870.3, SMTH1_17870.2, SMTH1_17870.1, SMTH1_17870.5
OG0000674	SCUR1_77580.1	SMTH1_86940.1
OG0000675	SCUR1_71380.6, SCUR1_71380.2, SCUR1_71380.3, SCUR1_71380.4, SCUR1_71380.5, SCUR1_71380.7	SMTH1_80320.1
OG0000676	SCUR1_80430.1, SCUR1_80430.2	SMTH1_90120.1
OG0000677	SCUR1_5230.1	SMTH1_5980.1
OG0000678	SCUR1_34640.1	SMTH1_38270.2, SMTH1_38270.1, SMTH1_38270.3
OG0000679	SCUR1_71440.1, SCUR1_71440.3, SCUR1_71440.2	SMTH1_80420.1, SMTH1_80410.1
OG0000680	SCUR1_16910.6, SCUR1_16910.1, SCUR1_16910.2, SCUR1_16910.3, SCUR1_16910.4, SCUR1_16910.5	SMTH1_18680.1
OG0000681	SCUR1_35030.1, SCUR1_35030.2, SCUR1_35030.3, SCUR1_35030.4, SCUR1_35030.7, SCUR1_35030.10, SCUR1_35030.8, SCUR1_35030.11, SCUR1_35030.5, SCUR1_35030.6, SCUR1_35030.12, SCUR1_35030.9	SMTH1_38670.1, SMTH1_38680.1
OG0000682	SCUR1_43170.4, SCUR1_43170.6, SCUR1_43170.10, SCUR1_43170.2, SCUR1_43170.8, SCUR1_43170.7, SCUR1_43170.9, SCUR1_43170.1, SCUR1_43170.5, SCUR1_43170.3	SMTH1_47890.1
OG0000683	SCUR1_55100.1, SCUR1_55100.2, SCUR1_55100.3, SCUR1_55100.4	SMTH1_61300.1
OG0000683	SCUR1_66850.1	SMTH1_74680.1
OG0000684	SCUR1_98310.1, SCUR1_98310.2, SCUR1_98310.3, SCUR1_98310.4	SMTH1_93730.1
OG0000685	SCUR1_74560.1, SCUR1_74560.2, SCUR1_74560.3, SCUR1_74560.5, SCUR1_74560.6, SCUR1_74560.4	SMTH1_83650.1, SMTH1_83650.2, SMTH1_83650.6, SMTH1_83650.7, SMTH1_83650.8, SMTH1_83650.3, SMTH1_83650.5, SMTH1_83650.4
OG0000686	SCUR1_59910.2, SCUR1_59910.4	SMTH1_66800.1, SMTH1_66800.2, SMTH1_66800.3, SMTH1_66800.4, SMTH1_66800.5, SMTH1_66800.6
OG0000687	SCUR1_26830.2, SCUR1_26830.1, SCUR1_26830.7, SCUR1_26830.4, SCUR1_26830.5, SCUR1_26830.6, SCUR1_26830.3	SMTH1_29670.1
OG0000688	SCUR1_630.1, SCUR1_630.2, SCUR1_630.3	SMTH1_730.1, SMTH1_730.3, SMTH1_730.5, SMTH1_730.6
OG0000689	SCUR1_2870.1, SCUR1_2860.1	SMTH1_3490.7, SMTH1_3490.1, SMTH1_3490.8, SMTH1_3490.3, SMTH1_3490.5, SMTH1_3490.4, SMTH1_3490.6, SMTH1_3490.2
OG0000690	SCUR1_22770.1	SMTH1_25250.2, SMTH1_25250.4, SMTH1_25250.1, SMTH1_25250.3
OG0000691	SCUR1_16830.1, SCUR1_39490.1	SMTH1_89680.1, SMTH1_79000.1
OG0000691	SCUR1_92330.1	SMTH1_50160.1, SMTH1_54540.1, SMTH1_91410.1, SMTH1_107840.1, SMTH1_107840.2, SMTH1_67510.1, SMTH1_77070.1, SMTH1_3210.1, SMTH1_107830.1, SMTH1_3220.1, SMTH1_42540.1
OG0000692	SCUR1_17070.3, SCUR1_17070.1, SCUR1_17070.2	SMTH1_18870.1, SMTH1_18870.2, SMTH1_18870.3, SMTH1_18870.5, SMTH1_18870.4
OG0000695	SCUR1_94700.1	SMTH1_106850.1
OG0000695	SCUR1_45600.1, SCUR1_45600.2, SCUR1_45600.3	SMTH1_50710.1
OG0000696	SCUR1_5470.1, SCUR1_5470.2	SMTH1_6200.4, SMTH1_6200.5, SMTH1_6200.3, SMTH1_6200.2, SMTH1_6200.1, SMTH1_6200.6
OG0000697	SCUR1_40410.1, SCUR1_40410.6, SCUR1_40410.7, SCUR1_40410.4, SCUR1_40410.3, SCUR1_40410.5, SCUR1_40410.2	SMTH1_44870.1
OG0000698	SCUR1_18010.1, SCUR1_18010.2, SCUR1_18010.3	SMTH1_19950.1, SMTH1_19950.2, SMTH1_19950.3
OG0000699	SCUR1_33080.1	SMTH1_36690.1
OG0000699	SCUR1_46010.2, SCUR1_46010.1, SCUR1_46010.3	SMTH1_51240.1
OG0000700	SCUR1_28310.1	SMTH1_31270.1
OG0000700	SCUR1_23870.1	SMTH1_26570.1
OG0000700	SCUR1_23880.1	SMTH1_26580.1
OG0000700	SCUR1_23890.1	SMTH1_26590.1
OG0000701	SCUR1_60720.2	SMTH1_67640.1, SMTH1_67640.4
OG0000701	SCUR1_60720.1, SCUR1_60720.3	SMTH1_67640.3, SMTH1_67640.5, SMTH1_67640.6
OG0000702	SCUR1_85710.2, SCUR1_85710.7, SCUR1_85710.5, SCUR1_85710.1, SCUR1_85710.3, SCUR1_85710.4, SCUR1_85710.6	SMTH1_96450.1, SMTH1_96450.2
OG0000703	SCUR1_190.1, SCUR1_190.2	SMTH1_110.1, SMTH1_110.2, SMTH1_110.3, SMTH1_110.4
OG0000704	SCUR1_48380.1	SMTH1_53940.1
OG0000705	SCUR1_6090.5, SCUR1_6100.1, SCUR1_6090.1, SCUR1_6090.4, SCUR1_6090.2, SCUR1_6100.2, SCUR1_6090.3	SMTH1_7030.1
OG0000706	SCUR1_43500.1	SMTH1_48320.1
OG0000706	SCUR1_52330.1	SMTH1_58350.1
OG0000707	SCUR1_92940.3, SCUR1_92940.1, SCUR1_92940.2, SCUR1_92940.4	SMTH1_104690.1, SMTH1_104690.2
OG0000708	SCUR1_37410.1	SMTH1_41320.1, SMTH1_41320.2
OG0000709	SCUR1_43780.1, SCUR1_43780.2	SMTH1_48660.1, SMTH1_48660.2
OG0000710	SCUR1_7900.1	SMTH1_9110.1
OG0000711	SCUR1_73710.7, SCUR1_73710.4, SCUR1_73710.2, SCUR1_73710.3, SCUR1_73710.5, SCUR1_73710.1, SCUR1_73710.6	SMTH1_82820.1, SMTH1_82820.2
OG0000712	SCUR1_52710.2, SCUR1_52710.1, SCUR1_52710.3, SCUR1_52710.5, SCUR1_52710.6, SCUR1_52710.4, SCUR1_52710.7	SMTH1_58770.1
OG0000713	SCUR1_70950.1	SMTH1_79750.1, SMTH1_79750.2, SMTH1_79750.3, SMTH1_79750.4, SMTH1_79750.6, SMTH1_79750.7, SMTH1_79750.5
OG0000714	SCUR1_46350.1, SCUR1_46350.2, SCUR1_46310.2, SCUR1_46310.1	SMTH1_107880.1, SMTH1_107880.2, SMTH1_107780.1, SMTH1_51570.1
OG0000715	SCUR1_27370.1, SCUR1_27370.2, SCUR1_27370.3, SCUR1_27370.4, SCUR1_27370.5, SCUR1_27370.6, SCUR1_27370.7	SMTH1_30250.1
OG0000716	SCUR1_11750.1	SMTH1_13080.1
OG0000717	SCUR1_58920.11, SCUR1_58920.12, SCUR1_58920.10, SCUR1_58920.5, SCUR1_58920.6	SMTH1_65490.1
OG0000718	SCUR1_74010.1, SCUR1_74010.3, SCUR1_74010.4, SCUR1_74010.2	SMTH1_83100.1
OG0000719	SCUR1_55110.1, SCUR1_55110.3, SCUR1_55110.2, SCUR1_55110.4	SMTH1_61310.1
OG0000720	SCUR1_76300.6, SCUR1_76300.7, SCUR1_76300.2, SCUR1_76300.9, SCUR1_76300.10, SCUR1_76300.8, SCUR1_76300.5, SCUR1_76300.3, SCUR1_76300.4, SCUR1_76300.1	SMTH1_85480.1, SMTH1_85480.2, SMTH1_85480.5, SMTH1_85480.4, SMTH1_85480.3
OG0000721	SCUR1_45870.4, SCUR1_45870.6, SCUR1_45870.5, SCUR1_45870.1, SCUR1_45870.2, SCUR1_45870.3, SCUR1_45870.7	SMTH1_51020.1
OG0000722	SCUR1_5370.5, SCUR1_5370.7, SCUR1_5370.4, SCUR1_5370.3, SCUR1_5370.2, SCUR1_5370.6, SCUR1_5370.1	SMTH1_6100.6, SMTH1_6100.3, SMTH1_6100.2, SMTH1_6100.5, SMTH1_6100.1, SMTH1_6100.4
OG0000723	SCUR1_76020.1	SMTH1_85220.5, SMTH1_85220.4, SMTH1_85220.1
OG0000724	SCUR1_41990.4, SCUR1_41990.6, SCUR1_41990.1, SCUR1_41990.2, SCUR1_41990.3, SCUR1_41990.5, SCUR1_41990.7, SCUR1_41990.8	SMTH1_46650.1, SMTH1_46650.5, SMTH1_46650.2, SMTH1_46650.3, SMTH1_46650.4, SMTH1_46650.6
OG0000725	SCUR1_76380.2, SCUR1_76380.1, SCUR1_76380.3, SCUR1_76380.4, SCUR1_76380.5	SMTH1_85630.3, SMTH1_85630.1, SMTH1_85630.6, SMTH1_85630.4, SMTH1_85630.5, SMTH1_85630.2
OG0000726	SCUR1_29780.2, SCUR1_29780.3	SMTH1_107640.1
OG0000726	SCUR1_29790.1, SCUR1_29790.4, SCUR1_29790.2, SCUR1_29790.3	SMTH1_33060.1
OG0000727	SCUR1_38890.10, SCUR1_38890.6, SCUR1_38890.11, SCUR1_38890.12, SCUR1_38890.5, SCUR1_38890.7, SCUR1_38890.8, SCUR1_38890.9, SCUR1_38890.1, SCUR1_38890.13, SCUR1_38890.14, SCUR1_38890.2, SCUR1_38890.3, SCUR1_38890.4	SMTH1_42930.1, SMTH1_42940.1
OG0000729	SCUR1_8740.10, SCUR1_8740.1, SCUR1_8740.2, SCUR1_8740.3, SCUR1_8740.8, SCUR1_8740.4, SCUR1_8740.5, SCUR1_8740.6, SCUR1_8740.7, SCUR1_8740.9	SMTH1_10000.1
OG0000730	SCUR1_59940.1, SCUR1_59940.2, SCUR1_59940.3	SMTH1_66840.1
OG0000731	SCUR1_75670.4, SCUR1_75670.5, SCUR1_75670.2, SCUR1_75670.3, SCUR1_75670.6, SCUR1_75670.7, SCUR1_75670.8, SCUR1_75670.1	SMTH1_84850.4, SMTH1_84850.2, SMTH1_84850.1, SMTH1_84850.3, SMTH1_84850.5
OG0000732	SCUR1_3480.2	SMTH1_4050.1
OG0000733	SCUR1_2800.2, SCUR1_2800.3, SCUR1_2800.1	SMTH1_3420.1, SMTH1_3420.2, SMTH1_3420.3, SMTH1_3420.4
OG0000736	SCUR1_77500.1	SMTH1_86850.2, SMTH1_86850.1
OG0000737	SCUR1_9770.4, SCUR1_9770.1, SCUR1_9770.3, SCUR1_9770.6, SCUR1_9780.1, SCUR1_9780.2, SCUR1_9770.2, SCUR1_9770.5	SMTH1_11110.1, SMTH1_11100.1
OG0000738	SCUR1_69120.1	SMTH1_77440.1
OG0000738	SCUR1_69110.1	SMTH1_77430.1
OG0000739	SCUR1_96800.1, SCUR1_96800.6	SMTH1_63120.1
OG0000740	SCUR1_8290.1	SMTH1_9510.2, SMTH1_9510.3, SMTH1_9510.1, SMTH1_9510.6, SMTH1_9510.4, SMTH1_9510.5
OG0000741	SCUR1_83400.1, SCUR1_83400.3, SCUR1_83400.2	SMTH1_93450.1, SMTH1_93450.2
OG0000742	SCUR1_36100.1	SMTH1_60240.1
OG0000742	SCUR1_45910.2	SMTH1_66660.1
OG0000742	SCUR1_71810.1	SMTH1_51350.1, SMTH1_51350.2, SMTH1_51360.1
OG0000743	SCUR1_22580.1, SCUR1_22580.4, SCUR1_22580.2, SCUR1_22580.3	SMTH1_25030.4, SMTH1_25030.1, SMTH1_25030.2, SMTH1_25030.3, SMTH1_25030.6, SMTH1_25030.5
OG0000744	SCUR1_3570.4, SCUR1_3570.1, SCUR1_3570.11, SCUR1_3570.12, SCUR1_3570.2, SCUR1_3570.3, SCUR1_3570.5, SCUR1_3570.6, SCUR1_3570.10, SCUR1_3570.9, SCUR1_3570.8, SCUR1_3570.7	SMTH1_4160.1, SMTH1_4160.3, SMTH1_4160.4, SMTH1_4160.5, SMTH1_4160.2
OG0000745	SCUR1_38240.1, SCUR1_38240.3, SCUR1_38240.2	SMTH1_42080.1, SMTH1_42080.3, SMTH1_42080.2, SMTH1_42080.5, SMTH1_42080.4
OG0000746	SCUR1_60580.1	SMTH1_67520.1, SMTH1_67520.2
OG0000747	SCUR1_43060.1, SCUR1_43060.3, SCUR1_43060.2, SCUR1_43060.4	SMTH1_47760.1
OG0000748	SCUR1_69550.1	SMTH1_77920.1
OG0000749	SCUR1_68910.1	SMTH1_77210.1
OG0000750	SCUR1_73580.1, SCUR1_73580.3, SCUR1_73580.2, SCUR1_73580.8, SCUR1_73580.7, SCUR1_73580.6, SCUR1_73580.5, SCUR1_73580.4	SMTH1_82710.1
OG0000751	SCUR1_5500.1	SMTH1_6240.1
OG0000751	SCUR1_2440.1	SMTH1_3050.1, SMTH1_3050.3, SMTH1_3050.2, SMTH1_3010.1, SMTH1_3050.4
OG0000752	SCUR1_97640.1	SMTH1_102980.1
OG0000752	SCUR1_91540.1	SMTH1_103060.1
OG0000753	SCUR1_82050.3, SCUR1_82050.1, SCUR1_82050.2	SMTH1_92010.1
OG0000754	SCUR1_50350.1	SMTH1_56270.1
OG0000755	SCUR1_74850.1	SMTH1_83910.2, SMTH1_83910.3, SMTH1_83910.4, SMTH1_83910.5, SMTH1_83910.7, SMTH1_83910.8, SMTH1_83910.6
OG0000756	SCUR1_39160.1	SMTH1_43260.5, SMTH1_43260.1, SMTH1_43260.4, SMTH1_43260.2, SMTH1_43260.3, SMTH1_43260.7, SMTH1_43260.6
OG0000757	SCUR1_52570.3, SCUR1_52570.2, SCUR1_52570.1, SCUR1_52570.4	SMTH1_58620.1
OG0000758	SCUR1_8770.1	SMTH1_10040.1, SMTH1_10040.3
OG0000759	SCUR1_53000.6, SCUR1_53000.7, SCUR1_53000.1, SCUR1_53000.4, SCUR1_53000.8, SCUR1_53000.5, SCUR1_53000.3, SCUR1_53000.2	SMTH1_59090.1, SMTH1_59080.1
OG0000760	SCUR1_78210.2, SCUR1_78210.10, SCUR1_78210.8, SCUR1_78210.1, SCUR1_78210.3, SCUR1_78210.4, SCUR1_78210.5, SCUR1_78210.6, SCUR1_78210.7, SCUR1_78210.9	SMTH1_87640.1
OG0000761	SCUR1_53740.1, SCUR1_53740.2	SMTH1_59860.2, SMTH1_59860.3, SMTH1_59860.1, SMTH1_59860.4, SMTH1_59860.5
OG0000762	SCUR1_80200.2, SCUR1_80200.3, SCUR1_80200.1	SMTH1_89850.1
OG0000762	SCUR1_86400.1	SMTH1_96950.1
OG0000763	SCUR1_21460.1	SMTH1_21680.1, SMTH1_21680.2, SMTH1_21680.3, SMTH1_21680.4
OG0000764	SCUR1_8890.4	SMTH1_10180.3
OG0000764	SCUR1_8890.2, SCUR1_8890.1, SCUR1_8890.3	SMTH1_10180.1, SMTH1_10180.2, SMTH1_10180.4, SMTH1_10180.5, SMTH1_10180.6
OG0000765	SCUR1_52980.2, SCUR1_52980.1	SMTH1_59060.1
OG0000765	SCUR1_52990.2	SMTH1_59070.2
OG0000765	SCUR1_52990.1	SMTH1_59070.1
OG0000766	SCUR1_62980.1, SCUR1_62980.2	SMTH1_70180.1
OG0000767	SCUR1_65030.1, SCUR1_65030.2	SMTH1_72600.1, SMTH1_72600.3, SMTH1_72600.4, SMTH1_72600.2
OG0000768	SCUR1_40190.1, SCUR1_40190.3, SCUR1_40190.2	SMTH1_44560.3, SMTH1_44560.2, SMTH1_44560.1, SMTH1_44560.4
OG0000768	SCUR1_40190.4	SMTH1_44560.5, SMTH1_44560.6
OG0000769	SCUR1_2010.5, SCUR1_2010.1, SCUR1_2010.3, SCUR1_2010.2, SCUR1_2010.4	SMTH1_2600.1
OG0000770	SCUR1_17840.1	SMTH1_19780.1
OG0000771	SCUR1_79350.1	SMTH1_88940.1
OG0000771	SCUR1_100110.1	SMTH1_88970.1, SMTH1_88970.2
OG0000771	SCUR1_100120.1	SMTH1_88940.2
OG0000772	SCUR1_16750.1, SCUR1_16750.2, SCUR1_16800.1	SMTH1_18570.1
OG0000773	SCUR1_25680.1	SMTH1_28520.1, SMTH1_28520.3, SMTH1_28520.10, SMTH1_28520.6, SMTH1_28520.8, SMTH1_28520.12, SMTH1_28520.5, SMTH1_28520.9, SMTH1_28520.11, SMTH1_28520.4, SMTH1_28520.7, SMTH1_28520.2
OG0000774	SCUR1_47240.1, SCUR1_47240.4, SCUR1_47240.7, SCUR1_47240.3, SCUR1_47240.6, SCUR1_47240.2, SCUR1_47240.5	SMTH1_52580.1
OG0000775	SCUR1_51630.5, SCUR1_51630.6, SCUR1_51630.3, SCUR1_51630.1, SCUR1_51630.2, SCUR1_51630.4	SMTH1_57640.1
OG0000776	SCUR1_45900.1, SCUR1_45900.2	SMTH1_51040.1
OG0000776	SCUR1_56750.1	SMTH1_62890.1, SMTH1_62890.2
OG0000777	SCUR1_52200.4, SCUR1_52200.1	SMTH1_58200.1
OG0000777	SCUR1_52200.2	SMTH1_58210.1
OG0000778	SCUR1_22880.1	SMTH1_25480.1, SMTH1_25470.1
OG0000779	SCUR1_3650.1	SMTH1_4240.1, SMTH1_4250.1
OG0000780	SCUR1_14960.1	SMTH1_16610.1, SMTH1_16610.3, SMTH1_16610.4, SMTH1_16610.5, SMTH1_16610.2, SMTH1_16610.6, SMTH1_16610.7, SMTH1_16610.8
OG0000781	SCUR1_11210.1	SMTH1_12540.1
OG0000781	SCUR1_470.1	SMTH1_500.1
OG0000782	SCUR1_31670.1	SMTH1_35180.1
OG0000783	SCUR1_50660.1, SCUR1_50660.2, SCUR1_50660.5, SCUR1_50660.3, SCUR1_50660.8, SCUR1_50660.4, SCUR1_50660.11, SCUR1_50660.12, SCUR1_50660.10, SCUR1_50660.6, SCUR1_50660.7, SCUR1_50660.9	SMTH1_56560.1, SMTH1_56570.1
OG0000784	SCUR1_31580.2, SCUR1_31580.1, SCUR1_31580.3	SMTH1_35080.1, SMTH1_35070.1
OG0000785	SCUR1_58860.1	SMTH1_65420.1
OG0000787	SCUR1_98840.1, SCUR1_98840.2, SCUR1_98840.3, SCUR1_91660.1	SMTH1_103200.3, SMTH1_103200.1, SMTH1_103200.2
OG0000787	SCUR1_59500.1	SMTH1_66240.1
OG0000788	SCUR1_13620.10, SCUR1_13620.11, SCUR1_13620.12, SCUR1_13620.13, SCUR1_13620.2, SCUR1_13620.3, SCUR1_13620.4, SCUR1_13620.5, SCUR1_13620.6, SCUR1_13620.7, SCUR1_13620.8, SCUR1_13620.9, SCUR1_13620.1	SMTH1_15130.1, SMTH1_15130.3
OG0000789	SCUR1_25460.1	SMTH1_28270.1
OG0000789	SCUR1_25450.1	SMTH1_28250.1
OG0000790	SCUR1_39510.8, SCUR1_39510.9, SCUR1_39510.5, SCUR1_39510.7, SCUR1_39510.4, SCUR1_39510.6, SCUR1_39510.3, SCUR1_39510.1, SCUR1_39510.2	SMTH1_43750.1
OG0000791	SCUR1_42890.1, SCUR1_42890.2, SCUR1_42890.3	SMTH1_47620.1
OG0000792	SCUR1_5670.1, SCUR1_5670.2, SCUR1_5670.4, SCUR1_5670.5, SCUR1_5670.3	SMTH1_6460.2, SMTH1_6460.3, SMTH1_6460.5, SMTH1_6460.1, SMTH1_6460.4, SMTH1_6460.6
OG0000793	SCUR1_34360.1, SCUR1_34360.4, SCUR1_34360.2, SCUR1_34360.6, SCUR1_34360.3, SCUR1_34360.5, SCUR1_34360.7, SCUR1_34360.8	SMTH1_37990.1
OG0000794	SCUR1_10010.1	SMTH1_11410.1, SMTH1_11410.2, SMTH1_11410.3, SMTH1_11410.8, SMTH1_11410.4, SMTH1_11410.7, SMTH1_11410.5, SMTH1_11410.6
OG0000795	SCUR1_93940.1, SCUR1_93940.3, SCUR1_93940.4, SCUR1_93940.2	SMTH1_105730.1
OG0000796	SCUR1_15810.1, SCUR1_15820.1	SMTH1_17520.1
OG0000796	SCUR1_15790.1, SCUR1_15800.1, SCUR1_15800.2	SMTH1_17510.1
OG0000797	SCUR1_21170.2, SCUR1_21170.1, SCUR1_21170.3, SCUR1_21170.4	SMTH1_21980.3, SMTH1_21980.2, SMTH1_21980.5, SMTH1_21980.6, SMTH1_21980.4, SMTH1_21980.1
OG0000798	SCUR1_1230.2, SCUR1_1230.1, SCUR1_1230.3	SMTH1_40700.1, SMTH1_1540.1, SMTH1_1540.4, SMTH1_1540.2, SMTH1_1540.3
OG0000799	SCUR1_66490.1	SMTH1_74240.1
OG0000800	SCUR1_9930.1	SMTH1_11290.1, SMTH1_11280.1
OG0000801	SCUR1_15690.2, SCUR1_15690.3, SCUR1_15690.1	SMTH1_17420.1, SMTH1_17420.2, SMTH1_17420.3, SMTH1_17420.4
OG0000802	SCUR1_72510.1, SCUR1_72510.2, SCUR1_72510.3	SMTH1_81570.1
OG0000802	SCUR1_58580.1	SMTH1_65130.1
OG0000803	SCUR1_78600.1	SMTH1_88060.5, SMTH1_88040.1, SMTH1_88040.2, SMTH1_88040.3, SMTH1_88040.6, SMTH1_88060.3, SMTH1_88060.8, SMTH1_88060.9, SMTH1_88040.4, SMTH1_88040.5, SMTH1_88060.1, SMTH1_88060.2, SMTH1_88060.4, SMTH1_88060.6, SMTH1_88060.7
OG0000806	SCUR1_72950.10, SCUR1_72950.9, SCUR1_72950.1, SCUR1_72950.3, SCUR1_72950.4, SCUR1_72950.5, SCUR1_72950.6, SCUR1_72950.8, SCUR1_72950.2, SCUR1_72950.7	SMTH1_82030.1, SMTH1_82030.2, SMTH1_82030.4, SMTH1_82030.5, SMTH1_82030.6, SMTH1_82030.8, SMTH1_82030.3, SMTH1_82030.7
OG0000807	SCUR1_9670.3, SCUR1_9670.4, SCUR1_9670.2, SCUR1_9670.1	SMTH1_11020.1, SMTH1_11020.2
OG0000808	SCUR1_92180.1	SMTH1_103790.1
OG0000808	SCUR1_92200.1, SCUR1_92200.2, SCUR1_92200.3, SCUR1_92200.4, SCUR1_92200.5, SCUR1_92200.6	SMTH1_103800.1
OG0000809	SCUR1_89600.1, SCUR1_89600.3, SCUR1_89600.4, SCUR1_89600.5, SCUR1_89600.2	SMTH1_100870.1, SMTH1_100870.2, SMTH1_100870.3
OG0000810	SCUR1_25040.4, SCUR1_25040.6, SCUR1_25040.1, SCUR1_25040.3, SCUR1_25040.2, SCUR1_25040.5, SCUR1_25040.8, SCUR1_25040.7	SMTH1_27760.1
OG0000811	SCUR1_11010.1, SCUR1_11010.2	SMTH1_12380.1, SMTH1_12380.2, SMTH1_12380.3, SMTH1_12380.4
OG0000812	SCUR1_12160.1	SMTH1_13480.1, SMTH1_13480.2, SMTH1_13480.3, SMTH1_13480.4, SMTH1_13480.5, SMTH1_13480.6, SMTH1_13480.7, SMTH1_13480.8, SMTH1_13480.9
OG0000813	SCUR1_85330.5, SCUR1_85330.6, SCUR1_85330.4, SCUR1_85330.7, SCUR1_85330.8, SCUR1_85330.3, SCUR1_85330.9, SCUR1_85330.1	SMTH1_95930.1
OG0000814	SCUR1_63370.2, SCUR1_63370.1, SCUR1_63370.3	SMTH1_70610.1
OG0000815	SCUR1_59480.1, SCUR1_59480.2, SCUR1_59480.4, SCUR1_59480.3	SMTH1_66210.1, SMTH1_66210.2
OG0000816	SCUR1_82970.1	SMTH1_93040.1, SMTH1_93040.2, SMTH1_93040.3, SMTH1_93040.4
OG0000817	SCUR1_87170.1, SCUR1_87170.2, SCUR1_87170.3, SCUR1_87170.4, SCUR1_87170.5	SMTH1_98120.1, SMTH1_98120.2, SMTH1_98120.3, SMTH1_98120.4
OG0000818	SCUR1_11470.1	SMTH1_12800.1, SMTH1_12800.2, SMTH1_12800.3, SMTH1_12800.4
OG0000819	SCUR1_65190.1, SCUR1_65190.2, SCUR1_65190.3	SMTH1_72750.2, SMTH1_72750.3, SMTH1_72750.1, SMTH1_72750.6, SMTH1_72750.7, SMTH1_72750.4, SMTH1_72750.5
OG0000820	SCUR1_27930.1	SMTH1_30910.1
OG0000821	SCUR1_96960.1, SCUR1_49160.1, SCUR1_49160.2, SCUR1_49160.3	SMTH1_54930.1
OG0000822	SCUR1_73700.6, SCUR1_73700.7, SCUR1_73700.1, SCUR1_73700.5, SCUR1_73700.2, SCUR1_73700.3, SCUR1_73700.4	SMTH1_82810.8, SMTH1_82810.1, SMTH1_82810.4, SMTH1_82810.2, SMTH1_82810.3, SMTH1_82810.7, SMTH1_82810.5, SMTH1_82810.6
OG0000823	SCUR1_53360.1	SMTH1_59480.1
OG0000823	SCUR1_91610.1	SMTH1_103140.1
OG0000823	SCUR1_91620.1	SMTH1_103150.1
OG0000824	SCUR1_3040.3	SMTH1_3700.1
OG0000825	SCUR1_76510.1, SCUR1_76520.1	SMTH1_85800.1, SMTH1_85800.2, SMTH1_85800.3
OG0000825	SCUR1_76500.1	SMTH1_85740.1
OG0000826	SCUR1_55310.7, SCUR1_55310.8, SCUR1_55310.2, SCUR1_55310.3, SCUR1_55310.1, SCUR1_55310.4, SCUR1_55310.5, SCUR1_55310.6	SMTH1_61500.1, SMTH1_61500.2, SMTH1_61500.3
OG0000827	SCUR1_74760.1	SMTH1_83820.1
OG0000827	SCUR1_74750.1	SMTH1_83810.1
OG0000827	SCUR1_74750.2	SMTH1_83810.1
OG0000828	SCUR1_89340.1	SMTH1_100640.1
OG0000828	SCUR1_89350.1	SMTH1_100650.1
OG0000830	SCUR1_48890.4, SCUR1_48890.1, SCUR1_48890.2	SMTH1_54680.1
OG0000830	SCUR1_48890.3	SMTH1_54690.1
