Orthogroup	fasciola_gigantica	schistosoma_rodhaini
OG0000393	FGIG_06864	SRDH2_46070.7, SRDH2_46070.6, SRDH2_46070.1, SRDH2_46070.13, SRDH2_46070.14, SRDH2_46070.5, SRDH2_46070.10, SRDH2_46070.11, SRDH2_46070.12, SRDH2_46070.2, SRDH2_46070.4, SRDH2_46070.3, SRDH2_46070.9, SRDH2_46070.8
OG0000394	FGIG_12663, FGIG_07717	SRDH2_62680.9, SRDH2_62680.11, SRDH2_62680.3, SRDH2_62680.4, SRDH2_62680.5, SRDH2_62680.6, SRDH2_62680.1, SRDH2_62680.2, SRDH2_62680.7, SRDH2_62680.8, SRDH2_62680.10
OG0000395	FGIG_07807	SRDH2_81430.5, SRDH2_81430.6, SRDH2_81430.3, SRDH2_81430.8, SRDH2_81430.1, SRDH2_81430.10, SRDH2_81430.4, SRDH2_81430.9, SRDH2_81430.2, SRDH2_81430.7, SRDH2_81430.15, SRDH2_81430.12, SRDH2_81430.14, SRDH2_81430.11, SRDH2_81430.13
OG0000396	FGIG_07980	SRDH2_4520.15, SRDH2_4520.3, SRDH2_4520.5, SRDH2_4520.1, SRDH2_4520.10, SRDH2_4520.11, SRDH2_4520.12, SRDH2_4520.2, SRDH2_4520.6, SRDH2_4520.9, SRDH2_4520.4, SRDH2_4520.7, SRDH2_4520.8, SRDH2_4520.13, SRDH2_4520.14, SRDH2_4520.16, SRDH2_4520.18
OG0000397	FGIG_07986	SRDH2_81240.1, SRDH2_81240.2, SRDH2_81240.3, SRDH2_81240.4, SRDH2_81240.5, SRDH2_81240.6, SRDH2_81240.7, SRDH2_81240.8, SRDH2_81240.9, SRDH2_81240.10, SRDH2_81240.12, SRDH2_81240.13, SRDH2_81240.11
OG0000398	FGIG_08346, FGIG_08154	SRDH2_20280.1, SRDH2_20280.3, SRDH2_20280.2, SRDH2_21870.1, SRDH2_21940.1
OG0000399	FGIG_08267	SRDH2_28510.2, SRDH2_28510.1, SRDH2_28510.4, SRDH2_28510.3, SRDH2_28500.1
OG0000400	FGIG_12136, FGIG_08348, FGIG_09690, FGIG_09691	SRDH2_45830.1, SRDH2_45830.3, SRDH2_45830.2, SRDH2_45830.4, SRDH2_44960.1, SRDH2_44930.1
OG0000401	FGIG_10170, FGIG_10171	SRDH2_98010.6, SRDH2_98010.8, SRDH2_98010.3, SRDH2_98010.1, SRDH2_98010.11, SRDH2_98010.2, SRDH2_98010.4, SRDH2_98010.7, SRDH2_98010.5, SRDH2_98010.10, SRDH2_98010.9
OG0000402	FGIG_12370, FGIG_11519, FGIG_12593	SRDH2_11670.2, SRDH2_11670.3, SRDH2_11670.1
OG0000403	FGIG_11602	SRDH2_3290.1
OG0000405	FGIG_00540, FGIG_04407, FGIG_00542, FGIG_00541	SRDH2_37220.6, SRDH2_37220.2, SRDH2_37220.9, SRDH2_37220.5, SRDH2_37220.1, SRDH2_37220.10, SRDH2_37220.11, SRDH2_37220.3, SRDH2_37220.4, SRDH2_37220.7, SRDH2_37220.8
OG0000406	FGIG_00915	SRDH2_38740.21, SRDH2_38740.22, SRDH2_38740.10, SRDH2_38740.13, SRDH2_38740.14, SRDH2_38740.15, SRDH2_38740.16, SRDH2_38740.17, SRDH2_38740.18, SRDH2_38740.3, SRDH2_38740.6, SRDH2_38740.7, SRDH2_38740.8, SRDH2_38740.20, SRDH2_38740.19, SRDH2_38740.1, SRDH2_38740.2, SRDH2_38740.12, SRDH2_38740.11, SRDH2_38740.4, SRDH2_38740.5, SRDH2_38740.9
OG0000407	FGIG_01328	SRDH2_63900.8, SRDH2_63900.13, SRDH2_63900.4, SRDH2_63900.5, SRDH2_63900.6, SRDH2_63900.9, SRDH2_63900.1, SRDH2_63900.10, SRDH2_63900.2, SRDH2_63900.3, SRDH2_63900.7, SRDH2_63900.12, SRDH2_63900.11
OG0000408	FGIG_01770	SRDH2_26940.3, SRDH2_26940.4, SRDH2_26940.1, SRDH2_26940.2, SRDH2_26940.5
OG0000409	FGIG_01990	SRDH2_90950.3, SRDH2_90950.1, SRDH2_90950.2
OG0000410	FGIG_06197	SRDH2_70920.5, SRDH2_70920.1, SRDH2_70920.2, SRDH2_70920.4, SRDH2_70920.3
OG0000411	FGIG_03726	SRDH2_27570.10, SRDH2_27570.11, SRDH2_27570.3, SRDH2_27570.6, SRDH2_27570.8, SRDH2_27570.9, SRDH2_27570.1, SRDH2_27570.2, SRDH2_27570.4, SRDH2_27570.5, SRDH2_27570.7
OG0000412	FGIG_04797	SRDH2_73550.6, SRDH2_73550.7, SRDH2_73550.15, SRDH2_73550.12, SRDH2_73550.17, SRDH2_73550.13, SRDH2_73550.9, SRDH2_73550.11, SRDH2_73550.16, SRDH2_73550.2, SRDH2_73550.8, SRDH2_73550.4, SRDH2_73550.1, SRDH2_73550.14, SRDH2_73550.10, SRDH2_73550.5, SRDH2_73550.3
OG0000413	FGIG_05095	SRDH2_62530.10, SRDH2_62530.2, SRDH2_62530.3, SRDH2_62530.5, SRDH2_62530.6, SRDH2_62530.9, SRDH2_62530.8, SRDH2_62530.11, SRDH2_62530.1, SRDH2_62530.4, SRDH2_62530.7
OG0000414	FGIG_05869	SRDH2_11030.1, SRDH2_11030.2, SRDH2_11030.3, SRDH2_11010.1
OG0000415	FGIG_06429	SRDH2_31120.1
OG0000416	FGIG_10985, FGIG_07789, FGIG_12457	SRDH2_89660.1, SRDH2_94160.1
OG0000416	FGIG_07250	SRDH2_89650.1
OG0000417	FGIG_07860	SRDH2_53850.1, SRDH2_53850.2, SRDH2_53850.3, SRDH2_53850.4
OG0000418	FGIG_07977, FGIG_11738, FGIG_12450	SRDH2_97670.1, SRDH2_97670.2, SRDH2_97670.3, SRDH2_97670.4
OG0000419	FGIG_09307	SRDH2_6160.9, SRDH2_6160.10, SRDH2_6160.6, SRDH2_6160.14, SRDH2_6160.3, SRDH2_6160.2, SRDH2_6160.11, SRDH2_6160.8, SRDH2_6160.1, SRDH2_6160.4, SRDH2_6160.5, SRDH2_6160.12, SRDH2_6160.13, SRDH2_6160.7
OG0000420	FGIG_09853	SRDH2_46170.14, SRDH2_46170.15, SRDH2_46170.5, SRDH2_46170.1, SRDH2_46170.10, SRDH2_46170.13, SRDH2_46170.7, SRDH2_46170.9, SRDH2_46170.2, SRDH2_46170.4, SRDH2_46170.6, SRDH2_46170.8, SRDH2_46170.11, SRDH2_46170.12, SRDH2_46170.16, SRDH2_46170.3
OG0000421	FGIG_09942	SRDH2_68870.1, SRDH2_68870.2, SRDH2_68870.3, SRDH2_68870.4, SRDH2_68870.5
OG0000422	FGIG_10041	SRDH2_50820.1, SRDH2_50820.2, SRDH2_50820.3
OG0000425	FGIG_00596	SRDH2_29840.3, SRDH2_29840.1, SRDH2_29840.2, SRDH2_29840.4
OG0000426	FGIG_00984	SRDH2_55360.1, SRDH2_55390.1, SRDH2_55370.1, SRDH2_55380.1, SRDH2_55350.1
OG0000427	FGIG_01900, FGIG_06350	SRDH2_52830.1, SRDH2_52830.2, SRDH2_52830.3, SRDH2_52830.4, SRDH2_52830.5
OG0000428	FGIG_02141, FGIG_04993, FGIG_02140	SRDH2_42440.1, SRDH2_42430.1
OG0000429	FGIG_05114	SRDH2_96250.1
OG0000429	FGIG_08773	SRDH2_45470.1
OG0000430	FGIG_02540, FGIG_02734	SRDH2_36260.1, SRDH2_36260.2, SRDH2_36260.3
OG0000431	FGIG_02682	SRDH2_49750.12, SRDH2_49750.1, SRDH2_49750.8, SRDH2_49750.4, SRDH2_49750.11, SRDH2_49750.10, SRDH2_49750.9, SRDH2_49750.2, SRDH2_49750.6, SRDH2_49750.7, SRDH2_49750.13, SRDH2_49750.5, SRDH2_49750.3, SRDH2_49750.14
OG0000432	FGIG_02953	SRDH2_97310.3, SRDH2_97310.1, SRDH2_97310.2, SRDH2_97310.4, SRDH2_97310.7, SRDH2_97310.5, SRDH2_97310.6
OG0000433	FGIG_03051	SRDH2_40420.1
OG0000434	FGIG_07436, FGIG_07788, FGIG_12172, FGIG_03250	SRDH2_96790.1, SRDH2_96790.6, SRDH2_96790.4, SRDH2_96790.3, SRDH2_96790.2, SRDH2_96790.5
OG0000435	FGIG_03380, FGIG_03381	SRDH2_55690.1
OG0000436	FGIG_04181	SRDH2_26020.11, SRDH2_26020.10, SRDH2_26020.8, SRDH2_26020.5, SRDH2_26020.2, SRDH2_26020.6, SRDH2_26020.7, SRDH2_26020.9, SRDH2_26020.4, SRDH2_26020.3, SRDH2_26020.1
OG0000437	FGIG_04672	SRDH2_3210.1, SRDH2_3210.11, SRDH2_3210.3, SRDH2_3210.8, SRDH2_3210.9, SRDH2_3210.2, SRDH2_3210.7, SRDH2_3210.10, SRDH2_3210.6, SRDH2_3210.4, SRDH2_3210.5
OG0000438	FGIG_04722	SRDH2_65210.4, SRDH2_65210.7, SRDH2_65210.6, SRDH2_65210.8, SRDH2_65210.9, SRDH2_65210.1, SRDH2_65210.5, SRDH2_65210.2, SRDH2_65210.3
OG0000439	FGIG_05052	SRDH2_86960.5, SRDH2_86960.3, SRDH2_86960.7, SRDH2_86960.10, SRDH2_86960.11, SRDH2_86960.13, SRDH2_86960.2, SRDH2_86960.8, SRDH2_86960.9, SRDH2_86960.4, SRDH2_86960.1, SRDH2_86960.12, SRDH2_86960.6, SRDH2_86960.14
OG0000440	FGIG_05435	SRDH2_93830.1, SRDH2_93850.1, SRDH2_93850.2, SRDH2_93850.3, SRDH2_93840.1, SRDH2_93820.1
OG0000441	FGIG_06666	SRDH2_9330.7, SRDH2_9330.2, SRDH2_9330.6, SRDH2_9330.1, SRDH2_9330.3, SRDH2_9330.4, SRDH2_9330.5, SRDH2_9330.8, SRDH2_9330.9
OG0000441	FGIG_10681, FGIG_09295	SRDH2_13430.3, SRDH2_13430.2, SRDH2_13430.1
OG0000442	FGIG_06753	SRDH2_33820.6, SRDH2_33820.8, SRDH2_33820.9, SRDH2_33820.4, SRDH2_33820.5, SRDH2_33820.3, SRDH2_33820.1, SRDH2_33820.7, SRDH2_33820.2
OG0000443	FGIG_07760	SRDH2_5800.2, SRDH2_5800.3, SRDH2_5800.4, SRDH2_5800.1
OG0000444	FGIG_09462, FGIG_11910, FGIG_09471	SRDH2_74510.3, SRDH2_74510.2, SRDH2_74510.4, SRDH2_74510.7, SRDH2_74510.5, SRDH2_74510.6, SRDH2_74510.1, SRDH2_74510.8
OG0000445	FGIG_11201	SRDH2_66130.1, SRDH2_66130.2, SRDH2_66130.3, SRDH2_66130.4, SRDH2_66130.10, SRDH2_66130.5, SRDH2_66130.6, SRDH2_66130.8, SRDH2_66130.11, SRDH2_66130.7, SRDH2_66130.9
OG0000447	FGIG_00135	SRDH2_56940.7, SRDH2_56940.4, SRDH2_56940.1, SRDH2_56940.11, SRDH2_56940.2, SRDH2_56940.5, SRDH2_56940.13, SRDH2_56940.3, SRDH2_56940.8, SRDH2_56940.6, SRDH2_56940.12, SRDH2_56940.10, SRDH2_56940.9
OG0000448	FGIG_00556	SRDH2_37090.1
OG0000449	FGIG_00826	SRDH2_58900.3, SRDH2_58900.6, SRDH2_58900.4, SRDH2_58900.5, SRDH2_58900.1, SRDH2_58900.2
OG0000450	FGIG_01291, FGIG_04679	SRDH2_25210.7, SRDH2_25210.1, SRDH2_25210.5, SRDH2_25210.3, SRDH2_25210.2, SRDH2_25210.4, SRDH2_25210.8, SRDH2_25210.6
OG0000451	FGIG_01553	SRDH2_89250.13, SRDH2_89250.14, SRDH2_89250.18, SRDH2_89250.21, SRDH2_89250.19, SRDH2_89250.12, SRDH2_89250.15, SRDH2_89250.20, SRDH2_89250.1, SRDH2_89250.2, SRDH2_89250.3, SRDH2_89250.4, SRDH2_89250.5, SRDH2_89250.6, SRDH2_89250.7, SRDH2_89250.8, SRDH2_89250.9, SRDH2_89250.10, SRDH2_89250.11, SRDH2_89250.16, SRDH2_89250.17
OG0000452	FGIG_03230	SRDH2_39570.11, SRDH2_39570.13, SRDH2_39570.4, SRDH2_39570.7, SRDH2_39570.10, SRDH2_39570.5, SRDH2_39570.8, SRDH2_39570.9, SRDH2_39570.3, SRDH2_39570.1, SRDH2_39570.2, SRDH2_39570.12, SRDH2_39570.14, SRDH2_39570.6
OG0000454	FGIG_06158	SRDH2_71690.1
OG0000454	FGIG_09647	SRDH2_86470.1, SRDH2_73670.1
OG0000455	FGIG_06485	SRDH2_64700.1, SRDH2_14370.5, SRDH2_14370.4, SRDH2_14370.1, SRDH2_14370.3, SRDH2_14370.2, SRDH2_14370.7, SRDH2_14370.6
OG0000456	FGIG_08883	SRDH2_74720.1
OG0000457	FGIG_08921	SRDH2_29000.1, SRDH2_29000.2, SRDH2_29000.4, SRDH2_29000.5, SRDH2_29000.6, SRDH2_29000.7, SRDH2_29000.3, SRDH2_29000.8
OG0000458	FGIG_09209	SRDH2_38280.1
OG0000459	FGIG_09431	SRDH2_9770.1
OG0000464	FGIG_00328, FGIG_00327	SRDH2_13360.2, SRDH2_13360.5, SRDH2_13360.6, SRDH2_13360.4, SRDH2_13360.3, SRDH2_13360.1, SRDH2_13360.7
OG0000465	FGIG_00532	SRDH2_77670.7, SRDH2_77670.2, SRDH2_77670.5, SRDH2_77670.1, SRDH2_77670.6, SRDH2_77670.8, SRDH2_77670.3, SRDH2_77670.4
OG0000466	FGIG_01561, FGIG_03877, FGIG_01560, FGIG_01559	SRDH2_52790.8, SRDH2_52790.4, SRDH2_52790.7, SRDH2_52790.12, SRDH2_52790.14, SRDH2_52790.5, SRDH2_52790.6, SRDH2_52790.10, SRDH2_52790.1, SRDH2_52790.13, SRDH2_52790.9, SRDH2_52790.2, SRDH2_52790.3, SRDH2_52790.11
OG0000467	FGIG_02474, FGIG_02706, FGIG_02707, FGIG_02708, FGIG_02710, FGIG_02709	SRDH2_37890.1
OG0000468	FGIG_02572	SRDH2_74970.8, SRDH2_74970.7, SRDH2_74970.5, SRDH2_74970.2, SRDH2_74970.4, SRDH2_74970.6, SRDH2_74970.1, SRDH2_74970.3
OG0000469	FGIG_03009	SRDH2_4070.10, SRDH2_4070.13, SRDH2_4070.15, SRDH2_4070.2, SRDH2_4070.3, SRDH2_4070.4, SRDH2_4070.8, SRDH2_4070.19, SRDH2_4070.20, SRDH2_4070.6, SRDH2_4070.7, SRDH2_4070.9, SRDH2_4070.1, SRDH2_4070.12, SRDH2_4070.14, SRDH2_4070.5, SRDH2_4070.16, SRDH2_4070.17, SRDH2_4070.11, SRDH2_4070.18
OG0000470	FGIG_04092	SRDH2_52300.10, SRDH2_52300.4, SRDH2_52300.3, SRDH2_52300.1, SRDH2_52300.2, SRDH2_52300.5, SRDH2_52300.7, SRDH2_52300.8, SRDH2_52300.9, SRDH2_52300.6, SRDH2_52300.11
OG0000471	FGIG_05330, FGIG_05331	SRDH2_91310.9, SRDH2_91310.8, SRDH2_91310.1, SRDH2_91310.7, SRDH2_91310.2, SRDH2_91310.6, SRDH2_91310.3, SRDH2_91310.4, SRDH2_91310.5
OG0000472	FGIG_10508, FGIG_06143	SRDH2_37940.1
OG0000473	FGIG_06411, FGIG_12123, FGIG_06410	SRDH2_5050.3, SRDH2_5050.2, SRDH2_5050.4, SRDH2_5050.1
OG0000474	FGIG_07254	SRDH2_46460.1, SRDH2_46460.2
OG0000475	FGIG_07645	SRDH2_65440.5, SRDH2_65440.13, SRDH2_65440.8, SRDH2_65440.9, SRDH2_65440.1, SRDH2_65440.10, SRDH2_65440.12, SRDH2_65440.11, SRDH2_65440.7, SRDH2_65440.6, SRDH2_65440.2, SRDH2_65440.3, SRDH2_65440.4
OG0000476	FGIG_08382, FGIG_08383	SRDH2_22870.1
OG0000477	FGIG_08447, FGIG_12672	SRDH2_46150.12, SRDH2_46150.9, SRDH2_46150.11, SRDH2_46150.15, SRDH2_46150.14, SRDH2_46150.16, SRDH2_46150.10, SRDH2_46150.5, SRDH2_46150.7, SRDH2_46150.2, SRDH2_46150.4, SRDH2_46150.1, SRDH2_46150.3, SRDH2_46150.6, SRDH2_46150.8, SRDH2_46150.13
OG0000478	FGIG_10674	SRDH2_6490.13, SRDH2_6490.2, SRDH2_6490.9, SRDH2_6490.10, SRDH2_6490.14, SRDH2_6490.8, SRDH2_6490.7, SRDH2_6490.1, SRDH2_6490.6, SRDH2_6490.11, SRDH2_6490.12, SRDH2_6490.15, SRDH2_6490.3, SRDH2_6490.4, SRDH2_6490.5
OG0000479	FGIG_09169	SRDH2_36940.4, SRDH2_36940.5, SRDH2_36940.1, SRDH2_36940.2, SRDH2_36940.3, SRDH2_36940.6
OG0000480	FGIG_09555	SRDH2_67600.1
OG0000481	FGIG_11554, FGIG_10028	SRDH2_67500.1, SRDH2_67500.2, SRDH2_67500.3, SRDH2_67500.4, SRDH2_67500.5, SRDH2_67500.6
OG0000482	FGIG_10421	SRDH2_10190.10, SRDH2_10190.4, SRDH2_10190.5, SRDH2_10190.9, SRDH2_10190.8, SRDH2_10190.2, SRDH2_10190.3, SRDH2_10190.7, SRDH2_10190.1, SRDH2_10190.6
OG0000483	FGIG_11522, FGIG_10429	SRDH2_58470.1, SRDH2_58470.2, SRDH2_58470.3
OG0000484	FGIG_10469, FGIG_11973	SRDH2_99680.1
OG0000485	FGIG_10899	SRDH2_12680.4, SRDH2_12680.5, SRDH2_12680.2, SRDH2_12680.3, SRDH2_12680.7, SRDH2_12680.1, SRDH2_12680.6
OG0000490	FGIG_00244	SRDH2_70160.1
OG0000491	FGIG_01361	SRDH2_30640.1
OG0000492	FGIG_01399, FGIG_01400	SRDH2_64090.5, SRDH2_64090.1, SRDH2_64090.3, SRDH2_64090.4, SRDH2_64090.2
OG0000493	FGIG_10535, FGIG_02574, FGIG_02575	SRDH2_48240.1
OG0000493	FGIG_02106	SRDH2_29380.1
OG0000494	FGIG_02261, FGIG_09004	SRDH2_81040.1
OG0000495	FGIG_02597, FGIG_02595	SRDH2_3220.1, SRDH2_3220.2, SRDH2_3220.3, SRDH2_3220.4, SRDH2_3220.5, SRDH2_3220.6
OG0000496	FGIG_02657	SRDH2_37150.1, SRDH2_37150.3, SRDH2_37150.2
OG0000497	FGIG_03046	SRDH2_5540.1, SRDH2_5550.1, SRDH2_5550.2
OG0000498	FGIG_08610	SRDH2_25560.1, SRDH2_25560.2
OG0000498	FGIG_06356, FGIG_06355, FGIG_09764	SRDH2_27590.1, SRDH2_27590.2
OG0000499	FGIG_03308, FGIG_03309	SRDH2_75010.1, SRDH2_75010.2, SRDH2_75010.3
OG0000500	FGIG_05535	SRDH2_19600.1
OG0000501	FGIG_05786	SRDH2_26320.1, SRDH2_26320.12, SRDH2_26320.10, SRDH2_26320.11, SRDH2_26320.14, SRDH2_26320.3, SRDH2_26320.5, SRDH2_26320.6, SRDH2_26320.4, SRDH2_26320.8, SRDH2_26320.2, SRDH2_26320.7, SRDH2_26320.9, SRDH2_26320.13
OG0000502	FGIG_12630, FGIG_06672, FGIG_05947, FGIG_05868, FGIG_09687	SRDH2_33170.1
OG0000503	FGIG_06020	SRDH2_3890.1
OG0000504	FGIG_06236	SRDH2_47660.3, SRDH2_47660.4, SRDH2_47660.5, SRDH2_47660.2, SRDH2_47660.1
OG0000505	FGIG_06258	SRDH2_41400.1, SRDH2_41400.10, SRDH2_41400.11, SRDH2_41400.12, SRDH2_41400.13, SRDH2_41400.3, SRDH2_41400.4, SRDH2_41400.7, SRDH2_41400.8, SRDH2_41400.9, SRDH2_41400.5, SRDH2_41400.2, SRDH2_41400.6
OG0000506	FGIG_07761	SRDH2_9620.1, SRDH2_101740.1
OG0000507	FGIG_08020, FGIG_08019	SRDH2_31620.7, SRDH2_31620.9, SRDH2_31620.14, SRDH2_31620.1, SRDH2_31620.10, SRDH2_31620.15, SRDH2_31620.5, SRDH2_31620.6, SRDH2_31620.2, SRDH2_31620.8, SRDH2_31620.13, SRDH2_31620.3, SRDH2_31620.4, SRDH2_31620.11, SRDH2_31620.12
OG0000508	FGIG_09651	SRDH2_15710.7, SRDH2_15710.1, SRDH2_15710.5, SRDH2_15710.6, SRDH2_15710.2, SRDH2_15710.3, SRDH2_15710.4, SRDH2_15710.8, SRDH2_15710.9
OG0000509	FGIG_11147, FGIG_09900	SRDH2_50240.1, SRDH2_52020.1
OG0000510	FGIG_09919, FGIG_09920	SRDH2_80780.1, SRDH2_80800.1, SRDH2_80800.2, SRDH2_80800.6, SRDH2_80800.4, SRDH2_80800.3, SRDH2_80800.7, SRDH2_80800.5
OG0000511	FGIG_10110	SRDH2_73140.1, SRDH2_73130.2, SRDH2_73100.1, SRDH2_73130.1, SRDH2_73160.1, SRDH2_73120.1, SRDH2_73120.2
OG0000512	FGIG_10635	SRDH2_52510.11, SRDH2_52510.12, SRDH2_52510.3, SRDH2_52510.7, SRDH2_52510.8, SRDH2_52510.10, SRDH2_52510.5, SRDH2_52510.1, SRDH2_52510.13, SRDH2_52510.4, SRDH2_52510.6, SRDH2_52510.9, SRDH2_52510.2
OG0000513	FGIG_11295, FGIG_10901	SRDH2_68910.11, SRDH2_68910.10, SRDH2_68910.9, SRDH2_68910.1, SRDH2_68910.3, SRDH2_68910.4, SRDH2_68910.5, SRDH2_68910.6, SRDH2_68910.8, SRDH2_68910.2, SRDH2_68910.7
OG0000514	FGIG_11731	SRDH2_46160.1, SRDH2_46160.3, SRDH2_46160.2, SRDH2_46160.4
OG0000515	FGIG_11760, FGIG_11877	SRDH2_12440.1
OG0000516	FGIG_11912, FGIG_11911	SRDH2_64790.1, SRDH2_64790.2
OG0000517	FGIG_11937	SRDH2_26340.12, SRDH2_26340.13, SRDH2_26340.14, SRDH2_26340.1, SRDH2_26340.10, SRDH2_26340.2, SRDH2_26340.4, SRDH2_26340.5, SRDH2_26340.6, SRDH2_26340.3, SRDH2_26340.7, SRDH2_26340.9, SRDH2_26340.8, SRDH2_26340.11
OG0000521	FGIG_00188	SRDH2_73990.1
OG0000522	FGIG_00655	SRDH2_56850.1
OG0000523	FGIG_00791	SRDH2_78970.1, SRDH2_78970.14, SRDH2_78970.5, SRDH2_78970.7, SRDH2_78970.2, SRDH2_78970.4, SRDH2_78970.9, SRDH2_78970.15, SRDH2_78970.3, SRDH2_78970.6, SRDH2_78970.8, SRDH2_78970.16, SRDH2_78970.10, SRDH2_78970.11, SRDH2_78970.12, SRDH2_78970.13
OG0000524	FGIG_00872, FGIG_04807	SRDH2_14430.1, SRDH2_14430.2, SRDH2_14430.3
OG0000525	FGIG_03698	SRDH2_51550.1
OG0000526	FGIG_03947, FGIG_03948, FGIG_03949, FGIG_03950	SRDH2_17390.4, SRDH2_17390.5, SRDH2_17390.1, SRDH2_17390.2, SRDH2_17390.3, SRDH2_17390.7, SRDH2_17390.6
OG0000527	FGIG_04305, FGIG_04306	SRDH2_19480.10, SRDH2_19480.11, SRDH2_19480.3, SRDH2_19480.4, SRDH2_19480.5, SRDH2_19480.7, SRDH2_19480.6, SRDH2_19480.8, SRDH2_19480.9, SRDH2_19480.1, SRDH2_19480.2
OG0000528	FGIG_05456, FGIG_05455	SRDH2_36450.19, SRDH2_36450.11, SRDH2_36450.3, SRDH2_36450.4, SRDH2_36450.1, SRDH2_36450.10, SRDH2_36450.2, SRDH2_36450.5, SRDH2_36450.6, SRDH2_36450.8, SRDH2_36450.9, SRDH2_36450.12, SRDH2_36450.13, SRDH2_36450.7, SRDH2_36450.17, SRDH2_36450.18, SRDH2_36450.20, SRDH2_36450.16, SRDH2_36450.14, SRDH2_36450.15
OG0000529	FGIG_05544	SRDH2_16190.1
OG0000529	FGIG_08863	SRDH2_25910.1
OG0000530	FGIG_05770	SRDH2_99210.1, SRDH2_99230.1, SRDH2_99220.1
OG0000531	FGIG_05789, FGIG_10492, FGIG_10493	SRDH2_79680.3, SRDH2_79680.1, SRDH2_79680.4, SRDH2_79680.2
OG0000532	FGIG_07231	SRDH2_140.1, SRDH2_140.2, SRDH2_140.3, SRDH2_140.4, SRDH2_140.5, SRDH2_5000.7, SRDH2_5000.4, SRDH2_5000.5, SRDH2_5000.3, SRDH2_5000.2, SRDH2_5000.6, SRDH2_5000.8, SRDH2_5000.1
OG0000533	FGIG_07562	SRDH2_19650.11, SRDH2_19650.2, SRDH2_19650.3, SRDH2_19650.4, SRDH2_19650.7, SRDH2_19650.5, SRDH2_19650.6, SRDH2_19650.10, SRDH2_19650.8, SRDH2_19650.9, SRDH2_19650.1
OG0000534	FGIG_13988, FGIG_07681	SRDH2_74790.1
OG0000535	FGIG_12466, FGIG_08126, FGIG_08125	SRDH2_60400.1, SRDH2_60440.1
OG0000536	FGIG_08935, FGIG_08934	SRDH2_66490.11, SRDH2_66490.13, SRDH2_66490.6, SRDH2_66490.5, SRDH2_66490.7, SRDH2_66490.10, SRDH2_66490.9, SRDH2_66490.1, SRDH2_66490.12, SRDH2_66490.2, SRDH2_66490.3, SRDH2_66490.4, SRDH2_66490.8
OG0000537	FGIG_12232, FGIG_12182	SRDH2_54400.3, SRDH2_54400.17, SRDH2_54400.1, SRDH2_54400.7, SRDH2_54400.14, SRDH2_54400.11, SRDH2_54400.6, SRDH2_54400.8, SRDH2_54400.15, SRDH2_54400.16, SRDH2_54400.10, SRDH2_54400.18, SRDH2_54400.5, SRDH2_54400.4, SRDH2_54400.9, SRDH2_54400.2, SRDH2_54400.13, SRDH2_54400.12
OG0000539	FGIG_00008	SRDH2_47540.1, SRDH2_47540.2, SRDH2_47540.3
OG0000540	FGIG_00485, FGIG_00487	SRDH2_5770.4, SRDH2_5770.5, SRDH2_5770.1, SRDH2_5770.3, SRDH2_5770.2, SRDH2_5770.6, SRDH2_5770.8, SRDH2_5770.11, SRDH2_5770.7, SRDH2_5770.10, SRDH2_5770.12, SRDH2_5770.9
OG0000541	FGIG_00810	SRDH2_29190.6, SRDH2_29190.7, SRDH2_29190.1, SRDH2_29190.3, SRDH2_29190.4, SRDH2_29190.2, SRDH2_29190.5
OG0000542	FGIG_00859	SRDH2_90210.1
OG0000543	FGIG_01118	SRDH2_15640.1, SRDH2_15640.2
OG0000544	FGIG_01478, FGIG_01480	SRDH2_81940.6, SRDH2_81940.9, SRDH2_81940.1, SRDH2_81940.10, SRDH2_81940.2, SRDH2_81940.4, SRDH2_81940.5, SRDH2_81940.7, SRDH2_81940.8, SRDH2_81940.11, SRDH2_81940.3
OG0000545	FGIG_02161	SRDH2_47320.1
OG0000545	FGIG_04734	SRDH2_71540.1
OG0000546	FGIG_02171	SRDH2_29920.1, SRDH2_29920.3, SRDH2_29920.2, SRDH2_29920.5, SRDH2_29920.4, SRDH2_29920.6, SRDH2_29920.7
OG0000547	FGIG_02243	SRDH2_91520.8, SRDH2_91520.5, SRDH2_91520.16, SRDH2_91520.15, SRDH2_91520.4, SRDH2_91520.7, SRDH2_91520.2, SRDH2_91520.14, SRDH2_91520.12, SRDH2_91520.1, SRDH2_91520.3, SRDH2_91520.6, SRDH2_91520.13, SRDH2_91520.11, SRDH2_91520.9, SRDH2_91520.10
OG0000548	FGIG_02293	SRDH2_30030.5, SRDH2_30030.6, SRDH2_30030.8, SRDH2_30030.9, SRDH2_30030.10, SRDH2_30030.4, SRDH2_30030.1, SRDH2_30030.3, SRDH2_30030.7, SRDH2_30030.11, SRDH2_30030.12, SRDH2_30030.13, SRDH2_30030.2
OG0000549	FGIG_02503	SRDH2_11350.1, SRDH2_11350.2, SRDH2_11350.3
OG0000550	FGIG_02524, FGIG_04548	SRDH2_19140.7, SRDH2_19140.3, SRDH2_19140.4, SRDH2_19140.5, SRDH2_19140.6, SRDH2_19140.1, SRDH2_19140.2
OG0000551	FGIG_11586	SRDH2_66230.1
OG0000552	FGIG_03044	SRDH2_5570.2, SRDH2_5570.1
OG0000552	FGIG_10688	SRDH2_88960.1
