Orthogroup	fasciola_gigantica	schistosoma_margrebowiei
OG0001305	FGIG_03115	SMRG1_420.1
OG0001306	FGIG_03213, FGIG_11624	SMRG1_62130.1, SMRG1_62130.2
OG0001307	FGIG_12121	SMRG1_82260.1
OG0001307	FGIG_08402, FGIG_03373	SMRG1_82250.1
OG0001308	FGIG_03675	SMRG1_96120.1, SMRG1_96120.2
OG0001309	FGIG_03882	SMRG1_74670.1
OG0001310	FGIG_03923, FGIG_03919, FGIG_03920, FGIG_03921, FGIG_03922	SMRG1_27590.1, SMRG1_27580.3, SMRG1_27580.2, SMRG1_27580.1
OG0001311	FGIG_04205	SMRG1_44380.3, SMRG1_44380.2, SMRG1_44380.5, SMRG1_44380.1, SMRG1_44380.4
OG0001312	FGIG_04608	SMRG1_31630.1, SMRG1_31630.2
OG0001313	FGIG_04711, FGIG_10967, FGIG_04712	SMRG1_42050.1, SMRG1_42050.2, SMRG1_42050.3, SMRG1_42050.4
OG0001314	FGIG_04857	SMRG1_10130.1, SMRG1_10130.4, SMRG1_10130.8, SMRG1_10130.7, SMRG1_10130.3, SMRG1_10130.10, SMRG1_10130.2, SMRG1_10130.6, SMRG1_10130.9, SMRG1_10130.5
OG0001315	FGIG_04966	SMRG1_31580.2, SMRG1_31580.4, SMRG1_31580.1, SMRG1_31580.3
OG0001316	FGIG_05223, FGIG_05224	SMRG1_85940.1
OG0001317	FGIG_05230, FGIG_05743	SMRG1_14410.3, SMRG1_14410.4, SMRG1_14410.1, SMRG1_14410.2
OG0001319	FGIG_05871	SMRG1_39580.2, SMRG1_39580.3, SMRG1_39580.1
OG0001320	FGIG_06118	SMRG1_64150.1, SMRG1_64150.2, SMRG1_64150.4, SMRG1_64150.5, SMRG1_64150.6, SMRG1_64150.3
OG0001322	FGIG_06556	SMRG1_48380.1, SMRG1_48380.2
OG0001323	FGIG_06678	SMRG1_1030.1, SMRG1_1030.4, SMRG1_1030.2, SMRG1_1030.3
OG0001324	FGIG_06702	SMRG1_87880.1, SMRG1_87880.4, SMRG1_87880.3, SMRG1_87880.2, SMRG1_87880.5
OG0001325	FGIG_06784	SMRG1_97450.1
OG0001326	FGIG_07026, FGIG_12565	SMRG1_54280.1
OG0001327	FGIG_07236	SMRG1_92240.1, SMRG1_92240.2, SMRG1_92240.3, SMRG1_92240.4, SMRG1_92240.5, SMRG1_92240.6, SMRG1_92240.7, SMRG1_92240.8
OG0001328	FGIG_12496, FGIG_07303, FGIG_07304	SMRG1_4330.1, SMRG1_4330.2, SMRG1_4330.4, SMRG1_4330.3
OG0001329	FGIG_07431	SMRG1_6020.1
OG0001330	FGIG_07580	SMRG1_31020.1, SMRG1_31020.2
OG0001331	FGIG_07615	SMRG1_48790.3, SMRG1_48790.1, SMRG1_48790.2, SMRG1_48800.1, SMRG1_42940.1
OG0001332	FGIG_07793	SMRG1_61600.1
OG0001332	FGIG_08065	SMRG1_71270.1
OG0001333	FGIG_08087	SMRG1_64820.1
OG0001334	FGIG_08335	SMRG1_460.1
OG0001335	FGIG_08507	SMRG1_30870.1, SMRG1_30870.2
OG0001336	FGIG_08559	SMRG1_46940.1
OG0001337	FGIG_08711	SMRG1_54430.3, SMRG1_54430.5, SMRG1_54430.1, SMRG1_54430.4, SMRG1_54430.2
OG0001338	FGIG_08777	SMRG1_37240.1, SMRG1_37240.2
OG0001339	FGIG_09242	SMRG1_10820.5, SMRG1_10820.6, SMRG1_10820.1, SMRG1_10820.2, SMRG1_10820.4, SMRG1_10820.3, SMRG1_10820.7
OG0001340	FGIG_09253	SMRG1_9120.1, SMRG1_9120.3, SMRG1_9120.4, SMRG1_9120.2, SMRG1_9120.5
OG0001341	FGIG_09384	SMRG1_77470.5, SMRG1_77470.1, SMRG1_77470.3, SMRG1_77470.4, SMRG1_77470.2
OG0001342	FGIG_12225, FGIG_09592, FGIG_09591	SMRG1_53040.1
OG0001343	FGIG_09648	SMRG1_71260.1
OG0001344	FGIG_10334, FGIG_09779	SMRG1_77520.1
OG0001345	FGIG_09899, FGIG_10090	SMRG1_42660.3, SMRG1_42660.4, SMRG1_42660.1, SMRG1_42660.2
OG0001346	FGIG_10884, FGIG_10886, FGIG_09989, FGIG_10885	SMRG1_14130.1
OG0001347	FGIG_10057, FGIG_12464	SMRG1_33940.1, SMRG1_33940.2, SMRG1_33940.3, SMRG1_33940.4, SMRG1_33940.6, SMRG1_33940.5
OG0001348	FGIG_10100	SMRG1_36030.1, SMRG1_36030.2, SMRG1_36030.3
OG0001349	FGIG_11879, FGIG_10164	SMRG1_14710.1
OG0001350	FGIG_10314	SMRG1_31240.1, SMRG1_31240.3, SMRG1_31240.4, SMRG1_31240.2
OG0001351	FGIG_10576	SMRG1_23610.1, SMRG1_23610.2
OG0001352	FGIG_10691	SMRG1_23860.1, SMRG1_23860.2, SMRG1_23860.3
OG0001353	FGIG_10836, FGIG_11746	SMRG1_63250.1, SMRG1_63250.4, SMRG1_63250.2, SMRG1_63250.3, SMRG1_63250.5
OG0001354	FGIG_11409	SMRG1_65220.1, SMRG1_65220.2, SMRG1_65220.3, SMRG1_65220.4, SMRG1_65220.5, SMRG1_65220.6, SMRG1_65220.7, SMRG1_65220.8
OG0001355	FGIG_11782	SMRG1_61210.1, SMRG1_61210.2, SMRG1_61210.3, SMRG1_61210.4
OG0001356	FGIG_11865	SMRG1_72860.1
OG0001357	FGIG_12082	SMRG1_39500.1, SMRG1_39500.2, SMRG1_39500.3
OG0001358	FGIG_12429, FGIG_12515	SMRG1_89670.3, SMRG1_89670.2, SMRG1_89670.1
OG0001361	FGIG_00002	SMRG1_28650.3, SMRG1_28650.2, SMRG1_28650.1
OG0001362	FGIG_10224	SMRG1_30730.1
OG0001363	FGIG_00681	SMRG1_96190.1, SMRG1_96190.2
OG0001364	FGIG_02461, FGIG_00701	SMRG1_85930.1
OG0001365	FGIG_00793	SMRG1_78550.4, SMRG1_78550.7, SMRG1_78550.8, SMRG1_78550.1, SMRG1_78550.2, SMRG1_78550.3, SMRG1_78550.5, SMRG1_78550.6
OG0001366	FGIG_00825	SMRG1_53890.3, SMRG1_53890.4, SMRG1_53890.2, SMRG1_53890.1
OG0001367	FGIG_00899	SMRG1_96740.1, SMRG1_96740.2
OG0001368	FGIG_01072	SMRG1_17040.1
OG0001369	FGIG_01293, FGIG_11775	SMRG1_90340.1
OG0001370	FGIG_01407	SMRG1_58910.1, SMRG1_58910.2
OG0001371	FGIG_01436, FGIG_03554, FGIG_05993	SMRG1_36510.3, SMRG1_36510.1, SMRG1_36510.2, SMRG1_36510.4
OG0001372	FGIG_01881	SMRG1_37290.1, SMRG1_37290.2, SMRG1_37290.3
OG0001373	FGIG_01981	SMRG1_2200.1, SMRG1_2200.2, SMRG1_13720.1, SMRG1_13720.2, SMRG1_13720.3
OG0001374	FGIG_01999	SMRG1_59940.1, SMRG1_59940.2
OG0001375	FGIG_02028	SMRG1_77810.1, SMRG1_77810.2, SMRG1_77810.3, SMRG1_77810.4
OG0001376	FGIG_02276	SMRG1_88010.1, SMRG1_88010.2
OG0001377	FGIG_02347	SMRG1_62750.3, SMRG1_62750.1, SMRG1_62750.2
OG0001378	FGIG_02822, FGIG_02481	SMRG1_3160.1, SMRG1_3160.2, SMRG1_3160.3
OG0001379	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106	SMRG1_70750.3, SMRG1_70750.4, SMRG1_70750.7, SMRG1_70750.1, SMRG1_70750.2, SMRG1_70750.5, SMRG1_70750.6
OG0001380	FGIG_02638	SMRG1_61510.1, SMRG1_61510.2, SMRG1_61510.3
OG0001381	FGIG_02642, FGIG_12629	SMRG1_73920.5, SMRG1_73920.2, SMRG1_73920.3, SMRG1_73920.4, SMRG1_73920.1
OG0001382	FGIG_02925	SMRG1_26790.2, SMRG1_26790.1, SMRG1_26790.3
OG0001383	FGIG_03190	SMRG1_3960.1
OG0001384	FGIG_03272	SMRG1_88860.2, SMRG1_88860.3, SMRG1_88860.5, SMRG1_88860.1, SMRG1_88860.4
OG0001385	FGIG_03311, FGIG_03310	SMRG1_23360.4, SMRG1_23360.1, SMRG1_23360.2, SMRG1_23360.3
OG0001386	FGIG_03534	SMRG1_44400.1
OG0001387	FGIG_03668	SMRG1_87870.1, SMRG1_87870.2, SMRG1_87870.3, SMRG1_87870.4
OG0001388	FGIG_07823, FGIG_03697	SMRG1_11080.1, SMRG1_11080.3, SMRG1_11080.2
OG0001389	FGIG_03992	SMRG1_46380.6, SMRG1_46380.5, SMRG1_46380.8, SMRG1_46380.1, SMRG1_46380.2, SMRG1_46380.3, SMRG1_46380.4, SMRG1_46380.7
OG0001390	FGIG_04023	SMRG1_39820.1
OG0001391	FGIG_04025, FGIG_06537	SMRG1_34640.1, SMRG1_34640.4, SMRG1_34640.2, SMRG1_34640.3
OG0001392	FGIG_04113	SMRG1_12130.1, SMRG1_12130.2, SMRG1_12130.3
OG0001393	FGIG_04241	SMRG1_15790.2, SMRG1_15790.3, SMRG1_15790.1
OG0001394	FGIG_04248	SMRG1_76800.2, SMRG1_76800.3, SMRG1_76800.1, SMRG1_76800.4
OG0001395	FGIG_04272	SMRG1_89590.1
OG0001395	FGIG_12176	SMRG1_25760.1
OG0001396	FGIG_04364	SMRG1_48430.1, SMRG1_48440.1, SMRG1_48440.2, SMRG1_48440.3, SMRG1_48440.4
OG0001397	FGIG_04602	SMRG1_62910.1, SMRG1_62910.2, SMRG1_62910.3
OG0001398	FGIG_04627	SMRG1_10860.1
OG0001399	FGIG_04632, FGIG_05593	SMRG1_93060.2, SMRG1_93060.4, SMRG1_93050.1, SMRG1_93060.5, SMRG1_93060.1, SMRG1_93060.3
OG0001400	FGIG_04740	SMRG1_81830.1, SMRG1_81830.2
OG0001401	FGIG_05531, FGIG_04791	SMRG1_51320.2, SMRG1_51320.1, SMRG1_51320.3
OG0001402	FGIG_04917	SMRG1_26060.1, SMRG1_26060.2
OG0001403	FGIG_05254, FGIG_05255	SMRG1_55620.2, SMRG1_55620.1, SMRG1_55620.3
OG0001404	FGIG_05319	SMRG1_19070.1
OG0001405	FGIG_05965	SMRG1_33500.2, SMRG1_33500.3, SMRG1_33500.1, SMRG1_33500.4
OG0001406	FGIG_06203	SMRG1_29360.1
OG0001408	FGIG_06264, FGIG_07363	SMRG1_24320.1, SMRG1_24320.2, SMRG1_24300.1
OG0001409	FGIG_06287, FGIG_09995	SMRG1_50350.2, SMRG1_50350.3, SMRG1_50350.4, SMRG1_50350.1, SMRG1_50350.5
OG0001410	FGIG_06538	SMRG1_35100.1, SMRG1_35100.2, SMRG1_35090.1
OG0001411	FGIG_06544	SMRG1_28630.1
OG0001412	FGIG_06774	SMRG1_28720.2, SMRG1_28720.1, SMRG1_28720.3
OG0001413	FGIG_06924	SMRG1_95580.1, SMRG1_95580.2
OG0001414	FGIG_07348	SMRG1_4150.1, SMRG1_4140.2, SMRG1_4140.1, SMRG1_4140.3
OG0001415	FGIG_07500	SMRG1_31380.1
OG0001416	FGIG_07696	SMRG1_14060.2, SMRG1_14060.1
OG0001417	FGIG_07741, FGIG_12559	SMRG1_11900.1
OG0001418	FGIG_07825	SMRG1_1630.1
OG0001419	FGIG_07870, FGIG_10679	SMRG1_66850.1, SMRG1_66850.6, SMRG1_66850.5, SMRG1_66850.2, SMRG1_66850.4, SMRG1_66850.3, SMRG1_66850.7
OG0001420	FGIG_07881	SMRG1_83170.1, SMRG1_83170.2
OG0001421	FGIG_07907	SMRG1_36920.4, SMRG1_36920.3, SMRG1_36920.1, SMRG1_36920.2
OG0001422	FGIG_08355	SMRG1_75620.1, SMRG1_75620.2
OG0001423	FGIG_08436	SMRG1_10770.1
OG0001424	FGIG_09248, FGIG_12263, FGIG_08684	SMRG1_9000.5, SMRG1_9000.6, SMRG1_9000.9, SMRG1_9000.2, SMRG1_9000.4, SMRG1_9000.7, SMRG1_9000.8, SMRG1_9000.1, SMRG1_9000.3
OG0001425	FGIG_08864	SMRG1_25590.1, SMRG1_25590.2, SMRG1_25590.3
OG0001426	FGIG_09477	SMRG1_5970.3, SMRG1_5970.1, SMRG1_5970.2
OG0001427	FGIG_09959, FGIG_09960, FGIG_09551	SMRG1_26070.1, SMRG1_26070.2, SMRG1_26070.3, SMRG1_26070.4, SMRG1_26070.5, SMRG1_26070.6, SMRG1_26070.7
OG0001428	FGIG_09685	SMRG1_2430.1
OG0001429	FGIG_09736	SMRG1_53630.1
OG0001430	FGIG_09780, FGIG_09781	SMRG1_55720.1, SMRG1_55710.1
OG0001431	FGIG_09903	SMRG1_65970.1
OG0001432	FGIG_10624, FGIG_10046	SMRG1_21700.1
OG0001433	FGIG_10236	SMRG1_21200.4, SMRG1_21200.3, SMRG1_21200.1, SMRG1_21200.2
OG0001434	FGIG_10315	SMRG1_96420.1, SMRG1_96420.2
OG0001435	FGIG_10602	SMRG1_77840.4, SMRG1_77840.5, SMRG1_77840.6, SMRG1_77840.3, SMRG1_77840.2, SMRG1_77840.1
OG0001436	FGIG_10675	SMRG1_78240.1, SMRG1_78240.2, SMRG1_78240.3, SMRG1_78240.4, SMRG1_78240.5, SMRG1_78240.6
OG0001437	FGIG_11037	SMRG1_50750.1, SMRG1_55140.1, SMRG1_55140.2
OG0001438	FGIG_12188, FGIG_11078	SMRG1_18430.2, SMRG1_18430.1, SMRG1_18430.3
OG0001439	FGIG_11413	SMRG1_76310.1
OG0001440	FGIG_11566, FGIG_11647	SMRG1_37440.1, SMRG1_37440.2, SMRG1_37440.3, SMRG1_37440.4
OG0001441	FGIG_11575	SMRG1_91160.1, SMRG1_91160.2
OG0001442	FGIG_12309	SMRG1_62980.3, SMRG1_62980.4, SMRG1_62980.1, SMRG1_62980.2
OG0001443	FGIG_12392	SMRG1_18940.5, SMRG1_18940.7, SMRG1_18940.6, SMRG1_18940.1, SMRG1_18940.4, SMRG1_18940.2, SMRG1_18940.3
OG0001453	FGIG_00007	SMRG1_52910.12, SMRG1_52910.8, SMRG1_52910.13, SMRG1_52910.9, SMRG1_52910.1, SMRG1_52910.11, SMRG1_52910.4, SMRG1_52910.6, SMRG1_52910.7, SMRG1_52910.3, SMRG1_52910.10, SMRG1_52910.2, SMRG1_52910.5
OG0001454	FGIG_00100	SMRG1_83380.1
OG0001455	FGIG_00375	SMRG1_97550.1, SMRG1_97550.2, SMRG1_97550.3, SMRG1_97550.4
OG0001456	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394	SMRG1_69310.1, SMRG1_69310.2
OG0001457	FGIG_00527	SMRG1_5050.1, SMRG1_5040.1
OG0001458	FGIG_00598	SMRG1_30270.1, SMRG1_30270.2
OG0001459	FGIG_00625	SMRG1_57720.1, SMRG1_57710.1
OG0001460	FGIG_00746	SMRG1_36160.2, SMRG1_36160.4, SMRG1_36160.1, SMRG1_36160.3, SMRG1_36160.6, SMRG1_36160.5
OG0001461	FGIG_00812	SMRG1_28380.1
OG0001462	FGIG_00838	SMRG1_58180.1, SMRG1_58180.2
OG0001463	FGIG_00845, FGIG_00847, FGIG_00842	SMRG1_61240.1, SMRG1_61250.1, SMRG1_61250.2, SMRG1_61250.3
OG0001464	FGIG_01002, FGIG_01001	SMRG1_53860.1, SMRG1_53860.3, SMRG1_53860.2, SMRG1_53860.4
OG0001465	FGIG_01084, FGIG_01085, FGIG_01083	SMRG1_75840.1
OG0001466	FGIG_01468	SMRG1_4810.1, SMRG1_4810.2, SMRG1_4810.3
OG0001467	FGIG_01527	SMRG1_63500.1
OG0001468	FGIG_01678	SMRG1_4440.1, SMRG1_4440.2
OG0001469	FGIG_02035	SMRG1_82990.2, SMRG1_82990.4, SMRG1_82990.1, SMRG1_82990.3
OG0001470	FGIG_02478	SMRG1_65210.3, SMRG1_65210.4, SMRG1_65210.1, SMRG1_65210.2
OG0001471	FGIG_02485	SMRG1_60240.1, SMRG1_60240.3, SMRG1_60240.2, SMRG1_60240.4
OG0001472	FGIG_02729	SMRG1_65110.2, SMRG1_65110.1, SMRG1_65110.3
OG0001473	FGIG_02731	SMRG1_74640.1
OG0001474	FGIG_03047	SMRG1_40680.2, SMRG1_40680.1, SMRG1_40680.3
OG0001475	FGIG_03100	SMRG1_55080.1, SMRG1_55080.2, SMRG1_55080.4, SMRG1_55080.3
OG0001476	FGIG_03317, FGIG_03318, FGIG_03319	SMRG1_8090.1
OG0001477	FGIG_05669, FGIG_03473	SMRG1_56370.2, SMRG1_56370.4, SMRG1_56370.3, SMRG1_56370.5, SMRG1_56370.1, SMRG1_56370.6
OG0001478	FGIG_03510	SMRG1_21750.1
OG0001479	FGIG_03824, FGIG_03823	SMRG1_9130.3, SMRG1_9130.4, SMRG1_9130.5, SMRG1_9130.2, SMRG1_9130.1
OG0001480	FGIG_03902, FGIG_09394	SMRG1_10430.1, SMRG1_10430.2, SMRG1_10430.3
OG0001481	FGIG_03954	SMRG1_48250.1
OG0001482	FGIG_03987, FGIG_03989	SMRG1_93610.1, SMRG1_93610.2, SMRG1_93610.3, SMRG1_93610.6, SMRG1_93610.4, SMRG1_93610.5, SMRG1_93610.7
OG0001483	FGIG_04016, FGIG_04017	SMRG1_71570.2, SMRG1_71570.1
OG0001484	FGIG_04029	SMRG1_22710.1, SMRG1_22710.3, SMRG1_22710.2, SMRG1_22710.4
OG0001485	FGIG_04100	SMRG1_33930.1, SMRG1_33930.2
OG0001486	FGIG_04199	SMRG1_53450.1, SMRG1_53450.2, SMRG1_53450.3
OG0001487	FGIG_04338	SMRG1_24750.1, SMRG1_24750.2
OG0001488	FGIG_10101	SMRG1_36040.1, SMRG1_36040.2
OG0001488	FGIG_04424, FGIG_09377	SMRG1_96770.1
OG0001489	FGIG_04514	SMRG1_25510.2, SMRG1_25510.1, SMRG1_25510.3
OG0001490	FGIG_04737	SMRG1_31610.1, SMRG1_31610.2
OG0001491	FGIG_04881	SMRG1_5370.1, SMRG1_5370.2
OG0001492	FGIG_05028	SMRG1_49120.3, SMRG1_49130.1, SMRG1_49120.1, SMRG1_49120.2
OG0001493	FGIG_05082	SMRG1_46410.1, SMRG1_46410.2
OG0001494	FGIG_05163	SMRG1_26490.3, SMRG1_26490.4, SMRG1_26490.1, SMRG1_26490.2
OG0001495	FGIG_05214	SMRG1_7230.1, SMRG1_7230.2
OG0001496	FGIG_05312	SMRG1_76390.1, SMRG1_76390.3, SMRG1_76390.2
OG0001497	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298	SMRG1_34500.1, SMRG1_34500.2, SMRG1_34500.4, SMRG1_34500.3
OG0001498	FGIG_05326	SMRG1_45650.2, SMRG1_45650.1
OG0001499	FGIG_05475	SMRG1_64950.2, SMRG1_64950.3, SMRG1_64950.1, SMRG1_64950.4
OG0001500	FGIG_05484	SMRG1_67000.1
OG0001501	FGIG_05719	SMRG1_94100.1, SMRG1_94100.2, SMRG1_94100.3
OG0001502	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911	SMRG1_81200.1, SMRG1_1220.1
OG0001503	FGIG_05914, FGIG_05913, FGIG_12549	SMRG1_52290.1, SMRG1_52290.2, SMRG1_52290.3, SMRG1_52290.4, SMRG1_52290.5, SMRG1_52290.6
OG0001504	FGIG_06003	SMRG1_63990.1
OG0001505	FGIG_06009, FGIG_06008, FGIG_11726	SMRG1_94720.1, SMRG1_94680.1, SMRG1_94710.1
OG0001506	FGIG_11884, FGIG_06191	SMRG1_13780.1
OG0001507	FGIG_06422	SMRG1_52770.1
OG0001508	FGIG_06515	SMRG1_38890.4, SMRG1_38890.2, SMRG1_38890.3, SMRG1_38890.1
OG0001509	FGIG_08725, FGIG_06689, FGIG_11470	SMRG1_75280.1
OG0001510	FGIG_09309	SMRG1_42010.5
OG0001511	FGIG_07488	SMRG1_31830.1, SMRG1_31830.2
OG0001512	FGIG_07543, FGIG_08646	SMRG1_71660.1, SMRG1_71660.2, SMRG1_71660.3, SMRG1_71660.4
OG0001513	FGIG_07584	SMRG1_13970.1
OG0001514	FGIG_11472, FGIG_07598	SMRG1_610.1
OG0001515	FGIG_07783	SMRG1_2100.1, SMRG1_8880.1
OG0001516	FGIG_08344	SMRG1_19310.1
OG0001516	FGIG_08392	SMRG1_19290.1
OG0001517	FGIG_08150	SMRG1_27650.1, SMRG1_27650.2
OG0001518	FGIG_08552, FGIG_08418	SMRG1_76440.1
OG0001519	FGIG_08498	SMRG1_76270.1
OG0001521	FGIG_09187	SMRG1_55450.1, SMRG1_55450.2
OG0001522	FGIG_09207	SMRG1_9490.3, SMRG1_9490.1, SMRG1_9490.2
OG0001523	FGIG_09296	SMRG1_49250.1, SMRG1_49250.2
OG0001524	FGIG_09430	SMRG1_82680.1
OG0001525	FGIG_10654, FGIG_09632	SMRG1_33820.1, SMRG1_33820.2, SMRG1_33820.3, SMRG1_33820.4
OG0001526	FGIG_09633	SMRG1_53430.4, SMRG1_53430.6, SMRG1_53430.1, SMRG1_53430.5, SMRG1_53430.2, SMRG1_53430.3
OG0001527	FGIG_09634	SMRG1_90400.1, SMRG1_90400.2
OG0001528	FGIG_09818, FGIG_10180	SMRG1_43220.1, SMRG1_43220.2, SMRG1_43220.3, SMRG1_43220.4
OG0001529	FGIG_09837	SMRG1_61890.1, SMRG1_61890.2, SMRG1_61890.3, SMRG1_61890.8, SMRG1_61890.9, SMRG1_61890.4, SMRG1_61890.5, SMRG1_61890.6, SMRG1_61890.10, SMRG1_61890.11, SMRG1_61890.7
OG0001530	FGIG_09879	SMRG1_47330.5, SMRG1_47330.6, SMRG1_47330.7, SMRG1_47330.4, SMRG1_47330.3, SMRG1_47330.1, SMRG1_47330.2
OG0001531	FGIG_10103	SMRG1_18280.1, SMRG1_18290.1
OG0001532	FGIG_10146, FGIG_10147	SMRG1_2830.1, SMRG1_2830.2, SMRG1_2830.3, SMRG1_2830.4, SMRG1_2830.5
OG0001533	FGIG_10179	SMRG1_59180.1, SMRG1_59180.2, SMRG1_59180.5, SMRG1_59180.3, SMRG1_59180.4
OG0001534	FGIG_10287	SMRG1_74950.1, SMRG1_74950.2
OG0001535	FGIG_10930, FGIG_10298	SMRG1_88270.2, SMRG1_88270.6, SMRG1_88270.3, SMRG1_88270.4, SMRG1_88270.1, SMRG1_88270.5
OG0001536	FGIG_10698	SMRG1_21170.3, SMRG1_21170.1, SMRG1_21170.2
OG0001537	FGIG_11105	SMRG1_370.1, SMRG1_350.1, SMRG1_350.2
OG0001538	FGIG_11361	SMRG1_89050.1, SMRG1_89050.2, SMRG1_89050.3
OG0001539	FGIG_11593	SMRG1_500.1
OG0001540	FGIG_11704	SMRG1_39110.1
OG0001541	FGIG_11817	SMRG1_84780.1
OG0001542	FGIG_11924	SMRG1_48850.1, SMRG1_48850.2, SMRG1_48850.3
OG0001543	FGIG_11936	SMRG1_84640.1, SMRG1_84640.2, SMRG1_84640.3
OG0001544	FGIG_12130, FGIG_12131	SMRG1_12180.1, SMRG1_12180.2
OG0001554	FGIG_07971, FGIG_07969	SMRG1_30800.1
OG0001555	FGIG_00531, FGIG_00530, FGIG_00127	SMRG1_76420.1, SMRG1_76400.1
OG0001556	FGIG_00492	SMRG1_32320.1, SMRG1_32320.2
OG0001557	FGIG_00563	SMRG1_41320.1, SMRG1_41320.3, SMRG1_41320.2
OG0001558	FGIG_00593	SMRG1_81090.1, SMRG1_80570.1, SMRG1_80570.2, SMRG1_81140.1, SMRG1_81140.2, SMRG1_97960.1, SMRG1_68510.1, SMRG1_68560.1, SMRG1_68560.3, SMRG1_68560.2
OG0001560	FGIG_00841	SMRG1_63730.1, SMRG1_63730.2
OG0001561	FGIG_00934, FGIG_03387	SMRG1_46440.2, SMRG1_46440.1, SMRG1_46440.3
OG0001562	FGIG_01022	SMRG1_75360.1, SMRG1_75360.2
OG0001563	FGIG_01149	SMRG1_44000.1, SMRG1_44000.2
OG0001564	FGIG_12337, FGIG_01165, FGIG_01166	SMRG1_49630.3, SMRG1_49630.1, SMRG1_49630.2, SMRG1_49630.4
OG0001565	FGIG_01252	SMRG1_65520.1, SMRG1_65520.2, SMRG1_65520.3
OG0001566	FGIG_01332, FGIG_01331	SMRG1_63630.3, SMRG1_63630.4, SMRG1_63630.6, SMRG1_63630.5, SMRG1_63630.1, SMRG1_63630.2
OG0001567	FGIG_01351, FGIG_02042	SMRG1_78110.1, SMRG1_78110.2
OG0001568	FGIG_01381, FGIG_10926	SMRG1_80780.2, SMRG1_80780.6, SMRG1_80780.7, SMRG1_80780.1, SMRG1_80780.3, SMRG1_80780.4, SMRG1_80780.5
OG0001569	FGIG_01430	SMRG1_21920.1, SMRG1_21920.4, SMRG1_21920.2, SMRG1_21920.3, SMRG1_21920.5
OG0001570	FGIG_01497	SMRG1_72370.2, SMRG1_72370.1, SMRG1_45080.1
OG0001571	FGIG_01541	SMRG1_6170.1
OG0001572	FGIG_01643	SMRG1_63650.1, SMRG1_63650.2, SMRG1_63650.3
OG0001573	FGIG_01771	SMRG1_26570.3, SMRG1_26570.1, SMRG1_26570.2, SMRG1_26570.4
OG0001574	FGIG_01776	SMRG1_35410.1
OG0001575	FGIG_01819	SMRG1_11240.1
OG0001576	FGIG_01874, FGIG_01873	SMRG1_89510.1, SMRG1_89510.2, SMRG1_89510.3
OG0001577	FGIG_02105	SMRG1_29120.1, SMRG1_29120.2
OG0001578	FGIG_02177	SMRG1_56990.1, SMRG1_56990.2, SMRG1_56990.3
OG0001579	FGIG_02212	SMRG1_18030.1, SMRG1_18030.3, SMRG1_18030.4, SMRG1_18030.5, SMRG1_18030.2
OG0001580	FGIG_02237	SMRG1_42270.1, SMRG1_42270.5, SMRG1_42270.6, SMRG1_42270.7, SMRG1_42270.4, SMRG1_42270.2, SMRG1_42270.3
OG0001581	FGIG_02435	SMRG1_79090.3, SMRG1_79090.1, SMRG1_79090.2
OG0001582	FGIG_02459	SMRG1_56610.1, SMRG1_56610.2, SMRG1_56610.3, SMRG1_56610.4, SMRG1_56610.5
OG0001583	FGIG_02462	SMRG1_42160.1, SMRG1_42160.2, SMRG1_42150.1, SMRG1_42160.3
OG0001584	FGIG_02509, FGIG_02508	SMRG1_34820.2, SMRG1_34820.1, SMRG1_34820.3
OG0001585	FGIG_02700	SMRG1_40290.1
OG0001586	FGIG_02757	SMRG1_17140.1
OG0001587	FGIG_02789, FGIG_08846	SMRG1_16160.2, SMRG1_16160.3, SMRG1_16160.1, SMRG1_16160.4
OG0001588	FGIG_03013	SMRG1_63350.1, SMRG1_63360.1, SMRG1_63360.2
OG0001589	FGIG_03031	SMRG1_34080.2, SMRG1_34080.3, SMRG1_34080.1, SMRG1_34080.4
OG0001590	FGIG_03074	SMRG1_70150.3, SMRG1_70150.5, SMRG1_70150.6, SMRG1_70150.2, SMRG1_70150.1, SMRG1_70150.4, SMRG1_70150.7
OG0001591	FGIG_03110	SMRG1_97720.1, SMRG1_97720.2
OG0001592	FGIG_03254	SMRG1_16340.1, SMRG1_16340.2
OG0001593	FGIG_03389	SMRG1_59350.1, SMRG1_59350.2, SMRG1_59350.3
OG0001594	FGIG_03404	SMRG1_36430.1
OG0001595	FGIG_03681	SMRG1_66170.1
OG0001596	FGIG_03686	SMRG1_80510.1, SMRG1_80510.4, SMRG1_80510.2, SMRG1_80510.3, SMRG1_80510.5
OG0001597	FGIG_03710	SMRG1_73940.1, SMRG1_73940.2
OG0001598	FGIG_03711	SMRG1_46160.1, SMRG1_46160.2, SMRG1_46160.3, SMRG1_46160.4
OG0001599	FGIG_03826	SMRG1_70700.1, SMRG1_70700.2, SMRG1_70700.3, SMRG1_70700.4
OG0001600	FGIG_03860	SMRG1_30170.1
OG0001601	FGIG_04047	SMRG1_66820.4, SMRG1_66820.1, SMRG1_66820.2, SMRG1_66820.3
OG0001602	FGIG_04252	SMRG1_12990.1
