Orthogroup	fasciola_gigantica	schistosoma_intercalatum
OG0000449	FGIG_00826	SINT1_96380.1, SINT1_96380.2, SINT1_57340.1
OG0000450	FGIG_01291, FGIG_04679	SINT1_24900.1
OG0000452	FGIG_03230	SINT1_39410.1, SINT1_39410.2, SINT1_39410.8, SINT1_39410.5, SINT1_39410.3, SINT1_39410.4, SINT1_39410.9, SINT1_39410.6, SINT1_39410.7
OG0000453	FGIG_04192	SINT1_61910.6, SINT1_61910.2, SINT1_61910.4, SINT1_61910.1, SINT1_61910.3, SINT1_61910.5
OG0000454	FGIG_09647	SINT1_82530.1, SINT1_82540.1, SINT1_71110.1
OG0000455	FGIG_06485	SINT1_12490.3, SINT1_12490.4, SINT1_12490.6, SINT1_12490.8, SINT1_12490.5, SINT1_12490.1, SINT1_12490.2, SINT1_12490.10, SINT1_12490.7, SINT1_12490.9
OG0000456	FGIG_08883	SINT1_70210.1, SINT1_70210.10, SINT1_70210.11, SINT1_70210.12, SINT1_70210.13, SINT1_70210.2, SINT1_70210.9, SINT1_70210.5, SINT1_70210.3, SINT1_70210.4, SINT1_70210.6, SINT1_70210.7, SINT1_70210.8
OG0000457	FGIG_08921	SINT1_28700.1, SINT1_28700.2, SINT1_28700.4, SINT1_28700.5, SINT1_28700.3
OG0000458	FGIG_09209	SINT1_34380.1, SINT1_34380.4, SINT1_34380.5, SINT1_34380.12, SINT1_34380.11, SINT1_34380.6, SINT1_34380.2, SINT1_34380.3, SINT1_34380.7, SINT1_34380.8, SINT1_34380.9, SINT1_34380.10
OG0000459	FGIG_09431	SINT1_9580.2, SINT1_9580.3, SINT1_9580.6, SINT1_9580.9, SINT1_9580.11, SINT1_9580.12, SINT1_9580.8, SINT1_9580.10, SINT1_9580.1, SINT1_9580.4, SINT1_9580.5, SINT1_9580.7
OG0000460	FGIG_11773	SINT1_12640.1
OG0000464	FGIG_00328, FGIG_00327	SINT1_14240.14, SINT1_14240.7, SINT1_14240.15, SINT1_14240.9, SINT1_14240.10, SINT1_14240.11, SINT1_14240.1, SINT1_14240.12, SINT1_14240.13, SINT1_14240.16, SINT1_14240.17, SINT1_14240.18, SINT1_14240.2, SINT1_14240.3, SINT1_14240.4, SINT1_14240.5, SINT1_14240.8, SINT1_14240.6
OG0000465	FGIG_00532	SINT1_74730.1, SINT1_74730.2
OG0000466	FGIG_01561, FGIG_03877, FGIG_01560, FGIG_01559	SINT1_53220.1, SINT1_53220.2, SINT1_53220.3, SINT1_53220.4, SINT1_53220.5
OG0000467	FGIG_02474, FGIG_02706, FGIG_02707, FGIG_02708, FGIG_02710, FGIG_02709	SINT1_37020.1
OG0000468	FGIG_02572	SINT1_69960.5, SINT1_69960.1, SINT1_69960.2, SINT1_69960.3, SINT1_69960.4
OG0000469	FGIG_03009	SINT1_3920.1
OG0000470	FGIG_04092	SINT1_51250.3, SINT1_51250.1, SINT1_51250.2, SINT1_51250.5, SINT1_51250.4
OG0000471	FGIG_05330, FGIG_05331	SINT1_86960.11, SINT1_86960.10, SINT1_86960.9, SINT1_86960.12, SINT1_86960.1, SINT1_86960.7, SINT1_86960.4, SINT1_86960.5, SINT1_86960.2, SINT1_86960.6, SINT1_86960.8, SINT1_86960.3
OG0000472	FGIG_10508, FGIG_06143	SINT1_36970.1
OG0000473	FGIG_06411, FGIG_12123, FGIG_06410	SINT1_4980.4, SINT1_4980.6, SINT1_4980.1, SINT1_4980.3, SINT1_4980.5, SINT1_4980.2
OG0000474	FGIG_08569	SINT1_23010.1
OG0000474	FGIG_07254	SINT1_45800.1
OG0000475	FGIG_07645	SINT1_63430.2, SINT1_63430.4, SINT1_63430.8, SINT1_63430.5, SINT1_63430.9, SINT1_63430.6, SINT1_63430.1, SINT1_63430.3, SINT1_63430.7
OG0000476	FGIG_08382, FGIG_08383	SINT1_21560.4, SINT1_21560.5, SINT1_21560.3, SINT1_21560.1, SINT1_21560.2
OG0000477	FGIG_08447, FGIG_12672	SINT1_45720.1
OG0000478	FGIG_10674	SINT1_6390.1
OG0000479	FGIG_09169	SINT1_31660.8, SINT1_31660.4, SINT1_31660.1, SINT1_31660.2, SINT1_31660.3, SINT1_31660.5, SINT1_31660.6, SINT1_31660.7
OG0000480	FGIG_09555	SINT1_63680.1
OG0000481	FGIG_11554, FGIG_10028	SINT1_64670.1, SINT1_64670.2, SINT1_64670.4, SINT1_64670.3
OG0000482	FGIG_10421	SINT1_9980.6, SINT1_9980.4, SINT1_9980.7, SINT1_9980.3, SINT1_9980.5, SINT1_9980.1, SINT1_9980.2
OG0000483	FGIG_11522, FGIG_10429	SINT1_94930.1, SINT1_57010.1, SINT1_57010.2
OG0000484	FGIG_10469, FGIG_11973	SINT1_95320.1, SINT1_96800.1, SINT1_94720.1, SINT1_95310.1, SINT1_95930.1
OG0000485	FGIG_10899	SINT1_13650.5, SINT1_13650.1, SINT1_13650.4, SINT1_13650.2, SINT1_13650.3
OG0000490	FGIG_00244	SINT1_96690.1, SINT1_96690.3, SINT1_67600.1, SINT1_67600.2, SINT1_67600.3, SINT1_67590.1, SINT1_96690.2
OG0000491	FGIG_01361	SINT1_30330.5, SINT1_30330.10, SINT1_30330.8, SINT1_30330.1, SINT1_30330.3, SINT1_30330.7, SINT1_30330.14, SINT1_30330.15, SINT1_30330.4, SINT1_30330.13, SINT1_30330.2, SINT1_30330.11, SINT1_30330.12, SINT1_30330.6, SINT1_30330.9
OG0000492	FGIG_01399, FGIG_01400	SINT1_62210.1, SINT1_62210.3, SINT1_62210.2
OG0000493	FGIG_10535, FGIG_02574, FGIG_02575	SINT1_47460.1
OG0000493	FGIG_02106	SINT1_29100.1
OG0000494	FGIG_02261, FGIG_09004	SINT1_86280.1, SINT1_86280.2
OG0000495	FGIG_02597, FGIG_02595	SINT1_3090.1, SINT1_3090.4, SINT1_3090.2, SINT1_3090.3, SINT1_3090.5
OG0000496	FGIG_02657	SINT1_37840.7, SINT1_37840.4, SINT1_37840.2, SINT1_37840.3, SINT1_37840.6, SINT1_37840.1, SINT1_37840.5, SINT1_37840.8, SINT1_37840.9
OG0000497	FGIG_03046	SINT1_5450.2, SINT1_5450.1
OG0000498	FGIG_08610	SINT1_25280.1, SINT1_25280.2, SINT1_25280.3
OG0000498	FGIG_06356, FGIG_06355, FGIG_09764	SINT1_27260.1
OG0000499	FGIG_03308, FGIG_03309	SINT1_69910.1
OG0000500	FGIG_05535	SINT1_19330.3, SINT1_19330.1, SINT1_19330.2
OG0000501	FGIG_05786	SINT1_25960.1
OG0000502	FGIG_12630, FGIG_06672, FGIG_05947, FGIG_05868, FGIG_09687	SINT1_35630.3, SINT1_35630.2, SINT1_35630.1
OG0000503	FGIG_06020	SINT1_3720.1, SINT1_3720.2, SINT1_3720.4, SINT1_3720.5, SINT1_3720.3, SINT1_3720.6, SINT1_3720.7, SINT1_3720.9, SINT1_3720.8
OG0000504	FGIG_06236	SINT1_46840.2, SINT1_46840.3, SINT1_46840.5, SINT1_46840.7, SINT1_46840.6, SINT1_46840.4, SINT1_46840.1
OG0000505	FGIG_06258	SINT1_41160.8, SINT1_41160.1, SINT1_41160.2, SINT1_41160.3, SINT1_41160.4, SINT1_41160.5, SINT1_41160.6, SINT1_41160.7, SINT1_41160.9
OG0000506	FGIG_07761	SINT1_9430.6, SINT1_9430.10, SINT1_9430.11, SINT1_9430.4, SINT1_9430.5, SINT1_9430.8, SINT1_9430.2, SINT1_9430.3, SINT1_9430.9, SINT1_9430.7, SINT1_9430.1
OG0000507	FGIG_08020, FGIG_08019	SINT1_31390.3, SINT1_31390.6, SINT1_31390.8, SINT1_31390.1, SINT1_31390.4, SINT1_31390.2, SINT1_31390.7, SINT1_31390.5, SINT1_31390.9
OG0000508	FGIG_09651	SINT1_15230.2, SINT1_15230.3, SINT1_15230.4, SINT1_15230.5, SINT1_15230.1, SINT1_15230.6
OG0000509	FGIG_11147, FGIG_09900	SINT1_49400.1, SINT1_49400.2, SINT1_50950.2, SINT1_50950.1
OG0000510	FGIG_09919, FGIG_09920	SINT1_77670.1, SINT1_77670.2, SINT1_77700.1
OG0000511	FGIG_10110	SINT1_71620.1, SINT1_71630.1, SINT1_71640.1
OG0000512	FGIG_10635	SINT1_51460.9, SINT1_51460.7, SINT1_51460.8, SINT1_51460.1, SINT1_51460.2, SINT1_51460.3, SINT1_51460.4, SINT1_51460.5, SINT1_51460.6
OG0000513	FGIG_11295, FGIG_10901	SINT1_66700.1
OG0000514	FGIG_11731	SINT1_45730.1
OG0000515	FGIG_11760, FGIG_11877	SINT1_14810.5, SINT1_14810.4, SINT1_14810.7, SINT1_14810.1, SINT1_14810.2, SINT1_14810.8, SINT1_14810.3, SINT1_14810.6
OG0000516	FGIG_11912, FGIG_11911	SINT1_62880.1
OG0000517	FGIG_11937	SINT1_26000.2, SINT1_26000.3, SINT1_26000.5, SINT1_26000.1, SINT1_26000.4
OG0000521	FGIG_00188	SINT1_70870.2, SINT1_70870.1, SINT1_70870.3, SINT1_70870.4, SINT1_70870.5
OG0000522	FGIG_00655	SINT1_94910.1, SINT1_94910.2
OG0000523	FGIG_00791	SINT1_75840.1, SINT1_75840.3, SINT1_75840.4, SINT1_75840.5, SINT1_75840.6, SINT1_75840.2, SINT1_75840.7, SINT1_75840.10, SINT1_75840.9, SINT1_75840.8
OG0000524	FGIG_00872, FGIG_04807	SINT1_12560.1, SINT1_12560.2, SINT1_12560.4, SINT1_12560.3, SINT1_12560.5
OG0000525	FGIG_03698	SINT1_50460.1, SINT1_50460.5, SINT1_50460.3, SINT1_50460.4, SINT1_50460.2, SINT1_50460.6
OG0000526	FGIG_03947, FGIG_03948, FGIG_03949, FGIG_03950	SINT1_17000.3, SINT1_17000.1, SINT1_17000.2, SINT1_17000.5, SINT1_17000.6, SINT1_17000.4
OG0000527	FGIG_04305, FGIG_04306	SINT1_19220.1, SINT1_19220.3, SINT1_19220.2
OG0000528	FGIG_05456, FGIG_05455	SINT1_32160.4, SINT1_32160.1, SINT1_32160.3, SINT1_32160.6, SINT1_32160.2, SINT1_32160.5
OG0000529	FGIG_05544	SINT1_15790.1
OG0000529	FGIG_08863	SINT1_25580.1, SINT1_25580.2
OG0000530	FGIG_05770	SINT1_94180.1, SINT1_94190.1
OG0000531	FGIG_05789, FGIG_10492, FGIG_10493	SINT1_76590.4, SINT1_76590.7, SINT1_76590.3, SINT1_76590.2, SINT1_76590.6, SINT1_76590.1, SINT1_76590.5, SINT1_76590.8
OG0000532	FGIG_07231	SINT1_4940.2, SINT1_4940.3, SINT1_4940.1
OG0000533	FGIG_07562	SINT1_19390.3, SINT1_19390.2, SINT1_19390.1, SINT1_19390.4
OG0000534	FGIG_13988, FGIG_07681	SINT1_70120.3, SINT1_70120.2, SINT1_70120.1, SINT1_70120.4
OG0000535	FGIG_12466, FGIG_08126, FGIG_08125	SINT1_58460.1, SINT1_58490.1
OG0000536	FGIG_08935, FGIG_08934	SINT1_65460.1
OG0000537	FGIG_12232, FGIG_12182	SINT1_53390.3, SINT1_53390.5, SINT1_53390.4, SINT1_53390.1, SINT1_53390.2, SINT1_53390.6
OG0000539	FGIG_00008	SINT1_46700.1, SINT1_46700.2, SINT1_46700.3
OG0000540	FGIG_00485, FGIG_00487	SINT1_5710.1, SINT1_5710.2, SINT1_5710.3, SINT1_5710.4
OG0000541	FGIG_00810	SINT1_28900.2, SINT1_28900.1, SINT1_28900.4, SINT1_28900.3
OG0000542	FGIG_00859	SINT1_85720.4, SINT1_85720.5, SINT1_85720.1, SINT1_85720.3, SINT1_85720.2
OG0000543	FGIG_01118	SINT1_15140.7, SINT1_15140.1, SINT1_15140.2, SINT1_15140.3, SINT1_15140.4, SINT1_15140.6, SINT1_15140.5
OG0000544	FGIG_01478, FGIG_01480	SINT1_78690.1
OG0000545	FGIG_02161	SINT1_46490.1
OG0000545	FGIG_04734	SINT1_68990.1, SINT1_68990.2, SINT1_68990.3, SINT1_68990.5, SINT1_68990.4
OG0000546	FGIG_02171	SINT1_29640.1, SINT1_29640.5, SINT1_29640.2, SINT1_29640.3, SINT1_29640.7, SINT1_29640.6, SINT1_29640.4
OG0000547	FGIG_02243	SINT1_87170.1, SINT1_87170.2, SINT1_87170.3
OG0000548	FGIG_02293	SINT1_29740.4, SINT1_29740.5, SINT1_29740.3, SINT1_29740.6, SINT1_29740.7, SINT1_29740.1, SINT1_29740.2
OG0000549	FGIG_02503	SINT1_11110.1, SINT1_11110.2, SINT1_11110.3, SINT1_11110.5, SINT1_11110.4
OG0000550	FGIG_02524, FGIG_04548	SINT1_18840.1, SINT1_18830.1
OG0000552	FGIG_03044	SINT1_5470.3, SINT1_5470.2, SINT1_5470.1
OG0000552	FGIG_10688	SINT1_84830.1
OG0000553	FGIG_06277, FGIG_03255	SINT1_92960.2, SINT1_92960.4, SINT1_92960.5, SINT1_92960.3, SINT1_92960.1
OG0000554	FGIG_03594, FGIG_03593, FGIG_09273	SINT1_11240.1
OG0000555	FGIG_06696, FGIG_03633, FGIG_07782	SINT1_43550.1, SINT1_43550.2
OG0000556	FGIG_04270	SINT1_65350.1, SINT1_65350.3, SINT1_65350.2
OG0000557	FGIG_04408	SINT1_37740.2, SINT1_37740.7, SINT1_37740.1, SINT1_37740.5, SINT1_37740.6, SINT1_37740.4, SINT1_37740.3
OG0000558	FGIG_04989	SINT1_17920.1
OG0000559	FGIG_05022, FGIG_05024, FGIG_05023	SINT1_79590.1, SINT1_79590.3, SINT1_79590.2
OG0000560	FGIG_05328	SINT1_94680.1, SINT1_94680.2, SINT1_94680.4, SINT1_94680.3
OG0000561	FGIG_05533	SINT1_93360.1
OG0000562	FGIG_05555, FGIG_05553	SINT1_83240.1, SINT1_83240.3, SINT1_83240.4, SINT1_83240.2, SINT1_83320.3
OG0000563	FGIG_06026	SINT1_20170.5, SINT1_20170.4, SINT1_20170.2, SINT1_20170.1, SINT1_20170.3
OG0000564	FGIG_06399, FGIG_10134	SINT1_41960.1, SINT1_41960.2, SINT1_41960.3
OG0000565	FGIG_06423	SINT1_3380.1, SINT1_3380.3, SINT1_3380.2
OG0000566	FGIG_06842	SINT1_80910.4, SINT1_80910.1, SINT1_80910.5, SINT1_80910.2, SINT1_80910.3
OG0000567	FGIG_07651	SINT1_65260.1
OG0000568	FGIG_08587	SINT1_56550.1
OG0000568	FGIG_08255	SINT1_66460.1
OG0000568	FGIG_08984	SINT1_34990.1
OG0000569	FGIG_08518	SINT1_9740.1
OG0000570	FGIG_11175, FGIG_11174, FGIG_08779	SINT1_13170.8, SINT1_13170.9, SINT1_13170.7, SINT1_13170.2, SINT1_13170.3, SINT1_13170.6, SINT1_13170.4, SINT1_13170.5, SINT1_13170.1
OG0000571	FGIG_09381, FGIG_08972	SINT1_9030.1
OG0000572	FGIG_10316	SINT1_59080.1
OG0000574	FGIG_11179, FGIG_10756	SINT1_2810.1, SINT1_2850.1
OG0000575	FGIG_10778	SINT1_92850.3, SINT1_92850.5, SINT1_92850.4, SINT1_92850.6, SINT1_92850.1, SINT1_92850.2
OG0000576	FGIG_11079	SINT1_44160.10, SINT1_44160.11, SINT1_44160.9, SINT1_44160.3, SINT1_44160.5, SINT1_44160.7, SINT1_44160.2, SINT1_44160.1, SINT1_44160.8, SINT1_44160.4, SINT1_44160.6
OG0000580	FGIG_01348	SINT1_39230.1
OG0000580	FGIG_06846	SINT1_32400.1, SINT1_32400.2
OG0000581	FGIG_01599, FGIG_01600, FGIG_01602	SINT1_60760.7, SINT1_60760.8, SINT1_60760.1, SINT1_60760.4, SINT1_60760.5, SINT1_60760.3, SINT1_60760.2, SINT1_60760.6
OG0000582	FGIG_08180, FGIG_01623, FGIG_12483, FGIG_04914	SINT1_81700.1, SINT1_81710.1
OG0000582	FGIG_04913	SINT1_81720.1
OG0000583	FGIG_01854	SINT1_60390.1, SINT1_60390.3, SINT1_60390.4, SINT1_60390.2
OG0000584	FGIG_02128	SINT1_28560.3, SINT1_28560.4, SINT1_28560.5, SINT1_28560.1, SINT1_28560.2, SINT1_28560.6, SINT1_28560.7, SINT1_28560.11, SINT1_28560.10, SINT1_28560.8, SINT1_28560.9
OG0000585	FGIG_03970	SINT1_5900.1
OG0000586	FGIG_04310	SINT1_31110.1
OG0000587	FGIG_06053, FGIG_06054, FGIG_06186, FGIG_06185, FGIG_10628	SINT1_9440.1
OG0000588	FGIG_04873, FGIG_04872	SINT1_96310.1, SINT1_96330.1, SINT1_96280.1, SINT1_96320.1, SINT1_96350.1, SINT1_96340.1, SINT1_22680.1, SINT1_96360.1
OG0000589	FGIG_05822	SINT1_54780.1
OG0000590	FGIG_06108	SINT1_29290.1
OG0000590	FGIG_09604	SINT1_40570.1
OG0000591	FGIG_07049	SINT1_3390.1, SINT1_3390.3, SINT1_3390.5, SINT1_3390.2, SINT1_3390.4
OG0000592	FGIG_07330	SINT1_30950.1, SINT1_30950.2, SINT1_30950.4, SINT1_30950.6, SINT1_30950.7, SINT1_30950.8, SINT1_30950.3, SINT1_30950.5
OG0000593	FGIG_07487	SINT1_31860.1
OG0000594	FGIG_09951	SINT1_49270.1
OG0000595	FGIG_10443	SINT1_47700.1
OG0000598	FGIG_00058	SINT1_12960.1
OG0000599	FGIG_00310	SINT1_62340.1, SINT1_62340.2
OG0000600	FGIG_00415	SINT1_67100.1, SINT1_67110.1
OG0000601	FGIG_00679, FGIG_00677	SINT1_93270.1, SINT1_93270.2, SINT1_93280.1
OG0000601	FGIG_06993, FGIG_06994	SINT1_40980.1, SINT1_40980.2
OG0000602	FGIG_07880, FGIG_00906	SINT1_15170.1, SINT1_15170.2
OG0000603	FGIG_01276	SINT1_50300.4, SINT1_50300.5, SINT1_50300.2, SINT1_50300.1, SINT1_50300.3
OG0000604	FGIG_01861	SINT1_39390.5, SINT1_39390.3, SINT1_39390.1, SINT1_39390.2, SINT1_39390.4
OG0000605	FGIG_04127, FGIG_05340, FGIG_08932, FGIG_04128, FGIG_06075, FGIG_02168, FGIG_09785, FGIG_11355, FGIG_08151	SINT1_27640.1, SINT1_27640.2, SINT1_27640.3, SINT1_27640.4, SINT1_27600.1
OG0000606	FGIG_02582	SINT1_17240.1
OG0000606	FGIG_04619	SINT1_17240.1
OG0000606	FGIG_05706	SINT1_17240.1
OG0000606	FGIG_11978	SINT1_5290.1
OG0000607	FGIG_02390	SINT1_31160.4, SINT1_31160.1, SINT1_31160.5, SINT1_31160.3, SINT1_31160.2
OG0000608	FGIG_12153, FGIG_02513	SINT1_50710.1, SINT1_50710.2, SINT1_50710.3, SINT1_50710.4, SINT1_50710.5
OG0000609	FGIG_03553	SINT1_27520.3, SINT1_27520.1, SINT1_27520.2, SINT1_27510.1
OG0000610	FGIG_06791	SINT1_28330.1
OG0000610	FGIG_04026	SINT1_22860.1
OG0000611	FGIG_04031, FGIG_04611, FGIG_04610	SINT1_43150.1, SINT1_43190.1, SINT1_43170.1, SINT1_43180.1, SINT1_43160.1
OG0000612	FGIG_05075, FGIG_07356	SINT1_8980.4, SINT1_8980.5, SINT1_8980.6, SINT1_8980.9, SINT1_8980.1, SINT1_8980.2, SINT1_8980.3, SINT1_8980.8, SINT1_8980.7
OG0000613	FGIG_05297	SINT1_37050.2, SINT1_37050.1, SINT1_37050.3, SINT1_37050.4, SINT1_37050.5, SINT1_37050.6, SINT1_37050.7, SINT1_37050.8, SINT1_37050.9
OG0000614	FGIG_07551, FGIG_05357, FGIG_05708	SINT1_44350.1, SINT1_44350.2
OG0000615	FGIG_05820	SINT1_13330.4, SINT1_13330.5, SINT1_13330.3, SINT1_13330.1, SINT1_13330.2
OG0000616	FGIG_05900, FGIG_05899, FGIG_05901, FGIG_05902	SINT1_59830.4, SINT1_59830.5, SINT1_59830.6, SINT1_59830.2, SINT1_59830.1, SINT1_59830.3, SINT1_59830.7
OG0000617	FGIG_06140	SINT1_80500.1, SINT1_80500.2, SINT1_80500.3
OG0000618	FGIG_06230	SINT1_36450.1
OG0000619	FGIG_06508	SINT1_610.1, SINT1_610.2
OG0000620	FGIG_06888	SINT1_15400.1
OG0000620	FGIG_07590	SINT1_45690.1, SINT1_45690.2
OG0000621	FGIG_08191	SINT1_30120.5, SINT1_30120.1, SINT1_30120.3, SINT1_30120.2, SINT1_30120.4
OG0000622	FGIG_08378	SINT1_72460.10, SINT1_72460.9, SINT1_72460.1, SINT1_72460.3, SINT1_72460.7, SINT1_72460.5, SINT1_72460.4, SINT1_72460.2, SINT1_72460.6, SINT1_72460.8
OG0000623	FGIG_08778	SINT1_13130.6, SINT1_13130.1, SINT1_13130.2, SINT1_13130.5, SINT1_13130.3, SINT1_13130.4
OG0000624	FGIG_09639	SINT1_29070.1, SINT1_29070.3, SINT1_29070.2, SINT1_29070.4, SINT1_29070.5, SINT1_29070.6, SINT1_29070.7, SINT1_29070.8
OG0000625	FGIG_12467, FGIG_09809	SINT1_37430.1
OG0000626	FGIG_10065	SINT1_54610.1, SINT1_54610.4, SINT1_54610.2, SINT1_54610.3
OG0000627	FGIG_10215, FGIG_11735	SINT1_11970.1, SINT1_11970.4, SINT1_11970.2, SINT1_11970.3
OG0000628	FGIG_10311	SINT1_60880.1, SINT1_60880.2
OG0000629	FGIG_11102, FGIG_11404, FGIG_11103	SINT1_38880.1
OG0000630	FGIG_11115	SINT1_58530.1
OG0000631	FGIG_11204	SINT1_65390.1, SINT1_60910.1
OG0000632	FGIG_11309	SINT1_13450.1
OG0000633	FGIG_11961, FGIG_11512	SINT1_52510.1, SINT1_52510.2
OG0000636	FGIG_00195, FGIG_00194	SINT1_93030.3, SINT1_93030.1, SINT1_93030.2
OG0000637	FGIG_00401, FGIG_09972	SINT1_49540.1, SINT1_49540.2
OG0000638	FGIG_00444, FGIG_00445	SINT1_63740.1, SINT1_63740.7, SINT1_63740.3, SINT1_63740.5, SINT1_63740.6, SINT1_63740.2, SINT1_63740.4
OG0000639	FGIG_12024, FGIG_00548	SINT1_61530.3, SINT1_61530.1, SINT1_61530.2
OG0000640	FGIG_07362, FGIG_01307	SINT1_83270.2, SINT1_83270.3, SINT1_83270.4, SINT1_83270.5, SINT1_83270.1, SINT1_83360.1
OG0000641	FGIG_10155	SINT1_6660.1
OG0000641	FGIG_06676	SINT1_4480.1
OG0000642	FGIG_01513	SINT1_61590.1, SINT1_61590.3, SINT1_61590.7, SINT1_61590.8, SINT1_61590.4, SINT1_61590.5, SINT1_61590.2, SINT1_61590.6
OG0000643	FGIG_07634	SINT1_51960.1
OG0000643	FGIG_01520	SINT1_51950.1, SINT1_51950.2, SINT1_51950.4, SINT1_51950.3
OG0000644	FGIG_02755	SINT1_93970.5, SINT1_93970.1, SINT1_93970.2, SINT1_93970.4, SINT1_93970.3
OG0000645	FGIG_03205, FGIG_03204	SINT1_10550.1, SINT1_10530.1, SINT1_10530.4, SINT1_10530.3, SINT1_10530.2
OG0000646	FGIG_06464, FGIG_04063	SINT1_9020.1
OG0000647	FGIG_04352	SINT1_61770.1, SINT1_61770.2, SINT1_61770.3, SINT1_61770.4
OG0000648	FGIG_04810	SINT1_90570.2, SINT1_90570.4, SINT1_90570.1, SINT1_90570.3, SINT1_90580.1
OG0000649	FGIG_12167, FGIG_04864	SINT1_59570.1, SINT1_59570.2, SINT1_59570.3
OG0000650	FGIG_05802	SINT1_76520.4, SINT1_76520.1, SINT1_76520.2, SINT1_76520.3
OG0000651	FGIG_06711	SINT1_41780.1, SINT1_41780.3, SINT1_41780.2, SINT1_41780.4, SINT1_41780.5
OG0000652	FGIG_07451, FGIG_11251	SINT1_40190.3, SINT1_40190.4, SINT1_40190.5, SINT1_40190.1, SINT1_40190.2
OG0000653	FGIG_08008	SINT1_40760.1, SINT1_40760.3, SINT1_40760.4, SINT1_40760.5, SINT1_40760.2
OG0000654	FGIG_08135	SINT1_57870.6, SINT1_57870.7, SINT1_57870.5, SINT1_57870.3, SINT1_57870.4, SINT1_57870.9, SINT1_57870.8, SINT1_57870.2, SINT1_57870.1
OG0000655	FGIG_08460	SINT1_80450.1, SINT1_80450.2, SINT1_80450.3, SINT1_80450.4, SINT1_80450.5, SINT1_80450.6, SINT1_80450.7
OG0000656	FGIG_11331	SINT1_74340.3, SINT1_74340.1, SINT1_74340.2, SINT1_74340.4
OG0000657	FGIG_12016	SINT1_88650.1, SINT1_88650.3, SINT1_88650.4, SINT1_88650.5, SINT1_88650.2
OG0000663	FGIG_00042	SINT1_38150.2, SINT1_38150.1, SINT1_38150.4, SINT1_38150.3, SINT1_38150.5, SINT1_38150.6, SINT1_38150.7
OG0000664	FGIG_00049	SINT1_12460.2, SINT1_12460.1, SINT1_12460.3, SINT1_12460.4
OG0000665	FGIG_00160, FGIG_00161	SINT1_72110.1, SINT1_72110.2, SINT1_72110.4, SINT1_72110.5, SINT1_72110.6, SINT1_72110.8, SINT1_72110.3, SINT1_72110.10, SINT1_72110.9, SINT1_72110.7
OG0000666	FGIG_00549	SINT1_61520.4, SINT1_61520.1, SINT1_61520.2, SINT1_61520.3, SINT1_61520.5, SINT1_61520.6
OG0000667	FGIG_01542	SINT1_6200.1
OG0000668	FGIG_01730, FGIG_09027	SINT1_52430.4, SINT1_52430.2, SINT1_52430.3, SINT1_52430.1
OG0000669	FGIG_01837	SINT1_67530.4, SINT1_67530.1, SINT1_67530.5, SINT1_67530.6, SINT1_67530.2, SINT1_67530.3, SINT1_67530.7
OG0000671	FGIG_08408, FGIG_02086	SINT1_75460.1, SINT1_75460.2, SINT1_75460.3, SINT1_75460.4, SINT1_75460.5
OG0000672	FGIG_02238	SINT1_44270.1
OG0000673	FGIG_09403, FGIG_02862, FGIG_11262	SINT1_16200.3, SINT1_16200.1, SINT1_16200.2
OG0000674	FGIG_03748	SINT1_77020.1, SINT1_77020.4, SINT1_77020.2, SINT1_77020.3
OG0000675	FGIG_04836	SINT1_71260.1, SINT1_71260.3, SINT1_71260.2, SINT1_71260.4
OG0000676	FGIG_04981	SINT1_80390.1, SINT1_80390.2, SINT1_80390.3, SINT1_80390.4, SINT1_80390.5
OG0000677	FGIG_08608, FGIG_05149	SINT1_5200.1, SINT1_5200.5, SINT1_5200.4, SINT1_5200.6, SINT1_5200.3, SINT1_5200.2
OG0000678	FGIG_05212, FGIG_08440	SINT1_34540.1, SINT1_34540.2, SINT1_34540.3, SINT1_34540.4
OG0000679	FGIG_05421	SINT1_71320.1, SINT1_71320.2, SINT1_71320.3, SINT1_71320.4, SINT1_71320.5
OG0000680	FGIG_06325	SINT1_16990.1, SINT1_16990.2, SINT1_16990.5, SINT1_16990.3, SINT1_16990.4
OG0000681	FGIG_07672, FGIG_07674, FGIG_07673	SINT1_34920.1, SINT1_34920.5, SINT1_34920.7, SINT1_34920.8, SINT1_34920.2, SINT1_34920.3, SINT1_34920.4, SINT1_34920.6
OG0000682	FGIG_08671, FGIG_10440	SINT1_42980.3, SINT1_42980.5, SINT1_42980.4, SINT1_42980.6, SINT1_42980.2, SINT1_42980.1
OG0000683	FGIG_08868	SINT1_54980.1, SINT1_54980.2, SINT1_54980.3
OG0000683	FGIG_11508	SINT1_66710.1
OG0000684	FGIG_09603	SINT1_83180.1
OG0000685	FGIG_10349	SINT1_74150.1, SINT1_74150.2, SINT1_74150.3
OG0000686	FGIG_10794	SINT1_59760.2, SINT1_59760.4, SINT1_59760.1, SINT1_59760.3
OG0000687	FGIG_10988	SINT1_26910.1, SINT1_26910.2, SINT1_26910.6, SINT1_26910.3, SINT1_26910.5, SINT1_26910.4
OG0000688	FGIG_11395	SINT1_640.1
OG0000689	FGIG_11959, FGIG_11996, FGIG_12497	SINT1_2840.1
OG0000695	FGIG_01172	SINT1_94530.1
OG0000695	FGIG_00165	SINT1_45510.1, SINT1_45510.2
OG0000696	FGIG_00322	SINT1_5420.1
OG0000697	FGIG_00451	SINT1_40250.1, SINT1_40250.2
