Orthogroup	fasciola_gigantica	schistosoma_guineensis
OG0000797	FGIG_10416, FGIG_04513	SGUI1_20790.2, SGUI1_20790.1
OG0000798	FGIG_04574	SGUI1_1280.5, SGUI1_1280.1, SGUI1_1280.2, SGUI1_1280.4, SGUI1_1280.3
OG0000799	FGIG_04575	SGUI1_67190.1
OG0000800	FGIG_04703	SGUI1_9240.1, SGUI1_9250.1
OG0000801	FGIG_04893	SGUI1_15330.3, SGUI1_15330.1, SGUI1_15330.5, SGUI1_15330.4, SGUI1_15330.2
OG0000802	FGIG_07812	SGUI1_73610.1
OG0000802	FGIG_12596, FGIG_05603	SGUI1_58950.1
OG0000803	FGIG_05677	SGUI1_79620.1, SGUI1_79620.2, SGUI1_79620.3, SGUI1_79620.4, SGUI1_79620.5
OG0000804	FGIG_11847, FGIG_05852	SGUI1_41320.4, SGUI1_41320.3, SGUI1_41320.1, SGUI1_41320.2
OG0000805	FGIG_06069	SGUI1_36300.1, SGUI1_36300.3, SGUI1_36300.4, SGUI1_36300.2, SGUI1_36300.5
OG0000806	FGIG_06119	SGUI1_74020.1
OG0000807	FGIG_06243	SGUI1_9010.1
OG0000808	FGIG_06270	SGUI1_93890.1, SGUI1_93890.2, SGUI1_93890.3, SGUI1_93890.4
OG0000809	FGIG_06731, FGIG_11853	SGUI1_91270.2, SGUI1_91270.1, SGUI1_91270.3, SGUI1_91270.5, SGUI1_91270.4, SGUI1_91270.7, SGUI1_91270.8, SGUI1_91270.9, SGUI1_91270.6
OG0000810	FGIG_06961	SGUI1_24760.7, SGUI1_24760.2, SGUI1_24760.3, SGUI1_24760.6, SGUI1_24760.4, SGUI1_24760.8, SGUI1_24760.1, SGUI1_24760.5
OG0000811	FGIG_07144	SGUI1_10180.1, SGUI1_10180.2, SGUI1_10180.3
OG0000812	FGIG_07516	SGUI1_11140.1
OG0000813	FGIG_07818	SGUI1_86950.1, SGUI1_86950.4, SGUI1_86950.3, SGUI1_86950.2
OG0000814	FGIG_08219	SGUI1_63860.1
OG0000815	FGIG_08221, FGIG_11100, FGIG_08223	SGUI1_60030.1
OG0000816	FGIG_08709	SGUI1_84370.2, SGUI1_84370.3, SGUI1_84370.4, SGUI1_84370.1
OG0000817	FGIG_09135	SGUI1_88820.1
OG0000819	FGIG_09439	SGUI1_65830.1, SGUI1_65830.2, SGUI1_65830.3, SGUI1_65830.4, SGUI1_65830.5
OG0000821	FGIG_09921	SGUI1_49190.3, SGUI1_49190.4, SGUI1_49190.1, SGUI1_49190.2
OG0000822	FGIG_10054	SGUI1_74780.1
OG0000823	FGIG_10877	SGUI1_53540.1
OG0000823	FGIG_10391	SGUI1_93230.1
OG0000824	FGIG_10848	SGUI1_3080.1
OG0000825	FGIG_11216	SGUI1_77550.1, SGUI1_77530.1
OG0000826	FGIG_11695	SGUI1_55540.4, SGUI1_55540.2, SGUI1_55540.1, SGUI1_55540.3
OG0000827	FGIG_12190	SGUI1_75840.1
OG0000830	FGIG_00108	SGUI1_48960.2, SGUI1_48960.4, SGUI1_48960.1, SGUI1_48960.3
OG0000831	FGIG_00177	SGUI1_42480.2, SGUI1_42480.3, SGUI1_42480.1, SGUI1_42480.4, SGUI1_42480.5, SGUI1_42480.6, SGUI1_42480.7
OG0000832	FGIG_00455	SGUI1_60780.4, SGUI1_60780.2, SGUI1_60780.3, SGUI1_60780.1
OG0000833	FGIG_00489, FGIG_06899	SGUI1_33060.1
OG0000834	FGIG_00772	SGUI1_48800.2, SGUI1_48800.1, SGUI1_48800.3, SGUI1_48800.4
OG0000835	FGIG_00786	SGUI1_37930.1
OG0000836	FGIG_00855	SGUI1_37280.4, SGUI1_37280.3, SGUI1_37280.1, SGUI1_37280.2
OG0000837	FGIG_01009	SGUI1_32110.6, SGUI1_32110.5, SGUI1_32110.7, SGUI1_32110.2, SGUI1_32110.1, SGUI1_32110.4, SGUI1_32110.3
OG0000838	FGIG_01017, FGIG_01016	SGUI1_38950.1, SGUI1_38960.1, SGUI1_38960.2
OG0000839	FGIG_01333	SGUI1_38380.1, SGUI1_38380.2, SGUI1_38380.3, SGUI1_38380.4
OG0000840	FGIG_01498	SGUI1_70690.1, SGUI1_70690.3, SGUI1_70690.2, SGUI1_70690.4
OG0000841	FGIG_01937	SGUI1_20390.1
OG0000842	FGIG_01947	SGUI1_67440.1
OG0000843	FGIG_02333	SGUI1_82860.2, SGUI1_82860.3, SGUI1_82860.1, SGUI1_82860.5, SGUI1_82860.6, SGUI1_82860.7, SGUI1_82860.4
OG0000844	FGIG_02635	SGUI1_4930.1, SGUI1_4930.2, SGUI1_4930.3
OG0000845	FGIG_03440	SGUI1_90240.5, SGUI1_90240.3, SGUI1_90240.1, SGUI1_90240.2, SGUI1_90240.4
OG0000846	FGIG_04141, FGIG_04373	SGUI1_16470.1, SGUI1_16470.3, SGUI1_16470.2, SGUI1_16470.4, SGUI1_16470.5, SGUI1_16470.6
OG0000847	FGIG_04277	SGUI1_1230.1, SGUI1_1230.3, SGUI1_1230.2, SGUI1_1230.4, SGUI1_1230.5
OG0000848	FGIG_04531	SGUI1_34630.1
OG0000849	FGIG_04536	SGUI1_39010.1
OG0000850	FGIG_04635	SGUI1_27060.5, SGUI1_27060.4, SGUI1_27060.1, SGUI1_27060.2, SGUI1_27060.3
OG0000851	FGIG_04677	SGUI1_91280.1, SGUI1_91280.2, SGUI1_91280.4, SGUI1_91280.5, SGUI1_91280.6, SGUI1_91280.3
OG0000852	FGIG_04776	SGUI1_10030.1, SGUI1_10020.1
OG0000853	FGIG_04849, FGIG_06913	SGUI1_83360.1, SGUI1_83360.2
OG0000854	FGIG_04960	SGUI1_37290.1
OG0000855	FGIG_05067	SGUI1_54790.1, SGUI1_54790.2
OG0000856	FGIG_05440	SGUI1_2930.1
OG0000857	FGIG_06616	SGUI1_4130.1
OG0000858	FGIG_06646	SGUI1_4380.4, SGUI1_4380.1, SGUI1_4380.2, SGUI1_4380.3
OG0000859	FGIG_07329	SGUI1_49600.1
OG0000860	FGIG_08877	SGUI1_60310.1
OG0000860	FGIG_08075	SGUI1_62890.1
OG0000861	FGIG_09232	SGUI1_10760.2, SGUI1_10760.3, SGUI1_10760.1, SGUI1_10760.4, SGUI1_10760.5, SGUI1_10760.6, SGUI1_10760.7
OG0000862	FGIG_09618	SGUI1_29730.1
OG0000864	FGIG_10031	SGUI1_40290.7, SGUI1_40290.3, SGUI1_40290.4, SGUI1_40290.5, SGUI1_40290.6, SGUI1_40290.2, SGUI1_40290.1
OG0000865	FGIG_11450	SGUI1_33020.2, SGUI1_33020.6, SGUI1_33020.1, SGUI1_33020.3, SGUI1_33020.5, SGUI1_33020.4, SGUI1_33020.7
OG0000866	FGIG_11612	SGUI1_730.12, SGUI1_730.15, SGUI1_730.16, SGUI1_730.13, SGUI1_730.14, SGUI1_730.3, SGUI1_730.1, SGUI1_730.11, SGUI1_730.2, SGUI1_730.4, SGUI1_730.5, SGUI1_730.6, SGUI1_730.7, SGUI1_730.8, SGUI1_730.9, SGUI1_730.10
OG0000867	FGIG_12103	SGUI1_6810.1, SGUI1_6810.3, SGUI1_6810.4, SGUI1_6810.7, SGUI1_6810.2, SGUI1_6810.5, SGUI1_6810.6
OG0000869	FGIG_08036, FGIG_00173, FGIG_10748	SGUI1_89740.1, SGUI1_89740.3, SGUI1_89740.8, SGUI1_89740.4, SGUI1_89740.5, SGUI1_89740.7, SGUI1_89740.2, SGUI1_89740.9, SGUI1_89740.6
OG0000870	FGIG_00458	SGUI1_950.1
OG0000871	FGIG_00704, FGIG_00705	SGUI1_28320.1, SGUI1_28320.2
OG0000872	FGIG_01168	SGUI1_4010.1, SGUI1_4010.3, SGUI1_4010.4, SGUI1_4010.2, SGUI1_4010.5, SGUI1_4010.6, SGUI1_4010.7, SGUI1_4010.8, SGUI1_4010.9
OG0000873	FGIG_01237	SGUI1_86820.1
OG0000874	FGIG_09975, FGIG_05621, FGIG_02068	SGUI1_43070.1
OG0000875	FGIG_02491	SGUI1_62810.1, SGUI1_62810.2, SGUI1_62810.3
OG0000876	FGIG_02493, FGIG_13987	SGUI1_23220.1, SGUI1_23150.1, SGUI1_23470.1
OG0000877	FGIG_02724	SGUI1_6860.4, SGUI1_6860.3, SGUI1_6860.1, SGUI1_6860.2, SGUI1_6860.5
OG0000878	FGIG_11660, FGIG_02764	SGUI1_18080.5, SGUI1_18080.6, SGUI1_18080.2, SGUI1_18080.3, SGUI1_18080.4, SGUI1_18080.1
OG0000879	FGIG_03120	SGUI1_58780.1, SGUI1_58780.2
OG0000880	FGIG_03926	SGUI1_80090.1
OG0000881	FGIG_04278	SGUI1_91140.1, SGUI1_91140.2
OG0000882	FGIG_05170	SGUI1_21730.1
OG0000882	FGIG_04211	SGUI1_40080.1
OG0000883	FGIG_04212	SGUI1_40070.5, SGUI1_40070.8, SGUI1_40070.1, SGUI1_40070.6, SGUI1_40070.9, SGUI1_40070.3, SGUI1_40070.7, SGUI1_40070.4, SGUI1_40070.2
OG0000884	FGIG_04519	SGUI1_39330.6, SGUI1_39330.9, SGUI1_39330.8, SGUI1_39330.7, SGUI1_39330.3, SGUI1_39330.5, SGUI1_39330.1, SGUI1_39330.2, SGUI1_39330.4
OG0000885	FGIG_06559, FGIG_04824	SGUI1_92890.1, SGUI1_92920.1, SGUI1_92930.1, SGUI1_92930.2, SGUI1_92930.3, SGUI1_92930.4, SGUI1_190.1, SGUI1_190.2, SGUI1_190.4, SGUI1_190.5, SGUI1_190.3
OG0000886	FGIG_06109	SGUI1_70800.2, SGUI1_70800.1
OG0000887	FGIG_07211	SGUI1_19220.3, SGUI1_19220.2, SGUI1_19220.5, SGUI1_19220.1, SGUI1_19220.6, SGUI1_19220.4
OG0000888	FGIG_07235	SGUI1_79170.1, SGUI1_79170.2, SGUI1_79190.1
OG0000889	FGIG_07370	SGUI1_27460.1, SGUI1_27460.2
OG0000890	FGIG_07609	SGUI1_40880.1
OG0000891	FGIG_08269	SGUI1_37130.1, SGUI1_37130.10, SGUI1_37130.11, SGUI1_37130.13, SGUI1_37130.2, SGUI1_37130.3, SGUI1_37130.4, SGUI1_37130.7, SGUI1_37130.8, SGUI1_37130.9, SGUI1_37130.12, SGUI1_37130.14, SGUI1_37130.5, SGUI1_37130.15, SGUI1_37130.6
OG0000892	FGIG_08300	SGUI1_52120.1
OG0000894	FGIG_09025	SGUI1_88150.1
OG0000895	FGIG_09033, FGIG_10887, FGIG_11622	SGUI1_44010.1, SGUI1_44010.2
OG0000896	FGIG_09198, FGIG_11521	SGUI1_19740.1
OG0000897	FGIG_09238, FGIG_09239	SGUI1_9340.1
OG0000898	FGIG_09340	SGUI1_72360.1
OG0000899	FGIG_09861	SGUI1_14110.1
OG0000900	FGIG_09928, FGIG_10894, FGIG_11511	SGUI1_3610.1, SGUI1_3620.1
OG0000901	FGIG_09929	SGUI1_62990.2, SGUI1_62990.6, SGUI1_62990.1, SGUI1_62990.4, SGUI1_62990.5, SGUI1_62990.3
OG0000902	FGIG_10069	SGUI1_55410.6, SGUI1_55410.7, SGUI1_55410.1, SGUI1_55410.2, SGUI1_55410.3, SGUI1_55410.4, SGUI1_55410.5
OG0000903	FGIG_10099, FGIG_12212	SGUI1_15100.1
OG0000905	FGIG_12473, FGIG_10853	SGUI1_79340.3, SGUI1_79340.4, SGUI1_79340.5, SGUI1_79340.7, SGUI1_79340.8, SGUI1_79340.9, SGUI1_79340.1, SGUI1_79340.2, SGUI1_79340.6
OG0000906	FGIG_11785	SGUI1_64320.1, SGUI1_64320.2, SGUI1_64320.3, SGUI1_64320.4, SGUI1_64320.5
OG0000907	FGIG_12114	SGUI1_74940.1
OG0000910	FGIG_00237	SGUI1_7600.2, SGUI1_7600.3, SGUI1_7600.7, SGUI1_7600.1, SGUI1_7600.4, SGUI1_7600.5, SGUI1_7600.6
OG0000911	FGIG_01294, FGIG_01295	SGUI1_58590.1, SGUI1_58590.2, SGUI1_58590.3, SGUI1_58590.4
OG0000913	FGIG_01566, FGIG_05409, FGIG_02080, FGIG_02081	SGUI1_31240.1
OG0000914	FGIG_01782	SGUI1_38410.5, SGUI1_38410.1, SGUI1_38410.4, SGUI1_38410.2, SGUI1_38410.3
OG0000915	FGIG_02191	SGUI1_29300.4, SGUI1_29300.2, SGUI1_29300.5, SGUI1_29300.1, SGUI1_29300.3
OG0000916	FGIG_02554	SGUI1_39590.4, SGUI1_39590.6, SGUI1_39590.10, SGUI1_39590.11, SGUI1_39590.12, SGUI1_39590.3, SGUI1_39590.8, SGUI1_39590.1, SGUI1_39590.9, SGUI1_39590.7, SGUI1_39590.2, SGUI1_39590.5
OG0000917	FGIG_02688, FGIG_12358, FGIG_11883	SGUI1_84660.3, SGUI1_84660.1, SGUI1_84660.2
OG0000918	FGIG_02932	SGUI1_26510.1
OG0000919	FGIG_03174	SGUI1_84810.1
OG0000921	FGIG_03378	SGUI1_43460.1, SGUI1_43460.3, SGUI1_43460.6, SGUI1_43460.2, SGUI1_43460.4, SGUI1_43460.5, SGUI1_43460.7, SGUI1_43460.8
OG0000922	FGIG_08404	SGUI1_6530.1
OG0000922	FGIG_03416, FGIG_03417, FGIG_03413, FGIG_03412, FGIG_08184, FGIG_03414, FGIG_03415	SGUI1_6520.1
OG0000923	FGIG_09953	SGUI1_41510.1
OG0000923	FGIG_03937	SGUI1_93540.3, SGUI1_93540.1, SGUI1_93540.2
OG0000925	FGIG_03997	SGUI1_16000.2, SGUI1_16000.1, SGUI1_16000.3, SGUI1_16000.4
OG0000926	FGIG_04108, FGIG_04107	SGUI1_26850.1, SGUI1_26850.4, SGUI1_26850.2, SGUI1_26850.3, SGUI1_26770.4, SGUI1_26770.1, SGUI1_26770.3, SGUI1_26770.2
OG0000927	FGIG_04164	SGUI1_21030.1
OG0000928	FGIG_05151	SGUI1_32050.1, SGUI1_32040.1
OG0000929	FGIG_05247	SGUI1_65340.1, SGUI1_65340.2, SGUI1_65340.3, SGUI1_65340.4, SGUI1_65340.6, SGUI1_65340.7, SGUI1_65340.5
OG0000930	FGIG_05414	SGUI1_42400.1, SGUI1_42400.6, SGUI1_42400.7, SGUI1_42400.2, SGUI1_42400.3, SGUI1_42400.4, SGUI1_42400.5
OG0000931	FGIG_05808, FGIG_05809, FGIG_05812	SGUI1_71740.1, SGUI1_71740.2, SGUI1_71740.3
OG0000932	FGIG_05937	SGUI1_1140.1, SGUI1_1140.2, SGUI1_1140.3, SGUI1_1140.4, SGUI1_1140.5, SGUI1_1140.6, SGUI1_1140.7
OG0000933	FGIG_06615	SGUI1_39690.5, SGUI1_39690.3, SGUI1_39690.4, SGUI1_39690.1, SGUI1_39690.2
OG0000934	FGIG_06893, FGIG_06892	SGUI1_9420.1
OG0000935	FGIG_06948	SGUI1_64700.5, SGUI1_64700.6, SGUI1_64700.2, SGUI1_64700.10, SGUI1_64700.11, SGUI1_64700.12, SGUI1_64700.3, SGUI1_64700.4, SGUI1_64700.7, SGUI1_64700.9, SGUI1_64700.14, SGUI1_64700.8, SGUI1_64700.1, SGUI1_64700.13, SGUI1_64700.15
OG0000936	FGIG_07247, FGIG_12684	SGUI1_94360.1
OG0000937	FGIG_08721, FGIG_07320	SGUI1_54490.1, SGUI1_54490.2, SGUI1_54490.6, SGUI1_54490.3, SGUI1_54490.4, SGUI1_54490.5
OG0000938	FGIG_07574	SGUI1_60190.1, SGUI1_60190.2, SGUI1_60190.6, SGUI1_60190.3, SGUI1_60190.4, SGUI1_60190.7, SGUI1_60190.5
OG0000939	FGIG_08083	SGUI1_87380.1, SGUI1_87380.3, SGUI1_87380.4, SGUI1_87380.2
OG0000940	FGIG_08529	SGUI1_5430.1, SGUI1_5430.2, SGUI1_5430.3, SGUI1_5430.5, SGUI1_5430.4
OG0000941	FGIG_08549	SGUI1_31880.4, SGUI1_31880.3, SGUI1_31880.1, SGUI1_31880.2
OG0000942	FGIG_08647	SGUI1_15610.2, SGUI1_15610.1, SGUI1_15610.3, SGUI1_15610.4
OG0000943	FGIG_12262, FGIG_08967	SGUI1_28400.2, SGUI1_28400.4, SGUI1_28400.1, SGUI1_28400.3
OG0000944	FGIG_08996	SGUI1_58360.4, SGUI1_58360.5, SGUI1_58360.1, SGUI1_58360.2, SGUI1_58360.3
OG0000945	FGIG_11567, FGIG_10084	SGUI1_10480.1
OG0000946	FGIG_10162	SGUI1_8070.1
OG0000947	FGIG_10405	SGUI1_38720.1, SGUI1_38720.10, SGUI1_38720.11, SGUI1_38720.2, SGUI1_38720.3, SGUI1_38720.4, SGUI1_38720.5, SGUI1_38720.6, SGUI1_38720.7, SGUI1_38720.8, SGUI1_38720.9
OG0000948	FGIG_10715	SGUI1_81600.1, SGUI1_81600.2
OG0000949	FGIG_11029, FGIG_12400	SGUI1_15780.1, SGUI1_15790.1, SGUI1_15770.1
OG0000950	FGIG_11337	SGUI1_53510.1
OG0000951	FGIG_11751	SGUI1_93470.2, SGUI1_93470.3, SGUI1_93470.1, SGUI1_93470.4
OG0000952	FGIG_11963	SGUI1_29260.1
OG0000953	FGIG_12056	SGUI1_63110.2, SGUI1_63110.3, SGUI1_63110.1
OG0000954	FGIG_12353	SGUI1_81070.1, SGUI1_81070.2
OG0000958	FGIG_00120	SGUI1_12990.1
OG0000959	FGIG_00122	SGUI1_70240.1, SGUI1_70240.2, SGUI1_70240.3, SGUI1_70240.4, SGUI1_70240.5, SGUI1_70240.6, SGUI1_70240.7
OG0000960	FGIG_00387, FGIG_06998	SGUI1_22290.1, SGUI1_22290.4, SGUI1_22290.3, SGUI1_22290.5, SGUI1_22290.2
OG0000961	FGIG_01111	SGUI1_38760.1, SGUI1_38760.2
OG0000962	FGIG_01352, FGIG_10661	SGUI1_74920.1
OG0000963	FGIG_07862, FGIG_01440, FGIG_01439	SGUI1_2520.1
OG0000964	FGIG_09268, FGIG_01648	SGUI1_40630.1
OG0000965	FGIG_02037	SGUI1_63830.9, SGUI1_63830.7, SGUI1_63830.8, SGUI1_63830.4, SGUI1_63830.5, SGUI1_63830.6, SGUI1_63830.3, SGUI1_63830.1, SGUI1_63830.2
OG0000966	FGIG_07892	SGUI1_36100.1, SGUI1_36100.2, SGUI1_36100.3, SGUI1_36100.4
OG0000966	FGIG_02145	SGUI1_49100.1
OG0000967	FGIG_02147	SGUI1_35250.1
OG0000968	FGIG_02274	SGUI1_2760.1, SGUI1_2780.1
OG0000969	FGIG_04795	SGUI1_81750.1
OG0000969	FGIG_02776, FGIG_11524	SGUI1_81740.2, SGUI1_81740.4, SGUI1_81740.1, SGUI1_81740.3
OG0000970	FGIG_03075	SGUI1_69920.1
OG0000971	FGIG_03179, FGIG_13983	SGUI1_1930.1
OG0000973	FGIG_03899	SGUI1_23750.1, SGUI1_23760.1, SGUI1_23770.1, SGUI1_23770.2, SGUI1_23770.3, SGUI1_23770.4, SGUI1_23770.5
OG0000974	FGIG_04084	SGUI1_55770.4, SGUI1_55770.1, SGUI1_55770.2, SGUI1_55770.3
OG0000975	FGIG_09679, FGIG_09681, FGIG_04437, FGIG_09882	SGUI1_5560.1, SGUI1_5570.1
OG0000976	FGIG_04455	SGUI1_9520.1, SGUI1_9520.2
OG0000977	FGIG_04668	SGUI1_11110.1
OG0000978	FGIG_04760	SGUI1_19870.1
OG0000979	FGIG_06407, FGIG_04838, FGIG_06406	SGUI1_73980.4, SGUI1_73980.3, SGUI1_73980.2, SGUI1_73980.1
OG0000980	FGIG_04979	SGUI1_52200.4, SGUI1_52200.6, SGUI1_52200.2, SGUI1_52200.5, SGUI1_52200.3, SGUI1_52200.1
OG0000981	FGIG_05295, FGIG_09246	SGUI1_40050.2, SGUI1_40050.6, SGUI1_40050.4, SGUI1_40050.5, SGUI1_40050.3, SGUI1_40050.1
OG0000982	FGIG_05391	SGUI1_64770.5, SGUI1_64770.2, SGUI1_64770.3, SGUI1_64770.6, SGUI1_64770.7, SGUI1_64770.1, SGUI1_64770.4
OG0000983	FGIG_05642	SGUI1_15280.1
OG0000984	FGIG_08758, FGIG_05698	SGUI1_34650.2, SGUI1_34650.6, SGUI1_34650.3, SGUI1_34650.1, SGUI1_34650.4, SGUI1_34650.5
OG0000985	FGIG_05895	SGUI1_15750.4, SGUI1_15750.5, SGUI1_15750.6, SGUI1_15750.1, SGUI1_15750.2, SGUI1_15750.3
OG0000986	FGIG_07315, FGIG_06076	SGUI1_73070.2, SGUI1_73070.3, SGUI1_73070.4, SGUI1_73070.5, SGUI1_73070.1
OG0000987	FGIG_06114	SGUI1_83820.1, SGUI1_83820.2, SGUI1_83820.3, SGUI1_83820.4, SGUI1_83820.5, SGUI1_83820.7, SGUI1_83820.8, SGUI1_83820.6
OG0000988	FGIG_06297	SGUI1_57380.1, SGUI1_57380.3, SGUI1_57380.2, SGUI1_57380.4
OG0000989	FGIG_11034, FGIG_06813	SGUI1_51540.1
OG0000990	FGIG_07158, FGIG_12628	SGUI1_4520.1
OG0000991	FGIG_07197	SGUI1_59170.1
OG0000992	FGIG_07340	SGUI1_44280.1
OG0000993	FGIG_08844	SGUI1_78560.2, SGUI1_78560.1, SGUI1_78560.3
OG0000994	FGIG_10501, FGIG_09627	SGUI1_33690.1, SGUI1_33690.2
OG0000995	FGIG_10198	SGUI1_80930.1, SGUI1_80930.2, SGUI1_80930.3, SGUI1_80930.4
OG0000996	FGIG_10353	SGUI1_64900.8, SGUI1_64900.5, SGUI1_64900.6, SGUI1_64900.7, SGUI1_64900.4, SGUI1_64900.3, SGUI1_64900.1, SGUI1_64900.2
OG0000997	FGIG_10470	SGUI1_89190.6, SGUI1_89190.3, SGUI1_89190.1, SGUI1_89190.2, SGUI1_89190.4, SGUI1_89190.5, SGUI1_89190.7, SGUI1_89190.8, SGUI1_89190.9
OG0000998	FGIG_10771	SGUI1_55980.1
OG0001009	FGIG_10563	SGUI1_88380.7, SGUI1_88380.5, SGUI1_88380.6, SGUI1_88380.2, SGUI1_88380.3, SGUI1_88380.1, SGUI1_88380.4
OG0001010	FGIG_00263	SGUI1_60710.1, SGUI1_60710.2, SGUI1_60710.4, SGUI1_60710.5, SGUI1_60710.6, SGUI1_60710.3, SGUI1_60710.7
OG0001011	FGIG_00583	SGUI1_39640.1
OG0001012	FGIG_00716, FGIG_12423	SGUI1_4850.1
OG0001013	FGIG_00937	SGUI1_13210.1
OG0001014	FGIG_01167	SGUI1_3990.1, SGUI1_3990.2, SGUI1_3990.3, SGUI1_3990.5, SGUI1_3990.4
OG0001015	FGIG_01288	SGUI1_38200.1, SGUI1_38220.1, SGUI1_38250.1, SGUI1_38240.1
OG0001016	FGIG_01491	SGUI1_37560.1
OG0001017	FGIG_01516, FGIG_01517	SGUI1_15250.1
OG0001018	FGIG_02109	SGUI1_29470.2, SGUI1_29470.3, SGUI1_29470.1, SGUI1_29470.4, SGUI1_29470.5
OG0001019	FGIG_02200	SGUI1_42210.1
OG0001020	FGIG_02310	SGUI1_10040.1
OG0001021	FGIG_02501	SGUI1_29250.1
OG0001022	FGIG_02913, FGIG_08770, FGIG_08768	SGUI1_19720.1
OG0001023	FGIG_03103	SGUI1_63470.1, SGUI1_63470.2, SGUI1_63470.3
OG0001024	FGIG_03356	SGUI1_78720.1, SGUI1_78720.4, SGUI1_78720.5, SGUI1_78720.7, SGUI1_78720.2, SGUI1_78720.3, SGUI1_78720.6, SGUI1_78720.8, SGUI1_78720.9
OG0001025	FGIG_12668, FGIG_03893, FGIG_10500	SGUI1_88800.1
OG0001026	FGIG_03951	SGUI1_49670.1, SGUI1_49670.2, SGUI1_49670.4, SGUI1_49670.6, SGUI1_49670.5, SGUI1_49670.3
OG0001027	FGIG_04042	SGUI1_960.1
OG0001028	FGIG_04078	SGUI1_55870.2, SGUI1_55870.1, SGUI1_55870.3, SGUI1_55870.4
OG0001029	FGIG_04129, FGIG_04130	SGUI1_49860.1, SGUI1_49860.2, SGUI1_49860.3, SGUI1_49860.4, SGUI1_49860.5
OG0001030	FGIG_04177	SGUI1_28540.1
OG0001031	FGIG_04662	SGUI1_70910.1
OG0001032	FGIG_04868	SGUI1_64920.1, SGUI1_64920.2, SGUI1_64920.4, SGUI1_64920.3, SGUI1_64920.5, SGUI1_64920.6
OG0001033	FGIG_04915, FGIG_04916	SGUI1_72390.1, SGUI1_72390.10, SGUI1_72390.11, SGUI1_72390.2, SGUI1_72390.5, SGUI1_72390.7, SGUI1_72390.8, SGUI1_72390.9, SGUI1_72390.3, SGUI1_72390.4, SGUI1_72390.6
OG0001034	FGIG_05173	SGUI1_54280.1, SGUI1_54290.1
OG0001035	FGIG_05181, FGIG_11101	SGUI1_54840.1
OG0001036	FGIG_05654	SGUI1_17050.1, SGUI1_16970.7
OG0001037	FGIG_07174, FGIG_05783	SGUI1_19680.5, SGUI1_19680.2, SGUI1_19680.4, SGUI1_19680.6, SGUI1_19680.1, SGUI1_19680.3
OG0001038	FGIG_05873	SGUI1_1530.1
OG0001039	FGIG_06217, FGIG_05903	SGUI1_27080.1, SGUI1_27080.2, SGUI1_27080.3, SGUI1_27080.4, SGUI1_27080.5
OG0001040	FGIG_06139	SGUI1_81480.1
OG0001041	FGIG_06435	SGUI1_94590.3, SGUI1_94590.2, SGUI1_94590.1
OG0001042	FGIG_08094, FGIG_08095	SGUI1_10980.1
OG0001043	FGIG_06983, FGIG_06984	SGUI1_48390.2, SGUI1_48390.1, SGUI1_48390.3, SGUI1_48390.4
OG0001044	FGIG_07014	SGUI1_67840.1, SGUI1_67840.8, SGUI1_67840.7, SGUI1_67840.4, SGUI1_67840.6, SGUI1_67840.2, SGUI1_67840.3, SGUI1_67840.5
OG0001045	FGIG_07163	SGUI1_67360.4, SGUI1_67360.3, SGUI1_67360.1, SGUI1_67360.2
OG0001046	FGIG_08519, FGIG_11328	SGUI1_51150.3, SGUI1_51150.1, SGUI1_51150.2, SGUI1_51150.5, SGUI1_51150.6, SGUI1_51150.4
OG0001047	FGIG_08858	SGUI1_96080.1, SGUI1_96080.2, SGUI1_96080.3
OG0001048	FGIG_08890	SGUI1_78640.1
OG0001049	FGIG_08971	SGUI1_55490.1, SGUI1_55490.2
OG0001050	FGIG_09019	SGUI1_62720.3, SGUI1_62720.2, SGUI1_62720.4, SGUI1_62720.1, SGUI1_62720.5
OG0001051	FGIG_09084	SGUI1_88230.3, SGUI1_88230.1, SGUI1_88230.10, SGUI1_88230.11, SGUI1_88230.12, SGUI1_88230.2, SGUI1_88230.4, SGUI1_88230.5, SGUI1_88230.6, SGUI1_88230.7, SGUI1_88230.8, SGUI1_88230.9
OG0001052	FGIG_09153	SGUI1_55460.2, SGUI1_55460.1
OG0001053	FGIG_09535	SGUI1_63900.1
OG0001054	FGIG_10019	SGUI1_10730.1
OG0001055	FGIG_10263	SGUI1_38620.2, SGUI1_38620.4, SGUI1_38620.3, SGUI1_38620.6, SGUI1_38620.1, SGUI1_38620.5, SGUI1_38620.7
OG0001056	FGIG_10435	SGUI1_58320.1, SGUI1_58320.4, SGUI1_58320.9, SGUI1_58320.5, SGUI1_58320.6, SGUI1_58320.7, SGUI1_58320.8, SGUI1_58320.3, SGUI1_58320.2
OG0001057	FGIG_10952	SGUI1_88070.1, SGUI1_88070.2
OG0001058	FGIG_11110, FGIG_11111	SGUI1_61330.1
OG0001059	FGIG_11177	SGUI1_16600.1
OG0001060	FGIG_11797, FGIG_11343, FGIG_11342	SGUI1_64260.4, SGUI1_64260.2, SGUI1_64260.3, SGUI1_64260.1, SGUI1_64260.5
OG0001068	FGIG_00040	SGUI1_76300.1
OG0001070	FGIG_03027	SGUI1_63540.1
OG0001070	FGIG_00667	SGUI1_76740.1
OG0001071	FGIG_07533, FGIG_00739	SGUI1_65560.3, SGUI1_65560.4, SGUI1_65560.1, SGUI1_65560.2
