Orthogroup	fasciola_gigantica	trichobilharzia_regenti
OG0001333	FGIG_08087	TREG1_91100.1, TREG1_91100.2, TREG1_91100.4, TREG1_91100.5, TREG1_91100.6, TREG1_91100.3
OG0001334	FGIG_08335	TREG1_12490.1
OG0001335	FGIG_08507	TREG1_45280.1, TREG1_45280.4, TREG1_45280.3, TREG1_45280.2
OG0001336	FGIG_08559	TREG1_62200.1
OG0001337	FGIG_08711	TREG1_71320.1
OG0001338	FGIG_08777	TREG1_47130.4, TREG1_47130.3, TREG1_47130.1, TREG1_47130.2
OG0001339	FGIG_09242	TREG1_26860.1, TREG1_26860.3, TREG1_26860.2
OG0001340	FGIG_09253	TREG1_11950.1
OG0001341	FGIG_09384	TREG1_103870.1, TREG1_103870.2, TREG1_103870.3
OG0001342	FGIG_12225, FGIG_09592, FGIG_09591	TREG1_73210.1, TREG1_73210.2, TREG1_73210.3
OG0001343	FGIG_09648	TREG1_100640.4, TREG1_100640.1, TREG1_100640.2, TREG1_100640.3, TREG1_100640.5
OG0001344	FGIG_10334, FGIG_09779	TREG1_100220.1
OG0001345	FGIG_09899, FGIG_10090	TREG1_41940.1, TREG1_41940.2
OG0001346	FGIG_10884, FGIG_10886, FGIG_09989, FGIG_10885	TREG1_13810.1
OG0001347	FGIG_10057, FGIG_12464	TREG1_51420.1
OG0001348	FGIG_10100	TREG1_44210.1, TREG1_44210.2, TREG1_44210.3, TREG1_44210.4, TREG1_44210.5, TREG1_44210.6, TREG1_44210.7, TREG1_44220.1, TREG1_44220.2, TREG1_44220.3, TREG1_44220.4, TREG1_44220.5
OG0001349	FGIG_11879, FGIG_10164	TREG1_20040.6, TREG1_20040.7, TREG1_20040.2, TREG1_20040.3, TREG1_20040.5, TREG1_20040.1, TREG1_20040.4
OG0001350	FGIG_10314	TREG1_49930.1
OG0001351	FGIG_10576	TREG1_138510.1, TREG1_138530.1, TREG1_138500.1, TREG1_138520.1, TREG1_143950.1, TREG1_143940.1
OG0001352	FGIG_10691	TREG1_60840.1
OG0001353	FGIG_10836, FGIG_11746	TREG1_87130.1, TREG1_87150.1
OG0001354	FGIG_11409	TREG1_81880.5, TREG1_81880.1, TREG1_81880.2, TREG1_81880.3, TREG1_81880.4
OG0001355	FGIG_11782	TREG1_80810.1
OG0001356	FGIG_11865	TREG1_100780.1, TREG1_100790.1
OG0001357	FGIG_12082	TREG1_45500.1, TREG1_45500.2
OG0001358	FGIG_12429, FGIG_12515	TREG1_125720.1, TREG1_125740.1
OG0001361	FGIG_00002	TREG1_48300.1
OG0001362	FGIG_00642	TREG1_45810.1
OG0001362	FGIG_10224	TREG1_52990.1, TREG1_52990.2, TREG1_52990.3
OG0001363	FGIG_00681	TREG1_131630.2, TREG1_131630.4, TREG1_131630.3, TREG1_131630.1, TREG1_131630.5
OG0001364	FGIG_02461, FGIG_00701	TREG1_112680.1, TREG1_112680.2, TREG1_112680.4, TREG1_112680.3
OG0001365	FGIG_00793	TREG1_102490.1, TREG1_102490.2, TREG1_102490.3, TREG1_102490.4, TREG1_102490.5, TREG1_102490.6, TREG1_102490.7
OG0001366	FGIG_00825	TREG1_73600.4, TREG1_73600.3, TREG1_73600.1, TREG1_73600.7, TREG1_73600.8, TREG1_73600.6, TREG1_73600.5, TREG1_73600.2
OG0001367	FGIG_00899	TREG1_136010.1, TREG1_136010.4, TREG1_136010.5, TREG1_136010.2, TREG1_136010.3, TREG1_136010.6
OG0001368	FGIG_01072	TREG1_22010.1, TREG1_22010.2, TREG1_22010.3
OG0001369	FGIG_01293, FGIG_11775	TREG1_126070.1
OG0001370	FGIG_01407	TREG1_120000.1
OG0001371	FGIG_01436, FGIG_03554, FGIG_05993	TREG1_58430.1, TREG1_58430.2
OG0001372	FGIG_01881	TREG1_47300.1
OG0001373	FGIG_01981	TREG1_7830.1
OG0001374	FGIG_01999	TREG1_83840.2, TREG1_83840.3, TREG1_83840.11, TREG1_83840.7, TREG1_83840.8, TREG1_83840.10, TREG1_83840.6, TREG1_83840.9, TREG1_83840.1, TREG1_83840.4, TREG1_83840.5
OG0001375	FGIG_02028	TREG1_100530.2, TREG1_100530.6, TREG1_100530.8, TREG1_100530.1, TREG1_100530.10, TREG1_100530.3, TREG1_100530.7, TREG1_100530.9, TREG1_100530.4, TREG1_100530.5
OG0001376	FGIG_02276	TREG1_123540.1, TREG1_123560.1
OG0001377	FGIG_02347	TREG1_86860.1, TREG1_86860.2
OG0001378	FGIG_02822, FGIG_02481	TREG1_1450.1
OG0001379	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106	TREG1_97880.1
OG0001380	FGIG_02638	TREG1_84170.1
OG0001381	FGIG_02642, FGIG_12629	TREG1_105090.1
OG0001382	FGIG_02925	TREG1_59580.1
OG0001383	FGIG_03190	TREG1_130280.1, TREG1_139080.7, TREG1_139080.3, TREG1_139080.5, TREG1_139080.1, TREG1_139080.2, TREG1_139080.4, TREG1_139080.6, TREG1_100050.6, TREG1_100050.4, TREG1_100050.7, TREG1_100050.1, TREG1_100050.10, TREG1_100050.2, TREG1_100050.3, TREG1_100050.5, TREG1_100050.9, TREG1_100050.8
OG0001384	FGIG_03272	TREG1_119640.1
OG0001385	FGIG_03311, FGIG_03310	TREG1_32560.1, TREG1_32560.3, TREG1_32560.2, TREG1_32560.6, TREG1_32560.5, TREG1_32560.8, TREG1_32560.4, TREG1_32560.7
OG0001386	FGIG_03534	TREG1_40470.1
OG0001387	FGIG_03668	TREG1_120170.1, TREG1_120170.3, TREG1_120170.2
OG0001388	FGIG_07823, FGIG_03697	TREG1_27130.1, TREG1_27140.1
OG0001389	FGIG_03992	TREG1_62410.1, TREG1_62410.2, TREG1_62410.3
OG0001390	FGIG_04023	TREG1_41320.1, TREG1_41320.2
OG0001391	FGIG_04025, FGIG_06537	TREG1_55560.1
OG0001392	FGIG_04113	TREG1_7950.1
OG0001393	FGIG_04241	TREG1_17060.1
OG0001394	FGIG_04248	TREG1_105300.1
OG0001395	FGIG_04272	TREG1_122710.1, TREG1_122710.2
OG0001395	FGIG_12176	TREG1_31610.1, TREG1_31610.3, TREG1_31610.5, TREG1_31610.2, TREG1_31610.4
OG0001396	FGIG_04364	TREG1_69160.1, TREG1_69160.2
OG0001397	FGIG_04602	TREG1_83140.1
OG0001398	FGIG_04627	TREG1_26900.1
OG0001399	FGIG_04632, FGIG_05593	TREG1_75740.1, TREG1_128360.1, TREG1_128370.1, TREG1_128350.2, TREG1_128380.1, TREG1_128350.3, TREG1_128350.1
OG0001400	FGIG_04740	TREG1_111210.5, TREG1_111210.6, TREG1_111260.1
OG0001401	FGIG_05531, FGIG_04791	TREG1_76490.1
OG0001402	FGIG_04917	TREG1_48830.1
OG0001403	FGIG_05254, FGIG_05255	TREG1_77310.1
OG0001404	FGIG_05319	TREG1_15040.13, TREG1_15040.14, TREG1_15040.7, TREG1_15040.5, TREG1_15040.10, TREG1_15040.8, TREG1_15040.11, TREG1_15040.9, TREG1_15040.1, TREG1_15040.4, TREG1_15040.3, TREG1_15040.2, TREG1_15040.12, TREG1_15040.6
OG0001405	FGIG_05965	TREG1_53990.1
OG0001406	FGIG_06203	TREG1_46140.1
OG0001407	FGIG_06207, FGIG_06209, FGIG_06206	TREG1_114500.1
OG0001408	FGIG_06264, FGIG_07363	TREG1_58890.2, TREG1_58890.1, TREG1_58890.3, TREG1_59060.1
OG0001409	FGIG_06287, FGIG_09995	TREG1_65910.1, TREG1_65900.1
OG0001410	FGIG_06538	TREG1_55550.1
OG0001411	FGIG_06544	TREG1_48320.1
OG0001412	FGIG_06774	TREG1_49600.1, TREG1_139200.2, TREG1_139200.1
OG0001413	FGIG_06924	TREG1_134220.3, TREG1_134220.1, TREG1_134220.2
OG0001414	FGIG_07348	TREG1_9800.3, TREG1_9800.1, TREG1_9800.2, TREG1_9800.4
OG0001415	FGIG_07500	TREG1_51100.1
OG0001416	FGIG_07696	TREG1_10700.1
OG0001417	FGIG_07741, FGIG_12559	TREG1_18240.1
OG0001418	FGIG_07825	TREG1_14230.1, TREG1_14230.2, TREG1_14230.3
OG0001419	FGIG_07870, FGIG_10679	TREG1_82230.1, TREG1_82230.2, TREG1_82230.3, TREG1_82230.4, TREG1_82230.5
OG0001420	FGIG_07881	TREG1_117780.1, TREG1_117780.2, TREG1_144400.2, TREG1_144400.1, TREG1_144400.3, TREG1_144400.4
OG0001421	FGIG_07907	TREG1_50970.1, TREG1_50970.2, TREG1_50970.3
OG0001422	FGIG_08355	TREG1_103780.1
OG0001423	FGIG_08436	TREG1_20490.1
OG0001424	FGIG_09248, FGIG_12263, FGIG_08684	TREG1_11830.1, TREG1_11840.1, TREG1_11840.2, TREG1_11840.3
OG0001425	FGIG_08864	TREG1_35380.1
OG0001426	FGIG_09477	TREG1_16830.1, TREG1_16830.2, TREG1_16830.3, TREG1_16830.4, TREG1_16830.5
OG0001427	FGIG_09959, FGIG_09960, FGIG_09551	TREG1_48910.1
OG0001428	FGIG_09685	TREG1_15580.1, TREG1_15580.2, TREG1_15580.3
OG0001429	FGIG_09736	TREG1_66300.4, TREG1_66300.5, TREG1_66300.6, TREG1_66300.2, TREG1_66300.1, TREG1_66300.3
OG0001430	FGIG_09780, FGIG_09781	TREG1_70360.1, TREG1_70360.2, TREG1_70370.1
OG0001431	FGIG_09903	TREG1_87860.1
OG0001432	FGIG_10624, FGIG_10046	TREG1_27420.2, TREG1_27420.3, TREG1_27420.1, TREG1_27420.4
OG0001433	FGIG_10236	TREG1_28420.1
OG0001434	FGIG_10315	TREG1_136030.1, TREG1_136030.2, TREG1_136030.3, TREG1_136030.4
OG0001435	FGIG_10602	TREG1_98910.1, TREG1_98910.2
OG0001436	FGIG_10675	TREG1_106050.1, TREG1_106050.2, TREG1_106050.3
OG0001437	FGIG_11037	TREG1_64180.1, TREG1_65070.1, TREG1_65070.2, TREG1_68660.1, TREG1_61780.1
OG0001438	FGIG_12188, FGIG_11078	TREG1_22560.1, TREG1_52310.1, TREG1_52310.3, TREG1_52310.2
OG0001439	FGIG_11413	TREG1_102010.1
OG0001440	FGIG_11566, FGIG_11647	TREG1_47480.1, TREG1_47480.2, TREG1_47480.3, TREG1_47480.4
OG0001441	FGIG_11575	TREG1_125500.1
OG0001442	FGIG_12309	TREG1_82980.1, TREG1_82990.1
OG0001453	FGIG_00007	TREG1_72840.1
OG0001454	FGIG_00100	TREG1_114650.1, TREG1_114660.1
OG0001455	FGIG_00375	TREG1_133260.1
OG0001456	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394	TREG1_92490.1, TREG1_92490.3, TREG1_92490.4, TREG1_92490.2, TREG1_92520.1
OG0001457	FGIG_00527	TREG1_5020.1, TREG1_5020.2, TREG1_5020.3, TREG1_5020.4, TREG1_5020.5, TREG1_5020.6, TREG1_5020.7, TREG1_5030.1
OG0001458	FGIG_00598	TREG1_49190.2, TREG1_49190.6, TREG1_49190.5, TREG1_49190.3, TREG1_49190.4, TREG1_49190.7
OG0001459	FGIG_00625	TREG1_79410.1
OG0001460	FGIG_00746	TREG1_44360.2, TREG1_44360.1, TREG1_44360.3
OG0001461	FGIG_00812	TREG1_48730.3, TREG1_48730.1, TREG1_48730.5, TREG1_48730.2, TREG1_48730.4
OG0001462	FGIG_00838	TREG1_77890.1, TREG1_138300.1
OG0001463	FGIG_00845, FGIG_00847, FGIG_00842	TREG1_80840.1, TREG1_80850.1
OG0001464	FGIG_01002, FGIG_01001	TREG1_75630.1
OG0001465	FGIG_01084, FGIG_01085, FGIG_01083	TREG1_100070.1
OG0001466	FGIG_01468	TREG1_3100.1
OG0001467	FGIG_01527	TREG1_88520.1, TREG1_88520.2, TREG1_88520.3, TREG1_88520.4
OG0001468	FGIG_01678	TREG1_3230.2, TREG1_3230.1, TREG1_3230.3
OG0001469	FGIG_02035	TREG1_110990.1
OG0001470	FGIG_02478	TREG1_81890.1
OG0001471	FGIG_02485	TREG1_81410.1, TREG1_81410.2, TREG1_81410.3, TREG1_81410.4
OG0001472	FGIG_02729	TREG1_81080.4, TREG1_81080.5, TREG1_81080.3, TREG1_81080.2, TREG1_81080.1
OG0001473	FGIG_02731	TREG1_97160.1
OG0001474	FGIG_03047	TREG1_55100.1
OG0001475	FGIG_03100	TREG1_61730.1
OG0001476	FGIG_03317, FGIG_03318, FGIG_03319	TREG1_7190.3, TREG1_7190.4, TREG1_7190.1, TREG1_7190.2
OG0001477	FGIG_05669, FGIG_03473	TREG1_74390.1
OG0001478	FGIG_03510	TREG1_27480.1, TREG1_36420.1
OG0001479	FGIG_03824, FGIG_03823	TREG1_11960.1
OG0001481	FGIG_03954	TREG1_66970.1, TREG1_66970.2, TREG1_66950.1, TREG1_66970.3
OG0001482	FGIG_03987, FGIG_03989	TREG1_128020.1
OG0001483	FGIG_04016, FGIG_04017	TREG1_103380.5, TREG1_103380.1, TREG1_103380.2, TREG1_103380.3, TREG1_103380.4
OG0001484	FGIG_04029	TREG1_61060.1
OG0001485	FGIG_04100	TREG1_45570.2, TREG1_31760.1, TREG1_45570.1, TREG1_45570.3
OG0001486	FGIG_04199	TREG1_63430.1, TREG1_136650.1, TREG1_136650.2
OG0001487	FGIG_04338	TREG1_58690.1
OG0001488	FGIG_10101	TREG1_44200.1
OG0001488	FGIG_04424, FGIG_09377	TREG1_135980.1
OG0001489	FGIG_04514	TREG1_35590.4, TREG1_35600.1, TREG1_35590.2, TREG1_35590.1, TREG1_35590.3
OG0001490	FGIG_04737	TREG1_55160.1, TREG1_55160.4, TREG1_55160.2, TREG1_55160.7, TREG1_55160.8, TREG1_55160.3, TREG1_55160.5, TREG1_55160.6
OG0001491	FGIG_04881	TREG1_13090.1, TREG1_141010.4, TREG1_141010.6, TREG1_141010.1, TREG1_141010.2, TREG1_141010.3, TREG1_141010.5, TREG1_141010.8, TREG1_141010.7
OG0001492	FGIG_05028	TREG1_66190.1
OG0001493	FGIG_05082	TREG1_62850.1
OG0001494	FGIG_05163	TREG1_38650.1, TREG1_38650.3, TREG1_38650.2, TREG1_38650.4
OG0001495	FGIG_05214	TREG1_19580.1, TREG1_19580.2
OG0001496	FGIG_05312	TREG1_107900.1
OG0001497	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298	TREG1_52120.1, TREG1_52120.3, TREG1_52120.2
OG0001498	FGIG_05326	TREG1_36200.3, TREG1_36200.4, TREG1_36200.2, TREG1_36200.1, TREG1_36200.5
OG0001499	FGIG_05475	TREG1_89350.1, TREG1_89350.2
OG0001500	FGIG_05484	TREG1_89480.1, TREG1_89480.4, TREG1_89480.2, TREG1_89480.3
OG0001501	FGIG_05719	TREG1_131830.1, TREG1_131830.2
OG0001502	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911	TREG1_14310.1, TREG1_14300.1
OG0001503	FGIG_05914, FGIG_05913, FGIG_12549	TREG1_69740.1, TREG1_69740.2, TREG1_69740.3
OG0001504	FGIG_06003	TREG1_87580.1
OG0001505	FGIG_06009, FGIG_06008, FGIG_11726	TREG1_130260.1
OG0001506	FGIG_11884, FGIG_06191	TREG1_137820.1, TREG1_137820.2, TREG1_28550.1, TREG1_28510.1, TREG1_142430.1, TREG1_145170.1, TREG1_145170.2, TREG1_145170.3, TREG1_145180.1, TREG1_145180.2, TREG1_145180.3, TREG1_145180.4, TREG1_145180.5, TREG1_145180.6, TREG1_145180.7, TREG1_137840.2, TREG1_137840.3, TREG1_137840.1
OG0001507	FGIG_06422	TREG1_70160.1, TREG1_70150.1, TREG1_70140.1, TREG1_70130.1
OG0001508	FGIG_06515	TREG1_41530.1
OG0001509	FGIG_08725, FGIG_06689, FGIG_11470	TREG1_101460.1, TREG1_98990.1
OG0001510	FGIG_06710	TREG1_37060.1, TREG1_37060.3, TREG1_37060.4, TREG1_37060.2
OG0001510	FGIG_09309	TREG1_37060.5, TREG1_37060.6, TREG1_37060.7
OG0001511	FGIG_07488	TREG1_58520.1
OG0001512	FGIG_07543, FGIG_08646	TREG1_139900.1, TREG1_139900.2
OG0001513	FGIG_07584	TREG1_29690.4, TREG1_29690.2, TREG1_29690.1, TREG1_29690.3
OG0001514	FGIG_11472, FGIG_07598	TREG1_116980.7, TREG1_116980.1, TREG1_116980.3, TREG1_116980.4, TREG1_116980.5, TREG1_116980.2, TREG1_116980.6
OG0001515	FGIG_07783	TREG1_11940.1, TREG1_11940.2
OG0001516	FGIG_08344	TREG1_22510.1, TREG1_22520.1, TREG1_22520.2
OG0001516	FGIG_08392	TREG1_22540.1, TREG1_22540.2
OG0001516	FGIG_07947	TREG1_35210.1
OG0001517	FGIG_08150	TREG1_59040.4, TREG1_59040.1, TREG1_59040.2, TREG1_59040.3
OG0001518	FGIG_08552, FGIG_08418	TREG1_99230.1
OG0001519	FGIG_08498	TREG1_98500.4, TREG1_98500.3, TREG1_98500.1, TREG1_98500.2
OG0001520	FGIG_08941	TREG1_7990.1, TREG1_7980.1
OG0001521	FGIG_09187	TREG1_77110.1, TREG1_77110.2
OG0001522	FGIG_09207	TREG1_6370.1, TREG1_6370.3, TREG1_6370.5, TREG1_6370.2, TREG1_6370.4
OG0001523	FGIG_09296	TREG1_69300.1
OG0001524	FGIG_09430	TREG1_113100.1
OG0001525	FGIG_10654, FGIG_09632	TREG1_58120.1, TREG1_58120.2, TREG1_58120.3
OG0001526	FGIG_09633	TREG1_63850.1
OG0001527	FGIG_09634	TREG1_125950.1, TREG1_125950.2
OG0001528	FGIG_09818, FGIG_10180	TREG1_42490.1, TREG1_42490.2, TREG1_42490.3, TREG1_42490.4
OG0001529	FGIG_09837	TREG1_81520.1
OG0001530	FGIG_09879	TREG1_61290.1
OG0001531	FGIG_10103	TREG1_17510.1
OG0001532	FGIG_10146, FGIG_10147	TREG1_20330.1, TREG1_20310.4, TREG1_31940.1, TREG1_31940.2, TREG1_31960.2, TREG1_31960.3, TREG1_31960.1, TREG1_31960.4, TREG1_137770.1
OG0001533	FGIG_10179	TREG1_78270.1
OG0001534	FGIG_10287	TREG1_102860.1
OG0001535	FGIG_10930, FGIG_10298	TREG1_120350.1
OG0001536	FGIG_10698	TREG1_28410.1
OG0001537	FGIG_11105	TREG1_12650.1, TREG1_12650.2
OG0001538	FGIG_11361	TREG1_123790.1
OG0001539	FGIG_11593	TREG1_115900.4, TREG1_115900.1, TREG1_115900.3, TREG1_115900.5, TREG1_115900.2, TREG1_115900.6
OG0001540	FGIG_11704	TREG1_57950.1
OG0001541	FGIG_11817	TREG1_115060.1
OG0001542	FGIG_11924	TREG1_69870.1
OG0001543	FGIG_11936	TREG1_112350.1, TREG1_112350.2
OG0001544	FGIG_12130, FGIG_12131	TREG1_7900.1
OG0001554	FGIG_07971, FGIG_07969	TREG1_50370.1, TREG1_50370.2
OG0001555	FGIG_00531, FGIG_00530, FGIG_00127	TREG1_99260.1
OG0001556	FGIG_00492	TREG1_52030.2, TREG1_52030.1, TREG1_52030.3
OG0001557	FGIG_00563	TREG1_57800.1, TREG1_57800.2
OG0001558	FGIG_00593	TREG1_95810.1, TREG1_109210.1, TREG1_61190.1, TREG1_61180.2, TREG1_61180.1
OG0001560	FGIG_00841	TREG1_144740.1, TREG1_144730.1, TREG1_144730.2, TREG1_80670.1
OG0001561	FGIG_00934, FGIG_03387	TREG1_62780.1, TREG1_62770.1, TREG1_62580.1, TREG1_62690.1, TREG1_62790.1, TREG1_62740.1, TREG1_62760.1
OG0001562	FGIG_01022	TREG1_107300.1, TREG1_43770.1
OG0001563	FGIG_01149	TREG1_42870.1
OG0001564	FGIG_12337, FGIG_01165, FGIG_01166	TREG1_71950.1
OG0001565	FGIG_01252	TREG1_88960.1
OG0001566	FGIG_01332, FGIG_01331	TREG1_84650.3, TREG1_84650.1, TREG1_84650.2, TREG1_84650.4
OG0001567	FGIG_01351, FGIG_02042	TREG1_104930.1, TREG1_104930.2, TREG1_104930.3, TREG1_104930.4
OG0001568	FGIG_01381, FGIG_10926	TREG1_101040.1
OG0001569	FGIG_01430	TREG1_26680.1
OG0001570	FGIG_01497	TREG1_95370.1, TREG1_95380.1, TREG1_95380.2
OG0001571	FGIG_08212	TREG1_320.1
OG0001571	FGIG_01541	TREG1_5350.1
OG0001572	FGIG_01643	TREG1_84520.1
OG0001573	FGIG_01771	TREG1_38470.1
OG0001574	FGIG_01776	TREG1_36690.1
OG0001575	FGIG_01819	TREG1_13880.1, TREG1_13880.2
OG0001576	FGIG_01874, FGIG_01873	TREG1_119920.1, TREG1_119920.2, TREG1_119920.3
OG0001577	FGIG_02105	TREG1_47220.1
OG0001578	FGIG_02177	TREG1_75840.1
OG0001579	FGIG_02212	TREG1_8460.1, TREG1_8460.2, TREG1_8460.3, TREG1_8460.4
OG0001580	FGIG_02237	TREG1_56240.1, TREG1_56280.1, TREG1_56280.2
OG0001581	FGIG_02435	TREG1_104470.1, TREG1_104470.4, TREG1_104470.2, TREG1_104470.3, TREG1_104470.5
OG0001582	FGIG_02459	TREG1_74700.1, TREG1_74700.2, TREG1_74700.3
OG0001583	FGIG_02462	TREG1_38090.1, TREG1_38090.2, TREG1_38090.3
OG0001584	FGIG_02509, FGIG_02508	TREG1_57240.1, TREG1_57240.2
OG0001585	FGIG_02700	TREG1_40750.1
OG0001586	FGIG_02757	TREG1_15810.10, TREG1_15830.1, TREG1_15810.11
OG0001587	FGIG_02789, FGIG_08846	TREG1_21380.1, TREG1_21380.2
OG0001588	FGIG_03013	TREG1_86360.1, TREG1_86360.2, TREG1_86360.3
OG0001589	FGIG_03031	TREG1_53640.1, TREG1_53650.1
OG0001590	FGIG_03074	TREG1_99830.2, TREG1_99830.3, TREG1_99830.1, TREG1_99830.4
OG0001591	FGIG_03110	TREG1_136490.1
OG0001592	FGIG_03254	TREG1_16220.1, TREG1_16220.2, TREG1_16220.3, TREG1_16220.4, TREG1_16220.5, TREG1_16220.6
OG0001593	FGIG_03389	TREG1_84840.1, TREG1_84840.2
OG0001594	FGIG_03404	TREG1_47000.1, TREG1_47000.3, TREG1_47000.4, TREG1_47000.2
OG0001595	FGIG_03681	TREG1_88090.1
OG0001596	FGIG_03686	TREG1_96040.1
OG0001597	FGIG_03710	TREG1_105060.4, TREG1_105060.2, TREG1_105060.3, TREG1_105060.1, TREG1_105060.5
OG0001598	FGIG_03711	TREG1_63310.1, TREG1_63310.2, TREG1_63310.3
OG0001599	FGIG_03826	TREG1_99300.7, TREG1_99300.1, TREG1_99300.2, TREG1_99300.4, TREG1_99300.5, TREG1_99300.3, TREG1_99300.6
OG0001600	FGIG_03860	TREG1_49310.1, TREG1_49310.2, TREG1_49310.3, TREG1_49310.4
OG0001601	FGIG_04047	TREG1_82450.6, TREG1_82450.4, TREG1_82450.5, TREG1_82450.1, TREG1_82450.2, TREG1_82450.3
OG0001602	FGIG_04252	TREG1_14810.1, TREG1_14810.2, TREG1_14810.3
OG0001603	FGIG_04384	TREG1_76860.1, TREG1_76860.2
OG0001604	FGIG_04790	TREG1_58640.1
OG0001605	FGIG_04843, FGIG_04842	TREG1_24760.1, TREG1_24760.2
OG0001606	FGIG_09218, FGIG_09219, FGIG_05027	TREG1_32150.1, TREG1_32140.1
OG0001607	FGIG_05053, FGIG_08672	TREG1_96670.2, TREG1_96670.1, TREG1_96670.3
OG0001608	FGIG_05065	TREG1_68800.1
OG0001609	FGIG_05088	TREG1_103430.1, TREG1_103430.2, TREG1_103430.3, TREG1_103430.4
OG0001610	FGIG_07389	TREG1_135970.1, TREG1_135970.2
OG0001610	FGIG_08349, FGIG_05093	TREG1_143490.1, TREG1_52820.1
OG0001611	FGIG_05457	TREG1_85300.1
OG0001612	FGIG_05464	TREG1_12550.5, TREG1_12550.1, TREG1_12550.2, TREG1_12550.3, TREG1_12550.4, TREG1_12550.6
OG0001613	FGIG_05500	TREG1_104660.1
OG0001614	FGIG_05538, FGIG_05540	TREG1_40970.1, TREG1_40980.1
OG0001615	FGIG_05541	TREG1_40960.1, TREG1_40960.2
OG0001616	FGIG_05680	TREG1_111720.1
OG0001617	FGIG_05780	TREG1_71330.1
OG0001618	FGIG_05781, FGIG_05782	TREG1_58330.1
OG0001619	FGIG_05824	TREG1_72810.1
OG0001620	FGIG_06091	TREG1_55350.1, TREG1_55350.2
OG0001621	FGIG_06135	TREG1_14330.15, TREG1_14330.17, TREG1_14330.18, TREG1_14330.2, TREG1_14330.3, TREG1_14330.12, TREG1_14330.11, TREG1_14330.19, TREG1_14330.20, TREG1_14330.4, TREG1_14330.6, TREG1_14330.7, TREG1_14330.1, TREG1_14330.10, TREG1_14330.13, TREG1_14330.14, TREG1_14330.8, TREG1_14330.16, TREG1_14330.5, TREG1_14330.9
OG0001622	FGIG_06211, FGIG_06210	TREG1_118380.1, TREG1_114510.1, TREG1_114510.2
OG0001623	FGIG_06565	TREG1_8210.7, TREG1_8210.5, TREG1_8210.6, TREG1_8210.4, TREG1_8210.1, TREG1_8210.2, TREG1_8210.3
OG0001624	FGIG_07374, FGIG_06649	TREG1_57770.1, TREG1_57770.3, TREG1_57770.4, TREG1_57770.5, TREG1_57770.2
OG0001625	FGIG_11741, FGIG_06687	TREG1_87080.1, TREG1_87090.1, TREG1_139310.1, TREG1_139310.2, TREG1_144540.1, TREG1_144540.2
OG0001626	FGIG_06845	TREG1_51760.1
OG0001627	FGIG_06856	TREG1_105810.1, TREG1_105810.2, TREG1_105810.3, TREG1_105810.4
OG0001628	FGIG_06970	TREG1_27180.2, TREG1_27180.1, TREG1_27180.3
OG0001629	FGIG_07009	TREG1_10090.1, TREG1_10090.3, TREG1_10090.4, TREG1_10090.5, TREG1_10090.6, TREG1_10090.2
OG0001630	FGIG_07208	TREG1_11860.1, TREG1_11860.2
OG0001631	FGIG_07316	TREG1_125450.1, TREG1_125480.1
OG0001632	FGIG_07391	TREG1_91640.1
OG0001633	FGIG_07448	TREG1_134400.1, TREG1_134400.2, TREG1_134400.6, TREG1_134400.7, TREG1_134400.3, TREG1_134400.4, TREG1_134400.5
OG0001634	FGIG_07519	TREG1_125200.1
OG0001635	FGIG_07538, FGIG_07539	TREG1_3090.1
OG0001636	FGIG_07566	TREG1_107480.1, TREG1_107480.3, TREG1_107480.2
OG0001637	FGIG_07660	TREG1_78870.2, TREG1_78870.1, TREG1_78870.3, TREG1_78870.4
OG0001638	FGIG_07831	TREG1_8380.1
OG0001639	FGIG_08142	TREG1_17470.1
OG0001640	FGIG_08389	TREG1_24890.1, TREG1_24890.2
OG0001641	FGIG_08605	TREG1_119450.1, TREG1_119450.2, TREG1_119450.3
OG0001643	FGIG_08854	TREG1_87320.3, TREG1_87320.1, TREG1_87320.2
OG0001644	FGIG_09142	TREG1_67570.1, TREG1_67570.2, TREG1_67570.3, TREG1_67570.4, TREG1_67570.5
OG0001645	FGIG_09151, FGIG_10352	TREG1_132350.1
OG0001646	FGIG_09195	TREG1_74150.2, TREG1_74150.1, TREG1_74150.3, TREG1_74150.4
OG0001647	FGIG_09206	TREG1_40440.1, TREG1_40440.2
OG0001648	FGIG_09300	TREG1_97840.1
OG0001649	FGIG_09378	TREG1_27190.3, TREG1_27190.1, TREG1_27190.2
OG0001650	FGIG_10424, FGIG_12069	TREG1_101880.1, TREG1_101880.2, TREG1_101880.3
OG0001651	FGIG_10542	TREG1_210.1, TREG1_220.1
OG0001652	FGIG_10655	TREG1_103560.1, TREG1_103560.2, TREG1_103560.3, TREG1_103560.4
OG0001653	FGIG_10856	TREG1_9730.4, TREG1_9730.2, TREG1_9730.1, TREG1_9730.3
OG0001654	FGIG_11347	TREG1_126190.14, TREG1_126190.15, TREG1_126230.1, TREG1_126190.5, TREG1_126190.4, TREG1_126220.1, TREG1_126220.4, TREG1_126220.9, TREG1_126220.5, TREG1_126220.7, TREG1_126220.8, TREG1_126220.2, TREG1_126220.3, TREG1_126220.6
