Orthogroup	fasciola_gigantica	schistosoma_haematobium
OG0000947	FGIG_10405	SHAE2_41810.1, SHAE2_41810.2, SHAE2_41810.4, SHAE2_41810.5, SHAE2_41810.6, SHAE2_41810.7, SHAE2_41810.10, SHAE2_41810.8, SHAE2_41810.12, SHAE2_41810.3, SHAE2_41810.9, SHAE2_41810.11
OG0000948	FGIG_10715	SHAE2_86050.1, SHAE2_86050.2, SHAE2_86050.3, SHAE2_86050.4, SHAE2_86050.5
OG0000949	FGIG_11029, FGIG_12400	SHAE2_18210.1, SHAE2_18220.1, SHAE2_18200.1
OG0000950	FGIG_11337	SHAE2_56590.6, SHAE2_56590.1, SHAE2_56590.4, SHAE2_56590.5, SHAE2_56590.2, SHAE2_56590.3
OG0000951	FGIG_11751	SHAE2_98620.2, SHAE2_98620.1
OG0000952	FGIG_11963	SHAE2_31920.1, SHAE2_31920.3, SHAE2_31920.4, SHAE2_31920.2
OG0000953	FGIG_12056	SHAE2_66830.4, SHAE2_66830.1, SHAE2_66830.2, SHAE2_66830.3, SHAE2_66830.5
OG0000954	FGIG_12353	SHAE2_84690.1, SHAE2_84690.2, SHAE2_84690.3, SHAE2_84690.4
OG0000958	FGIG_00120	SHAE2_15460.1
OG0000959	FGIG_00122	SHAE2_74290.1, SHAE2_74290.5, SHAE2_74290.2, SHAE2_74290.3, SHAE2_74290.4
OG0000960	FGIG_00387, FGIG_06998	SHAE2_24790.1, SHAE2_24790.2, SHAE2_24790.3
OG0000961	FGIG_01111	SHAE2_41840.1, SHAE2_41840.2, SHAE2_41840.3, SHAE2_41840.4
OG0000962	FGIG_01352, FGIG_10661	SHAE2_79070.9, SHAE2_79070.1, SHAE2_79070.2, SHAE2_79070.3, SHAE2_79070.4, SHAE2_79070.5, SHAE2_79070.6, SHAE2_79070.7, SHAE2_79070.8
OG0000963	FGIG_07862, FGIG_01440, FGIG_01439	SHAE2_2780.1, SHAE2_2780.3, SHAE2_2780.4, SHAE2_2780.2, SHAE2_2780.5, SHAE2_2780.6
OG0000964	FGIG_09268, FGIG_01648	SHAE2_43590.1, SHAE2_43590.2, SHAE2_43590.3, SHAE2_43590.4
OG0000965	FGIG_02037	SHAE2_67580.1, SHAE2_67580.2, SHAE2_67580.3
OG0000966	FGIG_07892	SHAE2_39080.1
OG0000966	FGIG_02145	SHAE2_52270.1
OG0000967	FGIG_02147	SHAE2_38230.1, SHAE2_38230.2, SHAE2_38230.4, SHAE2_38230.3, SHAE2_38230.5, SHAE2_38230.6
OG0000968	FGIG_02274	SHAE2_3340.1, SHAE2_3340.2
OG0000969	FGIG_02776, FGIG_11524	SHAE2_85930.1
OG0000970	FGIG_03075	SHAE2_73980.1, SHAE2_73980.3, SHAE2_73980.4, SHAE2_73980.2
OG0000971	FGIG_03179, FGIG_13983	SHAE2_2210.2, SHAE2_2210.4, SHAE2_2210.5, SHAE2_2210.1, SHAE2_2210.6, SHAE2_2210.3
OG0000972	FGIG_11948, FGIG_03784	SHAE2_6630.1
OG0000973	FGIG_03899	SHAE2_25860.1, SHAE2_25870.1, SHAE2_25880.1
OG0000974	FGIG_04084	SHAE2_58880.3, SHAE2_58880.2, SHAE2_58880.5, SHAE2_58880.7, SHAE2_58880.1, SHAE2_58880.6, SHAE2_58880.4
OG0000975	FGIG_09679, FGIG_09681, FGIG_04437, FGIG_09882	SHAE2_6440.2, SHAE2_6440.6, SHAE2_6440.3, SHAE2_6440.5, SHAE2_6440.1, SHAE2_6440.4
OG0000976	FGIG_04455	SHAE2_12130.1, SHAE2_12130.2, SHAE2_12130.3, SHAE2_12130.4
OG0000977	FGIG_04668	SHAE2_13840.3, SHAE2_13840.1, SHAE2_13840.2, SHAE2_13840.4, SHAE2_13840.5, SHAE2_13840.6, SHAE2_13840.7, SHAE2_13840.8, SHAE2_13840.9
OG0000978	FGIG_04760	SHAE2_22400.1, SHAE2_22400.2, SHAE2_22400.6, SHAE2_22400.3, SHAE2_22400.4, SHAE2_22400.5
OG0000979	FGIG_06407, FGIG_04838, FGIG_06406	SHAE2_78110.1, SHAE2_78110.2, SHAE2_78110.3
OG0000980	FGIG_04979	SHAE2_55340.1, SHAE2_55340.2
OG0000981	FGIG_05295, FGIG_09246	SHAE2_43000.4, SHAE2_43000.1, SHAE2_43000.5, SHAE2_43000.3, SHAE2_43000.2, SHAE2_43000.6, SHAE2_43000.7
OG0000982	FGIG_05391	SHAE2_68570.1, SHAE2_68570.2, SHAE2_68570.4, SHAE2_68570.3
OG0000983	FGIG_05642	SHAE2_17620.1
OG0000984	FGIG_08758, FGIG_05698	SHAE2_37630.1
OG0000985	FGIG_05895	SHAE2_18180.2, SHAE2_18180.5, SHAE2_18180.1, SHAE2_18180.3, SHAE2_18180.4
OG0000986	FGIG_07315, FGIG_06076	SHAE2_77240.1
OG0000987	FGIG_06114	SHAE2_88720.1
OG0000988	FGIG_06297	SHAE2_60400.4, SHAE2_60400.1, SHAE2_60400.2, SHAE2_60400.3
OG0000989	FGIG_11034, FGIG_06813	SHAE2_54660.1, SHAE2_54660.8, SHAE2_54660.9, SHAE2_54660.3, SHAE2_54660.7, SHAE2_54660.5, SHAE2_54660.6, SHAE2_54660.2, SHAE2_54660.4
OG0000990	FGIG_07158, FGIG_12628	SHAE2_5300.1, SHAE2_5300.2, SHAE2_5300.3
OG0000991	FGIG_07197	SHAE2_62780.1
OG0000992	FGIG_07340	SHAE2_47110.1
OG0000993	FGIG_08844	SHAE2_82550.7, SHAE2_82550.6, SHAE2_82550.4, SHAE2_82550.5, SHAE2_82550.2, SHAE2_82550.1, SHAE2_82550.3
OG0000994	FGIG_10501, FGIG_09627	SHAE2_36710.2, SHAE2_36710.3, SHAE2_36710.1
OG0000995	FGIG_10198	SHAE2_84810.4, SHAE2_84810.1, SHAE2_84810.3, SHAE2_84810.2, SHAE2_84810.5
OG0000996	FGIG_10353	SHAE2_68700.4, SHAE2_68700.2, SHAE2_68700.1, SHAE2_68700.3, SHAE2_68700.5
OG0000997	FGIG_10470	SHAE2_94160.1
OG0000998	FGIG_10771	SHAE2_59230.1
OG0000999	FGIG_11336	SHAE2_40800.1, SHAE2_40800.3, SHAE2_40800.4, SHAE2_40800.5, SHAE2_40800.6, SHAE2_40800.2
OG0001000	FGIG_12086, FGIG_12087	SHAE2_7650.1, SHAE2_7650.2
OG0001009	FGIG_10563	SHAE2_93300.2, SHAE2_93300.1
OG0001010	FGIG_00263	SHAE2_64310.1, SHAE2_64310.2, SHAE2_64310.3, SHAE2_64310.4, SHAE2_64310.5
OG0001011	FGIG_00583	SHAE2_42640.1
OG0001012	FGIG_00716, FGIG_12423	SHAE2_5680.1
OG0001013	FGIG_00937	SHAE2_15640.3, SHAE2_15640.1, SHAE2_15640.4, SHAE2_15640.2
OG0001014	FGIG_01167	SHAE2_4580.2, SHAE2_4580.1, SHAE2_4580.11, SHAE2_4580.3, SHAE2_4580.4, SHAE2_4580.6, SHAE2_4580.7, SHAE2_4580.8, SHAE2_4580.9, SHAE2_4580.5, SHAE2_4580.10
OG0001015	FGIG_01288	SHAE2_41270.1, SHAE2_41330.1, SHAE2_41300.1
OG0001016	FGIG_01491	SHAE2_40610.1, SHAE2_40610.2, SHAE2_40610.4, SHAE2_40610.5, SHAE2_40610.3, SHAE2_40610.6, SHAE2_40610.7
OG0001017	FGIG_01516, FGIG_01517	SHAE2_17600.4, SHAE2_17600.3, SHAE2_17600.5, SHAE2_17600.1, SHAE2_17600.2
OG0001018	FGIG_02109	SHAE2_32000.2, SHAE2_32000.1, SHAE2_32000.3, SHAE2_32000.4
OG0001019	FGIG_02200	SHAE2_45070.1, SHAE2_45070.2, SHAE2_45070.3
OG0001020	FGIG_02310	SHAE2_12690.1, SHAE2_12690.4, SHAE2_12690.2, SHAE2_12690.3
OG0001021	FGIG_02501	SHAE2_31930.2, SHAE2_31930.3, SHAE2_31930.4, SHAE2_31930.5, SHAE2_31930.7, SHAE2_31930.1, SHAE2_31930.6
OG0001022	FGIG_02913, FGIG_08770, FGIG_08768	SHAE2_22230.1, SHAE2_22230.2
OG0001023	FGIG_03103	SHAE2_67460.3, SHAE2_67460.4, SHAE2_67460.2, SHAE2_67460.5, SHAE2_67460.1
OG0001024	FGIG_03356	SHAE2_82690.1, SHAE2_82690.2, SHAE2_82690.3
OG0001025	FGIG_12668, FGIG_03893, FGIG_10500	SHAE2_93760.1, SHAE2_93760.2, SHAE2_93760.3, SHAE2_93760.4, SHAE2_93760.5, SHAE2_93760.6, SHAE2_93760.7
OG0001026	FGIG_03951	SHAE2_52820.1
OG0001027	FGIG_04042	SHAE2_1280.1, SHAE2_1280.2, SHAE2_1280.3, SHAE2_1280.4
OG0001028	FGIG_04078	SHAE2_58930.1, SHAE2_58930.2
OG0001029	FGIG_04129, FGIG_04130	SHAE2_53040.1
OG0001030	FGIG_04177	SHAE2_31130.1
OG0001031	FGIG_04662	SHAE2_75010.1, SHAE2_75010.2, SHAE2_75010.3
OG0001032	FGIG_04868	SHAE2_68720.1, SHAE2_68720.2, SHAE2_68720.3, SHAE2_68720.4, SHAE2_68720.7, SHAE2_68720.5, SHAE2_68720.6, SHAE2_68720.8
OG0001033	FGIG_04915, FGIG_04916	SHAE2_76430.1
OG0001034	FGIG_05173	SHAE2_57290.1, SHAE2_57290.2, SHAE2_57270.1
OG0001035	FGIG_05181, FGIG_11101	SHAE2_57810.1, SHAE2_57810.2, SHAE2_57810.3, SHAE2_57810.4
OG0001036	FGIG_05654	SHAE2_19630.1, SHAE2_19630.2, SHAE2_19630.3, SHAE2_19630.4, SHAE2_19630.5, SHAE2_19630.10, SHAE2_19630.6, SHAE2_19630.7, SHAE2_19630.11, SHAE2_19630.8, SHAE2_19630.9
OG0001037	FGIG_07174, FGIG_05783	SHAE2_22200.2, SHAE2_22200.1
OG0001038	FGIG_05873	SHAE2_1870.1, SHAE2_1870.2, SHAE2_1870.3, SHAE2_1870.4, SHAE2_1870.5, SHAE2_1870.6
OG0001039	FGIG_06217, FGIG_05903	SHAE2_29610.1, SHAE2_29610.2
OG0001040	FGIG_06139	SHAE2_86180.1, SHAE2_86180.2, SHAE2_86180.4, SHAE2_86180.3
OG0001041	FGIG_06435	SHAE2_99560.1, SHAE2_99560.3, SHAE2_99560.2
OG0001042	FGIG_08094, FGIG_08095	SHAE2_102560.1
OG0001043	FGIG_06983, FGIG_06984	SHAE2_51650.6, SHAE2_51650.2, SHAE2_51650.3, SHAE2_51650.4, SHAE2_51650.5, SHAE2_51650.1
OG0001044	FGIG_07014	SHAE2_71720.3, SHAE2_71720.4, SHAE2_71720.7, SHAE2_71720.2, SHAE2_71720.5, SHAE2_71720.6, SHAE2_71720.1
OG0001045	FGIG_07163	SHAE2_71190.1
OG0001046	FGIG_08519, FGIG_11328	SHAE2_54320.2, SHAE2_54320.6, SHAE2_54320.3, SHAE2_54320.1, SHAE2_54320.4, SHAE2_54320.5, SHAE2_54320.7
OG0001047	FGIG_08858	SHAE2_101210.1, SHAE2_101210.2, SHAE2_101210.3
OG0001048	FGIG_08890	SHAE2_82600.9, SHAE2_82600.10, SHAE2_82600.12, SHAE2_82600.7, SHAE2_82600.8, SHAE2_82600.11, SHAE2_82600.3, SHAE2_82600.4, SHAE2_82600.1, SHAE2_82600.2
OG0001049	FGIG_08971	SHAE2_58450.1
OG0001050	FGIG_09019	SHAE2_66450.1, SHAE2_66450.2, SHAE2_66450.4, SHAE2_66450.3
OG0001051	FGIG_09084	SHAE2_93140.1, SHAE2_93140.3, SHAE2_93140.4, SHAE2_93140.5, SHAE2_93140.6, SHAE2_93140.7, SHAE2_93140.2
OG0001052	FGIG_09153	SHAE2_58420.2, SHAE2_58420.3, SHAE2_58420.1
OG0001053	FGIG_09535	SHAE2_67680.1
OG0001054	FGIG_10019	SHAE2_13530.12, SHAE2_13530.2, SHAE2_13530.3, SHAE2_13530.6, SHAE2_13530.7, SHAE2_13530.8, SHAE2_13530.10, SHAE2_13530.5, SHAE2_13530.9, SHAE2_13530.11, SHAE2_13530.1, SHAE2_13530.4
OG0001055	FGIG_10263	SHAE2_41710.1
OG0001056	FGIG_10435	SHAE2_61810.1
OG0001057	FGIG_10952	SHAE2_92920.1, SHAE2_92920.3, SHAE2_92920.2, SHAE2_92920.6, SHAE2_92920.5, SHAE2_92920.4
OG0001058	FGIG_11110, FGIG_11111	SHAE2_65010.1, SHAE2_65000.2, SHAE2_65000.3, SHAE2_65000.1
OG0001059	FGIG_11177	SHAE2_19150.6, SHAE2_19150.1, SHAE2_19150.2, SHAE2_19150.3, SHAE2_19150.5, SHAE2_19150.4
OG0001060	FGIG_11797, FGIG_11343, FGIG_11342	SHAE2_67970.4, SHAE2_67970.5, SHAE2_67970.7, SHAE2_67970.3, SHAE2_67970.2, SHAE2_67970.6, SHAE2_67970.1
OG0001068	FGIG_00040	SHAE2_80390.1, SHAE2_80390.4, SHAE2_80390.2, SHAE2_80390.3
OG0001070	FGIG_03027	SHAE2_67410.1
OG0001070	FGIG_00667	SHAE2_80760.1
OG0001071	FGIG_07533, FGIG_00739	SHAE2_69440.2, SHAE2_69440.4, SHAE2_69440.1, SHAE2_69440.3
OG0001072	FGIG_01150	SHAE2_45110.10, SHAE2_45110.11, SHAE2_45110.3, SHAE2_45110.5, SHAE2_45110.9, SHAE2_45110.8, SHAE2_45110.7, SHAE2_45110.2, SHAE2_45110.4, SHAE2_45110.1, SHAE2_45110.12, SHAE2_45110.6
OG0001073	FGIG_01202, FGIG_01203	SHAE2_18960.1, SHAE2_18960.3, SHAE2_18960.4, SHAE2_18960.5, SHAE2_18960.7, SHAE2_18960.11, SHAE2_18960.9, SHAE2_18960.8, SHAE2_18960.12, SHAE2_18960.2, SHAE2_18960.10, SHAE2_18960.6
OG0001074	FGIG_01210	SHAE2_29780.5, SHAE2_29780.4, SHAE2_29780.8, SHAE2_29780.2, SHAE2_29780.7, SHAE2_29780.6, SHAE2_29780.1, SHAE2_29780.3
OG0001075	FGIG_01512	SHAE2_65990.2, SHAE2_65990.1
OG0001076	FGIG_01548	SHAE2_49650.1, SHAE2_49650.2, SHAE2_49650.3
OG0001077	FGIG_01785, FGIG_06860	SHAE2_53350.1
OG0001078	FGIG_01797, FGIG_12525	SHAE2_65410.3, SHAE2_65410.1, SHAE2_65410.5, SHAE2_65410.2, SHAE2_65410.4, SHAE2_65410.6, SHAE2_65410.7, SHAE2_65410.8
OG0001079	FGIG_04699	SHAE2_79830.1, SHAE2_79830.2, SHAE2_79830.3, SHAE2_79840.1, SHAE2_79840.2, SHAE2_79840.3
OG0001080	FGIG_02556	SHAE2_78270.2, SHAE2_78270.1, SHAE2_78270.3
OG0001081	FGIG_03048	SHAE2_36740.3, SHAE2_36740.2, SHAE2_36740.1, SHAE2_36740.4
OG0001082	FGIG_03102	SHAE2_51910.1
OG0001083	FGIG_03601	SHAE2_99710.3, SHAE2_99710.1, SHAE2_99710.2, SHAE2_99710.4
OG0001084	FGIG_03671	SHAE2_22570.1, SHAE2_22570.2
OG0001086	FGIG_03975, FGIG_03974	SHAE2_76120.6, SHAE2_76120.7, SHAE2_76120.1, SHAE2_76120.2, SHAE2_76120.5, SHAE2_76120.3, SHAE2_76120.4
OG0001087	FGIG_06664	SHAE2_54550.2, SHAE2_54550.1
OG0001087	FGIG_04176	SHAE2_39230.1
OG0001088	FGIG_04337	SHAE2_26870.1
OG0001089	FGIG_04339	SHAE2_69420.2, SHAE2_69420.4, SHAE2_69420.1, SHAE2_69420.3
OG0001090	FGIG_04584	SHAE2_101540.1, SHAE2_101540.2, SHAE2_101540.3, SHAE2_101540.4, SHAE2_101540.5, SHAE2_101540.6
OG0001091	FGIG_04846	SHAE2_51800.1, SHAE2_51800.2, SHAE2_51800.3, SHAE2_51800.6, SHAE2_51800.7, SHAE2_51800.4, SHAE2_51800.5, SHAE2_51800.8
OG0001092	FGIG_05033	SHAE2_74140.1
OG0001093	FGIG_05118, FGIG_08573	SHAE2_85740.1
OG0001094	FGIG_10015, FGIG_05520	SHAE2_39600.2, SHAE2_39600.1, SHAE2_39600.3
OG0001095	FGIG_05851	SHAE2_54250.1, SHAE2_54250.2, SHAE2_54250.7, SHAE2_54250.10, SHAE2_54250.3, SHAE2_54250.4, SHAE2_54250.6, SHAE2_54250.9, SHAE2_54250.5, SHAE2_54250.11, SHAE2_54250.8
OG0001096	FGIG_06037	SHAE2_21620.5, SHAE2_21620.1, SHAE2_21620.3, SHAE2_21620.2, SHAE2_21620.4, SHAE2_21620.6
OG0001097	FGIG_11329, FGIG_06852, FGIG_06111	SHAE2_73840.3, SHAE2_73840.2, SHAE2_73840.5, SHAE2_73840.1, SHAE2_73840.4
OG0001098	FGIG_06590	SHAE2_34190.2, SHAE2_34190.1
OG0001099	FGIG_09675	SHAE2_97740.1
OG0001099	FGIG_06592, FGIG_11369	SHAE2_97750.1, SHAE2_97750.2
OG0001100	FGIG_10246, FGIG_06668	SHAE2_72500.3, SHAE2_72500.5, SHAE2_72500.4, SHAE2_72500.1, SHAE2_72500.2
OG0001101	FGIG_06746, FGIG_09913	SHAE2_49190.1, SHAE2_49160.1
OG0001102	FGIG_06752	SHAE2_66600.2, SHAE2_66600.4, SHAE2_66600.3, SHAE2_66600.7, SHAE2_66600.5, SHAE2_66600.6, SHAE2_66600.1, SHAE2_66600.9, SHAE2_66600.8
OG0001103	FGIG_06925	SHAE2_99580.1, SHAE2_99580.2, SHAE2_99580.3, SHAE2_99580.4, SHAE2_99580.5
OG0001104	FGIG_07204, FGIG_07205	SHAE2_66580.5, SHAE2_66580.4, SHAE2_66580.3, SHAE2_66580.2, SHAE2_66580.1, SHAE2_66580.6
OG0001105	FGIG_07324	SHAE2_34300.1, SHAE2_34300.2, SHAE2_34300.4, SHAE2_34300.5, SHAE2_34300.6, SHAE2_34300.7, SHAE2_34300.8, SHAE2_34300.3
OG0001106	FGIG_07485	SHAE2_72950.3, SHAE2_72950.6, SHAE2_72950.4, SHAE2_72950.1, SHAE2_72950.2, SHAE2_72950.5
OG0001107	FGIG_07647	SHAE2_54690.1, SHAE2_54690.2, SHAE2_54690.3
OG0001108	FGIG_08427	SHAE2_30880.2, SHAE2_30880.3, SHAE2_30880.4, SHAE2_30880.1
OG0001109	FGIG_08484, FGIG_08485	SHAE2_36810.1, SHAE2_36810.2
OG0001110	FGIG_09011	SHAE2_4450.2, SHAE2_4450.3, SHAE2_4450.1, SHAE2_4450.4
OG0001111	FGIG_09579, FGIG_09578	SHAE2_52220.1
OG0001112	FGIG_09596	SHAE2_101020.1, SHAE2_100990.1, SHAE2_101000.1
OG0001113	FGIG_09744	SHAE2_8320.1, SHAE2_8320.3, SHAE2_8320.2
OG0001114	FGIG_09856	SHAE2_7160.1
OG0001115	FGIG_10139	SHAE2_99680.1
OG0001116	FGIG_11923, FGIG_10461	SHAE2_86210.1
OG0001117	FGIG_10571	SHAE2_17240.3, SHAE2_17240.5, SHAE2_17240.7, SHAE2_17240.8, SHAE2_17240.1, SHAE2_17240.6, SHAE2_17240.4, SHAE2_17240.2
OG0001118	FGIG_11081	SHAE2_75760.1, SHAE2_75770.1
OG0001119	FGIG_11555	SHAE2_69390.1
OG0001120	FGIG_11558	SHAE2_33860.3, SHAE2_33860.5, SHAE2_33860.1, SHAE2_33860.2, SHAE2_33860.4, SHAE2_33860.7, SHAE2_33860.6
OG0001121	FGIG_11654	SHAE2_60250.2, SHAE2_60250.1, SHAE2_60250.3, SHAE2_60250.4
OG0001122	FGIG_12006	SHAE2_103440.1, SHAE2_103440.2
OG0001123	FGIG_12321	SHAE2_95920.3, SHAE2_95920.1, SHAE2_95920.2
OG0001124	FGIG_12395	SHAE2_40830.1
OG0001125	FGIG_12588	SHAE2_15580.1, SHAE2_15620.1, SHAE2_15620.2
OG0001129	FGIG_00014, FGIG_00015	SHAE2_40500.1, SHAE2_40500.2, SHAE2_40520.3, SHAE2_40520.2, SHAE2_40520.1, SHAE2_40520.4
OG0001130	FGIG_00274	SHAE2_13820.1, SHAE2_13820.2, SHAE2_13820.7, SHAE2_13820.6, SHAE2_13820.8, SHAE2_13820.9, SHAE2_13820.5, SHAE2_13820.3, SHAE2_13820.4
OG0001131	FGIG_01558, FGIG_00298, FGIG_09149	SHAE2_78420.1, SHAE2_78410.1
OG0001132	FGIG_00496, FGIG_00497	SHAE2_87800.4, SHAE2_87800.6, SHAE2_87800.5, SHAE2_87800.1, SHAE2_87800.2, SHAE2_87800.3, SHAE2_87800.7
OG0001133	FGIG_02833, FGIG_00526	SHAE2_18010.1
OG0001134	FGIG_12437, FGIG_00591	SHAE2_69600.5, SHAE2_69600.1, SHAE2_69600.4, SHAE2_69600.2, SHAE2_69600.6, SHAE2_69600.3
OG0001135	FGIG_02017, FGIG_00617, FGIG_07747, FGIG_02078	SHAE2_37250.3, SHAE2_37250.1, SHAE2_37250.2
OG0001136	FGIG_00645, FGIG_03058, FGIG_03059	SHAE2_26110.1
OG0001137	FGIG_00823, FGIG_00821	SHAE2_56760.3, SHAE2_56760.2, SHAE2_56760.5, SHAE2_56760.6, SHAE2_56760.7, SHAE2_56760.1, SHAE2_56760.4, SHAE2_56760.8
OG0001138	FGIG_01503	SHAE2_22740.1
OG0001139	FGIG_01506	SHAE2_40230.9, SHAE2_40230.1, SHAE2_40230.4, SHAE2_40230.5, SHAE2_40230.7, SHAE2_40230.8, SHAE2_40230.3, SHAE2_40230.6, SHAE2_40230.2
OG0001140	FGIG_01543	SHAE2_49560.3, SHAE2_49560.4, SHAE2_49560.2, SHAE2_49560.1
OG0001141	FGIG_01893, FGIG_01892	SHAE2_84270.1, SHAE2_84280.1
OG0001142	FGIG_02001, FGIG_02003	SHAE2_14830.6, SHAE2_14830.5, SHAE2_14830.1, SHAE2_14830.3, SHAE2_14830.4, SHAE2_14830.2, SHAE2_14810.1
OG0001143	FGIG_02060	SHAE2_66990.9, SHAE2_66990.7, SHAE2_66990.10, SHAE2_66990.2, SHAE2_66990.8, SHAE2_66990.1, SHAE2_66990.5, SHAE2_66990.6, SHAE2_66990.3, SHAE2_66990.4
OG0001144	FGIG_02616, FGIG_03492	SHAE2_39010.1, SHAE2_39010.2, SHAE2_39010.3, SHAE2_39010.4, SHAE2_39010.5, SHAE2_39010.6
OG0001145	FGIG_02867	SHAE2_69750.2, SHAE2_69750.6, SHAE2_69750.1, SHAE2_69750.3, SHAE2_69750.4, SHAE2_69750.5
OG0001146	FGIG_03198	SHAE2_4940.1, SHAE2_4940.4, SHAE2_4940.2, SHAE2_4940.3, SHAE2_4940.5, SHAE2_4940.6, SHAE2_4940.7, SHAE2_4940.8
OG0001147	FGIG_04109, FGIG_03472	SHAE2_8220.1, SHAE2_8220.2, SHAE2_8220.3
OG0001148	FGIG_03714	SHAE2_74940.2, SHAE2_74940.1, SHAE2_74940.3
OG0001149	FGIG_03749	SHAE2_82610.1, SHAE2_82610.2, SHAE2_82610.5, SHAE2_82610.7, SHAE2_82610.6, SHAE2_82610.4, SHAE2_82610.3
OG0001150	FGIG_03772	SHAE2_55310.1, SHAE2_55310.2, SHAE2_55310.3
OG0001151	FGIG_04134, FGIG_04135	SHAE2_95190.2, SHAE2_95190.1
OG0001153	FGIG_04681	SHAE2_73650.4, SHAE2_73650.6, SHAE2_73650.7, SHAE2_73650.5, SHAE2_73650.2, SHAE2_73650.1, SHAE2_73650.3
OG0001154	FGIG_04952	SHAE2_46790.1, SHAE2_46820.1
OG0001155	FGIG_05185, FGIG_05184	SHAE2_51710.1
OG0001156	FGIG_05213	SHAE2_8160.1, SHAE2_8160.2
OG0001157	FGIG_05241	SHAE2_67020.1
OG0001158	FGIG_05413	SHAE2_45240.1, SHAE2_45240.2, SHAE2_45240.3, SHAE2_45240.4
OG0001159	FGIG_05437	SHAE2_97930.6, SHAE2_97930.7, SHAE2_97930.3, SHAE2_97930.4, SHAE2_97930.5, SHAE2_97930.8, SHAE2_97930.1, SHAE2_97930.2
OG0001160	FGIG_05512	SHAE2_21980.1
OG0001161	FGIG_05665, FGIG_05664	SHAE2_72940.1, SHAE2_69860.1, SHAE2_69860.2
OG0001162	FGIG_05816	SHAE2_38550.3, SHAE2_38550.2, SHAE2_38550.4, SHAE2_38550.6, SHAE2_38550.1, SHAE2_38550.5
OG0001163	FGIG_06050, FGIG_06049	SHAE2_81660.1, SHAE2_81660.5, SHAE2_81660.3, SHAE2_81660.2, SHAE2_81660.4
OG0001164	FGIG_06154	SHAE2_85280.2, SHAE2_85280.1
OG0001165	FGIG_06975	SHAE2_61540.1, SHAE2_61540.2
OG0001166	FGIG_07145	SHAE2_12840.1, SHAE2_12840.2, SHAE2_12840.5, SHAE2_12840.3, SHAE2_12840.4
OG0001167	FGIG_07296	SHAE2_38540.6, SHAE2_38540.1, SHAE2_38540.2, SHAE2_38540.4, SHAE2_38540.5, SHAE2_38540.3, SHAE2_38540.7
OG0001168	FGIG_07458, FGIG_07459	SHAE2_14400.1
OG0001169	FGIG_07667	SHAE2_53380.6, SHAE2_53380.8, SHAE2_53380.7, SHAE2_53380.10, SHAE2_53380.3, SHAE2_53380.4, SHAE2_53380.2, SHAE2_53380.9, SHAE2_53380.1, SHAE2_53380.5
OG0001170	FGIG_07739	SHAE2_13210.3, SHAE2_13210.2, SHAE2_13210.1, SHAE2_13210.4
OG0001171	FGIG_07821	SHAE2_17540.7, SHAE2_17540.3, SHAE2_17540.2, SHAE2_17540.4, SHAE2_17540.6, SHAE2_17540.1, SHAE2_17540.5
OG0001172	FGIG_08034	SHAE2_64570.1
OG0001173	FGIG_08233	SHAE2_2040.1
OG0001174	FGIG_08325	SHAE2_11650.1
OG0001175	FGIG_08343	SHAE2_55380.1, SHAE2_55380.2, SHAE2_55380.3, SHAE2_55380.4, SHAE2_55380.5, SHAE2_55380.6
OG0001176	FGIG_08377	SHAE2_77870.1, SHAE2_77870.2, SHAE2_77870.4, SHAE2_77870.3
OG0001177	FGIG_08477	SHAE2_103260.1, SHAE2_27100.1, SHAE2_27100.2
OG0001178	FGIG_08746	SHAE2_2920.1, SHAE2_2910.1, SHAE2_2910.2, SHAE2_2910.4, SHAE2_2910.3
OG0001179	FGIG_08962	SHAE2_98480.1, SHAE2_98480.2
OG0001180	FGIG_09159, FGIG_11284	SHAE2_11290.4, SHAE2_11290.1, SHAE2_11290.3, SHAE2_11290.6, SHAE2_11290.2, SHAE2_11290.5
OG0001181	FGIG_09440	SHAE2_61600.1
OG0001182	FGIG_09577, FGIG_12267	SHAE2_38800.1
OG0001184	FGIG_09947	SHAE2_4040.1, SHAE2_4040.2, SHAE2_4040.3
OG0001185	FGIG_10786	SHAE2_12490.2, SHAE2_12490.1, SHAE2_12490.3
OG0001186	FGIG_10879	SHAE2_5460.1, SHAE2_5460.2, SHAE2_5460.3
OG0001187	FGIG_11096	SHAE2_33600.3, SHAE2_33600.1, SHAE2_33600.2, SHAE2_33600.5, SHAE2_33600.4
OG0001188	FGIG_11471	SHAE2_8460.1, SHAE2_8460.2, SHAE2_8460.3
OG0001189	FGIG_12652, FGIG_11638	SHAE2_16220.1
OG0001190	FGIG_11792	SHAE2_39030.1, SHAE2_39030.2, SHAE2_39030.3, SHAE2_39030.4, SHAE2_39030.6, SHAE2_39030.5
OG0001191	FGIG_11901	SHAE2_7530.1, SHAE2_7530.9, SHAE2_7530.6, SHAE2_7530.7, SHAE2_7530.8, SHAE2_7530.2, SHAE2_7530.3, SHAE2_7530.4, SHAE2_7530.5
OG0001192	FGIG_12164, FGIG_12599	SHAE2_45570.2, SHAE2_45570.1, SHAE2_45570.7, SHAE2_45570.8, SHAE2_45570.3, SHAE2_45570.4, SHAE2_45570.5, SHAE2_45570.6
OG0001193	FGIG_12177	SHAE2_87070.4, SHAE2_87070.5, SHAE2_87070.2, SHAE2_87070.3, SHAE2_87070.1
