Orthogroup	schmidtea_mediterranea	trichobilharzia_regenti
OG0000476	h1SMcT0020933.1	TREG1_28820.4, TREG1_28820.1, TREG1_28820.5, TREG1_28820.2, TREG1_28820.6, TREG1_28820.3, TREG1_28820.7
OG0000477	h1SMcT0011098.1, h1SMcT0011098.2	TREG1_61430.3, TREG1_61430.1, TREG1_61430.4, TREG1_61430.2, TREG1_61430.5
OG0000478	h1SMcT0004046.1, h1SMcT0004046.2	TREG1_8640.4, TREG1_8640.1, TREG1_8640.2, TREG1_8640.3
OG0000479	h1SMcT0022220.1, h1SMcT0022220.2	TREG1_55210.3, TREG1_55210.5, TREG1_55210.4, TREG1_55210.2, TREG1_55210.1, TREG1_55210.6
OG0000480	h1SMcT0004755.1	TREG1_90290.1
OG0000481	h1SMcT0008668.4, h1SMcT0008668.5, h1SMcT0008694.1, h1SMcT0008695.1, h1SMcT0008680.1	TREG1_82480.1
OG0000482	h1SMcT0012726.1, h1SMcT0012726.2, h1SMcT0009023.1, h1SMcT0021555.3, h1SMcT0021555.4, h1SMcT0021555.5, h1SMcT0021555.1, h1SMcT0021555.2	TREG1_12770.1, TREG1_12770.2, TREG1_12770.3, TREG1_12770.4, TREG1_12770.5, TREG1_12770.6, TREG1_12770.7
OG0000485	h1SMcT0000920.1	TREG1_108870.1, TREG1_108870.3, TREG1_108870.4, TREG1_108870.5, TREG1_108870.6, TREG1_108870.7, TREG1_108870.8, TREG1_108870.2, TREG1_15250.10, TREG1_15250.2, TREG1_15250.8, TREG1_15250.9, TREG1_15250.3, TREG1_15250.1, TREG1_15250.4, TREG1_15250.5, TREG1_15250.6, TREG1_15250.11, TREG1_15250.12, TREG1_15250.7
OG0000489	h1SMcT0003858.1, h1SMcT0003858.2	TREG1_72730.2, TREG1_72730.3, TREG1_72730.4, TREG1_72730.1, TREG1_72730.5, TREG1_72730.6, TREG1_72730.7
OG0000490	h1SMcT0020692.2, h1SMcT0020692.1, h1SMcT0020692.3	TREG1_90670.5, TREG1_90670.6, TREG1_90770.1
OG0000491	h1SMcT0002779.1	TREG1_49150.7, TREG1_49150.1, TREG1_49150.5, TREG1_49150.2, TREG1_49150.3, TREG1_49150.6, TREG1_49150.4
OG0000492	h1SMcT0004364.1, h1SMcT0004364.2	TREG1_85530.7, TREG1_85530.2, TREG1_85530.3, TREG1_85530.5, TREG1_85530.8, TREG1_85530.4, TREG1_85530.1, TREG1_85530.6
OG0000493	h1SMcT0000709.3, h1SMcT0000709.2, h1SMcT0000709.1, h1SMcT0000709.4	TREG1_67440.1, TREG1_67440.2
OG0000493	h1SMcT0020675.1, h1SMcT0020674.1, h1SMcT0000076.1	TREG1_47230.1, TREG1_47230.2
OG0000494	h1SMcT0001600.1	TREG1_106470.1, TREG1_109490.1, TREG1_10520.1, TREG1_129710.1, TREG1_25400.1, TREG1_118750.1, TREG1_68500.1, TREG1_19110.1, TREG1_120520.1, TREG1_120520.2, TREG1_120520.3, TREG1_91360.1, TREG1_12040.1, TREG1_142740.1, TREG1_137810.1, TREG1_137810.2, TREG1_137810.3, TREG1_137830.1, TREG1_10190.1, TREG1_93780.1, TREG1_99390.1, TREG1_99390.4, TREG1_99390.2, TREG1_99390.3, TREG1_133530.1, TREG1_18370.1, TREG1_18370.2, TREG1_47930.1, TREG1_110920.1, TREG1_110920.2, TREG1_110920.3, TREG1_133860.1, TREG1_133860.2, TREG1_136960.1, TREG1_136960.2, TREG1_67300.1, TREG1_33670.1, TREG1_62110.1
OG0000494	h1SMcT0016345.1	TREG1_55240.1, TREG1_94460.1, TREG1_116920.1, TREG1_63380.1
OG0000495	h1SMcT0009099.10, h1SMcT0009099.2, h1SMcT0009099.6, h1SMcT0009099.3, h1SMcT0009099.5, h1SMcT0009099.1, h1SMcT0009099.8, h1SMcT0009099.4, h1SMcT0009099.7, h1SMcT0009099.9	TREG1_18450.1, TREG1_18450.2, TREG1_18450.3
OG0000496	h1SMcT0021715.1, h1SMcT0021715.2, h1SMcT0021715.3	TREG1_33060.1
OG0000497	h1SMcT0003775.1	TREG1_3380.1
OG0000498	h1SMcT0017838.1, h1SMcT0017838.2, h1SMcT0017837.6, h1SMcT0017837.5, h1SMcT0017837.7, h1SMcT0017837.2, h1SMcT0017837.1, h1SMcT0017837.3, h1SMcT0017837.4	TREG1_58820.1
OG0000499	h1SMcT0006984.1	TREG1_103170.4, TREG1_103170.5, TREG1_103170.1, TREG1_137200.1, TREG1_103170.2, TREG1_103170.3
OG0000501	h1SMcT0018760.1, h1SMcT0018760.2	TREG1_51730.1
OG0000502	h1SMcT0010118.2, h1SMcT0002252.1, h1SMcT0002252.4, h1SMcT0002252.2, h1SMcT0002252.3	TREG1_47280.9, TREG1_47280.7, TREG1_47280.6, TREG1_47280.12, TREG1_47280.1, TREG1_47280.3, TREG1_47280.10, TREG1_47280.2, TREG1_47280.4, TREG1_47280.8, TREG1_47280.5, TREG1_47280.11
OG0000503	h1SMcT0002919.1, h1SMcT0002919.2, h1SMcT0002924.1, h1SMcT0002924.2	TREG1_870.1
OG0000504	h1SMcT0019787.1	TREG1_71760.1, TREG1_71760.2
OG0000505	h1SMcT0004914.1	TREG1_33200.1
OG0000508	h1SMcT0011172.1, h1SMcT0011172.2	TREG1_20060.6, TREG1_20060.1, TREG1_20060.4, TREG1_20060.5, TREG1_20060.2, TREG1_20060.3
OG0000509	h1SMcT0015058.1, h1SMcT0019753.1, h1SMcT0019753.2, h1SMcT0019753.3	TREG1_65250.1, TREG1_65270.1, TREG1_65270.2
OG0000510	h1SMcT0001161.4, h1SMcT0001161.5	TREG1_108400.1, TREG1_108440.3, TREG1_108440.1, TREG1_108440.2
OG0000512	h1SMcT0012909.1	TREG1_64630.1
OG0000514	h1SMcT0021411.1, h1SMcT0021411.2, h1SMcT0021411.3, h1SMcT0021411.4, h1SMcT0021411.5, h1SMcT0021411.6	TREG1_61400.1, TREG1_61400.2, TREG1_61400.3, TREG1_61400.5, TREG1_61400.4
OG0000515	h1SMcT0007870.1	TREG1_33970.1, TREG1_33970.2
OG0000516	h1SMcT0022229.1, h1SMcT0022229.2	TREG1_80730.1
OG0000517	h1SMcT0011032.1	TREG1_51710.1, TREG1_51710.2, TREG1_51710.3
OG0000521	h1SMcT0003945.1, h1SMcT0003945.2, h1SMcT0003945.3	TREG1_103350.7, TREG1_103350.9, TREG1_103350.6, TREG1_103350.2, TREG1_103350.3, TREG1_103350.4, TREG1_103350.8, TREG1_103350.1, TREG1_103350.5
OG0000522	h1SMcT0011331.1, h1SMcT0011331.2	TREG1_75610.1
OG0000523	h1SMcT0012736.1, h1SMcT0012736.2	TREG1_100250.1
OG0000524	h1SMcT0004038.1	TREG1_24710.1, TREG1_16670.2, TREG1_16670.9, TREG1_16670.4, TREG1_16670.6, TREG1_16670.1, TREG1_16670.3, TREG1_16670.11, TREG1_16670.8, TREG1_16670.10, TREG1_16670.12, TREG1_16670.5, TREG1_16670.7, TREG1_16680.1, TREG1_111210.2, TREG1_111210.1, TREG1_111210.3, TREG1_111210.4, TREG1_111230.1, TREG1_111220.1, TREG1_24720.1
OG0000525	h1SMcT0008063.1, h1SMcT0008063.2, h1SMcT0007883.1, h1SMcT0021492.1	TREG1_74580.1, TREG1_143600.1, TREG1_143600.2
OG0000526	h1SMcT0011925.1	TREG1_9110.2, TREG1_9110.3, TREG1_9110.1, TREG1_9110.4, TREG1_9110.5
OG0000527	h1SMcT0022639.4	TREG1_17760.1, TREG1_17760.2
OG0000529	h1SMcT0006586.1	TREG1_28450.1, TREG1_35360.1, TREG1_35360.2
OG0000530	h1SMcT0000185.1	TREG1_133430.1
OG0000530	h1SMcT0007987.1, h1SMcT0007987.2, h1SMcT0012665.1, h1SMcT0012665.2	TREG1_134910.1, TREG1_134920.1
OG0000531	h1SMcT0018210.3, h1SMcT0018210.1, h1SMcT0018210.2	TREG1_106010.1
OG0000532	h1SMcT0009724.1, h1SMcT0009724.2	TREG1_7720.1, TREG1_7720.2
OG0000534	h1SMcT0010650.1, h1SMcT0018835.1	TREG1_95460.1
OG0000535	h1SMcT0019644.1, h1SMcT0019644.3, h1SMcT0019644.2, h1SMcT0019644.4	TREG1_78360.1, TREG1_80440.1
OG0000536	h1SMcT0014219.1, h1SMcT0014219.2	TREG1_81140.1
OG0000537	h1SMcT0006697.1	TREG1_73770.1, TREG1_73770.3, TREG1_73770.2, TREG1_73770.4
OG0000539	h1SMcT0004811.1, h1SMcT0004811.4, h1SMcT0004811.3	TREG1_69190.1, TREG1_69180.3, TREG1_69180.4, TREG1_69180.1, TREG1_69180.5, TREG1_69180.2
OG0000540	h1SMcT0021535.1	TREG1_11390.2, TREG1_11390.1, TREG1_11390.3
OG0000542	h1SMcT0000922.1, h1SMcT0015103.1, h1SMcT0004310.1, h1SMcT0011864.1, h1SMcT0011864.2, h1SMcT0011864.3, h1SMcT0014503.1, h1SMcT0014503.2	TREG1_120480.1, TREG1_120490.1, TREG1_120480.3, TREG1_120490.2, TREG1_120490.3
OG0000544	h1SMcT0006842.1	TREG1_97610.1
OG0000545	h1SMcT0002590.1, h1SMcT0008951.3, h1SMcT0008951.1, h1SMcT0008951.2	TREG1_62060.1
OG0000545	h1SMcT0006299.1	TREG1_95860.1
OG0000546	h1SMcT0006604.1, h1SMcT0006760.1	TREG1_46630.1, TREG1_46620.1
OG0000547	h1SMcT0008304.1	TREG1_125930.1
OG0000549	h1SMcT0012580.1, h1SMcT0005514.1, h1SMcT0005514.2	TREG1_25530.2, TREG1_25530.1, TREG1_25530.3, TREG1_25530.4, TREG1_25530.5
OG0000550	h1SMcT0015594.1	TREG1_16250.1, TREG1_16240.2, TREG1_16240.4, TREG1_16240.6, TREG1_16240.8, TREG1_16240.10, TREG1_16240.7, TREG1_16240.3, TREG1_16240.5, TREG1_16240.1, TREG1_16240.9, TREG1_16230.1, TREG1_16230.3, TREG1_16230.2
OG0000551	h1SMcT0001218.1, h1SMcT0009165.1, h1SMcT0009165.2, h1SMcT0014269.1, h1SMcT0014269.3, h1SMcT0014269.2, h1SMcT0016296.1, h1SMcT0016296.2, h1SMcT0011167.1, h1SMcT0011741.1, h1SMcT0005750.1	TREG1_70940.1
OG0000552	h1SMcT0021184.1	TREG1_2340.1, TREG1_68430.1, TREG1_68430.2, TREG1_68430.3
OG0000552	h1SMcT0012094.1, h1SMcT0012094.2	TREG1_121870.1
OG0000553	h1SMcT0019029.2, h1SMcT0019029.1, h1SMcT0019029.3, h1SMcT0019029.4, h1SMcT0004255.2, h1SMcT0004255.1, h1SMcT0004255.11, h1SMcT0004255.3, h1SMcT0004255.4, h1SMcT0004255.6, h1SMcT0004255.7, h1SMcT0004255.8, h1SMcT0004255.9, h1SMcT0004255.10, h1SMcT0004255.12, h1SMcT0004255.5	TREG1_132920.1, TREG1_132920.2, TREG1_132920.3
OG0000554	h1SMcT0003715.1, h1SMcT0003715.2	TREG1_55910.1, TREG1_21130.1, TREG1_21120.2, TREG1_21120.3, TREG1_21120.4, TREG1_21120.1, TREG1_21120.5, TREG1_21120.6
OG0000555	h1SMcT0005491.1, h1SMcT0021937.1, h1SMcT0021938.1, h1SMcT0021940.1, h1SMcT0013846.1, h1SMcT0013846.2	TREG1_42790.1, TREG1_42770.1, TREG1_42770.2
OG0000557	h1SMcT0006419.1, h1SMcT0006419.2, h1SMcT0006419.3	TREG1_40110.1
OG0000558	h1SMcT0021451.5, h1SMcT0021451.6, h1SMcT0021451.9, h1SMcT0021451.10, h1SMcT0021451.7, h1SMcT0021451.8, h1SMcT0021451.11, h1SMcT0021451.2, h1SMcT0021451.3, h1SMcT0021451.4	TREG1_15740.1
OG0000559	h1SMcT0021284.1, h1SMcT0021284.2, h1SMcT0021284.3	TREG1_112190.3, TREG1_112190.4, TREG1_112190.1, TREG1_112190.2, TREG1_112190.6, TREG1_112190.5
OG0000560	h1SMcT0006173.1	TREG1_133190.1, TREG1_133190.2
OG0000561	h1SMcT0005992.1, h1SMcT0005992.2, h1SMcT0005992.3, h1SMcT0005992.4, h1SMcT0005992.5, h1SMcT0005992.6, h1SMcT0005992.7	TREG1_135790.1
OG0000561	h1SMcT0000933.1	TREG1_136100.1, TREG1_135780.1
OG0000562	h1SMcT0021856.10, h1SMcT0021856.4, h1SMcT0021856.3, h1SMcT0021856.1, h1SMcT0021856.6, h1SMcT0021856.9, h1SMcT0021856.2, h1SMcT0021856.7, h1SMcT0021856.8, h1SMcT0021856.5	TREG1_114580.3, TREG1_114580.4, TREG1_114580.5, TREG1_114580.7, TREG1_114580.2, TREG1_114580.6, TREG1_114580.1, TREG1_114580.11, TREG1_114580.10, TREG1_114580.13, TREG1_114580.9, TREG1_114580.12, TREG1_114580.14, TREG1_114580.8
OG0000564	h1SMcT0004343.4, h1SMcT0004343.1, h1SMcT0004343.6, h1SMcT0004343.2, h1SMcT0004343.3, h1SMcT0004343.5	TREG1_56450.1, TREG1_56440.1
OG0000565	h1SMcT0018773.4, h1SMcT0018773.3, h1SMcT0018773.2, h1SMcT0022896.1, h1SMcT0022896.2, h1SMcT0000517.3, h1SMcT0000517.4, h1SMcT0000517.5, h1SMcT0000517.1, h1SMcT0000517.2	TREG1_6420.1, TREG1_6420.2, TREG1_6420.3, TREG1_6420.4, TREG1_6420.5
OG0000566	h1SMcT0016524.1, h1SMcT0016524.2, h1SMcT0016524.4, h1SMcT0016524.3	TREG1_111000.1, TREG1_111000.2, TREG1_111000.3
OG0000567	h1SMcT0018100.3, h1SMcT0018100.4, h1SMcT0018373.1, h1SMcT0019140.1	TREG1_82820.1
OG0000568	h1SMcT0000422.1	TREG1_76800.1
OG0000568	h1SMcT0004474.1	TREG1_82130.1
OG0000568	h1SMcT0007387.1, h1SMcT0008220.1	TREG1_40240.1
OG0000569	h1SMcT0011523.1	TREG1_8360.2, TREG1_8360.10, TREG1_8360.3, TREG1_8360.4, TREG1_8360.8, TREG1_8360.1, TREG1_8360.7, TREG1_8360.9, TREG1_8360.5, TREG1_8360.6
OG0000570	h1SMcT0019517.1, h1SMcT0019517.4, h1SMcT0019517.3, h1SMcT0019517.2, h1SMcT0004661.3, h1SMcT0004661.1, h1SMcT0004661.2	TREG1_10760.1, TREG1_10770.1
OG0000572	h1SMcT0002436.1, h1SMcT0002436.2, h1SMcT0002436.3	TREG1_84160.1
OG0000576	h1SMcT0011316.1	TREG1_40480.1
OG0000580	h1SMcT0008757.1	TREG1_45050.1, TREG1_45050.6, TREG1_45050.2, TREG1_45050.4, TREG1_45050.3, TREG1_45050.5, TREG1_51770.1
OG0000581	h1SMcT0003098.1, h1SMcT0003098.4, h1SMcT0003098.2, h1SMcT0003098.3	TREG1_85110.1, TREG1_85110.2, TREG1_85110.3
OG0000582	h1SMcT0007948.1	TREG1_115240.1, TREG1_115230.1, TREG1_110220.1, TREG1_115220.1
OG0000583	h1SMcT0016905.1, h1SMcT0018972.1, h1SMcT0018972.2	TREG1_85440.1
OG0000584	h1SMcT0015177.1	TREG1_48340.1
OG0000585	h1SMcT0015294.3	TREG1_12160.7, TREG1_12160.6, TREG1_12160.3, TREG1_12160.4, TREG1_12160.2, TREG1_12160.1, TREG1_12160.8, TREG1_12160.5
OG0000586	h1SMcT0002546.1	TREG1_49800.1
OG0000587	h1SMcT0012527.1	TREG1_61620.1, TREG1_142980.1, TREG1_136720.2, TREG1_136720.1, TREG1_142990.1, TREG1_139140.1, TREG1_136660.1, TREG1_126840.1, TREG1_139130.1, TREG1_140980.1, TREG1_136850.1, TREG1_56930.1
OG0000588	h1SMcT0022641.1	TREG1_29180.1, TREG1_29190.1, TREG1_29170.1, TREG1_29310.1
OG0000589	h1SMcT0000513.6, h1SMcT0000513.10, h1SMcT0000513.5, h1SMcT0000513.11, h1SMcT0000513.7, h1SMcT0000513.4, h1SMcT0000513.2, h1SMcT0000513.1, h1SMcT0000513.15, h1SMcT0000513.9, h1SMcT0000513.12, h1SMcT0000513.13, h1SMcT0000513.16, h1SMcT0000513.3, h1SMcT0000513.14, h1SMcT0000513.8	TREG1_77090.1, TREG1_77090.2
OG0000590	h1SMcT0012706.1, h1SMcT0012706.2	TREG1_46410.1
OG0000590	h1SMcT0011530.1, h1SMcT0011530.2, h1SMcT0011530.3, h1SMcT0011530.5, h1SMcT0011530.4	TREG1_45820.1
OG0000592	h1SMcT0002361.1	TREG1_45210.1
OG0000593	h1SMcT0011288.1	TREG1_58530.1, TREG1_58530.2, TREG1_58530.3, TREG1_58530.4
OG0000594	h1SMcT0014403.1	TREG1_24250.1, TREG1_72460.1
OG0000599	h1SMcT0014383.1	TREG1_90170.2, TREG1_90170.1, TREG1_90170.3
OG0000600	h1SMcT0001236.1, h1SMcT0001236.2	TREG1_92180.1, TREG1_92180.2, TREG1_92180.3, TREG1_92180.4, TREG1_92180.5, TREG1_92180.6, TREG1_92180.7, TREG1_92180.8, TREG1_92180.9
OG0000601	h1SMcT0017191.2	TREG1_131690.1
OG0000601	h1SMcT0017191.1, h1SMcT0015663.1	TREG1_56660.1
OG0000603	h1SMcT0006589.1, h1SMcT0001620.1, h1SMcT0001575.2, h1SMcT0001575.1	TREG1_74520.1
OG0000605	h1SMcT0000877.1, h1SMcT0000877.2	TREG1_60080.1, TREG1_60080.6, TREG1_60080.2, TREG1_60080.3, TREG1_60080.4, TREG1_60080.5, TREG1_59030.1
OG0000606	h1SMcT0007872.1	TREG1_70950.1
OG0000606	h1SMcT0013192.1	TREG1_70950.1
OG0000606	h1SMcT0016286.1	TREG1_70950.1
OG0000606	h1SMcT0016453.1	TREG1_12060.1
OG0000606	h1SMcT0016453.1	TREG1_18830.1
OG0000606	h1SMcT0016453.1	TREG1_18840.1
OG0000607	h1SMcT0020176.1	TREG1_49850.1, TREG1_49850.2
OG0000609	h1SMcT0005893.1	TREG1_60290.1, TREG1_60280.1, TREG1_60280.2
OG0000610	h1SMcT0000886.2, h1SMcT0000886.3	TREG1_48560.1
OG0000610	h1SMcT0011951.1, h1SMcT0005871.1, h1SMcT0005871.2, h1SMcT0013226.4, h1SMcT0013226.5, h1SMcT0013226.1, h1SMcT0013226.3, h1SMcT0013226.6, h1SMcT0013226.2, h1SMcT0013226.9, h1SMcT0013226.7	TREG1_61090.1, TREG1_61090.2
OG0000611	h1SMcT0001233.1, h1SMcT0001234.1	TREG1_39480.1, TREG1_39460.1
OG0000612	h1SMcT0020937.1	TREG1_11300.1
OG0000613	h1SMcT0002240.1, h1SMcT0014405.4, h1SMcT0014405.1, h1SMcT0014405.6, h1SMcT0014405.5, h1SMcT0014405.2, h1SMcT0014405.3	TREG1_50280.1
OG0000614	h1SMcT0004878.5, h1SMcT0004878.1, h1SMcT0004878.6	TREG1_39240.5, TREG1_39240.1, TREG1_39240.2, TREG1_39240.3, TREG1_39240.4
OG0000615	h1SMcT0007757.1, h1SMcT0011556.1, h1SMcT0022918.1	TREG1_28100.1, TREG1_28100.2
OG0000616	h1SMcT0015808.1, h1SMcT0011502.1, h1SMcT0011502.4	TREG1_79530.1
OG0000617	h1SMcT0000662.1, h1SMcT0016621.1, h1SMcT0016621.2, h1SMcT0016926.2, h1SMcT0016926.1, h1SMcT0016926.3	TREG1_113250.10, TREG1_113250.11, TREG1_113250.6, TREG1_113250.12, TREG1_113250.7, TREG1_113250.4, TREG1_113250.2, TREG1_113250.8, TREG1_113250.9, TREG1_113250.1, TREG1_113250.3, TREG1_113250.5
OG0000618	h1SMcT0002134.3, h1SMcT0002134.1, h1SMcT0002134.2, h1SMcT0002134.4	TREG1_54300.1, TREG1_54290.1, TREG1_54290.2
OG0000620	h1SMcT0012721.1, h1SMcT0012721.2	TREG1_19940.1, TREG1_137380.1
OG0000620	h1SMcT0013766.1, h1SMcT0013766.2, h1SMcT0008491.1, h1SMcT0008491.2	TREG1_61470.1
OG0000621	h1SMcT0007997.1	TREG1_47640.1
OG0000623	h1SMcT0014261.1	TREG1_10780.1
OG0000624	h1SMcT0020124.1	TREG1_52600.1, TREG1_52600.2
OG0000625	h1SMcT0013791.1	TREG1_39770.1, TREG1_39760.1
OG0000626	h1SMcT0016716.3, h1SMcT0016716.1, h1SMcT0016716.2	TREG1_76310.1, TREG1_76310.2, TREG1_76310.3
OG0000627	h1SMcT0005288.1, h1SMcT0005288.2, h1SMcT0005288.3, h1SMcT0005288.4	TREG1_15320.1
OG0000628	h1SMcT0006558.1	TREG1_91720.1, TREG1_91710.1
OG0000629	h1SMcT0002469.1, h1SMcT0002469.2, h1SMcT0002157.1, h1SMcT0002157.2	TREG1_41520.1, TREG1_41520.2, TREG1_41520.3
OG0000630	h1SMcT0010265.4, h1SMcT0010265.5, h1SMcT0010265.1, h1SMcT0010265.3, h1SMcT0010265.2	TREG1_80480.6, TREG1_80480.1, TREG1_80480.2, TREG1_80480.3, TREG1_80480.4, TREG1_80480.5, TREG1_141830.5, TREG1_141840.2, TREG1_141840.3, TREG1_141830.6, TREG1_141830.7, TREG1_28320.1, TREG1_28320.2, TREG1_28320.4, TREG1_28320.5, TREG1_28320.3, TREG1_28320.7, TREG1_28320.8, TREG1_28320.9, TREG1_141830.2, TREG1_141840.1, TREG1_28320.6, TREG1_141840.6, TREG1_141830.4, TREG1_141840.5, TREG1_141840.7, TREG1_141830.1, TREG1_141830.3, TREG1_141840.4, TREG1_141840.8
OG0000631	h1SMcT0010110.1, h1SMcT0010112.1, h1SMcT0010114.1	TREG1_90310.1, TREG1_90320.1, TREG1_39130.1, TREG1_39130.2, TREG1_91760.1
OG0000632	h1SMcT0004637.1, h1SMcT0004637.2	TREG1_30130.1
OG0000633	h1SMcT0003142.1	TREG1_73110.4, TREG1_73120.1, TREG1_73110.1, TREG1_73110.2, TREG1_73110.3
OG0000636	h1SMcT0010435.1	TREG1_131330.1
OG0000637	h1SMcT0003479.1, h1SMcT0009323.1, h1SMcT0009324.1, h1SMcT0009324.2, h1SMcT0009332.1, h1SMcT0009332.4, h1SMcT0009332.2, h1SMcT0009332.3, h1SMcT0009397.1, h1SMcT0009393.1, h1SMcT0009393.2	TREG1_66150.1
OG0000638	h1SMcT0014155.1, h1SMcT0014155.2	TREG1_90220.4, TREG1_90220.3, TREG1_90220.5, TREG1_90220.7, TREG1_90220.1, TREG1_90220.2, TREG1_90220.6
OG0000639	h1SMcT0008292.1	TREG1_84310.6, TREG1_84310.1, TREG1_84310.5, TREG1_84310.4, TREG1_84310.2, TREG1_84310.3
OG0000641	h1SMcT0000075.1, h1SMcT0000075.2, h1SMcT0000075.3	TREG1_4100.1
OG0000641	h1SMcT0021560.1, h1SMcT0021560.2	TREG1_4590.1, TREG1_4590.2
OG0000643	h1SMcT0004865.1	TREG1_66730.1, TREG1_66710.1, TREG1_66720.1, TREG1_66720.2, TREG1_66720.3
OG0000644	h1SMcT0009313.1, h1SMcT0009313.2, h1SMcT0009313.3	TREG1_135490.1, TREG1_135500.2, TREG1_135500.1, TREG1_135500.3, TREG1_135500.4
OG0000645	h1SMcT0014622.1, h1SMcT0014622.2, h1SMcT0014622.3, h1SMcT0001951.1, h1SMcT0001951.4, h1SMcT0001951.2, h1SMcT0001951.5, h1SMcT0001951.3, h1SMcT0002162.9, h1SMcT0002162.3, h1SMcT0002162.5, h1SMcT0002162.8, h1SMcT0002162.1, h1SMcT0002162.10, h1SMcT0002162.2, h1SMcT0002162.7, h1SMcT0002162.4, h1SMcT0002162.6, h1SMcT0005662.1, h1SMcT0006078.1, h1SMcT0006078.2	TREG1_7290.1, TREG1_7300.1
OG0000646	h1SMcT0014565.2, h1SMcT0014565.8, h1SMcT0014565.3, h1SMcT0014565.6, h1SMcT0014565.4, h1SMcT0014565.7, h1SMcT0014565.1, h1SMcT0014565.5, h1SMcT0021225.1, h1SMcT0000025.3, h1SMcT0000025.1, h1SMcT0000025.2	TREG1_12070.1
OG0000647	h1SMcT0002662.1, h1SMcT0015974.1	TREG1_91240.1
OG0000649	h1SMcT0014304.4, h1SMcT0014304.1, h1SMcT0014304.3, h1SMcT0014304.2, h1SMcT0010534.1, h1SMcT0010534.3, h1SMcT0010534.2, h1SMcT0018309.10, h1SMcT0018309.12, h1SMcT0018309.4, h1SMcT0018309.5, h1SMcT0018309.7, h1SMcT0018309.8, h1SMcT0018309.9, h1SMcT0018309.13, h1SMcT0018309.2, h1SMcT0018309.6, h1SMcT0018309.1, h1SMcT0018309.11, h1SMcT0018309.3	TREG1_84740.1, TREG1_84730.1
OG0000652	h1SMcT0014597.3, h1SMcT0014597.1, h1SMcT0014597.2	TREG1_40740.1
OG0000653	h1SMcT0001116.3, h1SMcT0001116.1, h1SMcT0001116.4, h1SMcT0001112.2, h1SMcT0001113.1	TREG1_57150.1, TREG1_57150.2
OG0000654	h1SMcT0006285.1	TREG1_51530.1
OG0000655	h1SMcT0009631.1	TREG1_113670.1, TREG1_113690.1, TREG1_113690.2, TREG1_113690.3
OG0000656	h1SMcT0022550.7, h1SMcT0022550.3, h1SMcT0022550.2, h1SMcT0022550.5, h1SMcT0022550.6, h1SMcT0022550.4, h1SMcT0022550.8	TREG1_98900.1
OG0000657	h1SMcT0013044.1, h1SMcT0013044.2, h1SMcT0013044.4, h1SMcT0013044.10, h1SMcT0013044.3, h1SMcT0013044.7, h1SMcT0013044.8, h1SMcT0013044.9, h1SMcT0013044.5, h1SMcT0013044.6	TREG1_125680.1
OG0000659	h1SMcT0007920.1	TREG1_40290.1, TREG1_40290.2, TREG1_40290.3
OG0000663	h1SMcT0017016.2, h1SMcT0017016.3, h1SMcT0017016.4	TREG1_45970.1
OG0000664	h1SMcT0002678.1, h1SMcT0015958.1	TREG1_8950.1, TREG1_8950.2, TREG1_8950.3
OG0000665	h1SMcT0008601.2	TREG1_96280.1, TREG1_96290.1
OG0000666	h1SMcT0008106.1, h1SMcT0008106.3, h1SMcT0008106.4, h1SMcT0008106.2	TREG1_84300.1, TREG1_84300.2, TREG1_84300.3
OG0000667	h1SMcT0000405.1, h1SMcT0000405.2, h1SMcT0000405.3, h1SMcT0000405.4, h1SMcT0000405.5, h1SMcT0000405.6, h1SMcT0000405.7, h1SMcT0000405.8	TREG1_5970.1, TREG1_5970.2
OG0000668	h1SMcT0000772.1	TREG1_73220.1
OG0000669	h1SMcT0002674.1, h1SMcT0015961.1	TREG1_93060.1, TREG1_93060.2, TREG1_93060.3
OG0000670	h1SMcT0013219.2, h1SMcT0013219.3, h1SMcT0008488.1, h1SMcT0012609.4, h1SMcT0012609.5, h1SMcT0012609.1, h1SMcT0012609.6, h1SMcT0012609.7, h1SMcT0023028.1, h1SMcT0012609.3, h1SMcT0012609.2	TREG1_30700.1, TREG1_30700.2
OG0000671	h1SMcT0004049.1	TREG1_101960.6, TREG1_101960.3, TREG1_101960.10, TREG1_101960.7, TREG1_101960.9, TREG1_101960.2, TREG1_101960.5, TREG1_101960.1, TREG1_101960.4, TREG1_101960.8
OG0000672	h1SMcT0007758.5, h1SMcT0007758.7, h1SMcT0007758.2, h1SMcT0007758.6	TREG1_43270.1, TREG1_43270.4, TREG1_43270.3, TREG1_43270.2, TREG1_43270.5, TREG1_43270.7, TREG1_43270.6
OG0000674	h1SMcT0006548.5, h1SMcT0006548.2, h1SMcT0006548.4, h1SMcT0006548.6, h1SMcT0006548.1, h1SMcT0006548.3, h1SMcT0006548.7	TREG1_98100.1, TREG1_98100.3, TREG1_98100.5, TREG1_98100.2, TREG1_98100.4, TREG1_98100.6
OG0000675	h1SMcT0003156.2	TREG1_10590.1, TREG1_102190.1, TREG1_10580.1
OG0000676	h1SMcT0011607.1	TREG1_112140.1, TREG1_112140.2, TREG1_112140.3, TREG1_112140.4, TREG1_112140.5, TREG1_112140.6
OG0000677	h1SMcT0005076.1, h1SMcT0010995.1	TREG1_4970.2, TREG1_4970.1, TREG1_4970.5, TREG1_4970.3, TREG1_4970.4, TREG1_4970.6
