Orthogroup	schmidtea_mediterranea	schistosoma_mansoni
OG0001461	h1SMcT0018386.1	Smp_035390.1
OG0001462	h1SMcT0022524.1	Smp_345300.1
OG0001463	h1SMcT0008338.1, h1SMcT0008338.2	Smp_345620.1
OG0001464	h1SMcT0009630.5, h1SMcT0009630.6, h1SMcT0009630.8, h1SMcT0009630.7, h1SMcT0009630.4, h1SMcT0009630.2	Smp_212080.1
OG0001465	h1SMcT0014154.1	Smp_145420.1
OG0001466	h1SMcT0016902.1	Smp_022110.1
OG0001467	h1SMcT0008460.1, h1SMcT0008460.2, h1SMcT0020856.1, h1SMcT0020855.2, h1SMcT0020855.4, h1SMcT0020855.1, h1SMcT0020855.3	Smp_326160.1, Smp_167880.2, Smp_167880.1
OG0001468	h1SMcT0010099.1, h1SMcT0014322.1	Smp_241470.1
OG0001469	h1SMcT0021871.2, h1SMcT0021871.1, h1SMcT0021871.3	Smp_150560.1
OG0001470	h1SMcT0014172.1, h1SMcT0014172.2, h1SMcT0014172.3, h1SMcT0014172.4	Smp_132550.1
OG0001472	h1SMcT0007921.1, h1SMcT0007921.2, h1SMcT0007921.3, h1SMcT0007921.4	Smp_144370.1
OG0001473	h1SMcT0013163.1, h1SMcT0013166.1, h1SMcT0013166.2, h1SMcT0013177.1, h1SMcT0013178.1, h1SMcT0013179.1	Smp_008830.1
OG0001475	h1SMcT0021270.1	Smp_311650.1
OG0001476	h1SMcT0019733.2, h1SMcT0019733.3, h1SMcT0019733.4, h1SMcT0019733.1, h1SMcT0019733.5	Smp_174230.1
OG0001479	h1SMcT0009862.1, h1SMcT0009862.2	Smp_305050.1, Smp_305060.1
OG0001481	h1SMcT0015903.1, h1SMcT0021086.1, h1SMcT0021086.2, h1SMcT0016775.1	Smp_310510.1, Smp_310510.2, Smp_310520.1
OG0001482	h1SMcT0012176.1, h1SMcT0012176.2	Smp_164010.1
OG0001483	h1SMcT0000736.1, h1SMcT0000736.3, h1SMcT0000736.5, h1SMcT0000736.2, h1SMcT0000736.4	Smp_341560.1
OG0001485	h1SMcT0011857.3, h1SMcT0011857.2, h1SMcT0011857.1, h1SMcT0000533.1, h1SMcT0018805.1	Smp_172420.1
OG0001486	h1SMcT0010412.2, h1SMcT0010412.1, h1SMcT0010412.3	Smp_148460.1
OG0001488	h1SMcT0022183.1, h1SMcT0022183.2	Smp_132750.1
OG0001488	h1SMcT0022047.1, h1SMcT0022047.2	Smp_005790.1
OG0001489	h1SMcT0021635.1, h1SMcT0021635.5, h1SMcT0021635.2, h1SMcT0021635.3, h1SMcT0021635.4	Smp_003340.1
OG0001490	h1SMcT0014203.3, h1SMcT0014203.5, h1SMcT0014203.4, h1SMcT0014203.6, h1SMcT0014203.7, h1SMcT0014203.1, h1SMcT0014203.2	Smp_246460.1
OG0001492	h1SMcT0003534.1	Smp_161220.1
OG0001493	h1SMcT0019791.1, h1SMcT0019791.2	Smp_210300.1
OG0001494	h1SMcT0017253.1, h1SMcT0017253.2	Smp_181040.1
OG0001496	h1SMcT0003218.1	Smp_334250.1
OG0001497	h1SMcT0017554.1	Smp_098760.1
OG0001498	h1SMcT0022452.1, h1SMcT0022452.4, h1SMcT0022452.2, h1SMcT0022452.3	Smp_320530.1
OG0001500	h1SMcT0007630.1	Smp_138330.1
OG0001502	h1SMcT0021616.1, h1SMcT0021616.3, h1SMcT0021616.2, h1SMcT0021616.4	Smp_244820.1, Smp_244820.2
OG0001503	h1SMcT0011287.1, h1SMcT0011287.2	Smp_154880.1
OG0001504	h1SMcT0007770.1	Smp_092810.1
OG0001505	h1SMcT0006436.1, h1SMcT0006436.2	Smp_127770.1
OG0001506	h1SMcT0021094.1, h1SMcT0004396.1, h1SMcT0004396.2, h1SMcT0004396.3	Smp_132090.1
OG0001508	h1SMcT0019286.1	Smp_054800.1
OG0001509	h1SMcT0013921.1, h1SMcT0013921.3	Smp_153930.1, Smp_247860.1
OG0001511	h1SMcT0004279.1	Smp_006590.1
OG0001512	h1SMcT0017028.1	Smp_092320.1
OG0001513	h1SMcT0018540.1, h1SMcT0018540.2, h1SMcT0018540.3	Smp_241410.1
OG0001514	h1SMcT0020380.2, h1SMcT0020380.3, h1SMcT0020380.1	Smp_340970.1
OG0001515	h1SMcT0000870.1, h1SMcT0010058.1, h1SMcT0010058.2	Smp_347370.1, Smp_021370.1
OG0001516	h1SMcT0021462.1, h1SMcT0022718.1	Smp_244160.1, Smp_143780.1
OG0001517	h1SMcT0010241.1	Smp_097790.1, Smp_097790.2
OG0001518	h1SMcT0019738.1	Smp_153870.1, Smp_153870.2
OG0001519	h1SMcT0014015.1, h1SMcT0014015.2, h1SMcT0014015.3, h1SMcT0014015.4	Smp_150850.1
OG0001522	h1SMcT0011111.1	Smp_345770.1
OG0001523	h1SMcT0010801.1	Smp_171270.1
OG0001524	h1SMcT0015153.1	Smp_247650.1
OG0001526	h1SMcT0012889.1, h1SMcT0012890.2, h1SMcT0012890.1, h1SMcT0012890.3	Smp_344110.1
OG0001527	h1SMcT0010521.1, h1SMcT0010521.2	Smp_156160.1
OG0001529	h1SMcT0021637.1	Smp_104520.1
OG0001530	h1SMcT0003859.1, h1SMcT0003859.2	Smp_133590.1, Smp_133590.2, Smp_133590.3
OG0001531	h1SMcT0004453.2, h1SMcT0004453.5, h1SMcT0004453.6, h1SMcT0004453.1, h1SMcT0004453.3, h1SMcT0004453.4	Smp_323830.2, Smp_323830.1
OG0001533	h1SMcT0004368.1, h1SMcT0004368.2	Smp_047720.1
OG0001534	h1SMcT0007642.1	Smp_156630.1
OG0001535	h1SMcT0021900.1, h1SMcT0021900.2	Smp_123320.1
OG0001536	h1SMcT0015301.1	Smp_149530.1
OG0001537	h1SMcT0013792.1, h1SMcT0013792.2	Smp_133900.1, Smp_133890.1
OG0001538	h1SMcT0014530.1, h1SMcT0015324.1	Smp_078240.1
OG0001539	h1SMcT0017958.1, h1SMcT0017958.2, h1SMcT0017958.3	Smp_156990.1
OG0001540	h1SMcT0006384.1, h1SMcT0006384.2	Smp_088460.1
OG0001541	h1SMcT0004722.1	Smp_039160.1
OG0001542	h1SMcT0015832.1, h1SMcT0015832.2, h1SMcT0015832.3, h1SMcT0015832.4, h1SMcT0015832.5	Smp_179010.1
OG0001554	h1SMcT0008486.1, h1SMcT0003478.1, h1SMcT0003500.1, h1SMcT0017344.1, h1SMcT0008950.1, h1SMcT0007092.1, h1SMcT0023035.1, h1SMcT0007094.1, h1SMcT0007094.2, h1SMcT0007093.1, h1SMcT0007095.1, h1SMcT0000396.1, h1SMcT0000426.1, h1SMcT0000426.2, h1SMcT0001582.1, h1SMcT0002457.1, h1SMcT0016082.1	Smp_129020.1
OG0001555	h1SMcT0010539.1	Smp_138810.1, Smp_153890.1
OG0001556	h1SMcT0018243.1, h1SMcT0018243.2, h1SMcT0018243.3, h1SMcT0018243.4, h1SMcT0018243.5	Smp_140440.1
OG0001557	h1SMcT0009780.1, h1SMcT0009780.2	Smp_161380.1
OG0001558	h1SMcT0003178.1, h1SMcT0003178.2	Smp_053900.1
OG0001559	h1SMcT0016843.2, h1SMcT0016843.1, h1SMcT0016843.3	Smp_210340.1, Smp_245730.1, Smp_245740.1
OG0001560	h1SMcT0012518.1, h1SMcT0012518.2	Smp_013080.1
OG0001561	h1SMcT0013876.1	Smp_310170.1
OG0001562	h1SMcT0020801.1	Smp_342970.1
OG0001563	h1SMcT0019159.1, h1SMcT0019159.2	Smp_005390.1
OG0001564	h1SMcT0006456.1	Smp_310760.1, Smp_310750.1
OG0001565	h1SMcT0016970.1, h1SMcT0021524.1	Smp_026930.1
OG0001566	h1SMcT0009524.1	Smp_210660.1
OG0001567	h1SMcT0018183.1	Smp_169670.1
OG0001570	h1SMcT0018002.5, h1SMcT0018002.2, h1SMcT0018002.7, h1SMcT0018002.4, h1SMcT0018002.9, h1SMcT0018002.12, h1SMcT0018002.13, h1SMcT0018002.11, h1SMcT0018002.8	Smp_312440.1, Smp_312460.1
OG0001571	h1SMcT0018536.1, h1SMcT0022616.1, h1SMcT0011762.1, h1SMcT0015483.1, h1SMcT0016767.1, h1SMcT0015482.1, h1SMcT0016538.1, h1SMcT0014564.1	Smp_015630.1, Smp_096480.1
OG0001572	h1SMcT0002800.1, h1SMcT0002800.2	Smp_127490.1
OG0001574	h1SMcT0016307.1, h1SMcT0016307.2	Smp_005160.1, Smp_005160.2
OG0001575	h1SMcT0006105.3, h1SMcT0006105.1, h1SMcT0006105.2	Smp_158310.1, Smp_158310.3, Smp_158310.2
OG0001576	h1SMcT0006666.2, h1SMcT0006666.1, h1SMcT0006666.3, h1SMcT0003104.2, h1SMcT0003104.3, h1SMcT0003104.1, h1SMcT0003104.5, h1SMcT0001180.1, h1SMcT0001180.2	Smp_138880.1
OG0001577	h1SMcT0014297.1, h1SMcT0014297.2, h1SMcT0006524.2, h1SMcT0006524.5, h1SMcT0006524.3, h1SMcT0006524.6, h1SMcT0006524.1, h1SMcT0006524.4, h1SMcT0006517.1, h1SMcT0006523.1, h1SMcT0006523.3, h1SMcT0006523.2	Smp_133120.1
OG0001578	h1SMcT0003020.4, h1SMcT0003020.3, h1SMcT0003020.5, h1SMcT0003020.6	Smp_246050.4, Smp_246050.2, Smp_246050.5, Smp_246050.1, Smp_246050.3
OG0001579	h1SMcT0010551.1	Smp_267110.1
OG0001580	h1SMcT0021337.1, h1SMcT0021337.2	Smp_166370.1
OG0001581	h1SMcT0008604.4, h1SMcT0008604.7, h1SMcT0008604.3, h1SMcT0008604.2, h1SMcT0008604.1, h1SMcT0008604.5	Smp_151490.1, Smp_151490.2
OG0001582	h1SMcT0013798.1, h1SMcT0013798.2	Smp_021920.1
OG0001588	h1SMcT0012021.1, h1SMcT0012021.2, h1SMcT0014683.1	Smp_085080.1
OG0001589	h1SMcT0018334.3, h1SMcT0018334.1, h1SMcT0018334.2	Smp_150420.1
OG0001590	h1SMcT0016705.1, h1SMcT0016705.2	Smp_142210.1
OG0001592	h1SMcT0016376.1, h1SMcT0016376.2	Smp_210520.1, Smp_210520.2
OG0001593	h1SMcT0014525.1	Smp_162600.1
OG0001595	h1SMcT0004004.1, h1SMcT0011696.3	Smp_300810.1
OG0001596	h1SMcT0020657.1, h1SMcT0020657.2	Smp_038080.1
OG0001597	h1SMcT0005317.1, h1SMcT0005317.2, h1SMcT0005317.4, h1SMcT0005317.3	Smp_027430.1
OG0001598	h1SMcT0017652.1	Smp_001410.1
OG0001599	h1SMcT0006535.1, h1SMcT0006580.1	Smp_087010.1
OG0001600	h1SMcT0001572.1, h1SMcT0001572.2	Smp_093220.1
OG0001601	h1SMcT0006626.1	Smp_246360.1
OG0001602	h1SMcT0012475.2, h1SMcT0012475.3, h1SMcT0012475.4, h1SMcT0000699.4, h1SMcT0000699.2, h1SMcT0000699.1, h1SMcT0000699.3, h1SMcT0000699.5, h1SMcT0006969.1, h1SMcT0019456.1	Smp_153640.1
OG0001606	h1SMcT0004111.2, h1SMcT0004111.3, h1SMcT0004111.1	Smp_241980.1
OG0001607	h1SMcT0001333.2, h1SMcT0001333.1, h1SMcT0001333.3	Smp_150680.1
OG0001608	h1SMcT0019002.1	Smp_082670.1
OG0001609	h1SMcT0021762.3, h1SMcT0021762.2, h1SMcT0021762.1, h1SMcT0021762.4	Smp_213490.1
OG0001610	h1SMcT0005810.1, h1SMcT0005810.2	Smp_342160.1
OG0001610	h1SMcT0001133.1, h1SMcT0001133.2, h1SMcT0012922.1	Smp_008260.1
OG0001611	h1SMcT0013941.1, h1SMcT0013941.2, h1SMcT0013941.3	Smp_137950.1, Smp_137950.2
OG0001612	h1SMcT0001592.1, h1SMcT0004919.1, h1SMcT0001590.1, h1SMcT0001590.2, h1SMcT0001590.3	Smp_021540.1
OG0001613	h1SMcT0006904.1, h1SMcT0006904.2, h1SMcT0019166.1, h1SMcT0006559.1, h1SMcT0019019.1, h1SMcT0009343.1, h1SMcT0009343.2, h1SMcT0015213.1, h1SMcT0003392.1, h1SMcT0007271.1	Smp_008710.1
OG0001614	h1SMcT0018858.1, h1SMcT0018858.2	Smp_148650.1
OG0001615	h1SMcT0021119.1	Smp_049500.1
OG0001616	h1SMcT0006305.1, h1SMcT0021522.1	Smp_212900.1
OG0001618	h1SMcT0022622.4, h1SMcT0022622.8, h1SMcT0022622.1, h1SMcT0022622.2, h1SMcT0022622.9, h1SMcT0022622.7, h1SMcT0022622.3, h1SMcT0022622.5, h1SMcT0022622.6	Smp_170350.1
OG0001619	h1SMcT0013335.1	Smp_147560.1
OG0001620	h1SMcT0020514.4, h1SMcT0020514.5, h1SMcT0020514.6, h1SMcT0020516.1, h1SMcT0020514.1, h1SMcT0020514.2, h1SMcT0020632.1, h1SMcT0020514.3, h1SMcT0020519.1	Smp_136180.1
OG0001622	h1SMcT0004565.1	Smp_143970.1
OG0001623	h1SMcT0021134.1	Smp_127280.1
OG0001626	h1SMcT0020664.1	Smp_033710.1
OG0001627	h1SMcT0006211.1, h1SMcT0006211.2	Smp_149950.1
OG0001628	h1SMcT0019709.1, h1SMcT0019709.4	Smp_038030.1
OG0001629	h1SMcT0011452.1, h1SMcT0011452.2	Smp_188430.1
OG0001631	h1SMcT0007603.1	Smp_024900.1
OG0001632	h1SMcT0010514.1	Smp_122370.1
OG0001633	h1SMcT0002014.5, h1SMcT0002014.6, h1SMcT0002014.3, h1SMcT0002014.1, h1SMcT0002014.2, h1SMcT0002014.4	Smp_210370.1
OG0001634	h1SMcT0021810.2, h1SMcT0021810.1, h1SMcT0021810.3	Smp_172220.1
OG0001635	h1SMcT0002693.1, h1SMcT0002693.2, h1SMcT0015943.1	Smp_138610.1
OG0001636	h1SMcT0013635.1	Smp_145180.1
OG0001637	h1SMcT0011724.1	Smp_105680.1
OG0001639	h1SMcT0015128.1	Smp_323820.1, Smp_323800.1, Smp_060210.1, Smp_060220.1
OG0001640	h1SMcT0003502.4, h1SMcT0003502.3, h1SMcT0003502.1, h1SMcT0003502.2	Smp_155030.1
OG0001641	h1SMcT0021693.1	Smp_087520.2, Smp_087520.1
OG0001642	h1SMcT0007955.1	Smp_346030.1, Smp_346030.2
OG0001643	h1SMcT0000482.1, h1SMcT0000482.2	Smp_121800.1, Smp_121800.2
OG0001644	h1SMcT0008832.1	Smp_157320.1
OG0001645	h1SMcT0016250.1, h1SMcT0016250.2, h1SMcT0016250.3, h1SMcT0016250.4	Smp_196880.1, Smp_196880.2
OG0001646	h1SMcT0004929.1, h1SMcT0004929.2	Smp_096520.1
OG0001648	h1SMcT0019063.4, h1SMcT0019063.5, h1SMcT0017672.3, h1SMcT0017672.4, h1SMcT0017672.2, h1SMcT0017672.1	Smp_150300.2, Smp_150300.1, Smp_150300.3
OG0001649	h1SMcT0013727.1, h1SMcT0013727.2, h1SMcT0013729.1, h1SMcT0013729.4, h1SMcT0013729.2, h1SMcT0013729.3	Smp_163310.1
OG0001651	h1SMcT0010863.1, h1SMcT0010863.2	Smp_343560.1
OG0001653	h1SMcT0001479.1, h1SMcT0001479.2, h1SMcT0001479.3, h1SMcT0001479.4	Smp_170060.1
OG0001655	h1SMcT0005253.1	Smp_167630.1, Smp_167630.2
OG0001656	h1SMcT0021826.1, h1SMcT0021826.2	Smp_158140.1
OG0001657	h1SMcT0012718.1	Smp_093540.1
OG0001661	h1SMcT0011068.1	Smp_333880.1
OG0001671	h1SMcT0010251.1	Smp_165980.1
OG0001672	h1SMcT0016081.3, h1SMcT0016081.1, h1SMcT0016081.2	Smp_085150.1
OG0001673	h1SMcT0019728.1, h1SMcT0004485.1, h1SMcT0004485.4, h1SMcT0004485.2, h1SMcT0004485.3	Smp_007550.1
OG0001675	h1SMcT0005280.1, h1SMcT0005279.1, h1SMcT0005279.2	Smp_030330.1
OG0001676	h1SMcT0001921.1	Smp_103100.1
OG0001677	h1SMcT0016893.2	Smp_169930.2, Smp_169930.1
OG0001678	h1SMcT0000851.1	Smp_210200.1
OG0001679	h1SMcT0020429.5, h1SMcT0020429.6, h1SMcT0020429.2, h1SMcT0020429.1, h1SMcT0020429.3, h1SMcT0020429.4	Smp_143760.1
OG0001680	h1SMcT0000730.1	Smp_035190.1
OG0001681	h1SMcT0014199.1, h1SMcT0014199.2, h1SMcT0014199.3	Smp_170170.1
OG0001682	h1SMcT0020485.1, h1SMcT0020485.2	Smp_347960.1
OG0001687	h1SMcT0016944.2, h1SMcT0016944.1, h1SMcT0016944.4, h1SMcT0016944.9, h1SMcT0016944.5, h1SMcT0016944.6, h1SMcT0016944.7, h1SMcT0016944.8, h1SMcT0016944.3	Smp_311790.1, Smp_311780.1
OG0001688	h1SMcT0015247.5, h1SMcT0015247.4, h1SMcT0015247.3	Smp_026540.1
OG0001689	h1SMcT0002487.1	Smp_345190.1, Smp_131580.1
OG0001690	h1SMcT0009279.3, h1SMcT0009279.4, h1SMcT0009279.1, h1SMcT0009279.2	Smp_246690.1
OG0001691	h1SMcT0016928.1, h1SMcT0016928.2, h1SMcT0016928.3	Smp_157100.1
OG0001694	h1SMcT0020178.1, h1SMcT0020178.2	Smp_153350.1
OG0001697	h1SMcT0022488.1	Smp_057430.1
OG0001699	h1SMcT0012548.1	Smp_346310.1
OG0001700	h1SMcT0003410.1	Smp_306140.3, Smp_306140.1, Smp_306140.2
OG0001702	h1SMcT0017051.2, h1SMcT0017051.3, h1SMcT0017051.4, h1SMcT0015306.1, h1SMcT0015306.6, h1SMcT0015306.2, h1SMcT0015306.7, h1SMcT0015306.5, h1SMcT0015306.4	Smp_131800.1
OG0001703	h1SMcT0007280.1, h1SMcT0007280.2	Smp_027970.1
OG0001704	h1SMcT0015605.1	Smp_135280.1
OG0001707	h1SMcT0020760.1	Smp_309430.1
OG0001708	h1SMcT0021084.7, h1SMcT0021084.6, h1SMcT0021084.1, h1SMcT0021084.2, h1SMcT0021084.5, h1SMcT0021084.3, h1SMcT0021084.4	Smp_332300.1
OG0001710	h1SMcT0011023.1, h1SMcT0011023.2, h1SMcT0011023.3	Smp_336280.1
OG0001711	h1SMcT0010492.1, h1SMcT0010492.2	Smp_127810.2, Smp_127810.1
OG0001712	h1SMcT0012477.1, h1SMcT0012477.2	Smp_181160.1
OG0001713	h1SMcT0001773.1	Smp_098920.1
OG0001714	h1SMcT0002980.7, h1SMcT0002980.1, h1SMcT0002980.2, h1SMcT0002980.4, h1SMcT0002980.6, h1SMcT0002980.5, h1SMcT0002980.3	Smp_316660.1, Smp_316660.2
OG0001715	h1SMcT0008469.1, h1SMcT0008469.2, h1SMcT0008469.3, h1SMcT0008469.4, h1SMcT0008469.5	Smp_130980.1
OG0001717	h1SMcT0008155.3, h1SMcT0008155.4, h1SMcT0008155.2, h1SMcT0008155.5, h1SMcT0008155.1, h1SMcT0008155.6	Smp_020370.1
OG0001718	h1SMcT0007968.1	Smp_350020.1, Smp_341720.1
OG0001720	h1SMcT0011139.1, h1SMcT0006364.1, h1SMcT0019514.1, h1SMcT0019514.3, h1SMcT0019514.2, h1SMcT0019514.4	Smp_066760.1
OG0001721	h1SMcT0022008.1, h1SMcT0022008.2	Smp_032800.1, Smp_032820.1
OG0001722	h1SMcT0009778.1	Smp_143070.1, Smp_143070.2
OG0001724	h1SMcT0009947.1, h1SMcT0009947.2	Smp_334100.1
OG0001725	h1SMcT0001865.2	Smp_026030.1
OG0001726	h1SMcT0019260.1	Smp_097490.1
OG0001726	h1SMcT0022247.1, h1SMcT0012356.1, h1SMcT0012356.2, h1SMcT0012356.3, h1SMcT0012356.4	Smp_212780.1
OG0001727	h1SMcT0017294.1	Smp_315490.1, Smp_315480.1
OG0001728	h1SMcT0013659.2, h1SMcT0013659.1, h1SMcT0013659.3, h1SMcT0013659.4	Smp_313810.1, Smp_341280.1
OG0001729	h1SMcT0008021.1, h1SMcT0005984.1, h1SMcT0005984.2, h1SMcT0005984.3, h1SMcT0005984.4, h1SMcT0022620.1	Smp_244630.2, Smp_244630.1
OG0001730	h1SMcT0011395.1	Smp_333240.1
OG0001731	h1SMcT0019144.1	Smp_012720.1
OG0001732	h1SMcT0001016.1	Smp_310620.1
OG0001733	h1SMcT0006755.1	Smp_150470.1
OG0001734	h1SMcT0000991.2, h1SMcT0000991.6, h1SMcT0000991.4, h1SMcT0000991.8, h1SMcT0000991.5, h1SMcT0000991.3, h1SMcT0000991.1, h1SMcT0000991.7	Smp_164130.1
OG0001736	h1SMcT0018349.1, h1SMcT0018349.2	Smp_267140.2, Smp_267140.1
OG0001738	h1SMcT0021483.1, h1SMcT0022809.1	Smp_159160.1
OG0001739	h1SMcT0013839.1, h1SMcT0013839.2	Smp_072370.1
OG0001741	h1SMcT0005296.1, h1SMcT0005291.1, h1SMcT0005291.2, h1SMcT0005291.3	Smp_348840.1, Smp_348840.2, Smp_007630.1, Smp_007630.2
OG0001744	h1SMcT0005035.1	Smp_099930.1
OG0001745	h1SMcT0013160.1, h1SMcT0013160.2	Smp_133270.1
OG0001746	h1SMcT0004010.1	Smp_058050.1, Smp_058050.2
OG0001747	h1SMcT0009037.1, h1SMcT0009037.2	Smp_245100.1
OG0001748	h1SMcT0001235.1, h1SMcT0001235.2	Smp_029370.1
OG0001750	h1SMcT0019885.1, h1SMcT0019885.2, h1SMcT0019885.5, h1SMcT0019885.3, h1SMcT0019885.4	Smp_139090.1
OG0001751	h1SMcT0021739.2, h1SMcT0004886.1, h1SMcT0004886.2	Smp_103160.1
OG0001752	h1SMcT0005183.1	Smp_101970.1
OG0001753	h1SMcT0013782.1	Smp_155480.1
OG0001754	h1SMcT0000935.1	Smp_194730.1
OG0001755	h1SMcT0004449.2	Smp_085240.1
OG0001756	h1SMcT0005974.1, h1SMcT0005974.2	Smp_129630.1
OG0001758	h1SMcT0016619.1, h1SMcT0016619.2	Smp_143920.3, Smp_143920.1, Smp_143920.2
OG0001759	h1SMcT0021839.1, h1SMcT0021839.2, h1SMcT0021839.3, h1SMcT0020798.1, h1SMcT0020798.2, h1SMcT0004514.1, h1SMcT0004514.2, h1SMcT0004514.3	Smp_083990.1
OG0001760	h1SMcT0009739.2	Smp_000300.1
OG0001761	h1SMcT0015220.1	Smp_329130.1, Smp_171490.1
OG0001762	h1SMcT0018473.1	Smp_346390.1
OG0001763	h1SMcT0014031.2, h1SMcT0014031.1, h1SMcT0014031.3, h1SMcT0014031.4	Smp_120920.1
OG0001764	h1SMcT0009805.2, h1SMcT0009805.4, h1SMcT0009805.1, h1SMcT0009805.3	Smp_151310.1
OG0001766	h1SMcT0019075.1, h1SMcT0019075.2	Smp_176410.2, Smp_176410.1
OG0001768	h1SMcT0013683.1, h1SMcT0013683.2	Smp_331170.2, Smp_331170.1
OG0001769	h1SMcT0020309.1, h1SMcT0020309.2	Smp_125930.1
OG0001770	h1SMcT0021515.2, h1SMcT0021515.1, h1SMcT0021515.3	Smp_136110.1
OG0001771	h1SMcT0007797.6, h1SMcT0007797.3, h1SMcT0007797.4, h1SMcT0007797.2, h1SMcT0007797.5	Smp_049000.1
OG0001772	h1SMcT0002778.2, h1SMcT0002778.1, h1SMcT0002778.3	Smp_172530.1
OG0001773	h1SMcT0008613.1, h1SMcT0008563.4, h1SMcT0008565.2, h1SMcT0008563.1, h1SMcT0022781.1, h1SMcT0008563.2, h1SMcT0022781.2, h1SMcT0008563.3	Smp_084380.1
OG0001774	h1SMcT0003104.4	Smp_139980.1
OG0001775	h1SMcT0001715.1, h1SMcT0001715.2	Smp_130410.1
OG0001776	h1SMcT0017707.1	Smp_166660.1, Smp_166660.2
OG0001777	h1SMcT0000525.1, h1SMcT0000525.2	Smp_104720.1
OG0001778	h1SMcT0016706.1, h1SMcT0016706.2, h1SMcT0016706.4, h1SMcT0016706.3	Smp_154270.1, Smp_154270.2
OG0001779	h1SMcT0004257.1, h1SMcT0004257.2	Smp_347280.1
OG0001780	h1SMcT0015555.16, h1SMcT0015555.9, h1SMcT0015555.19, h1SMcT0015555.1, h1SMcT0015555.15, h1SMcT0015555.18, h1SMcT0015555.21, h1SMcT0015555.22, h1SMcT0015555.2, h1SMcT0015555.4, h1SMcT0015555.5, h1SMcT0015555.7, h1SMcT0015555.8, h1SMcT0015555.12, h1SMcT0015555.13, h1SMcT0015555.14, h1SMcT0015555.17, h1SMcT0015555.3, h1SMcT0015555.6, h1SMcT0015555.11, h1SMcT0015555.20, h1SMcT0015555.10	Smp_035310.1
OG0001781	h1SMcT0015529.1	Smp_213810.1
OG0001782	h1SMcT0002334.1, h1SMcT0002331.2, h1SMcT0002331.6, h1SMcT0002331.4, h1SMcT0002331.8, h1SMcT0002331.3, h1SMcT0002331.5	Smp_030000.1
OG0001783	h1SMcT0009033.1	Smp_012860.1
OG0001784	h1SMcT0010892.1	Smp_122030.1
OG0001785	h1SMcT0010242.1	Smp_346470.1
OG0001786	h1SMcT0011297.1	Smp_156270.1
OG0001787	h1SMcT0020085.1	Smp_099310.1, Smp_099310.2
OG0001788	h1SMcT0001318.1	Smp_113630.1
OG0001790	h1SMcT0002945.1, h1SMcT0002945.2	Smp_059810.1
OG0001791	h1SMcT0000906.3, h1SMcT0000906.1, h1SMcT0000906.2, h1SMcT0000904.4, h1SMcT0000904.1, h1SMcT0000904.2, h1SMcT0000904.3	Smp_163970.1, Smp_172590.1
OG0001792	h1SMcT0020582.1, h1SMcT0020950.1, h1SMcT0020950.2, h1SMcT0021364.5, h1SMcT0021364.2, h1SMcT0021364.3, h1SMcT0021364.1, h1SMcT0021364.4	Smp_080100.1
OG0001793	h1SMcT0011149.2, h1SMcT0003445.1, h1SMcT0003445.2, h1SMcT0003445.4, h1SMcT0003445.3, h1SMcT0003445.5	Smp_149420.1
OG0001794	h1SMcT0011293.1, h1SMcT0011295.1, h1SMcT0011295.2	Smp_019030.1
OG0001795	h1SMcT0015697.1, h1SMcT0017684.1, h1SMcT0017684.2	Smp_310980.1, Smp_310980.2
OG0001800	h1SMcT0019752.1	Smp_340370.1
OG0001801	h1SMcT0014180.1, h1SMcT0014180.2, h1SMcT0014180.3	Smp_340310.1
OG0001802	h1SMcT0020134.1	Smp_341860.1
OG0001803	h1SMcT0011732.3, h1SMcT0011284.1, h1SMcT0011284.2	Smp_060660.1, Smp_154730.1
OG0001804	h1SMcT0016489.1	Smp_056930.1
OG0001805	h1SMcT0022212.1	Smp_143260.1, Smp_143260.2
OG0001807	h1SMcT0008513.2, h1SMcT0008514.6, h1SMcT0008514.1, h1SMcT0008514.3, h1SMcT0008513.3, h1SMcT0008514.2, h1SMcT0008514.4, h1SMcT0008514.5	Smp_018160.1
OG0001808	h1SMcT0001448.1	Smp_306810.1
OG0001809	h1SMcT0014733.1, h1SMcT0014733.2	Smp_126020.1
OG0001810	h1SMcT0018180.5, h1SMcT0018180.1, h1SMcT0018180.4, h1SMcT0018180.2, h1SMcT0018180.3	Smp_340650.1, Smp_340650.2
OG0001811	h1SMcT0007807.1, h1SMcT0007807.2	Smp_092500.1, Smp_322730.1
OG0001812	h1SMcT0004905.1, h1SMcT0004905.2	Smp_244230.1
OG0001813	h1SMcT0001706.1	Smp_333090.1
OG0001816	h1SMcT0017125.1, h1SMcT0017193.1	Smp_131030.1
OG0001817	h1SMcT0022407.1	Smp_054600.1
OG0001819	h1SMcT0014745.1, h1SMcT0014745.7, h1SMcT0014745.2, h1SMcT0014745.3, h1SMcT0014745.4, h1SMcT0014745.5, h1SMcT0014745.6, h1SMcT0014745.8	Smp_039670.1, Smp_039670.2
OG0001820	h1SMcT0013890.1, h1SMcT0002328.1, h1SMcT0014749.1, h1SMcT0014749.2, h1SMcT0014749.3, h1SMcT0014749.4, h1SMcT0004897.1, h1SMcT0004897.2	Smp_018360.1
OG0001821	h1SMcT0014590.1, h1SMcT0020570.1	Smp_165490.1
OG0001821	h1SMcT0003463.1, h1SMcT0003463.2, h1SMcT0014038.1	Smp_030710.1
