Orthogroup	schmidtea_mediterranea	opisthorchis_viverrini
OG0001554	h1SMcT0008486.1, h1SMcT0003478.1, h1SMcT0003500.1, h1SMcT0017344.1, h1SMcT0008950.1, h1SMcT0007092.1, h1SMcT0023035.1, h1SMcT0007094.1, h1SMcT0007094.2, h1SMcT0007093.1, h1SMcT0007095.1, h1SMcT0000396.1, h1SMcT0000426.1, h1SMcT0000426.2, h1SMcT0001582.1, h1SMcT0002457.1, h1SMcT0016082.1	T265_03627
OG0001555	h1SMcT0010539.1	T265_12003
OG0001556	h1SMcT0018243.1, h1SMcT0018243.2, h1SMcT0018243.3, h1SMcT0018243.4, h1SMcT0018243.5	T265_05427
OG0001557	h1SMcT0009780.1, h1SMcT0009780.2	T265_02616
OG0001558	h1SMcT0003178.1, h1SMcT0003178.2	T265_05296
OG0001559	h1SMcT0008495.1	T265_13112
OG0001559	h1SMcT0016843.2, h1SMcT0016843.1, h1SMcT0016843.3	T265_02560
OG0001560	h1SMcT0012518.1, h1SMcT0012518.2	T265_03153
OG0001561	h1SMcT0013876.1	T265_00466
OG0001562	h1SMcT0020801.1	T265_07195, T265_14225, T265_14226, T265_14228
OG0001563	h1SMcT0019159.1, h1SMcT0019159.2	T265_08071
OG0001564	h1SMcT0006456.1	T265_09439, T265_09367, T265_15503, T265_11706
OG0001565	h1SMcT0016970.1, h1SMcT0021524.1	T265_13020, T265_13021
OG0001566	h1SMcT0009524.1	T265_01168
OG0001567	h1SMcT0018183.1	T265_11351
OG0001570	h1SMcT0018002.5, h1SMcT0018002.2, h1SMcT0018002.7, h1SMcT0018002.4, h1SMcT0018002.9, h1SMcT0018002.12, h1SMcT0018002.13, h1SMcT0018002.11, h1SMcT0018002.8	T265_14294, T265_15779
OG0001571	h1SMcT0018536.1, h1SMcT0022616.1, h1SMcT0011762.1, h1SMcT0015483.1, h1SMcT0016767.1, h1SMcT0015482.1, h1SMcT0016538.1, h1SMcT0014564.1	T265_06223, T265_06225
OG0001572	h1SMcT0002800.1, h1SMcT0002800.2	T265_08929
OG0001574	h1SMcT0016307.1, h1SMcT0016307.2	T265_11245
OG0001575	h1SMcT0006105.3, h1SMcT0006105.1, h1SMcT0006105.2	T265_01850
OG0001576	h1SMcT0006666.2, h1SMcT0006666.1, h1SMcT0006666.3, h1SMcT0003104.2, h1SMcT0003104.3, h1SMcT0003104.1, h1SMcT0003104.5, h1SMcT0001180.1, h1SMcT0001180.2	T265_05959
OG0001577	h1SMcT0014297.1, h1SMcT0014297.2, h1SMcT0006524.2, h1SMcT0006524.5, h1SMcT0006524.3, h1SMcT0006524.6, h1SMcT0006524.1, h1SMcT0006524.4, h1SMcT0006517.1, h1SMcT0006523.1, h1SMcT0006523.3, h1SMcT0006523.2	T265_10560
OG0001578	h1SMcT0003020.4, h1SMcT0003020.3, h1SMcT0003020.5, h1SMcT0003020.6	T265_03834
OG0001579	h1SMcT0010551.1	T265_00891, T265_12293
OG0001580	h1SMcT0021337.1, h1SMcT0021337.2	T265_11044, T265_11046
OG0001581	h1SMcT0008604.4, h1SMcT0008604.7, h1SMcT0008604.3, h1SMcT0008604.2, h1SMcT0008604.1, h1SMcT0008604.5	T265_13097
OG0001582	h1SMcT0013798.1, h1SMcT0013798.2	T265_00284
OG0001588	h1SMcT0012021.1, h1SMcT0012021.2, h1SMcT0014683.1	T265_09362
OG0001590	h1SMcT0016705.1, h1SMcT0016705.2	T265_05785
OG0001592	h1SMcT0016376.1, h1SMcT0016376.2	T265_07090, T265_10582
OG0001593	h1SMcT0014525.1	T265_05613
OG0001595	h1SMcT0004004.1, h1SMcT0011696.3	T265_11438
OG0001596	h1SMcT0020657.1, h1SMcT0020657.2	T265_05252, T265_13230
OG0001597	h1SMcT0005317.1, h1SMcT0005317.2, h1SMcT0005317.4, h1SMcT0005317.3	T265_02935
OG0001598	h1SMcT0017652.1	T265_00351
OG0001599	h1SMcT0006535.1, h1SMcT0006580.1	T265_10881
OG0001600	h1SMcT0001572.1, h1SMcT0001572.2	T265_08507
OG0001601	h1SMcT0006626.1	T265_12251, T265_13640
OG0001602	h1SMcT0012475.2, h1SMcT0012475.3, h1SMcT0012475.4, h1SMcT0000699.4, h1SMcT0000699.2, h1SMcT0000699.1, h1SMcT0000699.3, h1SMcT0000699.5, h1SMcT0006969.1, h1SMcT0019456.1	T265_06910
OG0001606	h1SMcT0004111.2, h1SMcT0004111.3, h1SMcT0004111.1	T265_10728
OG0001607	h1SMcT0001333.2, h1SMcT0001333.1, h1SMcT0001333.3	T265_15554
OG0001608	h1SMcT0019002.1	T265_08088
OG0001609	h1SMcT0021762.3, h1SMcT0021762.2, h1SMcT0021762.1, h1SMcT0021762.4	T265_02340
OG0001610	h1SMcT0005810.1, h1SMcT0005810.2	T265_05234
OG0001610	h1SMcT0001133.1, h1SMcT0001133.2, h1SMcT0012922.1	T265_14531
OG0001611	h1SMcT0013941.1, h1SMcT0013941.2, h1SMcT0013941.3	T265_01454
OG0001612	h1SMcT0001592.1, h1SMcT0004919.1, h1SMcT0001590.1, h1SMcT0001590.2, h1SMcT0001590.3	T265_06824
OG0001613	h1SMcT0006904.1, h1SMcT0006904.2, h1SMcT0019166.1, h1SMcT0006559.1, h1SMcT0019019.1, h1SMcT0009343.1, h1SMcT0009343.2, h1SMcT0015213.1, h1SMcT0003392.1, h1SMcT0007271.1	T265_02844
OG0001614	h1SMcT0018858.1, h1SMcT0018858.2	T265_06438, T265_00023, T265_08537
OG0001615	h1SMcT0021119.1	T265_08538
OG0001618	h1SMcT0022622.4, h1SMcT0022622.8, h1SMcT0022622.1, h1SMcT0022622.2, h1SMcT0022622.9, h1SMcT0022622.7, h1SMcT0022622.3, h1SMcT0022622.5, h1SMcT0022622.6	T265_02608
OG0001619	h1SMcT0013335.1	T265_00098
OG0001620	h1SMcT0020514.4, h1SMcT0020514.5, h1SMcT0020514.6, h1SMcT0020516.1, h1SMcT0020514.1, h1SMcT0020514.2, h1SMcT0020632.1, h1SMcT0020514.3, h1SMcT0020519.1	T265_07578, T265_07576
OG0001622	h1SMcT0004565.1	T265_12340, T265_16297
OG0001623	h1SMcT0021134.1	T265_00228, T265_08047
OG0001626	h1SMcT0020664.1	T265_11931
OG0001627	h1SMcT0006211.1, h1SMcT0006211.2	T265_02191
OG0001628	h1SMcT0019709.1, h1SMcT0019709.4	T265_05566
OG0001629	h1SMcT0011452.1, h1SMcT0011452.2	T265_01797
OG0001630	h1SMcT0011252.1	T265_02099
OG0001631	h1SMcT0007603.1	T265_03790
OG0001632	h1SMcT0010514.1	T265_14353
OG0001633	h1SMcT0002014.5, h1SMcT0002014.6, h1SMcT0002014.3, h1SMcT0002014.1, h1SMcT0002014.2, h1SMcT0002014.4	T265_10187
OG0001634	h1SMcT0021810.2, h1SMcT0021810.1, h1SMcT0021810.3	T265_00567
OG0001635	h1SMcT0002693.1, h1SMcT0002693.2, h1SMcT0015943.1	T265_06410, T265_15946
OG0001636	h1SMcT0013635.1	T265_05447
OG0001637	h1SMcT0011724.1	T265_08784
OG0001640	h1SMcT0003502.4, h1SMcT0003502.3, h1SMcT0003502.1, h1SMcT0003502.2	T265_06192
OG0001641	h1SMcT0021693.1	T265_13439
OG0001642	h1SMcT0007955.1	T265_11396, T265_11395
OG0001643	h1SMcT0000482.1, h1SMcT0000482.2	T265_09518
OG0001644	h1SMcT0008832.1	T265_04914
OG0001645	h1SMcT0016250.1, h1SMcT0016250.2, h1SMcT0016250.3, h1SMcT0016250.4	T265_10635
OG0001646	h1SMcT0004929.1, h1SMcT0004929.2	T265_09167
OG0001648	h1SMcT0019063.4, h1SMcT0019063.5, h1SMcT0017672.3, h1SMcT0017672.4, h1SMcT0017672.2, h1SMcT0017672.1	T265_01727
OG0001649	h1SMcT0013727.1, h1SMcT0013727.2, h1SMcT0013729.1, h1SMcT0013729.4, h1SMcT0013729.2, h1SMcT0013729.3	T265_04939
OG0001653	h1SMcT0001479.1, h1SMcT0001479.2, h1SMcT0001479.3, h1SMcT0001479.4	T265_12692
OG0001655	h1SMcT0005253.1	T265_08873
OG0001656	h1SMcT0021826.1, h1SMcT0021826.2	T265_01416, T265_13854
OG0001657	h1SMcT0012718.1	T265_02579
OG0001661	h1SMcT0011068.1	T265_08837, T265_12365
OG0001671	h1SMcT0010251.1	T265_14634
OG0001672	h1SMcT0016081.3, h1SMcT0016081.1, h1SMcT0016081.2	T265_00750
OG0001673	h1SMcT0019728.1, h1SMcT0004485.1, h1SMcT0004485.4, h1SMcT0004485.2, h1SMcT0004485.3	T265_01379
OG0001675	h1SMcT0005280.1, h1SMcT0005279.1, h1SMcT0005279.2	T265_12874
OG0001676	h1SMcT0001921.1	T265_01615
OG0001677	h1SMcT0016893.2	T265_05762
OG0001680	h1SMcT0000730.1	T265_09371
OG0001681	h1SMcT0014199.1, h1SMcT0014199.2, h1SMcT0014199.3	T265_12663, T265_16018
OG0001682	h1SMcT0020485.1, h1SMcT0020485.2	T265_15158
OG0001687	h1SMcT0016944.2, h1SMcT0016944.1, h1SMcT0016944.4, h1SMcT0016944.9, h1SMcT0016944.5, h1SMcT0016944.6, h1SMcT0016944.7, h1SMcT0016944.8, h1SMcT0016944.3	T265_07419
OG0001688	h1SMcT0015247.5, h1SMcT0015247.4, h1SMcT0015247.3	T265_07388
OG0001689	h1SMcT0002487.1	T265_15368
OG0001690	h1SMcT0009279.3, h1SMcT0009279.4, h1SMcT0009279.1, h1SMcT0009279.2	T265_04514
OG0001691	h1SMcT0016928.1, h1SMcT0016928.2, h1SMcT0016928.3	T265_03200
OG0001694	h1SMcT0020178.1, h1SMcT0020178.2	T265_02240
OG0001697	h1SMcT0022488.1	T265_05671
OG0001699	h1SMcT0012548.1	T265_08126
OG0001700	h1SMcT0003410.1	T265_09892
OG0001702	h1SMcT0017051.2, h1SMcT0017051.3, h1SMcT0017051.4, h1SMcT0015306.1, h1SMcT0015306.6, h1SMcT0015306.2, h1SMcT0015306.7, h1SMcT0015306.5, h1SMcT0015306.4	T265_01458
OG0001703	h1SMcT0007280.1, h1SMcT0007280.2	T265_14685
OG0001704	h1SMcT0015605.1	T265_10332
OG0001707	h1SMcT0020760.1	T265_01410
OG0001708	h1SMcT0021084.7, h1SMcT0021084.6, h1SMcT0021084.1, h1SMcT0021084.2, h1SMcT0021084.5, h1SMcT0021084.3, h1SMcT0021084.4	T265_02720
OG0001710	h1SMcT0011023.1, h1SMcT0011023.2, h1SMcT0011023.3	T265_05358
OG0001711	h1SMcT0010492.1, h1SMcT0010492.2	T265_05328
OG0001712	h1SMcT0012477.1, h1SMcT0012477.2	T265_14005
OG0001713	h1SMcT0001773.1	T265_08885
OG0001714	h1SMcT0002980.7, h1SMcT0002980.1, h1SMcT0002980.2, h1SMcT0002980.4, h1SMcT0002980.6, h1SMcT0002980.5, h1SMcT0002980.3	T265_14693
OG0001715	h1SMcT0008469.1, h1SMcT0008469.2, h1SMcT0008469.3, h1SMcT0008469.4, h1SMcT0008469.5	T265_03710
OG0001717	h1SMcT0008155.3, h1SMcT0008155.4, h1SMcT0008155.2, h1SMcT0008155.5, h1SMcT0008155.1, h1SMcT0008155.6	T265_02968
OG0001718	h1SMcT0007968.1	T265_09214
OG0001720	h1SMcT0011139.1, h1SMcT0006364.1, h1SMcT0019514.1, h1SMcT0019514.3, h1SMcT0019514.2, h1SMcT0019514.4	T265_12689, T265_01853
OG0001721	h1SMcT0022008.1, h1SMcT0022008.2	T265_01466
OG0001722	h1SMcT0009778.1	T265_10430, T265_16265
OG0001724	h1SMcT0009947.1, h1SMcT0009947.2	T265_04056
OG0001725	h1SMcT0001865.2	T265_09161
OG0001726	h1SMcT0019260.1	T265_12576
OG0001726	h1SMcT0022247.1, h1SMcT0012356.1, h1SMcT0012356.2, h1SMcT0012356.3, h1SMcT0012356.4	T265_01638
OG0001727	h1SMcT0021352.1, h1SMcT0021352.2	T265_15130
OG0001727	h1SMcT0017294.1	T265_10361
OG0001728	h1SMcT0013659.2, h1SMcT0013659.1, h1SMcT0013659.3, h1SMcT0013659.4	T265_03905
OG0001729	h1SMcT0008021.1, h1SMcT0005984.1, h1SMcT0005984.2, h1SMcT0005984.3, h1SMcT0005984.4, h1SMcT0022620.1	T265_01004
OG0001731	h1SMcT0019144.1	T265_11635
OG0001732	h1SMcT0001016.1	T265_02819
OG0001733	h1SMcT0006755.1	T265_03326
OG0001734	h1SMcT0000991.2, h1SMcT0000991.6, h1SMcT0000991.4, h1SMcT0000991.8, h1SMcT0000991.5, h1SMcT0000991.3, h1SMcT0000991.1, h1SMcT0000991.7	T265_07463
OG0001736	h1SMcT0018349.1, h1SMcT0018349.2	T265_14980
OG0001738	h1SMcT0021483.1, h1SMcT0022809.1	T265_04467
OG0001739	h1SMcT0013839.1, h1SMcT0013839.2	T265_09719
OG0001741	h1SMcT0005296.1, h1SMcT0005291.1, h1SMcT0005291.2, h1SMcT0005291.3	T265_09400
OG0001744	h1SMcT0005035.1	T265_10654, T265_12595
OG0001745	h1SMcT0013160.1, h1SMcT0013160.2	T265_05962
OG0001746	h1SMcT0004010.1	T265_12992
OG0001747	h1SMcT0009037.1, h1SMcT0009037.2	T265_08419
OG0001748	h1SMcT0001235.1, h1SMcT0001235.2	T265_02528
OG0001750	h1SMcT0019885.1, h1SMcT0019885.2, h1SMcT0019885.5, h1SMcT0019885.3, h1SMcT0019885.4	T265_14641, T265_08679
OG0001751	h1SMcT0021739.2, h1SMcT0004886.1, h1SMcT0004886.2	T265_03745
OG0001752	h1SMcT0005183.1	T265_08775
OG0001754	h1SMcT0000935.1	T265_14140
OG0001755	h1SMcT0004449.2	T265_08222, T265_10918
OG0001756	h1SMcT0005974.1, h1SMcT0005974.2	T265_02705
OG0001758	h1SMcT0016619.1, h1SMcT0016619.2	T265_08429, T265_16089, T265_08430
OG0001759	h1SMcT0021839.1, h1SMcT0021839.2, h1SMcT0021839.3, h1SMcT0020798.1, h1SMcT0020798.2, h1SMcT0004514.1, h1SMcT0004514.2, h1SMcT0004514.3	T265_14874
OG0001760	h1SMcT0009739.2	T265_13963
OG0001761	h1SMcT0015220.1	T265_11120
OG0001762	h1SMcT0018473.1	T265_08963, T265_16323, T265_08964
OG0001763	h1SMcT0014031.2, h1SMcT0014031.1, h1SMcT0014031.3, h1SMcT0014031.4	T265_11384
OG0001764	h1SMcT0009805.2, h1SMcT0009805.4, h1SMcT0009805.1, h1SMcT0009805.3	T265_04595
OG0001766	h1SMcT0019075.1, h1SMcT0019075.2	T265_14565
OG0001768	h1SMcT0013683.1, h1SMcT0013683.2	T265_10297
OG0001769	h1SMcT0020309.1, h1SMcT0020309.2	T265_03947
OG0001770	h1SMcT0021515.2, h1SMcT0021515.1, h1SMcT0021515.3	T265_08230
OG0001771	h1SMcT0007797.6, h1SMcT0007797.3, h1SMcT0007797.4, h1SMcT0007797.2, h1SMcT0007797.5	T265_13913
OG0001772	h1SMcT0002778.2, h1SMcT0002778.1, h1SMcT0002778.3	T265_07572
OG0001773	h1SMcT0008613.1, h1SMcT0008563.4, h1SMcT0008565.2, h1SMcT0008563.1, h1SMcT0022781.1, h1SMcT0008563.2, h1SMcT0022781.2, h1SMcT0008563.3	T265_00534
OG0001774	h1SMcT0003104.4	T265_06888
OG0001775	h1SMcT0001715.1, h1SMcT0001715.2	T265_09040
OG0001776	h1SMcT0017707.1	T265_11140
OG0001777	h1SMcT0000525.1, h1SMcT0000525.2	T265_03011
OG0001778	h1SMcT0016706.1, h1SMcT0016706.2, h1SMcT0016706.4, h1SMcT0016706.3	T265_09376
OG0001780	h1SMcT0015555.16, h1SMcT0015555.9, h1SMcT0015555.19, h1SMcT0015555.1, h1SMcT0015555.15, h1SMcT0015555.18, h1SMcT0015555.21, h1SMcT0015555.22, h1SMcT0015555.2, h1SMcT0015555.4, h1SMcT0015555.5, h1SMcT0015555.7, h1SMcT0015555.8, h1SMcT0015555.12, h1SMcT0015555.13, h1SMcT0015555.14, h1SMcT0015555.17, h1SMcT0015555.3, h1SMcT0015555.6, h1SMcT0015555.11, h1SMcT0015555.20, h1SMcT0015555.10	T265_06467
OG0001781	h1SMcT0015529.1	T265_13075
OG0001782	h1SMcT0002334.1, h1SMcT0002331.2, h1SMcT0002331.6, h1SMcT0002331.4, h1SMcT0002331.8, h1SMcT0002331.3, h1SMcT0002331.5	T265_03902
OG0001783	h1SMcT0009033.1	T265_03631
OG0001784	h1SMcT0010892.1	T265_04098, T265_15912
OG0001785	h1SMcT0010242.1	T265_07505
OG0001786	h1SMcT0011297.1	T265_02513
OG0001787	h1SMcT0020085.1	T265_13198
OG0001790	h1SMcT0002945.1, h1SMcT0002945.2	T265_13300
OG0001791	h1SMcT0000906.3, h1SMcT0000906.1, h1SMcT0000906.2, h1SMcT0000904.4, h1SMcT0000904.1, h1SMcT0000904.2, h1SMcT0000904.3	T265_08401, T265_08403
OG0001792	h1SMcT0020582.1, h1SMcT0020950.1, h1SMcT0020950.2, h1SMcT0021364.5, h1SMcT0021364.2, h1SMcT0021364.3, h1SMcT0021364.1, h1SMcT0021364.4	T265_00418
OG0001793	h1SMcT0011149.2, h1SMcT0003445.1, h1SMcT0003445.2, h1SMcT0003445.4, h1SMcT0003445.3, h1SMcT0003445.5	T265_07358
OG0001794	h1SMcT0011293.1, h1SMcT0011295.1, h1SMcT0011295.2	T265_10719
OG0001801	h1SMcT0014180.1, h1SMcT0014180.2, h1SMcT0014180.3	T265_04593
OG0001803	h1SMcT0011732.3, h1SMcT0011284.1, h1SMcT0011284.2	T265_09341
OG0001804	h1SMcT0016489.1	T265_12618
OG0001805	h1SMcT0022212.1	T265_13514, T265_13513
OG0001807	h1SMcT0008513.2, h1SMcT0008514.6, h1SMcT0008514.1, h1SMcT0008514.3, h1SMcT0008513.3, h1SMcT0008514.2, h1SMcT0008514.4, h1SMcT0008514.5	T265_11444
OG0001808	h1SMcT0001448.1	T265_10905
OG0001809	h1SMcT0014733.1, h1SMcT0014733.2	T265_13772
OG0001810	h1SMcT0018180.5, h1SMcT0018180.1, h1SMcT0018180.4, h1SMcT0018180.2, h1SMcT0018180.3	T265_07900
OG0001812	h1SMcT0004905.1, h1SMcT0004905.2	T265_14122
OG0001813	h1SMcT0001706.1	T265_09076
OG0001816	h1SMcT0017125.1, h1SMcT0017193.1	T265_15353
OG0001817	h1SMcT0022407.1	T265_13431
OG0001819	h1SMcT0014745.1, h1SMcT0014745.7, h1SMcT0014745.2, h1SMcT0014745.3, h1SMcT0014745.4, h1SMcT0014745.5, h1SMcT0014745.6, h1SMcT0014745.8	T265_02288
OG0001820	h1SMcT0013890.1, h1SMcT0002328.1, h1SMcT0014749.1, h1SMcT0014749.2, h1SMcT0014749.3, h1SMcT0014749.4, h1SMcT0004897.1, h1SMcT0004897.2	T265_04186
OG0001821	h1SMcT0014590.1, h1SMcT0020570.1	T265_09614
OG0001821	h1SMcT0003463.1, h1SMcT0003463.2, h1SMcT0014038.1	T265_03362
OG0001822	h1SMcT0021165.1, h1SMcT0021165.2, h1SMcT0021166.1, h1SMcT0021165.4, h1SMcT0021165.6, h1SMcT0021165.5, h1SMcT0021165.7, h1SMcT0021165.8, h1SMcT0017497.1, h1SMcT0017497.2	T265_11066, T265_04529
OG0001826	h1SMcT0002813.1, h1SMcT0002813.2	T265_00277
OG0001827	h1SMcT0000035.1	T265_02155, T265_12935
OG0001828	h1SMcT0000446.1	T265_01213
OG0001829	h1SMcT0011896.1, h1SMcT0022194.1	T265_11088, T265_11086
OG0001830	h1SMcT0021986.1	T265_15921
OG0001831	h1SMcT0014333.5, h1SMcT0014333.6, h1SMcT0014333.2, h1SMcT0014333.4, h1SMcT0014333.1, h1SMcT0014333.3	T265_03336
OG0001834	h1SMcT0020592.1, h1SMcT0010290.1, h1SMcT0010290.2	T265_00004
OG0001835	h1SMcT0005658.1, h1SMcT0013373.1	T265_06643, T265_14089
OG0001837	h1SMcT0010048.1	T265_08769
OG0001838	h1SMcT0010619.1	T265_03743
OG0001839	h1SMcT0002713.1	T265_12526
OG0001840	h1SMcT0022135.1, h1SMcT0022135.2	T265_13580
OG0001841	h1SMcT0020217.1, h1SMcT0020217.2	T265_07181
OG0001844	h1SMcT0007947.1	T265_03040
OG0001845	h1SMcT0011119.1	T265_14549
OG0001847	h1SMcT0015481.1, h1SMcT0015481.2	T265_11864
OG0001848	h1SMcT0016599.3, h1SMcT0016599.1, h1SMcT0016599.2	T265_14403, T265_14401, T265_07830
OG0001849	h1SMcT0016402.1, h1SMcT0018050.1, h1SMcT0018050.5, h1SMcT0018050.3, h1SMcT0018050.4, h1SMcT0018050.2	T265_00607
OG0001850	h1SMcT0017635.1	T265_00010
OG0001851	h1SMcT0022124.2, h1SMcT0022124.1, h1SMcT0022124.3	T265_01360
OG0001852	h1SMcT0002547.3, h1SMcT0002547.1, h1SMcT0002547.2	T265_05433
OG0001856	h1SMcT0011763.1, h1SMcT0011763.2	T265_10021
OG0001857	h1SMcT0022370.1, h1SMcT0022370.2, h1SMcT0022370.3	T265_04055
OG0001859	h1SMcT0007644.1, h1SMcT0007700.1	T265_06498
OG0001860	h1SMcT0021050.1	T265_03438, T265_03772, T265_13321
OG0001862	h1SMcT0011003.1	T265_10909
OG0001864	h1SMcT0000735.1	T265_01749
OG0001868	h1SMcT0005126.1, h1SMcT0005126.2, h1SMcT0006712.1, h1SMcT0006712.2, h1SMcT0016692.2, h1SMcT0019911.1, h1SMcT0014112.1, h1SMcT0004938.1, h1SMcT0004938.2	T265_04412
OG0001869	h1SMcT0018355.1, h1SMcT0018356.1	T265_05535
OG0001870	h1SMcT0021764.1, h1SMcT0021764.2	T265_00132
OG0001871	h1SMcT0005423.1	T265_13828
OG0001873	h1SMcT0012972.1	T265_08992
OG0001874	h1SMcT0004093.1, h1SMcT0004093.2, h1SMcT0002132.1, h1SMcT0004097.1, h1SMcT0004097.2, h1SMcT0004097.3, h1SMcT0004097.4, h1SMcT0004097.5	T265_03234, T265_13196
OG0001875	h1SMcT0020940.1, h1SMcT0020757.3, h1SMcT0020757.1, h1SMcT0020757.2, h1SMcT0020756.1, h1SMcT0020756.2, h1SMcT0020753.1	T265_15589, T265_15590, T265_11880, T265_11881
OG0001877	h1SMcT0021188.1	T265_10265, T265_14142
OG0001879	h1SMcT0013918.1	T265_05975
OG0001880	h1SMcT0003397.1, h1SMcT0003397.2	T265_15623, T265_15873
OG0001881	h1SMcT0014323.1	T265_09881, T265_16342
OG0001882	h1SMcT0016927.3, h1SMcT0016927.7, h1SMcT0016927.2, h1SMcT0016927.5, h1SMcT0016927.6, h1SMcT0016927.4, h1SMcT0014119.1	T265_02934
OG0001883	h1SMcT0000544.5, h1SMcT0000544.1, h1SMcT0000544.2, h1SMcT0000544.6, h1SMcT0000544.3, h1SMcT0000544.4	T265_00246
OG0001884	h1SMcT0010874.1	T265_08008, T265_16260
OG0001886	h1SMcT0016397.3, h1SMcT0016397.2, h1SMcT0016397.1	T265_10249
OG0001887	h1SMcT0001259.1	T265_05895, T265_07671
OG0001888	h1SMcT0005027.1, h1SMcT0005027.2	T265_14220
OG0001889	h1SMcT0006874.1, h1SMcT0006874.2	T265_11606
OG0001890	h1SMcT0016426.2, h1SMcT0016426.1, h1SMcT0016426.3	T265_08599
OG0001892	h1SMcT0022597.1	T265_15428
OG0001894	h1SMcT0016737.2, h1SMcT0016737.1, h1SMcT0016737.3	T265_12840
OG0001895	h1SMcT0021501.1, h1SMcT0021501.2	T265_11728
OG0001896	h1SMcT0016281.2, h1SMcT0016281.1, h1SMcT0016281.3	T265_09000
OG0001897	h1SMcT0006287.1	T265_13908
OG0001898	h1SMcT0002007.1, h1SMcT0002007.2, h1SMcT0002007.3, h1SMcT0002007.4	T265_04800
OG0001899	h1SMcT0008938.1, h1SMcT0013904.1, h1SMcT0013904.2	T265_03996
OG0001900	h1SMcT0018011.3, h1SMcT0018011.1, h1SMcT0018011.2	T265_05713
OG0001901	h1SMcT0000743.1, h1SMcT0000743.2	T265_07537
OG0001902	h1SMcT0008507.1, h1SMcT0008507.2, h1SMcT0008507.3	T265_03661, T265_11899
OG0001903	h1SMcT0021286.1	T265_06552, T265_06554
OG0001907	h1SMcT0001963.1, h1SMcT0001963.2	T265_14805
OG0001909	h1SMcT0003517.1, h1SMcT0003517.2	T265_08757
OG0001910	h1SMcT0022818.1, h1SMcT0009008.1, h1SMcT0009008.3, h1SMcT0009008.2, h1SMcT0009008.4, h1SMcT0009008.5	T265_11579
OG0001911	h1SMcT0022326.1	T265_08739, T265_08740
OG0001912	h1SMcT0010295.1	T265_05946
OG0001913	h1SMcT0017208.1	T265_02936
OG0001914	h1SMcT0011941.1, h1SMcT0011881.1, h1SMcT0011881.2, h1SMcT0011881.3, h1SMcT0011881.4	T265_04183
OG0001915	h1SMcT0011169.1	T265_15891, T265_01652, T265_12174
OG0001916	h1SMcT0010024.1	T265_06670
OG0001917	h1SMcT0001874.1, h1SMcT0001870.1, h1SMcT0001870.2	T265_14049
OG0001918	h1SMcT0001785.5, h1SMcT0001785.1, h1SMcT0001785.3, h1SMcT0001785.4, h1SMcT0001785.2	T265_00471
OG0001919	h1SMcT0006757.1	T265_02504
OG0001920	h1SMcT0003731.1	T265_08481
OG0001921	h1SMcT0011809.1, h1SMcT0011809.2, h1SMcT0011809.3, h1SMcT0022731.1	T265_06125
OG0001922	h1SMcT0004051.1	T265_14503
OG0001924	h1SMcT0017174.1, h1SMcT0017174.2	T265_02681
OG0001925	h1SMcT0001466.3, h1SMcT0001466.2, h1SMcT0001466.1, h1SMcT0001464.1, h1SMcT0001464.2	T265_00852
OG0001927	h1SMcT0022233.1	T265_08673
OG0001929	h1SMcT0015623.1, h1SMcT0007255.1, h1SMcT0007255.2, h1SMcT0007255.3	T265_16131, T265_00819
OG0001932	h1SMcT0007506.1, h1SMcT0011130.1, h1SMcT0011130.2, h1SMcT0003858.3, h1SMcT0006060.1	T265_11747
OG0001941	h1SMcT0007878.1, h1SMcT0007878.2, h1SMcT0007878.3	T265_02631
OG0001943	h1SMcT0010455.1, h1SMcT0010455.2	T265_12963
OG0001944	h1SMcT0010813.2, h1SMcT0010813.1, h1SMcT0010813.4, h1SMcT0010813.5, h1SMcT0010813.6, h1SMcT0010813.3	T265_01438
OG0001945	h1SMcT0020652.1, h1SMcT0020652.5, h1SMcT0020652.2, h1SMcT0020652.3, h1SMcT0020652.4, h1SMcT0020652.6	T265_02757, T265_11309
OG0001946	h1SMcT0021096.5, h1SMcT0021096.4, h1SMcT0021096.6, h1SMcT0021096.3, h1SMcT0021096.2, h1SMcT0021096.1	T265_08642
OG0001947	h1SMcT0011014.1	T265_15378
OG0001948	h1SMcT0008416.1, h1SMcT0008416.2	T265_09604
OG0001949	h1SMcT0010843.1, h1SMcT0010843.3, h1SMcT0010843.4, h1SMcT0010843.2	T265_10788
OG0001950	h1SMcT0018799.1	T265_14356
OG0001951	h1SMcT0019278.1	T265_02488
OG0001952	h1SMcT0007722.1, h1SMcT0007722.2, h1SMcT0007722.3	T265_01274
OG0001953	h1SMcT0012123.1	T265_07588
OG0001954	h1SMcT0021952.1, h1SMcT0013746.1, h1SMcT0021292.1	T265_05594, T265_10324, T265_10323
OG0001955	h1SMcT0006475.1, h1SMcT0006475.2	T265_04533
OG0001956	h1SMcT0001404.1, h1SMcT0009669.4, h1SMcT0009669.2, h1SMcT0009669.3	T265_00329
OG0001957	h1SMcT0013668.1	T265_16364
OG0001958	h1SMcT0003488.1, h1SMcT0003488.4, h1SMcT0003488.5, h1SMcT0003488.2, h1SMcT0003488.3, h1SMcT0003488.6	T265_12587
OG0001959	h1SMcT0018025.1, h1SMcT0021282.1, h1SMcT0018024.1, h1SMcT0018024.2	T265_12030
