Orthogroup	schmidtea_mediterranea	schistosoma_haematobium
OG0000568	h1SMcT0000422.1	SHAE2_60300.1
OG0000568	h1SMcT0004474.1	SHAE2_71330.1
OG0000568	h1SMcT0007387.1, h1SMcT0008220.1	SHAE2_37730.1
OG0000569	h1SMcT0011523.1	SHAE2_11430.9, SHAE2_11430.1, SHAE2_11430.5, SHAE2_11430.7, SHAE2_11430.2, SHAE2_11430.4, SHAE2_11430.6, SHAE2_11430.8
OG0000570	h1SMcT0019517.1, h1SMcT0019517.4, h1SMcT0019517.3, h1SMcT0019517.2, h1SMcT0004661.3, h1SMcT0004661.1, h1SMcT0004661.2	SHAE2_14780.10, SHAE2_14780.7, SHAE2_14780.5, SHAE2_14780.8, SHAE2_14780.3, SHAE2_14780.4, SHAE2_14780.9, SHAE2_14780.11, SHAE2_14780.2, SHAE2_14780.12, SHAE2_14780.1, SHAE2_14780.6, SHAE2_14780.17, SHAE2_14780.16, SHAE2_14780.18, SHAE2_14780.13, SHAE2_14780.15, SHAE2_14780.14
OG0000572	h1SMcT0002436.1, h1SMcT0002436.2, h1SMcT0002436.3	SHAE2_63320.1, SHAE2_63320.9, SHAE2_63320.8, SHAE2_63320.2, SHAE2_63320.4, SHAE2_63320.6, SHAE2_63320.11, SHAE2_63320.10, SHAE2_63320.7, SHAE2_63320.3, SHAE2_63320.5, SHAE2_63320.13, SHAE2_63320.14, SHAE2_63320.12
OG0000576	h1SMcT0011316.1	SHAE2_46950.1
OG0000580	h1SMcT0008757.1	SHAE2_42150.2, SHAE2_42150.1, SHAE2_42150.3, SHAE2_34660.1, SHAE2_34660.2
OG0000581	h1SMcT0003098.1, h1SMcT0003098.4, h1SMcT0003098.2, h1SMcT0003098.3	SHAE2_65170.1, SHAE2_65170.2
OG0000582	h1SMcT0007948.1	SHAE2_87460.1, SHAE2_87470.1, SHAE2_87480.1
OG0000583	h1SMcT0016905.1, h1SMcT0018972.1, h1SMcT0018972.2	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2
OG0000584	h1SMcT0015177.1	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8
OG0000585	h1SMcT0015294.3	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5
OG0000586	h1SMcT0002546.1	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6
OG0000587	h1SMcT0012527.1	SHAE2_69230.1, SHAE2_11250.1
OG0000588	h1SMcT0022641.1	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5, SHAE2_24650.3, SHAE2_24650.1, SHAE2_24650.2
OG0000589	h1SMcT0000513.6, h1SMcT0000513.10, h1SMcT0000513.5, h1SMcT0000513.11, h1SMcT0000513.7, h1SMcT0000513.4, h1SMcT0000513.2, h1SMcT0000513.1, h1SMcT0000513.15, h1SMcT0000513.9, h1SMcT0000513.12, h1SMcT0000513.13, h1SMcT0000513.16, h1SMcT0000513.3, h1SMcT0000513.14, h1SMcT0000513.8	SHAE2_58100.2, SHAE2_58100.3, SHAE2_58100.1
OG0000590	h1SMcT0012706.1, h1SMcT0012706.2	SHAE2_31460.1
OG0000590	h1SMcT0011530.1, h1SMcT0011530.2, h1SMcT0011530.3, h1SMcT0011530.5, h1SMcT0011530.4	SHAE2_43500.1, SHAE2_43500.3, SHAE2_43500.2
OG0000592	h1SMcT0002361.1	SHAE2_33170.9, SHAE2_33170.4, SHAE2_33170.1, SHAE2_33170.2, SHAE2_33170.3, SHAE2_33170.6, SHAE2_33170.7, SHAE2_33170.5, SHAE2_33170.8
OG0000593	h1SMcT0011288.1	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19
OG0000594	h1SMcT0014403.1	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11
OG0000599	h1SMcT0014383.1	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6
OG0000600	h1SMcT0001236.1, h1SMcT0001236.2	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2
OG0000601	h1SMcT0017191.2	SHAE2_100340.1, SHAE2_100340.3, SHAE2_100340.2, SHAE2_100340.4, SHAE2_100350.1
OG0000601	h1SMcT0017191.1, h1SMcT0015663.1	SHAE2_43860.1
OG0000603	h1SMcT0006589.1, h1SMcT0001620.1, h1SMcT0001575.2, h1SMcT0001575.1	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4
OG0000605	h1SMcT0000877.1, h1SMcT0000877.2	SHAE2_29810.1, SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3
OG0000606	h1SMcT0007872.1	SHAE2_19310.1
OG0000606	h1SMcT0013192.1	SHAE2_19310.1
OG0000606	h1SMcT0016286.1	SHAE2_19310.1
OG0000606	h1SMcT0016453.1	SHAE2_5840.1
OG0000607	h1SMcT0020176.1	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7
OG0000609	h1SMcT0005893.1	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8
OG0000610	h1SMcT0000886.2, h1SMcT0000886.3	SHAE2_30510.1, SHAE2_30510.4, SHAE2_30510.2, SHAE2_30510.3
OG0000610	h1SMcT0011951.1, h1SMcT0005871.1, h1SMcT0005871.2, h1SMcT0013226.4, h1SMcT0013226.5, h1SMcT0013226.1, h1SMcT0013226.3, h1SMcT0013226.6, h1SMcT0013226.2, h1SMcT0013226.9, h1SMcT0013226.7	SHAE2_24960.1
OG0000611	h1SMcT0001233.1, h1SMcT0001234.1	SHAE2_46030.1, SHAE2_46070.1, SHAE2_46050.1, SHAE2_46040.1, SHAE2_46060.1
OG0000612	h1SMcT0020937.1	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2
OG0000613	h1SMcT0002240.1, h1SMcT0014405.4, h1SMcT0014405.1, h1SMcT0014405.6, h1SMcT0014405.5, h1SMcT0014405.2, h1SMcT0014405.3	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3
OG0000614	h1SMcT0004878.5, h1SMcT0004878.1, h1SMcT0004878.6	SHAE2_47130.1
OG0000615	h1SMcT0007757.1, h1SMcT0011556.1, h1SMcT0022918.1	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3
OG0000616	h1SMcT0015808.1, h1SMcT0011502.1, h1SMcT0011502.4	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4
OG0000617	h1SMcT0000662.1, h1SMcT0016621.1, h1SMcT0016621.2, h1SMcT0016926.2, h1SMcT0016926.1, h1SMcT0016926.3	SHAE2_86170.1
OG0000618	h1SMcT0002134.3, h1SMcT0002134.1, h1SMcT0002134.2, h1SMcT0002134.4	SHAE2_39350.1
OG0000620	h1SMcT0012721.1, h1SMcT0012721.2	SHAE2_17340.1
OG0000620	h1SMcT0013766.1, h1SMcT0013766.2, h1SMcT0008491.1, h1SMcT0008491.2	SHAE2_49400.1
OG0000621	h1SMcT0007997.1	SHAE2_32320.1, SHAE2_32320.3, SHAE2_32320.2
OG0000623	h1SMcT0014261.1	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4
OG0000624	h1SMcT0020124.1	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8
OG0000625	h1SMcT0013791.1	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9
OG0000626	h1SMcT0016716.3, h1SMcT0016716.1, h1SMcT0016716.2	SHAE2_57930.2, SHAE2_57930.4, SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6
OG0000627	h1SMcT0005288.1, h1SMcT0005288.2, h1SMcT0005288.3, h1SMcT0005288.4	SHAE2_13710.6, SHAE2_13710.4, SHAE2_13710.8, SHAE2_13710.1, SHAE2_13710.3, SHAE2_13710.5, SHAE2_13710.2, SHAE2_13710.7
OG0000628	h1SMcT0006558.1	SHAE2_65260.1, SHAE2_65260.2
OG0000629	h1SMcT0002469.1, h1SMcT0002469.2, h1SMcT0002157.1, h1SMcT0002157.2	SHAE2_41780.1
OG0000630	h1SMcT0010265.4, h1SMcT0010265.5, h1SMcT0010265.1, h1SMcT0010265.3, h1SMcT0010265.2	SHAE2_62790.1
OG0000631	h1SMcT0010110.1, h1SMcT0010112.1, h1SMcT0010114.1	SHAE2_70150.1, SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4
OG0000632	h1SMcT0004637.1, h1SMcT0004637.2	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4
OG0000633	h1SMcT0003142.1	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8
OG0000636	h1SMcT0010435.1	SHAE2_100110.1
OG0000637	h1SMcT0003479.1, h1SMcT0009323.1, h1SMcT0009324.1, h1SMcT0009324.2, h1SMcT0009332.1, h1SMcT0009332.4, h1SMcT0009332.2, h1SMcT0009332.3, h1SMcT0009397.1, h1SMcT0009393.1, h1SMcT0009393.2	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17
OG0000638	h1SMcT0014155.1, h1SMcT0014155.2	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3
OG0000639	h1SMcT0008292.1	SHAE2_65930.1
OG0000641	h1SMcT0000075.1, h1SMcT0000075.2, h1SMcT0000075.3	SHAE2_7200.1
OG0000641	h1SMcT0021560.1, h1SMcT0021560.2	SHAE2_5070.1
OG0000643	h1SMcT0004865.1	SHAE2_55330.1, SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3
OG0000644	h1SMcT0009313.1, h1SMcT0009313.2, h1SMcT0009313.3	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2
OG0000645	h1SMcT0014622.1, h1SMcT0014622.2, h1SMcT0014622.3, h1SMcT0001951.1, h1SMcT0001951.4, h1SMcT0001951.2, h1SMcT0001951.5, h1SMcT0001951.3, h1SMcT0002162.9, h1SMcT0002162.3, h1SMcT0002162.5, h1SMcT0002162.8, h1SMcT0002162.1, h1SMcT0002162.10, h1SMcT0002162.2, h1SMcT0002162.7, h1SMcT0002162.4, h1SMcT0002162.6, h1SMcT0005662.1, h1SMcT0006078.1, h1SMcT0006078.2	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1
OG0000646	h1SMcT0014565.2, h1SMcT0014565.8, h1SMcT0014565.3, h1SMcT0014565.6, h1SMcT0014565.4, h1SMcT0014565.7, h1SMcT0014565.1, h1SMcT0014565.5, h1SMcT0021225.1, h1SMcT0000025.3, h1SMcT0000025.1, h1SMcT0000025.2	SHAE2_10750.1
OG0000647	h1SMcT0002662.1, h1SMcT0015974.1	SHAE2_66200.1
OG0000649	h1SMcT0014304.4, h1SMcT0014304.1, h1SMcT0014304.3, h1SMcT0014304.2, h1SMcT0010534.1, h1SMcT0010534.3, h1SMcT0010534.2, h1SMcT0018309.10, h1SMcT0018309.12, h1SMcT0018309.4, h1SMcT0018309.5, h1SMcT0018309.7, h1SMcT0018309.8, h1SMcT0018309.9, h1SMcT0018309.13, h1SMcT0018309.2, h1SMcT0018309.6, h1SMcT0018309.1, h1SMcT0018309.11, h1SMcT0018309.3	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3
OG0000652	h1SMcT0014597.3, h1SMcT0014597.1, h1SMcT0014597.2	SHAE2_43110.2, SHAE2_43110.7, SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9
OG0000653	h1SMcT0001116.3, h1SMcT0001116.1, h1SMcT0001116.4, h1SMcT0001112.2, h1SMcT0001113.1	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2
OG0000654	h1SMcT0006285.1	SHAE2_62100.1
OG0000655	h1SMcT0009631.1	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8
OG0000656	h1SMcT0022550.7, h1SMcT0022550.3, h1SMcT0022550.2, h1SMcT0022550.5, h1SMcT0022550.6, h1SMcT0022550.4, h1SMcT0022550.8	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9, SHAE2_79910.2, SHAE2_79910.8, SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6
OG0000657	h1SMcT0013044.1, h1SMcT0013044.2, h1SMcT0013044.4, h1SMcT0013044.10, h1SMcT0013044.3, h1SMcT0013044.7, h1SMcT0013044.8, h1SMcT0013044.9, h1SMcT0013044.5, h1SMcT0013044.6	SHAE2_95630.3, SHAE2_95630.4, SHAE2_95630.1, SHAE2_95630.2, SHAE2_95630.6, SHAE2_95630.7, SHAE2_95630.5
OG0000659	h1SMcT0007920.1	SHAE2_44630.4, SHAE2_44630.5, SHAE2_44630.7, SHAE2_44630.2, SHAE2_44630.8, SHAE2_44630.1, SHAE2_44630.3, SHAE2_44630.6
OG0000663	h1SMcT0017016.2, h1SMcT0017016.3, h1SMcT0017016.4	SHAE2_41020.4, SHAE2_41020.2, SHAE2_41020.1, SHAE2_41020.3, SHAE2_41020.7, SHAE2_41020.8, SHAE2_41020.6, SHAE2_41020.5
OG0000664	h1SMcT0002678.1, h1SMcT0015958.1	SHAE2_14180.5, SHAE2_14180.6, SHAE2_14180.7, SHAE2_14180.3, SHAE2_14180.4, SHAE2_14180.1, SHAE2_14180.2
OG0000665	h1SMcT0008601.2	SHAE2_77460.4, SHAE2_77460.1, SHAE2_77460.3, SHAE2_77460.2
OG0000666	h1SMcT0008106.1, h1SMcT0008106.3, h1SMcT0008106.4, h1SMcT0008106.2	SHAE2_65920.2, SHAE2_65920.1, SHAE2_65920.3, SHAE2_65920.4
OG0000667	h1SMcT0000405.1, h1SMcT0000405.2, h1SMcT0000405.3, h1SMcT0000405.4, h1SMcT0000405.5, h1SMcT0000405.6, h1SMcT0000405.7, h1SMcT0000405.8	SHAE2_6720.1
OG0000668	h1SMcT0000772.1	SHAE2_55720.1, SHAE2_55720.5, SHAE2_55720.2, SHAE2_55720.6, SHAE2_55720.7, SHAE2_55720.4, SHAE2_55720.3
OG0000669	h1SMcT0002674.1, h1SMcT0015961.1	SHAE2_72600.4, SHAE2_72600.9, SHAE2_72600.1, SHAE2_72600.2, SHAE2_72600.3, SHAE2_72600.5, SHAE2_72600.6, SHAE2_72600.7, SHAE2_72600.10, SHAE2_72600.8
OG0000670	h1SMcT0013219.2, h1SMcT0013219.3, h1SMcT0008488.1, h1SMcT0012609.4, h1SMcT0012609.5, h1SMcT0012609.1, h1SMcT0012609.6, h1SMcT0012609.7, h1SMcT0023028.1, h1SMcT0012609.3, h1SMcT0012609.2	SHAE2_47450.1, SHAE2_47450.2
OG0000671	h1SMcT0004049.1	SHAE2_81090.4, SHAE2_81090.3, SHAE2_81090.1, SHAE2_81090.2, SHAE2_81090.5
OG0000672	h1SMcT0007758.5, h1SMcT0007758.7, h1SMcT0007758.2, h1SMcT0007758.6	SHAE2_47050.2, SHAE2_47050.3, SHAE2_47050.4, SHAE2_47050.5, SHAE2_47050.1
OG0000674	h1SMcT0006548.5, h1SMcT0006548.2, h1SMcT0006548.4, h1SMcT0006548.6, h1SMcT0006548.1, h1SMcT0006548.3, h1SMcT0006548.7	SHAE2_82650.3, SHAE2_82650.6, SHAE2_82650.1, SHAE2_82650.2, SHAE2_82650.4, SHAE2_82650.5, SHAE2_82650.7
OG0000675	h1SMcT0003156.2	SHAE2_76490.1
OG0000676	h1SMcT0011607.1	SHAE2_86060.1
OG0000677	h1SMcT0005076.1, h1SMcT0010995.1	SHAE2_5740.1
OG0000678	h1SMcT0000627.1	SHAE2_37280.1, SHAE2_37280.7, SHAE2_37280.5, SHAE2_37280.3, SHAE2_37280.4, SHAE2_37280.8, SHAE2_37280.2, SHAE2_37280.6
OG0000679	h1SMcT0005954.1, h1SMcT0005954.2, h1SMcT0005954.3, h1SMcT0005954.4	SHAE2_76550.4, SHAE2_76550.5, SHAE2_76550.8, SHAE2_76550.1, SHAE2_76550.3, SHAE2_76550.6, SHAE2_76550.2, SHAE2_76550.7
OG0000680	h1SMcT0020605.2, h1SMcT0020605.3, h1SMcT0020605.4, h1SMcT0020605.1, h1SMcT0020605.5	SHAE2_19060.1, SHAE2_19060.2, SHAE2_19060.3, SHAE2_19060.4, SHAE2_19060.5, SHAE2_19060.6
OG0000682	h1SMcT0021817.1, h1SMcT0021817.2, h1SMcT0021817.3	SHAE2_45830.1, SHAE2_45830.4, SHAE2_45830.2, SHAE2_45830.3
OG0000683	h1SMcT0001041.1	SHAE2_58300.1, SHAE2_58300.2, SHAE2_58300.4, SHAE2_58300.5, SHAE2_58300.3
OG0000683	h1SMcT0016211.1, h1SMcT0016211.2, h1SMcT0016211.3	SHAE2_71530.2, SHAE2_71530.1
OG0000684	h1SMcT0018167.5, h1SMcT0018167.1, h1SMcT0018167.20, h1SMcT0018167.7, h1SMcT0018167.12, h1SMcT0018167.3, h1SMcT0018167.4, h1SMcT0018167.18, h1SMcT0018167.14, h1SMcT0018167.19, h1SMcT0018167.8, h1SMcT0018167.10, h1SMcT0018167.15, h1SMcT0018167.9, h1SMcT0018167.11, h1SMcT0018167.16, h1SMcT0018167.17, h1SMcT0018167.13	SHAE2_89870.1
OG0000686	h1SMcT0001825.1, h1SMcT0001825.2	SHAE2_64060.7, SHAE2_64060.1, SHAE2_64060.3, SHAE2_64060.4, SHAE2_64060.5, SHAE2_64060.6, SHAE2_64060.2, SHAE2_64060.8
OG0000687	h1SMcT0019613.1	SHAE2_29090.1
OG0000689	h1SMcT0003853.1, h1SMcT0003854.1	SHAE2_3430.5, SHAE2_3430.6, SHAE2_3430.7, SHAE2_3430.4, SHAE2_3430.1, SHAE2_3430.2, SHAE2_3430.3
OG0000690	h1SMcT0006534.1, h1SMcT0006534.6, h1SMcT0006534.3, h1SMcT0006534.8, h1SMcT0006534.9, h1SMcT0006534.10, h1SMcT0006534.2, h1SMcT0006534.11, h1SMcT0006534.4, h1SMcT0006534.5, h1SMcT0006534.7, h1SMcT0006847.1	SHAE2_25000.3, SHAE2_25000.1, SHAE2_25000.2, SHAE2_25000.4, SHAE2_25000.5
OG0000695	h1SMcT0007395.1	SHAE2_101610.1
OG0000695	h1SMcT0017536.1, h1SMcT0017537.1	SHAE2_48520.1, SHAE2_48520.2, SHAE2_48520.3, SHAE2_48520.4
OG0000696	h1SMcT0007847.1, h1SMcT0007847.2	SHAE2_5960.2, SHAE2_5960.6, SHAE2_5960.3, SHAE2_5960.4, SHAE2_5960.5, SHAE2_5960.7, SHAE2_5960.1
OG0000697	h1SMcT0018621.4, h1SMcT0018621.2, h1SMcT0018621.1, h1SMcT0018621.3	SHAE2_43170.5, SHAE2_43170.6, SHAE2_43170.10, SHAE2_43170.11, SHAE2_43170.12, SHAE2_43170.13, SHAE2_43170.3, SHAE2_43170.4, SHAE2_43170.7, SHAE2_43170.9, SHAE2_43170.14, SHAE2_43170.2, SHAE2_43170.8, SHAE2_43170.1
OG0000699	h1SMcT0022612.1, h1SMcT0022612.3, h1SMcT0022612.2, h1SMcT0022612.4, h1SMcT0022612.5, h1SMcT0012097.1, h1SMcT0012097.2, h1SMcT0012097.3	SHAE2_35900.1
OG0000699	h1SMcT0010928.1	SHAE2_49050.1, SHAE2_49060.1
OG0000700	h1SMcT0011041.1	SHAE2_30500.1, SHAE2_26390.1, SHAE2_26400.1, SHAE2_26410.1
OG0000703	h1SMcT0004344.1, h1SMcT0003611.3, h1SMcT0003611.1, h1SMcT0003611.2, h1SMcT0000754.1, h1SMcT0000754.2, h1SMcT0000754.3	SHAE2_150.1, SHAE2_150.2, SHAE2_150.3
OG0000704	h1SMcT0014608.4, h1SMcT0014608.3, h1SMcT0014608.1, h1SMcT0014608.2	SHAE2_51510.2, SHAE2_51510.4, SHAE2_51510.1, SHAE2_51510.3, SHAE2_51510.5, SHAE2_51510.6, SHAE2_51510.7, SHAE2_51510.8
OG0000705	h1SMcT0002097.1	SHAE2_6640.10, SHAE2_6640.3, SHAE2_6640.4, SHAE2_6640.5, SHAE2_6640.7, SHAE2_6640.8, SHAE2_6640.9, SHAE2_6640.2, SHAE2_6640.1, SHAE2_6640.6
OG0000706	h1SMcT0018667.1	SHAE2_46200.1
OG0000706	h1SMcT0007172.1, h1SMcT0007172.4, h1SMcT0007172.2, h1SMcT0007172.3, h1SMcT0015679.1, h1SMcT0016765.1, h1SMcT0020007.1, h1SMcT0020007.2	SHAE2_55630.3, SHAE2_55630.4, SHAE2_55630.1, SHAE2_55630.2
OG0000707	h1SMcT0015742.1, h1SMcT0015742.3, h1SMcT0015742.2, h1SMcT0015742.4	SHAE2_99610.1
OG0000708	h1SMcT0008283.2, h1SMcT0008283.4, h1SMcT0008283.3, h1SMcT0008283.1, h1SMcT0008283.5	SHAE2_40130.1
OG0000709	h1SMcT0004212.1	SHAE2_46460.1
OG0000710	h1SMcT0004295.1, h1SMcT0010571.1	SHAE2_8540.1, SHAE2_8550.9, SHAE2_8550.6, SHAE2_8550.7, SHAE2_8550.8, SHAE2_8550.2, SHAE2_8550.1, SHAE2_8550.3, SHAE2_8550.4, SHAE2_8550.5
OG0000711	h1SMcT0020247.1	SHAE2_78950.3, SHAE2_78950.4, SHAE2_78950.10, SHAE2_78950.2, SHAE2_78950.5, SHAE2_78950.9, SHAE2_78950.11, SHAE2_78950.6, SHAE2_78950.12, SHAE2_78950.13, SHAE2_78950.1, SHAE2_78950.14, SHAE2_78950.7, SHAE2_78950.8
OG0000712	h1SMcT0022628.1, h1SMcT0022628.2, h1SMcT0022628.3	SHAE2_55980.6, SHAE2_55980.2, SHAE2_55980.4, SHAE2_55980.3, SHAE2_55980.8, SHAE2_55980.1, SHAE2_55980.7, SHAE2_55980.5
OG0000714	h1SMcT0013833.1	SHAE2_48630.1, SHAE2_49500.7, SHAE2_48630.2, SHAE2_49500.8, SHAE2_49500.9, SHAE2_49500.3, SHAE2_49500.5, SHAE2_49500.6, SHAE2_49500.2, SHAE2_49500.1, SHAE2_49500.4
OG0000715	h1SMcT0013928.1, h1SMcT0013928.3	SHAE2_29620.2, SHAE2_29620.1, SHAE2_29620.3, SHAE2_29620.6, SHAE2_29620.7, SHAE2_29620.8, SHAE2_29620.9, SHAE2_29620.4, SHAE2_29620.10, SHAE2_29620.5
OG0000716	h1SMcT0017449.3, h1SMcT0017449.1, h1SMcT0017449.2	SHAE2_13580.3, SHAE2_13580.2, SHAE2_13580.1, SHAE2_13580.5, SHAE2_13580.4
OG0000717	h1SMcT0005890.1	SHAE2_62980.1
OG0000718	h1SMcT0019140.3, h1SMcT0014134.1, h1SMcT0014134.2, h1SMcT0018100.2, h1SMcT0018373.3, h1SMcT0002221.2, h1SMcT0002221.4, h1SMcT0002221.6, h1SMcT0002221.5, h1SMcT0001082.7, h1SMcT0001082.9, h1SMcT0001082.1, h1SMcT0001082.5, h1SMcT0001082.6	SHAE2_79230.4, SHAE2_79230.2, SHAE2_79230.3, SHAE2_79230.1, SHAE2_79230.5, SHAE2_79230.6, SHAE2_79230.7, SHAE2_79230.8
OG0000719	h1SMcT0003953.1	SHAE2_58310.4, SHAE2_58310.6, SHAE2_58310.1, SHAE2_58310.3, SHAE2_58310.5, SHAE2_58310.2
OG0000720	h1SMcT0001353.1	SHAE2_81340.1
OG0000722	h1SMcT0010769.1, h1SMcT0010769.2, h1SMcT0010770.1, h1SMcT0010770.2	SHAE2_5860.2, SHAE2_5860.3, SHAE2_5860.1, SHAE2_5860.4
OG0000723	h1SMcT0006520.1, h1SMcT0006522.1	SHAE2_81080.7, SHAE2_81080.2, SHAE2_81080.4, SHAE2_81080.5, SHAE2_81080.1, SHAE2_81080.8, SHAE2_81080.6, SHAE2_81080.3, SHAE2_81080.9
OG0000724	h1SMcT0017100.1, h1SMcT0017100.2, h1SMcT0017100.3	SHAE2_44700.1, SHAE2_44700.3, SHAE2_44700.4, SHAE2_44700.2, SHAE2_44700.5, SHAE2_44700.6
OG0000726	h1SMcT0007616.1, h1SMcT0007616.2	SHAE2_32100.1, SHAE2_32110.1
OG0000728	h1SMcT0017035.1	SHAE2_51660.2, SHAE2_51660.1, SHAE2_51660.8, SHAE2_51660.7, SHAE2_51660.6, SHAE2_51660.3, SHAE2_51660.4, SHAE2_51660.5
OG0000729	h1SMcT0016744.1, h1SMcT0016744.2	SHAE2_10680.7, SHAE2_10680.1, SHAE2_10680.8, SHAE2_10680.10, SHAE2_10680.9, SHAE2_10680.5, SHAE2_10680.6, SHAE2_10680.4, SHAE2_10680.3, SHAE2_10680.2
OG0000730	h1SMcT0010082.1, h1SMcT0010082.2, h1SMcT0010082.3	SHAE2_64100.4, SHAE2_64100.3, SHAE2_64100.2, SHAE2_64100.1
