Orthogroup	schmidtea_mediterranea	fasciola_hepatica
OG0001334	h1SMcT0003847.1	FhHiC23_g12518.t1
OG0001335	h1SMcT0017139.10, h1SMcT0017139.11, h1SMcT0017139.3, h1SMcT0017139.6, h1SMcT0017139.2, h1SMcT0017139.7, h1SMcT0017139.4, h1SMcT0017139.1, h1SMcT0017139.8, h1SMcT0017139.5, h1SMcT0017139.9	FhHiC23_g5464.t1, FhHiC23_g5465.t1
OG0001336	h1SMcT0016009.1, h1SMcT0016009.2	FhHiC23_g245.t2, FhHiC23_g245.t1
OG0001337	h1SMcT0020191.2, h1SMcT0020191.3	FhHiC23_g719.t1, FhHiC23_g719.t2
OG0001338	h1SMcT0018658.1	FhHiC23_g4737.t1
OG0001339	h1SMcT0002690.1, h1SMcT0015947.1	FhHiC23_g11824.t1, FhHiC23_g11824.t2, FhHiC23_g13224.t1
OG0001340	h1SMcT0011216.1, h1SMcT0004389.1, h1SMcT0009566.1	FhHiC23_g13480.t1
OG0001341	h1SMcT0020805.1, h1SMcT0020805.2	FhHiC23_g3143.t1
OG0001342	h1SMcT0005522.1, h1SMcT0005522.2	FhHiC23_g2119.t2, FhHiC23_g2119.t1, FhHiC23_g2119.t3
OG0001343	h1SMcT0018098.1, h1SMcT0018098.2	FhHiC23_g2823.t1, FhHiC23_g2823.t2
OG0001344	h1SMcT0021290.3, h1SMcT0021290.2, h1SMcT0021290.1	FhHiC23_g2301.t2, FhHiC23_g2301.t1
OG0001345	h1SMcT0011034.1	FhHiC23_g13897.t1
OG0001346	h1SMcT0002771.1	FhHiC23_g10664.t1
OG0001347	h1SMcT0002843.1, h1SMcT0021499.1, h1SMcT0009062.1, h1SMcT0009062.2	FhHiC23_g5010.t1
OG0001348	h1SMcT0017386.1	FhHiC23_g14004.t1, FhHiC23_g14004.t2
OG0001350	h1SMcT0012766.1	FhHiC23_g5111.t2, FhHiC23_g5111.t3, FhHiC23_g5111.t1, FhHiC23_g5111.t4
OG0001351	h1SMcT0016400.1	FhHiC23_g10370.t1, FhHiC23_g10370.t2
OG0001352	h1SMcT0014873.1	FhHiC23_g10388.t1, FhHiC23_g10387.t1
OG0001353	h1SMcT0012767.1, h1SMcT0012767.2, h1SMcT0012767.3	FhHiC23_g8363.t2, FhHiC23_g8363.t1
OG0001354	h1SMcT0022605.7, h1SMcT0022605.8	FhHiC23_g8269.t1
OG0001355	h1SMcT0000220.1, h1SMcT0008525.1	FhHiC23_g8074.t1, FhHiC23_g8074.t2
OG0001356	h1SMcT0018208.1, h1SMcT0018208.2, h1SMcT0018207.1, h1SMcT0018207.2, h1SMcT0018209.1, h1SMcT0018209.3, h1SMcT0018209.2, h1SMcT0018209.4	FhHiC23_g3092.t1, FhHiC23_g3092.t2
OG0001357	h1SMcT0020209.2, h1SMcT0020209.1, h1SMcT0020209.3, h1SMcT0020209.4	FhHiC23_g5720.t1
OG0001361	h1SMcT0011919.3, h1SMcT0011920.1, h1SMcT0011920.2	FhHiC23_g5345.t1, FhHiC23_g5345.t2
OG0001362	h1SMcT0004079.1, h1SMcT0004079.2, h1SMcT0004079.3	FhHiC23_g5743.t1, FhHiC23_g5743.t2, FhHiC23_g4766.t1, FhHiC23_g4766.t2
OG0001363	h1SMcT0003403.2, h1SMcT0003403.1, h1SMcT0003403.3	FhHiC23_g9430.t3, FhHiC23_g9430.t1, FhHiC23_g9430.t2
OG0001365	h1SMcT0013398.1, h1SMcT0009843.1, h1SMcT0009843.2	FhHiC23_g2334.t1
OG0001366	h1SMcT0005416.1	FhHiC23_g1816.t1
OG0001367	h1SMcT0020791.1, h1SMcT0020791.2, h1SMcT0020791.3	FhHiC23_g9014.t1, FhHiC23_g9014.t2
OG0001368	h1SMcT0007219.1, h1SMcT0007219.2	FhHiC23_g11032.t2, FhHiC23_g11032.t1
OG0001369	h1SMcT0004874.1, h1SMcT0021558.1	FhHiC23_g16217.t1, FhHiC23_g16217.t2
OG0001370	h1SMcT0012351.1	FhHiC23_g6835.t1, FhHiC23_g6835.t2
OG0001372	h1SMcT0022409.1, h1SMcT0022409.2, h1SMcT0022409.3	FhHiC23_g6266.t1, FhHiC23_g6266.t2
OG0001373	h1SMcT0004472.1, h1SMcT0019677.1	FhHiC23_g12593.t1
OG0001374	h1SMcT0008293.1	FhHiC23_g7112.t2, FhHiC23_g7112.t1
OG0001376	h1SMcT0018401.3, h1SMcT0018401.1, h1SMcT0018401.2	FhHiC23_g16384.t1
OG0001377	h1SMcT0012062.1	FhHiC23_g7402.t1
OG0001378	h1SMcT0006123.1, h1SMcT0006124.1, h1SMcT0006124.2	FhHiC23_g12022.t1, FhHiC23_g12033.t1, FhHiC23_g12033.t2
OG0001380	h1SMcT0010298.1, h1SMcT0000997.1, h1SMcT0001958.1	FhHiC23_g7532.t1, FhHiC23_g7532.t2, FhHiC23_g7532.t3
OG0001381	h1SMcT0019156.1, h1SMcT0019156.2	FhHiC23_g3401.t1
OG0001382	h1SMcT0022036.1	FhHiC23_g10031.t1
OG0001384	h1SMcT0003357.1, h1SMcT0003357.3, h1SMcT0003357.2, h1SMcT0003357.4	FhHiC23_g4351.t1
OG0001386	h1SMcT0010924.1	FhHiC23_g14392.t2, FhHiC23_g14392.t1
OG0001387	h1SMcT0000825.1, h1SMcT0000825.2	FhHiC23_g4367.t1, FhHiC23_g4367.t2, FhHiC23_g4367.t3
OG0001388	h1SMcT0006833.1, h1SMcT0017750.1, h1SMcT0022433.3, h1SMcT0015279.1, h1SMcT0015279.2	FhHiC23_g13329.t3, FhHiC23_g13329.t1, FhHiC23_g13329.t2
OG0001389	h1SMcT0009254.1	FhHiC23_g1788.t1, FhHiC23_g1788.t2
OG0001390	h1SMcT0021858.1, h1SMcT0021858.2, h1SMcT0007437.1, h1SMcT0007437.3, h1SMcT0007437.4, h1SMcT0007437.5, h1SMcT0007437.2	FhHiC23_g5805.t2, FhHiC23_g5805.t1
OG0001391	h1SMcT0002003.1, h1SMcT0002003.3, h1SMcT0002003.2	FhHiC23_g5101.t1
OG0001392	h1SMcT0008339.1	FhHiC23_g10746.t1
OG0001393	h1SMcT0012506.2, h1SMcT0012506.3, h1SMcT0022095.1, h1SMcT0022095.2, h1SMcT0000493.1, h1SMcT0002077.2, h1SMcT0002077.1, h1SMcT0002077.3, h1SMcT0002077.4	FhHiC23_g10795.t1
OG0001394	h1SMcT0010708.1, h1SMcT0010708.2	FhHiC23_g2698.t1, FhHiC23_g2698.t2, FhHiC23_g2699.t1
OG0001395	h1SMcT0006647.1	FhHiC23_g16128.t1
OG0001395	h1SMcT0008076.1	FhHiC23_g9586.t1
OG0001396	h1SMcT0004127.1	FhHiC23_g187.t1
OG0001397	h1SMcT0002899.1, h1SMcT0002899.2	FhHiC23_g4526.t1, FhHiC23_g4526.t2
OG0001398	h1SMcT0001714.1	FhHiC23_g10851.t1
OG0001400	h1SMcT0014473.1, h1SMcT0014473.3, h1SMcT0014473.2, h1SMcT0014473.5, h1SMcT0014473.4	FhHiC23_g4080.t1, FhHiC23_g4081.t1, FhHiC23_g4081.t2, FhHiC23_g4081.t3
OG0001401	h1SMcT0022641.2, h1SMcT0001222.1, h1SMcT0001222.4, h1SMcT0001222.2, h1SMcT0001222.3	FhHiC23_g828.t2, FhHiC23_g828.t1, FhHiC23_g828.t5
OG0001402	h1SMcT0019178.1, h1SMcT0019178.3, h1SMcT0019178.4, h1SMcT0019178.2	FhHiC23_g6085.t1
OG0001403	h1SMcT0007120.1, h1SMcT0007120.2, h1SMcT0007120.3	FhHiC23_g1769.t1
OG0001405	h1SMcT0000742.1, h1SMcT0000742.2	FhHiC23_g6114.t1, FhHiC23_g6115.t1
OG0001406	h1SMcT0021725.1, h1SMcT0021725.2	FhHiC23_g4884.t1
OG0001409	h1SMcT0009465.3, h1SMcT0009465.1, h1SMcT0009465.2	FhHiC23_g1925.t1
OG0001410	h1SMcT0019018.1	FhHiC23_g5100.t1, FhHiC23_g5099.t1
OG0001411	h1SMcT0011117.1, h1SMcT0022547.1, h1SMcT0022547.2	FhHiC23_g5572.t1
OG0001412	h1SMcT0014908.1, h1SMcT0014908.2	FhHiC23_g6153.t2, FhHiC23_g6153.t1, FhHiC23_g6153.t3
OG0001413	h1SMcT0003405.1, h1SMcT0003405.3, h1SMcT0003405.4, h1SMcT0003405.2, h1SMcT0003404.1, h1SMcT0003404.2, h1SMcT0003406.1, h1SMcT0003406.2, h1SMcT0003406.3	FhHiC23_g9425.t1
OG0001414	h1SMcT0008397.1	FhHiC23_g13502.t1, FhHiC23_g13501.t1, FhHiC23_g13501.t2
OG0001416	h1SMcT0021647.1, h1SMcT0021647.2	FhHiC23_g11391.t2, FhHiC23_g11391.t3, FhHiC23_g11391.t1, FhHiC23_g11391.t4
OG0001417	h1SMcT0016160.1, h1SMcT0016160.4, h1SMcT0016160.3, h1SMcT0016160.2	FhHiC23_g11440.t1
OG0001418	h1SMcT0004450.1, h1SMcT0004450.2	FhHiC23_g13330.t1
OG0001419	h1SMcT0002437.1, h1SMcT0002437.2, h1SMcT0002437.3	FhHiC23_g8598.t1, FhHiC23_g8598.t2, FhHiC23_g8603.t4, FhHiC23_g8603.t1, FhHiC23_g8603.t3, FhHiC23_g8603.t2
OG0001420	h1SMcT0020804.12, h1SMcT0020804.4, h1SMcT0020804.1, h1SMcT0020804.11, h1SMcT0020804.6, h1SMcT0020804.5, h1SMcT0020804.9, h1SMcT0020804.10, h1SMcT0020804.8, h1SMcT0020804.3, h1SMcT0020804.2	FhHiC23_g3762.t1
OG0001421	h1SMcT0007958.1	FhHiC23_g5327.t1
OG0001422	h1SMcT0012836.1	FhHiC23_g3036.t1
OG0001423	h1SMcT0004431.1, h1SMcT0004431.2, h1SMcT0004431.3	FhHiC23_g11266.t1
OG0001424	h1SMcT0013501.1, h1SMcT0013501.2	FhHiC23_g12739.t1
OG0001425	h1SMcT0007005.1	FhHiC23_g9584.t1
OG0001426	h1SMcT0000701.1, h1SMcT0000701.2	FhHiC23_g13004.t1, FhHiC23_g13002.t1, FhHiC23_g13002.t2
OG0001427	h1SMcT0001796.1	FhHiC23_g10228.t1
OG0001430	h1SMcT0009661.1, h1SMcT0014547.1, h1SMcT0014549.2, h1SMcT0014549.1, h1SMcT0014549.3, h1SMcT0014548.1	FhHiC23_g856.t2, FhHiC23_g857.t1, FhHiC23_g856.t1
OG0001431	h1SMcT0006849.3, h1SMcT0006849.1, h1SMcT0006849.2	FhHiC23_g6856.t1
OG0001432	h1SMcT0010146.1	FhHiC23_g14952.t1
OG0001434	h1SMcT0009357.1	FhHiC23_g9169.t1
OG0001435	h1SMcT0009597.1, h1SMcT0000164.1, h1SMcT0000164.3, h1SMcT0000164.2	FhHiC23_g2755.t1, FhHiC23_g2758.t1, FhHiC23_g2759.t1, FhHiC23_g2756.t1
OG0001436	h1SMcT0017995.4, h1SMcT0017995.5, h1SMcT0017995.1, h1SMcT0017995.2, h1SMcT0017995.3	FhHiC23_g2628.t1
OG0001438	h1SMcT0018374.1, h1SMcT0018374.2, h1SMcT0018374.3	FhHiC23_g15142.t1, FhHiC23_g15142.t2
OG0001440	h1SMcT0013788.2, h1SMcT0013788.3, h1SMcT0013788.1	FhHiC23_g4873.t1, FhHiC23_g4873.t2
OG0001441	h1SMcT0002761.1	FhHiC23_g16517.t1, FhHiC23_g16517.t2
OG0001442	h1SMcT0005223.3, h1SMcT0005223.1, h1SMcT0005223.2	FhHiC23_g8021.t1
OG0001444	h1SMcT0006915.1, h1SMcT0006915.2, h1SMcT0006915.3, h1SMcT0006915.4	FhHiC23_g1367.t1, FhHiC23_g1367.t2
OG0001454	h1SMcT0000780.1	FhHiC23_g3968.t1
OG0001455	h1SMcT0007602.1	FhHiC23_g9682.t1, FhHiC23_g9682.t2, FhHiC23_g13273.t1
OG0001456	h1SMcT0019184.1	FhHiC23_g6816.t1, FhHiC23_g6813.t3, FhHiC23_g6813.t1, FhHiC23_g6813.t2
OG0001457	h1SMcT0009495.2, h1SMcT0009495.1, h1SMcT0009495.3	FhHiC23_g12305.t1
OG0001458	h1SMcT0005935.1, h1SMcT0012577.1, h1SMcT0012577.2	FhHiC23_g5592.t1
OG0001459	h1SMcT0008943.1, h1SMcT0008943.2, h1SMcT0005464.4, h1SMcT0005464.2, h1SMcT0005464.1, h1SMcT0005464.3	FhHiC23_g7568.t1, FhHiC23_g7568.t2
OG0001460	h1SMcT0015241.1	FhHiC23_g6434.t1
OG0001461	h1SMcT0018386.1	FhHiC23_g5883.t1
OG0001462	h1SMcT0022524.1	FhHiC23_g7233.t1
OG0001463	h1SMcT0008338.1, h1SMcT0008338.2	FhHiC23_g8194.t2, FhHiC23_g8194.t3, FhHiC23_g8194.t4, FhHiC23_g8194.t1
OG0001464	h1SMcT0009630.5, h1SMcT0009630.6, h1SMcT0009630.8, h1SMcT0009630.7, h1SMcT0009630.4, h1SMcT0009630.2	FhHiC23_g1808.t1
OG0001465	h1SMcT0014154.1	FhHiC23_g3278.t2, FhHiC23_g3278.t1
OG0001466	h1SMcT0016902.1	FhHiC23_g12766.t1
OG0001467	h1SMcT0008460.1, h1SMcT0008460.2, h1SMcT0020856.1, h1SMcT0020855.2, h1SMcT0020855.4, h1SMcT0020855.1, h1SMcT0020855.3	FhHiC23_g6750.t1
OG0001468	h1SMcT0010099.1, h1SMcT0014322.1	FhHiC23_g12896.t1
OG0001469	h1SMcT0021871.2, h1SMcT0021871.1, h1SMcT0021871.3	FhHiC23_g4110.t1, FhHiC23_g4110.t2
OG0001470	h1SMcT0014172.1, h1SMcT0014172.2, h1SMcT0014172.3, h1SMcT0014172.4	FhHiC23_g8460.t1, FhHiC23_g8460.t2
OG0001472	h1SMcT0007921.1, h1SMcT0007921.2, h1SMcT0007921.3, h1SMcT0007921.4	FhHiC23_g7062.t1
OG0001473	h1SMcT0013163.1, h1SMcT0013166.1, h1SMcT0013166.2, h1SMcT0013177.1, h1SMcT0013178.1, h1SMcT0013179.1	FhHiC23_g2892.t1
OG0001475	h1SMcT0021270.1	FhHiC23_g2345.t1, FhHiC23_g2345.t2
OG0001476	h1SMcT0019733.2, h1SMcT0019733.3, h1SMcT0019733.4, h1SMcT0019733.1, h1SMcT0019733.5	FhHiC23_g10867.t1, FhHiC23_g10867.t2, FhHiC23_g10867.t3
OG0001479	h1SMcT0009862.1, h1SMcT0009862.2	FhHiC23_g11099.t1
OG0001481	h1SMcT0015903.1, h1SMcT0021086.1, h1SMcT0021086.2, h1SMcT0016775.1	FhHiC23_g2018.t1
OG0001482	h1SMcT0012176.1, h1SMcT0012176.2	FhHiC23_g16101.t2, FhHiC23_g16101.t1
OG0001483	h1SMcT0000736.1, h1SMcT0000736.3, h1SMcT0000736.5, h1SMcT0000736.2, h1SMcT0000736.4	FhHiC23_g2273.t1, FhHiC23_g2272.t1, FhHiC23_g2272.t2
OG0001485	h1SMcT0011857.3, h1SMcT0011857.2, h1SMcT0011857.1, h1SMcT0000533.1, h1SMcT0018805.1	FhHiC23_g5003.t1, FhHiC23_g5003.t2, FhHiC23_g5003.t3
OG0001486	h1SMcT0010412.2, h1SMcT0010412.1, h1SMcT0010412.3	FhHiC23_g844.t1
OG0001488	h1SMcT0022047.1, h1SMcT0022047.2	FhHiC23_g10417.t2, FhHiC23_g10417.t1, FhHiC23_g9032.t1
OG0001489	h1SMcT0021635.1, h1SMcT0021635.5, h1SMcT0021635.2, h1SMcT0021635.3, h1SMcT0021635.4	FhHiC23_g8019.t1, FhHiC23_g8992.t1, FhHiC23_g8992.t2
OG0001490	h1SMcT0014203.3, h1SMcT0014203.5, h1SMcT0014203.4, h1SMcT0014203.6, h1SMcT0014203.7, h1SMcT0014203.1, h1SMcT0014203.2	FhHiC23_g5059.t1, FhHiC23_g5059.t2
OG0001492	h1SMcT0003534.1	FhHiC23_g1298.t1
OG0001493	h1SMcT0019791.1, h1SMcT0019791.2	FhHiC23_g645.t4, FhHiC23_g645.t1, FhHiC23_g645.t3, FhHiC23_g645.t2
OG0001494	h1SMcT0017253.1, h1SMcT0017253.2	FhHiC23_g8971.t1
OG0001496	h1SMcT0003218.1	FhHiC23_g3123.t1, FhHiC23_g3123.t2
OG0001497	h1SMcT0017554.1	FhHiC23_g5116.t1
OG0001498	h1SMcT0022452.1, h1SMcT0022452.4, h1SMcT0022452.2, h1SMcT0022452.3	FhHiC23_g14305.t1
OG0001500	h1SMcT0007630.1	FhHiC23_g8038.t1
OG0001502	h1SMcT0021616.1, h1SMcT0021616.3, h1SMcT0021616.2, h1SMcT0021616.4	FhHiC23_g12577.t1, FhHiC23_g12577.t2
OG0001503	h1SMcT0011287.1, h1SMcT0011287.2	FhHiC23_g2197.t2, FhHiC23_g2197.t1
OG0001504	h1SMcT0007770.1	FhHiC23_g7681.t1, FhHiC23_g7681.t2
OG0001505	h1SMcT0006436.1, h1SMcT0006436.2	FhHiC23_g9347.t1, FhHiC23_g9348.t2, FhHiC23_g9348.t1
OG0001506	h1SMcT0021094.1, h1SMcT0004396.1, h1SMcT0004396.2, h1SMcT0004396.3	FhHiC23_g13479.t2, FhHiC23_g13479.t1
OG0001508	h1SMcT0019286.1	FhHiC23_g5670.t1
OG0001509	h1SMcT0013921.1, h1SMcT0013921.3	FhHiC23_g3208.t1, FhHiC23_g3208.t2, FhHiC23_g3208.t3, FhHiC23_g3212.t1, FhHiC23_g10116.t1, FhHiC23_g10116.t2, FhHiC23_g2481.t1
OG0001511	h1SMcT0004279.1	FhHiC23_g5181.t1, FhHiC23_g5181.t2
OG0001512	h1SMcT0017028.1	FhHiC23_g2267.t1, FhHiC23_g2266.t1
OG0001513	h1SMcT0018540.1, h1SMcT0018540.2, h1SMcT0018540.3	FhHiC23_g11986.t2, FhHiC23_g11986.t3, FhHiC23_g11986.t1
OG0001514	h1SMcT0020380.2, h1SMcT0020380.3, h1SMcT0020380.1	FhHiC23_g13825.t1
OG0001515	h1SMcT0000870.1, h1SMcT0010058.1, h1SMcT0010058.2	FhHiC23_g13039.t1
OG0001516	h1SMcT0021462.1, h1SMcT0022718.1	FhHiC23_g15356.t1, FhHiC23_g15141.t1, FhHiC23_g9122.t1
OG0001517	h1SMcT0010241.1	FhHiC23_g10302.t1
OG0001518	h1SMcT0019738.1	FhHiC23_g5532.t1, FhHiC23_g5531.t1, FhHiC23_g3118.t1
OG0001519	h1SMcT0014015.1, h1SMcT0014015.2, h1SMcT0014015.3, h1SMcT0014015.4	FhHiC23_g339.t1
OG0001522	h1SMcT0011111.1	FhHiC23_g12303.t1
OG0001523	h1SMcT0010801.1	FhHiC23_g487.t1, FhHiC23_g487.t3
OG0001524	h1SMcT0015153.1	FhHiC23_g3887.t1, FhHiC23_g3887.t2
OG0001526	h1SMcT0012889.1, h1SMcT0012890.2, h1SMcT0012890.1, h1SMcT0012890.3	FhHiC23_g566.t1
OG0001527	h1SMcT0010521.1, h1SMcT0010521.2	FhHiC23_g16415.t3, FhHiC23_g16415.t1, FhHiC23_g16415.t2
OG0001529	h1SMcT0021637.1	FhHiC23_g8092.t1
OG0001530	h1SMcT0003859.1, h1SMcT0003859.2	FhHiC23_g1028.t2, FhHiC23_g1028.t1
OG0001531	h1SMcT0004453.2, h1SMcT0004453.5, h1SMcT0004453.6, h1SMcT0004453.1, h1SMcT0004453.3, h1SMcT0004453.4	FhHiC23_g10843.t1, FhHiC23_g10843.t2
OG0001533	h1SMcT0004368.1, h1SMcT0004368.2	FhHiC23_g7289.t1
OG0001534	h1SMcT0007642.1	FhHiC23_g2613.t1
OG0001535	h1SMcT0021900.1, h1SMcT0021900.2	FhHiC23_g16637.t2, FhHiC23_g16637.t1
OG0001536	h1SMcT0015301.1	FhHiC23_g14994.t3
OG0001537	h1SMcT0013792.1, h1SMcT0013792.2	FhHiC23_g13557.t1
OG0001538	h1SMcT0014530.1, h1SMcT0015324.1	FhHiC23_g4365.t1
OG0001539	h1SMcT0017958.1, h1SMcT0017958.2, h1SMcT0017958.3	FhHiC23_g13424.t1
OG0001540	h1SMcT0006384.1, h1SMcT0006384.2	FhHiC23_g4861.t2, FhHiC23_g4861.t3
OG0001541	h1SMcT0004722.1	FhHiC23_g12948.t1, FhHiC23_g3488.t1
OG0001542	h1SMcT0015832.1, h1SMcT0015832.2, h1SMcT0015832.3, h1SMcT0015832.4, h1SMcT0015832.5	FhHiC23_g1758.t1, FhHiC23_g1758.t2
OG0001554	h1SMcT0018465.1, h1SMcT0021740.1, h1SMcT0021740.2	FhHiC23_g15434.t1
OG0001554	h1SMcT0008486.1, h1SMcT0003478.1, h1SMcT0003500.1, h1SMcT0017344.1, h1SMcT0008950.1, h1SMcT0007092.1, h1SMcT0023035.1, h1SMcT0007094.1, h1SMcT0007094.2, h1SMcT0007093.1, h1SMcT0007095.1, h1SMcT0000396.1, h1SMcT0000426.1, h1SMcT0000426.2, h1SMcT0001582.1, h1SMcT0002457.1, h1SMcT0016082.1	FhHiC23_g4717.t1, FhHiC23_g4716.t1
OG0001555	h1SMcT0010539.1	FhHiC23_g595.t1, FhHiC23_g596.t1, FhHiC23_g596.t2, FhHiC23_g598.t1, FhHiC23_g597.t1
OG0001556	h1SMcT0018243.1, h1SMcT0018243.2, h1SMcT0018243.3, h1SMcT0018243.4, h1SMcT0018243.5	FhHiC23_g6026.t1, FhHiC23_g6026.t2, FhHiC23_g6026.t3
OG0001557	h1SMcT0009780.1, h1SMcT0009780.2	FhHiC23_g5467.t1
OG0001558	h1SMcT0003178.1, h1SMcT0003178.2	FhHiC23_g2651.t1, FhHiC23_g8901.t1
OG0001559	h1SMcT0008495.1	FhHiC23_g1238.t1
OG0001560	h1SMcT0012518.1, h1SMcT0012518.2	FhHiC23_g8195.t1
OG0001561	h1SMcT0013876.1	FhHiC23_g649.t1
OG0001562	h1SMcT0020801.1	FhHiC23_g8890.t1, FhHiC23_g8890.t2
OG0001563	h1SMcT0019159.1, h1SMcT0019159.2	FhHiC23_g14079.t1, FhHiC23_g14079.t2
OG0001564	h1SMcT0006456.1	FhHiC23_g3186.t1, FhHiC23_g3329.t1
OG0001565	h1SMcT0016970.1, h1SMcT0021524.1	FhHiC23_g7080.t1
OG0001566	h1SMcT0020748.1, h1SMcT0020748.2, h1SMcT0020748.3, h1SMcT0020750.1	FhHiC23_g12902.t1
OG0001566	h1SMcT0009524.1	FhHiC23_g7162.t1, FhHiC23_g10743.t1
OG0001567	h1SMcT0018183.1	FhHiC23_g2573.t1
OG0001570	h1SMcT0018002.5, h1SMcT0018002.2, h1SMcT0018002.7, h1SMcT0018002.4, h1SMcT0018002.9, h1SMcT0018002.12, h1SMcT0018002.13, h1SMcT0018002.11, h1SMcT0018002.8	FhHiC23_g288.t1, FhHiC23_g288.t2
OG0001571	h1SMcT0018536.1, h1SMcT0022616.1, h1SMcT0011762.1, h1SMcT0015483.1, h1SMcT0016767.1, h1SMcT0015482.1, h1SMcT0016538.1, h1SMcT0014564.1	FhHiC23_g12576.t1, FhHiC23_g11623.t1
OG0001572	h1SMcT0002800.1, h1SMcT0002800.2	FhHiC23_g6744.t1
OG0001574	h1SMcT0016307.1, h1SMcT0016307.2	FhHiC23_g5418.t2, FhHiC23_g5418.t1, FhHiC23_g5418.t3
OG0001575	h1SMcT0006105.3, h1SMcT0006105.1, h1SMcT0006105.2	FhHiC23_g11921.t1, FhHiC23_g11921.t2, FhHiC23_g11921.t3
OG0001576	h1SMcT0006666.2, h1SMcT0006666.1, h1SMcT0006666.3, h1SMcT0003104.2, h1SMcT0003104.3, h1SMcT0003104.1, h1SMcT0003104.5, h1SMcT0001180.1, h1SMcT0001180.2	FhHiC23_g15971.t1, FhHiC23_g15971.t2
OG0001577	h1SMcT0014297.1, h1SMcT0014297.2, h1SMcT0006524.2, h1SMcT0006524.5, h1SMcT0006524.3, h1SMcT0006524.6, h1SMcT0006524.1, h1SMcT0006524.4, h1SMcT0006517.1, h1SMcT0006523.1, h1SMcT0006523.3, h1SMcT0006523.2	FhHiC23_g4634.t1
OG0001578	h1SMcT0003020.4, h1SMcT0003020.3, h1SMcT0003020.5, h1SMcT0003020.6	FhHiC23_g396.t1, FhHiC23_g396.t2
OG0001579	h1SMcT0010551.1	FhHiC23_g15013.t1
OG0001580	h1SMcT0021337.1, h1SMcT0021337.2	FhHiC23_g14523.t1
OG0001581	h1SMcT0008604.4, h1SMcT0008604.7, h1SMcT0008604.3, h1SMcT0008604.2, h1SMcT0008604.1, h1SMcT0008604.5	FhHiC23_g2765.t1, FhHiC23_g2765.t2, FhHiC23_g2765.t3
OG0001582	h1SMcT0013798.1, h1SMcT0013798.2	FhHiC23_g986.t1
OG0001588	h1SMcT0012021.1, h1SMcT0012021.2, h1SMcT0014683.1	FhHiC23_g7234.t1
OG0001589	h1SMcT0018334.3, h1SMcT0018334.1, h1SMcT0018334.2	FhHiC23_g6369.t1
OG0001590	h1SMcT0016705.1, h1SMcT0016705.2	FhHiC23_g2214.t1
OG0001592	h1SMcT0016376.1, h1SMcT0016376.2	FhHiC23_g15318.t1
OG0001593	h1SMcT0014525.1	FhHiC23_g8485.t1
OG0001595	h1SMcT0004004.1, h1SMcT0011696.3	FhHiC23_g7385.t1
OG0001596	h1SMcT0020657.1, h1SMcT0020657.2	FhHiC23_g2736.t1
OG0001597	h1SMcT0005317.1, h1SMcT0005317.2, h1SMcT0005317.4, h1SMcT0005317.3	FhHiC23_g3057.t1, FhHiC23_g3057.t2, FhHiC23_g3056.t1
OG0001598	h1SMcT0017652.1	FhHiC23_g1999.t1
OG0001599	h1SMcT0006535.1, h1SMcT0006580.1	FhHiC23_g1348.t1, FhHiC23_g1348.t2
OG0001600	h1SMcT0001572.1, h1SMcT0001572.2	FhHiC23_g6351.t1, FhHiC23_g6351.t2
OG0001601	h1SMcT0006626.1	FhHiC23_g7994.t1, FhHiC23_g7994.t2
OG0001602	h1SMcT0005102.1, h1SMcT0005102.2	FhHiC23_g12416.t1
OG0001602	h1SMcT0012475.2, h1SMcT0012475.3, h1SMcT0012475.4, h1SMcT0000699.4, h1SMcT0000699.2, h1SMcT0000699.1, h1SMcT0000699.3, h1SMcT0000699.5, h1SMcT0006969.1, h1SMcT0019456.1	FhHiC23_g11552.t1
OG0001606	h1SMcT0004111.2, h1SMcT0004111.3, h1SMcT0004111.1	FhHiC23_g10377.t3, FhHiC23_g10377.t1, FhHiC23_g10377.t2
OG0001607	h1SMcT0001333.2, h1SMcT0001333.1, h1SMcT0001333.3	FhHiC23_g921.t1
OG0001608	h1SMcT0019002.1	FhHiC23_g2350.t1
OG0001609	h1SMcT0021762.3, h1SMcT0021762.2, h1SMcT0021762.1, h1SMcT0021762.4	FhHiC23_g2451.t2, FhHiC23_g2451.t1
OG0001610	h1SMcT0005810.1, h1SMcT0005810.2	FhHiC23_g9969.t1, FhHiC23_g9969.t2
OG0001610	h1SMcT0001133.1, h1SMcT0001133.2, h1SMcT0012922.1	FhHiC23_g9262.t1, FhHiC23_g14166.t1
OG0001611	h1SMcT0013941.1, h1SMcT0013941.2, h1SMcT0013941.3	FhHiC23_g8025.t1
OG0001612	h1SMcT0001592.1, h1SMcT0004919.1, h1SMcT0001590.1, h1SMcT0001590.2, h1SMcT0001590.3	FhHiC23_g12510.t1, FhHiC23_g12510.t2
OG0001613	h1SMcT0006904.1, h1SMcT0006904.2, h1SMcT0019166.1, h1SMcT0006559.1, h1SMcT0019019.1, h1SMcT0009343.1, h1SMcT0009343.2, h1SMcT0015213.1, h1SMcT0003392.1, h1SMcT0007271.1	FhHiC23_g410.t1, FhHiC23_g410.t2
OG0001614	h1SMcT0018858.1, h1SMcT0018858.2	FhHiC23_g5493.t1, FhHiC23_g5495.t1
OG0001615	h1SMcT0021119.1	FhHiC23_g5496.t1
