Orthogroup	trichobilharzia_regenti	schistosoma_japonicum
OG0001021	TREG1_46040.1	EWB00_007945.1, EWB00_007945.2
OG0001022	TREG1_29840.1	EWB00_006135
OG0001023	TREG1_84510.4, TREG1_84510.6, TREG1_84510.7, TREG1_84510.3, TREG1_84510.2, TREG1_84510.5, TREG1_84510.8, TREG1_84510.9, TREG1_84510.1	EWB00_003959
OG0001025	TREG1_122950.1	EWB00_003052.1, EWB00_003052.3, EWB00_003052.2
OG0001026	TREG1_66140.1, TREG1_66140.2, TREG1_66140.3, TREG1_66140.4, TREG1_66140.5, TREG1_66140.6, TREG1_66140.7, TREG1_66140.8, TREG1_66140.9	EWB00_007606.1, EWB00_007606.2
OG0001027	TREG1_13300.1, TREG1_13300.2, TREG1_13300.3, TREG1_13300.4	EWB00_005674.1, EWB00_005674.2, EWB00_005674.3, EWB00_005674.4
OG0001028	TREG1_73350.1	EWB00_003804.4, EWB00_003804.1, EWB00_003804.3, EWB00_003804.5, EWB00_003804.2
OG0001029	TREG1_66080.1	EWB00_003609.1, EWB00_003609.2
OG0001030	TREG1_50180.5, TREG1_50180.2, TREG1_50180.4, TREG1_50180.1, TREG1_50180.3	EWB00_003286.1, EWB00_003286.2
OG0001031	TREG1_99640.1, TREG1_99640.2, TREG1_99640.3, TREG1_99640.5, TREG1_99640.4	EWB00_008134
OG0001032	TREG1_81040.1, TREG1_81040.2, TREG1_81040.3, TREG1_81040.4, TREG1_81040.5	EWB00_004704.1, EWB00_004704.2, EWB00_004704.3
OG0001033	TREG1_102120.4, TREG1_102120.1, TREG1_102120.2, TREG1_102120.3, TREG1_102120.5, TREG1_102120.7, TREG1_102120.6	EWB00_002756.1, EWB00_002756.2
OG0001034	TREG1_69000.1, TREG1_69000.2, TREG1_68980.1, TREG1_68980.3, TREG1_68980.2	EWB00_001199.1, EWB00_001199.2
OG0001035	TREG1_97970.1, TREG1_97950.1, TREG1_97960.1, TREG1_97940.1, TREG1_68060.1, TREG1_68010.1, TREG1_68010.2, TREG1_68030.2, TREG1_68040.1, TREG1_68070.1, TREG1_68080.1	EWB00_002168
OG0001036	TREG1_10660.1, TREG1_141240.1	EWB00_006516
OG0001037	TREG1_24800.1	EWB00_006132
OG0001038	TREG1_4720.1	EWB00_005626.1, EWB00_005626.2
OG0001039	TREG1_36430.5, TREG1_36430.1, TREG1_36430.2, TREG1_36430.3, TREG1_36430.4, TREG1_36430.6	EWB00_001147.1, EWB00_001147.2
OG0001040	TREG1_113230.1	EWB00_000155
OG0001041	TREG1_133070.1, TREG1_133070.2	EWB00_003034
OG0001042	TREG1_15200.1, TREG1_15200.2	EWB00_002194.6, EWB00_002194.2, EWB00_002194.1, EWB00_002194.3, EWB00_002194.4, EWB00_002194.5
OG0001043	TREG1_68290.2, TREG1_68290.1, TREG1_68290.3, TREG1_68290.5, TREG1_68290.4	EWB00_010705
OG0001044	TREG1_91350.5, TREG1_91350.1, TREG1_91350.2, TREG1_91350.3, TREG1_91350.4	EWB00_005778
OG0001045	TREG1_82360.1	EWB00_009843
OG0001047	TREG1_135400.1, TREG1_135390.1	EWB00_006678
OG0001048	TREG1_102260.1	EWB00_007395.2, EWB00_007395.1, EWB00_007395.3
OG0001049	TREG1_70420.3, TREG1_70420.1, TREG1_70420.2	EWB00_002207
OG0001050	TREG1_83100.2, TREG1_83100.1, TREG1_83100.3	EWB00_007741
OG0001051	TREG1_121140.1	EWB00_000734
OG0001052	TREG1_70330.2, TREG1_70330.5, TREG1_70330.4, TREG1_70330.3	EWB00_002209.4, EWB00_002209.1, EWB00_002209.3
OG0001052	TREG1_70330.1	EWB00_002209.2
OG0001054	TREG1_26940.1, TREG1_26980.1	EWB00_008451.1, EWB00_008451.2
OG0001055	TREG1_37090.3, TREG1_37090.6, TREG1_37090.4, TREG1_37090.1, TREG1_37090.2, TREG1_37090.5, TREG1_37090.7	EWB00_009534.1, EWB00_009534.3, EWB00_009534.2, EWB00_009534.4
OG0001056	TREG1_79250.1	EWB00_010129, EWB00_005571
OG0001057	TREG1_120900.1, TREG1_120900.2	EWB00_005060.1, EWB00_005060.2, EWB00_005060.4, EWB00_005060.3
OG0001058	TREG1_12600.1, TREG1_83760.1, TREG1_48610.1, TREG1_83770.1	EWB00_011337
OG0001059	TREG1_9070.1, TREG1_9070.2	EWB00_000080.1, EWB00_000080.3, EWB00_000080.2
OG0001060	TREG1_83300.1	EWB00_010427.1, EWB00_010427.2
OG0001061	TREG1_25500.1	EWB00_005550, EWB00_005551, EWB00_011072
OG0001062	TREG1_65060.1, TREG1_119680.1, TREG1_64140.3, TREG1_64140.1, TREG1_64140.2	EWB00_004749
OG0001063	TREG1_110090.1, TREG1_110070.1, TREG1_110070.2, TREG1_137230.1, TREG1_110080.1	EWB00_004479
OG0001063	TREG1_137240.1	EWB00_004477, EWB00_004481
OG0001064	TREG1_69110.1, TREG1_69110.2, TREG1_69110.3, TREG1_69110.4, TREG1_69110.5, TREG1_69110.6, TREG1_69110.7, TREG1_69060.3, TREG1_69060.1, TREG1_69060.2, TREG1_69060.4, TREG1_69070.1, TREG1_23680.1, TREG1_23630.1, TREG1_23630.2, TREG1_138280.1, TREG1_20610.1, TREG1_23620.1, TREG1_23640.1, TREG1_23660.1, TREG1_23670.1	EWB00_010816.1, EWB00_010816.2, EWB00_010816.3, EWB00_010816.4
OG0001065	TREG1_46240.1, TREG1_46240.3, TREG1_46240.2	EWB00_009928, EWB00_007939, EWB00_007937
OG0001068	TREG1_99190.1	EWB00_009751.1, EWB00_009751.2
OG0001069	TREG1_98210.5, TREG1_98210.3, TREG1_98210.4, TREG1_113690.4, TREG1_88050.1, TREG1_69820.1, TREG1_102090.2, TREG1_102090.1, TREG1_127640.1, TREG1_110880.1, TREG1_110880.2, TREG1_98210.2, TREG1_98210.1, TREG1_144710.1, TREG1_82300.1, TREG1_110530.10, TREG1_110700.1, TREG1_83090.1, TREG1_142690.1, TREG1_143530.1, TREG1_16490.1, TREG1_16490.2, TREG1_61330.1, TREG1_810.1, TREG1_97630.1, TREG1_97630.2, TREG1_97630.3, TREG1_97630.4, TREG1_97630.5, TREG1_97630.6, TREG1_8680.1, TREG1_8680.2, TREG1_129130.1, TREG1_8680.3, TREG1_8680.4, TREG1_9460.1, TREG1_9460.2, TREG1_125060.1, TREG1_29680.1, TREG1_65340.1, TREG1_16990.1	EWB00_009034
OG0001070	TREG1_80530.1	EWB00_007136
OG0001070	TREG1_105380.4	EWB00_010978.2
OG0001071	TREG1_88700.1, TREG1_88700.2	EWB00_000924.2, EWB00_000924.1, EWB00_000924.3
OG0001072	TREG1_56030.1	EWB00_003227
OG0001073	TREG1_29800.1	EWB00_007640
OG0001074	TREG1_60050.1, TREG1_60050.2	EWB00_007010
OG0001075	TREG1_82090.2, TREG1_82090.1, TREG1_82090.12, TREG1_82090.11, TREG1_82090.5, TREG1_82090.6, TREG1_82090.7, TREG1_82090.8, TREG1_82090.9, TREG1_82090.3, TREG1_82090.4, TREG1_82090.10	EWB00_004024.4, EWB00_004024.2, EWB00_004024.3, EWB00_004024.6, EWB00_004024.5, EWB00_004024.1
OG0001076	TREG1_62270.1	EWB00_004053.3, EWB00_004053.1, EWB00_004053.2
OG0001077	TREG1_65410.1	EWB00_005346
OG0001078	TREG1_84960.1	EWB00_011119, EWB00_011121
OG0001079	TREG1_106450.1	EWB00_001188.1, EWB00_001188.2, EWB00_001188.3
OG0001079	TREG1_103020.1	EWB00_004521
OG0001080	TREG1_106740.1	EWB00_010921.1, EWB00_010921.3, EWB00_010921.2
OG0001081	TREG1_53460.4	EWB00_001752, EWB00_001750.1, EWB00_001750.3, EWB00_001750.2
OG0001082	TREG1_72570.3, TREG1_72570.1, TREG1_72570.2	EWB00_008077
OG0001083	TREG1_136330.3, TREG1_136330.1, TREG1_136340.1, TREG1_136330.2	EWB00_011190
OG0001084	TREG1_21450.1, TREG1_21450.2	EWB00_006446.4, EWB00_006446.2, EWB00_006446.1, EWB00_006446.3
OG0001085	TREG1_135810.1, TREG1_139790.1	EWB00_005838.2, EWB00_005838.1, EWB00_005838.3, EWB00_005838.4
OG0001086	TREG1_96010.1, TREG1_96010.2, TREG1_96010.3, TREG1_96010.4	EWB00_007352
OG0001087	TREG1_64260.1	EWB00_005325
OG0001087	TREG1_51960.1	EWB00_004308
OG0001088	TREG1_58700.1	EWB00_001106
OG0001089	TREG1_82500.1, TREG1_82500.3, TREG1_82500.2	EWB00_000922.1, EWB00_000922.2
OG0001090	TREG1_135250.1, TREG1_135240.1, TREG1_135270.1	EWB00_006648.1, EWB00_006648.2, EWB00_006648.3
OG0001091	TREG1_69250.1, TREG1_69250.2, TREG1_69250.3, TREG1_69250.4, TREG1_69250.5, TREG1_69250.6	EWB00_005418.1, EWB00_005418.2, EWB00_005418.3
OG0001092	TREG1_95880.1	EWB00_008685.1, EWB00_008685.2
OG0001093	TREG1_111270.1	EWB00_009235.1, EWB00_009235.2
OG0001094	TREG1_56920.5, TREG1_56920.1, TREG1_56920.4, TREG1_56920.2, TREG1_56920.3	EWB00_004337
OG0001095	TREG1_67810.2, TREG1_67810.4, TREG1_67810.5, TREG1_67810.1, TREG1_67810.6, TREG1_67810.3	EWB00_006786
OG0001096	TREG1_24560.1, TREG1_24570.1	EWB00_010365
OG0001097	TREG1_94470.1	EWB00_010093, EWB00_010092, EWB00_010091
OG0001098	TREG1_41910.1, TREG1_41910.2, TREG1_41910.3, TREG1_41910.4, TREG1_41910.5, TREG1_41910.6	EWB00_011219.5, EWB00_011219.2, EWB00_011219.4, EWB00_011219.1, EWB00_011219.3
OG0001099	TREG1_127880.1, TREG1_127880.2	EWB00_000378
OG0001099	TREG1_127890.2, TREG1_127890.3, TREG1_127890.4, TREG1_127890.1	EWB00_000377.1, EWB00_000377.2, EWB00_000377.3
OG0001100	TREG1_93210.1, TREG1_93210.2, TREG1_93210.3	EWB00_006265
OG0001101	TREG1_82630.1, TREG1_82660.1, TREG1_82660.3, TREG1_82660.2, TREG1_82660.4, TREG1_63120.1	EWB00_003637.1, EWB00_003637.2
OG0001102	TREG1_83600.1	EWB00_007726.1, EWB00_007726.3, EWB00_007726.4, EWB00_007726.2
OG0001103	TREG1_134180.1, TREG1_134190.1	EWB00_003032.1, EWB00_003032.2, EWB00_003032.3
OG0001104	TREG1_83700.1	EWB00_007728.1, EWB00_007728.3, EWB00_007728.2
OG0001105	TREG1_54940.1	EWB00_011214.1, EWB00_011214.2
OG0001106	TREG1_89860.2, TREG1_89860.4, TREG1_89860.5, TREG1_89860.1, TREG1_89860.3	EWB00_008927
OG0001107	TREG1_64470.1	EWB00_007219.2, EWB00_007219.4, EWB00_007219.3, EWB00_007219.1
OG0001108	TREG1_48260.1	EWB00_001932, EWB00_003300
OG0001109	TREG1_53550.1, TREG1_53570.1	EWB00_001760.1, EWB00_001760.2
OG0001110	TREG1_890.3, TREG1_890.1, TREG1_890.2	EWB00_009040.1, EWB00_009040.2
OG0001111	TREG1_71890.1	EWB00_008730
OG0001112	TREG1_135700.1	EWB00_004791.1, EWB00_004791.2
OG0001112	TREG1_135710.1	EWB00_004792, EWB00_004793
OG0001113	TREG1_3420.1, TREG1_3420.4, TREG1_3420.2, TREG1_3420.3	EWB00_004451.2, EWB00_004451.1, EWB00_004451.3
OG0001114	TREG1_9600.1	EWB00_003819.1, EWB00_003819.2
OG0001115	TREG1_136270.1	EWB00_008941
OG0001116	TREG1_113170.8, TREG1_113170.6, TREG1_113170.5, TREG1_113170.7, TREG1_113170.2, TREG1_113170.4, TREG1_113170.1, TREG1_113170.3	EWB00_004405
OG0001117	TREG1_20120.2, TREG1_20120.3, TREG1_20120.4, TREG1_20120.1, TREG1_20120.5	EWB00_002363
OG0001118	TREG1_103660.1, TREG1_103660.3, TREG1_103660.2, TREG1_103690.1, TREG1_103700.1	EWB00_002739.1, EWB00_002739.2
OG0001119	TREG1_82470.1, TREG1_82470.2	EWB00_000920.1, EWB00_000920.2, EWB00_000920.4, EWB00_000920.3
OG0001120	TREG1_46930.1, TREG1_46930.2, TREG1_46930.3, TREG1_46930.4	EWB00_002578
OG0001121	TREG1_76930.3, TREG1_76930.5, TREG1_76930.1, TREG1_76930.4, TREG1_76930.2	EWB00_005134.5, EWB00_005134.1, EWB00_005134.6, EWB00_005134.4, EWB00_005134.2, EWB00_005134.3
OG0001122	TREG1_109460.1	EWB00_002290, EWB00_002289
OG0001123	TREG1_120690.2, TREG1_120690.3, TREG1_120690.4, TREG1_120690.6, TREG1_120690.7, TREG1_120690.5, TREG1_120690.1	EWB00_005079
OG0001124	TREG1_32890.1	EWB00_004927.2, EWB00_004927.3, EWB00_004927.4, EWB00_004927.5, EWB00_004927.7, EWB00_004927.8, EWB00_004927.1, EWB00_004927.6, EWB00_004927.9
OG0001125	TREG1_23400.1	EWB00_002307.1, EWB00_002307.2, EWB00_002309, EWB00_002308
OG0001127	TREG1_40790.1, TREG1_40790.2	EWB00_003937.1, EWB00_003937.2
OG0001128	TREG1_105190.1	EWB00_010960
OG0001129	TREG1_39910.1	EWB00_009126
OG0001130	TREG1_15900.1, TREG1_15910.1	EWB00_008952
OG0001131	TREG1_97100.1	EWB00_011067
OG0001131	TREG1_143210.1, TREG1_143200.1, TREG1_143220.1, TREG1_143230.1, TREG1_143240.1, TREG1_97060.1, TREG1_97080.1, TREG1_97070.1	EWB00_010938, EWB00_010102, EWB00_011237
OG0001132	TREG1_115320.2, TREG1_115320.3, TREG1_115320.4, TREG1_115320.1	EWB00_004513.1, EWB00_004513.2
OG0001133	TREG1_25860.1	EWB00_003879.1, EWB00_003879.2, EWB00_003879.3, EWB00_006647.1, EWB00_006647.2
OG0001133	TREG1_20470.1	EWB00_003100.1, EWB00_003100.2
OG0001134	TREG1_87810.1	EWB00_010505
OG0001135	TREG1_50400.4, TREG1_50400.2, TREG1_50400.1, TREG1_50400.3	EWB00_007857
OG0001136	TREG1_59980.1, TREG1_59980.2, TREG1_59980.3, TREG1_59990.1	EWB00_007074
OG0001137	TREG1_139860.1, TREG1_139860.2	EWB00_005385
OG0001138	TREG1_21460.1, TREG1_21460.3, TREG1_21460.2	EWB00_002488.3, EWB00_002488.5, EWB00_002488.4, EWB00_002488.2, EWB00_002488.1
OG0001139	TREG1_112020.1, TREG1_47470.2, TREG1_47470.3, TREG1_47470.1	EWB00_001288
OG0001140	TREG1_62220.4, TREG1_62220.5, TREG1_62220.6, TREG1_62210.1, TREG1_62220.1, TREG1_62220.2, TREG1_62220.3	EWB00_004038.3, EWB00_004038.1, EWB00_004038.2, EWB00_004038.4
OG0001141	TREG1_98980.1	EWB00_008236
OG0001141	TREG1_97590.1, TREG1_97590.2	EWB00_010581
OG0001142	TREG1_10750.2, TREG1_10750.1, TREG1_10750.3	EWB00_010000, EWB00_009996, EWB00_009998
OG0001143	TREG1_86480.1	EWB00_000397.1, EWB00_000397.2, EWB00_000397.3
OG0001144	TREG1_44420.6, TREG1_44420.7, TREG1_44430.1, TREG1_44430.3, TREG1_44430.4, TREG1_44430.5, TREG1_44430.2, TREG1_44420.2, TREG1_44420.5, TREG1_44420.4, TREG1_44420.1, TREG1_44420.3	EWB00_004285
OG0001145	TREG1_88010.1	EWB00_010489
OG0001146	TREG1_12690.10, TREG1_12690.1, TREG1_12690.2, TREG1_12690.6, TREG1_12690.8, TREG1_12690.9, TREG1_12690.3, TREG1_12690.7, TREG1_12690.4, TREG1_12690.5	EWB00_004856.1, EWB00_004856.2
OG0001147	TREG1_19510.1, TREG1_19520.1, TREG1_19520.4, TREG1_19520.5, TREG1_19520.8, TREG1_19520.2, TREG1_19520.3, TREG1_19520.6, TREG1_19520.7	EWB00_002095
OG0001148	TREG1_103130.3, TREG1_103130.5, TREG1_103130.1, TREG1_103130.2, TREG1_103130.4, TREG1_103130.6	EWB00_000968
OG0001149	TREG1_98130.3, TREG1_98130.1, TREG1_98130.2	EWB00_007400
OG0001150	TREG1_66690.1, TREG1_66690.2, TREG1_66690.3, TREG1_66690.4	EWB00_003549.3, EWB00_003549.1, EWB00_003549.2, EWB00_003549.4
OG0001151	TREG1_127740.1, TREG1_127750.1, TREG1_127860.1, TREG1_127860.2, TREG1_127860.3	EWB00_001919.1, EWB00_001919.2
OG0001153	TREG1_94260.1, TREG1_94260.2	EWB00_010070.3, EWB00_010070.4, EWB00_010070.1, EWB00_010070.2, EWB00_010070.5
OG0001154	TREG1_40680.3, TREG1_40680.4, TREG1_40680.2, TREG1_40680.1	EWB00_000030, EWB00_000029
OG0001155	TREG1_68260.1, TREG1_68260.2	EWB00_010700
OG0001156	TREG1_19570.1	EWB00_008591
OG0001157	TREG1_88480.1	EWB00_000400.1, EWB00_000400.2, EWB00_000400.4, EWB00_000400.3
OG0001158	TREG1_55850.1, TREG1_55850.2	EWB00_002800
OG0001159	TREG1_128050.1, TREG1_128050.2	EWB00_006018, EWB00_004960
OG0001160	TREG1_23610.3, TREG1_23610.1, TREG1_23610.2	EWB00_005699
OG0001161	TREG1_83180.1	EWB00_008928
OG0001161	TREG1_88120.1, TREG1_88120.2	EWB00_010476.1, EWB00_010476.2, EWB00_010476.3
OG0001162	TREG1_44070.1	EWB00_006864.3, EWB00_006864.4, EWB00_006864.1, EWB00_006864.2
OG0001163	TREG1_60640.1, TREG1_60660.1, TREG1_60690.1, TREG1_60700.1, TREG1_60650.1, TREG1_60730.1, TREG1_60740.1, TREG1_100430.1, TREG1_100430.2, TREG1_100430.3	EWB00_002010
OG0001164	TREG1_113370.12, TREG1_113370.16, TREG1_113370.1, TREG1_113370.14, TREG1_113370.11, TREG1_113370.17, TREG1_113370.3, TREG1_113370.15, TREG1_113370.6, TREG1_113370.4, TREG1_113370.7, TREG1_113370.10, TREG1_113370.13, TREG1_113370.8, TREG1_113370.9, TREG1_113370.2, TREG1_113370.5	EWB00_006769.1, EWB00_006769.3, EWB00_006769.2
OG0001165	TREG1_77970.1, TREG1_77970.2	EWB00_011222.1, EWB00_011222.2
OG0001166	TREG1_6260.1, TREG1_63960.1, TREG1_68490.1	EWB00_011074
OG0001167	TREG1_52580.1, TREG1_52570.1	EWB00_006863
OG0001168	TREG1_7970.1	EWB00_007693
OG0001169	TREG1_67900.1, TREG1_67900.2	EWB00_005343
OG0001170	TREG1_26830.1	EWB00_004194
OG0001171	TREG1_27790.3, TREG1_27790.4, TREG1_27790.1, TREG1_27790.2	EWB00_004815.1, EWB00_004815.3, EWB00_004815.4, EWB00_004815.5, EWB00_004815.2
OG0001172	TREG1_85400.1, TREG1_85400.2, TREG1_85400.4, TREG1_85400.3, TREG1_85400.5	EWB00_011304.3, EWB00_011304.1, EWB00_011304.4, EWB00_011304.2
OG0001173	TREG1_9990.1, TREG1_9990.2, TREG1_9990.3, TREG1_9990.4, TREG1_9990.5, TREG1_9990.6, TREG1_9990.7, TREG1_9990.8	EWB00_003842
OG0001175	TREG1_66790.1	EWB00_003539.1, EWB00_003539.2
OG0001176	TREG1_107700.1, TREG1_107700.2, TREG1_107700.3, TREG1_107700.4	EWB00_004549.3, EWB00_004549.1, EWB00_004549.2
OG0001177	TREG1_54580.11, TREG1_54580.10, TREG1_54580.4, TREG1_54580.6, TREG1_54580.7, TREG1_54580.8, TREG1_54580.9, TREG1_54580.1, TREG1_54580.3, TREG1_54580.5, TREG1_54580.2	EWB00_001130.1, EWB00_001130.2
OG0001178	TREG1_12900.1	EWB00_007871
OG0001178	TREG1_12890.1, TREG1_12890.4, TREG1_12890.2, TREG1_12890.3	EWB00_007868, EWB00_007870
OG0001179	TREG1_130470.1	EWB00_008433.1, EWB00_008433.3, EWB00_008433.2, EWB00_008433.4, EWB00_008433.5
OG0001180	TREG1_12050.1	EWB00_009514, EWB00_002566
OG0001181	TREG1_136840.1	EWB00_011225.1, EWB00_011225.3, EWB00_011225.4, EWB00_011225.2
OG0001182	TREG1_44230.3, TREG1_44230.1, TREG1_44230.2	EWB00_004268.3, EWB00_004268.4, EWB00_004268.5, EWB00_004268.6, EWB00_004268.1, EWB00_004268.2, EWB00_004268.7
OG0001183	TREG1_6270.1	EWB00_011081.1, EWB00_011081.2
OG0001184	TREG1_28640.1, TREG1_28640.2, TREG1_28640.4, TREG1_28640.3	EWB00_000876
OG0001186	TREG1_7670.1	EWB00_006349
OG0001187	TREG1_44100.1	EWB00_004626.1, EWB00_004626.2
OG0001188	TREG1_4220.1, TREG1_4220.2, TREG1_4220.3, TREG1_4220.4	EWB00_004444, EWB00_005813, EWB00_004077
OG0001189	TREG1_24740.3, TREG1_24740.1, TREG1_24740.2, TREG1_24740.4	EWB00_004208
OG0001190	TREG1_44460.4, TREG1_44460.9, TREG1_44460.5, TREG1_44460.6, TREG1_44460.7, TREG1_44460.8, TREG1_44460.1, TREG1_44460.2, TREG1_44460.3	EWB00_004289.1, EWB00_004289.2
OG0001191	TREG1_137560.1, TREG1_25140.4, TREG1_25140.3, TREG1_25140.1, TREG1_25140.2, TREG1_137570.1	EWB00_007772.1, EWB00_007772.2, EWB00_007772.3, EWB00_007772.4, EWB00_007772.5, EWB00_007772.6
OG0001192	TREG1_42320.1	EWB00_006404.1, EWB00_006404.2, EWB00_006404.3
OG0001193	TREG1_117400.1	EWB00_008292.2, EWB00_008292.1, EWB00_008292.3
OG0001194	TREG1_20460.1	EWB00_009245.1, EWB00_009245.2
OG0001197	TREG1_23910.1, TREG1_23910.2, TREG1_23910.3	EWB00_005828.1, EWB00_005828.2
OG0001198	TREG1_138850.1, TREG1_138850.2	EWB00_001493.1, EWB00_001493.2
OG0001199	TREG1_97400.1	EWB00_010565, EWB00_003335, EWB00_003349, EWB00_010566, EWB00_009627, EWB00_009628
OG0001202	TREG1_15110.1, TREG1_15110.2	EWB00_002669.3, EWB00_002669.1, EWB00_002669.2, EWB00_002669.4, EWB00_002669.5
OG0001203	TREG1_12810.1, TREG1_12810.2	EWB00_005655
OG0001203	TREG1_112200.1, TREG1_112200.2	EWB00_006758
OG0001204	TREG1_89640.1	EWB00_009801
OG0001205	TREG1_58370.1, TREG1_58380.1	EWB00_004310.1, EWB00_004310.2, EWB00_004310.3
OG0001208	TREG1_46000.1	EWB00_003148, EWB00_003150
OG0001209	TREG1_70980.2, TREG1_70980.1, TREG1_70980.3	EWB00_008086
OG0001210	TREG1_133420.1, TREG1_133420.2, TREG1_133420.3	EWB00_000580.2, EWB00_000580.1, EWB00_000580.3, EWB00_000580.4
OG0001212	TREG1_33310.1, TREG1_33310.2, TREG1_33310.3, TREG1_33410.1	EWB00_001093
OG0001213	TREG1_7480.1	EWB00_008528
OG0001214	TREG1_48360.1, TREG1_48360.2, TREG1_48360.3, TREG1_48360.4, TREG1_48360.5	EWB00_003313.1, EWB00_003313.2, EWB00_003313.3, EWB00_003313.4
OG0001215	TREG1_83220.1	EWB00_010425.1, EWB00_010425.2, EWB00_010425.3, EWB00_010425.4
OG0001216	TREG1_59680.1, TREG1_59680.2, TREG1_59680.3, TREG1_59680.4	EWB00_005026.4, EWB00_005026.2, EWB00_005026.1, EWB00_005026.3
OG0001217	TREG1_96240.1, TREG1_96240.2, TREG1_96240.3	EWB00_006632.3, EWB00_006632.1, EWB00_006632.2
OG0001218	TREG1_25740.1, TREG1_25740.2	EWB00_010561, EWB00_007683.1, EWB00_007683.3, EWB00_007683.2
OG0001219	TREG1_360.2, TREG1_360.1, TREG1_360.4, TREG1_360.3	EWB00_008004.1, EWB00_008004.2
OG0001220	TREG1_131710.3, TREG1_131710.1, TREG1_131710.2	EWB00_001424
OG0001221	TREG1_85470.1	EWB00_007723.1, EWB00_007723.2
OG0001222	TREG1_128320.1	EWB00_008570.6, EWB00_008570.4, EWB00_008570.5, EWB00_008570.1, EWB00_008570.3, EWB00_008570.2
OG0001223	TREG1_47740.1	EWB00_005965
OG0001224	TREG1_113380.3, TREG1_113380.1, TREG1_113380.2, TREG1_113380.4	EWB00_003782.1, EWB00_003782.2
OG0001225	TREG1_80510.1	EWB00_005264
OG0001226	TREG1_62900.1, TREG1_62910.1	EWB00_000188
OG0001227	TREG1_88370.1	EWB00_004021.3, EWB00_004021.4, EWB00_004021.1, EWB00_004021.2
OG0001228	TREG1_35910.1	EWB00_009722.2, EWB00_009722.1, EWB00_010025, EWB00_004885
OG0001229	TREG1_52470.1	EWB00_006070
OG0001230	TREG1_9170.1, TREG1_9170.2, TREG1_9170.3, TREG1_9170.6, TREG1_9170.4	EWB00_007647.2, EWB00_007647.3, EWB00_007647.1, EWB00_007647.4
OG0001231	TREG1_45720.1	EWB00_006158.9, EWB00_006158.1, EWB00_006158.4, EWB00_006158.7, EWB00_006158.2, EWB00_006158.5, EWB00_006158.3, EWB00_006158.6, EWB00_006158.8
OG0001232	TREG1_113320.1	EWB00_006765.1, EWB00_006765.2
OG0001233	TREG1_12130.1	EWB00_010835.1, EWB00_010835.2, EWB00_010835.7, EWB00_010835.5, EWB00_010835.3, EWB00_010835.6, EWB00_010835.4, EWB00_010835.9, EWB00_010835.10, EWB00_010835.8
OG0001234	TREG1_39200.1, TREG1_39200.2, TREG1_39200.3	EWB00_004896.5, EWB00_004896.2, EWB00_004896.3, EWB00_004896.1, EWB00_004896.4
OG0001235	TREG1_50160.1	EWB00_003285, EWB00_003283
OG0001236	TREG1_87540.6, TREG1_87540.8, TREG1_87540.2, TREG1_87540.3, TREG1_87540.4, TREG1_87540.5, TREG1_87540.7, TREG1_87540.1, TREG1_39620.1	EWB00_009224, EWB00_009223
OG0001237	TREG1_59570.1	EWB00_005036.3, EWB00_005036.1, EWB00_005036.2
OG0001237	TREG1_59490.1, TREG1_59440.1, TREG1_59480.1, TREG1_59450.1, TREG1_59460.1	EWB00_005042.2, EWB00_005042.1, EWB00_005042.3
OG0001238	TREG1_117540.1	EWB00_002187.3, EWB00_002187.1, EWB00_002187.2
OG0001239	TREG1_25710.1, TREG1_78370.1	EWB00_007685
OG0001240	TREG1_68970.4, TREG1_68970.7, TREG1_68970.2, TREG1_68970.1, TREG1_68970.3, TREG1_68970.5, TREG1_68970.6	EWB00_007766.1, EWB00_007766.2
OG0001241	TREG1_87340.1	EWB00_003870
OG0001241	TREG1_98690.1	EWB00_008223
OG0001242	TREG1_73920.1, TREG1_73920.2	EWB00_007827
OG0001244	TREG1_125880.1, TREG1_69080.1, TREG1_69090.1, TREG1_125890.1	EWB00_001945
OG0001245	TREG1_18020.1, TREG1_18010.3, TREG1_18010.4, TREG1_18010.5, TREG1_18010.2, TREG1_18010.1	EWB00_008323
OG0001246	TREG1_53280.3, TREG1_53280.5, TREG1_53280.1, TREG1_53280.2, TREG1_53280.4	EWB00_002955.1, EWB00_002955.3, EWB00_002955.4, EWB00_002955.2
OG0001247	TREG1_47380.1, TREG1_47380.3, TREG1_47380.4, TREG1_47380.2	EWB00_001283.3, EWB00_001283.4, EWB00_001283.1, EWB00_001283.2
OG0001248	TREG1_18520.1, TREG1_18520.2, TREG1_18520.3	EWB00_006329.3, EWB00_006329.1, EWB00_006329.2
OG0001249	TREG1_44330.2, TREG1_44330.1, TREG1_44330.4, TREG1_44330.3, TREG1_44330.5	EWB00_004277
OG0001250	TREG1_10100.1, TREG1_10100.2, TREG1_10100.3	EWB00_004654.2, EWB00_004654.4, EWB00_004654.3, EWB00_004654.1, EWB00_004653
OG0001251	TREG1_107170.1	EWB00_001412.1, EWB00_001412.2
OG0001252	TREG1_66510.1, TREG1_66510.2	EWB00_009341.3, EWB00_009341.2, EWB00_009341.1
OG0001253	TREG1_77040.1	EWB00_000765.3, EWB00_000765.1, EWB00_000765.2
OG0001254	TREG1_49390.1, TREG1_49400.1	EWB00_005971, EWB00_005970
OG0001255	TREG1_50250.1, TREG1_50250.3, TREG1_50250.5, TREG1_50250.4, TREG1_50250.2	EWB00_000639.1, EWB00_000639.2
OG0001256	TREG1_68350.1	EWB00_010707
