Orthogroup	trichobilharzia_regenti	s.mekongi
OG0001270	TREG1_119430.1, TREG1_119430.2, TREG1_119430.3, TREG1_119430.4, TREG1_119430.5, TREG1_119430.6	KAK4468598.1
OG0001271	TREG1_88840.1	KAK4471210.1
OG0001272	TREG1_101080.1, TREG1_101080.2, TREG1_101080.3	KAK4470053.1
OG0001273	TREG1_106650.1	KAK4470612.1
OG0001274	TREG1_90420.1, TREG1_90430.2, TREG1_90430.9, TREG1_90430.5, TREG1_90430.11, TREG1_90430.4, TREG1_90430.10, TREG1_90430.3, TREG1_90430.6, TREG1_90430.1, TREG1_90430.7, TREG1_90430.8	KAK4471502.1
OG0001275	TREG1_71200.1	KAK4469887.1
OG0001276	TREG1_89250.6, TREG1_89250.3, TREG1_89250.5, TREG1_89250.1, TREG1_89250.2, TREG1_89250.4	KAK4471898.1
OG0001277	TREG1_13070.1, TREG1_13070.2, TREG1_13070.3	KAK4475596.1
OG0001278	TREG1_126300.1	KAK4468621.1
OG0001279	TREG1_36920.2, TREG1_36920.6, TREG1_36920.4, TREG1_36920.3, TREG1_36920.5, TREG1_36920.1	KAK4474150.1
OG0001280	TREG1_68910.1, TREG1_68910.2, TREG1_68910.3, TREG1_68910.4, TREG1_68910.5	KAK4469925.1
OG0001281	TREG1_106320.1	KAK4470688.1
OG0001281	TREG1_101530.1, TREG1_101540.1, TREG1_101590.1, TREG1_101600.1, TREG1_101610.1	KAK4470830.1, KAK4470831.1
OG0001282	TREG1_133800.1	KAK4467754.1
OG0001283	TREG1_52690.1, TREG1_52680.1	KAK4474099.1
OG0001284	TREG1_15700.1, TREG1_15710.1, TREG1_15720.1, TREG1_15690.1, TREG1_15680.1, TREG1_15680.2, TREG1_15680.4, TREG1_15680.3, TREG1_15680.5	KAK4474955.1
OG0001285	TREG1_4680.1, TREG1_4680.2	KAK4475824.1
OG0001288	TREG1_134020.1	KAK4467620.1
OG0001289	TREG1_46680.1	KAK4472424.1
OG0001290	TREG1_3630.1, TREG1_3630.2, TREG1_3630.3	KAK4475785.1
OG0001291	TREG1_6210.1, TREG1_9410.1, TREG1_9570.1	KAK4476039.1
OG0001292	TREG1_26070.17, TREG1_26070.16, TREG1_26070.19, TREG1_26070.22, TREG1_26070.23, TREG1_26070.18, TREG1_26070.20, TREG1_26070.21, TREG1_26100.1, TREG1_26070.6, TREG1_138140.1, TREG1_26150.1, TREG1_26070.5, TREG1_26130.4, TREG1_26130.5, TREG1_26130.3, TREG1_26090.1, TREG1_138130.1, TREG1_26070.7	KAK4476023.1
OG0001293	TREG1_73260.3, TREG1_73260.1, TREG1_73260.2, TREG1_73260.4	KAK4469805.1
OG0001294	TREG1_50680.6, TREG1_50680.5, TREG1_50680.1, TREG1_50680.2, TREG1_50680.4, TREG1_50680.3	KAK4472567.1
OG0001295	TREG1_54320.4, TREG1_54320.3, TREG1_54320.1, TREG1_54320.2	KAK4472604.1
OG0001296	TREG1_10870.1	KAK4475956.1, KAK4475955.1
OG0001297	TREG1_14590.1	KAK4474512.1
OG0001298	TREG1_51920.1	KAK4474031.1
OG0001300	TREG1_18570.1, TREG1_18570.2	KAK4475917.1
OG0001301	TREG1_61640.2, TREG1_61640.3, TREG1_61640.1, TREG1_61640.4	KAK4469880.1
OG0001302	TREG1_7840.1	KAK4475526.1
OG0001303	TREG1_58540.1	KAK4472605.1, KAK4472606.1
OG0001304	TREG1_122440.1	KAK4468665.1
OG0001305	TREG1_12560.1, TREG1_12560.2, TREG1_12560.3	KAK4474662.1
OG0001306	TREG1_140790.1, TREG1_140790.2, TREG1_140790.5, TREG1_140790.7, TREG1_83670.1, TREG1_140790.3, TREG1_140790.4, TREG1_140790.6, TREG1_140790.8	KAK4471984.1
OG0001307	TREG1_111790.1, TREG1_111830.1	KAK4468348.1
OG0001307	TREG1_111820.1	KAK4468345.1
OG0001308	TREG1_143350.1, TREG1_26030.1, TREG1_143350.2, TREG1_145540.1, TREG1_94040.1, TREG1_133760.1, TREG1_26040.1, TREG1_133660.1, TREG1_133700.1, TREG1_133710.1, TREG1_133690.1, TREG1_133680.1, TREG1_133730.1, TREG1_133720.1, TREG1_133670.1, TREG1_133650.1, TREG1_143320.1, TREG1_144160.3, TREG1_144160.1, TREG1_144160.2, TREG1_143330.1, TREG1_143330.2, TREG1_133600.1, TREG1_133590.1, TREG1_143360.1	KAK4467630.1
OG0001309	TREG1_97190.1	KAK4470646.1
OG0001310	TREG1_60190.1	KAK4473092.1
OG0001311	TREG1_43350.4, TREG1_43350.5, TREG1_43350.1, TREG1_43350.2, TREG1_43350.3	KAK4472492.1
OG0001312	TREG1_55180.1	KAK4472637.1
OG0001313	TREG1_40420.1	KAK4472134.1, KAK4473418.1
OG0001314	TREG1_7520.1	KAK4476271.1
OG0001315	TREG1_55130.1	KAK4472633.1
OG0001316	TREG1_36820.1, TREG1_36820.2	KAK4474142.1
OG0001317	TREG1_24450.1, TREG1_24450.2	KAK4475271.1
OG0001318	TREG1_490.1, TREG1_490.2, TREG1_490.3	KAK4475775.1
OG0001319	TREG1_43150.1, TREG1_43150.2	KAK4473722.1
OG0001320	TREG1_87500.1, TREG1_87500.2	KAK4471435.1
OG0001321	TREG1_24400.1	KAK4475382.1
OG0001322	TREG1_63650.4, TREG1_63650.1, TREG1_63650.3, TREG1_63650.2	KAK4469624.1
OG0001323	TREG1_13400.3, TREG1_13400.1, TREG1_13400.2	KAK4474405.1
OG0001324	TREG1_123330.3, TREG1_123330.1, TREG1_123330.2, TREG1_123330.5, TREG1_123330.4	KAK4468826.1
OG0001325	TREG1_133290.1	KAK4467845.1
OG0001326	TREG1_71430.1, TREG1_71440.1	KAK4469191.1
OG0001327	TREG1_129320.1, TREG1_129320.2, TREG1_129320.4, TREG1_129320.3, TREG1_129320.5	KAK4468417.1
OG0001328	TREG1_4560.1, TREG1_4560.2, TREG1_4560.3	KAK4467516.1, KAK4475737.1, KAK4467405.1
OG0001330	TREG1_45120.1, TREG1_45120.2, TREG1_45120.3	KAK4472695.1
OG0001331	TREG1_66410.1, TREG1_140390.1, TREG1_140390.2, TREG1_140390.3, TREG1_140390.4, TREG1_140390.5, TREG1_140390.6, TREG1_140390.7	KAK4469579.1
OG0001332	TREG1_81650.1	KAK4472042.1
OG0001333	TREG1_91100.1, TREG1_91100.2, TREG1_91100.4, TREG1_91100.5, TREG1_91100.6, TREG1_91100.3	KAK4471477.1
OG0001334	TREG1_12490.1	KAK4474703.1
OG0001335	TREG1_45280.1, TREG1_45280.4, TREG1_45280.3, TREG1_45280.2	KAK4472711.1
OG0001336	TREG1_62200.1	KAK4469248.1
OG0001337	TREG1_71320.1	KAK4469179.1
OG0001338	TREG1_47130.4, TREG1_47130.3, TREG1_47130.1, TREG1_47130.2	KAK4473835.1
OG0001339	TREG1_26860.1, TREG1_26860.3, TREG1_26860.2	KAK4474554.1
OG0001340	TREG1_11950.1	KAK4476160.1
OG0001341	TREG1_103870.1, TREG1_103870.2, TREG1_103870.3	KAK4470433.1
OG0001342	TREG1_73210.1, TREG1_73210.2, TREG1_73210.3	KAK4469498.1
OG0001343	TREG1_100640.4, TREG1_100640.1, TREG1_100640.2, TREG1_100640.3, TREG1_100640.5	KAK4470199.1, KAK4470200.1
OG0001344	TREG1_100220.1	KAK4470426.1
OG0001345	TREG1_41940.1, TREG1_41940.2	KAK4473469.1
OG0001346	TREG1_13810.1	KAK4474563.1
OG0001347	TREG1_51420.1	KAK4472285.1
OG0001348	TREG1_44210.1, TREG1_44210.2, TREG1_44210.3, TREG1_44210.4, TREG1_44210.5, TREG1_44210.6, TREG1_44210.7, TREG1_44220.1, TREG1_44220.2, TREG1_44220.3, TREG1_44220.4, TREG1_44220.5	KAK4474058.1
OG0001349	TREG1_20040.6, TREG1_20040.7, TREG1_20040.2, TREG1_20040.3, TREG1_20040.5, TREG1_20040.1, TREG1_20040.4	KAK4475304.1
OG0001350	TREG1_49930.1	KAK4472671.1
OG0001351	TREG1_138510.1, TREG1_138530.1, TREG1_138500.1, TREG1_138520.1, TREG1_143950.1, TREG1_143940.1	KAK4473300.1
OG0001352	TREG1_60840.1	KAK4473285.1
OG0001353	TREG1_87130.1, TREG1_87150.1	KAK4471694.1
OG0001354	TREG1_81880.5, TREG1_81880.1, TREG1_81880.2, TREG1_81880.3, TREG1_81880.4	KAK4471128.1
OG0001355	TREG1_80810.1	KAK4472013.1
OG0001356	TREG1_100780.1, TREG1_100790.1	KAK4470235.1
OG0001357	TREG1_45500.1, TREG1_45500.2	KAK4473732.1
OG0001358	TREG1_125720.1, TREG1_125740.1	KAK4468661.1
OG0001359	TREG1_138770.1, TREG1_105700.1, TREG1_105700.2	KAK4470296.1
OG0001361	TREG1_48300.1	KAK4472834.1
OG0001362	TREG1_52990.1, TREG1_52990.2, TREG1_52990.3	KAK4472727.1
OG0001363	TREG1_131630.2, TREG1_131630.4, TREG1_131630.3, TREG1_131630.1, TREG1_131630.5	KAK4467637.1
OG0001364	TREG1_112680.1, TREG1_112680.2, TREG1_112680.4, TREG1_112680.3	KAK4468089.1
OG0001365	TREG1_102490.1, TREG1_102490.2, TREG1_102490.3, TREG1_102490.4, TREG1_102490.5, TREG1_102490.6, TREG1_102490.7	KAK4470803.1
OG0001367	TREG1_136010.1, TREG1_136010.4, TREG1_136010.5, TREG1_136010.2, TREG1_136010.3, TREG1_136010.6	KAK4467781.1
OG0001368	TREG1_22010.1, TREG1_22010.2, TREG1_22010.3	KAK4475327.1
OG0001369	TREG1_126070.1	KAK4468924.1
OG0001370	TREG1_120000.1	KAK4471090.1
OG0001371	TREG1_58430.1, TREG1_58430.2	KAK4474011.1
OG0001372	TREG1_47300.1	KAK4473839.1
OG0001373	TREG1_7830.1	KAK4475524.1
OG0001374	TREG1_83840.2, TREG1_83840.3, TREG1_83840.11, TREG1_83840.7, TREG1_83840.8, TREG1_83840.10, TREG1_83840.6, TREG1_83840.9, TREG1_83840.1, TREG1_83840.4, TREG1_83840.5	KAK4471908.1
OG0001375	TREG1_100530.2, TREG1_100530.6, TREG1_100530.8, TREG1_100530.1, TREG1_100530.10, TREG1_100530.3, TREG1_100530.7, TREG1_100530.9, TREG1_100530.4, TREG1_100530.5	KAK4470400.1
OG0001376	TREG1_123540.1, TREG1_123560.1, TREG1_145520.1	KAK4468841.1
OG0001377	TREG1_86860.1, TREG1_86860.2	KAK4471750.1
OG0001378	TREG1_1450.1	KAK4475624.1
OG0001379	TREG1_97880.1	KAK4470300.1
OG0001380	TREG1_84170.1	KAK4472050.1
OG0001381	TREG1_105090.1	KAK4470574.1
OG0001382	TREG1_59580.1	KAK4472961.1
OG0001383	TREG1_130280.1, TREG1_139080.7, TREG1_139080.3, TREG1_139080.5, TREG1_139080.1, TREG1_139080.2, TREG1_139080.4, TREG1_139080.6, TREG1_100050.6, TREG1_100050.4, TREG1_100050.7, TREG1_100050.1, TREG1_100050.10, TREG1_100050.2, TREG1_100050.3, TREG1_100050.5, TREG1_100050.9, TREG1_100050.8	KAK4467561.1, KAK4467562.1, KAK4475694.1
OG0001384	TREG1_119640.1	KAK4467390.1
OG0001385	TREG1_32560.1, TREG1_32560.3, TREG1_32560.2, TREG1_32560.6, TREG1_32560.5, TREG1_32560.8, TREG1_32560.4, TREG1_32560.7	KAK4473334.1
OG0001387	TREG1_120170.1, TREG1_120170.3, TREG1_120170.2	KAK4468825.1
OG0001388	TREG1_27130.1, TREG1_27140.1	KAK4474533.1
OG0001389	TREG1_62410.1, TREG1_62410.2, TREG1_62410.3	KAK4469569.1
OG0001390	TREG1_41320.1, TREG1_41320.2	KAK4473695.1, KAK4467327.1
OG0001391	TREG1_55560.1	KAK4474184.1
OG0001392	TREG1_7950.1	KAK4467529.1, KAK4467530.1, KAK4474649.1
OG0001393	TREG1_17060.1	KAK4474810.1
OG0001394	TREG1_105300.1	KAK4470691.1
OG0001395	TREG1_122710.1, TREG1_122710.2	KAK4468666.1
OG0001395	TREG1_31610.1, TREG1_31610.3, TREG1_31610.5, TREG1_31610.2, TREG1_31610.4	KAK4473275.1
OG0001397	TREG1_83140.1	KAK4471735.1
OG0001398	TREG1_26900.1	KAK4474558.1
OG0001399	TREG1_75740.1, TREG1_128360.1, TREG1_128370.1, TREG1_128350.2, TREG1_128380.1, TREG1_128350.3, TREG1_128350.1	KAK4468491.1
OG0001400	TREG1_111210.5, TREG1_111210.6, TREG1_111260.1	KAK4468320.1
OG0001401	TREG1_76490.1	KAK4469444.1
OG0001402	TREG1_48830.1	KAK4472860.1
OG0001403	TREG1_77310.1	KAK4469835.1
OG0001404	TREG1_15040.13, TREG1_15040.14, TREG1_15040.7, TREG1_15040.5, TREG1_15040.10, TREG1_15040.8, TREG1_15040.11, TREG1_15040.9, TREG1_15040.1, TREG1_15040.4, TREG1_15040.3, TREG1_15040.2, TREG1_15040.12, TREG1_15040.6	KAK4475068.1
OG0001405	TREG1_53990.1	KAK4472330.1
OG0001406	TREG1_46140.1	KAK4472773.1
OG0001407	TREG1_114500.1, TREG1_114490.1	KAK4467966.1
OG0001408	TREG1_58890.2, TREG1_58890.1, TREG1_58890.3	KAK4473060.1
OG0001409	TREG1_65910.1, TREG1_65900.1	KAK4469219.1, KAK4469220.1
OG0001410	TREG1_55550.1	KAK4474146.1, KAK4474145.1
OG0001411	TREG1_48320.1	KAK4472836.1
OG0001412	TREG1_49600.1, TREG1_139200.2, TREG1_139200.1	KAK4472825.1, KAK4472824.1
OG0001413	TREG1_134220.3, TREG1_134220.1, TREG1_134220.2	KAK4467707.1
OG0001414	TREG1_9800.3, TREG1_9800.1, TREG1_9800.2, TREG1_9800.4	KAK4475715.1
OG0001415	TREG1_51100.1	KAK4472656.1
OG0001416	TREG1_10700.1	KAK4474571.1
OG0001417	TREG1_18240.1	KAK4474476.1
OG0001418	TREG1_14230.1, TREG1_14230.2, TREG1_14230.3	KAK4475658.1
OG0001420	TREG1_117780.1, TREG1_117780.2, TREG1_144400.2, TREG1_144400.1, TREG1_144400.3, TREG1_144400.4	KAK4468277.1
OG0001421	TREG1_50970.1, TREG1_50970.2, TREG1_50970.3	KAK4473975.1
OG0001422	TREG1_103780.1	KAK4470355.1
OG0001423	TREG1_20490.1	KAK4474401.1
OG0001424	TREG1_11830.1, TREG1_11840.1, TREG1_11840.2, TREG1_11840.3	KAK4475978.1
OG0001425	TREG1_35380.1	KAK4473253.1
OG0001426	TREG1_16830.1, TREG1_16830.2, TREG1_16830.3, TREG1_16830.4, TREG1_16830.5	KAK4476100.1
OG0001427	TREG1_48910.1	KAK4472853.1
OG0001428	TREG1_15580.1, TREG1_15580.2, TREG1_15580.3	KAK4475537.1
OG0001429	TREG1_66300.4, TREG1_66300.5, TREG1_66300.6, TREG1_66300.2, TREG1_66300.1, TREG1_66300.3	KAK4469523.1
OG0001430	TREG1_70360.1, TREG1_70360.2	KAK4469826.1
OG0001430	TREG1_70370.1	KAK4469827.1
OG0001431	TREG1_87860.1	KAK4471244.1
OG0001432	TREG1_27420.2, TREG1_27420.3, TREG1_27420.1, TREG1_27420.4	KAK4475480.1
OG0001433	TREG1_28420.1	KAK4475337.1
OG0001434	TREG1_136030.1, TREG1_136030.2, TREG1_136030.3, TREG1_136030.4	KAK4467660.1
OG0001435	TREG1_98910.1, TREG1_98910.2	KAK4470399.1
OG0001436	TREG1_106050.1, TREG1_106050.2, TREG1_106050.3	KAK4470775.1
OG0001437	TREG1_64180.1, TREG1_65070.1, TREG1_65070.2	KAK4469296.1
OG0001437	TREG1_68660.1	KAK4469385.1
OG0001438	TREG1_22560.1, TREG1_52310.1, TREG1_52310.3, TREG1_52310.2	KAK4475129.1
OG0001439	TREG1_102010.1	KAK4470521.1
OG0001440	TREG1_47480.1, TREG1_47480.2, TREG1_47480.3, TREG1_47480.4	KAK4473854.1
OG0001441	TREG1_125500.1	KAK4468533.1, KAK4468536.1
OG0001442	TREG1_82980.1, TREG1_82990.1	KAK4471727.1
OG0001444	TREG1_105870.1	KAK4470278.1
OG0001445	TREG1_106620.1	KAK4470607.1
OG0001447	TREG1_97540.1, TREG1_97550.1, TREG1_97560.1, TREG1_97510.1, TREG1_97570.1, TREG1_144750.1, TREG1_144530.1, TREG1_144510.1, TREG1_144520.1, TREG1_97530.1, TREG1_97520.1	KAK4467426.1, KAK4467428.1, KAK4467427.1
OG0001448	TREG1_97490.1, TREG1_97500.1, TREG1_97470.1, TREG1_97480.1	KAK4470982.1, KAK4470984.1, KAK4470983.1
OG0001449	TREG1_53270.4, TREG1_53270.2, TREG1_53270.1, TREG1_53270.3	KAK4472371.1, KAK4472370.1
OG0001450	TREG1_23180.6, TREG1_23180.7, TREG1_23180.1, TREG1_23180.3, TREG1_23180.4, TREG1_23180.5, TREG1_23180.2	KAK4474892.1
OG0001454	TREG1_114650.1, TREG1_114660.1	KAK4468255.1
OG0001455	TREG1_133260.1	KAK4467822.1
OG0001456	TREG1_92490.1, TREG1_92490.3, TREG1_92490.4, TREG1_92490.2	KAK4471721.1, KAK4471036.1
OG0001457	TREG1_5020.1, TREG1_5020.2, TREG1_5020.3, TREG1_5020.4, TREG1_5020.5, TREG1_5020.6, TREG1_5020.7, TREG1_5030.1	KAK4475852.1
OG0001458	TREG1_49190.2, TREG1_49190.6, TREG1_49190.5, TREG1_49190.3, TREG1_49190.4, TREG1_49190.7	KAK4472480.1
OG0001459	TREG1_79410.1	KAK4471159.1
OG0001460	TREG1_44360.2, TREG1_44360.1, TREG1_44360.3	KAK4474046.1
OG0001461	TREG1_48730.3, TREG1_48730.1, TREG1_48730.5, TREG1_48730.2, TREG1_48730.4	KAK4472865.1
OG0001462	TREG1_77890.1, TREG1_138300.1	KAK4467568.1
OG0001463	TREG1_80840.1, TREG1_80850.1	KAK4472017.1
OG0001464	TREG1_75630.1	KAK4469332.1
OG0001465	TREG1_100070.1	KAK4470015.1, KAK4470333.1
OG0001466	TREG1_3100.1	KAK4475780.1, KAK4475777.1, KAK4467227.1
OG0001467	TREG1_88520.1, TREG1_88520.2, TREG1_88520.3, TREG1_88520.4	KAK4471670.1
OG0001468	TREG1_3230.2, TREG1_3230.1, TREG1_3230.3	KAK4475755.1
OG0001469	TREG1_110990.1	KAK4468293.1
OG0001470	TREG1_81890.1	KAK4471118.1
OG0001471	TREG1_81410.1, TREG1_81410.2, TREG1_81410.3, TREG1_81410.4	KAK4471762.1, KAK4471761.1
OG0001472	TREG1_81080.4, TREG1_81080.5, TREG1_81080.3, TREG1_81080.2, TREG1_81080.1	KAK4471954.1
OG0001473	TREG1_97160.1	KAK4470641.1
OG0001474	TREG1_55100.1	KAK4473644.1
OG0001475	TREG1_61730.1	KAK4469874.1
OG0001476	TREG1_7190.3, TREG1_7190.4, TREG1_7190.1, TREG1_7190.2	KAK4476002.1
OG0001477	TREG1_74390.1	KAK4469033.1
OG0001478	TREG1_27480.1, TREG1_36420.1	KAK4475476.1
OG0001479	TREG1_11960.1	KAK4476159.1
OG0001481	TREG1_66970.1, TREG1_66970.2, TREG1_66950.1, TREG1_66970.3	KAK4469635.1, KAK4469636.1
OG0001482	TREG1_128020.1	KAK4468865.1
OG0001483	TREG1_103380.5, TREG1_103380.1, TREG1_103380.2, TREG1_103380.3, TREG1_103380.4	KAK4470165.1
OG0001484	TREG1_61060.1	KAK4473387.1
OG0001485	TREG1_45570.2, TREG1_31760.1, TREG1_45570.1, TREG1_45570.3	KAK4472286.1
OG0001486	TREG1_63430.1, TREG1_136650.1, TREG1_136650.2	KAK4469506.1
OG0001487	TREG1_58690.1	KAK4473164.1
OG0001488	TREG1_44200.1	KAK4474060.1
OG0001488	TREG1_135980.1	KAK4467784.1
OG0001489	TREG1_35590.4, TREG1_35600.1, TREG1_35590.2, TREG1_35590.1, TREG1_35590.3	KAK4473243.1
OG0001490	TREG1_55160.1, TREG1_55160.4, TREG1_55160.2, TREG1_55160.7, TREG1_55160.8, TREG1_55160.3, TREG1_55160.5, TREG1_55160.6	KAK4472636.1
OG0001491	TREG1_13090.1, TREG1_141010.4, TREG1_141010.6, TREG1_141010.1, TREG1_141010.2, TREG1_141010.3, TREG1_141010.5, TREG1_141010.8, TREG1_141010.7	KAK4467448.1, KAK4475818.1
OG0001492	TREG1_66190.1	KAK4469550.1
OG0001493	TREG1_62850.1	KAK4469536.1
OG0001494	TREG1_38650.1, TREG1_38650.3, TREG1_38650.2, TREG1_38650.4	KAK4472983.1
OG0001495	TREG1_19580.1, TREG1_19580.2	KAK4475962.1
OG0001496	TREG1_107900.1	KAK4470511.1
OG0001497	TREG1_52120.1, TREG1_52120.3, TREG1_52120.2	KAK4474198.1
OG0001498	TREG1_36200.3, TREG1_36200.4, TREG1_36200.2, TREG1_36200.1, TREG1_36200.5	KAK4473400.1
OG0001499	TREG1_89350.1, TREG1_89350.2	KAK4471805.1
OG0001500	TREG1_89480.1, TREG1_89480.4, TREG1_89480.2, TREG1_89480.3	KAK4471363.1
OG0001501	TREG1_131830.1, TREG1_131830.2	KAK4467925.1
OG0001502	TREG1_14300.1	KAK4475834.1
OG0001503	TREG1_69740.1, TREG1_69740.2, TREG1_69740.3	KAK4469162.1
OG0001504	TREG1_87580.1	KAK4471426.1
OG0001505	TREG1_130260.1	KAK4467674.1
OG0001506	TREG1_137820.1, TREG1_137820.2, TREG1_28550.1, TREG1_28510.1, TREG1_142430.1, TREG1_145170.1, TREG1_145170.2, TREG1_145170.3, TREG1_145180.1, TREG1_145180.2, TREG1_145180.3, TREG1_145180.4, TREG1_145180.5, TREG1_145180.6, TREG1_145180.7, TREG1_137840.2, TREG1_137840.3, TREG1_137840.1	KAK4474547.1
OG0001507	TREG1_70160.1, TREG1_70150.1, TREG1_70140.1, TREG1_70130.1	KAK4469704.1
OG0001508	TREG1_41530.1	KAK4473780.1
OG0001509	TREG1_101460.1	KAK4470670.1
OG0001510	TREG1_37060.1, TREG1_37060.3, TREG1_37060.4, TREG1_37060.2, TREG1_37060.5, TREG1_37060.6, TREG1_37060.7	KAK4473423.1
OG0001511	TREG1_58520.1	KAK4472609.1
OG0001512	TREG1_139900.1, TREG1_139900.2	KAK4470155.1, KAK4470156.1
OG0001513	TREG1_29690.4, TREG1_29690.2, TREG1_29690.1, TREG1_29690.3	KAK4474579.1
OG0001514	TREG1_116980.7, TREG1_116980.1, TREG1_116980.3, TREG1_116980.4, TREG1_116980.5, TREG1_116980.2, TREG1_116980.6	KAK4474937.1
OG0001515	TREG1_11940.1, TREG1_11940.2	KAK4476213.1
OG0001516	TREG1_22540.1, TREG1_22540.2	KAK4475046.1
OG0001517	TREG1_59040.4, TREG1_59040.1, TREG1_59040.2, TREG1_59040.3	KAK4473097.1
OG0001518	TREG1_99230.1	KAK4470507.1
OG0001519	TREG1_98500.4, TREG1_98500.3, TREG1_98500.1, TREG1_98500.2	KAK4470526.1
OG0001520	TREG1_7990.1, TREG1_7980.1	KAK4475990.1
OG0001521	TREG1_77110.1, TREG1_77110.2	KAK4469850.1
OG0001522	TREG1_6370.1, TREG1_6370.3, TREG1_6370.5, TREG1_6370.2, TREG1_6370.4	KAK4474373.1
OG0001523	TREG1_69300.1	KAK4469319.1
OG0001524	TREG1_113100.1	KAK4468358.1, KAK4468304.1
OG0001525	TREG1_58120.1, TREG1_58120.2, TREG1_58120.3	KAK4472296.1
OG0001526	TREG1_63850.1	KAK4469504.1
OG0001527	TREG1_125950.1, TREG1_125950.2	KAK4468587.1
OG0001528	TREG1_42490.1, TREG1_42490.2, TREG1_42490.3, TREG1_42490.4	KAK4473520.1
OG0001529	TREG1_81520.1	KAK4472072.1
OG0001530	TREG1_61290.1	KAK4469900.1
OG0001531	TREG1_17510.1	KAK4474840.1, KAK4474842.1
OG0001532	TREG1_20330.1, TREG1_20310.4, TREG1_31940.1, TREG1_31940.2, TREG1_31960.2, TREG1_31960.3, TREG1_31960.1, TREG1_31960.4, TREG1_137770.1	KAK4475577.1
OG0001533	TREG1_78270.1	KAK4472100.1
OG0001534	TREG1_102860.1	KAK4470485.1
OG0001535	TREG1_120350.1	KAK4468789.1
OG0001536	TREG1_28410.1	KAK4475341.1
OG0001537	TREG1_12650.1, TREG1_12650.2	KAK4474598.1
OG0001538	TREG1_123790.1	KAK4468775.1
OG0001539	TREG1_115900.4, TREG1_115900.1, TREG1_115900.3, TREG1_115900.5, TREG1_115900.2, TREG1_115900.6	KAK4474777.1
OG0001540	TREG1_57950.1	KAK4473765.1
OG0001541	TREG1_115060.1	KAK4468168.1
OG0001542	TREG1_69870.1	KAK4469573.1
OG0001543	TREG1_112350.1, TREG1_112350.2	KAK4468017.1
OG0001544	TREG1_7900.1	KAK4474656.1
OG0001545	TREG1_72370.4, TREG1_72370.3, TREG1_72370.5, TREG1_72370.6, TREG1_72370.7, TREG1_72370.1, TREG1_72370.2	KAK4469077.1
OG0001546	TREG1_51870.1	KAK4474025.1
OG0001547	TREG1_31880.1, TREG1_31870.1	KAK4472298.1
OG0001548	TREG1_123720.1, TREG1_123720.2	KAK4468448.1
OG0001549	TREG1_31450.1	KAK4473526.1
OG0001554	TREG1_50370.1, TREG1_50370.2	KAK4472720.1
OG0001555	TREG1_99260.1	KAK4470510.1
OG0001556	TREG1_52030.2, TREG1_52030.1, TREG1_52030.3	KAK4474204.1
OG0001557	TREG1_57800.1, TREG1_57800.2	KAK4472960.1
OG0001558	TREG1_95810.1, TREG1_109210.1, TREG1_61190.1, TREG1_61180.2, TREG1_61180.1	KAK4467369.1
OG0001559	TREG1_68630.1	KAK4469451.1
OG0001560	TREG1_144740.1, TREG1_144730.1, TREG1_144730.2, TREG1_80670.1	KAK4471393.1
OG0001561	TREG1_62580.1	KAK4469503.1, KAK4469493.1
OG0001562	TREG1_107300.1, TREG1_43770.1	KAK4470382.1, KAK4470383.1, KAK4470380.1
OG0001563	TREG1_42870.1	KAK4472898.1
OG0001565	TREG1_88960.1	KAK4471199.1
OG0001566	TREG1_84650.3, TREG1_84650.1, TREG1_84650.2, TREG1_84650.4	KAK4471382.1
OG0001567	TREG1_104930.1, TREG1_104930.2, TREG1_104930.3, TREG1_104930.4	KAK4470759.1
OG0001568	TREG1_101040.1	KAK4467482.1
OG0001569	TREG1_26680.1	KAK4475458.1
OG0001570	TREG1_95370.1, TREG1_95380.1, TREG1_95380.2	KAK4470472.1
OG0001571	TREG1_320.1	KAK4475792.1
OG0001571	TREG1_5350.1	KAK4475974.1
OG0001572	TREG1_84520.1	KAK4471383.1
OG0001573	TREG1_38470.1	KAK4472974.1
OG0001574	TREG1_36690.1	KAK4474125.1
OG0001575	TREG1_13880.1, TREG1_13880.2	KAK4474487.1, KAK4467524.1
OG0001576	TREG1_119920.1, TREG1_119920.2, TREG1_119920.3	KAK4468675.1
OG0001577	TREG1_47220.1	KAK4472784.1
OG0001578	TREG1_75840.1	KAK4469733.1
OG0001579	TREG1_8460.1, TREG1_8460.2, TREG1_8460.3, TREG1_8460.4	KAK4474867.1
OG0001580	TREG1_56240.1, TREG1_56280.1, TREG1_56280.2	KAK4473439.1
OG0001581	TREG1_104470.1, TREG1_104470.4, TREG1_104470.2, TREG1_104470.3, TREG1_104470.5	KAK4470867.1
OG0001582	TREG1_74700.1, TREG1_74700.2, TREG1_74700.3	KAK4469986.1
OG0001583	TREG1_38090.1, TREG1_38090.2, TREG1_38090.3	KAK4467501.1
OG0001584	TREG1_57240.1, TREG1_57240.2	KAK4474170.1
OG0001585	TREG1_40750.1	KAK4473664.1
OG0001586	TREG1_15810.10, TREG1_15830.1, TREG1_15810.11	KAK4474962.1
OG0001587	TREG1_21380.1, TREG1_21380.2	KAK4475140.1
OG0001588	TREG1_86360.1, TREG1_86360.2, TREG1_86360.3	KAK4471682.1
OG0001589	TREG1_53640.1, TREG1_53650.1	KAK4472272.1
