Orthogroup	trichobilharzia_regenti	schistosoma_mansoni
OG0000446	TREG1_11500.3, TREG1_11500.1, TREG1_11500.4, TREG1_11500.7, TREG1_11500.5, TREG1_11500.6, TREG1_11500.2	Smp_244750.1
OG0000447	TREG1_72710.1, TREG1_72710.2, TREG1_72710.3, TREG1_72710.4	Smp_312150.1
OG0000448	TREG1_51250.1, TREG1_51250.2, TREG1_51250.3, TREG1_51250.5, TREG1_51250.4, TREG1_51250.8, TREG1_51250.6, TREG1_51250.7	Smp_161790.1
OG0000450	TREG1_54550.8, TREG1_54550.3, TREG1_54550.4, TREG1_54550.6, TREG1_54550.7, TREG1_54550.5, TREG1_54550.1, TREG1_54550.2	Smp_003980.1
OG0000451	TREG1_46800.1	Smp_267100.1
OG0000452	TREG1_43930.5, TREG1_43930.6, TREG1_43930.1, TREG1_43930.2, TREG1_43930.7, TREG1_43930.3, TREG1_43930.8, TREG1_43930.4	Smp_248190.1
OG0000453	TREG1_86740.4, TREG1_86740.5, TREG1_86740.2, TREG1_86740.3, TREG1_86740.1, TREG1_86740.6	Smp_311970.1, Smp_311970.2
OG0000454	TREG1_112450.1, TREG1_112460.1, TREG1_112470.1	Smp_309480.1, Smp_314640.1
OG0000454	TREG1_100660.1	Smp_062900.2
OG0000455	TREG1_122450.1, TREG1_122460.1	Smp_129160.1, Smp_157720.1
OG0000456	TREG1_95540.1, TREG1_95540.6, TREG1_95540.5, TREG1_95540.3, TREG1_95540.4, TREG1_95540.2	Smp_149040.1
OG0000457	TREG1_49650.2, TREG1_49650.4, TREG1_49650.5, TREG1_49650.3, TREG1_49650.1, TREG1_49650.10, TREG1_49650.6, TREG1_49650.7, TREG1_49650.8, TREG1_49650.9	Smp_034980.1
OG0000458	TREG1_49780.4, TREG1_49780.1, TREG1_49780.2, TREG1_49780.3	Smp_345710.1
OG0000459	TREG1_12000.1	Smp_302920.1
OG0000460	TREG1_25630.1, TREG1_25630.2	Smp_323500.2, Smp_323490.1, Smp_323500.1, Smp_323510.1, Smp_336840.1, Smp_336850.1, Smp_178360.1, Smp_323480.1
OG0000461	TREG1_97220.1	Smp_347140.2, Smp_347140.3, Smp_347140.1, Smp_347140.4, Smp_347140.5
OG0000462	TREG1_131150.1	Smp_317990.1, Smp_317990.2
OG0000463	TREG1_66810.1, TREG1_66810.2, TREG1_66810.3, TREG1_66810.4, TREG1_66810.5, TREG1_66810.6	Smp_129980.1, Smp_014410.1, Smp_014430.1
OG0000464	TREG1_10450.7, TREG1_10450.1, TREG1_10450.6, TREG1_10450.2, TREG1_10450.4, TREG1_10450.3, TREG1_10450.5	Smp_047190.1
OG0000465	TREG1_99250.1	Smp_030760.1
OG0000466	TREG1_75670.2, TREG1_75670.1, TREG1_75670.3, TREG1_75670.4	Smp_245780.1
OG0000467	TREG1_50320.1	Smp_126540.1
OG0000468	TREG1_95150.1, TREG1_95150.2	Smp_141580.1
OG0000469	TREG1_108520.1	Smp_031070.1, Smp_031070.2
OG0000470	TREG1_64280.1, TREG1_64280.2, TREG1_64280.3, TREG1_64280.4	Smp_156450.1
OG0000471	TREG1_119940.1	Smp_138860.1
OG0000472	TREG1_52880.1, TREG1_52870.1	Smp_302020.1, Smp_126580.1, Smp_302030.1
OG0000473	TREG1_3600.1, TREG1_3610.1	Smp_138590.1
OG0000474	TREG1_21690.1	Smp_266840.1
OG0000474	TREG1_63300.1	Smp_122810.1
OG0000475	TREG1_83310.6, TREG1_83310.1, TREG1_83310.2, TREG1_83310.3, TREG1_83310.4, TREG1_83310.5	Smp_169800.1
OG0000476	TREG1_28820.4, TREG1_28820.1, TREG1_28820.5, TREG1_28820.2, TREG1_28820.6, TREG1_28820.3, TREG1_28820.7	Smp_342610.1, Smp_342610.2
OG0000477	TREG1_61430.3, TREG1_61430.1, TREG1_61430.4, TREG1_61430.2, TREG1_61430.5	Smp_090450.1
OG0000478	TREG1_8640.4, TREG1_8640.1, TREG1_8640.2, TREG1_8640.3	Smp_096450.1
OG0000479	TREG1_55210.3, TREG1_55210.5, TREG1_55210.4, TREG1_55210.2, TREG1_55210.1, TREG1_55210.6	Smp_094330.1
OG0000480	TREG1_90290.1	Smp_134950.1
OG0000481	TREG1_82480.1	Smp_134880.1
OG0000482	TREG1_12770.1, TREG1_12770.2, TREG1_12770.3, TREG1_12770.4, TREG1_12770.5, TREG1_12770.6, TREG1_12770.7	Smp_172280.1
OG0000483	TREG1_79390.6, TREG1_79390.1, TREG1_79390.2, TREG1_79390.3, TREG1_79390.5, TREG1_79390.4	Smp_309950.1, Smp_309960.1
OG0000484	TREG1_134100.1	Smp_332380.1
OG0000485	TREG1_108870.1, TREG1_108870.3, TREG1_108870.4, TREG1_108870.5, TREG1_108870.6, TREG1_108870.7, TREG1_108870.8, TREG1_108870.2, TREG1_15250.10, TREG1_15250.2, TREG1_15250.8, TREG1_15250.9, TREG1_15250.3, TREG1_15250.1, TREG1_15250.4, TREG1_15250.5, TREG1_15250.6, TREG1_15250.11, TREG1_15250.12, TREG1_15250.7	Smp_058400.1
OG0000488	TREG1_122260.1, TREG1_122260.2, TREG1_122260.3, TREG1_122260.4, TREG1_122260.5	Smp_315060.1, Smp_337100.1, Smp_337100.4, Smp_337100.2, Smp_337100.3, Smp_337100.5, Smp_334670.1, Smp_205300.1, Smp_316490.1, Smp_316490.2, Smp_331120.1, Smp_341290.1
OG0000489	TREG1_72730.2, TREG1_72730.3, TREG1_72730.4, TREG1_72730.1, TREG1_72730.5, TREG1_72730.6, TREG1_72730.7	Smp_179070.1
OG0000490	TREG1_90670.5, TREG1_90670.6, TREG1_90770.1	Smp_100130.1
OG0000491	TREG1_49150.7, TREG1_49150.1, TREG1_49150.5, TREG1_49150.2, TREG1_49150.3, TREG1_49150.6, TREG1_49150.4	Smp_081260.1
OG0000492	TREG1_85530.7, TREG1_85530.2, TREG1_85530.3, TREG1_85530.5, TREG1_85530.8, TREG1_85530.4, TREG1_85530.1, TREG1_85530.6	Smp_181440.1
OG0000493	TREG1_67440.1, TREG1_67440.2	Smp_004730.1
OG0000493	TREG1_47230.1, TREG1_47230.2	Smp_340320.1
OG0000495	TREG1_18450.1, TREG1_18450.2, TREG1_18450.3	Smp_336640.1
OG0000496	TREG1_33060.1	Smp_092770.1
OG0000497	TREG1_3380.1	Smp_068920.1, Smp_068920.2, Smp_245240.1
OG0000498	TREG1_35870.1	Smp_124070.1
OG0000498	TREG1_58820.1	Smp_331830.1
OG0000499	TREG1_103170.4, TREG1_103170.5, TREG1_103170.1, TREG1_137200.1, TREG1_103170.2, TREG1_103170.3	Smp_343450.1
OG0000500	TREG1_21520.1	Smp_347050.1
OG0000501	TREG1_51730.1	Smp_161970.1, Smp_161970.2
OG0000502	TREG1_47280.9, TREG1_47280.7, TREG1_47280.6, TREG1_47280.12, TREG1_47280.1, TREG1_47280.3, TREG1_47280.10, TREG1_47280.2, TREG1_47280.4, TREG1_47280.8, TREG1_47280.5, TREG1_47280.11	Smp_137330.1
OG0000503	TREG1_870.1	Smp_022400.1
OG0000504	TREG1_71760.1, TREG1_71760.2	Smp_133710.1
OG0000505	TREG1_33200.1	Smp_072350.1
OG0000506	TREG1_470.4, TREG1_470.1, TREG1_470.2, TREG1_470.3	Smp_212200.1
OG0000507	TREG1_44110.1, TREG1_44130.1	Smp_246510.1, Smp_246510.2
OG0000508	TREG1_20060.6, TREG1_20060.1, TREG1_20060.4, TREG1_20060.5, TREG1_20060.2, TREG1_20060.3	Smp_024000.1
OG0000509	TREG1_65250.1	Smp_046790.1
OG0000509	TREG1_65270.1, TREG1_65270.2	Smp_127200.1
OG0000510	TREG1_108400.1	Smp_152500.1
OG0000510	TREG1_108440.3, TREG1_108440.1, TREG1_108440.2	Smp_344480.2, Smp_344480.1
OG0000511	TREG1_104110.3, TREG1_104110.1, TREG1_104110.2, TREG1_104150.1, TREG1_104170.1, TREG1_104120.1, TREG1_104110.4, TREG1_104110.5	Smp_329270.1, Smp_336120.1, Smp_329280.1, Smp_149750.1, Smp_149750.2, Smp_149750.3
OG0000512	TREG1_64630.1	Smp_166940.1
OG0000513	TREG1_91600.1	Smp_333620.1
OG0000514	TREG1_61400.1, TREG1_61400.2, TREG1_61400.3, TREG1_61400.5, TREG1_61400.4	Smp_122840.1
OG0000515	TREG1_33970.1, TREG1_33970.2	Smp_153720.1
OG0000516	TREG1_80730.1	Smp_129110.1
OG0000517	TREG1_51710.1, TREG1_51710.2, TREG1_51710.3	Smp_161980.1
OG0000521	TREG1_103350.7, TREG1_103350.9, TREG1_103350.6, TREG1_103350.2, TREG1_103350.3, TREG1_103350.4, TREG1_103350.8, TREG1_103350.1, TREG1_103350.5	Smp_316340.1
OG0000522	TREG1_75610.1	Smp_166440.1
OG0000523	TREG1_100250.1	Smp_155750.1
OG0000524	TREG1_24710.1, TREG1_16670.2, TREG1_16670.9, TREG1_16670.4, TREG1_16670.6, TREG1_16670.1, TREG1_16670.3, TREG1_16670.11, TREG1_16670.8, TREG1_16670.10, TREG1_16670.12, TREG1_16670.5, TREG1_16670.7, TREG1_16680.1, TREG1_111210.2, TREG1_111210.1, TREG1_111210.3, TREG1_111210.4, TREG1_111230.1, TREG1_111220.1, TREG1_24720.1	Smp_065810.1
OG0000525	TREG1_74580.1, TREG1_143600.1, TREG1_143600.2	Smp_122900.1
OG0000526	TREG1_9110.2, TREG1_9110.3, TREG1_9110.1, TREG1_9110.4, TREG1_9110.5	Smp_304370.1
OG0000527	TREG1_17760.1, TREG1_17760.2	Smp_062680.1
OG0000528	TREG1_50620.1	Smp_140520.1
OG0000529	TREG1_28450.1	Smp_102160.2, Smp_102160.1
OG0000530	TREG1_133430.1	Smp_104310.1
OG0000530	TREG1_134910.1, TREG1_134920.1	Smp_005670.1, Smp_349020.1, Smp_337130.1
OG0000531	TREG1_106010.1	Smp_145090.1
OG0000532	TREG1_7720.1, TREG1_7720.2	Smp_324710.1, Smp_092880.1
OG0000533	TREG1_21800.1, TREG1_21800.3, TREG1_21800.5, TREG1_21800.8, TREG1_21800.9, TREG1_21800.2, TREG1_21800.4, TREG1_21800.6, TREG1_21800.7	Smp_347530.1, Smp_347530.2
OG0000534	TREG1_95460.1	Smp_149080.1
OG0000535	TREG1_78360.1, TREG1_80440.1	Smp_029470.1, Smp_029500.1
OG0000536	TREG1_81140.1	Smp_079740.1
OG0000537	TREG1_73770.1, TREG1_73770.3, TREG1_73770.2, TREG1_73770.4	Smp_060860.1
OG0000538	TREG1_1900.1	Smp_314170.1, Smp_303010.1, Smp_348060.1, Smp_332150.1, Smp_316790.1, Smp_335780.1, Smp_335930.1, Smp_317470.1, Smp_317470.3, Smp_317470.2, Smp_315690.1, Smp_315690.2, Smp_187410.1
OG0000539	TREG1_69190.1, TREG1_69180.3, TREG1_69180.4, TREG1_69180.1, TREG1_69180.5, TREG1_69180.2	Smp_021170.1, Smp_021170.3, Smp_021170.2
OG0000540	TREG1_11390.2, TREG1_11390.1, TREG1_11390.3	Smp_245200.1
OG0000541	TREG1_50140.8, TREG1_50140.10, TREG1_50140.11, TREG1_50140.12, TREG1_50140.13, TREG1_50140.3, TREG1_50140.5, TREG1_50140.6, TREG1_50140.7, TREG1_50140.1, TREG1_50140.2, TREG1_50140.4, TREG1_50140.9	Smp_333760.1
OG0000542	TREG1_120480.1, TREG1_120490.1, TREG1_120480.3, TREG1_120490.2, TREG1_120490.3	Smp_123290.1
OG0000543	TREG1_21010.4, TREG1_21010.1, TREG1_21010.2, TREG1_21010.3, TREG1_21010.5, TREG1_21010.6	Smp_336650.1
OG0000544	TREG1_97610.1	Smp_090070.1
OG0000545	TREG1_62060.1	Smp_047900.1
OG0000545	TREG1_95860.1	Smp_142050.1
OG0000546	TREG1_46620.1	Smp_322440.1
OG0000547	TREG1_125930.1	Smp_169940.1
OG0000548	TREG1_48060.1	Smp_140820.1
OG0000549	TREG1_25530.2, TREG1_25530.1, TREG1_25530.3, TREG1_25530.4, TREG1_25530.5	Smp_165440.2, Smp_165440.1
OG0000550	TREG1_16250.1, TREG1_16240.2, TREG1_16240.4, TREG1_16240.6, TREG1_16240.8, TREG1_16240.10, TREG1_16240.7, TREG1_16240.3, TREG1_16240.5, TREG1_16240.1, TREG1_16240.9, TREG1_16230.1, TREG1_16230.3, TREG1_16230.2	Smp_244030.1, Smp_244040.1
OG0000551	TREG1_70940.1	Smp_089870.1, Smp_337740.1, Smp_082750.1, Smp_123850.1, Smp_056420.1, Smp_086860.1
OG0000552	TREG1_2340.1, TREG1_68430.1, TREG1_68430.2, TREG1_68430.3	Smp_068950.1
OG0000552	TREG1_121870.1	Smp_212260.1
OG0000553	TREG1_132920.1, TREG1_132920.2, TREG1_132920.3	Smp_300840.1, Smp_300840.2
OG0000554	TREG1_55910.1, TREG1_21130.1, TREG1_21120.2, TREG1_21120.3, TREG1_21120.4, TREG1_21120.1, TREG1_21120.5, TREG1_21120.6	Smp_078280.1
OG0000555	TREG1_42790.1, TREG1_42770.1, TREG1_42770.2	Smp_005500.1
OG0000556	TREG1_90600.1, TREG1_90620.1, TREG1_90610.1	Smp_168160.1
OG0000557	TREG1_40110.1	Smp_068070.1
OG0000558	TREG1_15740.1	Smp_044970.1
OG0000559	TREG1_112190.3, TREG1_112190.4, TREG1_112190.1, TREG1_112190.2, TREG1_112190.6, TREG1_112190.5	Smp_347940.1
OG0000560	TREG1_133190.1, TREG1_133190.2	Smp_175780.1
OG0000561	TREG1_135790.1	Smp_023010.1
OG0000561	TREG1_136100.1, TREG1_135780.1	Smp_134510.1
OG0000562	TREG1_114580.3, TREG1_114580.4, TREG1_114580.5, TREG1_114580.7, TREG1_114580.2, TREG1_114580.6, TREG1_114580.1, TREG1_114580.11, TREG1_114580.10, TREG1_114580.13, TREG1_114580.9, TREG1_114580.12, TREG1_114580.14, TREG1_114580.8	Smp_144020.1
OG0000563	TREG1_22360.1, TREG1_22360.2, TREG1_22360.3, TREG1_22360.4, TREG1_22360.5, TREG1_22360.6	Smp_039870.1
OG0000564	TREG1_56450.1, TREG1_56440.1	Smp_088950.1, Smp_088950.2
OG0000565	TREG1_6420.1, TREG1_6420.2, TREG1_6420.3, TREG1_6420.4, TREG1_6420.5	Smp_028210.2, Smp_028210.1
OG0000566	TREG1_111000.1, TREG1_111000.2, TREG1_111000.3	Smp_053060.1
OG0000567	TREG1_82820.1	Smp_197370.1
OG0000568	TREG1_76800.1	Smp_088650.1
OG0000568	TREG1_82130.1	Smp_340020.1
OG0000568	TREG1_40240.1	Smp_032180.1
OG0000569	TREG1_8360.2, TREG1_8360.10, TREG1_8360.3, TREG1_8360.4, TREG1_8360.8, TREG1_8360.1, TREG1_8360.7, TREG1_8360.9, TREG1_8360.5, TREG1_8360.6	Smp_333030.1
OG0000570	TREG1_10770.1	Smp_135790.1, Smp_135790.3, Smp_135790.2
OG0000571	TREG1_11760.3, TREG1_11760.4, TREG1_11760.2, TREG1_11760.1, TREG1_11760.5, TREG1_11760.6	Smp_011680.1, Smp_011680.2
OG0000572	TREG1_84160.1	Smp_243200.1
OG0000574	TREG1_20290.1	Smp_168310.1, Smp_168310.2
OG0000574	TREG1_21410.1, TREG1_144080.2, TREG1_144080.4, TREG1_145380.3, TREG1_144080.1, TREG1_144080.3, TREG1_19080.1, TREG1_145380.1, TREG1_17240.1, TREG1_145380.2, TREG1_144090.1, TREG1_19090.1, TREG1_19090.2	Smp_242540.1
OG0000575	TREG1_134340.1	Smp_174240.3, Smp_174240.1, Smp_174240.2
OG0000576	TREG1_40480.1	Smp_061590.1
OG0000577	TREG1_66260.1	Smp_181080.1, Smp_181080.2
OG0000579	TREG1_98810.1	Smp_043270.1, Smp_134460.1, Smp_348040.1, Smp_043300.1, Smp_043340.1, Smp_043320.1
OG0000580	TREG1_45050.1, TREG1_45050.6, TREG1_45050.2, TREG1_45050.4, TREG1_45050.3, TREG1_45050.5	Smp_125890.1
OG0000580	TREG1_51770.1	Smp_033700.1
OG0000581	TREG1_85110.1, TREG1_85110.2, TREG1_85110.3	Smp_246950.1
OG0000582	TREG1_115240.1	Smp_146750.1
OG0000582	TREG1_115230.1	Smp_146740.1
OG0000582	TREG1_110220.1, TREG1_115220.1	Smp_045680.1
OG0000583	TREG1_85440.1	Smp_341630.1
OG0000584	TREG1_48340.1	Smp_343410.1, Smp_343410.2
OG0000585	TREG1_12160.7, TREG1_12160.6, TREG1_12160.3, TREG1_12160.4, TREG1_12160.2, TREG1_12160.1, TREG1_12160.8, TREG1_12160.5	Smp_141830.1
OG0000586	TREG1_49800.1	Smp_194160.1
OG0000587	TREG1_136850.1	Smp_333670.1
OG0000587	TREG1_56930.1	Smp_322850.1
OG0000588	TREG1_29180.1, TREG1_29190.1, TREG1_29170.1, TREG1_29310.1	Smp_160370.1, Smp_160370.2, Smp_160370.3
OG0000589	TREG1_77090.1, TREG1_77090.2	Smp_034410.1
OG0000590	TREG1_46410.1	Smp_019990.1
OG0000590	TREG1_45820.1	Smp_060700.1
OG0000591	TREG1_19270.1	Smp_028200.1, Smp_028200.2
OG0000592	TREG1_45210.1	Smp_128960.1
OG0000593	TREG1_58530.1, TREG1_58530.2, TREG1_58530.3, TREG1_58530.4	Smp_125790.1
OG0000594	TREG1_24250.1, TREG1_72460.1	Smp_103810.1
OG0000595	TREG1_63690.1, TREG1_63690.2, TREG1_63690.3	Smp_128150.1
OG0000597	TREG1_33750.3, TREG1_33750.1, TREG1_33780.1, TREG1_33750.2, TREG1_33750.4, TREG1_84260.1, TREG1_84200.1, TREG1_141400.1, TREG1_145040.1, TREG1_84210.1, TREG1_141390.1, TREG1_84250.1, TREG1_84250.2	Smp_310050.1, Smp_310050.2, Smp_310040.1, Smp_327280.1, Smp_138750.1
OG0000598	TREG1_137630.1, TREG1_76110.1, TREG1_76110.2, TREG1_76150.1, TREG1_76140.1	Smp_135900.1
OG0000599	TREG1_90170.2, TREG1_90170.1, TREG1_90170.3	Smp_105930.1
OG0000600	TREG1_92180.1, TREG1_92180.2, TREG1_92180.3, TREG1_92180.4, TREG1_92180.5, TREG1_92180.6, TREG1_92180.7, TREG1_92180.8, TREG1_92180.9	Smp_187940.1
OG0000601	TREG1_131690.1	Smp_134600.1
OG0000601	TREG1_56660.1	Smp_172040.1
OG0000602	TREG1_21030.1, TREG1_21030.2, TREG1_21030.3, TREG1_21030.4	Smp_346610.2, Smp_346610.3, Smp_346610.1, Smp_346610.4
OG0000603	TREG1_74520.1	Smp_123010.1
OG0000605	TREG1_60080.1, TREG1_60080.6, TREG1_60080.2, TREG1_60080.3, TREG1_60080.4, TREG1_60080.5	Smp_097750.1
OG0000605	TREG1_59030.1	Smp_097800.1
OG0000606	TREG1_70950.1	Smp_074610.1
OG0000606	TREG1_70950.1	Smp_089860.1
OG0000606	TREG1_12060.1	Smp_082240.1
OG0000606	TREG1_18830.1	Smp_082240.1
OG0000606	TREG1_18840.1	Smp_082240.1
OG0000606	TREG1_12060.1	Smp_348800.1
OG0000606	TREG1_18830.1	Smp_348800.1
OG0000606	TREG1_18840.1	Smp_348800.1
OG0000607	TREG1_49850.1, TREG1_49850.2	Smp_154420.1
OG0000608	TREG1_68600.6, TREG1_68600.5, TREG1_68600.3, TREG1_68600.1, TREG1_68600.2, TREG1_68600.4	Smp_245720.1
OG0000609	TREG1_60290.1, TREG1_60280.1, TREG1_60280.2	Smp_163570.1, Smp_163570.2
OG0000610	TREG1_48560.1	Smp_035430.1
OG0000610	TREG1_61090.1, TREG1_61090.2	Smp_176600.1
OG0000611	TREG1_39480.1, TREG1_39460.1	Smp_320240.1, Smp_051640.1, Smp_331730.1
OG0000612	TREG1_11300.1	Smp_213240.1
OG0000613	TREG1_50280.1	Smp_196510.1
OG0000614	TREG1_39240.5, TREG1_39240.1, TREG1_39240.2, TREG1_39240.3, TREG1_39240.4	Smp_097180.1, Smp_097180.2
OG0000615	TREG1_28100.1, TREG1_28100.2	Smp_157150.1
OG0000616	TREG1_79530.1	Smp_341160.1, Smp_341160.2
OG0000617	TREG1_113250.10, TREG1_113250.11, TREG1_113250.6, TREG1_113250.12, TREG1_113250.7, TREG1_113250.4, TREG1_113250.2, TREG1_113250.8, TREG1_113250.9, TREG1_113250.1, TREG1_113250.3, TREG1_113250.5	Smp_136240.1
OG0000618	TREG1_54300.1, TREG1_54290.1, TREG1_54290.2	Smp_127380.1, Smp_127380.2
OG0000619	TREG1_7450.1	Smp_337320.1
OG0000620	TREG1_137380.1	Smp_135230.1
OG0000620	TREG1_61470.1	Smp_171580.1
OG0000621	TREG1_47640.1	Smp_208090.1
OG0000622	TREG1_107710.3, TREG1_107710.1, TREG1_107710.2, TREG1_107710.4	Smp_137080.1
OG0000623	TREG1_10780.1	Smp_212030.1
OG0000624	TREG1_52600.1, TREG1_52600.2	Smp_133150.1
OG0000625	TREG1_39770.1, TREG1_39760.1	Smp_167590.1
OG0000626	TREG1_76310.1, TREG1_76310.2, TREG1_76310.3	Smp_245970.1
OG0000627	TREG1_15320.1	Smp_132020.1
OG0000628	TREG1_91720.1, TREG1_91710.1	Smp_132450.1
OG0000629	TREG1_41520.1, TREG1_41520.2, TREG1_41520.3	Smp_054790.1
OG0000630	TREG1_80480.6, TREG1_80480.1, TREG1_80480.2, TREG1_80480.3, TREG1_80480.4, TREG1_80480.5, TREG1_141830.5, TREG1_141840.2, TREG1_141840.3, TREG1_141830.6, TREG1_141830.7, TREG1_28320.1, TREG1_28320.2, TREG1_28320.4, TREG1_28320.5, TREG1_28320.3, TREG1_28320.7, TREG1_28320.8, TREG1_28320.9, TREG1_141830.2, TREG1_141840.1, TREG1_28320.6, TREG1_141840.6, TREG1_141830.4, TREG1_141840.5, TREG1_141840.7, TREG1_141830.1, TREG1_141830.3, TREG1_141840.4, TREG1_141840.8	Smp_138180.1
OG0000631	TREG1_90310.1, TREG1_90320.1, TREG1_39130.1, TREG1_39130.2	Smp_165170.1
OG0000631	TREG1_91760.1	Smp_335840.1, Smp_347080.1
OG0000632	TREG1_30130.1	Smp_046140.1
OG0000633	TREG1_73110.4, TREG1_73120.1, TREG1_73110.1, TREG1_73110.2, TREG1_73110.3	Smp_148220.1
OG0000636	TREG1_131330.1	Smp_144760.1
OG0000637	TREG1_66150.1	Smp_242110.1
OG0000638	TREG1_90220.4, TREG1_90220.3, TREG1_90220.5, TREG1_90220.7, TREG1_90220.1, TREG1_90220.2, TREG1_90220.6	Smp_347950.1, Smp_347950.2
OG0000639	TREG1_84310.6, TREG1_84310.1, TREG1_84310.5, TREG1_84310.4, TREG1_84310.2, TREG1_84310.3	Smp_197390.1
OG0000640	TREG1_114550.3, TREG1_114550.4, TREG1_114550.2, TREG1_114550.1	Smp_143980.1, Smp_242850.1
OG0000641	TREG1_4100.1	Smp_174920.1
OG0000641	TREG1_4590.1, TREG1_4590.2	Smp_007690.1
OG0000642	TREG1_82100.1	Smp_145980.1
OG0000643	TREG1_66730.1	Smp_045420.1
OG0000643	TREG1_66710.1, TREG1_66720.1, TREG1_66720.2, TREG1_66720.3	Smp_045410.1, Smp_045410.2
OG0000644	TREG1_135490.1, TREG1_135500.2, TREG1_135500.1, TREG1_135500.3, TREG1_135500.4	Smp_170550.1, Smp_170550.2
OG0000645	TREG1_7290.1, TREG1_7300.1	Smp_132850.1, Smp_210550.2
OG0000646	TREG1_12070.1	Smp_011660.1, Smp_011660.2, Smp_011660.3
OG0000647	TREG1_91240.1	Smp_129420.1
OG0000648	TREG1_128180.1	Smp_214260.1
OG0000649	TREG1_84740.1, TREG1_84730.1	Smp_247230.1
OG0000650	TREG1_106110.1, TREG1_106110.2	Smp_042340.1
OG0000651	TREG1_37070.2, TREG1_37070.1, TREG1_37070.3, TREG1_37070.4	Smp_302650.1
OG0000652	TREG1_40740.1	Smp_049600.1
OG0000653	TREG1_57150.1, TREG1_57150.2	Smp_306290.1, Smp_306300.1
OG0000654	TREG1_51530.1	Smp_331710.1
OG0000655	TREG1_113670.1, TREG1_113690.1, TREG1_113690.2, TREG1_113690.3	Smp_314360.1, Smp_332750.1, Smp_316680.1, Smp_316680.2, Smp_101230.1
OG0000656	TREG1_98900.1	Smp_043150.1
OG0000657	TREG1_125680.1	Smp_082280.1
OG0000659	TREG1_40290.1, TREG1_40290.2, TREG1_40290.3	Smp_157510.1
OG0000662	TREG1_69970.1	Smp_130100.1
OG0000663	TREG1_45970.1	Smp_343540.1
OG0000664	TREG1_8950.1, TREG1_8950.2, TREG1_8950.3	Smp_157740.1
OG0000665	TREG1_96280.1, TREG1_96290.1	Smp_334140.1
OG0000666	TREG1_84300.1, TREG1_84300.2, TREG1_84300.3	Smp_145890.1
OG0000667	TREG1_5970.1, TREG1_5970.2	Smp_006320.1, Smp_006320.2
OG0000668	TREG1_73220.1	Smp_014780.1
OG0000669	TREG1_93060.1, TREG1_93060.2, TREG1_93060.3	Smp_177120.1
OG0000670	TREG1_30700.1, TREG1_30700.2	Smp_340760.1, Smp_340760.2
OG0000671	TREG1_101960.6, TREG1_101960.3, TREG1_101960.10, TREG1_101960.7, TREG1_101960.9, TREG1_101960.2, TREG1_101960.5, TREG1_101960.1, TREG1_101960.4, TREG1_101960.8	Smp_169530.1
OG0000672	TREG1_43270.1, TREG1_43270.4, TREG1_43270.3, TREG1_43270.2, TREG1_43270.5, TREG1_43270.7, TREG1_43270.6	Smp_245600.1, Smp_245600.2
OG0000673	TREG1_25990.1	Smp_173730.1
OG0000674	TREG1_98100.1, TREG1_98100.3, TREG1_98100.5, TREG1_98100.2, TREG1_98100.4, TREG1_98100.6	Smp_041760.1
OG0000675	TREG1_10590.1, TREG1_102190.1, TREG1_10580.1	Smp_089180.1
OG0000676	TREG1_112140.1, TREG1_112140.2, TREG1_112140.3, TREG1_112140.4, TREG1_112140.5, TREG1_112140.6	Smp_129950.1, Smp_129950.2
OG0000677	TREG1_4970.2, TREG1_4970.1, TREG1_4970.5, TREG1_4970.3, TREG1_4970.4, TREG1_4970.6	Smp_304500.1
OG0000678	TREG1_52150.2, TREG1_52150.3, TREG1_52150.4, TREG1_52150.1, TREG1_52150.5	Smp_341660.1
OG0000679	TREG1_100810.1	Smp_089240.1
OG0000680	TREG1_9130.1	Smp_096640.1, Smp_096640.2
OG0000681	TREG1_57420.1	Smp_139540.1
OG0000682	TREG1_42600.1	Smp_310140.1
OG0000683	TREG1_77370.1, TREG1_137520.1, TREG1_77370.2	Smp_028730.1
OG0000683	TREG1_91590.1	Smp_000510.1
OG0000684	TREG1_110030.2, TREG1_110030.1, TREG1_110030.3, TREG1_110030.4	Smp_210150.1
OG0000685	TREG1_100060.5, TREG1_100060.1, TREG1_100060.6, TREG1_100060.7, TREG1_100060.8, TREG1_100060.2, TREG1_100060.3, TREG1_100060.4	Smp_145410.1, Smp_145410.2
OG0000686	TREG1_79590.1, TREG1_79590.2, TREG1_79590.7, TREG1_79590.3, TREG1_79590.4, TREG1_79590.5, TREG1_79590.6, TREG1_79590.8, TREG1_79590.9	Smp_166830.1
OG0000687	TREG1_141160.1, TREG1_60450.1, TREG1_60450.2	Smp_169260.2, Smp_169260.1
OG0000688	TREG1_14320.1, TREG1_14320.2	Smp_244830.1
OG0000689	TREG1_144110.1, TREG1_19100.1	Smp_169580.1
OG0000690	TREG1_61050.1	Smp_176620.1
OG0000692	TREG1_19830.5, TREG1_19830.1, TREG1_19830.6, TREG1_19830.8, TREG1_19830.2, TREG1_19830.7, TREG1_19830.3, TREG1_19830.4, TREG1_19830.9	Smp_341180.1, Smp_341180.2
OG0000695	TREG1_135010.1	Smp_126480.1
OG0000695	TREG1_31440.1	Smp_078690.1
OG0000696	TREG1_19050.1, TREG1_19050.2, TREG1_19050.3, TREG1_19050.4	Smp_302850.1
OG0000697	TREG1_34750.1	Smp_148720.1
