Orthogroup	schistosoma_japonicum	schistosoma_haematobium
OG0001117	EWB00_002363	SHAE2_17240.3, SHAE2_17240.5, SHAE2_17240.7, SHAE2_17240.8, SHAE2_17240.1, SHAE2_17240.6, SHAE2_17240.4, SHAE2_17240.2
OG0001118	EWB00_002739.1, EWB00_002739.2	SHAE2_75760.1, SHAE2_75770.1
OG0001119	EWB00_000920.1, EWB00_000920.2, EWB00_000920.4, EWB00_000920.3	SHAE2_69390.1
OG0001120	EWB00_002578	SHAE2_33860.3, SHAE2_33860.5, SHAE2_33860.1, SHAE2_33860.2, SHAE2_33860.4, SHAE2_33860.7, SHAE2_33860.6
OG0001121	EWB00_005134.5, EWB00_005134.1, EWB00_005134.6, EWB00_005134.4, EWB00_005134.2, EWB00_005134.3	SHAE2_60250.2, SHAE2_60250.1, SHAE2_60250.3, SHAE2_60250.4
OG0001122	EWB00_002290, EWB00_002289	SHAE2_103440.1, SHAE2_103440.2
OG0001123	EWB00_005079	SHAE2_95920.3, SHAE2_95920.1, SHAE2_95920.2
OG0001124	EWB00_004927.2, EWB00_004927.3, EWB00_004927.4, EWB00_004927.5, EWB00_004927.7, EWB00_004927.8, EWB00_004927.1, EWB00_004927.6, EWB00_004927.9	SHAE2_40830.1
OG0001125	EWB00_002307.1, EWB00_002307.2, EWB00_002309, EWB00_002308	SHAE2_15580.1, SHAE2_15620.1, SHAE2_15620.2
OG0001127	EWB00_003937.1, EWB00_003937.2	SHAE2_43070.1, SHAE2_43070.2, SHAE2_43070.3
OG0001128	EWB00_010960	SHAE2_80610.1
OG0001130	EWB00_008952	SHAE2_13820.1, SHAE2_13820.2, SHAE2_13820.7, SHAE2_13820.6, SHAE2_13820.8, SHAE2_13820.9, SHAE2_13820.5, SHAE2_13820.3, SHAE2_13820.4
OG0001131	EWB00_011067	SHAE2_78420.1
OG0001131	EWB00_010938, EWB00_010102, EWB00_011237	SHAE2_78410.1
OG0001132	EWB00_004513.1, EWB00_004513.2	SHAE2_87800.4, SHAE2_87800.6, SHAE2_87800.5, SHAE2_87800.1, SHAE2_87800.2, SHAE2_87800.3, SHAE2_87800.7
OG0001133	EWB00_006647.1, EWB00_006647.2	SHAE2_101550.1
OG0001133	EWB00_003100.1, EWB00_003100.2	SHAE2_18010.1
OG0001134	EWB00_010505	SHAE2_69600.5, SHAE2_69600.1, SHAE2_69600.4, SHAE2_69600.2, SHAE2_69600.6, SHAE2_69600.3
OG0001135	EWB00_007857	SHAE2_37250.3, SHAE2_37250.1, SHAE2_37250.2
OG0001136	EWB00_007074	SHAE2_26110.1
OG0001137	EWB00_005385	SHAE2_56760.3, SHAE2_56760.2, SHAE2_56760.5, SHAE2_56760.6, SHAE2_56760.7, SHAE2_56760.1, SHAE2_56760.4, SHAE2_56760.8
OG0001138	EWB00_002488.3, EWB00_002488.5, EWB00_002488.4, EWB00_002488.2, EWB00_002488.1	SHAE2_22740.1
OG0001139	EWB00_001288	SHAE2_40230.9, SHAE2_40230.1, SHAE2_40230.4, SHAE2_40230.5, SHAE2_40230.7, SHAE2_40230.8, SHAE2_40230.3, SHAE2_40230.6, SHAE2_40230.2
OG0001140	EWB00_004038.3, EWB00_004038.1, EWB00_004038.2, EWB00_004038.4	SHAE2_49560.3, SHAE2_49560.4, SHAE2_49560.2, SHAE2_49560.1
OG0001141	EWB00_010581	SHAE2_84270.1, SHAE2_84280.1
OG0001142	EWB00_010000, EWB00_009996, EWB00_009998	SHAE2_14830.6, SHAE2_14830.5, SHAE2_14830.1, SHAE2_14830.3, SHAE2_14830.4, SHAE2_14830.2, SHAE2_14810.1
OG0001143	EWB00_000397.1, EWB00_000397.2, EWB00_000397.3	SHAE2_66990.9, SHAE2_66990.7, SHAE2_66990.10, SHAE2_66990.2, SHAE2_66990.8, SHAE2_66990.1, SHAE2_66990.5, SHAE2_66990.6, SHAE2_66990.3, SHAE2_66990.4
OG0001144	EWB00_004285	SHAE2_39010.1, SHAE2_39010.2, SHAE2_39010.3, SHAE2_39010.4, SHAE2_39010.5, SHAE2_39010.6
OG0001145	EWB00_010489	SHAE2_69750.2, SHAE2_69750.6, SHAE2_69750.1, SHAE2_69750.3, SHAE2_69750.4, SHAE2_69750.5
OG0001146	EWB00_004856.1, EWB00_004856.2	SHAE2_4940.1, SHAE2_4940.4, SHAE2_4940.2, SHAE2_4940.3, SHAE2_4940.5, SHAE2_4940.6, SHAE2_4940.7, SHAE2_4940.8
OG0001147	EWB00_002095	SHAE2_8220.1, SHAE2_8220.2, SHAE2_8220.3
OG0001148	EWB00_000968	SHAE2_74940.2, SHAE2_74940.1, SHAE2_74940.3
OG0001149	EWB00_007400	SHAE2_82610.1, SHAE2_82610.2, SHAE2_82610.5, SHAE2_82610.7, SHAE2_82610.6, SHAE2_82610.4, SHAE2_82610.3
OG0001150	EWB00_003549.3, EWB00_003549.1, EWB00_003549.2, EWB00_003549.4	SHAE2_55310.1, SHAE2_55310.2, SHAE2_55310.3
OG0001151	EWB00_001919.1, EWB00_001919.2	SHAE2_95190.2, SHAE2_95190.1
OG0001153	EWB00_010070.3, EWB00_010070.4, EWB00_010070.1, EWB00_010070.2, EWB00_010070.5	SHAE2_73650.4, SHAE2_73650.6, SHAE2_73650.7, SHAE2_73650.5, SHAE2_73650.2, SHAE2_73650.1, SHAE2_73650.3
OG0001154	EWB00_000030	SHAE2_46790.1, SHAE2_46820.1
OG0001155	EWB00_010700	SHAE2_51710.1
OG0001156	EWB00_008591	SHAE2_8160.1, SHAE2_8160.2
OG0001157	EWB00_000400.1, EWB00_000400.2, EWB00_000400.4, EWB00_000400.3	SHAE2_67020.1
OG0001158	EWB00_002800	SHAE2_45240.1, SHAE2_45240.2, SHAE2_45240.3, SHAE2_45240.4
OG0001159	EWB00_006018, EWB00_004960	SHAE2_97930.6, SHAE2_97930.7, SHAE2_97930.3, SHAE2_97930.4, SHAE2_97930.5, SHAE2_97930.8, SHAE2_97930.1, SHAE2_97930.2
OG0001160	EWB00_005699	SHAE2_21980.1
OG0001161	EWB00_008928	SHAE2_72940.1
OG0001161	EWB00_010476.1, EWB00_010476.2, EWB00_010476.3	SHAE2_69860.1, SHAE2_69860.2
OG0001162	EWB00_006864.3, EWB00_006864.4, EWB00_006864.1, EWB00_006864.2	SHAE2_38550.3, SHAE2_38550.2, SHAE2_38550.4, SHAE2_38550.6, SHAE2_38550.1, SHAE2_38550.5
OG0001163	EWB00_002010	SHAE2_81660.1, SHAE2_81660.5, SHAE2_81660.3, SHAE2_81660.2, SHAE2_81660.4
OG0001164	EWB00_006769.1, EWB00_006769.3, EWB00_006769.2	SHAE2_85280.2, SHAE2_85280.1
OG0001165	EWB00_011222.1, EWB00_011222.2	SHAE2_61540.1, SHAE2_61540.2
OG0001166	EWB00_011074	SHAE2_12840.1, SHAE2_12840.2, SHAE2_12840.5, SHAE2_12840.3, SHAE2_12840.4
OG0001167	EWB00_006863	SHAE2_38540.6, SHAE2_38540.1, SHAE2_38540.2, SHAE2_38540.4, SHAE2_38540.5, SHAE2_38540.3, SHAE2_38540.7
OG0001168	EWB00_007693	SHAE2_14400.1
OG0001169	EWB00_005343	SHAE2_53380.6, SHAE2_53380.8, SHAE2_53380.7, SHAE2_53380.10, SHAE2_53380.3, SHAE2_53380.4, SHAE2_53380.2, SHAE2_53380.9, SHAE2_53380.1, SHAE2_53380.5
OG0001170	EWB00_004194	SHAE2_13210.3, SHAE2_13210.2, SHAE2_13210.1, SHAE2_13210.4
OG0001171	EWB00_004815.1, EWB00_004815.3, EWB00_004815.4, EWB00_004815.5, EWB00_004815.2	SHAE2_17540.7, SHAE2_17540.3, SHAE2_17540.2, SHAE2_17540.4, SHAE2_17540.6, SHAE2_17540.1, SHAE2_17540.5
OG0001172	EWB00_011304.3, EWB00_011304.1, EWB00_011304.4, EWB00_011304.2	SHAE2_64570.1
OG0001173	EWB00_003842	SHAE2_2040.1
OG0001175	EWB00_003539.1, EWB00_003539.2	SHAE2_55380.1, SHAE2_55380.2, SHAE2_55380.3, SHAE2_55380.4, SHAE2_55380.5, SHAE2_55380.6
OG0001176	EWB00_004549.3, EWB00_004549.1, EWB00_004549.2	SHAE2_77870.1, SHAE2_77870.2, SHAE2_77870.4, SHAE2_77870.3
OG0001177	EWB00_001130.1, EWB00_001130.2	SHAE2_103260.1, SHAE2_27100.1, SHAE2_27100.2
OG0001178	EWB00_007871	SHAE2_2920.1
OG0001178	EWB00_007868, EWB00_007870	SHAE2_2910.1, SHAE2_2910.2, SHAE2_2910.4, SHAE2_2910.3
OG0001179	EWB00_008433.1, EWB00_008433.3, EWB00_008433.2, EWB00_008433.4, EWB00_008433.5	SHAE2_98480.1, SHAE2_98480.2
OG0001180	EWB00_009514, EWB00_002566	SHAE2_11290.4, SHAE2_11290.1, SHAE2_11290.3, SHAE2_11290.6, SHAE2_11290.2, SHAE2_11290.5
OG0001181	EWB00_011225.1, EWB00_011225.3, EWB00_011225.4, EWB00_011225.2	SHAE2_61600.1
OG0001182	EWB00_004268.3, EWB00_004268.4, EWB00_004268.5, EWB00_004268.6, EWB00_004268.1, EWB00_004268.2, EWB00_004268.7	SHAE2_38800.1
OG0001184	EWB00_000876	SHAE2_4040.1, SHAE2_4040.2, SHAE2_4040.3
OG0001186	EWB00_006349	SHAE2_5460.1, SHAE2_5460.2, SHAE2_5460.3
OG0001187	EWB00_004626.1, EWB00_004626.2	SHAE2_33600.3, SHAE2_33600.1, SHAE2_33600.2, SHAE2_33600.5, SHAE2_33600.4
OG0001188	EWB00_004444, EWB00_005813, EWB00_004077	SHAE2_8460.1, SHAE2_8460.2, SHAE2_8460.3
OG0001189	EWB00_004208	SHAE2_16220.1
OG0001190	EWB00_004289.1, EWB00_004289.2	SHAE2_39030.1, SHAE2_39030.2, SHAE2_39030.3, SHAE2_39030.4, SHAE2_39030.6, SHAE2_39030.5
OG0001191	EWB00_007772.1, EWB00_007772.2, EWB00_007772.3, EWB00_007772.4, EWB00_007772.5, EWB00_007772.6	SHAE2_7530.1, SHAE2_7530.9, SHAE2_7530.6, SHAE2_7530.7, SHAE2_7530.8, SHAE2_7530.2, SHAE2_7530.3, SHAE2_7530.4, SHAE2_7530.5
OG0001192	EWB00_006404.1, EWB00_006404.2, EWB00_006404.3	SHAE2_45570.2, SHAE2_45570.1, SHAE2_45570.7, SHAE2_45570.8, SHAE2_45570.3, SHAE2_45570.4, SHAE2_45570.5, SHAE2_45570.6
OG0001193	EWB00_008292.2, EWB00_008292.1, EWB00_008292.3	SHAE2_87070.4, SHAE2_87070.5, SHAE2_87070.2, SHAE2_87070.3, SHAE2_87070.1
OG0001194	EWB00_009245.1, EWB00_009245.2	SHAE2_7020.5, SHAE2_7020.6, SHAE2_7020.3, SHAE2_7020.4, SHAE2_7020.2, SHAE2_7020.7, SHAE2_7020.1
OG0001197	EWB00_005828.1, EWB00_005828.2	SHAE2_24140.1, SHAE2_24140.3, SHAE2_24140.2, SHAE2_24140.4, SHAE2_24140.5
OG0001198	EWB00_001493.1, EWB00_001493.2	SHAE2_86750.1, SHAE2_86750.2, SHAE2_86750.3, SHAE2_86750.4, SHAE2_86750.5
OG0001199	EWB00_003335	SHAE2_84220.1, SHAE2_84210.1, SHAE2_84200.1, SHAE2_84190.1, SHAE2_84460.1
OG0001199	EWB00_009627, EWB00_009628	SHAE2_84180.1, SHAE2_84450.1
OG0001202	EWB00_002669.3, EWB00_002669.1, EWB00_002669.2, EWB00_002669.4, EWB00_002669.5	SHAE2_15270.1, SHAE2_15270.2, SHAE2_15270.3
OG0001203	EWB00_005655	SHAE2_1690.1
OG0001203	EWB00_006758	SHAE2_85070.1
OG0001204	EWB00_009801	SHAE2_70850.2, SHAE2_70850.4, SHAE2_70850.5, SHAE2_70850.1, SHAE2_70850.3
OG0001205	EWB00_004310.1, EWB00_004310.2, EWB00_004310.3	SHAE2_39250.4, SHAE2_39250.5, SHAE2_39250.6, SHAE2_39250.1, SHAE2_39250.3, SHAE2_39250.2
OG0001207	EWB00_002323.1, EWB00_002323.2, EWB00_002323.3	SHAE2_16810.3, SHAE2_16810.4, SHAE2_16810.6, SHAE2_16810.5, SHAE2_16810.2, SHAE2_16810.7, SHAE2_16810.1
OG0001208	EWB00_003148, EWB00_003150	SHAE2_41000.4, SHAE2_41000.1, SHAE2_41000.2, SHAE2_41000.3
OG0001209	EWB00_008086	SHAE2_51970.1, SHAE2_51970.4, SHAE2_51970.2, SHAE2_51970.3, SHAE2_51970.5
OG0001210	EWB00_000580.2, EWB00_000580.1, EWB00_000580.3, EWB00_000580.4	SHAE2_98630.6, SHAE2_98630.1, SHAE2_98630.2, SHAE2_98630.4, SHAE2_98630.5, SHAE2_98630.3
OG0001212	EWB00_001093	SHAE2_26780.1, SHAE2_26780.2, SHAE2_26780.3, SHAE2_26780.4, SHAE2_26780.5
OG0001213	EWB00_008528	SHAE2_7340.1, SHAE2_7340.4, SHAE2_7340.6, SHAE2_7340.3, SHAE2_7340.2, SHAE2_7340.5
OG0001214	EWB00_003313.1, EWB00_003313.2, EWB00_003313.3, EWB00_003313.4	SHAE2_30720.10, SHAE2_30720.11, SHAE2_30720.3, SHAE2_30720.4, SHAE2_30720.6, SHAE2_30720.9, SHAE2_30720.12, SHAE2_30720.2, SHAE2_30720.5, SHAE2_30720.7, SHAE2_30720.8, SHAE2_30720.1
OG0001215	EWB00_010425.1, EWB00_010425.2, EWB00_010425.3, EWB00_010425.4	SHAE2_67950.2, SHAE2_67950.3, SHAE2_67950.1, SHAE2_67950.4
OG0001216	EWB00_005026.4, EWB00_005026.2, EWB00_005026.1, EWB00_005026.3	SHAE2_28970.1
OG0001218	EWB00_010561, EWB00_007683.1, EWB00_007683.3, EWB00_007683.2	SHAE2_14300.1
OG0001219	EWB00_008004.1, EWB00_008004.2	SHAE2_1490.1, SHAE2_1490.2, SHAE2_1490.3, SHAE2_1490.4
OG0001220	EWB00_001424	SHAE2_100300.3, SHAE2_100300.4, SHAE2_100300.5, SHAE2_100300.1, SHAE2_100300.2, SHAE2_100300.6
OG0001221	EWB00_007723.1, EWB00_007723.2	SHAE2_66630.4, SHAE2_66630.5, SHAE2_66630.1, SHAE2_66630.2, SHAE2_66630.3
OG0001222	EWB00_008570.6, EWB00_008570.4, EWB00_008570.5, EWB00_008570.1, EWB00_008570.3, EWB00_008570.2	SHAE2_97330.1
OG0001223	EWB00_005965	SHAE2_35000.4, SHAE2_35000.2, SHAE2_35000.3, SHAE2_35000.1
OG0001224	EWB00_003782.1, EWB00_003782.2	SHAE2_86590.1, SHAE2_86590.2, SHAE2_86590.3, SHAE2_86590.4
OG0001225	EWB00_005264	SHAE2_62820.6, SHAE2_62820.7, SHAE2_62820.3, SHAE2_62820.2, SHAE2_62820.4, SHAE2_62820.1, SHAE2_62820.5
OG0001226	EWB00_000188	SHAE2_48780.1
OG0001227	EWB00_004021.3, EWB00_004021.4, EWB00_004021.1, EWB00_004021.2	SHAE2_66010.5, SHAE2_66010.4, SHAE2_66010.2, SHAE2_66010.6, SHAE2_66010.1, SHAE2_66010.3
OG0001228	EWB00_009722.2, EWB00_009722.1, EWB00_010025, EWB00_004885	SHAE2_47850.1
OG0001229	EWB00_006070	SHAE2_32730.1, SHAE2_32730.2, SHAE2_32730.3, SHAE2_32730.4
OG0001230	EWB00_007647.2, EWB00_007647.3, EWB00_007647.1, EWB00_007647.4	SHAE2_19040.6, SHAE2_19040.1, SHAE2_19040.5, SHAE2_19040.2, SHAE2_19040.3, SHAE2_19040.4
OG0001231	EWB00_006158.9, EWB00_006158.1, EWB00_006158.4, EWB00_006158.7, EWB00_006158.2, EWB00_006158.5, EWB00_006158.3, EWB00_006158.6, EWB00_006158.8	SHAE2_42430.3, SHAE2_42430.4, SHAE2_42430.7, SHAE2_42430.8, SHAE2_42430.1, SHAE2_42430.2, SHAE2_42430.5, SHAE2_42430.6
OG0001232	EWB00_006765.1, EWB00_006765.2	SHAE2_85210.1, SHAE2_85240.1
OG0001233	EWB00_010835.1, EWB00_010835.2, EWB00_010835.7, EWB00_010835.5, EWB00_010835.3, EWB00_010835.6, EWB00_010835.4, EWB00_010835.9, EWB00_010835.10, EWB00_010835.8	SHAE2_6450.1, SHAE2_6450.2, SHAE2_6450.3
OG0001234	EWB00_004896.5, EWB00_004896.2, EWB00_004896.3, EWB00_004896.1, EWB00_004896.4	SHAE2_47000.1, SHAE2_47000.2, SHAE2_47000.3, SHAE2_47000.4
OG0001235	EWB00_003285	SHAE2_31120.1
OG0001235	EWB00_003283	SHAE2_31110.1
OG0001236	EWB00_009224, EWB00_009223	SHAE2_67670.1, SHAE2_67670.4, SHAE2_67670.2, SHAE2_67670.3
OG0001237	EWB00_005036.3, EWB00_005036.1, EWB00_005036.2	SHAE2_28930.1
OG0001237	EWB00_005042.2, EWB00_005042.1, EWB00_005042.3	SHAE2_28850.1
OG0001238	EWB00_002187.3, EWB00_002187.1, EWB00_002187.2	SHAE2_89190.2, SHAE2_89190.1, SHAE2_89190.4, SHAE2_89190.3
OG0001239	EWB00_007685	SHAE2_14320.1, SHAE2_14320.2, SHAE2_14320.3, SHAE2_14320.4
OG0001240	EWB00_007766.1, EWB00_007766.2	SHAE2_57260.1, SHAE2_57260.3, SHAE2_57260.4, SHAE2_57260.2
OG0001241	EWB00_003870	SHAE2_63670.1
OG0001241	EWB00_008223	SHAE2_79010.1
OG0001242	EWB00_007827	SHAE2_59820.1
OG0001244	EWB00_001945	SHAE2_95030.5, SHAE2_95030.4, SHAE2_95030.3, SHAE2_95030.6, SHAE2_95030.1, SHAE2_95030.7, SHAE2_95030.2
OG0001245	EWB00_008323	SHAE2_13960.1
OG0001246	EWB00_002955.1, EWB00_002955.3, EWB00_002955.4, EWB00_002955.2	SHAE2_36000.3, SHAE2_36000.1, SHAE2_36000.2
OG0001247	EWB00_001283.3, EWB00_001283.4, EWB00_001283.1, EWB00_001283.2	SHAE2_40160.1
OG0001248	EWB00_006329.3, EWB00_006329.1, EWB00_006329.2	SHAE2_6170.1
OG0001249	EWB00_004277	SHAE2_38900.3, SHAE2_38900.4, SHAE2_38910.3, SHAE2_38910.4, SHAE2_38900.1, SHAE2_38910.2, SHAE2_38900.2, SHAE2_38910.1
OG0001250	EWB00_004653	SHAE2_2340.1, SHAE2_2340.2
OG0001251	EWB00_001412.1, EWB00_001412.2	SHAE2_81830.1
OG0001252	EWB00_009341.3, EWB00_009341.2, EWB00_009341.1	SHAE2_55170.1, SHAE2_55170.2, SHAE2_55170.3, SHAE2_55170.4, SHAE2_55170.5, SHAE2_55170.6
OG0001253	EWB00_000765.3, EWB00_000765.1, EWB00_000765.2	SHAE2_58070.2, SHAE2_58070.1, SHAE2_58070.3
OG0001254	EWB00_005971, EWB00_005970	SHAE2_35050.1, SHAE2_35060.1
OG0001255	EWB00_000639.1, EWB00_000639.2	SHAE2_31210.1
OG0001256	EWB00_010707	SHAE2_51620.1
OG0001257	EWB00_005008.1, EWB00_005008.2	SHAE2_29210.3, SHAE2_29210.2, SHAE2_29210.5, SHAE2_29210.1, SHAE2_29210.4
OG0001258	EWB00_007264	SHAE2_81180.3, SHAE2_81180.2, SHAE2_81180.4
OG0001259	EWB00_003857	SHAE2_63530.1, SHAE2_63530.2
OG0001260	EWB00_005642.1, EWB00_005642.2	SHAE2_1770.1, SHAE2_1770.3, SHAE2_1770.2
OG0001261	EWB00_004737	SHAE2_48500.1, SHAE2_48500.2, SHAE2_48500.3
OG0001262	EWB00_008791	SHAE2_87120.3, SHAE2_87120.6, SHAE2_87120.5, SHAE2_87120.1, SHAE2_87120.2, SHAE2_87120.4
OG0001263	EWB00_001923.1, EWB00_001923.2	SHAE2_95170.6, SHAE2_95170.3, SHAE2_95170.1, SHAE2_95170.2, SHAE2_95170.4, SHAE2_95170.5
OG0001263	EWB00_001920	SHAE2_95180.1
OG0001264	EWB00_006491.1, EWB00_006491.2	SHAE2_57110.3, SHAE2_57110.5, SHAE2_57110.1, SHAE2_57110.2, SHAE2_57110.6, SHAE2_57110.7, SHAE2_57110.4
OG0001265	EWB00_011339	SHAE2_65030.1
OG0001266	EWB00_000975.2, EWB00_000975.1, EWB00_000975.3	SHAE2_74880.1, SHAE2_74880.4, SHAE2_74880.2, SHAE2_74880.3, SHAE2_74880.5, SHAE2_74880.6
OG0001267	EWB00_010689.1, EWB00_010689.2	SHAE2_56470.1
OG0001268	EWB00_001949	SHAE2_94970.1
OG0001268	EWB00_000426	SHAE2_8470.1
OG0001269	EWB00_007070.1, EWB00_007070.3, EWB00_007070.2	SHAE2_26040.2, SHAE2_26040.1, SHAE2_26040.3
OG0001270	EWB00_001976	SHAE2_94240.1
OG0001271	EWB00_000909	SHAE2_69320.2, SHAE2_69320.4, SHAE2_69320.6, SHAE2_69320.1, SHAE2_69320.3, SHAE2_69320.5
OG0001272	EWB00_007476.1, EWB00_007476.2	SHAE2_85010.4, SHAE2_85010.1, SHAE2_85010.2, SHAE2_85010.3
OG0001273	EWB00_003439.1, EWB00_003439.2	SHAE2_78190.3, SHAE2_78190.1, SHAE2_78190.2
OG0001274	EWB00_008932	SHAE2_72910.1, SHAE2_72910.4, SHAE2_72910.3, SHAE2_72910.5, SHAE2_72910.2
OG0001275	EWB00_002146.1, EWB00_002146.2, EWB00_002146.3	SHAE2_57620.1, SHAE2_57620.2, SHAE2_57620.5, SHAE2_57620.6, SHAE2_57620.3, SHAE2_57620.4, SHAE2_57620.7
OG0001276	EWB00_004707.1, EWB00_004707.2, EWB00_004707.3	SHAE2_68690.1
OG0001277	EWB00_007325.1, EWB00_007325.2	SHAE2_3720.3, SHAE2_3720.4, SHAE2_3720.6, SHAE2_3720.14, SHAE2_3720.5, SHAE2_3720.8, SHAE2_3720.10, SHAE2_3720.2, SHAE2_3720.7, SHAE2_3720.9, SHAE2_3720.13, SHAE2_3720.12, SHAE2_3720.1, SHAE2_3720.11
OG0001278	EWB00_000340.1, EWB00_000340.2, EWB00_000340.3	SHAE2_96240.1, SHAE2_96240.3, SHAE2_96240.2
OG0001279	EWB00_008361	SHAE2_37770.1, SHAE2_37770.2, SHAE2_37770.3, SHAE2_37770.4, SHAE2_37770.6, SHAE2_37770.5
OG0001280	EWB00_007757	SHAE2_55050.4, SHAE2_55050.7, SHAE2_55050.10, SHAE2_55050.5, SHAE2_55050.8, SHAE2_55050.1, SHAE2_55050.3, SHAE2_55050.2, SHAE2_55050.6, SHAE2_55050.9
OG0001281	EWB00_001210, EWB00_001209, EWB00_001211	SHAE2_82730.1, SHAE2_82760.1, SHAE2_82740.1, SHAE2_82750.1
OG0001282	EWB00_000576.1, EWB00_000576.2, EWB00_000576.3, EWB00_000576.4, EWB00_000576.5	SHAE2_100160.1, SHAE2_100160.2, SHAE2_100160.6, SHAE2_100160.3, SHAE2_100160.4, SHAE2_100160.5
OG0001283	EWB00_006849	SHAE2_38390.3, SHAE2_38390.1, SHAE2_38390.5, SHAE2_38390.2, SHAE2_38390.4
OG0001284	EWB00_006559.1, EWB00_006559.2	SHAE2_19960.1
OG0001285	EWB00_010229.1, EWB00_010229.2	SHAE2_940.1, SHAE2_1020.1, SHAE2_970.1, SHAE2_990.1, SHAE2_1000.1, SHAE2_960.1
OG0001288	EWB00_009423.1, EWB00_009423.2, EWB00_009423.3	SHAE2_99370.1
OG0001289	EWB00_006051.1, EWB00_006051.2, EWB00_006051.3	SHAE2_31810.2, SHAE2_31810.3, SHAE2_31810.1
OG0001290	EWB00_006343	SHAE2_5520.7, SHAE2_5520.1, SHAE2_5520.6, SHAE2_5520.4, SHAE2_5520.2, SHAE2_5520.3, SHAE2_5520.5
OG0001291	EWB00_007770	SHAE2_7520.6, SHAE2_7520.2, SHAE2_7520.4, SHAE2_7520.7, SHAE2_7520.1, SHAE2_7520.3, SHAE2_7520.5, SHAE2_7520.8
OG0001292	EWB00_007784.1, EWB00_007784.2	SHAE2_7630.1
OG0001293	EWB00_003795	SHAE2_58860.2, SHAE2_58860.3, SHAE2_58860.1, SHAE2_58830.1
OG0001294	EWB00_007854.1, EWB00_007854.3, EWB00_007854.2	SHAE2_34490.1
OG0001295	EWB00_008156.4, EWB00_008156.1, EWB00_008156.5, EWB00_008156.6, EWB00_008156.3, EWB00_008156.2	SHAE2_34090.1, SHAE2_34090.2, SHAE2_34090.3
OG0001296	EWB00_008597	SHAE2_8030.2, SHAE2_8030.7, SHAE2_8030.4, SHAE2_8030.3, SHAE2_8030.1, SHAE2_8030.5, SHAE2_8030.6, SHAE2_8030.8
OG0001297	EWB00_003697	SHAE2_15850.2, SHAE2_15850.1, SHAE2_15850.3
OG0001298	EWB00_004298.2, EWB00_004298.3, EWB00_004298.1	SHAE2_39130.1, SHAE2_39130.2, SHAE2_39130.3, SHAE2_39130.4, SHAE2_39130.6, SHAE2_39130.5
OG0001299	EWB00_005967.1, EWB00_005967.2, EWB00_005967.3, EWB00_005967.4, EWB00_005967.6, EWB00_005967.5, EWB00_005967.7	SHAE2_35010.2, SHAE2_35010.1, SHAE2_35010.3
OG0001300	EWB00_009240	SHAE2_6540.3, SHAE2_6540.1, SHAE2_6540.2
OG0001301	EWB00_002152.1, EWB00_002152.2, EWB00_002152.3, EWB00_002152.4	SHAE2_57690.1, SHAE2_57690.2, SHAE2_57690.4, SHAE2_57690.5, SHAE2_57690.3
OG0001302	EWB00_007901.1, EWB00_007901.2, EWB00_007901.3	SHAE2_2760.2, SHAE2_2760.1, SHAE2_2760.3, SHAE2_2760.4, SHAE2_2760.10, SHAE2_2760.12, SHAE2_2760.13, SHAE2_2760.8, SHAE2_2760.5, SHAE2_2760.6, SHAE2_2760.14, SHAE2_2760.15, SHAE2_2760.11, SHAE2_2760.9, SHAE2_2760.7
OG0001303	EWB00_008157.2, EWB00_008157.1	SHAE2_34070.2, SHAE2_34070.4, SHAE2_34070.1, SHAE2_34070.3
OG0001304	EWB00_004457.2, EWB00_004457.1, EWB00_004457.3, EWB00_004457.4	SHAE2_93910.1
OG0001305	EWB00_005639	SHAE2_1800.1, SHAE2_1800.2, SHAE2_1800.3, SHAE2_1800.4, SHAE2_1800.5, SHAE2_1800.7, SHAE2_1800.6
OG0001306	EWB00_011148	SHAE2_65640.1, SHAE2_65640.2
OG0001307	EWB00_008828.1, EWB00_008828.2, EWB00_008828.3, EWB00_008828.5, EWB00_008828.6, EWB00_008828.4	SHAE2_85860.1
OG0001307	EWB00_008823.3, EWB00_008823.1, EWB00_008823.2	SHAE2_85840.1
OG0001308	EWB00_001421	SHAE2_100270.1, SHAE2_100270.2
OG0001309	EWB00_011058.1, EWB00_011058.2	SHAE2_78500.1, SHAE2_78500.5, SHAE2_78500.6, SHAE2_78500.7, SHAE2_78500.2, SHAE2_78500.3, SHAE2_78500.4, SHAE2_78500.8
OG0001310	EWB00_010881.1, EWB00_010881.2	SHAE2_29730.1, SHAE2_29730.2, SHAE2_29730.3, SHAE2_29730.5, SHAE2_29730.4
OG0001311	EWB00_004898	SHAE2_46990.1, SHAE2_46990.4, SHAE2_46990.2, SHAE2_46990.3
OG0001312	EWB00_002585.1, EWB00_002585.3, EWB00_002585.4, EWB00_002585.2	SHAE2_33830.1
OG0001313	EWB00_008761	SHAE2_44680.1, SHAE2_44680.5, SHAE2_44680.2, SHAE2_44680.3, SHAE2_44680.4
OG0001315	EWB00_002581	SHAE2_33790.1, SHAE2_33790.2, SHAE2_33790.3
OG0001316	EWB00_008370	SHAE2_37860.1
OG0001316	EWB00_001349, EWB00_001348	SHAE2_90350.1, SHAE2_90360.1, SHAE2_90370.1
OG0001317	EWB00_002314.1, EWB00_002314.2, EWB00_002314.3, EWB00_002314.4, EWB00_002314.5	SHAE2_16720.1, SHAE2_16720.2
