Orthogroup	schistosoma_japonicum	schistosoma_mattheei
OG0001296	EWB00_008597	SMTH1_8520.3, SMTH1_8520.4, SMTH1_8520.5, SMTH1_8520.2, SMTH1_8520.1, SMTH1_8520.6
OG0001297	EWB00_003697	SMTH1_102730.1, SMTH1_15590.1
OG0001298	EWB00_004298.2, EWB00_004298.3, EWB00_004298.1	SMTH1_40170.1, SMTH1_40170.2, SMTH1_40170.3
OG0001299	EWB00_005967.1, EWB00_005967.2, EWB00_005967.3, EWB00_005967.4, EWB00_005967.6, EWB00_005967.5, EWB00_005967.7	SMTH1_36360.1
OG0001300	EWB00_009240	SMTH1_6910.1, SMTH1_6910.3, SMTH1_6910.2
OG0001301	EWB00_002152.1, EWB00_002152.2, EWB00_002152.3, EWB00_002152.4	SMTH1_60640.2, SMTH1_60640.1, SMTH1_60640.3, SMTH1_60640.4
OG0001302	EWB00_007901.1, EWB00_007901.2, EWB00_007901.3	SMTH1_2890.1, SMTH1_2870.1
OG0001303	EWB00_008157.2, EWB00_008157.1	SMTH1_35310.3, SMTH1_35310.4, SMTH1_35310.2, SMTH1_35310.1
OG0001304	EWB00_004457.2, EWB00_004457.1, EWB00_004457.3, EWB00_004457.4	SMTH1_98230.1
OG0001305	EWB00_005639	SMTH1_1830.3, SMTH1_1830.4, SMTH1_1830.1, SMTH1_1830.2
OG0001306	EWB00_011148	SMTH1_68420.1, SMTH1_68420.2
OG0001307	EWB00_008828.1, EWB00_008828.2, EWB00_008828.3, EWB00_008828.5, EWB00_008828.6, EWB00_008828.4	SMTH1_90420.1
OG0001308	EWB00_001421	SMTH1_105230.1, SMTH1_105230.2
OG0001309	EWB00_011058.1, EWB00_011058.2	SMTH1_82420.1
OG0001310	EWB00_010881.1, EWB00_010881.2	SMTH1_30410.1
OG0001311	EWB00_004898	SMTH1_49160.3, SMTH1_49160.5, SMTH1_49160.1, SMTH1_49160.2, SMTH1_49160.6, SMTH1_49160.4
OG0001312	EWB00_002585.1, EWB00_002585.3, EWB00_002585.4, EWB00_002585.2	SMTH1_35060.2, SMTH1_35060.1, SMTH1_35060.4, SMTH1_35060.3
OG0001313	EWB00_008761	SMTH1_46630.3, SMTH1_46630.1, SMTH1_46630.2
OG0001315	EWB00_002581	SMTH1_35020.1
OG0001316	EWB00_008370	SMTH1_38930.1
OG0001316	EWB00_001349, EWB00_001348	SMTH1_94330.1
OG0001317	EWB00_002314.1, EWB00_002314.2, EWB00_002314.3, EWB00_002314.4, EWB00_002314.5	SMTH1_16590.2, SMTH1_16590.3, SMTH1_16590.4, SMTH1_16590.5
OG0001319	EWB00_006154.1, EWB00_006154.2	SMTH1_44010.1
OG0001320	EWB00_008863	SMTH1_70660.1
OG0001321	EWB00_008520, EWB00_008521	SMTH1_23470.1, SMTH1_23460.1
OG0001322	EWB00_010777	SMTH1_53270.1, SMTH1_53260.1
OG0001323	EWB00_005668	SMTH1_1060.1, SMTH1_1060.2
OG0001324	EWB00_008054.1, EWB00_008054.2	SMTH1_96350.3, SMTH1_96350.4, SMTH1_96350.1, SMTH1_96350.2
OG0001325	EWB00_003691, EWB00_005835	SMTH1_106810.1
OG0001326	EWB00_006474.2, EWB00_006474.3, EWB00_006474.5, EWB00_006474.1, EWB00_006474.4	SMTH1_59880.1, SMTH1_59880.2, SMTH1_59880.3
OG0001327	EWB00_011417	SMTH1_101090.1
OG0001330	EWB00_004141.1, EWB00_004141.2	SMTH1_34390.1, SMTH1_34390.2, SMTH1_34390.3, SMTH1_34390.4
OG0001331	EWB00_010728.1, EWB00_010728.2	SMTH1_53810.2, SMTH1_53810.1, SMTH1_53810.3
OG0001332	EWB00_000493.3, EWB00_000493.4, EWB00_000493.2, EWB00_000493.1	SMTH1_65750.1
OG0001332	EWB00_002767	SMTH1_80120.2, SMTH1_80120.1
OG0001333	EWB00_008908	SMTH1_71450.3, SMTH1_71450.2, SMTH1_71450.1
OG0001334	EWB00_005632.1, EWB00_005632.2, EWB00_005632.3	SMTH1_1880.2, SMTH1_1880.1, SMTH1_1880.3, SMTH1_1880.4, SMTH1_1880.5, SMTH1_1880.6
OG0001335	EWB00_010111	SMTH1_34230.1, SMTH1_34230.2
OG0001336	EWB00_004039	SMTH1_51660.1, SMTH1_51660.2, SMTH1_51650.1
OG0001337	EWB00_006488.1, EWB00_006488.2, EWB00_006489	SMTH1_60030.1, SMTH1_60030.2, SMTH1_60030.4, SMTH1_60030.3
OG0001338	EWB00_005602	SMTH1_41210.2, SMTH1_41210.1
OG0001339	EWB00_009385	SMTH1_12560.1, SMTH1_12570.1
OG0001340	EWB00_009670, EWB00_009671	SMTH1_10730.1, SMTH1_10720.1, SMTH1_10710.1, SMTH1_10710.2
OG0001341	EWB00_003889	SMTH1_85520.1, SMTH1_85520.2, SMTH1_85520.3
OG0001342	EWB00_010648.1, EWB00_010648.2	SMTH1_58470.4, SMTH1_58470.2, SMTH1_58470.5, SMTH1_58470.3, SMTH1_58470.1
OG0001343	EWB00_002765.2, EWB00_002765.3, EWB00_002765.1	SMTH1_80140.2, SMTH1_80140.1, SMTH1_80140.3, SMTH1_80150.1, SMTH1_80150.2, SMTH1_80150.3
OG0001344	EWB00_009004	SMTH1_85650.1, SMTH1_85640.1
OG0001345	EWB00_002797	SMTH1_47180.1
OG0001346	EWB00_009374.1, EWB00_009374.2, EWB00_009373	SMTH1_16350.1, SMTH1_16350.2, SMTH1_16340.1, SMTH1_16330.1
OG0001347	EWB00_001746.1, EWB00_001746.2, EWB00_001746.3	SMTH1_37660.1
OG0001348	EWB00_004267.1, EWB00_004267.2	SMTH1_39810.1, SMTH1_39810.2, SMTH1_39810.3
OG0001349	EWB00_002368, EWB00_002365	SMTH1_16960.1, SMTH1_16970.1, SMTH1_16950.1
OG0001350	EWB00_007465	SMTH1_34650.1, SMTH1_34660.1
OG0001351	EWB00_007066.1, EWB00_007066.2	SMTH1_26220.3, SMTH1_26220.2, SMTH1_26220.1
OG0001352	EWB00_007051.1, EWB00_007051.2	SMTH1_26480.1, SMTH1_26480.3, SMTH1_26480.4, SMTH1_26480.5, SMTH1_26480.2, SMTH1_26480.6, SMTH1_26480.7
OG0001353	EWB00_005902.1, EWB00_005902.2, EWB00_005902.3	SMTH1_69730.1
OG0001354	EWB00_009879.1, EWB00_009879.2	SMTH1_71850.1, SMTH1_71850.3, SMTH1_71850.2, SMTH1_71850.5, SMTH1_71850.4, SMTH1_71850.6
OG0001355	EWB00_003862.3, EWB00_003862.1, EWB00_003862.2	SMTH1_66200.1
OG0001356	EWB00_002725	SMTH1_80390.1
OG0001357	EWB00_006165	SMTH1_43890.1, SMTH1_43890.2, SMTH1_43890.3
OG0001358	EWB00_001067.1, EWB00_001067.2, EWB00_001067.4, EWB00_001067.3	SMTH1_98310.1
OG0001359	EWB00_006603	SMTH1_81060.1, SMTH1_81060.2, SMTH1_81060.3, SMTH1_81060.4
OG0001360	EWB00_007505	SMTH1_92800.1
OG0001361	EWB00_003304	SMTH1_31650.1, SMTH1_31650.2
OG0001362	EWB00_002884.1, EWB00_002884.2	SMTH1_34010.2, SMTH1_34010.1, SMTH1_34010.3
OG0001363	EWB00_001426.2, EWB00_001426.1	SMTH1_105300.3, SMTH1_105300.2, SMTH1_105300.1
OG0001364	EWB00_001353	SMTH1_94320.1
OG0001365	EWB00_007381	SMTH1_86760.1, SMTH1_86760.2
OG0001366	EWB00_005408.1, EWB00_005408.2	SMTH1_59440.5, SMTH1_59440.3, SMTH1_59440.8, SMTH1_59440.4, SMTH1_59440.7, SMTH1_59440.6, SMTH1_59440.2, SMTH1_59440.1
OG0001367	EWB00_004799.3, EWB00_004799.1, EWB00_004799.2	SMTH1_105900.1
OG0001368	EWB00_006451.3, EWB00_006451.4, EWB00_006451.1, EWB00_006451.2	SMTH1_19890.4, SMTH1_19890.2, SMTH1_19890.3, SMTH1_19890.5, SMTH1_19890.1
OG0001369	EWB00_011378.1, EWB00_011378.2, EWB00_011378.3	SMTH1_99050.1, SMTH1_99050.4, SMTH1_99050.2, SMTH1_99050.3
OG0001370	EWB00_002230, EWB00_002234	SMTH1_65000.1, SMTH1_65000.2, SMTH1_65000.3, SMTH1_65000.4, SMTH1_65000.5
OG0001371	EWB00_004314.2, EWB00_004314.4, EWB00_004314.5, EWB00_004314.3, EWB00_004314.1	SMTH1_40320.1
OG0001372	EWB00_001272, EWB00_005599.1, EWB00_005599.4, EWB00_001273, EWB00_005599.3, EWB00_005599.2	SMTH1_41260.1
OG0001373	EWB00_001922, EWB00_007903.2, EWB00_007903.1, EWB00_007903.3	SMTH1_2840.2, SMTH1_2840.1, SMTH1_2840.3
OG0001374	EWB00_011328	SMTH1_67630.1
OG0001375	EWB00_002001	SMTH1_85960.1, SMTH1_85960.2, SMTH1_85960.3, SMTH1_85960.4
OG0001377	EWB00_009170	SMTH1_69140.1
OG0001378	EWB00_007333.5, EWB00_007333.3, EWB00_007333.4, EWB00_007333.1, EWB00_007333.2, EWB00_007333.6	SMTH1_3850.3, SMTH1_3850.4, SMTH1_3850.5, SMTH1_3850.1, SMTH1_3850.2
OG0001379	EWB00_008653	SMTH1_77700.1, SMTH1_77690.1, SMTH1_77680.1
OG0001380	EWB00_000503.1, EWB00_000503.2	SMTH1_65820.3, SMTH1_65820.1, SMTH1_65820.2
OG0001381	EWB00_004538	SMTH1_81550.1
OG0001382	EWB00_005035.1, EWB00_005035.2	SMTH1_29490.4, SMTH1_29490.1, SMTH1_29490.2, SMTH1_29490.3
OG0001383	EWB00_009013, EWB00_009014	SMTH1_4740.1
OG0001384	EWB00_009445.3, EWB00_009445.4, EWB00_009445.2, EWB00_009445.1	SMTH1_97430.1
OG0001385	EWB00_001547	SMTH1_25910.1, SMTH1_25920.1
OG0001386	EWB00_004901, EWB00_004900	SMTH1_49140.1
OG0001387	EWB00_008055	SMTH1_96330.1
OG0001388	EWB00_009408	SMTH1_12850.1, SMTH1_12840.1
OG0001389	EWB00_000171	SMTH1_51250.1
OG0001390	EWB00_004599	SMTH1_44260.1, SMTH1_44260.2, SMTH1_44260.3
OG0001391	EWB00_003387.2, EWB00_003387.3, EWB00_003387.1	SMTH1_38410.1
OG0001392	EWB00_007691	SMTH1_14090.1
OG0001393	EWB00_003130	SMTH1_17990.1
OG0001394	EWB00_010972.1, EWB00_010972.2	SMTH1_84830.4, SMTH1_84830.3, SMTH1_84830.1, SMTH1_84830.2
OG0001395	EWB00_004458	SMTH1_98220.1
OG0001395	EWB00_000296.4, EWB00_000296.1, EWB00_000296.2, EWB00_000296.3	SMTH1_28440.1
OG0001396	EWB00_010769	SMTH1_53330.1, SMTH1_53350.1
OG0001397	EWB00_007740	SMTH1_69320.2, SMTH1_69320.1, SMTH1_69320.5, SMTH1_69320.3, SMTH1_69320.4
OG0001398	EWB00_009382.5, EWB00_009382.2, EWB00_009382.3, EWB00_009382.4, EWB00_009382.1	SMTH1_12600.4, SMTH1_12600.1, SMTH1_12600.2, SMTH1_12600.3
OG0001399	EWB00_008572	SMTH1_101960.1
OG0001400	EWB00_000847	SMTH1_90710.1
OG0001401	EWB00_008415, EWB00_008414	SMTH1_56590.1
OG0001402	EWB00_005115.1, EWB00_005115.2, EWB00_005115.3, EWB00_005115.6, EWB00_005115.4, EWB00_005115.5	SMTH1_28790.1, SMTH1_28790.3, SMTH1_28790.2
OG0001403	EWB00_002225	SMTH1_61290.1, SMTH1_61290.2
OG0001404	EWB00_010350.1, EWB00_010350.2	SMTH1_21590.1
OG0001405	EWB00_002914	SMTH1_37230.1
OG0001406	EWB00_009121.2, EWB00_009121.3, EWB00_009121.4, EWB00_009121.5, EWB00_009121.1, EWB00_009121.7, EWB00_009121.6	SMTH1_32480.1, SMTH1_32480.2, SMTH1_32480.3, SMTH1_32480.4
OG0001407	EWB00_004502	SMTH1_94060.1, SMTH1_94890.1, SMTH1_94860.1
OG0001408	EWB00_006991	SMTH1_26950.1
OG0001408	EWB00_006989.1, EWB00_006989.2, EWB00_006989.3	SMTH1_26930.1
OG0001409	EWB00_007601	SMTH1_55540.1, SMTH1_55530.1
OG0001410	EWB00_008363.1, EWB00_008363.2, EWB00_008362.3, EWB00_008362.1, EWB00_008362.2	SMTH1_38860.1, SMTH1_38850.1
OG0001411	EWB00_003306.1, EWB00_003306.2, EWB00_003306.3	SMTH1_31630.1, SMTH1_31630.3, SMTH1_31630.2, SMTH1_31630.4, SMTH1_31630.5
OG0001412	EWB00_003296.1, EWB00_003296.2	SMTH1_31730.1
OG0001413	EWB00_003030.1, EWB00_003030.2	SMTH1_104670.1
OG0001414	EWB00_004847	SMTH1_4980.1, SMTH1_4970.1
OG0001415	EWB00_004624	SMTH1_34810.5, SMTH1_34810.1, SMTH1_34810.3, SMTH1_34810.2, SMTH1_34810.4
OG0001416	EWB00_009367.2, EWB00_009367.1	SMTH1_16240.2, SMTH1_16240.4, SMTH1_16240.6, SMTH1_16240.1, SMTH1_16240.3, SMTH1_16240.5
OG0001417	EWB00_000686.1, EWB00_000686.2	SMTH1_13820.1, SMTH1_13830.1
OG0001418	EWB00_010214.2, EWB00_010214.1, EWB00_010214.3, EWB00_010214.4, EWB00_010214.5	SMTH1_130.1, SMTH1_130.2, SMTH1_130.3, SMTH1_130.4
OG0001420	EWB00_001481.1, EWB00_001481.2, EWB00_001481.3	SMTH1_91540.1, SMTH1_91540.2, SMTH1_91540.3, SMTH1_91540.5, SMTH1_91540.4
OG0001421	EWB00_004354	SMTH1_40690.1
OG0001422	EWB00_001374.1, EWB00_001374.2	SMTH1_83420.1, SMTH1_83420.2, SMTH1_83420.3
OG0001423	EWB00_003255	SMTH1_12510.1
OG0001424	EWB00_005772.2, EWB00_005772.5, EWB00_005772.1, EWB00_005772.6, EWB00_005772.3, EWB00_005772.4	SMTH1_10570.1
OG0001425	EWB00_000266.1, EWB00_000266.2, EWB00_000266.3, EWB00_000266.4	SMTH1_28220.2, SMTH1_28220.1
OG0001427	EWB00_004103	SMTH1_28800.1, SMTH1_28810.1
OG0001428	EWB00_004240	SMTH1_3020.1, SMTH1_3020.2, SMTH1_3020.3, SMTH1_3020.4, SMTH1_3020.5, SMTH1_3020.6, SMTH1_3020.7
OG0001429	EWB00_010670.1, EWB00_010670.2	SMTH1_59120.1, SMTH1_59120.2
OG0001430	EWB00_002214	SMTH1_61390.1
OG0001430	EWB00_002215	SMTH1_61380.1
OG0001431	EWB00_010501.6, EWB00_010501.4, EWB00_010501.5, EWB00_010501.1, EWB00_010501.3, EWB00_010501.2	SMTH1_72690.1
OG0001432	EWB00_002429.1, EWB00_002429.2	SMTH1_24130.1
OG0001433	EWB00_006443	SMTH1_22930.3, SMTH1_22930.2, SMTH1_22930.4, SMTH1_22930.1
OG0001434	EWB00_003352, EWB00_003353	SMTH1_105570.1
OG0001435	EWB00_001419, EWB00_001418	SMTH1_85980.2, SMTH1_85980.1
OG0001436	EWB00_004555.1, EWB00_004555.2, EWB00_004555.3, EWB00_004555.4	SMTH1_86440.1
OG0001437	EWB00_005353	SMTH1_56010.1, SMTH1_56010.2, SMTH1_56010.3
OG0001437	EWB00_002165	SMTH1_60770.1
OG0001438	EWB00_001046.1, EWB00_001046.3, EWB00_001046.2	SMTH1_20940.2, SMTH1_20940.3, SMTH1_20940.1
OG0001439	EWB00_007162.1, EWB00_007162.2	SMTH1_84210.1
OG0001440	EWB00_001292	SMTH1_41450.1, SMTH1_41450.2, SMTH1_41450.3
OG0001441	EWB00_001887.1, EWB00_001887.2, EWB00_001887.3, EWB00_001887.4, EWB00_001887.5, EWB00_001891.4, EWB00_001891.6, EWB00_001891.2, EWB00_001891.3, EWB00_001891.5, EWB00_001891.1	SMTH1_99940.1
OG0001442	EWB00_007731	SMTH1_69410.1, SMTH1_69410.3, SMTH1_69410.2
OG0001443	EWB00_008501.2, EWB00_008501.1, EWB00_008501.4, EWB00_008501.3	SMTH1_21470.1
OG0001444	EWB00_004974.1, EWB00_004974.3, EWB00_004974.2, EWB00_004974.4	SMTH1_80910.1, SMTH1_80910.2, SMTH1_80910.3, SMTH1_80910.4, SMTH1_80910.5, SMTH1_80910.6
OG0001445	EWB00_003448.1, EWB00_003448.2	SMTH1_82020.1, SMTH1_82010.1
OG0001446	EWB00_010796	SMTH1_49760.1, SMTH1_49770.1
OG0001447	EWB00_010576.1, EWB00_010576.2	SMTH1_88760.1, SMTH1_88770.1
OG0001447	EWB00_010579	SMTH1_88780.1
OG0001449	EWB00_002956	SMTH1_36800.1, SMTH1_36790.1
OG0001450	EWB00_000063.4, EWB00_000063.6, EWB00_000063.1, EWB00_000063.2, EWB00_000063.3, EWB00_000063.5	SMTH1_19000.1
OG0001454	EWB00_008794.3, EWB00_008794.1, EWB00_008794.2, EWB00_008794.4, EWB00_008794.5	SMTH1_91740.1
OG0001455	EWB00_006672	SMTH1_106700.1, SMTH1_106700.2, SMTH1_106700.3, SMTH1_106700.4, SMTH1_106700.5, SMTH1_106700.6
OG0001456	EWB00_009329.2, EWB00_009329.4, EWB00_009329.1, EWB00_009329.3	SMTH1_76260.1, SMTH1_76280.1
OG0001457	EWB00_006287	SMTH1_6040.1, SMTH1_6040.2
OG0001458	EWB00_005995	SMTH1_33430.1, SMTH1_33430.2, SMTH1_33430.3
OG0001459	EWB00_003190	SMTH1_63500.1, SMTH1_63490.1
OG0001460	EWB00_004279	SMTH1_39950.1
OG0001461	EWB00_010024.2, EWB00_010024.3, EWB00_010024.1, EWB00_010024.4	SMTH1_31330.1, SMTH1_31330.10, SMTH1_31330.11, SMTH1_31330.12, SMTH1_31330.2, SMTH1_31330.3, SMTH1_31330.4, SMTH1_31330.5, SMTH1_31330.6, SMTH1_31330.7, SMTH1_31330.8, SMTH1_31330.9
OG0001462	EWB00_005942.4, EWB00_005942.7, EWB00_005942.3, EWB00_005942.6, EWB00_005942.8, EWB00_005942.9, EWB00_005942.10, EWB00_005942.2, EWB00_005942.1, EWB00_005942.5	SMTH1_64000.1, SMTH1_64000.2
OG0001463	EWB00_003859	SMTH1_66150.1, SMTH1_66170.1, SMTH1_66160.1
OG0001464	EWB00_005411	SMTH1_59420.1
OG0001465	EWB00_001179.1, EWB00_001179.2, EWB00_001179.3	SMTH1_83660.1, SMTH1_83670.1
OG0001466	EWB00_006339.1, EWB00_006339.2, EWB00_006339.3, EWB00_006339.4	SMTH1_5760.1, SMTH1_5760.2, SMTH1_5760.3, SMTH1_5760.4
OG0001467	EWB00_000404.4, EWB00_000404.1, EWB00_000404.2, EWB00_000404.3	SMTH1_69980.1
OG0001468	EWB00_000106	SMTH1_5310.1, SMTH1_5300.1
OG0001469	EWB00_001504	SMTH1_91370.1
OG0001470	EWB00_009880.1, EWB00_009880.2	SMTH1_71840.1
OG0001471	EWB00_000232, EWB00_000231, EWB00_000235	SMTH1_67280.1
OG0001472	EWB00_004700	SMTH1_71740.1
OG0001473	EWB00_011064.1, EWB00_011064.3, EWB00_011064.2	SMTH1_82380.1
OG0001474	EWB00_003899	SMTH1_45110.5, SMTH1_45110.4, SMTH1_45110.1, SMTH1_45110.2, SMTH1_45110.3, SMTH1_45110.6
OG0001475	EWB00_002159.1, EWB00_002159.2, EWB00_002159.3	SMTH1_60700.1
OG0001476	EWB00_009089, EWB00_009090	SMTH1_9610.1, SMTH1_9620.1
OG0001477	EWB00_008376.5, EWB00_008376.1, EWB00_008376.3, EWB00_008376.2, EWB00_008376.4	SMTH1_62040.1
OG0001478	EWB00_011273, EWB00_002424.2, EWB00_002424.1, EWB00_002424.3	SMTH1_24180.1
OG0001479	EWB00_010375.1, EWB00_010375.2	SMTH1_10750.1, SMTH1_10770.1, SMTH1_10760.1, SMTH1_10740.1
OG0001480	EWB00_004676	SMTH1_12160.1, SMTH1_12160.2, SMTH1_12160.3
OG0001481	EWB00_010804	SMTH1_53080.1, SMTH1_53090.1
OG0001482	EWB00_000369	SMTH1_102460.1, SMTH1_102470.1
OG0001483	EWB00_007364.1, EWB00_007364.2, EWB00_007364.3	SMTH1_79710.1
OG0001484	EWB00_007567.2, EWB00_007567.1, EWB00_007567.3, EWB00_007567.4	SMTH1_25180.1, SMTH1_25180.3, SMTH1_25180.2, SMTH1_25180.4
OG0001485	EWB00_001745.1, EWB00_001745.2, EWB00_001745.3, EWB00_001745.4, EWB00_001745.5	SMTH1_37650.1, SMTH1_37650.2
OG0001486	EWB00_010654	SMTH1_58910.1
OG0001487	EWB00_001107.1, EWB00_001107.2, EWB00_001107.3	SMTH1_27320.2, SMTH1_27320.1, SMTH1_27320.3, SMTH1_27320.4, SMTH1_107440.1
OG0001488	EWB00_004266	SMTH1_39820.1
OG0001488	EWB00_004796	SMTH1_105930.1
OG0001489	EWB00_000255.1, EWB00_000255.2, EWB00_000255.3	SMTH1_28140.1
OG0001490	EWB00_002584	SMTH1_35050.1
OG0001491	EWB00_006325.1, EWB00_006325.2	SMTH1_6410.1, SMTH1_6410.4, SMTH1_6410.2, SMTH1_6410.3
OG0001492	EWB00_010698	SMTH1_54180.1, SMTH1_54170.1, SMTH1_54180.2, SMTH1_54190.1
OG0001493	EWB00_000174	SMTH1_51270.1, SMTH1_51280.1, SMTH1_51290.1
OG0001494	EWB00_008039.1, EWB00_008039.2	SMTH1_29260.1
OG0001495	EWB00_008592.1, EWB00_008592.2	SMTH1_8680.1
OG0001496	EWB00_007183.1, EWB00_007183.2, EWB00_007183.3	SMTH1_84290.1
OG0001497	EWB00_003402	SMTH1_38240.1
OG0001498	EWB00_009904	SMTH1_50490.1
OG0001499	EWB00_005585	SMTH1_71580.1, SMTH1_71580.3, SMTH1_71580.2, SMTH1_71580.4
OG0001500	EWB00_003991.3, EWB00_003991.1, EWB00_003991.2	SMTH1_73850.1
OG0001501	EWB00_007411	SMTH1_103080.8, SMTH1_103080.1, SMTH1_103080.3, SMTH1_103080.4, SMTH1_103080.5, SMTH1_103080.6, SMTH1_103080.7, SMTH1_103080.2
OG0001502	EWB00_010230	SMTH1_800.1, SMTH1_830.1, SMTH1_750.1, SMTH1_740.1
OG0001503	EWB00_006507.1, EWB00_006507.2, EWB00_006507.3, EWB00_006507.4, EWB00_006507.5	SMTH1_57650.1, SMTH1_57650.2, SMTH1_57650.3
OG0001504	EWB00_007101.2, EWB00_007101.3, EWB00_007101.6, EWB00_007101.7, EWB00_007101.4, EWB00_007101.5, EWB00_007101.1	SMTH1_70540.1
OG0001505	EWB00_005893	SMTH1_103630.3, SMTH1_103630.2, SMTH1_103630.1
OG0001506	EWB00_009392.1, EWB00_009392.2	SMTH1_15890.1
OG0001507	EWB00_006823	SMTH1_58160.1
OG0001508	EWB00_009523	SMTH1_43070.1
OG0001509	EWB00_010948	SMTH1_84590.1
OG0001510	EWB00_008757.1, EWB00_008757.3, EWB00_008757.4, EWB00_008757.2	SMTH1_46580.4, SMTH1_46580.2, SMTH1_46580.1, SMTH1_46580.3
OG0001511	EWB00_010906.1, EWB00_010906.2, EWB00_010906.3, EWB00_010906.4	SMTH1_35290.1, SMTH1_35290.2
OG0001512	EWB00_007373	SMTH1_79610.1
OG0001513	EWB00_009356.1, EWB00_009356.2	SMTH1_16150.1, SMTH1_16140.1, SMTH1_16140.2
OG0001514	EWB00_003846.1, EWB00_003846.2	SMTH1_2080.1
OG0001515	EWB00_009461	SMTH1_2750.1, SMTH1_10420.1, SMTH1_63770.1, SMTH1_63790.1, SMTH1_63790.2
OG0001516	EWB00_010316.1, EWB00_010316.2	SMTH1_21860.1
OG0001516	EWB00_010314.3, EWB00_010314.4, EWB00_010314.2	SMTH1_21840.1
OG0001517	EWB00_010873.3, EWB00_010873.1, EWB00_010873.2, EWB00_010873.4	SMTH1_30460.1, SMTH1_30460.2, SMTH1_30460.3, SMTH1_30460.4, SMTH1_30460.5, SMTH1_30460.6, SMTH1_30460.7
OG0001518	EWB00_007187	SMTH1_84370.1
OG0001519	EWB00_007156, EWB00_007158.1, EWB00_007158.2, EWB00_007158.3	SMTH1_84170.1
OG0001520	EWB00_008664.1, EWB00_008664.4, EWB00_008664.2, EWB00_008664.3	SMTH1_9740.1
OG0001521	EWB00_011168.1, EWB00_011168.2	SMTH1_61110.1, SMTH1_61110.2
OG0001522	EWB00_000808.4, EWB00_000808.3, EWB00_000808.1, EWB00_000808.2	SMTH1_11160.2, SMTH1_11160.1, SMTH1_11160.3, SMTH1_11160.4, SMTH1_11160.5, SMTH1_11160.6
OG0001523	EWB00_008071	SMTH1_54310.1
OG0001524	EWB00_008943.2, EWB00_008943.1, EWB00_008943.4, EWB00_008943.3	SMTH1_89870.1
OG0001525	EWB00_001725	SMTH1_37550.1, SMTH1_37550.2, SMTH1_37550.3
OG0001527	EWB00_000712, EWB00_004948	SMTH1_99110.1, SMTH1_99110.2, SMTH1_99110.3
OG0001528	EWB00_006389	SMTH1_46430.1, SMTH1_47790.1
OG0001529	EWB00_011254.1, EWB00_011254.2	SMTH1_107820.1, SMTH1_107820.2, SMTH1_65440.1, SMTH1_65440.2
OG0001530	EWB00_002535.1, EWB00_009946, EWB00_002535.2, EWB00_002535.3	SMTH1_52000.1, SMTH1_52000.2
OG0001531	EWB00_002439.3, EWB00_002439.2, EWB00_002439.4, EWB00_002439.1	SMTH1_18470.1
OG0001532	EWB00_007573.1, EWB00_007573.2	SMTH1_3520.1
OG0001533	EWB00_010521	SMTH1_65260.1
OG0001534	EWB00_011036.1, EWB00_011036.2	SMTH1_82720.1
OG0001535	EWB00_006942	SMTH1_96770.1
OG0001536	EWB00_006442	SMTH1_22940.1, SMTH1_22940.2
OG0001537	EWB00_005648	SMTH1_1770.1, SMTH1_1750.1, SMTH1_1730.1
OG0001538	EWB00_000322	SMTH1_97640.1
OG0001539	EWB00_005624.2, EWB00_005624.1	SMTH1_1930.1, SMTH1_1930.2, SMTH1_1930.3
OG0001540	EWB00_006207.1, EWB00_006207.2, EWB00_006207.3, EWB00_006207.4	SMTH1_43370.10, SMTH1_43370.7, SMTH1_43370.2, SMTH1_43370.3, SMTH1_43370.1, SMTH1_43370.4, SMTH1_43370.11, SMTH1_43370.5, SMTH1_43370.12, SMTH1_43370.8, SMTH1_43370.9, SMTH1_43370.6, SMTH1_43340.1
OG0001541	EWB00_010178.1, EWB00_010178.2, EWB00_010179	SMTH1_93210.1, SMTH1_93210.2
OG0001542	EWB00_010723.1, EWB00_010723.2	SMTH1_53880.4, SMTH1_53880.1, SMTH1_53880.2, SMTH1_53880.3
OG0001543	EWB00_008401.3, EWB00_008401.4, EWB00_008401.1, EWB00_008401.2	SMTH1_93100.1, SMTH1_93100.2, SMTH1_93100.3, SMTH1_93100.4, SMTH1_93100.5
OG0001544	EWB00_009740.1, EWB00_009740.2	SMTH1_14150.1, SMTH1_14150.2, SMTH1_14150.3, SMTH1_14150.4
OG0001545	EWB00_002078.1, EWB00_002078.2	SMTH1_52390.1
OG0001546	EWB00_004303	SMTH1_40200.1
OG0001547	EWB00_004888.1, EWB00_004888.2, EWB00_004888.3	SMTH1_50000.1, SMTH1_50000.2, SMTH1_50000.3, SMTH1_50000.4
OG0001548	EWB00_005068.3, EWB00_005068.1, EWB00_005068.2	SMTH1_99270.1, SMTH1_99270.2, SMTH1_99270.3, SMTH1_99270.4
OG0001549	EWB00_004742.3, EWB00_004742.1, EWB00_004742.2	SMTH1_50640.1
OG0001554	EWB00_002893	SMTH1_34110.1
OG0001555	EWB00_007184	SMTH1_84330.1, SMTH1_84300.1, SMTH1_84310.1
OG0001556	EWB00_003408.4, EWB00_003408.1, EWB00_003408.3, EWB00_003408.2	SMTH1_35820.1
OG0001557	EWB00_001587	SMTH1_45810.4, SMTH1_45810.1, SMTH1_45810.2, SMTH1_45810.3
OG0001558	EWB00_004824, EWB00_009609.2, EWB00_009609.1	SMTH1_89620.1
OG0001559	EWB00_003678	SMTH1_56770.1, SMTH1_56750.1, SMTH1_56760.1
