Orthogroup	schistosoma_japonicum	fasciola_gigantica
OG0001114	EWB00_003819.1, EWB00_003819.2	FGIG_09856
OG0001115	EWB00_008941	FGIG_10139
OG0001116	EWB00_004405	FGIG_11923, FGIG_10461
OG0001117	EWB00_002363	FGIG_10571
OG0001118	EWB00_002739.1, EWB00_002739.2	FGIG_11081
OG0001119	EWB00_000920.1, EWB00_000920.2, EWB00_000920.4, EWB00_000920.3	FGIG_11555
OG0001120	EWB00_002578	FGIG_11558
OG0001121	EWB00_005134.5, EWB00_005134.1, EWB00_005134.6, EWB00_005134.4, EWB00_005134.2, EWB00_005134.3	FGIG_11654
OG0001122	EWB00_002290, EWB00_002289	FGIG_12006
OG0001123	EWB00_005079	FGIG_12321
OG0001124	EWB00_004927.2, EWB00_004927.3, EWB00_004927.4, EWB00_004927.5, EWB00_004927.7, EWB00_004927.8, EWB00_004927.1, EWB00_004927.6, EWB00_004927.9	FGIG_12395
OG0001129	EWB00_009126	FGIG_00014, FGIG_00015
OG0001130	EWB00_008952	FGIG_00274
OG0001131	EWB00_011067, EWB00_010938, EWB00_010102, EWB00_011237	FGIG_01558, FGIG_00298, FGIG_09149
OG0001132	EWB00_004513.1, EWB00_004513.2	FGIG_00496, FGIG_00497
OG0001133	EWB00_003100.1, EWB00_003100.2	FGIG_02833, FGIG_00526
OG0001134	EWB00_010505	FGIG_12437, FGIG_00591
OG0001135	EWB00_007857	FGIG_02017, FGIG_00617, FGIG_07747, FGIG_02078
OG0001136	EWB00_007074	FGIG_00645, FGIG_03058, FGIG_03059
OG0001137	EWB00_005385	FGIG_00823, FGIG_00821
OG0001138	EWB00_002488.3, EWB00_002488.5, EWB00_002488.4, EWB00_002488.2, EWB00_002488.1	FGIG_01503
OG0001139	EWB00_001288	FGIG_01506
OG0001140	EWB00_004038.3, EWB00_004038.1, EWB00_004038.2, EWB00_004038.4	FGIG_01543
OG0001141	EWB00_008236, EWB00_010581	FGIG_01893, FGIG_01892
OG0001142	EWB00_010000, EWB00_009996, EWB00_009998	FGIG_02001, FGIG_02003
OG0001143	EWB00_000397.1, EWB00_000397.2, EWB00_000397.3	FGIG_02060
OG0001144	EWB00_004285	FGIG_02616, FGIG_03492
OG0001145	EWB00_010489	FGIG_02867
OG0001146	EWB00_004856.1, EWB00_004856.2	FGIG_03198
OG0001147	EWB00_002095	FGIG_04109, FGIG_03472
OG0001148	EWB00_000968	FGIG_03714
OG0001149	EWB00_007400	FGIG_03749
OG0001150	EWB00_003549.3, EWB00_003549.1, EWB00_003549.2, EWB00_003549.4	FGIG_03772
OG0001151	EWB00_001919.1, EWB00_001919.2	FGIG_04134, FGIG_04135
OG0001153	EWB00_010070.3, EWB00_010070.4, EWB00_010070.1, EWB00_010070.2, EWB00_010070.5	FGIG_04681
OG0001154	EWB00_000030, EWB00_000029	FGIG_04952
OG0001155	EWB00_010700	FGIG_05185, FGIG_05184
OG0001156	EWB00_008591	FGIG_05213
OG0001157	EWB00_000400.1, EWB00_000400.2, EWB00_000400.4, EWB00_000400.3	FGIG_05241
OG0001158	EWB00_002800	FGIG_05413
OG0001159	EWB00_006018, EWB00_004960	FGIG_05437
OG0001160	EWB00_005699	FGIG_05512
OG0001161	EWB00_008928, EWB00_010476.1, EWB00_010476.2, EWB00_010476.3	FGIG_05665, FGIG_05664
OG0001162	EWB00_006864.3, EWB00_006864.4, EWB00_006864.1, EWB00_006864.2	FGIG_05816
OG0001163	EWB00_002010	FGIG_06050, FGIG_06049
OG0001164	EWB00_006769.1, EWB00_006769.3, EWB00_006769.2	FGIG_06154
OG0001165	EWB00_011222.1, EWB00_011222.2	FGIG_06975
OG0001166	EWB00_011074	FGIG_07145
OG0001167	EWB00_006863	FGIG_07296
OG0001168	EWB00_007693	FGIG_07458, FGIG_07459
OG0001169	EWB00_005343	FGIG_07667
OG0001170	EWB00_004194	FGIG_07739
OG0001171	EWB00_004815.1, EWB00_004815.3, EWB00_004815.4, EWB00_004815.5, EWB00_004815.2	FGIG_07821
OG0001172	EWB00_011304.3, EWB00_011304.1, EWB00_011304.4, EWB00_011304.2	FGIG_08034
OG0001173	EWB00_003842	FGIG_08233
OG0001175	EWB00_003539.1, EWB00_003539.2	FGIG_08343
OG0001176	EWB00_004549.3, EWB00_004549.1, EWB00_004549.2	FGIG_08377
OG0001177	EWB00_001130.1, EWB00_001130.2	FGIG_08477
OG0001178	EWB00_007871, EWB00_007868, EWB00_007870	FGIG_08746
OG0001179	EWB00_008433.1, EWB00_008433.3, EWB00_008433.2, EWB00_008433.4, EWB00_008433.5	FGIG_08962
OG0001180	EWB00_009514, EWB00_002566	FGIG_09159, FGIG_11284
OG0001181	EWB00_011225.1, EWB00_011225.3, EWB00_011225.4, EWB00_011225.2	FGIG_09440
OG0001182	EWB00_004268.3, EWB00_004268.4, EWB00_004268.5, EWB00_004268.6, EWB00_004268.1, EWB00_004268.2, EWB00_004268.7	FGIG_09577, FGIG_12267
OG0001183	EWB00_011081.1, EWB00_011081.2	FGIG_09838
OG0001184	EWB00_000876	FGIG_09947
OG0001186	EWB00_006349	FGIG_10879
OG0001187	EWB00_004626.1, EWB00_004626.2	FGIG_11096
OG0001188	EWB00_004444, EWB00_005813, EWB00_004077	FGIG_11471
OG0001189	EWB00_004208	FGIG_12652, FGIG_11638
OG0001190	EWB00_004289.1, EWB00_004289.2, EWB00_004289.3	FGIG_11792
OG0001191	EWB00_007772.1, EWB00_007772.2, EWB00_007772.3, EWB00_007772.4, EWB00_007772.5, EWB00_007772.6	FGIG_11901
OG0001192	EWB00_006404.1, EWB00_006404.2, EWB00_006404.3	FGIG_12164, FGIG_12599
OG0001193	EWB00_008292.2, EWB00_008292.1, EWB00_008292.3	FGIG_12177
OG0001194	EWB00_009245.1, EWB00_009245.2	FGIG_12597
OG0001202	EWB00_002669.3, EWB00_002669.1, EWB00_002669.2, EWB00_002669.4, EWB00_002669.5	FGIG_00092, FGIG_00091, FGIG_00090
OG0001203	EWB00_005655	FGIG_00255
OG0001203	EWB00_006758	FGIG_01145
OG0001204	EWB00_009801	FGIG_00416
OG0001205	EWB00_004310.1, EWB00_004310.2, EWB00_004310.3	FGIG_00431, FGIG_00433
OG0001207	EWB00_002323.1, EWB00_002323.2, EWB00_002323.3	FGIG_00624
OG0001208	EWB00_003148, EWB00_003150	FGIG_00768, FGIG_10999, FGIG_08146
OG0001209	EWB00_008086	FGIG_00773
OG0001210	EWB00_000580.2, EWB00_000580.1, EWB00_000580.3, EWB00_000580.4	FGIG_00783
OG0001211	EWB00_006527.4, EWB00_006527.1, EWB00_006527.2, EWB00_006527.3	FGIG_00867
OG0001212	EWB00_001093	FGIG_00887, FGIG_00886
OG0001213	EWB00_008528	FGIG_00940
OG0001214	EWB00_003313.1, EWB00_003313.2, EWB00_003313.3, EWB00_003313.4	FGIG_00963
OG0001215	EWB00_010425.1, EWB00_010425.2, EWB00_010425.3, EWB00_010425.4	FGIG_00989
OG0001216	EWB00_005026.4, EWB00_005026.2, EWB00_005026.1, EWB00_005026.3	FGIG_01139
OG0001217	EWB00_006632.3, EWB00_006632.1, EWB00_006632.2	FGIG_01201, FGIG_09525
OG0001218	EWB00_010561, EWB00_007683.1, EWB00_007683.3, EWB00_007683.2	FGIG_01297
OG0001219	EWB00_008004.1, EWB00_008004.2	FGIG_01301
OG0001220	EWB00_001424	FGIG_01568
OG0001221	EWB00_007723.1, EWB00_007723.2	FGIG_01627
OG0001222	EWB00_008570.6, EWB00_008570.4, EWB00_008570.5, EWB00_008570.1, EWB00_008570.3, EWB00_008570.2	FGIG_01806
OG0001223	EWB00_005965	FGIG_12507, FGIG_01808
OG0001224	EWB00_003782.1, EWB00_003782.2	FGIG_11675, FGIG_01980, FGIG_11674
OG0001225	EWB00_005264	FGIG_11699, FGIG_02205
OG0001226	EWB00_000188	FGIG_02402, FGIG_02403
OG0001227	EWB00_004021.3, EWB00_004021.4, EWB00_004021.1, EWB00_004021.2	FGIG_02427, FGIG_10207
OG0001228	EWB00_009722.2, EWB00_009722.1, EWB00_010025, EWB00_004885	FGIG_04742, FGIG_05551, FGIG_02693, FGIG_12115, FGIG_02692
OG0001229	EWB00_006070	FGIG_02875
OG0001230	EWB00_007647.2, EWB00_007647.3, EWB00_007647.1, EWB00_007647.4	FGIG_02882
OG0001231	EWB00_006158.9, EWB00_006158.1, EWB00_006158.4, EWB00_006158.7, EWB00_006158.2, EWB00_006158.5, EWB00_006158.3, EWB00_006158.6, EWB00_006158.8	FGIG_02962
OG0001232	EWB00_006765.1, EWB00_006765.2	FGIG_03290, FGIG_10388
OG0001233	EWB00_010835.1, EWB00_010835.2, EWB00_010835.7, EWB00_010835.5, EWB00_010835.3, EWB00_010835.6, EWB00_010835.4, EWB00_010835.9, EWB00_010835.10, EWB00_010835.8	FGIG_03583
OG0001234	EWB00_004896.5, EWB00_004896.2, EWB00_004896.3, EWB00_004896.1, EWB00_004896.4	FGIG_03890
OG0001235	EWB00_003285, EWB00_003283	FGIG_05015, FGIG_04167
OG0001236	EWB00_009224, EWB00_009223	FGIG_04255, FGIG_04254
OG0001237	EWB00_005036.3, EWB00_005036.1, EWB00_005036.2, EWB00_005042.2, EWB00_005042.1, EWB00_005042.3	FGIG_04341
OG0001238	EWB00_002187.3, EWB00_002187.1, EWB00_002187.2	FGIG_04821, FGIG_10088
OG0001239	EWB00_007685	FGIG_04854
OG0001240	EWB00_007766.1, EWB00_007766.2	FGIG_05002
OG0001241	EWB00_003870	FGIG_05887
OG0001241	EWB00_008223	FGIG_05099
OG0001242	EWB00_007827	FGIG_05100, FGIG_11527, FGIG_06927, FGIG_10131, FGIG_10130
OG0001244	EWB00_001945	FGIG_05347
OG0001245	EWB00_008323	FGIG_05932
OG0001246	EWB00_002955.1, EWB00_002955.3, EWB00_002955.4, EWB00_002955.2	FGIG_06383
OG0001247	EWB00_001283.3, EWB00_001283.4, EWB00_001283.1, EWB00_001283.2	FGIG_06416
OG0001248	EWB00_006329.3, EWB00_006329.1, EWB00_006329.2	FGIG_06917
OG0001249	EWB00_004277	FGIG_06968
OG0001250	EWB00_004654.2, EWB00_004654.4, EWB00_004654.3, EWB00_004654.1, EWB00_004653	FGIG_06989
OG0001251	EWB00_001412.1, EWB00_001412.2	FGIG_07285
OG0001252	EWB00_009341.3, EWB00_009341.2, EWB00_009341.1	FGIG_07384
OG0001253	EWB00_000765.3, EWB00_000765.1, EWB00_000765.2	FGIG_07753, FGIG_07752
OG0001254	EWB00_005971, EWB00_005970	FGIG_12494, FGIG_07899, FGIG_07901
OG0001255	EWB00_000639.1, EWB00_000639.2	FGIG_07955
OG0001256	EWB00_010707	FGIG_10216, FGIG_08072, FGIG_08073
OG0001257	EWB00_005008.1, EWB00_005008.2	FGIG_10494, FGIG_08198
OG0001258	EWB00_007264	FGIG_08259
OG0001259	EWB00_003857	FGIG_08281
OG0001260	EWB00_005642.1, EWB00_005642.2	FGIG_08501, FGIG_08502
OG0001261	EWB00_004737	FGIG_08782
OG0001262	EWB00_008791	FGIG_08945
OG0001263	EWB00_001923.1, EWB00_001923.2, EWB00_001920	FGIG_09513
OG0001264	EWB00_006491.1, EWB00_006491.2	FGIG_09786
OG0001265	EWB00_011339	FGIG_09796
OG0001266	EWB00_000975.2, EWB00_000975.1, EWB00_000975.3	FGIG_09988
OG0001267	EWB00_010689.1, EWB00_010689.2	FGIG_10603
OG0001268	EWB00_000426	FGIG_11001, FGIG_10608
OG0001269	EWB00_007070.1, EWB00_007070.3, EWB00_007070.2	FGIG_10908
OG0001270	EWB00_001976	FGIG_10957
OG0001271	EWB00_000909	FGIG_11008, FGIG_12544
OG0001272	EWB00_007476.1, EWB00_007476.2	FGIG_11520, FGIG_12609, FGIG_11091
OG0001273	EWB00_003439.1, EWB00_003439.2	FGIG_11191
OG0001274	EWB00_008932	FGIG_11229, FGIG_11228
OG0001275	EWB00_002146.1, EWB00_002146.2, EWB00_002146.3	FGIG_11389, FGIG_11949
OG0001276	EWB00_004707.1, EWB00_004707.2, EWB00_004707.3	FGIG_11574
OG0001277	EWB00_007325.1, EWB00_007325.2	FGIG_11601, FGIG_12005
OG0001278	EWB00_000340.1, EWB00_000340.2, EWB00_000340.3	FGIG_11618
OG0001279	EWB00_008361	FGIG_12224, FGIG_12521
OG0001288	EWB00_009423.1, EWB00_009423.2, EWB00_009423.3	FGIG_00192
OG0001289	EWB00_006051.1, EWB00_006051.2, EWB00_006051.3	FGIG_00210
OG0001290	EWB00_006343	FGIG_07230, FGIG_00515
OG0001291	EWB00_007770	FGIG_00674
OG0001292	EWB00_007784.1, EWB00_007784.2	FGIG_00943
OG0001293	EWB00_003795	FGIG_01034, FGIG_10755
OG0001294	EWB00_007854.1, EWB00_007854.3, EWB00_007854.2	FGIG_01093
OG0001295	EWB00_008156.4, EWB00_008156.1, EWB00_008156.5, EWB00_008156.6, EWB00_008156.3, EWB00_008156.2	FGIG_01383
OG0001296	EWB00_008597	FGIG_01523
OG0001297	EWB00_003697	FGIG_01649
OG0001298	EWB00_004298.2, EWB00_004298.3, EWB00_004298.1	FGIG_10329, FGIG_01668
OG0001299	EWB00_005967.1, EWB00_005967.2, EWB00_005967.3, EWB00_005967.4, EWB00_005967.6, EWB00_005967.5, EWB00_005967.7	FGIG_01809
OG0001300	EWB00_009240	FGIG_01863, FGIG_01865, FGIG_01864
OG0001301	EWB00_002152.1, EWB00_002152.2, EWB00_002152.3, EWB00_002152.4	FGIG_02298
OG0001302	EWB00_007901.1, EWB00_007901.2, EWB00_007901.3	FGIG_02339, FGIG_12266
OG0001303	EWB00_008157.2, EWB00_008157.1	FGIG_02649
OG0001304	EWB00_004457.2, EWB00_004457.1, EWB00_004457.3, EWB00_004457.4	FGIG_02940
OG0001305	EWB00_005639	FGIG_03115
OG0001306	EWB00_011148	FGIG_03213, FGIG_11624
OG0001307	EWB00_008828.1, EWB00_008828.2, EWB00_008828.3, EWB00_008828.5, EWB00_008828.6, EWB00_008828.4	FGIG_12121
OG0001307	EWB00_008823.3, EWB00_008823.1, EWB00_008823.2	FGIG_08402, FGIG_03373
OG0001308	EWB00_001421	FGIG_03675
OG0001309	EWB00_011058.1, EWB00_011058.2	FGIG_03882
OG0001310	EWB00_010881.1, EWB00_010881.2	FGIG_03923, FGIG_03919, FGIG_03920, FGIG_03921, FGIG_03922
OG0001311	EWB00_004898	FGIG_04205
OG0001312	EWB00_002585.1, EWB00_002585.3, EWB00_002585.4, EWB00_002585.2	FGIG_04608
OG0001313	EWB00_008761	FGIG_04711, FGIG_10967, FGIG_04712
OG0001315	EWB00_002581	FGIG_04966
OG0001316	EWB00_001349, EWB00_001348	FGIG_05223, FGIG_05224
OG0001317	EWB00_002314.1, EWB00_002314.2, EWB00_002314.3, EWB00_002314.4, EWB00_002314.5	FGIG_05230, FGIG_05743
OG0001318	EWB00_010224	FGIG_05261
OG0001319	EWB00_006154.1, EWB00_006154.2	FGIG_05871
OG0001320	EWB00_008863	FGIG_06118
OG0001321	EWB00_008520, EWB00_008521	FGIG_06378, FGIG_10936, FGIG_10722
OG0001322	EWB00_010777	FGIG_06556
OG0001323	EWB00_005668	FGIG_06678
OG0001324	EWB00_008054.1, EWB00_008054.2	FGIG_06702
OG0001325	EWB00_003691, EWB00_005835	FGIG_06784
OG0001326	EWB00_006474.2, EWB00_006474.3, EWB00_006474.5, EWB00_006474.1, EWB00_006474.4	FGIG_07026, FGIG_12565
OG0001327	EWB00_011417	FGIG_07236
OG0001330	EWB00_004141.1, EWB00_004141.2	FGIG_07580
OG0001331	EWB00_010728.1, EWB00_010728.2	FGIG_07615
OG0001332	EWB00_000493.3, EWB00_000493.4, EWB00_000493.2, EWB00_000493.1	FGIG_07793
OG0001332	EWB00_002767	FGIG_08065
OG0001333	EWB00_008908	FGIG_08087
OG0001334	EWB00_005632.1, EWB00_005632.2, EWB00_005632.3	FGIG_08335
OG0001335	EWB00_010111	FGIG_08507
OG0001336	EWB00_004039	FGIG_08559
OG0001337	EWB00_006488.1, EWB00_006488.2, EWB00_006489	FGIG_08711
OG0001338	EWB00_005602	FGIG_08777
OG0001339	EWB00_009385	FGIG_09242
OG0001340	EWB00_009670, EWB00_009671	FGIG_09253
OG0001341	EWB00_003889	FGIG_09384
OG0001342	EWB00_010648.1, EWB00_010648.2	FGIG_12225, FGIG_09592, FGIG_09591
OG0001343	EWB00_002765.2, EWB00_002765.3, EWB00_002765.1	FGIG_09648
OG0001344	EWB00_009004	FGIG_10334, FGIG_09779
OG0001345	EWB00_002797	FGIG_09899, FGIG_10090
OG0001346	EWB00_009374.1, EWB00_009374.2, EWB00_009373	FGIG_10884, FGIG_10886, FGIG_09989, FGIG_10885
OG0001347	EWB00_001746.1, EWB00_001746.2, EWB00_001746.3	FGIG_10057, FGIG_12464
OG0001348	EWB00_004267.1, EWB00_004267.2	FGIG_10100
OG0001349	EWB00_002368, EWB00_002365	FGIG_11879, FGIG_10164
OG0001350	EWB00_007465	FGIG_10314
OG0001351	EWB00_007066.1, EWB00_007066.2	FGIG_10576
OG0001352	EWB00_007051.1, EWB00_007051.2	FGIG_10691
OG0001353	EWB00_005902.1, EWB00_005902.2, EWB00_005902.3	FGIG_10836, FGIG_11746
OG0001354	EWB00_009879.1, EWB00_009879.2	FGIG_11409
OG0001355	EWB00_003862.3, EWB00_003862.1, EWB00_003862.2	FGIG_11782
OG0001356	EWB00_002725	FGIG_11865
OG0001357	EWB00_006165	FGIG_12082
OG0001358	EWB00_001067.1, EWB00_001067.2, EWB00_001067.4, EWB00_001067.3	FGIG_12429, FGIG_12515
OG0001361	EWB00_003304	FGIG_00002
OG0001362	EWB00_002884.1, EWB00_002884.2	FGIG_10224
OG0001363	EWB00_001426.2, EWB00_001426.1	FGIG_00681
OG0001364	EWB00_001353	FGIG_02461, FGIG_00701
OG0001365	EWB00_007381	FGIG_00793
OG0001366	EWB00_005408.1, EWB00_005408.2	FGIG_00825
OG0001367	EWB00_004799.3, EWB00_004799.1, EWB00_004799.2	FGIG_00899
OG0001368	EWB00_006451.3, EWB00_006451.4, EWB00_006451.1, EWB00_006451.2	FGIG_01072
OG0001369	EWB00_011378.1, EWB00_011378.2, EWB00_011378.3	FGIG_01293, FGIG_11775
OG0001370	EWB00_002230, EWB00_002234	FGIG_01407
OG0001371	EWB00_004314.2, EWB00_004314.4, EWB00_004314.5, EWB00_004314.3, EWB00_004314.1	FGIG_01436, FGIG_03554, FGIG_05993
OG0001372	EWB00_001272, EWB00_005599.1, EWB00_005599.4, EWB00_001273, EWB00_005599.3, EWB00_005599.2	FGIG_01881
OG0001373	EWB00_001922, EWB00_007903.2, EWB00_007903.1, EWB00_007903.3	FGIG_01981
OG0001374	EWB00_011328	FGIG_01999
OG0001375	EWB00_002001	FGIG_02028
OG0001376	EWB00_009961, EWB00_004930.1, EWB00_004930.2	FGIG_02276
OG0001377	EWB00_009170	FGIG_02347
OG0001378	EWB00_007333.5, EWB00_007333.3, EWB00_007333.4, EWB00_007333.1, EWB00_007333.2, EWB00_007333.6	FGIG_02822, FGIG_02481
OG0001379	EWB00_008653	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106
OG0001380	EWB00_000503.1, EWB00_000503.2	FGIG_02638
OG0001381	EWB00_004538	FGIG_02642, FGIG_12629
OG0001382	EWB00_005035.1, EWB00_005035.2	FGIG_02925
OG0001383	EWB00_009013, EWB00_009014	FGIG_03190
OG0001384	EWB00_009445.3, EWB00_009445.4, EWB00_009445.2, EWB00_009445.1	FGIG_03272
OG0001385	EWB00_001547	FGIG_03311, FGIG_03310
OG0001386	EWB00_004901, EWB00_004900	FGIG_03534
OG0001387	EWB00_008055	FGIG_03668
OG0001388	EWB00_009408	FGIG_07823, FGIG_03697
OG0001389	EWB00_000171	FGIG_03992
OG0001390	EWB00_004599	FGIG_04023
OG0001391	EWB00_003387.2, EWB00_003387.3, EWB00_003387.1	FGIG_04025, FGIG_06537
OG0001392	EWB00_007691	FGIG_04113
OG0001393	EWB00_003130, EWB00_003131	FGIG_04241
OG0001394	EWB00_010972.1, EWB00_010972.2	FGIG_04248
OG0001395	EWB00_004458	FGIG_04272
OG0001395	EWB00_000296.4, EWB00_000296.1, EWB00_000296.2, EWB00_000296.3	FGIG_12176
OG0001396	EWB00_010769	FGIG_04364
OG0001397	EWB00_007740	FGIG_04602
OG0001398	EWB00_009382.5, EWB00_009382.2, EWB00_009382.3, EWB00_009382.4, EWB00_009382.1	FGIG_04627
OG0001399	EWB00_008572	FGIG_04632, FGIG_05593
OG0001400	EWB00_000847	FGIG_04740
OG0001401	EWB00_008415, EWB00_008414	FGIG_05531, FGIG_04791
OG0001402	EWB00_005115.1, EWB00_005115.2, EWB00_005115.3, EWB00_005115.6, EWB00_005115.4, EWB00_005115.5	FGIG_04917
OG0001403	EWB00_002225	FGIG_05254, FGIG_05255
OG0001404	EWB00_010350.1, EWB00_010350.2	FGIG_05319
OG0001405	EWB00_002914	FGIG_05965
OG0001406	EWB00_009121.2, EWB00_009121.3, EWB00_009121.4, EWB00_009121.5, EWB00_009121.1, EWB00_009121.7, EWB00_009121.6	FGIG_06203
OG0001407	EWB00_004503	FGIG_06208
OG0001408	EWB00_006991, EWB00_006989.1, EWB00_006989.2, EWB00_006989.3	FGIG_06264, FGIG_07363
OG0001409	EWB00_007601	FGIG_06287, FGIG_09995
OG0001410	EWB00_008363.1, EWB00_008363.2, EWB00_008362.3, EWB00_008362.1, EWB00_008362.2	FGIG_06538
OG0001411	EWB00_003306.1, EWB00_003306.2, EWB00_003306.3	FGIG_06544
OG0001412	EWB00_003296.1, EWB00_003296.2	FGIG_06774
OG0001413	EWB00_003030.1, EWB00_003030.2	FGIG_06924
OG0001414	EWB00_004848, EWB00_004849, EWB00_004847	FGIG_07348
OG0001415	EWB00_004624	FGIG_07500
OG0001416	EWB00_009367.2, EWB00_009367.1	FGIG_07696
OG0001417	EWB00_000686.1, EWB00_000686.2	FGIG_07741, FGIG_12559
OG0001418	EWB00_010214.2, EWB00_010214.1, EWB00_010214.3, EWB00_010214.4, EWB00_010214.5	FGIG_07825
OG0001420	EWB00_001481.1, EWB00_001481.2, EWB00_001481.3	FGIG_07881
OG0001421	EWB00_004354	FGIG_07907
OG0001422	EWB00_001374.1, EWB00_001374.2	FGIG_08355
OG0001423	EWB00_003255	FGIG_08436
OG0001424	EWB00_005772.2, EWB00_005772.5, EWB00_005772.1, EWB00_005772.6, EWB00_005772.3, EWB00_005772.4	FGIG_09248, FGIG_12263, FGIG_08684
OG0001425	EWB00_000266.1, EWB00_000266.2, EWB00_000266.3, EWB00_000266.4	FGIG_08864
OG0001426	EWB00_011239.2, EWB00_011239.1, EWB00_011239.3	FGIG_09477
OG0001427	EWB00_004103	FGIG_09959, FGIG_09960, FGIG_09551
OG0001428	EWB00_004240	FGIG_09685
OG0001429	EWB00_010670.1, EWB00_010670.2	FGIG_09736
OG0001430	EWB00_002214, EWB00_002215	FGIG_09780, FGIG_09781
OG0001431	EWB00_010501.6, EWB00_010501.4, EWB00_010501.5, EWB00_010501.1, EWB00_010501.3, EWB00_010501.2	FGIG_09903
OG0001432	EWB00_002429.1, EWB00_002429.2	FGIG_10624, FGIG_10046
OG0001433	EWB00_006443	FGIG_10236
OG0001434	EWB00_003352, EWB00_003353	FGIG_10315
OG0001435	EWB00_001419, EWB00_001418	FGIG_10602
OG0001436	EWB00_004555.1, EWB00_004555.2, EWB00_004555.3, EWB00_004555.4	FGIG_10675
OG0001437	EWB00_004750.1, EWB00_004750.2, EWB00_005353, EWB00_002165	FGIG_11037
OG0001438	EWB00_001046.1, EWB00_001046.3, EWB00_001046.2	FGIG_12188, FGIG_11078
OG0001439	EWB00_007162.1, EWB00_007162.2	FGIG_11413
OG0001440	EWB00_001292	FGIG_11566, FGIG_11647
OG0001441	EWB00_001887.1, EWB00_001887.2, EWB00_001887.3, EWB00_001887.4, EWB00_001887.5, EWB00_001891.4, EWB00_001891.6, EWB00_001891.2, EWB00_001891.3, EWB00_001891.5, EWB00_001891.1	FGIG_11575
OG0001442	EWB00_007731	FGIG_12309
OG0001443	EWB00_008501.2, EWB00_008501.1, EWB00_008501.4, EWB00_008501.3	FGIG_12392
OG0001454	EWB00_008794.3, EWB00_008794.1, EWB00_008794.2, EWB00_008794.4, EWB00_008794.5	FGIG_00100
OG0001455	EWB00_006672	FGIG_00375
OG0001456	EWB00_009329.2, EWB00_009329.4, EWB00_009329.1, EWB00_009329.3	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394
OG0001457	EWB00_006287	FGIG_00527
OG0001458	EWB00_005995	FGIG_00598
OG0001459	EWB00_003190	FGIG_00625
OG0001460	EWB00_004279	FGIG_00746
OG0001461	EWB00_010024.2, EWB00_010024.3, EWB00_010024.1, EWB00_010024.4	FGIG_00812
OG0001462	EWB00_005942.4, EWB00_005942.7, EWB00_005942.3, EWB00_005942.6, EWB00_005942.8, EWB00_005942.9, EWB00_005942.10, EWB00_005942.2, EWB00_005942.1, EWB00_005942.5	FGIG_00838
OG0001463	EWB00_003859	FGIG_00845, FGIG_00847, FGIG_00842
OG0001464	EWB00_005411	FGIG_01002, FGIG_01001
OG0001465	EWB00_001179.1, EWB00_001179.2, EWB00_001179.3	FGIG_01084, FGIG_01085, FGIG_01083
OG0001466	EWB00_006339.1, EWB00_006339.2, EWB00_006339.3, EWB00_006339.4	FGIG_01468
OG0001467	EWB00_000404.4, EWB00_000404.1, EWB00_000404.2, EWB00_000404.3	FGIG_01527
OG0001468	EWB00_000106	FGIG_01678
OG0001469	EWB00_001504	FGIG_02035
OG0001470	EWB00_009880.1, EWB00_009880.2	FGIG_02478
OG0001471	EWB00_000232, EWB00_000231, EWB00_000235	FGIG_02485
OG0001472	EWB00_004700	FGIG_02729
OG0001473	EWB00_011064.1, EWB00_011064.3, EWB00_011064.2	FGIG_02731
OG0001474	EWB00_003899	FGIG_03047
OG0001475	EWB00_002159.1, EWB00_002159.2, EWB00_002159.3	FGIG_03100
OG0001476	EWB00_009089, EWB00_009090	FGIG_03317, FGIG_03318, FGIG_03319
OG0001477	EWB00_008376.5, EWB00_008376.1, EWB00_008376.3, EWB00_008376.2, EWB00_008376.4	FGIG_05669, FGIG_03473
OG0001478	EWB00_011273, EWB00_002424.2, EWB00_002424.1, EWB00_002424.3	FGIG_03510
OG0001479	EWB00_010375.1, EWB00_010375.2	FGIG_03824, FGIG_03823
OG0001480	EWB00_004676	FGIG_03902, FGIG_09394
OG0001481	EWB00_010804	FGIG_03954
OG0001482	EWB00_000369	FGIG_03987, FGIG_03989
OG0001483	EWB00_007364.1, EWB00_007364.2, EWB00_007364.3	FGIG_04016, FGIG_04017
OG0001484	EWB00_007567.2, EWB00_007567.1, EWB00_007567.3, EWB00_007567.4	FGIG_04029
OG0001485	EWB00_001745.1, EWB00_001745.2, EWB00_001745.3, EWB00_001745.4, EWB00_001745.5	FGIG_04100
OG0001486	EWB00_010654	FGIG_04199
OG0001487	EWB00_001107.1, EWB00_001107.2, EWB00_001107.3	FGIG_04338
OG0001488	EWB00_004266	FGIG_10101
OG0001488	EWB00_004796	FGIG_04424, FGIG_09377
OG0001489	EWB00_000255.1, EWB00_000255.2, EWB00_000255.3	FGIG_04514
OG0001490	EWB00_002584	FGIG_04737
OG0001491	EWB00_006325.1, EWB00_006325.2	FGIG_04881
OG0001492	EWB00_010698	FGIG_05028
OG0001493	EWB00_000174	FGIG_05082
OG0001494	EWB00_008039.1, EWB00_008039.2	FGIG_05163
OG0001495	EWB00_008592.1, EWB00_008592.2	FGIG_05214
OG0001496	EWB00_007183.1, EWB00_007183.2, EWB00_007183.3	FGIG_05312
OG0001497	EWB00_003402	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298
