Orthogroup	schmidtea_mediterranea	schistosoma_curassoni
OG0000747	h1SMcT0015570.1, h1SMcT0013888.1, h1SMcT0013888.2	SCUR1_43060.1, SCUR1_43060.3, SCUR1_43060.2, SCUR1_43060.4
OG0000748	h1SMcT0021267.1, h1SMcT0021267.2, h1SMcT0021882.3, h1SMcT0021882.1, h1SMcT0021882.2, h1SMcT0021882.4	SCUR1_69550.1
OG0000749	h1SMcT0014961.3, h1SMcT0014961.1, h1SMcT0014961.2	SCUR1_68910.1
OG0000750	h1SMcT0017309.2, h1SMcT0017309.3, h1SMcT0017309.1	SCUR1_73580.1, SCUR1_73580.3, SCUR1_73580.2, SCUR1_73580.8, SCUR1_73580.7, SCUR1_73580.6, SCUR1_73580.5, SCUR1_73580.4
OG0000751	h1SMcT0016766.1, h1SMcT0019426.1, h1SMcT0002043.1, h1SMcT0002054.1	SCUR1_5500.1, SCUR1_2440.1
OG0000752	h1SMcT0008944.1, h1SMcT0013028.1, h1SMcT0013029.1, h1SMcT0016615.1, h1SMcT0015880.1	SCUR1_97640.1, SCUR1_91540.1
OG0000753	h1SMcT0001067.3	SCUR1_82050.3, SCUR1_82050.1, SCUR1_82050.2
OG0000754	h1SMcT0013180.2, h1SMcT0013180.1, h1SMcT0013180.3	SCUR1_50350.1
OG0000755	h1SMcT0000011.1, h1SMcT0015157.1	SCUR1_74850.1
OG0000756	h1SMcT0015447.1	SCUR1_39160.1
OG0000757	h1SMcT0005050.8, h1SMcT0005050.5, h1SMcT0005050.3, h1SMcT0005050.4, h1SMcT0005050.7	SCUR1_52570.3, SCUR1_52570.2, SCUR1_52570.1, SCUR1_52570.4
OG0000760	h1SMcT0006973.1	SCUR1_78210.2, SCUR1_78210.10, SCUR1_78210.8, SCUR1_78210.1, SCUR1_78210.3, SCUR1_78210.4, SCUR1_78210.5, SCUR1_78210.6, SCUR1_78210.7, SCUR1_78210.9
OG0000761	h1SMcT0013573.1	SCUR1_53740.1, SCUR1_53740.2
OG0000762	h1SMcT0004438.1, h1SMcT0004438.2, h1SMcT0001956.1	SCUR1_80200.2, SCUR1_80200.3, SCUR1_80200.1
OG0000762	h1SMcT0020895.1, h1SMcT0004793.1, h1SMcT0004793.2	SCUR1_86400.1
OG0000763	h1SMcT0003782.1	SCUR1_21460.1
OG0000764	h1SMcT0013512.1, h1SMcT0013512.2	SCUR1_8890.4, SCUR1_8890.2, SCUR1_8890.1, SCUR1_8890.3
OG0000765	h1SMcT0001915.2, h1SMcT0001915.3	SCUR1_52980.2, SCUR1_52980.1, SCUR1_52990.2, SCUR1_52990.1
OG0000766	h1SMcT0011470.1	SCUR1_62980.1, SCUR1_62980.2
OG0000767	h1SMcT0001545.1, h1SMcT0016721.3, h1SMcT0016721.1, h1SMcT0016721.2	SCUR1_65030.1, SCUR1_65030.2
OG0000768	h1SMcT0021396.1, h1SMcT0021396.2	SCUR1_40190.1, SCUR1_40190.3, SCUR1_40190.2, SCUR1_40190.5, SCUR1_40190.4
OG0000770	h1SMcT0001664.1, h1SMcT0001664.2	SCUR1_17840.1
OG0000771	h1SMcT0011512.1	SCUR1_79350.1, SCUR1_100100.1, SCUR1_100110.1, SCUR1_100120.1
OG0000772	h1SMcT0004399.3, h1SMcT0004399.1, h1SMcT0004399.2	SCUR1_16750.1, SCUR1_16750.2, SCUR1_16800.1
OG0000773	h1SMcT0017259.3, h1SMcT0017259.2, h1SMcT0017259.1	SCUR1_25680.1
OG0000774	h1SMcT0003510.1	SCUR1_47240.1, SCUR1_47240.4, SCUR1_47240.7, SCUR1_47240.3, SCUR1_47240.6, SCUR1_47240.2, SCUR1_47240.5
OG0000776	h1SMcT0022578.1	SCUR1_45900.1, SCUR1_45900.2, SCUR1_56750.1
OG0000777	h1SMcT0018313.1, h1SMcT0006394.1, h1SMcT0006394.2	SCUR1_52200.4, SCUR1_52200.1, SCUR1_52200.2, SCUR1_52200.3, SCUR1_52200.5
OG0000778	h1SMcT0010991.3, h1SMcT0010991.1, h1SMcT0010991.4, h1SMcT0010991.2	SCUR1_22880.1
OG0000779	h1SMcT0013585.1, h1SMcT0013585.4, h1SMcT0013585.3, h1SMcT0013585.2, h1SMcT0013585.5, h1SMcT0006377.4, h1SMcT0006377.3, h1SMcT0006377.1, h1SMcT0006377.2, h1SMcT0010855.1, h1SMcT0010855.2	SCUR1_3650.1
OG0000780	h1SMcT0021164.1, h1SMcT0021164.2, h1SMcT0021164.5, h1SMcT0021164.3, h1SMcT0021164.4	SCUR1_14960.1
OG0000781	h1SMcT0022513.1, h1SMcT0022513.2, h1SMcT0022513.3	SCUR1_11210.1
OG0000781	h1SMcT0007825.1, h1SMcT0007825.2, h1SMcT0007825.3, h1SMcT0007825.4, h1SMcT0007825.5, h1SMcT0002376.1, h1SMcT0021957.1, h1SMcT0005745.1, h1SMcT0005745.2	SCUR1_470.1
OG0000782	h1SMcT0016917.1, h1SMcT0016917.3, h1SMcT0016917.4, h1SMcT0016917.7, h1SMcT0016917.5, h1SMcT0016917.2	SCUR1_31670.1
OG0000783	h1SMcT0001660.1, h1SMcT0001660.2	SCUR1_50660.1, SCUR1_50660.2, SCUR1_50660.5, SCUR1_50660.3, SCUR1_50660.8, SCUR1_50660.4, SCUR1_50660.11, SCUR1_50660.12, SCUR1_50660.10, SCUR1_50660.6, SCUR1_50660.7, SCUR1_50660.9
OG0000784	h1SMcT0005749.1, h1SMcT0005749.2	SCUR1_31580.2, SCUR1_31580.1, SCUR1_31580.3
OG0000787	h1SMcT0014586.1, h1SMcT0010263.1, h1SMcT0010263.2	SCUR1_98840.1, SCUR1_98840.2, SCUR1_98840.3, SCUR1_91660.1, SCUR1_59500.1
OG0000788	h1SMcT0001702.1	SCUR1_13620.10, SCUR1_13620.11, SCUR1_13620.12, SCUR1_13620.13, SCUR1_13620.2, SCUR1_13620.3, SCUR1_13620.4, SCUR1_13620.5, SCUR1_13620.6, SCUR1_13620.7, SCUR1_13620.8, SCUR1_13620.9, SCUR1_13620.1
OG0000790	h1SMcT0008456.1, h1SMcT0008456.2	SCUR1_39510.8, SCUR1_39510.9, SCUR1_39510.5, SCUR1_39510.7, SCUR1_39510.4, SCUR1_39510.6, SCUR1_39510.3, SCUR1_39510.1, SCUR1_39510.2
OG0000792	h1SMcT0018319.1, h1SMcT0016624.1, h1SMcT0016624.2, h1SMcT0006125.1, h1SMcT0014628.1	SCUR1_5670.1, SCUR1_5670.2, SCUR1_5670.4, SCUR1_5670.5, SCUR1_5670.3
OG0000793	h1SMcT0020639.1, h1SMcT0020639.3, h1SMcT0020639.5, h1SMcT0020639.4	SCUR1_34360.1, SCUR1_34360.4, SCUR1_34360.2, SCUR1_34360.6, SCUR1_34360.3, SCUR1_34360.5, SCUR1_34360.7, SCUR1_34360.8
OG0000794	h1SMcT0007112.1	SCUR1_10010.1
OG0000795	h1SMcT0016007.1, h1SMcT0016007.2	SCUR1_93940.1, SCUR1_93940.3, SCUR1_93940.4, SCUR1_93940.2
OG0000797	h1SMcT0015604.1, h1SMcT0015604.2	SCUR1_21170.2, SCUR1_21170.1, SCUR1_21170.3, SCUR1_21170.4
OG0000798	h1SMcT0021362.1, h1SMcT0021362.4, h1SMcT0021362.3, h1SMcT0021362.2	SCUR1_1230.2, SCUR1_1230.1, SCUR1_1230.3
OG0000800	h1SMcT0012033.2, h1SMcT0013420.1	SCUR1_9930.1
OG0000801	h1SMcT0003229.1, h1SMcT0014918.1	SCUR1_15690.2, SCUR1_15690.3, SCUR1_15690.1
OG0000802	h1SMcT0021221.1, h1SMcT0021221.2	SCUR1_72510.1, SCUR1_72510.2, SCUR1_72510.3
OG0000802	h1SMcT0009969.1, h1SMcT0009969.2, h1SMcT0019836.1, h1SMcT0019836.4, h1SMcT0019836.6, h1SMcT0019836.5, h1SMcT0019836.3, h1SMcT0019836.2	SCUR1_58580.1
OG0000803	h1SMcT0006070.1, h1SMcT0016640.1, h1SMcT0016640.3, h1SMcT0016640.2, h1SMcT0016640.4	SCUR1_78600.1
OG0000804	h1SMcT0006574.1	SCUR1_41460.1, SCUR1_41460.2, SCUR1_41460.5, SCUR1_41460.6, SCUR1_41460.7, SCUR1_41460.3, SCUR1_41460.4
OG0000805	h1SMcT0000629.2, h1SMcT0000629.1, h1SMcT0000629.3, h1SMcT0004055.1, h1SMcT0004055.2	SCUR1_36560.2, SCUR1_36560.3, SCUR1_36560.4, SCUR1_36560.5, SCUR1_36560.1
OG0000806	h1SMcT0013921.2	SCUR1_72950.10, SCUR1_72950.9, SCUR1_72950.1, SCUR1_72950.3, SCUR1_72950.4, SCUR1_72950.5, SCUR1_72950.6, SCUR1_72950.8, SCUR1_72950.2, SCUR1_72950.7
OG0000807	h1SMcT0018301.1, h1SMcT0018301.2	SCUR1_9670.3, SCUR1_9670.4, SCUR1_9670.2, SCUR1_9670.1
OG0000808	h1SMcT0012563.1, h1SMcT0012563.2, h1SMcT0012563.3, h1SMcT0012563.4	SCUR1_92180.1, SCUR1_92200.1, SCUR1_92200.2, SCUR1_92200.3, SCUR1_92200.4, SCUR1_92200.5, SCUR1_92200.6
OG0000809	h1SMcT0009960.1, h1SMcT0009960.2, h1SMcT0009960.3	SCUR1_89600.1, SCUR1_89600.3, SCUR1_89600.4, SCUR1_89600.5, SCUR1_89600.2
OG0000810	h1SMcT0003091.1	SCUR1_25040.4, SCUR1_25040.6, SCUR1_25040.1, SCUR1_25040.3, SCUR1_25040.2, SCUR1_25040.5, SCUR1_25040.8, SCUR1_25040.7
OG0000811	h1SMcT0010199.1	SCUR1_11010.1, SCUR1_11010.2
OG0000812	h1SMcT0004071.1	SCUR1_12160.1
OG0000813	h1SMcT0006829.3	SCUR1_85330.2, SCUR1_85330.5, SCUR1_85330.6, SCUR1_85330.4, SCUR1_85330.7, SCUR1_85330.8, SCUR1_85330.3, SCUR1_85330.9, SCUR1_85330.1
OG0000814	h1SMcT0021195.1	SCUR1_63340.1, SCUR1_63360.1, SCUR1_63350.1, SCUR1_63370.2, SCUR1_63370.1, SCUR1_63370.3
OG0000815	h1SMcT0019063.1, h1SMcT0019063.2, h1SMcT0019063.3	SCUR1_59480.1, SCUR1_59480.2, SCUR1_59480.4, SCUR1_59480.3
OG0000816	h1SMcT0020527.1, h1SMcT0020527.2	SCUR1_82970.1
OG0000818	h1SMcT0018089.1, h1SMcT0018089.4, h1SMcT0018089.2, h1SMcT0018089.3	SCUR1_11470.1
OG0000819	h1SMcT0007829.1, h1SMcT0007829.2, h1SMcT0007826.3, h1SMcT0007826.1, h1SMcT0007826.2	SCUR1_65190.1, SCUR1_65190.2, SCUR1_65190.3
OG0000820	h1SMcT0005498.1	SCUR1_27930.1
OG0000821	h1SMcT0017236.1	SCUR1_96960.1, SCUR1_49160.1, SCUR1_49160.2, SCUR1_49160.3
OG0000823	h1SMcT0009958.1, h1SMcT0009958.2, h1SMcT0009958.3	SCUR1_53360.1
OG0000823	h1SMcT0005546.1, h1SMcT0005547.1	SCUR1_91610.1, SCUR1_91620.1
OG0000824	h1SMcT0021534.1, h1SMcT0019872.1, h1SMcT0019872.2, h1SMcT0001657.1, h1SMcT0001657.2	SCUR1_3040.4, SCUR1_3040.1, SCUR1_3040.2, SCUR1_3040.3, SCUR1_3040.6, SCUR1_3040.5
OG0000825	h1SMcT0010927.1	SCUR1_76510.1, SCUR1_76520.1, SCUR1_76500.1, SCUR1_76490.1
OG0000826	h1SMcT0019928.1	SCUR1_55310.7, SCUR1_55310.8, SCUR1_55310.2, SCUR1_55310.3, SCUR1_55310.1, SCUR1_55310.4, SCUR1_55310.5, SCUR1_55310.6
OG0000827	h1SMcT0015163.1	SCUR1_74760.1
OG0000827	h1SMcT0022556.1, h1SMcT0022556.2	SCUR1_74750.1, SCUR1_74750.2, SCUR1_74750.3
OG0000828	h1SMcT0001350.1, h1SMcT0001350.3, h1SMcT0001350.2, h1SMcT0021319.1, h1SMcT0021317.1, h1SMcT0021317.2, h1SMcT0021317.3, h1SMcT0011631.1, h1SMcT0011608.1, h1SMcT0011624.1, h1SMcT0011620.1, h1SMcT0011630.1, h1SMcT0011612.1, h1SMcT0011623.1, h1SMcT0011613.1, h1SMcT0011618.1, h1SMcT0011619.1, h1SMcT0011621.1, h1SMcT0011625.1, h1SMcT0011626.1	SCUR1_89330.1, SCUR1_89340.1, SCUR1_89350.1
OG0000830	h1SMcT0009891.1, h1SMcT0018192.1, h1SMcT0018192.2	SCUR1_48890.4, SCUR1_48890.1, SCUR1_48890.2, SCUR1_48890.3
OG0000831	h1SMcT0015193.1, h1SMcT0015193.2	SCUR1_42600.2, SCUR1_42600.5, SCUR1_42600.4, SCUR1_42600.1, SCUR1_42600.6, SCUR1_42600.3
OG0000832	h1SMcT0018143.1, h1SMcT0018145.3, h1SMcT0018145.1, h1SMcT0018145.2	SCUR1_60220.1, SCUR1_60220.4, SCUR1_60220.5, SCUR1_60220.3, SCUR1_60220.2
OG0000833	h1SMcT0001820.1, h1SMcT0001820.2	SCUR1_33360.1
OG0000834	h1SMcT0022269.1	SCUR1_48780.4, SCUR1_48780.3, SCUR1_48780.1, SCUR1_48780.2, SCUR1_48780.5
OG0000835	h1SMcT0010046.1, h1SMcT0010046.2	SCUR1_38250.1
OG0000836	h1SMcT0014195.1, h1SMcT0015379.2, h1SMcT0017356.1, h1SMcT0017356.2	SCUR1_37540.2, SCUR1_37540.3, SCUR1_37540.4
OG0000837	h1SMcT0016959.1	SCUR1_32420.1
OG0000838	h1SMcT0020983.1, h1SMcT0010597.3, h1SMcT0012064.2, h1SMcT0012064.1, h1SMcT0012064.17	SCUR1_39280.1, SCUR1_39290.1, SCUR1_39290.2, SCUR1_39290.3, SCUR1_39290.4, SCUR1_39290.5, SCUR1_39290.6
OG0000839	h1SMcT0013664.2, h1SMcT0013664.1, h1SMcT0013664.7, h1SMcT0013664.4, h1SMcT0013664.3, h1SMcT0013664.5, h1SMcT0013664.6	SCUR1_38700.3, SCUR1_38700.1, SCUR1_38700.2
OG0000840	h1SMcT0013836.3, h1SMcT0013836.1, h1SMcT0013836.2	SCUR1_69640.10, SCUR1_69640.5, SCUR1_69640.9, SCUR1_69640.4, SCUR1_69640.7, SCUR1_69640.6, SCUR1_69640.8, SCUR1_69640.2, SCUR1_69640.1, SCUR1_69640.3
OG0000841	h1SMcT0003475.1	SCUR1_20870.1
OG0000842	h1SMcT0011841.4, h1SMcT0011841.1, h1SMcT0011841.2, h1SMcT0011841.5, h1SMcT0011841.3	SCUR1_66640.2, SCUR1_66640.1
OG0000843	h1SMcT0003292.3, h1SMcT0003292.6, h1SMcT0003292.5, h1SMcT0003292.4, h1SMcT0003292.2, h1SMcT0003292.1	SCUR1_81490.3, SCUR1_81490.4, SCUR1_81490.1, SCUR1_81490.2
OG0000844	h1SMcT0006102.1, h1SMcT0006102.2, h1SMcT0006102.3, h1SMcT0006102.4	SCUR1_5250.1, SCUR1_5250.2
OG0000845	h1SMcT0009034.1	SCUR1_88620.4, SCUR1_88620.5, SCUR1_88620.3, SCUR1_88620.6, SCUR1_88620.1, SCUR1_88620.2
OG0000846	h1SMcT0005561.1	SCUR1_16860.1, SCUR1_16860.2, SCUR1_16860.3, SCUR1_16860.4, SCUR1_16860.5, SCUR1_16860.6
OG0000847	h1SMcT0015404.1, h1SMcT0017264.1	SCUR1_1140.1
OG0000848	h1SMcT0011564.1	SCUR1_34980.6, SCUR1_34980.3, SCUR1_34980.4, SCUR1_34980.5, SCUR1_34980.2, SCUR1_34980.1
OG0000849	h1SMcT0004291.2, h1SMcT0004291.3, h1SMcT0004291.1	SCUR1_39330.2, SCUR1_39330.4, SCUR1_39330.3, SCUR1_39330.5, SCUR1_39330.8, SCUR1_39330.1, SCUR1_39330.6, SCUR1_39330.7
OG0000850	h1SMcT0000657.1	SCUR1_27340.6, SCUR1_27340.1, SCUR1_27340.3, SCUR1_27340.4, SCUR1_27340.2, SCUR1_27340.5
OG0000851	h1SMcT0020207.3, h1SMcT0020207.1, h1SMcT0020207.2	SCUR1_89620.1, SCUR1_89620.2, SCUR1_89620.3, SCUR1_89620.4
OG0000853	h1SMcT0007873.1, h1SMcT0007873.2, h1SMcT0018242.1, h1SMcT0018242.2, h1SMcT0018232.1, h1SMcT0018232.2, h1SMcT0018232.3, h1SMcT0018232.4	SCUR1_82010.1
OG0000854	h1SMcT0020539.2, h1SMcT0020539.3	SCUR1_37550.1
OG0000856	h1SMcT0003963.1, h1SMcT0003963.2, h1SMcT0003963.3	SCUR1_2950.1
OG0000857	h1SMcT0009908.1, h1SMcT0012127.1, h1SMcT0012127.3, h1SMcT0012127.2	SCUR1_4150.4, SCUR1_4150.1, SCUR1_4150.2, SCUR1_4150.3, SCUR1_4150.6, SCUR1_4150.7, SCUR1_4150.5, SCUR1_4150.8
OG0000858	h1SMcT0006257.1	SCUR1_4550.4, SCUR1_4550.6, SCUR1_4550.7, SCUR1_4550.2, SCUR1_4550.3, SCUR1_4550.1, SCUR1_4550.5
OG0000859	h1SMcT0010529.1, h1SMcT0012292.1	SCUR1_49580.6, SCUR1_49580.8, SCUR1_49580.11, SCUR1_49580.10, SCUR1_49580.2, SCUR1_49580.4, SCUR1_49580.3, SCUR1_49580.12, SCUR1_49580.5, SCUR1_49580.1, SCUR1_49580.7, SCUR1_49580.9
OG0000860	h1SMcT0011028.1, h1SMcT0011028.2, h1SMcT0011028.3	SCUR1_59770.1, SCUR1_62340.1, SCUR1_62340.2
OG0000861	h1SMcT0018409.1	SCUR1_11710.1
OG0000862	h1SMcT0016664.1, h1SMcT0016664.2	SCUR1_29940.1
OG0000863	h1SMcT0002951.1, h1SMcT0015621.1	SCUR1_7260.2, SCUR1_7260.1, SCUR1_7260.3, SCUR1_7260.4, SCUR1_7260.5, SCUR1_7260.6, SCUR1_7260.7
OG0000864	h1SMcT0000106.2, h1SMcT0000106.1, h1SMcT0000106.3	SCUR1_40490.1
OG0000866	h1SMcT0006850.1, h1SMcT0006850.2	SCUR1_95280.5, SCUR1_95280.4, SCUR1_95280.3, SCUR1_95280.1, SCUR1_95280.2
OG0000869	h1SMcT0010496.5, h1SMcT0010496.2, h1SMcT0010496.3, h1SMcT0010496.1, h1SMcT0010496.4	SCUR1_88090.1, SCUR1_88090.2, SCUR1_88090.3
OG0000870	h1SMcT0007343.1, h1SMcT0007343.2, h1SMcT0001585.1, h1SMcT0001585.2	SCUR1_100160.5, SCUR1_100160.1, SCUR1_100160.2, SCUR1_100160.3, SCUR1_100160.4
OG0000872	h1SMcT0002307.1, h1SMcT0002307.2, h1SMcT0002307.3	SCUR1_4030.1, SCUR1_4030.2
OG0000873	h1SMcT0007175.1, h1SMcT0007175.2, h1SMcT0022268.1	SCUR1_85260.6, SCUR1_85260.4, SCUR1_85260.5, SCUR1_85260.7, SCUR1_85260.1, SCUR1_85260.2, SCUR1_85260.3
OG0000874	h1SMcT0000520.1	SCUR1_43220.1, SCUR1_43220.2, SCUR1_43220.3, SCUR1_43220.4, SCUR1_43220.5
OG0000875	h1SMcT0023098.1	SCUR1_62270.2, SCUR1_62270.3, SCUR1_62270.1, SCUR1_62270.4
OG0000876	h1SMcT0011017.1	SCUR1_96810.3, SCUR1_96810.4, SCUR1_96810.6, SCUR1_96810.7, SCUR1_96810.5, SCUR1_96810.1, SCUR1_96810.2, SCUR1_95170.1, SCUR1_99960.1, SCUR1_99960.2, SCUR1_96070.1, SCUR1_96070.2
OG0000877	h1SMcT0011149.1	SCUR1_7190.1, SCUR1_7190.2, SCUR1_7190.3, SCUR1_7190.5, SCUR1_7190.4
OG0000880	h1SMcT0011930.1, h1SMcT0011930.2, h1SMcT0011930.3	SCUR1_79040.1
OG0000881	h1SMcT0016867.3, h1SMcT0016867.1, h1SMcT0016867.2, h1SMcT0010177.1, h1SMcT0010177.4, h1SMcT0010177.5, h1SMcT0010177.2	SCUR1_4570.1
OG0000881	h1SMcT0015068.1, h1SMcT0015068.2, h1SMcT0000551.1	SCUR1_89450.1
OG0000882	h1SMcT0019949.1	SCUR1_22090.1
OG0000882	h1SMcT0013142.1, h1SMcT0015243.1	SCUR1_40290.1
OG0000883	h1SMcT0017921.2, h1SMcT0017921.4, h1SMcT0017921.1, h1SMcT0017921.3, h1SMcT0017921.5	SCUR1_40280.1
OG0000884	h1SMcT0006597.1, h1SMcT0022922.1	SCUR1_39540.1
OG0000887	h1SMcT0011651.2, h1SMcT0011651.1, h1SMcT0011651.3	SCUR1_19630.1
OG0000888	h1SMcT0018274.1, h1SMcT0006978.1, h1SMcT0006978.2	SCUR1_78160.1, SCUR1_78160.2, SCUR1_78160.3, SCUR1_78170.1
OG0000889	h1SMcT0000584.2, h1SMcT0000584.1, h1SMcT0000584.4, h1SMcT0000584.3, h1SMcT0000584.5	SCUR1_27780.1, SCUR1_27780.2
OG0000890	h1SMcT0001261.1	SCUR1_41050.1, SCUR1_41050.2
OG0000891	h1SMcT0019782.2	SCUR1_37430.1
OG0000894	h1SMcT0012738.2, h1SMcT0012738.1, h1SMcT0012738.3	SCUR1_86500.7, SCUR1_86500.1, SCUR1_86500.2, SCUR1_86500.8, SCUR1_86500.3, SCUR1_86500.4, SCUR1_86500.5, SCUR1_86500.11, SCUR1_86500.12, SCUR1_86500.13, SCUR1_86500.14, SCUR1_86500.15, SCUR1_86500.10, SCUR1_86500.6, SCUR1_86500.16, SCUR1_86500.17, SCUR1_86500.18, SCUR1_86500.19, SCUR1_86500.9
OG0000895	h1SMcT0017639.1	SCUR1_44170.9, SCUR1_44170.8, SCUR1_44170.1, SCUR1_44170.3, SCUR1_44170.7, SCUR1_44170.2, SCUR1_44170.4, SCUR1_44170.10, SCUR1_44170.5, SCUR1_44170.6
OG0000896	h1SMcT0016190.3	SCUR1_20170.1, SCUR1_20170.3, SCUR1_20170.2, SCUR1_20170.7, SCUR1_20160.1, SCUR1_20170.6, SCUR1_20170.4, SCUR1_20170.5
OG0000897	h1SMcT0013490.1	SCUR1_10000.1
OG0000898	h1SMcT0009884.1, h1SMcT0009883.1, h1SMcT0009883.2	SCUR1_97920.1, SCUR1_97920.2
OG0000900	h1SMcT0012395.1	SCUR1_3590.1, SCUR1_3600.2, SCUR1_3600.1
OG0000902	h1SMcT0010803.1, h1SMcT0010803.2, h1SMcT0010803.3	SCUR1_55160.5, SCUR1_55160.4, SCUR1_55160.3, SCUR1_55160.6, SCUR1_55160.9, SCUR1_55160.1, SCUR1_55160.2, SCUR1_55160.8, SCUR1_55160.7
OG0000903	h1SMcT0005323.1, h1SMcT0005323.2	SCUR1_15460.7, SCUR1_15460.6, SCUR1_15460.1, SCUR1_15460.3, SCUR1_15460.2, SCUR1_15460.4, SCUR1_15460.5
OG0000904	h1SMcT0018440.1	SCUR1_100550.1, SCUR1_100550.2, SCUR1_100550.4, SCUR1_100550.5, SCUR1_5120.1, SCUR1_100550.3
OG0000907	h1SMcT0018393.1, h1SMcT0004265.1, h1SMcT0004265.2, h1SMcT0004265.3, h1SMcT0000265.2, h1SMcT0000265.1, h1SMcT0000265.3, h1SMcT0004262.2, h1SMcT0004261.1, h1SMcT0004262.1, h1SMcT0004263.1, h1SMcT0022894.1, h1SMcT0004264.6, h1SMcT0004264.9, h1SMcT0004264.8, h1SMcT0004264.7, h1SMcT0004264.1, h1SMcT0004264.3, h1SMcT0004264.4, h1SMcT0004264.2, h1SMcT0004264.5	SCUR1_73850.1
OG0000910	h1SMcT0015484.1	SCUR1_8090.1
OG0000911	h1SMcT0021969.1	SCUR1_58230.5, SCUR1_58230.1, SCUR1_58230.6, SCUR1_58230.2, SCUR1_58230.3, SCUR1_58230.4
OG0000914	h1SMcT0009919.4, h1SMcT0009919.1, h1SMcT0009919.2, h1SMcT0009919.3	SCUR1_38730.7, SCUR1_38730.8, SCUR1_38730.9, SCUR1_38730.3, SCUR1_38730.2, SCUR1_38730.6, SCUR1_38730.4, SCUR1_38730.5, SCUR1_38730.1
OG0000916	h1SMcT0008408.1	SCUR1_39840.1, SCUR1_39840.2, SCUR1_39840.3, SCUR1_39840.4
OG0000917	h1SMcT0003713.1, h1SMcT0013367.1	SCUR1_83280.2, SCUR1_83280.9, SCUR1_83280.1, SCUR1_83280.3, SCUR1_83280.6, SCUR1_83280.8, SCUR1_83280.7, SCUR1_83280.4, SCUR1_83280.10, SCUR1_83280.5
OG0000919	h1SMcT0007368.1, h1SMcT0007654.1	SCUR1_83450.1, SCUR1_83450.2, SCUR1_83450.9, SCUR1_83450.3, SCUR1_83450.4, SCUR1_83450.5, SCUR1_83450.7, SCUR1_83450.6, SCUR1_83450.8, SCUR1_83450.10
OG0000920	h1SMcT0006503.1, h1SMcT0006503.4, h1SMcT0006503.5, h1SMcT0006503.3, h1SMcT0006503.2	SCUR1_93610.1
OG0000920	h1SMcT0011459.1, h1SMcT0011459.2	SCUR1_93600.4
OG0000923	h1SMcT0020405.3, h1SMcT0020405.1, h1SMcT0020405.2, h1SMcT0015674.1	SCUR1_91870.1
OG0000925	h1SMcT0006630.1, h1SMcT0006630.2	SCUR1_16420.1
OG0000926	h1SMcT0002149.7, h1SMcT0002149.1, h1SMcT0002149.2, h1SMcT0002149.4, h1SMcT0002149.5, h1SMcT0002149.3, h1SMcT0002149.6	SCUR1_27010.1
OG0000927	h1SMcT0012510.1, h1SMcT0012510.2	SCUR1_21390.1
OG0000929	h1SMcT0018531.1, h1SMcT0018531.2	SCUR1_64730.1, SCUR1_64730.2, SCUR1_64730.3, SCUR1_64730.4
OG0000930	h1SMcT0002686.1, h1SMcT0015950.1	SCUR1_42530.1
OG0000931	h1SMcT0010820.1	SCUR1_70670.2, SCUR1_70670.1, SCUR1_70670.3
OG0000932	h1SMcT0003111.1, h1SMcT0003111.2	SCUR1_1050.1, SCUR1_1050.2, SCUR1_1050.3
OG0000933	h1SMcT0022565.1	SCUR1_39960.1, SCUR1_39960.2
OG0000934	h1SMcT0006379.1	SCUR1_10100.1
OG0000936	h1SMcT0006501.1, h1SMcT0006501.2	SCUR1_92700.3, SCUR1_92700.2, SCUR1_92700.4, SCUR1_92700.5, SCUR1_92700.6, SCUR1_92700.7, SCUR1_92700.1
OG0000937	h1SMcT0002752.1, h1SMcT0002752.2, h1SMcT0002752.3, h1SMcT0002752.4	SCUR1_54330.1
OG0000939	h1SMcT0020741.2, h1SMcT0020741.1, h1SMcT0020741.3, h1SMcT0020741.4	SCUR1_85750.1, SCUR1_85750.6, SCUR1_85750.4, SCUR1_85750.5, SCUR1_85750.2, SCUR1_85750.3
OG0000940	h1SMcT0002848.1	SCUR1_5790.3, SCUR1_5790.2, SCUR1_5790.1
OG0000941	h1SMcT0017959.4, h1SMcT0017959.2, h1SMcT0017959.3, h1SMcT0017959.1	SCUR1_32170.1, SCUR1_32170.2
OG0000942	h1SMcT0001750.1	SCUR1_16000.1
OG0000943	h1SMcT0019889.1	SCUR1_28810.2, SCUR1_28810.1, SCUR1_28810.3, SCUR1_28810.4, SCUR1_28810.5
OG0000944	h1SMcT0016977.1	SCUR1_58020.1, SCUR1_58020.2, SCUR1_58020.4, SCUR1_58020.3, SCUR1_58020.5
OG0000947	h1SMcT0002479.1	SCUR1_39010.1
OG0000948	h1SMcT0004588.3, h1SMcT0004588.2, h1SMcT0004588.1, h1SMcT0004588.4	SCUR1_80450.2, SCUR1_80450.3, SCUR1_80450.4, SCUR1_80450.6, SCUR1_80450.7, SCUR1_80450.8, SCUR1_80450.1, SCUR1_80450.9, SCUR1_80450.5
OG0000949	h1SMcT0017273.1	SCUR1_16180.1, SCUR1_16190.1, SCUR1_16170.1
OG0000950	h1SMcT0002986.1, h1SMcT0002986.2, h1SMcT0002986.3	SCUR1_53320.1
