Orthogroup	schmidtea_mediterranea	schistosoma_turkestanicum
OG0001010	h1SMcT0022396.1, h1SMcT0022396.2	STRK1_55310.1, STRK1_55320.1
OG0001013	h1SMcT0017060.1	STRK1_11450.5, STRK1_11450.3, STRK1_11450.2, STRK1_11450.1, STRK1_11450.4
OG0001014	h1SMcT0007158.1, h1SMcT0007159.1	STRK1_16200.1
OG0001015	h1SMcT0000462.1	STRK1_32700.1, STRK1_32700.2, STRK1_32700.3, STRK1_32690.1
OG0001016	h1SMcT0006269.1	STRK1_33400.1
OG0001017	h1SMcT0008318.1, h1SMcT0008318.2	STRK1_2870.1
OG0001018	h1SMcT0018036.2, h1SMcT0018036.1, h1SMcT0018036.3	STRK1_98890.1
OG0001019	h1SMcT0003777.1, h1SMcT0003777.2	STRK1_37260.1, STRK1_109870.1
OG0001020	h1SMcT0016457.1	STRK1_10160.1
OG0001022	h1SMcT0002253.2, h1SMcT0020531.1, h1SMcT0020535.1	STRK1_19390.1, STRK1_19410.1, STRK1_19400.1
OG0001023	h1SMcT0000757.1, h1SMcT0000757.3, h1SMcT0000757.2	STRK1_64380.1
OG0001024	h1SMcT0021266.1, h1SMcT0021266.2	STRK1_72400.1, STRK1_72400.2
OG0001025	h1SMcT0009863.1	STRK1_108100.1, STRK1_87650.1
OG0001026	h1SMcT0011423.1, h1SMcT0011423.2	STRK1_49540.1, STRK1_49540.2, STRK1_49540.3, STRK1_49540.4, STRK1_49540.5, STRK1_49540.6, STRK1_49540.7, STRK1_49540.8, STRK1_49550.1, STRK1_49550.2, STRK1_49550.3, STRK1_49550.4
OG0001027	h1SMcT0014321.3, h1SMcT0014321.4, h1SMcT0014321.1, h1SMcT0014321.2	STRK1_460.1, STRK1_460.2, STRK1_460.3, STRK1_460.4, STRK1_460.5
OG0001028	h1SMcT0016235.3, h1SMcT0016235.4, h1SMcT0016235.1, h1SMcT0016235.5, h1SMcT0016235.2	STRK1_54990.1
OG0001029	h1SMcT0013620.1, h1SMcT0013533.3, h1SMcT0013533.2, h1SMcT0013533.1, h1SMcT0013533.4	STRK1_49440.1
OG0001032	h1SMcT0016029.1	STRK1_58430.1
OG0001033	h1SMcT0012601.1, h1SMcT0012601.2	STRK1_69940.1
OG0001037	h1SMcT0018339.1, h1SMcT0018339.2	STRK1_19360.1, STRK1_97220.1
OG0001038	h1SMcT0010377.1, h1SMcT0010377.2, h1SMcT0010377.3, h1SMcT0010377.4, h1SMcT0010377.5, h1SMcT0010377.6, h1SMcT0010377.7, h1SMcT0010377.8	STRK1_970.1, STRK1_980.1, STRK1_970.2
OG0001039	h1SMcT0000170.1, h1SMcT0021430.1, h1SMcT0021430.2	STRK1_25390.1
OG0001040	h1SMcT0003306.1, h1SMcT0003306.2, h1SMcT0003306.3	STRK1_79610.1
OG0001041	h1SMcT0020459.3, h1SMcT0020459.5, h1SMcT0020459.4, h1SMcT0020459.6, h1SMcT0020459.2, h1SMcT0020459.7	STRK1_90260.1, STRK1_90250.1
OG0001042	h1SMcT0013596.5, h1SMcT0013596.4, h1SMcT0013596.3, h1SMcT0013596.6, h1SMcT0013596.7, h1SMcT0013596.2, h1SMcT0013596.1	STRK1_5610.1, STRK1_5610.2
OG0001043	h1SMcT0017036.1, h1SMcT0017036.2	STRK1_50860.1
OG0001045	h1SMcT0020660.1, h1SMcT0020660.2, h1SMcT0020660.3	STRK1_64770.1
OG0001048	h1SMcT0019140.2, h1SMcT0014134.3, h1SMcT0018373.2	STRK1_72450.1
OG0001049	h1SMcT0001457.3, h1SMcT0001457.1, h1SMcT0001457.2	STRK1_54790.1, STRK1_54790.2
OG0001050	h1SMcT0005225.1, h1SMcT0005227.1, h1SMcT0005232.1, h1SMcT0005232.2, h1SMcT0005232.5, h1SMcT0005232.4, h1SMcT0005232.3	STRK1_59670.1
OG0001051	h1SMcT0022496.1, h1SMcT0022496.2	STRK1_84670.1
OG0001052	h1SMcT0016992.1, h1SMcT0016992.2	STRK1_54810.2, STRK1_54810.4, STRK1_54810.1, STRK1_54810.3
OG0001054	h1SMcT0001703.1	STRK1_10950.1
OG0001055	h1SMcT0011980.1, h1SMcT0004850.2, h1SMcT0004850.1, h1SMcT0004850.3, h1SMcT0004850.6, h1SMcT0004850.10, h1SMcT0004850.9, h1SMcT0004850.4, h1SMcT0004850.7	STRK1_28670.1, STRK1_28670.2
OG0001056	h1SMcT0019142.1, h1SMcT0019142.2	STRK1_56080.1
OG0001058	h1SMcT0001869.1, h1SMcT0020151.1	STRK1_60170.1, STRK1_60170.2, STRK1_60160.1, STRK1_60160.2
OG0001059	h1SMcT0019262.1	STRK1_14160.1, STRK1_14160.2, STRK1_14160.3
OG0001060	h1SMcT0001275.9, h1SMcT0001275.6, h1SMcT0001275.7, h1SMcT0001275.3, h1SMcT0001275.4, h1SMcT0001275.5, h1SMcT0001275.1, h1SMcT0001275.2, h1SMcT0001275.8	STRK1_63670.1
OG0001061	h1SMcT0003461.1, h1SMcT0015027.1, h1SMcT0015024.1, h1SMcT0015024.2, h1SMcT0015024.3	STRK1_10320.1
OG0001063	h1SMcT0014042.2, h1SMcT0014042.3	STRK1_81780.1, STRK1_81770.1, STRK1_81760.1, STRK1_81750.1
OG0001064	h1SMcT0004424.1	STRK1_45650.1, STRK1_45670.1, STRK1_45670.2, STRK1_45670.3, STRK1_45670.4
OG0001065	h1SMcT0011544.1, h1SMcT0011544.2	STRK1_36820.1, STRK1_36820.2, STRK1_36810.1, STRK1_36800.1
OG0001068	h1SMcT0014508.2, h1SMcT0014508.3	STRK1_75820.1
OG0001070	h1SMcT0023128.1	STRK1_64330.1, STRK1_64330.2
OG0001070	h1SMcT0006347.1, h1SMcT0006347.3, h1SMcT0006347.2	STRK1_73030.1
OG0001071	h1SMcT0012308.1	STRK1_62310.1, STRK1_62260.1
OG0001073	h1SMcT0001997.3, h1SMcT0001997.1, h1SMcT0001997.2	STRK1_14350.1
OG0001075	h1SMcT0018959.1	STRK1_65440.1, STRK1_65440.2
OG0001076	h1SMcT0002591.1	STRK1_44230.1
OG0001077	h1SMcT0018403.2, h1SMcT0018403.1, h1SMcT0018403.3	STRK1_49110.1
OG0001078	h1SMcT0015049.1, h1SMcT0015049.2	STRK1_60520.1
OG0001079	h1SMcT0011758.1	STRK1_72170.1, STRK1_72170.2
OG0001079	h1SMcT0003860.1, h1SMcT0018699.1	STRK1_72180.1
OG0001080	h1SMcT0001110.3	STRK1_75120.1
OG0001081	h1SMcT0000773.1	STRK1_35150.1
OG0001082	h1SMcT0012303.1, h1SMcT0012303.2, h1SMcT0012303.3	STRK1_50720.1, STRK1_50710.1
OG0001083	h1SMcT0005265.3, h1SMcT0005265.1, h1SMcT0005265.2, h1SMcT0001238.1, h1SMcT0001238.2, h1SMcT0001238.3	STRK1_90070.1
OG0001084	h1SMcT0013531.1	STRK1_19070.1, STRK1_19070.2
OG0001085	h1SMcT0021299.1, h1SMcT0021299.2, h1SMcT0021197.1	STRK1_93150.1
OG0001087	h1SMcT0012320.1, h1SMcT0012320.3, h1SMcT0012320.5, h1SMcT0012320.6, h1SMcT0006967.1, h1SMcT0006967.2, h1SMcT0007568.1	STRK1_52620.1
OG0001088	h1SMcT0004069.1	STRK1_24240.1
OG0001089	h1SMcT0008400.1	STRK1_62280.1
OG0001091	h1SMcT0009445.1, h1SMcT0009445.4, h1SMcT0009445.2, h1SMcT0009445.3	STRK1_50730.1
OG0001092	h1SMcT0014020.1	STRK1_106860.1, STRK1_67610.1
OG0001093	h1SMcT0000902.2, h1SMcT0016505.14, h1SMcT0016505.9, h1SMcT0016505.3, h1SMcT0016505.8, h1SMcT0016505.1, h1SMcT0016505.10, h1SMcT0016505.11, h1SMcT0016505.12, h1SMcT0016505.13, h1SMcT0016505.2, h1SMcT0016505.4, h1SMcT0016505.5, h1SMcT0016505.6, h1SMcT0016505.7	STRK1_78710.1
OG0001094	h1SMcT0013737.1, h1SMcT0013737.2	STRK1_28420.1
OG0001097	h1SMcT0011905.6, h1SMcT0011905.8, h1SMcT0011905.1, h1SMcT0011905.4, h1SMcT0011905.3, h1SMcT0011905.9, h1SMcT0011905.5, h1SMcT0011905.2, h1SMcT0011905.7	STRK1_67240.1, STRK1_67250.1, STRK1_67210.1
OG0001100	h1SMcT0007101.1	STRK1_106500.1, STRK1_102130.1, STRK1_96060.1, STRK1_65640.1
OG0001101	h1SMcT0005269.1, h1SMcT0005269.5, h1SMcT0005269.2, h1SMcT0005269.3, h1SMcT0005269.4, h1SMcT0005269.6	STRK1_43890.1, STRK1_102400.1, STRK1_43890.2, STRK1_96110.1
OG0001102	h1SMcT0006433.1	STRK1_59530.1
OG0001103	h1SMcT0014541.1, h1SMcT0014541.3, h1SMcT0014541.2, h1SMcT0014541.4	STRK1_90280.1
OG0001104	h1SMcT0006087.1, h1SMcT0008504.1	STRK1_59550.1
OG0001106	h1SMcT0021183.1	STRK1_66460.1, STRK1_103810.1
OG0001107	h1SMcT0006055.1, h1SMcT0006059.1, h1SMcT0006059.2	STRK1_52740.1
OG0001108	h1SMcT0007960.1	STRK1_27230.1, STRK1_27230.2
OG0001109	h1SMcT0022201.1, h1SMcT0022201.2	STRK1_35280.3, STRK1_35280.1, STRK1_35280.2
OG0001111	h1SMcT0000799.3, h1SMcT0000799.2, h1SMcT0000799.1	STRK1_50240.1, STRK1_50240.2, STRK1_50240.4, STRK1_50240.3
OG0001112	h1SMcT0016310.1	STRK1_92660.1, STRK1_97240.1, STRK1_92640.1, STRK1_92650.1
OG0001113	h1SMcT0005978.4, h1SMcT0005978.1, h1SMcT0005978.2, h1SMcT0005978.3	STRK1_13150.1
OG0001114	h1SMcT0022624.6, h1SMcT0022624.4, h1SMcT0022624.2, h1SMcT0022624.3, h1SMcT0022624.1, h1SMcT0022624.5	STRK1_101180.2, STRK1_101180.1, STRK1_101180.3, STRK1_101180.4
OG0001115	h1SMcT0002273.1	STRK1_90140.1, STRK1_90160.1
OG0001116	h1SMcT0015831.1, h1SMcT0007147.1, h1SMcT0007147.2	STRK1_79580.1, STRK1_93130.1, STRK1_93130.3, STRK1_93130.2
OG0001117	h1SMcT0015235.1	STRK1_4520.1, STRK1_4520.2
OG0001119	h1SMcT0012480.11, h1SMcT0012480.16, h1SMcT0012480.18, h1SMcT0012480.1, h1SMcT0012480.10, h1SMcT0012480.22, h1SMcT0012480.4, h1SMcT0012480.17, h1SMcT0012480.19, h1SMcT0012480.20, h1SMcT0012480.15, h1SMcT0012480.23, h1SMcT0012480.6, h1SMcT0012480.25, h1SMcT0012480.12, h1SMcT0012480.7, h1SMcT0012480.9, h1SMcT0012480.13, h1SMcT0012480.21, h1SMcT0012480.14, h1SMcT0012480.5, h1SMcT0012480.8	STRK1_40190.1, STRK1_100350.1, STRK1_62300.1
OG0001120	h1SMcT0018623.1, h1SMcT0018623.2	STRK1_32100.1
OG0001121	h1SMcT0017792.1	STRK1_53160.2, STRK1_53160.4, STRK1_53160.1, STRK1_53160.3, STRK1_53160.5
OG0001122	h1SMcT0007710.1	STRK1_106690.1, STRK1_61010.1, STRK1_61020.1, STRK1_61040.1
OG0001123	h1SMcT0013484.1, h1SMcT0013484.2, h1SMcT0013484.3	STRK1_85950.1
OG0001124	h1SMcT0003380.2, h1SMcT0003380.1, h1SMcT0003380.3	STRK1_33100.1, STRK1_33100.2
OG0001126	h1SMcT0009216.1, h1SMcT0009216.3, h1SMcT0009216.2, h1SMcT0009216.4	STRK1_55220.1, STRK1_55230.1
OG0001128	h1SMcT0006939.1	STRK1_76080.3, STRK1_76080.1, STRK1_76080.2, STRK1_98500.1
OG0001129	h1SMcT0005055.1, h1SMcT0016650.1, h1SMcT0016650.2	STRK1_33320.1, STRK1_33310.1
OG0001130	h1SMcT0009496.4, h1SMcT0009496.1, h1SMcT0009496.3, h1SMcT0009496.2	STRK1_7810.1, STRK1_7810.2, STRK1_7810.3
OG0001131	h1SMcT0022497.3, h1SMcT0022497.1, h1SMcT0022497.2	STRK1_75290.1, STRK1_75280.1, STRK1_75270.1
OG0001132	h1SMcT0018074.1	STRK1_93940.1, STRK1_93950.1
OG0001133	h1SMcT0022075.1, h1SMcT0018044.1	STRK1_15030.1
OG0001134	h1SMcT0014276.1	STRK1_62500.1, STRK1_62500.2
OG0001137	h1SMcT0021593.2, h1SMcT0021593.3, h1SMcT0021593.1, h1SMcT0011160.3, h1SMcT0011160.5, h1SMcT0011160.1, h1SMcT0011160.4, h1SMcT0011160.2, h1SMcT0011160.6	STRK1_47860.1
OG0001138	h1SMcT0014800.1	STRK1_18910.1
OG0001139	h1SMcT0004790.1	STRK1_33730.1
OG0001140	h1SMcT0016073.1	STRK1_44430.1, STRK1_44430.2
OG0001142	h1SMcT0002269.1, h1SMcT0012529.1	STRK1_8360.1
OG0001143	h1SMcT0004192.1, h1SMcT0002802.1, h1SMcT0002801.1, h1SMcT0002801.2, h1SMcT0004192.3, h1SMcT0004192.4, h1SMcT0004192.2	STRK1_59240.1
OG0001146	h1SMcT0020392.1	STRK1_15840.1, STRK1_15870.1, STRK1_106210.1
OG0001147	h1SMcT0008934.1, h1SMcT0008934.2	STRK1_7430.1
OG0001148	h1SMcT0008135.1, h1SMcT0008135.2, h1SMcT0008135.3, h1SMcT0008135.4, h1SMcT0008135.5	STRK1_68560.1
OG0001149	h1SMcT0016098.1	STRK1_72440.3, STRK1_72440.1, STRK1_72440.2
OG0001150	h1SMcT0020112.4, h1SMcT0020112.6, h1SMcT0020112.5, h1SMcT0020112.10, h1SMcT0020112.8, h1SMcT0020112.9, h1SMcT0020112.7	STRK1_46460.1, STRK1_46460.2
OG0001151	h1SMcT0012444.3, h1SMcT0012444.5, h1SMcT0020906.5, h1SMcT0020906.3, h1SMcT0020906.4, h1SMcT0020906.1, h1SMcT0020906.6, h1SMcT0020906.2	STRK1_86700.1, STRK1_86710.1, STRK1_86690.1
OG0001152	h1SMcT0019731.1	STRK1_8150.1
OG0001153	h1SMcT0007139.1, h1SMcT0007139.2, h1SMcT0007139.3	STRK1_67380.1
OG0001155	h1SMcT0020048.1, h1SMcT0020048.2	STRK1_50810.1, STRK1_50810.2, STRK1_50810.3
OG0001156	h1SMcT0009520.1, h1SMcT0009520.2, h1SMcT0009520.3, h1SMcT0003396.1, h1SMcT0016657.1	STRK1_7380.1
OG0001157	h1SMcT0020020.1	STRK1_63160.1
OG0001159	h1SMcT0022453.1	STRK1_89470.1
OG0001160	h1SMcT0011011.1, h1SMcT0020389.1, h1SMcT0014106.1, h1SMcT0010778.1, h1SMcT0010778.2, h1SMcT0019483.1, h1SMcT0006823.1, h1SMcT0006823.2, h1SMcT0006823.3	STRK1_19660.1
OG0001161	h1SMcT0012653.1, h1SMcT0012643.1, h1SMcT0012642.1, h1SMcT0012644.1	STRK1_63340.1
OG0001162	h1SMcT0001866.2, h1SMcT0001866.1, h1SMcT0001866.3	STRK1_36130.1
OG0001163	h1SMcT0015228.1, h1SMcT0015228.2	STRK1_73930.3, STRK1_73930.1, STRK1_73930.2
OG0001164	h1SMcT0017557.2, h1SMcT0017557.1, h1SMcT0017557.3	STRK1_78790.1
OG0001165	h1SMcT0022136.3, h1SMcT0022136.2, h1SMcT0022136.1, h1SMcT0022136.4	STRK1_56170.1, STRK1_56170.2
OG0001166	h1SMcT0008465.1	STRK1_10340.1
OG0001167	h1SMcT0014014.2	STRK1_36140.1
OG0001168	h1SMcT0022606.1	STRK1_7940.1, STRK1_7940.3, STRK1_7940.2, STRK1_7940.4
OG0001170	h1SMcT0000032.2, h1SMcT0000032.4, h1SMcT0000032.1, h1SMcT0000032.3	STRK1_10670.1
OG0001171	h1SMcT0020849.1	STRK1_2820.1
OG0001172	h1SMcT0013719.2	STRK1_61410.1, STRK1_61410.2
OG0001173	h1SMcT0002851.1, h1SMcT0002851.2, h1SMcT0002851.3	STRK1_1170.1
OG0001175	h1SMcT0016636.1, h1SMcT0016636.2, h1SMcT0016636.3, h1SMcT0016636.4, h1SMcT0006531.1, h1SMcT0006531.2, h1SMcT0006531.3	STRK1_46530.1
OG0001176	h1SMcT0006325.1, h1SMcT0006325.2	STRK1_71450.1, STRK1_71450.2
OG0001179	h1SMcT0016975.2, h1SMcT0016975.3	STRK1_94960.1, STRK1_94960.2
OG0001181	h1SMcT0022490.6, h1SMcT0022490.7, h1SMcT0022490.8, h1SMcT0022490.9, h1SMcT0022490.2, h1SMcT0022490.3, h1SMcT0022490.4, h1SMcT0022490.5, h1SMcT0022490.1, h1SMcT0022490.10	STRK1_55860.1
OG0001182	h1SMcT0007006.3, h1SMcT0007006.1, h1SMcT0007006.2	STRK1_30780.1, STRK1_30780.2, STRK1_30780.3, STRK1_30780.4, STRK1_30780.5, STRK1_30780.6
OG0001183	h1SMcT0001927.2, h1SMcT0001927.1, h1SMcT0001927.3	STRK1_10350.1
OG0001184	h1SMcT0001751.1	STRK1_16620.1
OG0001185	h1SMcT0000234.1, h1SMcT0000234.3, h1SMcT0000234.4, h1SMcT0000234.5, h1SMcT0000234.2	STRK1_9990.1
OG0001186	h1SMcT0021546.1	STRK1_99770.1, STRK1_6620.1, STRK1_6620.2
OG0001187	h1SMcT0008954.1, h1SMcT0008954.3, h1SMcT0008954.4, h1SMcT0008954.5, h1SMcT0008954.6, h1SMcT0008954.2	STRK1_32380.1
OG0001188	h1SMcT0002763.3	STRK1_13020.1, STRK1_13020.2
OG0001189	h1SMcT0017276.1, h1SMcT0017276.2, h1SMcT0017276.3, h1SMcT0015695.1, h1SMcT0015695.2	STRK1_5250.1
OG0001190	h1SMcT0008362.1	STRK1_30970.1
OG0001191	h1SMcT0007587.1	STRK1_15580.1
OG0001192	h1SMcT0010192.2, h1SMcT0010192.1, h1SMcT0010192.3, h1SMcT0021493.1, h1SMcT0016070.1, h1SMcT0016070.2, h1SMcT0017511.1, h1SMcT0017511.5, h1SMcT0017511.4, h1SMcT0017511.2, h1SMcT0017511.3, h1SMcT0000240.3, h1SMcT0000240.1, h1SMcT0000240.2	STRK1_41090.1
OG0001193	h1SMcT0005451.1, h1SMcT0005451.5, h1SMcT0005451.7, h1SMcT0005451.2, h1SMcT0005451.3, h1SMcT0005451.4, h1SMcT0005451.6	STRK1_80430.1, STRK1_80430.2, STRK1_80430.3, STRK1_80430.5, STRK1_80430.6, STRK1_80430.7, STRK1_80430.10, STRK1_80430.8, STRK1_80430.9, STRK1_80430.4
OG0001194	h1SMcT0020290.1	STRK1_6210.5, STRK1_6210.1, STRK1_6210.2, STRK1_6210.3, STRK1_6210.4
OG0001197	h1SMcT0018362.1, h1SMcT0018362.2	STRK1_20220.1, STRK1_106790.1, STRK1_108430.1
OG0001202	h1SMcT0005733.1, h1SMcT0005733.2, h1SMcT0011540.1, h1SMcT0011540.2	STRK1_11710.1, STRK1_11710.2
OG0001203	h1SMcT0015048.1	STRK1_78910.1
OG0001204	h1SMcT0011649.1, h1SMcT0010180.1, h1SMcT0018191.1	STRK1_63100.1
OG0001205	h1SMcT0002207.1, h1SMcT0002207.2	STRK1_31110.1, STRK1_31120.1
OG0001207	h1SMcT0006662.2, h1SMcT0006662.1, h1SMcT0006662.3	STRK1_4730.1, STRK1_4730.2, STRK1_4730.3
OG0001208	h1SMcT0012174.1, h1SMcT0012174.2, h1SMcT0020489.1, h1SMcT0020489.2, h1SMcT0001019.1, h1SMcT0001019.2, h1SMcT0016249.1, h1SMcT0016249.2, h1SMcT0004260.1, h1SMcT0010670.1	STRK1_32960.1
OG0001209	h1SMcT0020144.1	STRK1_50490.1
OG0001210	h1SMcT0001014.1, h1SMcT0020458.1, h1SMcT0020458.2, h1SMcT0020458.3, h1SMcT0015329.3, h1SMcT0015329.2, h1SMcT0015329.6, h1SMcT0015329.5, h1SMcT0015329.1, h1SMcT0015329.4, h1SMcT0012147.1, h1SMcT0012147.2, h1SMcT0012147.5, h1SMcT0012147.3, h1SMcT0012147.4, h1SMcT0014145.1	STRK1_94820.1
OG0001211	h1SMcT0012779.1	STRK1_13600.1, STRK1_13610.1
OG0001212	h1SMcT0010374.1, h1SMcT0010374.2	STRK1_24080.1
OG0001213	h1SMcT0004105.1, h1SMcT0001230.1, h1SMcT0012365.1, h1SMcT0012365.2	STRK1_6260.1
OG0001214	h1SMcT0006194.1, h1SMcT0006194.2	STRK1_27100.1
OG0001215	h1SMcT0010587.1	STRK1_63740.1, STRK1_63740.2
OG0001217	h1SMcT0003654.1	STRK1_71800.1
OG0001221	h1SMcT0015770.2, h1SMcT0015770.1, h1SMcT0015770.3	STRK1_59500.1
OG0001222	h1SMcT0003042.1, h1SMcT0003042.2	STRK1_89240.1
OG0001224	h1SMcT0003708.4, h1SMcT0003708.2, h1SMcT0003708.7, h1SMcT0003708.6, h1SMcT0003708.3, h1SMcT0003708.1, h1SMcT0003708.5	STRK1_80060.1
OG0001225	h1SMcT0022363.1	STRK1_57450.1, STRK1_57450.2
OG0001226	h1SMcT0021333.1	STRK1_44010.1, STRK1_44020.1, STRK1_44000.1
OG0001227	h1SMcT0001231.1	STRK1_65420.1, STRK1_65420.2
OG0001229	h1SMcT0001975.1, h1SMcT0001975.2	STRK1_29500.1, STRK1_29500.2, STRK1_29500.3
OG0001230	h1SMcT0006502.1, h1SMcT0006502.2	STRK1_14280.1
OG0001231	h1SMcT0020431.1, h1SMcT0020431.2	STRK1_37880.1, STRK1_37880.2, STRK1_37880.3
OG0001232	h1SMcT0009881.2, h1SMcT0009881.4, h1SMcT0009881.3, h1SMcT0009881.1, h1SMcT0012379.1, h1SMcT0016083.1, h1SMcT0016083.2, h1SMcT0016083.3, h1SMcT0016083.4, h1SMcT0017812.1, h1SMcT0021728.1	STRK1_78820.1, STRK1_105280.1, STRK1_78830.1
OG0001233	h1SMcT0010321.1, h1SMcT0010321.2, h1SMcT0010321.3	STRK1_3540.1
OG0001235	h1SMcT0022002.1, h1SMcT0022002.3, h1SMcT0021993.1, h1SMcT0021991.1, h1SMcT0021994.1	STRK1_37000.1, STRK1_37020.1, STRK1_37010.1, STRK1_37030.1
OG0001236	h1SMcT0010315.1, h1SMcT0010315.2, h1SMcT0010315.3	STRK1_63980.1
OG0001238	h1SMcT0010888.1, h1SMcT0010888.2, h1SMcT0010888.4, h1SMcT0010888.3	STRK1_94050.1
OG0001239	h1SMcT0009983.1	STRK1_7860.1
OG0001241	h1SMcT0010814.1, h1SMcT0017346.1	STRK1_105360.1
OG0001241	h1SMcT0008230.1, h1SMcT0008230.2, h1SMcT0008231.1, h1SMcT0008120.1, h1SMcT0008120.2, h1SMcT0002659.1, h1SMcT0015979.1, h1SMcT0015979.2, h1SMcT0006398.1, h1SMcT0018120.1	STRK1_73670.1
OG0001242	h1SMcT0000553.1, h1SMcT0012023.1, h1SMcT0012023.2	STRK1_54180.1
OG0001243	h1SMcT0005883.7, h1SMcT0005883.13, h1SMcT0005883.12, h1SMcT0005883.10, h1SMcT0005883.4, h1SMcT0005883.6, h1SMcT0005883.9, h1SMcT0005883.8, h1SMcT0005883.11, h1SMcT0005883.3	STRK1_6240.1
OG0001244	h1SMcT0020112.1, h1SMcT0020112.2, h1SMcT0020112.3, h1SMcT0016480.1, h1SMcT0016480.2	STRK1_86560.1, STRK1_86560.2, STRK1_86560.3
OG0001246	h1SMcT0015302.1, h1SMcT0015302.2, h1SMcT0015302.3	STRK1_34350.1
OG0001247	h1SMcT0009513.1	STRK1_33780.1
OG0001249	h1SMcT0003442.2, h1SMcT0003442.4, h1SMcT0003442.1, h1SMcT0003442.3	STRK1_30870.1, STRK1_30870.2, STRK1_30870.3
OG0001250	h1SMcT0014000.1, h1SMcT0014000.2	STRK1_1570.1
OG0001251	h1SMcT0012539.1, h1SMcT0012539.2, h1SMcT0012539.3, h1SMcT0012539.4, h1SMcT0006947.1, h1SMcT0006949.1, h1SMcT0006948.1, h1SMcT0006861.1, h1SMcT0006946.1, h1SMcT0006946.2, h1SMcT0006858.1, h1SMcT0006859.1, h1SMcT0014217.1, h1SMcT0015801.1, h1SMcT0009447.1, h1SMcT0020778.1, h1SMcT0021439.1, h1SMcT0022993.1	STRK1_74520.1
OG0001252	h1SMcT0010281.1	STRK1_106310.1, STRK1_46280.1
OG0001253	h1SMcT0002010.1, h1SMcT0002010.2, h1SMcT0002010.3, h1SMcT0008851.1, h1SMcT0008851.2, h1SMcT0008851.3, h1SMcT0015799.1, h1SMcT0015799.3, h1SMcT0015799.2	STRK1_48630.1
OG0001254	h1SMcT0018960.1, h1SMcT0018960.3, h1SMcT0018960.2, h1SMcT0016717.1	STRK1_34050.1, STRK1_34040.1
OG0001255	h1SMcT0019859.1, h1SMcT0019859.2, h1SMcT0019859.3	STRK1_36940.1, STRK1_36940.3, STRK1_36940.5, STRK1_36940.2, STRK1_36940.4
OG0001257	h1SMcT0003339.1, h1SMcT0003339.2, h1SMcT0003339.3	STRK1_25790.1
OG0001258	h1SMcT0021371.1	STRK1_71070.1, STRK1_71070.3, STRK1_71070.2
OG0001261	h1SMcT0014101.1, h1SMcT0014100.1, h1SMcT0014101.3, h1SMcT0014101.2, h1SMcT0014177.1	STRK1_43280.1
OG0001262	h1SMcT0000998.15, h1SMcT0000998.16, h1SMcT0000998.19, h1SMcT0000998.18, h1SMcT0000998.11, h1SMcT0000998.7, h1SMcT0000998.9, h1SMcT0000998.6, h1SMcT0000998.10, h1SMcT0000998.8, h1SMcT0002622.4, h1SMcT0002622.6, h1SMcT0002622.8, h1SMcT0002622.7, h1SMcT0002622.5	STRK1_80480.1
OG0001265	h1SMcT0001884.3, h1SMcT0001884.5, h1SMcT0001884.4, h1SMcT0001884.1, h1SMcT0001884.2	STRK1_60190.1
OG0001266	h1SMcT0020806.1, h1SMcT0020806.2	STRK1_68390.1
OG0001267	h1SMcT0003710.1	STRK1_107010.1, STRK1_47540.1, STRK1_47540.2
OG0001268	h1SMcT0019042.1, h1SMcT0006190.1, h1SMcT0018237.1	STRK1_86520.1
OG0001268	h1SMcT0003100.1, h1SMcT0018142.1, h1SMcT0018142.2, h1SMcT0006972.1, h1SMcT0008430.1, h1SMcT0017425.1	STRK1_13010.1
OG0001269	h1SMcT0021338.1, h1SMcT0021953.1, h1SMcT0017819.1, h1SMcT0009956.1, h1SMcT0009956.2, h1SMcT0009956.3	STRK1_22200.1
OG0001270	h1SMcT0021394.1	STRK1_85300.1
OG0001272	h1SMcT0022223.1	STRK1_78050.1, STRK1_78050.2
OG0001273	h1SMcT0008503.1	STRK1_75060.1
OG0001274	h1SMcT0014384.1, h1SMcT0014384.2	STRK1_66350.1
OG0001276	h1SMcT0018868.1	STRK1_58460.1
OG0001277	h1SMcT0002299.1	STRK1_16770.1
OG0001278	h1SMcT0003896.1	STRK1_85240.1
OG0001279	h1SMcT0012861.1, h1SMcT0012861.2	STRK1_35920.1, STRK1_35920.2
OG0001281	h1SMcT0011764.1, h1SMcT0011764.2	STRK1_72360.1
OG0001283	h1SMcT0009776.1, h1SMcT0009776.2	STRK1_36260.1
OG0001289	h1SMcT0001290.1, h1SMcT0001290.3, h1SMcT0001290.2, h1SMcT0001290.4, h1SMcT0001290.5	STRK1_30350.1
OG0001290	h1SMcT0000674.1	STRK1_6690.1, STRK1_6690.2
OG0001293	h1SMcT0001314.1, h1SMcT0001314.2	STRK1_96940.1
OG0001294	h1SMcT0001058.1, h1SMcT0004406.1, h1SMcT0004406.2, h1SMcT0004406.4, h1SMcT0004406.3, h1SMcT0004406.5	STRK1_31600.1
OG0001296	h1SMcT0018090.3, h1SMcT0018090.1, h1SMcT0018090.2	STRK1_7250.1
OG0001297	h1SMcT0015333.3, h1SMcT0015333.1, h1SMcT0015333.5, h1SMcT0015333.4, h1SMcT0015333.2	STRK1_11250.1
OG0001298	h1SMcT0012966.1, h1SMcT0012966.2, h1SMcT0012966.3	STRK1_31060.1, STRK1_31060.2
