Orthogroup	schmidtea_mediterranea	schistosoma_bovis
OG0000372	h1SMcT0007109.1	SBOV2_9640.1, SBOV2_9640.2, SBOV2_9620.1, SBOV2_9620.2, SBOV2_9620.3
OG0000373	h1SMcT0018072.1, h1SMcT0018072.2	SBOV2_12600.4, SBOV2_12600.6, SBOV2_12600.9, SBOV2_12600.3, SBOV2_12600.5, SBOV2_12600.8, SBOV2_12600.2, SBOV2_12600.7, SBOV2_12600.1
OG0000374	h1SMcT0003967.1, h1SMcT0003967.2, h1SMcT0003967.3	SBOV2_26320.4, SBOV2_26320.1, SBOV2_26320.5, SBOV2_26320.6, SBOV2_26320.2, SBOV2_26320.3
OG0000375	h1SMcT0006309.1, h1SMcT0006309.2	SBOV2_4520.10, SBOV2_4520.9, SBOV2_4520.2, SBOV2_4520.8, SBOV2_4520.3, SBOV2_4520.6, SBOV2_4520.4, SBOV2_4520.1, SBOV2_4520.5, SBOV2_4520.7
OG0000376	h1SMcT0010584.1	SBOV2_60220.3, SBOV2_60220.1, SBOV2_60220.2, SBOV2_60220.4
OG0000377	h1SMcT0015376.1, h1SMcT0015374.1, h1SMcT0015374.2	SBOV2_53730.3, SBOV2_53730.2, SBOV2_53730.1
OG0000378	h1SMcT0015273.2, h1SMcT0015273.1, h1SMcT0015273.3, h1SMcT0010411.6, h1SMcT0010411.1, h1SMcT0010411.4, h1SMcT0010411.5, h1SMcT0010411.8, h1SMcT0010411.7, h1SMcT0010411.3, h1SMcT0010411.2	SBOV2_23960.1, SBOV2_23960.2, SBOV2_23960.3
OG0000380	h1SMcT0014995.1, h1SMcT0014888.1, h1SMcT0014887.1, h1SMcT0014890.1, h1SMcT0014889.1	SBOV2_21070.1
OG0000381	h1SMcT0021933.1, h1SMcT0021931.1, h1SMcT0021932.1	SBOV2_52480.5, SBOV2_52480.1, SBOV2_52480.4, SBOV2_52480.2, SBOV2_52480.3, SBOV2_52480.7, SBOV2_52470.1
OG0000384	h1SMcT0002250.1, h1SMcT0002250.2	SBOV2_35660.1, SBOV2_35690.1
OG0000385	h1SMcT0015147.1, h1SMcT0010047.1, h1SMcT0010663.1, h1SMcT0010663.2	SBOV2_61800.1, SBOV2_61810.1, SBOV2_61820.1
OG0000386	h1SMcT0018292.1	SBOV2_20490.1, SBOV2_20490.2
OG0000387	h1SMcT0018543.1	SBOV2_2910.6, SBOV2_2910.8, SBOV2_2910.9, SBOV2_2910.1, SBOV2_2910.3, SBOV2_2910.7, SBOV2_2910.4, SBOV2_2910.2, SBOV2_2910.5, SBOV2_96140.8, SBOV2_96140.10, SBOV2_96140.11, SBOV2_96140.7, SBOV2_96140.9, SBOV2_96150.1, SBOV2_96140.1, SBOV2_96140.6, SBOV2_96140.5, SBOV2_96140.4, SBOV2_96140.2, SBOV2_96140.3
OG0000388	h1SMcT0015109.8, h1SMcT0015109.10, h1SMcT0015109.3, h1SMcT0015109.14, h1SMcT0015109.5, h1SMcT0015109.12, h1SMcT0015109.2, h1SMcT0015109.7, h1SMcT0015109.4, h1SMcT0015109.6, h1SMcT0015109.9, h1SMcT0015109.1, h1SMcT0015109.13, h1SMcT0015109.11	SBOV2_88060.4, SBOV2_88060.1, SBOV2_88060.2, SBOV2_88060.6, SBOV2_88060.7, SBOV2_88060.3, SBOV2_88060.5
OG0000389	h1SMcT0010313.1	SBOV2_72750.4, SBOV2_72750.9, SBOV2_72750.7, SBOV2_72750.2, SBOV2_72750.8, SBOV2_72750.3, SBOV2_72750.1, SBOV2_72750.5, SBOV2_72750.6
OG0000390	h1SMcT0018017.1, h1SMcT0018017.2	SBOV2_82360.1
OG0000391	h1SMcT0007228.1, h1SMcT0007227.1, h1SMcT0007227.2, h1SMcT0007227.3	SBOV2_13620.1, SBOV2_13620.2, SBOV2_13620.4, SBOV2_13620.3, SBOV2_13620.5
OG0000392	h1SMcT0006365.2, h1SMcT0006365.3, h1SMcT0006365.4, h1SMcT0006365.1, h1SMcT0006365.5	SBOV2_61300.4, SBOV2_61300.2, SBOV2_61300.1, SBOV2_61300.3, SBOV2_61300.5
OG0000394	h1SMcT0009687.1	SBOV2_60700.1, SBOV2_60700.3, SBOV2_60700.2, SBOV2_60700.7, SBOV2_60700.4, SBOV2_60700.5, SBOV2_60700.6
OG0000395	h1SMcT0012016.3, h1SMcT0012016.1, h1SMcT0012016.2, h1SMcT0012016.4, h1SMcT0012016.5	SBOV2_78590.1
OG0000396	h1SMcT0022283.1, h1SMcT0022283.3, h1SMcT0022283.2	SBOV2_4480.3, SBOV2_4480.5, SBOV2_4480.1, SBOV2_4480.2, SBOV2_4480.4, SBOV2_4480.6, SBOV2_4480.7
OG0000397	h1SMcT0011673.4, h1SMcT0011673.1, h1SMcT0011673.3, h1SMcT0011673.2	SBOV2_78330.1, SBOV2_78330.2, SBOV2_78330.3, SBOV2_78330.4, SBOV2_78330.6, SBOV2_78330.5
OG0000398	h1SMcT0001252.2, h1SMcT0022500.1	SBOV2_19290.1, SBOV2_21960.1, SBOV2_21920.1
OG0000401	h1SMcT0015607.5, h1SMcT0015607.2, h1SMcT0015607.6, h1SMcT0015607.4, h1SMcT0015607.1, h1SMcT0015607.3	SBOV2_93690.1
OG0000405	h1SMcT0005943.1, h1SMcT0005943.2, h1SMcT0001859.3, h1SMcT0001859.1, h1SMcT0001859.2	SBOV2_29930.1, SBOV2_29930.2, SBOV2_29930.4, SBOV2_29930.7, SBOV2_29930.8, SBOV2_29930.3, SBOV2_29930.5, SBOV2_29930.6
OG0000406	h1SMcT0021067.2, h1SMcT0021067.4, h1SMcT0021067.7, h1SMcT0021067.1, h1SMcT0021067.3, h1SMcT0021067.8, h1SMcT0021067.6, h1SMcT0021067.5, h1SMcT0021067.9	SBOV2_29100.2, SBOV2_29100.5, SBOV2_29100.1, SBOV2_29100.3, SBOV2_29100.6, SBOV2_29100.7, SBOV2_29100.4
OG0000407	h1SMcT0011438.1	SBOV2_61870.2, SBOV2_61870.3, SBOV2_61870.1, SBOV2_61870.4, SBOV2_61870.5
OG0000409	h1SMcT0020712.1, h1SMcT0020712.2, h1SMcT0020712.3	SBOV2_87270.11, SBOV2_87270.1, SBOV2_87270.5, SBOV2_87270.9, SBOV2_87270.2, SBOV2_87270.4, SBOV2_87270.10, SBOV2_87270.6, SBOV2_87270.8, SBOV2_87270.3, SBOV2_87270.7
OG0000410	h1SMcT0010422.1, h1SMcT0010422.2, h1SMcT0010422.3	SBOV2_68580.2, SBOV2_68580.1, SBOV2_68580.3, SBOV2_68580.4
OG0000412	h1SMcT0008657.1	SBOV2_71410.1, SBOV2_71410.2, SBOV2_71410.3
OG0000413	h1SMcT0013610.1, h1SMcT0009509.1, h1SMcT0009509.2	SBOV2_60530.1, SBOV2_60530.2
OG0000414	h1SMcT0005664.1, h1SMcT0011493.1, h1SMcT0011499.1, h1SMcT0011500.1, h1SMcT0011500.2, h1SMcT0011496.1, h1SMcT0011497.1, h1SMcT0011497.2, h1SMcT0011488.1, h1SMcT0011488.2, h1SMcT0011498.1, h1SMcT0011490.1, h1SMcT0011492.1, h1SMcT0011501.1	SBOV2_10550.1, SBOV2_10550.8, SBOV2_10550.2, SBOV2_10550.5, SBOV2_10550.7, SBOV2_10550.6, SBOV2_10550.3, SBOV2_10550.4
OG0000415	h1SMcT0002424.1, h1SMcT0002424.2	SBOV2_36830.2, SBOV2_36830.1, SBOV2_36830.6, SBOV2_36830.3, SBOV2_36830.4, SBOV2_36830.5
OG0000416	h1SMcT0020907.1, h1SMcT0011096.1, h1SMcT0013958.1	SBOV2_86620.1, SBOV2_90360.1, SBOV2_86610.1
OG0000417	h1SMcT0021885.1	SBOV2_53390.1, SBOV2_53390.2
OG0000419	h1SMcT0006795.1, h1SMcT0008962.1	SBOV2_6030.13, SBOV2_6030.1, SBOV2_6030.10, SBOV2_6030.2, SBOV2_6030.3, SBOV2_6030.4, SBOV2_6030.6, SBOV2_6030.7, SBOV2_6030.8, SBOV2_6030.9, SBOV2_6030.12, SBOV2_6030.11, SBOV2_6030.5
OG0000420	h1SMcT0008831.1, h1SMcT0014083.1, h1SMcT0017216.1	SBOV2_44980.1
OG0000421	h1SMcT0018870.1, h1SMcT0018874.1, h1SMcT0018874.2	SBOV2_66820.1, SBOV2_66820.2, SBOV2_66820.5, SBOV2_66820.6, SBOV2_66820.3, SBOV2_66820.4, SBOV2_66820.7
OG0000422	h1SMcT0001452.1, h1SMcT0001452.2, h1SMcT0001452.3, h1SMcT0001452.4	SBOV2_49390.3, SBOV2_49390.5, SBOV2_49390.4, SBOV2_49390.1, SBOV2_49390.6, SBOV2_49390.2, SBOV2_49390.7
OG0000423	h1SMcT0004878.2, h1SMcT0004878.3, h1SMcT0004878.4	SBOV2_29750.1
OG0000425	h1SMcT0001635.1, h1SMcT0001635.2, h1SMcT0001635.3	SBOV2_38140.3, SBOV2_38140.1, SBOV2_38140.4, SBOV2_38140.2
OG0000426	h1SMcT0007345.1	SBOV2_51200.2, SBOV2_51200.1, SBOV2_51190.2, SBOV2_51190.3, SBOV2_51190.1, SBOV2_51180.1, SBOV2_51210.1
OG0000427	h1SMcT0018199.1, h1SMcT0018199.2	SBOV2_52380.1
OG0000429	h1SMcT0006726.4, h1SMcT0006726.1, h1SMcT0006726.2, h1SMcT0006726.3, h1SMcT0018296.1, h1SMcT0018296.2, h1SMcT0006783.1, h1SMcT0006783.3, h1SMcT0006783.2	SBOV2_91660.1
OG0000429	h1SMcT0007446.1, h1SMcT0007446.2, h1SMcT0007446.3, h1SMcT0007446.4, h1SMcT0013828.1, h1SMcT0013828.2, h1SMcT0004246.1, h1SMcT0004246.2	SBOV2_44500.1
OG0000430	h1SMcT0004654.1, h1SMcT0004654.2	SBOV2_35310.5, SBOV2_35310.6, SBOV2_35310.1, SBOV2_35310.4, SBOV2_35310.2, SBOV2_35310.3
OG0000431	h1SMcT0013565.1, h1SMcT0013565.2	SBOV2_48380.2, SBOV2_48380.1, SBOV2_48380.3, SBOV2_48380.6, SBOV2_48380.4, SBOV2_48380.5
OG0000435	h1SMcT0001783.2, h1SMcT0001783.1, h1SMcT0001783.3	SBOV2_50940.2, SBOV2_50940.7, SBOV2_50940.1, SBOV2_50940.3, SBOV2_50940.4, SBOV2_50940.6, SBOV2_50940.9, SBOV2_50940.5, SBOV2_50940.10, SBOV2_50940.11, SBOV2_50940.8
OG0000436	h1SMcT0014116.1	SBOV2_25140.2, SBOV2_25140.5, SBOV2_25140.6, SBOV2_25140.4, SBOV2_25140.1, SBOV2_25140.3
OG0000437	h1SMcT0005620.1, h1SMcT0005620.2	SBOV2_3160.8, SBOV2_3160.9, SBOV2_3160.3, SBOV2_3160.5, SBOV2_3160.6, SBOV2_3160.7, SBOV2_3160.1, SBOV2_3160.2, SBOV2_3160.4
OG0000438	h1SMcT0011030.2, h1SMcT0011030.1, h1SMcT0011030.3, h1SMcT0011030.4	SBOV2_63140.1
OG0000439	h1SMcT0015617.1, h1SMcT0022787.2, h1SMcT0015617.2, h1SMcT0015617.3, h1SMcT0022787.1	SBOV2_83710.5, SBOV2_83710.1, SBOV2_83710.3, SBOV2_83710.4, SBOV2_83710.2
OG0000441	h1SMcT0008949.1	SBOV2_8920.1
OG0000441	h1SMcT0010643.1, h1SMcT0022777.3, h1SMcT0022777.1, h1SMcT0022777.2	SBOV2_14190.1, SBOV2_14190.2
OG0000442	h1SMcT0006291.1, h1SMcT0012813.1	SBOV2_31430.2, SBOV2_31430.5, SBOV2_31430.4, SBOV2_31430.1, SBOV2_31430.3
OG0000444	h1SMcT0010629.1, h1SMcT0010629.2	SBOV2_70540.1
OG0000445	h1SMcT0010845.2, h1SMcT0010845.1, h1SMcT0010845.3	SBOV2_65140.1
OG0000447	h1SMcT0018376.1	SBOV2_56190.1, SBOV2_56190.2, SBOV2_56190.3
OG0000448	h1SMcT0002478.1	SBOV2_36190.1, SBOV2_36190.3, SBOV2_36190.4, SBOV2_36190.2
OG0000449	h1SMcT0001406.1, h1SMcT0001406.2	SBOV2_57130.1, SBOV2_57070.1, SBOV2_57100.1, SBOV2_57060.1
OG0000450	h1SMcT0007392.5	SBOV2_24280.6, SBOV2_24280.4, SBOV2_24280.5, SBOV2_24280.1, SBOV2_24280.2, SBOV2_24280.3
OG0000451	h1SMcT0022634.1	SBOV2_96360.1, SBOV2_96360.2, SBOV2_86860.1
OG0000452	h1SMcT0011541.1, h1SMcT0011503.1, h1SMcT0011503.3, h1SMcT0011503.2	SBOV2_28350.1
OG0000453	h1SMcT0016798.1	SBOV2_61750.1
OG0000454	h1SMcT0014136.1, h1SMcT0003146.1, h1SMcT0003146.2	SBOV2_23810.1, SBOV2_69730.1, SBOV2_83110.1, SBOV2_83120.1, SBOV2_71280.1, SBOV2_71500.1
OG0000455	h1SMcT0015219.1	SBOV2_12200.1, SBOV2_12200.2, SBOV2_12200.3, SBOV2_12200.4, SBOV2_12200.5
OG0000456	h1SMcT0019434.2, h1SMcT0019434.4, h1SMcT0019434.5, h1SMcT0019434.1, h1SMcT0019434.3	SBOV2_70340.5, SBOV2_70340.1, SBOV2_70340.3, SBOV2_70340.6, SBOV2_70340.4, SBOV2_70340.2
OG0000457	h1SMcT0014197.1, h1SMcT0014197.2, h1SMcT0014197.3, h1SMcT0014197.4	SBOV2_39000.1, SBOV2_39000.2, SBOV2_39000.3, SBOV2_39000.5, SBOV2_39000.4
OG0000458	h1SMcT0018395.1	SBOV2_33350.1
OG0000459	h1SMcT0005845.1	SBOV2_9310.1, SBOV2_9300.6, SBOV2_9300.4, SBOV2_9300.8, SBOV2_9300.7, SBOV2_9300.2, SBOV2_9300.3, SBOV2_9300.5, SBOV2_9300.1, SBOV2_9300.9, SBOV2_9310.2
OG0000460	h1SMcT0022335.1, h1SMcT0022335.2	SBOV2_12350.1, SBOV2_12350.2, SBOV2_12350.3, SBOV2_12350.4, SBOV2_12350.5
OG0000461	h1SMcT0004458.8, h1SMcT0004458.5, h1SMcT0004458.10, h1SMcT0004458.3, h1SMcT0004458.2, h1SMcT0004458.6, h1SMcT0004458.4, h1SMcT0004458.1, h1SMcT0004458.7	SBOV2_73180.1, SBOV2_73180.2
OG0000462	h1SMcT0008325.1	SBOV2_92030.3, SBOV2_92030.4, SBOV2_92030.1, SBOV2_92030.2
OG0000464	h1SMcT0021723.1	SBOV2_13870.2, SBOV2_13870.1, SBOV2_13870.3
OG0000465	h1SMcT0014443.1, h1SMcT0014443.2	SBOV2_74910.1, SBOV2_74910.4, SBOV2_74910.5, SBOV2_74910.2, SBOV2_74910.3
OG0000466	h1SMcT0003950.1, h1SMcT0003950.2, h1SMcT0003950.3	SBOV2_52330.1
OG0000467	h1SMcT0001827.1, h1SMcT0021709.1, h1SMcT0021709.2	SBOV2_30620.6, SBOV2_30620.4, SBOV2_30620.7, SBOV2_30620.8, SBOV2_30620.2, SBOV2_30620.5, SBOV2_30620.3, SBOV2_30620.1
OG0000468	h1SMcT0019187.1, h1SMcT0019191.4, h1SMcT0019191.3, h1SMcT0019191.6, h1SMcT0019191.2, h1SMcT0019191.5, h1SMcT0019191.1	SBOV2_70080.6, SBOV2_70080.7, SBOV2_70080.2, SBOV2_70080.3, SBOV2_70080.4, SBOV2_70080.1, SBOV2_70080.5
OG0000469	h1SMcT0010305.1, h1SMcT0010305.2	SBOV2_4050.1, SBOV2_4050.2, SBOV2_4050.3, SBOV2_4050.6, SBOV2_4050.5, SBOV2_4050.4
OG0000470	h1SMcT0017452.1	SBOV2_54210.1, SBOV2_54210.2, SBOV2_54210.3, SBOV2_54210.5, SBOV2_54210.6, SBOV2_54210.4
OG0000471	h1SMcT0012604.4, h1SMcT0012604.3, h1SMcT0012604.1, h1SMcT0012604.2	SBOV2_89620.2, SBOV2_89620.3, SBOV2_89620.7, SBOV2_89620.5, SBOV2_89620.4, SBOV2_89620.6, SBOV2_89620.1
OG0000472	h1SMcT0016465.1, h1SMcT0016626.1, h1SMcT0007076.1, h1SMcT0019680.1	SBOV2_30680.1, SBOV2_30690.1
OG0000473	h1SMcT0021306.1, h1SMcT0021311.1, h1SMcT0021311.2, h1SMcT0021311.3	SBOV2_4980.6, SBOV2_4980.5, SBOV2_4980.9, SBOV2_4980.1, SBOV2_4980.2, SBOV2_4980.4, SBOV2_4980.7, SBOV2_4980.3, SBOV2_4980.8
OG0000474	h1SMcT0018371.1, h1SMcT0018371.2, h1SMcT0003296.1, h1SMcT0014656.1	SBOV2_20040.1
OG0000474	h1SMcT0016260.1	SBOV2_45070.1
OG0000475	h1SMcT0005588.1	SBOV2_63350.3, SBOV2_63350.2, SBOV2_63350.1
OG0000476	h1SMcT0020933.1	SBOV2_20900.1, SBOV2_20890.1, SBOV2_20900.7, SBOV2_20900.2, SBOV2_20900.3, SBOV2_20900.4, SBOV2_20900.5, SBOV2_20900.9, SBOV2_20900.6, SBOV2_20900.10, SBOV2_20900.8
OG0000477	h1SMcT0011098.1, h1SMcT0011098.2	SBOV2_44960.4, SBOV2_44960.3, SBOV2_44960.5, SBOV2_44960.1, SBOV2_44960.2, SBOV2_44960.6
OG0000478	h1SMcT0004046.1, h1SMcT0004046.2	SBOV2_6340.1
OG0000479	h1SMcT0022220.1, h1SMcT0022220.2	SBOV2_36040.1
OG0000480	h1SMcT0004755.1	SBOV2_63600.1
OG0000481	h1SMcT0008668.4, h1SMcT0008668.5, h1SMcT0008694.1, h1SMcT0008695.1, h1SMcT0008680.1	SBOV2_64670.5, SBOV2_64670.7, SBOV2_64670.1, SBOV2_64670.2, SBOV2_64670.3, SBOV2_64670.6, SBOV2_64670.8, SBOV2_64670.4
OG0000482	h1SMcT0012726.1, h1SMcT0012726.2, h1SMcT0009023.1, h1SMcT0021555.3, h1SMcT0021555.4, h1SMcT0021555.5, h1SMcT0021555.1, h1SMcT0021555.2	SBOV2_9670.3, SBOV2_9670.7, SBOV2_9670.6, SBOV2_9670.9, SBOV2_9670.1, SBOV2_9670.4, SBOV2_9670.8, SBOV2_9670.5, SBOV2_9670.2
OG0000485	h1SMcT0000920.1	SBOV2_13220.1, SBOV2_13220.2
OG0000489	h1SMcT0003858.1, h1SMcT0003858.2	SBOV2_56180.4, SBOV2_56180.3, SBOV2_56180.1, SBOV2_56180.5, SBOV2_56150.1, SBOV2_56150.3, SBOV2_56180.2, SBOV2_56150.2
OG0000490	h1SMcT0020692.2, h1SMcT0020692.1, h1SMcT0020692.3	SBOV2_67770.1, SBOV2_67740.1, SBOV2_67750.1, SBOV2_67780.1
OG0000491	h1SMcT0002779.1	SBOV2_37380.1, SBOV2_37380.3, SBOV2_37380.4, SBOV2_37380.7, SBOV2_37380.2, SBOV2_37380.5, SBOV2_37380.6
OG0000492	h1SMcT0004364.1, h1SMcT0004364.2	SBOV2_62050.1, SBOV2_62050.3, SBOV2_62050.4, SBOV2_62050.6, SBOV2_62050.7, SBOV2_62050.8, SBOV2_62050.2, SBOV2_62050.5
OG0000493	h1SMcT0000709.3, h1SMcT0000709.2, h1SMcT0000709.1, h1SMcT0000709.4	SBOV2_46800.1, SBOV2_46820.1
OG0000493	h1SMcT0020675.1, h1SMcT0020674.1, h1SMcT0000076.1	SBOV2_38600.1
OG0000495	h1SMcT0009099.10, h1SMcT0009099.2, h1SMcT0009099.6, h1SMcT0009099.3, h1SMcT0009099.5, h1SMcT0009099.1, h1SMcT0009099.8, h1SMcT0009099.4, h1SMcT0009099.7, h1SMcT0009099.9	SBOV2_3170.2, SBOV2_3170.3, SBOV2_3170.1, SBOV2_3170.4
OG0000496	h1SMcT0021715.1, h1SMcT0021715.2, h1SMcT0021715.3	SBOV2_29870.5, SBOV2_29870.1, SBOV2_29870.2, SBOV2_29870.3, SBOV2_29870.4
OG0000497	h1SMcT0003775.1	SBOV2_5440.4, SBOV2_5450.1, SBOV2_5440.1, SBOV2_5440.2, SBOV2_5440.5, SBOV2_5440.3
OG0000498	h1SMcT0017838.1, h1SMcT0017838.2, h1SMcT0017837.6, h1SMcT0017837.5, h1SMcT0017837.7, h1SMcT0017837.2, h1SMcT0017837.1, h1SMcT0017837.3, h1SMcT0017837.4	SBOV2_40380.1
OG0000499	h1SMcT0006984.1	SBOV2_70020.1
OG0000501	h1SMcT0018760.1, h1SMcT0018760.2	SBOV2_25400.1
OG0000502	h1SMcT0010118.2, h1SMcT0002252.1, h1SMcT0002252.4, h1SMcT0002252.2, h1SMcT0002252.3	SBOV2_32050.1, SBOV2_32050.4, SBOV2_32050.5, SBOV2_32050.2, SBOV2_32050.6, SBOV2_32050.7, SBOV2_32050.3, SBOV2_32050.8
OG0000503	h1SMcT0002919.1, h1SMcT0002919.2, h1SMcT0002924.1, h1SMcT0002924.2	SBOV2_3850.4, SBOV2_3850.2, SBOV2_3850.1, SBOV2_3850.3, SBOV2_3850.5, SBOV2_3850.6
OG0000504	h1SMcT0019787.1	SBOV2_46250.4, SBOV2_46250.1, SBOV2_46250.5, SBOV2_46250.2, SBOV2_46250.3, SBOV2_46250.6
OG0000505	h1SMcT0004914.1	SBOV2_26710.8, SBOV2_26710.9, SBOV2_26710.1, SBOV2_26710.2, SBOV2_26710.3, SBOV2_26710.4, SBOV2_26710.5, SBOV2_26710.6, SBOV2_26710.7
OG0000508	h1SMcT0011172.1, h1SMcT0011172.2	SBOV2_14800.1
OG0000509	h1SMcT0015058.1, h1SMcT0019753.1, h1SMcT0019753.2, h1SMcT0019753.3	SBOV2_48830.1, SBOV2_54480.1, SBOV2_54480.2
OG0000510	h1SMcT0001161.4, h1SMcT0001161.5	SBOV2_77900.1, SBOV2_77900.2, SBOV2_77920.2, SBOV2_77920.4, SBOV2_77920.1, SBOV2_77920.3
OG0000512	h1SMcT0012909.1	SBOV2_53990.6, SBOV2_53990.8, SBOV2_53990.9, SBOV2_53990.2, SBOV2_53990.1, SBOV2_53990.4, SBOV2_53990.5, SBOV2_53990.7, SBOV2_53990.10, SBOV2_53990.3
OG0000514	h1SMcT0021411.1, h1SMcT0021411.2, h1SMcT0021411.3, h1SMcT0021411.4, h1SMcT0021411.5, h1SMcT0021411.6	SBOV2_44970.1
OG0000515	h1SMcT0007870.1	SBOV2_14440.4, SBOV2_14440.2, SBOV2_14440.5, SBOV2_14440.3, SBOV2_14440.6, SBOV2_14440.1, SBOV2_14440.7
OG0000516	h1SMcT0022229.1, h1SMcT0022229.2	SBOV2_62780.10, SBOV2_62780.11, SBOV2_62780.6, SBOV2_62780.7, SBOV2_62780.9, SBOV2_62780.3, SBOV2_62780.2, SBOV2_62780.4, SBOV2_62780.8, SBOV2_62780.1, SBOV2_62780.5
OG0000517	h1SMcT0011032.1	SBOV2_25430.1, SBOV2_25430.4, SBOV2_25430.3, SBOV2_25430.6, SBOV2_25430.2, SBOV2_25430.5, SBOV2_25430.7, SBOV2_25430.8
OG0000521	h1SMcT0003945.1, h1SMcT0003945.2, h1SMcT0003945.3	SBOV2_71010.2, SBOV2_71010.4, SBOV2_71010.1, SBOV2_71010.5, SBOV2_71010.6, SBOV2_71010.3
OG0000522	h1SMcT0011331.1, h1SMcT0011331.2	SBOV2_56380.1, SBOV2_56320.1, SBOV2_56350.1, SBOV2_56290.1, SBOV2_56310.1, SBOV2_22120.1, SBOV2_56370.1, SBOV2_94580.1
OG0000523	h1SMcT0012736.1, h1SMcT0012736.2	SBOV2_76060.1, SBOV2_76060.2, SBOV2_76060.5, SBOV2_76060.6, SBOV2_76060.7, SBOV2_76060.8, SBOV2_76060.4, SBOV2_76060.3
OG0000524	h1SMcT0004038.1	SBOV2_12260.1
OG0000525	h1SMcT0008063.1, h1SMcT0008063.2, h1SMcT0007883.1, h1SMcT0021492.1	SBOV2_54970.1
OG0000526	h1SMcT0011925.1	SBOV2_16410.1, SBOV2_16410.2, SBOV2_16410.3, SBOV2_16410.4, SBOV2_16410.5
OG0000527	h1SMcT0022639.4	SBOV2_95700.1, SBOV2_18510.1, SBOV2_18510.2, SBOV2_18510.10, SBOV2_18510.3, SBOV2_18510.4, SBOV2_18510.5, SBOV2_18510.6, SBOV2_18510.7, SBOV2_18510.8, SBOV2_18510.9
OG0000529	h1SMcT0006586.1	SBOV2_15300.1, SBOV2_15300.2, SBOV2_15300.3, SBOV2_15300.4, SBOV2_15300.5, SBOV2_15300.6, SBOV2_25020.1, SBOV2_25020.3, SBOV2_25020.5, SBOV2_25020.2, SBOV2_25020.4
OG0000530	h1SMcT0000185.1	SBOV2_92080.1, SBOV2_92080.2
OG0000530	h1SMcT0007987.1, h1SMcT0007987.2, h1SMcT0012665.1, h1SMcT0012665.2	SBOV2_94820.1, SBOV2_94860.1, SBOV2_94850.1
OG0000531	h1SMcT0018210.3, h1SMcT0018210.1, h1SMcT0018210.2	SBOV2_76790.2, SBOV2_76790.1, SBOV2_76790.3, SBOV2_76790.4, SBOV2_76790.5, SBOV2_76790.7, SBOV2_76790.6
OG0000532	h1SMcT0009724.1, h1SMcT0009724.2	SBOV2_4970.1, SBOV2_4970.3, SBOV2_4970.6, SBOV2_4970.5, SBOV2_4970.2, SBOV2_4970.4
OG0000534	h1SMcT0010650.1, h1SMcT0018835.1	SBOV2_70260.4, SBOV2_70260.1, SBOV2_70260.2, SBOV2_70260.3, SBOV2_70260.5, SBOV2_70260.6
OG0000535	h1SMcT0019644.1, h1SMcT0019644.3, h1SMcT0019644.2, h1SMcT0019644.4	SBOV2_58300.1, SBOV2_58330.1
OG0000536	h1SMcT0014219.1, h1SMcT0014219.2	SBOV2_65630.1, SBOV2_65630.2, SBOV2_65560.1
OG0000537	h1SMcT0006697.1	SBOV2_52160.4, SBOV2_52160.7, SBOV2_52160.8, SBOV2_52160.3, SBOV2_52160.5, SBOV2_52160.10, SBOV2_52160.9, SBOV2_52160.1, SBOV2_52160.6, SBOV2_52160.2
OG0000539	h1SMcT0004811.1, h1SMcT0004811.4, h1SMcT0004811.3	SBOV2_46130.2, SBOV2_46130.3, SBOV2_46130.4, SBOV2_46130.1
OG0000540	h1SMcT0021535.1	SBOV2_5700.1, SBOV2_5700.2, SBOV2_5700.4, SBOV2_5700.8, SBOV2_5700.9, SBOV2_5700.10, SBOV2_5700.6, SBOV2_5700.7, SBOV2_5700.3, SBOV2_5700.5
OG0000542	h1SMcT0000922.1, h1SMcT0015103.1, h1SMcT0004310.1, h1SMcT0011864.1, h1SMcT0011864.2, h1SMcT0011864.3, h1SMcT0014503.1, h1SMcT0014503.2	SBOV2_86350.11, SBOV2_86350.1, SBOV2_86350.2, SBOV2_86350.10, SBOV2_86350.3, SBOV2_86350.7, SBOV2_86350.8, SBOV2_86350.9, SBOV2_86350.4, SBOV2_86350.5, SBOV2_86350.6, SBOV2_86350.12
OG0000544	h1SMcT0006842.1	SBOV2_78910.1, SBOV2_78910.2, SBOV2_78910.3, SBOV2_78910.4, SBOV2_78910.5, SBOV2_78910.6
OG0000545	h1SMcT0002590.1, h1SMcT0008951.3, h1SMcT0008951.1, h1SMcT0008951.2	SBOV2_45910.1
OG0000545	h1SMcT0006299.1	SBOV2_69190.1
OG0000546	h1SMcT0006604.1, h1SMcT0006760.1	SBOV2_38050.1, SBOV2_38050.2
OG0000547	h1SMcT0008304.1	SBOV2_89440.3, SBOV2_89440.2, SBOV2_89440.1, SBOV2_89440.4
OG0000549	h1SMcT0012580.1, h1SMcT0005514.1, h1SMcT0005514.2	SBOV2_10750.4, SBOV2_10750.2, SBOV2_10750.3, SBOV2_10750.1, SBOV2_10750.5, SBOV2_10750.6, SBOV2_10750.7
OG0000550	h1SMcT0015594.1	SBOV2_18130.1
OG0000551	h1SMcT0011167.1, h1SMcT0011741.1	SBOV2_48080.1, SBOV2_65220.1
OG0000552	h1SMcT0021184.1	SBOV2_5470.1
OG0000552	h1SMcT0012094.1, h1SMcT0012094.2	SBOV2_85430.1
