Orthogroup	schistosoma_guineensis	schistosoma_mattheei
OG0001155	SGUI1_48460.1, SGUI1_48460.2, SGUI1_48460.3, SGUI1_48460.5, SGUI1_48460.7, SGUI1_48460.8	SMTH1_54160.1, SMTH1_54160.2, SMTH1_54160.3
OG0001156	SGUI1_7130.1	SMTH1_8690.1, SMTH1_107530.1
OG0001157	SGUI1_63240.1	SMTH1_69920.1
OG0001158	SGUI1_42390.5, SGUI1_42390.2, SGUI1_42390.3, SGUI1_42390.1, SGUI1_42390.4	SMTH1_47230.1, SMTH1_47230.2
OG0001159	SGUI1_92530.1, SGUI1_92530.3, SGUI1_92530.5, SGUI1_92530.6, SGUI1_92530.7, SGUI1_92530.2, SGUI1_92530.4	SMTH1_102330.1
OG0001160	SGUI1_19460.1	SMTH1_23540.2
OG0001160	SGUI1_19460.4, SGUI1_19460.2, SGUI1_19460.3	SMTH1_23540.1, SMTH1_23540.3, SMTH1_23540.4
OG0001161	SGUI1_68840.1	SMTH1_76070.1
OG0001161	SGUI1_66030.1	SMTH1_72930.1
OG0001162	SGUI1_35590.1	SMTH1_39590.1
OG0001163	SGUI1_77630.1	SMTH1_85880.1
OG0001164	SGUI1_82300.1	SMTH1_90900.1
OG0001165	SGUI1_58060.1	SMTH1_64020.2, SMTH1_64020.3, SMTH1_64020.4, SMTH1_64020.1
OG0001166	SGUI1_10170.2, SGUI1_10170.3, SGUI1_10170.4, SGUI1_10170.1, SGUI1_10170.5	SMTH1_12370.1, SMTH1_12370.3, SMTH1_12370.2, SMTH1_12370.4, SMTH1_12370.5
OG0001167	SGUI1_35580.1	SMTH1_39580.1
OG0001168	SGUI1_11740.5, SGUI1_11740.1, SGUI1_11740.2, SGUI1_11740.3, SGUI1_11740.4	SMTH1_14110.1
OG0001169	SGUI1_50260.1, SGUI1_50260.2, SGUI1_50260.3, SGUI1_50260.6, SGUI1_50260.5, SGUI1_50260.4	SMTH1_56100.1
OG0001170	SGUI1_10500.1	SMTH1_12690.1
OG0001170	SGUI1_10490.1	SMTH1_12680.1
OG0001171	SGUI1_15200.1	SMTH1_17290.1
OG0001172	SGUI1_60930.3, SGUI1_60930.4, SGUI1_60930.2, SGUI1_60930.1	SMTH1_67260.1, SMTH1_67260.2
OG0001174	SGUI1_9050.1	SMTH1_11060.1
OG0001175	SGUI1_52250.1, SGUI1_52250.2, SGUI1_52250.4, SGUI1_52250.3	SMTH1_58060.1
OG0001176	SGUI1_73720.1	SMTH1_81680.1
OG0001177	SGUI1_24540.3	SMTH1_27540.1
OG0001178	SGUI1_2620.1	SMTH1_3090.1
OG0001178	SGUI1_2610.1	SMTH1_3070.1, SMTH1_3080.1
OG0001179	SGUI1_93620.1, SGUI1_93620.2, SGUI1_93620.3, SGUI1_93620.6, SGUI1_93620.5, SGUI1_93620.4	SMTH1_103490.1, SMTH1_103490.2
OG0001180	SGUI1_8710.5, SGUI1_8710.2, SGUI1_8710.3, SGUI1_8710.1, SGUI1_8710.4	SMTH1_10610.1, SMTH1_10610.3, SMTH1_10610.4, SMTH1_10610.2
OG0001181	SGUI1_58100.1	SMTH1_64050.1
OG0001182	SGUI1_35850.1	SMTH1_39850.3, SMTH1_39850.2, SMTH1_39850.1, SMTH1_39850.4
OG0001183	SGUI1_10200.1, SGUI1_10200.2, SGUI1_10200.6, SGUI1_10200.3, SGUI1_10200.5, SGUI1_10200.4	SMTH1_12410.1
OG0001184	SGUI1_3530.1, SGUI1_3530.2, SGUI1_3530.3	SMTH1_4090.1, SMTH1_4090.2
OG0001185	SGUI1_9880.1	SMTH1_12000.1, SMTH1_12000.3, SMTH1_12000.2
OG0001186	SGUI1_4670.1, SGUI1_4670.10, SGUI1_4670.3, SGUI1_4670.5, SGUI1_4670.6, SGUI1_4670.7, SGUI1_4670.8, SGUI1_4670.9, SGUI1_4670.2, SGUI1_4670.4	SMTH1_5660.1
OG0001187	SGUI1_31090.1	SMTH1_34790.1, SMTH1_34790.2, SMTH1_34790.3
OG0001189	SGUI1_14100.1, SGUI1_14100.5, SGUI1_14100.3, SGUI1_14100.4	SMTH1_16050.1
OG0001189	SGUI1_14100.7, SGUI1_14100.2, SGUI1_14100.6	SMTH1_16060.1
OG0001190	SGUI1_36060.1, SGUI1_36060.2	SMTH1_40060.1, SMTH1_40060.2, SMTH1_40060.3
OG0001191	SGUI1_6630.1	SMTH1_7990.1
OG0001192	SGUI1_42760.2, SGUI1_42760.3, SGUI1_42760.1	SMTH1_47610.1
OG0001193	SGUI1_83160.1	SMTH1_91730.1
OG0001194	SGUI1_6140.1	SMTH1_7420.1
OG0001197	SGUI1_21650.1, SGUI1_21650.2	SMTH1_24380.1, SMTH1_24380.7, SMTH1_24380.6, SMTH1_24380.2, SMTH1_24380.3, SMTH1_24380.4, SMTH1_24380.5
OG0001198	SGUI1_82880.3, SGUI1_82880.4	SMTH1_91480.1, SMTH1_91480.2
OG0001198	SGUI1_82880.1, SGUI1_82880.2	SMTH1_91480.3, SMTH1_91480.4
OG0001199	SGUI1_80240.1	SMTH1_88750.1
OG0001202	SGUI1_12770.1, SGUI1_12740.1	SMTH1_15040.1, SMTH1_15040.2, SMTH1_15040.3, SMTH1_15040.4
OG0001203	SGUI1_1340.1	SMTH1_1630.1, SMTH1_1630.2
OG0001203	SGUI1_82410.1	SMTH1_91030.1
OG0001204	SGUI1_66970.2, SGUI1_66970.3, SGUI1_66970.4	SMTH1_74050.3, SMTH1_74050.4, SMTH1_74050.1, SMTH1_74050.2
OG0001205	SGUI1_36270.1	SMTH1_40270.1, SMTH1_40270.2, SMTH1_40270.3, SMTH1_40270.4
OG0001206	SGUI1_96170.1	SMTH1_50460.1
OG0001206	SGUI1_16260.1	SMTH1_53230.1, SMTH1_50140.1, SMTH1_56710.1, SMTH1_52190.1, SMTH1_42800.1, SMTH1_51580.1, SMTH1_47700.1, SMTH1_58450.1, SMTH1_9420.1, SMTH1_50220.1
OG0001207	SGUI1_14710.1, SGUI1_14710.3, SGUI1_14710.2, SGUI1_14710.4, SGUI1_14710.5	SMTH1_16670.1
OG0001208	SGUI1_37960.1	SMTH1_42150.1, SMTH1_42150.2, SMTH1_42150.4, SMTH1_42150.5, SMTH1_42150.6, SMTH1_42150.3
OG0001209	SGUI1_48780.1	SMTH1_54460.1
OG0001210	SGUI1_93460.1	SMTH1_103350.1
OG0001211	SGUI1_17140.1	SMTH1_19420.1
OG0001212	SGUI1_24200.1, SGUI1_24200.2, SGUI1_24200.3	SMTH1_27180.1
OG0001213	SGUI1_6460.2, SGUI1_6460.4	SMTH1_7790.1
OG0001214	SGUI1_28140.1, SGUI1_28140.2, SGUI1_28140.3	SMTH1_31530.1, SMTH1_31530.2, SMTH1_31530.3
OG0001215	SGUI1_64230.1	SMTH1_71010.1, SMTH1_71010.2, SMTH1_71010.3
OG0001217	SGUI1_73320.2, SGUI1_73320.1, SGUI1_73320.3, SGUI1_73320.7, SGUI1_73320.6	SMTH1_81280.3, SMTH1_81280.2, SMTH1_81280.4
OG0001217	SGUI1_73320.5	SMTH1_81280.1
OG0001218	SGUI1_11610.1, SGUI1_11610.2	SMTH1_13990.1, SMTH1_13990.2, SMTH1_13990.3, SMTH1_13990.4
OG0001219	SGUI1_1180.1, SGUI1_1180.3, SGUI1_1180.2, SGUI1_1180.4	SMTH1_1370.1, SMTH1_1370.2, SMTH1_1370.3
OG0001220	SGUI1_95190.1	SMTH1_105270.1, SMTH1_105270.2, SMTH1_105270.3, SMTH1_105270.4, SMTH1_105270.5, SMTH1_105270.6
OG0001221	SGUI1_62910.2, SGUI1_62910.1, SGUI1_62910.3	SMTH1_69540.1
OG0001222	SGUI1_92280.1, SGUI1_92280.3, SGUI1_92280.2, SGUI1_92280.4	SMTH1_101990.1
OG0001223	SGUI1_32500.3, SGUI1_32500.1, SGUI1_32500.2	SMTH1_36350.3, SMTH1_36350.4, SMTH1_36350.2, SMTH1_36350.1
OG0001224	SGUI1_82670.4, SGUI1_82670.6, SGUI1_82670.1, SGUI1_82670.2, SGUI1_82670.5, SGUI1_82670.3	SMTH1_91290.1
OG0001225	SGUI1_59200.1	SMTH1_65360.1
OG0001226	SGUI1_46050.2, SGUI1_46050.4, SGUI1_46050.5, SGUI1_46050.3, SGUI1_46050.1	SMTH1_51420.1, SMTH1_51420.6, SMTH1_51420.3, SMTH1_51420.5, SMTH1_51420.2, SMTH1_51420.4
OG0001227	SGUI1_62340.1	SMTH1_68810.1, SMTH1_68810.2, SMTH1_68810.4, SMTH1_68810.3
OG0001228	SGUI1_44950.1, SGUI1_44950.2	SMTH1_50030.5, SMTH1_50030.2, SMTH1_50030.3, SMTH1_50030.1, SMTH1_50030.4
OG0001229	SGUI1_30290.1	SMTH1_33820.1, SMTH1_33820.2, SMTH1_33820.3, SMTH1_33820.4
OG0001230	SGUI1_16490.3	SMTH1_18650.1
OG0001230	SGUI1_16490.1, SGUI1_16490.2, SGUI1_16490.4, SGUI1_16490.5	SMTH1_18660.1
OG0001231	SGUI1_39440.2, SGUI1_39440.5, SGUI1_39440.1, SGUI1_39440.3, SGUI1_39440.4	SMTH1_43970.1, SMTH1_43970.4, SMTH1_43970.2, SMTH1_43970.3
OG0001232	SGUI1_82340.1	SMTH1_90950.1, SMTH1_90960.1
OG0001233	SGUI1_5550.1, SGUI1_5550.2	SMTH1_6830.1, SMTH1_6830.2
OG0001234	SGUI1_44170.1	SMTH1_49170.1, SMTH1_49170.2, SMTH1_49170.3
OG0001235	SGUI1_28530.1	SMTH1_32000.1
OG0001235	SGUI1_28520.1	SMTH1_31990.1
OG0001236	SGUI1_63890.1	SMTH1_70630.1
OG0001237	SGUI1_26440.1	SMTH1_29480.1
OG0001237	SGUI1_26400.1	SMTH1_29430.1, SMTH1_29430.2, SMTH1_29430.4, SMTH1_29430.3
OG0001238	SGUI1_84240.1	SMTH1_92940.2, SMTH1_92940.5, SMTH1_92940.1, SMTH1_92940.4, SMTH1_92940.3
OG0001239	SGUI1_11630.1	SMTH1_14010.1, SMTH1_14010.2, SMTH1_14010.3, SMTH1_14010.4, SMTH1_14010.5, SMTH1_14010.6
OG0001240	SGUI1_54270.3, SGUI1_54270.1, SGUI1_54270.2, SGUI1_54270.4	SMTH1_60200.1
OG0001241	SGUI1_60090.1	SMTH1_66290.1
OG0001241	SGUI1_74870.1	SMTH1_82900.1
OG0001242	SGUI1_56590.1, SGUI1_56590.2, SGUI1_56590.3	SMTH1_62530.1
OG0001243	SGUI1_6450.7, SGUI1_6450.3, SGUI1_6450.2, SGUI1_6450.5, SGUI1_6450.1, SGUI1_6450.4, SGUI1_6450.6, SGUI1_6450.8	SMTH1_7760.1, SMTH1_7770.1
OG0001244	SGUI1_90030.1	SMTH1_99430.1, SMTH1_99430.3, SMTH1_99430.2
OG0001245	SGUI1_11250.1	SMTH1_13590.1
OG0001246	SGUI1_32890.1	SMTH1_36810.1, SMTH1_36820.1
OG0001247	SGUI1_37140.6, SGUI1_37140.10, SGUI1_37140.8, SGUI1_37140.1, SGUI1_37140.2, SGUI1_37140.9, SGUI1_37140.5, SGUI1_37140.4, SGUI1_37140.7, SGUI1_37140.3	SMTH1_41360.1
OG0001248	SGUI1_5290.1	SMTH1_6470.1, SMTH1_6480.1
OG0001249	SGUI1_35960.2, SGUI1_35960.1, SGUI1_35960.3	SMTH1_39940.1, SMTH1_39940.2
OG0001250	SGUI1_2050.1, SGUI1_2050.2, SGUI1_2050.3	SMTH1_2480.1
OG0001250	SGUI1_2060.1	SMTH1_2490.2, SMTH1_2490.1
OG0001251	SGUI1_77820.1, SGUI1_77820.2	SMTH1_86050.1
OG0001252	SGUI1_52050.1	SMTH1_57860.1, SMTH1_57860.2, SMTH1_57860.3, SMTH1_57860.4
OG0001253	SGUI1_55090.1, SGUI1_55090.2, SGUI1_55090.3	SMTH1_61070.1
OG0001254	SGUI1_32570.1, SGUI1_32570.2	SMTH1_36430.1
OG0001255	SGUI1_28620.1	SMTH1_32120.1, SMTH1_32120.2, SMTH1_32120.4, SMTH1_32120.5, SMTH1_32120.6, SMTH1_32120.3
OG0001256	SGUI1_48360.1	SMTH1_54060.1
OG0001257	SGUI1_26690.2, SGUI1_26690.1, SGUI1_26690.3	SMTH1_29820.7, SMTH1_29820.2, SMTH1_29820.3, SMTH1_29820.5, SMTH1_29820.1, SMTH1_29820.8, SMTH1_29820.9, SMTH1_29820.10, SMTH1_29820.6, SMTH1_29820.4
OG0001258	SGUI1_77170.1	SMTH1_85330.1
OG0001258	SGUI1_77170.1	SMTH1_85330.2
OG0001258	SGUI1_77170.1	SMTH1_85330.4
OG0001259	SGUI1_59960.1	SMTH1_66130.1, SMTH1_66130.2, SMTH1_66130.4, SMTH1_66130.3, SMTH1_66130.5
OG0001260	SGUI1_1440.1, SGUI1_1440.2, SGUI1_1440.3, SGUI1_1440.4	SMTH1_1800.1, SMTH1_1800.3, SMTH1_1800.2
OG0001261	SGUI1_45470.1	SMTH1_50740.1
OG0001262	SGUI1_83210.1	SMTH1_91800.1, SMTH1_91800.2
OG0001263	SGUI1_90160.1, SGUI1_90160.2	SMTH1_99590.1, SMTH1_99590.2
OG0001263	SGUI1_90170.1	SMTH1_99600.1
OG0001264	SGUI1_54090.1	SMTH1_60050.4, SMTH1_60050.5, SMTH1_60050.8, SMTH1_60050.7
OG0001265	SGUI1_61350.1, SGUI1_61350.2, SGUI1_61350.3, SGUI1_61350.4, SGUI1_61350.5, SGUI1_61350.6, SGUI1_61350.7, SGUI1_61350.9, SGUI1_61350.10, SGUI1_61350.8	SMTH1_67730.1, SMTH1_67730.2, SMTH1_67730.3
OG0001266	SGUI1_70840.1	SMTH1_78190.1, SMTH1_78200.1
OG0001267	SGUI1_53370.1	SMTH1_59320.3, SMTH1_59320.2, SMTH1_59320.1
OG0001268	SGUI1_89970.1	SMTH1_99380.1
OG0001268	SGUI1_7410.1, SGUI1_7410.2, SGUI1_7410.3	SMTH1_9010.1, SMTH1_9010.2
OG0001269	SGUI1_23370.1	SMTH1_26250.1
OG0001270	SGUI1_89280.1, SGUI1_89280.2, SGUI1_89280.3, SGUI1_89280.4, SGUI1_89280.5, SGUI1_89280.6	SMTH1_98610.1, SMTH1_98610.2
OG0001271	SGUI1_65440.1, SGUI1_65440.2, SGUI1_65440.3, SGUI1_65440.4, SGUI1_65440.5, SGUI1_65440.6, SGUI1_65440.7	SMTH1_72320.1, SMTH1_72310.1
OG0001272	SGUI1_80730.7, SGUI1_80730.1, SGUI1_80730.2, SGUI1_80730.4, SGUI1_80730.5, SGUI1_80730.3, SGUI1_80730.6, SGUI1_80730.8	SMTH1_89260.1, SMTH1_89260.2, SMTH1_89260.3
OG0001273	SGUI1_74050.4, SGUI1_74050.2, SGUI1_74050.1, SGUI1_74050.3	SMTH1_82060.2, SMTH1_82060.1, SMTH1_82060.3
OG0001274	SGUI1_68800.2, SGUI1_68800.4, SGUI1_68800.3, SGUI1_68800.1	SMTH1_76040.1, SMTH1_76040.2
OG0001275	SGUI1_54620.3, SGUI1_54620.8, SGUI1_54620.1, SGUI1_54620.6, SGUI1_54620.7, SGUI1_54620.4, SGUI1_54620.5	SMTH1_60570.3
OG0001276	SGUI1_64890.1, SGUI1_64890.2, SGUI1_65930.1	SMTH1_71680.1, SMTH1_71680.2, SMTH1_71680.3
OG0001277	SGUI1_3170.1	SMTH1_3780.1
OG0001278	SGUI1_91180.1, SGUI1_91180.2, SGUI1_91180.4, SGUI1_91180.5, SGUI1_91180.3	SMTH1_100800.1, SMTH1_100800.2
OG0001279	SGUI1_34790.4, SGUI1_34790.1, SGUI1_34790.2, SGUI1_34790.3	SMTH1_38810.1, SMTH1_38810.2, SMTH1_38810.3, SMTH1_38810.4, SMTH1_38810.5
OG0001280	SGUI1_51920.1, SGUI1_51920.3, SGUI1_51920.4, SGUI1_51920.5, SGUI1_51920.2	SMTH1_57720.1, SMTH1_57720.2, SMTH1_57720.3, SMTH1_57720.4
OG0001282	SGUI1_95040.1, SGUI1_95040.2, SGUI1_95040.3	SMTH1_105130.2, SMTH1_105130.1, SMTH1_105130.3, SMTH1_105130.4, SMTH1_105130.5, SMTH1_105130.6, SMTH1_105130.7
OG0001283	SGUI1_35400.1, SGUI1_35400.3, SGUI1_35400.2, SGUI1_35400.4, SGUI1_35400.5	SMTH1_39440.1, SMTH1_39440.2
OG0001284	SGUI1_17390.1	SMTH1_19680.1, SMTH1_19680.2
OG0001285	SGUI1_700.1, SGUI1_1120.1, SGUI1_690.1, SGUI1_710.1, SGUI1_720.1	SMTH1_770.1
OG0001286	SGUI1_89420.1	SMTH1_98750.1
OG0001288	SGUI1_94400.3, SGUI1_94400.1, SGUI1_94400.2	SMTH1_104420.1, SMTH1_104420.2, SMTH1_104420.3, SMTH1_104420.4, SMTH1_104420.5, SMTH1_104420.6, SMTH1_104420.7, SMTH1_104420.8
OG0001289	SGUI1_29360.2	SMTH1_32840.7
OG0001289	SGUI1_29360.1	SMTH1_32840.1
OG0001290	SGUI1_4750.1	SMTH1_5720.1
OG0001291	SGUI1_6620.1	SMTH1_7980.1
OG0001292	SGUI1_6720.1, SGUI1_6730.1	SMTH1_8110.1, SMTH1_8110.2
OG0001293	SGUI1_55730.2, SGUI1_55730.3, SGUI1_55730.1, SGUI1_55730.4	SMTH1_61750.1, SMTH1_61770.3, SMTH1_61770.1, SMTH1_61770.2
OG0001294	SGUI1_31980.1, SGUI1_31980.2	SMTH1_35740.1, SMTH1_35730.1
OG0001295	SGUI1_31610.1, SGUI1_31610.2, SGUI1_31610.3	SMTH1_35330.1, SMTH1_35330.2, SMTH1_35330.3
OG0001296	SGUI1_7000.1	SMTH1_8520.3, SMTH1_8520.4, SMTH1_8520.5, SMTH1_8520.2, SMTH1_8520.1, SMTH1_8520.6
OG0001297	SGUI1_13490.6, SGUI1_13490.4, SGUI1_13490.5, SGUI1_13490.2, SGUI1_13490.1, SGUI1_13490.3, SGUI1_13580.1, SGUI1_13560.1	SMTH1_102730.1, SMTH1_15590.1
OG0001298	SGUI1_36140.1	SMTH1_40170.3
OG0001299	SGUI1_32510.2, SGUI1_32510.5, SGUI1_32510.6, SGUI1_32510.4, SGUI1_32510.1, SGUI1_32510.3	SMTH1_36360.1
OG0001300	SGUI1_5690.1, SGUI1_5680.1	SMTH1_6910.1, SMTH1_6910.3, SMTH1_6910.2
OG0001301	SGUI1_54700.2, SGUI1_54700.3, SGUI1_54700.4, SGUI1_54700.1	SMTH1_60640.2, SMTH1_60640.1, SMTH1_60640.3, SMTH1_60640.4
OG0001302	SGUI1_2490.1	SMTH1_2890.1, SMTH1_2870.1
OG0001303	SGUI1_31590.1, SGUI1_31590.2, SGUI1_31590.3, SGUI1_31590.4	SMTH1_35310.3, SMTH1_35310.4, SMTH1_35310.2, SMTH1_35310.1
OG0001304	SGUI1_88950.4, SGUI1_88950.7, SGUI1_88950.5, SGUI1_88950.3, SGUI1_88950.1, SGUI1_88950.2, SGUI1_88950.6	SMTH1_98230.1
OG0001305	SGUI1_1470.1, SGUI1_1470.3, SGUI1_1470.2, SGUI1_1470.4, SGUI1_1470.5, SGUI1_1470.6, SGUI1_1470.7	SMTH1_1830.3, SMTH1_1830.4, SMTH1_1830.1, SMTH1_1830.2
OG0001306	SGUI1_61940.1, SGUI1_61940.2, SGUI1_61940.3, SGUI1_61940.4, SGUI1_61940.5	SMTH1_68420.1, SMTH1_68420.2
OG0001307	SGUI1_81830.1	SMTH1_90420.1
OG0001308	SGUI1_95150.1	SMTH1_105230.1, SMTH1_105230.2
OG0001309	SGUI1_74360.1, SGUI1_74360.3, SGUI1_74360.2	SMTH1_82420.1
OG0001310	SGUI1_27200.1	SMTH1_30410.1
OG0001311	SGUI1_44160.1	SMTH1_49160.3, SMTH1_49160.5, SMTH1_49160.1, SMTH1_49160.2, SMTH1_49160.6, SMTH1_49160.4
OG0001312	SGUI1_31350.1	SMTH1_35060.2, SMTH1_35060.1, SMTH1_35060.4, SMTH1_35060.3
OG0001313	SGUI1_41800.3, SGUI1_41800.1, SGUI1_41800.2	SMTH1_46630.3, SMTH1_46630.1, SMTH1_46630.2
OG0001315	SGUI1_31300.1	SMTH1_35020.1
OG0001316	SGUI1_34910.1	SMTH1_38930.1
OG0001317	SGUI1_14620.1, SGUI1_14620.2	SMTH1_16590.2, SMTH1_16590.3, SMTH1_16590.4, SMTH1_16590.5
OG0001317	SGUI1_14620.3, SGUI1_14620.4	SMTH1_16590.1
OG0001319	SGUI1_39500.1	SMTH1_44010.1
OG0001320	SGUI1_63920.1	SMTH1_70660.1
OG0001321	SGUI1_19520.1, SGUI1_19520.2	SMTH1_23470.1, SMTH1_23460.1
OG0001322	SGUI1_47720.3, SGUI1_47720.5	SMTH1_53260.1
OG0001323	SGUI1_900.1, SGUI1_900.3, SGUI1_900.2	SMTH1_1060.1, SMTH1_1060.2
OG0001324	SGUI1_87240.1, SGUI1_87240.2	SMTH1_96350.3, SMTH1_96350.4
OG0001325	SGUI1_96480.1, SGUI1_96480.2	SMTH1_106810.1
OG0001326	SGUI1_53960.1	SMTH1_59880.1, SMTH1_59880.2, SMTH1_59880.3
OG0001327	SGUI1_91450.1	SMTH1_101090.1
OG0001328	SGUI1_4350.1	SMTH1_5180.1
OG0001329	SGUI1_6000.1	SMTH1_7230.1, SMTH1_7230.2, SMTH1_7230.3, SMTH1_7230.4, SMTH1_7230.6, SMTH1_7230.7, SMTH1_7230.5
OG0001330	SGUI1_30750.5, SGUI1_30750.1, SGUI1_30750.2, SGUI1_30750.3, SGUI1_30750.4, SGUI1_30750.6	SMTH1_34390.1, SMTH1_34390.2, SMTH1_34390.3, SMTH1_34390.4
OG0001331	SGUI1_48170.4, SGUI1_48170.3, SGUI1_48170.1, SGUI1_48170.2, SGUI1_48170.5	SMTH1_53810.2, SMTH1_53810.1, SMTH1_53810.3
OG0001332	SGUI1_59640.1	SMTH1_65750.1
OG0001332	SGUI1_72300.1, SGUI1_72300.2	SMTH1_80120.2, SMTH1_80120.1
OG0001333	SGUI1_64660.1	SMTH1_71450.3, SMTH1_71450.2, SMTH1_71450.1
OG0001334	SGUI1_1510.1	SMTH1_1880.2, SMTH1_1880.1, SMTH1_1880.3, SMTH1_1880.4, SMTH1_1880.5, SMTH1_1880.6
OG0001335	SGUI1_30610.1	SMTH1_34230.1, SMTH1_34230.2
OG0001336	SGUI1_46290.1, SGUI1_46290.2	SMTH1_51660.1, SMTH1_51660.2
OG0001337	SGUI1_54070.1	SMTH1_60030.1, SMTH1_60030.2, SMTH1_60030.4, SMTH1_60030.3
OG0001338	SGUI1_37000.1	SMTH1_41210.1
OG0001339	SGUI1_10390.1	SMTH1_12560.1, SMTH1_12570.1
OG0001340	SGUI1_8800.1	SMTH1_10730.1
OG0001341	SGUI1_77360.4, SGUI1_77360.2, SGUI1_77360.3	SMTH1_85520.1, SMTH1_85520.2, SMTH1_85520.3
OG0001342	SGUI1_52620.1, SGUI1_52620.2	SMTH1_58470.4, SMTH1_58470.2, SMTH1_58470.5, SMTH1_58470.3, SMTH1_58470.1
OG0001344	SGUI1_77420.1, SGUI1_77420.3, SGUI1_77420.2	SMTH1_85650.1, SMTH1_85640.1
OG0001345	SGUI1_42370.2, SGUI1_42370.1, SGUI1_42370.4, SGUI1_42370.5, SGUI1_42370.3	SMTH1_47180.1
OG0001346	SGUI1_14360.1	SMTH1_16350.1, SMTH1_16350.2, SMTH1_16340.1, SMTH1_16330.1
OG0001347	SGUI1_33680.1, SGUI1_33680.2	SMTH1_37660.1
OG0001348	SGUI1_35820.1	SMTH1_39810.1, SMTH1_39810.2, SMTH1_39810.3
OG0001349	SGUI1_14940.1	SMTH1_16960.1, SMTH1_16970.1, SMTH1_16950.1
OG0001350	SGUI1_30970.1	SMTH1_34650.1, SMTH1_34660.1
OG0001351	SGUI1_23400.2	SMTH1_26220.2
OG0001351	SGUI1_23400.3	SMTH1_26220.1
OG0001352	SGUI1_23550.1, SGUI1_23550.4, SGUI1_23550.2, SGUI1_23550.3, SGUI1_23550.5, SGUI1_23550.6	SMTH1_26480.2, SMTH1_26480.6, SMTH1_26480.7
OG0001353	SGUI1_63100.1	SMTH1_69730.1
OG0001354	SGUI1_65050.1, SGUI1_65050.2	SMTH1_71850.1, SMTH1_71850.3, SMTH1_71850.2, SMTH1_71850.5, SMTH1_71850.4, SMTH1_71850.6
OG0001355	SGUI1_60020.2, SGUI1_60020.1, SGUI1_60020.3	SMTH1_66200.1
OG0001356	SGUI1_72500.2, SGUI1_72500.4, SGUI1_72500.1, SGUI1_72500.3	SMTH1_80390.1
OG0001357	SGUI1_39380.5, SGUI1_39380.6, SGUI1_39380.4, SGUI1_39380.1, SGUI1_39380.2, SGUI1_39380.3, SGUI1_39380.7	SMTH1_43890.1, SMTH1_43890.2, SMTH1_43890.3
OG0001358	SGUI1_89010.2, SGUI1_89010.1, SGUI1_89010.4, SGUI1_89010.3, SGUI1_89010.5	SMTH1_98310.1
OG0001359	SGUI1_73130.1	SMTH1_81060.1, SMTH1_81060.2, SMTH1_81060.3, SMTH1_81060.4
OG0001361	SGUI1_28240.2, SGUI1_28240.4, SGUI1_28240.1, SGUI1_28240.3	SMTH1_31650.1, SMTH1_31650.2
OG0001363	SGUI1_95220.1	SMTH1_105300.1
OG0001365	SGUI1_78470.1	SMTH1_86760.1, SMTH1_86760.2
OG0001366	SGUI1_53500.1	SMTH1_59440.4, SMTH1_59440.7, SMTH1_59440.6, SMTH1_59440.2, SMTH1_59440.1
OG0001367	SGUI1_95740.1, SGUI1_95740.2, SGUI1_95740.3	SMTH1_105900.1
OG0001368	SGUI1_17580.2, SGUI1_17580.1	SMTH1_19890.4, SMTH1_19890.2, SMTH1_19890.3, SMTH1_19890.5, SMTH1_19890.1
OG0001369	SGUI1_89670.1	SMTH1_99050.1, SMTH1_99050.4, SMTH1_99050.2, SMTH1_99050.3
OG0001370	SGUI1_58850.2, SGUI1_58850.1, SGUI1_58850.3, SGUI1_58850.4, SGUI1_58850.5, SGUI1_58850.6	SMTH1_65000.1, SMTH1_65000.2, SMTH1_65000.3, SMTH1_65000.4, SMTH1_65000.5
OG0001371	SGUI1_36320.1	SMTH1_40320.1
OG0001372	SGUI1_37040.1, SGUI1_37040.2	SMTH1_41260.1
OG0001373	SGUI1_2460.2	SMTH1_2840.1, SMTH1_2840.3
OG0001374	SGUI1_61260.1, SGUI1_61260.2, SGUI1_61260.3, SGUI1_61260.4	SMTH1_67630.1
OG0001375	SGUI1_77710.1, SGUI1_77710.3, SGUI1_77710.2, SGUI1_77710.4, SGUI1_77710.5	SMTH1_85960.1, SMTH1_85960.2, SMTH1_85960.3, SMTH1_85960.4
OG0001376	SGUI1_87370.1	SMTH1_96490.1, SMTH1_96490.2
OG0001376	SGUI1_67120.1	SMTH1_100180.1
OG0001377	SGUI1_62600.3	SMTH1_69140.1
OG0001378	SGUI1_3260.1, SGUI1_3260.2, SGUI1_3260.3, SGUI1_3260.4, SGUI1_3260.5, SGUI1_3260.6	SMTH1_3850.3, SMTH1_3850.4, SMTH1_3850.5, SMTH1_3850.1, SMTH1_3850.2
OG0001379	SGUI1_70430.1, SGUI1_70430.2, SGUI1_70430.4, SGUI1_70430.5, SGUI1_70430.3	SMTH1_77700.1, SMTH1_77690.1
OG0001380	SGUI1_59720.1, SGUI1_59720.2	SMTH1_65820.3, SMTH1_65820.1, SMTH1_65820.2
OG0001381	SGUI1_73580.3, SGUI1_73580.2, SGUI1_73580.5, SGUI1_73580.4, SGUI1_73580.1	SMTH1_81550.1
OG0001382	SGUI1_26450.5, SGUI1_26450.6, SGUI1_26450.3, SGUI1_26450.1, SGUI1_26450.2, SGUI1_26450.4	SMTH1_29490.4, SMTH1_29490.1, SMTH1_29490.2, SMTH1_29490.3
