Orthogroup	schistosoma_guineensis	fasciola_gigantica
OG0000997	SGUI1_89190.6, SGUI1_89190.3, SGUI1_89190.1, SGUI1_89190.2, SGUI1_89190.4, SGUI1_89190.5, SGUI1_89190.7, SGUI1_89190.8, SGUI1_89190.9	FGIG_10470
OG0000998	SGUI1_55980.1	FGIG_10771
OG0001009	SGUI1_88380.7, SGUI1_88380.5, SGUI1_88380.6, SGUI1_88380.2, SGUI1_88380.3, SGUI1_88380.1, SGUI1_88380.4	FGIG_10563
OG0001010	SGUI1_60710.1, SGUI1_60710.2, SGUI1_60710.4, SGUI1_60710.5, SGUI1_60710.6, SGUI1_60710.3, SGUI1_60710.7	FGIG_00263
OG0001011	SGUI1_39640.1	FGIG_00583
OG0001012	SGUI1_4850.1	FGIG_00716, FGIG_12423
OG0001013	SGUI1_13210.1	FGIG_00937
OG0001014	SGUI1_3990.1, SGUI1_3990.2, SGUI1_3990.3, SGUI1_3990.5, SGUI1_3990.4	FGIG_01167
OG0001015	SGUI1_38200.1, SGUI1_38220.1, SGUI1_38250.1, SGUI1_38240.1	FGIG_01288
OG0001016	SGUI1_37560.1	FGIG_01491
OG0001017	SGUI1_15250.1	FGIG_01516, FGIG_01517
OG0001018	SGUI1_29470.2, SGUI1_29470.3, SGUI1_29470.1, SGUI1_29470.4, SGUI1_29470.5	FGIG_02109
OG0001019	SGUI1_42210.1	FGIG_02200
OG0001020	SGUI1_10040.1	FGIG_02310
OG0001021	SGUI1_29250.1	FGIG_02501
OG0001022	SGUI1_19720.1	FGIG_02913, FGIG_08770, FGIG_08768
OG0001023	SGUI1_63470.1, SGUI1_63470.2, SGUI1_63470.3	FGIG_03103
OG0001024	SGUI1_78720.1, SGUI1_78720.4, SGUI1_78720.5, SGUI1_78720.7, SGUI1_78720.2, SGUI1_78720.3, SGUI1_78720.6, SGUI1_78720.8, SGUI1_78720.9	FGIG_03356
OG0001025	SGUI1_88800.1	FGIG_12668, FGIG_03893, FGIG_10500
OG0001026	SGUI1_49670.1, SGUI1_49670.2, SGUI1_49670.4, SGUI1_49670.6, SGUI1_49670.5, SGUI1_49670.3	FGIG_03951
OG0001027	SGUI1_960.1	FGIG_04042
OG0001028	SGUI1_55870.2, SGUI1_55870.1, SGUI1_55870.3, SGUI1_55870.4	FGIG_04078
OG0001029	SGUI1_49860.1, SGUI1_49860.2, SGUI1_49860.3, SGUI1_49860.4, SGUI1_49860.5	FGIG_04129, FGIG_04130
OG0001030	SGUI1_28540.1	FGIG_04177
OG0001031	SGUI1_70910.1	FGIG_04662
OG0001032	SGUI1_64920.1, SGUI1_64920.2, SGUI1_64920.4, SGUI1_64920.3, SGUI1_64920.5, SGUI1_64920.6	FGIG_04868
OG0001033	SGUI1_72390.1, SGUI1_72390.10, SGUI1_72390.11, SGUI1_72390.2, SGUI1_72390.5, SGUI1_72390.7, SGUI1_72390.8, SGUI1_72390.9, SGUI1_72390.3, SGUI1_72390.4, SGUI1_72390.6	FGIG_04915, FGIG_04916
OG0001034	SGUI1_54280.1, SGUI1_54290.1	FGIG_05173
OG0001035	SGUI1_54840.1	FGIG_05181, FGIG_11101
OG0001036	SGUI1_17050.1, SGUI1_16970.7	FGIG_05654
OG0001037	SGUI1_19680.5, SGUI1_19680.2, SGUI1_19680.4, SGUI1_19680.6, SGUI1_19680.1, SGUI1_19680.3	FGIG_07174, FGIG_05783
OG0001038	SGUI1_1530.1	FGIG_05873
OG0001039	SGUI1_27080.1, SGUI1_27080.2, SGUI1_27080.3, SGUI1_27080.4, SGUI1_27080.5	FGIG_06217, FGIG_05903
OG0001040	SGUI1_81480.1	FGIG_06139
OG0001041	SGUI1_94590.3, SGUI1_94590.2, SGUI1_94590.1	FGIG_06435
OG0001042	SGUI1_10980.1	FGIG_08094, FGIG_08095
OG0001043	SGUI1_48390.2, SGUI1_48390.1, SGUI1_48390.3, SGUI1_48390.4	FGIG_06983, FGIG_06984
OG0001044	SGUI1_67840.1, SGUI1_67840.8, SGUI1_67840.7, SGUI1_67840.4, SGUI1_67840.6, SGUI1_67840.2, SGUI1_67840.3, SGUI1_67840.5	FGIG_07014
OG0001045	SGUI1_67360.4, SGUI1_67360.3, SGUI1_67360.1, SGUI1_67360.2	FGIG_07163
OG0001046	SGUI1_51150.3, SGUI1_51150.1, SGUI1_51150.2, SGUI1_51150.5, SGUI1_51150.6, SGUI1_51150.4	FGIG_08519, FGIG_11328
OG0001047	SGUI1_96080.1, SGUI1_96080.2, SGUI1_96080.3	FGIG_08858
OG0001048	SGUI1_78640.1	FGIG_08890
OG0001049	SGUI1_55490.1, SGUI1_55490.2	FGIG_08971
OG0001050	SGUI1_62720.3, SGUI1_62720.2, SGUI1_62720.4, SGUI1_62720.1, SGUI1_62720.5	FGIG_09019
OG0001051	SGUI1_88230.3, SGUI1_88230.1, SGUI1_88230.10, SGUI1_88230.11, SGUI1_88230.12, SGUI1_88230.2, SGUI1_88230.4, SGUI1_88230.5, SGUI1_88230.6, SGUI1_88230.7, SGUI1_88230.8, SGUI1_88230.9	FGIG_09084
OG0001052	SGUI1_55460.2, SGUI1_55460.1	FGIG_09153
OG0001053	SGUI1_63900.1	FGIG_09535
OG0001054	SGUI1_10730.1	FGIG_10019
OG0001055	SGUI1_38620.2, SGUI1_38620.4, SGUI1_38620.3, SGUI1_38620.6, SGUI1_38620.1, SGUI1_38620.5, SGUI1_38620.7	FGIG_10263
OG0001056	SGUI1_58320.1, SGUI1_58320.4, SGUI1_58320.9, SGUI1_58320.5, SGUI1_58320.6, SGUI1_58320.7, SGUI1_58320.8, SGUI1_58320.3, SGUI1_58320.2	FGIG_10435
OG0001057	SGUI1_88070.1, SGUI1_88070.2	FGIG_10952
OG0001058	SGUI1_61330.1	FGIG_11110, FGIG_11111
OG0001059	SGUI1_16600.1	FGIG_11177
OG0001060	SGUI1_64260.4, SGUI1_64260.2, SGUI1_64260.3, SGUI1_64260.1, SGUI1_64260.5	FGIG_11797, FGIG_11343, FGIG_11342
OG0001068	SGUI1_76300.1	FGIG_00040
OG0001070	SGUI1_63540.1	FGIG_03027
OG0001070	SGUI1_76740.1	FGIG_00667
OG0001071	SGUI1_65560.3, SGUI1_65560.4, SGUI1_65560.1, SGUI1_65560.2	FGIG_07533, FGIG_00739
OG0001072	SGUI1_42250.2, SGUI1_42250.3, SGUI1_42250.1, SGUI1_42250.4, SGUI1_42250.5	FGIG_01150
OG0001073	SGUI1_16430.1	FGIG_01202, FGIG_01203
OG0001074	SGUI1_27250.1	FGIG_01210
OG0001075	SGUI1_62320.1	FGIG_01512
OG0001076	SGUI1_46350.1, SGUI1_46350.2, SGUI1_46350.3, SGUI1_46350.4	FGIG_01548
OG0001077	SGUI1_50230.1	FGIG_01785, FGIG_06860
OG0001078	SGUI1_61700.1	FGIG_01797, FGIG_12525
OG0001079	SGUI1_75780.1	FGIG_04699
OG0001080	SGUI1_74120.2, SGUI1_74120.1, SGUI1_74120.3, SGUI1_74120.4	FGIG_02556
OG0001081	SGUI1_33730.1, SGUI1_33730.2	FGIG_03048
OG0001082	SGUI1_48700.1, SGUI1_48700.3, SGUI1_48700.2, SGUI1_48700.4	FGIG_03102
OG0001083	SGUI1_94740.4, SGUI1_94740.3, SGUI1_94740.1, SGUI1_94740.2	FGIG_03601
OG0001084	SGUI1_20020.1	FGIG_03671
OG0001086	SGUI1_72080.1	FGIG_03975, FGIG_03974
OG0001087	SGUI1_51440.1	FGIG_06664
OG0001087	SGUI1_36250.1	FGIG_04176
OG0001088	SGUI1_24320.1, SGUI1_24320.3, SGUI1_24320.5, SGUI1_24320.2, SGUI1_24320.4	FGIG_04337
OG0001089	SGUI1_65540.1	FGIG_04339
OG0001090	SGUI1_96390.1, SGUI1_96390.2, SGUI1_96390.3, SGUI1_96390.4	FGIG_04584
OG0001091	SGUI1_48590.1, SGUI1_48590.2	FGIG_04846
OG0001092	SGUI1_70070.1, SGUI1_70070.4, SGUI1_70070.2, SGUI1_70070.3	FGIG_05033
OG0001093	SGUI1_81940.2, SGUI1_81940.3, SGUI1_81940.1, SGUI1_81940.5, SGUI1_81940.4	FGIG_05118, FGIG_08573
OG0001094	SGUI1_36550.1	FGIG_10015, FGIG_05520
OG0001095	SGUI1_51080.1, SGUI1_51080.2, SGUI1_51080.3, SGUI1_51080.4	FGIG_05851
OG0001096	SGUI1_19060.2, SGUI1_19060.4, SGUI1_19060.3, SGUI1_19060.7, SGUI1_19060.1, SGUI1_19060.8, SGUI1_19060.5, SGUI1_19060.6	FGIG_06037
OG0001097	SGUI1_69680.1	FGIG_11329, FGIG_06852, FGIG_06111
OG0001098	SGUI1_31710.6, SGUI1_31710.1, SGUI1_31710.2, SGUI1_31710.4, SGUI1_31710.5, SGUI1_31710.7, SGUI1_31710.3	FGIG_06590
OG0001099	SGUI1_92720.1	FGIG_09675
OG0001099	SGUI1_92710.1, SGUI1_92710.2	FGIG_06592, FGIG_11369
OG0001100	SGUI1_68380.1, SGUI1_68380.2, SGUI1_68380.3	FGIG_10246, FGIG_06668
OG0001101	SGUI1_45800.1	FGIG_06746, FGIG_09913
OG0001102	SGUI1_62880.3, SGUI1_62880.1, SGUI1_62880.2, SGUI1_62880.4, SGUI1_62880.5	FGIG_06752
OG0001103	SGUI1_94610.1, SGUI1_94610.2, SGUI1_94610.3, SGUI1_94610.4	FGIG_06925
OG0001104	SGUI1_62850.6, SGUI1_62850.7, SGUI1_62850.2, SGUI1_62850.3, SGUI1_62850.4, SGUI1_62850.1, SGUI1_62850.5	FGIG_07204, FGIG_07205
OG0001105	SGUI1_31800.1	FGIG_07324
OG0001106	SGUI1_68850.2, SGUI1_68850.1, SGUI1_68850.3, SGUI1_68850.4, SGUI1_68850.5, SGUI1_68850.6, SGUI1_68850.7	FGIG_07485
OG0001107	SGUI1_51580.1	FGIG_07647
OG0001108	SGUI1_28280.1	FGIG_08427
OG0001109	SGUI1_33820.1, SGUI1_33790.1, SGUI1_33800.1, SGUI1_33800.9, SGUI1_33800.11, SGUI1_33800.5, SGUI1_33800.10, SGUI1_33800.4, SGUI1_33800.6, SGUI1_33800.7, SGUI1_33800.3, SGUI1_33800.8, SGUI1_33800.2	FGIG_08484, FGIG_08485
OG0001110	SGUI1_3910.1	FGIG_09011
OG0001111	SGUI1_49050.1, SGUI1_49050.4, SGUI1_49050.3, SGUI1_49050.7, SGUI1_49050.9, SGUI1_49050.2, SGUI1_49050.5, SGUI1_49050.6, SGUI1_49050.8, SGUI1_49050.10	FGIG_09579, FGIG_09578
OG0001112	SGUI1_95850.2, SGUI1_95850.1, SGUI1_95830.1, SGUI1_95840.1	FGIG_09596
OG0001113	SGUI1_7290.1, SGUI1_7290.2	FGIG_09744
OG0001114	SGUI1_6310.6, SGUI1_6310.3, SGUI1_6310.2, SGUI1_6310.4, SGUI1_6310.5, SGUI1_6310.1	FGIG_09856
OG0001115	SGUI1_94700.4, SGUI1_94700.5, SGUI1_94700.1, SGUI1_94700.3, SGUI1_94700.2	FGIG_10139
OG0001116	SGUI1_81450.1	FGIG_11923, FGIG_10461
OG0001117	SGUI1_14920.1, SGUI1_14920.2	FGIG_10571
OG0001118	SGUI1_71710.1, SGUI1_71700.1	FGIG_11081
OG0001119	SGUI1_65520.3, SGUI1_65520.1, SGUI1_65520.2	FGIG_11555
OG0001120	SGUI1_31380.1	FGIG_11558
OG0001121	SGUI1_56980.1	FGIG_11654
OG0001122	SGUI1_79880.1, SGUI1_79880.2, SGUI1_79880.3	FGIG_12006
OG0001123	SGUI1_90880.1, SGUI1_90880.2	FGIG_12321
OG0001124	SGUI1_37790.3, SGUI1_37790.4, SGUI1_37790.1, SGUI1_37790.2	FGIG_12395
OG0001125	SGUI1_13150.1, SGUI1_13190.1	FGIG_12588
OG0001129	SGUI1_37470.1	FGIG_00014, FGIG_00015
OG0001130	SGUI1_11090.1, SGUI1_11090.2	FGIG_00274
OG0001131	SGUI1_74290.1, SGUI1_74280.1	FGIG_01558, FGIG_00298, FGIG_09149
OG0001132	SGUI1_83650.1	FGIG_00496, FGIG_00497
OG0001133	SGUI1_15620.1	FGIG_02833, FGIG_00526
OG0001134	SGUI1_65710.1, SGUI1_65710.2, SGUI1_65710.3, SGUI1_65710.4	FGIG_12437, FGIG_00591
OG0001135	SGUI1_34260.1	FGIG_02017, FGIG_00617, FGIG_07747, FGIG_02078
OG0001136	SGUI1_96770.1, SGUI1_23330.1	FGIG_00645, FGIG_03058, FGIG_03059
OG0001137	SGUI1_53700.1, SGUI1_53700.2, SGUI1_53700.4, SGUI1_53700.3, SGUI1_53700.5	FGIG_00823, FGIG_00821
OG0001138	SGUI1_20180.2, SGUI1_20180.3, SGUI1_20180.4, SGUI1_20180.6, SGUI1_20180.1, SGUI1_20180.5	FGIG_01503
OG0001139	SGUI1_37200.2, SGUI1_37200.3, SGUI1_37200.5, SGUI1_37200.4, SGUI1_37200.1	FGIG_01506
OG0001140	SGUI1_46280.1, SGUI1_46280.2	FGIG_01543
OG0001141	SGUI1_80290.1, SGUI1_80300.1, SGUI1_80280.1	FGIG_01893, FGIG_01892
OG0001142	SGUI1_12150.1, SGUI1_12150.2	FGIG_02001, FGIG_02003
OG0001143	SGUI1_63210.1	FGIG_02060
OG0001144	SGUI1_36030.2, SGUI1_36030.4, SGUI1_36030.5, SGUI1_36030.6, SGUI1_36030.7, SGUI1_36030.3, SGUI1_36030.1	FGIG_02616, FGIG_03492
OG0001145	SGUI1_65890.7, SGUI1_65890.2, SGUI1_65890.3, SGUI1_65890.1, SGUI1_65890.4, SGUI1_65890.5, SGUI1_65890.6	FGIG_02867
OG0001146	SGUI1_4250.1	FGIG_03198
OG0001147	SGUI1_7190.1	FGIG_04109, FGIG_03472
OG0001148	SGUI1_70950.2, SGUI1_70950.1, SGUI1_70950.8, SGUI1_70950.4, SGUI1_70950.6, SGUI1_70950.7, SGUI1_70950.5, SGUI1_70950.3	FGIG_03714
OG0001149	SGUI1_78650.1	FGIG_03749
OG0001150	SGUI1_52170.1, SGUI1_52170.2	FGIG_03772
OG0001151	SGUI1_90180.3, SGUI1_90180.4, SGUI1_90180.2, SGUI1_90180.1	FGIG_04134, FGIG_04135
OG0001152	SGUI1_11930.1	FGIG_04580, FGIG_07119
OG0001153	SGUI1_69480.2, SGUI1_69480.1	FGIG_04681
OG0001154	SGUI1_43950.1	FGIG_04952
OG0001155	SGUI1_48460.4, SGUI1_48460.6, SGUI1_48460.1, SGUI1_48460.2, SGUI1_48460.3, SGUI1_48460.5, SGUI1_48460.7, SGUI1_48460.8	FGIG_05185, FGIG_05184
OG0001156	SGUI1_97080.1, SGUI1_97080.2, SGUI1_97080.3, SGUI1_97100.1, SGUI1_97090.1, SGUI1_7130.1	FGIG_05213
OG0001157	SGUI1_63240.1	FGIG_05241
OG0001158	SGUI1_42390.5, SGUI1_42390.2, SGUI1_42390.3, SGUI1_42390.1, SGUI1_42390.4	FGIG_05413
OG0001159	SGUI1_92530.1, SGUI1_92530.3, SGUI1_92530.5, SGUI1_92530.6, SGUI1_92530.7, SGUI1_92530.2, SGUI1_92530.4	FGIG_05437
OG0001160	SGUI1_19460.1, SGUI1_19460.4, SGUI1_19460.2, SGUI1_19460.3	FGIG_05512
OG0001161	SGUI1_68840.1, SGUI1_66030.1	FGIG_05665, FGIG_05664
OG0001162	SGUI1_35590.1	FGIG_05816
OG0001163	SGUI1_77630.1	FGIG_06050, FGIG_06049
OG0001164	SGUI1_82300.1	FGIG_06154
OG0001165	SGUI1_58060.1	FGIG_06975
OG0001166	SGUI1_10170.2, SGUI1_10170.3, SGUI1_10170.4, SGUI1_10170.1, SGUI1_10170.5	FGIG_07145
OG0001167	SGUI1_35580.1	FGIG_07296
OG0001168	SGUI1_11740.5, SGUI1_11740.1, SGUI1_11740.2, SGUI1_11740.3, SGUI1_11740.4	FGIG_07458, FGIG_07459
OG0001169	SGUI1_50260.1, SGUI1_50260.2, SGUI1_50260.3, SGUI1_50260.6, SGUI1_50260.5, SGUI1_50260.4	FGIG_07667
OG0001170	SGUI1_10500.1, SGUI1_10490.1	FGIG_07739
OG0001171	SGUI1_15200.1	FGIG_07821
OG0001172	SGUI1_60930.3, SGUI1_60930.4, SGUI1_60930.2, SGUI1_60930.1	FGIG_08034
OG0001173	SGUI1_1750.2, SGUI1_1750.1	FGIG_08233
OG0001174	SGUI1_9050.1	FGIG_08325
OG0001175	SGUI1_52250.1, SGUI1_52250.2, SGUI1_52250.4, SGUI1_52250.3	FGIG_08343
OG0001176	SGUI1_73720.1	FGIG_08377
OG0001177	SGUI1_24540.1, SGUI1_24540.2, SGUI1_24540.3	FGIG_08477
OG0001178	SGUI1_2620.1, SGUI1_2610.1	FGIG_08746
OG0001179	SGUI1_93620.1, SGUI1_93620.2, SGUI1_93620.3, SGUI1_93620.6, SGUI1_93620.5, SGUI1_93620.4	FGIG_08962
OG0001180	SGUI1_8710.5, SGUI1_8710.2, SGUI1_8710.3, SGUI1_8710.1, SGUI1_8710.4	FGIG_09159, FGIG_11284
OG0001181	SGUI1_58100.1	FGIG_09440
OG0001182	SGUI1_35850.1	FGIG_09577, FGIG_12267
OG0001183	SGUI1_10200.1, SGUI1_10200.2, SGUI1_10200.6, SGUI1_10200.3, SGUI1_10200.5, SGUI1_10200.4	FGIG_09838
OG0001184	SGUI1_3530.1, SGUI1_3530.2, SGUI1_3530.3	FGIG_09947
OG0001185	SGUI1_9880.1	FGIG_10786
OG0001186	SGUI1_4670.1, SGUI1_4670.10, SGUI1_4670.3, SGUI1_4670.5, SGUI1_4670.6, SGUI1_4670.7, SGUI1_4670.8, SGUI1_4670.9, SGUI1_4670.2, SGUI1_4670.4	FGIG_10879
OG0001187	SGUI1_31090.1	FGIG_11096
OG0001188	SGUI1_7400.1	FGIG_11471
OG0001189	SGUI1_14100.1, SGUI1_14100.5, SGUI1_14100.3, SGUI1_14100.4, SGUI1_14100.7, SGUI1_14100.2, SGUI1_14100.6	FGIG_12652, FGIG_11638
OG0001190	SGUI1_36060.1, SGUI1_36060.2	FGIG_11792
OG0001191	SGUI1_6630.1	FGIG_11901
OG0001192	SGUI1_42760.2, SGUI1_42760.3, SGUI1_42760.1	FGIG_12164, FGIG_12599
OG0001193	SGUI1_83160.1	FGIG_12177
OG0001194	SGUI1_6140.1	FGIG_12597
OG0001202	SGUI1_12770.1, SGUI1_12740.1	FGIG_00092, FGIG_00091, FGIG_00090
OG0001203	SGUI1_1340.1	FGIG_00255
OG0001203	SGUI1_82410.1	FGIG_01145
OG0001204	SGUI1_66970.2, SGUI1_66970.3, SGUI1_66970.4, SGUI1_66970.1	FGIG_00416
OG0001205	SGUI1_36270.1	FGIG_00431, FGIG_00433
OG0001206	SGUI1_96170.1, SGUI1_16260.1, SGUI1_19980.1, SGUI1_78670.1	FGIG_00521
OG0001207	SGUI1_14710.1, SGUI1_14710.3, SGUI1_14710.2, SGUI1_14710.4, SGUI1_14710.5	FGIG_00624
OG0001208	SGUI1_37960.1	FGIG_00768, FGIG_10999, FGIG_08146
OG0001209	SGUI1_48780.1	FGIG_00773
OG0001210	SGUI1_93460.1	FGIG_00783
OG0001211	SGUI1_17140.1	FGIG_00866
OG0001212	SGUI1_24200.1, SGUI1_24200.2, SGUI1_24200.3	FGIG_00887, FGIG_00886
OG0001213	SGUI1_6460.2, SGUI1_6460.4, SGUI1_6460.1, SGUI1_6460.3	FGIG_00940
OG0001214	SGUI1_28140.1, SGUI1_28140.2, SGUI1_28140.3	FGIG_00963
OG0001215	SGUI1_64230.1	FGIG_00989
OG0001216	SGUI1_26480.1	FGIG_01139
OG0001217	SGUI1_73320.2, SGUI1_73320.1, SGUI1_73320.3, SGUI1_73320.7, SGUI1_73320.6, SGUI1_73320.4, SGUI1_73320.5	FGIG_01201, FGIG_09525
OG0001218	SGUI1_11610.1, SGUI1_11610.2	FGIG_01297
OG0001219	SGUI1_1180.1, SGUI1_1180.3, SGUI1_1180.2, SGUI1_1180.4	FGIG_01301
OG0001220	SGUI1_95190.1	FGIG_01568
OG0001221	SGUI1_62910.4, SGUI1_62910.2, SGUI1_62910.1, SGUI1_62910.3	FGIG_01627
OG0001222	SGUI1_92280.1, SGUI1_92280.3, SGUI1_92280.2, SGUI1_92280.4	FGIG_01806
OG0001223	SGUI1_32500.3, SGUI1_32500.1, SGUI1_32500.2	FGIG_12507, FGIG_01808
OG0001224	SGUI1_82670.4, SGUI1_82670.6, SGUI1_82670.1, SGUI1_82670.2, SGUI1_82670.5, SGUI1_82670.3	FGIG_11675, FGIG_01980, FGIG_11674
OG0001225	SGUI1_59200.1	FGIG_11699, FGIG_02205
OG0001226	SGUI1_46050.2, SGUI1_46050.4, SGUI1_46050.5, SGUI1_46050.3, SGUI1_46050.1	FGIG_02402, FGIG_02403
OG0001227	SGUI1_62340.1	FGIG_02427, FGIG_10207
OG0001228	SGUI1_44950.1, SGUI1_44950.2	FGIG_04742, FGIG_05551, FGIG_02693, FGIG_12115, FGIG_02692
OG0001229	SGUI1_30290.1	FGIG_02875
OG0001230	SGUI1_16490.6, SGUI1_16490.3, SGUI1_16490.1, SGUI1_16490.2, SGUI1_16490.4, SGUI1_16490.5	FGIG_02882
OG0001231	SGUI1_39440.2, SGUI1_39440.5, SGUI1_39440.1, SGUI1_39440.3, SGUI1_39440.4	FGIG_02962
OG0001232	SGUI1_82340.1, SGUI1_82330.1	FGIG_03290, FGIG_10388
OG0001233	SGUI1_5550.1, SGUI1_5550.2	FGIG_03583
OG0001234	SGUI1_44170.1	FGIG_03890
OG0001235	SGUI1_28530.1, SGUI1_28520.1	FGIG_05015, FGIG_04167
OG0001236	SGUI1_63890.1	FGIG_04255, FGIG_04254
OG0001237	SGUI1_26440.1, SGUI1_26400.1	FGIG_04341
OG0001238	SGUI1_84240.1	FGIG_04821, FGIG_10088
OG0001239	SGUI1_11630.1	FGIG_04854
OG0001240	SGUI1_54270.3, SGUI1_54270.1, SGUI1_54270.2, SGUI1_54270.4	FGIG_05002
OG0001241	SGUI1_60090.1	FGIG_05887
OG0001241	SGUI1_74870.1	FGIG_05099
OG0001242	SGUI1_56590.1, SGUI1_56590.2, SGUI1_56590.3	FGIG_05100, FGIG_11527, FGIG_06927, FGIG_10131, FGIG_10130
OG0001243	SGUI1_6450.7, SGUI1_6450.3, SGUI1_6450.2, SGUI1_6450.5, SGUI1_6450.1, SGUI1_6450.4, SGUI1_6450.6, SGUI1_6450.8	FGIG_08567, FGIG_05341
OG0001244	SGUI1_90030.1	FGIG_05347
OG0001245	SGUI1_11250.1	FGIG_05932
OG0001246	SGUI1_32890.1	FGIG_06383
OG0001247	SGUI1_37140.6, SGUI1_37140.10, SGUI1_37140.8, SGUI1_37140.1, SGUI1_37140.2, SGUI1_37140.9, SGUI1_37140.5, SGUI1_37140.4, SGUI1_37140.7, SGUI1_37140.3	FGIG_06416
OG0001248	SGUI1_3360.1, SGUI1_96950.1, SGUI1_5290.1	FGIG_06917
OG0001249	SGUI1_35960.2, SGUI1_35960.1, SGUI1_35960.3	FGIG_06968
OG0001250	SGUI1_2050.1, SGUI1_2050.2, SGUI1_2050.3, SGUI1_2060.1	FGIG_06989
OG0001251	SGUI1_77820.1, SGUI1_77820.2	FGIG_07285
OG0001252	SGUI1_52050.1	FGIG_07384
OG0001253	SGUI1_55090.1, SGUI1_55090.2, SGUI1_55090.3	FGIG_07753, FGIG_07752
OG0001254	SGUI1_32560.3, SGUI1_32560.1, SGUI1_32560.4, SGUI1_32560.2, SGUI1_32570.1, SGUI1_32570.2	FGIG_12494, FGIG_07899, FGIG_07901
OG0001255	SGUI1_28620.1	FGIG_07955
OG0001256	SGUI1_48360.1	FGIG_10216, FGIG_08072, FGIG_08073
OG0001257	SGUI1_26690.2, SGUI1_26690.1, SGUI1_26690.3	FGIG_10494, FGIG_08198
OG0001258	SGUI1_77170.1	FGIG_08259
OG0001259	SGUI1_59960.1	FGIG_08281
OG0001260	SGUI1_1440.1, SGUI1_1440.2, SGUI1_1440.3, SGUI1_1440.4	FGIG_08501, FGIG_08502
OG0001261	SGUI1_45470.1	FGIG_08782
OG0001262	SGUI1_83210.1	FGIG_08945
OG0001263	SGUI1_90160.1, SGUI1_90160.2, SGUI1_90170.1	FGIG_09513
OG0001264	SGUI1_54090.1	FGIG_09786
OG0001265	SGUI1_61350.1, SGUI1_61350.2, SGUI1_61350.3, SGUI1_61350.4, SGUI1_61350.5, SGUI1_61350.6, SGUI1_61350.7, SGUI1_61350.9, SGUI1_61350.10, SGUI1_61350.8	FGIG_09796
OG0001266	SGUI1_70840.1	FGIG_09988
OG0001267	SGUI1_53370.1	FGIG_10603
OG0001268	SGUI1_7410.1, SGUI1_7410.2, SGUI1_7410.3	FGIG_11001, FGIG_10608
OG0001269	SGUI1_23370.1	FGIG_10908
OG0001270	SGUI1_89280.1, SGUI1_89280.2, SGUI1_89280.3, SGUI1_89280.4, SGUI1_89280.5, SGUI1_89280.6	FGIG_10957
OG0001271	SGUI1_65440.1, SGUI1_65440.2, SGUI1_65440.3, SGUI1_65440.4, SGUI1_65440.5, SGUI1_65440.6, SGUI1_65440.7	FGIG_11008, FGIG_12544
OG0001272	SGUI1_80730.7, SGUI1_80730.1, SGUI1_80730.2, SGUI1_80730.4, SGUI1_80730.5, SGUI1_80730.3, SGUI1_80730.6, SGUI1_80730.8	FGIG_11520, FGIG_12609, FGIG_11091
OG0001273	SGUI1_74050.4, SGUI1_74050.2, SGUI1_74050.1, SGUI1_74050.3	FGIG_11191
OG0001274	SGUI1_68800.2, SGUI1_68800.4, SGUI1_68800.3, SGUI1_68800.1	FGIG_11229, FGIG_11228
OG0001275	SGUI1_54620.3, SGUI1_54620.8, SGUI1_54620.1, SGUI1_54620.6, SGUI1_54620.7, SGUI1_54620.4, SGUI1_54620.5, SGUI1_54620.2	FGIG_11389, FGIG_11949
OG0001276	SGUI1_64890.1, SGUI1_64890.2, SGUI1_65930.1	FGIG_11574
OG0001277	SGUI1_3170.1	FGIG_11601, FGIG_12005
OG0001278	SGUI1_91180.1, SGUI1_91180.2, SGUI1_91180.4, SGUI1_91180.5, SGUI1_91180.3	FGIG_11618
OG0001279	SGUI1_34790.4, SGUI1_34790.1, SGUI1_34790.2, SGUI1_34790.3	FGIG_12224, FGIG_12521
OG0001288	SGUI1_94400.3, SGUI1_94400.1, SGUI1_94400.2	FGIG_00192
OG0001289	SGUI1_29360.2, SGUI1_29360.1	FGIG_00210
OG0001290	SGUI1_4750.2, SGUI1_4750.1	FGIG_07230, FGIG_00515
OG0001291	SGUI1_6620.1	FGIG_00674
OG0001292	SGUI1_6720.1, SGUI1_6730.1	FGIG_00943
OG0001293	SGUI1_55730.2, SGUI1_55730.3, SGUI1_55730.1, SGUI1_55730.4	FGIG_01034, FGIG_10755
OG0001294	SGUI1_31980.1, SGUI1_31980.2	FGIG_01093
OG0001295	SGUI1_31610.1, SGUI1_31610.2, SGUI1_31610.3	FGIG_01383
OG0001296	SGUI1_7000.1	FGIG_01523
OG0001297	SGUI1_13490.6, SGUI1_13490.4, SGUI1_13490.5, SGUI1_13490.2, SGUI1_13490.1, SGUI1_13490.3, SGUI1_13580.1, SGUI1_13560.1	FGIG_01649
OG0001298	SGUI1_36140.1	FGIG_10329, FGIG_01668
OG0001299	SGUI1_32510.2, SGUI1_32510.5, SGUI1_32510.6, SGUI1_32510.4, SGUI1_32510.1, SGUI1_32510.3	FGIG_01809
OG0001300	SGUI1_5690.1, SGUI1_5680.1	FGIG_01863, FGIG_01865, FGIG_01864
OG0001301	SGUI1_54700.2, SGUI1_54700.3, SGUI1_54700.4, SGUI1_54700.1	FGIG_02298
OG0001302	SGUI1_2490.1	FGIG_02339, FGIG_12266
