Orthogroup	schistosoma_guineensis	trichobilharzia_regenti
OG0001040	SGUI1_81480.1	TREG1_113230.1
OG0001041	SGUI1_94590.3, SGUI1_94590.2, SGUI1_94590.1	TREG1_133070.1, TREG1_133070.2
OG0001042	SGUI1_10980.1	TREG1_15200.1, TREG1_15200.2
OG0001043	SGUI1_48390.2, SGUI1_48390.1, SGUI1_48390.3, SGUI1_48390.4	TREG1_68290.2, TREG1_68290.1, TREG1_68290.3, TREG1_68290.5, TREG1_68290.4
OG0001044	SGUI1_67840.1, SGUI1_67840.8, SGUI1_67840.7, SGUI1_67840.4, SGUI1_67840.6, SGUI1_67840.2, SGUI1_67840.3, SGUI1_67840.5	TREG1_91350.5, TREG1_91350.1, TREG1_91350.2, TREG1_91350.3, TREG1_91350.4
OG0001045	SGUI1_67360.4, SGUI1_67360.3, SGUI1_67360.1, SGUI1_67360.2	TREG1_82360.1
OG0001047	SGUI1_96080.1, SGUI1_96080.2, SGUI1_96080.3	TREG1_135400.1, TREG1_135390.1
OG0001048	SGUI1_78640.1	TREG1_102260.1
OG0001049	SGUI1_55490.1, SGUI1_55490.2	TREG1_70420.3, TREG1_70420.1, TREG1_70420.2
OG0001050	SGUI1_62720.3, SGUI1_62720.2, SGUI1_62720.4, SGUI1_62720.1, SGUI1_62720.5	TREG1_83100.2, TREG1_83100.1, TREG1_83100.3
OG0001051	SGUI1_88230.3, SGUI1_88230.1, SGUI1_88230.10, SGUI1_88230.11, SGUI1_88230.12, SGUI1_88230.2, SGUI1_88230.4, SGUI1_88230.5, SGUI1_88230.6, SGUI1_88230.7, SGUI1_88230.8, SGUI1_88230.9	TREG1_121140.1
OG0001052	SGUI1_55460.2	TREG1_70330.2, TREG1_70330.5, TREG1_70330.4, TREG1_70330.3
OG0001052	SGUI1_55460.1	TREG1_70330.1
OG0001054	SGUI1_10730.1	TREG1_26940.1, TREG1_26980.1
OG0001055	SGUI1_38620.2, SGUI1_38620.4, SGUI1_38620.3, SGUI1_38620.6, SGUI1_38620.1, SGUI1_38620.5, SGUI1_38620.7	TREG1_37090.3, TREG1_37090.6, TREG1_37090.4, TREG1_37090.1, TREG1_37090.2, TREG1_37090.5, TREG1_37090.7
OG0001056	SGUI1_58320.1, SGUI1_58320.4, SGUI1_58320.9, SGUI1_58320.5, SGUI1_58320.6, SGUI1_58320.7, SGUI1_58320.8, SGUI1_58320.3, SGUI1_58320.2	TREG1_79250.1
OG0001057	SGUI1_88070.1, SGUI1_88070.2	TREG1_120900.1, TREG1_120900.2
OG0001058	SGUI1_61330.1	TREG1_12600.1, TREG1_83760.1, TREG1_48610.1, TREG1_83770.1
OG0001059	SGUI1_16600.1	TREG1_9070.1, TREG1_9070.2
OG0001060	SGUI1_64260.4, SGUI1_64260.2, SGUI1_64260.3, SGUI1_64260.1, SGUI1_64260.5	TREG1_83300.1
OG0001061	SGUI1_10190.1	TREG1_25500.1
OG0001062	SGUI1_48930.1, SGUI1_48930.6, SGUI1_48930.2, SGUI1_48930.3, SGUI1_48930.4, SGUI1_48930.5	TREG1_65060.1, TREG1_119680.1, TREG1_64140.3, TREG1_64140.1, TREG1_64140.2
OG0001063	SGUI1_85010.1, SGUI1_85000.2, SGUI1_85000.1, SGUI1_85000.3	TREG1_110080.1
OG0001064	SGUI1_47740.1, SGUI1_47740.2, SGUI1_47740.3	TREG1_69110.1, TREG1_69110.2, TREG1_69110.3, TREG1_69110.4, TREG1_69110.5, TREG1_69110.6, TREG1_69110.7, TREG1_69060.3, TREG1_69060.1, TREG1_69060.2, TREG1_69060.4, TREG1_69070.1, TREG1_23680.1, TREG1_23630.1, TREG1_23630.2, TREG1_138280.1, TREG1_20610.1, TREG1_23620.1, TREG1_23640.1, TREG1_23660.1, TREG1_23670.1
OG0001065	SGUI1_28770.1, SGUI1_28780.1, SGUI1_28790.1	TREG1_46240.1, TREG1_46240.3, TREG1_46240.2
OG0001066	SGUI1_9320.1	TREG1_1730.1, TREG1_1740.1
OG0001068	SGUI1_76300.1	TREG1_99190.1
OG0001070	SGUI1_63540.1	TREG1_80530.1
OG0001070	SGUI1_76740.1	TREG1_105380.4
OG0001071	SGUI1_65560.3, SGUI1_65560.4, SGUI1_65560.1, SGUI1_65560.2	TREG1_88700.1, TREG1_88700.2
OG0001072	SGUI1_42250.2, SGUI1_42250.3, SGUI1_42250.1, SGUI1_42250.4, SGUI1_42250.5	TREG1_56030.1
OG0001073	SGUI1_16430.1	TREG1_29800.1
OG0001074	SGUI1_27250.1	TREG1_60050.1, TREG1_60050.2
OG0001075	SGUI1_62320.1	TREG1_82090.2, TREG1_82090.1, TREG1_82090.12, TREG1_82090.11, TREG1_82090.5, TREG1_82090.6, TREG1_82090.7, TREG1_82090.8, TREG1_82090.9, TREG1_82090.3, TREG1_82090.4, TREG1_82090.10
OG0001076	SGUI1_46350.1, SGUI1_46350.2, SGUI1_46350.3, SGUI1_46350.4	TREG1_62270.1
OG0001077	SGUI1_50230.1	TREG1_65410.1
OG0001078	SGUI1_61700.1	TREG1_84960.1
OG0001079	SGUI1_75780.1	TREG1_103020.1
OG0001080	SGUI1_74120.2, SGUI1_74120.1, SGUI1_74120.3, SGUI1_74120.4	TREG1_106740.1
OG0001081	SGUI1_33730.1, SGUI1_33730.2	TREG1_53460.4
OG0001082	SGUI1_48700.1, SGUI1_48700.3, SGUI1_48700.2, SGUI1_48700.4	TREG1_72570.3, TREG1_72570.1, TREG1_72570.2
OG0001083	SGUI1_94740.4, SGUI1_94740.3, SGUI1_94740.1, SGUI1_94740.2	TREG1_136330.3, TREG1_136330.1, TREG1_136340.1, TREG1_136330.2
OG0001084	SGUI1_20020.1	TREG1_21450.1, TREG1_21450.2
OG0001085	SGUI1_95660.1, SGUI1_95660.2	TREG1_135810.1, TREG1_139790.1
OG0001086	SGUI1_72080.1	TREG1_96010.1, TREG1_96010.2, TREG1_96010.3, TREG1_96010.4
OG0001087	SGUI1_51440.1	TREG1_64260.1
OG0001087	SGUI1_36250.1	TREG1_51960.1
OG0001088	SGUI1_24320.1, SGUI1_24320.3, SGUI1_24320.5, SGUI1_24320.2, SGUI1_24320.4	TREG1_58700.1
OG0001089	SGUI1_65540.1	TREG1_82500.1, TREG1_82500.3, TREG1_82500.2
OG0001090	SGUI1_96390.1, SGUI1_96390.2, SGUI1_96390.3, SGUI1_96390.4	TREG1_135250.1, TREG1_135240.1, TREG1_135270.1
OG0001091	SGUI1_48590.1, SGUI1_48590.2	TREG1_69250.1, TREG1_69250.2, TREG1_69250.3, TREG1_69250.4, TREG1_69250.5, TREG1_69250.6
OG0001092	SGUI1_70070.1, SGUI1_70070.4, SGUI1_70070.2, SGUI1_70070.3	TREG1_95880.1
OG0001093	SGUI1_81940.2, SGUI1_81940.3, SGUI1_81940.1, SGUI1_81940.5, SGUI1_81940.4	TREG1_111270.1
OG0001094	SGUI1_36550.1	TREG1_56920.5, TREG1_56920.1, TREG1_56920.4, TREG1_56920.2, TREG1_56920.3
OG0001095	SGUI1_51080.1, SGUI1_51080.2, SGUI1_51080.3, SGUI1_51080.4	TREG1_67810.2, TREG1_67810.4, TREG1_67810.5, TREG1_67810.1, TREG1_67810.6, TREG1_67810.3
OG0001096	SGUI1_19060.2, SGUI1_19060.4, SGUI1_19060.3, SGUI1_19060.7, SGUI1_19060.1, SGUI1_19060.8, SGUI1_19060.5, SGUI1_19060.6	TREG1_24560.1, TREG1_24570.1
OG0001097	SGUI1_69680.1	TREG1_94470.1
OG0001098	SGUI1_31710.6, SGUI1_31710.1, SGUI1_31710.2, SGUI1_31710.4, SGUI1_31710.5, SGUI1_31710.7, SGUI1_31710.3	TREG1_41910.1, TREG1_41910.2, TREG1_41910.3, TREG1_41910.4, TREG1_41910.5, TREG1_41910.6
OG0001099	SGUI1_92720.1	TREG1_127880.1, TREG1_127880.2
OG0001099	SGUI1_92710.1, SGUI1_92710.2	TREG1_127890.2, TREG1_127890.3, TREG1_127890.4, TREG1_127890.1
OG0001100	SGUI1_68380.1, SGUI1_68380.2, SGUI1_68380.3	TREG1_93210.1, TREG1_93210.2, TREG1_93210.3
OG0001101	SGUI1_45800.1	TREG1_82630.1, TREG1_82660.1, TREG1_82660.3, TREG1_82660.2, TREG1_82660.4, TREG1_63120.1
OG0001102	SGUI1_62880.5	TREG1_83600.1
OG0001103	SGUI1_94610.1, SGUI1_94610.2, SGUI1_94610.3, SGUI1_94610.4	TREG1_134180.1, TREG1_134190.1
OG0001104	SGUI1_62850.6, SGUI1_62850.7, SGUI1_62850.2, SGUI1_62850.3, SGUI1_62850.4, SGUI1_62850.1, SGUI1_62850.5	TREG1_83700.1
OG0001105	SGUI1_31800.1	TREG1_54940.1
OG0001106	SGUI1_68850.2, SGUI1_68850.1, SGUI1_68850.3, SGUI1_68850.4, SGUI1_68850.5, SGUI1_68850.6, SGUI1_68850.7	TREG1_89860.2, TREG1_89860.4, TREG1_89860.5, TREG1_89860.1, TREG1_89860.3
OG0001107	SGUI1_51580.1	TREG1_64470.1
OG0001108	SGUI1_28280.1	TREG1_48260.1
OG0001109	SGUI1_33820.1, SGUI1_33790.1, SGUI1_33800.1, SGUI1_33800.9, SGUI1_33800.11, SGUI1_33800.5, SGUI1_33800.10, SGUI1_33800.4, SGUI1_33800.6, SGUI1_33800.7, SGUI1_33800.3, SGUI1_33800.8, SGUI1_33800.2	TREG1_53550.1, TREG1_53570.1
OG0001110	SGUI1_3910.1	TREG1_890.3, TREG1_890.1, TREG1_890.2
OG0001111	SGUI1_49050.1, SGUI1_49050.4, SGUI1_49050.3, SGUI1_49050.7, SGUI1_49050.9, SGUI1_49050.2, SGUI1_49050.5, SGUI1_49050.6, SGUI1_49050.8, SGUI1_49050.10	TREG1_71890.1
OG0001112	SGUI1_95850.2, SGUI1_95850.1	TREG1_135700.1
OG0001112	SGUI1_95830.1, SGUI1_95840.1	TREG1_135710.1
OG0001113	SGUI1_7290.1, SGUI1_7290.2	TREG1_3420.1, TREG1_3420.4, TREG1_3420.2, TREG1_3420.3
OG0001114	SGUI1_6310.6, SGUI1_6310.3, SGUI1_6310.2, SGUI1_6310.4, SGUI1_6310.5, SGUI1_6310.1	TREG1_9600.1
OG0001115	SGUI1_94700.4, SGUI1_94700.5, SGUI1_94700.1, SGUI1_94700.3, SGUI1_94700.2	TREG1_136270.1
OG0001116	SGUI1_81450.1	TREG1_113170.8, TREG1_113170.6, TREG1_113170.5, TREG1_113170.7, TREG1_113170.2, TREG1_113170.4, TREG1_113170.1, TREG1_113170.3
OG0001117	SGUI1_14920.1, SGUI1_14920.2	TREG1_20120.2, TREG1_20120.3, TREG1_20120.4, TREG1_20120.1, TREG1_20120.5
OG0001118	SGUI1_71710.1, SGUI1_71700.1	TREG1_103660.1, TREG1_103660.3, TREG1_103660.2, TREG1_103690.1, TREG1_103700.1
OG0001119	SGUI1_65520.3, SGUI1_65520.1, SGUI1_65520.2	TREG1_82470.1, TREG1_82470.2
OG0001120	SGUI1_31380.1	TREG1_46930.1, TREG1_46930.2, TREG1_46930.3, TREG1_46930.4
OG0001121	SGUI1_56980.1	TREG1_76930.3, TREG1_76930.5, TREG1_76930.1, TREG1_76930.4, TREG1_76930.2
OG0001122	SGUI1_79880.1, SGUI1_79880.2, SGUI1_79880.3	TREG1_109460.1
OG0001123	SGUI1_90880.1, SGUI1_90880.2	TREG1_120690.2, TREG1_120690.3, TREG1_120690.4, TREG1_120690.6, TREG1_120690.7, TREG1_120690.5, TREG1_120690.1
OG0001124	SGUI1_37790.3, SGUI1_37790.4, SGUI1_37790.1, SGUI1_37790.2	TREG1_32890.1
OG0001125	SGUI1_13150.1, SGUI1_13190.1	TREG1_23400.1
OG0001127	SGUI1_40100.1, SGUI1_40100.3, SGUI1_40100.4, SGUI1_40100.5, SGUI1_40100.6, SGUI1_40100.7, SGUI1_40100.2	TREG1_40790.1, TREG1_40790.2
OG0001128	SGUI1_76590.13, SGUI1_76590.7, SGUI1_76590.12, SGUI1_76590.5, SGUI1_76590.8, SGUI1_76590.11, SGUI1_76590.1, SGUI1_76590.4, SGUI1_76590.2, SGUI1_76590.10, SGUI1_76590.6, SGUI1_76590.9, SGUI1_76590.3	TREG1_105190.1
OG0001129	SGUI1_37470.1	TREG1_39910.1
OG0001130	SGUI1_11090.1, SGUI1_11090.2	TREG1_15900.1, TREG1_15910.1
OG0001131	SGUI1_74290.1	TREG1_97100.1
OG0001131	SGUI1_74280.1	TREG1_143210.1, TREG1_143200.1, TREG1_143220.1, TREG1_143230.1, TREG1_143240.1, TREG1_97060.1, TREG1_97080.1, TREG1_97070.1
OG0001132	SGUI1_83650.1	TREG1_115320.2, TREG1_115320.3, TREG1_115320.4, TREG1_115320.1
OG0001133	SGUI1_96400.1	TREG1_25860.1
OG0001133	SGUI1_15620.1	TREG1_20470.1
OG0001134	SGUI1_65710.1, SGUI1_65710.2, SGUI1_65710.3, SGUI1_65710.4	TREG1_87810.1
OG0001135	SGUI1_34260.1	TREG1_50400.4, TREG1_50400.2, TREG1_50400.1, TREG1_50400.3
OG0001136	SGUI1_96770.1, SGUI1_23330.1	TREG1_59980.1, TREG1_59980.2, TREG1_59980.3, TREG1_59990.1
OG0001137	SGUI1_53700.1, SGUI1_53700.2, SGUI1_53700.4, SGUI1_53700.3, SGUI1_53700.5	TREG1_139860.1, TREG1_139860.2
OG0001138	SGUI1_20180.2, SGUI1_20180.3, SGUI1_20180.4, SGUI1_20180.6, SGUI1_20180.1, SGUI1_20180.5	TREG1_21460.1, TREG1_21460.3, TREG1_21460.2
OG0001139	SGUI1_37200.2, SGUI1_37200.3, SGUI1_37200.5, SGUI1_37200.4, SGUI1_37200.1	TREG1_112020.1, TREG1_47470.2, TREG1_47470.3, TREG1_47470.1
OG0001140	SGUI1_46280.1, SGUI1_46280.2	TREG1_62220.4, TREG1_62220.5, TREG1_62220.6, TREG1_62210.1, TREG1_62220.1, TREG1_62220.2, TREG1_62220.3
OG0001141	SGUI1_80290.1, SGUI1_80300.1, SGUI1_80280.1	TREG1_97590.1, TREG1_97590.2
OG0001142	SGUI1_12150.1, SGUI1_12150.2	TREG1_10750.2, TREG1_10750.1, TREG1_10750.3
OG0001143	SGUI1_63210.1	TREG1_86480.1
OG0001144	SGUI1_36030.2, SGUI1_36030.4, SGUI1_36030.5, SGUI1_36030.6, SGUI1_36030.7, SGUI1_36030.3, SGUI1_36030.1	TREG1_44420.6, TREG1_44420.7, TREG1_44430.1, TREG1_44430.3, TREG1_44430.4, TREG1_44430.5, TREG1_44430.2, TREG1_44420.2, TREG1_44420.5, TREG1_44420.4, TREG1_44420.1, TREG1_44420.3
OG0001145	SGUI1_65890.7, SGUI1_65890.2, SGUI1_65890.3, SGUI1_65890.1, SGUI1_65890.4, SGUI1_65890.5, SGUI1_65890.6	TREG1_88010.1
OG0001146	SGUI1_4250.1	TREG1_12690.10, TREG1_12690.1, TREG1_12690.2, TREG1_12690.6, TREG1_12690.8, TREG1_12690.9, TREG1_12690.3, TREG1_12690.7, TREG1_12690.4, TREG1_12690.5
OG0001147	SGUI1_7190.1	TREG1_19510.1, TREG1_19520.1, TREG1_19520.4, TREG1_19520.5, TREG1_19520.8, TREG1_19520.2, TREG1_19520.3, TREG1_19520.6, TREG1_19520.7
OG0001148	SGUI1_70950.2, SGUI1_70950.1, SGUI1_70950.8, SGUI1_70950.4, SGUI1_70950.6, SGUI1_70950.7, SGUI1_70950.5, SGUI1_70950.3	TREG1_103130.3, TREG1_103130.5, TREG1_103130.1, TREG1_103130.2, TREG1_103130.4, TREG1_103130.6
OG0001149	SGUI1_78650.1	TREG1_98130.3, TREG1_98130.1, TREG1_98130.2
OG0001150	SGUI1_52170.1, SGUI1_52170.2	TREG1_66690.1, TREG1_66690.2, TREG1_66690.3, TREG1_66690.4
OG0001151	SGUI1_90180.3, SGUI1_90180.4, SGUI1_90180.2, SGUI1_90180.1	TREG1_127740.1, TREG1_127750.1, TREG1_127860.1, TREG1_127860.2, TREG1_127860.3
OG0001152	SGUI1_11930.1	TREG1_29990.1, TREG1_30000.1
OG0001153	SGUI1_69480.2, SGUI1_69480.1	TREG1_94260.1, TREG1_94260.2
OG0001154	SGUI1_43950.1	TREG1_40680.3, TREG1_40680.4, TREG1_40680.2, TREG1_40680.1
OG0001155	SGUI1_48460.4, SGUI1_48460.6, SGUI1_48460.1, SGUI1_48460.2, SGUI1_48460.3, SGUI1_48460.5, SGUI1_48460.7, SGUI1_48460.8	TREG1_68260.1, TREG1_68260.2
OG0001156	SGUI1_97080.1, SGUI1_97080.2, SGUI1_97080.3, SGUI1_97100.1, SGUI1_97090.1, SGUI1_7130.1	TREG1_19570.1
OG0001157	SGUI1_63240.1	TREG1_88480.1
OG0001158	SGUI1_42390.5, SGUI1_42390.2, SGUI1_42390.3, SGUI1_42390.1, SGUI1_42390.4	TREG1_55850.1, TREG1_55850.2
OG0001159	SGUI1_92530.1, SGUI1_92530.3, SGUI1_92530.5, SGUI1_92530.6, SGUI1_92530.7, SGUI1_92530.2, SGUI1_92530.4	TREG1_128050.1, TREG1_128050.2
OG0001160	SGUI1_19460.1, SGUI1_19460.4, SGUI1_19460.2, SGUI1_19460.3	TREG1_23610.3, TREG1_23610.1, TREG1_23610.2
OG0001161	SGUI1_68840.1	TREG1_83180.1
OG0001161	SGUI1_66030.1	TREG1_88120.1, TREG1_88120.2
OG0001162	SGUI1_35590.1	TREG1_44070.1
OG0001163	SGUI1_77630.1	TREG1_60640.1, TREG1_60660.1, TREG1_60690.1, TREG1_60700.1, TREG1_60650.1, TREG1_60730.1, TREG1_60740.1, TREG1_100430.1, TREG1_100430.2, TREG1_100430.3
OG0001164	SGUI1_82300.1	TREG1_113370.12, TREG1_113370.16, TREG1_113370.1, TREG1_113370.14, TREG1_113370.11, TREG1_113370.17, TREG1_113370.3, TREG1_113370.15, TREG1_113370.6, TREG1_113370.4, TREG1_113370.7, TREG1_113370.10, TREG1_113370.13, TREG1_113370.8, TREG1_113370.9, TREG1_113370.2, TREG1_113370.5
OG0001165	SGUI1_58060.1	TREG1_77970.1, TREG1_77970.2
OG0001166	SGUI1_10170.2, SGUI1_10170.3, SGUI1_10170.4, SGUI1_10170.1, SGUI1_10170.5	TREG1_6260.1, TREG1_63960.1, TREG1_68490.1
OG0001167	SGUI1_35580.1	TREG1_52580.1, TREG1_52570.1
OG0001168	SGUI1_11740.5, SGUI1_11740.1, SGUI1_11740.2, SGUI1_11740.3, SGUI1_11740.4	TREG1_7970.1
OG0001169	SGUI1_50260.1, SGUI1_50260.2, SGUI1_50260.3, SGUI1_50260.6, SGUI1_50260.5, SGUI1_50260.4	TREG1_67900.1, TREG1_67900.2
OG0001170	SGUI1_10500.1, SGUI1_10490.1	TREG1_26830.1
OG0001171	SGUI1_15200.1	TREG1_27790.3, TREG1_27790.4, TREG1_27790.1, TREG1_27790.2
OG0001172	SGUI1_60930.3, SGUI1_60930.4, SGUI1_60930.2, SGUI1_60930.1	TREG1_85400.1, TREG1_85400.2, TREG1_85400.4, TREG1_85400.3, TREG1_85400.5
OG0001173	SGUI1_1750.2, SGUI1_1750.1	TREG1_9990.1, TREG1_9990.2, TREG1_9990.3, TREG1_9990.4, TREG1_9990.5, TREG1_9990.6, TREG1_9990.7, TREG1_9990.8
OG0001174	SGUI1_9050.1	TREG1_5920.10, TREG1_5920.8, TREG1_5920.1, TREG1_5920.2, TREG1_5920.7, TREG1_5920.9, TREG1_5920.3, TREG1_5920.4, TREG1_5920.5, TREG1_5920.6
OG0001175	SGUI1_52250.1, SGUI1_52250.2, SGUI1_52250.4, SGUI1_52250.3	TREG1_66790.1
OG0001176	SGUI1_73720.1	TREG1_107700.1, TREG1_107700.2, TREG1_107700.3, TREG1_107700.4
OG0001177	SGUI1_24540.1, SGUI1_24540.2, SGUI1_24540.3	TREG1_54580.11, TREG1_54580.10, TREG1_54580.4, TREG1_54580.6, TREG1_54580.7, TREG1_54580.8, TREG1_54580.9, TREG1_54580.1, TREG1_54580.3, TREG1_54580.5, TREG1_54580.2
OG0001178	SGUI1_2620.1	TREG1_12900.1
OG0001178	SGUI1_2610.1	TREG1_12890.1, TREG1_12890.4, TREG1_12890.2, TREG1_12890.3
OG0001179	SGUI1_93620.1, SGUI1_93620.2, SGUI1_93620.3, SGUI1_93620.6, SGUI1_93620.5, SGUI1_93620.4	TREG1_130470.1
OG0001180	SGUI1_8710.5, SGUI1_8710.2, SGUI1_8710.3, SGUI1_8710.1, SGUI1_8710.4	TREG1_12050.1
OG0001181	SGUI1_58100.1	TREG1_136840.1
OG0001182	SGUI1_35850.1	TREG1_44230.3, TREG1_44230.1, TREG1_44230.2
OG0001183	SGUI1_10200.1, SGUI1_10200.2, SGUI1_10200.6, SGUI1_10200.3, SGUI1_10200.5, SGUI1_10200.4	TREG1_6270.1
OG0001184	SGUI1_3530.1, SGUI1_3530.2, SGUI1_3530.3	TREG1_28640.1, TREG1_28640.2, TREG1_28640.4, TREG1_28640.3
OG0001185	SGUI1_9880.1	TREG1_6240.1
OG0001186	SGUI1_4670.1, SGUI1_4670.10, SGUI1_4670.3, SGUI1_4670.5, SGUI1_4670.6, SGUI1_4670.7, SGUI1_4670.8, SGUI1_4670.9, SGUI1_4670.2, SGUI1_4670.4	TREG1_7670.1
OG0001187	SGUI1_31090.1	TREG1_44100.1
OG0001188	SGUI1_7400.1	TREG1_4220.1, TREG1_4220.2, TREG1_4220.3, TREG1_4220.4
OG0001189	SGUI1_14100.1, SGUI1_14100.5, SGUI1_14100.3, SGUI1_14100.4, SGUI1_14100.7, SGUI1_14100.2, SGUI1_14100.6	TREG1_24740.3, TREG1_24740.1, TREG1_24740.2, TREG1_24740.4
OG0001190	SGUI1_36060.1, SGUI1_36060.2	TREG1_44460.4, TREG1_44460.9, TREG1_44460.5, TREG1_44460.6, TREG1_44460.7, TREG1_44460.8, TREG1_44460.1, TREG1_44460.2, TREG1_44460.3
OG0001191	SGUI1_6630.1	TREG1_137560.1, TREG1_25140.4, TREG1_25140.3, TREG1_25140.1, TREG1_25140.2, TREG1_137570.1
OG0001192	SGUI1_42760.2, SGUI1_42760.3, SGUI1_42760.1	TREG1_42320.1
OG0001193	SGUI1_83160.1	TREG1_117400.1
OG0001194	SGUI1_6140.1	TREG1_20460.1
OG0001197	SGUI1_21650.1, SGUI1_21650.2	TREG1_23910.1, TREG1_23910.2, TREG1_23910.3
OG0001198	SGUI1_82880.3, SGUI1_82880.4, SGUI1_82880.1, SGUI1_82880.2	TREG1_138850.1, TREG1_138850.2
OG0001199	SGUI1_80240.1, SGUI1_80510.1, SGUI1_80520.1	TREG1_97400.1
OG0001202	SGUI1_12770.1, SGUI1_12740.1	TREG1_15110.1, TREG1_15110.2
OG0001203	SGUI1_1340.1	TREG1_12810.1, TREG1_12810.2
OG0001203	SGUI1_82410.1	TREG1_112200.1, TREG1_112200.2
OG0001204	SGUI1_66970.2, SGUI1_66970.3, SGUI1_66970.4, SGUI1_66970.1	TREG1_89640.1
OG0001205	SGUI1_36270.1	TREG1_58370.1, TREG1_58380.1
OG0001208	SGUI1_37960.1	TREG1_46000.1
OG0001209	SGUI1_48780.1	TREG1_70980.2, TREG1_70980.1, TREG1_70980.3
OG0001210	SGUI1_93460.1	TREG1_133420.1, TREG1_133420.2, TREG1_133420.3
OG0001211	SGUI1_17140.1	TREG1_13510.1
OG0001212	SGUI1_24200.1, SGUI1_24200.2, SGUI1_24200.3	TREG1_33310.1, TREG1_33310.2, TREG1_33310.3, TREG1_33410.1
OG0001213	SGUI1_6460.2, SGUI1_6460.4, SGUI1_6460.1, SGUI1_6460.3	TREG1_7480.1
OG0001214	SGUI1_28140.1, SGUI1_28140.2, SGUI1_28140.3	TREG1_48360.1, TREG1_48360.2, TREG1_48360.3, TREG1_48360.4, TREG1_48360.5
OG0001215	SGUI1_64230.1	TREG1_83220.1
OG0001216	SGUI1_26480.1	TREG1_59680.1, TREG1_59680.2, TREG1_59680.3, TREG1_59680.4
OG0001217	SGUI1_73320.2, SGUI1_73320.1, SGUI1_73320.3, SGUI1_73320.7, SGUI1_73320.6, SGUI1_73320.4, SGUI1_73320.5	TREG1_96240.1, TREG1_96240.2, TREG1_96240.3
OG0001218	SGUI1_11610.1, SGUI1_11610.2	TREG1_25740.1, TREG1_25740.2
OG0001219	SGUI1_1180.1, SGUI1_1180.3, SGUI1_1180.2, SGUI1_1180.4	TREG1_360.2, TREG1_360.1, TREG1_360.4, TREG1_360.3
OG0001220	SGUI1_95190.1	TREG1_131710.3, TREG1_131710.1, TREG1_131710.2
OG0001221	SGUI1_62910.4, SGUI1_62910.2, SGUI1_62910.1, SGUI1_62910.3	TREG1_85470.1
OG0001222	SGUI1_92280.1, SGUI1_92280.3, SGUI1_92280.2, SGUI1_92280.4	TREG1_128320.1
OG0001223	SGUI1_32500.3, SGUI1_32500.1, SGUI1_32500.2	TREG1_47740.1
OG0001224	SGUI1_82670.4, SGUI1_82670.6, SGUI1_82670.1, SGUI1_82670.2, SGUI1_82670.5, SGUI1_82670.3	TREG1_113380.3, TREG1_113380.1, TREG1_113380.2, TREG1_113380.4
OG0001225	SGUI1_59200.1	TREG1_80510.1
OG0001226	SGUI1_46050.2, SGUI1_46050.4, SGUI1_46050.5, SGUI1_46050.3, SGUI1_46050.1	TREG1_62900.1, TREG1_62910.1
OG0001227	SGUI1_62340.1	TREG1_88370.1
OG0001228	SGUI1_44950.1, SGUI1_44950.2	TREG1_35910.1
OG0001229	SGUI1_30290.1	TREG1_52470.1
OG0001230	SGUI1_16490.6, SGUI1_16490.3, SGUI1_16490.1, SGUI1_16490.2, SGUI1_16490.4, SGUI1_16490.5	TREG1_9170.1, TREG1_9170.2, TREG1_9170.3, TREG1_9170.6, TREG1_9170.4
OG0001231	SGUI1_39440.2, SGUI1_39440.5, SGUI1_39440.1, SGUI1_39440.3, SGUI1_39440.4	TREG1_45720.1
OG0001232	SGUI1_82340.1, SGUI1_82330.1	TREG1_113320.1
OG0001233	SGUI1_5550.1, SGUI1_5550.2	TREG1_12130.1
OG0001234	SGUI1_44170.1	TREG1_39200.1, TREG1_39200.2, TREG1_39200.3
OG0001235	SGUI1_28530.1, SGUI1_28520.1	TREG1_50160.1
OG0001236	SGUI1_63890.1	TREG1_87540.6, TREG1_87540.8, TREG1_87540.2, TREG1_87540.3, TREG1_87540.4, TREG1_87540.5, TREG1_87540.7, TREG1_87540.1, TREG1_39620.1
OG0001237	SGUI1_26440.1	TREG1_59570.1
OG0001237	SGUI1_26400.1	TREG1_59490.1, TREG1_59440.1, TREG1_59480.1, TREG1_59450.1, TREG1_59460.1
OG0001238	SGUI1_84240.1	TREG1_117540.1
OG0001239	SGUI1_11630.1	TREG1_25710.1, TREG1_78370.1
OG0001240	SGUI1_54270.3, SGUI1_54270.1, SGUI1_54270.2, SGUI1_54270.4	TREG1_68970.4, TREG1_68970.7, TREG1_68970.2, TREG1_68970.1, TREG1_68970.3, TREG1_68970.5, TREG1_68970.6
OG0001241	SGUI1_60090.1	TREG1_87340.1
OG0001241	SGUI1_74870.1	TREG1_98690.1
OG0001242	SGUI1_56590.1, SGUI1_56590.2, SGUI1_56590.3	TREG1_73920.1, TREG1_73920.2
OG0001243	SGUI1_6450.7, SGUI1_6450.3, SGUI1_6450.2, SGUI1_6450.5, SGUI1_6450.1, SGUI1_6450.4, SGUI1_6450.6, SGUI1_6450.8	TREG1_8420.1
OG0001244	SGUI1_90030.1	TREG1_125880.1, TREG1_69080.1, TREG1_69090.1, TREG1_125890.1
OG0001245	SGUI1_11250.1	TREG1_18020.1, TREG1_18010.3, TREG1_18010.4, TREG1_18010.5, TREG1_18010.2, TREG1_18010.1
