Orthogroup	schistosoma_guineensis	schistosoma_haematobium
OG0001016	SGUI1_37560.1	SHAE2_40610.1, SHAE2_40610.2, SHAE2_40610.4, SHAE2_40610.5, SHAE2_40610.3, SHAE2_40610.6, SHAE2_40610.7
OG0001017	SGUI1_15250.1	SHAE2_17600.4, SHAE2_17600.3, SHAE2_17600.5, SHAE2_17600.1, SHAE2_17600.2
OG0001018	SGUI1_29470.2, SGUI1_29470.3, SGUI1_29470.1	SHAE2_32000.2, SHAE2_32000.1, SHAE2_32000.3
OG0001019	SGUI1_42210.1	SHAE2_45070.1, SHAE2_45070.2, SHAE2_45070.3
OG0001020	SGUI1_10040.1	SHAE2_12690.1, SHAE2_12690.4, SHAE2_12690.2, SHAE2_12690.3
OG0001021	SGUI1_29250.1	SHAE2_31930.2, SHAE2_31930.3, SHAE2_31930.4, SHAE2_31930.5, SHAE2_31930.7, SHAE2_31930.1, SHAE2_31930.6
OG0001022	SGUI1_19720.1	SHAE2_22230.1, SHAE2_22230.2
OG0001023	SGUI1_63470.1, SGUI1_63470.2, SGUI1_63470.3	SHAE2_67460.3, SHAE2_67460.4, SHAE2_67460.2, SHAE2_67460.5, SHAE2_67460.1
OG0001024	SGUI1_78720.1, SGUI1_78720.4, SGUI1_78720.5, SGUI1_78720.7, SGUI1_78720.2, SGUI1_78720.3, SGUI1_78720.6, SGUI1_78720.8, SGUI1_78720.9	SHAE2_82690.1, SHAE2_82690.2, SHAE2_82690.3
OG0001025	SGUI1_88800.1	SHAE2_93760.1, SHAE2_93760.2, SHAE2_93760.3, SHAE2_93760.4, SHAE2_93760.5, SHAE2_93760.6, SHAE2_93760.7
OG0001026	SGUI1_49670.1, SGUI1_49670.2, SGUI1_49670.4, SGUI1_49670.6, SGUI1_49670.5, SGUI1_49670.3	SHAE2_52820.1
OG0001027	SGUI1_960.1	SHAE2_1280.1, SHAE2_1280.2, SHAE2_1280.3, SHAE2_1280.4
OG0001028	SGUI1_55870.2	SHAE2_58930.1
OG0001028	SGUI1_55870.1, SGUI1_55870.3	SHAE2_58930.2
OG0001029	SGUI1_49860.1, SGUI1_49860.2, SGUI1_49860.3, SGUI1_49860.4, SGUI1_49860.5	SHAE2_53040.1
OG0001031	SGUI1_70910.1	SHAE2_75010.1, SHAE2_75010.2, SHAE2_75010.3
OG0001032	SGUI1_64920.1, SGUI1_64920.2, SGUI1_64920.4, SGUI1_64920.3, SGUI1_64920.5, SGUI1_64920.6	SHAE2_68720.1, SHAE2_68720.2, SHAE2_68720.3, SHAE2_68720.4, SHAE2_68720.7, SHAE2_68720.5, SHAE2_68720.6, SHAE2_68720.8
OG0001033	SGUI1_72390.1, SGUI1_72390.10, SGUI1_72390.11, SGUI1_72390.2, SGUI1_72390.5, SGUI1_72390.7, SGUI1_72390.8, SGUI1_72390.9, SGUI1_72390.3, SGUI1_72390.4, SGUI1_72390.6	SHAE2_76430.1
OG0001034	SGUI1_54280.1, SGUI1_54290.1	SHAE2_57290.1, SHAE2_57290.2, SHAE2_57270.1
OG0001035	SGUI1_54840.1	SHAE2_57810.1, SHAE2_57810.2, SHAE2_57810.3, SHAE2_57810.4
OG0001036	SGUI1_17050.1, SGUI1_16970.7	SHAE2_19630.1, SHAE2_19630.2, SHAE2_19630.3, SHAE2_19630.4, SHAE2_19630.5, SHAE2_19630.10, SHAE2_19630.6, SHAE2_19630.7, SHAE2_19630.11, SHAE2_19630.8, SHAE2_19630.9
OG0001037	SGUI1_19680.5, SGUI1_19680.2, SGUI1_19680.4, SGUI1_19680.6	SHAE2_22200.2
OG0001037	SGUI1_19680.1, SGUI1_19680.3	SHAE2_22200.1
OG0001039	SGUI1_27080.1, SGUI1_27080.2, SGUI1_27080.3, SGUI1_27080.4, SGUI1_27080.5	SHAE2_29610.1, SHAE2_29610.2
OG0001040	SGUI1_81480.1	SHAE2_86180.1, SHAE2_86180.2, SHAE2_86180.4, SHAE2_86180.3
OG0001041	SGUI1_94590.3, SGUI1_94590.2	SHAE2_99560.1, SHAE2_99560.3
OG0001041	SGUI1_94590.1	SHAE2_99560.2
OG0001042	SGUI1_10980.1	SHAE2_102560.1
OG0001043	SGUI1_48390.1	SHAE2_51650.1
OG0001044	SGUI1_67840.1, SGUI1_67840.8, SGUI1_67840.7, SGUI1_67840.4, SGUI1_67840.6, SGUI1_67840.2, SGUI1_67840.3, SGUI1_67840.5	SHAE2_71720.3, SHAE2_71720.4, SHAE2_71720.7, SHAE2_71720.2, SHAE2_71720.5, SHAE2_71720.6, SHAE2_71720.1
OG0001045	SGUI1_67360.3	SHAE2_71190.1
OG0001046	SGUI1_51150.1, SGUI1_51150.2, SGUI1_51150.5, SGUI1_51150.6, SGUI1_51150.4	SHAE2_54320.2, SHAE2_54320.6, SHAE2_54320.3, SHAE2_54320.1, SHAE2_54320.4, SHAE2_54320.5, SHAE2_54320.7
OG0001047	SGUI1_96080.1, SGUI1_96080.2, SGUI1_96080.3	SHAE2_101210.1, SHAE2_101210.2, SHAE2_101210.3
OG0001048	SGUI1_78640.1	SHAE2_82600.9, SHAE2_82600.10, SHAE2_82600.12, SHAE2_82600.7, SHAE2_82600.8, SHAE2_82600.11, SHAE2_82600.3, SHAE2_82600.4, SHAE2_82600.1, SHAE2_82600.2
OG0001050	SGUI1_62720.3, SGUI1_62720.2, SGUI1_62720.4, SGUI1_62720.1, SGUI1_62720.5	SHAE2_66450.1
OG0001051	SGUI1_88230.3	SHAE2_93140.1, SHAE2_93140.3, SHAE2_93140.4, SHAE2_93140.5, SHAE2_93140.6, SHAE2_93140.7, SHAE2_93140.2
OG0001052	SGUI1_55460.2	SHAE2_58420.2
OG0001052	SGUI1_55460.1	SHAE2_58420.1
OG0001053	SGUI1_63900.1	SHAE2_67680.1
OG0001054	SGUI1_10730.1	SHAE2_13530.12, SHAE2_13530.2, SHAE2_13530.3, SHAE2_13530.6, SHAE2_13530.7, SHAE2_13530.8, SHAE2_13530.10, SHAE2_13530.5, SHAE2_13530.9, SHAE2_13530.11, SHAE2_13530.1, SHAE2_13530.4
OG0001055	SGUI1_38620.2, SGUI1_38620.4, SGUI1_38620.3, SGUI1_38620.6, SGUI1_38620.1, SGUI1_38620.5, SGUI1_38620.7	SHAE2_41710.1
OG0001056	SGUI1_58320.1, SGUI1_58320.4, SGUI1_58320.9, SGUI1_58320.5, SGUI1_58320.6, SGUI1_58320.7, SGUI1_58320.8	SHAE2_61810.1
OG0001057	SGUI1_88070.1, SGUI1_88070.2	SHAE2_92920.1, SHAE2_92920.3, SHAE2_92920.2, SHAE2_92920.6, SHAE2_92920.5, SHAE2_92920.4
OG0001058	SGUI1_61330.1	SHAE2_65010.1, SHAE2_65000.2, SHAE2_65000.3
OG0001059	SGUI1_16600.1	SHAE2_19150.6, SHAE2_19150.1, SHAE2_19150.2, SHAE2_19150.3, SHAE2_19150.5, SHAE2_19150.4
OG0001060	SGUI1_64260.4, SGUI1_64260.2, SGUI1_64260.3, SGUI1_64260.1, SGUI1_64260.5	SHAE2_67970.4, SHAE2_67970.5, SHAE2_67970.7, SHAE2_67970.3, SHAE2_67970.2, SHAE2_67970.6, SHAE2_67970.1
OG0001061	SGUI1_10190.1	SHAE2_12890.1
OG0001062	SGUI1_48930.1, SGUI1_48930.6, SGUI1_48930.2, SGUI1_48930.3, SGUI1_48930.4, SGUI1_48930.5	SHAE2_52120.1, SHAE2_52120.2
OG0001063	SGUI1_85010.1, SGUI1_85000.2, SGUI1_85000.1, SGUI1_85000.3	SHAE2_89860.1
OG0001064	SGUI1_47740.1, SGUI1_47740.2, SGUI1_47740.3	SHAE2_51020.1
OG0001065	SGUI1_28770.1	SHAE2_31330.1
OG0001065	SGUI1_28780.1	SHAE2_31340.1, SHAE2_31340.2
OG0001065	SGUI1_28790.1	SHAE2_31350.1, SHAE2_31350.2
OG0001066	SGUI1_9320.1	SHAE2_11910.1
OG0001067	SGUI1_95470.1	SHAE2_100600.1, SHAE2_100620.1, SHAE2_100620.2
OG0001068	SGUI1_76300.1	SHAE2_80390.3
OG0001070	SGUI1_63540.1	SHAE2_67410.1
OG0001070	SGUI1_76740.1	SHAE2_80760.1
OG0001071	SGUI1_65560.3, SGUI1_65560.4, SGUI1_65560.1, SGUI1_65560.2	SHAE2_69440.2, SHAE2_69440.4, SHAE2_69440.1, SHAE2_69440.3
OG0001072	SGUI1_42250.2, SGUI1_42250.3, SGUI1_42250.1, SGUI1_42250.4, SGUI1_42250.5	SHAE2_45110.10, SHAE2_45110.11, SHAE2_45110.3, SHAE2_45110.5, SHAE2_45110.9, SHAE2_45110.8, SHAE2_45110.7, SHAE2_45110.2, SHAE2_45110.4, SHAE2_45110.1, SHAE2_45110.12, SHAE2_45110.6
OG0001073	SGUI1_16430.1	SHAE2_18960.1, SHAE2_18960.3, SHAE2_18960.4, SHAE2_18960.5, SHAE2_18960.7, SHAE2_18960.11, SHAE2_18960.9, SHAE2_18960.8, SHAE2_18960.12, SHAE2_18960.2, SHAE2_18960.10, SHAE2_18960.6
OG0001074	SGUI1_27250.1	SHAE2_29780.5, SHAE2_29780.4, SHAE2_29780.8, SHAE2_29780.2, SHAE2_29780.7, SHAE2_29780.6, SHAE2_29780.1, SHAE2_29780.3
OG0001075	SGUI1_62320.1	SHAE2_65990.2, SHAE2_65990.1
OG0001076	SGUI1_46350.1, SGUI1_46350.2, SGUI1_46350.3, SGUI1_46350.4	SHAE2_49650.1, SHAE2_49650.2, SHAE2_49650.3
OG0001077	SGUI1_50230.1	SHAE2_53350.1
OG0001078	SGUI1_61700.1	SHAE2_65410.3, SHAE2_65410.1, SHAE2_65410.5, SHAE2_65410.2, SHAE2_65410.4, SHAE2_65410.6, SHAE2_65410.7, SHAE2_65410.8
OG0001079	SGUI1_75780.1	SHAE2_79830.1, SHAE2_79830.2, SHAE2_79830.3, SHAE2_79840.1, SHAE2_79840.2, SHAE2_79840.3
OG0001080	SGUI1_74120.2, SGUI1_74120.1, SGUI1_74120.3, SGUI1_74120.4	SHAE2_78270.2, SHAE2_78270.1, SHAE2_78270.3
OG0001081	SGUI1_33730.1	SHAE2_36740.3, SHAE2_36740.2, SHAE2_36740.1
OG0001081	SGUI1_33730.2	SHAE2_36740.4
OG0001082	SGUI1_48700.1, SGUI1_48700.3, SGUI1_48700.2, SGUI1_48700.4	SHAE2_51910.1
OG0001083	SGUI1_94740.1	SHAE2_99710.3, SHAE2_99710.1, SHAE2_99710.2
OG0001083	SGUI1_94740.2	SHAE2_99710.4
OG0001084	SGUI1_20020.1	SHAE2_22570.1, SHAE2_22570.2
OG0001085	SGUI1_95660.1, SGUI1_95660.2	SHAE2_100840.8, SHAE2_100840.1, SHAE2_100840.2, SHAE2_100840.3, SHAE2_100840.4, SHAE2_100840.6, SHAE2_100840.7, SHAE2_100840.5
OG0001086	SGUI1_72080.1	SHAE2_76120.6, SHAE2_76120.7, SHAE2_76120.1, SHAE2_76120.2, SHAE2_76120.5, SHAE2_76120.3, SHAE2_76120.4
OG0001087	SGUI1_51440.1	SHAE2_54550.1
OG0001087	SGUI1_36250.1	SHAE2_39230.1
OG0001088	SGUI1_24320.1, SGUI1_24320.3, SGUI1_24320.5, SGUI1_24320.2, SGUI1_24320.4	SHAE2_26870.1
OG0001089	SGUI1_65540.1	SHAE2_69420.2, SHAE2_69420.4, SHAE2_69420.1, SHAE2_69420.3
OG0001090	SGUI1_96390.1, SGUI1_96390.2, SGUI1_96390.3, SGUI1_96390.4	SHAE2_101540.1, SHAE2_101540.2, SHAE2_101540.3, SHAE2_101540.4, SHAE2_101540.5, SHAE2_101540.6
OG0001091	SGUI1_48590.1, SGUI1_48590.2	SHAE2_51800.1, SHAE2_51800.2, SHAE2_51800.3, SHAE2_51800.6, SHAE2_51800.7, SHAE2_51800.4, SHAE2_51800.5, SHAE2_51800.8
OG0001092	SGUI1_70070.1, SGUI1_70070.4, SGUI1_70070.2, SGUI1_70070.3	SHAE2_74140.1
OG0001093	SGUI1_81940.2, SGUI1_81940.3, SGUI1_81940.1, SGUI1_81940.5, SGUI1_81940.4	SHAE2_85740.1
OG0001094	SGUI1_36550.1	SHAE2_39600.2, SHAE2_39600.1, SHAE2_39600.3
OG0001095	SGUI1_51080.1, SGUI1_51080.2, SGUI1_51080.3, SGUI1_51080.4	SHAE2_54250.1, SHAE2_54250.2, SHAE2_54250.7, SHAE2_54250.10, SHAE2_54250.3, SHAE2_54250.4, SHAE2_54250.6, SHAE2_54250.9, SHAE2_54250.5, SHAE2_54250.11, SHAE2_54250.8
OG0001096	SGUI1_19060.2, SGUI1_19060.4, SGUI1_19060.3, SGUI1_19060.7, SGUI1_19060.1, SGUI1_19060.8, SGUI1_19060.5, SGUI1_19060.6	SHAE2_21620.5, SHAE2_21620.1, SHAE2_21620.3, SHAE2_21620.2, SHAE2_21620.4, SHAE2_21620.6
OG0001097	SGUI1_69680.1	SHAE2_73840.3, SHAE2_73840.2, SHAE2_73840.5, SHAE2_73840.1, SHAE2_73840.4
OG0001098	SGUI1_31710.6	SHAE2_34190.2
OG0001098	SGUI1_31710.1, SGUI1_31710.2, SGUI1_31710.4, SGUI1_31710.5, SGUI1_31710.7, SGUI1_31710.3	SHAE2_34190.1
OG0001099	SGUI1_92720.1	SHAE2_97740.1
OG0001099	SGUI1_92710.1, SGUI1_92710.2	SHAE2_97750.1, SHAE2_97750.2
OG0001100	SGUI1_68380.1, SGUI1_68380.2, SGUI1_68380.3	SHAE2_72500.3, SHAE2_72500.5, SHAE2_72500.4, SHAE2_72500.1, SHAE2_72500.2
OG0001101	SGUI1_45800.1	SHAE2_49190.1, SHAE2_49160.1
OG0001102	SGUI1_62880.3, SGUI1_62880.1	SHAE2_66600.4, SHAE2_66600.3
OG0001102	SGUI1_62880.5	SHAE2_66600.8
OG0001103	SGUI1_94610.1, SGUI1_94610.2, SGUI1_94610.3, SGUI1_94610.4	SHAE2_99580.1, SHAE2_99580.2, SHAE2_99580.3, SHAE2_99580.4, SHAE2_99580.5
OG0001104	SGUI1_62850.6, SGUI1_62850.7	SHAE2_66580.5, SHAE2_66580.4, SHAE2_66580.3
OG0001104	SGUI1_62850.2, SGUI1_62850.3, SGUI1_62850.4, SGUI1_62850.1	SHAE2_66580.2
OG0001104	SGUI1_62850.5	SHAE2_66580.1, SHAE2_66580.6
OG0001105	SGUI1_31800.1	SHAE2_34300.1, SHAE2_34300.2, SHAE2_34300.4, SHAE2_34300.5, SHAE2_34300.6, SHAE2_34300.7, SHAE2_34300.8, SHAE2_34300.3
OG0001106	SGUI1_68850.2, SGUI1_68850.1, SGUI1_68850.3, SGUI1_68850.4, SGUI1_68850.5, SGUI1_68850.6, SGUI1_68850.7	SHAE2_72950.3, SHAE2_72950.6, SHAE2_72950.4, SHAE2_72950.1, SHAE2_72950.2, SHAE2_72950.5
OG0001107	SGUI1_51580.1	SHAE2_54690.1, SHAE2_54690.2, SHAE2_54690.3
OG0001108	SGUI1_28280.1	SHAE2_30880.2, SHAE2_30880.3, SHAE2_30880.4, SHAE2_30880.1
OG0001109	SGUI1_33800.1, SGUI1_33800.9, SGUI1_33800.11, SGUI1_33800.5	SHAE2_36810.1, SHAE2_36810.2
OG0001110	SGUI1_3910.1	SHAE2_4450.2, SHAE2_4450.3, SHAE2_4450.1, SHAE2_4450.4
OG0001111	SGUI1_49050.1, SGUI1_49050.4, SGUI1_49050.3, SGUI1_49050.7, SGUI1_49050.9, SGUI1_49050.2, SGUI1_49050.5, SGUI1_49050.6, SGUI1_49050.8, SGUI1_49050.10	SHAE2_52220.1
OG0001112	SGUI1_95850.2, SGUI1_95850.1	SHAE2_101020.1
OG0001112	SGUI1_95830.1, SGUI1_95840.1	SHAE2_100990.1, SHAE2_101000.1
OG0001114	SGUI1_6310.4, SGUI1_6310.5, SGUI1_6310.1	SHAE2_7160.1
OG0001115	SGUI1_94700.4, SGUI1_94700.5, SGUI1_94700.1, SGUI1_94700.3, SGUI1_94700.2	SHAE2_99680.1
OG0001116	SGUI1_81450.1	SHAE2_86210.1
OG0001117	SGUI1_14920.1, SGUI1_14920.2	SHAE2_17240.3, SHAE2_17240.5, SHAE2_17240.7, SHAE2_17240.8, SHAE2_17240.1, SHAE2_17240.6, SHAE2_17240.4, SHAE2_17240.2
OG0001118	SGUI1_71710.1, SGUI1_71700.1	SHAE2_75760.1
OG0001119	SGUI1_65520.1, SGUI1_65520.2	SHAE2_69390.1
OG0001120	SGUI1_31380.1	SHAE2_33860.3, SHAE2_33860.5, SHAE2_33860.1, SHAE2_33860.2, SHAE2_33860.4, SHAE2_33860.7, SHAE2_33860.6
OG0001121	SGUI1_56980.1	SHAE2_60250.2, SHAE2_60250.1, SHAE2_60250.3, SHAE2_60250.4
OG0001122	SGUI1_79880.1, SGUI1_79880.2, SGUI1_79880.3	SHAE2_103440.1, SHAE2_103440.2
OG0001123	SGUI1_90880.1, SGUI1_90880.2	SHAE2_95920.1, SHAE2_95920.2
OG0001124	SGUI1_37790.1, SGUI1_37790.2	SHAE2_40830.1
OG0001125	SGUI1_13150.1, SGUI1_13190.1	SHAE2_15580.1, SHAE2_15620.1, SHAE2_15620.2
OG0001127	SGUI1_40100.1, SGUI1_40100.3, SGUI1_40100.4, SGUI1_40100.5, SGUI1_40100.6, SGUI1_40100.7, SGUI1_40100.2	SHAE2_43070.1, SHAE2_43070.2, SHAE2_43070.3
OG0001128	SGUI1_76590.2, SGUI1_76590.10, SGUI1_76590.6, SGUI1_76590.9, SGUI1_76590.3	SHAE2_80610.1
OG0001129	SGUI1_37470.1	SHAE2_40500.1, SHAE2_40500.2, SHAE2_40520.3, SHAE2_40520.2, SHAE2_40520.1, SHAE2_40520.4
OG0001130	SGUI1_11090.1, SGUI1_11090.2	SHAE2_13820.1, SHAE2_13820.2, SHAE2_13820.7, SHAE2_13820.6, SHAE2_13820.8, SHAE2_13820.9, SHAE2_13820.5, SHAE2_13820.3, SHAE2_13820.4
OG0001131	SGUI1_74290.1	SHAE2_78420.1
OG0001131	SGUI1_74280.1	SHAE2_78410.1
OG0001132	SGUI1_83650.1	SHAE2_87800.4, SHAE2_87800.6, SHAE2_87800.5, SHAE2_87800.1, SHAE2_87800.2, SHAE2_87800.3, SHAE2_87800.7
OG0001133	SGUI1_96400.1	SHAE2_101550.1
OG0001133	SGUI1_15620.1	SHAE2_18010.1
OG0001134	SGUI1_65710.1, SGUI1_65710.2, SGUI1_65710.3, SGUI1_65710.4	SHAE2_69600.5, SHAE2_69600.1, SHAE2_69600.4, SHAE2_69600.2, SHAE2_69600.6, SHAE2_69600.3
OG0001135	SGUI1_34260.1	SHAE2_37250.3, SHAE2_37250.1, SHAE2_37250.2
OG0001136	SGUI1_96770.1	SHAE2_26110.1
OG0001137	SGUI1_53700.1, SGUI1_53700.2, SGUI1_53700.4, SGUI1_53700.3, SGUI1_53700.5	SHAE2_56760.5, SHAE2_56760.6, SHAE2_56760.7, SHAE2_56760.1, SHAE2_56760.4, SHAE2_56760.8
OG0001138	SGUI1_20180.2, SGUI1_20180.3, SGUI1_20180.4, SGUI1_20180.6, SGUI1_20180.1, SGUI1_20180.5	SHAE2_22740.1
OG0001139	SGUI1_37200.4	SHAE2_40230.6
OG0001139	SGUI1_37200.1	SHAE2_40230.2
OG0001140	SGUI1_46280.1, SGUI1_46280.2	SHAE2_49560.3, SHAE2_49560.4, SHAE2_49560.2, SHAE2_49560.1
OG0001141	SGUI1_80290.1, SGUI1_80300.1	SHAE2_84270.1, SHAE2_84280.1
OG0001142	SGUI1_12150.1, SGUI1_12150.2	SHAE2_14830.6, SHAE2_14830.5, SHAE2_14830.1, SHAE2_14830.3, SHAE2_14830.4, SHAE2_14830.2, SHAE2_14810.1
OG0001143	SGUI1_63210.1	SHAE2_66990.9, SHAE2_66990.7, SHAE2_66990.10, SHAE2_66990.2, SHAE2_66990.8, SHAE2_66990.1, SHAE2_66990.5, SHAE2_66990.6, SHAE2_66990.3, SHAE2_66990.4
OG0001144	SGUI1_36030.2, SGUI1_36030.4, SGUI1_36030.5, SGUI1_36030.6, SGUI1_36030.7, SGUI1_36030.3, SGUI1_36030.1	SHAE2_39010.1, SHAE2_39010.2, SHAE2_39010.3, SHAE2_39010.4, SHAE2_39010.5, SHAE2_39010.6
OG0001145	SGUI1_65890.7, SGUI1_65890.2, SGUI1_65890.3	SHAE2_69750.2, SHAE2_69750.6
OG0001145	SGUI1_65890.1, SGUI1_65890.4, SGUI1_65890.5, SGUI1_65890.6	SHAE2_69750.1, SHAE2_69750.3, SHAE2_69750.4, SHAE2_69750.5
OG0001146	SGUI1_4250.1	SHAE2_4940.1, SHAE2_4940.4, SHAE2_4940.2, SHAE2_4940.3, SHAE2_4940.5, SHAE2_4940.6, SHAE2_4940.7, SHAE2_4940.8
OG0001147	SGUI1_7190.1	SHAE2_8220.1, SHAE2_8220.2, SHAE2_8220.3
OG0001148	SGUI1_70950.2, SGUI1_70950.1, SGUI1_70950.8	SHAE2_74940.2, SHAE2_74940.1, SHAE2_74940.3
OG0001149	SGUI1_78650.1	SHAE2_82610.1, SHAE2_82610.2, SHAE2_82610.5, SHAE2_82610.7, SHAE2_82610.6, SHAE2_82610.4, SHAE2_82610.3
OG0001150	SGUI1_52170.1, SGUI1_52170.2	SHAE2_55310.1, SHAE2_55310.2
OG0001151	SGUI1_90180.3	SHAE2_95190.2
OG0001153	SGUI1_69480.2, SGUI1_69480.1	SHAE2_73650.4, SHAE2_73650.6, SHAE2_73650.7, SHAE2_73650.5, SHAE2_73650.2, SHAE2_73650.1, SHAE2_73650.3
OG0001154	SGUI1_43950.1	SHAE2_46790.1, SHAE2_46820.1
OG0001155	SGUI1_48460.4, SGUI1_48460.6, SGUI1_48460.1, SGUI1_48460.2, SGUI1_48460.3, SGUI1_48460.5, SGUI1_48460.7, SGUI1_48460.8	SHAE2_51710.1
OG0001156	SGUI1_7130.1	SHAE2_8160.1, SHAE2_8160.2
OG0001157	SGUI1_63240.1	SHAE2_67020.1
OG0001158	SGUI1_42390.5, SGUI1_42390.2, SGUI1_42390.3, SGUI1_42390.1, SGUI1_42390.4	SHAE2_45240.1, SHAE2_45240.2, SHAE2_45240.3, SHAE2_45240.4
OG0001159	SGUI1_92530.1, SGUI1_92530.3, SGUI1_92530.5, SGUI1_92530.6, SGUI1_92530.7, SGUI1_92530.2, SGUI1_92530.4	SHAE2_97930.6, SHAE2_97930.7, SHAE2_97930.3, SHAE2_97930.4, SHAE2_97930.5, SHAE2_97930.8, SHAE2_97930.1, SHAE2_97930.2
OG0001160	SGUI1_19460.4, SGUI1_19460.2, SGUI1_19460.3	SHAE2_21980.1
OG0001161	SGUI1_68840.1	SHAE2_72940.1
OG0001161	SGUI1_66030.1	SHAE2_69860.1, SHAE2_69860.2
OG0001162	SGUI1_35590.1	SHAE2_38550.3, SHAE2_38550.2, SHAE2_38550.4, SHAE2_38550.6, SHAE2_38550.1, SHAE2_38550.5
OG0001163	SGUI1_77630.1	SHAE2_81660.1, SHAE2_81660.5, SHAE2_81660.3, SHAE2_81660.2, SHAE2_81660.4
OG0001164	SGUI1_82300.1	SHAE2_85280.1
OG0001165	SGUI1_58060.1	SHAE2_61540.1, SHAE2_61540.2
OG0001166	SGUI1_10170.2, SGUI1_10170.3, SGUI1_10170.4, SGUI1_10170.1, SGUI1_10170.5	SHAE2_12840.1, SHAE2_12840.2, SHAE2_12840.5, SHAE2_12840.3, SHAE2_12840.4
OG0001167	SGUI1_35580.1	SHAE2_38540.6, SHAE2_38540.1, SHAE2_38540.2, SHAE2_38540.4, SHAE2_38540.5, SHAE2_38540.3, SHAE2_38540.7
OG0001168	SGUI1_11740.5, SGUI1_11740.1, SGUI1_11740.2, SGUI1_11740.3, SGUI1_11740.4	SHAE2_14400.1
OG0001169	SGUI1_50260.1, SGUI1_50260.2, SGUI1_50260.3, SGUI1_50260.6, SGUI1_50260.5, SGUI1_50260.4	SHAE2_53380.6, SHAE2_53380.8, SHAE2_53380.7, SHAE2_53380.10, SHAE2_53380.3, SHAE2_53380.4, SHAE2_53380.2, SHAE2_53380.9, SHAE2_53380.1, SHAE2_53380.5
OG0001170	SGUI1_10500.1	SHAE2_13210.3, SHAE2_13210.2
OG0001170	SGUI1_10490.1	SHAE2_13210.1, SHAE2_13210.4
OG0001171	SGUI1_15200.1	SHAE2_17540.7, SHAE2_17540.3, SHAE2_17540.2, SHAE2_17540.4, SHAE2_17540.6, SHAE2_17540.1, SHAE2_17540.5
OG0001172	SGUI1_60930.3, SGUI1_60930.4, SGUI1_60930.2, SGUI1_60930.1	SHAE2_64570.1
OG0001173	SGUI1_1750.2, SGUI1_1750.1	SHAE2_2040.1
OG0001174	SGUI1_9050.1	SHAE2_11650.1
OG0001175	SGUI1_52250.1, SGUI1_52250.2, SGUI1_52250.4, SGUI1_52250.3	SHAE2_55380.1, SHAE2_55380.2, SHAE2_55380.3, SHAE2_55380.4, SHAE2_55380.5, SHAE2_55380.6
OG0001176	SGUI1_73720.1	SHAE2_77870.1, SHAE2_77870.2, SHAE2_77870.4, SHAE2_77870.3
OG0001177	SGUI1_24540.1, SGUI1_24540.2	SHAE2_103260.1
OG0001177	SGUI1_24540.3	SHAE2_27100.1, SHAE2_27100.2
OG0001178	SGUI1_2620.1	SHAE2_2920.1
OG0001178	SGUI1_2610.1	SHAE2_2910.1, SHAE2_2910.2, SHAE2_2910.4, SHAE2_2910.3
OG0001179	SGUI1_93620.1, SGUI1_93620.2, SGUI1_93620.3, SGUI1_93620.6, SGUI1_93620.5, SGUI1_93620.4	SHAE2_98480.1, SHAE2_98480.2
OG0001180	SGUI1_8710.5, SGUI1_8710.2, SGUI1_8710.3, SGUI1_8710.1, SGUI1_8710.4	SHAE2_11290.4, SHAE2_11290.1, SHAE2_11290.3, SHAE2_11290.6, SHAE2_11290.2, SHAE2_11290.5
OG0001181	SGUI1_58100.1	SHAE2_61600.1
OG0001182	SGUI1_35850.1	SHAE2_38800.1
OG0001184	SGUI1_3530.1, SGUI1_3530.2, SGUI1_3530.3	SHAE2_4040.3
OG0001185	SGUI1_9880.1	SHAE2_12490.2, SHAE2_12490.1, SHAE2_12490.3
OG0001186	SGUI1_4670.1, SGUI1_4670.10, SGUI1_4670.3, SGUI1_4670.5, SGUI1_4670.6, SGUI1_4670.7, SGUI1_4670.8, SGUI1_4670.9, SGUI1_4670.2, SGUI1_4670.4	SHAE2_5460.1, SHAE2_5460.2, SHAE2_5460.3
OG0001187	SGUI1_31090.1	SHAE2_33600.3, SHAE2_33600.1, SHAE2_33600.2, SHAE2_33600.5, SHAE2_33600.4
OG0001188	SGUI1_7400.1	SHAE2_8460.1, SHAE2_8460.2, SHAE2_8460.3
OG0001189	SGUI1_14100.1, SGUI1_14100.5, SGUI1_14100.3, SGUI1_14100.4	SHAE2_16220.1
OG0001190	SGUI1_36060.1	SHAE2_39030.1
OG0001190	SGUI1_36060.1	SHAE2_39030.2
OG0001190	SGUI1_36060.1	SHAE2_39030.3
OG0001190	SGUI1_36060.1	SHAE2_39030.4
OG0001190	SGUI1_36060.1	SHAE2_39030.6
OG0001190	SGUI1_36060.2	SHAE2_39030.1
OG0001190	SGUI1_36060.2	SHAE2_39030.2
OG0001190	SGUI1_36060.2	SHAE2_39030.3
OG0001190	SGUI1_36060.2	SHAE2_39030.4
OG0001190	SGUI1_36060.2	SHAE2_39030.6
OG0001191	SGUI1_6630.1	SHAE2_7530.1, SHAE2_7530.9, SHAE2_7530.6, SHAE2_7530.7, SHAE2_7530.8, SHAE2_7530.2, SHAE2_7530.3, SHAE2_7530.4, SHAE2_7530.5
OG0001192	SGUI1_42760.2	SHAE2_45570.3
OG0001192	SGUI1_42760.2	SHAE2_45570.4
OG0001192	SGUI1_42760.2	SHAE2_45570.5
