Orthogroup	schistosoma_haematobium	opisthorchis_viverrini
OG0000460	SHAE2_14370.3, SHAE2_14370.1, SHAE2_14370.10, SHAE2_14370.2, SHAE2_14370.4, SHAE2_14370.5, SHAE2_14370.6, SHAE2_14370.7, SHAE2_14370.8, SHAE2_14370.9, SHAE2_14370.11, SHAE2_14370.12	T265_02175
OG0000465	SHAE2_80340.3, SHAE2_80340.6, SHAE2_80340.8, SHAE2_80340.5, SHAE2_80340.2, SHAE2_80340.4, SHAE2_80340.1, SHAE2_80340.7	T265_12004, T265_15852
OG0000466	SHAE2_56540.2, SHAE2_56540.3, SHAE2_56540.1, SHAE2_56540.4, SHAE2_56540.5, SHAE2_56540.6	T265_00717, T265_09088
OG0000467	SHAE2_39970.3, SHAE2_39970.2, SHAE2_39970.1, SHAE2_39970.4	T265_06392, T265_14024, T265_15837
OG0000468	SHAE2_75130.1	T265_13212
OG0000469	SHAE2_4550.7, SHAE2_4550.1, SHAE2_4550.2, SHAE2_4550.3, SHAE2_4550.5, SHAE2_4550.8, SHAE2_4550.6, SHAE2_4550.9, SHAE2_4550.4	T265_06265
OG0000470	SHAE2_54570.4, SHAE2_54570.1, SHAE2_54570.2, SHAE2_54570.3, SHAE2_54570.5	T265_02354
OG0000471	SHAE2_93820.15, SHAE2_93820.13, SHAE2_93820.12, SHAE2_93820.14, SHAE2_93820.11, SHAE2_93820.16, SHAE2_93820.9, SHAE2_93820.4, SHAE2_93820.8, SHAE2_93820.3, SHAE2_93820.1, SHAE2_93820.2, SHAE2_93820.6, SHAE2_93820.7, SHAE2_93820.10, SHAE2_93820.5	T265_04176
OG0000472	SHAE2_39920.9, SHAE2_39920.7, SHAE2_39920.6, SHAE2_39920.2, SHAE2_39920.4, SHAE2_39920.1, SHAE2_39920.5, SHAE2_39920.8, SHAE2_39920.3	T265_08287, T265_14526, T265_08288
OG0000473	SHAE2_5540.1, SHAE2_5540.2, SHAE2_5540.3	T265_09380
OG0000474	SHAE2_22680.1	T265_02290
OG0000474	SHAE2_49270.1, SHAE2_49270.2	T265_12460
OG0000475	SHAE2_67980.3, SHAE2_67980.9, SHAE2_67980.8, SHAE2_67980.7, SHAE2_67980.4, SHAE2_67980.5, SHAE2_67980.2, SHAE2_67980.6, SHAE2_67980.1	T265_14673
OG0000476	SHAE2_21860.1, SHAE2_21860.10, SHAE2_21860.3, SHAE2_21860.5, SHAE2_21860.6, SHAE2_21860.8, SHAE2_21860.11, SHAE2_21860.4, SHAE2_21860.12, SHAE2_21860.9, SHAE2_21860.2, SHAE2_21860.7	T265_07244
OG0000477	SHAE2_49360.6, SHAE2_49360.12, SHAE2_49360.1, SHAE2_49360.5, SHAE2_49360.10, SHAE2_49360.7, SHAE2_49360.3, SHAE2_49360.9, SHAE2_49360.13, SHAE2_49360.4, SHAE2_49360.8, SHAE2_49360.11, SHAE2_49360.2	T265_01343
OG0000478	SHAE2_6950.3, SHAE2_6950.5, SHAE2_6950.7, SHAE2_6950.9, SHAE2_6950.11, SHAE2_6950.10, SHAE2_6950.6, SHAE2_6950.8, SHAE2_6950.12, SHAE2_6950.13, SHAE2_6950.1, SHAE2_6950.14, SHAE2_6950.2, SHAE2_6950.4	T265_09689
OG0000479	SHAE2_33850.8, SHAE2_33850.5, SHAE2_33850.1, SHAE2_33850.3, SHAE2_33850.9, SHAE2_33850.2, SHAE2_33850.4, SHAE2_33850.6, SHAE2_33850.10, SHAE2_33850.11, SHAE2_33850.12, SHAE2_33850.7	T265_11380
OG0000480	SHAE2_68280.1	T265_00389, T265_13589, T265_12846, T265_01772, T265_01033, T265_11693, T265_01859, T265_07661, T265_10676, T265_03719, T265_08374, T265_04371, T265_02027, T265_11038, T265_06133, T265_09446, T265_08269, T265_15662, T265_11568, T265_08423, T265_12491, T265_15632, T265_04892, T265_02994, T265_13852, T265_01186, T265_13974, T265_12776, T265_05455, T265_09979, T265_00308, T265_04912, T265_05271, T265_00689, T265_08138, T265_05417, T265_10575, T265_14180, T265_01804, T265_00016, T265_09320, T265_09509, T265_04945, T265_00925, T265_02510, T265_10253, T265_03397
OG0000481	SHAE2_69400.1, SHAE2_69400.11, SHAE2_69400.12, SHAE2_69400.13, SHAE2_69400.3, SHAE2_69400.8, SHAE2_69400.14, SHAE2_69400.2, SHAE2_69400.5, SHAE2_69400.6, SHAE2_69400.7, SHAE2_69400.10, SHAE2_69400.4, SHAE2_69400.9	T265_00530
OG0000482	SHAE2_11730.1	T265_12690
OG0000483	SHAE2_61060.1	T265_06074
OG0000484	SHAE2_102020.1, SHAE2_102120.1, SHAE2_102080.1, SHAE2_102140.1, SHAE2_102140.2, SHAE2_102140.3, SHAE2_102060.1, SHAE2_102060.2, SHAE2_102060.3, SHAE2_102060.4, SHAE2_102150.1	T265_09654
OG0000485	SHAE2_15310.1	T265_13168
OG0000490	SHAE2_72720.2, SHAE2_72730.2, SHAE2_72720.1, SHAE2_72730.1, SHAE2_72730.3	T265_01437, T265_16063
OG0000491	SHAE2_32480.6, SHAE2_32480.1, SHAE2_32480.3, SHAE2_32480.9, SHAE2_32480.2, SHAE2_32480.4, SHAE2_32480.5, SHAE2_32480.7, SHAE2_32480.8	T265_14314
OG0000493	SHAE2_50730.1	T265_10148, T265_15065
OG0000493	SHAE2_31270.1	T265_15185, T265_10559
OG0000495	SHAE2_3670.1, SHAE2_3670.8, SHAE2_3670.2, SHAE2_3670.7, SHAE2_3670.3, SHAE2_3670.4, SHAE2_3670.6, SHAE2_3670.5	T265_15686
OG0000496	SHAE2_40750.8, SHAE2_40750.5, SHAE2_40750.1, SHAE2_40750.4, SHAE2_40750.7, SHAE2_40750.2, SHAE2_40750.6, SHAE2_40750.3	T265_07584
OG0000497	SHAE2_6000.1, SHAE2_6010.1, SHAE2_6010.2, SHAE2_6000.2	T265_07772
OG0000498	SHAE2_29460.1	T265_12716, T265_12902
OG0000499	SHAE2_75030.9, SHAE2_75030.2, SHAE2_75030.12, SHAE2_75030.11, SHAE2_75030.17, SHAE2_75030.16, SHAE2_75030.21, SHAE2_75030.19, SHAE2_75030.20, SHAE2_75030.14, SHAE2_75030.18, SHAE2_75030.13, SHAE2_75030.15, SHAE2_75030.1, SHAE2_75030.10, SHAE2_75030.6, SHAE2_75030.7, SHAE2_75030.5, SHAE2_75030.3, SHAE2_75030.4, SHAE2_75030.8	T265_12977
OG0000500	SHAE2_103170.7, SHAE2_103170.4, SHAE2_103170.1, SHAE2_103170.3, SHAE2_103170.5, SHAE2_103170.6, SHAE2_103170.2	T265_12964
OG0000501	SHAE2_28170.1, SHAE2_28170.2, SHAE2_28170.3, SHAE2_28170.4, SHAE2_28170.5	T265_13462
OG0000502	SHAE2_38450.1	T265_07436, T265_06036
OG0000503	SHAE2_4350.4, SHAE2_4350.1, SHAE2_4350.2, SHAE2_4350.3, SHAE2_4350.6, SHAE2_4350.7, SHAE2_4350.5	T265_11949
OG0000504	SHAE2_50150.2, SHAE2_50150.3, SHAE2_50150.1, SHAE2_50150.4, SHAE2_50150.5, SHAE2_50150.8, SHAE2_50150.6, SHAE2_50150.9, SHAE2_50150.7	T265_03966
OG0000505	SHAE2_44040.5, SHAE2_44040.4, SHAE2_44040.1, SHAE2_44040.2, SHAE2_44040.3	T265_12584
OG0000506	SHAE2_11240.2, SHAE2_11240.4, SHAE2_11240.1, SHAE2_11240.5, SHAE2_11240.3, SHAE2_11240.6, SHAE2_11240.7	T265_07729, T265_16032
OG0000507	SHAE2_33590.8, SHAE2_33590.2, SHAE2_33590.3, SHAE2_33590.7, SHAE2_33590.1, SHAE2_33590.4, SHAE2_33590.5, SHAE2_33590.6, SHAE2_33590.9	T265_02979, T265_07797, T265_07796
OG0000508	SHAE2_17170.1, SHAE2_17170.3, SHAE2_17170.5, SHAE2_17170.2, SHAE2_17170.4	T265_10226, T265_16175
OG0000509	SHAE2_52690.1, SHAE2_52690.2, SHAE2_52690.3, SHAE2_54290.1	T265_06851, T265_06853, T265_06854, T265_14152
OG0000510	SHAE2_83280.1, SHAE2_83280.2, SHAE2_83310.1	T265_03984, T265_03985, T265_13373
OG0000511	SHAE2_76940.3, SHAE2_76940.1, SHAE2_76970.1, SHAE2_76940.2, SHAE2_76960.1, SHAE2_76960.2, SHAE2_76930.1, SHAE2_76950.1, SHAE2_76920.1	T265_07656, T265_07655, T265_07657
OG0000512	SHAE2_54810.1	T265_12454
OG0000513	SHAE2_71520.9, SHAE2_71520.12, SHAE2_71520.15, SHAE2_71520.8, SHAE2_71520.14, SHAE2_71520.16, SHAE2_71520.5, SHAE2_71520.6, SHAE2_71520.10, SHAE2_71520.3, SHAE2_71520.7, SHAE2_71520.1, SHAE2_71520.13, SHAE2_71520.4, SHAE2_71520.11, SHAE2_71520.2	T265_01157, T265_06044
OG0000514	SHAE2_49350.3, SHAE2_49350.5, SHAE2_49350.1, SHAE2_49350.6, SHAE2_49350.7, SHAE2_49350.4, SHAE2_49350.2, SHAE2_49350.8	T265_01214, T265_01215
OG0000515	SHAE2_16560.6, SHAE2_16560.2, SHAE2_16560.3, SHAE2_16560.4, SHAE2_16560.10, SHAE2_16560.8, SHAE2_16560.1, SHAE2_16560.13, SHAE2_16560.11, SHAE2_16560.5, SHAE2_16560.12, SHAE2_16560.7, SHAE2_16560.9	T265_00984, T265_00985
OG0000516	SHAE2_67300.1, SHAE2_67300.2, SHAE2_67300.4, SHAE2_67300.3, SHAE2_67300.6, SHAE2_67300.7, SHAE2_67300.8, SHAE2_67300.5	T265_03354
OG0000517	SHAE2_28200.2, SHAE2_28200.3, SHAE2_28200.1, SHAE2_28200.4	T265_01106
OG0000521	SHAE2_76030.9, SHAE2_76030.2, SHAE2_76030.8, SHAE2_76030.1, SHAE2_76030.7, SHAE2_76030.4, SHAE2_76030.3, SHAE2_76030.5, SHAE2_76030.6	T265_12415
OG0000522	SHAE2_60770.1, SHAE2_60710.1, SHAE2_60950.1, SHAE2_60800.1, SHAE2_60550.1, SHAE2_60740.1, SHAE2_60780.1, SHAE2_60810.1, SHAE2_60960.1, SHAE2_60750.1, SHAE2_60690.1	T265_04037
OG0000523	SHAE2_81460.1, SHAE2_81460.2, SHAE2_81460.3, SHAE2_81460.4, SHAE2_81460.5, SHAE2_81460.6, SHAE2_81460.7, SHAE2_81460.8	T265_07660
OG0000524	SHAE2_14270.8, SHAE2_14270.6, SHAE2_14270.5, SHAE2_14270.7, SHAE2_14270.2, SHAE2_14270.3, SHAE2_14270.4, SHAE2_14270.1	T265_07885
OG0000525	SHAE2_53810.5, SHAE2_53810.6, SHAE2_53810.3, SHAE2_53810.2, SHAE2_53810.1, SHAE2_53810.4	T265_05091
OG0000526	SHAE2_19070.6, SHAE2_19070.1, SHAE2_19070.2, SHAE2_19070.3, SHAE2_19070.5, SHAE2_19070.4	T265_02282, T265_12113
OG0000527	SHAE2_102030.1, SHAE2_21260.5, SHAE2_21260.8, SHAE2_21260.1, SHAE2_21260.2, SHAE2_21260.3, SHAE2_21260.7, SHAE2_21260.9, SHAE2_21260.4, SHAE2_21260.6	T265_03411
OG0000528	SHAE2_34440.1	T265_06055
OG0000529	SHAE2_17700.1	T265_09182, T265_03656
OG0000529	SHAE2_27780.1	T265_07511
OG0000530	SHAE2_101290.1, SHAE2_101290.2, SHAE2_101310.1, SHAE2_101300.1	T265_09699
OG0000531	SHAE2_82200.4, SHAE2_82200.2, SHAE2_82200.5, SHAE2_82200.3, SHAE2_82200.1	T265_14416, T265_14417
OG0000532	SHAE2_5510.1	T265_00995, T265_06267
OG0000533	SHAE2_21390.1	T265_13786
OG0000534	SHAE2_75330.2, SHAE2_75330.5, SHAE2_75330.4, SHAE2_75330.6, SHAE2_75330.1, SHAE2_75330.3	T265_09156
OG0000535	SHAE2_62750.11, SHAE2_62750.8, SHAE2_62750.9, SHAE2_62750.6, SHAE2_62750.2, SHAE2_62750.1, SHAE2_62750.3, SHAE2_62750.4, SHAE2_62750.5, SHAE2_62750.7, SHAE2_62750.10	T265_13029, T265_02526, T265_16334
OG0000536	SHAE2_70230.1, SHAE2_70230.2, SHAE2_70230.11, SHAE2_70230.3, SHAE2_70230.5, SHAE2_70230.10, SHAE2_70230.12, SHAE2_70230.4, SHAE2_70230.6, SHAE2_70230.8, SHAE2_70230.9, SHAE2_70230.7	T265_04792
OG0000537	SHAE2_56720.1, SHAE2_56720.2, SHAE2_56720.3	T265_03566
OG0000539	SHAE2_50030.4, SHAE2_50030.3, SHAE2_50030.1, SHAE2_50030.2, SHAE2_50030.7, SHAE2_50030.6, SHAE2_50030.5, SHAE2_50030.8, SHAE2_50030.9	T265_02944
OG0000540	SHAE2_6210.3, SHAE2_6210.2, SHAE2_6210.1, SHAE2_6210.4	T265_06424
OG0000541	SHAE2_31090.1	T265_02592
OG0000542	SHAE2_92450.1, SHAE2_92450.8, SHAE2_92450.7, SHAE2_92450.6, SHAE2_92450.4, SHAE2_92450.3, SHAE2_92450.2, SHAE2_92450.5	T265_10499
OG0000543	SHAE2_17100.7, SHAE2_17100.6, SHAE2_17100.3, SHAE2_17100.1, SHAE2_17100.2, SHAE2_17100.4, SHAE2_17100.5, SHAE2_17100.8	T265_05515
OG0000544	SHAE2_84290.3, SHAE2_84290.6, SHAE2_84290.1, SHAE2_84290.2, SHAE2_84290.4, SHAE2_84290.5	T265_14759
OG0000545	SHAE2_49820.1	T265_01309
OG0000545	SHAE2_74160.3, SHAE2_74160.4, SHAE2_74160.1, SHAE2_74160.2	T265_13998
OG0000546	SHAE2_31850.9, SHAE2_31850.2, SHAE2_31850.5, SHAE2_31850.1, SHAE2_31850.3, SHAE2_31850.11, SHAE2_31850.12, SHAE2_31850.13, SHAE2_31850.4, SHAE2_31850.6, SHAE2_31850.7, SHAE2_31850.8, SHAE2_31850.10	T265_14392
OG0000547	SHAE2_94020.3, SHAE2_94020.2, SHAE2_94020.1	T265_07333
OG0000548	SHAE2_31750.4, SHAE2_31750.1, SHAE2_31750.3, SHAE2_31750.2	T265_14116
OG0000549	SHAE2_12790.1, SHAE2_12790.2, SHAE2_12790.3, SHAE2_12790.4, SHAE2_12790.5	T265_14374, T265_06649, T265_14373, T265_03050, T265_07757
OG0000550	SHAE2_20880.3, SHAE2_20880.1, SHAE2_20880.2, SHAE2_20870.1	T265_09507, T265_14868
OG0000551	SHAE2_51940.1	T265_04197, T265_11408, T265_09018, T265_09780, T265_09887
OG0000552	SHAE2_6030.2	T265_02926, T265_04606
OG0000552	SHAE2_91550.2, SHAE2_91550.1	T265_05767
OG0000553	SHAE2_100050.1, SHAE2_100040.1	T265_05228, T265_05227
OG0000554	SHAE2_12940.5, SHAE2_12940.6, SHAE2_12940.4, SHAE2_12940.1, SHAE2_12940.3, SHAE2_12940.2	T265_06137
OG0000555	SHAE2_46400.2, SHAE2_46400.1, SHAE2_46400.3, SHAE2_46400.4	T265_04699, T265_04748, T265_04698
OG0000556	SHAE2_70100.1	T265_05172
OG0000557	SHAE2_40680.10, SHAE2_40680.8, SHAE2_40680.9, SHAE2_40680.6, SHAE2_40680.1, SHAE2_40680.2, SHAE2_40680.4, SHAE2_40680.5, SHAE2_40680.3, SHAE2_40680.7	T265_09726
OG0000558	SHAE2_19970.4, SHAE2_19970.1, SHAE2_19970.3, SHAE2_19970.5, SHAE2_19970.2, SHAE2_19970.6, SHAE2_19970.7, SHAE2_19970.8	T265_02473, T265_07551
OG0000559	SHAE2_85190.1, SHAE2_85190.2, SHAE2_85190.3, SHAE2_85190.4	T265_15777, T265_15105
OG0000561	SHAE2_100430.1	T265_05307
OG0000562	SHAE2_89950.1	T265_09617, T265_14904, T265_14905
OG0000563	SHAE2_23270.1, SHAE2_23270.7, SHAE2_23270.2, SHAE2_23270.3, SHAE2_23270.4, SHAE2_23270.5, SHAE2_23270.6	T265_00934
OG0000564	SHAE2_44830.5, SHAE2_44830.1, SHAE2_44830.2, SHAE2_44830.3, SHAE2_44830.4	T265_04694
OG0000565	SHAE2_3970.1, SHAE2_3970.2, SHAE2_3970.3	T265_06308
OG0000566	SHAE2_86660.1, SHAE2_86660.2	T265_06381
OG0000567	SHAE2_70010.5, SHAE2_70010.4, SHAE2_70010.12, SHAE2_70010.13, SHAE2_70010.11, SHAE2_70010.6, SHAE2_70010.3, SHAE2_70010.8, SHAE2_70010.10, SHAE2_70010.9, SHAE2_70010.1, SHAE2_70010.2, SHAE2_70010.14, SHAE2_70010.15, SHAE2_70010.7	T265_09355
OG0000568	SHAE2_60300.1	T265_14125
OG0000568	SHAE2_71330.1	T265_06795
OG0000568	SHAE2_37730.1	T265_05196
OG0000569	SHAE2_11430.9, SHAE2_11430.1, SHAE2_11430.5, SHAE2_11430.7, SHAE2_11430.2, SHAE2_11430.4, SHAE2_11430.6, SHAE2_11430.8	T265_16092, T265_15315, T265_15990
OG0000570	SHAE2_14780.10, SHAE2_14780.7, SHAE2_14780.5, SHAE2_14780.8, SHAE2_14780.3, SHAE2_14780.4, SHAE2_14780.9, SHAE2_14780.11, SHAE2_14780.2, SHAE2_14780.12, SHAE2_14780.1, SHAE2_14780.6, SHAE2_14780.17, SHAE2_14780.16, SHAE2_14780.18, SHAE2_14780.13, SHAE2_14780.15, SHAE2_14780.14	T265_14462
OG0000571	SHAE2_10760.1	T265_09677
OG0000572	SHAE2_63320.1, SHAE2_63320.9, SHAE2_63320.8, SHAE2_63320.2, SHAE2_63320.4, SHAE2_63320.6, SHAE2_63320.11, SHAE2_63320.10, SHAE2_63320.7, SHAE2_63320.3, SHAE2_63320.5, SHAE2_63320.13, SHAE2_63320.14, SHAE2_63320.12	T265_13892
OG0000574	SHAE2_3420.1, SHAE2_3420.4, SHAE2_3420.5, SHAE2_3420.2, SHAE2_3420.3, SHAE2_3420.8, SHAE2_3420.6, SHAE2_3420.7, SHAE2_3420.9, SHAE2_3420.10, SHAE2_3440.1, SHAE2_3440.2	T265_09231
OG0000575	SHAE2_99880.4, SHAE2_99880.12, SHAE2_99880.3, SHAE2_99880.7, SHAE2_99880.5, SHAE2_99880.8, SHAE2_99880.10, SHAE2_99880.9, SHAE2_99880.1, SHAE2_99880.2, SHAE2_99880.11, SHAE2_99880.6	T265_13730
OG0000576	SHAE2_46950.1	T265_04125
OG0000577	SHAE2_56320.7, SHAE2_56320.1, SHAE2_56320.3, SHAE2_56320.4, SHAE2_56320.5, SHAE2_56320.2, SHAE2_56320.6	T265_03389
OG0000580	SHAE2_34660.1, SHAE2_34660.2	T265_11930
OG0000581	SHAE2_65170.1, SHAE2_65170.2	T265_03176, T265_03173
OG0000582	SHAE2_87460.1, SHAE2_87470.1	T265_01669, T265_01670, T265_01668, T265_01664, T265_01665, T265_01666
OG0000582	SHAE2_87480.1	T265_01671
OG0000583	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2	T265_02005
OG0000584	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8	T265_13228
OG0000585	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5	T265_00232
OG0000586	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6	T265_11386
OG0000587	SHAE2_69230.1	T265_07724
OG0000587	SHAE2_11250.1	T265_12893, T265_14323
OG0000588	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5, SHAE2_24650.3, SHAE2_24650.1, SHAE2_24650.2	T265_11101, T265_10758
OG0000589	SHAE2_58100.2, SHAE2_58100.3, SHAE2_58100.1	T265_12428, T265_12429, T265_12430, T265_12204, T265_12431, T265_08812, T265_15994, T265_12432, T265_12433, T265_00017
OG0000590	SHAE2_31460.1	T265_09102
OG0000590	SHAE2_43500.1	T265_06033
OG0000591	SHAE2_3980.1, SHAE2_3980.3, SHAE2_3980.8, SHAE2_3980.9, SHAE2_3980.2, SHAE2_3980.4, SHAE2_3980.5, SHAE2_3980.7, SHAE2_3980.6	T265_06310
OG0000592	SHAE2_33170.9, SHAE2_33170.4, SHAE2_33170.1, SHAE2_33170.2, SHAE2_33170.3, SHAE2_33170.6, SHAE2_33170.7, SHAE2_33170.5, SHAE2_33170.8	T265_14113
OG0000593	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19	T265_10773
OG0000594	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11	T265_05797, T265_06525
OG0000595	SHAE2_50990.3, SHAE2_50990.5, SHAE2_50990.6, SHAE2_50990.7, SHAE2_50990.2, SHAE2_50990.1, SHAE2_50990.4	T265_03869
OG0000599	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6	T265_07673
OG0000600	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2	T265_10590
OG0000601	SHAE2_100340.1, SHAE2_100340.3, SHAE2_100340.2, SHAE2_100340.4, SHAE2_100350.1	T265_04621, T265_04618
OG0000601	SHAE2_43860.1	T265_14218
OG0000602	SHAE2_17130.1	T265_09208, T265_12351
OG0000603	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4	T265_14992, T265_14991, T265_11543
OG0000605	SHAE2_29810.1, SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3	T265_14198
OG0000606	SHAE2_5840.1	T265_13221
OG0000607	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7	T265_10825
OG0000608	SHAE2_54080.3, SHAE2_54080.4, SHAE2_54080.5, SHAE2_54080.6, SHAE2_54080.1, SHAE2_54080.2	T265_02880, T265_02883
OG0000609	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8	T265_09254
OG0000610	SHAE2_30510.1, SHAE2_30510.4, SHAE2_30510.2, SHAE2_30510.3	T265_07616, T265_15716
OG0000610	SHAE2_24960.1	T265_05701
OG0000611	SHAE2_46030.1, SHAE2_46070.1, SHAE2_46050.1, SHAE2_46040.1, SHAE2_46060.1	T265_06968
OG0000612	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2	T265_09078
OG0000613	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3	T265_02832
OG0000614	SHAE2_47130.1	T265_12100
OG0000615	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3	T265_03195
OG0000616	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4	T265_08938
OG0000617	SHAE2_86170.1	T265_08274
OG0000618	SHAE2_39350.1	T265_13264
OG0000620	SHAE2_17340.1	T265_10505
OG0000620	SHAE2_49400.1	T265_00373, T265_00374
OG0000621	SHAE2_32320.1, SHAE2_32320.3, SHAE2_32320.2	T265_14537
OG0000622	SHAE2_77860.1	T265_00170
OG0000623	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4	T265_04780, T265_13600
OG0000624	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8	T265_15535, T265_11776, T265_13342
OG0000625	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9	T265_03633
OG0000626	SHAE2_57930.2, SHAE2_57930.4, SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6	T265_02683, T265_13068
OG0000627	SHAE2_13710.6, SHAE2_13710.4, SHAE2_13710.8, SHAE2_13710.1, SHAE2_13710.3, SHAE2_13710.5, SHAE2_13710.2, SHAE2_13710.7	T265_09410
OG0000628	SHAE2_65260.1, SHAE2_65260.2	T265_08778, T265_14669, T265_16036
OG0000629	SHAE2_41780.1	T265_05422
OG0000630	SHAE2_62790.1	T265_11517
OG0000631	SHAE2_70150.1, SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4	T265_00494
OG0000632	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4	T265_03948
OG0000633	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8	T265_08226
OG0000636	SHAE2_100110.1	T265_09528
OG0000637	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17	T265_08691
OG0000638	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3	T265_12571, T265_16335
OG0000639	SHAE2_65930.1	T265_08132
OG0000640	SHAE2_90000.1, SHAE2_89970.1, SHAE2_89980.1	T265_06014
OG0000641	SHAE2_7200.1	T265_11906
OG0000641	SHAE2_5070.1	T265_08520
OG0000642	SHAE2_66000.2, SHAE2_66000.1, SHAE2_66000.3, SHAE2_66000.4	T265_00484
OG0000643	SHAE2_55330.1	T265_06781
OG0000643	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3	T265_00368
OG0000644	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2	T265_10096
OG0000645	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1	T265_06416, T265_14031
OG0000646	SHAE2_10750.1	T265_14032, T265_09682
OG0000647	SHAE2_66200.1	T265_01179
OG0000649	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3	T265_14362
