Orthogroup	schistosoma_haematobium	fasciola_hepatica
OG0000778	SHAE2_25120.2, SHAE2_25120.1	FhHiC23_g8974.t3, FhHiC23_g8974.t2, FhHiC23_g8974.t1
OG0000779	SHAE2_4230.1, SHAE2_4230.3, SHAE2_4230.2	FhHiC23_g12940.t1
OG0000780	SHAE2_16740.1	FhHiC23_g11962.t1, FhHiC23_g11962.t2
OG0000781	SHAE2_13090.1	FhHiC23_g12015.t1
OG0000781	SHAE2_630.1, SHAE2_630.2, SHAE2_630.3	FhHiC23_g12484.t1
OG0000782	SHAE2_33920.1	FhHiC23_g5041.t1
OG0000783	SHAE2_53890.1	FhHiC23_g517.t1, FhHiC23_g517.t2
OG0000784	SHAE2_33840.4, SHAE2_33840.7, SHAE2_33840.6, SHAE2_33840.8, SHAE2_33840.1, SHAE2_33840.2, SHAE2_33840.3, SHAE2_33840.5	FhHiC23_g5076.t1, FhHiC23_g5076.t2, FhHiC23_g5076.t3
OG0000785	SHAE2_62880.1, SHAE2_62880.3, SHAE2_62880.5, SHAE2_62880.6, SHAE2_62880.2, SHAE2_62880.4	FhHiC23_g7530.t2, FhHiC23_g7530.t1
OG0000786	SHAE2_43660.7, SHAE2_43660.6, SHAE2_43660.8, SHAE2_43660.4, SHAE2_43660.5, SHAE2_43660.2, SHAE2_43660.3, SHAE2_43660.1	FhHiC23_g14478.t2, FhHiC23_g14478.t1
OG0000787	SHAE2_98280.1, SHAE2_98280.2, SHAE2_63630.2, SHAE2_63630.1	FhHiC23_g2.t1
OG0000788	SHAE2_15340.1, SHAE2_15340.3, SHAE2_15340.9, SHAE2_15340.2, SHAE2_15340.6, SHAE2_15340.7, SHAE2_15340.5, SHAE2_15340.4, SHAE2_15340.8	FhHiC23_g11230.t1
OG0000789	SHAE2_27810.1, SHAE2_27800.1, SHAE2_27800.2, SHAE2_27800.3, SHAE2_27800.4	FhHiC23_g9116.t1
OG0000790	SHAE2_42270.1, SHAE2_42270.3, SHAE2_42270.4, SHAE2_42270.5, SHAE2_42270.2, SHAE2_42270.6	FhHiC23_g5792.t2, FhHiC23_g5792.t1
OG0000791	SHAE2_45580.3, SHAE2_45580.1, SHAE2_45580.2	FhHiC23_g14599.t8, FhHiC23_g14599.t1
OG0000792	SHAE2_6160.1, SHAE2_6160.2	FhHiC23_g13134.t1, FhHiC23_g13134.t3, FhHiC23_g13134.t2
OG0000793	SHAE2_37000.6, SHAE2_37000.8, SHAE2_37000.7, SHAE2_37000.2, SHAE2_37000.1, SHAE2_37000.3, SHAE2_37000.4, SHAE2_37000.5	FhHiC23_g5735.t1, FhHiC23_g5735.t2
OG0000794	SHAE2_11930.1	FhHiC23_g12584.t1, FhHiC23_g12583.t1
OG0000795	SHAE2_100770.1	FhHiC23_g9895.t1
OG0000796	SHAE2_17770.1, SHAE2_17760.1	FhHiC23_g15331.t1, FhHiC23_g16584.t1, FhHiC23_g16615.t1, FhHiC23_g16612.t1, FhHiC23_g16613.t1
OG0000797	SHAE2_23330.3, SHAE2_23330.1, SHAE2_23330.2	FhHiC23_g15502.t1
OG0000798	SHAE2_1610.2, SHAE2_1610.1, SHAE2_1610.3	FhHiC23_g13257.t1, FhHiC23_g13257.t2
OG0000799	SHAE2_71050.1, SHAE2_71050.2, SHAE2_71050.3, SHAE2_71050.4, SHAE2_71050.5, SHAE2_71050.6, SHAE2_71050.7, SHAE2_71050.8	FhHiC23_g8434.t2, FhHiC23_g8434.t3
OG0000800	SHAE2_11860.2, SHAE2_11860.5, SHAE2_11860.4, SHAE2_11860.3, SHAE2_11860.1	FhHiC23_g11946.t1
OG0000801	SHAE2_17670.1, SHAE2_17670.3, SHAE2_17670.2, SHAE2_17670.4	FhHiC23_g15119.t1, FhHiC23_g15119.t2, FhHiC23_g15119.t3, FhHiC23_g15119.t4
OG0000802	SHAE2_77750.1	FhHiC23_g3399.t1
OG0000802	SHAE2_62560.1	FhHiC23_g6818.t1, FhHiC23_g16239.t1
OG0000803	SHAE2_83610.1, SHAE2_83610.2	FhHiC23_g13841.t1, FhHiC23_g2337.t1, FhHiC23_g15471.t1
OG0000804	SHAE2_44230.4, SHAE2_44230.2, SHAE2_44230.3, SHAE2_44230.6, SHAE2_44230.5, SHAE2_44230.1	FhHiC23_g6485.t1, FhHiC23_g6485.t2
OG0000805	SHAE2_39300.5, SHAE2_39300.6, SHAE2_39300.1, SHAE2_39300.4, SHAE2_39300.2, SHAE2_39300.3	FhHiC23_g5909.t1
OG0000806	SHAE2_78160.1, SHAE2_78160.2, SHAE2_78160.3	FhHiC23_g583.t2, FhHiC23_g583.t1
OG0000807	SHAE2_103460.2, SHAE2_103460.1	FhHiC23_g13604.t1
OG0000808	SHAE2_98840.1	FhHiC23_g9334.t1
OG0000808	SHAE2_98850.1, SHAE2_98850.2	FhHiC23_g9332.t1, FhHiC23_g9332.t2, FhHiC23_g14938.t1
OG0000809	SHAE2_96350.1, SHAE2_96360.1	FhHiC23_g16417.t1
OG0000810	SHAE2_27390.1, SHAE2_27390.2, SHAE2_27390.3	FhHiC23_g10475.t2, FhHiC23_g10475.t1
OG0000811	SHAE2_12850.1, SHAE2_12850.2, SHAE2_12850.3, SHAE2_12850.4, SHAE2_12850.5, SHAE2_12850.6	FhHiC23_g10638.t1
OG0000812	SHAE2_13870.1, SHAE2_13870.2, SHAE2_13870.5, SHAE2_13870.6, SHAE2_13870.7, SHAE2_13870.9, SHAE2_13870.8, SHAE2_13870.3, SHAE2_13870.4	FhHiC23_g11181.t1
OG0000813	SHAE2_91820.3, SHAE2_91820.5, SHAE2_91820.1, SHAE2_91820.2, SHAE2_91820.4	FhHiC23_g4330.t1
OG0000814	SHAE2_67620.1, SHAE2_67650.3, SHAE2_67650.1, SHAE2_67650.2	FhHiC23_g7686.t1
OG0000815	SHAE2_63610.1	FhHiC23_g6768.t3, FhHiC23_g6772.t2, FhHiC23_g6772.t1, FhHiC23_g6772.t3, FhHiC23_g6768.t2, FhHiC23_g6768.t1
OG0000816	SHAE2_103250.1	FhHiC23_g4576.t1, FhHiC23_g4576.t2
OG0000817	SHAE2_93780.1, SHAE2_93780.2, SHAE2_93780.3, SHAE2_93780.5, SHAE2_93780.6, SHAE2_93780.4	FhHiC23_g16858.t1
OG0000818	SHAE2_13320.1	FhHiC23_g10948.t2, FhHiC23_g10948.t1, FhHiC23_g10948.t3
OG0000819	SHAE2_69700.1, SHAE2_69700.2, SHAE2_69700.4, SHAE2_69700.3	FhHiC23_g6869.t1
OG0000820	SHAE2_89890.1	FhHiC23_g3713.t1
OG0000820	SHAE2_30150.1	FhHiC23_g7290.t1, FhHiC23_g9731.t1
OG0000821	SHAE2_52370.7, SHAE2_52370.10, SHAE2_52370.6, SHAE2_52370.8, SHAE2_52370.1, SHAE2_52370.11, SHAE2_52370.5, SHAE2_52370.9, SHAE2_52370.3, SHAE2_52370.4, SHAE2_52370.12, SHAE2_52370.13, SHAE2_52370.2	FhHiC23_g1618.t1, FhHiC23_g1618.t2
OG0000822	SHAE2_78940.1	FhHiC23_g771.t1
OG0000823	SHAE2_56640.1	FhHiC23_g44.t1
OG0000824	SHAE2_3630.3, SHAE2_3630.2, SHAE2_3630.1	FhHiC23_g13071.t1, FhHiC23_g13070.t1
OG0000825	SHAE2_81540.1, SHAE2_81540.2, SHAE2_81550.1, SHAE2_81530.1	FhHiC23_g3138.t1, FhHiC23_g3138.t2
OG0000826	SHAE2_58500.8, SHAE2_58500.1, SHAE2_58500.4, SHAE2_58500.2, SHAE2_58500.3, SHAE2_58500.5, SHAE2_58500.6, SHAE2_58500.7	FhHiC23_g1233.t1
OG0000827	SHAE2_79880.1, SHAE2_79880.2	FhHiC23_g2450.t1
OG0000830	SHAE2_52150.6, SHAE2_52150.7, SHAE2_52150.2, SHAE2_52150.4, SHAE2_52150.1, SHAE2_52150.3, SHAE2_52150.5	FhHiC23_g1583.t2, FhHiC23_g1583.t3, FhHiC23_g1583.t1
OG0000831	SHAE2_45320.1, SHAE2_45320.2, SHAE2_45320.3, SHAE2_45320.4, SHAE2_45320.5, SHAE2_45320.6	FhHiC23_g14581.t1, FhHiC23_g14581.t2, FhHiC23_g12373.t1
OG0000832	SHAE2_64400.7, SHAE2_64400.8, SHAE2_64400.2, SHAE2_64400.3, SHAE2_64400.4, SHAE2_64400.1	FhHiC23_g8488.t1, FhHiC23_g6895.t1
OG0000833	SHAE2_36180.4, SHAE2_36180.1, SHAE2_36180.2, SHAE2_36180.3	FhHiC23_g6028.t1, FhHiC23_g6028.t2
OG0000834	SHAE2_51980.2, SHAE2_51980.6, SHAE2_51980.10, SHAE2_51980.8, SHAE2_51980.1, SHAE2_51980.3, SHAE2_51980.9, SHAE2_51980.4, SHAE2_51980.5, SHAE2_51980.7	FhHiC23_g977.t1
OG0000835	SHAE2_40980.3, SHAE2_40980.1, SHAE2_40980.2, SHAE2_40980.4	FhHiC23_g14565.t1, FhHiC23_g12942.t1
OG0000836	SHAE2_40290.1	FhHiC23_g5942.t1
OG0000837	SHAE2_34640.3, SHAE2_34640.2, SHAE2_34640.5, SHAE2_34640.4, SHAE2_34640.1	FhHiC23_g5533.t1, FhHiC23_g5533.t2, FhHiC23_g5533.t3
OG0000838	SHAE2_42060.1, SHAE2_42070.2, SHAE2_42070.1, SHAE2_42070.3, SHAE2_42070.4, SHAE2_42070.5	FhHiC23_g6227.t1
OG0000839	SHAE2_41460.10, SHAE2_41460.9, SHAE2_41460.2, SHAE2_41460.1, SHAE2_41460.4, SHAE2_41460.3, SHAE2_41460.5, SHAE2_41460.7, SHAE2_41460.6, SHAE2_41460.8	FhHiC23_g5173.t1
OG0000840	SHAE2_74760.4, SHAE2_74760.6, SHAE2_74760.5, SHAE2_74760.2, SHAE2_74760.1, SHAE2_74760.3	FhHiC23_g2678.t1
OG0000841	SHAE2_22960.7, SHAE2_22960.3, SHAE2_22960.2, SHAE2_22960.6, SHAE2_22960.1, SHAE2_22960.5, SHAE2_22960.9, SHAE2_22960.8, SHAE2_22960.10, SHAE2_22960.4	FhHiC23_g15177.t1, FhHiC23_g15177.t2
OG0000842	SHAE2_71320.2, SHAE2_71320.4, SHAE2_71320.1, SHAE2_71320.3	FhHiC23_g7024.t2, FhHiC23_g7024.t1
OG0000843	SHAE2_86730.2, SHAE2_86730.1	FhHiC23_g4065.t1
OG0000844	SHAE2_5760.1, SHAE2_5760.2, SHAE2_5760.4, SHAE2_5760.5, SHAE2_5760.3, SHAE2_5760.6	FhHiC23_g12924.t1
OG0000845	SHAE2_95250.1, SHAE2_95250.2	FhHiC23_g4362.t1, FhHiC23_g4362.t3, FhHiC23_g4362.t2, FhHiC23_g4362.t4
OG0000846	SHAE2_19010.1	FhHiC23_g9742.t3, FhHiC23_g9742.t2, FhHiC23_g9742.t1, FhHiC23_g9742.t4
OG0000847	SHAE2_1530.1	FhHiC23_g12640.t1
OG0000848	SHAE2_37610.3, SHAE2_37610.1, SHAE2_37610.5, SHAE2_37610.6, SHAE2_37610.2, SHAE2_37610.9, SHAE2_37610.11, SHAE2_37610.4, SHAE2_37610.7, SHAE2_37610.10, SHAE2_37610.12, SHAE2_37610.8	FhHiC23_g6091.t1, FhHiC23_g6091.t2
OG0000849	SHAE2_42110.1, SHAE2_42110.3, SHAE2_42110.4, SHAE2_42110.7, SHAE2_42110.8, SHAE2_42110.2, SHAE2_42110.5, SHAE2_42110.6, SHAE2_42110.9, SHAE2_42110.11, SHAE2_42110.10, SHAE2_42110.12	FhHiC23_g5869.t1, FhHiC23_g5869.t2
OG0000850	SHAE2_29600.4, SHAE2_29600.5, SHAE2_29600.6, SHAE2_29600.7, SHAE2_29600.8, SHAE2_29600.3, SHAE2_29600.1, SHAE2_29600.2	FhHiC23_g10184.t1
OG0000851	SHAE2_96370.1, SHAE2_96370.2, SHAE2_96370.3, SHAE2_96370.5, SHAE2_96370.6, SHAE2_96370.4	FhHiC23_g16853.t2, FhHiC23_g16853.t1
OG0000852	SHAE2_12680.8, SHAE2_12680.2, SHAE2_12680.3, SHAE2_12680.1, SHAE2_12680.5, SHAE2_12680.6, SHAE2_12680.7, SHAE2_12680.9, SHAE2_12680.4	FhHiC23_g11992.t1
OG0000853	SHAE2_87270.4, SHAE2_87270.3, SHAE2_87270.1, SHAE2_87270.2	FhHiC23_g3483.t2, FhHiC23_g3483.t1
OG0000854	SHAE2_40330.1, SHAE2_40340.1	FhHiC23_g6111.t1
OG0000855	SHAE2_57770.1, SHAE2_57770.3, SHAE2_57770.2, SHAE2_57770.5, SHAE2_57770.6, SHAE2_57770.4	FhHiC23_g2348.t4, FhHiC23_g2348.t5
OG0000856	SHAE2_3490.1, SHAE2_3490.12, SHAE2_3490.2, SHAE2_3490.4, SHAE2_3490.5, SHAE2_3490.7, SHAE2_3490.10, SHAE2_3490.13, SHAE2_3490.14, SHAE2_3490.6, SHAE2_3490.3, SHAE2_3490.9, SHAE2_3490.11, SHAE2_3490.8	FhHiC23_g12667.t1
OG0000857	SHAE2_4720.3, SHAE2_4720.4, SHAE2_4720.1, SHAE2_4720.2, SHAE2_4720.5	FhHiC23_g13593.t1, FhHiC23_g13593.t2
OG0000858	SHAE2_5100.4, SHAE2_5100.1, SHAE2_5100.7, SHAE2_5100.6, SHAE2_5100.2, SHAE2_5100.3, SHAE2_5100.8, SHAE2_5100.5	FhHiC23_g12474.t1
OG0000859	SHAE2_52760.1, SHAE2_52760.4, SHAE2_52760.3, SHAE2_52760.2	FhHiC23_g931.t1, FhHiC23_g929.t1, FhHiC23_g929.t2
OG0000860	SHAE2_63890.1	FhHiC23_g6802.t1, FhHiC23_g6802.t2
OG0000860	SHAE2_66610.2, SHAE2_66610.1	FhHiC23_g7173.t1
OG0000861	SHAE2_13550.1, SHAE2_13550.2	FhHiC23_g11957.t1
OG0000862	SHAE2_32280.1, SHAE2_32280.2, SHAE2_32280.3, SHAE2_32280.4	FhHiC23_g5265.t1, FhHiC23_g5265.t2
OG0000863	SHAE2_7880.1	FhHiC23_g12072.t1
OG0000864	SHAE2_43260.1	FhHiC23_g5194.t1
OG0000865	SHAE2_36140.2, SHAE2_36140.3, SHAE2_36140.1, SHAE2_36140.4, SHAE2_36140.5	FhHiC23_g6437.t1
OG0000866	SHAE2_1040.2, SHAE2_1040.6, SHAE2_1040.1, SHAE2_1040.8, SHAE2_1040.7, SHAE2_1040.4, SHAE2_1040.5, SHAE2_1040.3	FhHiC23_g12841.t1
OG0000867	SHAE2_7760.1, SHAE2_7760.2, SHAE2_7760.5, SHAE2_7760.3, SHAE2_7760.4, SHAE2_7760.6, SHAE2_7760.7	FhHiC23_g11700.t1
OG0000869	SHAE2_94700.2, SHAE2_94700.5, SHAE2_94700.6, SHAE2_94700.1, SHAE2_94700.4, SHAE2_94700.3	FhHiC23_g16177.t1
OG0000870	SHAE2_1270.1	FhHiC23_g13098.t1
OG0000871	SHAE2_30920.11, SHAE2_30920.1, SHAE2_30920.2, SHAE2_30920.4, SHAE2_30920.5, SHAE2_30920.6, SHAE2_30920.7, SHAE2_30920.8, SHAE2_30920.9, SHAE2_30920.3, SHAE2_30920.10	FhHiC23_g6154.t1
OG0000872	SHAE2_4600.1, SHAE2_4600.3, SHAE2_4600.4, SHAE2_4600.5, SHAE2_4600.6, SHAE2_4600.7, SHAE2_4600.2, SHAE2_4600.8	FhHiC23_g12608.t2, FhHiC23_g12608.t1
OG0000873	SHAE2_91750.2, SHAE2_91750.5, SHAE2_91750.8, SHAE2_91750.4, SHAE2_91750.7, SHAE2_91750.3, SHAE2_91750.6, SHAE2_91750.1	FhHiC23_g4429.t1, FhHiC23_g4429.t3, FhHiC23_g4429.t2
OG0000874	SHAE2_45890.1, SHAE2_45890.11, SHAE2_45890.2, SHAE2_45890.3, SHAE2_45890.4, SHAE2_45890.5, SHAE2_45890.7, SHAE2_45890.9, SHAE2_45890.6, SHAE2_45890.8, SHAE2_45890.10	FhHiC23_g14447.t1, FhHiC23_g14448.t1, FhHiC23_g14456.t1, FhHiC23_g14458.t1, FhHiC23_g14458.t2
OG0000875	SHAE2_66540.4, SHAE2_66540.3, SHAE2_66540.2, SHAE2_66540.1, SHAE2_66540.5	FhHiC23_g8094.t2, FhHiC23_g8094.t1, FhHiC23_g8094.t3
OG0000876	SHAE2_26230.2, SHAE2_26230.1, SHAE2_26230.3, SHAE2_26230.4	FhHiC23_g10132.t1, FhHiC23_g10126.t1
OG0000877	SHAE2_7810.1, SHAE2_7810.2, SHAE2_7810.4, SHAE2_7810.3	FhHiC23_g12038.t1, FhHiC23_g12038.t2, FhHiC23_g12038.t3
OG0000878	SHAE2_20630.1	FhHiC23_g11004.t1, FhHiC23_g11004.t2
OG0000879	SHAE2_62370.1, SHAE2_62390.1	FhHiC23_g6860.t1, FhHiC23_g6860.t2
OG0000880	SHAE2_84050.1, SHAE2_84050.10, SHAE2_84050.5, SHAE2_84050.11, SHAE2_84050.7, SHAE2_84050.3, SHAE2_84050.2, SHAE2_84050.4, SHAE2_84050.6, SHAE2_84050.8, SHAE2_84050.9	FhHiC23_g2219.t1
OG0000881	SHAE2_5120.1	FhHiC23_g12891.t1, FhHiC23_g12891.t2, FhHiC23_g12891.t3
OG0000881	SHAE2_96200.1, SHAE2_96170.1	FhHiC23_g16682.t1, FhHiC23_g16682.t3
OG0000882	SHAE2_24220.1	FhHiC23_g15594.t1, FhHiC23_g15594.t2
OG0000882	SHAE2_43040.2, SHAE2_43040.1, SHAE2_43040.3	FhHiC23_g5993.t1
OG0000883	SHAE2_43030.2, SHAE2_43030.1, SHAE2_43030.5, SHAE2_43030.6, SHAE2_43030.9, SHAE2_43030.3, SHAE2_43030.7, SHAE2_43030.8, SHAE2_43030.4	FhHiC23_g5991.t1
OG0000884	SHAE2_42310.1, SHAE2_42310.2	FhHiC23_g4988.t1, FhHiC23_g4988.t2
OG0000886	SHAE2_74840.1, SHAE2_74840.3, SHAE2_74840.2	FhHiC23_g1547.t1
OG0000887	SHAE2_21790.2, SHAE2_21790.5, SHAE2_21790.4, SHAE2_21790.7, SHAE2_21790.3, SHAE2_21790.1, SHAE2_21790.6	FhHiC23_g11404.t1
OG0000888	SHAE2_83180.1, SHAE2_83190.1	FhHiC23_g3221.t1
OG0000889	SHAE2_30000.1, SHAE2_30000.2	FhHiC23_g10327.t1, FhHiC23_g10327.t2
OG0000890	SHAE2_43810.11, SHAE2_43810.2, SHAE2_43810.3, SHAE2_43810.4, SHAE2_43810.7, SHAE2_43810.6, SHAE2_43810.1, SHAE2_43810.10, SHAE2_43810.12, SHAE2_43810.5, SHAE2_43810.9, SHAE2_43810.8	FhHiC23_g13982.t1
OG0000891	SHAE2_40150.1	FhHiC23_g5460.t1
OG0000892	SHAE2_55260.3, SHAE2_55260.1, SHAE2_55260.2	FhHiC23_g1375.t1
OG0000894	SHAE2_93010.1, SHAE2_93010.4, SHAE2_93010.5, SHAE2_93010.6, SHAE2_93010.3, SHAE2_93010.2	FhHiC23_g4413.t1
OG0000895	SHAE2_46840.6, SHAE2_46840.1, SHAE2_46840.8, SHAE2_46840.5, SHAE2_46840.2, SHAE2_46840.7, SHAE2_46840.4, SHAE2_46840.3	FhHiC23_g14019.t3, FhHiC23_g14019.t1, FhHiC23_g14019.t2
OG0000896	SHAE2_22260.1, SHAE2_22280.2, SHAE2_22280.3, SHAE2_22280.1	FhHiC23_g15166.t1, FhHiC23_g15166.t2, FhHiC23_g15166.t3
OG0000897	SHAE2_11920.1, SHAE2_11920.2, SHAE2_11920.4, SHAE2_11920.3, SHAE2_11920.5	FhHiC23_g11656.t2, FhHiC23_g11656.t1, FhHiC23_g2581.t1, FhHiC23_g2581.t2
OG0000898	SHAE2_76400.1	FhHiC23_g2752.t1
OG0000899	SHAE2_16230.1	FhHiC23_g11385.t1
OG0000900	SHAE2_4170.1, SHAE2_4160.1	FhHiC23_g12918.t1, FhHiC23_g13771.t1
OG0000901	SHAE2_66720.5, SHAE2_66720.6, SHAE2_66720.4, SHAE2_66720.1, SHAE2_66720.2, SHAE2_66720.3	FhHiC23_g7940.t1, FhHiC23_g7940.t2
OG0000902	SHAE2_58360.2, SHAE2_58360.1	FhHiC23_g393.t1
OG0000903	SHAE2_17420.3, SHAE2_17420.1, SHAE2_17420.2	FhHiC23_g10751.t1
OG0000904	SHAE2_5640.1	FhHiC23_g12793.t1, FhHiC23_g12793.t2
OG0000905	SHAE2_83350.2, SHAE2_83350.3, SHAE2_83350.5, SHAE2_83350.1, SHAE2_83350.4, SHAE2_83350.6, SHAE2_83350.7, SHAE2_83350.8	FhHiC23_g1090.t1, FhHiC23_g1090.t2
OG0000906	SHAE2_68040.1	FhHiC23_g7197.t1, FhHiC23_g7197.t2
OG0000907	SHAE2_79090.1, SHAE2_79090.2, SHAE2_79090.3, SHAE2_79090.4	FhHiC23_g2389.t5, FhHiC23_g2389.t1, FhHiC23_g2389.t2, FhHiC23_g2389.t3, FhHiC23_g2389.t4
OG0000910	SHAE2_10020.1, SHAE2_10020.2, SHAE2_10020.3	FhHiC23_g12643.t1, FhHiC23_g12643.t2
OG0000911	SHAE2_62180.1	FhHiC23_g6963.t1
OG0000912	SHAE2_6970.7, SHAE2_6970.10, SHAE2_6970.8, SHAE2_6970.11, SHAE2_6970.4, SHAE2_6970.5, SHAE2_6970.6, SHAE2_6970.9, SHAE2_6970.2, SHAE2_6970.1, SHAE2_6970.3	FhHiC23_g11622.t1
OG0000913	SHAE2_33740.3, SHAE2_33740.1, SHAE2_33740.4, SHAE2_33740.5, SHAE2_33740.2	FhHiC23_g10414.t5, FhHiC23_g10414.t4, FhHiC23_g10414.t1, FhHiC23_g10414.t2, FhHiC23_g10414.t3, FhHiC23_g8600.t1, FhHiC23_g8600.t2, FhHiC23_g4451.t1, FhHiC23_g4451.t2
OG0000914	SHAE2_41490.3, SHAE2_41490.4, SHAE2_41490.2, SHAE2_41490.1, SHAE2_41490.5	FhHiC23_g5784.t1, FhHiC23_g5784.t2
OG0000915	SHAE2_31880.1	FhHiC23_g6538.t1
OG0000916	SHAE2_42590.1	FhHiC23_g5150.t2, FhHiC23_g5150.t1
OG0000917	SHAE2_89530.1	FhHiC23_g3879.t3, FhHiC23_g3879.t1, FhHiC23_g3879.t2
OG0000918	SHAE2_29010.1	FhHiC23_g10495.t2, FhHiC23_g10495.t1
OG0000919	SHAE2_89720.3, SHAE2_89720.1, SHAE2_89720.6, SHAE2_89720.5, SHAE2_89720.7, SHAE2_89720.2, SHAE2_89720.4	FhHiC23_g3732.t1, FhHiC23_g3732.t2
OG0000921	SHAE2_46300.5, SHAE2_46300.3, SHAE2_46300.1, SHAE2_46300.2, SHAE2_46300.4	FhHiC23_g14388.t2, FhHiC23_g14388.t1
OG0000922	SHAE2_7420.1	FhHiC23_g11428.t1
OG0000922	SHAE2_7410.1	FhHiC23_g11429.t1, FhHiC23_g11429.t2, FhHiC23_g11429.t3, FhHiC23_g11434.t1, FhHiC23_g11435.t1, FhHiC23_g11431.t1
OG0000923	SHAE2_98560.1	FhHiC23_g9137.t1
OG0000925	SHAE2_18470.3, SHAE2_18470.1, SHAE2_18470.2	FhHiC23_g11612.t1, FhHiC23_g11612.t2
OG0000926	SHAE2_29380.1, SHAE2_29350.1, SHAE2_29350.2, SHAE2_29350.3, SHAE2_29350.5, SHAE2_29350.6, SHAE2_29350.4	FhHiC23_g9543.t1, FhHiC23_g9543.t2
OG0000927	SHAE2_23540.1	FhHiC23_g15558.t1
OG0000928	SHAE2_34570.1, SHAE2_34570.2	FhHiC23_g5523.t1, FhHiC23_g5523.t2
OG0000929	SHAE2_69200.1, SHAE2_69200.2, SHAE2_69200.3, SHAE2_69200.4	FhHiC23_g7701.t1, FhHiC23_g7701.t2
OG0000930	SHAE2_45250.1	FhHiC23_g13968.t1
OG0000931	SHAE2_75800.4, SHAE2_75800.6, SHAE2_75800.3, SHAE2_75800.2, SHAE2_75800.5, SHAE2_75800.1	FhHiC23_g824.t1, FhHiC23_g821.t1, FhHiC23_g821.t2
OG0000932	SHAE2_1440.1, SHAE2_1440.2, SHAE2_1440.4, SHAE2_1440.5, SHAE2_1440.7, SHAE2_1440.9, SHAE2_1440.8, SHAE2_1440.3, SHAE2_1440.6	FhHiC23_g12855.t2, FhHiC23_g12855.t1, FhHiC23_g12855.t3
OG0000933	SHAE2_42680.5, SHAE2_42680.4, SHAE2_42680.6, SHAE2_42680.2, SHAE2_42680.1, SHAE2_42680.3	FhHiC23_g5801.t1
OG0000934	SHAE2_12000.3, SHAE2_12000.2, SHAE2_12000.1, SHAE2_12000.4	FhHiC23_g11672.t2, FhHiC23_g11672.t1
OG0000935	SHAE2_68500.1, SHAE2_68500.2, SHAE2_68500.3, SHAE2_68500.5, SHAE2_68500.4	FhHiC23_g7749.t1
OG0000936	SHAE2_99330.1	FhHiC23_g9655.t1
OG0000937	SHAE2_57510.1	FhHiC23_g3159.t1
OG0000938	SHAE2_63760.1, SHAE2_63760.2	FhHiC23_g6779.t1, FhHiC23_g6778.t1
OG0000939	SHAE2_92260.3, SHAE2_92260.4, SHAE2_92260.1, SHAE2_92260.2	FhHiC23_g16569.t1, FhHiC23_g16569.t2, FhHiC23_g16569.t3
OG0000940	SHAE2_6270.1, SHAE2_6270.2	FhHiC23_g12811.t1
OG0000941	SHAE2_34400.5, SHAE2_34400.3, SHAE2_34400.6, SHAE2_34400.2, SHAE2_34400.4, SHAE2_34400.1, SHAE2_34390.3, SHAE2_34390.1, SHAE2_34390.2	FhHiC23_g6008.t1
OG0000942	SHAE2_18000.2, SHAE2_18000.1, SHAE2_18000.4, SHAE2_18000.3, SHAE2_18000.5	FhHiC23_g4439.t1, FhHiC23_g11939.t2, FhHiC23_g11939.t1
OG0000943	SHAE2_31000.5, SHAE2_31000.2, SHAE2_31000.6, SHAE2_31000.3, SHAE2_31000.4, SHAE2_31000.1, SHAE2_31000.7	FhHiC23_g5257.t1
OG0000944	SHAE2_61850.3, SHAE2_61850.1, SHAE2_61850.2	FhHiC23_g222.t1, FhHiC23_g223.t1, FhHiC23_g12677.t1, FhHiC23_g8396.t1
OG0000945	SHAE2_13200.1	FhHiC23_g11090.t1
OG0000946	SHAE2_10570.5, SHAE2_10570.1, SHAE2_10570.4, SHAE2_10570.2, SHAE2_10570.3	FhHiC23_g13160.t1
OG0000947	SHAE2_41810.1, SHAE2_41810.2, SHAE2_41810.4, SHAE2_41810.5, SHAE2_41810.6, SHAE2_41810.7, SHAE2_41810.10, SHAE2_41810.8, SHAE2_41810.12, SHAE2_41810.3, SHAE2_41810.9, SHAE2_41810.11	FhHiC23_g6472.t1
OG0000948	SHAE2_86050.1, SHAE2_86050.2, SHAE2_86050.3, SHAE2_86050.4, SHAE2_86050.5	FhHiC23_g3632.t1
OG0000949	SHAE2_18210.1, SHAE2_18220.1, SHAE2_18200.1	FhHiC23_g11661.t1, FhHiC23_g11663.t1, FhHiC23_g11664.t1
OG0000950	SHAE2_56590.6, SHAE2_56590.1, SHAE2_56590.4, SHAE2_56590.5, SHAE2_56590.2, SHAE2_56590.3	FhHiC23_g737.t1, FhHiC23_g737.t2
OG0000951	SHAE2_98620.2, SHAE2_98620.1	FhHiC23_g9154.t1
OG0000952	SHAE2_31920.1, SHAE2_31920.3, SHAE2_31920.4, SHAE2_31920.2	FhHiC23_g4678.t1
OG0000953	SHAE2_66830.4, SHAE2_66830.1, SHAE2_66830.2, SHAE2_66830.3, SHAE2_66830.5	FhHiC23_g8364.t1
OG0000955	SHAE2_14330.4, SHAE2_14330.1, SHAE2_14330.2, SHAE2_14330.3, SHAE2_14330.5	FhHiC23_g11409.t1
OG0000958	SHAE2_15460.1	FhHiC23_g15702.t1
