Orthogroup	schistosoma_haematobium	schistosoma_rodhaini
OG0000547	SHAE2_94020.3, SHAE2_94020.2, SHAE2_94020.1	SRDH2_91520.8, SRDH2_91520.5, SRDH2_91520.16, SRDH2_91520.15, SRDH2_91520.4, SRDH2_91520.7, SRDH2_91520.2, SRDH2_91520.14, SRDH2_91520.12, SRDH2_91520.1, SRDH2_91520.3, SRDH2_91520.6, SRDH2_91520.13, SRDH2_91520.11, SRDH2_91520.9, SRDH2_91520.10
OG0000548	SHAE2_31750.4, SHAE2_31750.1, SHAE2_31750.3, SHAE2_31750.2	SRDH2_30030.5, SRDH2_30030.6, SRDH2_30030.8, SRDH2_30030.9, SRDH2_30030.10, SRDH2_30030.4, SRDH2_30030.1, SRDH2_30030.3, SRDH2_30030.7, SRDH2_30030.11, SRDH2_30030.12, SRDH2_30030.13, SRDH2_30030.2
OG0000549	SHAE2_12790.1, SHAE2_12790.2, SHAE2_12790.3, SHAE2_12790.4, SHAE2_12790.5	SRDH2_11350.1, SRDH2_11350.2, SRDH2_11350.3
OG0000550	SHAE2_20880.3, SHAE2_20880.1, SHAE2_20880.2	SRDH2_19140.7, SRDH2_19140.3, SRDH2_19140.4, SRDH2_19140.5, SRDH2_19140.6
OG0000550	SHAE2_20870.1	SRDH2_19140.1, SRDH2_19140.2
OG0000552	SHAE2_6030.1	SRDH2_5570.1
OG0000552	SHAE2_91550.1	SRDH2_88960.1
OG0000553	SHAE2_100050.1	SRDH2_97900.2, SRDH2_97900.1, SRDH2_97900.3
OG0000554	SHAE2_12940.5, SHAE2_12940.6, SHAE2_12940.4, SHAE2_12940.1, SHAE2_12940.3, SHAE2_12940.2	SRDH2_11470.1, SRDH2_11470.2, SRDH2_11470.3
OG0000555	SHAE2_46400.2, SHAE2_46400.1, SHAE2_46400.3, SHAE2_46400.4	SRDH2_43820.1, SRDH2_43820.2, SRDH2_43820.3
OG0000556	SHAE2_70100.1	SRDH2_66370.20, SRDH2_66370.1, SRDH2_66370.10, SRDH2_66370.11, SRDH2_66370.12, SRDH2_66370.13, SRDH2_66370.14, SRDH2_66370.15, SRDH2_66370.2, SRDH2_66370.3, SRDH2_66370.4, SRDH2_66370.5, SRDH2_66370.6, SRDH2_66370.7, SRDH2_66370.8, SRDH2_66370.9, SRDH2_66370.18, SRDH2_66370.16, SRDH2_66370.21, SRDH2_66370.22, SRDH2_66370.19, SRDH2_66370.17, SRDH2_66370.23, SRDH2_66370.26, SRDH2_66370.25, SRDH2_66370.27, SRDH2_66370.24
OG0000557	SHAE2_40680.10, SHAE2_40680.8, SHAE2_40680.9, SHAE2_40680.6, SHAE2_40680.1, SHAE2_40680.2, SHAE2_40680.4, SHAE2_40680.5, SHAE2_40680.3, SHAE2_40680.7	SRDH2_37240.3, SRDH2_37240.1, SRDH2_37240.7, SRDH2_37240.8, SRDH2_37240.2, SRDH2_37240.5, SRDH2_37240.6, SRDH2_37240.9, SRDH2_37240.4
OG0000558	SHAE2_19970.4, SHAE2_19970.1, SHAE2_19970.3, SHAE2_19970.5, SHAE2_19970.2, SHAE2_19970.6, SHAE2_19970.7, SHAE2_19970.8	SRDH2_18270.14, SRDH2_18270.9, SRDH2_18270.12, SRDH2_18270.13, SRDH2_18270.5, SRDH2_18270.1, SRDH2_18270.2, SRDH2_18270.3, SRDH2_18270.8, SRDH2_18270.6, SRDH2_18270.10, SRDH2_18270.11, SRDH2_18270.4, SRDH2_18270.7
OG0000559	SHAE2_85190.1, SHAE2_85190.2, SHAE2_85190.3, SHAE2_85190.4	SRDH2_83450.3, SRDH2_83450.9, SRDH2_83450.1, SRDH2_83450.2, SRDH2_83450.4, SRDH2_83450.5, SRDH2_83450.6, SRDH2_83450.7, SRDH2_83450.8
OG0000560	SHAE2_102210.1, SHAE2_102210.3, SHAE2_102210.2, SHAE2_102210.4	SRDH2_99630.1, SRDH2_99630.4, SRDH2_99630.7, SRDH2_99630.8, SRDH2_99630.2, SRDH2_99630.6, SRDH2_99630.3, SRDH2_99630.5
OG0000561	SHAE2_100430.1	SRDH2_98330.1
OG0000561	SHAE2_100440.1	SRDH2_98340.1, SRDH2_98340.2, SRDH2_98340.3, SRDH2_98340.4
OG0000562	SHAE2_89950.1	SRDH2_87420.1
OG0000563	SHAE2_23270.1, SHAE2_23270.7, SHAE2_23270.2, SHAE2_23270.3, SHAE2_23270.4, SHAE2_23270.5, SHAE2_23270.6	SRDH2_20470.1, SRDH2_20470.2, SRDH2_20470.3, SRDH2_20470.4, SRDH2_20470.6, SRDH2_20470.5, SRDH2_20470.7, SRDH2_20470.8
OG0000564	SHAE2_44830.5, SHAE2_44830.1, SHAE2_44830.2, SHAE2_44830.3, SHAE2_44830.4	SRDH2_42280.14, SRDH2_42280.8, SRDH2_42280.11, SRDH2_42280.1, SRDH2_42280.2, SRDH2_42280.12, SRDH2_42280.13, SRDH2_42280.4, SRDH2_42280.10, SRDH2_42280.5, SRDH2_42280.6, SRDH2_42280.3, SRDH2_42280.9, SRDH2_42280.7
OG0000565	SHAE2_3970.1, SHAE2_3970.2, SHAE2_3970.3	SRDH2_3520.1
OG0000566	SHAE2_86660.1, SHAE2_86660.2	SRDH2_84510.1, SRDH2_84510.2, SRDH2_84510.3, SRDH2_84510.4, SRDH2_84510.5, SRDH2_84510.6
OG0000567	SHAE2_70010.5, SHAE2_70010.4, SHAE2_70010.12, SHAE2_70010.13, SHAE2_70010.11, SHAE2_70010.6, SHAE2_70010.3, SHAE2_70010.8, SHAE2_70010.10, SHAE2_70010.9, SHAE2_70010.1, SHAE2_70010.2, SHAE2_70010.14, SHAE2_70010.15, SHAE2_70010.7	SRDH2_66280.5, SRDH2_66280.2, SRDH2_66280.1, SRDH2_66280.4, SRDH2_66280.3
OG0000568	SHAE2_60300.1	SRDH2_58250.1
OG0000568	SHAE2_71330.1	SRDH2_69110.1
OG0000568	SHAE2_71330.1	SRDH2_69110.2
OG0000568	SHAE2_37730.1	SRDH2_32530.1
OG0000569	SHAE2_11430.9, SHAE2_11430.1, SHAE2_11430.5, SHAE2_11430.7, SHAE2_11430.2, SHAE2_11430.4, SHAE2_11430.6, SHAE2_11430.8	SRDH2_9940.1
OG0000570	SHAE2_14780.10, SHAE2_14780.7, SHAE2_14780.5, SHAE2_14780.8, SHAE2_14780.3, SHAE2_14780.4, SHAE2_14780.9, SHAE2_14780.11, SHAE2_14780.2, SHAE2_14780.12, SHAE2_14780.1, SHAE2_14780.6, SHAE2_14780.17, SHAE2_14780.16, SHAE2_14780.18, SHAE2_14780.13, SHAE2_14780.15, SHAE2_14780.14	SRDH2_14970.1
OG0000571	SHAE2_10760.1	SRDH2_9210.8, SRDH2_9210.6, SRDH2_9210.11, SRDH2_9210.7, SRDH2_9210.9, SRDH2_9210.12, SRDH2_9210.1, SRDH2_9210.10, SRDH2_9210.2, SRDH2_9210.3, SRDH2_9210.4, SRDH2_9210.5
OG0000572	SHAE2_63320.1, SHAE2_63320.9, SHAE2_63320.8, SHAE2_63320.2, SHAE2_63320.4, SHAE2_63320.6, SHAE2_63320.11, SHAE2_63320.10, SHAE2_63320.7, SHAE2_63320.3, SHAE2_63320.5, SHAE2_63320.13, SHAE2_63320.14, SHAE2_63320.12	SRDH2_60950.1
OG0000574	SHAE2_3420.1, SHAE2_3420.4, SHAE2_3420.5, SHAE2_3420.2, SHAE2_3420.3, SHAE2_3420.8, SHAE2_3420.6, SHAE2_3420.7, SHAE2_3420.9, SHAE2_3420.10	SRDH2_3030.2, SRDH2_3030.1
OG0000574	SHAE2_3440.1, SHAE2_3440.2	SRDH2_3010.1
OG0000575	SHAE2_99880.4, SHAE2_99880.12, SHAE2_99880.3, SHAE2_99880.7, SHAE2_99880.5, SHAE2_99880.8, SHAE2_99880.10, SHAE2_99880.9, SHAE2_99880.1, SHAE2_99880.2, SHAE2_99880.11, SHAE2_99880.6	SRDH2_97790.1
OG0000576	SHAE2_46950.1	SRDH2_44390.5, SRDH2_44390.3, SRDH2_44390.18, SRDH2_44390.16, SRDH2_44390.6, SRDH2_44390.1, SRDH2_44390.11, SRDH2_44390.7, SRDH2_44390.17, SRDH2_44390.10, SRDH2_44390.9, SRDH2_44390.15
OG0000577	SHAE2_56320.7, SHAE2_56320.1, SHAE2_56320.3, SHAE2_56320.4, SHAE2_56320.5, SHAE2_56320.2, SHAE2_56320.6	SRDH2_53000.1, SRDH2_53000.4, SRDH2_53000.6, SRDH2_53000.10, SRDH2_53000.2, SRDH2_53000.5, SRDH2_53000.8, SRDH2_53000.9, SRDH2_53000.3, SRDH2_53000.7, SRDH2_53000.13, SRDH2_53000.12, SRDH2_53000.11, SRDH2_53000.16, SRDH2_53000.14, SRDH2_53000.15
OG0000579	SHAE2_80000.1	SRDH2_77380.1, SRDH2_100180.1
OG0000579	SHAE2_80040.1	SRDH2_100160.1, SRDH2_100140.1
OG0000579	SHAE2_80010.1, SHAE2_80020.1, SHAE2_80090.1	SRDH2_77420.1, SRDH2_77410.1
OG0000580	SHAE2_42150.2, SHAE2_42150.1, SHAE2_42150.3	SRDH2_39350.3, SRDH2_39350.1, SRDH2_39350.2
OG0000580	SHAE2_34660.1, SHAE2_34660.2	SRDH2_36230.1, SRDH2_36230.4, SRDH2_36230.2, SRDH2_36230.3
OG0000581	SHAE2_65170.1, SHAE2_65170.2	SRDH2_62630.1
OG0000582	SHAE2_87460.1	SRDH2_85320.1
OG0000582	SHAE2_87470.1	SRDH2_85340.1
OG0000582	SHAE2_87480.1	SRDH2_85360.1
OG0000583	SHAE2_64760.6, SHAE2_64760.3, SHAE2_64760.1, SHAE2_64760.4, SHAE2_64760.5, SHAE2_64760.2	SRDH2_62260.6, SRDH2_62260.2, SRDH2_62260.3, SRDH2_62260.8, SRDH2_62260.10, SRDH2_62260.11, SRDH2_62260.13, SRDH2_62260.7, SRDH2_62260.5, SRDH2_62260.1, SRDH2_62260.14, SRDH2_62260.4, SRDH2_62260.9, SRDH2_62260.12
OG0000584	SHAE2_30740.4, SHAE2_30740.6, SHAE2_30740.15, SHAE2_30740.13, SHAE2_30740.14, SHAE2_30740.16, SHAE2_30740.18, SHAE2_30740.17, SHAE2_30740.11, SHAE2_30740.5, SHAE2_30740.10, SHAE2_30740.12, SHAE2_30740.3, SHAE2_30740.7, SHAE2_30740.1, SHAE2_30740.9, SHAE2_30740.2, SHAE2_30740.8	SRDH2_28870.1
OG0000585	SHAE2_6400.1, SHAE2_6400.6, SHAE2_6400.7, SHAE2_6400.8, SHAE2_6400.9, SHAE2_6400.2, SHAE2_6400.3, SHAE2_6400.4, SHAE2_6400.5	SRDH2_5950.2, SRDH2_5950.4, SRDH2_5950.5, SRDH2_5950.6, SRDH2_5950.7, SRDH2_5950.8, SRDH2_5950.9, SRDH2_5950.1, SRDH2_5950.3
OG0000586	SHAE2_33340.5, SHAE2_33340.7, SHAE2_33340.9, SHAE2_33340.10, SHAE2_33340.1, SHAE2_33340.8, SHAE2_33340.3, SHAE2_33340.4, SHAE2_33340.2, SHAE2_33340.6	SRDH2_31400.1, SRDH2_31400.2, SRDH2_31400.5, SRDH2_31400.3, SRDH2_31400.4, SRDH2_31400.7, SRDH2_31400.6, SRDH2_31400.8
OG0000587	SHAE2_69230.1	SRDH2_67310.1
OG0000588	SHAE2_24650.6, SHAE2_24650.4, SHAE2_24650.5, SHAE2_24650.3, SHAE2_24650.1, SHAE2_24650.2	SRDH2_21890.1, SRDH2_21910.1
OG0000589	SHAE2_58100.2, SHAE2_58100.3, SHAE2_58100.1	SRDH2_55920.2, SRDH2_55920.3, SRDH2_55920.1
OG0000590	SHAE2_31460.1	SRDH2_29560.1
OG0000590	SHAE2_43500.1	SRDH2_40800.1
OG0000591	SHAE2_3980.1, SHAE2_3980.3, SHAE2_3980.8, SHAE2_3980.9, SHAE2_3980.2, SHAE2_3980.4, SHAE2_3980.5, SHAE2_3980.7, SHAE2_3980.6	SRDH2_3530.12, SRDH2_3530.4, SRDH2_3530.1, SRDH2_3530.11, SRDH2_3530.3, SRDH2_3530.6, SRDH2_3530.8, SRDH2_3530.13, SRDH2_3530.14, SRDH2_3530.2, SRDH2_3530.5, SRDH2_3530.7, SRDH2_3530.9, SRDH2_3530.10
OG0000592	SHAE2_33170.9, SHAE2_33170.4, SHAE2_33170.1, SHAE2_33170.2, SHAE2_33170.3, SHAE2_33170.6, SHAE2_33170.7, SHAE2_33170.5, SHAE2_33170.8	SRDH2_31230.1, SRDH2_31230.7, SRDH2_31230.8, SRDH2_31230.2, SRDH2_31230.3, SRDH2_31230.6, SRDH2_31230.4, SRDH2_31230.5
OG0000593	SHAE2_34060.3, SHAE2_34060.2, SHAE2_34060.14, SHAE2_34060.15, SHAE2_34060.1, SHAE2_34060.12, SHAE2_34060.10, SHAE2_34060.4, SHAE2_34060.5, SHAE2_34060.13, SHAE2_34060.11, SHAE2_34060.6, SHAE2_34060.8, SHAE2_34060.16, SHAE2_34060.17, SHAE2_34060.7, SHAE2_34060.9, SHAE2_34060.20, SHAE2_34060.18, SHAE2_34060.19	SRDH2_36740.1
OG0000594	SHAE2_52570.7, SHAE2_52570.9, SHAE2_52570.5, SHAE2_52570.1, SHAE2_52570.10, SHAE2_52570.2, SHAE2_52570.3, SHAE2_52570.4, SHAE2_52570.8, SHAE2_52570.6, SHAE2_52570.12, SHAE2_52570.11	SRDH2_50120.4, SRDH2_50120.10, SRDH2_50120.8, SRDH2_50120.3, SRDH2_50120.9, SRDH2_50120.7, SRDH2_50120.6, SRDH2_50120.5, SRDH2_50120.1, SRDH2_50120.11, SRDH2_50120.2
OG0000595	SHAE2_50990.3, SHAE2_50990.5, SHAE2_50990.6, SHAE2_50990.7, SHAE2_50990.2, SHAE2_50990.1, SHAE2_50990.4	SRDH2_48500.1, SRDH2_48500.2
OG0000597	SHAE2_61340.1, SHAE2_61140.1	SRDH2_58850.1, SRDH2_58840.1, SRDH2_58820.1, SRDH2_58830.1
OG0000599	SHAE2_66800.2, SHAE2_66800.1, SHAE2_66800.3, SHAE2_66800.4, SHAE2_66800.8, SHAE2_66800.5, SHAE2_66800.7, SHAE2_66800.6	SRDH2_64220.10, SRDH2_64220.4, SRDH2_64220.3, SRDH2_64220.9, SRDH2_64220.6, SRDH2_64220.1, SRDH2_64220.5, SRDH2_64220.2, SRDH2_64220.7, SRDH2_64220.8, SRDH2_64220.11, SRDH2_64220.12
OG0000600	SHAE2_71980.10, SHAE2_71980.4, SHAE2_71980.5, SHAE2_71980.6, SHAE2_71980.7, SHAE2_71980.3, SHAE2_71980.8, SHAE2_71980.9, SHAE2_71980.1, SHAE2_71980.2	SRDH2_68440.2, SRDH2_68440.1
OG0000601	SHAE2_100340.1, SHAE2_100340.3, SHAE2_100340.2, SHAE2_100340.4, SHAE2_100350.1	SRDH2_98250.1
OG0000601	SHAE2_43860.1	SRDH2_41220.1, SRDH2_41210.2, SRDH2_41210.3, SRDH2_41210.4, SRDH2_41210.1
OG0000602	SHAE2_17130.1	SRDH2_15670.8, SRDH2_15670.5, SRDH2_15670.2, SRDH2_15670.9, SRDH2_15670.3, SRDH2_15670.10, SRDH2_15670.11, SRDH2_15670.4, SRDH2_15670.1, SRDH2_15670.6, SRDH2_15670.7
OG0000603	SHAE2_53680.8, SHAE2_53680.5, SHAE2_53680.6, SHAE2_53680.7, SHAE2_53680.3, SHAE2_53680.1, SHAE2_53680.2, SHAE2_53680.4	SRDH2_51390.12, SRDH2_51390.10, SRDH2_51390.7, SRDH2_51390.13, SRDH2_51390.9, SRDH2_51390.8, SRDH2_51390.1, SRDH2_51390.2, SRDH2_51390.3, SRDH2_51390.11, SRDH2_51390.5, SRDH2_51390.6, SRDH2_51390.4
OG0000604	SHAE2_42330.1, SHAE2_42330.2	SRDH2_39550.10, SRDH2_39550.11, SRDH2_39550.15, SRDH2_39550.1, SRDH2_39550.9, SRDH2_39550.13, SRDH2_39550.12, SRDH2_39550.4, SRDH2_39550.5, SRDH2_39550.2, SRDH2_39550.14, SRDH2_39550.3, SRDH2_39550.6, SRDH2_39550.7, SRDH2_39550.8
OG0000605	SHAE2_29810.1	SRDH2_27960.1
OG0000605	SHAE2_29760.1, SHAE2_29760.2, SHAE2_29760.3	SRDH2_27920.1
OG0000606	SHAE2_5840.1	SRDH2_110.1
OG0000606	SHAE2_5840.1	SRDH2_110.2
OG0000607	SHAE2_33420.1, SHAE2_33420.5, SHAE2_33420.3, SHAE2_33420.6, SHAE2_33420.2, SHAE2_33420.4, SHAE2_33420.8, SHAE2_33420.7	SRDH2_31460.5, SRDH2_31460.2, SRDH2_31460.7, SRDH2_31460.9, SRDH2_31460.8, SRDH2_31460.1, SRDH2_31460.3, SRDH2_31460.6, SRDH2_31460.4
OG0000608	SHAE2_54080.3, SHAE2_54080.4, SHAE2_54080.5, SHAE2_54080.6, SHAE2_54080.1, SHAE2_54080.2	SRDH2_51790.10, SRDH2_51790.2, SRDH2_51790.4, SRDH2_51790.5, SRDH2_51790.6, SRDH2_51790.12, SRDH2_51790.11, SRDH2_51790.3, SRDH2_51790.7, SRDH2_51790.8, SRDH2_51790.9, SRDH2_51790.1
OG0000609	SHAE2_29680.1, SHAE2_29680.4, SHAE2_29680.6, SHAE2_29680.7, SHAE2_29680.5, SHAE2_29680.2, SHAE2_29680.3, SHAE2_29680.8	SRDH2_27840.5, SRDH2_27840.6, SRDH2_27840.4, SRDH2_27840.2, SRDH2_27840.7, SRDH2_27840.3, SRDH2_27840.8, SRDH2_27840.1
OG0000610	SHAE2_30510.1, SHAE2_30510.4, SHAE2_30510.2, SHAE2_30510.3	SRDH2_28620.1
OG0000610	SHAE2_24960.1	SRDH2_23520.1
OG0000611	SHAE2_46030.1	SRDH2_43480.2, SRDH2_43480.1
OG0000612	SHAE2_10720.5, SHAE2_10720.3, SHAE2_10720.4, SHAE2_10720.1, SHAE2_10720.2	SRDH2_9160.5, SRDH2_9160.6, SRDH2_9160.9, SRDH2_9160.7, SRDH2_9160.4, SRDH2_9160.8, SRDH2_9160.3, SRDH2_9160.1, SRDH2_9160.2
OG0000613	SHAE2_40000.1, SHAE2_40000.2, SHAE2_40000.3	SRDH2_37860.1
OG0000614	SHAE2_47130.1	SRDH2_44550.1, SRDH2_44550.2, SRDH2_44550.3, SRDH2_44550.4
OG0000615	SHAE2_14990.4, SHAE2_14990.2, SHAE2_14990.1, SHAE2_14990.3	SRDH2_15160.2, SRDH2_15160.9, SRDH2_15160.8, SRDH2_15160.1, SRDH2_15160.5, SRDH2_15160.6, SRDH2_15160.3, SRDH2_15160.4, SRDH2_15160.7
OG0000616	SHAE2_64140.2, SHAE2_64140.1, SHAE2_64140.3, SHAE2_64140.4	SRDH2_61720.6, SRDH2_61720.2, SRDH2_61720.9, SRDH2_61720.7, SRDH2_61720.8, SRDH2_61720.10, SRDH2_61720.11, SRDH2_61720.12, SRDH2_61720.14, SRDH2_61720.13, SRDH2_61720.4, SRDH2_61720.3, SRDH2_61720.5, SRDH2_61720.1
OG0000617	SHAE2_86170.1	SRDH2_83990.2, SRDH2_83990.1
OG0000618	SHAE2_39350.1	SRDH2_34050.1
OG0000620	SHAE2_17340.1	SRDH2_15860.2, SRDH2_15860.3, SRDH2_15860.1
OG0000620	SHAE2_49400.1	SRDH2_46120.2, SRDH2_46120.3, SRDH2_46120.1
OG0000621	SHAE2_32320.1, SHAE2_32320.3, SHAE2_32320.2	SRDH2_30470.4, SRDH2_30470.15, SRDH2_30470.12, SRDH2_30470.14, SRDH2_30470.10, SRDH2_30470.11, SRDH2_30470.13, SRDH2_30470.2, SRDH2_30470.3, SRDH2_30470.5, SRDH2_30470.6, SRDH2_30470.7, SRDH2_30470.1, SRDH2_30470.8, SRDH2_30470.9
OG0000622	SHAE2_77860.1	SRDH2_75250.1
OG0000623	SHAE2_14770.5, SHAE2_14770.1, SHAE2_14770.3, SHAE2_14770.6, SHAE2_14770.2, SHAE2_14770.4	SRDH2_14950.10, SRDH2_14950.5, SRDH2_14950.6, SRDH2_14950.7, SRDH2_14950.8, SRDH2_14950.9, SRDH2_14950.4, SRDH2_14950.3, SRDH2_14950.1, SRDH2_14950.2
OG0000624	SHAE2_31250.7, SHAE2_31250.1, SHAE2_31250.2, SHAE2_31250.3, SHAE2_31250.4, SHAE2_31250.5, SHAE2_31250.6, SHAE2_31250.8	SRDH2_29350.1, SRDH2_29350.3, SRDH2_29350.2, SRDH2_29350.4, SRDH2_29350.5
OG0000625	SHAE2_40390.1, SHAE2_40390.2, SHAE2_40390.3, SHAE2_40390.8, SHAE2_40390.10, SHAE2_40390.11, SHAE2_40390.4, SHAE2_40390.5, SHAE2_40390.6, SHAE2_40390.7, SHAE2_40390.9	SRDH2_37510.1, SRDH2_37510.2, SRDH2_37510.3, SRDH2_37510.4, SRDH2_37510.5
OG0000626	SHAE2_57930.2, SHAE2_57930.4, SHAE2_57930.3, SHAE2_57930.5, SHAE2_57930.1, SHAE2_57930.6	SRDH2_55740.1, SRDH2_55740.2
OG0000627	SHAE2_13710.6, SHAE2_13710.4, SHAE2_13710.8, SHAE2_13710.1, SHAE2_13710.3, SHAE2_13710.5, SHAE2_13710.2, SHAE2_13710.7	SRDH2_13770.2, SRDH2_13770.5
OG0000628	SHAE2_65260.1, SHAE2_65260.2	SRDH2_62710.2, SRDH2_62710.3, SRDH2_62710.5, SRDH2_62710.6, SRDH2_62710.16, SRDH2_62710.13, SRDH2_62710.15, SRDH2_62710.9, SRDH2_62710.14, SRDH2_62710.11, SRDH2_62710.10, SRDH2_62710.1, SRDH2_62710.4, SRDH2_62710.7, SRDH2_62710.8, SRDH2_62710.12
OG0000629	SHAE2_41780.1	SRDH2_39010.6, SRDH2_39010.8, SRDH2_39010.14, SRDH2_39010.9, SRDH2_39010.15, SRDH2_39010.13, SRDH2_39010.7, SRDH2_39010.12, SRDH2_39010.4, SRDH2_39010.1, SRDH2_39010.10, SRDH2_39010.11, SRDH2_39010.2, SRDH2_39010.3, SRDH2_39010.5
OG0000630	SHAE2_62790.1	SRDH2_60460.1, SRDH2_60460.2
OG0000631	SHAE2_70150.1	SRDH2_66410.1
OG0000631	SHAE2_65300.3, SHAE2_65290.1, SHAE2_65300.1, SHAE2_65300.2, SHAE2_65300.4	SRDH2_62740.1, SRDH2_62740.2, SRDH2_62740.3, SRDH2_62740.4
OG0000632	SHAE2_15130.6, SHAE2_15130.5, SHAE2_15130.1, SHAE2_15130.8, SHAE2_15130.2, SHAE2_15130.10, SHAE2_15130.11, SHAE2_15130.12, SHAE2_15130.3, SHAE2_15130.7, SHAE2_15130.9, SHAE2_15130.4	SRDH2_15270.3, SRDH2_15270.4, SRDH2_15270.10, SRDH2_15270.2, SRDH2_15270.5, SRDH2_15270.1, SRDH2_15270.6, SRDH2_15270.9, SRDH2_15270.7, SRDH2_15270.8
OG0000633	SHAE2_55800.6, SHAE2_55800.3, SHAE2_55800.4, SHAE2_55800.5, SHAE2_55800.1, SHAE2_55800.2, SHAE2_55800.7, SHAE2_55800.8	SRDH2_53500.2, SRDH2_53500.1, SRDH2_53500.3, SRDH2_53500.4
OG0000636	SHAE2_100110.1	SRDH2_97960.2, SRDH2_97960.4, SRDH2_97960.3, SRDH2_97960.1, SRDH2_97960.6, SRDH2_97960.5
OG0000637	SHAE2_52830.3, SHAE2_52830.9, SHAE2_52830.5, SHAE2_52830.2, SHAE2_52830.11, SHAE2_52830.6, SHAE2_52830.13, SHAE2_52830.16, SHAE2_52830.1, SHAE2_52830.7, SHAE2_52830.10, SHAE2_52830.14, SHAE2_52830.4, SHAE2_52830.12, SHAE2_52830.8, SHAE2_52830.15, SHAE2_52830.17	SRDH2_50390.1
OG0000638	SHAE2_68340.7, SHAE2_68340.6, SHAE2_68340.1, SHAE2_68340.5, SHAE2_68340.4, SHAE2_68340.2, SHAE2_68340.3	SRDH2_67670.1
OG0000639	SHAE2_65930.1	SRDH2_63410.13, SRDH2_63410.14, SRDH2_63410.3, SRDH2_63410.4, SRDH2_63410.11, SRDH2_63410.15, SRDH2_63410.12, SRDH2_63410.7, SRDH2_63410.8, SRDH2_63410.17, SRDH2_63410.6, SRDH2_63410.10, SRDH2_63410.5, SRDH2_63410.9, SRDH2_63410.2, SRDH2_63410.1, SRDH2_63410.16, SRDH2_63410.18
OG0000640	SHAE2_90000.1, SHAE2_89970.1, SHAE2_89980.1	SRDH2_87460.1, SRDH2_87020.1
OG0000641	SHAE2_7200.1	SRDH2_6740.1
OG0000641	SHAE2_5070.1	SRDH2_4580.1
OG0000642	SHAE2_66000.2, SHAE2_66000.1, SHAE2_66000.3, SHAE2_66000.4	SRDH2_63480.1, SRDH2_63480.2, SRDH2_63480.10, SRDH2_63480.5, SRDH2_63480.3, SRDH2_63480.4, SRDH2_63480.6, SRDH2_63480.7, SRDH2_63480.8, SRDH2_63480.9
OG0000643	SHAE2_55330.1	SRDH2_53990.1
OG0000643	SHAE2_55320.1, SHAE2_55320.2, SHAE2_55320.3	SRDH2_54000.1, SRDH2_54000.2
OG0000644	SHAE2_101080.1, SHAE2_101080.4, SHAE2_101080.3, SHAE2_101080.2	SRDH2_98990.1
OG0000645	SHAE2_12240.1, SHAE2_12240.2, SHAE2_12240.3, SHAE2_12230.1	SRDH2_10740.2, SRDH2_10740.1
OG0000646	SHAE2_10750.1	SRDH2_9200.1, SRDH2_9190.2, SRDH2_9190.3, SRDH2_9190.8, SRDH2_9190.7, SRDH2_9190.4, SRDH2_9190.5, SRDH2_9190.6, SRDH2_9190.1
OG0000647	SHAE2_66200.1	SRDH2_63670.1, SRDH2_63670.2
OG0000648	SHAE2_97430.1, SHAE2_97410.1	SRDH2_95100.1, SRDH2_95100.4, SRDH2_95100.5, SRDH2_95100.3, SRDH2_95100.2
OG0000649	SHAE2_63880.1, SHAE2_63880.2, SHAE2_63880.3	SRDH2_61460.1
OG0000650	SHAE2_82120.1	SRDH2_79600.4, SRDH2_79600.5, SRDH2_79600.1, SRDH2_79600.2, SRDH2_79600.3, SRDH2_79600.8, SRDH2_79600.6, SRDH2_79600.7
OG0000651	SHAE2_44650.6, SHAE2_44650.3, SHAE2_44650.4, SHAE2_44650.1, SHAE2_44650.2, SHAE2_44650.5	SRDH2_42080.4, SRDH2_42080.2, SRDH2_42080.3, SRDH2_42080.5, SRDH2_42080.6, SRDH2_42080.1, SRDH2_42080.7, SRDH2_42080.8, SRDH2_42080.10, SRDH2_42080.9, SRDH2_42080.11
OG0000652	SHAE2_43110.2, SHAE2_43110.7, SHAE2_43110.3, SHAE2_43110.4, SHAE2_43110.8, SHAE2_43110.5, SHAE2_43110.6, SHAE2_43110.1, SHAE2_43110.9	SRDH2_40370.7, SRDH2_40370.6, SRDH2_40370.2, SRDH2_40370.4, SRDH2_40370.3, SRDH2_40370.1, SRDH2_40370.5
OG0000653	SHAE2_43670.1, SHAE2_43670.2, SHAE2_43670.3, SHAE2_43680.1, SHAE2_43680.2	SRDH2_41000.1, SRDH2_40990.2, SRDH2_40990.1, SRDH2_40990.3
OG0000654	SHAE2_62100.1	SRDH2_38210.1
OG0000655	SHAE2_86110.1, SHAE2_86110.2, SHAE2_86110.3, SHAE2_86110.4, SHAE2_86110.6, SHAE2_86110.7, SHAE2_86110.5, SHAE2_86110.8	SRDH2_83950.1
OG0000656	SHAE2_79910.3, SHAE2_79910.5, SHAE2_79910.7, SHAE2_79910.9, SHAE2_79910.2, SHAE2_79910.8, SHAE2_79910.4, SHAE2_79910.1, SHAE2_79910.6	SRDH2_77290.1, SRDH2_77290.6, SRDH2_77290.9, SRDH2_77290.7, SRDH2_77290.2, SRDH2_77290.3, SRDH2_77290.4, SRDH2_77290.8, SRDH2_77290.5
