Orthogroup	schistosoma_bovis	schistosoma_japonicum
OG0000426	SBOV2_51200.2, SBOV2_51200.1, SBOV2_51190.2, SBOV2_51190.3, SBOV2_51190.1, SBOV2_51180.1	EWB00_002147
OG0000427	SBOV2_52380.1	EWB00_010690.1, EWB00_010690.2
OG0000428	SBOV2_25750.6, SBOV2_25750.7, SBOV2_25750.2, SBOV2_25750.5, SBOV2_25750.3, SBOV2_25750.1, SBOV2_25750.4	EWB00_003239.1, EWB00_003239.2
OG0000429	SBOV2_91660.1	EWB00_002245, EWB00_002244
OG0000429	SBOV2_44500.1	EWB00_008214
OG0000430	SBOV2_35310.5, SBOV2_35310.6, SBOV2_35310.1, SBOV2_35310.4, SBOV2_35310.2, SBOV2_35310.3	EWB00_003415
OG0000431	SBOV2_48380.2, SBOV2_48380.1, SBOV2_48380.3, SBOV2_48380.6, SBOV2_48380.4, SBOV2_48380.5	EWB00_008732.1, EWB00_008732.2
OG0000432	SBOV2_92960.1, SBOV2_92960.4, SBOV2_92960.6, SBOV2_92960.2, SBOV2_92960.3, SBOV2_92960.5	EWB00_004758
OG0000433	SBOV2_27580.6, SBOV2_27580.1, SBOV2_27580.7, SBOV2_27580.2, SBOV2_27580.3, SBOV2_27580.4, SBOV2_27580.5	EWB00_003929.2, EWB00_003929.1, EWB00_003929.3
OG0000434	SBOV2_92450.1, SBOV2_92450.3, SBOV2_92450.5, SBOV2_92450.4, SBOV2_92450.7, SBOV2_92450.6, SBOV2_92450.2	EWB00_005877
OG0000435	SBOV2_50940.2, SBOV2_50940.7, SBOV2_50940.1, SBOV2_50940.3, SBOV2_50940.4, SBOV2_50940.6, SBOV2_50940.9, SBOV2_50940.5, SBOV2_50940.10, SBOV2_50940.11, SBOV2_50940.8	EWB00_009645, EWB00_004584, EWB00_003007, EWB00_009646, EWB00_009651, EWB00_010296
OG0000436	SBOV2_25140.2, SBOV2_25140.5, SBOV2_25140.6, SBOV2_25140.4, SBOV2_25140.1, SBOV2_25140.3	EWB00_000282.1, EWB00_000282.2
OG0000437	SBOV2_3160.8, SBOV2_3160.9, SBOV2_3160.3, SBOV2_3160.5, SBOV2_3160.6, SBOV2_3160.7, SBOV2_3160.1, SBOV2_3160.2, SBOV2_3160.4	EWB00_007320.2, EWB00_007320.1, EWB00_007320.3
OG0000438	SBOV2_63140.1	EWB00_010404
OG0000439	SBOV2_83710.5, SBOV2_83710.1, SBOV2_83710.3, SBOV2_83710.4, SBOV2_83710.2	EWB00_007287.1, EWB00_007287.2
OG0000440	SBOV2_90050.1, SBOV2_90040.1, SBOV2_96500.1, SBOV2_96500.2, SBOV2_96500.3, SBOV2_96500.4, SBOV2_96500.5	EWB00_011409
OG0000441	SBOV2_14190.1, SBOV2_14190.2	EWB00_009358.1, EWB00_009358.2
OG0000442	SBOV2_31430.2, SBOV2_31430.5, SBOV2_31430.4, SBOV2_31430.1, SBOV2_31430.3	EWB00_004296.1, EWB00_004296.2, EWB00_004296.3
OG0000443	SBOV2_5730.8, SBOV2_5730.9, SBOV2_5730.6, SBOV2_5730.7, SBOV2_5730.1, SBOV2_5730.2, SBOV2_5730.3, SBOV2_5730.4, SBOV2_5730.5	EWB00_002041
OG0000444	SBOV2_70540.1	EWB00_006083, EWB00_008676
OG0000445	SBOV2_65140.1	EWB00_010477.3, EWB00_010477.1, EWB00_010477.2
OG0000446	SBOV2_8890.1, SBOV2_8970.1	EWB00_009918
OG0000447	SBOV2_56190.1, SBOV2_56190.2, SBOV2_56190.3	EWB00_005165
OG0000448	SBOV2_36190.4	EWB00_004614.4, EWB00_004614.6, EWB00_004614.8
OG0000449	SBOV2_57130.1, SBOV2_57070.1, SBOV2_57100.1, SBOV2_57060.1	EWB00_008853
OG0000450	SBOV2_24280.6, SBOV2_24280.4, SBOV2_24280.5, SBOV2_24280.1, SBOV2_24280.2, SBOV2_24280.3	EWB00_001128.4, EWB00_001128.3, EWB00_001128.1, EWB00_001128.2
OG0000451	SBOV2_96360.1, SBOV2_96360.2, SBOV2_86860.1	EWB00_005055
OG0000452	SBOV2_28350.1	EWB00_006169
OG0000453	SBOV2_61750.1	EWB00_009174.3, EWB00_009174.1, EWB00_009174.2
OG0000454	SBOV2_83110.1, SBOV2_83120.1	EWB00_009448.1, EWB00_009448.2, EWB00_009449
OG0000454	SBOV2_71280.1, SBOV2_71500.1	EWB00_002766
OG0000455	SBOV2_12200.1, SBOV2_12200.2, SBOV2_12200.3, SBOV2_12200.4, SBOV2_12200.5	EWB00_007676.2, EWB00_007676.1, EWB00_007676.3
OG0000456	SBOV2_70340.5, SBOV2_70340.1, SBOV2_70340.3, SBOV2_70340.6, SBOV2_70340.4, SBOV2_70340.2	EWB00_006086
OG0000457	SBOV2_39000.1, SBOV2_39000.2, SBOV2_39000.3, SBOV2_39000.5, SBOV2_39000.4	EWB00_003299.1, EWB00_003299.2
OG0000458	SBOV2_33350.1	EWB00_005936
OG0000459	SBOV2_9300.6, SBOV2_9300.4, SBOV2_9300.8, SBOV2_9300.7, SBOV2_9300.2, SBOV2_9300.3, SBOV2_9300.5, SBOV2_9300.1	EWB00_000897.5, EWB00_000897.1, EWB00_000897.2, EWB00_000897.3, EWB00_000897.4, EWB00_000897.6
OG0000460	SBOV2_12350.1, SBOV2_12350.2, SBOV2_12350.3, SBOV2_12350.4, SBOV2_12350.5	EWB00_007690
OG0000461	SBOV2_73180.1, SBOV2_73180.2	EWB00_011060.3, EWB00_011060.4, EWB00_011060.1, EWB00_011060.2
OG0000462	SBOV2_92030.3, SBOV2_92030.4, SBOV2_92030.1, SBOV2_92030.2	EWB00_005102
OG0000463	SBOV2_53420.1, SBOV2_53430.1, SBOV2_53410.1, SBOV2_53410.2	EWB00_003535.1, EWB00_003535.2
OG0000464	SBOV2_13870.2, SBOV2_13870.1, SBOV2_13870.3	EWB00_003710
OG0000465	SBOV2_74910.1, SBOV2_74910.4, SBOV2_74910.5, SBOV2_74910.2, SBOV2_74910.3	EWB00_007185
OG0000466	SBOV2_52330.1	EWB00_005412
OG0000467	SBOV2_30620.6, SBOV2_30620.4, SBOV2_30620.7, SBOV2_30620.8, SBOV2_30620.2, SBOV2_30620.5, SBOV2_30620.3, SBOV2_30620.1	EWB00_005609
OG0000468	SBOV2_70080.6, SBOV2_70080.7, SBOV2_70080.2, SBOV2_70080.3, SBOV2_70080.4, SBOV2_70080.1, SBOV2_70080.5	EWB00_000960.2, EWB00_000960.1, EWB00_000960.3
OG0000469	SBOV2_4050.1, SBOV2_4050.2, SBOV2_4050.3, SBOV2_4050.6, SBOV2_4050.5, SBOV2_4050.4	EWB00_009028
OG0000470	SBOV2_54210.1, SBOV2_54210.2, SBOV2_54210.3, SBOV2_54210.5, SBOV2_54210.6, SBOV2_54210.4	EWB00_005326
OG0000471	SBOV2_89620.2, SBOV2_89620.3, SBOV2_89620.7, SBOV2_89620.5, SBOV2_89620.4, SBOV2_89620.6, SBOV2_89620.1	EWB00_004466
OG0000472	SBOV2_30680.1, SBOV2_30690.1	EWB00_005614
OG0000473	SBOV2_4980.6, SBOV2_4980.5, SBOV2_4980.9, SBOV2_4980.1, SBOV2_4980.2, SBOV2_4980.4, SBOV2_4980.7, SBOV2_4980.3, SBOV2_4980.8	EWB00_006340
OG0000474	SBOV2_20040.1	EWB00_002484
OG0000474	SBOV2_45070.1	EWB00_003623.1, EWB00_003623.2
OG0000475	SBOV2_63350.3, SBOV2_63350.2, SBOV2_63350.1	EWB00_010428
OG0000476	SBOV2_20900.1, SBOV2_20890.1, SBOV2_20900.7, SBOV2_20900.2, SBOV2_20900.3, SBOV2_20900.4, SBOV2_20900.5, SBOV2_20900.9, SBOV2_20900.6, SBOV2_20900.10, SBOV2_20900.8	EWB00_003522
OG0000477	SBOV2_44960.4, SBOV2_44960.3, SBOV2_44960.5, SBOV2_44960.1, SBOV2_44960.2, SBOV2_44960.6	EWB00_004065, EWB00_004064
OG0000478	SBOV2_6340.1	EWB00_008984.1, EWB00_008984.2, EWB00_008984.3, EWB00_008984.4
OG0000479	SBOV2_36040.1	EWB00_002579.3, EWB00_002579.1, EWB00_002579.2
OG0000480	SBOV2_63600.1	EWB00_008894.1, EWB00_008894.2
OG0000481	SBOV2_64670.5, SBOV2_64670.7, SBOV2_64670.1, SBOV2_64670.2, SBOV2_64670.3, SBOV2_64670.6, SBOV2_64670.8, SBOV2_64670.4	EWB00_000921.1, EWB00_000921.2
OG0000482	SBOV2_9670.4, SBOV2_9670.8, SBOV2_9670.5	EWB00_000805
OG0000483	SBOV2_110.1, SBOV2_110.10, SBOV2_110.11, SBOV2_110.12, SBOV2_110.13, SBOV2_110.14, SBOV2_110.15, SBOV2_110.2, SBOV2_110.3, SBOV2_110.4, SBOV2_110.5, SBOV2_110.6, SBOV2_110.7, SBOV2_110.8, SBOV2_110.9, SBOV2_92050.1, SBOV2_92050.2, SBOV2_92050.3, SBOV2_92060.1, SBOV2_56670.1, SBOV2_56690.1	EWB00_003191
OG0000484	SBOV2_95630.1, SBOV2_95680.1, SBOV2_95220.1, SBOV2_95070.1, SBOV2_95050.1, SBOV2_95690.1, SBOV2_95640.1	EWB00_003750, EWB00_003752
OG0000488	SBOV2_85050.1, SBOV2_85040.1	EWB00_003897, EWB00_003894
OG0000489	SBOV2_56180.4, SBOV2_56180.3, SBOV2_56180.1, SBOV2_56180.5, SBOV2_56150.1, SBOV2_56150.3, SBOV2_56180.2, SBOV2_56150.2	EWB00_005166
OG0000490	SBOV2_67770.1, SBOV2_67740.1, SBOV2_67750.1, SBOV2_67780.1	EWB00_009758
OG0000491	SBOV2_37380.1, SBOV2_37380.3, SBOV2_37380.4, SBOV2_37380.7, SBOV2_37380.2, SBOV2_37380.5, SBOV2_37380.6	EWB00_005990.1, EWB00_005990.2
OG0000492	SBOV2_62050.1, SBOV2_62050.3, SBOV2_62050.4, SBOV2_62050.6, SBOV2_62050.7, SBOV2_62050.8, SBOV2_62050.2, SBOV2_62050.5	EWB00_009576.1, EWB00_009576.2
OG0000493	SBOV2_46800.1, SBOV2_46820.1	EWB00_006874
OG0000493	SBOV2_38600.1	EWB00_000632
OG0000495	SBOV2_3170.2, SBOV2_3170.3, SBOV2_3170.1, SBOV2_3170.4	EWB00_007321
OG0000496	SBOV2_29870.5, SBOV2_29870.1, SBOV2_29870.2, SBOV2_29870.3, SBOV2_29870.4	EWB00_007698.3, EWB00_007698.4, EWB00_007698.2, EWB00_007698.1
OG0000497	SBOV2_5440.4, SBOV2_5450.1, SBOV2_5440.1, SBOV2_5440.2, SBOV2_5440.5, SBOV2_5440.3	EWB00_006312.1, EWB00_006312.2, EWB00_006312.3
OG0000498	SBOV2_24720.4, SBOV2_24720.3, SBOV2_24720.1, SBOV2_24720.2	EWB00_004227
OG0000498	SBOV2_40380.1	EWB00_007012
OG0000499	SBOV2_70020.1	EWB00_000965.1, EWB00_000965.3, EWB00_000965.2, EWB00_000965.4
OG0000500	SBOV2_18600.3, SBOV2_18600.4, SBOV2_18600.7, SBOV2_18600.6, SBOV2_18600.5, SBOV2_18600.9, SBOV2_18600.2, SBOV2_18600.1, SBOV2_18600.8	EWB00_000046
OG0000501	SBOV2_25400.1	EWB00_004102.7, EWB00_004102.5, EWB00_004102.4, EWB00_004102.6, EWB00_004102.1, EWB00_004102.2, EWB00_004102.3
OG0000502	SBOV2_32050.1, SBOV2_32050.4, SBOV2_32050.5, SBOV2_32050.2, SBOV2_32050.6, SBOV2_32050.7, SBOV2_32050.3, SBOV2_32050.8	EWB00_006854
OG0000503	SBOV2_3850.4, SBOV2_3850.2, SBOV2_3850.1, SBOV2_3850.3, SBOV2_3850.5, SBOV2_3850.6	EWB00_009062.1, EWB00_009062.3, EWB00_009062.2, EWB00_009062.4
OG0000504	SBOV2_46250.4, SBOV2_46250.1, SBOV2_46250.5, SBOV2_46250.2, SBOV2_46250.3, SBOV2_46250.6	EWB00_009953.2, EWB00_009953.1
OG0000505	SBOV2_26710.8, SBOV2_26710.9, SBOV2_26710.1, SBOV2_26710.2, SBOV2_26710.3, SBOV2_26710.4, SBOV2_26710.5, SBOV2_26710.6, SBOV2_26710.7	EWB00_004150.1, EWB00_004150.2
OG0000506	SBOV2_9140.2, SBOV2_9140.7, SBOV2_9140.10, SBOV2_9140.1, SBOV2_9140.3, SBOV2_9140.4, SBOV2_9140.8, SBOV2_9140.9, SBOV2_9140.11, SBOV2_9140.5, SBOV2_9140.6	EWB00_005767, EWB00_005768, EWB00_005769
OG0000507	SBOV2_36330.3, SBOV2_36330.1, SBOV2_36330.2	EWB00_004627.1, EWB00_004627.2
OG0000508	SBOV2_14800.1	EWB00_002355.1, EWB00_002355.2
OG0000509	SBOV2_48830.1	EWB00_007622.5, EWB00_007622.1, EWB00_007622.3, EWB00_007622.4, EWB00_007622.2
OG0000509	SBOV2_54480.1, SBOV2_54480.2	EWB00_006782.1, EWB00_006782.2
OG0000510	SBOV2_77900.1, SBOV2_77900.2	EWB00_001266.2, EWB00_001266.1, EWB00_001266.3
OG0000510	SBOV2_77920.2, SBOV2_77920.4, SBOV2_77920.1, SBOV2_77920.3	EWB00_002661, EWB00_002662
OG0000511	SBOV2_71800.1, SBOV2_71790.1, SBOV2_71790.2	EWB00_000649
OG0000513	SBOV2_66780.1, SBOV2_66780.3, SBOV2_66780.4, SBOV2_66780.5, SBOV2_66780.2	EWB00_005795
OG0000514	SBOV2_44970.1	EWB00_004043.2, EWB00_004043.1, EWB00_004043.3, EWB00_004043.4
OG0000515	SBOV2_14440.4, SBOV2_14440.2, SBOV2_14440.5, SBOV2_14440.3, SBOV2_14440.6, SBOV2_14440.1, SBOV2_14440.7	EWB00_004181.1, EWB00_004181.2
OG0000516	SBOV2_62780.10, SBOV2_62780.11, SBOV2_62780.6, SBOV2_62780.7, SBOV2_62780.9, SBOV2_62780.3, SBOV2_62780.2, SBOV2_62780.4, SBOV2_62780.8, SBOV2_62780.1, SBOV2_62780.5	EWB00_007127
OG0000517	SBOV2_25430.1, SBOV2_25430.4, SBOV2_25430.3, SBOV2_25430.6, SBOV2_25430.2, SBOV2_25430.5, SBOV2_25430.7, SBOV2_25430.8	EWB00_001698.1, EWB00_001698.2, EWB00_001698.3
OG0000521	SBOV2_71010.2, SBOV2_71010.4, SBOV2_71010.1, SBOV2_71010.5, SBOV2_71010.6, SBOV2_71010.3	EWB00_007360.3, EWB00_007360.1, EWB00_007360.2
OG0000522	SBOV2_56380.1, SBOV2_56320.1, SBOV2_56350.1, SBOV2_56290.1, SBOV2_56310.1, SBOV2_22120.1, SBOV2_56370.1, SBOV2_94580.1	EWB00_005154.1, EWB00_005154.2
OG0000523	SBOV2_76060.1, SBOV2_76060.2, SBOV2_76060.5, SBOV2_76060.6, SBOV2_76060.7, SBOV2_76060.8, SBOV2_76060.4, SBOV2_76060.3	EWB00_002027
OG0000524	SBOV2_12260.1	EWB00_007681.1, EWB00_007681.2
OG0000525	SBOV2_54970.1	EWB00_005219
OG0000526	SBOV2_16410.1, SBOV2_16410.2, SBOV2_16410.3, SBOV2_16410.4, SBOV2_16410.5	EWB00_007651
OG0000527	SBOV2_95700.1, SBOV2_18510.1, SBOV2_18510.2, SBOV2_18510.10, SBOV2_18510.3, SBOV2_18510.4, SBOV2_18510.5, SBOV2_18510.6, SBOV2_18510.7, SBOV2_18510.8, SBOV2_18510.9	EWB00_001037.3, EWB00_001037.2, EWB00_001037.1
OG0000528	SBOV2_35500.1, SBOV2_35500.3, SBOV2_35500.4, SBOV2_35500.2	EWB00_007848.1, EWB00_007848.2
OG0000529	SBOV2_15300.1, SBOV2_15300.2, SBOV2_15300.3, SBOV2_15300.4, SBOV2_15300.5, SBOV2_15300.6	EWB00_004121.1, EWB00_004121.2
OG0000530	SBOV2_92080.1, SBOV2_92080.2	EWB00_000579
OG0000530	SBOV2_94820.1, SBOV2_94860.1, SBOV2_94850.1	EWB00_009987, EWB00_009985.3, EWB00_009985.1, EWB00_009985.2
OG0000531	SBOV2_76790.2, SBOV2_76790.1, SBOV2_76790.3, SBOV2_76790.4, SBOV2_76790.5, SBOV2_76790.7, SBOV2_76790.6	EWB00_004559.1, EWB00_004559.2, EWB00_004559.3
OG0000532	SBOV2_4970.1, SBOV2_4970.3, SBOV2_4970.6, SBOV2_4970.5, SBOV2_4970.2, SBOV2_4970.4	EWB00_006344
OG0000533	SBOV2_18660.1, SBOV2_18660.3, SBOV2_18660.5, SBOV2_18660.2, SBOV2_18660.4, SBOV2_18660.6, SBOV2_18660.7	EWB00_008818.1, EWB00_008818.2, EWB00_008818.3
OG0000534	SBOV2_70260.4, SBOV2_70260.1, SBOV2_70260.2, SBOV2_70260.3, SBOV2_70260.5, SBOV2_70260.6	EWB00_009516, EWB00_003670.1, EWB00_003670.2
OG0000535	SBOV2_58300.1, SBOV2_58330.1	EWB00_005272, EWB00_005271
OG0000536	SBOV2_65630.1, SBOV2_65630.2, SBOV2_65560.1	EWB00_010396.1, EWB00_010396.2
OG0000537	SBOV2_52160.4, SBOV2_52160.7, SBOV2_52160.8, SBOV2_52160.3, SBOV2_52160.5, SBOV2_52160.10, SBOV2_52160.9, SBOV2_52160.1, SBOV2_52160.6, SBOV2_52160.2	EWB00_005391
OG0000538	SBOV2_85020.3, SBOV2_85020.1, SBOV2_85020.2, SBOV2_91480.1, SBOV2_91470.1	EWB00_000099
OG0000539	SBOV2_46130.2, SBOV2_46130.3, SBOV2_46130.4, SBOV2_46130.1	EWB00_002550.1, EWB00_002550.2
OG0000540	SBOV2_5700.1, SBOV2_5700.2, SBOV2_5700.4, SBOV2_5700.8, SBOV2_5700.9, SBOV2_5700.10, SBOV2_5700.6, SBOV2_5700.7, SBOV2_5700.3, SBOV2_5700.5	EWB00_002037, EWB00_002039
OG0000541	SBOV2_38790.1, SBOV2_38790.4, SBOV2_38790.2, SBOV2_38790.3	EWB00_003281
OG0000542	SBOV2_86350.11, SBOV2_86350.1, SBOV2_86350.2, SBOV2_86350.10, SBOV2_86350.3, SBOV2_86350.7, SBOV2_86350.8, SBOV2_86350.9, SBOV2_86350.4, SBOV2_86350.5, SBOV2_86350.6, SBOV2_86350.12	EWB00_006936.2, EWB00_006936.4, EWB00_006936.1, EWB00_006936.3
OG0000543	SBOV2_14730.1	EWB00_002348, EWB00_002347
OG0000544	SBOV2_78910.1, SBOV2_78910.2, SBOV2_78910.3, SBOV2_78910.4, SBOV2_78910.5, SBOV2_78910.6	EWB00_010583
OG0000545	SBOV2_45910.1	EWB00_004095.1, EWB00_004095.3, EWB00_004095.4, EWB00_004095.2
OG0000545	SBOV2_69190.1	EWB00_008683.2, EWB00_008683.3, EWB00_008683.4
OG0000546	SBOV2_38050.1, SBOV2_38050.2	EWB00_006057
OG0000547	SBOV2_89440.3, SBOV2_89440.2, SBOV2_89440.1, SBOV2_89440.4	EWB00_009286
OG0000548	SBOV2_37950.8, SBOV2_37950.1, SBOV2_37950.2, SBOV2_37950.4, SBOV2_37950.5, SBOV2_37950.6, SBOV2_37950.7, SBOV2_37950.3	EWB00_006045.1, EWB00_006045.2, EWB00_006045.3
OG0000549	SBOV2_10750.4, SBOV2_10750.2, SBOV2_10750.3, SBOV2_10750.1, SBOV2_10750.5, SBOV2_10750.6, SBOV2_10750.7	EWB00_005545
OG0000550	SBOV2_18130.1	EWB00_005481
OG0000551	SBOV2_48080.1	EWB00_008082
OG0000551	SBOV2_48080.1	EWB00_008083
OG0000551	SBOV2_65220.1	EWB00_010470
OG0000552	SBOV2_5470.1	EWB00_006314.2, EWB00_006314.3, EWB00_006314.1
OG0000553	SBOV2_93560.3, SBOV2_93560.4, SBOV2_93560.2	EWB00_000563
OG0000554	SBOV2_10870.2, SBOV2_10870.6, SBOV2_10870.7, SBOV2_10870.4, SBOV2_10870.1, SBOV2_10870.3, SBOV2_10870.5	EWB00_011076
OG0000555	SBOV2_42790.3, SBOV2_42790.2, SBOV2_42790.1, SBOV2_42790.4	EWB00_006082, EWB00_009497, EWB00_009582, EWB00_009583.1, EWB00_009583.2, EWB00_009583.3
OG0000556	SBOV2_65450.1, SBOV2_65450.4, SBOV2_65450.6, SBOV2_65450.7, SBOV2_65450.5, SBOV2_65450.3, SBOV2_65450.2	EWB00_008873.2, EWB00_008873.1, EWB00_008873.3
OG0000557	SBOV2_29940.1, SBOV2_29940.2, SBOV2_29940.3, SBOV2_29940.5, SBOV2_29940.4, SBOV2_29940.6	EWB00_007706.1, EWB00_007706.2
OG0000558	SBOV2_17300.7, SBOV2_17300.8, SBOV2_17300.3, SBOV2_17300.2, SBOV2_17300.1, SBOV2_17300.4, SBOV2_17300.5, SBOV2_17300.6, SBOV2_17300.9	EWB00_006560
OG0000559	SBOV2_80010.1, SBOV2_80010.3, SBOV2_80010.2	EWB00_006759.1, EWB00_006759.2
OG0000560	SBOV2_95600.1, SBOV2_95600.2, SBOV2_95600.3, SBOV2_95600.4	EWB00_006673
OG0000561	SBOV2_93990.2, SBOV2_93990.1	EWB00_001438.2, EWB00_001438.1, EWB00_001438.4, EWB00_001438.5, EWB00_001438.3
OG0000561	SBOV2_94000.1	EWB00_001439.2, EWB00_001439.1, EWB00_001439.3, EWB00_001439.4
OG0000562	SBOV2_83870.1, SBOV2_83890.1	EWB00_004493.2, EWB00_004493.1, EWB00_004493.4, EWB00_004493.3
OG0000563	SBOV2_19430.5, SBOV2_19430.3, SBOV2_19430.1, SBOV2_19430.2, SBOV2_19430.4	EWB00_010331.1, EWB00_010331.2
OG0000564	SBOV2_25900.2, SBOV2_25900.1	EWB00_005735.1, EWB00_005735.2, EWB00_005735.3, EWB00_005735.4, EWB00_005735.5
OG0000565	SBOV2_3480.1, SBOV2_3480.2, SBOV2_3480.6, SBOV2_3480.5, SBOV2_3480.4, SBOV2_3480.3	EWB00_001645.3, EWB00_001645.1, EWB00_001645.2
OG0000566	SBOV2_81430.1, SBOV2_81430.3, SBOV2_81430.4, SBOV2_81430.6, SBOV2_81430.2, SBOV2_81430.5	EWB00_001505.1, EWB00_001505.4, EWB00_001505.2, EWB00_001505.3
OG0000567	SBOV2_65340.10, SBOV2_65340.7, SBOV2_65340.6, SBOV2_65340.5, SBOV2_65340.8, SBOV2_65340.9, SBOV2_65340.2, SBOV2_65340.1, SBOV2_65340.3, SBOV2_65340.4	EWB00_010450.2
OG0000568	SBOV2_56100.1	EWB00_005140.1, EWB00_005140.2, EWB00_005140.3, EWB00_005140.4
OG0000568	SBOV2_66610.1, SBOV2_66610.2, SBOV2_66610.3	EWB00_009855.1, EWB00_009855.2
OG0000569	SBOV2_9460.1	EWB00_008513.2, EWB00_008513.4, EWB00_008513.1, EWB00_008513.3, EWB00_008513.5
OG0000570	SBOV2_12760.1, SBOV2_12760.2, SBOV2_12760.3	EWB00_010004
OG0000571	SBOV2_8760.1	EWB00_003064.1, EWB00_003064.2
OG0000572	SBOV2_58890.1	EWB00_000508
OG0000574	SBOV2_2960.3, SBOV2_2960.2, SBOV2_2960.1	EWB00_007575
OG0000574	SBOV2_2990.1	EWB00_007578
OG0000575	SBOV2_93450.3, SBOV2_93450.5, SBOV2_93450.7, SBOV2_93450.11, SBOV2_93450.9, SBOV2_93450.1, SBOV2_93450.12, SBOV2_93450.6, SBOV2_93450.2, SBOV2_93450.10, SBOV2_93450.4, SBOV2_93450.8	EWB00_009684.3, EWB00_009684.4, EWB00_009684.2, EWB00_009684.5, EWB00_009684.6, EWB00_009684.7, EWB00_009684.1
OG0000576	SBOV2_43370.4, SBOV2_43370.6, SBOV2_43370.3, SBOV2_43370.5, SBOV2_43370.1, SBOV2_43370.2	EWB00_004903
OG0000577	SBOV2_52550.4, SBOV2_52550.5, SBOV2_52550.6, SBOV2_52550.1, SBOV2_52550.2, SBOV2_52550.3, SBOV2_52550.7	EWB00_010674.1, EWB00_010674.2
OG0000579	SBOV2_74600.1, SBOV2_74640.1, SBOV2_74620.1, SBOV2_74630.1, SBOV2_74670.1	EWB00_010560, EWB00_010557, EWB00_004099, EWB00_010135
OG0000580	SBOV2_35280.1, SBOV2_35280.2	EWB00_003419
OG0000581	SBOV2_60630.1, SBOV2_60630.2, SBOV2_60630.3, SBOV2_60630.4	EWB00_011088.3, EWB00_011088.2, EWB00_011088.1
OG0000582	SBOV2_82220.1	EWB00_007044, EWB00_009714
OG0000582	SBOV2_82230.1	EWB00_007043
OG0000582	SBOV2_82240.1	EWB00_007042
OG0000583	SBOV2_60250.5, SBOV2_60250.2, SBOV2_60250.1, SBOV2_60250.3, SBOV2_60250.4	EWB00_011310.1, EWB00_011310.2
OG0000584	SBOV2_39130.1	EWB00_003311
OG0000585	SBOV2_5880.8, SBOV2_5880.10, SBOV2_5880.11, SBOV2_5880.4, SBOV2_5880.5, SBOV2_5880.6, SBOV2_5880.7, SBOV2_5880.9, SBOV2_5880.3, SBOV2_5880.1, SBOV2_5880.2	EWB00_010839, EWB00_010840
OG0000586	SBOV2_36560.1, SBOV2_36560.5, SBOV2_36560.4, SBOV2_36560.3, SBOV2_36560.2	EWB00_007451.1, EWB00_007451.2
OG0000587	SBOV2_64500.1, SBOV2_64500.2, SBOV2_64510.1, SBOV2_64530.1	EWB00_000903
OG0000587	SBOV2_9150.1	EWB00_005771
OG0000588	SBOV2_21940.1	EWB00_005759.1, EWB00_005759.2
OG0000589	SBOV2_50670.1	EWB00_000767.3, EWB00_000767.4, EWB00_000767.1, EWB00_000767.2
OG0000590	SBOV2_38410.1	EWB00_007928
OG0000590	SBOV2_27250.1	EWB00_002833
OG0000591	SBOV2_3490.1	EWB00_001644.1, EWB00_001644.2
OG0000592	SBOV2_36710.1	EWB00_004130
OG0000593	SBOV2_35850.5, SBOV2_35850.10, SBOV2_35850.8, SBOV2_35850.6, SBOV2_35850.2, SBOV2_35850.9, SBOV2_35850.1, SBOV2_35850.3, SBOV2_35850.4, SBOV2_35850.7	EWB00_009305, EWB00_010907
OG0000594	SBOV2_48710.1	EWB00_002991
OG0000595	SBOV2_47060.2, SBOV2_47060.3, SBOV2_47060.1, SBOV2_47060.6, SBOV2_47060.5, SBOV2_47060.4	EWB00_010775
OG0000598	SBOV2_12610.1, SBOV2_12610.3, SBOV2_12610.4, SBOV2_12610.5, SBOV2_12610.2, SBOV2_12610.7, SBOV2_12610.6	EWB00_004687
OG0000599	SBOV2_62190.2, SBOV2_62190.4, SBOV2_62190.3, SBOV2_62190.1, SBOV2_62190.5, SBOV2_62190.6	EWB00_005904.1, EWB00_005904.2
OG0000600	SBOV2_67220.1, SBOV2_67230.1	EWB00_006231.1, EWB00_006231.2
OG0000601	SBOV2_93890.1	EWB00_001427.1, EWB00_001427.2
OG0000601	SBOV2_26880.1	EWB00_007989, EWB00_007990
OG0000602	SBOV2_14760.1	EWB00_002351, EWB00_002350
OG0000603	SBOV2_49740.2, SBOV2_49740.1, SBOV2_49740.3	EWB00_004420.1, EWB00_004420.2
OG0000604	SBOV2_28370.6, SBOV2_28370.3, SBOV2_28370.4, SBOV2_28370.5, SBOV2_28370.1, SBOV2_28370.2	EWB00_006171.7, EWB00_006171.1, EWB00_006171.4, EWB00_006171.2, EWB00_006171.3, EWB00_006171.5, EWB00_006171.6
OG0000605	SBOV2_40070.1	EWB00_010874.1, EWB00_010874.2
OG0000607	SBOV2_36500.8, SBOV2_36500.7, SBOV2_36500.4, SBOV2_36500.2, SBOV2_36500.6, SBOV2_36500.1, SBOV2_36500.3, SBOV2_36500.5	EWB00_007459.1, EWB00_007459.5, EWB00_007459.2, EWB00_007459.3, EWB00_007459.4
OG0000608	SBOV2_54700.1	EWB00_003677
OG0000609	SBOV2_40160.6, SBOV2_40160.3, SBOV2_40160.1, SBOV2_40160.4, SBOV2_40160.7, SBOV2_40160.5, SBOV2_40160.2	EWB00_010886.1, EWB00_010886.2
