Orthogroup	schistosoma_bovis	schmidtea_mediterranea
OG0000586	SBOV2_36560.1, SBOV2_36560.5, SBOV2_36560.4, SBOV2_36560.3, SBOV2_36560.2	h1SMcT0002546.1
OG0000587	SBOV2_64500.1, SBOV2_64500.2, SBOV2_64510.1, SBOV2_64530.1, SBOV2_9150.1	h1SMcT0012527.1
OG0000588	SBOV2_21940.1	h1SMcT0022641.1
OG0000589	SBOV2_50670.1	h1SMcT0000513.6, h1SMcT0000513.10, h1SMcT0000513.5, h1SMcT0000513.11, h1SMcT0000513.7, h1SMcT0000513.4, h1SMcT0000513.2, h1SMcT0000513.1, h1SMcT0000513.15, h1SMcT0000513.9, h1SMcT0000513.12, h1SMcT0000513.13, h1SMcT0000513.16, h1SMcT0000513.3, h1SMcT0000513.14, h1SMcT0000513.8
OG0000590	SBOV2_38410.1	h1SMcT0012706.1, h1SMcT0012706.2
OG0000590	SBOV2_27250.1	h1SMcT0011530.1, h1SMcT0011530.2, h1SMcT0011530.3, h1SMcT0011530.5, h1SMcT0011530.4
OG0000592	SBOV2_36710.1	h1SMcT0002361.1
OG0000593	SBOV2_35850.5, SBOV2_35850.10, SBOV2_35850.8, SBOV2_35850.6, SBOV2_35850.2, SBOV2_35850.9, SBOV2_35850.1, SBOV2_35850.3, SBOV2_35850.4, SBOV2_35850.7	h1SMcT0011288.1
OG0000594	SBOV2_48710.1	h1SMcT0014403.1
OG0000599	SBOV2_62190.2, SBOV2_62190.4, SBOV2_62190.3, SBOV2_62190.1, SBOV2_62190.5, SBOV2_62190.6	h1SMcT0014383.1
OG0000600	SBOV2_67220.1, SBOV2_67230.1	h1SMcT0001236.1, h1SMcT0001236.2
OG0000601	SBOV2_93890.1	h1SMcT0017191.2
OG0000601	SBOV2_26880.1	h1SMcT0017191.1, h1SMcT0015663.1
OG0000603	SBOV2_49740.2, SBOV2_49740.1, SBOV2_49740.3	h1SMcT0006589.1, h1SMcT0001620.1, h1SMcT0001575.2, h1SMcT0001575.1
OG0000605	SBOV2_40030.1, SBOV2_40070.1	h1SMcT0000877.1, h1SMcT0000877.2
OG0000607	SBOV2_36500.8, SBOV2_36500.7, SBOV2_36500.4, SBOV2_36500.2, SBOV2_36500.6, SBOV2_36500.1, SBOV2_36500.3, SBOV2_36500.5	h1SMcT0020176.1
OG0000609	SBOV2_40160.6, SBOV2_40160.3, SBOV2_40160.1, SBOV2_40160.4, SBOV2_40160.7, SBOV2_40160.5, SBOV2_40160.2	h1SMcT0005893.1
OG0000610	SBOV2_22240.1	h1SMcT0011951.1, h1SMcT0005871.1, h1SMcT0005871.2, h1SMcT0013226.4, h1SMcT0013226.5, h1SMcT0013226.1, h1SMcT0013226.3, h1SMcT0013226.6, h1SMcT0013226.2, h1SMcT0013226.9, h1SMcT0013226.7
OG0000611	SBOV2_42380.1, SBOV2_42430.1, SBOV2_42410.1, SBOV2_42400.1, SBOV2_42420.1	h1SMcT0001233.1, h1SMcT0001234.1
OG0000612	SBOV2_8720.1, SBOV2_8720.4, SBOV2_8720.5, SBOV2_8720.6, SBOV2_8720.3, SBOV2_8720.2	h1SMcT0020937.1
OG0000613	SBOV2_30590.1, SBOV2_30590.2, SBOV2_30590.4, SBOV2_30590.3, SBOV2_30590.5, SBOV2_30590.6	h1SMcT0002240.1, h1SMcT0014405.4, h1SMcT0014405.1, h1SMcT0014405.6, h1SMcT0014405.5, h1SMcT0014405.2, h1SMcT0014405.3
OG0000614	SBOV2_43550.2, SBOV2_43550.3, SBOV2_43550.1, SBOV2_43550.6, SBOV2_43550.7, SBOV2_43550.4, SBOV2_43550.5	h1SMcT0004878.5, h1SMcT0004878.1, h1SMcT0004878.6
OG0000615	SBOV2_12910.2, SBOV2_12910.1	h1SMcT0007757.1, h1SMcT0011556.1, h1SMcT0022918.1
OG0000616	SBOV2_59690.1	h1SMcT0015808.1, h1SMcT0011502.1, h1SMcT0011502.4
OG0000617	SBOV2_80960.1	h1SMcT0000662.1, h1SMcT0016621.1, h1SMcT0016621.2, h1SMcT0016926.2, h1SMcT0016926.1, h1SMcT0016926.3
OG0000618	SBOV2_31210.1	h1SMcT0002134.3, h1SMcT0002134.1, h1SMcT0002134.2, h1SMcT0002134.4
OG0000620	SBOV2_14950.1	h1SMcT0012721.1, h1SMcT0012721.2
OG0000620	SBOV2_44930.1	h1SMcT0013766.1, h1SMcT0013766.2, h1SMcT0008491.1, h1SMcT0008491.2
OG0000621	SBOV2_37570.5, SBOV2_37570.1, SBOV2_37570.6, SBOV2_37570.2, SBOV2_37570.3, SBOV2_37570.4	h1SMcT0007997.1
OG0000623	SBOV2_12750.5, SBOV2_12750.1, SBOV2_12750.2, SBOV2_12750.4, SBOV2_12750.3	h1SMcT0014261.1
OG0000624	SBOV2_38630.1	h1SMcT0020124.1
OG0000625	SBOV2_30240.3, SBOV2_30240.1, SBOV2_30240.6, SBOV2_30240.5, SBOV2_30240.2, SBOV2_30240.4	h1SMcT0013791.1
OG0000626	SBOV2_50890.6, SBOV2_50890.5, SBOV2_50890.8, SBOV2_50890.7, SBOV2_50890.4, SBOV2_50890.1, SBOV2_50890.3, SBOV2_50890.2	h1SMcT0016716.3, h1SMcT0016716.1, h1SMcT0016716.2
OG0000627	SBOV2_11680.7, SBOV2_11680.8, SBOV2_11680.6, SBOV2_11680.4, SBOV2_11680.2, SBOV2_11680.1, SBOV2_11680.3, SBOV2_11680.5	h1SMcT0005288.1, h1SMcT0005288.2, h1SMcT0005288.3, h1SMcT0005288.4
OG0000628	SBOV2_60730.2, SBOV2_60730.4, SBOV2_60730.3, SBOV2_60730.1	h1SMcT0006558.1
OG0000629	SBOV2_28920.5, SBOV2_28920.7, SBOV2_28920.6, SBOV2_28920.4, SBOV2_28920.3, SBOV2_28920.2, SBOV2_28920.1	h1SMcT0002469.1, h1SMcT0002469.2, h1SMcT0002157.1, h1SMcT0002157.2
OG0000630	SBOV2_58350.1, SBOV2_58350.2, SBOV2_58350.3	h1SMcT0010265.4, h1SMcT0010265.5, h1SMcT0010265.1, h1SMcT0010265.3, h1SMcT0010265.2
OG0000631	SBOV2_65490.1, SBOV2_60770.5, SBOV2_60770.1, SBOV2_60770.2, SBOV2_60770.4, SBOV2_60770.3, SBOV2_60770.6	h1SMcT0010110.1, h1SMcT0010112.1, h1SMcT0010114.1
OG0000632	SBOV2_13020.5, SBOV2_13020.3, SBOV2_13020.4, SBOV2_13020.6, SBOV2_13020.1, SBOV2_13020.2	h1SMcT0004637.1, h1SMcT0004637.2
OG0000633	SBOV2_53030.1, SBOV2_53030.4, SBOV2_53030.2, SBOV2_53030.3, SBOV2_53030.5	h1SMcT0003142.1
OG0000636	SBOV2_93640.1, SBOV2_93640.3, SBOV2_93640.5, SBOV2_93640.6, SBOV2_93640.2, SBOV2_93640.4, SBOV2_93640.7	h1SMcT0010435.1
OG0000637	SBOV2_48970.1	h1SMcT0003479.1, h1SMcT0009323.1, h1SMcT0009324.1, h1SMcT0009324.2, h1SMcT0009332.1, h1SMcT0009332.4, h1SMcT0009332.2, h1SMcT0009332.3, h1SMcT0009397.1, h1SMcT0009393.1, h1SMcT0009393.2
OG0000638	SBOV2_63660.1, SBOV2_63660.2, SBOV2_63660.3	h1SMcT0014155.1, h1SMcT0014155.2
OG0000639	SBOV2_61390.1	h1SMcT0008292.1
OG0000641	SBOV2_6610.1, SBOV2_6610.2, SBOV2_6610.3	h1SMcT0000075.1, h1SMcT0000075.2, h1SMcT0000075.3
OG0000641	SBOV2_4550.1, SBOV2_4550.2	h1SMcT0021560.1, h1SMcT0021560.2
OG0000643	SBOV2_53500.1, SBOV2_53510.2, SBOV2_53510.3, SBOV2_53510.1	h1SMcT0004865.1
OG0000644	SBOV2_94590.5, SBOV2_94590.2, SBOV2_94590.1, SBOV2_94590.3, SBOV2_94590.4	h1SMcT0009313.1, h1SMcT0009313.2, h1SMcT0009313.3
OG0000645	SBOV2_10180.1, SBOV2_10170.1	h1SMcT0014622.1, h1SMcT0014622.2, h1SMcT0014622.3, h1SMcT0001951.1, h1SMcT0001951.4, h1SMcT0001951.2, h1SMcT0001951.5, h1SMcT0001951.3, h1SMcT0002162.9, h1SMcT0002162.3, h1SMcT0002162.5, h1SMcT0002162.8, h1SMcT0002162.1, h1SMcT0002162.10, h1SMcT0002162.2, h1SMcT0002162.7, h1SMcT0002162.4, h1SMcT0002162.6, h1SMcT0005662.1, h1SMcT0006078.1, h1SMcT0006078.2
OG0000646	SBOV2_8750.7, SBOV2_8750.4, SBOV2_8750.8, SBOV2_8750.3, SBOV2_8750.6, SBOV2_8750.1, SBOV2_8750.2, SBOV2_8750.5	h1SMcT0014565.2, h1SMcT0014565.8, h1SMcT0014565.3, h1SMcT0014565.6, h1SMcT0014565.4, h1SMcT0014565.7, h1SMcT0014565.1, h1SMcT0014565.5, h1SMcT0021225.1, h1SMcT0000025.3, h1SMcT0000025.1, h1SMcT0000025.2
OG0000647	SBOV2_61630.5, SBOV2_61630.7, SBOV2_61630.6, SBOV2_61630.1, SBOV2_61630.2, SBOV2_61630.8, SBOV2_61630.10, SBOV2_61630.3, SBOV2_61630.4, SBOV2_61630.9	h1SMcT0002662.1, h1SMcT0015974.1
OG0000649	SBOV2_59410.1, SBOV2_59410.2	h1SMcT0014304.4, h1SMcT0014304.1, h1SMcT0014304.3, h1SMcT0014304.2, h1SMcT0010534.1, h1SMcT0010534.3, h1SMcT0010534.2, h1SMcT0018309.10, h1SMcT0018309.12, h1SMcT0018309.4, h1SMcT0018309.5, h1SMcT0018309.7, h1SMcT0018309.8, h1SMcT0018309.9, h1SMcT0018309.13, h1SMcT0018309.2, h1SMcT0018309.6, h1SMcT0018309.1, h1SMcT0018309.11, h1SMcT0018309.3
OG0000652	SBOV2_27620.3, SBOV2_27620.1, SBOV2_27620.2, SBOV2_27620.4, SBOV2_27620.5, SBOV2_27620.6	h1SMcT0014597.3, h1SMcT0014597.1, h1SMcT0014597.2
OG0000653	SBOV2_27060.1, SBOV2_27070.1, SBOV2_27070.2, SBOV2_27070.3	h1SMcT0001116.3, h1SMcT0001116.1, h1SMcT0001116.4, h1SMcT0001112.2, h1SMcT0001113.1
OG0000654	SBOV2_57610.3, SBOV2_57610.1, SBOV2_57610.2, SBOV2_57610.4	h1SMcT0006285.1
OG0000655	SBOV2_80890.1	h1SMcT0009631.1
OG0000656	SBOV2_74520.2, SBOV2_74520.1, SBOV2_74520.3	h1SMcT0022550.7, h1SMcT0022550.3, h1SMcT0022550.2, h1SMcT0022550.5, h1SMcT0022550.6, h1SMcT0022550.4, h1SMcT0022550.8
OG0000657	SBOV2_87960.2, SBOV2_87960.3, SBOV2_87960.4, SBOV2_87960.5, SBOV2_87960.1, SBOV2_87960.6	h1SMcT0013044.1, h1SMcT0013044.2, h1SMcT0013044.4, h1SMcT0013044.10, h1SMcT0013044.3, h1SMcT0013044.7, h1SMcT0013044.8, h1SMcT0013044.9, h1SMcT0013044.5, h1SMcT0013044.6
OG0000659	SBOV2_26120.1, SBOV2_26120.3, SBOV2_26120.4, SBOV2_26120.2	h1SMcT0007920.1
OG0000663	SBOV2_29600.10, SBOV2_29600.9, SBOV2_29600.7, SBOV2_29600.6, SBOV2_29600.4, SBOV2_29600.5, SBOV2_29600.8, SBOV2_29600.2, SBOV2_29600.1, SBOV2_29600.3	h1SMcT0017016.2, h1SMcT0017016.3, h1SMcT0017016.4
OG0000664	SBOV2_12170.2, SBOV2_12170.1, SBOV2_12170.3, SBOV2_12170.4	h1SMcT0002678.1, h1SMcT0015958.1
OG0000665	SBOV2_72240.1, SBOV2_72240.2, SBOV2_72240.3	h1SMcT0008601.2
OG0000666	SBOV2_61380.3, SBOV2_61380.4, SBOV2_61380.5, SBOV2_61380.1, SBOV2_61380.2, SBOV2_61380.6	h1SMcT0008106.1, h1SMcT0008106.3, h1SMcT0008106.4, h1SMcT0008106.2
OG0000667	SBOV2_6160.5, SBOV2_6160.6, SBOV2_6160.7, SBOV2_6160.1, SBOV2_6160.2, SBOV2_6160.3, SBOV2_6160.4	h1SMcT0000405.1, h1SMcT0000405.2, h1SMcT0000405.3, h1SMcT0000405.4, h1SMcT0000405.5, h1SMcT0000405.6, h1SMcT0000405.7, h1SMcT0000405.8
OG0000668	SBOV2_53120.1	h1SMcT0000772.1
OG0000669	SBOV2_67660.1, SBOV2_67660.2	h1SMcT0002674.1, h1SMcT0015961.1
OG0000670	SBOV2_43860.1	h1SMcT0013219.2, h1SMcT0013219.3, h1SMcT0008488.1, h1SMcT0012609.4, h1SMcT0012609.5, h1SMcT0012609.1, h1SMcT0012609.6, h1SMcT0012609.7, h1SMcT0023028.1, h1SMcT0012609.3, h1SMcT0012609.2
OG0000671	SBOV2_75700.1, SBOV2_75700.2, SBOV2_75700.3	h1SMcT0004049.1
OG0000672	SBOV2_43460.2, SBOV2_43460.3, SBOV2_43460.1, SBOV2_43460.4, SBOV2_43460.5	h1SMcT0007758.5, h1SMcT0007758.7, h1SMcT0007758.2, h1SMcT0007758.6
OG0000674	SBOV2_77260.1, SBOV2_77260.3, SBOV2_77260.6, SBOV2_77260.2, SBOV2_77260.4, SBOV2_77260.5	h1SMcT0006548.5, h1SMcT0006548.2, h1SMcT0006548.4, h1SMcT0006548.6, h1SMcT0006548.1, h1SMcT0006548.3, h1SMcT0006548.7
OG0000675	SBOV2_71420.7, SBOV2_71420.2, SBOV2_71420.1, SBOV2_71420.10, SBOV2_71420.4, SBOV2_71420.6, SBOV2_71420.8, SBOV2_71420.9, SBOV2_71420.3, SBOV2_71420.5	h1SMcT0003156.2
OG0000676	SBOV2_80840.1, SBOV2_80840.2, SBOV2_80840.3, SBOV2_80840.4, SBOV2_80840.5, SBOV2_80840.6	h1SMcT0011607.1
OG0000677	SBOV2_5200.1	h1SMcT0005076.1, h1SMcT0010995.1
OG0000678	SBOV2_33200.1, SBOV2_33200.3, SBOV2_33200.2, SBOV2_33200.4	h1SMcT0000627.1
OG0000680	SBOV2_16400.1, SBOV2_16400.2, SBOV2_16400.3, SBOV2_16400.4	h1SMcT0020605.2, h1SMcT0020605.3, h1SMcT0020605.4, h1SMcT0020605.1, h1SMcT0020605.5
OG0000682	SBOV2_42210.1, SBOV2_42210.4, SBOV2_42210.5, SBOV2_42210.3, SBOV2_42210.2	h1SMcT0021817.1, h1SMcT0021817.2, h1SMcT0021817.3
OG0000683	SBOV2_50470.1	h1SMcT0001041.1
OG0000683	SBOV2_66790.1	h1SMcT0016211.1, h1SMcT0016211.2, h1SMcT0016211.3
OG0000684	SBOV2_83820.1	h1SMcT0018167.5, h1SMcT0018167.1, h1SMcT0018167.20, h1SMcT0018167.7, h1SMcT0018167.12, h1SMcT0018167.3, h1SMcT0018167.4, h1SMcT0018167.18, h1SMcT0018167.14, h1SMcT0018167.19, h1SMcT0018167.8, h1SMcT0018167.10, h1SMcT0018167.15, h1SMcT0018167.9, h1SMcT0018167.11, h1SMcT0018167.16, h1SMcT0018167.17, h1SMcT0018167.13
OG0000686	SBOV2_59620.1	h1SMcT0001825.1, h1SMcT0001825.2
OG0000687	SBOV2_40760.6, SBOV2_40760.3, SBOV2_40760.1, SBOV2_40760.5, SBOV2_40760.2, SBOV2_40760.4	h1SMcT0019613.1
OG0000689	SBOV2_2980.1	h1SMcT0003853.1, h1SMcT0003854.1
OG0000690	SBOV2_22280.1	h1SMcT0006534.1, h1SMcT0006534.6, h1SMcT0006534.3, h1SMcT0006534.8, h1SMcT0006534.9, h1SMcT0006534.10, h1SMcT0006534.2, h1SMcT0006534.11, h1SMcT0006534.4, h1SMcT0006534.5, h1SMcT0006534.7, h1SMcT0006847.1
OG0000695	SBOV2_95430.1	h1SMcT0007395.1
OG0000695	SBOV2_44750.1	h1SMcT0017536.1, h1SMcT0017537.1
OG0000696	SBOV2_5400.1, SBOV2_5400.2, SBOV2_5400.3, SBOV2_5400.5, SBOV2_5400.4	h1SMcT0007847.1, h1SMcT0007847.2
OG0000697	SBOV2_27560.1, SBOV2_27560.2	h1SMcT0018621.4, h1SMcT0018621.2, h1SMcT0018621.1, h1SMcT0018621.3
OG0000699	SBOV2_34630.1	h1SMcT0022612.1, h1SMcT0022612.3, h1SMcT0022612.2, h1SMcT0022612.4, h1SMcT0022612.5, h1SMcT0012097.1, h1SMcT0012097.2, h1SMcT0012097.3
OG0000699	SBOV2_45230.1, SBOV2_45230.2	h1SMcT0010928.1
OG0000700	SBOV2_39350.1, SBOV2_23480.1, SBOV2_23490.1, SBOV2_23500.1	h1SMcT0011041.1
OG0000703	SBOV2_140.1	h1SMcT0004344.1, h1SMcT0003611.3, h1SMcT0003611.1, h1SMcT0003611.2, h1SMcT0000754.1, h1SMcT0000754.2, h1SMcT0000754.3
OG0000704	SBOV2_47670.2, SBOV2_47670.1, SBOV2_47670.3, SBOV2_47670.4, SBOV2_47670.5	h1SMcT0014608.4, h1SMcT0014608.3, h1SMcT0014608.1, h1SMcT0014608.2
OG0000705	SBOV2_6060.7, SBOV2_6060.8, SBOV2_6060.9, SBOV2_6060.6, SBOV2_6060.3, SBOV2_6060.4, SBOV2_6060.1, SBOV2_6060.2, SBOV2_6060.5	h1SMcT0002097.1
OG0000706	SBOV2_42570.1	h1SMcT0018667.1
OG0000706	SBOV2_53210.1	h1SMcT0007172.1, h1SMcT0007172.4, h1SMcT0007172.2, h1SMcT0007172.3, h1SMcT0015679.1, h1SMcT0016765.1, h1SMcT0020007.1, h1SMcT0020007.2
OG0000707	SBOV2_93230.11, SBOV2_93230.3, SBOV2_93230.4, SBOV2_93230.1, SBOV2_93230.10, SBOV2_93230.2, SBOV2_93230.5, SBOV2_93230.6, SBOV2_93230.9, SBOV2_93230.12, SBOV2_93230.8, SBOV2_93230.7	h1SMcT0015742.1, h1SMcT0015742.3, h1SMcT0015742.2, h1SMcT0015742.4
OG0000708	SBOV2_30430.3, SBOV2_30430.4, SBOV2_30430.5, SBOV2_30430.1, SBOV2_30430.2	h1SMcT0008283.2, h1SMcT0008283.4, h1SMcT0008283.3, h1SMcT0008283.1, h1SMcT0008283.5
OG0000709	SBOV2_42880.1	h1SMcT0004212.1
OG0000710	SBOV2_7410.1, SBOV2_7400.1	h1SMcT0004295.1, h1SMcT0010571.1
OG0000711	SBOV2_73570.10, SBOV2_73570.11, SBOV2_73570.2, SBOV2_73570.1, SBOV2_73570.7, SBOV2_73570.3, SBOV2_73570.4, SBOV2_73570.9, SBOV2_73570.8, SBOV2_73570.5, SBOV2_73570.6	h1SMcT0020247.1
OG0000712	SBOV2_52860.1	h1SMcT0022628.1, h1SMcT0022628.2, h1SMcT0022628.3
OG0000714	SBOV2_45550.1, SBOV2_45550.2, SBOV2_45550.3	h1SMcT0013833.1
OG0000715	SBOV2_40230.1, SBOV2_40230.2, SBOV2_40230.3, SBOV2_40230.5, SBOV2_40230.4	h1SMcT0013928.1, h1SMcT0013928.3
OG0000716	SBOV2_11540.1	h1SMcT0017449.3, h1SMcT0017449.1, h1SMcT0017449.2
OG0000717	SBOV2_58590.1, SBOV2_58590.2, SBOV2_58590.4, SBOV2_58590.3, SBOV2_58590.5	h1SMcT0005890.1
OG0000718	SBOV2_73840.5, SBOV2_73840.1, SBOV2_73840.2, SBOV2_73840.4, SBOV2_73840.3	h1SMcT0019140.3, h1SMcT0014134.1, h1SMcT0014134.2, h1SMcT0018100.2, h1SMcT0018373.3, h1SMcT0002221.2, h1SMcT0002221.4, h1SMcT0002221.6, h1SMcT0002221.5, h1SMcT0001082.7, h1SMcT0001082.9, h1SMcT0001082.1, h1SMcT0001082.5, h1SMcT0001082.6
OG0000719	SBOV2_50460.1, SBOV2_50460.2, SBOV2_50460.3, SBOV2_50460.4, SBOV2_50460.5, SBOV2_50460.6	h1SMcT0003953.1
OG0000720	SBOV2_75950.2, SBOV2_75950.3, SBOV2_75950.5, SBOV2_75950.6, SBOV2_75950.7, SBOV2_75950.1, SBOV2_75950.4	h1SMcT0001353.1
OG0000722	SBOV2_5300.3, SBOV2_5300.2, SBOV2_5300.1, SBOV2_5300.4	h1SMcT0010769.1, h1SMcT0010769.2, h1SMcT0010770.1, h1SMcT0010770.2
OG0000723	SBOV2_75690.1	h1SMcT0006520.1, h1SMcT0006522.1
OG0000724	SBOV2_26040.1	h1SMcT0017100.1, h1SMcT0017100.2, h1SMcT0017100.3
OG0000726	SBOV2_37790.2, SBOV2_37790.1, SBOV2_37780.1, SBOV2_37780.2	h1SMcT0007616.1, h1SMcT0007616.2
OG0000728	SBOV2_47800.2, SBOV2_47800.3, SBOV2_47800.1	h1SMcT0017035.1
OG0000729	SBOV2_8680.2, SBOV2_8680.4, SBOV2_8680.1, SBOV2_8680.3, SBOV2_8680.5, SBOV2_8680.6	h1SMcT0016744.1, h1SMcT0016744.2
OG0000730	SBOV2_59650.1	h1SMcT0010082.1, h1SMcT0010082.2, h1SMcT0010082.3
OG0000731	SBOV2_75320.1	h1SMcT0010461.1, h1SMcT0010461.3, h1SMcT0010461.2, h1SMcT0010461.4
OG0000732	SBOV2_3530.6, SBOV2_3530.1, SBOV2_3530.5, SBOV2_3530.4, SBOV2_3530.2, SBOV2_3530.3	h1SMcT0008186.1
OG0000733	SBOV2_2920.2, SBOV2_2920.1, SBOV2_2920.3, SBOV2_2920.7, SBOV2_2920.5, SBOV2_2920.4, SBOV2_2920.6, SBOV2_2920.8	h1SMcT0021193.1
OG0000736	SBOV2_77150.4, SBOV2_77150.5, SBOV2_77150.2, SBOV2_77150.3, SBOV2_77150.1	h1SMcT0016952.1, h1SMcT0016952.2
OG0000738	SBOV2_69300.1, SBOV2_69300.4, SBOV2_69300.2, SBOV2_69300.3, SBOV2_69160.1, SBOV2_69280.1	h1SMcT0008294.1
OG0000739	SBOV2_56400.1	h1SMcT0014531.1
OG0000740	SBOV2_8270.1	h1SMcT0010959.1
OG0000741	SBOV2_83520.3, SBOV2_83520.6, SBOV2_83520.1, SBOV2_83520.2, SBOV2_83520.4, SBOV2_83520.5	h1SMcT0004042.1, h1SMcT0004042.2
OG0000743	SBOV2_22020.1, SBOV2_22020.2	h1SMcT0003842.2
OG0000744	SBOV2_3630.1	h1SMcT0004810.1, h1SMcT0004810.5, h1SMcT0004810.3, h1SMcT0004810.4, h1SMcT0004810.2
OG0000745	SBOV2_29640.3, SBOV2_29640.6, SBOV2_29640.7, SBOV2_29640.4, SBOV2_29640.5, SBOV2_29640.9, SBOV2_29640.10, SBOV2_29640.8, SBOV2_29640.1, SBOV2_29640.2	h1SMcT0000463.1
OG0000746	SBOV2_60290.1	h1SMcT0008650.12, h1SMcT0008650.22, h1SMcT0008650.24, h1SMcT0008650.8, h1SMcT0008650.4, h1SMcT0008650.20, h1SMcT0008650.16, h1SMcT0008650.11, h1SMcT0008650.3, h1SMcT0008650.9, h1SMcT0008650.7, h1SMcT0008650.13, h1SMcT0008650.17, h1SMcT0008650.15, h1SMcT0008650.21, h1SMcT0008650.6, h1SMcT0008650.19, h1SMcT0008650.14, h1SMcT0008650.1, h1SMcT0008650.2, h1SMcT0008650.18, h1SMcT0008650.10, h1SMcT0008650.5, h1SMcT0008650.23
OG0000747	SBOV2_42070.5, SBOV2_42070.3, SBOV2_42070.2, SBOV2_42070.4, SBOV2_42070.1	h1SMcT0015570.1, h1SMcT0013888.1, h1SMcT0013888.2
OG0000748	SBOV2_69690.1	h1SMcT0021267.1, h1SMcT0021267.2, h1SMcT0021882.3, h1SMcT0021882.1, h1SMcT0021882.2, h1SMcT0021882.4
OG0000749	SBOV2_69050.3, SBOV2_69050.2, SBOV2_69050.4, SBOV2_69050.6, SBOV2_69050.7, SBOV2_69050.8, SBOV2_69050.1, SBOV2_69050.5, SBOV2_69050.9	h1SMcT0014961.3, h1SMcT0014961.1, h1SMcT0014961.2
OG0000750	SBOV2_73460.1, SBOV2_73460.2	h1SMcT0017309.2, h1SMcT0017309.3, h1SMcT0017309.1
OG0000751	SBOV2_5430.1, SBOV2_2620.1	h1SMcT0016766.1, h1SMcT0019426.1, h1SMcT0002043.1, h1SMcT0002054.1
OG0000752	SBOV2_91860.1, SBOV2_91810.1	h1SMcT0008944.1, h1SMcT0013028.1, h1SMcT0013029.1, h1SMcT0016615.1, h1SMcT0015880.1
OG0000753	SBOV2_82040.2, SBOV2_82040.1, SBOV2_82040.3, SBOV2_82040.4, SBOV2_82040.5	h1SMcT0001067.3
OG0000754	SBOV2_49680.3, SBOV2_49680.1, SBOV2_49680.2, SBOV2_49680.4	h1SMcT0013180.2, h1SMcT0013180.1, h1SMcT0013180.3
OG0000755	SBOV2_74590.1, SBOV2_74590.2, SBOV2_74590.5, SBOV2_74590.6, SBOV2_74590.3, SBOV2_74590.4, SBOV2_74590.7	h1SMcT0000011.1, h1SMcT0015157.1
OG0000756	SBOV2_28760.5, SBOV2_28760.6, SBOV2_28760.9, SBOV2_28760.2, SBOV2_28760.7, SBOV2_28760.3, SBOV2_28760.8, SBOV2_28760.1, SBOV2_28760.4	h1SMcT0015447.1
OG0000757	SBOV2_53000.2, SBOV2_53000.1, SBOV2_53000.3, SBOV2_53000.4	h1SMcT0005050.8, h1SMcT0005050.5, h1SMcT0005050.3, h1SMcT0005050.4, h1SMcT0005050.7
OG0000760	SBOV2_77850.1	h1SMcT0006973.1
OG0000761	SBOV2_51890.1	h1SMcT0013573.1
OG0000762	SBOV2_81110.1, SBOV2_81110.2, SBOV2_81110.3	h1SMcT0004438.1, h1SMcT0004438.2, h1SMcT0001956.1
OG0000762	SBOV2_86520.1	h1SMcT0020895.1, h1SMcT0004793.1, h1SMcT0004793.2
OG0000763	SBOV2_19110.9, SBOV2_19110.1, SBOV2_19110.2, SBOV2_19110.3, SBOV2_19110.4, SBOV2_19110.5, SBOV2_19110.6, SBOV2_19110.7, SBOV2_19110.8, SBOV2_19110.10	h1SMcT0003782.1
OG0000764	SBOV2_8840.5, SBOV2_8840.3, SBOV2_8840.1, SBOV2_8840.2, SBOV2_8840.4	h1SMcT0013512.1, h1SMcT0013512.2
OG0000765	SBOV2_52630.1, SBOV2_52630.2, SBOV2_52620.1	h1SMcT0001915.2, h1SMcT0001915.3
OG0000766	SBOV2_62680.1	h1SMcT0011470.1
OG0000767	SBOV2_64830.1, SBOV2_64830.5, SBOV2_64830.3, SBOV2_64830.2, SBOV2_64830.4	h1SMcT0001545.1, h1SMcT0016721.3, h1SMcT0016721.1, h1SMcT0016721.2
OG0000768	SBOV2_27790.1	h1SMcT0021396.1, h1SMcT0021396.2
OG0000770	SBOV2_17370.1, SBOV2_17370.3, SBOV2_17370.4, SBOV2_17370.5, SBOV2_17370.7, SBOV2_17370.2, SBOV2_17370.6, SBOV2_17370.8	h1SMcT0001664.1, h1SMcT0001664.2
OG0000771	SBOV2_79000.1, SBOV2_79020.1, SBOV2_79030.1, SBOV2_79040.1, SBOV2_79040.2	h1SMcT0011512.1
OG0000772	SBOV2_16280.3, SBOV2_16280.1, SBOV2_16280.2	h1SMcT0004399.3, h1SMcT0004399.1, h1SMcT0004399.2
OG0000773	SBOV2_25260.1, SBOV2_25260.2	h1SMcT0017259.3, h1SMcT0017259.2, h1SMcT0017259.1
OG0000774	SBOV2_46510.1	h1SMcT0003510.1
OG0000776	SBOV2_45110.1, SBOV2_56010.1, SBOV2_56010.2	h1SMcT0022578.1
OG0000777	SBOV2_53340.3, SBOV2_53340.1, SBOV2_53340.2	h1SMcT0018313.1, h1SMcT0006394.1, h1SMcT0006394.2
OG0000778	SBOV2_22410.1, SBOV2_22400.4, SBOV2_22400.5	h1SMcT0010991.3, h1SMcT0010991.1, h1SMcT0010991.4, h1SMcT0010991.2
