Orthogroup	fasciola_hepatica	schistosoma_mattheei
OG0001336	FhHiC23_g245.t2, FhHiC23_g245.t1	SMTH1_51660.1, SMTH1_51660.2, SMTH1_51650.1
OG0001337	FhHiC23_g719.t1, FhHiC23_g719.t2	SMTH1_60030.1, SMTH1_60030.2, SMTH1_60030.4, SMTH1_60030.3
OG0001338	FhHiC23_g4737.t1	SMTH1_41210.2, SMTH1_41210.1
OG0001339	FhHiC23_g11824.t1, FhHiC23_g11824.t2, FhHiC23_g13224.t1	SMTH1_12560.1, SMTH1_12570.1
OG0001340	FhHiC23_g13480.t1	SMTH1_10730.1, SMTH1_10720.1, SMTH1_10710.1, SMTH1_10710.2
OG0001341	FhHiC23_g3143.t1	SMTH1_85520.1, SMTH1_85520.2, SMTH1_85520.3
OG0001342	FhHiC23_g2119.t2, FhHiC23_g2119.t1, FhHiC23_g2119.t3	SMTH1_58470.4, SMTH1_58470.2, SMTH1_58470.5, SMTH1_58470.3, SMTH1_58470.1
OG0001343	FhHiC23_g2823.t1, FhHiC23_g2823.t2	SMTH1_80140.2, SMTH1_80140.1, SMTH1_80140.3, SMTH1_80150.1, SMTH1_80150.2, SMTH1_80150.3
OG0001344	FhHiC23_g2301.t2, FhHiC23_g2301.t1	SMTH1_85650.1, SMTH1_85640.1
OG0001345	FhHiC23_g13897.t1	SMTH1_47180.1
OG0001346	FhHiC23_g10664.t1	SMTH1_16350.1, SMTH1_16350.2, SMTH1_16340.1, SMTH1_16330.1
OG0001347	FhHiC23_g5010.t1	SMTH1_37660.1
OG0001348	FhHiC23_g14004.t1, FhHiC23_g14004.t2	SMTH1_39810.1, SMTH1_39810.2, SMTH1_39810.3
OG0001349	FhHiC23_g15066.t1, FhHiC23_g15066.t2	SMTH1_16960.1, SMTH1_16970.1, SMTH1_16950.1
OG0001350	FhHiC23_g5111.t2, FhHiC23_g5111.t3, FhHiC23_g5111.t1, FhHiC23_g5111.t4	SMTH1_34650.1, SMTH1_34660.1
OG0001351	FhHiC23_g10370.t1, FhHiC23_g10370.t2	SMTH1_26220.3, SMTH1_26220.2, SMTH1_26220.1
OG0001352	FhHiC23_g10388.t1, FhHiC23_g10387.t1	SMTH1_26480.1, SMTH1_26480.3, SMTH1_26480.4, SMTH1_26480.5, SMTH1_26480.2, SMTH1_26480.6, SMTH1_26480.7
OG0001353	FhHiC23_g8363.t2, FhHiC23_g8363.t1	SMTH1_69730.1
OG0001354	FhHiC23_g8269.t1	SMTH1_71850.1, SMTH1_71850.3, SMTH1_71850.2, SMTH1_71850.5, SMTH1_71850.4, SMTH1_71850.6
OG0001355	FhHiC23_g8074.t1, FhHiC23_g8074.t2	SMTH1_66200.1
OG0001356	FhHiC23_g3092.t1, FhHiC23_g3092.t2	SMTH1_80390.1
OG0001357	FhHiC23_g5720.t1	SMTH1_43890.1, SMTH1_43890.2, SMTH1_43890.3
OG0001358	FhHiC23_g3615.t1, FhHiC23_g3615.t2	SMTH1_98310.1
OG0001359	FhHiC23_g2422.t1	SMTH1_81060.1, SMTH1_81060.2, SMTH1_81060.3, SMTH1_81060.4
OG0001361	FhHiC23_g5345.t1, FhHiC23_g5345.t2	SMTH1_31650.1, SMTH1_31650.2
OG0001362	FhHiC23_g4766.t1, FhHiC23_g4766.t2	SMTH1_34010.2, SMTH1_34010.1, SMTH1_34010.3
OG0001363	FhHiC23_g9430.t3, FhHiC23_g9430.t1, FhHiC23_g9430.t2	SMTH1_105300.3, SMTH1_105300.2, SMTH1_105300.1
OG0001364	FhHiC23_g3977.t1, FhHiC23_g3977.t2, FhHiC23_g3977.t3	SMTH1_94320.1
OG0001365	FhHiC23_g2334.t1	SMTH1_86760.1, SMTH1_86760.2
OG0001366	FhHiC23_g1816.t1	SMTH1_59440.5, SMTH1_59440.3, SMTH1_59440.8, SMTH1_59440.4, SMTH1_59440.7, SMTH1_59440.6, SMTH1_59440.2, SMTH1_59440.1
OG0001367	FhHiC23_g9014.t1, FhHiC23_g9014.t2	SMTH1_105900.1
OG0001368	FhHiC23_g11032.t2, FhHiC23_g11032.t1	SMTH1_19890.4, SMTH1_19890.2, SMTH1_19890.3, SMTH1_19890.5, SMTH1_19890.1
OG0001369	FhHiC23_g16217.t1, FhHiC23_g16217.t2	SMTH1_99050.1, SMTH1_99050.4, SMTH1_99050.2, SMTH1_99050.3
OG0001370	FhHiC23_g6835.t1, FhHiC23_g6835.t2	SMTH1_65000.1, SMTH1_65000.2, SMTH1_65000.3, SMTH1_65000.4, SMTH1_65000.5
OG0001371	FhHiC23_g5083.t1, FhHiC23_g5917.t2, FhHiC23_g5917.t3, FhHiC23_g5917.t1, FhHiC23_g5084.t1	SMTH1_40320.1
OG0001372	FhHiC23_g6266.t1, FhHiC23_g6266.t2	SMTH1_41260.1
OG0001373	FhHiC23_g12593.t1	SMTH1_2840.2, SMTH1_2840.1, SMTH1_2840.3
OG0001374	FhHiC23_g7112.t2, FhHiC23_g7112.t1	SMTH1_67630.1
OG0001375	FhHiC23_g2034.t1	SMTH1_85960.1, SMTH1_85960.2, SMTH1_85960.3, SMTH1_85960.4
OG0001376	FhHiC23_g16384.t1	SMTH1_96490.1, SMTH1_96490.2, SMTH1_100180.1
OG0001377	FhHiC23_g7402.t1	SMTH1_69140.1
OG0001378	FhHiC23_g12022.t1, FhHiC23_g12033.t1, FhHiC23_g12033.t2	SMTH1_3850.3, SMTH1_3850.4, SMTH1_3850.5, SMTH1_3850.1, SMTH1_3850.2
OG0001379	FhHiC23_g1357.t1	SMTH1_77700.1, SMTH1_77690.1, SMTH1_77680.1
OG0001380	FhHiC23_g7532.t1, FhHiC23_g7532.t2, FhHiC23_g7532.t3	SMTH1_65820.3, SMTH1_65820.1, SMTH1_65820.2
OG0001381	FhHiC23_g3401.t1	SMTH1_81550.1
OG0001382	FhHiC23_g10031.t1	SMTH1_29490.4, SMTH1_29490.1, SMTH1_29490.2, SMTH1_29490.3
OG0001383	FhHiC23_g12625.t1, FhHiC23_g12625.t2	SMTH1_4740.1
OG0001384	FhHiC23_g4351.t1	SMTH1_97430.1
OG0001385	FhHiC23_g9581.t5, FhHiC23_g9581.t4, FhHiC23_g9581.t1, FhHiC23_g9581.t2, FhHiC23_g9581.t3	SMTH1_25910.1, SMTH1_25920.1
OG0001386	FhHiC23_g14392.t2, FhHiC23_g14392.t1	SMTH1_49140.1
OG0001387	FhHiC23_g4367.t1, FhHiC23_g4367.t2, FhHiC23_g4367.t3	SMTH1_96330.1
OG0001388	FhHiC23_g13329.t3, FhHiC23_g13329.t1, FhHiC23_g13329.t2	SMTH1_12850.1, SMTH1_12840.1
OG0001389	FhHiC23_g1788.t1, FhHiC23_g1788.t2	SMTH1_51250.1
OG0001390	FhHiC23_g5805.t2, FhHiC23_g5805.t1	SMTH1_44260.1, SMTH1_44260.2, SMTH1_44260.3
OG0001391	FhHiC23_g5101.t1	SMTH1_38410.1
OG0001392	FhHiC23_g10746.t1	SMTH1_14090.1
OG0001393	FhHiC23_g10795.t1	SMTH1_17990.1
OG0001394	FhHiC23_g2698.t1, FhHiC23_g2698.t2, FhHiC23_g2699.t1	SMTH1_84830.4, SMTH1_84830.3, SMTH1_84830.1, SMTH1_84830.2
OG0001395	FhHiC23_g16128.t1	SMTH1_98220.1
OG0001395	FhHiC23_g9586.t1	SMTH1_28440.1
OG0001396	FhHiC23_g187.t1	SMTH1_53330.1, SMTH1_53350.1
OG0001397	FhHiC23_g4526.t1, FhHiC23_g4526.t2	SMTH1_69320.2, SMTH1_69320.1, SMTH1_69320.5, SMTH1_69320.3, SMTH1_69320.4
OG0001398	FhHiC23_g10851.t1	SMTH1_12600.4, SMTH1_12600.1, SMTH1_12600.2, SMTH1_12600.3
OG0001400	FhHiC23_g4080.t1, FhHiC23_g4081.t1, FhHiC23_g4081.t2, FhHiC23_g4081.t3	SMTH1_90710.1
OG0001401	FhHiC23_g828.t2, FhHiC23_g828.t1, FhHiC23_g828.t5	SMTH1_56590.1
OG0001402	FhHiC23_g6085.t1	SMTH1_28790.1, SMTH1_28790.3, SMTH1_28790.2
OG0001403	FhHiC23_g1769.t1	SMTH1_61290.1, SMTH1_61290.2
OG0001404	FhHiC23_g11350.t1, FhHiC23_g11350.t2	SMTH1_21590.1
OG0001405	FhHiC23_g6114.t1, FhHiC23_g6115.t1	SMTH1_37230.1
OG0001406	FhHiC23_g4884.t1	SMTH1_32480.1, SMTH1_32480.2, SMTH1_32480.3, SMTH1_32480.4
OG0001408	FhHiC23_g9748.t1	SMTH1_26950.1, SMTH1_26930.1
OG0001409	FhHiC23_g1925.t1	SMTH1_55540.1, SMTH1_55530.1
OG0001410	FhHiC23_g5100.t1, FhHiC23_g5099.t1	SMTH1_38860.1, SMTH1_38850.1
OG0001411	FhHiC23_g5572.t1	SMTH1_31630.1, SMTH1_31630.3, SMTH1_31630.2, SMTH1_31630.4, SMTH1_31630.5
OG0001412	FhHiC23_g6153.t2, FhHiC23_g6153.t1, FhHiC23_g6153.t3	SMTH1_31730.1
OG0001413	FhHiC23_g9425.t1	SMTH1_104670.1
OG0001414	FhHiC23_g13502.t1, FhHiC23_g13501.t1, FhHiC23_g13501.t2	SMTH1_4980.1, SMTH1_4970.1
OG0001415	FhHiC23_g6002.t1	SMTH1_34810.5, SMTH1_34810.1, SMTH1_34810.3, SMTH1_34810.2, SMTH1_34810.4
OG0001416	FhHiC23_g11391.t2, FhHiC23_g11391.t3, FhHiC23_g11391.t1, FhHiC23_g11391.t4	SMTH1_16240.2, SMTH1_16240.4, SMTH1_16240.6, SMTH1_16240.1, SMTH1_16240.3, SMTH1_16240.5
OG0001417	FhHiC23_g11440.t1	SMTH1_13820.1, SMTH1_13830.1
OG0001418	FhHiC23_g13330.t1	SMTH1_130.1, SMTH1_130.2, SMTH1_130.3, SMTH1_130.4
OG0001419	FhHiC23_g8598.t1, FhHiC23_g8598.t2, FhHiC23_g8603.t4, FhHiC23_g8603.t1, FhHiC23_g8603.t3, FhHiC23_g8603.t2	SMTH1_73650.1, SMTH1_73650.2, SMTH1_73650.3
OG0001420	FhHiC23_g3762.t1	SMTH1_91540.1, SMTH1_91540.2, SMTH1_91540.3, SMTH1_91540.5, SMTH1_91540.4
OG0001421	FhHiC23_g5327.t1	SMTH1_40690.1
OG0001422	FhHiC23_g3036.t1	SMTH1_83420.1, SMTH1_83420.2, SMTH1_83420.3
OG0001423	FhHiC23_g11266.t1	SMTH1_12510.1
OG0001424	FhHiC23_g12739.t1	SMTH1_10570.1
OG0001425	FhHiC23_g9584.t1	SMTH1_28220.2, SMTH1_28220.1
OG0001427	FhHiC23_g10228.t1	SMTH1_28800.1, SMTH1_28810.1
OG0001428	FhHiC23_g13260.t1, FhHiC23_g13260.t2	SMTH1_3020.1, SMTH1_3020.2, SMTH1_3020.3, SMTH1_3020.4, SMTH1_3020.5, SMTH1_3020.6, SMTH1_3020.7
OG0001429	FhHiC23_g2002.t1	SMTH1_59120.1, SMTH1_59120.2
OG0001430	FhHiC23_g856.t2, FhHiC23_g857.t1, FhHiC23_g856.t1	SMTH1_61390.1, SMTH1_61380.1
OG0001431	FhHiC23_g6856.t1	SMTH1_72690.1
OG0001432	FhHiC23_g14952.t1	SMTH1_24130.1
OG0001433	FhHiC23_g15325.t1, FhHiC23_g15325.t2	SMTH1_22930.3, SMTH1_22930.2, SMTH1_22930.4, SMTH1_22930.1
OG0001434	FhHiC23_g9169.t1	SMTH1_105570.1
OG0001435	FhHiC23_g2755.t1, FhHiC23_g2758.t1, FhHiC23_g2759.t1, FhHiC23_g2756.t1	SMTH1_85980.2, SMTH1_85980.1
OG0001436	FhHiC23_g2628.t1	SMTH1_86440.1
OG0001438	FhHiC23_g15142.t1, FhHiC23_g15142.t2	SMTH1_20940.2, SMTH1_20940.3, SMTH1_20940.1
OG0001439	FhHiC23_g3104.t2, FhHiC23_g3104.t1	SMTH1_84210.1
OG0001440	FhHiC23_g4873.t1, FhHiC23_g4873.t2	SMTH1_41450.1, SMTH1_41450.2, SMTH1_41450.3
OG0001441	FhHiC23_g16517.t1, FhHiC23_g16517.t2	SMTH1_99930.1, SMTH1_99940.1
OG0001442	FhHiC23_g8021.t1	SMTH1_69410.1, SMTH1_69410.3, SMTH1_69410.2
OG0001443	FhHiC23_g11130.t1	SMTH1_21470.1
OG0001444	FhHiC23_g1367.t1, FhHiC23_g1367.t2	SMTH1_80910.1, SMTH1_80910.2, SMTH1_80910.3, SMTH1_80910.4, SMTH1_80910.5, SMTH1_80910.6
OG0001453	FhHiC23_g2182.t3, FhHiC23_g2182.t1, FhHiC23_g2182.t2	SMTH1_58330.1
OG0001454	FhHiC23_g3968.t1	SMTH1_91740.1
OG0001455	FhHiC23_g9682.t1, FhHiC23_g9682.t2, FhHiC23_g13273.t1	SMTH1_106700.1, SMTH1_106700.2, SMTH1_106700.3, SMTH1_106700.4, SMTH1_106700.5, SMTH1_106700.6
OG0001456	FhHiC23_g6816.t1, FhHiC23_g6813.t3, FhHiC23_g6813.t1, FhHiC23_g6813.t2	SMTH1_76260.1, SMTH1_76280.1
OG0001457	FhHiC23_g12305.t1	SMTH1_6040.1, SMTH1_6040.2
OG0001458	FhHiC23_g5592.t1	SMTH1_33430.1, SMTH1_33430.2, SMTH1_33430.3
OG0001459	FhHiC23_g7568.t1, FhHiC23_g7568.t2	SMTH1_63500.1, SMTH1_63490.1
OG0001460	FhHiC23_g6434.t1	SMTH1_39950.1
OG0001461	FhHiC23_g5883.t1	SMTH1_31330.1, SMTH1_31330.10, SMTH1_31330.11, SMTH1_31330.12, SMTH1_31330.2, SMTH1_31330.3, SMTH1_31330.4, SMTH1_31330.5, SMTH1_31330.6, SMTH1_31330.7, SMTH1_31330.8, SMTH1_31330.9
OG0001462	FhHiC23_g7233.t1	SMTH1_64000.1, SMTH1_64000.2
OG0001463	FhHiC23_g8194.t2, FhHiC23_g8194.t3, FhHiC23_g8194.t4, FhHiC23_g8194.t1	SMTH1_66150.1, SMTH1_66170.1, SMTH1_66160.1
OG0001464	FhHiC23_g1808.t1	SMTH1_59420.1
OG0001465	FhHiC23_g3278.t2, FhHiC23_g3278.t1	SMTH1_83660.1, SMTH1_83670.1
OG0001466	FhHiC23_g12766.t1	SMTH1_5760.1, SMTH1_5760.2, SMTH1_5760.3, SMTH1_5760.4
OG0001467	FhHiC23_g6750.t1	SMTH1_69980.1
OG0001468	FhHiC23_g12896.t1	SMTH1_5310.1, SMTH1_5300.1
OG0001469	FhHiC23_g4110.t1, FhHiC23_g4110.t2	SMTH1_91370.1
OG0001470	FhHiC23_g8460.t1, FhHiC23_g8460.t2	SMTH1_71840.1
OG0001471	FhHiC23_g7904.t3, FhHiC23_g7904.t1, FhHiC23_g7904.t2	SMTH1_67280.1
OG0001472	FhHiC23_g7062.t1	SMTH1_71740.1
OG0001473	FhHiC23_g2892.t1	SMTH1_82380.1
OG0001474	FhHiC23_g6405.t1, FhHiC23_g6406.t1	SMTH1_45110.5, SMTH1_45110.4, SMTH1_45110.1, SMTH1_45110.2, SMTH1_45110.3, SMTH1_45110.6
OG0001475	FhHiC23_g2345.t1, FhHiC23_g2345.t2	SMTH1_60700.1
OG0001476	FhHiC23_g10867.t1, FhHiC23_g10867.t2, FhHiC23_g10867.t3	SMTH1_9610.1, SMTH1_9620.1
OG0001477	FhHiC23_g1000.t1, FhHiC23_g1000.t2	SMTH1_62040.1
OG0001478	FhHiC23_g15383.t1, FhHiC23_g15383.t2	SMTH1_24180.1
OG0001479	FhHiC23_g11099.t1	SMTH1_10750.1, SMTH1_10770.1, SMTH1_10760.1, SMTH1_10740.1
OG0001480	FhHiC23_g12082.t1, FhHiC23_g12107.t1	SMTH1_12160.1, SMTH1_12160.2, SMTH1_12160.3
OG0001481	FhHiC23_g2018.t1	SMTH1_53080.1, SMTH1_53090.1
OG0001482	FhHiC23_g16101.t2, FhHiC23_g16101.t1	SMTH1_102460.1, SMTH1_102470.1
OG0001483	FhHiC23_g2273.t1, FhHiC23_g2272.t1, FhHiC23_g2272.t2	SMTH1_79710.1
OG0001484	FhHiC23_g10011.t1	SMTH1_25180.1, SMTH1_25180.3, SMTH1_25180.2, SMTH1_25180.4
OG0001485	FhHiC23_g5003.t1, FhHiC23_g5003.t2, FhHiC23_g5003.t3	SMTH1_37650.1, SMTH1_37650.2
OG0001486	FhHiC23_g844.t1	SMTH1_58910.1
OG0001487	FhHiC23_g10195.t1	SMTH1_27320.2, SMTH1_27320.1, SMTH1_27320.3, SMTH1_27320.4, SMTH1_107440.1
OG0001488	FhHiC23_g10417.t2, FhHiC23_g10417.t1, FhHiC23_g9032.t1	SMTH1_105930.1
OG0001489	FhHiC23_g8019.t1, FhHiC23_g8992.t1, FhHiC23_g8992.t2	SMTH1_28140.1
OG0001490	FhHiC23_g5059.t1, FhHiC23_g5059.t2	SMTH1_35050.1
OG0001491	FhHiC23_g13032.t1, FhHiC23_g13033.t1	SMTH1_6410.1, SMTH1_6410.4, SMTH1_6410.2, SMTH1_6410.3
OG0001492	FhHiC23_g1298.t1	SMTH1_54180.1, SMTH1_54170.1, SMTH1_54180.2, SMTH1_54190.1
OG0001493	FhHiC23_g645.t4, FhHiC23_g645.t1, FhHiC23_g645.t3, FhHiC23_g645.t2	SMTH1_51270.1, SMTH1_51280.1, SMTH1_51290.1
OG0001494	FhHiC23_g8971.t1	SMTH1_29260.1
OG0001495	FhHiC23_g13610.t1	SMTH1_8680.1
OG0001496	FhHiC23_g3123.t1, FhHiC23_g3123.t2	SMTH1_84290.1
OG0001497	FhHiC23_g5116.t1	SMTH1_38240.1
OG0001498	FhHiC23_g14305.t1	SMTH1_50490.1
OG0001499	FhHiC23_g8053.t1	SMTH1_71580.1, SMTH1_71580.3, SMTH1_71580.2, SMTH1_71580.4
OG0001500	FhHiC23_g8038.t1	SMTH1_73850.1
OG0001501	FhHiC23_g9006.t1, FhHiC23_g9006.t2	SMTH1_103080.8, SMTH1_103080.1, SMTH1_103080.3, SMTH1_103080.4, SMTH1_103080.5, SMTH1_103080.6, SMTH1_103080.7, SMTH1_103080.2
OG0001502	FhHiC23_g12577.t1, FhHiC23_g12577.t2	SMTH1_800.1, SMTH1_830.1, SMTH1_750.1, SMTH1_740.1
OG0001503	FhHiC23_g2197.t2, FhHiC23_g2197.t1	SMTH1_57650.1, SMTH1_57650.2, SMTH1_57650.3
OG0001504	FhHiC23_g7681.t1, FhHiC23_g7681.t2	SMTH1_70540.1
OG0001505	FhHiC23_g9347.t1, FhHiC23_g9348.t2, FhHiC23_g9348.t1	SMTH1_103630.3, SMTH1_103630.2, SMTH1_103630.1
OG0001506	FhHiC23_g13479.t2, FhHiC23_g13479.t1	SMTH1_15890.1
OG0001507	FhHiC23_g1249.t2, FhHiC23_g1249.t1	SMTH1_58160.1
OG0001508	FhHiC23_g5670.t1	SMTH1_43070.1
OG0001509	FhHiC23_g3208.t1, FhHiC23_g3208.t2, FhHiC23_g3208.t3, FhHiC23_g3212.t1, FhHiC23_g10116.t1, FhHiC23_g10116.t2, FhHiC23_g2481.t1	SMTH1_84590.1
OG0001511	FhHiC23_g5181.t1, FhHiC23_g5181.t2	SMTH1_35290.1, SMTH1_35290.2
OG0001512	FhHiC23_g2267.t1, FhHiC23_g2266.t1	SMTH1_79610.1
OG0001513	FhHiC23_g11986.t2, FhHiC23_g11986.t3, FhHiC23_g11986.t1	SMTH1_16150.1, SMTH1_16140.1, SMTH1_16140.2
OG0001514	FhHiC23_g13825.t1	SMTH1_2080.1
OG0001515	FhHiC23_g13039.t1	SMTH1_2750.1, SMTH1_10420.1, SMTH1_63770.1, SMTH1_63790.1, SMTH1_63790.2
OG0001516	FhHiC23_g15356.t1	SMTH1_21860.1
OG0001516	FhHiC23_g15141.t1	SMTH1_21840.1
OG0001517	FhHiC23_g10302.t1	SMTH1_30460.1, SMTH1_30460.2, SMTH1_30460.3, SMTH1_30460.4, SMTH1_30460.5, SMTH1_30460.6, SMTH1_30460.7
OG0001518	FhHiC23_g5532.t1, FhHiC23_g5531.t1, FhHiC23_g3118.t1	SMTH1_84370.1
OG0001519	FhHiC23_g339.t1	SMTH1_84170.1
OG0001520	FhHiC23_g11463.t1, FhHiC23_g11463.t2	SMTH1_9740.1
OG0001521	FhHiC23_g1827.t1	SMTH1_61110.1, SMTH1_61110.2
OG0001522	FhHiC23_g12303.t1	SMTH1_11160.2, SMTH1_11160.1, SMTH1_11160.3, SMTH1_11160.4, SMTH1_11160.5, SMTH1_11160.6
OG0001523	FhHiC23_g487.t1, FhHiC23_g487.t3	SMTH1_54310.1
OG0001524	FhHiC23_g3887.t1, FhHiC23_g3887.t2	SMTH1_89870.1
OG0001525	FhHiC23_g4758.t2, FhHiC23_g4758.t1	SMTH1_37550.1, SMTH1_37550.2, SMTH1_37550.3
OG0001526	FhHiC23_g566.t1	SMTH1_58890.1, SMTH1_58890.2, SMTH1_58890.3, SMTH1_58890.4
OG0001527	FhHiC23_g16415.t3, FhHiC23_g16415.t1, FhHiC23_g16415.t2	SMTH1_99110.1, SMTH1_99110.2, SMTH1_99110.3
OG0001528	FhHiC23_g14253.t1	SMTH1_46430.1, SMTH1_47790.1
OG0001529	FhHiC23_g8092.t1	SMTH1_107820.1, SMTH1_107820.2, SMTH1_65440.1, SMTH1_65440.2
OG0001530	FhHiC23_g1028.t2, FhHiC23_g1028.t1	SMTH1_52000.1, SMTH1_52000.2
OG0001531	FhHiC23_g10843.t1, FhHiC23_g10843.t2	SMTH1_18470.1
OG0001532	FhHiC23_g12374.t2, FhHiC23_g12374.t1, FhHiC23_g12374.t3	SMTH1_3520.1
OG0001533	FhHiC23_g7289.t1	SMTH1_65260.1
OG0001534	FhHiC23_g2613.t1	SMTH1_82720.1
OG0001535	FhHiC23_g16637.t2, FhHiC23_g16637.t1	SMTH1_96770.1
OG0001536	FhHiC23_g14994.t3	SMTH1_22940.1, SMTH1_22940.2
OG0001537	FhHiC23_g13557.t1	SMTH1_1770.1, SMTH1_1750.1, SMTH1_1730.1
OG0001538	FhHiC23_g4365.t1	SMTH1_97640.1
OG0001539	FhHiC23_g13424.t1	SMTH1_1930.1, SMTH1_1930.2, SMTH1_1930.3
OG0001540	FhHiC23_g4861.t2, FhHiC23_g4861.t3	SMTH1_43370.10, SMTH1_43370.7, SMTH1_43370.2, SMTH1_43370.3, SMTH1_43370.1, SMTH1_43370.4, SMTH1_43370.11, SMTH1_43370.5, SMTH1_43370.12, SMTH1_43370.8, SMTH1_43370.9, SMTH1_43370.6, SMTH1_43340.1
OG0001542	FhHiC23_g1758.t1, FhHiC23_g1758.t2	SMTH1_53880.4, SMTH1_53880.1, SMTH1_53880.2, SMTH1_53880.3
OG0001543	FhHiC23_g3691.t2, FhHiC23_g1569.t1, FhHiC23_g3691.t1	SMTH1_93100.1, SMTH1_93100.2, SMTH1_93100.3, SMTH1_93100.4, SMTH1_93100.5
OG0001544	FhHiC23_g11330.t1	SMTH1_14150.1, SMTH1_14150.2, SMTH1_14150.3, SMTH1_14150.4
OG0001545	FhHiC23_g1231.t2	SMTH1_52390.1
OG0001546	FhHiC23_g5297.t1	SMTH1_40200.1
OG0001554	FhHiC23_g4717.t1, FhHiC23_g4716.t1	SMTH1_34110.1
OG0001555	FhHiC23_g595.t1, FhHiC23_g596.t1, FhHiC23_g596.t2, FhHiC23_g598.t1, FhHiC23_g597.t1	SMTH1_84330.1, SMTH1_84300.1, SMTH1_84310.1
OG0001556	FhHiC23_g6026.t1, FhHiC23_g6026.t2, FhHiC23_g6026.t3	SMTH1_35820.1
OG0001557	FhHiC23_g5467.t1	SMTH1_45810.4, SMTH1_45810.1, SMTH1_45810.2, SMTH1_45810.3
OG0001558	FhHiC23_g2651.t1, FhHiC23_g8901.t1	SMTH1_89620.1
OG0001560	FhHiC23_g8195.t1	SMTH1_70250.1, SMTH1_70250.4, SMTH1_70250.5, SMTH1_70250.2, SMTH1_70250.3
OG0001561	FhHiC23_g649.t1	SMTH1_51320.1
OG0001562	FhHiC23_g8890.t1, FhHiC23_g8890.t2	SMTH1_83140.1, SMTH1_83150.1, SMTH1_83150.2, SMTH1_83150.3
OG0001563	FhHiC23_g14079.t1, FhHiC23_g14079.t2	SMTH1_48730.1, SMTH1_48730.2, SMTH1_48730.3, SMTH1_48730.5, SMTH1_48730.6, SMTH1_48730.4
OG0001564	FhHiC23_g3186.t1	SMTH1_54720.1, SMTH1_54730.1
OG0001565	FhHiC23_g7080.t1	SMTH1_72140.1, SMTH1_72140.2, SMTH1_72140.4, SMTH1_72140.3
OG0001566	FhHiC23_g7162.t1, FhHiC23_g10743.t1	SMTH1_70100.1, SMTH1_70110.1
OG0001567	FhHiC23_g2573.t1	SMTH1_86300.1, SMTH1_86300.2
OG0001568	FhHiC23_g2925.t1, FhHiC23_g2925.t2	SMTH1_89290.3, SMTH1_89290.2, SMTH1_89290.1, SMTH1_89290.4
OG0001569	FhHiC23_g15797.t2, FhHiC23_g15797.t1, FhHiC23_g15797.t3	SMTH1_24670.1, SMTH1_24670.2, SMTH1_24670.3, SMTH1_24670.4
OG0001570	FhHiC23_g288.t1, FhHiC23_g288.t2	SMTH1_78710.1
OG0001571	FhHiC23_g12576.t1	SMTH1_900.1, SMTH1_890.1
OG0001571	FhHiC23_g11623.t1	SMTH1_7380.1
OG0001572	FhHiC23_g6744.t1	SMTH1_70140.1
OG0001573	FhHiC23_g9275.t1, FhHiC23_g9275.t2	SMTH1_29360.1
OG0001574	FhHiC23_g5418.t2, FhHiC23_g5418.t1, FhHiC23_g5418.t3	SMTH1_39130.1
OG0001575	FhHiC23_g11921.t1, FhHiC23_g11921.t2, FhHiC23_g11921.t3	SMTH1_13060.1, SMTH1_13070.1
OG0001576	FhHiC23_g15971.t1, FhHiC23_g15971.t2	SMTH1_98140.1
OG0001577	FhHiC23_g4634.t1	SMTH1_32210.1, SMTH1_32210.2
OG0001578	FhHiC23_g396.t1, FhHiC23_g396.t2	SMTH1_62640.1
OG0001579	FhHiC23_g15013.t1	SMTH1_18730.1
OG0001580	FhHiC23_g14523.t1	SMTH1_46850.1, SMTH1_46860.1
OG0001581	FhHiC23_g2765.t1, FhHiC23_g2765.t2, FhHiC23_g2765.t3	SMTH1_87470.1
OG0001582	FhHiC23_g986.t1	SMTH1_62240.1
OG0001583	FhHiC23_g13953.t1	SMTH1_46730.1, SMTH1_46740.1
OG0001584	FhHiC23_g6524.t1	SMTH1_38550.3, SMTH1_38550.1, SMTH1_38550.2
OG0001585	FhHiC23_g5407.t1	SMTH1_44790.1
OG0001586	FhHiC23_g11576.t2, FhHiC23_g11576.t1	SMTH1_19790.1
OG0001587	FhHiC23_g11483.t1	SMTH1_20810.1
OG0001588	FhHiC23_g7234.t1	SMTH1_69850.1, SMTH1_69850.2, SMTH1_69850.3, SMTH1_69850.4
OG0001589	FhHiC23_g6369.t1	SMTH1_37820.1
OG0001590	FhHiC23_g2214.t1	SMTH1_77120.1
OG0001591	FhHiC23_g9784.t1	SMTH1_107060.1, SMTH1_107050.1
OG0001592	FhHiC23_g15318.t1	SMTH1_20630.1, SMTH1_20630.3, SMTH1_20630.2
OG0001593	FhHiC23_g8485.t1	SMTH1_68250.1, SMTH1_68240.1
OG0001594	FhHiC23_g6096.t1	SMTH1_40260.1, SMTH1_40260.2, SMTH1_40260.3
OG0001595	FhHiC23_g7385.t1	SMTH1_72900.2, SMTH1_72900.1, SMTH1_72900.3, SMTH1_72900.6, SMTH1_72900.4, SMTH1_72900.5
OG0001596	FhHiC23_g2736.t1	SMTH1_89100.1, SMTH1_89110.1
OG0001597	FhHiC23_g3057.t1, FhHiC23_g3057.t2, FhHiC23_g3056.t1	SMTH1_81560.2, SMTH1_81560.3, SMTH1_81560.1
OG0001598	FhHiC23_g1999.t1	SMTH1_50970.1
