Orthogroup	fasciola_hepatica	schistosoma_rodhaini
OG0000632	FhHiC23_g11539.t3, FhHiC23_g11539.t1, FhHiC23_g11539.t2	SRDH2_15270.3, SRDH2_15270.4, SRDH2_15270.10, SRDH2_15270.2, SRDH2_15270.5, SRDH2_15270.1, SRDH2_15270.6, SRDH2_15270.9, SRDH2_15270.7, SRDH2_15270.8
OG0000633	FhHiC23_g112.t1	SRDH2_53500.2, SRDH2_53500.1, SRDH2_53500.3, SRDH2_53500.4
OG0000634	FhHiC23_g2063.t1	SRDH2_22420.1, SRDH2_33660.1
OG0000636	FhHiC23_g9108.t1, FhHiC23_g9108.t2	SRDH2_97960.2, SRDH2_97960.4, SRDH2_97960.3, SRDH2_97960.1, SRDH2_97960.6, SRDH2_97960.5
OG0000637	FhHiC23_g1921.t1, FhHiC23_g1920.t1, FhHiC23_g1920.t2	SRDH2_50390.1
OG0000638	FhHiC23_g7356.t1, FhHiC23_g7356.t2, FhHiC23_g7356.t4, FhHiC23_g7356.t3	SRDH2_67670.1
OG0000639	FhHiC23_g7855.t1	SRDH2_63410.13, SRDH2_63410.14, SRDH2_63410.3, SRDH2_63410.4, SRDH2_63410.11, SRDH2_63410.15, SRDH2_63410.12, SRDH2_63410.7, SRDH2_63410.8, SRDH2_63410.17, SRDH2_63410.6, SRDH2_63410.10, SRDH2_63410.5, SRDH2_63410.9, SRDH2_63410.2, SRDH2_63410.1, SRDH2_63410.16, SRDH2_63410.18
OG0000640	FhHiC23_g3583.t1	SRDH2_87460.1, SRDH2_87020.1
OG0000641	FhHiC23_g11603.t1, FhHiC23_g11603.t2	SRDH2_6740.1
OG0000641	FhHiC23_g13242.t1, FhHiC23_g13242.t2, FhHiC23_g13242.t3	SRDH2_4580.1
OG0000642	FhHiC23_g7538.t5, FhHiC23_g7538.t1, FhHiC23_g7538.t3, FhHiC23_g7538.t2, FhHiC23_g7538.t4	SRDH2_63480.1, SRDH2_63480.2, SRDH2_63480.10, SRDH2_63480.5, SRDH2_63480.3, SRDH2_63480.4, SRDH2_63480.6, SRDH2_63480.7, SRDH2_63480.8, SRDH2_63480.9
OG0000643	FhHiC23_g1133.t1	SRDH2_53990.1
OG0000643	FhHiC23_g1134.t1	SRDH2_54000.1, SRDH2_54000.2
OG0000644	FhHiC23_g9142.t1	SRDH2_98990.1
OG0000645	FhHiC23_g13525.t1, FhHiC23_g13526.t2, FhHiC23_g13526.t3	SRDH2_10740.2, SRDH2_10740.1
OG0000646	FhHiC23_g13019.t1, FhHiC23_g12764.t3, FhHiC23_g12764.t6, FhHiC23_g12764.t5, FhHiC23_g12764.t1, FhHiC23_g12764.t4, FhHiC23_g12764.t2	SRDH2_9200.1, SRDH2_9190.2, SRDH2_9190.3, SRDH2_9190.8, SRDH2_9190.7, SRDH2_9190.4, SRDH2_9190.5, SRDH2_9190.6, SRDH2_9190.1
OG0000647	FhHiC23_g7775.t1, FhHiC23_g7775.t2	SRDH2_63670.1, SRDH2_63670.2
OG0000648	FhHiC23_g16546.t1, FhHiC23_g16546.t2	SRDH2_95100.1, SRDH2_95100.4, SRDH2_95100.5, SRDH2_95100.3, SRDH2_95100.2
OG0000649	FhHiC23_g8413.t1, FhHiC23_g8412.t1	SRDH2_61460.1
OG0000650	FhHiC23_g7242.t1, FhHiC23_g367.t1	SRDH2_79600.4, SRDH2_79600.5, SRDH2_79600.1, SRDH2_79600.2, SRDH2_79600.3, SRDH2_79600.8, SRDH2_79600.6, SRDH2_79600.7
OG0000652	FhHiC23_g5414.t1, FhHiC23_g5411.t1, FhHiC23_g5411.t2, FhHiC23_g5412.t1, FhHiC23_g5413.t1	SRDH2_40370.7, SRDH2_40370.6, SRDH2_40370.2, SRDH2_40370.4, SRDH2_40370.3, SRDH2_40370.1, SRDH2_40370.5
OG0000653	FhHiC23_g8875.t1, FhHiC23_g8875.t2	SRDH2_41000.1, SRDH2_40990.2, SRDH2_40990.1, SRDH2_40990.3
OG0000654	FhHiC23_g4611.t1	SRDH2_38210.1
OG0000655	FhHiC23_g3635.t1	SRDH2_83950.1
OG0000656	FhHiC23_g2660.t2, FhHiC23_g2660.t1	SRDH2_77290.1, SRDH2_77290.6, SRDH2_77290.9, SRDH2_77290.7, SRDH2_77290.2, SRDH2_77290.3, SRDH2_77290.4, SRDH2_77290.8, SRDH2_77290.5
OG0000657	FhHiC23_g16684.t1	SRDH2_92510.1, SRDH2_92510.2, SRDH2_92510.5, SRDH2_92510.6, SRDH2_92510.3, SRDH2_92510.4
OG0000658	FhHiC23_g8405.t1, FhHiC23_g13343.t1, FhHiC23_g2100.t1	SRDH2_88500.1, SRDH2_1370.1, SRDH2_11200.1, SRDH2_28610.1, SRDH2_21430.1
OG0000659	FhHiC23_g14841.t1	SRDH2_42040.6, SRDH2_42040.7, SRDH2_42040.1, SRDH2_42040.11, SRDH2_42040.12, SRDH2_42040.13, SRDH2_42040.2, SRDH2_42040.3, SRDH2_42040.4, SRDH2_42040.8, SRDH2_42040.9, SRDH2_42040.5, SRDH2_42040.10, SRDH2_42040.14
OG0000663	FhHiC23_g14807.t1, FhHiC23_g14807.t2	SRDH2_31940.1
OG0000664	FhHiC23_g11734.t1	SRDH2_14340.3, SRDH2_14340.1, SRDH2_14340.2, SRDH2_14340.10, SRDH2_14340.9, SRDH2_14340.5, SRDH2_14340.6, SRDH2_14340.4, SRDH2_14340.8, SRDH2_14340.7
OG0000665	FhHiC23_g1528.t1	SRDH2_72630.1
OG0000666	FhHiC23_g7854.t1	SRDH2_63400.5, SRDH2_63400.1, SRDH2_63400.3, SRDH2_63400.2, SRDH2_63400.6, SRDH2_63400.4
OG0000667	FhHiC23_g11625.t1, FhHiC23_g11624.t1	SRDH2_6290.1
OG0000668	FhHiC23_g2118.t1, FhHiC23_g2118.t2	SRDH2_53580.1, SRDH2_53580.8, SRDH2_53580.4, SRDH2_53580.6, SRDH2_53580.7, SRDH2_53580.2, SRDH2_53580.3, SRDH2_53580.5, SRDH2_53580.10, SRDH2_53580.9
OG0000669	FhHiC23_g7980.t1	SRDH2_70300.1, SRDH2_70300.2, SRDH2_70300.5, SRDH2_70300.3, SRDH2_70300.4
OG0000671	FhHiC23_g2434.t1	SRDH2_78560.6, SRDH2_78560.1, SRDH2_78560.11, SRDH2_78560.10, SRDH2_78560.4, SRDH2_78560.8, SRDH2_78560.9, SRDH2_78560.3, SRDH2_78560.5, SRDH2_78560.2, SRDH2_78560.7
OG0000672	FhHiC23_g14522.t2, FhHiC23_g14522.t1, FhHiC23_g14522.t3	SRDH2_44470.4, SRDH2_44470.5, SRDH2_44470.9, SRDH2_44470.6, SRDH2_44470.8, SRDH2_44470.7, SRDH2_44470.1, SRDH2_44470.3, SRDH2_44470.2
OG0000673	FhHiC23_g11638.t2, FhHiC23_g11638.t1, FhHiC23_g11953.t1	SRDH2_16600.1
OG0000674	FhHiC23_g1227.t1, FhHiC23_g1227.t2	SRDH2_80150.1, SRDH2_80150.2, SRDH2_80150.7, SRDH2_80150.3, SRDH2_80150.4, SRDH2_80150.5, SRDH2_80150.6
OG0000675	FhHiC23_g2317.t1, FhHiC23_g2317.t2	SRDH2_73540.1, SRDH2_73540.2, SRDH2_73540.3, SRDH2_73540.5, SRDH2_73540.6, SRDH2_73540.4, SRDH2_73540.7, SRDH2_73540.8
OG0000676	FhHiC23_g3747.t1	SRDH2_83890.1, SRDH2_83890.2, SRDH2_83890.3, SRDH2_83890.4, SRDH2_83890.5, SRDH2_83890.6, SRDH2_83890.7, SRDH2_83890.8, SRDH2_83890.9
OG0000677	FhHiC23_g13053.t4, FhHiC23_g13053.t2, FhHiC23_g13053.t5, FhHiC23_g13053.t1, FhHiC23_g13053.t3	SRDH2_5290.1, SRDH2_5300.3, SRDH2_5300.2, SRDH2_5300.1
OG0000678	FhHiC23_g6503.t1, FhHiC23_g6519.t1, FhHiC23_g6519.t2	SRDH2_38460.7, SRDH2_38460.2, SRDH2_38460.6, SRDH2_38460.5, SRDH2_38460.1, SRDH2_38460.3, SRDH2_38460.4
OG0000679	FhHiC23_g2291.t1, FhHiC23_g2291.t2	SRDH2_73470.5, SRDH2_73470.7, SRDH2_73470.8, SRDH2_73470.3, SRDH2_73470.1, SRDH2_73470.2, SRDH2_73470.4, SRDH2_73470.6, SRDH2_73470.10, SRDH2_73470.11, SRDH2_73470.9
OG0000680	FhHiC23_g15038.t1	SRDH2_17380.1, SRDH2_17380.5, SRDH2_17380.6, SRDH2_17380.7, SRDH2_17380.2, SRDH2_17380.3, SRDH2_17380.8, SRDH2_17380.4
OG0000681	FhHiC23_g6523.t1	SRDH2_32450.4, SRDH2_32450.7, SRDH2_32450.3, SRDH2_32450.2, SRDH2_32450.5, SRDH2_32450.6, SRDH2_32450.1
OG0000682	FhHiC23_g14162.t1, FhHiC23_g14162.t2, FhHiC23_g14162.t3	SRDH2_43300.2, SRDH2_43300.3, SRDH2_43300.6, SRDH2_43300.5, SRDH2_43300.4, SRDH2_43300.7, SRDH2_43300.8, SRDH2_43300.1
OG0000683	FhHiC23_g1041.t1	SRDH2_56130.1
OG0000683	FhHiC23_g7518.t1	SRDH2_68900.1, SRDH2_68900.2, SRDH2_68900.3, SRDH2_68900.4
OG0000684	FhHiC23_g3801.t1	SRDH2_87330.1, SRDH2_87330.2
OG0000685	FhHiC23_g3279.t2, FhHiC23_g3279.t3, FhHiC23_g3279.t1, FhHiC23_g3279.t4	SRDH2_77100.1
OG0000686	FhHiC23_g6951.t1	SRDH2_61630.4, SRDH2_61630.3, SRDH2_61630.2, SRDH2_61630.1
OG0000687	FhHiC23_g10400.t2, FhHiC23_g10400.t1	SRDH2_27200.3, SRDH2_27200.5, SRDH2_27200.4, SRDH2_27200.7, SRDH2_27200.6, SRDH2_27200.1, SRDH2_27200.2
OG0000688	FhHiC23_g12991.t1	SRDH2_660.1
OG0000689	FhHiC23_g13266.t1	SRDH2_3020.5, SRDH2_3020.6, SRDH2_3020.13, SRDH2_3020.14, SRDH2_3020.7, SRDH2_3020.9, SRDH2_3020.1, SRDH2_3020.10, SRDH2_3020.12, SRDH2_3020.2, SRDH2_3020.3, SRDH2_3020.4, SRDH2_3020.8, SRDH2_3020.11, SRDH2_3020.15
OG0000690	FhHiC23_g9798.t1	SRDH2_23480.2, SRDH2_23480.7, SRDH2_23480.1, SRDH2_23480.4, SRDH2_23480.6, SRDH2_23480.8, SRDH2_23480.5, SRDH2_23480.3
OG0000695	FhHiC23_g10045.t1	SRDH2_99540.1
OG0000695	FhHiC23_g14045.t1, FhHiC23_g14045.t2	SRDH2_45790.2, SRDH2_45790.3, SRDH2_45790.1
OG0000696	FhHiC23_g12904.t1	SRDH2_5500.1
OG0000697	FhHiC23_g15825.t1	SRDH2_40450.1
OG0000699	FhHiC23_g636.t1	SRDH2_46750.3, SRDH2_46750.1, SRDH2_46750.2
OG0000700	FhHiC23_g9723.t1	SRDH2_28600.1, SRDH2_24350.1, SRDH2_24360.1, SRDH2_24370.1, SRDH2_24370.2
OG0000701	FhHiC23_g7111.t1	SRDH2_62420.2, SRDH2_62420.3, SRDH2_62420.4, SRDH2_62420.7, SRDH2_62420.1, SRDH2_62420.5, SRDH2_62420.6, SRDH2_62420.8
OG0000702	FhHiC23_g15931.t1	SRDH2_89410.19, SRDH2_89410.16, SRDH2_89410.13, SRDH2_89410.10, SRDH2_89410.14, SRDH2_89410.15, SRDH2_89410.18, SRDH2_89410.20, SRDH2_89410.9, SRDH2_89410.21, SRDH2_89410.3, SRDH2_89410.4, SRDH2_89410.6, SRDH2_89410.12, SRDH2_89410.2, SRDH2_89410.11, SRDH2_89410.17, SRDH2_89410.5, SRDH2_89410.7, SRDH2_89410.1, SRDH2_89410.8
OG0000703	FhHiC23_g12812.t1, FhHiC23_g12729.t1, FhHiC23_g12728.t1, FhHiC23_g12729.t2, FhHiC23_g12728.t2	SRDH2_190.1, SRDH2_190.3, SRDH2_190.2
OG0000704	FhHiC23_g452.t1, FhHiC23_g452.t2	SRDH2_49040.1, SRDH2_49040.2, SRDH2_49040.3
OG0000705	FhHiC23_g12045.t1	SRDH2_6190.1, SRDH2_6190.5, SRDH2_6190.3, SRDH2_6190.4, SRDH2_6190.2
OG0000706	FhHiC23_g14504.t1	SRDH2_43620.1
OG0000706	FhHiC23_g439.t1, FhHiC23_g439.t2	SRDH2_53670.1, SRDH2_53670.2, SRDH2_53670.3
OG0000707	FhHiC23_g9424.t1, FhHiC23_g9424.t3, FhHiC23_g9424.t2	SRDH2_97620.1, SRDH2_97620.2, SRDH2_97620.3
OG0000708	FhHiC23_g14350.t1, FhHiC23_g6039.t2, FhHiC23_g6039.t1, FhHiC23_g6348.t1	SRDH2_37730.1
OG0000709	FhHiC23_g14298.t1	SRDH2_43880.1, SRDH2_43880.2
OG0000710	FhHiC23_g13206.t1	SRDH2_8200.11, SRDH2_8200.5, SRDH2_8200.6, SRDH2_8200.9, SRDH2_8200.8, SRDH2_8200.10, SRDH2_8200.12, SRDH2_8200.4, SRDH2_8200.7, SRDH2_8200.3, SRDH2_8200.1, SRDH2_8200.2
OG0000711	FhHiC23_g1082.t1, FhHiC23_g1082.t2	SRDH2_76260.2, SRDH2_76260.1, SRDH2_76260.4, SRDH2_76260.5, SRDH2_76260.3
OG0000712	FhHiC23_g530.t1	SRDH2_53320.1
OG0000713	FhHiC23_g2607.t1	SRDH2_73970.1
OG0000714	FhHiC23_g1605.t1	SRDH2_47070.2, SRDH2_47070.6, SRDH2_47070.9, SRDH2_47070.7, SRDH2_47070.3, SRDH2_47070.5, SRDH2_47070.1, SRDH2_47070.11, SRDH2_47070.4, SRDH2_47070.10, SRDH2_47070.8
OG0000715	FhHiC23_g9473.t1	SRDH2_27760.6, SRDH2_27760.5, SRDH2_27760.1, SRDH2_27760.2, SRDH2_27760.3, SRDH2_27760.4
OG0000716	FhHiC23_g11918.t3, FhHiC23_g11918.t2, FhHiC23_g11918.t1	SRDH2_11870.2, SRDH2_11870.1, SRDH2_11870.4, SRDH2_11870.5, SRDH2_11870.3
OG0000717	FhHiC23_g6981.t1	SRDH2_60610.1, SRDH2_60610.2, SRDH2_60610.3, SRDH2_60610.4, SRDH2_60610.5, SRDH2_60610.6, SRDH2_60610.7
OG0000718	FhHiC23_g2508.t1, FhHiC23_g2508.t2	SRDH2_76530.1
OG0000719	FhHiC23_g1110.t1	SRDH2_56140.4, SRDH2_56140.1, SRDH2_56140.2, SRDH2_56140.5, SRDH2_56140.7, SRDH2_56140.9, SRDH2_56140.6, SRDH2_56140.8, SRDH2_56140.3, SRDH2_56140.10
OG0000720	FhHiC23_g2680.t4, FhHiC23_g2680.t1, FhHiC23_g2680.t2, FhHiC23_g2680.t3	SRDH2_78850.1
OG0000721	FhHiC23_g1961.t1, FhHiC23_g1961.t2	SRDH2_46480.2, SRDH2_46480.4, SRDH2_46480.12, SRDH2_46480.7, SRDH2_46480.9, SRDH2_46480.13, SRDH2_46480.5, SRDH2_46480.8, SRDH2_46480.3, SRDH2_46480.1, SRDH2_46480.11, SRDH2_46480.6, SRDH2_46480.10
OG0000722	FhHiC23_g12427.t1	SRDH2_5400.1, SRDH2_5400.9, SRDH2_5400.10, SRDH2_5400.6, SRDH2_5400.2, SRDH2_5400.3, SRDH2_5400.4, SRDH2_5400.5, SRDH2_5400.7, SRDH2_5400.8
OG0000723	FhHiC23_g2433.t1, FhHiC23_g2433.t2	SRDH2_78550.1, SRDH2_78550.3, SRDH2_78550.4, SRDH2_78550.10, SRDH2_78550.8, SRDH2_78550.7, SRDH2_78550.5, SRDH2_78550.2, SRDH2_78550.9, SRDH2_78550.6
OG0000724	FhHiC23_g14598.t1, FhHiC23_g14495.t1, FhHiC23_g14495.t2, FhHiC23_g14495.t3	SRDH2_42140.1, SRDH2_42140.2, SRDH2_42140.3
OG0000725	FhHiC23_g480.t1	SRDH2_78920.1
OG0000726	FhHiC23_g5209.t1, FhHiC23_g5209.t2	SRDH2_30220.1, SRDH2_30220.2
OG0000726	FhHiC23_g5208.t1	SRDH2_30230.1
OG0000727	FhHiC23_g6317.t1	SRDH2_38860.2, SRDH2_38860.3, SRDH2_38860.8, SRDH2_38860.12, SRDH2_38860.13, SRDH2_38860.1, SRDH2_38860.5, SRDH2_38860.6, SRDH2_38860.7, SRDH2_38860.10, SRDH2_38860.11, SRDH2_38860.9, SRDH2_38860.14, SRDH2_38860.4
OG0000728	FhHiC23_g1136.t1	SRDH2_49170.1
OG0000729	FhHiC23_g13647.t1	SRDH2_9110.1, SRDH2_9120.2, SRDH2_9120.1, SRDH2_9120.3
OG0000730	FhHiC23_g7648.t1	SRDH2_61680.1, SRDH2_61680.2, SRDH2_61680.3, SRDH2_61680.4
OG0000731	FhHiC23_g3053.t1	SRDH2_78130.12, SRDH2_78130.13, SRDH2_78130.10, SRDH2_78130.8, SRDH2_78130.1, SRDH2_78130.4, SRDH2_78130.3, SRDH2_78130.11, SRDH2_78130.2, SRDH2_78130.7, SRDH2_78130.6, SRDH2_78130.9, SRDH2_78130.5
OG0000732	FhHiC23_g12735.t1, FhHiC23_g12734.t1	SRDH2_3590.10, SRDH2_3590.9, SRDH2_3590.13, SRDH2_3590.11, SRDH2_3590.8, SRDH2_3590.3, SRDH2_3590.5, SRDH2_3590.6, SRDH2_3590.7, SRDH2_3590.12, SRDH2_3590.1, SRDH2_3590.16, SRDH2_3590.4, SRDH2_3590.15, SRDH2_3590.14, SRDH2_3590.2
OG0000733	FhHiC23_g13302.t3, FhHiC23_g13302.t1, FhHiC23_g13302.t2	SRDH2_2970.1, SRDH2_2970.2, SRDH2_2970.3, SRDH2_2970.4, SRDH2_2970.5
OG0000736	FhHiC23_g1586.t3, FhHiC23_g1586.t1, FhHiC23_g1586.t2	SRDH2_80070.2, SRDH2_80070.3, SRDH2_80070.4, SRDH2_80070.5, SRDH2_80070.6, SRDH2_80070.1, SRDH2_80070.9, SRDH2_80070.7, SRDH2_80070.8
OG0000737	FhHiC23_g13453.t1	SRDH2_10170.1
OG0000738	FhHiC23_g14288.t1, FhHiC23_g1644.t1, FhHiC23_g5219.t1, FhHiC23_g1186.t1	SRDH2_71450.1, SRDH2_71450.2, SRDH2_71460.1
OG0000739	FhHiC23_g14696.t1	SRDH2_56790.2, SRDH2_56790.1, SRDH2_56790.3, SRDH2_56790.4, SRDH2_56840.1
OG0000740	FhHiC23_g11964.t1, FhHiC23_g11964.t2	SRDH2_8610.1
OG0000741	FhHiC23_g3775.t1	SRDH2_86820.1
OG0000743	FhHiC23_g15710.t2, FhHiC23_g15710.t1	SRDH2_21800.11, SRDH2_21800.10, SRDH2_21800.1, SRDH2_21800.2, SRDH2_21800.3, SRDH2_21800.4, SRDH2_21800.5, SRDH2_21800.6, SRDH2_21800.7, SRDH2_21800.8, SRDH2_21800.9
OG0000744	FhHiC23_g12434.t1	SRDH2_3670.1, SRDH2_3670.3, SRDH2_3670.4, SRDH2_3670.7, SRDH2_3670.6, SRDH2_3670.10, SRDH2_3670.2, SRDH2_3670.5, SRDH2_3670.8, SRDH2_3670.9
OG0000745	FhHiC23_g14275.t1	SRDH2_31900.1, SRDH2_31900.2, SRDH2_31900.3, SRDH2_31900.4
OG0000746	FhHiC23_g8137.t1, FhHiC23_g8137.t4, FhHiC23_g8137.t2, FhHiC23_g8137.t3	SRDH2_62310.1
OG0000747	FhHiC23_g14169.t4, FhHiC23_g14169.t1, FhHiC23_g14169.t3, FhHiC23_g14169.t2	SRDH2_43190.2, SRDH2_43190.3, SRDH2_43190.5, SRDH2_43190.1, SRDH2_43190.4, SRDH2_43190.6
OG0000748	FhHiC23_g7150.t1, FhHiC23_g2447.t1, FhHiC23_g2448.t1, FhHiC23_g2448.t2	SRDH2_72150.1
OG0000749	FhHiC23_g3086.t1, FhHiC23_g3086.t2	SRDH2_71650.1
OG0000750	FhHiC23_g2456.t3, FhHiC23_g2456.t1, FhHiC23_g2456.t2	SRDH2_76160.3, SRDH2_76160.1, SRDH2_76160.6, SRDH2_76160.7, SRDH2_76160.2, SRDH2_76160.5, SRDH2_76160.4, SRDH2_76160.10, SRDH2_76160.9, SRDH2_76160.8
OG0000751	FhHiC23_g13300.t1, FhHiC23_g13301.t1, FhHiC23_g13299.t1, FhHiC23_g12908.t1	SRDH2_5530.1, SRDH2_2600.1, SRDH2_2690.1
OG0000752	FhHiC23_g9313.t1	SRDH2_96100.1, SRDH2_96150.5, SRDH2_96150.7, SRDH2_96150.8, SRDH2_96150.1, SRDH2_96150.2, SRDH2_96150.3, SRDH2_96150.4, SRDH2_96150.6
OG0000753	FhHiC23_g4112.t1	SRDH2_85130.1
OG0000754	FhHiC23_g1571.t1	SRDH2_51340.1
OG0000755	FhHiC23_g337.t1	SRDH2_77360.1, SRDH2_77360.10, SRDH2_77360.2, SRDH2_77360.3, SRDH2_77360.4, SRDH2_77360.5, SRDH2_77360.6, SRDH2_77360.7, SRDH2_77360.8, SRDH2_77360.9
OG0000756	FhHiC23_g5163.t1	SRDH2_39150.1
OG0000757	FhHiC23_g117.t3, FhHiC23_g117.t2, FhHiC23_g117.t1	SRDH2_53460.3, SRDH2_53460.2, SRDH2_53460.1
OG0000758	FhHiC23_g13113.t1	SRDH2_9150.7, SRDH2_9150.1, SRDH2_9150.8, SRDH2_9150.3, SRDH2_9150.12, SRDH2_9150.13, SRDH2_9150.2, SRDH2_9150.11, SRDH2_9150.10, SRDH2_9150.9
OG0000759	FhHiC23_g1390.t2, FhHiC23_g1390.t1	SRDH2_53070.9, SRDH2_53070.6, SRDH2_53070.7, SRDH2_53070.8, SRDH2_53070.1, SRDH2_53070.2, SRDH2_53070.3, SRDH2_53070.4, SRDH2_53070.5
OG0000760	FhHiC23_g3217.t1	SRDH2_80690.1, SRDH2_80690.2, SRDH2_80690.3, SRDH2_80690.4, SRDH2_80690.5
OG0000761	FhHiC23_g854.t1	SRDH2_54660.2, SRDH2_54660.9, SRDH2_54660.8, SRDH2_54660.3, SRDH2_54660.5, SRDH2_54660.1, SRDH2_54660.7, SRDH2_54660.4, SRDH2_54660.6
OG0000762	FhHiC23_g3557.t1, FhHiC23_g10231.t1	SRDH2_84140.1
OG0000762	FhHiC23_g16531.t1	SRDH2_89980.1, SRDH2_89980.3, SRDH2_89980.2
OG0000763	FhHiC23_g10720.t1	SRDH2_20090.1
OG0000764	FhHiC23_g13195.t1, FhHiC23_g13195.t2	SRDH2_9280.2, SRDH2_9280.4, SRDH2_9280.6, SRDH2_9280.5, SRDH2_9280.3, SRDH2_9280.1
OG0000765	FhHiC23_g2194.t1, FhHiC23_g2193.t1	SRDH2_53090.2, SRDH2_53090.1
OG0000765	FhHiC23_g2195.t1, FhHiC23_g2195.t2	SRDH2_53080.1, SRDH2_53080.2
OG0000766	FhHiC23_g8152.t3, FhHiC23_g8152.t1, FhHiC23_g8152.t2	SRDH2_64640.2, SRDH2_64640.1, SRDH2_64640.3, SRDH2_64640.4, SRDH2_64640.5, SRDH2_64640.6
OG0000767	FhHiC23_g7370.t1, FhHiC23_g7370.t2	SRDH2_65780.8, SRDH2_65780.3, SRDH2_65780.5, SRDH2_65780.6, SRDH2_65780.1, SRDH2_65780.9, SRDH2_65780.4, SRDH2_65780.2, SRDH2_65780.7
OG0000768	FhHiC23_g4772.t2, FhHiC23_g4772.t1	SRDH2_40160.1
OG0000769	FhHiC23_g12443.t1, FhHiC23_g12443.t2, FhHiC23_g12443.t3	SRDH2_2210.1, SRDH2_2210.2, SRDH2_2210.3, SRDH2_2210.6, SRDH2_2210.7, SRDH2_2210.4, SRDH2_2210.5
OG0000770	FhHiC23_g11559.t2, FhHiC23_g11559.t1, FhHiC23_g11557.t1	SRDH2_18340.3, SRDH2_18340.4, SRDH2_18340.1, SRDH2_18340.2
OG0000773	FhHiC23_g12184.t1, FhHiC23_g12184.t2, FhHiC23_g12187.t1, FhHiC23_g12187.t3	SRDH2_26150.1, SRDH2_26150.2, SRDH2_26150.3, SRDH2_26150.4, SRDH2_26150.5
OG0000774	FhHiC23_g1579.t1, FhHiC23_g1579.t2	SRDH2_47950.2, SRDH2_47950.3, SRDH2_47950.4, SRDH2_47950.1, SRDH2_47950.5, SRDH2_47950.6
OG0000775	FhHiC23_g1837.t2, FhHiC23_g1837.t3, FhHiC23_g1837.t1	SRDH2_52660.1, SRDH2_52660.2, SRDH2_52660.3, SRDH2_52660.4, SRDH2_52660.6, SRDH2_52660.7, SRDH2_52660.5, SRDH2_52660.8
OG0000776	FhHiC23_g1220.t1	SRDH2_46510.1
OG0000776	FhHiC23_g2992.t1, FhHiC23_g2992.t2, FhHiC23_g2992.t3	SRDH2_58160.1, SRDH2_58160.2
OG0000777	FhHiC23_g3201.t1, FhHiC23_g3201.t2	SRDH2_53800.6, SRDH2_53800.5, SRDH2_53800.4, SRDH2_53800.1, SRDH2_53800.2, SRDH2_53800.3
OG0000778	FhHiC23_g8974.t3, FhHiC23_g8974.t2, FhHiC23_g8974.t1	SRDH2_23360.1
OG0000779	FhHiC23_g12940.t1	SRDH2_3760.2, SRDH2_3760.3, SRDH2_3760.7, SRDH2_3760.8, SRDH2_3760.6, SRDH2_3760.5, SRDH2_3760.1, SRDH2_3760.4
OG0000780	FhHiC23_g11962.t1, FhHiC23_g11962.t2	SRDH2_15470.2, SRDH2_15470.3, SRDH2_15470.4, SRDH2_15470.1, SRDH2_15470.5, SRDH2_15470.6
OG0000781	FhHiC23_g12015.t1	SRDH2_11570.1
OG0000781	FhHiC23_g12484.t1	SRDH2_490.1
OG0000782	FhHiC23_g5041.t1	SRDH2_36880.8, SRDH2_36880.6, SRDH2_36880.9, SRDH2_36880.14, SRDH2_36880.15, SRDH2_36880.16, SRDH2_36880.5, SRDH2_36880.7, SRDH2_36880.4, SRDH2_36880.1, SRDH2_36880.3, SRDH2_36880.11, SRDH2_36880.10, SRDH2_36880.12, SRDH2_36880.13, SRDH2_36880.2
OG0000783	FhHiC23_g517.t1, FhHiC23_g517.t2	SRDH2_51630.2, SRDH2_51630.1, SRDH2_51630.3, SRDH2_51630.4
OG0000784	FhHiC23_g5076.t1, FhHiC23_g5076.t2, FhHiC23_g5076.t3	SRDH2_36950.4, SRDH2_36950.5, SRDH2_36950.2, SRDH2_36950.7, SRDH2_36950.3, SRDH2_36950.6, SRDH2_36950.1
OG0000785	FhHiC23_g7530.t2, FhHiC23_g7530.t1	SRDH2_60530.1, SRDH2_60530.9, SRDH2_60530.10, SRDH2_60530.11, SRDH2_60530.6, SRDH2_60530.7, SRDH2_60530.5, SRDH2_60530.3, SRDH2_60530.12, SRDH2_60530.2, SRDH2_60530.8, SRDH2_60530.4
OG0000786	FhHiC23_g14478.t2, FhHiC23_g14478.t1	SRDH2_40980.4, SRDH2_40980.3, SRDH2_40980.1, SRDH2_40980.2, SRDH2_40980.5
OG0000787	FhHiC23_g2.t1	SRDH2_96260.1, SRDH2_96260.2
OG0000788	FhHiC23_g11230.t1	SRDH2_12730.2, SRDH2_12730.1
OG0000789	FhHiC23_g9116.t1	SRDH2_25940.1, SRDH2_25940.2, SRDH2_25940.4, SRDH2_25940.3, SRDH2_25930.1, SRDH2_25930.2, SRDH2_25930.3, SRDH2_25930.4, SRDH2_25930.5
OG0000790	FhHiC23_g5792.t2, FhHiC23_g5792.t1	SRDH2_39480.1, SRDH2_39480.2, SRDH2_39480.3
OG0000791	FhHiC23_g14599.t8, FhHiC23_g14599.t1	SRDH2_43050.1, SRDH2_43050.2, SRDH2_43050.3, SRDH2_43050.6, SRDH2_43050.7, SRDH2_43050.4, SRDH2_43050.5
OG0000792	FhHiC23_g13134.t1, FhHiC23_g13134.t3, FhHiC23_g13134.t2	SRDH2_5720.1
OG0000793	FhHiC23_g5735.t1, FhHiC23_g5735.t2	SRDH2_36140.1, SRDH2_36140.3, SRDH2_36140.2
