Orthogroup	fasciola_hepatica	schistosoma_margrebowiei
OG0000887	FhHiC23_g11404.t1	SMRG1_19130.1
OG0000888	FhHiC23_g3221.t1	SMRG1_79180.1, SMRG1_79190.1, SMRG1_79190.2
OG0000889	FhHiC23_g10327.t1, FhHiC23_g10327.t2	SMRG1_27870.1, SMRG1_27870.2
OG0000890	FhHiC23_g13982.t1	SMRG1_41120.4, SMRG1_41120.1, SMRG1_41120.2, SMRG1_41120.3, SMRG1_41120.5, SMRG1_41120.6, SMRG1_41120.7, SMRG1_41120.8
OG0000891	FhHiC23_g5460.t1	SMRG1_37360.4, SMRG1_37360.5, SMRG1_37360.1, SMRG1_37360.3, SMRG1_37360.8, SMRG1_37360.9, SMRG1_37360.2, SMRG1_37360.7, SMRG1_37360.6
OG0000892	FhHiC23_g1375.t1	SMRG1_52560.1, SMRG1_52560.5, SMRG1_52560.2, SMRG1_52560.6, SMRG1_52560.3, SMRG1_52560.4
OG0000894	FhHiC23_g4413.t1	SMRG1_88820.1, SMRG1_88820.2
OG0000895	FhHiC23_g14019.t3, FhHiC23_g14019.t1, FhHiC23_g14019.t2	SMRG1_44270.4, SMRG1_44270.1, SMRG1_44270.2, SMRG1_44270.3
OG0000896	FhHiC23_g15166.t1, FhHiC23_g15166.t2, FhHiC23_g15166.t3	SMRG1_20850.1, SMRG1_20870.1, SMRG1_20870.2
OG0000897	FhHiC23_g11656.t2, FhHiC23_g11656.t1, FhHiC23_g2581.t1, FhHiC23_g2581.t2	SMRG1_9670.1, SMRG1_9670.2, SMRG1_9680.1
OG0000898	FhHiC23_g2752.t1	SMRG1_72680.2, SMRG1_72680.8, SMRG1_72680.1, SMRG1_72680.10, SMRG1_72680.11, SMRG1_72680.5, SMRG1_72680.6, SMRG1_72680.7, SMRG1_72680.9, SMRG1_72680.12, SMRG1_72680.3, SMRG1_72680.4, SMRG1_72680.13
OG0000899	FhHiC23_g11385.t1	SMRG1_13890.1
OG0000900	FhHiC23_g12918.t1, FhHiC23_g13771.t1	SMRG1_3500.1, SMRG1_3500.2
OG0000901	FhHiC23_g7940.t1, FhHiC23_g7940.t2	SMRG1_63150.1, SMRG1_63150.2, SMRG1_63150.3, SMRG1_63150.4, SMRG1_63150.5, SMRG1_63150.6, SMRG1_63150.7
OG0000902	FhHiC23_g393.t1	SMRG1_55690.1, SMRG1_55690.2, SMRG1_55690.3, SMRG1_55690.4, SMRG1_55690.5, SMRG1_55690.6
OG0000903	FhHiC23_g10751.t1	SMRG1_14860.1, SMRG1_14860.2
OG0000904	FhHiC23_g12793.t1, FhHiC23_g12793.t2	SMRG1_4900.1, SMRG1_4900.2, SMRG1_4900.3, SMRG1_4900.6, SMRG1_4900.4, SMRG1_4900.5
OG0000905	FhHiC23_g1090.t1, FhHiC23_g1090.t2	SMRG1_79340.3, SMRG1_79340.4, SMRG1_79340.1, SMRG1_79340.2
OG0000906	FhHiC23_g7197.t1, FhHiC23_g7197.t2	SMRG1_64470.1, SMRG1_64470.2, SMRG1_64470.3, SMRG1_64470.4, SMRG1_64470.5
OG0000907	FhHiC23_g2389.t5, FhHiC23_g2389.t1, FhHiC23_g2389.t2, FhHiC23_g2389.t3, FhHiC23_g2389.t4	SMRG1_75160.2, SMRG1_75160.1
OG0000910	FhHiC23_g12643.t1, FhHiC23_g12643.t2	SMRG1_7780.1
OG0000911	FhHiC23_g6963.t1	SMRG1_58680.1, SMRG1_58680.7, SMRG1_58680.2, SMRG1_58680.3, SMRG1_58680.6, SMRG1_58680.4, SMRG1_58680.5
OG0000912	FhHiC23_g11622.t1	SMRG1_6180.1, SMRG1_6180.2
OG0000913	FhHiC23_g10414.t5, FhHiC23_g10414.t4, FhHiC23_g10414.t1, FhHiC23_g10414.t2, FhHiC23_g10414.t3, FhHiC23_g8600.t1, FhHiC23_g8600.t2, FhHiC23_g4451.t1, FhHiC23_g4451.t2	SMRG1_31530.1, SMRG1_31530.3, SMRG1_31530.2, SMRG1_31530.4, SMRG1_31530.5
OG0000914	FhHiC23_g5784.t1, FhHiC23_g5784.t2	SMRG1_38590.3, SMRG1_38590.1, SMRG1_38590.2, SMRG1_38590.4, SMRG1_38590.5
OG0000915	FhHiC23_g6538.t1	SMRG1_29630.2, SMRG1_29630.4, SMRG1_29630.3, SMRG1_29630.1
OG0000916	FhHiC23_g5150.t2, FhHiC23_g5150.t1	SMRG1_39710.1
OG0000917	FhHiC23_g3879.t3, FhHiC23_g3879.t1, FhHiC23_g3879.t2	SMRG1_84890.4, SMRG1_84890.1, SMRG1_84890.2, SMRG1_84890.3
OG0000918	FhHiC23_g10495.t2, FhHiC23_g10495.t1	SMRG1_26900.4, SMRG1_26900.1, SMRG1_26900.2, SMRG1_26900.3
OG0000919	FhHiC23_g3732.t1, FhHiC23_g3732.t2	SMRG1_85210.1, SMRG1_85210.2, SMRG1_85210.3
OG0000920	FhHiC23_g10067.t2, FhHiC23_g10067.t1, FhHiC23_g10067.t3	SMRG1_96260.1
OG0000921	FhHiC23_g14388.t2, FhHiC23_g14388.t1	SMRG1_43750.1, SMRG1_43750.5, SMRG1_43750.4, SMRG1_43750.3, SMRG1_43750.2, SMRG1_43750.6, SMRG1_43750.7
OG0000922	FhHiC23_g11428.t1	SMRG1_6590.1, SMRG1_6600.1
OG0000922	FhHiC23_g11429.t1, FhHiC23_g11429.t2, FhHiC23_g11429.t3, FhHiC23_g11434.t1, FhHiC23_g11435.t1, FhHiC23_g11431.t1	SMRG1_6580.1
OG0000923	FhHiC23_g9137.t1	SMRG1_94480.1
OG0000925	FhHiC23_g11612.t1, FhHiC23_g11612.t2	SMRG1_15970.3, SMRG1_15970.4, SMRG1_15970.1, SMRG1_15970.2
OG0000926	FhHiC23_g9543.t1, FhHiC23_g9543.t2	SMRG1_27170.1
OG0000927	FhHiC23_g15558.t1	SMRG1_19200.1, SMRG1_19200.2, SMRG1_19200.4, SMRG1_19200.6, SMRG1_19200.7, SMRG1_19200.3, SMRG1_19200.5
OG0000928	FhHiC23_g5523.t1, FhHiC23_g5523.t2	SMRG1_32330.2, SMRG1_32330.3, SMRG1_32330.1, SMRG1_32330.4, SMRG1_32330.7, SMRG1_32330.8, SMRG1_32330.10, SMRG1_32330.9, SMRG1_32340.1, SMRG1_32330.5, SMRG1_32330.6
OG0000929	FhHiC23_g7701.t1, FhHiC23_g7701.t2	SMRG1_65540.3, SMRG1_65540.1, SMRG1_65540.2
OG0000930	FhHiC23_g13968.t1	SMRG1_42690.1, SMRG1_42690.3, SMRG1_42690.2, SMRG1_42690.4
OG0000931	FhHiC23_g824.t1, FhHiC23_g821.t1, FhHiC23_g821.t2	SMRG1_71800.1, SMRG1_71800.3, SMRG1_71800.5, SMRG1_71800.2, SMRG1_71800.4
OG0000932	FhHiC23_g12855.t2, FhHiC23_g12855.t1, FhHiC23_g12855.t3	SMRG1_790.1
OG0000933	FhHiC23_g5801.t1	SMRG1_39790.1
OG0000934	FhHiC23_g11672.t2, FhHiC23_g11672.t1	SMRG1_9800.1
OG0000935	FhHiC23_g7749.t1	SMRG1_64870.1
OG0000936	FhHiC23_g9655.t1	SMRG1_95330.2, SMRG1_95330.4, SMRG1_95330.3, SMRG1_95330.5, SMRG1_95330.1
OG0000937	FhHiC23_g3159.t1	SMRG1_54810.3, SMRG1_54810.1, SMRG1_54810.2
OG0000938	FhHiC23_g6779.t1, FhHiC23_g6778.t1	SMRG1_61040.4, SMRG1_61040.1, SMRG1_61040.2, SMRG1_61040.3
OG0000939	FhHiC23_g16569.t1, FhHiC23_g16569.t2, FhHiC23_g16569.t3	SMRG1_88020.4, SMRG1_88020.3, SMRG1_88020.1, SMRG1_88020.2, SMRG1_88020.5
OG0000940	FhHiC23_g12811.t1	SMRG1_5540.1, SMRG1_5540.2, SMRG1_5540.3
OG0000941	FhHiC23_g6008.t1	SMRG1_32150.2, SMRG1_32150.4, SMRG1_32150.1, SMRG1_32150.3
OG0000942	FhHiC23_g4439.t1, FhHiC23_g11939.t2, FhHiC23_g11939.t1	SMRG1_15540.4, SMRG1_15540.5, SMRG1_15540.2, SMRG1_15540.1, SMRG1_15540.3
OG0000943	FhHiC23_g5257.t1	SMRG1_28840.1, SMRG1_28840.4, SMRG1_28840.5, SMRG1_28840.2, SMRG1_28840.3, SMRG1_28840.6
OG0000944	FhHiC23_g222.t1, FhHiC23_g223.t1, FhHiC23_g12677.t1, FhHiC23_g8396.t1	SMRG1_58460.1
OG0000945	FhHiC23_g11090.t1	SMRG1_10920.1, SMRG1_10920.2
OG0000946	FhHiC23_g13160.t1	SMRG1_8380.1, SMRG1_8380.2
OG0000947	FhHiC23_g6472.t1	SMRG1_38910.4, SMRG1_38910.1, SMRG1_38910.2, SMRG1_38910.5, SMRG1_38910.6, SMRG1_38910.7, SMRG1_38910.3
OG0000948	FhHiC23_g3632.t1	SMRG1_82460.1, SMRG1_82460.2
OG0000949	FhHiC23_g11661.t1, FhHiC23_g11663.t1, FhHiC23_g11664.t1	SMRG1_15720.1, SMRG1_15710.1, SMRG1_15710.2
OG0000950	FhHiC23_g737.t1, FhHiC23_g737.t2	SMRG1_53900.3, SMRG1_53900.4, SMRG1_53900.6, SMRG1_53900.8, SMRG1_53900.7, SMRG1_53900.2, SMRG1_53900.5, SMRG1_53900.9, SMRG1_53900.1
OG0000951	FhHiC23_g9154.t1	SMRG1_94420.1, SMRG1_94420.2
OG0000952	FhHiC23_g4678.t1	SMRG1_29580.1, SMRG1_29580.2
OG0000953	FhHiC23_g8364.t1	SMRG1_63260.2, SMRG1_63260.1, SMRG1_63260.3, SMRG1_63260.5, SMRG1_63260.6, SMRG1_63260.7, SMRG1_63260.4
OG0000955	FhHiC23_g11409.t1	SMRG1_12070.2, SMRG1_12070.6, SMRG1_12070.3, SMRG1_12070.4, SMRG1_12070.5, SMRG1_12070.1
OG0000958	FhHiC23_g15702.t1	SMRG1_13190.1, SMRG1_13190.2, SMRG1_13190.3, SMRG1_13190.4
OG0000959	FhHiC23_g2492.t1	SMRG1_70550.1
OG0000960	FhHiC23_g2806.t1	SMRG1_21340.1, SMRG1_21340.2
OG0000961	FhHiC23_g4805.t1	SMRG1_38940.1, SMRG1_38940.2, SMRG1_38940.4, SMRG1_38940.5, SMRG1_38940.6, SMRG1_38940.3
OG0000962	FhHiC23_g2574.t1	SMRG1_75140.4, SMRG1_75140.6, SMRG1_75140.1, SMRG1_75140.2, SMRG1_75140.5, SMRG1_75140.3, SMRG1_75140.7
OG0000963	FhHiC23_g13194.t1	SMRG1_2330.1
OG0000964	FhHiC23_g14820.t2, FhHiC23_g14820.t3, FhHiC23_g14820.t1	SMRG1_40880.4, SMRG1_40880.1, SMRG1_40880.2, SMRG1_40880.3
OG0000965	FhHiC23_g7683.t1	SMRG1_63980.7, SMRG1_63980.8, SMRG1_63980.5, SMRG1_63980.6, SMRG1_63980.3, SMRG1_63980.4, SMRG1_63980.1, SMRG1_63980.2
OG0000966	FhHiC23_g5905.t1	SMRG1_36280.1
OG0000966	FhHiC23_g520.t1	SMRG1_49730.1
OG0000967	FhHiC23_g6329.t1, FhHiC23_g6329.t2	SMRG1_35510.1
OG0000968	FhHiC23_g13188.t1	SMRG1_2670.1
OG0000969	FhHiC23_g1464.t1	SMRG1_82320.1
OG0000969	FhHiC23_g4027.t1, FhHiC23_g4027.t2	SMRG1_82330.1
OG0000970	FhHiC23_g2215.t1	SMRG1_70220.2, SMRG1_70220.1, SMRG1_70220.3, SMRG1_70220.4, SMRG1_70160.1, SMRG1_70170.1, SMRG1_70240.1, SMRG1_70190.1, SMRG1_70250.1, SMRG1_70260.1, SMRG1_70180.1
OG0000971	FhHiC23_g11579.t1	SMRG1_1710.1, SMRG1_1710.2, SMRG1_1710.3
OG0000972	FhHiC23_g10701.t1, FhHiC23_g10701.t2	SMRG1_5850.3, SMRG1_5850.6, SMRG1_5850.1, SMRG1_5850.2, SMRG1_5850.5, SMRG1_5850.7, SMRG1_5850.8, SMRG1_5850.9, SMRG1_5850.4
OG0000973	FhHiC23_g10383.t1	SMRG1_24120.1, SMRG1_24140.2, SMRG1_24130.1, SMRG1_24140.1
OG0000974	FhHiC23_g1435.t1	SMRG1_56020.3, SMRG1_56020.4, SMRG1_56020.2, SMRG1_56020.1
OG0000975	FhHiC23_g13353.t1, FhHiC23_g13353.t2	SMRG1_5700.1, SMRG1_5690.1
OG0000976	FhHiC23_g12582.t1, FhHiC23_g12582.t3	SMRG1_9900.3, SMRG1_9900.1, SMRG1_9900.7, SMRG1_9900.2, SMRG1_9900.4, SMRG1_9900.5, SMRG1_9900.6
OG0000977	FhHiC23_g11079.t1	SMRG1_11530.1, SMRG1_11530.2, SMRG1_11530.3
OG0000978	FhHiC23_g15261.t1, FhHiC23_g15261.t2	SMRG1_21010.1, SMRG1_21010.2, SMRG1_21010.3, SMRG1_21010.6, SMRG1_21010.4, SMRG1_21010.5, SMRG1_21010.7
OG0000979	FhHiC23_g2647.t1	SMRG1_74300.3, SMRG1_74300.1, SMRG1_74300.2, SMRG1_74300.4
OG0000980	FhHiC23_g1379.t1	SMRG1_52640.1, SMRG1_52640.2
OG0000981	FhHiC23_g5114.t1	SMRG1_40200.3, SMRG1_40200.1, SMRG1_40200.2, SMRG1_40200.4
OG0000982	FhHiC23_g8063.t1, FhHiC23_g8063.t3, FhHiC23_g8063.t2	SMRG1_64930.2, SMRG1_64930.1, SMRG1_64930.3, SMRG1_64930.5, SMRG1_64930.4
OG0000983	FhHiC23_g14957.t1	SMRG1_15110.1, SMRG1_15110.2, SMRG1_15110.3, SMRG1_15110.4, SMRG1_15110.5
OG0000984	FhHiC23_g5012.t1, FhHiC23_g5012.t2	SMRG1_34920.3, SMRG1_34920.2, SMRG1_34920.1, SMRG1_34920.4, SMRG1_34920.5
OG0000985	FhHiC23_g11530.t1	SMRG1_15690.2, SMRG1_15690.3, SMRG1_15690.1
OG0000986	FhHiC23_g2637.t4, FhHiC23_g2637.t1, FhHiC23_g2637.t2, FhHiC23_g2637.t3	SMRG1_73440.1, SMRG1_73440.2
OG0000987	FhHiC23_g3839.t2, FhHiC23_g3839.t1	SMRG1_84080.4, SMRG1_84080.5, SMRG1_84080.1, SMRG1_84080.10, SMRG1_84080.11, SMRG1_84080.12, SMRG1_84080.15, SMRG1_84080.3, SMRG1_84080.7, SMRG1_84080.8, SMRG1_84080.9, SMRG1_84080.13, SMRG1_84080.14, SMRG1_84080.6, SMRG1_84080.2
OG0000988	FhHiC23_g345.t2, FhHiC23_g345.t1, FhHiC23_g344.t1, FhHiC23_g344.t2	SMRG1_57670.1, SMRG1_57670.4, SMRG1_57670.2, SMRG1_57670.3
OG0000989	FhHiC23_g741.t1	SMRG1_52000.1, SMRG1_52000.2, SMRG1_52000.3, SMRG1_52000.4
OG0000990	FhHiC23_g13484.t1	SMRG1_4540.2, SMRG1_4540.3, SMRG1_4540.1, SMRG1_4540.4
OG0000991	FhHiC23_g7930.t1, FhHiC23_g7930.t2, FhHiC23_g7930.t4, FhHiC23_g7930.t3, FhHiC23_g7930.t5	SMRG1_59270.1
OG0000992	FhHiC23_g13877.t1, FhHiC23_g13879.t1, FhHiC23_g13877.t2	SMRG1_44500.1
OG0000993	FhHiC23_g2786.t1	SMRG1_78640.1, SMRG1_78640.2, SMRG1_78640.3
OG0000994	FhHiC23_g5011.t1, FhHiC23_g5011.t2	SMRG1_33950.3, SMRG1_33950.1, SMRG1_33950.2, SMRG1_33950.4
OG0000995	FhHiC23_g3242.t1	SMRG1_80910.2, SMRG1_80910.5, SMRG1_80910.4, SMRG1_80910.3, SMRG1_80910.1
OG0000996	FhHiC23_g7052.t1, FhHiC23_g7052.t2	SMRG1_65070.1
OG0000997	FhHiC23_g16655.t1	SMRG1_89850.1, SMRG1_89850.2, SMRG1_89850.3
OG0000998	FhHiC23_g433.t1, FhHiC23_g433.t2	SMRG1_56280.10, SMRG1_56280.3, SMRG1_56280.9, SMRG1_56280.11, SMRG1_56280.7, SMRG1_56280.4, SMRG1_56280.8, SMRG1_56280.1, SMRG1_56280.2, SMRG1_56280.5, SMRG1_56280.6, SMRG1_56280.12, SMRG1_56280.13, SMRG1_56280.14, SMRG1_56280.15
OG0001000	FhHiC23_g10629.t1, FhHiC23_g10629.t2	SMRG1_6800.1, SMRG1_6800.2, SMRG1_6800.4, SMRG1_6800.3
OG0001009	FhHiC23_g15862.t1	SMRG1_89040.1
OG0001010	FhHiC23_g7211.t1	SMRG1_60490.1, SMRG1_60490.2, SMRG1_60490.3
OG0001011	FhHiC23_g4725.t1	SMRG1_39750.1
OG0001012	FhHiC23_g12412.t1	SMRG1_4940.1, SMRG1_4940.2, SMRG1_4940.3, SMRG1_4940.4
OG0001013	FhHiC23_g11782.t1	SMRG1_13300.6, SMRG1_13300.5, SMRG1_13300.4, SMRG1_13300.1, SMRG1_13300.3, SMRG1_13300.2
OG0001014	FhHiC23_g12609.t1, FhHiC23_g12609.t2, FhHiC23_g12609.t3	SMRG1_3910.1, SMRG1_3910.6, SMRG1_3910.8, SMRG1_3910.9, SMRG1_3910.10, SMRG1_3910.2, SMRG1_3910.3, SMRG1_3910.4, SMRG1_3910.7, SMRG1_3910.5
OG0001015	FhHiC23_g14738.t1, FhHiC23_g14738.t2	SMRG1_38380.1
OG0001016	FhHiC23_g4790.t1	SMRG1_37780.1, SMRG1_37780.2, SMRG1_37780.3, SMRG1_37780.4
OG0001017	FhHiC23_g15044.t1	SMRG1_15090.3, SMRG1_15090.1, SMRG1_15090.2, SMRG1_15090.4
OG0001018	FhHiC23_g5842.t2, FhHiC23_g5842.t1, FhHiC23_g5841.t1	SMRG1_29810.2, SMRG1_29810.3, SMRG1_29810.1
OG0001019	FhHiC23_g14549.t1	SMRG1_42480.4, SMRG1_42480.2, SMRG1_42480.3, SMRG1_42480.1, SMRG1_42480.5
OG0001020	FhHiC23_g12011.t1	SMRG1_10500.1
OG0001021	FhHiC23_g5322.t2, FhHiC23_g5322.t3, FhHiC23_g5322.t4, FhHiC23_g5322.t1	SMRG1_29560.1, SMRG1_29560.2
OG0001022	FhHiC23_g14964.t1, FhHiC23_g14964.t2	SMRG1_20810.2, SMRG1_20810.1, SMRG1_20810.3, SMRG1_20810.4
OG0001023	FhHiC23_g6790.t1	SMRG1_63660.1, SMRG1_63660.2, SMRG1_63660.3
OG0001024	FhHiC23_g2930.t1	SMRG1_78750.1, SMRG1_78750.2, SMRG1_78750.3, SMRG1_78750.4, SMRG1_78750.5, SMRG1_78750.6
OG0001025	FhHiC23_g4334.t1, FhHiC23_g4334.t2	SMRG1_89460.1, SMRG1_89460.2
OG0001026	FhHiC23_g2021.t1	SMRG1_50300.1, SMRG1_50300.2
OG0001027	FhHiC23_g13410.t2, FhHiC23_g13410.t1	SMRG1_960.1, SMRG1_960.2, SMRG1_960.3, SMRG1_960.4, SMRG1_960.5, SMRG1_960.6
OG0001028	FhHiC23_g1259.t1	SMRG1_55950.2, SMRG1_55950.1, SMRG1_55950.4, SMRG1_55950.3
OG0001029	FhHiC23_g3446.t1, FhHiC23_g1127.t1	SMRG1_50490.1
OG0001030	FhHiC23_g6107.t1, FhHiC23_g6107.t2	SMRG1_28960.1, SMRG1_28960.3, SMRG1_28960.2
OG0001031	FhHiC23_g1039.t1	SMRG1_72640.1, SMRG1_72640.10, SMRG1_72640.13, SMRG1_72640.14, SMRG1_72640.15, SMRG1_72640.17, SMRG1_72640.18, SMRG1_72640.2, SMRG1_72640.5, SMRG1_72640.6, SMRG1_72640.7, SMRG1_72640.8, SMRG1_72640.11, SMRG1_72640.12, SMRG1_72640.3, SMRG1_72640.4, SMRG1_72640.9, SMRG1_72640.16
OG0001032	FhHiC23_g7054.t1	SMRG1_65090.2, SMRG1_65090.1
OG0001033	FhHiC23_g2445.t2, FhHiC23_g2445.t1	SMRG1_72720.2, SMRG1_72720.3, SMRG1_72720.5, SMRG1_72720.1, SMRG1_72720.4
OG0001034	FhHiC23_g2105.t1	SMRG1_54620.1, SMRG1_54610.3, SMRG1_54610.4, SMRG1_54610.1, SMRG1_54610.2
OG0001035	FhHiC23_g268.t1, FhHiC23_g269.t1, FhHiC23_g262.t1, FhHiC23_g262.t2, FhHiC23_g259.t1, FhHiC23_g260.t1, FhHiC23_g264.t1, FhHiC23_g265.t1, FhHiC23_g1943.t1	SMRG1_55150.1, SMRG1_55160.1
OG0001036	FhHiC23_g11613.t1	SMRG1_17540.1
OG0001037	FhHiC23_g15057.t1, FhHiC23_g15057.t3, FhHiC23_g15202.t1, FhHiC23_g15202.t2	SMRG1_20780.1, SMRG1_20780.3, SMRG1_20780.5, SMRG1_20780.4, SMRG1_20780.2
OG0001038	FhHiC23_g13415.t2, FhHiC23_g13415.t1, FhHiC23_g13415.t3	SMRG1_480.1, SMRG1_480.2, SMRG1_480.3, SMRG1_480.4, SMRG1_480.5, SMRG1_480.6
OG0001039	FhHiC23_g9256.t1	SMRG1_27460.2, SMRG1_27460.5, SMRG1_27460.1, SMRG1_27460.4, SMRG1_27460.6, SMRG1_27460.3
OG0001040	FhHiC23_g4241.t1, FhHiC23_g4241.t2	SMRG1_82570.4, SMRG1_82570.5, SMRG1_82570.2, SMRG1_82570.1, SMRG1_82570.3
OG0001041	FhHiC23_g9008.t1, FhHiC23_g9008.t2, FhHiC23_g9008.t3	SMRG1_95550.1, SMRG1_95550.3, SMRG1_95550.4, SMRG1_95550.2
OG0001042	FhHiC23_g13435.t1, FhHiC23_g13436.t1	SMRG1_11420.1
OG0001043	FhHiC23_g993.t1	SMRG1_49050.1, SMRG1_49050.2
OG0001044	FhHiC23_g7412.t1	SMRG1_68020.1, SMRG1_68020.2, SMRG1_68020.3
OG0001045	FhHiC23_g8415.t1	SMRG1_67500.2, SMRG1_67500.1, SMRG1_67500.3
OG0001046	FhHiC23_g81.t1	SMRG1_51690.1, SMRG1_51690.2
OG0001047	FhHiC23_g9855.t1, FhHiC23_g9855.t2	SMRG1_97020.9, SMRG1_97020.5, SMRG1_97020.10, SMRG1_97020.6, SMRG1_97020.1, SMRG1_97020.8, SMRG1_97020.7, SMRG1_97020.3, SMRG1_97020.2, SMRG1_97020.4
OG0001048	FhHiC23_g282.t1, FhHiC23_g282.t2	SMRG1_78690.1, SMRG1_78690.4
OG0001049	FhHiC23_g1405.t4, FhHiC23_g1405.t1, FhHiC23_g1405.t2, FhHiC23_g1405.t3	SMRG1_55770.4, SMRG1_55770.2, SMRG1_55770.1, SMRG1_55770.3
OG0001050	FhHiC23_g6799.t1	SMRG1_62890.1, SMRG1_62890.3, SMRG1_62890.2
OG0001051	FhHiC23_g16833.t1	SMRG1_88880.1
OG0001052	FhHiC23_g798.t1	SMRG1_55740.2, SMRG1_55740.3, SMRG1_55740.1
OG0001053	FhHiC23_g8610.t1	SMRG1_64120.2, SMRG1_64120.1
OG0001054	FhHiC23_g12139.t1	SMRG1_11180.1, SMRG1_11180.2, SMRG1_11180.5, SMRG1_11180.6, SMRG1_11180.3, SMRG1_11180.4
OG0001055	FhHiC23_g6311.t1	SMRG1_38800.1, SMRG1_38800.2
OG0001056	FhHiC23_g8018.t1, FhHiC23_g8018.t2	SMRG1_58430.5, SMRG1_58430.4, SMRG1_58430.6, SMRG1_58430.7, SMRG1_58430.3, SMRG1_58430.2, SMRG1_58430.1
OG0001057	FhHiC23_g16676.t1, FhHiC23_g16676.t2	SMRG1_88740.1, SMRG1_88740.3, SMRG1_88740.2
OG0001058	FhHiC23_g7616.t1	SMRG1_59850.1, SMRG1_59850.2, SMRG1_59850.3, SMRG1_59850.4, SMRG1_59850.5, SMRG1_59850.6, SMRG1_59850.7, SMRG1_59850.8, SMRG1_59850.9, SMRG1_59860.2, SMRG1_59860.1
OG0001059	FhHiC23_g15619.t1, FhHiC23_g15619.t2	SMRG1_17980.1, SMRG1_17980.2, SMRG1_17980.3, SMRG1_17980.4, SMRG1_17980.5, SMRG1_17980.6, SMRG1_17980.7
OG0001060	FhHiC23_g8550.t3, FhHiC23_g8550.t2, FhHiC23_g8550.t1	SMRG1_64410.1, SMRG1_64410.2, SMRG1_64410.3
OG0001061	FhHiC23_g10637.t1	SMRG1_10650.1, SMRG1_10650.2
OG0001068	FhHiC23_g1453.t1	SMRG1_76460.1
OG0001070	FhHiC23_g10636.t1, FhHiC23_g7712.t1	SMRG1_63710.1, SMRG1_63710.2
OG0001070	FhHiC23_g2817.t2, FhHiC23_g2817.t1	SMRG1_76860.1
OG0001071	FhHiC23_g8249.t1, FhHiC23_g8249.t2	SMRG1_65750.2, SMRG1_65750.3, SMRG1_65750.1, SMRG1_65750.4
OG0001072	FhHiC23_g14078.t1	SMRG1_42520.1
OG0001073	FhHiC23_g15794.t1	SMRG1_18140.2, SMRG1_18140.3, SMRG1_18140.4, SMRG1_18140.5, SMRG1_18140.7, SMRG1_18140.1, SMRG1_18140.6
OG0001074	FhHiC23_g9712.t1	SMRG1_27660.1, SMRG1_27660.2, SMRG1_27660.6, SMRG1_27660.5, SMRG1_27660.7, SMRG1_27660.3, SMRG1_27660.4
OG0001075	FhHiC23_g7537.t1	SMRG1_62450.4, SMRG1_62450.2, SMRG1_62450.3, SMRG1_62450.1
OG0001076	FhHiC23_g231.t3, FhHiC23_g231.t1, FhHiC23_g231.t2	SMRG1_47000.1, SMRG1_47000.4, SMRG1_47000.2, SMRG1_47000.5, SMRG1_47000.3
OG0001077	FhHiC23_g2069.t1	SMRG1_50800.1
OG0001078	FhHiC23_g7897.t2, FhHiC23_g7897.t1	SMRG1_59450.1
OG0001079	FhHiC23_g1658.t1	SMRG1_75960.1
OG0001080	FhHiC23_g1174.t1	SMRG1_74430.1, SMRG1_74430.2, SMRG1_74430.4, SMRG1_74430.3
OG0001081	FhHiC23_g5306.t1	SMRG1_33980.1, SMRG1_33980.2
OG0001082	FhHiC23_g2343.t1	SMRG1_49320.1, SMRG1_49320.2, SMRG1_49320.3, SMRG1_49320.4, SMRG1_49320.5
OG0001083	FhHiC23_g9161.t1, FhHiC23_g9161.t2	SMRG1_95690.3, SMRG1_95690.2, SMRG1_95690.1
OG0001084	FhHiC23_g15642.t1	SMRG1_21230.1, SMRG1_21230.2, SMRG1_21230.3
OG0001085	FhHiC23_g9501.t1	SMRG1_96660.1, SMRG1_96660.2
OG0001086	FhHiC23_g3370.t1	SMRG1_71470.1
OG0001087	FhHiC23_g1403.t2, FhHiC23_g1403.t1, FhHiC23_g1404.t1	SMRG1_51910.1, SMRG1_51910.2
OG0001088	FhHiC23_g10196.t1, FhHiC23_g10197.t1	SMRG1_24740.4, SMRG1_24740.3, SMRG1_24740.1, SMRG1_24740.2
OG0001089	FhHiC23_g7786.t1	SMRG1_65720.4, SMRG1_65720.5, SMRG1_65720.1, SMRG1_65720.6, SMRG1_65720.7, SMRG1_65720.3
OG0001090	FhHiC23_g9487.t1	SMRG1_97330.1, SMRG1_97330.2, SMRG1_97330.3, SMRG1_97330.4, SMRG1_97330.5
OG0001091	FhHiC23_g1119.t1	SMRG1_49220.1, SMRG1_49220.3, SMRG1_49220.4, SMRG1_49220.5, SMRG1_49220.6, SMRG1_49220.7, SMRG1_49220.2, SMRG1_49220.8
OG0001092	FhHiC23_g2498.t1, FhHiC23_g2498.t2	SMRG1_70400.1, SMRG1_70400.2, SMRG1_70400.8, SMRG1_70400.3, SMRG1_70400.4, SMRG1_70400.5, SMRG1_70400.6, SMRG1_70400.7
OG0001093	FhHiC23_g4232.t1	SMRG1_82160.1, SMRG1_82160.2, SMRG1_82160.3
OG0001094	FhHiC23_g14498.t1, FhHiC23_g14498.t2	SMRG1_36760.3, SMRG1_36760.2, SMRG1_36760.1
