Orthogroup	fasciola_gigantica	schistosoma_spindale
OG0001171	FGIG_07821	SSPN1_15120.1, SSPN1_15120.2, SSPN1_15120.3
OG0001172	FGIG_08034	SSPN1_63750.1, SSPN1_63750.2
OG0001173	FGIG_08233	SSPN1_100.1, SSPN1_1690.1, SSPN1_1690.3, SSPN1_1690.2
OG0001174	FGIG_08325	SSPN1_20640.1
OG0001175	FGIG_08343	SSPN1_50380.1, SSPN1_50380.2, SSPN1_50380.3
OG0001176	FGIG_08377	SSPN1_70550.1
OG0001177	FGIG_08477	SSPN1_23860.1, SSPN1_23860.2
OG0001178	FGIG_08746	SSPN1_2570.1, SSPN1_2560.1
OG0001179	FGIG_08962	SSPN1_89690.1
OG0001180	FGIG_09159, FGIG_11284	SSPN1_21490.1
OG0001181	FGIG_09440	SSPN1_55580.2, SSPN1_55580.5, SSPN1_55580.6, SSPN1_55580.3, SSPN1_55580.1, SSPN1_55580.4
OG0001182	FGIG_09577, FGIG_12267	SSPN1_34960.1, SSPN1_34960.2
OG0001183	FGIG_09838	SSPN1_19470.5, SSPN1_19470.4, SSPN1_19470.10, SSPN1_19470.7, SSPN1_19470.8, SSPN1_19470.1, SSPN1_19470.2, SSPN1_19470.6, SSPN1_19470.9, SSPN1_19470.3
OG0001184	FGIG_09947	SSPN1_3420.1
OG0001185	FGIG_10786	SSPN1_19840.1, SSPN1_19840.3, SSPN1_19840.4, SSPN1_19840.2, SSPN1_19840.5
OG0001186	FGIG_10879	SSPN1_4780.1
OG0001187	FGIG_11096	SSPN1_30210.1, SSPN1_30210.3, SSPN1_30210.2, SSPN1_30210.5, SSPN1_30210.4
OG0001188	FGIG_11471	SSPN1_7860.1, SSPN1_7850.2, SSPN1_7850.4, SSPN1_7850.1, SSPN1_7850.3
OG0001189	FGIG_12652, FGIG_11638	SSPN1_16220.2, SSPN1_16220.4, SSPN1_16220.3, SSPN1_16220.1, SSPN1_16220.5
OG0001190	FGIG_11792	SSPN1_34770.1
OG0001191	FGIG_11901	SSPN1_6970.1, SSPN1_6970.2, SSPN1_6970.3
OG0001192	FGIG_12164, FGIG_12599	SSPN1_41430.1
OG0001193	FGIG_12177	SSPN1_79590.1
OG0001194	FGIG_12597	SSPN1_6400.1
OG0001202	FGIG_00092, FGIG_00091, FGIG_00090	SSPN1_18010.1, SSPN1_18010.2, SSPN1_18010.3
OG0001203	FGIG_00255	SSPN1_1320.1
OG0001203	FGIG_01145	SSPN1_77670.1
OG0001204	FGIG_00416	SSPN1_58190.1
OG0001205	FGIG_00431, FGIG_00433	SSPN1_34580.1, SSPN1_34580.2, SSPN1_34580.3
OG0001207	FGIG_00624	SSPN1_15640.4, SSPN1_15640.1, SSPN1_15640.2, SSPN1_15640.3
OG0001208	FGIG_00768, FGIG_10999, FGIG_08146	SSPN1_32890.1, SSPN1_32890.2, SSPN1_32890.3
OG0001209	FGIG_00773	SSPN1_47150.3, SSPN1_47150.2, SSPN1_47150.4, SSPN1_47150.5, SSPN1_47150.1, SSPN1_47150.6
OG0001210	FGIG_00783	SSPN1_89550.1
OG0001211	FGIG_00866	SSPN1_13250.1
OG0001212	FGIG_00887, FGIG_00886	SSPN1_23550.1, SSPN1_23550.2
OG0001213	FGIG_00940	SSPN1_6770.1, SSPN1_6770.2
OG0001214	FGIG_00963	SSPN1_27350.1
OG0001215	FGIG_00989	SSPN1_65540.1, SSPN1_65540.4, SSPN1_65540.2, SSPN1_65540.3
OG0001216	FGIG_01139	SSPN1_25630.1, SSPN1_25630.2
OG0001217	FGIG_01201, FGIG_09525	SSPN1_70170.1
OG0001218	FGIG_01297	SSPN1_17100.5, SSPN1_17100.1, SSPN1_17100.2, SSPN1_17100.3, SSPN1_17100.4
OG0001219	FGIG_01301	SSPN1_270.1
OG0001220	FGIG_01568	SSPN1_91320.1, SSPN1_91320.2, SSPN1_91320.3, SSPN1_91320.5, SSPN1_91320.4
OG0001221	FGIG_01627	SSPN1_61690.5, SSPN1_61690.1, SSPN1_61690.6, SSPN1_61690.2, SSPN1_61690.4, SSPN1_61690.3, SSPN1_61690.7
OG0001222	FGIG_01806	SSPN1_88500.1
OG0001223	FGIG_12507, FGIG_01808	SSPN1_38180.2, SSPN1_38180.1, SSPN1_38180.3, SSPN1_38180.4
OG0001225	FGIG_11699, FGIG_02205	SSPN1_56890.1, SSPN1_56890.2, SSPN1_56890.3
OG0001226	FGIG_02402, FGIG_02403	SSPN1_44590.1
OG0001227	FGIG_02427, FGIG_10207	SSPN1_62260.1
OG0001228	FGIG_04742, FGIG_05551, FGIG_02693, FGIG_12115, FGIG_02692	SSPN1_43490.1
OG0001229	FGIG_02875	SSPN1_29430.1
OG0001230	FGIG_02882	SSPN1_13860.1
OG0001231	FGIG_02962	SSPN1_31470.1
OG0001232	FGIG_03290, FGIG_10388	SSPN1_77750.1, SSPN1_77760.1
OG0001233	FGIG_03583	SSPN1_5830.1
OG0001234	FGIG_03890	SSPN1_42750.1, SSPN1_42750.2
OG0001235	FGIG_05015, FGIG_04167	SSPN1_27760.1, SSPN1_27750.2, SSPN1_27750.1, SSPN1_27750.3
OG0001236	FGIG_04255, FGIG_04254	SSPN1_60660.1, SSPN1_60660.2
OG0001237	FGIG_04341	SSPN1_25590.1, SSPN1_25560.1
OG0001238	FGIG_04821, FGIG_10088	SSPN1_80670.1, SSPN1_80670.2
OG0001239	FGIG_04854	SSPN1_17130.1, SSPN1_17130.2, SSPN1_17130.3
OG0001240	FGIG_05002	SSPN1_52240.1, SSPN1_52240.2
OG0001241	FGIG_05887	SSPN1_64570.1
OG0001241	FGIG_05099	SSPN1_71690.1
OG0001242	FGIG_05100, FGIG_11527, FGIG_06927, FGIG_10131, FGIG_10130	SSPN1_54380.1
OG0001243	FGIG_08567, FGIG_05341	SSPN1_6720.1
OG0001244	FGIG_05347	SSPN1_86430.1
OG0001245	FGIG_05932	SSPN1_16740.1, SSPN1_16750.4, SSPN1_16750.2, SSPN1_16750.3, SSPN1_16750.1, SSPN1_16750.5, SSPN1_16750.6, SSPN1_16760.1
OG0001246	FGIG_06383	SSPN1_37830.1, SSPN1_37830.3, SSPN1_37830.2
OG0001247	FGIG_06416	SSPN1_33710.1
OG0001248	FGIG_06917	SSPN1_5550.1, SSPN1_5550.2
OG0001249	FGIG_06968	SSPN1_34860.2, SSPN1_34860.3, SSPN1_34860.1, SSPN1_34860.4
OG0001250	FGIG_06989	SSPN1_1970.1, SSPN1_1970.2, SSPN1_1980.1
OG0001251	FGIG_07285	SSPN1_74510.1
OG0001252	FGIG_07384	SSPN1_50170.2, SSPN1_50170.1
OG0001253	FGIG_07753, FGIG_07752	SSPN1_53060.1
OG0001254	FGIG_12494, FGIG_07899, FGIG_07901	SSPN1_38120.1
OG0001255	FGIG_07955	SSPN1_27850.5, SSPN1_27850.6, SSPN1_27850.1, SSPN1_27850.2, SSPN1_27850.3, SSPN1_27850.4
OG0001256	FGIG_10216, FGIG_08072, FGIG_08073	SSPN1_46810.3, SSPN1_46810.1, SSPN1_46810.2
OG0001257	FGIG_10494, FGIG_08198	SSPN1_25860.1, SSPN1_25860.3, SSPN1_25860.2
OG0001258	FGIG_08259	SSPN1_73910.1
OG0001259	FGIG_08281	SSPN1_64700.1, SSPN1_64700.2
OG0001260	FGIG_08501, FGIG_08502	SSPN1_1410.1, SSPN1_1410.3, SSPN1_1410.2, SSPN1_1410.4
OG0001261	FGIG_08782	SSPN1_44010.3, SSPN1_44010.4, SSPN1_44010.1, SSPN1_44010.5, SSPN1_44010.2
OG0001262	FGIG_08945	SSPN1_79630.1, SSPN1_79630.4, SSPN1_79630.3, SSPN1_79630.2
OG0001263	FGIG_09513	SSPN1_86310.1, SSPN1_86300.1
OG0001264	FGIG_09786	SSPN1_52090.5, SSPN1_52090.6, SSPN1_52090.8, SSPN1_52090.3, SSPN1_52090.4, SSPN1_52090.2, SSPN1_52090.1, SSPN1_52090.7
OG0001265	FGIG_09796	SSPN1_63280.4, SSPN1_63280.3, SSPN1_63280.1, SSPN1_63280.2
OG0001266	FGIG_09988	SSPN1_67780.1
OG0001267	FGIG_10603	SSPN1_51480.4, SSPN1_51480.5, SSPN1_51480.6, SSPN1_51480.1, SSPN1_51480.2, SSPN1_51480.3, SSPN1_51480.8, SSPN1_51480.10, SSPN1_51480.11, SSPN1_51480.9, SSPN1_51480.7
OG0001268	FGIG_11001, FGIG_10608	SSPN1_7880.1
OG0001269	FGIG_10908	SSPN1_22860.2, SSPN1_22860.1
OG0001270	FGIG_10957	SSPN1_87160.2, SSPN1_87160.3, SSPN1_87160.5, SSPN1_87160.1, SSPN1_87160.4, SSPN1_87160.6, SSPN1_87160.7
OG0001271	FGIG_11008, FGIG_12544	SSPN1_59570.6, SSPN1_59570.1, SSPN1_59570.2, SSPN1_59570.3, SSPN1_59570.4, SSPN1_59570.5, SSPN1_59570.7
OG0001272	FGIG_11520, FGIG_12609, FGIG_11091	SSPN1_77260.1, SSPN1_77260.2, SSPN1_77260.3, SSPN1_77260.4
OG0001273	FGIG_11191	SSPN1_70880.2, SSPN1_70880.1, SSPN1_70880.3
OG0001274	FGIG_11229, FGIG_11228	SSPN1_65960.1
OG0001275	FGIG_11389, FGIG_11949	SSPN1_52610.1
OG0001276	FGIG_11574	SSPN1_60110.1
OG0001277	FGIG_11601, FGIG_12005	SSPN1_3110.3, SSPN1_3110.1, SSPN1_3110.2
OG0001278	FGIG_11618	SSPN1_87460.1, SSPN1_87460.3, SSPN1_87460.2
OG0001279	FGIG_12224, FGIG_12521	SSPN1_35950.1
OG0001288	FGIG_00192	SSPN1_90510.1
OG0001289	FGIG_00210	SSPN1_28540.1
OG0001290	FGIG_07230, FGIG_00515	SSPN1_4840.1, SSPN1_4850.1
OG0001291	FGIG_00674	SSPN1_6960.3, SSPN1_6960.5, SSPN1_6960.1, SSPN1_6960.4, SSPN1_6960.2
OG0001292	FGIG_00943	SSPN1_7090.1, SSPN1_7100.1
OG0001293	FGIG_01034, FGIG_10755	SSPN1_53580.1, SSPN1_53590.1
OG0001294	FGIG_01093	SSPN1_38670.1
OG0001295	FGIG_01383	SSPN1_39030.1, SSPN1_39030.2, SSPN1_39030.3
OG0001296	FGIG_01523	SSPN1_7420.1, SSPN1_7420.6, SSPN1_7420.2, SSPN1_7420.3, SSPN1_7420.4, SSPN1_7420.7, SSPN1_7420.5
OG0001297	FGIG_01649	SSPN1_18500.2, SSPN1_18500.1, SSPN1_18500.4, SSPN1_18500.3
OG0001298	FGIG_10329, FGIG_01668	SSPN1_34690.1, SSPN1_34690.3, SSPN1_34690.4, SSPN1_34690.2
OG0001299	FGIG_01809	SSPN1_38160.1, SSPN1_38170.1
OG0001300	FGIG_01863, FGIG_01865, FGIG_01864	SSPN1_5910.1
OG0001301	FGIG_02298	SSPN1_52670.1
OG0001302	FGIG_02339, FGIG_12266	SSPN1_2390.1
OG0001303	FGIG_02649	SSPN1_39050.1
OG0001304	FGIG_02940	SSPN1_85410.1, SSPN1_85410.2, SSPN1_85410.3
OG0001305	FGIG_03115	SSPN1_1440.1
OG0001306	FGIG_03213, FGIG_11624	SSPN1_62670.1
OG0001307	FGIG_12121	SSPN1_78510.1
OG0001307	FGIG_08402, FGIG_03373	SSPN1_78490.1
OG0001308	FGIG_03675	SSPN1_91280.1, SSPN1_91280.2
OG0001309	FGIG_03882	SSPN1_71210.1
OG0001310	FGIG_03923, FGIG_03919, FGIG_03920, FGIG_03921, FGIG_03922	SSPN1_26380.1, SSPN1_26390.1, SSPN1_26390.2, SSPN1_26390.4, SSPN1_26390.3
OG0001311	FGIG_04205	SSPN1_42740.1, SSPN1_42740.2
OG0001312	FGIG_04608	SSPN1_30470.2, SSPN1_30470.8, SSPN1_30470.9, SSPN1_30470.3, SSPN1_30470.4, SSPN1_30470.5, SSPN1_30470.6, SSPN1_30470.7, SSPN1_30470.1
OG0001313	FGIG_04711, FGIG_10967, FGIG_04712	SSPN1_40530.4, SSPN1_40530.3, SSPN1_40530.1, SSPN1_40530.2, SSPN1_40530.5
OG0001314	FGIG_04857	SSPN1_19990.1
OG0001315	FGIG_04966	SSPN1_30420.7, SSPN1_30420.3, SSPN1_30420.5, SSPN1_30420.2, SSPN1_30420.1, SSPN1_30420.4, SSPN1_30420.6
OG0001316	FGIG_05223, FGIG_05224	SSPN1_82300.1, SSPN1_82290.1
OG0001318	FGIG_05261	SSPN1_1050.1, SSPN1_1050.4, SSPN1_1050.10, SSPN1_1050.3, SSPN1_1050.8, SSPN1_1050.9, SSPN1_1050.5, SSPN1_1050.6, SSPN1_1050.7, SSPN1_1050.2
OG0001319	FGIG_05871	SSPN1_31430.4, SSPN1_31430.2, SSPN1_31430.1, SSPN1_31430.3
OG0001320	FGIG_06118	SSPN1_60630.1
OG0001322	FGIG_06556	SSPN1_46220.1
OG0001323	FGIG_06678	SSPN1_1190.2, SSPN1_1190.1, SSPN1_1190.3
OG0001324	FGIG_06702	SSPN1_83690.3, SSPN1_83690.1, SSPN1_83690.2, SSPN1_83690.4
OG0001325	FGIG_06784	SSPN1_92640.1, SSPN1_92640.2, SSPN1_92640.3
OG0001326	FGIG_07026, FGIG_12565	SSPN1_51950.1, SSPN1_51950.2, SSPN1_51950.6, SSPN1_51950.7, SSPN1_51950.3, SSPN1_51950.4, SSPN1_51950.5, SSPN1_51950.8
OG0001327	FGIG_07236	SSPN1_87710.1
OG0001328	FGIG_12496, FGIG_07303, FGIG_07304	SSPN1_4390.1
OG0001329	FGIG_07431	SSPN1_6200.5, SSPN1_6200.1, SSPN1_6200.2, SSPN1_6200.3, SSPN1_6200.4
OG0001330	FGIG_07580	SSPN1_29860.1, SSPN1_29860.2, SSPN1_29860.3
OG0001331	FGIG_07615	SSPN1_46630.1
OG0001332	FGIG_07793	SSPN1_57210.1
OG0001332	FGIG_08065	SSPN1_69140.2, SSPN1_69140.3, SSPN1_69140.4, SSPN1_69140.5, SSPN1_69140.1
OG0001333	FGIG_08087	SSPN1_65140.1
OG0001334	FGIG_08335	SSPN1_1490.1, SSPN1_1490.2, SSPN1_1490.3, SSPN1_1490.4
OG0001335	FGIG_08507	SSPN1_29710.1
OG0001336	FGIG_08559	SSPN1_44810.2, SSPN1_44810.1, SSPN1_44820.1
OG0001337	FGIG_08711	SSPN1_52070.1, SSPN1_52070.2
OG0001338	FGIG_08777	SSPN1_33830.1
OG0001339	FGIG_09242	SSPN1_19290.1
OG0001340	FGIG_09253	SSPN1_21570.2, SSPN1_21570.1, SSPN1_21570.3, SSPN1_21570.4, SSPN1_21570.6, SSPN1_21570.7, SSPN1_21570.5
OG0001341	FGIG_09384	SSPN1_74100.3, SSPN1_74100.5, SSPN1_74100.6, SSPN1_74100.2, SSPN1_74100.7, SSPN1_74100.4, SSPN1_74100.1, SSPN1_74100.8
OG0001342	FGIG_12225, FGIG_09592, FGIG_09591	SSPN1_50740.1
OG0001343	FGIG_09648	SSPN1_69170.1, SSPN1_69170.8, SSPN1_69170.5, SSPN1_69170.7, SSPN1_69170.4, SSPN1_69170.2, SSPN1_69170.3, SSPN1_69170.6
OG0001344	FGIG_10334, FGIG_09779	SSPN1_74160.3, SSPN1_74160.1, SSPN1_74160.2, SSPN1_74160.4
OG0001345	FGIG_09899, FGIG_10090	SSPN1_41050.1, SSPN1_41050.2
OG0001346	FGIG_10884, FGIG_10886, FGIG_09989, FGIG_10885	SSPN1_15990.1
OG0001347	FGIG_10057, FGIG_12464	SSPN1_37040.1
OG0001348	FGIG_10100	SSPN1_34990.1, SSPN1_34990.2
OG0001349	FGIG_11879, FGIG_10164	SSPN1_15390.1
OG0001350	FGIG_10314	SSPN1_30070.1, SSPN1_30070.2, SSPN1_30070.3, SSPN1_30070.4
OG0001351	FGIG_10576	SSPN1_22900.1, SSPN1_22890.1
OG0001352	FGIG_10691	SSPN1_22980.1
OG0001353	FGIG_10836, FGIG_11746	SSPN1_61520.1
OG0001354	FGIG_11409	SSPN1_59940.1, SSPN1_59940.2
OG0001355	FGIG_11782	SSPN1_64650.1, SSPN1_64650.2
OG0001356	FGIG_11865	SSPN1_69340.4, SSPN1_69340.2, SSPN1_69340.5, SSPN1_69340.1, SSPN1_69340.3
OG0001357	FGIG_12082	SSPN1_31540.1
OG0001358	FGIG_12429, FGIG_12515	SSPN1_85460.5, SSPN1_85460.6, SSPN1_85460.3, SSPN1_85460.4, SSPN1_85460.1, SSPN1_85460.2, SSPN1_85460.7
OG0001361	FGIG_00002	SSPN1_27450.1
OG0001362	FGIG_10224	SSPN1_29560.1
OG0001363	FGIG_00681	SSPN1_91350.1, SSPN1_91360.1
OG0001364	FGIG_02461, FGIG_00701	SSPN1_82310.9, SSPN1_82310.7, SSPN1_82310.3, SSPN1_82310.6, SSPN1_82310.1, SSPN1_82310.2, SSPN1_82310.4, SSPN1_82310.5, SSPN1_82310.8
OG0001365	FGIG_00793	SSPN1_75110.1
OG0001367	FGIG_00899	SSPN1_91890.1, SSPN1_91890.2, SSPN1_91890.3, SSPN1_91890.4
OG0001368	FGIG_01072	SSPN1_10780.1, SSPN1_10770.3, SSPN1_10770.4, SSPN1_10770.2, SSPN1_10770.1
OG0001369	FGIG_01293, FGIG_11775	SSPN1_86770.1
OG0001370	FGIG_01407	SSPN1_56510.1, SSPN1_56520.1, SSPN1_56510.2, SSPN1_56530.1
OG0001371	FGIG_01436, FGIG_03554, FGIG_05993	SSPN1_34540.1, SSPN1_34530.1
OG0001372	FGIG_01881	SSPN1_33790.3, SSPN1_33790.1, SSPN1_33790.2, SSPN1_33790.4
OG0001373	FGIG_01981	SSPN1_2370.1
OG0001374	FGIG_01999	SSPN1_63380.4, SSPN1_63380.2, SSPN1_63380.1, SSPN1_63380.3
OG0001375	FGIG_02028	SSPN1_74410.1, SSPN1_74410.4, SSPN1_74410.5, SSPN1_74410.6, SSPN1_74410.2, SSPN1_74410.3
OG0001376	FGIG_02276	SSPN1_83570.1
OG0001377	FGIG_02347	SSPN1_61970.1
OG0001378	FGIG_02822, FGIG_02481	SSPN1_3160.1
OG0001379	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106	SSPN1_67400.1
OG0001380	FGIG_02638	SSPN1_57280.1
OG0001381	FGIG_02642, FGIG_12629	SSPN1_70430.1
OG0001382	FGIG_02925	SSPN1_25600.1
OG0001383	FGIG_03190	SSPN1_4020.1
OG0001384	FGIG_03272	SSPN1_84640.1
OG0001385	FGIG_03311, FGIG_03310	SSPN1_22520.1, SSPN1_22520.2
OG0001386	FGIG_03534	SSPN1_42720.1, SSPN1_42720.2
OG0001387	FGIG_03668	SSPN1_83700.1
OG0001388	FGIG_07823, FGIG_03697	SSPN1_19020.1
OG0001389	FGIG_03992	SSPN1_44450.1
OG0001390	FGIG_04023	SSPN1_31220.1
OG0001391	FGIG_04025, FGIG_06537	SSPN1_36330.3, SSPN1_36330.4, SSPN1_36330.1, SSPN1_36330.2
OG0001392	FGIG_04113	SSPN1_17190.1
OG0001393	FGIG_04241	SSPN1_14470.1, SSPN1_14480.1
OG0001394	FGIG_04248	SSPN1_73390.1, SSPN1_73390.2, SSPN1_73390.3, SSPN1_73390.4, SSPN1_73390.5
OG0001395	FGIG_04272	SSPN1_85400.1, SSPN1_85400.2
OG0001395	FGIG_12176	SSPN1_24640.1
OG0001396	FGIG_04364	SSPN1_46270.1, SSPN1_46280.4, SSPN1_46280.1, SSPN1_46280.3, SSPN1_46280.2, SSPN1_46280.5
OG0001397	FGIG_04602	SSPN1_61850.1
OG0001398	FGIG_04627	SSPN1_19260.2, SSPN1_19260.1, SSPN1_19260.5, SSPN1_19260.3, SSPN1_19260.4
OG0001399	FGIG_04632, FGIG_05593	SSPN1_88480.3, SSPN1_88480.5, SSPN1_88480.4, SSPN1_88480.7, SSPN1_88480.6, SSPN1_88480.2, SSPN1_88480.1
OG0001400	FGIG_04740	SSPN1_82560.1, SSPN1_77980.5, SSPN1_77980.4, SSPN1_77980.1, SSPN1_77980.3, SSPN1_77980.2, SSPN1_77980.6
OG0001401	FGIG_05531, FGIG_04791	SSPN1_48990.1, SSPN1_49000.1, SSPN1_48980.1
OG0001402	FGIG_04917	SSPN1_25000.1, SSPN1_25000.2
OG0001403	FGIG_05254, FGIG_05255	SSPN1_53250.1
OG0001404	FGIG_05319	SSPN1_12420.1
OG0001405	FGIG_05965	SSPN1_37480.1
OG0001406	FGIG_06203	SSPN1_28150.1
OG0001408	FGIG_06264, FGIG_07363	SSPN1_23340.1, SSPN1_23310.1
OG0001409	FGIG_06287, FGIG_09995	SSPN1_48050.1
OG0001410	FGIG_06538	SSPN1_35930.1, SSPN1_35940.1
OG0001411	FGIG_06544	SSPN1_27430.3, SSPN1_27430.4, SSPN1_27430.1, SSPN1_27430.2
OG0001412	FGIG_06774	SSPN1_27530.3, SSPN1_27530.4, SSPN1_27530.2, SSPN1_27530.1
OG0001413	FGIG_06924	SSPN1_90720.1
OG0001414	FGIG_07348	SSPN1_4210.1, SSPN1_4210.2, SSPN1_4210.4, SSPN1_4210.5, SSPN1_4210.3
OG0001415	FGIG_07500	SSPN1_30230.1
OG0001416	FGIG_07696	SSPN1_16050.3, SSPN1_16050.1, SSPN1_16050.5, SSPN1_16050.4, SSPN1_16050.2
OG0001417	FGIG_07741, FGIG_12559	SSPN1_16940.1, SSPN1_16940.2
OG0001418	FGIG_07825	SSPN1_550.1, SSPN1_550.2, SSPN1_550.3, SSPN1_550.4
OG0001419	FGIG_07870, FGIG_10679	SSPN1_58470.1, SSPN1_58470.2, SSPN1_58470.4, SSPN1_58470.3
OG0001420	FGIG_07881	SSPN1_79380.1, SSPN1_79380.2, SSPN1_79380.3
OG0001421	FGIG_07907	SSPN1_34170.1, SSPN1_34170.2
OG0001422	FGIG_08355	SSPN1_72190.1
OG0001423	FGIG_08436	SSPN1_19330.1, SSPN1_19330.2
OG0001424	FGIG_09248, FGIG_12263, FGIG_08684	SSPN1_21460.1
OG0001425	FGIG_08864	SSPN1_24450.5
OG0001426	FGIG_09477	SSPN1_6120.1, SSPN1_6120.3, SSPN1_6120.2, SSPN1_6120.5, SSPN1_6120.8, SSPN1_6120.10, SSPN1_6120.6, SSPN1_6120.9, SSPN1_6120.4, SSPN1_6120.7
OG0001427	FGIG_09959, FGIG_09960, FGIG_09551	SSPN1_25010.6, SSPN1_25010.5, SSPN1_25010.4, SSPN1_25010.1, SSPN1_25010.2, SSPN1_25010.3
OG0001428	FGIG_09685	SSPN1_2490.1
OG0001429	FGIG_09736	SSPN1_51300.1, SSPN1_51300.2
OG0001430	FGIG_09780, FGIG_09781	SSPN1_53330.1, SSPN1_53320.1
OG0001431	FGIG_09903	SSPN1_59260.1
OG0001432	FGIG_10624, FGIG_10046	SSPN1_20960.1
OG0001433	FGIG_10236	SSPN1_10210.1, SSPN1_10210.3, SSPN1_10210.2
OG0001434	FGIG_10315	SSPN1_91600.1, SSPN1_91580.1, SSPN1_91580.2
OG0001435	FGIG_10602	SSPN1_74430.1, SSPN1_74430.3, SSPN1_74430.2
OG0001436	FGIG_10675	SSPN1_74810.1, SSPN1_74810.2, SSPN1_74810.3
OG0001437	FGIG_11037	SSPN1_48420.1, SSPN1_52790.1, SSPN1_52800.1
OG0001438	FGIG_12188, FGIG_11078	SSPN1_11790.1
OG0001439	FGIG_11413	SSPN1_72860.1
OG0001440	FGIG_11566, FGIG_11647	SSPN1_33650.1
OG0001441	FGIG_11575	SSPN1_86040.1
OG0001442	FGIG_12309	SSPN1_61780.1, SSPN1_61780.2
OG0001443	FGIG_12392	SSPN1_12290.1, SSPN1_12290.2, SSPN1_12290.3, SSPN1_12290.4
OG0001453	FGIG_00007	SSPN1_50590.1
OG0001454	FGIG_00100	SSPN1_79600.1
OG0001455	FGIG_00375	SSPN1_92760.1, SSPN1_92760.2, SSPN1_92760.3
OG0001456	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394	SSPN1_66150.1
OG0001457	FGIG_00527	SSPN1_5160.3, SSPN1_5160.1, SSPN1_5160.2, SSPN1_5160.4
OG0001458	FGIG_00598	SSPN1_29110.2, SSPN1_29110.5, SSPN1_29110.3, SSPN1_29110.4, SSPN1_29110.1, SSPN1_29110.6, SSPN1_29110.8, SSPN1_29110.7
OG0001459	FGIG_00625	SSPN1_55200.1, SSPN1_55190.1
OG0001460	FGIG_00746	SSPN1_34850.1, SSPN1_34850.2
OG0001461	FGIG_00812	SSPN1_27150.1
OG0001462	FGIG_00838	SSPN1_55620.2, SSPN1_55620.3, SSPN1_55620.1
OG0001463	FGIG_00845, FGIG_00847, FGIG_00842	SSPN1_64680.1
OG0001464	FGIG_01002, FGIG_01001	SSPN1_51550.1, SSPN1_51550.3, SSPN1_51550.2
OG0001465	FGIG_01084, FGIG_01085, FGIG_01083	SSPN1_72410.1
OG0001466	FGIG_01468	SSPN1_4900.1, SSPN1_4900.2, SSPN1_4900.3
OG0001467	FGIG_01527	SSPN1_61230.1
OG0001468	FGIG_01678	SSPN1_4510.4, SSPN1_4510.3, SSPN1_4510.1, SSPN1_4510.2
OG0001469	FGIG_02035	SSPN1_79200.4, SSPN1_79200.2, SSPN1_79200.3, SSPN1_79200.1
OG0001470	FGIG_02478	SSPN1_59950.1, SSPN1_59950.2, SSPN1_59950.3, SSPN1_59950.5, SSPN1_59950.4
OG0001471	FGIG_02485	SSPN1_63650.1, SSPN1_63690.1, SSPN1_55050.3, SSPN1_63720.1, SSPN1_63710.1, SSPN1_81090.1, SSPN1_55050.2, SSPN1_55050.1, SSPN1_21180.1, SSPN1_63700.1
OG0001472	FGIG_02729	SSPN1_60060.3, SSPN1_60060.4, SSPN1_60060.1, SSPN1_60060.2
OG0001473	FGIG_02731	SSPN1_71160.1, SSPN1_71160.2
OG0001474	FGIG_03047	SSPN1_39250.1
OG0001475	FGIG_03100	SSPN1_52730.1, SSPN1_52730.3, SSPN1_52730.2
OG0001476	FGIG_03317, FGIG_03318, FGIG_03319	SSPN1_8350.5, SSPN1_8350.3, SSPN1_8350.1, SSPN1_8350.2, SSPN1_8350.4
OG0001477	FGIG_05669, FGIG_03473	SSPN1_53880.1
OG0001478	FGIG_03510	SSPN1_21000.1
OG0001479	FGIG_03824, FGIG_03823	SSPN1_21580.1, SSPN1_21580.2, SSPN1_21580.3, SSPN1_21580.4, SSPN1_21580.5
OG0001480	FGIG_03902, FGIG_09394	SSPN1_19700.1, SSPN1_19700.3, SSPN1_19700.2
OG0001481	FGIG_03954	SSPN1_46060.1, SSPN1_46050.1, SSPN1_46050.2, SSPN1_46060.2
OG0001482	FGIG_03987, FGIG_03989	SSPN1_88790.1
OG0001483	FGIG_04016, FGIG_04017	SSPN1_68870.1
OG0001484	FGIG_04029	SSPN1_22010.1, SSPN1_22010.2
OG0001485	FGIG_04100	SSPN1_37050.1
OG0001486	FGIG_04199	SSPN1_51120.1, SSPN1_51120.2, SSPN1_51120.4, SSPN1_51120.3, SSPN1_51130.2, SSPN1_51130.1
OG0001487	FGIG_04338	SSPN1_23650.1, SSPN1_23650.2
OG0001488	FGIG_10101	SSPN1_34980.1
OG0001488	FGIG_04424, FGIG_09377	SSPN1_91920.1
OG0001489	FGIG_04514	SSPN1_24370.1
OG0001490	FGIG_04737	SSPN1_30450.2, SSPN1_30450.7, SSPN1_30450.3, SSPN1_30450.4, SSPN1_30450.6, SSPN1_30450.1, SSPN1_30450.5, SSPN1_30450.10, SSPN1_30450.8, SSPN1_30450.9
OG0001491	FGIG_04881	SSPN1_5510.1, SSPN1_5510.2, SSPN1_5510.3, SSPN1_5510.4
OG0001492	FGIG_05028	SSPN1_46910.1, SSPN1_47090.1
OG0001493	FGIG_05082	SSPN1_44480.1
OG0001494	FGIG_05163	SSPN1_25380.3, SSPN1_25380.4, SSPN1_25380.1, SSPN1_25380.2
