Orthogroup	fasciola_gigantica	schistosoma_mattheei
OG0001369	FGIG_01293, FGIG_11775	SMTH1_99050.1, SMTH1_99050.4, SMTH1_99050.2, SMTH1_99050.3
OG0001370	FGIG_01407	SMTH1_65000.1, SMTH1_65000.2, SMTH1_65000.3, SMTH1_65000.4, SMTH1_65000.5
OG0001371	FGIG_01436, FGIG_03554, FGIG_05993	SMTH1_40320.1
OG0001372	FGIG_01881	SMTH1_41260.1
OG0001373	FGIG_01981	SMTH1_2840.2, SMTH1_2840.1, SMTH1_2840.3
OG0001374	FGIG_01999	SMTH1_67630.1
OG0001375	FGIG_02028	SMTH1_85960.1, SMTH1_85960.2, SMTH1_85960.3, SMTH1_85960.4
OG0001376	FGIG_02276	SMTH1_96490.1, SMTH1_96490.2, SMTH1_100180.1
OG0001377	FGIG_02347	SMTH1_69140.1
OG0001378	FGIG_02822, FGIG_02481	SMTH1_3850.3, SMTH1_3850.4, SMTH1_3850.5, SMTH1_3850.1, SMTH1_3850.2
OG0001379	FGIG_02623, FGIG_11407, FGIG_11408, FGIG_09106	SMTH1_77700.1, SMTH1_77690.1, SMTH1_77680.1
OG0001380	FGIG_02638	SMTH1_65820.3, SMTH1_65820.1, SMTH1_65820.2
OG0001381	FGIG_02642, FGIG_12629	SMTH1_81550.1
OG0001382	FGIG_02925	SMTH1_29490.4, SMTH1_29490.1, SMTH1_29490.2, SMTH1_29490.3
OG0001383	FGIG_03190	SMTH1_4740.1
OG0001384	FGIG_03272	SMTH1_97430.1
OG0001385	FGIG_03311, FGIG_03310	SMTH1_25910.1, SMTH1_25920.1
OG0001386	FGIG_03534	SMTH1_49140.1
OG0001387	FGIG_03668	SMTH1_96330.1
OG0001388	FGIG_07823, FGIG_03697	SMTH1_12850.1, SMTH1_12840.1
OG0001389	FGIG_03992	SMTH1_51250.1
OG0001390	FGIG_04023	SMTH1_44260.1, SMTH1_44260.2, SMTH1_44260.3
OG0001391	FGIG_04025, FGIG_06537	SMTH1_38410.1
OG0001392	FGIG_04113	SMTH1_14090.1
OG0001393	FGIG_04241	SMTH1_17990.1
OG0001394	FGIG_04248	SMTH1_84830.4, SMTH1_84830.3, SMTH1_84830.1, SMTH1_84830.2
OG0001395	FGIG_04272	SMTH1_98220.1
OG0001395	FGIG_12176	SMTH1_28440.1
OG0001396	FGIG_04364	SMTH1_53330.1, SMTH1_53350.1
OG0001397	FGIG_04602	SMTH1_69320.2, SMTH1_69320.1, SMTH1_69320.5, SMTH1_69320.3, SMTH1_69320.4
OG0001398	FGIG_04627	SMTH1_12600.4, SMTH1_12600.1, SMTH1_12600.2, SMTH1_12600.3
OG0001399	FGIG_04632, FGIG_05593	SMTH1_101960.1
OG0001400	FGIG_04740	SMTH1_90710.1
OG0001401	FGIG_05531, FGIG_04791	SMTH1_56590.1
OG0001402	FGIG_04917	SMTH1_28790.1, SMTH1_28790.3, SMTH1_28790.2
OG0001403	FGIG_05254, FGIG_05255	SMTH1_61290.1, SMTH1_61290.2
OG0001404	FGIG_05319	SMTH1_21590.1
OG0001405	FGIG_05965	SMTH1_37230.1
OG0001406	FGIG_06203	SMTH1_32480.1, SMTH1_32480.2, SMTH1_32480.3, SMTH1_32480.4
OG0001408	FGIG_06264, FGIG_07363	SMTH1_26950.1, SMTH1_26930.1
OG0001409	FGIG_06287, FGIG_09995	SMTH1_55540.1, SMTH1_55530.1
OG0001410	FGIG_06538	SMTH1_38860.1, SMTH1_38850.1
OG0001411	FGIG_06544	SMTH1_31630.1, SMTH1_31630.3, SMTH1_31630.2, SMTH1_31630.4, SMTH1_31630.5
OG0001412	FGIG_06774	SMTH1_31730.1
OG0001413	FGIG_06924	SMTH1_104670.1
OG0001414	FGIG_07348	SMTH1_4980.1, SMTH1_4970.1
OG0001415	FGIG_07500	SMTH1_34810.5, SMTH1_34810.1, SMTH1_34810.3, SMTH1_34810.2, SMTH1_34810.4
OG0001416	FGIG_07696	SMTH1_16240.2, SMTH1_16240.4, SMTH1_16240.6, SMTH1_16240.1, SMTH1_16240.3, SMTH1_16240.5
OG0001417	FGIG_07741, FGIG_12559	SMTH1_13820.1, SMTH1_13830.1
OG0001418	FGIG_07825	SMTH1_130.1, SMTH1_130.2, SMTH1_130.3, SMTH1_130.4
OG0001419	FGIG_07870, FGIG_10679	SMTH1_73650.1, SMTH1_73650.2, SMTH1_73650.3
OG0001420	FGIG_07881	SMTH1_91540.1, SMTH1_91540.2, SMTH1_91540.3, SMTH1_91540.5, SMTH1_91540.4
OG0001421	FGIG_07907	SMTH1_40690.1
OG0001422	FGIG_08355	SMTH1_83420.1, SMTH1_83420.2, SMTH1_83420.3
OG0001423	FGIG_08436	SMTH1_12510.1
OG0001424	FGIG_09248, FGIG_12263, FGIG_08684	SMTH1_10570.1
OG0001425	FGIG_08864	SMTH1_28220.2, SMTH1_28220.1
OG0001427	FGIG_09959, FGIG_09960, FGIG_09551	SMTH1_28800.1, SMTH1_28810.1
OG0001428	FGIG_09685	SMTH1_3020.1, SMTH1_3020.2, SMTH1_3020.3, SMTH1_3020.4, SMTH1_3020.5, SMTH1_3020.6, SMTH1_3020.7
OG0001429	FGIG_09736	SMTH1_59120.1, SMTH1_59120.2
OG0001430	FGIG_09780, FGIG_09781	SMTH1_61390.1, SMTH1_61380.1
OG0001431	FGIG_09903	SMTH1_72690.1
OG0001432	FGIG_10624, FGIG_10046	SMTH1_24130.1
OG0001433	FGIG_10236	SMTH1_22930.3, SMTH1_22930.2, SMTH1_22930.4, SMTH1_22930.1
OG0001434	FGIG_10315	SMTH1_105570.1
OG0001435	FGIG_10602	SMTH1_85980.2, SMTH1_85980.1
OG0001436	FGIG_10675	SMTH1_86440.1
OG0001437	FGIG_11037	SMTH1_56010.1, SMTH1_56010.2, SMTH1_56010.3, SMTH1_60770.1
OG0001438	FGIG_12188, FGIG_11078	SMTH1_20940.2, SMTH1_20940.3, SMTH1_20940.1
OG0001439	FGIG_11413	SMTH1_84210.1
OG0001440	FGIG_11566, FGIG_11647	SMTH1_41450.1, SMTH1_41450.2, SMTH1_41450.3
OG0001441	FGIG_11575	SMTH1_99930.1, SMTH1_99940.1
OG0001442	FGIG_12309	SMTH1_69410.1, SMTH1_69410.3, SMTH1_69410.2
OG0001443	FGIG_12392	SMTH1_21470.1
OG0001453	FGIG_00007	SMTH1_58330.1
OG0001454	FGIG_00100	SMTH1_91740.1
OG0001455	FGIG_00375	SMTH1_106700.1, SMTH1_106700.2, SMTH1_106700.3, SMTH1_106700.4, SMTH1_106700.5, SMTH1_106700.6
OG0001456	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394	SMTH1_76260.1, SMTH1_76280.1
OG0001457	FGIG_00527	SMTH1_6040.1, SMTH1_6040.2
OG0001458	FGIG_00598	SMTH1_33430.1, SMTH1_33430.2, SMTH1_33430.3
OG0001459	FGIG_00625	SMTH1_63500.1, SMTH1_63490.1
OG0001460	FGIG_00746	SMTH1_39950.1
OG0001461	FGIG_00812	SMTH1_31330.1, SMTH1_31330.10, SMTH1_31330.11, SMTH1_31330.12, SMTH1_31330.2, SMTH1_31330.3, SMTH1_31330.4, SMTH1_31330.5, SMTH1_31330.6, SMTH1_31330.7, SMTH1_31330.8, SMTH1_31330.9
OG0001462	FGIG_00838	SMTH1_64000.1, SMTH1_64000.2
OG0001463	FGIG_00845, FGIG_00847, FGIG_00842	SMTH1_66150.1, SMTH1_66170.1, SMTH1_66160.1
OG0001464	FGIG_01002, FGIG_01001	SMTH1_59420.1
OG0001465	FGIG_01084, FGIG_01085, FGIG_01083	SMTH1_83660.1, SMTH1_83670.1
OG0001466	FGIG_01468	SMTH1_5760.1, SMTH1_5760.2, SMTH1_5760.3, SMTH1_5760.4
OG0001467	FGIG_01527	SMTH1_69980.1
OG0001468	FGIG_01678	SMTH1_5310.1, SMTH1_5300.1
OG0001469	FGIG_02035	SMTH1_91370.1
OG0001470	FGIG_02478	SMTH1_71840.1
OG0001471	FGIG_02485	SMTH1_67280.1
OG0001472	FGIG_02729	SMTH1_71740.1
OG0001473	FGIG_02731	SMTH1_82380.1
OG0001474	FGIG_03047	SMTH1_45110.5, SMTH1_45110.4, SMTH1_45110.1, SMTH1_45110.2, SMTH1_45110.3, SMTH1_45110.6
OG0001475	FGIG_03100	SMTH1_60700.1
OG0001476	FGIG_03317, FGIG_03318, FGIG_03319	SMTH1_9610.1, SMTH1_9620.1
OG0001477	FGIG_05669, FGIG_03473	SMTH1_62040.1
OG0001478	FGIG_03510	SMTH1_24180.1
OG0001479	FGIG_03824, FGIG_03823	SMTH1_10750.1, SMTH1_10770.1, SMTH1_10760.1, SMTH1_10740.1
OG0001480	FGIG_03902, FGIG_09394	SMTH1_12160.1, SMTH1_12160.2, SMTH1_12160.3
OG0001481	FGIG_03954	SMTH1_53080.1, SMTH1_53090.1
OG0001482	FGIG_03987, FGIG_03989	SMTH1_102460.1, SMTH1_102470.1
OG0001483	FGIG_04016, FGIG_04017	SMTH1_79710.1
OG0001484	FGIG_04029	SMTH1_25180.1, SMTH1_25180.3, SMTH1_25180.2, SMTH1_25180.4
OG0001485	FGIG_04100	SMTH1_37650.1, SMTH1_37650.2
OG0001486	FGIG_04199	SMTH1_58910.1
OG0001487	FGIG_04338	SMTH1_27320.2, SMTH1_27320.1, SMTH1_27320.3, SMTH1_27320.4, SMTH1_107440.1
OG0001488	FGIG_10101	SMTH1_39820.1
OG0001488	FGIG_04424, FGIG_09377	SMTH1_105930.1
OG0001489	FGIG_04514	SMTH1_28140.1
OG0001490	FGIG_04737	SMTH1_35050.1
OG0001491	FGIG_04881	SMTH1_6410.1, SMTH1_6410.4, SMTH1_6410.2, SMTH1_6410.3
OG0001492	FGIG_05028	SMTH1_54180.1, SMTH1_54170.1, SMTH1_54180.2, SMTH1_54190.1
OG0001493	FGIG_05082	SMTH1_51270.1, SMTH1_51280.1, SMTH1_51290.1
OG0001494	FGIG_05163	SMTH1_29260.1
OG0001495	FGIG_05214	SMTH1_8680.1
OG0001496	FGIG_05312	SMTH1_84290.1
OG0001497	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298	SMTH1_38240.1
OG0001498	FGIG_05326	SMTH1_50490.1
OG0001499	FGIG_05475	SMTH1_71580.1, SMTH1_71580.3, SMTH1_71580.2, SMTH1_71580.4
OG0001500	FGIG_05484	SMTH1_73850.1
OG0001501	FGIG_05719	SMTH1_103080.8, SMTH1_103080.1, SMTH1_103080.3, SMTH1_103080.4, SMTH1_103080.5, SMTH1_103080.6, SMTH1_103080.7, SMTH1_103080.2
OG0001502	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911	SMTH1_800.1, SMTH1_830.1, SMTH1_750.1, SMTH1_740.1
OG0001503	FGIG_05914, FGIG_05913, FGIG_12549	SMTH1_57650.1, SMTH1_57650.2, SMTH1_57650.3
OG0001504	FGIG_06003	SMTH1_70540.1
OG0001505	FGIG_06009, FGIG_06008, FGIG_11726	SMTH1_103630.3, SMTH1_103630.2, SMTH1_103630.1
OG0001506	FGIG_11884, FGIG_06191	SMTH1_15890.1
OG0001507	FGIG_06422	SMTH1_58160.1
OG0001508	FGIG_06515	SMTH1_43070.1
OG0001509	FGIG_08725, FGIG_06689, FGIG_11470	SMTH1_84590.1
OG0001511	FGIG_07488	SMTH1_35290.1, SMTH1_35290.2
OG0001512	FGIG_07543, FGIG_08646	SMTH1_79610.1
OG0001513	FGIG_07584	SMTH1_16150.1, SMTH1_16140.1, SMTH1_16140.2
OG0001514	FGIG_11472, FGIG_07598	SMTH1_2080.1
OG0001515	FGIG_07783	SMTH1_2750.1, SMTH1_10420.1, SMTH1_63770.1, SMTH1_63790.1, SMTH1_63790.2
OG0001516	FGIG_08344	SMTH1_21860.1
OG0001516	FGIG_08392	SMTH1_21840.1
OG0001517	FGIG_08150	SMTH1_30460.1, SMTH1_30460.2, SMTH1_30460.3, SMTH1_30460.4, SMTH1_30460.5, SMTH1_30460.6, SMTH1_30460.7
OG0001518	FGIG_08552, FGIG_08418	SMTH1_84370.1
OG0001519	FGIG_08498	SMTH1_84170.1
OG0001520	FGIG_08941	SMTH1_9740.1
OG0001521	FGIG_09187	SMTH1_61110.1, SMTH1_61110.2
OG0001522	FGIG_09207	SMTH1_11160.2, SMTH1_11160.1, SMTH1_11160.3, SMTH1_11160.4, SMTH1_11160.5, SMTH1_11160.6
OG0001523	FGIG_09296	SMTH1_54310.1
OG0001524	FGIG_09430	SMTH1_89870.1
OG0001525	FGIG_10654, FGIG_09632	SMTH1_37550.1, SMTH1_37550.2, SMTH1_37550.3
OG0001526	FGIG_09633	SMTH1_58890.1, SMTH1_58890.2, SMTH1_58890.3, SMTH1_58890.4
OG0001527	FGIG_09634	SMTH1_99110.1, SMTH1_99110.2, SMTH1_99110.3
OG0001528	FGIG_09818, FGIG_10180	SMTH1_46430.1, SMTH1_47790.1
OG0001529	FGIG_09837	SMTH1_107820.1, SMTH1_107820.2, SMTH1_65440.1, SMTH1_65440.2
OG0001530	FGIG_09879	SMTH1_52000.1, SMTH1_52000.2
OG0001531	FGIG_10103	SMTH1_18470.1
OG0001532	FGIG_10146, FGIG_10147	SMTH1_3520.1
OG0001533	FGIG_10179	SMTH1_65260.1
OG0001534	FGIG_10287	SMTH1_82720.1
OG0001535	FGIG_10930, FGIG_10298	SMTH1_96770.1
OG0001536	FGIG_10698	SMTH1_22940.1, SMTH1_22940.2
OG0001537	FGIG_11105	SMTH1_1770.1, SMTH1_1750.1, SMTH1_1730.1
OG0001538	FGIG_11361	SMTH1_97640.1
OG0001539	FGIG_11593	SMTH1_1930.1, SMTH1_1930.2, SMTH1_1930.3
OG0001540	FGIG_11704	SMTH1_43370.10, SMTH1_43370.7, SMTH1_43370.2, SMTH1_43370.3, SMTH1_43370.1, SMTH1_43370.4, SMTH1_43370.11, SMTH1_43370.5, SMTH1_43370.12, SMTH1_43370.8, SMTH1_43370.9, SMTH1_43370.6, SMTH1_43340.1
OG0001541	FGIG_11817	SMTH1_93210.1, SMTH1_93210.2
OG0001542	FGIG_11924	SMTH1_53880.4, SMTH1_53880.1, SMTH1_53880.2, SMTH1_53880.3
OG0001543	FGIG_11936	SMTH1_93100.1, SMTH1_93100.2, SMTH1_93100.3, SMTH1_93100.4, SMTH1_93100.5
OG0001544	FGIG_12130, FGIG_12131	SMTH1_14150.1, SMTH1_14150.2, SMTH1_14150.3, SMTH1_14150.4
OG0001554	FGIG_07971, FGIG_07969	SMTH1_34110.1
OG0001555	FGIG_00531, FGIG_00530, FGIG_00127	SMTH1_84330.1, SMTH1_84300.1, SMTH1_84310.1
OG0001556	FGIG_00492	SMTH1_35820.1
OG0001557	FGIG_00563	SMTH1_45810.4, SMTH1_45810.1, SMTH1_45810.2, SMTH1_45810.3
OG0001558	FGIG_00593	SMTH1_89620.1
OG0001560	FGIG_00841	SMTH1_70250.1, SMTH1_70250.4, SMTH1_70250.5, SMTH1_70250.2, SMTH1_70250.3
OG0001561	FGIG_00934, FGIG_03387	SMTH1_51320.1
OG0001562	FGIG_01022	SMTH1_83140.1, SMTH1_83150.1, SMTH1_83150.2, SMTH1_83150.3
OG0001563	FGIG_01149	SMTH1_48730.1, SMTH1_48730.2, SMTH1_48730.3, SMTH1_48730.5, SMTH1_48730.6, SMTH1_48730.4
OG0001564	FGIG_12337, FGIG_01165, FGIG_01166	SMTH1_54720.1, SMTH1_54730.1
OG0001565	FGIG_01252	SMTH1_72140.1, SMTH1_72140.2, SMTH1_72140.4, SMTH1_72140.3
OG0001566	FGIG_01332, FGIG_01331	SMTH1_70100.1, SMTH1_70110.1
OG0001567	FGIG_01351, FGIG_02042	SMTH1_86300.1, SMTH1_86300.2
OG0001568	FGIG_01381, FGIG_10926	SMTH1_89290.3, SMTH1_89290.2, SMTH1_89290.1, SMTH1_89290.4
OG0001569	FGIG_01430	SMTH1_24670.1, SMTH1_24670.2, SMTH1_24670.3, SMTH1_24670.4
OG0001570	FGIG_01497	SMTH1_78710.1
OG0001571	FGIG_08212	SMTH1_900.1, SMTH1_890.1
OG0001571	FGIG_01541	SMTH1_7380.1
OG0001572	FGIG_01643	SMTH1_70140.1
OG0001573	FGIG_01771	SMTH1_29360.1
OG0001574	FGIG_01776	SMTH1_39130.1
OG0001575	FGIG_01819	SMTH1_13060.1, SMTH1_13070.1
OG0001576	FGIG_01874, FGIG_01873	SMTH1_98140.1
OG0001577	FGIG_02105	SMTH1_32210.1, SMTH1_32210.2
OG0001578	FGIG_02177	SMTH1_62640.1
OG0001579	FGIG_02212	SMTH1_18730.1
OG0001580	FGIG_02237	SMTH1_46850.1, SMTH1_46860.1
OG0001581	FGIG_02435	SMTH1_87470.1
OG0001582	FGIG_02459	SMTH1_62240.1
OG0001583	FGIG_02462	SMTH1_46730.1, SMTH1_46740.1
OG0001584	FGIG_02509, FGIG_02508	SMTH1_38550.3, SMTH1_38550.1, SMTH1_38550.2
OG0001585	FGIG_02700	SMTH1_44790.1
OG0001586	FGIG_02757	SMTH1_19790.1
OG0001587	FGIG_02789, FGIG_08846	SMTH1_20810.1
OG0001588	FGIG_03013	SMTH1_69850.1, SMTH1_69850.2, SMTH1_69850.3, SMTH1_69850.4
OG0001589	FGIG_03031	SMTH1_37820.1
OG0001590	FGIG_03074	SMTH1_77120.1
OG0001591	FGIG_03110	SMTH1_107060.1, SMTH1_107050.1
OG0001592	FGIG_03254	SMTH1_20630.1, SMTH1_20630.3, SMTH1_20630.2
OG0001593	FGIG_03389	SMTH1_68250.1, SMTH1_68240.1
OG0001594	FGIG_03404	SMTH1_40260.1, SMTH1_40260.2, SMTH1_40260.3
OG0001595	FGIG_03681	SMTH1_72900.2, SMTH1_72900.1, SMTH1_72900.3, SMTH1_72900.6, SMTH1_72900.4, SMTH1_72900.5
OG0001596	FGIG_03686	SMTH1_89100.1, SMTH1_89110.1
OG0001597	FGIG_03710	SMTH1_81560.2, SMTH1_81560.3, SMTH1_81560.1
OG0001598	FGIG_03711	SMTH1_50970.1
OG0001599	FGIG_03826	SMTH1_77640.1
OG0001600	FGIG_03860	SMTH1_33330.1
OG0001601	FGIG_04047	SMTH1_73620.1
OG0001602	FGIG_04252	SMTH1_14980.1, SMTH1_14980.2, SMTH1_14990.1
OG0001604	FGIG_04790	SMTH1_27360.1
OG0001605	FGIG_04843, FGIG_04842	SMTH1_17350.1
OG0001606	FGIG_09218, FGIG_09219, FGIG_05027	SMTH1_25510.1, SMTH1_25490.1, SMTH1_25500.1
OG0001607	FGIG_05053, FGIG_08672	SMTH1_77190.4, SMTH1_77190.1, SMTH1_77190.2, SMTH1_77190.3, SMTH1_77190.5
OG0001608	FGIG_05065	SMTH1_57560.1
OG0001609	FGIG_05088	SMTH1_79650.1, SMTH1_79650.2, SMTH1_79650.3
OG0001610	FGIG_07389	SMTH1_105870.1
OG0001610	FGIG_08349, FGIG_05093	SMTH1_40830.1
OG0001611	FGIG_05457	SMTH1_67180.1
OG0001612	FGIG_05464	SMTH1_1850.1
OG0001613	FGIG_05500	SMTH1_82450.1
OG0001614	FGIG_05538, FGIG_05540	SMTH1_44640.1, SMTH1_44630.1
OG0001615	FGIG_05541	SMTH1_44660.1
OG0001616	FGIG_05680	SMTH1_11840.1
OG0001617	FGIG_05780	SMTH1_60460.1
OG0001618	FGIG_05781, FGIG_05782	SMTH1_43480.1
OG0001619	FGIG_05824	SMTH1_60340.1
OG0001620	FGIG_06091	SMTH1_37580.1
OG0001621	FGIG_06135	SMTH1_960.1
OG0001622	FGIG_06211, FGIG_06210	SMTH1_94020.1, SMTH1_93990.1, SMTH1_93990.2
OG0001623	FGIG_06565	SMTH1_8550.2, SMTH1_8550.1, SMTH1_8550.3
OG0001624	FGIG_07374, FGIG_06649	SMTH1_45770.1, SMTH1_45780.1
OG0001625	FGIG_11741, FGIG_06687	SMTH1_69790.1, SMTH1_69770.1
OG0001626	FGIG_06845	SMTH1_35930.2, SMTH1_35930.3
OG0001627	FGIG_06856	SMTH1_80960.2, SMTH1_80960.1, SMTH1_80960.3
OG0001628	FGIG_06970	SMTH1_18030.1, SMTH1_18030.2, SMTH1_18030.3, SMTH1_18030.4, SMTH1_18030.5, SMTH1_18030.6
OG0001629	FGIG_07009	SMTH1_2460.1, SMTH1_2460.2
OG0001630	FGIG_07208	SMTH1_10380.1
OG0001631	FGIG_07316	SMTH1_99830.1, SMTH1_99840.1
OG0001632	FGIG_07391	SMTH1_74650.1, SMTH1_74650.2, SMTH1_74650.3
OG0001633	FGIG_07448	SMTH1_105180.1
OG0001634	FGIG_07519	SMTH1_96890.1, SMTH1_96890.2
OG0001635	FGIG_07538, FGIG_07539	SMTH1_5780.4, SMTH1_5780.1, SMTH1_5780.2, SMTH1_5780.3
OG0001636	FGIG_07566	SMTH1_83240.1, SMTH1_83240.5, SMTH1_83240.6, SMTH1_83240.2, SMTH1_83240.7, SMTH1_83240.3, SMTH1_83240.4
OG0001637	FGIG_07660	SMTH1_64600.1
OG0001638	FGIG_07831	SMTH1_7730.1
OG0001639	FGIG_08142	SMTH1_18400.1, SMTH1_18400.2, SMTH1_18430.1, SMTH1_18440.1
OG0001640	FGIG_08389	SMTH1_22670.2, SMTH1_22670.1, SMTH1_22670.6, SMTH1_22670.7, SMTH1_22670.3, SMTH1_22670.4, SMTH1_22670.5
OG0001641	FGIG_08605	SMTH1_98580.1, SMTH1_98590.1
OG0001643	FGIG_08854	SMTH1_66330.1
OG0001644	FGIG_09142	SMTH1_54840.1, SMTH1_54840.2, SMTH1_54840.3
OG0001645	FGIG_09151, FGIG_10352	SMTH1_105640.1, SMTH1_105620.1, SMTH1_105630.1
OG0001646	FGIG_09195	SMTH1_61920.3, SMTH1_61920.2, SMTH1_61920.1
OG0001647	FGIG_09206	SMTH1_46620.1
OG0001648	FGIG_09300	SMTH1_89030.1
OG0001649	FGIG_09378	SMTH1_15510.2, SMTH1_15510.6, SMTH1_15510.4, SMTH1_15510.1, SMTH1_15510.3, SMTH1_15510.5, SMTH1_15510.8, SMTH1_15510.7, SMTH1_15520.1
OG0001650	FGIG_10424, FGIG_12069	SMTH1_81320.1, SMTH1_81320.2, SMTH1_81320.4, SMTH1_81320.3
OG0001651	FGIG_10542	SMTH1_2540.1
OG0001652	FGIG_10655	SMTH1_79570.1
OG0001653	FGIG_10856	SMTH1_12040.1, SMTH1_12040.2, SMTH1_12040.3
OG0001654	FGIG_11347	SMTH1_100730.1
OG0001655	FGIG_11826	SMTH1_75200.2, SMTH1_75200.1, SMTH1_75200.3, SMTH1_75200.4
OG0001656	FGIG_12138	SMTH1_97550.3, SMTH1_97550.1, SMTH1_97550.2, SMTH1_97550.4
OG0001657	FGIG_12273	SMTH1_37260.1, SMTH1_37250.1
OG0001668	FGIG_00343, FGIG_00341, FGIG_00342	SMTH1_31440.1
OG0001669	FGIG_00345	SMTH1_35560.1
OG0001670	FGIG_00362, FGIG_09303, FGIG_09302	SMTH1_40650.1
OG0001671	FGIG_00386	SMTH1_33520.5, SMTH1_33520.3, SMTH1_33520.4, SMTH1_33520.1, SMTH1_33520.2
OG0001672	FGIG_00594	SMTH1_32670.1, SMTH1_32670.2
OG0001673	FGIG_00782	SMTH1_68070.1
OG0001675	FGIG_01158	SMTH1_74250.2, SMTH1_74250.4, SMTH1_74250.1, SMTH1_74250.3
OG0001676	FGIG_01424	SMTH1_12240.1
OG0001677	FGIG_01587	SMTH1_98400.1
OG0001678	FGIG_01613	SMTH1_64170.2, SMTH1_64170.1
OG0001679	FGIG_01636	SMTH1_21820.1
OG0001680	FGIG_01674, FGIG_09657, FGIG_01673	SMTH1_31500.1, SMTH1_31510.1
OG0001681	FGIG_10397, FGIG_01757	SMTH1_21000.1, SMTH1_20990.1
OG0001682	FGIG_01772	SMTH1_18900.1
OG0001683	FGIG_09870, FGIG_01860, FGIG_09138, FGIG_09869	SMTH1_28100.1
OG0001684	FGIG_06953, FGIG_02137	SMTH1_32600.1, SMTH1_32600.2, SMTH1_32600.3, SMTH1_32600.5, SMTH1_32550.1, SMTH1_32600.4
OG0001685	FGIG_02286	SMTH1_17090.1, SMTH1_17090.2, SMTH1_17090.3, SMTH1_17090.4, SMTH1_17090.5, SMTH1_17070.1
OG0001686	FGIG_02332	SMTH1_91470.1, SMTH1_91470.2, SMTH1_91470.3
OG0001687	FGIG_02344	SMTH1_61900.1, SMTH1_61910.2, SMTH1_61910.1
OG0001688	FGIG_02355, FGIG_02354	SMTH1_24590.1
OG0001689	FGIG_02361	SMTH1_24060.1, SMTH1_23750.1, SMTH1_23750.2
OG0001690	FGIG_02412	SMTH1_37700.1, SMTH1_37700.4, SMTH1_37700.5, SMTH1_37700.6, SMTH1_37700.7, SMTH1_37700.8, SMTH1_37700.9, SMTH1_37700.2, SMTH1_37700.3
OG0001691	FGIG_02430	SMTH1_14650.1, SMTH1_14640.1, SMTH1_14640.2, SMTH1_14640.3, SMTH1_14640.4
OG0001692	FGIG_02603	SMTH1_84710.1
OG0001693	FGIG_02612	SMTH1_91600.1
OG0001694	FGIG_02613	SMTH1_91630.1
OG0001695	FGIG_02650	SMTH1_35320.1
OG0001696	FGIG_02668	SMTH1_47940.1
OG0001697	FGIG_02799	SMTH1_104730.3, SMTH1_104730.4, SMTH1_104730.5, SMTH1_104730.6, SMTH1_104730.1, SMTH1_104730.2
OG0001698	FGIG_02827	SMTH1_86960.1
OG0001699	FGIG_08442, FGIG_12071, FGIG_02860	SMTH1_68590.3, SMTH1_68590.4, SMTH1_68590.2, SMTH1_68590.1
OG0001700	FGIG_02948	SMTH1_16940.1, SMTH1_16940.2
OG0001701	FGIG_02954	SMTH1_93410.1, SMTH1_93400.1
OG0001702	FGIG_03036	SMTH1_49890.2, SMTH1_49890.1
OG0001703	FGIG_03206	SMTH1_39490.1, SMTH1_39490.4, SMTH1_39490.2, SMTH1_39490.5, SMTH1_39490.3, SMTH1_39490.6
OG0001704	FGIG_03262	SMTH1_17160.1, SMTH1_17180.1, SMTH1_17190.1
OG0001705	FGIG_03312	SMTH1_27450.2, SMTH1_27450.1, SMTH1_27460.1, SMTH1_27440.2, SMTH1_27440.1, SMTH1_27440.3
OG0001706	FGIG_03334	SMTH1_35520.1
OG0001707	FGIG_03346, FGIG_11546	SMTH1_72390.1
OG0001708	FGIG_07923, FGIG_03395	SMTH1_104890.1
OG0001709	FGIG_03643	SMTH1_32900.1, SMTH1_32890.1
OG0001710	FGIG_03672	SMTH1_95360.1, SMTH1_95350.1, SMTH1_95350.2, SMTH1_95350.3, SMTH1_95350.4, SMTH1_95350.5, SMTH1_95370.1
OG0001711	FGIG_03723, FGIG_09584, FGIG_05732, FGIG_12458	SMTH1_103730.1, SMTH1_103730.2, SMTH1_103740.1
OG0001712	FGIG_04007	SMTH1_46380.1
OG0001713	FGIG_04033	SMTH1_64840.1
OG0001714	FGIG_04034	SMTH1_64850.1
OG0001715	FGIG_04340	SMTH1_26230.2, SMTH1_26230.1
OG0001716	FGIG_04933, FGIG_04367	SMTH1_77200.1
OG0001717	FGIG_04529	SMTH1_31980.5, SMTH1_31980.4, SMTH1_31980.3, SMTH1_31980.1, SMTH1_31980.2
OG0001718	FGIG_04552	SMTH1_16820.1
OG0001719	FGIG_04710, FGIG_04709	SMTH1_48630.1, SMTH1_48620.1
OG0001720	FGIG_04866, FGIG_06080	SMTH1_13120.1
OG0001721	FGIG_04876	SMTH1_62880.1, SMTH1_62900.1
OG0001723	FGIG_05019	SMTH1_12300.1, SMTH1_12290.1
OG0001724	FGIG_05138, FGIG_11352	SMTH1_80800.1
OG0001725	FGIG_05235	SMTH1_78840.1, SMTH1_78840.2, SMTH1_78840.3, SMTH1_78840.4, SMTH1_78840.5, SMTH1_78850.1
OG0001726	FGIG_08225, FGIG_11396	SMTH1_39670.1
