Orthogroup	fasciola_gigantica	schmidtea_mediterranea
OG0001164	FGIG_06154	h1SMcT0017557.2, h1SMcT0017557.1, h1SMcT0017557.3
OG0001165	FGIG_06975	h1SMcT0022136.3, h1SMcT0022136.2, h1SMcT0022136.1, h1SMcT0022136.4
OG0001166	FGIG_07145	h1SMcT0008465.1
OG0001167	FGIG_07296	h1SMcT0014014.2
OG0001168	FGIG_07458, FGIG_07459	h1SMcT0022606.1
OG0001170	FGIG_07739	h1SMcT0000032.2, h1SMcT0000032.4, h1SMcT0000032.1, h1SMcT0000032.3
OG0001171	FGIG_07821	h1SMcT0020849.1
OG0001172	FGIG_08034	h1SMcT0013719.2
OG0001173	FGIG_08233	h1SMcT0002851.1, h1SMcT0002851.2, h1SMcT0002851.3
OG0001175	FGIG_08343	h1SMcT0016636.1, h1SMcT0016636.2, h1SMcT0016636.3, h1SMcT0016636.4, h1SMcT0006531.1, h1SMcT0006531.2, h1SMcT0006531.3
OG0001176	FGIG_08377	h1SMcT0006325.1, h1SMcT0006325.2
OG0001179	FGIG_08962	h1SMcT0016975.2, h1SMcT0016975.3
OG0001181	FGIG_09440	h1SMcT0022490.6, h1SMcT0022490.7, h1SMcT0022490.8, h1SMcT0022490.9, h1SMcT0022490.2, h1SMcT0022490.3, h1SMcT0022490.4, h1SMcT0022490.5, h1SMcT0022490.1, h1SMcT0022490.10
OG0001182	FGIG_09577, FGIG_12267	h1SMcT0007006.3, h1SMcT0007006.1, h1SMcT0007006.2
OG0001183	FGIG_09838	h1SMcT0001927.2, h1SMcT0001927.1, h1SMcT0001927.3
OG0001184	FGIG_09947	h1SMcT0001751.1
OG0001185	FGIG_10786	h1SMcT0000234.1, h1SMcT0000234.3, h1SMcT0000234.4, h1SMcT0000234.5, h1SMcT0000234.2
OG0001186	FGIG_10879	h1SMcT0021546.1
OG0001187	FGIG_11096	h1SMcT0008954.1, h1SMcT0008954.3, h1SMcT0008954.4, h1SMcT0008954.5, h1SMcT0008954.6, h1SMcT0008954.2
OG0001188	FGIG_11471	h1SMcT0002763.3
OG0001189	FGIG_12652, FGIG_11638	h1SMcT0017276.1, h1SMcT0017276.2, h1SMcT0017276.3, h1SMcT0015695.1, h1SMcT0015695.2
OG0001190	FGIG_11792	h1SMcT0008362.1
OG0001191	FGIG_11901	h1SMcT0007587.1
OG0001192	FGIG_12164, FGIG_12599	h1SMcT0010192.2, h1SMcT0010192.1, h1SMcT0010192.3, h1SMcT0021493.1, h1SMcT0016070.1, h1SMcT0016070.2, h1SMcT0017511.1, h1SMcT0017511.5, h1SMcT0017511.4, h1SMcT0017511.2, h1SMcT0017511.3, h1SMcT0000240.3, h1SMcT0000240.1, h1SMcT0000240.2
OG0001193	FGIG_12177	h1SMcT0005451.1, h1SMcT0005451.5, h1SMcT0005451.7, h1SMcT0005451.2, h1SMcT0005451.3, h1SMcT0005451.4, h1SMcT0005451.6
OG0001194	FGIG_12597	h1SMcT0020290.1
OG0001202	FGIG_00092, FGIG_00091, FGIG_00090	h1SMcT0005733.1, h1SMcT0005733.2, h1SMcT0011540.1, h1SMcT0011540.2
OG0001203	FGIG_00255	h1SMcT0015298.1, h1SMcT0018919.1, h1SMcT0018919.2, h1SMcT0006879.2, h1SMcT0006879.3, h1SMcT0006879.1, h1SMcT0022735.1
OG0001203	FGIG_01145	h1SMcT0015048.1
OG0001204	FGIG_00416	h1SMcT0011649.1, h1SMcT0010180.1, h1SMcT0018191.1
OG0001205	FGIG_00431, FGIG_00433	h1SMcT0002207.1, h1SMcT0002207.2
OG0001207	FGIG_00624	h1SMcT0006662.2, h1SMcT0006662.1, h1SMcT0006662.3
OG0001208	FGIG_00768, FGIG_10999, FGIG_08146	h1SMcT0012174.1, h1SMcT0012174.2, h1SMcT0020489.1, h1SMcT0020489.2, h1SMcT0001019.1, h1SMcT0001019.2, h1SMcT0016249.1, h1SMcT0016249.2, h1SMcT0004260.1, h1SMcT0010670.1
OG0001209	FGIG_00773	h1SMcT0020144.1
OG0001210	FGIG_00783	h1SMcT0001014.1, h1SMcT0020458.1, h1SMcT0020458.2, h1SMcT0020458.3, h1SMcT0015329.3, h1SMcT0015329.2, h1SMcT0015329.6, h1SMcT0015329.5, h1SMcT0015329.1, h1SMcT0015329.4, h1SMcT0012147.1, h1SMcT0012147.2, h1SMcT0012147.5, h1SMcT0012147.3, h1SMcT0012147.4, h1SMcT0014145.1
OG0001211	FGIG_00866, FGIG_00867	h1SMcT0012779.1
OG0001212	FGIG_00887, FGIG_00886	h1SMcT0010374.1, h1SMcT0010374.2
OG0001213	FGIG_00940	h1SMcT0004105.1, h1SMcT0001230.1, h1SMcT0012365.1, h1SMcT0012365.2
OG0001214	FGIG_00963	h1SMcT0006194.1, h1SMcT0006194.2
OG0001215	FGIG_00989	h1SMcT0010587.1
OG0001217	FGIG_01201, FGIG_09525	h1SMcT0003654.1
OG0001221	FGIG_01627	h1SMcT0015770.2, h1SMcT0015770.1, h1SMcT0015770.3
OG0001222	FGIG_01806	h1SMcT0003042.1, h1SMcT0003042.2
OG0001223	FGIG_12507, FGIG_01808	h1SMcT0011283.1, h1SMcT0009796.1, h1SMcT0011221.1, h1SMcT0011221.2, h1SMcT0015486.1, h1SMcT0015487.1, h1SMcT0015487.2, h1SMcT0015487.3
OG0001224	FGIG_11675, FGIG_01980, FGIG_11674	h1SMcT0003708.4, h1SMcT0003708.2, h1SMcT0003708.7, h1SMcT0003708.6, h1SMcT0003708.3, h1SMcT0003708.1, h1SMcT0003708.5
OG0001225	FGIG_11699, FGIG_02205	h1SMcT0022363.1
OG0001226	FGIG_02402, FGIG_02403	h1SMcT0021333.1
OG0001227	FGIG_02427, FGIG_10207	h1SMcT0001231.1
OG0001229	FGIG_02875	h1SMcT0001975.1, h1SMcT0001975.2
OG0001230	FGIG_02882	h1SMcT0006502.1, h1SMcT0006502.2
OG0001231	FGIG_02962	h1SMcT0020431.1, h1SMcT0020431.2
OG0001232	FGIG_03290, FGIG_10388	h1SMcT0009881.2, h1SMcT0009881.4, h1SMcT0009881.3, h1SMcT0009881.1, h1SMcT0012379.1, h1SMcT0016083.1, h1SMcT0016083.2, h1SMcT0016083.3, h1SMcT0016083.4, h1SMcT0017812.1, h1SMcT0021728.1
OG0001233	FGIG_03583	h1SMcT0010321.1, h1SMcT0010321.2, h1SMcT0010321.3
OG0001235	FGIG_05015, FGIG_04167	h1SMcT0022002.1, h1SMcT0022002.3, h1SMcT0021993.1, h1SMcT0021991.1, h1SMcT0021994.1
OG0001236	FGIG_04255, FGIG_04254	h1SMcT0010315.1, h1SMcT0010315.2, h1SMcT0010315.3
OG0001238	FGIG_04821, FGIG_10088	h1SMcT0010888.1, h1SMcT0010888.2, h1SMcT0010888.4, h1SMcT0010888.3
OG0001239	FGIG_04854	h1SMcT0009983.1
OG0001241	FGIG_05887	h1SMcT0010814.1, h1SMcT0017346.1
OG0001241	FGIG_05099	h1SMcT0008230.1, h1SMcT0008230.2, h1SMcT0008231.1, h1SMcT0008120.1, h1SMcT0008120.2, h1SMcT0002659.1, h1SMcT0015979.1, h1SMcT0015979.2, h1SMcT0006398.1, h1SMcT0018120.1
OG0001242	FGIG_05100, FGIG_11527, FGIG_06927, FGIG_10131, FGIG_10130	h1SMcT0000553.1, h1SMcT0012023.1, h1SMcT0012023.2
OG0001243	FGIG_08567, FGIG_05341	h1SMcT0005883.7, h1SMcT0005883.13, h1SMcT0005883.12, h1SMcT0005883.10, h1SMcT0005883.4, h1SMcT0005883.6, h1SMcT0005883.9, h1SMcT0005883.8, h1SMcT0005883.11, h1SMcT0005883.3
OG0001244	FGIG_05347	h1SMcT0020112.1, h1SMcT0020112.2, h1SMcT0020112.3, h1SMcT0016480.1, h1SMcT0016480.2
OG0001246	FGIG_06383	h1SMcT0015302.1, h1SMcT0015302.2, h1SMcT0015302.3
OG0001247	FGIG_06416	h1SMcT0009513.1
OG0001249	FGIG_06968	h1SMcT0003442.2, h1SMcT0003442.4, h1SMcT0003442.1, h1SMcT0003442.3
OG0001250	FGIG_06989	h1SMcT0014000.1, h1SMcT0014000.2
OG0001251	FGIG_07285	h1SMcT0012539.1, h1SMcT0012539.2, h1SMcT0012539.3, h1SMcT0012539.4, h1SMcT0006947.1, h1SMcT0006949.1, h1SMcT0006948.1, h1SMcT0006861.1, h1SMcT0006946.1, h1SMcT0006946.2, h1SMcT0006858.1, h1SMcT0006859.1, h1SMcT0014217.1, h1SMcT0015801.1, h1SMcT0009447.1, h1SMcT0020778.1, h1SMcT0021439.1, h1SMcT0022993.1
OG0001252	FGIG_07384	h1SMcT0010281.1
OG0001253	FGIG_07753, FGIG_07752	h1SMcT0002010.1, h1SMcT0002010.2, h1SMcT0002010.3, h1SMcT0008851.1, h1SMcT0008851.2, h1SMcT0008851.3, h1SMcT0015799.1, h1SMcT0015799.3, h1SMcT0015799.2
OG0001254	FGIG_12494, FGIG_07899, FGIG_07901	h1SMcT0018960.1, h1SMcT0018960.3, h1SMcT0018960.2, h1SMcT0016717.1
OG0001255	FGIG_07955	h1SMcT0019859.1, h1SMcT0019859.2, h1SMcT0019859.3
OG0001257	FGIG_10494, FGIG_08198	h1SMcT0003339.1, h1SMcT0003339.2, h1SMcT0003339.3
OG0001258	FGIG_08259	h1SMcT0021371.1
OG0001261	FGIG_08782	h1SMcT0014101.1, h1SMcT0014100.1, h1SMcT0014101.3, h1SMcT0014101.2, h1SMcT0014177.1
OG0001262	FGIG_08945	h1SMcT0000998.15, h1SMcT0000998.16, h1SMcT0000998.19, h1SMcT0000998.18, h1SMcT0000998.11, h1SMcT0000998.7, h1SMcT0000998.9, h1SMcT0000998.6, h1SMcT0000998.10, h1SMcT0000998.8, h1SMcT0002622.4, h1SMcT0002622.6, h1SMcT0002622.8, h1SMcT0002622.7, h1SMcT0002622.5
OG0001265	FGIG_09796	h1SMcT0001884.3, h1SMcT0001884.5, h1SMcT0001884.4, h1SMcT0001884.1, h1SMcT0001884.2
OG0001266	FGIG_09988	h1SMcT0020806.1, h1SMcT0020806.2
OG0001267	FGIG_10603	h1SMcT0003710.1
OG0001268	FGIG_11001, FGIG_10608	h1SMcT0003100.1, h1SMcT0018142.1, h1SMcT0018142.2, h1SMcT0006972.1, h1SMcT0008430.1, h1SMcT0017425.1
OG0001269	FGIG_10908	h1SMcT0021338.1, h1SMcT0021953.1, h1SMcT0017819.1, h1SMcT0009956.1, h1SMcT0009956.2, h1SMcT0009956.3
OG0001270	FGIG_10957	h1SMcT0021394.1
OG0001272	FGIG_11520, FGIG_12609, FGIG_11091	h1SMcT0022223.1
OG0001273	FGIG_11191	h1SMcT0008503.1
OG0001274	FGIG_11229, FGIG_11228	h1SMcT0014384.1, h1SMcT0014384.2
OG0001276	FGIG_11574	h1SMcT0018868.1
OG0001277	FGIG_11601, FGIG_12005	h1SMcT0002299.1
OG0001278	FGIG_11618	h1SMcT0003896.1
OG0001279	FGIG_12224, FGIG_12521	h1SMcT0012861.1, h1SMcT0012861.2
OG0001289	FGIG_00210	h1SMcT0001290.1, h1SMcT0001290.3, h1SMcT0001290.2, h1SMcT0001290.4, h1SMcT0001290.5
OG0001290	FGIG_07230, FGIG_00515	h1SMcT0000674.1
OG0001293	FGIG_01034, FGIG_10755	h1SMcT0001314.1, h1SMcT0001314.2
OG0001294	FGIG_01093	h1SMcT0001058.1, h1SMcT0004406.1, h1SMcT0004406.2, h1SMcT0004406.4, h1SMcT0004406.3, h1SMcT0004406.5
OG0001296	FGIG_01523	h1SMcT0018090.3, h1SMcT0018090.1, h1SMcT0018090.2
OG0001297	FGIG_01649	h1SMcT0015333.3, h1SMcT0015333.1, h1SMcT0015333.5, h1SMcT0015333.4, h1SMcT0015333.2
OG0001298	FGIG_10329, FGIG_01668	h1SMcT0012966.1, h1SMcT0012966.2, h1SMcT0012966.3
OG0001299	FGIG_01809	h1SMcT0014182.1
OG0001300	FGIG_01863, FGIG_01865, FGIG_01864	h1SMcT0019630.1, h1SMcT0016647.1, h1SMcT0016647.2, h1SMcT0003261.5, h1SMcT0003261.3, h1SMcT0003261.2, h1SMcT0003261.4, h1SMcT0003261.1
OG0001301	FGIG_02298	h1SMcT0012499.1, h1SMcT0012499.2, h1SMcT0012499.3, h1SMcT0012499.4
OG0001302	FGIG_02339, FGIG_12266	h1SMcT0022236.1, h1SMcT0022236.2
OG0001303	FGIG_02649	h1SMcT0007285.1
OG0001304	FGIG_02940	h1SMcT0008904.1
OG0001305	FGIG_03115	h1SMcT0001829.1
OG0001306	FGIG_03213, FGIG_11624	h1SMcT0012301.1
OG0001307	FGIG_12121, FGIG_08402, FGIG_03373	h1SMcT0011865.1
OG0001309	FGIG_03882	h1SMcT0018538.5, h1SMcT0018538.1, h1SMcT0018538.10, h1SMcT0018538.3, h1SMcT0018538.4, h1SMcT0018538.2, h1SMcT0018538.6, h1SMcT0018538.11, h1SMcT0018538.7, h1SMcT0018538.8, h1SMcT0018538.9
OG0001311	FGIG_04205	h1SMcT0008489.2, h1SMcT0011990.1, h1SMcT0011990.2, h1SMcT0011990.3
OG0001312	FGIG_04608	h1SMcT0000792.1
OG0001313	FGIG_04711, FGIG_10967, FGIG_04712	h1SMcT0009798.1, h1SMcT0009798.2
OG0001314	FGIG_04857	h1SMcT0021592.4, h1SMcT0021592.1, h1SMcT0021592.2, h1SMcT0021592.3
OG0001315	FGIG_04966	h1SMcT0006238.1, h1SMcT0018244.1
OG0001316	FGIG_05223, FGIG_05224	h1SMcT0014295.1, h1SMcT0018009.1
OG0001318	FGIG_05261	h1SMcT0006852.1, h1SMcT0019312.1
OG0001319	FGIG_05871	h1SMcT0009039.1
OG0001320	FGIG_06118	h1SMcT0005651.1, h1SMcT0005651.2, h1SMcT0005651.3, h1SMcT0005651.5, h1SMcT0005651.4
OG0001321	FGIG_06378, FGIG_10936, FGIG_10722	h1SMcT0014354.2
OG0001322	FGIG_06556	h1SMcT0009589.1, h1SMcT0009589.2, h1SMcT0009589.3
OG0001323	FGIG_06678	h1SMcT0010772.1, h1SMcT0010772.2
OG0001324	FGIG_06702	h1SMcT0002366.1
OG0001325	FGIG_06784	h1SMcT0005178.1, h1SMcT0005178.2
OG0001328	FGIG_12496, FGIG_07303, FGIG_07304	h1SMcT0006605.1
OG0001329	FGIG_07431	h1SMcT0013761.1, h1SMcT0013761.2
OG0001330	FGIG_07580	h1SMcT0001109.1
OG0001331	FGIG_07615	h1SMcT0002691.1, h1SMcT0015945.1, h1SMcT0002691.2
OG0001332	FGIG_07793, FGIG_08065	h1SMcT0013352.1
OG0001333	FGIG_08087	h1SMcT0006484.1, h1SMcT0006480.1
OG0001334	FGIG_08335	h1SMcT0003847.1
OG0001335	FGIG_08507	h1SMcT0017139.10, h1SMcT0017139.11, h1SMcT0017139.3, h1SMcT0017139.6, h1SMcT0017139.2, h1SMcT0017139.7, h1SMcT0017139.4, h1SMcT0017139.1, h1SMcT0017139.8, h1SMcT0017139.5, h1SMcT0017139.9
OG0001336	FGIG_08559	h1SMcT0016009.1, h1SMcT0016009.2
OG0001337	FGIG_08711	h1SMcT0020191.2, h1SMcT0020191.3
OG0001338	FGIG_08777	h1SMcT0018658.1
OG0001339	FGIG_09242	h1SMcT0002690.1, h1SMcT0015947.1
OG0001340	FGIG_09253	h1SMcT0011216.1, h1SMcT0004389.1, h1SMcT0009566.1
OG0001341	FGIG_09384	h1SMcT0020805.1, h1SMcT0020805.2
OG0001342	FGIG_12225, FGIG_09592, FGIG_09591	h1SMcT0005522.1, h1SMcT0005522.2
OG0001343	FGIG_09648	h1SMcT0018098.1, h1SMcT0018098.2
OG0001344	FGIG_10334, FGIG_09779	h1SMcT0021290.3, h1SMcT0021290.2, h1SMcT0021290.1
OG0001345	FGIG_09899, FGIG_10090	h1SMcT0011034.1
OG0001346	FGIG_10884, FGIG_10886, FGIG_09989, FGIG_10885	h1SMcT0002771.1
OG0001347	FGIG_10057, FGIG_12464	h1SMcT0002843.1, h1SMcT0021499.1, h1SMcT0009062.1, h1SMcT0009062.2
OG0001348	FGIG_10100	h1SMcT0017386.1
OG0001350	FGIG_10314	h1SMcT0012766.1
OG0001351	FGIG_10576	h1SMcT0016400.1
OG0001352	FGIG_10691	h1SMcT0014873.1
OG0001353	FGIG_10836, FGIG_11746	h1SMcT0012767.1, h1SMcT0012767.2, h1SMcT0012767.3
OG0001354	FGIG_11409	h1SMcT0022605.7, h1SMcT0022605.8
OG0001355	FGIG_11782	h1SMcT0000220.1, h1SMcT0008525.1
OG0001356	FGIG_11865	h1SMcT0018208.1, h1SMcT0018208.2, h1SMcT0018207.1, h1SMcT0018207.2, h1SMcT0018209.1, h1SMcT0018209.3, h1SMcT0018209.2, h1SMcT0018209.4
OG0001357	FGIG_12082	h1SMcT0020209.2, h1SMcT0020209.1, h1SMcT0020209.3, h1SMcT0020209.4
OG0001361	FGIG_00002	h1SMcT0011919.3, h1SMcT0011920.1, h1SMcT0011920.2
OG0001362	FGIG_00642, FGIG_10224	h1SMcT0004079.1, h1SMcT0004079.2, h1SMcT0004079.3
OG0001363	FGIG_00681	h1SMcT0003403.2, h1SMcT0003403.1, h1SMcT0003403.3
OG0001365	FGIG_00793	h1SMcT0013398.1, h1SMcT0009843.1, h1SMcT0009843.2
OG0001366	FGIG_00825	h1SMcT0005416.1
OG0001367	FGIG_00899	h1SMcT0020791.1, h1SMcT0020791.2, h1SMcT0020791.3
OG0001368	FGIG_01072	h1SMcT0007219.1, h1SMcT0007219.2
OG0001369	FGIG_01293, FGIG_11775	h1SMcT0004874.1, h1SMcT0021558.1
OG0001370	FGIG_01407	h1SMcT0012351.1
OG0001372	FGIG_01881	h1SMcT0022409.1, h1SMcT0022409.2, h1SMcT0022409.3
OG0001373	FGIG_01981	h1SMcT0004472.1, h1SMcT0019677.1
OG0001374	FGIG_01999	h1SMcT0008293.1
OG0001376	FGIG_02276	h1SMcT0018401.3, h1SMcT0018401.1, h1SMcT0018401.2
OG0001377	FGIG_02347	h1SMcT0012062.1
OG0001378	FGIG_02822, FGIG_02481	h1SMcT0006123.1, h1SMcT0006124.1, h1SMcT0006124.2
OG0001380	FGIG_02638	h1SMcT0010298.1, h1SMcT0000997.1, h1SMcT0001958.1
OG0001381	FGIG_02642, FGIG_12629	h1SMcT0019156.1, h1SMcT0019156.2
OG0001382	FGIG_02925	h1SMcT0022036.1
OG0001384	FGIG_03272	h1SMcT0003357.1, h1SMcT0003357.3, h1SMcT0003357.2, h1SMcT0003357.4
OG0001386	FGIG_03534	h1SMcT0010924.1
OG0001387	FGIG_03668	h1SMcT0000825.1, h1SMcT0000825.2
OG0001388	FGIG_07823, FGIG_03697	h1SMcT0006833.1, h1SMcT0017750.1, h1SMcT0022433.3, h1SMcT0015279.1, h1SMcT0015279.2
OG0001389	FGIG_03992	h1SMcT0009254.1
OG0001390	FGIG_04023	h1SMcT0021858.1, h1SMcT0021858.2, h1SMcT0007437.1, h1SMcT0007437.3, h1SMcT0007437.4, h1SMcT0007437.5, h1SMcT0007437.2
OG0001391	FGIG_04025, FGIG_06537	h1SMcT0002003.1, h1SMcT0002003.3, h1SMcT0002003.2
OG0001392	FGIG_04113	h1SMcT0008339.1
OG0001393	FGIG_04241	h1SMcT0012506.2, h1SMcT0012506.3, h1SMcT0022095.1, h1SMcT0022095.2, h1SMcT0000493.1, h1SMcT0002077.2, h1SMcT0002077.1, h1SMcT0002077.3, h1SMcT0002077.4
OG0001394	FGIG_04248	h1SMcT0010708.1, h1SMcT0010708.2
OG0001395	FGIG_04272	h1SMcT0006647.1
OG0001395	FGIG_12176	h1SMcT0008076.1
OG0001396	FGIG_04364	h1SMcT0004127.1
OG0001397	FGIG_04602	h1SMcT0002899.1, h1SMcT0002899.2
OG0001398	FGIG_04627	h1SMcT0001714.1
OG0001400	FGIG_04740	h1SMcT0014473.1, h1SMcT0014473.3, h1SMcT0014473.2, h1SMcT0014473.5, h1SMcT0014473.4
OG0001401	FGIG_05531, FGIG_04791	h1SMcT0022641.2, h1SMcT0001222.1, h1SMcT0001222.4, h1SMcT0001222.2, h1SMcT0001222.3
OG0001402	FGIG_04917	h1SMcT0019178.1, h1SMcT0019178.3, h1SMcT0019178.4, h1SMcT0019178.2
OG0001403	FGIG_05254, FGIG_05255	h1SMcT0007120.1, h1SMcT0007120.2, h1SMcT0007120.3
OG0001405	FGIG_05965	h1SMcT0000742.1, h1SMcT0000742.2
OG0001406	FGIG_06203	h1SMcT0021725.1, h1SMcT0021725.2
OG0001409	FGIG_06287, FGIG_09995	h1SMcT0009465.3, h1SMcT0009465.1, h1SMcT0009465.2
OG0001410	FGIG_06538	h1SMcT0019018.1
OG0001411	FGIG_06544	h1SMcT0011117.1, h1SMcT0022547.1, h1SMcT0022547.2
OG0001412	FGIG_06774	h1SMcT0014908.1, h1SMcT0014908.2
OG0001413	FGIG_06924	h1SMcT0003405.1, h1SMcT0003405.3, h1SMcT0003405.4, h1SMcT0003405.2, h1SMcT0003404.1, h1SMcT0003404.2, h1SMcT0003406.1, h1SMcT0003406.2, h1SMcT0003406.3
OG0001414	FGIG_07348	h1SMcT0008397.1
OG0001416	FGIG_07696	h1SMcT0021647.1, h1SMcT0021647.2
OG0001417	FGIG_07741, FGIG_12559	h1SMcT0016160.1, h1SMcT0016160.4, h1SMcT0016160.3, h1SMcT0016160.2
OG0001418	FGIG_07825	h1SMcT0004450.1, h1SMcT0004450.2
OG0001419	FGIG_07870, FGIG_10679	h1SMcT0002437.1, h1SMcT0002437.2, h1SMcT0002437.3
OG0001420	FGIG_07881	h1SMcT0020804.12, h1SMcT0020804.4, h1SMcT0020804.1, h1SMcT0020804.11, h1SMcT0020804.6, h1SMcT0020804.5, h1SMcT0020804.9, h1SMcT0020804.10, h1SMcT0020804.8, h1SMcT0020804.3, h1SMcT0020804.2
OG0001421	FGIG_07907	h1SMcT0007958.1
OG0001422	FGIG_08355	h1SMcT0012836.1
OG0001423	FGIG_08436	h1SMcT0004431.1, h1SMcT0004431.2, h1SMcT0004431.3
OG0001424	FGIG_09248, FGIG_12263, FGIG_08684	h1SMcT0013501.1, h1SMcT0013501.2
OG0001425	FGIG_08864	h1SMcT0007005.1
OG0001426	FGIG_09477	h1SMcT0000701.1, h1SMcT0000701.2
OG0001427	FGIG_09959, FGIG_09960, FGIG_09551	h1SMcT0001796.1
OG0001430	FGIG_09780, FGIG_09781	h1SMcT0009661.1, h1SMcT0014547.1, h1SMcT0014549.2, h1SMcT0014549.1, h1SMcT0014549.3, h1SMcT0014548.1
OG0001431	FGIG_09903	h1SMcT0006849.3, h1SMcT0006849.1, h1SMcT0006849.2
OG0001432	FGIG_10624, FGIG_10046	h1SMcT0010146.1
OG0001434	FGIG_10315	h1SMcT0009357.1
OG0001435	FGIG_10602	h1SMcT0009597.1, h1SMcT0000164.1, h1SMcT0000164.3, h1SMcT0000164.2
OG0001436	FGIG_10675	h1SMcT0017995.4, h1SMcT0017995.5, h1SMcT0017995.1, h1SMcT0017995.2, h1SMcT0017995.3
OG0001438	FGIG_12188, FGIG_11078	h1SMcT0018374.1, h1SMcT0018374.2, h1SMcT0018374.3
OG0001440	FGIG_11566, FGIG_11647	h1SMcT0013788.2, h1SMcT0013788.3, h1SMcT0013788.1
OG0001441	FGIG_11575	h1SMcT0002761.1
OG0001442	FGIG_12309	h1SMcT0005223.3, h1SMcT0005223.1, h1SMcT0005223.2
OG0001454	FGIG_00100	h1SMcT0000780.1
OG0001455	FGIG_00375	h1SMcT0007602.1
OG0001456	FGIG_00389, FGIG_00388, FGIG_00391, FGIG_00390, FGIG_00394	h1SMcT0019184.1
OG0001457	FGIG_00527	h1SMcT0009495.2, h1SMcT0009495.1, h1SMcT0009495.3
OG0001458	FGIG_00598	h1SMcT0005935.1, h1SMcT0012577.1, h1SMcT0012577.2
OG0001459	FGIG_00625	h1SMcT0008943.1, h1SMcT0008943.2, h1SMcT0005464.4, h1SMcT0005464.2, h1SMcT0005464.1, h1SMcT0005464.3
OG0001460	FGIG_00746	h1SMcT0015241.1
OG0001461	FGIG_00812	h1SMcT0018386.1
OG0001462	FGIG_00838	h1SMcT0022524.1
OG0001463	FGIG_00845, FGIG_00847, FGIG_00842	h1SMcT0008338.1, h1SMcT0008338.2
OG0001464	FGIG_01002, FGIG_01001	h1SMcT0009630.5, h1SMcT0009630.6, h1SMcT0009630.8, h1SMcT0009630.7, h1SMcT0009630.4, h1SMcT0009630.2
OG0001465	FGIG_01084, FGIG_01085, FGIG_01083	h1SMcT0014154.1
OG0001466	FGIG_01468	h1SMcT0016902.1
OG0001467	FGIG_01527	h1SMcT0008460.1, h1SMcT0008460.2, h1SMcT0020856.1, h1SMcT0020855.2, h1SMcT0020855.4, h1SMcT0020855.1, h1SMcT0020855.3
OG0001468	FGIG_01678	h1SMcT0010099.1, h1SMcT0014322.1
OG0001469	FGIG_02035	h1SMcT0021871.2, h1SMcT0021871.1, h1SMcT0021871.3
OG0001470	FGIG_02478	h1SMcT0014172.1, h1SMcT0014172.2, h1SMcT0014172.3, h1SMcT0014172.4
OG0001472	FGIG_02729	h1SMcT0007921.1, h1SMcT0007921.2, h1SMcT0007921.3, h1SMcT0007921.4
OG0001473	FGIG_02731	h1SMcT0013163.1, h1SMcT0013166.1, h1SMcT0013166.2, h1SMcT0013177.1, h1SMcT0013178.1, h1SMcT0013179.1
OG0001475	FGIG_03100	h1SMcT0021270.1
OG0001476	FGIG_03317, FGIG_03318, FGIG_03319	h1SMcT0019733.2, h1SMcT0019733.3, h1SMcT0019733.4, h1SMcT0019733.1, h1SMcT0019733.5
OG0001479	FGIG_03824, FGIG_03823	h1SMcT0009862.1, h1SMcT0009862.2
OG0001481	FGIG_03954	h1SMcT0015903.1, h1SMcT0021086.1, h1SMcT0021086.2, h1SMcT0016775.1
OG0001482	FGIG_03987, FGIG_03989	h1SMcT0012176.1, h1SMcT0012176.2
OG0001483	FGIG_04016, FGIG_04017	h1SMcT0000736.1, h1SMcT0000736.3, h1SMcT0000736.5, h1SMcT0000736.2, h1SMcT0000736.4
OG0001485	FGIG_04100	h1SMcT0011857.3, h1SMcT0011857.2, h1SMcT0011857.1, h1SMcT0000533.1, h1SMcT0018805.1
OG0001486	FGIG_04199	h1SMcT0010412.2, h1SMcT0010412.1, h1SMcT0010412.3
OG0001488	FGIG_10101	h1SMcT0022183.1, h1SMcT0022183.2
OG0001488	FGIG_04424, FGIG_09377	h1SMcT0022047.1, h1SMcT0022047.2
OG0001489	FGIG_04514	h1SMcT0021635.1, h1SMcT0021635.5, h1SMcT0021635.2, h1SMcT0021635.3, h1SMcT0021635.4
OG0001490	FGIG_04737	h1SMcT0014203.3, h1SMcT0014203.5, h1SMcT0014203.4, h1SMcT0014203.6, h1SMcT0014203.7, h1SMcT0014203.1, h1SMcT0014203.2
OG0001492	FGIG_05028	h1SMcT0003534.1
OG0001493	FGIG_05082	h1SMcT0019791.1, h1SMcT0019791.2
OG0001494	FGIG_05163	h1SMcT0017253.1, h1SMcT0017253.2
OG0001496	FGIG_05312	h1SMcT0003218.1
OG0001497	FGIG_09297, FGIG_08521, FGIG_05321, FGIG_09298	h1SMcT0017554.1
OG0001498	FGIG_05326	h1SMcT0022452.1, h1SMcT0022452.4, h1SMcT0022452.2, h1SMcT0022452.3
OG0001500	FGIG_05484	h1SMcT0007630.1
OG0001502	FGIG_07935, FGIG_12383, FGIG_11916, FGIG_05911	h1SMcT0021616.1, h1SMcT0021616.3, h1SMcT0021616.2, h1SMcT0021616.4
OG0001503	FGIG_05914, FGIG_05913, FGIG_12549	h1SMcT0011287.1, h1SMcT0011287.2
OG0001504	FGIG_06003	h1SMcT0007770.1
OG0001505	FGIG_06009, FGIG_06008, FGIG_11726	h1SMcT0006436.1, h1SMcT0006436.2
