Orthogroup	schistosoma_bovis	fasciola_gigantica
OG0000880	SBOV2_78700.3, SBOV2_78700.11, SBOV2_78700.7, SBOV2_78700.9, SBOV2_78700.10, SBOV2_78700.2, SBOV2_78700.8, SBOV2_78700.1, SBOV2_78700.6, SBOV2_78700.4, SBOV2_78700.5	FGIG_03926
OG0000881	SBOV2_4600.1	FGIG_04172
OG0000881	SBOV2_89820.1	FGIG_04278
OG0000882	SBOV2_21540.1	FGIG_05170
OG0000882	SBOV2_27680.1	FGIG_04211
OG0000883	SBOV2_27690.1	FGIG_04212
OG0000884	SBOV2_28380.10, SBOV2_28380.8, SBOV2_28380.9, SBOV2_28380.1, SBOV2_28380.3, SBOV2_28380.2, SBOV2_28380.5, SBOV2_28380.6, SBOV2_28380.7, SBOV2_28380.4	FGIG_04519
OG0000885	SBOV2_92040.1, SBOV2_92040.2, SBOV2_120.1, SBOV2_56610.1	FGIG_06559, FGIG_04824
OG0000886	SBOV2_69840.1, SBOV2_69840.2, SBOV2_69840.3, SBOV2_69840.4, SBOV2_69840.5	FGIG_06109
OG0000887	SBOV2_19090.1, SBOV2_19090.3, SBOV2_19090.6, SBOV2_19090.2, SBOV2_19090.5, SBOV2_19090.7, SBOV2_19090.8, SBOV2_19090.4	FGIG_07211
OG0000888	SBOV2_77790.1, SBOV2_77800.1	FGIG_07235
OG0000889	SBOV2_39840.4, SBOV2_39840.9, SBOV2_39840.8, SBOV2_39840.5, SBOV2_39840.7, SBOV2_39840.3, SBOV2_39840.10, SBOV2_39840.11, SBOV2_39840.1, SBOV2_39840.2, SBOV2_39840.6	FGIG_07370
OG0000890	SBOV2_26930.1	FGIG_07609
OG0000891	SBOV2_30410.1	FGIG_08269
OG0000892	SBOV2_53570.5, SBOV2_53570.3, SBOV2_53570.2, SBOV2_53570.1, SBOV2_53570.4	FGIG_08300
OG0000894	SBOV2_86900.1	FGIG_09025
OG0000895	SBOV2_43160.2, SBOV2_43160.1, SBOV2_43160.3, SBOV2_43160.4	FGIG_09033, FGIG_10887, FGIG_11622
OG0000896	SBOV2_20440.1, SBOV2_20440.2	FGIG_09198, FGIG_11521
OG0000897	SBOV2_9850.1	FGIG_09238, FGIG_09239
OG0000898	SBOV2_71330.1	FGIG_09340
OG0000899	SBOV2_14110.2, SBOV2_14110.1, SBOV2_14110.6, SBOV2_14110.3, SBOV2_14110.7, SBOV2_14110.4, SBOV2_14110.5	FGIG_09861
OG0000900	SBOV2_3650.1, SBOV2_3660.1	FGIG_09928, FGIG_10894, FGIG_11511
OG0000901	SBOV2_62100.2, SBOV2_62100.3, SBOV2_62100.1	FGIG_09929
OG0000902	SBOV2_50420.1, SBOV2_50420.2, SBOV2_50420.3, SBOV2_50420.4, SBOV2_50420.5	FGIG_10069
OG0000903	SBOV2_15040.4, SBOV2_15040.5, SBOV2_15040.8, SBOV2_15040.1, SBOV2_15040.2, SBOV2_15040.3, SBOV2_15040.6, SBOV2_15040.7, SBOV2_15040.9	FGIG_10099, FGIG_12212
OG0000904	SBOV2_5100.2, SBOV2_5100.3, SBOV2_5100.4, SBOV2_5100.6, SBOV2_5100.5, SBOV2_5100.7, SBOV2_5100.8, SBOV2_5100.1	FGIG_10256
OG0000905	SBOV2_77950.1	FGIG_12473, FGIG_10853
OG0000906	SBOV2_63400.5, SBOV2_63400.1, SBOV2_63400.6, SBOV2_63400.2, SBOV2_63400.3, SBOV2_63400.4	FGIG_11785
OG0000907	SBOV2_73690.1	FGIG_12114
OG0000910	SBOV2_7260.1, SBOV2_7260.2, SBOV2_7260.3, SBOV2_7260.4, SBOV2_7260.7, SBOV2_7260.5, SBOV2_7260.6, SBOV2_7260.8	FGIG_00237
OG0000911	SBOV2_57680.1	FGIG_01294, FGIG_01295
OG0000912	SBOV2_6370.1	FGIG_01540
OG0000913	SBOV2_36170.1, SBOV2_36170.2	FGIG_01566, FGIG_05409, FGIG_02080, FGIG_02081
OG0000914	SBOV2_29180.2, SBOV2_29180.3, SBOV2_29180.1, SBOV2_29180.4, SBOV2_29180.5	FGIG_01782
OG0000915	SBOV2_38070.3, SBOV2_38070.1, SBOV2_38070.2	FGIG_02191
OG0000916	SBOV2_28150.1	FGIG_02554
OG0000917	SBOV2_83410.1, SBOV2_83410.2, SBOV2_83410.3, SBOV2_83410.4	FGIG_02688, FGIG_12358, FGIG_11883
OG0000918	SBOV2_40830.1, SBOV2_40830.3, SBOV2_40830.5, SBOV2_40830.6, SBOV2_40830.7, SBOV2_40830.2, SBOV2_40830.4, SBOV2_40830.8	FGIG_02932
OG0000919	SBOV2_83650.1	FGIG_03174
OG0000921	SBOV2_42700.1, SBOV2_42700.2, SBOV2_42700.5, SBOV2_42700.4, SBOV2_42700.3	FGIG_03378
OG0000922	SBOV2_6790.1	FGIG_08404
OG0000922	SBOV2_6780.1, SBOV2_6780.3, SBOV2_6780.2	FGIG_03416, FGIG_03417, FGIG_03413, FGIG_03412, FGIG_08184, FGIG_03414, FGIG_03415
OG0000923	SBOV2_26340.1	FGIG_09953
OG0000923	SBOV2_92160.1, SBOV2_92160.2, SBOV2_92160.3, SBOV2_92160.4	FGIG_03937
OG0000925	SBOV2_15960.1	FGIG_03997
OG0000926	SBOV2_40520.1, SBOV2_40520.2, SBOV2_40520.3, SBOV2_40520.4, SBOV2_40530.1, SBOV2_40530.3, SBOV2_40530.2, SBOV2_40530.4	FGIG_04108, FGIG_04107
OG0000927	SBOV2_19180.1	FGIG_04164
OG0000928	SBOV2_35360.1, SBOV2_35370.1	FGIG_05151
OG0000929	SBOV2_64470.1, SBOV2_64470.3, SBOV2_64470.2	FGIG_05247
OG0000930	SBOV2_41570.6, SBOV2_41570.5, SBOV2_41570.1, SBOV2_41570.2, SBOV2_41570.3, SBOV2_41570.4	FGIG_05414
OG0000931	SBOV2_70760.2, SBOV2_70760.1	FGIG_05808, FGIG_05809, FGIG_05812
OG0000932	SBOV2_1170.1, SBOV2_1170.2, SBOV2_1170.4, SBOV2_1170.3	FGIG_05937
OG0000933	SBOV2_28040.1	FGIG_06615
OG0000934	SBOV2_9940.3, SBOV2_9940.1, SBOV2_9940.4, SBOV2_9940.2	FGIG_06893, FGIG_06892
OG0000935	SBOV2_63760.1, SBOV2_63770.1	FGIG_06948
OG0000936	SBOV2_92970.1, SBOV2_92970.3, SBOV2_92970.2	FGIG_07247, FGIG_12684
OG0000937	SBOV2_51350.3, SBOV2_51350.1, SBOV2_51350.2, SBOV2_51350.4, SBOV2_51350.5	FGIG_08721, FGIG_07320
OG0000938	SBOV2_59300.1, SBOV2_59300.2	FGIG_07574
OG0000939	SBOV2_86150.3, SBOV2_86150.1, SBOV2_86150.2	FGIG_08083
OG0000940	SBOV2_5760.1, SBOV2_5760.2, SBOV2_5760.3, SBOV2_5760.4	FGIG_08529
OG0000941	SBOV2_35550.1	FGIG_08549
OG0000942	SBOV2_15580.4, SBOV2_15580.3, SBOV2_15580.7, SBOV2_15580.2, SBOV2_15580.5, SBOV2_15580.1, SBOV2_15580.6	FGIG_08647
OG0000943	SBOV2_38880.1, SBOV2_38880.2	FGIG_12262, FGIG_08967
OG0000944	SBOV2_57480.1, SBOV2_57480.3, SBOV2_57480.4, SBOV2_57480.2	FGIG_08996
OG0000945	SBOV2_11120.1, SBOV2_11120.2, SBOV2_11120.3, SBOV2_11120.4, SBOV2_11120.7, SBOV2_11120.8, SBOV2_11120.5, SBOV2_11120.6	FGIG_11567, FGIG_10084
OG0000946	SBOV2_8580.7, SBOV2_8580.5, SBOV2_8580.6, SBOV2_8580.3, SBOV2_8580.4, SBOV2_8580.8, SBOV2_8580.1, SBOV2_8580.2, SBOV2_8580.9	FGIG_10162
OG0000947	SBOV2_28890.1, SBOV2_28890.2, SBOV2_28890.3, SBOV2_28890.4, SBOV2_28890.5, SBOV2_28890.6, SBOV2_28890.7	FGIG_10405
OG0000948	SBOV2_80830.1, SBOV2_80830.2, SBOV2_80830.3, SBOV2_80830.4	FGIG_10715
OG0000949	SBOV2_15760.1, SBOV2_15770.1, SBOV2_15750.1	FGIG_11029, FGIG_12400
OG0000950	SBOV2_52270.1	FGIG_11337
OG0000951	SBOV2_92110.1, SBOV2_92110.2, SBOV2_92110.3, SBOV2_92110.5, SBOV2_92110.4	FGIG_11751
OG0000952	SBOV2_38110.8, SBOV2_38110.1, SBOV2_38110.2, SBOV2_38110.3, SBOV2_38110.4, SBOV2_38110.5, SBOV2_38110.6, SBOV2_38110.7, SBOV2_38110.9	FGIG_11963
OG0000953	SBOV2_62230.1, SBOV2_62230.2, SBOV2_62230.3	FGIG_12056
OG0000954	SBOV2_79630.1, SBOV2_79630.2	FGIG_12353
OG0000958	SBOV2_13390.1, SBOV2_13390.2	FGIG_00120
OG0000959	SBOV2_69340.7, SBOV2_69340.1, SBOV2_69340.2, SBOV2_69340.3, SBOV2_69340.4, SBOV2_69340.5, SBOV2_69340.6, SBOV2_69340.8	FGIG_00122
OG0000960	SBOV2_22080.1	FGIG_00387, FGIG_06998
OG0000961	SBOV2_28860.1, SBOV2_28860.2, SBOV2_28860.4, SBOV2_28860.5, SBOV2_28860.3	FGIG_01111
OG0000962	SBOV2_73670.1	FGIG_01352, FGIG_10661
OG0000963	SBOV2_2500.1, SBOV2_2500.3, SBOV2_2500.4, SBOV2_2500.6, SBOV2_2500.2, SBOV2_2500.5, SBOV2_2500.7	FGIG_07862, FGIG_01440, FGIG_01439
OG0000964	SBOV2_27150.3, SBOV2_27150.1, SBOV2_27150.2, SBOV2_27150.4	FGIG_09268, FGIG_01648
OG0000965	SBOV2_62970.1, SBOV2_62970.2	FGIG_02037
OG0000966	SBOV2_31460.1, SBOV2_31460.2, SBOV2_31460.3	FGIG_07892
OG0000966	SBOV2_48420.2, SBOV2_48420.3, SBOV2_48420.1	FGIG_02145
OG0000967	SBOV2_32250.1, SBOV2_32250.2	FGIG_02147
OG0000968	SBOV2_2890.3, SBOV2_2890.4, SBOV2_2890.5, SBOV2_2890.1, SBOV2_2890.2, SBOV2_2890.6	FGIG_02274
OG0000969	SBOV2_80720.1	FGIG_02776, FGIG_11524
OG0000970	SBOV2_68960.1, SBOV2_68950.1	FGIG_03075
OG0000971	SBOV2_1930.1	FGIG_03179, FGIG_13983
OG0000972	SBOV2_6050.1, SBOV2_6050.2, SBOV2_6050.3, SBOV2_6050.4, SBOV2_6050.5	FGIG_11948, FGIG_03784
OG0000973	SBOV2_23590.1	FGIG_03899
OG0000974	SBOV2_50060.4, SBOV2_50060.3, SBOV2_50060.1, SBOV2_50060.2	FGIG_04084
OG0000975	SBOV2_5910.5, SBOV2_5910.1, SBOV2_5910.2, SBOV2_5910.3, SBOV2_5910.4	FGIG_09679, FGIG_09681, FGIG_04437, FGIG_09882
OG0000976	SBOV2_10060.1, SBOV2_10060.2, SBOV2_10060.3	FGIG_04455
OG0000977	SBOV2_11850.2, SBOV2_11850.1	FGIG_04668
OG0000978	SBOV2_20320.1	FGIG_04760
OG0000979	SBOV2_72860.2, SBOV2_72860.1, SBOV2_72860.3	FGIG_06407, FGIG_04838, FGIG_06406
OG0000980	SBOV2_53490.1, SBOV2_53490.2, SBOV2_53490.3	FGIG_04979
OG0000981	SBOV2_27710.1	FGIG_05295, FGIG_09246
OG0000982	SBOV2_63840.4, SBOV2_63840.1, SBOV2_63840.3, SBOV2_63840.2	FGIG_05391
OG0000983	SBOV2_15220.1	FGIG_05642
OG0000984	SBOV2_32840.4, SBOV2_32840.6, SBOV2_32840.5, SBOV2_32840.3, SBOV2_32840.1, SBOV2_32840.2	FGIG_08758, FGIG_05698
OG0000985	SBOV2_15730.2, SBOV2_15730.3, SBOV2_15730.9, SBOV2_15730.1, SBOV2_15730.10, SBOV2_15730.4, SBOV2_15730.5, SBOV2_15730.6, SBOV2_15730.7, SBOV2_15730.8	FGIG_05895
OG0000986	SBOV2_72030.5, SBOV2_72030.2, SBOV2_72030.3, SBOV2_72030.1, SBOV2_72030.4	FGIG_07315, FGIG_06076
OG0000987	SBOV2_82510.1, SBOV2_82510.2, SBOV2_82510.3, SBOV2_82510.4	FGIG_06114
OG0000988	SBOV2_56170.1, SBOV2_56170.2, SBOV2_56170.4, SBOV2_56170.3, SBOV2_56170.7, SBOV2_56170.8, SBOV2_56170.5, SBOV2_56170.6, SBOV2_56160.1	FGIG_06297
OG0000989	SBOV2_54140.3, SBOV2_54140.1, SBOV2_54140.2	FGIG_11034, FGIG_06813
OG0000990	SBOV2_4760.1	FGIG_07158, FGIG_12628
OG0000991	SBOV2_58340.15, SBOV2_58340.11, SBOV2_58340.10, SBOV2_58340.3, SBOV2_58340.8, SBOV2_58340.16, SBOV2_58340.9, SBOV2_58340.2, SBOV2_58340.17, SBOV2_58340.1, SBOV2_58340.6, SBOV2_58340.12, SBOV2_58340.13, SBOV2_58340.4, SBOV2_58340.14, SBOV2_58340.5, SBOV2_58340.7	FGIG_07197
OG0000992	SBOV2_43520.1	FGIG_07340
OG0000993	SBOV2_77160.2, SBOV2_77160.3, SBOV2_77160.1	FGIG_08844
OG0000994	SBOV2_33740.2, SBOV2_33740.3, SBOV2_33740.4, SBOV2_33740.1, SBOV2_33740.9, SBOV2_33740.8, SBOV2_33740.5, SBOV2_33740.6, SBOV2_33740.7	FGIG_10501, FGIG_09627
OG0000995	SBOV2_79480.5, SBOV2_79480.3, SBOV2_79480.1, SBOV2_79480.2, SBOV2_79480.4	FGIG_10198
OG0000996	SBOV2_63980.1, SBOV2_63980.2, SBOV2_63980.3, SBOV2_63980.4, SBOV2_63980.5	FGIG_10353
OG0000997	SBOV2_89340.10, SBOV2_89340.7, SBOV2_89340.8, SBOV2_89340.9, SBOV2_89340.1, SBOV2_89340.2, SBOV2_89340.3, SBOV2_89340.4, SBOV2_89340.5, SBOV2_89340.6	FGIG_10470
OG0000998	SBOV2_55040.1	FGIG_10771
OG0000999	SBOV2_29820.1, SBOV2_29820.2, SBOV2_29820.3, SBOV2_29820.5, SBOV2_29820.4	FGIG_11336
OG0001000	SBOV2_7000.2, SBOV2_7000.1	FGIG_12086, FGIG_12087
OG0001009	SBOV2_87130.3, SBOV2_87130.4, SBOV2_87130.1, SBOV2_87130.2	FGIG_10563
OG0001010	SBOV2_59860.4, SBOV2_59860.5, SBOV2_59860.6, SBOV2_59860.2, SBOV2_59860.3, SBOV2_59860.1, SBOV2_59860.7	FGIG_00263
OG0001011	SBOV2_28090.1, SBOV2_28120.1, SBOV2_28100.1	FGIG_00583
OG0001012	SBOV2_5140.2, SBOV2_5140.3, SBOV2_5140.4, SBOV2_5140.5, SBOV2_5140.7, SBOV2_5140.1, SBOV2_5140.6	FGIG_00716, FGIG_12423
OG0001013	SBOV2_13510.2, SBOV2_13510.3, SBOV2_13510.4, SBOV2_13510.1	FGIG_00937
OG0001014	SBOV2_4070.1	FGIG_01167
OG0001015	SBOV2_29360.2, SBOV2_29360.3, SBOV2_29360.4, SBOV2_29360.1	FGIG_01288
OG0001016	SBOV2_30010.1, SBOV2_30010.2	FGIG_01491
OG0001017	SBOV2_15200.1, SBOV2_15200.2, SBOV2_15200.3	FGIG_01516, FGIG_01517
OG0001018	SBOV2_37900.3, SBOV2_37900.1, SBOV2_37900.2	FGIG_02109
OG0001019	SBOV2_25690.1	FGIG_02200
OG0001020	SBOV2_10640.1, SBOV2_10640.2, SBOV2_10640.3	FGIG_02310
OG0001021	SBOV2_38130.2, SBOV2_38130.4, SBOV2_38130.5, SBOV2_38130.3, SBOV2_38130.1	FGIG_02501
OG0001022	SBOV2_20480.3, SBOV2_20480.2, SBOV2_20480.1	FGIG_02913, FGIG_08770, FGIG_08768
OG0001023	SBOV2_62660.1	FGIG_03103
OG0001024	SBOV2_77300.1, SBOV2_77300.3, SBOV2_77300.5, SBOV2_77300.6, SBOV2_77300.2, SBOV2_77300.4, SBOV2_77300.7, SBOV2_77300.8	FGIG_03356
OG0001025	SBOV2_87560.1, SBOV2_87560.2, SBOV2_87560.3	FGIG_12668, FGIG_03893, FGIG_10500
OG0001026	SBOV2_48960.1	FGIG_03951
OG0001027	SBOV2_1010.1, SBOV2_1010.3, SBOV2_1010.4, SBOV2_1010.5, SBOV2_1010.2	FGIG_04042
OG0001028	SBOV2_49990.3, SBOV2_49990.2, SBOV2_49990.1	FGIG_04078
OG0001029	SBOV2_49160.1, SBOV2_49160.2, SBOV2_49160.3, SBOV2_49160.4	FGIG_04129, FGIG_04130
OG0001030	SBOV2_38750.1	FGIG_04177
OG0001031	SBOV2_69950.1	FGIG_04662
OG0001032	SBOV2_64010.1	FGIG_04868
OG0001033	SBOV2_71360.1	FGIG_04915, FGIG_04916
OG0001034	SBOV2_51550.1, SBOV2_51560.1, SBOV2_51560.2, SBOV2_51560.3	FGIG_05173
OG0001035	SBOV2_51010.1	FGIG_05181, FGIG_11101
OG0001036	SBOV2_16940.1, SBOV2_16940.2, SBOV2_16940.3	FGIG_05654
OG0001037	SBOV2_20510.3, SBOV2_20510.1, SBOV2_20510.2	FGIG_07174, FGIG_05783
OG0001038	SBOV2_1590.3, SBOV2_1590.1, SBOV2_1590.2, SBOV2_1590.4	FGIG_05873
OG0001039	SBOV2_40240.1, SBOV2_40240.2	FGIG_06217, FGIG_05903
OG0001040	SBOV2_80980.11, SBOV2_80980.6, SBOV2_80980.1, SBOV2_80980.5, SBOV2_80980.3, SBOV2_80980.2, SBOV2_80980.4, SBOV2_80980.8, SBOV2_80980.10, SBOV2_80980.9, SBOV2_80980.7	FGIG_06139
OG0001041	SBOV2_93190.1	FGIG_06435
OG0001042	SBOV2_11720.1	FGIG_08094, FGIG_08095
OG0001043	SBOV2_47790.6, SBOV2_47790.1, SBOV2_47790.3, SBOV2_47790.2, SBOV2_47790.5, SBOV2_47790.4	FGIG_06983, FGIG_06984
OG0001044	SBOV2_66980.1, SBOV2_66980.2	FGIG_07014
OG0001045	SBOV2_66530.7, SBOV2_66530.3, SBOV2_66530.6, SBOV2_66530.4, SBOV2_66530.5, SBOV2_66530.1, SBOV2_66530.2	FGIG_07163
OG0001046	SBOV2_54450.8, SBOV2_54450.1, SBOV2_54450.2, SBOV2_54450.5, SBOV2_54450.4, SBOV2_54450.3, SBOV2_54450.6, SBOV2_54450.7	FGIG_08519, FGIG_11328
OG0001047	SBOV2_94750.1	FGIG_08858
OG0001048	SBOV2_77220.2, SBOV2_77220.3, SBOV2_77220.7, SBOV2_77220.6, SBOV2_77220.1, SBOV2_77220.8	FGIG_08890
OG0001049	SBOV2_50340.7, SBOV2_50340.5, SBOV2_50340.1, SBOV2_50340.2, SBOV2_50340.3, SBOV2_50340.4, SBOV2_50340.6	FGIG_08971
OG0001050	SBOV2_61840.2, SBOV2_61840.1	FGIG_09019
OG0001051	SBOV2_86990.1, SBOV2_86990.2, SBOV2_86990.3, SBOV2_86990.4, SBOV2_86990.5	FGIG_09084
OG0001052	SBOV2_50370.3, SBOV2_50370.2, SBOV2_50370.1	FGIG_09153
OG0001053	SBOV2_63060.3, SBOV2_63060.9, SBOV2_63060.7, SBOV2_63060.1, SBOV2_63060.6, SBOV2_63060.4, SBOV2_63060.10, SBOV2_63060.2, SBOV2_63060.5, SBOV2_63060.8	FGIG_09535
OG0001054	SBOV2_11480.2, SBOV2_11480.3, SBOV2_11450.1, SBOV2_11480.1	FGIG_10019
OG0001055	SBOV2_28980.1, SBOV2_28980.3, SBOV2_28980.2	FGIG_10263
OG0001056	SBOV2_57440.1, SBOV2_57440.5, SBOV2_57440.6, SBOV2_57440.2, SBOV2_57440.3, SBOV2_57440.4, SBOV2_57440.7	FGIG_10435
OG0001057	SBOV2_86810.1	FGIG_10952
OG0001058	SBOV2_60480.1, SBOV2_60480.2	FGIG_11110, FGIG_11111
OG0001059	SBOV2_16500.1	FGIG_11177
OG0001060	SBOV2_63330.1, SBOV2_63330.2, SBOV2_63340.1	FGIG_11797, FGIG_11343, FGIG_11342
OG0001068	SBOV2_74960.1	FGIG_00040
OG0001070	SBOV2_62710.1	FGIG_03027
OG0001070	SBOV2_75370.1	FGIG_00667
OG0001071	SBOV2_64710.4, SBOV2_64710.1, SBOV2_64710.2, SBOV2_64710.3	FGIG_07533, FGIG_00739
OG0001072	SBOV2_25650.3, SBOV2_25650.1, SBOV2_25650.4, SBOV2_25650.2, SBOV2_25650.6, SBOV2_25650.5, SBOV2_25650.7	FGIG_01150
OG0001073	SBOV2_16320.3, SBOV2_16320.4, SBOV2_16320.10, SBOV2_16320.12, SBOV2_16320.7, SBOV2_16320.1, SBOV2_16320.11, SBOV2_16320.2, SBOV2_16320.5, SBOV2_16320.6, SBOV2_16320.8, SBOV2_16320.9	FGIG_01202, FGIG_01203
OG0001074	SBOV2_40050.1	FGIG_01210
OG0001075	SBOV2_61450.1	FGIG_01512
OG0001076	SBOV2_45700.1, SBOV2_45700.3, SBOV2_45700.2	FGIG_01548
OG0001077	SBOV2_49460.3, SBOV2_49460.4, SBOV2_49460.1, SBOV2_49460.5, SBOV2_49460.2, SBOV2_49460.6, SBOV2_49460.7	FGIG_01785, FGIG_06860
OG0001078	SBOV2_60880.1, SBOV2_60880.2, SBOV2_60880.3	FGIG_01797, FGIG_12525
OG0001079	SBOV2_74430.1, SBOV2_74440.1, SBOV2_74440.2, SBOV2_74440.3, SBOV2_74440.4	FGIG_04699
OG0001080	SBOV2_72980.3, SBOV2_72980.1, SBOV2_72980.2	FGIG_02556
OG0001081	SBOV2_33710.2, SBOV2_33710.1, SBOV2_33710.5, SBOV2_33710.3, SBOV2_33710.4, SBOV2_33700.1	FGIG_03048
OG0001082	SBOV2_48050.2, SBOV2_48050.1, SBOV2_48050.3	FGIG_03102
OG0001083	SBOV2_93340.5, SBOV2_93340.1, SBOV2_93340.2, SBOV2_93340.4, SBOV2_93340.3	FGIG_03601
OG0001084	SBOV2_20160.2, SBOV2_20160.3, SBOV2_20160.1, SBOV2_20160.4	FGIG_03671
OG0001086	SBOV2_71090.1	FGIG_03975, FGIG_03974
OG0001087	SBOV2_54230.1	FGIG_06664
OG0001088	SBOV2_96490.1, SBOV2_23040.1, SBOV2_24070.1	FGIG_04337
OG0001089	SBOV2_64690.3, SBOV2_64690.1, SBOV2_64690.2, SBOV2_64690.5, SBOV2_64690.4	FGIG_04339
OG0001090	SBOV2_95330.1, SBOV2_95330.2, SBOV2_95330.3, SBOV2_95330.4, SBOV2_95330.5, SBOV2_95330.6, SBOV2_95330.7, SBOV2_95330.8	FGIG_04584
OG0001091	SBOV2_47940.1, SBOV2_47940.2, SBOV2_47940.4, SBOV2_47940.5, SBOV2_47940.3, SBOV2_47940.6	FGIG_04846
OG0001092	SBOV2_96870.1, SBOV2_69170.1, SBOV2_69170.2, SBOV2_69170.3, SBOV2_69150.1	FGIG_05033
OG0001093	SBOV2_80560.5, SBOV2_80560.7, SBOV2_80560.8, SBOV2_80560.9, SBOV2_80560.6, SBOV2_80560.4, SBOV2_80560.2, SBOV2_80560.1, SBOV2_80560.3	FGIG_05118, FGIG_08573
OG0001094	SBOV2_31030.4, SBOV2_31030.3, SBOV2_31030.5, SBOV2_31030.1, SBOV2_31030.2, SBOV2_31030.6	FGIG_10015, FGIG_05520
OG0001095	SBOV2_54530.1	FGIG_05851
OG0001096	SBOV2_18900.5, SBOV2_18900.1, SBOV2_18900.2, SBOV2_18900.3, SBOV2_18900.4	FGIG_06037
OG0001097	SBOV2_68850.1	FGIG_11329, FGIG_06852, FGIG_06111
OG0001098	SBOV2_35700.6, SBOV2_35700.1, SBOV2_35700.2, SBOV2_35700.3, SBOV2_35700.4, SBOV2_35700.5	FGIG_06590
OG0001099	SBOV2_91350.1	FGIG_06592, FGIG_11369
OG0001100	SBOV2_67560.5, SBOV2_67560.3, SBOV2_67560.1, SBOV2_67560.2, SBOV2_67560.4	FGIG_10246, FGIG_06668
OG0001101	SBOV2_45150.1, SBOV2_45150.2	FGIG_06746, FGIG_09913
OG0001102	SBOV2_61990.1, SBOV2_61990.3, SBOV2_61990.2	FGIG_06752
OG0001103	SBOV2_93210.1, SBOV2_93210.3, SBOV2_93210.4, SBOV2_93210.2	FGIG_06925
OG0001104	SBOV2_61970.1, SBOV2_61970.2	FGIG_07204, FGIG_07205
OG0001105	SBOV2_35630.1, SBOV2_35630.2, SBOV2_35630.4, SBOV2_35630.3	FGIG_07324
OG0001106	SBOV2_67850.6, SBOV2_67850.4, SBOV2_67850.1, SBOV2_67850.3, SBOV2_67850.2, SBOV2_67850.5	FGIG_07485
OG0001107	SBOV2_54110.1, SBOV2_54110.2, SBOV2_54110.3	FGIG_07647
OG0001108	SBOV2_39010.2, SBOV2_39010.1	FGIG_08427
OG0001109	SBOV2_33660.2, SBOV2_33660.6, SBOV2_33660.3, SBOV2_33660.4, SBOV2_33660.1, SBOV2_33660.5	FGIG_08484, FGIG_08485
OG0001110	SBOV2_3950.3, SBOV2_3950.1, SBOV2_3950.2	FGIG_09011
OG0001111	SBOV2_48370.1	FGIG_09579, FGIG_09578
OG0001112	SBOV2_94520.1, SBOV2_94500.1, SBOV2_94510.1	FGIG_09596
OG0001113	SBOV2_7630.1	FGIG_09744
OG0001114	SBOV2_6570.1	FGIG_09856
OG0001115	SBOV2_93310.5, SBOV2_93310.8, SBOV2_93310.7, SBOV2_93310.4, SBOV2_93310.9, SBOV2_93310.3, SBOV2_93310.2, SBOV2_93310.10, SBOV2_93310.1, SBOV2_93310.6	FGIG_10139
OG0001116	SBOV2_81010.1	FGIG_11923, FGIG_10461
OG0001117	SBOV2_14860.4, SBOV2_14860.1, SBOV2_14860.3, SBOV2_14860.2	FGIG_10571
OG0001118	SBOV2_70730.1	FGIG_11081
OG0001119	SBOV2_64660.1	FGIG_11555
OG0001120	SBOV2_36030.4, SBOV2_36030.2, SBOV2_36030.1, SBOV2_36030.5, SBOV2_36030.3	FGIG_11558
OG0001121	SBOV2_56050.2, SBOV2_56050.6, SBOV2_56050.7, SBOV2_56050.1, SBOV2_56050.4, SBOV2_56050.5, SBOV2_56050.3	FGIG_11654
OG0001122	SBOV2_78480.1	FGIG_12006
OG0001123	SBOV2_87700.5, SBOV2_87700.8, SBOV2_87700.7, SBOV2_87700.1, SBOV2_87700.2, SBOV2_87700.3, SBOV2_87700.4, SBOV2_87700.6	FGIG_12321
OG0001124	SBOV2_29790.1	FGIG_12395
OG0001125	SBOV2_13490.1, SBOV2_13460.1	FGIG_12588
OG0001129	SBOV2_30100.1	FGIG_00014, FGIG_00015
OG0001130	SBOV2_11810.1	FGIG_00274
OG0001131	SBOV2_73130.1, SBOV2_73130.2, SBOV2_73120.1	FGIG_01558, FGIG_00298, FGIG_09149
OG0001132	SBOV2_82320.1	FGIG_00496, FGIG_00497
OG0001133	SBOV2_15590.1	FGIG_02833, FGIG_00526
OG0001134	SBOV2_64870.3, SBOV2_64870.4, SBOV2_64870.5, SBOV2_64870.7, SBOV2_64870.1, SBOV2_64870.2, SBOV2_64870.6, SBOV2_65260.1, SBOV2_65260.2	FGIG_12437, FGIG_00591
OG0001135	SBOV2_33230.1, SBOV2_33230.2, SBOV2_33230.3, SBOV2_33230.4	FGIG_02017, FGIG_00617, FGIG_07747, FGIG_02078
OG0001136	SBOV2_23200.2, SBOV2_23200.3, SBOV2_23200.10, SBOV2_23200.7, SBOV2_23200.9, SBOV2_23200.4, SBOV2_23200.5, SBOV2_23200.6, SBOV2_23200.1, SBOV2_23200.8, SBOV2_23200.11	FGIG_00645, FGIG_03058, FGIG_03059
OG0001137	SBOV2_52080.1, SBOV2_52080.2, SBOV2_52090.1, SBOV2_52080.3	FGIG_00823, FGIG_00821
OG0001138	SBOV2_19980.5, SBOV2_19980.7, SBOV2_19980.9, SBOV2_19980.4, SBOV2_19980.6, SBOV2_19980.2, SBOV2_19980.1, SBOV2_19980.3, SBOV2_19980.8	FGIG_01503
