Orthogroup	schistosoma_bovis	s.mekongi
OG0000369	SBOV2_3720.1, SBOV2_3720.11, SBOV2_3720.3, SBOV2_3720.14, SBOV2_3720.5, SBOV2_3720.7, SBOV2_3720.2, SBOV2_3720.10, SBOV2_3720.12, SBOV2_3720.13, SBOV2_3720.4, SBOV2_3720.8, SBOV2_3720.9, SBOV2_3720.6	KAK4467393.1, KAK4475644.1
OG0000370	SBOV2_28060.1	KAK4473705.1
OG0000371	SBOV2_29170.2, SBOV2_29170.1, SBOV2_29170.3	KAK4473814.1
OG0000372	SBOV2_9640.1, SBOV2_9640.2	KAK4474367.1
OG0000372	SBOV2_9620.1, SBOV2_9620.2, SBOV2_9620.3	KAK4474369.1
OG0000373	SBOV2_12600.4, SBOV2_12600.6, SBOV2_12600.9, SBOV2_12600.3, SBOV2_12600.5, SBOV2_12600.8, SBOV2_12600.2, SBOV2_12600.7, SBOV2_12600.1	KAK4474690.1
OG0000374	SBOV2_26320.4, SBOV2_26320.1, SBOV2_26320.5, SBOV2_26320.6, SBOV2_26320.2, SBOV2_26320.3	KAK4473375.1
OG0000375	SBOV2_4520.10, SBOV2_4520.9, SBOV2_4520.2, SBOV2_4520.8, SBOV2_4520.3, SBOV2_4520.6, SBOV2_4520.4, SBOV2_4520.1, SBOV2_4520.5, SBOV2_4520.7	KAK4475736.1, KAK4467517.1
OG0000376	SBOV2_60220.3, SBOV2_60220.1, SBOV2_60220.2, SBOV2_60220.4	KAK4471759.1
OG0000378	SBOV2_23960.1, SBOV2_23960.2, SBOV2_23960.3	KAK4473152.1
OG0000379	SBOV2_65250.1, SBOV2_95270.1, SBOV2_95860.1, SBOV2_21570.1, SBOV2_54710.1	KAK4467588.1
OG0000380	SBOV2_21070.1	KAK4475417.1
OG0000381	SBOV2_52480.5, SBOV2_52480.1, SBOV2_52480.4, SBOV2_52480.2, SBOV2_52480.3, SBOV2_52480.7	KAK4469535.1
OG0000381	SBOV2_52470.1	KAK4469537.1
OG0000382	SBOV2_88530.1	KAK4468564.1, KAK4468566.1
OG0000382	SBOV2_88420.1, SBOV2_88430.1, SBOV2_88440.1	KAK4467541.1, KAK4467323.1, KAK4468641.1, KAK4468644.1, KAK4468642.1
OG0000383	SBOV2_29570.1, SBOV2_29570.2	KAK4473926.1
OG0000384	SBOV2_35660.1, SBOV2_35690.1	KAK4472592.1
OG0000385	SBOV2_61800.1	KAK4471741.1
OG0000385	SBOV2_61810.1, SBOV2_61820.1	KAK4471739.1
OG0000386	SBOV2_20490.1, SBOV2_20490.2	KAK4475366.1
OG0000387	SBOV2_2910.6, SBOV2_2910.8, SBOV2_2910.9, SBOV2_2910.1, SBOV2_2910.3, SBOV2_2910.7, SBOV2_2910.4, SBOV2_2910.2, SBOV2_2910.5, SBOV2_96140.8, SBOV2_96140.10, SBOV2_96140.11, SBOV2_96140.7, SBOV2_96140.9, SBOV2_96150.1, SBOV2_96140.1, SBOV2_96140.6, SBOV2_96140.5, SBOV2_96140.4, SBOV2_96140.2, SBOV2_96140.3	KAK4475570.1
OG0000388	SBOV2_88060.4, SBOV2_88060.1, SBOV2_88060.2, SBOV2_88060.6, SBOV2_88060.7, SBOV2_88060.3, SBOV2_88060.5	KAK4468526.1
OG0000389	SBOV2_72750.4, SBOV2_72750.9, SBOV2_72750.7, SBOV2_72750.2, SBOV2_72750.8, SBOV2_72750.3, SBOV2_72750.1, SBOV2_72750.5, SBOV2_72750.6	KAK4470603.1
OG0000390	SBOV2_82360.1	KAK4468203.1
OG0000391	SBOV2_13620.1, SBOV2_13620.2, SBOV2_13620.4, SBOV2_13620.3, SBOV2_13620.5	KAK4474521.1
OG0000392	SBOV2_61300.5	KAK4471811.1
OG0000393	SBOV2_44880.2, SBOV2_44880.5, SBOV2_44880.8, SBOV2_44880.1, SBOV2_44880.3, SBOV2_44880.4, SBOV2_44880.6, SBOV2_44880.7	KAK4469470.1
OG0000394	SBOV2_60700.1, SBOV2_60700.3, SBOV2_60700.2, SBOV2_60700.7, SBOV2_60700.4, SBOV2_60700.5, SBOV2_60700.6	KAK4471941.1
OG0000395	SBOV2_78590.1	KAK4470950.1
OG0000396	SBOV2_4480.3, SBOV2_4480.5, SBOV2_4480.1, SBOV2_4480.2, SBOV2_4480.4, SBOV2_4480.6, SBOV2_4480.7	KAK4467519.1, KAK4475731.1
OG0000397	SBOV2_78330.1, SBOV2_78330.2, SBOV2_78330.3, SBOV2_78330.4, SBOV2_78330.6, SBOV2_78330.5	KAK4470932.1
OG0000398	SBOV2_19290.1	KAK4475045.1
OG0000398	SBOV2_21960.1, SBOV2_21920.1	KAK4475519.1, KAK4475514.1
OG0000399	SBOV2_39470.1, SBOV2_39460.1, SBOV2_39470.2	KAK4473103.1
OG0000399	SBOV2_39480.1	KAK4473104.1
OG0000400	SBOV2_44810.1	KAK4473612.1
OG0000400	SBOV2_43910.1	KAK4474079.1
OG0000401	SBOV2_93690.1	KAK4467755.1
OG0000402	SBOV2_11090.2, SBOV2_11090.3, SBOV2_11090.6, SBOV2_11090.5, SBOV2_11090.1, SBOV2_11090.4	KAK4474603.1
OG0000403	SBOV2_3230.1, SBOV2_3240.1, SBOV2_3240.2, SBOV2_3240.4, SBOV2_3240.5, SBOV2_3240.6, SBOV2_3240.3, SBOV2_3240.7, SBOV2_3240.8	KAK4475601.1, KAK4475602.1
OG0000404	SBOV2_83280.2, SBOV2_83280.1, SBOV2_83280.3, SBOV2_80930.1, SBOV2_80930.2, SBOV2_80950.1, SBOV2_80940.1	KAK4468163.1
OG0000405	SBOV2_29930.1, SBOV2_29930.2, SBOV2_29930.4, SBOV2_29930.7, SBOV2_29930.8, SBOV2_29930.3, SBOV2_29930.5, SBOV2_29930.6	KAK4473889.1
OG0000406	SBOV2_29100.2, SBOV2_29100.5, SBOV2_29100.1, SBOV2_29100.3, SBOV2_29100.6, SBOV2_29100.7, SBOV2_29100.4	KAK4473809.1
OG0000407	SBOV2_61870.2, SBOV2_61870.3, SBOV2_61870.1, SBOV2_61870.4, SBOV2_61870.5	KAK4471734.1
OG0000408	SBOV2_41040.3, SBOV2_41040.1, SBOV2_41040.2, SBOV2_41040.4	KAK4472973.1
OG0000409	SBOV2_87270.11, SBOV2_87270.1, SBOV2_87270.5, SBOV2_87270.9, SBOV2_87270.2, SBOV2_87270.4, SBOV2_87270.10, SBOV2_87270.6, SBOV2_87270.8, SBOV2_87270.3, SBOV2_87270.7	KAK4468703.1
OG0000410	SBOV2_68580.2, SBOV2_68580.1, SBOV2_68580.3, SBOV2_68580.4	KAK4471325.1
OG0000411	SBOV2_40390.1	KAK4472925.1
OG0000412	SBOV2_71410.1, SBOV2_71410.2, SBOV2_71410.3	KAK4470212.1
OG0000413	SBOV2_60530.1, SBOV2_60530.2	KAK4471924.1
OG0000414	SBOV2_10550.1, SBOV2_10550.8, SBOV2_10550.2, SBOV2_10550.5, SBOV2_10550.7, SBOV2_10550.6, SBOV2_10550.3, SBOV2_10550.4	KAK4475938.1
OG0000415	SBOV2_36830.2, SBOV2_36830.1, SBOV2_36830.6, SBOV2_36830.3, SBOV2_36830.4, SBOV2_36830.5	KAK4472715.1
OG0000416	SBOV2_90360.1	KAK4468438.1
OG0000416	SBOV2_86610.1	KAK4468726.1
OG0000417	SBOV2_53390.1, SBOV2_53390.2	KAK4469705.1
OG0000418	SBOV2_93300.10, SBOV2_93300.5, SBOV2_93300.6, SBOV2_93300.9, SBOV2_93300.1, SBOV2_93300.2, SBOV2_93300.3, SBOV2_93300.4, SBOV2_93300.7, SBOV2_93300.8	KAK4467700.1
OG0000419	SBOV2_6030.13, SBOV2_6030.1, SBOV2_6030.10, SBOV2_6030.2, SBOV2_6030.3, SBOV2_6030.4, SBOV2_6030.6, SBOV2_6030.7, SBOV2_6030.8, SBOV2_6030.9, SBOV2_6030.12, SBOV2_6030.11, SBOV2_6030.5	KAK4475912.1, KAK4475910.1
OG0000420	SBOV2_44980.1	KAK4469112.1
OG0000421	SBOV2_66820.1, SBOV2_66820.2, SBOV2_66820.5, SBOV2_66820.6, SBOV2_66820.3, SBOV2_66820.4, SBOV2_66820.7	KAK4471594.1
OG0000422	SBOV2_49390.3, SBOV2_49390.5, SBOV2_49390.4, SBOV2_49390.1, SBOV2_49390.6, SBOV2_49390.2, SBOV2_49390.7	KAK4469383.1
OG0000423	SBOV2_29750.1	KAK4473911.1
OG0000425	SBOV2_38140.3, SBOV2_38140.1, SBOV2_38140.4, SBOV2_38140.2	KAK4472740.1
OG0000426	SBOV2_51200.2, SBOV2_51200.1, SBOV2_51190.2, SBOV2_51190.3, SBOV2_51190.1, SBOV2_51180.1	KAK4469886.1
OG0000426	SBOV2_51210.1	KAK4469884.1
OG0000427	SBOV2_52380.1	KAK4469545.1
OG0000428	SBOV2_25750.6, SBOV2_25750.7, SBOV2_25750.2, SBOV2_25750.5, SBOV2_25750.3, SBOV2_25750.1, SBOV2_25750.4	KAK4473446.1
OG0000429	SBOV2_91660.1	KAK4467920.1
OG0000429	SBOV2_44500.1	KAK4473670.1
OG0000430	SBOV2_35310.5, SBOV2_35310.6, SBOV2_35310.1, SBOV2_35310.4, SBOV2_35310.2, SBOV2_35310.3	KAK4472238.1
OG0000431	SBOV2_48380.2, SBOV2_48380.1, SBOV2_48380.3, SBOV2_48380.6, SBOV2_48380.4, SBOV2_48380.5	KAK4469274.1
OG0000432	SBOV2_92960.1, SBOV2_92960.4, SBOV2_92960.6, SBOV2_92960.2, SBOV2_92960.3, SBOV2_92960.5	KAK4467945.1
OG0000433	SBOV2_27580.6, SBOV2_27580.1, SBOV2_27580.7, SBOV2_27580.2, SBOV2_27580.3, SBOV2_27580.4, SBOV2_27580.5	KAK4473662.1
OG0000434	SBOV2_92450.1, SBOV2_92450.3, SBOV2_92450.5, SBOV2_92450.4, SBOV2_92450.7, SBOV2_92450.6, SBOV2_92450.2	KAK4467761.1
OG0000435	SBOV2_50940.2, SBOV2_50940.7, SBOV2_50940.1, SBOV2_50940.3, SBOV2_50940.4, SBOV2_50940.6, SBOV2_50940.9, SBOV2_50940.5, SBOV2_50940.10, SBOV2_50940.11, SBOV2_50940.8	KAK4469872.1
OG0000436	SBOV2_25140.2, SBOV2_25140.5, SBOV2_25140.6, SBOV2_25140.4, SBOV2_25140.1, SBOV2_25140.3	KAK4473268.1
OG0000437	SBOV2_3160.8, SBOV2_3160.9, SBOV2_3160.3, SBOV2_3160.5, SBOV2_3160.6, SBOV2_3160.7, SBOV2_3160.1, SBOV2_3160.2, SBOV2_3160.4	KAK4475593.1
OG0000438	SBOV2_63140.1	KAK4471311.1
OG0000439	SBOV2_83710.5, SBOV2_83710.1, SBOV2_83710.3, SBOV2_83710.4, SBOV2_83710.2	KAK4468198.1
OG0000440	SBOV2_90050.1, SBOV2_90040.1, SBOV2_96500.1, SBOV2_96500.2, SBOV2_96500.3, SBOV2_96500.4, SBOV2_96500.5	KAK4468410.1, KAK4468411.1
OG0000441	SBOV2_8920.1	KAK4476204.1
OG0000441	SBOV2_14190.1, SBOV2_14190.2	KAK4474578.1
OG0000442	SBOV2_31430.2, SBOV2_31430.5, SBOV2_31430.4, SBOV2_31430.1, SBOV2_31430.3	KAK4474032.1
OG0000443	SBOV2_5730.8, SBOV2_5730.9, SBOV2_5730.6, SBOV2_5730.7, SBOV2_5730.1, SBOV2_5730.2, SBOV2_5730.3, SBOV2_5730.4, SBOV2_5730.5	KAK4475883.1, KAK4475884.1
OG0000444	SBOV2_70540.1	KAK4470100.1
OG0000445	SBOV2_65140.1	KAK4471266.1, KAK4471265.1
OG0000446	SBOV2_8890.1, SBOV2_8970.1	KAK4476206.1
OG0000447	SBOV2_56190.1, SBOV2_56190.2, SBOV2_56190.3	KAK4469770.1
OG0000449	SBOV2_57130.1, SBOV2_57070.1, SBOV2_57100.1, SBOV2_57060.1	KAK4471127.1
OG0000450	SBOV2_24280.6, SBOV2_24280.4, SBOV2_24280.5, SBOV2_24280.1, SBOV2_24280.2, SBOV2_24280.3	KAK4473185.1
OG0000451	SBOV2_96360.1, SBOV2_96360.2, SBOV2_86860.1	KAK4468749.1
OG0000452	SBOV2_28350.1	KAK4473733.1
OG0000453	SBOV2_61750.1	KAK4471747.1
OG0000454	SBOV2_71280.1, SBOV2_71500.1	KAK4470198.1
OG0000455	SBOV2_12200.1, SBOV2_12200.2, SBOV2_12200.3, SBOV2_12200.4, SBOV2_12200.5	KAK4467551.1, KAK4467556.1, KAK4467557.1, KAK4467558.1
OG0000456	SBOV2_70340.5, SBOV2_70340.1, SBOV2_70340.3, SBOV2_70340.6, SBOV2_70340.4, SBOV2_70340.2	KAK4470105.1
OG0000457	SBOV2_39000.1, SBOV2_39000.2, SBOV2_39000.3, SBOV2_39000.5, SBOV2_39000.4	KAK4472829.1, KAK4472828.1
OG0000458	SBOV2_33350.1	KAK4472547.1
OG0000459	SBOV2_9300.6, SBOV2_9300.4, SBOV2_9300.8, SBOV2_9300.7, SBOV2_9300.2, SBOV2_9300.3, SBOV2_9300.5, SBOV2_9300.1	KAK4476162.1
OG0000460	SBOV2_12350.1, SBOV2_12350.2, SBOV2_12350.3, SBOV2_12350.4, SBOV2_12350.5	KAK4474648.1, KAK4467531.1, KAK4474647.1
OG0000461	SBOV2_73180.1, SBOV2_73180.2	KAK4470644.1
OG0000462	SBOV2_92030.3, SBOV2_92030.4, SBOV2_92030.1, SBOV2_92030.2	KAK4467359.1
OG0000463	SBOV2_53420.1, SBOV2_53430.1, SBOV2_53410.1, SBOV2_53410.2	KAK4469707.1
OG0000464	SBOV2_13870.2, SBOV2_13870.1, SBOV2_13870.3	KAK4474498.1
OG0000465	SBOV2_74910.1, SBOV2_74910.4, SBOV2_74910.5, SBOV2_74910.2, SBOV2_74910.3	KAK4470509.1
OG0000466	SBOV2_52330.1	KAK4469330.1
OG0000467	SBOV2_30620.6, SBOV2_30620.4, SBOV2_30620.7, SBOV2_30620.8, SBOV2_30620.2, SBOV2_30620.5, SBOV2_30620.3, SBOV2_30620.1	KAK4473827.1
OG0000468	SBOV2_70080.6, SBOV2_70080.7, SBOV2_70080.2, SBOV2_70080.3, SBOV2_70080.4, SBOV2_70080.1, SBOV2_70080.5	KAK4470611.1
OG0000469	SBOV2_4050.1, SBOV2_4050.2, SBOV2_4050.3, SBOV2_4050.6, SBOV2_4050.5, SBOV2_4050.4	KAK4475681.1, KAK4475679.1
OG0000470	SBOV2_54210.1, SBOV2_54210.2, SBOV2_54210.3, SBOV2_54210.5, SBOV2_54210.6, SBOV2_54210.4	KAK4469640.1
OG0000471	SBOV2_89620.2, SBOV2_89620.3, SBOV2_89620.7, SBOV2_89620.5, SBOV2_89620.4, SBOV2_89620.6, SBOV2_89620.1	KAK4468673.1
OG0000472	SBOV2_30680.1, SBOV2_30690.1	KAK4473823.1
OG0000473	SBOV2_4980.6, SBOV2_4980.5, SBOV2_4980.9, SBOV2_4980.1, SBOV2_4980.2, SBOV2_4980.4, SBOV2_4980.7, SBOV2_4980.3, SBOV2_4980.8	KAK4475783.1
OG0000474	SBOV2_20040.1	KAK4474977.1
OG0000474	SBOV2_45070.1	KAK4469729.1
OG0000475	SBOV2_63350.3, SBOV2_63350.2, SBOV2_63350.1	KAK4471300.1, KAK4471299.1
OG0000476	SBOV2_20900.1, SBOV2_20890.1, SBOV2_20900.7, SBOV2_20900.2, SBOV2_20900.3, SBOV2_20900.4, SBOV2_20900.5, SBOV2_20900.9, SBOV2_20900.6, SBOV2_20900.10, SBOV2_20900.8	KAK4475400.1
OG0000477	SBOV2_44960.4, SBOV2_44960.3, SBOV2_44960.5, SBOV2_44960.1, SBOV2_44960.2, SBOV2_44960.6	KAK4469093.1
OG0000479	SBOV2_36040.1	KAK4472631.1
OG0000480	SBOV2_63600.1	KAK4471463.1
OG0000481	SBOV2_64670.5, SBOV2_64670.7, SBOV2_64670.1, SBOV2_64670.2, SBOV2_64670.3, SBOV2_64670.6, SBOV2_64670.8, SBOV2_64670.4	KAK4471219.1
OG0000482	SBOV2_9670.4, SBOV2_9670.8, SBOV2_9670.5	KAK4474371.1
OG0000483	SBOV2_110.1, SBOV2_110.10, SBOV2_110.11, SBOV2_110.12, SBOV2_110.13, SBOV2_110.14, SBOV2_110.15, SBOV2_110.2, SBOV2_110.3, SBOV2_110.4, SBOV2_110.5, SBOV2_110.6, SBOV2_110.7, SBOV2_110.8, SBOV2_110.9, SBOV2_92050.1, SBOV2_92050.2, SBOV2_92050.3, SBOV2_92060.1, SBOV2_56670.1, SBOV2_56690.1	KAK4471160.1
OG0000484	SBOV2_95630.1, SBOV2_95680.1, SBOV2_95220.1, SBOV2_95070.1, SBOV2_95050.1, SBOV2_95690.1, SBOV2_95640.1	KAK4467873.1
OG0000485	SBOV2_13220.1, SBOV2_13220.2	KAK4474743.1
OG0000487	SBOV2_6110.1, SBOV2_17600.1, SBOV2_17580.1	KAK4468181.1
OG0000488	SBOV2_85050.1, SBOV2_85040.1	KAK4468908.1, KAK4468901.1
OG0000489	SBOV2_56180.4, SBOV2_56180.3, SBOV2_56180.1, SBOV2_56180.5, SBOV2_56150.1, SBOV2_56150.3, SBOV2_56180.2, SBOV2_56150.2	KAK4469769.1
OG0000490	SBOV2_67770.1, SBOV2_67740.1, SBOV2_67750.1, SBOV2_67780.1	KAK4471519.1
OG0000491	SBOV2_37380.1, SBOV2_37380.3, SBOV2_37380.4, SBOV2_37380.7, SBOV2_37380.2, SBOV2_37380.5, SBOV2_37380.6	KAK4472485.1
OG0000492	SBOV2_62050.1, SBOV2_62050.3, SBOV2_62050.4, SBOV2_62050.6, SBOV2_62050.7, SBOV2_62050.8, SBOV2_62050.2, SBOV2_62050.5	KAK4471712.1
OG0000493	SBOV2_46800.1, SBOV2_46820.1	KAK4469124.1
OG0000493	SBOV2_38600.1	KAK4472786.1, KAK4472785.1
OG0000495	SBOV2_3170.2, SBOV2_3170.3, SBOV2_3170.1, SBOV2_3170.4	KAK4475594.1
OG0000496	SBOV2_29870.5, SBOV2_29870.1, SBOV2_29870.2, SBOV2_29870.3, SBOV2_29870.4	KAK4473897.1
OG0000497	SBOV2_5440.4, SBOV2_5450.1, SBOV2_5440.1, SBOV2_5440.2, SBOV2_5440.5, SBOV2_5440.3	KAK4475832.1
OG0000498	SBOV2_24720.4, SBOV2_24720.3, SBOV2_24720.1, SBOV2_24720.2	KAK4473225.1
OG0000498	SBOV2_40380.1	KAK4472209.1
OG0000499	SBOV2_70020.1	KAK4470653.1
OG0000500	SBOV2_18600.3, SBOV2_18600.4, SBOV2_18600.7, SBOV2_18600.6, SBOV2_18600.5, SBOV2_18600.9, SBOV2_18600.2, SBOV2_18600.1, SBOV2_18600.8	KAK4475112.1
OG0000501	SBOV2_25400.1	KAK4472851.1
OG0000502	SBOV2_32050.1, SBOV2_32050.4, SBOV2_32050.5, SBOV2_32050.2, SBOV2_32050.6, SBOV2_32050.7, SBOV2_32050.3, SBOV2_32050.8	KAK4474193.1, KAK4474094.1
OG0000503	SBOV2_3850.4, SBOV2_3850.2, SBOV2_3850.1, SBOV2_3850.3, SBOV2_3850.5, SBOV2_3850.6	KAK4475659.1
OG0000504	SBOV2_46250.4, SBOV2_46250.1, SBOV2_46250.5, SBOV2_46250.2, SBOV2_46250.3, SBOV2_46250.6	KAK4469069.1
OG0000505	SBOV2_26710.8, SBOV2_26710.9, SBOV2_26710.1, SBOV2_26710.2, SBOV2_26710.3, SBOV2_26710.4, SBOV2_26710.5, SBOV2_26710.6, SBOV2_26710.7	KAK4473033.1
OG0000506	SBOV2_9140.2, SBOV2_9140.7, SBOV2_9140.10, SBOV2_9140.1, SBOV2_9140.3, SBOV2_9140.4, SBOV2_9140.8, SBOV2_9140.9, SBOV2_9140.11, SBOV2_9140.5, SBOV2_9140.6	KAK4475979.1, KAK4475980.1
OG0000507	SBOV2_36330.3, SBOV2_36330.1, SBOV2_36330.2	KAK4472652.1
OG0000508	SBOV2_14800.1	KAK4475295.1
OG0000509	SBOV2_48830.1	KAK4469240.1
OG0000509	SBOV2_54480.1, SBOV2_54480.2	KAK4469667.1
OG0000510	SBOV2_77900.1, SBOV2_77900.2	KAK4470887.1
OG0000510	SBOV2_77920.2, SBOV2_77920.4, SBOV2_77920.1, SBOV2_77920.3	KAK4470889.1
OG0000512	SBOV2_53990.6, SBOV2_53990.8, SBOV2_53990.9, SBOV2_53990.2, SBOV2_53990.1, SBOV2_53990.4, SBOV2_53990.5, SBOV2_53990.7, SBOV2_53990.10, SBOV2_53990.3	KAK4469151.1
OG0000514	SBOV2_44970.1	KAK4469103.1
OG0000515	SBOV2_14440.4, SBOV2_14440.2, SBOV2_14440.5, SBOV2_14440.3, SBOV2_14440.6, SBOV2_14440.1, SBOV2_14440.7	KAK4474608.1
OG0000516	SBOV2_62780.10, SBOV2_62780.11, SBOV2_62780.6, SBOV2_62780.7, SBOV2_62780.9, SBOV2_62780.3, SBOV2_62780.2, SBOV2_62780.4, SBOV2_62780.8, SBOV2_62780.1, SBOV2_62780.5	KAK4471404.1, KAK4471405.1
OG0000517	SBOV2_25430.1, SBOV2_25430.4, SBOV2_25430.3, SBOV2_25430.6, SBOV2_25430.2, SBOV2_25430.5, SBOV2_25430.7, SBOV2_25430.8	KAK4472849.1
OG0000521	SBOV2_71010.2, SBOV2_71010.4, SBOV2_71010.1, SBOV2_71010.5, SBOV2_71010.6, SBOV2_71010.3	KAK4470167.1
OG0000522	SBOV2_56380.1, SBOV2_56320.1, SBOV2_56350.1, SBOV2_56290.1, SBOV2_56310.1, SBOV2_22120.1, SBOV2_56370.1, SBOV2_94580.1	KAK4469781.1
OG0000523	SBOV2_76060.1, SBOV2_76060.2, SBOV2_76060.5, SBOV2_76060.6, SBOV2_76060.7, SBOV2_76060.8, SBOV2_76060.4, SBOV2_76060.3	KAK4470425.1
OG0000524	SBOV2_12260.1	KAK4474637.1, KAK4467261.1
OG0000525	SBOV2_54970.1	KAK4469434.1
OG0000526	SBOV2_16410.1, SBOV2_16410.2, SBOV2_16410.3, SBOV2_16410.4, SBOV2_16410.5	KAK4474864.1
OG0000527	SBOV2_95700.1, SBOV2_18510.1, SBOV2_18510.2, SBOV2_18510.10, SBOV2_18510.3, SBOV2_18510.4, SBOV2_18510.5, SBOV2_18510.6, SBOV2_18510.7, SBOV2_18510.8, SBOV2_18510.9	KAK4475122.1
OG0000528	SBOV2_35500.1, SBOV2_35500.3, SBOV2_35500.4, SBOV2_35500.2	KAK4472573.1
OG0000529	SBOV2_15300.1, SBOV2_15300.2, SBOV2_15300.3, SBOV2_15300.4, SBOV2_15300.5, SBOV2_15300.6	KAK4475249.1
OG0000530	SBOV2_92080.1, SBOV2_92080.2	KAK4467723.1
OG0000530	SBOV2_94820.1, SBOV2_94860.1, SBOV2_94850.1	KAK4467863.1, KAK4467865.1
OG0000531	SBOV2_76790.2, SBOV2_76790.1, SBOV2_76790.3, SBOV2_76790.4, SBOV2_76790.5, SBOV2_76790.7, SBOV2_76790.6	KAK4470778.1
OG0000532	SBOV2_4970.1, SBOV2_4970.3, SBOV2_4970.6, SBOV2_4970.5, SBOV2_4970.2, SBOV2_4970.4	KAK4467382.1, KAK4475786.1
OG0000533	SBOV2_18660.1, SBOV2_18660.3, SBOV2_18660.5, SBOV2_18660.2, SBOV2_18660.4, SBOV2_18660.6, SBOV2_18660.7	KAK4475105.1
OG0000534	SBOV2_70260.4, SBOV2_70260.1, SBOV2_70260.2, SBOV2_70260.3, SBOV2_70260.5, SBOV2_70260.6	KAK4470412.1
OG0000535	SBOV2_58300.1, SBOV2_58330.1	KAK4472091.1
OG0000536	SBOV2_65630.1, SBOV2_65630.2, SBOV2_65560.1	KAK4471326.1
OG0000537	SBOV2_52160.4, SBOV2_52160.7, SBOV2_52160.8, SBOV2_52160.3, SBOV2_52160.5, SBOV2_52160.10, SBOV2_52160.9, SBOV2_52160.1, SBOV2_52160.6, SBOV2_52160.2	KAK4469348.1
OG0000538	SBOV2_85020.3, SBOV2_85020.1, SBOV2_85020.2, SBOV2_91480.1, SBOV2_91470.1	KAK4475760.1, KAK4475761.1
OG0000539	SBOV2_46130.2, SBOV2_46130.3, SBOV2_46130.4, SBOV2_46130.1	KAK4469058.1
OG0000540	SBOV2_5700.1, SBOV2_5700.2, SBOV2_5700.4, SBOV2_5700.8, SBOV2_5700.9, SBOV2_5700.10, SBOV2_5700.6, SBOV2_5700.7, SBOV2_5700.3, SBOV2_5700.5	KAK4475879.1
OG0000541	SBOV2_38790.1, SBOV2_38790.4, SBOV2_38790.2, SBOV2_38790.3	KAK4472810.1
OG0000542	SBOV2_86350.11, SBOV2_86350.1, SBOV2_86350.2, SBOV2_86350.10, SBOV2_86350.3, SBOV2_86350.7, SBOV2_86350.8, SBOV2_86350.9, SBOV2_86350.4, SBOV2_86350.5, SBOV2_86350.6, SBOV2_86350.12	KAK4468792.1
OG0000543	SBOV2_14730.1	KAK4475287.1
OG0000544	SBOV2_78910.1, SBOV2_78910.2, SBOV2_78910.3, SBOV2_78910.4, SBOV2_78910.5, SBOV2_78910.6	KAK4470987.1
OG0000545	SBOV2_45910.1	KAK4469836.1
OG0000545	SBOV2_69190.1	KAK4470093.1
OG0000546	SBOV2_38050.1, SBOV2_38050.2	KAK4472420.1
OG0000547	SBOV2_89440.3, SBOV2_89440.2, SBOV2_89440.1, SBOV2_89440.4	KAK4468655.1
OG0000548	SBOV2_37950.8, SBOV2_37950.1, SBOV2_37950.2, SBOV2_37950.4, SBOV2_37950.5, SBOV2_37950.6, SBOV2_37950.7, SBOV2_37950.3	KAK4472431.1
OG0000549	SBOV2_10750.4, SBOV2_10750.2, SBOV2_10750.3, SBOV2_10750.1, SBOV2_10750.5, SBOV2_10750.6, SBOV2_10750.7	KAK4474391.1
OG0000550	SBOV2_18130.1	KAK4475158.1
OG0000551	SBOV2_48080.1	KAK4469305.1
OG0000551	SBOV2_48080.1	KAK4469306.1
OG0000552	SBOV2_5470.1	KAK4475830.1
OG0000553	SBOV2_93560.3, SBOV2_93560.4, SBOV2_93560.2	KAK4467767.1
OG0000554	SBOV2_10870.2, SBOV2_10870.6, SBOV2_10870.7, SBOV2_10870.4, SBOV2_10870.1, SBOV2_10870.3, SBOV2_10870.5	KAK4474414.1
OG0000555	SBOV2_42790.3, SBOV2_42790.2, SBOV2_42790.1, SBOV2_42790.4	KAK4467388.1
OG0000556	SBOV2_65450.1, SBOV2_65450.4, SBOV2_65450.6, SBOV2_65450.7, SBOV2_65450.5, SBOV2_65450.3, SBOV2_65450.2	KAK4471444.1
OG0000557	SBOV2_29940.1, SBOV2_29940.2, SBOV2_29940.3, SBOV2_29940.5, SBOV2_29940.4, SBOV2_29940.6	KAK4473888.1
OG0000558	SBOV2_17300.7, SBOV2_17300.8, SBOV2_17300.3, SBOV2_17300.2, SBOV2_17300.1, SBOV2_17300.4, SBOV2_17300.5, SBOV2_17300.6, SBOV2_17300.9	KAK4474954.1
OG0000559	SBOV2_80010.1, SBOV2_80010.3, SBOV2_80010.2	KAK4468120.1
OG0000560	SBOV2_95600.1, SBOV2_95600.2, SBOV2_95600.3, SBOV2_95600.4	KAK4467821.1
OG0000561	SBOV2_93990.2, SBOV2_93990.1	KAK4467648.1
OG0000561	SBOV2_94000.1	KAK4467649.1
OG0000562	SBOV2_83870.1, SBOV2_83890.1	KAK4468116.1
OG0000563	SBOV2_19430.5, SBOV2_19430.3, SBOV2_19430.1, SBOV2_19430.2, SBOV2_19430.4	KAK4475031.1
OG0000564	SBOV2_25900.2, SBOV2_25900.1	KAK4473434.1
OG0000565	SBOV2_3480.1, SBOV2_3480.2, SBOV2_3480.6, SBOV2_3480.5, SBOV2_3480.4, SBOV2_3480.3	KAK4476074.1
