Orthogroup	schistosoma_bovis	opisthorchis_viverrini
OG0000987	SBOV2_82510.1, SBOV2_82510.2, SBOV2_82510.3, SBOV2_82510.4	T265_02383
OG0000989	SBOV2_54140.3, SBOV2_54140.1, SBOV2_54140.2	T265_04299
OG0000990	SBOV2_4760.1	T265_08682
OG0000991	SBOV2_58340.15, SBOV2_58340.11, SBOV2_58340.10, SBOV2_58340.3, SBOV2_58340.8, SBOV2_58340.16, SBOV2_58340.9, SBOV2_58340.2, SBOV2_58340.17, SBOV2_58340.1, SBOV2_58340.6, SBOV2_58340.12, SBOV2_58340.13, SBOV2_58340.4, SBOV2_58340.14, SBOV2_58340.5, SBOV2_58340.7	T265_13030
OG0000992	SBOV2_43520.1	T265_01516
OG0000993	SBOV2_77160.2, SBOV2_77160.3, SBOV2_77160.1	T265_14754
OG0000994	SBOV2_33740.2, SBOV2_33740.3, SBOV2_33740.4, SBOV2_33740.1, SBOV2_33740.9, SBOV2_33740.8, SBOV2_33740.5, SBOV2_33740.6, SBOV2_33740.7	T265_02553
OG0000995	SBOV2_79480.5, SBOV2_79480.3, SBOV2_79480.1, SBOV2_79480.2, SBOV2_79480.4	T265_13745
OG0000996	SBOV2_63980.1, SBOV2_63980.2, SBOV2_63980.3, SBOV2_63980.4, SBOV2_63980.5	T265_00610
OG0000997	SBOV2_89340.10, SBOV2_89340.7, SBOV2_89340.8, SBOV2_89340.9, SBOV2_89340.1, SBOV2_89340.2, SBOV2_89340.3, SBOV2_89340.4, SBOV2_89340.5, SBOV2_89340.6	T265_13758
OG0000998	SBOV2_55040.1	T265_02907
OG0000999	SBOV2_29820.1, SBOV2_29820.2, SBOV2_29820.3, SBOV2_29820.5, SBOV2_29820.4	T265_02983
OG0001000	SBOV2_7000.2, SBOV2_7000.1	T265_02450
OG0001003	SBOV2_35430.1	T265_02803
OG0001004	SBOV2_15340.1, SBOV2_15340.11, SBOV2_15340.12, SBOV2_15340.13, SBOV2_15340.2, SBOV2_15340.3, SBOV2_15340.4, SBOV2_15340.5, SBOV2_15340.6, SBOV2_15340.7, SBOV2_15340.8, SBOV2_15340.9, SBOV2_15340.10	T265_15034
OG0001009	SBOV2_87130.3, SBOV2_87130.4, SBOV2_87130.1, SBOV2_87130.2	T265_08731
OG0001010	SBOV2_59860.4, SBOV2_59860.5, SBOV2_59860.6, SBOV2_59860.2, SBOV2_59860.3, SBOV2_59860.1, SBOV2_59860.7	T265_06725
OG0001011	SBOV2_28090.1, SBOV2_28120.1, SBOV2_28100.1	T265_13048
OG0001012	SBOV2_5140.2, SBOV2_5140.3, SBOV2_5140.4, SBOV2_5140.5, SBOV2_5140.7, SBOV2_5140.1, SBOV2_5140.6	T265_06918
OG0001013	SBOV2_13510.2, SBOV2_13510.3, SBOV2_13510.4, SBOV2_13510.1	T265_10272, T265_16022
OG0001014	SBOV2_4070.1	T265_12060, T265_16314
OG0001015	SBOV2_29360.2, SBOV2_29360.3, SBOV2_29360.4, SBOV2_29360.1	T265_11538, T265_15411, T265_10528, T265_15958
OG0001016	SBOV2_30010.1, SBOV2_30010.2	T265_01892
OG0001017	SBOV2_15200.1, SBOV2_15200.2, SBOV2_15200.3	T265_03456
OG0001018	SBOV2_37900.3, SBOV2_37900.1, SBOV2_37900.2	T265_11985
OG0001019	SBOV2_25690.1	T265_06404, T265_12347
OG0001020	SBOV2_10640.1, SBOV2_10640.2, SBOV2_10640.3	T265_14664
OG0001021	SBOV2_38130.2, SBOV2_38130.4, SBOV2_38130.5, SBOV2_38130.3, SBOV2_38130.1	T265_05434
OG0001022	SBOV2_20480.3, SBOV2_20480.2, SBOV2_20480.1	T265_08582
OG0001023	SBOV2_62660.1	T265_14386
OG0001024	SBOV2_77300.1, SBOV2_77300.3, SBOV2_77300.5, SBOV2_77300.6, SBOV2_77300.2, SBOV2_77300.4, SBOV2_77300.7, SBOV2_77300.8	T265_15215
OG0001026	SBOV2_48960.1	T265_08689
OG0001027	SBOV2_1010.1, SBOV2_1010.3, SBOV2_1010.4, SBOV2_1010.5, SBOV2_1010.2	T265_05249
OG0001028	SBOV2_49990.3, SBOV2_49990.2, SBOV2_49990.1	T265_02150
OG0001029	SBOV2_49160.1, SBOV2_49160.2, SBOV2_49160.3, SBOV2_49160.4	T265_06784
OG0001030	SBOV2_38750.1	T265_03534
OG0001031	SBOV2_69950.1	T265_02198
OG0001032	SBOV2_64010.1	T265_07791
OG0001033	SBOV2_71360.1	T265_12072
OG0001034	SBOV2_51550.1, SBOV2_51560.1, SBOV2_51560.2, SBOV2_51560.3	T265_00015
OG0001035	SBOV2_51010.1	T265_07899, T265_11146, T265_07897, T265_11147
OG0001036	SBOV2_16940.1, SBOV2_16940.2, SBOV2_16940.3	T265_15152
OG0001038	SBOV2_1590.3, SBOV2_1590.1, SBOV2_1590.2, SBOV2_1590.4	T265_06836
OG0001039	SBOV2_40240.1, SBOV2_40240.2	T265_13311
OG0001040	SBOV2_80980.11, SBOV2_80980.6, SBOV2_80980.1, SBOV2_80980.5, SBOV2_80980.3, SBOV2_80980.2, SBOV2_80980.4, SBOV2_80980.8, SBOV2_80980.10, SBOV2_80980.9, SBOV2_80980.7	T265_08277
OG0001041	SBOV2_93190.1	T265_02769, T265_02770
OG0001042	SBOV2_11720.1	T265_09868, T265_16047
OG0001043	SBOV2_47790.6, SBOV2_47790.1, SBOV2_47790.3, SBOV2_47790.2, SBOV2_47790.5, SBOV2_47790.4	T265_04066
OG0001045	SBOV2_66530.7, SBOV2_66530.3, SBOV2_66530.6, SBOV2_66530.4, SBOV2_66530.5, SBOV2_66530.1, SBOV2_66530.2	T265_14190
OG0001046	SBOV2_54450.8, SBOV2_54450.1, SBOV2_54450.2, SBOV2_54450.5, SBOV2_54450.4, SBOV2_54450.3, SBOV2_54450.6, SBOV2_54450.7	T265_00122
OG0001047	SBOV2_94750.1	T265_14657, T265_15967
OG0001048	SBOV2_77220.2, SBOV2_77220.3, SBOV2_77220.7, SBOV2_77220.6, SBOV2_77220.1, SBOV2_77220.8	T265_05921
OG0001049	SBOV2_50340.7, SBOV2_50340.5, SBOV2_50340.1, SBOV2_50340.2, SBOV2_50340.3, SBOV2_50340.4, SBOV2_50340.6	T265_01366
OG0001050	SBOV2_61840.2, SBOV2_61840.1	T265_06070
OG0001051	SBOV2_86990.1, SBOV2_86990.2, SBOV2_86990.3, SBOV2_86990.4, SBOV2_86990.5	T265_08900
OG0001052	SBOV2_50370.3, SBOV2_50370.2, SBOV2_50370.1	T265_03515, T265_03514
OG0001053	SBOV2_63060.3, SBOV2_63060.9, SBOV2_63060.7, SBOV2_63060.1, SBOV2_63060.6, SBOV2_63060.4, SBOV2_63060.10, SBOV2_63060.2, SBOV2_63060.5, SBOV2_63060.8	T265_10644
OG0001054	SBOV2_11480.2, SBOV2_11480.3, SBOV2_11450.1, SBOV2_11480.1	T265_07774
OG0001056	SBOV2_57440.1, SBOV2_57440.5, SBOV2_57440.6, SBOV2_57440.2, SBOV2_57440.3, SBOV2_57440.4, SBOV2_57440.7	T265_06907
OG0001057	SBOV2_86810.1	T265_08393
OG0001058	SBOV2_60480.1, SBOV2_60480.2	T265_09765, T265_07871
OG0001059	SBOV2_16500.1	T265_09693
OG0001060	SBOV2_63330.1, SBOV2_63330.2, SBOV2_63340.1	T265_08792, T265_05830, T265_12211
OG0001061	SBOV2_10820.3, SBOV2_10820.1, SBOV2_10820.2, SBOV2_10820.6, SBOV2_10820.5, SBOV2_10810.1, SBOV2_10820.4	T265_10435
OG0001062	SBOV2_48260.1, SBOV2_48260.2, SBOV2_48260.3, SBOV2_48260.4	T265_10952
OG0001068	SBOV2_74960.1	T265_05783
OG0001070	SBOV2_62710.1	T265_01150
OG0001070	SBOV2_75370.1	T265_03875
OG0001071	SBOV2_64710.4, SBOV2_64710.1, SBOV2_64710.2, SBOV2_64710.3	T265_01413, T265_01414
OG0001072	SBOV2_25650.3, SBOV2_25650.1, SBOV2_25650.4, SBOV2_25650.2, SBOV2_25650.6, SBOV2_25650.5, SBOV2_25650.7	T265_11095
OG0001073	SBOV2_16320.3, SBOV2_16320.4, SBOV2_16320.10, SBOV2_16320.12, SBOV2_16320.7, SBOV2_16320.1, SBOV2_16320.11, SBOV2_16320.2, SBOV2_16320.5, SBOV2_16320.6, SBOV2_16320.8, SBOV2_16320.9	T265_06687
OG0001074	SBOV2_40050.1	T265_07051
OG0001075	SBOV2_61450.1	T265_00485
OG0001076	SBOV2_45700.1, SBOV2_45700.3, SBOV2_45700.2	T265_04766
OG0001077	SBOV2_49460.3, SBOV2_49460.4, SBOV2_49460.1, SBOV2_49460.5, SBOV2_49460.2, SBOV2_49460.6, SBOV2_49460.7	T265_03589
OG0001078	SBOV2_60880.1, SBOV2_60880.2, SBOV2_60880.3	T265_01377
OG0001079	SBOV2_74430.1, SBOV2_74440.1, SBOV2_74440.2, SBOV2_74440.3, SBOV2_74440.4	T265_01997
OG0001080	SBOV2_72980.3, SBOV2_72980.1, SBOV2_72980.2	T265_03280, T265_06062
OG0001081	SBOV2_33710.2, SBOV2_33710.1, SBOV2_33710.5, SBOV2_33710.3, SBOV2_33710.4, SBOV2_33700.1	T265_02594
OG0001082	SBOV2_48050.2, SBOV2_48050.1, SBOV2_48050.3	T265_14341
OG0001083	SBOV2_93340.5, SBOV2_93340.1, SBOV2_93340.2, SBOV2_93340.4, SBOV2_93340.3	T265_05304
OG0001084	SBOV2_20160.2, SBOV2_20160.3, SBOV2_20160.1, SBOV2_20160.4	T265_03430
OG0001085	SBOV2_94340.1, SBOV2_94340.2	T265_05309
OG0001086	SBOV2_71090.1	T265_00332
OG0001087	SBOV2_54230.1	T265_02349, T265_02348, T265_04933
OG0001088	SBOV2_96490.1, SBOV2_23040.1, SBOV2_24070.1	T265_14908
OG0001089	SBOV2_64690.3, SBOV2_64690.1, SBOV2_64690.2, SBOV2_64690.5, SBOV2_64690.4	T265_04203
OG0001090	SBOV2_95330.1, SBOV2_95330.2, SBOV2_95330.3, SBOV2_95330.4, SBOV2_95330.5, SBOV2_95330.6, SBOV2_95330.7, SBOV2_95330.8	T265_05314
OG0001091	SBOV2_47940.1, SBOV2_47940.2, SBOV2_47940.4, SBOV2_47940.5, SBOV2_47940.3, SBOV2_47940.6	T265_08694
OG0001092	SBOV2_96870.1, SBOV2_69170.1, SBOV2_69170.2, SBOV2_69170.3, SBOV2_69150.1	T265_05477
OG0001094	SBOV2_31030.4, SBOV2_31030.3, SBOV2_31030.5, SBOV2_31030.1, SBOV2_31030.2, SBOV2_31030.6	T265_01493
OG0001095	SBOV2_54530.1	T265_12507, T265_12509
OG0001096	SBOV2_18900.5, SBOV2_18900.1, SBOV2_18900.2, SBOV2_18900.3, SBOV2_18900.4	T265_02087
OG0001097	SBOV2_68850.1	T265_12596, T265_12597
OG0001098	SBOV2_35700.6, SBOV2_35700.1, SBOV2_35700.2, SBOV2_35700.3, SBOV2_35700.4, SBOV2_35700.5	T265_03530
OG0001099	SBOV2_91350.1	T265_09134
OG0001100	SBOV2_67560.5, SBOV2_67560.3, SBOV2_67560.1, SBOV2_67560.2, SBOV2_67560.4	T265_12718
OG0001101	SBOV2_45150.1, SBOV2_45150.2	T265_01277
OG0001102	SBOV2_61990.1, SBOV2_61990.3, SBOV2_61990.2	T265_07011
OG0001103	SBOV2_93210.1, SBOV2_93210.3, SBOV2_93210.4, SBOV2_93210.2	T265_11524, T265_11526
OG0001105	SBOV2_35630.1, SBOV2_35630.2, SBOV2_35630.4, SBOV2_35630.3	T265_00108
OG0001106	SBOV2_67850.6, SBOV2_67850.4, SBOV2_67850.1, SBOV2_67850.3, SBOV2_67850.2, SBOV2_67850.5	T265_03131
OG0001107	SBOV2_54110.1, SBOV2_54110.2, SBOV2_54110.3	T265_01259
OG0001108	SBOV2_39010.2, SBOV2_39010.1	T265_04027
OG0001109	SBOV2_33660.2, SBOV2_33660.6, SBOV2_33660.3, SBOV2_33660.4, SBOV2_33660.1, SBOV2_33660.5	T265_15651
OG0001110	SBOV2_3950.3, SBOV2_3950.1, SBOV2_3950.2	T265_03630
OG0001111	SBOV2_48370.1	T265_15867
OG0001112	SBOV2_94520.1, SBOV2_94500.1, SBOV2_94510.1	T265_07938
OG0001113	SBOV2_7630.1	T265_01569
OG0001114	SBOV2_6570.1	T265_10355
OG0001115	SBOV2_93310.5, SBOV2_93310.8, SBOV2_93310.7, SBOV2_93310.4, SBOV2_93310.9, SBOV2_93310.3, SBOV2_93310.2, SBOV2_93310.10, SBOV2_93310.1, SBOV2_93310.6	T265_14281
OG0001116	SBOV2_81010.1	T265_04971
OG0001117	SBOV2_14860.4, SBOV2_14860.1, SBOV2_14860.3, SBOV2_14860.2	T265_09895, T265_16078
OG0001118	SBOV2_70730.1	T265_15682
OG0001119	SBOV2_64660.1	T265_00531
OG0001120	SBOV2_36030.4, SBOV2_36030.2, SBOV2_36030.1, SBOV2_36030.5, SBOV2_36030.3	T265_14589, T265_14590
OG0001121	SBOV2_56050.2, SBOV2_56050.6, SBOV2_56050.7, SBOV2_56050.1, SBOV2_56050.4, SBOV2_56050.5, SBOV2_56050.3	T265_02829
OG0001122	SBOV2_78480.1	T265_01758
OG0001123	SBOV2_87700.5, SBOV2_87700.8, SBOV2_87700.7, SBOV2_87700.1, SBOV2_87700.2, SBOV2_87700.3, SBOV2_87700.4, SBOV2_87700.6	T265_01870
OG0001124	SBOV2_29790.1	T265_12781
OG0001125	SBOV2_13490.1, SBOV2_13460.1	T265_11059, T265_11060, T265_05778
OG0001129	SBOV2_30100.1	T265_03641
OG0001130	SBOV2_11810.1	T265_02467
OG0001131	SBOV2_73130.1, SBOV2_73130.2, SBOV2_73120.1	T265_08223
OG0001132	SBOV2_82320.1	T265_02407
OG0001133	SBOV2_95350.1	T265_03046
OG0001133	SBOV2_15590.1	T265_14376, T265_07758, T265_14375
OG0001134	SBOV2_64870.3, SBOV2_64870.4, SBOV2_64870.5, SBOV2_64870.7, SBOV2_64870.1, SBOV2_64870.2, SBOV2_64870.6, SBOV2_65260.1, SBOV2_65260.2	T265_10110
OG0001135	SBOV2_33230.1, SBOV2_33230.2, SBOV2_33230.3, SBOV2_33230.4	T265_08862
OG0001136	SBOV2_23200.2, SBOV2_23200.3, SBOV2_23200.10, SBOV2_23200.7, SBOV2_23200.9, SBOV2_23200.4, SBOV2_23200.5, SBOV2_23200.6, SBOV2_23200.1, SBOV2_23200.8, SBOV2_23200.11	T265_05385
OG0001137	SBOV2_52080.1, SBOV2_52080.2, SBOV2_52090.1, SBOV2_52080.3	T265_00383
OG0001138	SBOV2_19980.5, SBOV2_19980.7, SBOV2_19980.9, SBOV2_19980.4, SBOV2_19980.6, SBOV2_19980.2, SBOV2_19980.1, SBOV2_19980.3, SBOV2_19980.8	T265_10030
OG0001139	SBOV2_30350.1, SBOV2_30350.2, SBOV2_30350.3	T265_13523
OG0001140	SBOV2_45630.1, SBOV2_45630.2	T265_04041
OG0001141	SBOV2_78890.2, SBOV2_78890.1	T265_05904
OG0001142	SBOV2_12770.1	T265_08036
OG0001143	SBOV2_62440.1	T265_00671
OG0001144	SBOV2_31540.1, SBOV2_31540.2, SBOV2_31540.3, SBOV2_31540.4	T265_07617
OG0001145	SBOV2_65020.1, SBOV2_65020.2, SBOV2_65020.3, SBOV2_65020.6, SBOV2_65020.4, SBOV2_65020.5	T265_00186
OG0001146	SBOV2_4430.1, SBOV2_4430.2	T265_06313
OG0001147	SBOV2_7750.1	T265_07177
OG0001149	SBOV2_77240.1, SBOV2_77240.2, SBOV2_77240.3	T265_05953
OG0001150	SBOV2_53520.1, SBOV2_53520.6, SBOV2_53520.2, SBOV2_53520.3, SBOV2_53520.4, SBOV2_53520.5	T265_00437
OG0001151	SBOV2_88380.1, SBOV2_88380.2, SBOV2_88380.3	T265_15472, T265_13441
OG0001152	SBOV2_12590.1	T265_14381
OG0001153	SBOV2_68670.4, SBOV2_68670.1, SBOV2_68670.2, SBOV2_68670.3	T265_01176
OG0001154	SBOV2_43220.1, SBOV2_43220.2, SBOV2_43220.3, SBOV2_43220.4	T265_04740
OG0001155	SBOV2_47850.1	T265_04064
OG0001156	SBOV2_96340.1, SBOV2_96340.2, SBOV2_7800.1, SBOV2_7800.2	T265_06433
OG0001157	SBOV2_62470.1	T265_14481
OG0001158	SBOV2_41560.1, SBOV2_41560.2, SBOV2_41560.4, SBOV2_41560.5, SBOV2_41560.3	T265_06397
OG0001159	SBOV2_91190.2, SBOV2_91190.5, SBOV2_91190.1, SBOV2_91190.3, SBOV2_91190.4	T265_09195
OG0001161	SBOV2_67860.1, SBOV2_65150.1, SBOV2_65150.2	T265_00653, T265_08935, T265_08936, T265_13517
OG0001162	SBOV2_31960.1, SBOV2_31960.2, SBOV2_31960.5, SBOV2_31960.3, SBOV2_31960.4, SBOV2_31960.6	T265_04454
OG0001163	SBOV2_76240.10, SBOV2_76240.1, SBOV2_76240.7, SBOV2_76240.4, SBOV2_76240.8, SBOV2_76240.2, SBOV2_76240.3, SBOV2_76240.6, SBOV2_76240.5, SBOV2_76240.9	T265_07853
OG0001164	SBOV2_80110.1	T265_12833
OG0001165	SBOV2_57200.2, SBOV2_57200.1, SBOV2_57200.3, SBOV2_57200.4	T265_08213
OG0001166	SBOV2_10790.3, SBOV2_10790.1, SBOV2_10790.2	T265_05263, T265_09404
OG0001167	SBOV2_31970.1, SBOV2_31970.3, SBOV2_31970.5, SBOV2_31970.2, SBOV2_31970.4	T265_08105
OG0001168	SBOV2_12380.4, SBOV2_12380.2, SBOV2_12380.3, SBOV2_12380.1	T265_15277
OG0001169	SBOV2_49490.1	T265_08843, T265_16294
OG0001170	SBOV2_11130.1, SBOV2_11130.3, SBOV2_11130.4, SBOV2_11130.5, SBOV2_11130.2	T265_01846
OG0001171	SBOV2_15150.1, SBOV2_15150.2	T265_10087, T265_11342
OG0001172	SBOV2_60080.1, SBOV2_60080.6, SBOV2_60080.2, SBOV2_60080.4, SBOV2_60080.5, SBOV2_60080.3	T265_08932, T265_15849
OG0001173	SBOV2_1790.1	T265_14048, T265_14047
OG0001174	SBOV2_9610.3, SBOV2_9610.1, SBOV2_9610.2	T265_12676
OG0001175	SBOV2_53450.1, SBOV2_53450.3, SBOV2_53450.4, SBOV2_53450.5, SBOV2_53450.6, SBOV2_53450.2	T265_01290
OG0001176	SBOV2_72620.1, SBOV2_72620.2, SBOV2_72620.3, SBOV2_72620.4	T265_00168
OG0001177	SBOV2_24310.5, SBOV2_24310.6, SBOV2_24310.7, SBOV2_24310.2, SBOV2_24310.1, SBOV2_24310.3, SBOV2_24310.8, SBOV2_24310.4, SBOV2_24300.1	T265_09629
OG0001178	SBOV2_2650.1, SBOV2_2640.1	T265_13363
OG0001179	SBOV2_92220.4, SBOV2_92220.5, SBOV2_92220.1, SBOV2_92220.2, SBOV2_92220.3	T265_05221
OG0001180	SBOV2_9190.4, SBOV2_9190.3, SBOV2_9190.1, SBOV2_9190.2	T265_13220
OG0001181	SBOV2_57250.1, SBOV2_57250.3, SBOV2_57250.2	T265_11423
OG0001183	SBOV2_10840.2, SBOV2_10840.4, SBOV2_10840.3, SBOV2_10840.1	T265_02454
OG0001184	SBOV2_3550.3, SBOV2_3550.4, SBOV2_3550.5, SBOV2_3550.1, SBOV2_3550.2	T265_00213
OG0001185	SBOV2_10450.3, SBOV2_10450.4, SBOV2_10450.1, SBOV2_10450.2, SBOV2_10450.5	T265_04552
OG0001186	SBOV2_4930.1, SBOV2_4930.10, SBOV2_4930.11, SBOV2_4930.2, SBOV2_4930.3, SBOV2_4930.4, SBOV2_4930.6, SBOV2_4930.7, SBOV2_4930.8, SBOV2_4930.9, SBOV2_4930.5, SBOV2_4930.12	T265_12678
OG0001187	SBOV2_36320.4, SBOV2_36320.3, SBOV2_36320.2, SBOV2_36320.1	T265_02980
OG0001188	SBOV2_7500.2, SBOV2_7500.1, SBOV2_7500.3, SBOV2_7500.4, SBOV2_7500.5	T265_15159
OG0001189	SBOV2_14100.1	T265_00193
OG0001190	SBOV2_31480.3, SBOV2_31480.1, SBOV2_31480.2, SBOV2_31480.4, SBOV2_31480.5	T265_11824
OG0001191	SBOV2_6890.3, SBOV2_6890.1, SBOV2_6890.2	T265_07275
OG0001192	SBOV2_41920.2, SBOV2_41920.3, SBOV2_41920.4, SBOV2_41920.1	T265_07070
OG0001193	SBOV2_81810.1, SBOV2_81810.2	T265_15398, T265_11656, T265_03245, T265_13788
OG0001194	SBOV2_6410.6, SBOV2_6410.2, SBOV2_6410.3, SBOV2_6410.4, SBOV2_6410.5, SBOV2_6410.7, SBOV2_6410.8, SBOV2_6410.1	T265_06139, T265_06140
OG0001197	SBOV2_21750.1, SBOV2_96380.1	T265_11253
OG0001202	SBOV2_13170.1, SBOV2_13170.2	T265_05149
OG0001203	SBOV2_1390.1	T265_05114
OG0001203	SBOV2_79990.1	T265_07810
OG0001204	SBOV2_66220.3, SBOV2_66220.4, SBOV2_66220.9, SBOV2_66220.1, SBOV2_66220.7, SBOV2_66220.8, SBOV2_66220.10, SBOV2_66220.2, SBOV2_66220.6, SBOV2_66220.5	T265_10589
OG0001205	SBOV2_31310.1, SBOV2_31310.2	T265_10082
OG0001207	SBOV2_14660.2, SBOV2_14660.4, SBOV2_14660.5, SBOV2_14660.7, SBOV2_14660.8, SBOV2_14660.1, SBOV2_14660.3, SBOV2_14660.6	T265_11953
OG0001208	SBOV2_29620.1, SBOV2_29620.2, SBOV2_29620.3	T265_11311
OG0001209	SBOV2_48120.1, SBOV2_48120.2, SBOV2_48120.3	T265_08686
OG0001210	SBOV2_92100.1	T265_04627
OG0001211	SBOV2_17040.1, SBOV2_17040.4, SBOV2_17040.2, SBOV2_17040.3	T265_10917
OG0001212	SBOV2_23970.1, SBOV2_23970.2, SBOV2_23970.3, SBOV2_23970.4	T265_05206
OG0001213	SBOV2_6720.3, SBOV2_6720.2, SBOV2_6720.1, SBOV2_6720.4	T265_03062
OG0001214	SBOV2_39150.1, SBOV2_39150.2	T265_01374
OG0001215	SBOV2_63310.1	T265_09785
OG0001216	SBOV2_40870.1, SBOV2_40870.2, SBOV2_40870.3	T265_01025
OG0001217	SBOV2_72250.2, SBOV2_72250.3, SBOV2_72250.1	T265_15227
OG0001218	SBOV2_12280.1, SBOV2_12280.2, SBOV2_12280.3, SBOV2_12280.4, SBOV2_12280.5	T265_03088
OG0001219	SBOV2_1210.3, SBOV2_1210.2, SBOV2_1210.1	T265_06431
OG0001220	SBOV2_93840.1	T265_12016, T265_12232
OG0001221	SBOV2_62020.1, SBOV2_62020.2, SBOV2_62020.3	T265_15143
OG0001222	SBOV2_90910.1, SBOV2_90910.2, SBOV2_90910.3, SBOV2_90910.4	T265_02622
OG0001223	SBOV2_34930.1, SBOV2_34930.2	T265_00721
OG0001224	SBOV2_81380.1	T265_14840
OG0001225	SBOV2_58380.1, SBOV2_58390.1	T265_15456
OG0001226	SBOV2_45400.1, SBOV2_45400.2, SBOV2_45400.4, SBOV2_45400.3	T265_12558
OG0001227	SBOV2_61470.7, SBOV2_61470.1, SBOV2_61470.3, SBOV2_61470.2, SBOV2_61470.5, SBOV2_61470.6, SBOV2_61470.4, SBOV2_61470.8	T265_08672
OG0001229	SBOV2_37110.5, SBOV2_37110.1, SBOV2_37110.3, SBOV2_37110.4, SBOV2_37110.6, SBOV2_37110.7, SBOV2_37110.2, SBOV2_37110.8	T265_13483
OG0001230	SBOV2_16380.1, SBOV2_16380.2, SBOV2_16380.3, SBOV2_16380.4, SBOV2_16380.5, SBOV2_16380.6	T265_06173
OG0001231	SBOV2_28270.1, SBOV2_28270.3, SBOV2_28270.2, SBOV2_28270.4	T265_11984
OG0001232	SBOV2_80050.1, SBOV2_80030.1, SBOV2_80060.1	T265_02414, T265_08762, T265_14855
OG0001233	SBOV2_5920.2, SBOV2_5920.4, SBOV2_5920.5, SBOV2_5920.3, SBOV2_5920.1	T265_12818
OG0001234	SBOV2_43420.3, SBOV2_43420.5, SBOV2_43420.1, SBOV2_43420.2, SBOV2_43420.4	T265_09478
OG0001235	SBOV2_38760.1, SBOV2_38770.1, SBOV2_46340.1	T265_03531
OG0001236	SBOV2_63050.1, SBOV2_63050.2	T265_13174
OG0001237	SBOV2_40910.1, SBOV2_40970.3, SBOV2_40970.1, SBOV2_40970.2	T265_13308
OG0001238	SBOV2_82990.2, SBOV2_82990.3, SBOV2_82990.1, SBOV2_82990.4, SBOV2_82990.5	T265_01675
OG0001239	SBOV2_12300.1, SBOV2_12300.2, SBOV2_12300.3	T265_03082
OG0001240	SBOV2_51570.2, SBOV2_51570.1, SBOV2_51570.3	T265_08224
OG0001241	SBOV2_59200.1, SBOV2_59200.2	T265_00540
OG0001241	SBOV2_73630.1	T265_00343
OG0001242	SBOV2_55630.1	T265_00140, T265_06857
OG0001243	SBOV2_6700.3	T265_14770
OG0001244	SBOV2_88550.3, SBOV2_88550.1, SBOV2_88550.2	T265_13277
OG0001245	SBOV2_85160.1, SBOV2_11980.1, SBOV2_11980.2, SBOV2_11980.3	T265_14234
OG0001246	SBOV2_34530.1	T265_02606
OG0001247	SBOV2_30400.1	T265_04001
OG0001248	SBOV2_95830.2, SBOV2_95830.1, SBOV2_95830.3, SBOV2_5640.1, SBOV2_5640.2	T265_13129
OG0001249	SBOV2_31600.1	T265_06475
OG0001250	SBOV2_2060.2, SBOV2_2060.3, SBOV2_2070.1	T265_08176
OG0001251	SBOV2_76400.1, SBOV2_76400.2	T265_12979
OG0001252	SBOV2_53660.1, SBOV2_53660.2, SBOV2_53660.4, SBOV2_53660.5, SBOV2_53660.3	T265_02686
OG0001253	SBOV2_50700.1	T265_13874
OG0001254	SBOV2_34870.1, SBOV2_34860.1, SBOV2_34860.2, SBOV2_34860.3, SBOV2_34860.4	T265_11321
OG0001255	SBOV2_38670.1	T265_13521
OG0001256	SBOV2_47770.4, SBOV2_47770.2, SBOV2_47770.3, SBOV2_47770.5, SBOV2_47770.6, SBOV2_47770.7, SBOV2_47770.1	T265_02816
OG0001257	SBOV2_40630.1	T265_11892, T265_16136
OG0001258	SBOV2_75810.1	T265_13130
OG0001259	SBOV2_59070.1, SBOV2_59070.2, SBOV2_59070.4, SBOV2_59070.5, SBOV2_59070.6, SBOV2_59070.3	T265_09345, T265_09949, T265_09950
OG0001260	SBOV2_1500.1, SBOV2_1500.2	T265_14449, T265_07985, T265_15945
OG0001261	SBOV2_44780.1	T265_14931
OG0001262	SBOV2_81860.1	T265_09952
OG0001263	SBOV2_88400.1, SBOV2_88390.1	T265_04153
OG0001264	SBOV2_51720.4, SBOV2_51720.3, SBOV2_51720.1, SBOV2_51720.2	T265_03602
OG0001265	SBOV2_60500.2, SBOV2_60500.1	T265_14950
OG0001266	SBOV2_69890.5, SBOV2_69890.1, SBOV2_69890.6, SBOV2_69890.7, SBOV2_69890.4, SBOV2_69890.3, SBOV2_69890.2	T265_01368
OG0001267	SBOV2_52400.1	T265_02946
OG0001268	SBOV2_7480.1	T265_10920
OG0001269	SBOV2_23160.1	T265_04251
OG0001270	SBOV2_89280.6, SBOV2_89280.1, SBOV2_89280.2, SBOV2_89280.5, SBOV2_89280.3, SBOV2_89280.4	T265_15549
OG0001271	SBOV2_64590.3, SBOV2_64590.2, SBOV2_64590.5, SBOV2_64590.1, SBOV2_64590.4	T265_01405
OG0001272	SBOV2_79300.1	T265_09223
OG0001273	SBOV2_72910.1, SBOV2_72910.2	T265_12104
OG0001275	SBOV2_51220.6, SBOV2_51220.3, SBOV2_51220.5, SBOV2_51220.1, SBOV2_51220.2, SBOV2_51220.4	T265_07335, T265_10840, T265_11809
OG0001276	SBOV2_63970.1, SBOV2_63970.2, SBOV2_63970.3, SBOV2_63970.4, SBOV2_63970.5	T265_00611
