Orthogroup	schistosoma_bovis	schistosoma_curassoni
OG0000675	SBOV2_71420.9	SCUR1_71380.4
OG0000675	SBOV2_71420.9	SCUR1_71380.5
OG0000675	SBOV2_71420.9	SCUR1_71380.7
OG0000675	SBOV2_71420.3	SCUR1_71380.1
OG0000676	SBOV2_80840.1, SBOV2_80840.2, SBOV2_80840.3, SBOV2_80840.4, SBOV2_80840.5, SBOV2_80840.6	SCUR1_80430.1, SCUR1_80430.2
OG0000677	SBOV2_5200.1	SCUR1_5230.1
OG0000678	SBOV2_33200.1, SBOV2_33200.3, SBOV2_33200.2, SBOV2_33200.4	SCUR1_34640.1
OG0000680	SBOV2_16400.1, SBOV2_16400.2, SBOV2_16400.3, SBOV2_16400.4	SCUR1_16910.6, SCUR1_16910.1, SCUR1_16910.2, SCUR1_16910.3, SCUR1_16910.4, SCUR1_16910.5
OG0000681	SBOV2_32810.1	SCUR1_35030.1, SCUR1_35030.2, SCUR1_35030.3, SCUR1_35030.4, SCUR1_35030.7, SCUR1_35030.10, SCUR1_35030.8, SCUR1_35030.11, SCUR1_35030.5, SCUR1_35030.6, SCUR1_35030.12, SCUR1_35030.9
OG0000682	SBOV2_42210.1, SBOV2_42210.4, SBOV2_42210.5, SBOV2_42210.3, SBOV2_42210.2	SCUR1_43170.4, SCUR1_43170.6, SCUR1_43170.10, SCUR1_43170.2, SCUR1_43170.8, SCUR1_43170.7, SCUR1_43170.9, SCUR1_43170.1, SCUR1_43170.5, SCUR1_43170.3
OG0000683	SBOV2_50470.1	SCUR1_55100.1, SCUR1_55100.2, SCUR1_55100.3, SCUR1_55100.4
OG0000683	SBOV2_66790.1	SCUR1_66850.1
OG0000684	SBOV2_83820.1	SCUR1_98310.1, SCUR1_98310.2, SCUR1_98310.3, SCUR1_98310.4
OG0000685	SBOV2_74330.1	SCUR1_74560.1, SCUR1_74560.2, SCUR1_74560.3, SCUR1_74560.5, SCUR1_74560.6, SCUR1_74560.4
OG0000686	SBOV2_59620.1	SCUR1_59910.1
OG0000686	SBOV2_59620.1	SCUR1_59910.3
OG0000687	SBOV2_40760.6, SBOV2_40760.3, SBOV2_40760.1, SBOV2_40760.5, SBOV2_40760.2, SBOV2_40760.4	SCUR1_26830.2, SCUR1_26830.1, SCUR1_26830.7, SCUR1_26830.4, SCUR1_26830.5, SCUR1_26830.6, SCUR1_26830.3
OG0000688	SBOV2_680.6, SBOV2_680.5, SBOV2_680.2, SBOV2_680.3, SBOV2_680.4	SCUR1_630.1, SCUR1_630.2, SCUR1_630.3
OG0000689	SBOV2_2980.1	SCUR1_2870.1, SCUR1_2860.1
OG0000690	SBOV2_22280.1	SCUR1_22770.1
OG0000691	SBOV2_77360.1	SCUR1_92330.1
OG0000692	SBOV2_16580.4, SBOV2_16580.3, SBOV2_16580.1, SBOV2_16580.2	SCUR1_17070.3, SCUR1_17070.1, SCUR1_17070.2
OG0000695	SBOV2_95430.1	SCUR1_94700.1
OG0000695	SBOV2_44750.1	SCUR1_45600.1, SCUR1_45600.2, SCUR1_45600.3
OG0000696	SBOV2_5400.1, SBOV2_5400.2, SBOV2_5400.3, SBOV2_5400.5, SBOV2_5400.4	SCUR1_5470.1, SCUR1_5470.2
OG0000697	SBOV2_27560.1, SBOV2_27560.2	SCUR1_40410.1, SCUR1_40410.6, SCUR1_40410.7, SCUR1_40410.4, SCUR1_40410.3, SCUR1_40410.5, SCUR1_40410.2
OG0000698	SBOV2_17510.1	SCUR1_18010.4
OG0000698	SBOV2_17510.2, SBOV2_17510.3	SCUR1_18010.1, SCUR1_18010.2, SCUR1_18010.3
OG0000699	SBOV2_34630.1	SCUR1_33080.1
OG0000699	SBOV2_45230.1, SBOV2_45230.2	SCUR1_46010.2, SCUR1_46010.1, SCUR1_46010.3
OG0000700	SBOV2_39350.1	SCUR1_28310.1
OG0000700	SBOV2_23480.1	SCUR1_23870.1
OG0000700	SBOV2_23490.1	SCUR1_23880.1
OG0000700	SBOV2_23500.1	SCUR1_23890.1
OG0000701	SBOV2_60420.3, SBOV2_60420.4, SBOV2_60420.5, SBOV2_60420.6	SCUR1_60720.2
OG0000701	SBOV2_60420.1	SCUR1_60720.1, SCUR1_60720.3
OG0000702	SBOV2_86100.1	SCUR1_85710.2, SCUR1_85710.7, SCUR1_85710.5, SCUR1_85710.1, SCUR1_85710.3, SCUR1_85710.4, SCUR1_85710.6
OG0000703	SBOV2_140.1	SCUR1_190.1, SCUR1_190.2
OG0000704	SBOV2_47670.2, SBOV2_47670.1, SBOV2_47670.3, SBOV2_47670.4, SBOV2_47670.5	SCUR1_48380.1
OG0000705	SBOV2_6060.7, SBOV2_6060.8, SBOV2_6060.9	SCUR1_6090.5
OG0000705	SBOV2_6060.6	SCUR1_6100.1, SCUR1_6090.1, SCUR1_6090.4, SCUR1_6090.2, SCUR1_6100.2
OG0000705	SBOV2_6060.3, SBOV2_6060.4, SBOV2_6060.1, SBOV2_6060.2, SBOV2_6060.5	SCUR1_6090.3
OG0000706	SBOV2_42570.1	SCUR1_43500.1
OG0000706	SBOV2_53210.1	SCUR1_52330.1
OG0000707	SBOV2_93230.11, SBOV2_93230.3, SBOV2_93230.4, SBOV2_93230.1, SBOV2_93230.10, SBOV2_93230.2, SBOV2_93230.5, SBOV2_93230.6, SBOV2_93230.9, SBOV2_93230.12, SBOV2_93230.8, SBOV2_93230.7	SCUR1_92940.3, SCUR1_92940.1, SCUR1_92940.2, SCUR1_92940.4
OG0000708	SBOV2_30430.3	SCUR1_37410.1
OG0000709	SBOV2_42880.1	SCUR1_43780.1, SCUR1_43780.2
OG0000710	SBOV2_7400.1	SCUR1_7900.1
OG0000711	SBOV2_73570.10, SBOV2_73570.11, SBOV2_73570.2, SBOV2_73570.1, SBOV2_73570.7, SBOV2_73570.3, SBOV2_73570.4, SBOV2_73570.9, SBOV2_73570.8, SBOV2_73570.5, SBOV2_73570.6	SCUR1_73710.7, SCUR1_73710.4, SCUR1_73710.2, SCUR1_73710.3, SCUR1_73710.5, SCUR1_73710.1, SCUR1_73710.6
OG0000712	SBOV2_52860.1	SCUR1_52710.2, SCUR1_52710.1, SCUR1_52710.3, SCUR1_52710.5, SCUR1_52710.6, SCUR1_52710.4, SCUR1_52710.7
OG0000713	SBOV2_71030.1, SBOV2_71030.2, SBOV2_71030.4, SBOV2_71030.3	SCUR1_70950.1
OG0000714	SBOV2_45550.1, SBOV2_45550.2, SBOV2_45550.3	SCUR1_46350.1, SCUR1_46350.2, SCUR1_46310.2, SCUR1_46310.1
OG0000715	SBOV2_40230.1, SBOV2_40230.2, SBOV2_40230.3, SBOV2_40230.5, SBOV2_40230.4	SCUR1_27370.1, SCUR1_27370.2, SCUR1_27370.3, SCUR1_27370.4, SCUR1_27370.5, SCUR1_27370.6, SCUR1_27370.7
OG0000716	SBOV2_11540.1	SCUR1_11750.3
OG0000717	SBOV2_58590.5	SCUR1_58920.10, SCUR1_58920.5, SCUR1_58920.6
OG0000718	SBOV2_73840.5, SBOV2_73840.1, SBOV2_73840.2, SBOV2_73840.4, SBOV2_73840.3	SCUR1_74010.1, SCUR1_74010.3, SCUR1_74010.4, SCUR1_74010.2
OG0000719	SBOV2_50460.1, SBOV2_50460.2, SBOV2_50460.3, SBOV2_50460.4, SBOV2_50460.5, SBOV2_50460.6	SCUR1_55110.1, SCUR1_55110.3, SCUR1_55110.2, SCUR1_55110.4
OG0000720	SBOV2_75950.2, SBOV2_75950.3, SBOV2_75950.5, SBOV2_75950.6, SBOV2_75950.7, SBOV2_75950.1, SBOV2_75950.4	SCUR1_76300.6, SCUR1_76300.7, SCUR1_76300.2, SCUR1_76300.9, SCUR1_76300.10, SCUR1_76300.8, SCUR1_76300.5, SCUR1_76300.3, SCUR1_76300.4, SCUR1_76300.1
OG0000721	SBOV2_45090.1, SBOV2_45090.2, SBOV2_45090.4, SBOV2_45090.3, SBOV2_45090.5, SBOV2_45090.6	SCUR1_45870.4, SCUR1_45870.6, SCUR1_45870.5, SCUR1_45870.1, SCUR1_45870.2, SCUR1_45870.3, SCUR1_45870.7
OG0000722	SBOV2_5300.2, SBOV2_5300.1	SCUR1_5370.5, SCUR1_5370.7, SCUR1_5370.4, SCUR1_5370.3, SCUR1_5370.2, SCUR1_5370.6
OG0000722	SBOV2_5300.4	SCUR1_5370.1
OG0000723	SBOV2_75690.1	SCUR1_76020.1
OG0000724	SBOV2_26040.1	SCUR1_41990.4, SCUR1_41990.6, SCUR1_41990.1, SCUR1_41990.2, SCUR1_41990.3, SCUR1_41990.5, SCUR1_41990.7, SCUR1_41990.8
OG0000725	SBOV2_76020.4, SBOV2_76020.5, SBOV2_76020.1, SBOV2_76020.3, SBOV2_76020.2	SCUR1_76380.2, SCUR1_76380.1, SCUR1_76380.3, SCUR1_76380.4, SCUR1_76380.5
OG0000726	SBOV2_37790.2	SCUR1_29780.2, SCUR1_29780.3
OG0000726	SBOV2_37790.1	SCUR1_29780.4, SCUR1_29780.1
OG0000726	SBOV2_37780.1, SBOV2_37780.2	SCUR1_29790.1, SCUR1_29790.4, SCUR1_29790.2, SCUR1_29790.3
OG0000727	SBOV2_29020.1, SBOV2_29020.2, SBOV2_29020.3, SBOV2_29020.4, SBOV2_29020.5	SCUR1_38890.10, SCUR1_38890.6, SCUR1_38890.11, SCUR1_38890.12, SCUR1_38890.5, SCUR1_38890.7, SCUR1_38890.8, SCUR1_38890.9, SCUR1_38890.1, SCUR1_38890.13, SCUR1_38890.14, SCUR1_38890.2, SCUR1_38890.3, SCUR1_38890.4
OG0000729	SBOV2_8680.2, SBOV2_8680.4, SBOV2_8680.1, SBOV2_8680.3, SBOV2_8680.5, SBOV2_8680.6	SCUR1_8740.10, SCUR1_8740.1, SCUR1_8740.2, SCUR1_8740.3, SCUR1_8740.8, SCUR1_8740.4, SCUR1_8740.5, SCUR1_8740.6, SCUR1_8740.7, SCUR1_8740.9
OG0000730	SBOV2_59650.1	SCUR1_59940.1, SCUR1_59940.2, SCUR1_59940.3
OG0000731	SBOV2_75320.1	SCUR1_75670.2, SCUR1_75670.3, SCUR1_75670.6, SCUR1_75670.7, SCUR1_75670.8, SCUR1_75670.1
OG0000732	SBOV2_3530.4, SBOV2_3530.2	SCUR1_3480.2
OG0000733	SBOV2_2920.7, SBOV2_2920.5, SBOV2_2920.4, SBOV2_2920.6, SBOV2_2920.8	SCUR1_2800.2, SCUR1_2800.3, SCUR1_2800.1
OG0000736	SBOV2_77150.4, SBOV2_77150.5, SBOV2_77150.2, SBOV2_77150.3, SBOV2_77150.1	SCUR1_77500.1
OG0000737	SBOV2_9650.5, SBOV2_9650.3, SBOV2_9650.8, SBOV2_9650.6, SBOV2_9650.10, SBOV2_9650.2, SBOV2_9650.1, SBOV2_9650.9, SBOV2_9650.7, SBOV2_9650.4	SCUR1_9770.4, SCUR1_9770.1, SCUR1_9770.3, SCUR1_9770.6, SCUR1_9780.1, SCUR1_9780.2, SCUR1_9770.2, SCUR1_9770.5
OG0000738	SBOV2_69300.1	SCUR1_69120.1
OG0000738	SBOV2_69160.1, SBOV2_69280.1	SCUR1_69110.1
OG0000739	SBOV2_56400.1	SCUR1_96800.2, SCUR1_96800.5, SCUR1_96800.3, SCUR1_96800.7, SCUR1_96800.8, SCUR1_96800.9, SCUR1_96800.4
OG0000740	SBOV2_8270.1	SCUR1_8290.1
OG0000741	SBOV2_83520.3, SBOV2_83520.6, SBOV2_83520.1, SBOV2_83520.2, SBOV2_83520.4, SBOV2_83520.5	SCUR1_83400.1, SCUR1_83400.3, SCUR1_83400.2
OG0000742	SBOV2_85520.1	SCUR1_36100.1, SCUR1_45910.2
OG0000743	SBOV2_22020.1, SBOV2_22020.2	SCUR1_22580.1, SCUR1_22580.4, SCUR1_22580.2, SCUR1_22580.3
OG0000744	SBOV2_3630.1	SCUR1_3570.4, SCUR1_3570.1, SCUR1_3570.11, SCUR1_3570.12, SCUR1_3570.2, SCUR1_3570.3, SCUR1_3570.5, SCUR1_3570.6, SCUR1_3570.10, SCUR1_3570.9, SCUR1_3570.8, SCUR1_3570.7
OG0000745	SBOV2_29640.3, SBOV2_29640.6, SBOV2_29640.7, SBOV2_29640.4, SBOV2_29640.5, SBOV2_29640.9, SBOV2_29640.10, SBOV2_29640.8, SBOV2_29640.1, SBOV2_29640.2	SCUR1_38240.1, SCUR1_38240.3, SCUR1_38240.2
OG0000747	SBOV2_42070.5, SBOV2_42070.3, SBOV2_42070.2, SBOV2_42070.4, SBOV2_42070.1	SCUR1_43060.1, SCUR1_43060.3, SCUR1_43060.2, SCUR1_43060.4
OG0000748	SBOV2_69690.1	SCUR1_69550.1
OG0000749	SBOV2_69050.3, SBOV2_69050.2, SBOV2_69050.4, SBOV2_69050.6, SBOV2_69050.7, SBOV2_69050.8, SBOV2_69050.1, SBOV2_69050.5, SBOV2_69050.9	SCUR1_68910.1
OG0000750	SBOV2_73460.1, SBOV2_73460.2	SCUR1_73580.1, SCUR1_73580.3, SCUR1_73580.2, SCUR1_73580.8, SCUR1_73580.7, SCUR1_73580.6, SCUR1_73580.5, SCUR1_73580.4
OG0000751	SBOV2_5430.1	SCUR1_5500.1
OG0000751	SBOV2_2620.1	SCUR1_2440.1
OG0000752	SBOV2_91860.1	SCUR1_97640.1
OG0000752	SBOV2_91810.1	SCUR1_91540.1
OG0000753	SBOV2_82040.2	SCUR1_82050.3, SCUR1_82050.1, SCUR1_82050.2
OG0000754	SBOV2_49680.1, SBOV2_49680.2	SCUR1_50350.1
OG0000755	SBOV2_74590.5, SBOV2_74590.6, SBOV2_74590.3, SBOV2_74590.4, SBOV2_74590.7	SCUR1_74850.1
OG0000756	SBOV2_28760.1	SCUR1_39160.1
OG0000757	SBOV2_53000.2, SBOV2_53000.1, SBOV2_53000.3, SBOV2_53000.4	SCUR1_52570.3, SCUR1_52570.2, SCUR1_52570.1, SCUR1_52570.4
OG0000759	SBOV2_52610.4, SBOV2_52610.1, SBOV2_52610.2, SBOV2_52610.5, SBOV2_52610.3	SCUR1_53000.6, SCUR1_53000.7, SCUR1_53000.1, SCUR1_53000.4, SCUR1_53000.8, SCUR1_53000.5, SCUR1_53000.3, SCUR1_53000.2
OG0000760	SBOV2_77850.1	SCUR1_78210.2, SCUR1_78210.10, SCUR1_78210.8, SCUR1_78210.1, SCUR1_78210.3, SCUR1_78210.4, SCUR1_78210.5, SCUR1_78210.6, SCUR1_78210.7, SCUR1_78210.9
OG0000761	SBOV2_51890.1	SCUR1_53740.1, SCUR1_53740.2
OG0000762	SBOV2_81110.1, SBOV2_81110.2, SBOV2_81110.3	SCUR1_80200.1
OG0000762	SBOV2_86520.1	SCUR1_86400.1
OG0000763	SBOV2_19110.9, SBOV2_19110.1, SBOV2_19110.2, SBOV2_19110.3, SBOV2_19110.4, SBOV2_19110.5, SBOV2_19110.6, SBOV2_19110.7, SBOV2_19110.8, SBOV2_19110.10	SCUR1_21460.1
OG0000764	SBOV2_8840.5	SCUR1_8890.4
OG0000764	SBOV2_8840.3, SBOV2_8840.1, SBOV2_8840.2, SBOV2_8840.4	SCUR1_8890.2, SCUR1_8890.1, SCUR1_8890.3
OG0000765	SBOV2_52630.1, SBOV2_52630.2	SCUR1_52980.2, SCUR1_52980.1
OG0000765	SBOV2_52620.1	SCUR1_52990.2
OG0000766	SBOV2_62680.1	SCUR1_62980.1, SCUR1_62980.2
OG0000767	SBOV2_64830.1, SBOV2_64830.5, SBOV2_64830.3, SBOV2_64830.2, SBOV2_64830.4	SCUR1_65030.1, SCUR1_65030.2
OG0000768	SBOV2_27790.1	SCUR1_40190.1
OG0000769	SBOV2_2190.1, SBOV2_2190.2	SCUR1_2010.5, SCUR1_2010.1, SCUR1_2010.3, SCUR1_2010.2, SCUR1_2010.4
OG0000770	SBOV2_17370.1, SBOV2_17370.3, SBOV2_17370.4, SBOV2_17370.5, SBOV2_17370.7, SBOV2_17370.2, SBOV2_17370.6, SBOV2_17370.8	SCUR1_17840.1
OG0000771	SBOV2_79000.1	SCUR1_79350.1
OG0000771	SBOV2_79020.1	SCUR1_100100.1
OG0000772	SBOV2_16280.3, SBOV2_16280.1, SBOV2_16280.2	SCUR1_16750.1, SCUR1_16750.2, SCUR1_16800.1
OG0000773	SBOV2_25260.1, SBOV2_25260.2	SCUR1_25680.1
OG0000774	SBOV2_46510.1	SCUR1_47240.1, SCUR1_47240.4, SCUR1_47240.7, SCUR1_47240.3, SCUR1_47240.6, SCUR1_47240.2, SCUR1_47240.5
OG0000775	SBOV2_53860.1, SBOV2_53860.3, SBOV2_53860.2, SBOV2_53860.4	SCUR1_51630.5, SCUR1_51630.6, SCUR1_51630.3, SCUR1_51630.1, SCUR1_51630.2, SCUR1_51630.4
OG0000776	SBOV2_45110.1	SCUR1_45900.1
OG0000776	SBOV2_45110.1	SCUR1_45900.2
OG0000776	SBOV2_56010.1, SBOV2_56010.2	SCUR1_56750.1
OG0000777	SBOV2_53340.3	SCUR1_52200.4
OG0000777	SBOV2_53340.1, SBOV2_53340.2	SCUR1_52200.3, SCUR1_52200.5
OG0000778	SBOV2_22410.1, SBOV2_22400.4, SBOV2_22400.5	SCUR1_22880.1
OG0000779	SBOV2_3730.4, SBOV2_3730.3, SBOV2_3730.5	SCUR1_3650.1
OG0000780	SBOV2_14600.1, SBOV2_14600.2, SBOV2_14600.3, SBOV2_14600.4, SBOV2_14600.5	SCUR1_14960.1
OG0000781	SBOV2_11000.1	SCUR1_11210.1
OG0000781	SBOV2_440.1, SBOV2_440.2	SCUR1_470.1
OG0000782	SBOV2_35970.1	SCUR1_31670.1
OG0000783	SBOV2_54900.6, SBOV2_54900.5, SBOV2_54900.1, SBOV2_54900.3, SBOV2_54900.2, SBOV2_54900.4	SCUR1_50660.1, SCUR1_50660.2, SCUR1_50660.5, SCUR1_50660.3, SCUR1_50660.8, SCUR1_50660.4, SCUR1_50660.11, SCUR1_50660.12, SCUR1_50660.10, SCUR1_50660.6, SCUR1_50660.7, SCUR1_50660.9
OG0000784	SBOV2_36050.1, SBOV2_36050.3, SBOV2_36050.2, SBOV2_36050.4	SCUR1_31580.2, SCUR1_31580.1, SCUR1_31580.3
OG0000785	SBOV2_58450.1, SBOV2_58450.2, SBOV2_58450.3	SCUR1_58860.1
OG0000787	SBOV2_91650.1, SBOV2_91650.2	SCUR1_98840.1, SCUR1_98840.2, SCUR1_98840.3
OG0000787	SBOV2_59150.1	SCUR1_59500.1
OG0000788	SBOV2_13250.1, SBOV2_13250.2	SCUR1_13620.10, SCUR1_13620.11, SCUR1_13620.12, SCUR1_13620.13, SCUR1_13620.2, SCUR1_13620.3, SCUR1_13620.4, SCUR1_13620.5, SCUR1_13620.6, SCUR1_13620.7, SCUR1_13620.8, SCUR1_13620.9, SCUR1_13620.1
OG0000789	SBOV2_25050.1, SBOV2_25050.4, SBOV2_25050.3, SBOV2_25050.2, SBOV2_25060.1	SCUR1_25460.1
OG0000789	SBOV2_25040.1, SBOV2_25040.2	SCUR1_25450.1
OG0000790	SBOV2_28430.1	SCUR1_39510.4, SCUR1_39510.6
OG0000791	SBOV2_41930.1, SBOV2_41930.2	SCUR1_42890.1, SCUR1_42890.2, SCUR1_42890.3
OG0000792	SBOV2_5630.1	SCUR1_5670.1, SCUR1_5670.2, SCUR1_5670.4, SCUR1_5670.5, SCUR1_5670.3
OG0000793	SBOV2_33450.3, SBOV2_33450.4, SBOV2_33450.2, SBOV2_33450.1	SCUR1_34360.1, SCUR1_34360.4, SCUR1_34360.2, SCUR1_34360.6, SCUR1_34360.3, SCUR1_34360.5, SCUR1_34360.7, SCUR1_34360.8
OG0000794	SBOV2_9860.5, SBOV2_9860.7, SBOV2_9860.4, SBOV2_9860.1, SBOV2_9860.3, SBOV2_9860.6, SBOV2_9860.2	SCUR1_10010.1
OG0000795	SBOV2_94290.2, SBOV2_94290.4, SBOV2_94290.5, SBOV2_94290.1, SBOV2_94290.3, SBOV2_94290.6	SCUR1_93940.1, SCUR1_93940.3, SCUR1_93940.4, SCUR1_93940.2
OG0000796	SBOV2_15370.1, SBOV2_15380.1, SBOV2_15350.1	SCUR1_15820.1
OG0000796	SBOV2_15360.1	SCUR1_15790.1, SCUR1_15800.1, SCUR1_15800.2
OG0000797	SBOV2_19410.3, SBOV2_19410.1, SBOV2_19410.2	SCUR1_21170.2, SCUR1_21170.1, SCUR1_21170.3, SCUR1_21170.4
OG0000798	SBOV2_1330.1, SBOV2_1330.2, SBOV2_1330.4, SBOV2_1330.3	SCUR1_1230.2, SCUR1_1230.1, SCUR1_1230.3
OG0000799	SBOV2_66410.4	SCUR1_66450.1
OG0000799	SBOV2_66410.1, SBOV2_66410.2, SBOV2_66410.3	SCUR1_66490.1
OG0000800	SBOV2_9790.10, SBOV2_9790.11, SBOV2_9790.13, SBOV2_9790.14, SBOV2_9790.2, SBOV2_9790.8, SBOV2_9790.7, SBOV2_9790.6, SBOV2_9790.3, SBOV2_9790.1, SBOV2_9790.12, SBOV2_9790.5, SBOV2_9790.9, SBOV2_9790.4	SCUR1_9930.1
OG0000801	SBOV2_15270.1, SBOV2_15270.2, SBOV2_15270.3, SBOV2_15270.4	SCUR1_15690.2, SCUR1_15690.3, SCUR1_15690.1
OG0000802	SBOV2_72520.1	SCUR1_72510.1, SCUR1_72510.2, SCUR1_72510.3
OG0000802	SBOV2_58070.1	SCUR1_58580.1
OG0000803	SBOV2_78220.1, SBOV2_78220.2, SBOV2_78220.4, SBOV2_78220.3	SCUR1_78600.1
OG0000804	SBOV2_26530.1, SBOV2_26530.3	SCUR1_41460.3, SCUR1_41460.4
OG0000805	SBOV2_31270.2	SCUR1_36560.2
OG0000805	SBOV2_31270.2	SCUR1_36560.3
OG0000805	SBOV2_31270.4	SCUR1_36560.2
OG0000805	SBOV2_31270.4	SCUR1_36560.3
OG0000805	SBOV2_31270.3	SCUR1_36560.5
OG0000805	SBOV2_31270.6	SCUR1_36560.1
OG0000806	SBOV2_72880.3, SBOV2_72880.2, SBOV2_72880.4, SBOV2_72880.1	SCUR1_72950.10, SCUR1_72950.9, SCUR1_72950.1, SCUR1_72950.3, SCUR1_72950.4, SCUR1_72950.5, SCUR1_72950.6, SCUR1_72950.8, SCUR1_72950.2, SCUR1_72950.7
OG0000807	SBOV2_9580.1, SBOV2_9580.2, SBOV2_9580.3	SCUR1_9670.3, SCUR1_9670.4, SCUR1_9670.2, SCUR1_9670.1
OG0000808	SBOV2_92460.1	SCUR1_92180.1
OG0000808	SBOV2_92470.1	SCUR1_92200.1, SCUR1_92200.2, SCUR1_92200.3, SCUR1_92200.4, SCUR1_92200.5, SCUR1_92200.6
OG0000809	SBOV2_89960.2, SBOV2_89960.4, SBOV2_89960.1, SBOV2_89960.3, SBOV2_89960.5	SCUR1_89600.1, SCUR1_89600.3, SCUR1_89600.4, SCUR1_89600.5, SCUR1_89600.2
OG0000810	SBOV2_24570.5, SBOV2_24570.6, SBOV2_24570.7, SBOV2_24570.11, SBOV2_24570.2, SBOV2_24570.1, SBOV2_24570.10, SBOV2_24570.9, SBOV2_24570.13, SBOV2_24570.3, SBOV2_24570.8, SBOV2_24570.12, SBOV2_24570.4	SCUR1_25040.4, SCUR1_25040.6, SCUR1_25040.1, SCUR1_25040.3, SCUR1_25040.2, SCUR1_25040.5, SCUR1_25040.8, SCUR1_25040.7
OG0000811	SBOV2_10800.1, SBOV2_10800.2, SBOV2_10800.3	SCUR1_11010.1, SCUR1_11010.2
OG0000812	SBOV2_11880.1, SBOV2_11880.2, SBOV2_11880.3, SBOV2_11880.4, SBOV2_11880.5	SCUR1_12160.1
OG0000813	SBOV2_85650.8	SCUR1_85330.5, SCUR1_85330.6
OG0000813	SBOV2_85650.1	SCUR1_85330.4, SCUR1_85330.7, SCUR1_85330.8
OG0000813	SBOV2_85650.2, SBOV2_85650.6, SBOV2_85650.7	SCUR1_85330.9
OG0000813	SBOV2_85650.5	SCUR1_85330.1
OG0000814	SBOV2_63010.1	SCUR1_63340.1, SCUR1_63360.1
OG0000814	SBOV2_63000.1	SCUR1_63350.1
OG0000814	SBOV2_63030.1	SCUR1_63370.2, SCUR1_63370.1, SCUR1_63370.3
OG0000815	SBOV2_59130.1, SBOV2_59130.2	SCUR1_59480.1, SCUR1_59480.2, SCUR1_59480.4, SCUR1_59480.3
OG0000816	SBOV2_83100.1, SBOV2_83100.2, SBOV2_83100.5, SBOV2_83100.3, SBOV2_83100.4	SCUR1_82970.1
OG0000817	SBOV2_89670.1	SCUR1_87170.1, SCUR1_87170.2, SCUR1_87170.3, SCUR1_87170.4, SCUR1_87170.5
OG0000818	SBOV2_11240.1, SBOV2_11240.3, SBOV2_11240.2	SCUR1_11470.1
OG0000819	SBOV2_64970.1, SBOV2_64970.2, SBOV2_64970.3	SCUR1_65190.1, SCUR1_65190.2, SCUR1_65190.3
OG0000821	SBOV2_48510.3, SBOV2_48510.4, SBOV2_48510.5, SBOV2_48510.7, SBOV2_48510.1, SBOV2_48510.6	SCUR1_96960.1, SCUR1_49160.1, SCUR1_49160.2, SCUR1_49160.3
OG0000822	SBOV2_73560.1	SCUR1_73700.6, SCUR1_73700.7, SCUR1_73700.1, SCUR1_73700.5, SCUR1_73700.2, SCUR1_73700.3, SCUR1_73700.4
OG0000823	SBOV2_52240.1	SCUR1_53360.1
OG0000823	SBOV2_91700.1	SCUR1_91610.1
OG0000823	SBOV2_91690.1	SCUR1_91620.1
OG0000824	SBOV2_3140.1	SCUR1_3040.3
OG0000825	SBOV2_76150.1, SBOV2_76150.2	SCUR1_76510.1, SCUR1_76520.1
OG0000825	SBOV2_76130.1	SCUR1_76500.1
OG0000825	SBOV2_76120.1	SCUR1_76490.1
OG0000826	SBOV2_50280.1	SCUR1_55310.2, SCUR1_55310.3, SCUR1_55310.1, SCUR1_55310.4, SCUR1_55310.5, SCUR1_55310.6
OG0000827	SBOV2_74500.1	SCUR1_74760.1
OG0000827	SBOV2_74490.1	SCUR1_74750.1
OG0000827	SBOV2_74490.1	SCUR1_74750.2
OG0000827	SBOV2_74490.2	SCUR1_74750.1
OG0000827	SBOV2_74490.2	SCUR1_74750.2
OG0000827	SBOV2_74490.3	SCUR1_74750.1
OG0000827	SBOV2_74490.3	SCUR1_74750.2
OG0000827	SBOV2_74490.4	SCUR1_74750.1
OG0000827	SBOV2_74490.4	SCUR1_74750.2
OG0000828	SBOV2_89740.1	SCUR1_89340.1
OG0000828	SBOV2_89750.1	SCUR1_89350.1
OG0000830	SBOV2_48290.1	SCUR1_48890.4, SCUR1_48890.1, SCUR1_48890.2, SCUR1_48890.3
OG0000831	SBOV2_41650.2, SBOV2_41650.4	SCUR1_42600.5, SCUR1_42600.4
OG0000831	SBOV2_41650.5	SCUR1_42600.1, SCUR1_42600.6
OG0000831	SBOV2_41650.3	SCUR1_42600.3
OG0000832	SBOV2_59930.1	SCUR1_60220.2
OG0000833	SBOV2_34370.1	SCUR1_33360.1
OG0000834	SBOV2_48130.2, SBOV2_48130.4, SBOV2_48130.6, SBOV2_48130.3, SBOV2_48130.5, SBOV2_48130.1	SCUR1_48780.4, SCUR1_48780.3, SCUR1_48780.1, SCUR1_48780.2, SCUR1_48780.5
OG0000835	SBOV2_29630.12, SBOV2_29630.11, SBOV2_29630.9, SBOV2_29630.1, SBOV2_29630.2, SBOV2_29630.3, SBOV2_29630.4, SBOV2_29630.5, SBOV2_29630.6, SBOV2_29630.7, SBOV2_29630.8, SBOV2_29630.10, SBOV2_29630.13, SBOV2_29630.14	SCUR1_38250.1
OG0000836	SBOV2_30300.3	SCUR1_37540.2
OG0000836	SBOV2_30300.1, SBOV2_30300.4	SCUR1_37540.3
OG0000836	SBOV2_30300.2	SCUR1_37540.4
