Orthogroup	schistosoma_bovis	schistosoma_rodhaini
OG0000730	SBOV2_59650.1	SRDH2_61680.1, SRDH2_61680.2, SRDH2_61680.3, SRDH2_61680.4
OG0000731	SBOV2_75320.1	SRDH2_78130.12, SRDH2_78130.13, SRDH2_78130.10, SRDH2_78130.8, SRDH2_78130.1, SRDH2_78130.4, SRDH2_78130.3, SRDH2_78130.11, SRDH2_78130.2, SRDH2_78130.7, SRDH2_78130.6, SRDH2_78130.9, SRDH2_78130.5
OG0000732	SBOV2_3530.4	SRDH2_3590.10, SRDH2_3590.9, SRDH2_3590.13
OG0000732	SBOV2_3530.3	SRDH2_3590.12, SRDH2_3590.1, SRDH2_3590.16, SRDH2_3590.4, SRDH2_3590.15, SRDH2_3590.14
OG0000733	SBOV2_2920.7, SBOV2_2920.5, SBOV2_2920.4, SBOV2_2920.6, SBOV2_2920.8	SRDH2_2970.3, SRDH2_2970.4, SRDH2_2970.5
OG0000736	SBOV2_77150.4, SBOV2_77150.5, SBOV2_77150.2, SBOV2_77150.3, SBOV2_77150.1	SRDH2_80070.2, SRDH2_80070.3, SRDH2_80070.4, SRDH2_80070.5, SRDH2_80070.6, SRDH2_80070.1, SRDH2_80070.9, SRDH2_80070.7, SRDH2_80070.8
OG0000737	SBOV2_9650.5, SBOV2_9650.3, SBOV2_9650.8, SBOV2_9650.6, SBOV2_9650.10, SBOV2_9650.2, SBOV2_9650.1, SBOV2_9650.9, SBOV2_9650.7, SBOV2_9650.4	SRDH2_10170.1
OG0000738	SBOV2_69300.1, SBOV2_69300.4, SBOV2_69300.2, SBOV2_69300.3	SRDH2_71450.1, SRDH2_71450.2
OG0000738	SBOV2_69160.1, SBOV2_69280.1	SRDH2_71460.1
OG0000739	SBOV2_56400.1	SRDH2_56790.2, SRDH2_56790.1, SRDH2_56790.3, SRDH2_56790.4, SRDH2_56840.1
OG0000740	SBOV2_8270.1	SRDH2_8610.1
OG0000741	SBOV2_83520.3, SBOV2_83520.6, SBOV2_83520.1, SBOV2_83520.2, SBOV2_83520.4, SBOV2_83520.5	SRDH2_86820.1
OG0000742	SBOV2_85520.1, SBOV2_80550.1	SRDH2_86190.2, SRDH2_85800.1, SRDH2_14110.1, SRDH2_86300.1, SRDH2_86310.1, SRDH2_86310.2, SRDH2_86320.1, SRDH2_86240.1, SRDH2_86230.1, SRDH2_86230.2, SRDH2_86230.3
OG0000743	SBOV2_22020.1, SBOV2_22020.2	SRDH2_21800.11, SRDH2_21800.10, SRDH2_21800.1, SRDH2_21800.2, SRDH2_21800.3, SRDH2_21800.4, SRDH2_21800.5, SRDH2_21800.6, SRDH2_21800.7, SRDH2_21800.8, SRDH2_21800.9
OG0000744	SBOV2_3630.1	SRDH2_3670.1, SRDH2_3670.3, SRDH2_3670.4, SRDH2_3670.7, SRDH2_3670.6, SRDH2_3670.10, SRDH2_3670.2, SRDH2_3670.5, SRDH2_3670.8, SRDH2_3670.9
OG0000745	SBOV2_29640.3, SBOV2_29640.6, SBOV2_29640.7, SBOV2_29640.4, SBOV2_29640.5, SBOV2_29640.9, SBOV2_29640.10, SBOV2_29640.8, SBOV2_29640.1, SBOV2_29640.2	SRDH2_31900.1, SRDH2_31900.2, SRDH2_31900.3, SRDH2_31900.4
OG0000746	SBOV2_60290.1	SRDH2_62310.1
OG0000747	SBOV2_42070.5, SBOV2_42070.3, SBOV2_42070.2, SBOV2_42070.4, SBOV2_42070.1	SRDH2_43190.2, SRDH2_43190.3, SRDH2_43190.5, SRDH2_43190.1, SRDH2_43190.4, SRDH2_43190.6
OG0000748	SBOV2_69690.1	SRDH2_72150.1
OG0000749	SBOV2_69050.3, SBOV2_69050.2, SBOV2_69050.4, SBOV2_69050.6, SBOV2_69050.7, SBOV2_69050.8, SBOV2_69050.1, SBOV2_69050.5, SBOV2_69050.9	SRDH2_71650.1
OG0000750	SBOV2_73460.1, SBOV2_73460.2	SRDH2_76160.3, SRDH2_76160.1, SRDH2_76160.6, SRDH2_76160.7, SRDH2_76160.2, SRDH2_76160.5, SRDH2_76160.4, SRDH2_76160.10, SRDH2_76160.9, SRDH2_76160.8
OG0000751	SBOV2_5430.1	SRDH2_5530.1
OG0000751	SBOV2_2620.1	SRDH2_2600.1, SRDH2_2690.1
OG0000752	SBOV2_91860.1	SRDH2_96100.1
OG0000752	SBOV2_91810.1	SRDH2_96150.5, SRDH2_96150.7, SRDH2_96150.8, SRDH2_96150.1, SRDH2_96150.2, SRDH2_96150.3, SRDH2_96150.4, SRDH2_96150.6
OG0000753	SBOV2_82040.2, SBOV2_82040.1, SBOV2_82040.3, SBOV2_82040.4, SBOV2_82040.5	SRDH2_85130.1
OG0000754	SBOV2_49680.3, SBOV2_49680.1, SBOV2_49680.2, SBOV2_49680.4	SRDH2_51340.1
OG0000755	SBOV2_74590.1, SBOV2_74590.2, SBOV2_74590.5, SBOV2_74590.6, SBOV2_74590.3, SBOV2_74590.4, SBOV2_74590.7	SRDH2_77360.1, SRDH2_77360.10, SRDH2_77360.2, SRDH2_77360.3, SRDH2_77360.4, SRDH2_77360.5, SRDH2_77360.6, SRDH2_77360.7, SRDH2_77360.8, SRDH2_77360.9
OG0000756	SBOV2_28760.5, SBOV2_28760.6, SBOV2_28760.9, SBOV2_28760.2, SBOV2_28760.7, SBOV2_28760.3, SBOV2_28760.8, SBOV2_28760.1, SBOV2_28760.4	SRDH2_39150.1
OG0000757	SBOV2_53000.2, SBOV2_53000.1, SBOV2_53000.3, SBOV2_53000.4	SRDH2_53460.3, SRDH2_53460.2, SRDH2_53460.1
OG0000758	SBOV2_8710.2	SRDH2_9150.11, SRDH2_9150.10, SRDH2_9150.9
OG0000759	SBOV2_52610.4, SBOV2_52610.1, SBOV2_52610.2, SBOV2_52610.5, SBOV2_52610.3	SRDH2_53070.9, SRDH2_53070.6, SRDH2_53070.7, SRDH2_53070.8, SRDH2_53070.1, SRDH2_53070.2, SRDH2_53070.3, SRDH2_53070.4, SRDH2_53070.5
OG0000760	SBOV2_77850.1	SRDH2_80690.1, SRDH2_80690.2, SRDH2_80690.3, SRDH2_80690.4, SRDH2_80690.5
OG0000761	SBOV2_51890.1	SRDH2_54660.2, SRDH2_54660.9, SRDH2_54660.8, SRDH2_54660.3, SRDH2_54660.5, SRDH2_54660.1, SRDH2_54660.7, SRDH2_54660.4, SRDH2_54660.6
OG0000762	SBOV2_81110.1, SBOV2_81110.2, SBOV2_81110.3	SRDH2_84140.1
OG0000762	SBOV2_86520.1	SRDH2_89980.1, SRDH2_89980.3, SRDH2_89980.2
OG0000763	SBOV2_19110.9, SBOV2_19110.1, SBOV2_19110.2, SBOV2_19110.3, SBOV2_19110.4, SBOV2_19110.5, SBOV2_19110.6, SBOV2_19110.7, SBOV2_19110.8, SBOV2_19110.10	SRDH2_20090.1
OG0000764	SBOV2_8840.5, SBOV2_8840.3, SBOV2_8840.1, SBOV2_8840.2, SBOV2_8840.4	SRDH2_9280.2, SRDH2_9280.4, SRDH2_9280.6, SRDH2_9280.5, SRDH2_9280.3, SRDH2_9280.1
OG0000765	SBOV2_52630.1, SBOV2_52630.2	SRDH2_53090.2, SRDH2_53090.1
OG0000765	SBOV2_52620.1	SRDH2_53080.1, SRDH2_53080.2
OG0000766	SBOV2_62680.1	SRDH2_64640.2, SRDH2_64640.1, SRDH2_64640.3, SRDH2_64640.4, SRDH2_64640.5, SRDH2_64640.6
OG0000767	SBOV2_64830.1, SBOV2_64830.5, SBOV2_64830.3, SBOV2_64830.2, SBOV2_64830.4	SRDH2_65780.8, SRDH2_65780.3, SRDH2_65780.5, SRDH2_65780.6, SRDH2_65780.1, SRDH2_65780.9, SRDH2_65780.4, SRDH2_65780.2, SRDH2_65780.7
OG0000768	SBOV2_27790.1	SRDH2_40160.1
OG0000769	SBOV2_2190.1, SBOV2_2190.2	SRDH2_2210.1, SRDH2_2210.2, SRDH2_2210.3, SRDH2_2210.6, SRDH2_2210.7, SRDH2_2210.4, SRDH2_2210.5
OG0000770	SBOV2_17370.1, SBOV2_17370.3, SBOV2_17370.4, SBOV2_17370.5, SBOV2_17370.7, SBOV2_17370.2, SBOV2_17370.6, SBOV2_17370.8	SRDH2_18340.3, SRDH2_18340.4, SRDH2_18340.1, SRDH2_18340.2
OG0000771	SBOV2_79000.1	SRDH2_82030.1
OG0000771	SBOV2_79020.1, SBOV2_79030.1, SBOV2_79040.1, SBOV2_79040.2	SRDH2_82060.1, SRDH2_82070.1
OG0000772	SBOV2_16280.3, SBOV2_16280.1, SBOV2_16280.2	SRDH2_17240.1, SRDH2_17250.1, SRDH2_17280.1
OG0000773	SBOV2_25260.1, SBOV2_25260.2	SRDH2_26150.1, SRDH2_26150.2, SRDH2_26150.3, SRDH2_26150.4, SRDH2_26150.5
OG0000774	SBOV2_46510.1	SRDH2_47950.2, SRDH2_47950.3, SRDH2_47950.4, SRDH2_47950.1, SRDH2_47950.5, SRDH2_47950.6
OG0000775	SBOV2_53860.1, SBOV2_53860.3, SBOV2_53860.2, SBOV2_53860.4	SRDH2_52660.1, SRDH2_52660.2, SRDH2_52660.3, SRDH2_52660.4, SRDH2_52660.6, SRDH2_52660.7, SRDH2_52660.5, SRDH2_52660.8
OG0000776	SBOV2_45110.1	SRDH2_46510.1
OG0000776	SBOV2_56010.1, SBOV2_56010.2	SRDH2_58160.1, SRDH2_58160.2
OG0000777	SBOV2_53340.1, SBOV2_53340.2	SRDH2_53800.1, SRDH2_53800.2, SRDH2_53800.3
OG0000778	SBOV2_22410.1, SBOV2_22400.4, SBOV2_22400.5	SRDH2_23360.1
OG0000779	SBOV2_3730.2, SBOV2_3730.4, SBOV2_3730.3, SBOV2_3730.5, SBOV2_3730.1	SRDH2_3760.2, SRDH2_3760.3, SRDH2_3760.7, SRDH2_3760.8, SRDH2_3760.6, SRDH2_3760.5, SRDH2_3760.1, SRDH2_3760.4
OG0000780	SBOV2_14600.1, SBOV2_14600.2, SBOV2_14600.3, SBOV2_14600.4, SBOV2_14600.5	SRDH2_15470.2, SRDH2_15470.3, SRDH2_15470.4, SRDH2_15470.1, SRDH2_15470.5, SRDH2_15470.6
OG0000781	SBOV2_11000.1	SRDH2_11570.1
OG0000781	SBOV2_440.1, SBOV2_440.2	SRDH2_490.1
OG0000782	SBOV2_35970.1	SRDH2_36880.8, SRDH2_36880.6, SRDH2_36880.9, SRDH2_36880.14, SRDH2_36880.15, SRDH2_36880.16, SRDH2_36880.5, SRDH2_36880.7, SRDH2_36880.4, SRDH2_36880.1, SRDH2_36880.3, SRDH2_36880.11, SRDH2_36880.10, SRDH2_36880.12, SRDH2_36880.13, SRDH2_36880.2
OG0000783	SBOV2_54900.6, SBOV2_54900.5, SBOV2_54900.1, SBOV2_54900.3, SBOV2_54900.2, SBOV2_54900.4	SRDH2_51630.2, SRDH2_51630.1, SRDH2_51630.3, SRDH2_51630.4
OG0000784	SBOV2_36050.1, SBOV2_36050.3, SBOV2_36050.2, SBOV2_36050.4	SRDH2_36950.4, SRDH2_36950.5, SRDH2_36950.2, SRDH2_36950.7, SRDH2_36950.3, SRDH2_36950.6, SRDH2_36950.1
OG0000785	SBOV2_58450.1, SBOV2_58450.2, SBOV2_58450.3	SRDH2_60530.1, SRDH2_60530.9, SRDH2_60530.10, SRDH2_60530.11, SRDH2_60530.6, SRDH2_60530.7, SRDH2_60530.5, SRDH2_60530.3, SRDH2_60530.12, SRDH2_60530.2, SRDH2_60530.8, SRDH2_60530.4
OG0000786	SBOV2_27080.2, SBOV2_27080.4, SBOV2_27080.1, SBOV2_27080.3, SBOV2_27080.5	SRDH2_40980.4, SRDH2_40980.3, SRDH2_40980.1, SRDH2_40980.2, SRDH2_40980.5
OG0000787	SBOV2_91650.1, SBOV2_91650.2	SRDH2_96260.1, SRDH2_96260.2
OG0000788	SBOV2_13250.1, SBOV2_13250.2	SRDH2_12730.2, SRDH2_12730.1
OG0000789	SBOV2_25050.1, SBOV2_25050.4, SBOV2_25050.3, SBOV2_25050.2, SBOV2_25060.1	SRDH2_25940.1, SRDH2_25940.2, SRDH2_25940.4, SRDH2_25940.3
OG0000789	SBOV2_25040.1, SBOV2_25040.2	SRDH2_25930.1, SRDH2_25930.2, SRDH2_25930.3, SRDH2_25930.4, SRDH2_25930.5
OG0000790	SBOV2_28430.2, SBOV2_28430.3, SBOV2_28430.1	SRDH2_39480.1, SRDH2_39480.2, SRDH2_39480.3
OG0000791	SBOV2_41930.1, SBOV2_41930.2	SRDH2_43050.2, SRDH2_43050.3, SRDH2_43050.6, SRDH2_43050.7, SRDH2_43050.4, SRDH2_43050.5
OG0000792	SBOV2_5630.1	SRDH2_5720.1
OG0000793	SBOV2_33450.3, SBOV2_33450.4, SBOV2_33450.2, SBOV2_33450.1	SRDH2_36140.1, SRDH2_36140.3, SRDH2_36140.2
OG0000794	SBOV2_9860.5, SBOV2_9860.7, SBOV2_9860.4, SBOV2_9860.1, SBOV2_9860.3, SBOV2_9860.6, SBOV2_9860.2	SRDH2_10440.10, SRDH2_10440.3, SRDH2_10440.4, SRDH2_10440.5, SRDH2_10440.6, SRDH2_10440.7, SRDH2_10440.8, SRDH2_10440.9, SRDH2_10440.2, SRDH2_10440.1, SRDH2_10440.11
OG0000795	SBOV2_94290.2, SBOV2_94290.4, SBOV2_94290.5, SBOV2_94290.1, SBOV2_94290.3, SBOV2_94290.6	SRDH2_98680.1
OG0000796	SBOV2_15370.1, SBOV2_15380.1, SBOV2_15350.1	SRDH2_16260.1, SRDH2_16270.1
OG0000796	SBOV2_15360.1	SRDH2_16250.1
OG0000797	SBOV2_19410.3, SBOV2_19410.1, SBOV2_19410.2	SRDH2_20390.1, SRDH2_20390.2
OG0000798	SBOV2_1330.1, SBOV2_1330.2, SBOV2_1330.4, SBOV2_1330.3	SRDH2_1350.1
OG0000799	SBOV2_66410.4, SBOV2_66410.1, SBOV2_66410.2, SBOV2_66410.3	SRDH2_69350.1, SRDH2_69350.2, SRDH2_69350.4, SRDH2_69350.3, SRDH2_69350.5
OG0000800	SBOV2_9790.10, SBOV2_9790.11, SBOV2_9790.13, SBOV2_9790.14, SBOV2_9790.2, SBOV2_9790.8, SBOV2_9790.7, SBOV2_9790.6, SBOV2_9790.3, SBOV2_9790.1, SBOV2_9790.12, SBOV2_9790.5, SBOV2_9790.9, SBOV2_9790.4	SRDH2_10360.2, SRDH2_10360.1
OG0000801	SBOV2_15270.1, SBOV2_15270.2, SBOV2_15270.3, SBOV2_15270.4	SRDH2_16160.3, SRDH2_16160.2, SRDH2_16160.1
OG0000802	SBOV2_72520.1	SRDH2_75170.1
OG0000803	SBOV2_78220.1, SBOV2_78220.2, SBOV2_78220.4, SBOV2_78220.3	SRDH2_81130.2, SRDH2_81130.3, SRDH2_81130.4, SRDH2_81130.5, SRDH2_81130.6, SRDH2_81130.1
OG0000804	SBOV2_26530.2, SBOV2_26530.1, SBOV2_26530.3	SRDH2_41630.8, SRDH2_41630.3, SRDH2_41630.5, SRDH2_41630.6, SRDH2_41630.4, SRDH2_41630.2, SRDH2_41630.1, SRDH2_41630.7
OG0000805	SBOV2_31270.2, SBOV2_31270.4, SBOV2_31270.3, SBOV2_31270.5, SBOV2_31270.1, SBOV2_31270.6	SRDH2_34000.1, SRDH2_34000.2
OG0000806	SBOV2_72880.3, SBOV2_72880.2, SBOV2_72880.4, SBOV2_72880.1	SRDH2_75550.2, SRDH2_75550.6, SRDH2_75550.7, SRDH2_75550.1, SRDH2_75550.4, SRDH2_75550.5, SRDH2_75550.3
OG0000807	SBOV2_9580.1, SBOV2_9580.2, SBOV2_9580.3	SRDH2_10070.1, SRDH2_10060.1
OG0000808	SBOV2_92460.1	SRDH2_96800.1
OG0000808	SBOV2_92470.1	SRDH2_96810.1, SRDH2_96810.2, SRDH2_96810.3
OG0000809	SBOV2_89960.2, SBOV2_89960.4, SBOV2_89960.1, SBOV2_89960.3, SBOV2_89960.5	SRDH2_91870.8, SRDH2_91870.1, SRDH2_91870.7, SRDH2_91870.3, SRDH2_91870.4, SRDH2_91870.5, SRDH2_91870.2, SRDH2_91870.6
OG0000810	SBOV2_24570.5, SBOV2_24570.6, SBOV2_24570.7, SBOV2_24570.11, SBOV2_24570.2, SBOV2_24570.1, SBOV2_24570.10, SBOV2_24570.9, SBOV2_24570.13, SBOV2_24570.3, SBOV2_24570.8, SBOV2_24570.12, SBOV2_24570.4	SRDH2_25430.1
OG0000811	SBOV2_10800.1, SBOV2_10800.2, SBOV2_10800.3	SRDH2_11410.1, SRDH2_11410.2, SRDH2_11410.5, SRDH2_11410.7, SRDH2_11410.8, SRDH2_11410.9, SRDH2_11410.3, SRDH2_11410.4, SRDH2_11410.6
OG0000812	SBOV2_11880.1, SBOV2_11880.2, SBOV2_11880.3, SBOV2_11880.4, SBOV2_11880.5	SRDH2_13940.10, SRDH2_13940.1, SRDH2_13940.11, SRDH2_13940.3, SRDH2_13940.4, SRDH2_13940.6, SRDH2_13940.8, SRDH2_13940.9, SRDH2_13940.12, SRDH2_13940.2, SRDH2_13940.5, SRDH2_13940.7
OG0000813	SBOV2_85650.3, SBOV2_85650.8, SBOV2_85650.4, SBOV2_85650.1, SBOV2_85650.2, SBOV2_85650.6, SBOV2_85650.7, SBOV2_85650.5	SRDH2_89630.1, SRDH2_89630.2, SRDH2_89630.3, SRDH2_89630.4, SRDH2_89630.5
OG0000814	SBOV2_63010.1, SBOV2_63000.1, SBOV2_63030.1	SRDH2_65100.4, SRDH2_65100.6, SRDH2_65100.7, SRDH2_65100.2, SRDH2_65100.8, SRDH2_65100.1, SRDH2_65100.5, SRDH2_65100.3
OG0000815	SBOV2_59130.1, SBOV2_59130.2	SRDH2_61190.5, SRDH2_61190.8, SRDH2_61190.9, SRDH2_61190.3, SRDH2_61190.4, SRDH2_61190.1, SRDH2_61190.2, SRDH2_61190.6, SRDH2_61190.7, SRDH2_61190.10, SRDH2_61190.13, SRDH2_61190.11, SRDH2_61190.12, SRDH2_61190.14
OG0000816	SBOV2_83100.1, SBOV2_83100.2, SBOV2_83100.5, SBOV2_83100.3, SBOV2_83100.4	SRDH2_86370.2, SRDH2_86350.1, SRDH2_86370.5, SRDH2_86370.6, SRDH2_86370.7, SRDH2_86370.8, SRDH2_86370.9, SRDH2_86370.10, SRDH2_86370.11, SRDH2_86370.3, SRDH2_86370.4, SRDH2_86440.1, SRDH2_86370.1, SRDH2_86370.12, SRDH2_86380.1
OG0000817	SBOV2_89670.1	SRDH2_91270.10, SRDH2_91270.1, SRDH2_91270.2, SRDH2_91270.3, SRDH2_91270.4, SRDH2_91270.5, SRDH2_91270.6, SRDH2_91270.7, SRDH2_91270.8, SRDH2_91270.9
OG0000818	SBOV2_11240.1, SBOV2_11240.3, SBOV2_11240.2	SRDH2_12080.4, SRDH2_12080.5, SRDH2_12080.2, SRDH2_12080.7, SRDH2_12080.10, SRDH2_12080.11, SRDH2_12080.9, SRDH2_12080.3, SRDH2_12080.8, SRDH2_12080.1, SRDH2_12080.6
OG0000819	SBOV2_64970.1, SBOV2_64970.2, SBOV2_64970.3	SRDH2_65960.1, SRDH2_65960.2, SRDH2_65960.3, SRDH2_65960.4, SRDH2_65960.6, SRDH2_65960.7, SRDH2_65960.5
OG0000821	SBOV2_48510.3, SBOV2_48510.4, SBOV2_48510.5, SBOV2_48510.7, SBOV2_48510.1, SBOV2_48510.6	SRDH2_49890.7, SRDH2_49890.3, SRDH2_49890.4, SRDH2_49890.5, SRDH2_49890.8, SRDH2_49890.1, SRDH2_49890.2, SRDH2_49890.6
OG0000822	SBOV2_73560.1	SRDH2_76250.7, SRDH2_76250.2, SRDH2_76250.4, SRDH2_76250.1, SRDH2_76250.3, SRDH2_76250.5, SRDH2_76250.6, SRDH2_76250.8
OG0000823	SBOV2_52240.1	SRDH2_52700.1
OG0000823	SBOV2_91700.1	SRDH2_96220.1
OG0000823	SBOV2_91690.1	SRDH2_96230.1
OG0000824	SBOV2_3140.1	SRDH2_3190.3
OG0000824	SBOV2_3140.2, SBOV2_3140.3	SRDH2_3190.1, SRDH2_3190.2
OG0000825	SBOV2_76150.1, SBOV2_76150.2, SBOV2_76130.1, SBOV2_76120.1	SRDH2_76870.3, SRDH2_76870.4, SRDH2_76870.2, SRDH2_76880.1, SRDH2_76870.5, SRDH2_76870.6, SRDH2_76870.1, SRDH2_76870.7, SRDH2_79030.1
OG0000826	SBOV2_50280.1	SRDH2_56310.4, SRDH2_56310.7, SRDH2_56310.5, SRDH2_56310.2, SRDH2_56310.6, SRDH2_56310.8, SRDH2_56310.1, SRDH2_56310.3
OG0000827	SBOV2_74500.1	SRDH2_77270.1
OG0000827	SBOV2_74490.1, SBOV2_74490.2, SBOV2_74490.3, SBOV2_74490.4	SRDH2_77260.1, SRDH2_77260.2, SRDH2_77260.3
OG0000828	SBOV2_89740.1, SBOV2_89750.1	SRDH2_92100.1, SRDH2_92090.1, SRDH2_23580.1, SRDH2_95770.1, SRDH2_71310.1, SRDH2_92110.1, SRDH2_92120.1, SRDH2_92130.1
OG0000829	SBOV2_17900.1	SRDH2_18920.4, SRDH2_18920.6, SRDH2_18920.1, SRDH2_18920.5, SRDH2_18920.2, SRDH2_18920.3, SRDH2_18920.7, SRDH2_18920.8
OG0000830	SBOV2_48290.1	SRDH2_49660.5, SRDH2_49660.3, SRDH2_49660.7, SRDH2_49660.8, SRDH2_49660.1, SRDH2_49660.2, SRDH2_49660.4, SRDH2_49660.6
OG0000831	SBOV2_41650.2, SBOV2_41650.4, SBOV2_41650.5, SBOV2_41650.3, SBOV2_41650.1	SRDH2_42770.1, SRDH2_42770.3, SRDH2_42770.2, SRDH2_42770.4
OG0000832	SBOV2_59930.1	SRDH2_61930.1, SRDH2_61930.6
OG0000833	SBOV2_34370.1	SRDH2_35200.1, SRDH2_35200.3, SRDH2_35200.5, SRDH2_35200.7, SRDH2_35200.10, SRDH2_35200.2, SRDH2_35200.4, SRDH2_35200.6, SRDH2_35200.8, SRDH2_35200.9
OG0000834	SBOV2_48130.2, SBOV2_48130.4, SBOV2_48130.6, SBOV2_48130.3, SBOV2_48130.5, SBOV2_48130.1	SRDH2_49470.2, SRDH2_49470.3, SRDH2_49470.5, SRDH2_49470.1, SRDH2_49470.4
OG0000835	SBOV2_29630.12, SBOV2_29630.11, SBOV2_29630.9, SBOV2_29630.1, SBOV2_29630.2, SBOV2_29630.3, SBOV2_29630.4, SBOV2_29630.5, SBOV2_29630.6, SBOV2_29630.7, SBOV2_29630.8, SBOV2_29630.10, SBOV2_29630.13, SBOV2_29630.14	SRDH2_31910.9, SRDH2_31910.2, SRDH2_31910.7, SRDH2_31910.4, SRDH2_31910.1, SRDH2_31910.8, SRDH2_31910.5, SRDH2_31910.6, SRDH2_31910.10, SRDH2_31910.3
OG0000836	SBOV2_30300.3, SBOV2_30300.1, SBOV2_30300.4, SBOV2_30300.2, SBOV2_30300.6, SBOV2_30300.5	SRDH2_37590.3, SRDH2_37590.1, SRDH2_37590.4, SRDH2_37590.5, SRDH2_37590.2
OG0000837	SBOV2_35300.7, SBOV2_35300.1, SBOV2_35300.2, SBOV2_35300.3, SBOV2_35300.4, SBOV2_35300.5, SBOV2_35300.6, SBOV2_35300.8	SRDH2_36250.1, SRDH2_36250.2, SRDH2_36250.4, SRDH2_36250.5, SRDH2_36250.6, SRDH2_36250.3
OG0000838	SBOV2_28640.2, SBOV2_28640.1, SBOV2_28640.3	SRDH2_39260.1
OG0000839	SBOV2_29220.2, SBOV2_29220.1, SBOV2_29220.3	SRDH2_38650.4, SRDH2_38650.3, SRDH2_38650.2, SRDH2_38650.5, SRDH2_38650.1
OG0000840	SBOV2_69760.1	SRDH2_71720.1, SRDH2_71720.2, SRDH2_71720.3
OG0000841	SBOV2_19790.1, SBOV2_19790.6, SBOV2_19790.8, SBOV2_19790.5, SBOV2_19790.9, SBOV2_19790.3, SBOV2_19790.2, SBOV2_19790.4, SBOV2_19790.7	SRDH2_20780.2, SRDH2_20780.1, SRDH2_20780.3
OG0000842	SBOV2_66600.1, SBOV2_66600.2	SRDH2_69130.3, SRDH2_69130.2, SRDH2_69130.1, SRDH2_69130.5, SRDH2_69130.6, SRDH2_69130.7, SRDH2_69130.4
OG0000843	SBOV2_81510.1, SBOV2_81510.2, SBOV2_81510.3, SBOV2_81510.5, SBOV2_81510.6, SBOV2_81510.7, SBOV2_81510.8, SBOV2_81510.4	SRDH2_84590.3, SRDH2_84590.5, SRDH2_84590.1, SRDH2_84590.2, SRDH2_84590.4
OG0000844	SBOV2_5230.1, SBOV2_5230.2, SBOV2_5230.3, SBOV2_5230.4, SBOV2_5230.5	SRDH2_5320.7, SRDH2_5320.8, SRDH2_5320.4, SRDH2_5320.5, SRDH2_5320.1, SRDH2_5320.2, SRDH2_5320.3, SRDH2_5320.6
OG0000845	SBOV2_88310.1, SBOV2_88310.2, SBOV2_88310.3, SBOV2_88310.4	SRDH2_92860.1, SRDH2_92860.2, SRDH2_92860.3, SRDH2_92860.4
OG0000846	SBOV2_16350.1, SBOV2_16360.1	SRDH2_17340.1
OG0000847	SBOV2_1260.5, SBOV2_1260.3, SBOV2_1260.1, SBOV2_1260.2, SBOV2_1260.7, SBOV2_1260.8, SBOV2_1260.4, SBOV2_1260.6	SRDH2_1250.9, SRDH2_1250.5, SRDH2_1250.2, SRDH2_1250.3, SRDH2_1250.12, SRDH2_1250.8, SRDH2_1250.1, SRDH2_1250.7, SRDH2_1250.10, SRDH2_1250.11, SRDH2_1250.13, SRDH2_1250.14, SRDH2_1250.4, SRDH2_1250.6
OG0000848	SBOV2_32860.4, SBOV2_32860.6, SBOV2_32860.7, SBOV2_32860.2, SBOV2_32860.3, SBOV2_32860.5, SBOV2_32860.1	SRDH2_32410.3, SRDH2_32410.4, SRDH2_32410.6, SRDH2_32410.2, SRDH2_32410.5, SRDH2_32410.1
OG0000849	SBOV2_28600.1, SBOV2_28600.2	SRDH2_39300.3, SRDH2_39300.1, SRDH2_39300.4, SRDH2_39300.2
OG0000850	SBOV2_40260.1	SRDH2_27730.8, SRDH2_27730.9, SRDH2_27730.2, SRDH2_27730.4, SRDH2_27730.5, SRDH2_27730.10, SRDH2_27730.1, SRDH2_27730.11, SRDH2_27730.3, SRDH2_27730.6, SRDH2_27730.7
OG0000851	SBOV2_89970.1	SRDH2_91860.13, SRDH2_91860.3, SRDH2_91860.4, SRDH2_91860.7, SRDH2_91860.11, SRDH2_91860.12, SRDH2_91860.2, SRDH2_91860.9, SRDH2_91860.1, SRDH2_91860.10, SRDH2_91860.6, SRDH2_91860.8, SRDH2_91860.5
OG0000852	SBOV2_10630.9, SBOV2_10630.4, SBOV2_10630.6, SBOV2_10630.8, SBOV2_10630.5, SBOV2_10630.2, SBOV2_10630.3, SBOV2_10630.1, SBOV2_10630.7	SRDH2_11230.3, SRDH2_11230.1, SRDH2_11230.2, SRDH2_11230.4
OG0000853	SBOV2_82000.1	SRDH2_85100.1, SRDH2_85100.5, SRDH2_85100.3, SRDH2_85100.4, SRDH2_85100.2
OG0000854	SBOV2_30290.2, SBOV2_30290.1, SBOV2_30290.3	SRDH2_37580.1
OG0000855	SBOV2_51050.1, SBOV2_51050.4, SBOV2_51050.5, SBOV2_51050.6, SBOV2_51050.2, SBOV2_51050.3	SRDH2_55520.1, SRDH2_55520.4, SRDH2_55520.5, SRDH2_55520.3, SRDH2_55520.2
OG0000856	SBOV2_3050.1	SRDH2_3090.1, SRDH2_3090.2
OG0000857	SBOV2_4230.1	SRDH2_4250.7, SRDH2_4250.9, SRDH2_4250.3
OG0000859	SBOV2_48900.1	SRDH2_50320.1
OG0000860	SBOV2_59440.1	SRDH2_61480.1
