Orthogroup	schistosoma_bovis	trichobilharzia_regenti
OG0000593	SBOV2_35850.5, SBOV2_35850.10, SBOV2_35850.8, SBOV2_35850.6, SBOV2_35850.2, SBOV2_35850.9, SBOV2_35850.1, SBOV2_35850.3, SBOV2_35850.4, SBOV2_35850.7	TREG1_58530.1, TREG1_58530.2, TREG1_58530.3, TREG1_58530.4
OG0000594	SBOV2_48710.1	TREG1_24250.1, TREG1_72460.1
OG0000595	SBOV2_47060.2, SBOV2_47060.3, SBOV2_47060.1, SBOV2_47060.6, SBOV2_47060.5, SBOV2_47060.4	TREG1_63690.1, TREG1_63690.2, TREG1_63690.3
OG0000597	SBOV2_56960.1, SBOV2_56570.1, SBOV2_56790.1, SBOV2_56790.4, SBOV2_56790.2, SBOV2_56790.3, SBOV2_56580.1	TREG1_33750.3, TREG1_33750.1, TREG1_33780.1, TREG1_33750.2, TREG1_33750.4, TREG1_84260.1, TREG1_84200.1, TREG1_141400.1, TREG1_145040.1, TREG1_84210.1, TREG1_141390.1, TREG1_84250.1, TREG1_84250.2
OG0000598	SBOV2_12610.1, SBOV2_12610.3, SBOV2_12610.4, SBOV2_12610.5, SBOV2_12610.2, SBOV2_12610.7, SBOV2_12610.6	TREG1_137630.1, TREG1_76110.1, TREG1_76110.2, TREG1_76150.1, TREG1_76140.1
OG0000599	SBOV2_62190.2, SBOV2_62190.4, SBOV2_62190.3, SBOV2_62190.1, SBOV2_62190.5, SBOV2_62190.6	TREG1_90170.2, TREG1_90170.1, TREG1_90170.3
OG0000600	SBOV2_67220.1, SBOV2_67230.1	TREG1_92180.1, TREG1_92180.2, TREG1_92180.3, TREG1_92180.4, TREG1_92180.5, TREG1_92180.6, TREG1_92180.7, TREG1_92180.8, TREG1_92180.9
OG0000601	SBOV2_93890.1	TREG1_131690.1
OG0000601	SBOV2_26880.1	TREG1_56660.1
OG0000602	SBOV2_14760.1	TREG1_21030.1, TREG1_21030.2, TREG1_21030.3, TREG1_21030.4
OG0000603	SBOV2_49740.2, SBOV2_49740.1, SBOV2_49740.3	TREG1_74520.1
OG0000605	SBOV2_40030.1	TREG1_60080.1, TREG1_60080.6, TREG1_60080.2, TREG1_60080.3, TREG1_60080.4, TREG1_60080.5
OG0000605	SBOV2_40070.1	TREG1_59030.1
OG0000607	SBOV2_36500.8, SBOV2_36500.7, SBOV2_36500.4, SBOV2_36500.2, SBOV2_36500.6, SBOV2_36500.1, SBOV2_36500.3, SBOV2_36500.5	TREG1_49850.1, TREG1_49850.2
OG0000608	SBOV2_54700.1	TREG1_68600.6, TREG1_68600.5, TREG1_68600.3, TREG1_68600.1, TREG1_68600.2, TREG1_68600.4
OG0000609	SBOV2_40160.6, SBOV2_40160.3, SBOV2_40160.1, SBOV2_40160.4, SBOV2_40160.7, SBOV2_40160.5, SBOV2_40160.2	TREG1_60290.1, TREG1_60280.1, TREG1_60280.2
OG0000610	SBOV2_22240.1	TREG1_61090.1, TREG1_61090.2
OG0000611	SBOV2_42380.1, SBOV2_42430.1, SBOV2_42410.1, SBOV2_42400.1, SBOV2_42420.1	TREG1_39480.1, TREG1_39460.1
OG0000612	SBOV2_8720.1, SBOV2_8720.4, SBOV2_8720.5, SBOV2_8720.6, SBOV2_8720.3, SBOV2_8720.2	TREG1_11300.1
OG0000613	SBOV2_30590.1, SBOV2_30590.2, SBOV2_30590.4, SBOV2_30590.3, SBOV2_30590.5, SBOV2_30590.6	TREG1_50280.1
OG0000614	SBOV2_43550.2, SBOV2_43550.3, SBOV2_43550.1, SBOV2_43550.6, SBOV2_43550.7, SBOV2_43550.4, SBOV2_43550.5	TREG1_39240.5, TREG1_39240.1, TREG1_39240.2, TREG1_39240.3, TREG1_39240.4
OG0000615	SBOV2_12910.2, SBOV2_12910.1	TREG1_28100.1, TREG1_28100.2
OG0000616	SBOV2_59690.1	TREG1_79530.1
OG0000617	SBOV2_80960.1	TREG1_113250.10, TREG1_113250.11, TREG1_113250.6, TREG1_113250.12, TREG1_113250.7, TREG1_113250.4, TREG1_113250.2, TREG1_113250.8, TREG1_113250.9, TREG1_113250.1, TREG1_113250.3, TREG1_113250.5
OG0000618	SBOV2_31210.1	TREG1_54300.1, TREG1_54290.1, TREG1_54290.2
OG0000619	SBOV2_650.2, SBOV2_650.4, SBOV2_650.1, SBOV2_650.5, SBOV2_650.6, SBOV2_650.3	TREG1_7450.1
OG0000620	SBOV2_14950.1	TREG1_137380.1
OG0000620	SBOV2_44930.1	TREG1_61470.1
OG0000621	SBOV2_37570.5, SBOV2_37570.1, SBOV2_37570.6, SBOV2_37570.2, SBOV2_37570.3, SBOV2_37570.4	TREG1_47640.1
OG0000622	SBOV2_72610.9, SBOV2_72610.20, SBOV2_72610.10, SBOV2_72610.11, SBOV2_72610.14, SBOV2_72610.15, SBOV2_72610.16, SBOV2_72610.17, SBOV2_72610.18, SBOV2_72610.21, SBOV2_72610.22, SBOV2_72610.13, SBOV2_72610.12, SBOV2_72610.6, SBOV2_72610.19, SBOV2_72610.8, SBOV2_72610.5, SBOV2_72610.7, SBOV2_72610.4	TREG1_107710.3, TREG1_107710.1, TREG1_107710.2, TREG1_107710.4
OG0000623	SBOV2_12750.5, SBOV2_12750.1, SBOV2_12750.2, SBOV2_12750.4, SBOV2_12750.3	TREG1_10780.1
OG0000624	SBOV2_38630.1	TREG1_52600.1, TREG1_52600.2
OG0000625	SBOV2_30240.3, SBOV2_30240.1, SBOV2_30240.6, SBOV2_30240.5, SBOV2_30240.2, SBOV2_30240.4	TREG1_39770.1, TREG1_39760.1
OG0000626	SBOV2_50890.6, SBOV2_50890.5, SBOV2_50890.8, SBOV2_50890.7, SBOV2_50890.4, SBOV2_50890.1, SBOV2_50890.3, SBOV2_50890.2	TREG1_76310.1, TREG1_76310.2, TREG1_76310.3
OG0000627	SBOV2_11680.7, SBOV2_11680.8, SBOV2_11680.6, SBOV2_11680.4, SBOV2_11680.2, SBOV2_11680.1, SBOV2_11680.3, SBOV2_11680.5	TREG1_15320.1
OG0000628	SBOV2_60730.2, SBOV2_60730.4, SBOV2_60730.3, SBOV2_60730.1	TREG1_91720.1, TREG1_91710.1
OG0000629	SBOV2_28920.5, SBOV2_28920.7, SBOV2_28920.6, SBOV2_28920.4, SBOV2_28920.3, SBOV2_28920.2, SBOV2_28920.1	TREG1_41520.1, TREG1_41520.2, TREG1_41520.3
OG0000630	SBOV2_58350.1, SBOV2_58350.2, SBOV2_58350.3	TREG1_80480.6, TREG1_80480.1, TREG1_80480.2, TREG1_80480.3, TREG1_80480.4, TREG1_80480.5, TREG1_141830.5, TREG1_141840.2, TREG1_141840.3, TREG1_141830.6, TREG1_141830.7, TREG1_28320.1, TREG1_28320.2, TREG1_28320.4, TREG1_28320.5, TREG1_28320.3, TREG1_28320.7, TREG1_28320.8, TREG1_28320.9, TREG1_141830.2, TREG1_141840.1, TREG1_28320.6, TREG1_141840.6, TREG1_141830.4, TREG1_141840.5, TREG1_141840.7, TREG1_141830.1, TREG1_141830.3, TREG1_141840.4, TREG1_141840.8
OG0000631	SBOV2_65490.1	TREG1_90310.1, TREG1_90320.1, TREG1_39130.1, TREG1_39130.2
OG0000631	SBOV2_60770.5, SBOV2_60770.1, SBOV2_60770.2, SBOV2_60770.4, SBOV2_60770.3, SBOV2_60770.6	TREG1_91760.1
OG0000632	SBOV2_13020.5, SBOV2_13020.3, SBOV2_13020.4, SBOV2_13020.6, SBOV2_13020.1, SBOV2_13020.2	TREG1_30130.1
OG0000633	SBOV2_53030.1, SBOV2_53030.4, SBOV2_53030.2, SBOV2_53030.3, SBOV2_53030.5	TREG1_73110.4, TREG1_73120.1, TREG1_73110.1, TREG1_73110.2, TREG1_73110.3
OG0000636	SBOV2_93640.1, SBOV2_93640.3, SBOV2_93640.5, SBOV2_93640.6, SBOV2_93640.2, SBOV2_93640.4, SBOV2_93640.7	TREG1_131330.1
OG0000637	SBOV2_48970.1	TREG1_66150.1
OG0000638	SBOV2_63660.1, SBOV2_63660.2, SBOV2_63660.3	TREG1_90220.4, TREG1_90220.3, TREG1_90220.5, TREG1_90220.7, TREG1_90220.1, TREG1_90220.2, TREG1_90220.6
OG0000639	SBOV2_61390.1	TREG1_84310.6, TREG1_84310.1, TREG1_84310.5, TREG1_84310.4, TREG1_84310.2, TREG1_84310.3
OG0000640	SBOV2_83930.1, SBOV2_83970.1	TREG1_114550.3, TREG1_114550.4, TREG1_114550.2, TREG1_114550.1
OG0000641	SBOV2_6610.1, SBOV2_6610.2, SBOV2_6610.3	TREG1_4100.1
OG0000641	SBOV2_4550.1, SBOV2_4550.2	TREG1_4590.1, TREG1_4590.2
OG0000642	SBOV2_61460.3, SBOV2_61460.1, SBOV2_61460.2	TREG1_82100.1
OG0000643	SBOV2_53500.1	TREG1_66730.1
OG0000643	SBOV2_53510.2, SBOV2_53510.3, SBOV2_53510.1	TREG1_66710.1, TREG1_66720.1, TREG1_66720.2, TREG1_66720.3
OG0000644	SBOV2_94590.5, SBOV2_94590.2, SBOV2_94590.1, SBOV2_94590.3, SBOV2_94590.4	TREG1_135490.1, TREG1_135500.2, TREG1_135500.1, TREG1_135500.3, TREG1_135500.4
OG0000645	SBOV2_10180.1, SBOV2_10170.1	TREG1_7290.1, TREG1_7300.1
OG0000646	SBOV2_8750.7, SBOV2_8750.4, SBOV2_8750.8, SBOV2_8750.3, SBOV2_8750.6, SBOV2_8750.1, SBOV2_8750.2, SBOV2_8750.5	TREG1_12070.1
OG0000647	SBOV2_61630.5, SBOV2_61630.7, SBOV2_61630.6, SBOV2_61630.1, SBOV2_61630.2, SBOV2_61630.8, SBOV2_61630.10, SBOV2_61630.3, SBOV2_61630.4, SBOV2_61630.9	TREG1_91240.1
OG0000648	SBOV2_91150.1, SBOV2_91140.2, SBOV2_91140.1	TREG1_128180.1
OG0000649	SBOV2_59410.1, SBOV2_59410.2	TREG1_84730.1
OG0000650	SBOV2_76710.1, SBOV2_76710.4, SBOV2_76710.2, SBOV2_76710.3, SBOV2_76710.5	TREG1_106110.1, TREG1_106110.2
OG0000651	SBOV2_26100.2, SBOV2_26100.1, SBOV2_26100.3, SBOV2_26100.4	TREG1_37070.2, TREG1_37070.1, TREG1_37070.3, TREG1_37070.4
OG0000652	SBOV2_27620.3, SBOV2_27620.1, SBOV2_27620.2, SBOV2_27620.4, SBOV2_27620.5, SBOV2_27620.6	TREG1_40740.1
OG0000653	SBOV2_27060.1, SBOV2_27070.1, SBOV2_27070.2, SBOV2_27070.3	TREG1_57150.1, TREG1_57150.2
OG0000654	SBOV2_57610.3, SBOV2_57610.1, SBOV2_57610.2, SBOV2_57610.4	TREG1_51530.1
OG0000655	SBOV2_80890.1	TREG1_113670.1, TREG1_113690.1, TREG1_113690.2, TREG1_113690.3
OG0000656	SBOV2_74520.2, SBOV2_74520.1, SBOV2_74520.3	TREG1_98900.1
OG0000657	SBOV2_87960.2, SBOV2_87960.3, SBOV2_87960.4, SBOV2_87960.5, SBOV2_87960.1, SBOV2_87960.6	TREG1_125680.1
OG0000659	SBOV2_26120.1, SBOV2_26120.3, SBOV2_26120.4, SBOV2_26120.2	TREG1_40290.1, TREG1_40290.2, TREG1_40290.3
OG0000662	SBOV2_53300.3, SBOV2_53300.5, SBOV2_53300.1, SBOV2_53300.2, SBOV2_53300.4, SBOV2_53300.6	TREG1_69970.1
OG0000663	SBOV2_29600.10, SBOV2_29600.9, SBOV2_29600.7, SBOV2_29600.6, SBOV2_29600.4, SBOV2_29600.5, SBOV2_29600.8, SBOV2_29600.2, SBOV2_29600.1, SBOV2_29600.3	TREG1_45970.1
OG0000664	SBOV2_12170.2, SBOV2_12170.1, SBOV2_12170.3, SBOV2_12170.4	TREG1_8950.1, TREG1_8950.2, TREG1_8950.3
OG0000665	SBOV2_72240.1, SBOV2_72240.2, SBOV2_72240.3	TREG1_96280.1, TREG1_96290.1
OG0000666	SBOV2_61380.3, SBOV2_61380.4, SBOV2_61380.5, SBOV2_61380.1, SBOV2_61380.2, SBOV2_61380.6	TREG1_84300.1, TREG1_84300.2, TREG1_84300.3
OG0000667	SBOV2_6160.5, SBOV2_6160.6, SBOV2_6160.7, SBOV2_6160.1, SBOV2_6160.2, SBOV2_6160.3, SBOV2_6160.4	TREG1_5970.1, TREG1_5970.2
OG0000668	SBOV2_53120.1	TREG1_73220.1
OG0000669	SBOV2_67660.1, SBOV2_67660.2	TREG1_93060.1, TREG1_93060.2, TREG1_93060.3
OG0000670	SBOV2_43860.1	TREG1_30700.1, TREG1_30700.2
OG0000671	SBOV2_75700.1, SBOV2_75700.2, SBOV2_75700.3	TREG1_101960.6, TREG1_101960.3, TREG1_101960.10, TREG1_101960.7, TREG1_101960.9, TREG1_101960.2, TREG1_101960.5, TREG1_101960.1, TREG1_101960.4, TREG1_101960.8
OG0000672	SBOV2_43460.2, SBOV2_43460.3, SBOV2_43460.1, SBOV2_43460.4, SBOV2_43460.5	TREG1_43270.1, TREG1_43270.4, TREG1_43270.3, TREG1_43270.2, TREG1_43270.5, TREG1_43270.7, TREG1_43270.6
OG0000673	SBOV2_15710.1	TREG1_25990.1
OG0000674	SBOV2_77260.1, SBOV2_77260.3, SBOV2_77260.6, SBOV2_77260.2, SBOV2_77260.4, SBOV2_77260.5	TREG1_98100.1, TREG1_98100.3, TREG1_98100.5, TREG1_98100.2, TREG1_98100.4, TREG1_98100.6
OG0000675	SBOV2_71420.7, SBOV2_71420.2, SBOV2_71420.1, SBOV2_71420.10, SBOV2_71420.4, SBOV2_71420.6, SBOV2_71420.8, SBOV2_71420.9, SBOV2_71420.3, SBOV2_71420.5	TREG1_10590.1, TREG1_102190.1, TREG1_10580.1
OG0000676	SBOV2_80840.1, SBOV2_80840.2, SBOV2_80840.3, SBOV2_80840.4, SBOV2_80840.5, SBOV2_80840.6	TREG1_112140.1, TREG1_112140.2, TREG1_112140.3, TREG1_112140.4, TREG1_112140.5, TREG1_112140.6
OG0000677	SBOV2_5200.1	TREG1_4970.2, TREG1_4970.1, TREG1_4970.5, TREG1_4970.3, TREG1_4970.4, TREG1_4970.6
OG0000678	SBOV2_33200.1, SBOV2_33200.3, SBOV2_33200.2, SBOV2_33200.4	TREG1_52150.2, TREG1_52150.3, TREG1_52150.4, TREG1_52150.1, TREG1_52150.5
OG0000680	SBOV2_16400.1, SBOV2_16400.2, SBOV2_16400.3, SBOV2_16400.4	TREG1_9130.1
OG0000681	SBOV2_32810.1	TREG1_57420.1
OG0000682	SBOV2_42210.1, SBOV2_42210.4, SBOV2_42210.5, SBOV2_42210.3, SBOV2_42210.2	TREG1_42600.1
OG0000683	SBOV2_50470.1	TREG1_77370.1, TREG1_137520.1, TREG1_77370.2
OG0000683	SBOV2_66790.1	TREG1_91590.1
OG0000684	SBOV2_83820.1	TREG1_110030.2, TREG1_110030.1, TREG1_110030.3, TREG1_110030.4
OG0000685	SBOV2_74330.1	TREG1_100060.5, TREG1_100060.1, TREG1_100060.6, TREG1_100060.7, TREG1_100060.8, TREG1_100060.2, TREG1_100060.3, TREG1_100060.4
OG0000686	SBOV2_59620.1	TREG1_79590.1, TREG1_79590.2, TREG1_79590.7, TREG1_79590.3, TREG1_79590.4, TREG1_79590.5, TREG1_79590.6, TREG1_79590.8, TREG1_79590.9
OG0000687	SBOV2_40760.6, SBOV2_40760.3, SBOV2_40760.1, SBOV2_40760.5, SBOV2_40760.2, SBOV2_40760.4	TREG1_141160.1, TREG1_60450.1, TREG1_60450.2
OG0000688	SBOV2_680.1, SBOV2_680.6, SBOV2_680.5, SBOV2_680.2, SBOV2_680.3, SBOV2_680.4	TREG1_14320.1, TREG1_14320.2
OG0000689	SBOV2_2980.1	TREG1_144110.1, TREG1_19100.1
OG0000690	SBOV2_22280.1	TREG1_61050.1
OG0000692	SBOV2_16580.4, SBOV2_16580.3, SBOV2_16580.1, SBOV2_16580.2	TREG1_19830.5, TREG1_19830.1, TREG1_19830.6, TREG1_19830.8, TREG1_19830.2, TREG1_19830.7, TREG1_19830.3, TREG1_19830.4, TREG1_19830.9
OG0000695	SBOV2_95430.1	TREG1_135010.1
OG0000695	SBOV2_44750.1	TREG1_31440.1
OG0000696	SBOV2_5400.1, SBOV2_5400.2, SBOV2_5400.3, SBOV2_5400.5, SBOV2_5400.4	TREG1_19050.1, TREG1_19050.2, TREG1_19050.3, TREG1_19050.4
OG0000697	SBOV2_27560.1, SBOV2_27560.2	TREG1_34750.1
OG0000698	SBOV2_17510.1, SBOV2_17510.2, SBOV2_17510.3	TREG1_15140.7, TREG1_15140.6, TREG1_15140.4, TREG1_15140.3, TREG1_15140.5, TREG1_15140.1, TREG1_15140.2
OG0000699	SBOV2_34630.1	TREG1_53170.2, TREG1_53170.3, TREG1_53170.4
OG0000699	SBOV2_45230.1, SBOV2_45230.2	TREG1_62360.1
OG0000700	SBOV2_39350.1	TREG1_37450.1
OG0000700	SBOV2_23480.1	TREG1_37550.1
OG0000700	SBOV2_23490.1, SBOV2_23500.1	TREG1_37530.1
OG0000701	SBOV2_60420.3, SBOV2_60420.4, SBOV2_60420.5, SBOV2_60420.6, SBOV2_60420.1, SBOV2_60420.2	TREG1_83860.1
OG0000702	SBOV2_86100.1	TREG1_123490.1
OG0000703	SBOV2_140.1	TREG1_14050.1
OG0000704	SBOV2_47670.2, SBOV2_47670.1, SBOV2_47670.3, SBOV2_47670.4, SBOV2_47670.5	TREG1_139800.1, TREG1_139800.2, TREG1_139800.3, TREG1_121550.1, TREG1_121560.1, TREG1_52080.1
OG0000705	SBOV2_6060.7, SBOV2_6060.8, SBOV2_6060.9, SBOV2_6060.6, SBOV2_6060.3, SBOV2_6060.4, SBOV2_6060.1, SBOV2_6060.2, SBOV2_6060.5	TREG1_2090.1
OG0000706	SBOV2_42570.1	TREG1_57640.1
OG0000706	SBOV2_53210.1	TREG1_72900.1
OG0000707	SBOV2_93230.11, SBOV2_93230.3, SBOV2_93230.4, SBOV2_93230.1, SBOV2_93230.10, SBOV2_93230.2, SBOV2_93230.5, SBOV2_93230.6, SBOV2_93230.9, SBOV2_93230.12, SBOV2_93230.8, SBOV2_93230.7	TREG1_134230.1
OG0000708	SBOV2_30430.3, SBOV2_30430.4, SBOV2_30430.5, SBOV2_30430.1, SBOV2_30430.2	TREG1_47360.1, TREG1_47360.2, TREG1_47360.5, TREG1_47360.8, TREG1_47360.3, TREG1_47360.6, TREG1_47360.7, TREG1_47360.4
OG0000709	SBOV2_42880.1	TREG1_42750.2, TREG1_42750.3, TREG1_42750.4, TREG1_42750.5, TREG1_42750.7, TREG1_42820.1, TREG1_42750.8, TREG1_42750.9, TREG1_42750.13, TREG1_42750.6, TREG1_42750.12, TREG1_42750.1, TREG1_42750.10, TREG1_42750.11, TREG1_42820.4, TREG1_42820.7, TREG1_42820.5, TREG1_42820.3, TREG1_42820.6, TREG1_42820.2
OG0000710	SBOV2_7410.1, SBOV2_7400.1	TREG1_14120.2, TREG1_14120.4, TREG1_14120.3, TREG1_14120.5, TREG1_14120.1
OG0000711	SBOV2_73570.10, SBOV2_73570.11, SBOV2_73570.2, SBOV2_73570.1, SBOV2_73570.7, SBOV2_73570.3, SBOV2_73570.4, SBOV2_73570.9, SBOV2_73570.8, SBOV2_73570.5, SBOV2_73570.6	TREG1_98590.1
OG0000712	SBOV2_52860.1	TREG1_70290.1
OG0000713	SBOV2_71030.1, SBOV2_71030.2, SBOV2_71030.4, SBOV2_71030.3	TREG1_103330.1, TREG1_103330.4, TREG1_103330.8, TREG1_103330.7, TREG1_103330.3, TREG1_103330.2, TREG1_103330.5, TREG1_103330.6, TREG1_103330.9
OG0000714	SBOV2_45550.1, SBOV2_45550.2, SBOV2_45550.3	TREG1_63640.1
OG0000715	SBOV2_40230.1, SBOV2_40230.2, SBOV2_40230.3, SBOV2_40230.5, SBOV2_40230.4	TREG1_36380.1, TREG1_36380.2
OG0000716	SBOV2_11540.1	TREG1_13890.6, TREG1_13890.2, TREG1_13890.3, TREG1_13890.4, TREG1_13890.5, TREG1_13890.1, TREG1_13890.8, TREG1_13890.7
OG0000717	SBOV2_58590.1, SBOV2_58590.2, SBOV2_58590.4, SBOV2_58590.3, SBOV2_58590.5	TREG1_81580.1
OG0000718	SBOV2_73840.5, SBOV2_73840.1, SBOV2_73840.2, SBOV2_73840.4, SBOV2_73840.3	TREG1_107380.1
OG0000719	SBOV2_50460.1, SBOV2_50460.2, SBOV2_50460.3, SBOV2_50460.4, SBOV2_50460.5, SBOV2_50460.6	TREG1_77360.4, TREG1_77360.3, TREG1_77360.1, TREG1_77360.2
OG0000720	SBOV2_75950.2, SBOV2_75950.3, SBOV2_75950.5, SBOV2_75950.6, SBOV2_75950.7, SBOV2_75950.1, SBOV2_75950.4	TREG1_103950.1
OG0000721	SBOV2_45090.1, SBOV2_45090.2, SBOV2_45090.4, SBOV2_45090.3, SBOV2_45090.5, SBOV2_45090.6	TREG1_63250.3, TREG1_63250.1, TREG1_63250.2, TREG1_63250.4
OG0000722	SBOV2_5300.3, SBOV2_5300.2, SBOV2_5300.1, SBOV2_5300.4	TREG1_19000.1
OG0000723	SBOV2_75690.1	TREG1_101970.1, TREG1_101970.2
OG0000724	SBOV2_26040.1	TREG1_37000.2, TREG1_37000.1, TREG1_37000.3
OG0000725	SBOV2_76020.6, SBOV2_76020.4, SBOV2_76020.5, SBOV2_76020.1, SBOV2_76020.3, SBOV2_76020.2	TREG1_100210.1
OG0000726	SBOV2_37790.2, SBOV2_37790.1	TREG1_47910.1
OG0000726	SBOV2_37780.1, SBOV2_37780.2	TREG1_47920.1
OG0000727	SBOV2_29020.1, SBOV2_29020.2, SBOV2_29020.3, SBOV2_29020.4, SBOV2_29020.5	TREG1_37140.1, TREG1_37140.2
OG0000728	SBOV2_47800.2, SBOV2_47800.3, SBOV2_47800.1	TREG1_68340.5, TREG1_68340.1, TREG1_68340.3, TREG1_68340.4, TREG1_68340.2
OG0000729	SBOV2_8680.2, SBOV2_8680.4, SBOV2_8680.1, SBOV2_8680.3, SBOV2_8680.5, SBOV2_8680.6	TREG1_11210.1
OG0000730	SBOV2_59650.1	TREG1_79640.1, TREG1_79640.2, TREG1_79640.3, TREG1_79640.4
OG0000731	SBOV2_75320.1	TREG1_105330.1
OG0000732	SBOV2_3530.6, SBOV2_3530.1, SBOV2_3530.5	TREG1_19240.3, TREG1_19240.1, TREG1_19240.2
OG0000733	SBOV2_2920.2, SBOV2_2920.1, SBOV2_2920.3, SBOV2_2920.7, SBOV2_2920.5, SBOV2_2920.4, SBOV2_2920.6, SBOV2_2920.8	TREG1_19150.6, TREG1_19150.4, TREG1_19150.5, TREG1_19150.3, TREG1_19150.1, TREG1_19150.2
OG0000736	SBOV2_77150.4, SBOV2_77150.5, SBOV2_77150.2, SBOV2_77150.3, SBOV2_77150.1	TREG1_102340.1, TREG1_35810.1
OG0000737	SBOV2_9650.5, SBOV2_9650.3, SBOV2_9650.8, SBOV2_9650.6, SBOV2_9650.10, SBOV2_9650.2, SBOV2_9650.1, SBOV2_9650.9, SBOV2_9650.7, SBOV2_9650.4	TREG1_12800.1
OG0000738	SBOV2_69300.1, SBOV2_69300.4, SBOV2_69300.2, SBOV2_69300.3	TREG1_96570.1, TREG1_96580.1
OG0000738	SBOV2_69160.1, SBOV2_69280.1	TREG1_96560.1
OG0000739	SBOV2_56400.1	TREG1_76840.1, TREG1_76850.1
OG0000740	SBOV2_8270.1	TREG1_6910.1, TREG1_6880.1, TREG1_6880.10, TREG1_6880.3, TREG1_6880.4, TREG1_6880.5, TREG1_6880.6, TREG1_6880.8, TREG1_6880.9, TREG1_6880.2, TREG1_6880.7
OG0000741	SBOV2_83520.3, SBOV2_83520.6, SBOV2_83520.1, SBOV2_83520.2, SBOV2_83520.4, SBOV2_83520.5	TREG1_110370.4, TREG1_110470.1
OG0000742	SBOV2_85520.1, SBOV2_80550.1	TREG1_74450.1, TREG1_74450.2, TREG1_74450.3, TREG1_74450.4, TREG1_130150.1, TREG1_55170.1, TREG1_48960.1, TREG1_48960.2
OG0000743	SBOV2_22020.1, SBOV2_22020.2	TREG1_29150.1
OG0000744	SBOV2_3630.1	TREG1_4420.1
OG0000745	SBOV2_29640.3, SBOV2_29640.6, SBOV2_29640.7, SBOV2_29640.4, SBOV2_29640.5, SBOV2_29640.9, SBOV2_29640.10, SBOV2_29640.8, SBOV2_29640.1, SBOV2_29640.2	TREG1_55280.1, TREG1_55270.1
OG0000746	SBOV2_60290.1	TREG1_84080.1
OG0000748	SBOV2_69690.1	TREG1_96600.1, TREG1_96630.1, TREG1_96630.2, TREG1_96630.3, TREG1_96630.4
OG0000749	SBOV2_69050.3, SBOV2_69050.2, SBOV2_69050.4, SBOV2_69050.6, SBOV2_69050.7, SBOV2_69050.8, SBOV2_69050.1, SBOV2_69050.5, SBOV2_69050.9	TREG1_96410.10, TREG1_96410.7, TREG1_96410.8, TREG1_96410.9, TREG1_96410.1, TREG1_96410.3, TREG1_96410.6, TREG1_96410.4, TREG1_96410.2, TREG1_96410.5
OG0000750	SBOV2_73460.1, SBOV2_73460.2	TREG1_98330.1
OG0000751	SBOV2_5430.1, SBOV2_2620.1	TREG1_12870.1, TREG1_12870.4, TREG1_12870.2, TREG1_12870.3
OG0000752	SBOV2_91860.1	TREG1_132330.1, TREG1_132330.2
OG0000752	SBOV2_91810.1	TREG1_132250.1
OG0000753	SBOV2_82040.2, SBOV2_82040.1, SBOV2_82040.3, SBOV2_82040.4, SBOV2_82040.5	TREG1_113690.7, TREG1_113690.8, TREG1_113690.9, TREG1_113690.5, TREG1_113770.1, TREG1_113690.6
OG0000754	SBOV2_49680.3, SBOV2_49680.1, SBOV2_49680.2, SBOV2_49680.4	TREG1_74530.3, TREG1_74530.1, TREG1_74530.2
OG0000755	SBOV2_74590.1, SBOV2_74590.2, SBOV2_74590.5, SBOV2_74590.6, SBOV2_74590.3, SBOV2_74590.4, SBOV2_74590.7	TREG1_98780.5, TREG1_98830.1, TREG1_98780.6
OG0000756	SBOV2_28760.5, SBOV2_28760.6, SBOV2_28760.9, SBOV2_28760.2, SBOV2_28760.7, SBOV2_28760.3, SBOV2_28760.8, SBOV2_28760.1, SBOV2_28760.4	TREG1_57870.1, TREG1_57870.3, TREG1_57870.2, TREG1_57870.4
OG0000757	SBOV2_53000.2, SBOV2_53000.1, SBOV2_53000.3, SBOV2_53000.4	TREG1_65450.2, TREG1_65450.4, TREG1_65450.1, TREG1_65450.3, TREG1_65450.5
OG0000758	SBOV2_8710.2	TREG1_11150.1
OG0000759	SBOV2_52610.4, SBOV2_52610.1, SBOV2_52610.2, SBOV2_52610.5, SBOV2_52610.3	TREG1_66340.1
OG0000760	SBOV2_77850.1	TREG1_108530.1, TREG1_108530.2, TREG1_108530.3, TREG1_108550.1
OG0000761	SBOV2_51890.1	TREG1_71410.1
OG0000762	SBOV2_81110.1, SBOV2_81110.2, SBOV2_81110.3	TREG1_112900.1
OG0000762	SBOV2_86520.1	TREG1_121390.1
OG0000763	SBOV2_19110.9, SBOV2_19110.1, SBOV2_19110.2, SBOV2_19110.3, SBOV2_19110.4, SBOV2_19110.5, SBOV2_19110.6, SBOV2_19110.7, SBOV2_19110.8, SBOV2_19110.10	TREG1_14960.1
OG0000764	SBOV2_8840.5, SBOV2_8840.3, SBOV2_8840.1, SBOV2_8840.2, SBOV2_8840.4	TREG1_11550.1, TREG1_11560.1
OG0000765	SBOV2_52630.1, SBOV2_52630.2	TREG1_72620.1, TREG1_72620.2
OG0000765	SBOV2_52620.1	TREG1_72630.1, TREG1_72630.2
