Orthogroup	opisthorchis_viverrini	schistosoma_bovis
OG0000374	T265_11863	SBOV2_26320.4, SBOV2_26320.1, SBOV2_26320.5, SBOV2_26320.6, SBOV2_26320.2, SBOV2_26320.3
OG0000375	T265_06672	SBOV2_4520.10, SBOV2_4520.9, SBOV2_4520.2, SBOV2_4520.8, SBOV2_4520.3, SBOV2_4520.6, SBOV2_4520.4, SBOV2_4520.1, SBOV2_4520.5, SBOV2_4520.7
OG0000376	T265_11878	SBOV2_60220.3, SBOV2_60220.1, SBOV2_60220.2, SBOV2_60220.4
OG0000378	T265_05203	SBOV2_23960.1, SBOV2_23960.2, SBOV2_23960.3
OG0000380	T265_15157, T265_03707	SBOV2_21070.1
OG0000381	T265_00434, T265_15881	SBOV2_52480.5, SBOV2_52480.1, SBOV2_52480.4, SBOV2_52480.2, SBOV2_52480.3, SBOV2_52480.7
OG0000381	T265_00435	SBOV2_52470.1
OG0000382	T265_02482	SBOV2_88530.1, SBOV2_88420.1, SBOV2_88430.1, SBOV2_88440.1
OG0000383	T265_08239	SBOV2_29570.1, SBOV2_29570.2
OG0000384	T265_09198, T265_09197	SBOV2_35660.1, SBOV2_35690.1
OG0000385	T265_01125	SBOV2_61800.1
OG0000385	T265_09329, T265_09330	SBOV2_61810.1, SBOV2_61820.1
OG0000386	T265_11583	SBOV2_20490.1, SBOV2_20490.2
OG0000387	T265_06420	SBOV2_2910.6, SBOV2_2910.8, SBOV2_2910.9, SBOV2_2910.1, SBOV2_2910.3, SBOV2_2910.7, SBOV2_2910.4, SBOV2_2910.2, SBOV2_2910.5, SBOV2_96140.8, SBOV2_96140.10, SBOV2_96140.11, SBOV2_96140.7, SBOV2_96140.9, SBOV2_96150.1, SBOV2_96140.1, SBOV2_96140.6, SBOV2_96140.5, SBOV2_96140.4, SBOV2_96140.2, SBOV2_96140.3
OG0000388	T265_11998	SBOV2_88060.4, SBOV2_88060.1, SBOV2_88060.2, SBOV2_88060.6, SBOV2_88060.7, SBOV2_88060.3, SBOV2_88060.5
OG0000389	T265_00782	SBOV2_72750.4, SBOV2_72750.9, SBOV2_72750.7, SBOV2_72750.2, SBOV2_72750.8, SBOV2_72750.3, SBOV2_72750.1, SBOV2_72750.5, SBOV2_72750.6
OG0000390	T265_11108, T265_11109	SBOV2_82360.1
OG0000391	T265_09227	SBOV2_13620.1, SBOV2_13620.2, SBOV2_13620.4, SBOV2_13620.3, SBOV2_13620.5
OG0000392	T265_14483	SBOV2_61300.4, SBOV2_61300.2, SBOV2_61300.1, SBOV2_61300.3, SBOV2_61300.5
OG0000393	T265_15423	SBOV2_44880.2, SBOV2_44880.5, SBOV2_44880.8, SBOV2_44880.1, SBOV2_44880.3, SBOV2_44880.4, SBOV2_44880.6, SBOV2_44880.7
OG0000394	T265_08783	SBOV2_60700.1, SBOV2_60700.3, SBOV2_60700.2, SBOV2_60700.7, SBOV2_60700.4, SBOV2_60700.5, SBOV2_60700.6
OG0000395	T265_08193	SBOV2_78590.1
OG0000396	T265_13488	SBOV2_4480.3, SBOV2_4480.5, SBOV2_4480.1, SBOV2_4480.2, SBOV2_4480.4, SBOV2_4480.6, SBOV2_4480.7
OG0000397	T265_01775	SBOV2_78330.1, SBOV2_78330.2, SBOV2_78330.3, SBOV2_78330.4, SBOV2_78330.6, SBOV2_78330.5
OG0000398	T265_10761, T265_10760	SBOV2_19290.1, SBOV2_21960.1, SBOV2_21920.1
OG0000399	T265_14889, T265_03269	SBOV2_39470.1, SBOV2_39460.1, SBOV2_39470.2, SBOV2_39480.1
OG0000400	T265_14201, T265_08063, T265_08065, T265_10204	SBOV2_44810.1, SBOV2_43910.1
OG0000401	T265_05655	SBOV2_93690.1
OG0000405	T265_09724	SBOV2_29930.1, SBOV2_29930.2, SBOV2_29930.4, SBOV2_29930.7, SBOV2_29930.8, SBOV2_29930.3, SBOV2_29930.5, SBOV2_29930.6
OG0000406	T265_05341	SBOV2_29100.2, SBOV2_29100.5, SBOV2_29100.1, SBOV2_29100.3, SBOV2_29100.6, SBOV2_29100.7, SBOV2_29100.4
OG0000407	T265_12731	SBOV2_61870.2, SBOV2_61870.3, SBOV2_61870.1, SBOV2_61870.4, SBOV2_61870.5
OG0000408	T265_07479	SBOV2_41040.3, SBOV2_41040.1, SBOV2_41040.2, SBOV2_41040.4
OG0000409	T265_03788	SBOV2_87270.11, SBOV2_87270.1, SBOV2_87270.5, SBOV2_87270.9, SBOV2_87270.2, SBOV2_87270.4, SBOV2_87270.10, SBOV2_87270.6, SBOV2_87270.8, SBOV2_87270.3, SBOV2_87270.7
OG0000411	T265_13195	SBOV2_40390.1
OG0000412	T265_09842	SBOV2_71410.1, SBOV2_71410.2, SBOV2_71410.3
OG0000413	T265_02540	SBOV2_60530.1, SBOV2_60530.2
OG0000414	T265_06878, T265_06876, T265_06877	SBOV2_10550.1, SBOV2_10550.8, SBOV2_10550.2, SBOV2_10550.5, SBOV2_10550.7, SBOV2_10550.6, SBOV2_10550.3, SBOV2_10550.4
OG0000415	T265_13626, T265_04888	SBOV2_36830.2, SBOV2_36830.1, SBOV2_36830.6, SBOV2_36830.3, SBOV2_36830.4, SBOV2_36830.5
OG0000416	T265_07350	SBOV2_86620.1, SBOV2_90360.1
OG0000416	T265_09488	SBOV2_86610.1
OG0000417	T265_01300	SBOV2_53390.1, SBOV2_53390.2
OG0000418	T265_07406, T265_14544	SBOV2_93300.10, SBOV2_93300.5, SBOV2_93300.6, SBOV2_93300.9, SBOV2_93300.1, SBOV2_93300.2, SBOV2_93300.3, SBOV2_93300.4, SBOV2_93300.7, SBOV2_93300.8
OG0000419	T265_00950	SBOV2_6030.13, SBOV2_6030.1, SBOV2_6030.10, SBOV2_6030.2, SBOV2_6030.3, SBOV2_6030.4, SBOV2_6030.6, SBOV2_6030.7, SBOV2_6030.8, SBOV2_6030.9, SBOV2_6030.12, SBOV2_6030.11, SBOV2_6030.5
OG0000420	T265_01216	SBOV2_44980.1
OG0000421	T265_13603	SBOV2_66820.1, SBOV2_66820.2, SBOV2_66820.5, SBOV2_66820.6, SBOV2_66820.3, SBOV2_66820.4, SBOV2_66820.7
OG0000422	T265_01327	SBOV2_49390.3, SBOV2_49390.5, SBOV2_49390.4, SBOV2_49390.1, SBOV2_49390.6, SBOV2_49390.2, SBOV2_49390.7
OG0000425	T265_00752	SBOV2_38140.3, SBOV2_38140.1, SBOV2_38140.4, SBOV2_38140.2
OG0000426	T265_12440	SBOV2_51200.2, SBOV2_51200.1, SBOV2_51190.2, SBOV2_51190.3, SBOV2_51190.1, SBOV2_51180.1, SBOV2_51210.1
OG0000427	T265_13396	SBOV2_52380.1
OG0000428	T265_08399	SBOV2_25750.6, SBOV2_25750.7, SBOV2_25750.2, SBOV2_25750.5, SBOV2_25750.3, SBOV2_25750.1, SBOV2_25750.4
OG0000429	T265_07901	SBOV2_91660.1
OG0000429	T265_10847	SBOV2_44500.1
OG0000430	T265_11497	SBOV2_35310.5, SBOV2_35310.6, SBOV2_35310.1, SBOV2_35310.4, SBOV2_35310.2, SBOV2_35310.3
OG0000431	T265_00379	SBOV2_48380.2, SBOV2_48380.1, SBOV2_48380.3, SBOV2_48380.6, SBOV2_48380.4, SBOV2_48380.5
OG0000432	T265_10186	SBOV2_92960.1, SBOV2_92960.4, SBOV2_92960.6, SBOV2_92960.2, SBOV2_92960.3, SBOV2_92960.5
OG0000433	T265_13054	SBOV2_27580.6, SBOV2_27580.1, SBOV2_27580.7, SBOV2_27580.2, SBOV2_27580.3, SBOV2_27580.4, SBOV2_27580.5
OG0000434	T265_05326	SBOV2_92450.1, SBOV2_92450.3, SBOV2_92450.5, SBOV2_92450.4, SBOV2_92450.7, SBOV2_92450.6, SBOV2_92450.2
OG0000435	T265_01204	SBOV2_50940.2, SBOV2_50940.7, SBOV2_50940.1, SBOV2_50940.3, SBOV2_50940.4, SBOV2_50940.6, SBOV2_50940.9, SBOV2_50940.5, SBOV2_50940.10, SBOV2_50940.11, SBOV2_50940.8
OG0000436	T265_03713	SBOV2_25140.2, SBOV2_25140.5, SBOV2_25140.6, SBOV2_25140.4, SBOV2_25140.1, SBOV2_25140.3
OG0000437	T265_13806	SBOV2_3160.8, SBOV2_3160.9, SBOV2_3160.3, SBOV2_3160.5, SBOV2_3160.6, SBOV2_3160.7, SBOV2_3160.1, SBOV2_3160.2, SBOV2_3160.4
OG0000438	T265_09760	SBOV2_63140.1
OG0000439	T265_02427	SBOV2_83710.5, SBOV2_83710.1, SBOV2_83710.3, SBOV2_83710.4, SBOV2_83710.2
OG0000440	T265_08332	SBOV2_90050.1, SBOV2_90040.1, SBOV2_96500.1, SBOV2_96500.2, SBOV2_96500.3, SBOV2_96500.4, SBOV2_96500.5
OG0000441	T265_00253	SBOV2_8920.1
OG0000441	T265_07836	SBOV2_14190.1, SBOV2_14190.2
OG0000442	T265_09824	SBOV2_31430.2, SBOV2_31430.5, SBOV2_31430.4, SBOV2_31430.1, SBOV2_31430.3
OG0000444	T265_11552	SBOV2_70540.1
OG0000445	T265_12793	SBOV2_65140.1
OG0000446	T265_02125	SBOV2_8890.1, SBOV2_8970.1
OG0000447	T265_03299	SBOV2_56190.1, SBOV2_56190.2, SBOV2_56190.3
OG0000448	T265_05426	SBOV2_36190.1, SBOV2_36190.3, SBOV2_36190.4, SBOV2_36190.2
OG0000449	T265_03361	SBOV2_57130.1, SBOV2_57070.1, SBOV2_57100.1, SBOV2_57060.1
OG0000450	T265_11348, T265_01101	SBOV2_24280.6, SBOV2_24280.4, SBOV2_24280.5, SBOV2_24280.1, SBOV2_24280.2, SBOV2_24280.3
OG0000451	T265_05748	SBOV2_96360.1, SBOV2_96360.2, SBOV2_86860.1
OG0000452	T265_09821	SBOV2_28350.1
OG0000453	T265_06719	SBOV2_61750.1
OG0000454	T265_12900	SBOV2_23810.1, SBOV2_69730.1
OG0000454	T265_02660	SBOV2_83110.1, SBOV2_83120.1, SBOV2_71280.1, SBOV2_71500.1
OG0000455	T265_13543	SBOV2_12200.1, SBOV2_12200.2, SBOV2_12200.3, SBOV2_12200.4, SBOV2_12200.5
OG0000456	T265_00028	SBOV2_70340.5, SBOV2_70340.1, SBOV2_70340.3, SBOV2_70340.6, SBOV2_70340.4, SBOV2_70340.2
OG0000457	T265_06520	SBOV2_39000.1, SBOV2_39000.2, SBOV2_39000.3, SBOV2_39000.5, SBOV2_39000.4
OG0000458	T265_14731	SBOV2_33350.1
OG0000459	T265_12673	SBOV2_9310.1, SBOV2_9300.6, SBOV2_9300.4, SBOV2_9300.8, SBOV2_9300.7, SBOV2_9300.2, SBOV2_9300.3, SBOV2_9300.5, SBOV2_9300.1, SBOV2_9300.9, SBOV2_9310.2
OG0000460	T265_02175	SBOV2_12350.1, SBOV2_12350.2, SBOV2_12350.3, SBOV2_12350.4, SBOV2_12350.5
OG0000465	T265_12004, T265_15852	SBOV2_74910.1, SBOV2_74910.4, SBOV2_74910.5, SBOV2_74910.2, SBOV2_74910.3
OG0000466	T265_00717, T265_09088	SBOV2_52330.1
OG0000467	T265_06392, T265_14024, T265_15837	SBOV2_30620.6, SBOV2_30620.4, SBOV2_30620.7, SBOV2_30620.8, SBOV2_30620.2, SBOV2_30620.5, SBOV2_30620.3, SBOV2_30620.1
OG0000468	T265_13212	SBOV2_70080.6, SBOV2_70080.7, SBOV2_70080.2, SBOV2_70080.3, SBOV2_70080.4, SBOV2_70080.1, SBOV2_70080.5
OG0000469	T265_06265	SBOV2_4050.1, SBOV2_4050.2, SBOV2_4050.3, SBOV2_4050.6, SBOV2_4050.5, SBOV2_4050.4
OG0000470	T265_02354	SBOV2_54210.1, SBOV2_54210.2, SBOV2_54210.3, SBOV2_54210.5, SBOV2_54210.6, SBOV2_54210.4
OG0000471	T265_04176	SBOV2_89620.2, SBOV2_89620.3, SBOV2_89620.7, SBOV2_89620.5, SBOV2_89620.4, SBOV2_89620.6, SBOV2_89620.1
OG0000472	T265_08287, T265_14526, T265_08288	SBOV2_30680.1, SBOV2_30690.1
OG0000473	T265_09380	SBOV2_4980.6, SBOV2_4980.5, SBOV2_4980.9, SBOV2_4980.1, SBOV2_4980.2, SBOV2_4980.4, SBOV2_4980.7, SBOV2_4980.3, SBOV2_4980.8
OG0000474	T265_02290	SBOV2_20040.1
OG0000474	T265_12460	SBOV2_45070.1
OG0000475	T265_14673	SBOV2_63350.3, SBOV2_63350.2, SBOV2_63350.1
OG0000476	T265_07244	SBOV2_20900.1, SBOV2_20890.1, SBOV2_20900.7, SBOV2_20900.2, SBOV2_20900.3, SBOV2_20900.4, SBOV2_20900.5, SBOV2_20900.9, SBOV2_20900.6, SBOV2_20900.10, SBOV2_20900.8
OG0000477	T265_01343	SBOV2_44960.4, SBOV2_44960.3, SBOV2_44960.5, SBOV2_44960.1, SBOV2_44960.2, SBOV2_44960.6
OG0000478	T265_09689	SBOV2_6340.1
OG0000479	T265_11380	SBOV2_36040.1
OG0000480	T265_00389, T265_13589, T265_12846, T265_01772, T265_01033, T265_11693, T265_01859, T265_07661, T265_10676, T265_03719, T265_08374, T265_04371, T265_02027, T265_11038, T265_06133, T265_09446, T265_08269, T265_15662, T265_11568, T265_08423, T265_12491, T265_15632, T265_04892, T265_02994, T265_13852, T265_01186, T265_13974, T265_12776, T265_05455, T265_09979, T265_00308, T265_04912, T265_05271, T265_00689, T265_08138, T265_05417, T265_10575, T265_14180, T265_01804, T265_00016, T265_09320, T265_09509, T265_04945, T265_00925, T265_02510, T265_10253, T265_03397	SBOV2_63600.1
OG0000481	T265_00530	SBOV2_64670.5, SBOV2_64670.7, SBOV2_64670.1, SBOV2_64670.2, SBOV2_64670.3, SBOV2_64670.6, SBOV2_64670.8, SBOV2_64670.4
OG0000482	T265_12690	SBOV2_9670.3, SBOV2_9670.7, SBOV2_9670.6, SBOV2_9670.9, SBOV2_9670.1, SBOV2_9670.4, SBOV2_9670.8, SBOV2_9670.5, SBOV2_9670.2
OG0000483	T265_06074	SBOV2_110.1, SBOV2_110.10, SBOV2_110.11, SBOV2_110.12, SBOV2_110.13, SBOV2_110.14, SBOV2_110.15, SBOV2_110.2, SBOV2_110.3, SBOV2_110.4, SBOV2_110.5, SBOV2_110.6, SBOV2_110.7, SBOV2_110.8, SBOV2_110.9, SBOV2_92050.1, SBOV2_92050.2, SBOV2_92050.3, SBOV2_92060.1, SBOV2_56670.1, SBOV2_56690.1
OG0000484	T265_09654	SBOV2_95630.1, SBOV2_95680.1, SBOV2_95220.1, SBOV2_95070.1, SBOV2_95050.1, SBOV2_95690.1, SBOV2_95640.1
OG0000485	T265_13168	SBOV2_13220.1, SBOV2_13220.2
OG0000490	T265_01437, T265_16063	SBOV2_67770.1, SBOV2_67740.1, SBOV2_67750.1, SBOV2_67780.1
OG0000491	T265_14314	SBOV2_37380.1, SBOV2_37380.3, SBOV2_37380.4, SBOV2_37380.7, SBOV2_37380.2, SBOV2_37380.5, SBOV2_37380.6
OG0000493	T265_10148, T265_15065	SBOV2_46800.1, SBOV2_46820.1
OG0000493	T265_15185, T265_10559	SBOV2_38600.1
OG0000495	T265_15686	SBOV2_3170.2, SBOV2_3170.3, SBOV2_3170.1, SBOV2_3170.4
OG0000496	T265_07584	SBOV2_29870.5, SBOV2_29870.1, SBOV2_29870.2, SBOV2_29870.3, SBOV2_29870.4
OG0000497	T265_07772	SBOV2_5440.4, SBOV2_5450.1, SBOV2_5440.1, SBOV2_5440.2, SBOV2_5440.5, SBOV2_5440.3
OG0000498	T265_12716, T265_12902	SBOV2_40380.1
OG0000499	T265_12977	SBOV2_70020.1
OG0000500	T265_12964	SBOV2_18600.3, SBOV2_18600.4, SBOV2_18600.7, SBOV2_18600.6, SBOV2_18600.5, SBOV2_18600.9, SBOV2_18600.2, SBOV2_18600.1, SBOV2_18600.8
OG0000501	T265_13462	SBOV2_25400.1
OG0000502	T265_07436, T265_06036	SBOV2_32050.1, SBOV2_32050.4, SBOV2_32050.5, SBOV2_32050.2, SBOV2_32050.6, SBOV2_32050.7, SBOV2_32050.3, SBOV2_32050.8
OG0000503	T265_11949	SBOV2_3850.4, SBOV2_3850.2, SBOV2_3850.1, SBOV2_3850.3, SBOV2_3850.5, SBOV2_3850.6
OG0000504	T265_03966	SBOV2_46250.4, SBOV2_46250.1, SBOV2_46250.5, SBOV2_46250.2, SBOV2_46250.3, SBOV2_46250.6
OG0000505	T265_12584	SBOV2_26710.8, SBOV2_26710.9, SBOV2_26710.1, SBOV2_26710.2, SBOV2_26710.3, SBOV2_26710.4, SBOV2_26710.5, SBOV2_26710.6, SBOV2_26710.7
OG0000506	T265_07729, T265_16032	SBOV2_9140.2, SBOV2_9140.7, SBOV2_9140.10, SBOV2_9140.1, SBOV2_9140.3, SBOV2_9140.4, SBOV2_9140.8, SBOV2_9140.9, SBOV2_9140.11, SBOV2_9140.5, SBOV2_9140.6
OG0000507	T265_02979, T265_07797, T265_07796	SBOV2_36330.3, SBOV2_36330.1, SBOV2_36330.2
OG0000508	T265_10226, T265_16175	SBOV2_14800.1
OG0000509	T265_06851, T265_06853, T265_06854, T265_14152	SBOV2_48830.1, SBOV2_54480.1, SBOV2_54480.2
OG0000510	T265_03984, T265_03985, T265_13373	SBOV2_77900.1, SBOV2_77900.2, SBOV2_77920.2, SBOV2_77920.4, SBOV2_77920.1, SBOV2_77920.3
OG0000511	T265_07656, T265_07655, T265_07657	SBOV2_71800.1, SBOV2_71790.1, SBOV2_71790.2
OG0000512	T265_12454	SBOV2_53990.6, SBOV2_53990.8, SBOV2_53990.9, SBOV2_53990.2, SBOV2_53990.1, SBOV2_53990.4, SBOV2_53990.5, SBOV2_53990.7, SBOV2_53990.10, SBOV2_53990.3
OG0000513	T265_01157, T265_06044	SBOV2_66780.1, SBOV2_66780.3, SBOV2_66780.4, SBOV2_66780.5, SBOV2_66780.2
OG0000514	T265_01214, T265_01215	SBOV2_44970.1
OG0000515	T265_00984, T265_00985	SBOV2_14440.4, SBOV2_14440.2, SBOV2_14440.5, SBOV2_14440.3, SBOV2_14440.6, SBOV2_14440.1, SBOV2_14440.7
OG0000516	T265_03354	SBOV2_62780.10, SBOV2_62780.11, SBOV2_62780.6, SBOV2_62780.7, SBOV2_62780.9, SBOV2_62780.3, SBOV2_62780.2, SBOV2_62780.4, SBOV2_62780.8, SBOV2_62780.1, SBOV2_62780.5
OG0000517	T265_01106	SBOV2_25430.1, SBOV2_25430.4, SBOV2_25430.3, SBOV2_25430.6, SBOV2_25430.2, SBOV2_25430.5, SBOV2_25430.7, SBOV2_25430.8
OG0000521	T265_12415	SBOV2_71010.2, SBOV2_71010.4, SBOV2_71010.1, SBOV2_71010.5, SBOV2_71010.6, SBOV2_71010.3
OG0000522	T265_04037	SBOV2_56380.1, SBOV2_56320.1, SBOV2_56350.1, SBOV2_56290.1, SBOV2_56310.1, SBOV2_22120.1, SBOV2_56370.1, SBOV2_94580.1
OG0000523	T265_07660	SBOV2_76060.1, SBOV2_76060.2, SBOV2_76060.5, SBOV2_76060.6, SBOV2_76060.7, SBOV2_76060.8, SBOV2_76060.4, SBOV2_76060.3
OG0000524	T265_07885	SBOV2_12260.1
OG0000525	T265_05091	SBOV2_54970.1
OG0000526	T265_02282, T265_12113	SBOV2_16410.1, SBOV2_16410.2, SBOV2_16410.3, SBOV2_16410.4, SBOV2_16410.5
OG0000527	T265_03411	SBOV2_95700.1, SBOV2_18510.1, SBOV2_18510.2, SBOV2_18510.10, SBOV2_18510.3, SBOV2_18510.4, SBOV2_18510.5, SBOV2_18510.6, SBOV2_18510.7, SBOV2_18510.8, SBOV2_18510.9
OG0000528	T265_06055	SBOV2_35500.1, SBOV2_35500.3, SBOV2_35500.4, SBOV2_35500.2
OG0000529	T265_09182, T265_03656	SBOV2_15300.1, SBOV2_15300.2, SBOV2_15300.3, SBOV2_15300.4, SBOV2_15300.5, SBOV2_15300.6
OG0000529	T265_07511	SBOV2_25020.1, SBOV2_25020.3, SBOV2_25020.5, SBOV2_25020.2, SBOV2_25020.4
OG0000530	T265_09699	SBOV2_94820.1, SBOV2_94860.1, SBOV2_94850.1
OG0000531	T265_14416, T265_14417	SBOV2_76790.2, SBOV2_76790.1, SBOV2_76790.3, SBOV2_76790.4, SBOV2_76790.5, SBOV2_76790.7, SBOV2_76790.6
OG0000532	T265_00995, T265_06267	SBOV2_4970.1, SBOV2_4970.3, SBOV2_4970.6, SBOV2_4970.5, SBOV2_4970.2, SBOV2_4970.4
OG0000533	T265_13786	SBOV2_18660.1, SBOV2_18660.3, SBOV2_18660.5, SBOV2_18660.2, SBOV2_18660.4, SBOV2_18660.6, SBOV2_18660.7
OG0000534	T265_09156	SBOV2_70260.4, SBOV2_70260.1, SBOV2_70260.2, SBOV2_70260.3, SBOV2_70260.5, SBOV2_70260.6
OG0000535	T265_13029, T265_02526, T265_16334	SBOV2_58300.1, SBOV2_58330.1
OG0000536	T265_04792	SBOV2_65630.1, SBOV2_65630.2, SBOV2_65560.1
OG0000537	T265_03566	SBOV2_52160.4, SBOV2_52160.7, SBOV2_52160.8, SBOV2_52160.3, SBOV2_52160.5, SBOV2_52160.10, SBOV2_52160.9, SBOV2_52160.1, SBOV2_52160.6, SBOV2_52160.2
OG0000539	T265_02944	SBOV2_46130.2, SBOV2_46130.3, SBOV2_46130.4, SBOV2_46130.1
OG0000540	T265_06424	SBOV2_5700.1, SBOV2_5700.2, SBOV2_5700.4, SBOV2_5700.8, SBOV2_5700.9, SBOV2_5700.10, SBOV2_5700.6, SBOV2_5700.7, SBOV2_5700.3, SBOV2_5700.5
OG0000541	T265_02592	SBOV2_38790.1, SBOV2_38790.4, SBOV2_38790.2, SBOV2_38790.3
OG0000542	T265_10499	SBOV2_86350.11, SBOV2_86350.1, SBOV2_86350.2, SBOV2_86350.10, SBOV2_86350.3, SBOV2_86350.7, SBOV2_86350.8, SBOV2_86350.9, SBOV2_86350.4, SBOV2_86350.5, SBOV2_86350.6, SBOV2_86350.12
OG0000543	T265_05515	SBOV2_14730.1
OG0000544	T265_14759	SBOV2_78910.1, SBOV2_78910.2, SBOV2_78910.3, SBOV2_78910.4, SBOV2_78910.5, SBOV2_78910.6
OG0000545	T265_01309	SBOV2_45910.1
OG0000545	T265_13998	SBOV2_69190.1
OG0000546	T265_14392	SBOV2_38050.1, SBOV2_38050.2
OG0000547	T265_07333	SBOV2_89440.3, SBOV2_89440.2, SBOV2_89440.1, SBOV2_89440.4
OG0000548	T265_14116	SBOV2_37950.8, SBOV2_37950.1, SBOV2_37950.2, SBOV2_37950.4, SBOV2_37950.5, SBOV2_37950.6, SBOV2_37950.7, SBOV2_37950.3
OG0000549	T265_14374, T265_06649, T265_14373, T265_03050, T265_07757	SBOV2_10750.4, SBOV2_10750.2, SBOV2_10750.3, SBOV2_10750.1, SBOV2_10750.5, SBOV2_10750.6, SBOV2_10750.7
OG0000550	T265_09507, T265_14868	SBOV2_18130.1
OG0000551	T265_04197, T265_11408, T265_09018, T265_09780, T265_09887	SBOV2_48080.1, SBOV2_65220.1
OG0000552	T265_02926, T265_04606	SBOV2_5470.1
OG0000552	T265_05767	SBOV2_85430.1
OG0000553	T265_05228, T265_05227	SBOV2_93560.3, SBOV2_93560.4, SBOV2_93560.2, SBOV2_93560.1
OG0000554	T265_06137	SBOV2_10870.2, SBOV2_10870.6, SBOV2_10870.7, SBOV2_10870.4, SBOV2_10870.1, SBOV2_10870.3, SBOV2_10870.5
OG0000555	T265_04699, T265_04748, T265_04698	SBOV2_42790.3, SBOV2_42790.2, SBOV2_42790.1, SBOV2_42790.4
OG0000556	T265_05172	SBOV2_65450.1, SBOV2_65450.4, SBOV2_65450.6, SBOV2_65450.7, SBOV2_65450.5, SBOV2_65450.3, SBOV2_65450.2
OG0000557	T265_09726	SBOV2_29940.1, SBOV2_29940.2, SBOV2_29940.3, SBOV2_29940.5, SBOV2_29940.4, SBOV2_29940.6
OG0000558	T265_02473, T265_07551	SBOV2_17300.7, SBOV2_17300.8, SBOV2_17300.3, SBOV2_17300.2, SBOV2_17300.1, SBOV2_17300.4, SBOV2_17300.5, SBOV2_17300.6, SBOV2_17300.9
OG0000559	T265_15777, T265_15105	SBOV2_80010.1, SBOV2_80010.3, SBOV2_80010.2
OG0000561	T265_05307	SBOV2_93990.2, SBOV2_93990.1
OG0000562	T265_09617, T265_14904, T265_14905	SBOV2_83870.1, SBOV2_83890.1
OG0000563	T265_00934	SBOV2_19430.5, SBOV2_19430.3, SBOV2_19430.1, SBOV2_19430.2, SBOV2_19430.4
OG0000564	T265_04694	SBOV2_25900.2, SBOV2_25900.1
OG0000565	T265_06308	SBOV2_3480.1, SBOV2_3480.2, SBOV2_3480.6, SBOV2_3480.5, SBOV2_3480.4, SBOV2_3480.3
OG0000566	T265_06381	SBOV2_81430.1, SBOV2_81430.3, SBOV2_81430.4, SBOV2_81430.6, SBOV2_81430.2, SBOV2_81430.5
OG0000567	T265_09355	SBOV2_65340.10, SBOV2_65340.7, SBOV2_65340.6, SBOV2_65340.5, SBOV2_65340.8, SBOV2_65340.9, SBOV2_65340.2, SBOV2_65340.1, SBOV2_65340.3, SBOV2_65340.4
OG0000568	T265_14125	SBOV2_56100.1
OG0000568	T265_06795	SBOV2_66610.1, SBOV2_66610.2, SBOV2_66610.3
OG0000568	T265_05196	SBOV2_32750.1
OG0000569	T265_16092, T265_15315, T265_15990	SBOV2_9460.1
OG0000570	T265_14462	SBOV2_12760.1, SBOV2_12760.2, SBOV2_12760.3
OG0000571	T265_09677	SBOV2_8760.1
OG0000572	T265_13892	SBOV2_58890.1
OG0000574	T265_09231	SBOV2_2960.3, SBOV2_2960.2, SBOV2_2960.1, SBOV2_2990.1
OG0000575	T265_13730	SBOV2_93450.3, SBOV2_93450.5, SBOV2_93450.7, SBOV2_93450.11, SBOV2_93450.9, SBOV2_93450.1, SBOV2_93450.12, SBOV2_93450.6, SBOV2_93450.2, SBOV2_93450.10, SBOV2_93450.4, SBOV2_93450.8
OG0000576	T265_04125	SBOV2_43370.4, SBOV2_43370.6, SBOV2_43370.3, SBOV2_43370.5, SBOV2_43370.1, SBOV2_43370.2
OG0000577	T265_03389	SBOV2_52550.4, SBOV2_52550.5, SBOV2_52550.6, SBOV2_52550.1, SBOV2_52550.2, SBOV2_52550.3, SBOV2_52550.7
OG0000580	T265_11930	SBOV2_35280.1, SBOV2_35280.2
OG0000581	T265_03176, T265_03173	SBOV2_60630.1, SBOV2_60630.2, SBOV2_60630.3, SBOV2_60630.4
OG0000582	T265_01669, T265_01670, T265_01668, T265_01664, T265_01665, T265_01666	SBOV2_82220.1, SBOV2_82230.1
OG0000582	T265_01671	SBOV2_82240.1
OG0000583	T265_02005	SBOV2_60250.5, SBOV2_60250.2, SBOV2_60250.1, SBOV2_60250.3, SBOV2_60250.4
OG0000584	T265_13228	SBOV2_39130.1
OG0000585	T265_00232	SBOV2_5880.8, SBOV2_5880.10, SBOV2_5880.11, SBOV2_5880.4, SBOV2_5880.5, SBOV2_5880.6, SBOV2_5880.7, SBOV2_5880.9, SBOV2_5880.3, SBOV2_5880.1, SBOV2_5880.2
OG0000586	T265_11386	SBOV2_36560.1, SBOV2_36560.5, SBOV2_36560.4, SBOV2_36560.3, SBOV2_36560.2
OG0000587	T265_07724	SBOV2_64500.1, SBOV2_64500.2, SBOV2_64510.1, SBOV2_64530.1
OG0000587	T265_12893, T265_14323	SBOV2_9150.1
OG0000588	T265_11101, T265_10758	SBOV2_21940.1
OG0000589	T265_12428, T265_12429, T265_12430, T265_12204, T265_12431, T265_08812, T265_15994, T265_12432, T265_12433, T265_00017	SBOV2_50670.1
OG0000590	T265_09102	SBOV2_38410.1
OG0000590	T265_06033	SBOV2_27250.1
OG0000591	T265_06310	SBOV2_3490.1
